x,E
0.01,-126.23007029959224
0.01,126.23007029958649
0.01,-124.98462115107579
0.01,124.98462115107053
0.01,-124.28751031001754
0.01,124.28751031001705
0.01,-123.52861606372014
0.01,123.52861606371756
0.01,-122.49076327484231
0.01,122.49076327484025
0.01,-121.69382230570712
0.01,121.69382230570581
0.01,-120.88740780863112
0.01,120.88740780862754
0.01,119.94908907447102
0.01,-119.94908907446907
0.01,119.09991608780668
0.01,-119.09991608780616
0.01,-118.25459639513831
0.01,118.2545963951377
0.01,117.34470854424238
0.01,-117.3447085442358
0.01,116.46478441784379
0.01,-116.46478441784325
0.01,115.5938760914064
0.01,-115.59387609140593
0.01,-114.67461003805037
0.01,114.67461003804581
0.01,113.77047450910915
0.01,-113.77047450910774
0.01,112.85193418971056
0.01,-112.8519341897069
0.01,-111.93814943313701
0.01,111.9381494331366
0.01,-111.01141160220787
0.01,111.01141160220718
0.01,110.07654909296187
0.01,-110.07654909295982
0.01,-109.13555805035537
0.01,109.1355580503539
0.01,108.18702388082987
0.01,-108.18702388082943
0.01,107.23135483856433
0.01,-107.23135483856309
0.01,106.26935321627943
0.01,-106.26935321627883
0.01,105.30117849573224
0.01,-105.30117849572785
0.01,-104.3275713642182
0.01,104.3275713642163
0.01,-103.3500828672898
0.01,103.35008286728976
0.01,102.37071899143614
0.01,-102.37071899143577
0.01,101.39302959021202
0.01,-101.39302959021003
0.01,-100.4250144974286
0.01,100.42501449742505
0.01,-99.48454985522739
0.01,99.48454985522648
0.01,98.60823143088092
0.01,-98.60823143087683
0.01,-97.69336406834049
0.01,97.6933640683402
0.01,97.5032349923416
0.01,-97.50323499234118
0.01,-97.1998729577747
0.01,97.19987295777445
0.01,-96.8686103642357
0.01,96.86861036423397
0.01,-96.29163497351193
0.01,96.29163497351072
0.01,96.17720211943242
0.01,-96.17720211943211
0.01,-95.59885538001608
0.01,95.59885538001556
0.01,95.15278227647762
0.01,-95.15278227647417
0.01,94.97733286404373
0.01,-94.9773328640426
0.01,94.62159441011742
0.01,-94.62159441011671
0.01,-94.06858248324819
0.01,94.06858248324313
0.01,93.63627145749096
0.01,-93.63627145748981
0.01,-92.97965598956601
0.01,92.97965598956546
0.01,-92.79255447826247
0.01,92.79255447826213
0.01,-92.44908477439222
0.01,92.44908477439115
0.01,92.35995992440941
0.01,-92.35995992440914
0.01,91.95615283296665
0.01,-91.95615283296578
0.01,91.8175265656433
0.01,-91.81752656564143
0.01,91.6224117787804
0.01,-91.62241177877883
0.01,-91.31935500244856
0.01,91.31935500244855
0.01,-91.27510545786524
0.01,91.27510545786522
0.01,-90.89601839543896
0.01,90.89601839543863
0.01,-90.76506711474116
0.01,90.76506711473937
0.01,-90.59074716091034
0.01,90.59074716090926
0.01,-90.23624518487335
0.01,90.23624518487313
0.01,-90.16079649098505
0.01,90.16079649098438
0.01,89.7790694379781
0.01,-89.7790694379765
0.01,-89.6585959329848
0.01,89.65859593298475
0.01,-89.4304330258892
0.01,89.43043302588887
0.01,89.05088477447225
0.01,-89.0508847744718
0.01,-88.92166256951877
0.01,88.9216625695179
0.01,88.46483881046863
0.01,-88.46483881046692
0.01,88.46113133462171
0.01,-88.46113133462167
0.01,-88.05478676341501
0.01,88.05478676341403
0.01,87.634125699211
0.01,-87.63412569921071
0.01,87.5493214341126
0.01,-87.54932143411185
0.01,87.12944105288143
0.01,-87.12944105287978
0.01,-86.90063816984467
0.01,86.90063816984215
0.01,-86.42101660597052
0.01,86.42101660596838
0.01,-86.23145310314221
0.01,86.23145310314095
0.01,-85.9452855923632
0.01,85.94528559236268
0.01,-85.44775802598092
0.01,85.44775802597974
0.01,-85.19059819425712
0.01,85.19059819425448
0.01,-84.84459605787502
0.01,84.844596057875
0.01,-84.5228243931105
0.01,84.52282439310642
0.01,83.97274618358746
0.01,-83.97274618358664
0.01,-83.79743852561786
0.01,83.79743852561562
0.01,83.41825710151863
0.01,-83.4182571015157
0.01,82.84536996456924
