0.6752319066557773+0.*I,0.-0.5984086966031531*I,-0.3749970396726368+0.*I,0.+0.19187224304893905*I,0.08502117401849281+0.*I,0.-0.03369667398620036*I,-0.012191477785427752+0.*I,0.+0.004083685352179903*I,0.0012795351460588257+0.*I,0.-0.00037798616616681915*I,-0.00010593045706424742+0.*I,0.+0.000028305409628742968*I,7.241420413114588*^-6+0.*I,0.-1.779905833623053*^-6*I,-4.2157800981538343*^-7+0.*I,0.+9.646666408804406*^-8*I,2.137283878085781*^-8+0.*I,0.-4.593912191643061*^-9*I,-9.59602515895385*^-10+0.*I,0.+1.9510101021702255*^-10*I,3.866245797918161*^-11+0.*I,0.-7.476954783976926*^-12*I,-1.4127273549419084*^-12+0.*I,0.+2.610594250834637*^-13*I,4.7225731876163665*^-14+0.*I,0.-8.370543032573774*^-15*I,-1.4548288345146902*^-15+0.*I,0.+2.4812753364158985*^-16*I,4.155668379332305*^-17+0.*I,0.-6.838909008202902*^-18*I,-1.1065502453281109*^-18+0.*I,0.+1.7613076952805373*^-19*I,2.759339793322084*^-20+0.*I,0.-4.256897124777661*^-21*I,-6.469915922639418*^-22+0.*I,0.+9.691914082089035*^-23*I,1.431539203120343*^-23+0.*I,0.-2.0856783087079228*^-24*I,-2.998475238878333*^-25+0.*I,0.+4.255132656053478*^-26*I,5.9624952904469105*^-27+0.*I,0.-8.2524150295073*^-28*I,-1.1284994631797464*^-28+0.*I,0.+1.525148281485923*^-29*I,2.0376550827987724*^-30+0.*I,0.-2.6919646709206736*^-31*I,-3.5175103241410656*^-32+0.*I,0.+4.5470674086023915*^-33*I,5.816419402569883*^-34+0.*I,0.-7.363810691833182*^-35*I,-9.229168044589657*^-36+0.*I,0.+1.1453082954599347*^-36*I,1.4075559766520949*^-37+0.*I,0.-1.7134549128548*^-38*I,-2.0664302076179094*^-39+0.*I,0.+2.469359595413281*^-40*I,2.9243898303142693*^-41+0.*I,0.-3.432754758219826*^-42*I,-3.994603900250202*^-43+0.*I,0.+4.608850878663118*^-44*I,5.273051003520989*^-45+0.*I,0.-5.983316760054194*^-46*I,-6.734278782948619*^-47+0.*I,0.+7.519098205987287*^-48*I,8.329534106586773*^-49+0.*I,0.-9.156067235995172*^-50*I,-9.988078479742548*^-51+0.*I,0.+1.08140776933894*^-51*I,1.1621975879388271*^-52+0.*I,0.-1.2399391282486841*^-53*I,-1.3133978037991823*^-54+0.*I,0.+1.38137646361653*^-55*I,1.442748875671238*^-56+0.*I,0.-1.4964915025783522*^-57*I,-1.5417122953688891*^-58+0.*I,0.+1.577675367820467*^-59*I,1.6038206077913242*^-60+0.*I,0.-1.619777520992418*^-61*I,-1.6253728719259227*^-62+0.*I,0.+1.620631970195208*^-63*I,1.6057737317118786*^-64+0.*I,0.-1.5811999080309638*^-65*I,-1.5474791095507604*^-66+0.*I,0.+1.505326438687929*^-67*I,1.455579689637819*^-68+0.*I,0.-1.3991731577136743*^-69*I,-1.3371101327263936*^-70+0.*I,0.+1.2704351299258102*^-71*I,1.2002068439490816*^-72+0.*I,0.-1.1274727035504168*^-73*I,-1.0532457666880927*^-74+0.*I,0.+9.784845367206156*^-76*I,9.040761110619484*^-77+0.*I,0.-8.308229032126798*^-78*I,-7.594330161711017*^-79+0.*I,0.+6.90514196974998*^-80*I,6.24571174026751*^-81+0.*I,0.-5.620060746365967*^-82*I,-5.0312154185659264*^-83+0.*I,0.+4.481261175168472*^-84*I
0.-0.5984086966031531*I,0.14490600730097256+0.*I,0.-0.5139452210552188*I,-0.4794715773639433+0.*I,0.+0.30839643244908543*I,0.1602502248474147+0.*I,0.-0.07173524142060124*I,-0.02863654642043147+0.*I,0.+0.010416447920533886*I,0.003503623920270777+0.*I,0.-0.001101418785846171*I,-0.00032624656380399945+0.*I,0.+0.00009163527346343881*I,0.000024531912132149135+0.*I,0.-6.2861840266605454*^-6*I,-1.547273256018815*^-6+0.*I,0.+3.669254711512191*^-7*I,8.405122313537424*^-8+0.*I,0.-1.8639893189999577*^-8*I,-4.009906624318004*^-9+0.*I,0.+8.382545313829473*^-10*I,1.7054736159269537*^-10+0.*I,0.-3.381802953397956*^-11*I,-6.543844491024395*^-12+0.*I,0.+1.237072052834769*^-12*I,2.2871045876469066*^-13+0.*I,0.-4.1392253777389794*^-14*I,-7.339615071827586*^-15+0.*I,0.+1.2761388427767508*^-15*I,2.1772876576123085*^-16+0.*I,0.-3.6477592703403944*^-17*I,-6.00491919126219*^-18+0.*I,0.+9.718920798579763*^-19*I,1.547394262073803*^-19+0.*I,0.-2.4248380986278076*^-20*I,-3.7417615266408935*^-21+0.*I,0.+5.688281590588781*^-22*I,8.522874597892416*^-23+0.*I,0.-1.2591251622688059*^-23*I,-1.8348370551925518*^-24+0.*I,0.+2.6383409491653664*^-25*I,3.744724686992391*^-26+0.*I,0.-5.248165533225194*^-27*I,-7.2649031072729435*^-28+0.*I,0.+9.936106718772037*^-29*I,1.3430436682134323*^-29+0.*I,0.-1.7946061465117963*^-30*I,-2.37118624787206*^-31+0.*I,0.+3.098754036013162*^-32*I,4.006233508708487*^-33+0.*I,0.-5.125209103362865*^-34*I,-6.48944399960508*^-35+0.*I,0.+8.134194170430907*^-36*I,1.0095311197408788*^-36+0.*I,0.-1.240813809232169*^-37*I,-1.510621528321659*^-38+0.*I,0.+1.8219827840744084*^-39*I,2.177443907354145*^-40+0.*I,0.-2.5789068813384667*^-41*I,-3.027468598841975*^-42+0.*I,0.+3.5232693418570425*^-43*I,4.065358724966202*^-44+0.*I,0.-4.6515873363278355*^-45*I,-5.2785318028655234*^-46+0.*I,0.+5.941459990772454*^-47*I,6.634341555896837*^-48+0.*I,0.-7.349907145242466*^-49*I,-8.079757318725643*^-50+0.*I,0.+8.814519835183266*^-51*I,9.544051473260825*^-52+0.*I,0.-1.0257678189656242*^-52*I,-1.0944465304948482*^-53+0.*I,0.+1.1593507687508225*^-54*I,1.2194228690957956*^-55+0.*I,0.-1.273667596979876*^-56*I,-1.3211802292104132*^-57+0.*I,0.+1.3611720087463402*^-58*I,1.3929919671899773*^-59+0.*I,0.-1.4161442801758505*^-60*I,-1.4303005317484453*^-61+0.*I,0.+1.4353065015740427*^-62*I,1.4311833392105341*^-63+0.*I,0.-1.4181232382261305*^-64*I,-1.3964799560520263*^-65+0.*I,0.+1.3667547310501283*^-66*I,1.329578316717485*^-67+0.*I,0.-1.285689977358291*^-68*I,-1.2359143661746583*^-69+0.*I,0.+1.1811372348352823*^-70*I,1.1222809053620852*^-71+0.*I,0.-1.0602803752905651*^-72*I,-9.96060832144379*^-74+0.*I,0.+9.305172313329318*^-75*I,8.644964513727304*^-76+0.*I,0.-7.987823907267756*^-77*I,-7.340842199900949*^-78+0.*I,0.+6.710278591817245*^-79*I,6.1015061885291995*^-80+0.*I,0.-5.518988304493069*^-81*I,-4.966281991716114*^-82+0.*I
-0.3749970396726368+0.*I,0.-0.5139452210552188*I,-0.17716139837615033+0.*I,0.-0.3289875204879994*I,-0.4848164031374578+0.*I,0.+0.38719563825005865*I,0.2326081352519686+0.*I,0.-0.11625905374039325*I,-0.0507455521211551+0.*I,0.+0.01990105218590198*I,0.007144129385616816+0.*I,0.-0.002378611300316157*I,-0.0007417137198019045+0.*I,0.+0.000218251927616441*I,0.000060966057031364676+0.*I,0.-0.00001624581423712391*I,-4.146413206550489*^-6+0.*I,0.+1.0170910925309902*^-6*I,2.4047284857958546*^-7+0.*I,0.-5.4939172966353316*^-8*I,-1.2155140010016474*^-8+0.*I,0.+2.6093804188961392*^-9*I,5.444493001324984*^-10+0.*I,0.-1.1058177143276491*^-10*I,-2.1893322324220107*^-11+0.*I,0.+4.230387161218297*^-12*I,7.986885378937079*^-13+0.*I,0.-1.474854299216037*^-13*I,-2.6662623523166303*^-14+0.*I,0.+4.7229506689693704*^-15*I,8.20400942468336*^-16+0.*I,0.-1.3984940102787612*^-16*I,-2.3410633723233192*^-17+0.*I,0.+3.850875735730979*^-18*I,6.228115793519449*^-19+0.*I,0.-9.909345408703731*^-20*I,-1.551848950769843*^-20+0.*I,0.+2.393213226518237*^-21*I,3.6361309397422416*^-22+0.*I,0.-5.445164805920006*^-23*I,-8.040307265559765*^-24+0.*I,0.+1.1710930890677663*^-24*I,1.6831604332024354*^-25+0.*I,0.-2.3879482189641608*^-26*I,-3.345276287691741*^-27+0.*I,0.+4.628946465053073*^-28*I,6.328550898486678*^-29+0.*I,0.-8.551084006107454*^-30*I,-1.142220717271249*^-30+0.*I,0.+1.5086996489965933*^-31*I,1.970999269224552*^-32+0.*I,0.-2.547437172937467*^-33*I,-3.2580066558880023*^-34+0.*I,0.+4.1240697524649435*^-35*I,5.167921099194901*^-36+0.*I,0.-6.412218344393081*^-37*I,-7.879281939097615*^-38+0.*I,0.+9.590275318093359*^-39*I,1.1564285276732811*^-39+0.*I,0.-1.3817331219852538*^-40*I,-1.6361340273456962*^-41+0.*I,0.+1.9203132342636572*^-42*I,2.234346442250818*^-43+0.*I,0.-2.5776186249152686*^-44*I,-2.9487559269983895*^-45+0.*I,0.+3.3455787650254082*^-46*I,3.7650803559725137*^-47+0.*I,0.-4.203433947830687*^-48*I,-4.65603081313592*^-49+0.*I,0.+5.117549653696045*^-50*I,5.58205653152649*^-51+0.*I,0.-6.04313287901767*^-52*I,-6.494027647539944*^-53+0.*I,0.+6.927828323108948*^-54*I,7.337644456447982*^-55+0.*I,0.-7.7167965933332*^-56*I,-8.059003099296393*^-57+0.*I,0.+8.358557376017632*^-58*I,8.610488364545478*^-59+0.*I,0.-8.81069799669523*^-60*I,-8.956070341259714*^-61+0.*I,0.+9.044548527491474*^-62*I,9.075177032362465*^-63+0.*I,0.-9.048108500414947*^-64*I,-8.964575834363621*^-65+0.*I,0.+8.826831764933634*^-66*I,8.638059403878478*^-67+0.*I,0.-8.402258344031562*^-68*I,-8.124111651496189*^-69+0.*I,0.+7.808839574165213*^-70*I,7.46204596352546*^-71+0.*I,0.-7.089563287117255*^-72*I,-6.697301726817232*^-73+0.*I,0.+6.291107255339286*^-74*I,5.876632810737081*^-75+0.*I,0.-5.45922580149977*^-76*I,-5.04383422910739*^-77+0.*I,0.+4.634932763920323*^-78*I,4.2364692016419015*^-79+0.*I,0.-3.851830901100835*^-80*I
0.+0.19187224304893905*I,-0.4794715773639433+0.*I,0.-0.3289875204879994*I,-0.3454922565243815+0.*I,0.-0.13181928013699187*I,-0.4277814661956827+0.*I,0.+0.42856026426045507*I,0.29582929831832566+0.*I,0.-0.1638856003643135*I,-0.07771123542293995+0.*I,0.+0.03267879479835649*I,0.012462918034497917+0.*I,0.-0.004377714871070492*I,-0.0014323287185538218+0.*I,0.+0.00044028395271741996*I,0.00012801186004166717+0.*I,0.-0.00003539653320380995*I,-9.35002947688098*^-6+0.*I,0.+2.368313054387075*^-6*I,5.770663694801195*^-7+0.*I,0.-1.3563299492985671*^-7*I,-3.08243532807501*^-8+0.*I,0.+6.787660823498285*^-9*I,1.4509312094836206*^-9+0.*I,0.-3.015704710928881*^-10*I,-6.103604360320428*^-11+0.*I,0.+1.204526293720913*^-11*I,2.320602723945239*^-12+0.*I,0.-4.3693314363497987*^-13*I,-8.048090460352359*^-14+0.*I,0.+1.4515512292732948*^-14*I,2.5656642441369566*^-15+0.*I,0.-4.447678677667339*^-16*I,-7.567393616972725*^-17+0.*I,0.+1.2645309641760039*^-17*I,2.0766040409546578*^-18+0.*I,0.-3.353295519623771*^-19*I,-5.32746245672094*^-20+0.*I,0.+8.33146080256575*^-21*I,1.283164741878826*^-21+0.*I,0.-1.9471537565323566*^-22*I,-2.9124568332712577*^-23+0.*I,0.+4.295707956057587*^-24*I,6.250159994806463*^-25+0.*I,0.-8.9739798984862*^-26*I,-1.2719353123325519*^-26+0.*I,0.+1.7802127423130533*^-27*I,2.4611598462353393*^-28+0.*I,0.-3.3619903541253447*^-29*I,-4.5390354378792284*^-30+0.*I,0.+6.058391715585928*^-31*I,7.996295150233907*^-32+0.*I,0.-1.0439126436078079*^-32*I,-1.3482953390924446*^-33+0.*I,0.+1.723252254405719*^-34*I,2.1799626441332841*^-35+0.*I,0.-2.7300795612004685*^-36*I,-3.3854294476713804*^-37+0.*I,0.+4.1576437845871746*^-38*I,5.057728745670171*^-39+0.*I,0.-6.0955833926458644*^-40*I,-7.279481567381486*^-41+0.*I,0.+8.615536948546783*^-42*I,1.010717440128081*^-42+0.*I,0.-1.1754633420938457*^-43*I,-1.3554530859841491*^-44+0.*I,0.+1.549951000091402*^-45*I,1.7578001269156013*^-46+0.*I,0.-1.977411642748817*^-47*I,-2.2067693085159052*^-48+0.*I,0.+2.443449997298165*^-49*I,2.684660603871063*^-50+0.*I,0.-2.927290840616554*^-51*I,-3.1679806102402007*^-52+0.*I,0.+3.4031998693895105*^-53*I,3.629338207955239*^-54+0.*I,0.-3.842800811133771*^-55*I,-4.04010708161451*^-56+0.*I,0.+4.2179880030204455*^-57*I,4.3734783357058475*^-58+0.*I,0.-4.503999951396071*^-59*I,-4.6074330198194153*^-60+0.*I,0.+4.682172332282902*^-61*I,4.72716674804092*^-62+0.*I,0.-4.7419405361418243*^-63*I,-4.726596211282389*^-64+0.*I,0.+4.6817992794911254*^-65*I,4.6087460735176937*^-66+0.*I,0.-4.509116529349173*^-67*I,-4.385014302947862*^-68+0.*I,0.+4.238897028057349*^-69*I,4.0734997598237524*^-70+0.*I,0.-3.8917547332545735*^-71*I,-3.6967104977846474*^-72+0.*I,0.+3.491453285207185*^-73*I,3.2790331500832794*^-74+0.*I,0.-3.062397016029726*^-75*I,-2.8443302968782164*^-76+0.*I,0.+2.6274082677923938*^-77*I,2.413957865718179*^-78+0.*I
0.08502117401849281+0.*I,0.+0.30839643244908543*I,-0.4848164031374578+0.*I,0.-0.13181928013699187*I,-0.4039031541999825+0.*I,0.+0.042177291210435466*I,-0.3340223341161539+0.*I,0.+0.4358459957648952*I,0.34574588996067+0.*I,0.-0.21139350592546616*I,-0.10839183794019969+0.*I,0.+0.04866916370764169*I,0.019646582850968014+0.*I,0.-0.007257353580262137*I,-0.0024845459181612067+0.*I,0.+0.0007958824296653627*I,0.0002403390396868848+0.*I,0.-0.00006882869865190103*I,-0.000018784976343840474+0.*I,0.+4.905912758167433*^-6*I,1.2302588236432367*^-6+0.*I,0.-2.971155470812802*^-7*I,-6.928181231588538*^-8+0.*I,0.+1.5633311721031775*^-8*I,3.4204111794121373*^-9+0.*I,0.-7.268802851000852*^-10*I,-1.5027457051306302*^-10+0.*I,0.+3.026622078803911*^-11*I,5.946126741082173*^-12+0.*I,0.-1.1408163217646606*^-12*I,-2.1397401558357614*^-13+0.*I,0.+3.9272595658437054*^-14*I,7.059711711112832*^-15+0.*I,0.-1.2439662998822772*^-15*I,-2.1502223380703068*^-16+0.*I,0.+3.6485159154026445*^-17*I,6.081223083939454*^-18+0.*I,0.-9.96258313621796*^-19*I,-1.6051163839671692*^-19+0.*I,0.+2.544639044585658*^-20*I,3.971442193207354*^-21+0.*I,0.-6.104878822987216*^-22*I,-9.247090163141608*^-23+0.*I,0.+1.3807467416312135*^-23*I,2.0331786451737087*^-24+0.*I,0.-2.9536031961986165*^-25*I,-4.2344588794508266*^-26+0.*I,0.+5.9932045320866736*^-27*I,8.376733479709224*^-28+0.*I,0.-1.1565835468406978*^-28*I,-1.5779458197687853*^-29+0.*I,0.+2.127845881116672*^-30*I,2.8368480431619173*^-31+0.*I,0.-3.7401545984888204*^-32*I,-4.877593777663842*^-33+0.*I,0.+6.293393301418311*^-34*I,8.035699829524421*^-35+0.*I,0.-1.0155811404552856*^-35*I,-1.2707100476270497*^-36+0.*I,0.+1.5743619168764806*^-37*I,1.9318395695169681*^-38+0.*I,0.-2.3481450480019833*^-39*I,-2.8277581549091254*^-40+0.*I,0.+3.3743989760981505*^-41*I,3.990783397329997*^-42+0.*I,0.-4.67838226776927*^-43*I,-5.437196047638055*^-44+0.*I,0.+6.265557367330342*^-45*I,7.159973819971754*^-46+0.*I,0.-8.115022450261195*^-47*I,-9.123305782157502*^-48+0.*I,0.+1.0175476894608274*^-48*I,1.1260338111010336*^-49+0.*I,0.-1.2365014467125295*^-50*I,-1.347519945663788*^-51+0.*I,0.+1.457546684316278*^-52*I,1.5649638803008902*^-53+0.*I,0.-1.668119754889824*^-54*I,-1.7653725082613204*^-55+0.*I,0.+1.8551353997425808*^-56*I,1.935921141206311*^-57+0.*I,0.-2.0063838221313826*^-58*I,-2.0653566886793405*^-59+0.*I,0.+2.1118842897025598*^-60*I,2.145247767647414*^-61+0.*I,0.-2.1649823951990474*^-62*I,-2.1708868193791727*^-63+0.*I,0.+2.163023852199921*^-64*I,2.1417130192336425*^-65+0.*I,0.-2.1075154242873885*^-66*I,-2.0612117920572145*^-67+0.*I,0.+2.003774797076885*^-68*I,1.936336966677605*^-69+0.*I,0.-1.8601555528537596*^-70*I,-1.7765758023294805*^-71+0.*I,0.+1.686994019435805*^-72*I,1.5928217200148397*^-73+0.*I,0.-1.4954520267061988*^-74*I,-1.3962292688444672*^-75+0.*I,0.+1.2964225370142366*^-76*I
0.-0.03369667398620036*I,0.1602502248474147+0.*I,0.+0.38719563825005865*I,-0.4277814661956827+0.*I,0.+0.042177291210435466*I,-0.3871869132406427+0.*I,0.+0.17858689110210252*I,-0.22248052233693638+0.*I,0.+0.41427600990084756*I,0.3800846224788277+0.*I,0.-0.2559963300627831*I,-0.14148189440171013+0.*I,0.+0.06761136039362343*I,0.028802836208258138+0.*I,0.-0.01115916841209818*I,-0.0039879255080753+0.*I,0.+0.0013284635441964117*I,0.00041588422622068427+0.*I,0.-0.00012314817272237883*I,-0.000034674286443691066+0.*I,0.+9.324233678448222*^-6*I,2.4035237032228722*^-6+0.*I,0.-5.957761796176092*^-7*I,-1.4239694003918676*^-7+0.*I,0.+3.2895249012836084*^-8*I,7.360185460562878*^-9+0.*I,0.-1.597983345375302*^-9*I,-3.372110514688766*^-10+0.*I,0.+6.926630612318331*^-11*I,1.386802665908498*^-11+0.*I,0.-2.7096129728680945*^-12*I,-5.172259870767036*^-13+0.*I,0.+9.655468671221169*^-14*I,1.7643703214151493*^-14+0.*I,0.-3.1586468887894897*^-15*I,-5.544350942797165*^-16+0.*I,0.+9.548976750082081*^-17*I,1.6147865509664213*^-17+0.*I,0.-2.6828786171234966*^-18*I,-4.381993722901151*^-19+0.*I,0.+7.039924843842255*^-20*I,1.1130523408220568*^-20+0.*I,0.-1.732712735407818*^-21*I,-2.65705564104746*^-22+0.*I,0.+4.015375234285783*^-23*I,5.9824749737831946*^-24+0.*I,0.-8.790896594495398*^-25*I,-1.274507477468247*^-25+0.*I,0.+1.8237267709900296*^-26*I,2.57649317717235*^-27+0.*I,0.-3.5948991548763353*^-28*I,-4.95522131535565*^-29+0.*I,0.+6.749663204000856*^-30*I,9.087873502431336*^-31+0.*I,0.-1.209808724723733*^-31*I,-1.5927720665622134*^-32+0.*I,0.+2.0743241341318875*^-33*I,2.6729137277668133*^-34+0.*I,0.-3.4085823271611724*^-35*I,-4.302635243561619*^-36+0.*I,0.+5.3771845340584854*^-37*I,6.654560856294076*^-38+0.*I,0.-8.156598654092686*^-39*I,-9.903807235301857*^-40+0.*I,0.+1.1914448982243004*^-40*I,1.4203554566839078*^-41+0.*I,0.-1.6781913000357385*^-42*I,-1.9655080980453447*^-43+0.*I,0.+2.2822460682219843*^-44*I,2.627649733481486*^-45+0.*I,0.-3.000204722634812*^-46*I,-3.397596296314726*^-47+0.*I,0.+3.816693586429846*^-48*I,4.2535625515697645*^-49+0.*I,0.-4.703509418218404*^-50*I,-5.1611549626232784*^-51+0.*I,0.+5.620538471329876*^-52*I,6.075248690882061*^-53+0.*I,0.-6.518577634144569*^-54*I,-6.94369184411377*^-55+0.*I,0.+7.343814707920531*^-56*I,7.712412729752233*^-57+0.*I,0.-8.043378356332444*^-58*I,-8.331202022841794*^-59+0.*I,0.+8.571126545617604*^-60*I,8.75927780087348*^-61+0.*I,0.-8.892766743893793*^-62*I,-8.969759170876391*^-63+0.*I,0.+8.989511123233859*^-64*I,8.952369392916094*^-65+0.*I,0.-8.859738118197074*^-66*I,-8.714013879254857*^-67+0.*I,0.+8.518492939788726*^-68*I,8.277255277939942*^-69+0.*I,0.-7.995030767954*^-70*I,-7.677053293412475*^-71+0.*I,0.+7.328908692538778*^-72*I,6.956382272533469*^-73+0.*I,0.-6.565311214519774*^-74*I,-6.161446566444097*^-75+0.*I
-0.012191477785427752+0.*I,0.-0.07173524142060124*I,0.2326081352519686+0.*I,0.+0.42856026426045507*I,-0.3340223341161539+0.*I,0.+0.17858689110210252*I,-0.32257406401607147+0.*I,0.+0.2733894814334813*I,-0.10701305867253424+0.*I,0.+0.36986756363464107*I,0.39806750487213965+0.*I,0.-0.29543243133614*I,-0.175623781291528+0.*I,0.+0.08910034359969961*I,0.039959664919841945+0.*I,0.-0.01620136053745325*I,-0.006031616141068168+0.*I,0.+0.0020856701802521296*I,0.0006757775237414615+0.*I,0.-0.00020659860087280036*I,-0.00005993278257492392+0.*I,0.+0.00001657444752597971*I,4.386845299697361*^-6+0.*I,0.-1.1149449344421585*^-6*I,-2.7289235835102653*^-7+0.*I,0.+6.448422615284467*^-8*I,1.4743296446280309*^-8+0.*I,0.-3.2678314092672137*^-9*I,-7.033985353977429*^-10+0.*I,0.+1.472634276135966*^-10*I,3.0029510650226136*^-11+0.*I,0.-5.971899655511418*^-12*I,-1.159548705263203*^-12+0.*I,0.+2.200573092294813*^-13*I,4.085761414705462*^-14+0.*I,0.-7.428262047375258*^-15*I,-1.3235348186966645*^-15+0.*I,0.+2.3128527410526027*^-16*I,3.966723652707255*^-17+0.*I,0.-6.6814844028888646*^-18*I,-1.1059554218871088*^-18+0.*I,0.+1.800011474771063*^-19*I,2.8821700345569666*^-20+0.*I,0.-4.542448830554139*^-21*I,-7.050064162522163*^-22+0.*I,0.+1.0780111643509933*^-22*I,1.624666793528915*^-23+0.*I,0.-2.4142925280954557*^-24*I,-3.5388689709900813*^-25+0.*I,0.+5.1185156709408406*^-26*I,7.307631470104581*^-27+0.*I,0.-1.0301561801431704*^-27*I,-1.434357332753732*^-28+0.*I,0.+1.9731822990426736*^-29*I,2.682591095180087*^-30+0.*I,0.-3.6052512205205346*^-31*I,-4.790949862597507*^-32+0.*I,0.+6.296790183232718*^-33*I,8.18710378261855*^-34+0.*I,0.-1.053301268324338*^-34*I,-1.3411580436826112*^-35+0.*I,0.+1.6904503799465346*^-36*I,2.109631403767338*^-37+0.*I,0.-2.607208006206018*^-38*I,-3.19146334716187*^-39+0.*I,0.+3.870136694945244*^-40*I,4.650069052249628*^-41+0.*I,0.-5.5368262837472255*^-42*I,-6.534314441624378*^-43+0.*I,0.+7.644404436501495*^-44*I,8.866584887995834*^-45+0.*I,0.-1.0197662711079118*^-45*I,-1.1631530604279626*^-46+0.*I,0.+1.315901902668589*^-47*I,1.4767847487354332*^-48+0.*I,0.-1.6442686114688913*^-49*I,-1.8165333701138672*^-50+0.*I,0.+1.9915012982088164*^-51*I,2.1668778118471017*^-52+0.*I,0.-2.3402023559437174*^-53*I,-2.5089078025776305*^-54+0.*I,0.+2.6703862623582265*^-55*I,2.8220588377127*^-56+0.*I,0.-2.961446600281436*^-57*I,-3.0862399693402063*^-58+0.*I,0.+3.1943637111962237*^-59*I,3.28403496790903*^-60+0.*I,0.-3.353812045297637*^-61*I,-3.4026321244640883*^-62+0.*I,0.+3.4298365808742765*^-63*I,3.4351831686992026*^-64+0.*I,0.-3.418844921732572*^-65*I,-3.381396202074611*^-66+0.*I,0.+3.323786862613511*^-67*I,3.2473059522637173*^-68+0.*I,0.-3.153536762894233*^-69*I,-3.0443052797426586*^-70+0.*I,0.+2.921624245973833*^-71*I,2.7876350871862096*^-72+0.*I,0.-2.644549869930477*^-73*I
0.+0.004083685352179903*I,-0.02863654642043147+0.*I,0.-0.11625905374039325*I,0.29582929831832566+0.*I,0.+0.4358459957648952*I,-0.22248052233693638+0.*I,0.+0.2733894814334813*I,-0.23099889647531419+0.*I,0.+0.32811098883216844*I,0.0025502841853693864+0.*I,0.+0.30873868958173656*I,0.4000453009946392+0.*I,0.-0.3279845067811938*I,-0.2094896155789152+0.*I,0.+0.11262193334791619*I,0.05306811499256972+0.*I,0.-0.0224737908181089*I,-0.008700974001289682+0.*I,0.+0.003118152826757598*I,0.0010441467721844413+0.*I,0.-0.00032914015082931313*I,-0.00009825480951279974+0.*I,0.+0.000027913927191485568*I,7.578367880243862*^-6+0.*I,0.-1.973068210839054*^-6*I,-4.941182978174415*^-7+0.*I,0.+1.193386619034171*^-7*I,2.7860659109199594*^-8+0.*I,0.-6.300050832333559*^-9*I,-1.3823703717854787*^-9+0.*I,0.+2.9480550490012205*^-10*I,6.119425521349926*^-11+0.*I,0.-1.238005345508599*^-11*I,-2.44394831799701*^-12+0.*I,0.+4.712969284923411*^-13*I,8.88722149440256*^-14+0.*I,0.-1.6402380643132483*^-14*I,-2.9654248804598833*^-15+0.*I,0.+5.255913522525474*^-16*I,9.139199905997022*^-17+0.*I,0.-1.560134925840845*^-17*I,-2.6162882637347124*^-18+0.*I,0.+4.3125678160292077*^-19*I,6.991242409944059*^-20+0.*I,0.-1.1152371354245255*^-20*I,-1.751408207787002*^-21+0.*I,0.+2.709039608679631*^-22*I,4.1289569533834455*^-23+0.*I,0.-6.203563096262025*^-24*I,-9.191516245172452*^-25+0.*I,0.+1.3435030450389257*^-25*I,1.937974093302954*^-26+0.*I,0.-2.7596869059646988*^-27*I,-3.8807163136536076*^-28+0.*I,0.+5.390578812506522*^-29*I,7.398700274376723*^-30+0.*I,0.-1.0036711588556432*^-30*I,-1.3460388208419459*^-31+0.*I,0.+1.7851020975347876*^-32*I,2.3415985169705706*^-33+0.*I,0.-3.0388266164455075*^-34*I,-3.90247067762852*^-35+0.*I,0.+4.960276626212763*^-36*I,6.241562574133679*^-37+0.*I,0.-7.776554012699036*^-38*I,-9.595542127664178*^-39+0.*I,0.+1.1727873807046753*^-39*I,1.4200793171936463*^-40+0.*I,0.-1.7038166236145216*^-41*I,-2.0259131816501633*^-42+0.*I,0.+2.3876732214462094*^-43*I,2.789658559632834*^-44+0.*I,0.-3.2315667593153415*^-45*I,-3.7121271730494414*^-46+0.*I,0.+4.229021638859457*^-47*I,4.7788359846109354*^-48+0.*I,0.-5.357047462936628*^-49*I,-5.958051823722259*^-50+0.*I,0.+6.575232000039884*^-51*I,7.201068428730517*^-52+0.*I,0.-7.827288961196944*^-53*I,-8.445054268347912*^-54+0.*I,0.+9.045172734279059*^-55*I,9.618337188174489*^-56+0.*I,0.-1.0155374549538724*^-56*I,-1.0647498641441008*^-57+0.*I,0.+1.1086556113400475*^-58*I,1.1465255630293577*^-59+0.*I,0.-1.1777371211941449*^-60*I,-1.2017911802882913*^-61+0.*I,0.+1.2183250737354629*^-62*I,1.227121064196874*^-63+0.*I,0.-1.2281101374134932*^-64*I,-1.2213710707051245*^-65+0.*I,0.+1.207124952292446*^-66*I,1.1857255155170444*^-67+0.*I,0.-1.157645813417406*^-68*I,-1.1234618867560205*^-69+0.*I,0.+1.0838341677283624*^-70*I,1.039487410053269*^-71+0.*I
