0.08315123805046082+0.*I,0.1854512793439482+0.*I,0.2924663799834002+0.*I,0.3765966358076452+0.*I,0.41995963947507153+0.*I,0.41887425252297183+0.*I,0.3813898706853746+0.*I,0.32150020060875767+0.*I,0.25351132698737244+0.*I,0.1884678289033589+0.*I,0.13292245120102147+0.*I,0.08938468472530083+0.*I,0.05754844635849406+0.*I,0.035597790357050456+0.*I,0.02121876666429595+0.*I,0.012218998776196222+0.*I,0.0068129741915946415+0.*I,0.003685304664872772+0.*I,0.001937306154450561+0.*I,0.000991248564659181+0.*I,0.0004943433398803171+0.*I,0.00024059143021777017+0.*I,0.00011440102806196867+0.*I,0.000053201897612019876+0.*I,0.00002422047276509563+0.*I,0.00001080373008487599+0.*I,4.725504327994366*^-6+0.*I,2.028277612077607*^-6+0.*I,8.548885396475852*^-7+0.*I,3.5405571582098033*^-7+0.*I,1.4416906982294808*^-7+0.*I,5.775004982824965*^-8+0.*I,2.276871326646938*^-8+0.*I,8.839803919248847*^-9+0.*I,3.3811488244250773*^-9+0.*I,1.2746512572852951*^-9+0.*I,4.738067484484882*^-10+0.*I,1.7372466939426876*^-10+0.*I,6.285369436070669*^-11+0.*I,2.244706786834623*^-11+0.*I,7.915725725439925*^-12+0.*I,2.7571470105638215*^-12+0.*I,9.488474435462*^-13+0.*I,3.2271806571638983*^-13+0.*I,1.0850707423230459*^-13+0.*I,3.607554579079906*^-14+0.*I,1.1863015784585761*^-14+0.*I,3.8592889243216836*^-15+0.*I,1.242360938710085*^-15+0.*I,3.9583196473001847*^-16+0.*I,1.248495477797139*^-16+0.*I,3.899087661686422*^-17+0.*I,1.2059309498977195*^-17+0.*I,3.694414502045173*^-18+0.*I,1.1212691006162145*^-18+0.*I,3.3720159739002095*^-19+0.*I,1.0049783908047626*^-19+0.*I,2.968796364764583*^-20+0.*I,8.694157963172414*^-21+0.*I,2.5244259422602708*^-21+0.*I,7.268555705214323*^-22+0.*I,2.0756031420297204*^-22+0.*I,5.879082958972513*^-23+0.*I,1.6519634246434358*^-23+0.*I,4.6054445146026896*^-24+0.*I,1.274019249331991*^-24+0.*I,3.4975596973743085*^-25+0.*I,9.529911078297668*^-26+0.*I,2.5774811972722827*^-26+0.*I,6.920413971033643*^-27+0.*I,1.8447782431116314*^-27+0.*I,4.88288063086486*^-28+0.*I,1.2834264135321439*^-28+0.*I,3.350199402032118*^-29+0.*I,8.685921713030709*^-30+0.*I,2.2368990898725513*^-30+0.*I,5.722696454119401*^-31+0.*I,1.4545091635397661*^-31+0.*I,3.6730790419350326*^-32+0.*I,9.216750735963967*^-33+0.*I,2.298232503987156*^-33+0.*I,5.695247039371662*^-34+0.*I,1.402706322668193*^-34+0.*I,3.4339093177266406*^-35+0.*I,8.356228225811497*^-36+0.*I,2.0214450672883568*^-36+0.*I,4.861539649147227*^-37+0.*I,1.1624527776343145*^-37+0.*I,2.763726719494672*^-38+0.*I,6.533730361734723*^-39+0.*I,1.5360348416345284*^-39+0.*I,3.59121564577187*^-40+0.*I,8.350427016510092*^-41+0.*I,1.9312047641472045*^-41+0.*I,4.4424803051999256*^-42+0.*I,1.0165408188798498*^-42+0.*I,2.3139305479138284*^-43+0.*I,5.239930976440757*^-44+0.*I,1.1805207965162265*^-44+0.*I,2.6461664490544457*^-45+0.*I
-0.1854512793439482+0.*I,-0.3304586830602268+0.*I,-0.3900167927707012+0.*I,-0.33335264931314834+0.*I,-0.1834380310504867+0.*I,0.004847725427336373+0.*I,0.175418607802841+0.*I,0.292024436711101+0.*I,0.3439364013030753+0.*I,0.3401962829943043+0.*I,0.29953214376349346+0.*I,0.24150023086898595+0.*I,0.18128797229993074+0.*I,0.12810051914114398+0.*I,0.0858707564747512+0.*I,0.05492803315150075+0.*I,0.033681094708932935+0.*I,0.019871318302273247+0.*I,0.011314671194340688+0.*I,0.006233751125556036+0.*I,0.003330469905823413+0.*I,0.0017287773893369704+0.*I,0.0008733264983041125+0.*I,0.0004299924574720486+0.*I,0.00020661635457010772+0.*I,0.00009700692504546781+0.*I,0.00004454919089445334+0.*I,0.000020030795813245133+0.*I,8.825987922110635*^-6+0.*I,3.8140691613671573*^-6+0.*I,1.6177043523025073*^-6+0.*I,6.739001167856611*^-7+0.*I,2.7590280738209206*^-7+0.*I,1.1108098359576007*^-7+0.*I,4.400353287927714*^-8+0.*I,1.716030571314119*^-8+0.*I,6.591181634131872*^-9+0.*I,2.494597742409424*^-9+0.*I,9.307288907674527*^-10+0.*I,3.4245775022339923*^-10+0.*I,1.2431336766320218*^-10+0.*I,4.453614100546517*^-11+0.*I,1.5752150966237704*^-11+0.*I,5.5022542753397494*^-12+0.*I,1.8986673559601305*^-12+0.*I,6.474286944230626*^-13+0.*I,2.182183040062411*^-13+0.*I,7.272140966948619*^-14+0.*I,2.3967114238942144*^-14+0.*I,7.813706952339432*^-15+0.*I,2.5205041099844514*^-15+0.*I,8.04643192314262*^-16+0.*I,2.5427146628334414*^-16+0.*I,7.955348685882169*^-17+0.*I,2.4647537308636772*^-17+0.*I,7.563497243716473*^-18+0.*I,2.2992464851526468*^-18+0.*I,6.92529311766025*^-19+0.*I,2.0670631152340313*^-19+0.*I,6.115089543066526*^-20+0.*I,1.793302138948097*^-20+0.*I,5.214004028986815*^-21+0.*I,1.5032110164691414*^-21+0.*I,4.297941872799478*^-22+0.*I,1.2188560240706606*^-22+0.*I,3.428884979181785*^-23+0.*I,9.570124469214018*^-24+0.*I,2.6503314518812094*^-24+0.*I,7.283713237382413*^-25+0.*I,1.9866714605653303*^-25+0.*I,5.378594901429791*^-26+0.*I,1.4455354350560805*^-26+0.*I,3.857020444585553*^-27+0.*I,1.0218408845862386*^-27+0.*I,2.6882293528200435*^-28+0.*I,7.02333574820613*^-29+0.*I,1.8224507548185298*^-29+0.*I,4.6972482010603806*^-30+0.*I,1.2026674385894143*^-30+0.*I,3.059143899207967*^-31+0.*I,7.731140237371009*^-32+0.*I,1.9413887937138947*^-32+0.*I,4.844421512275004*^-33+0.*I,1.2013401816332889*^-33+0.*I,2.9608618489608346*^-34+0.*I,7.253221122246337*^-35+0.*I,1.7661846594802775*^-35+0.*I,4.275281761702313*^-36+0.*I,1.0288382766987664*^-36+0.*I,2.461573512639099*^-37+0.*I,5.855860729618941*^-38+0.*I,1.3851893679396013*^-38+0.*I,3.258334397267287*^-39+0.*I,7.622145739388815*^-40+0.*I,1.7732923440933352*^-40+0.*I,4.103276225859624*^-41+0.*I,9.443951885084468*^-42+0.*I,2.1620916964867632*^-42+0.*I,4.923976779616722*^-43+0.*I,1.1155862064294993*^-43+0.*I
0.2924663799834002+0.*I,0.3900167927707012+0.*I,0.2846182251061944+0.*I,0.04804351961572912+0.*I,-0.18214045572492396+0.*I,-0.29768611069219336+0.*I,-0.2682478247905158+0.*I,-0.13235966577131114+0.*I,0.041643155923381914+0.*I,0.19309192992656563+0.*I,0.2883241366497557+0.*I,0.32160663190583394+0.*I,0.305651711659163+0.*I,0.2601742266000545+0.*I,0.2034994362801325+0.*I,0.14854236678433744+0.*I,0.10224308857173103+0.*I,0.06685831184300625+0.*I,0.04177012586116588+0.*I,0.025043206775555157+0.*I,0.014460526458477356+0.*I,0.00806558344919884+0.*I,0.004356424320783049+0.*I,0.0022834736222461507+0.*I,0.0011636927543531963+0.*I,0.0005775141258575774+0.*I,0.0002795070351548847+0.*I,0.00013209456516716548+0.*I,0.00006102932992961043+0.*I,0.000027593373906965182+0.*I,0.000012220621857233554+0.*I,5.306132626245599*^-6+0.*I,2.2604872903139024*^-6+0.*I,9.455419728935638*^-7+0.*I,3.886027524583276*^-7+0.*I,1.5701728410235756*^-7+0.*I,6.241037259146026*^-8+0.*I,2.4415632868579014*^-8+0.*I,9.40589125905565*^-9+0.*I,3.5699136900141235*^-9+0.*I,1.3354689264953552*^-9+0.*I,4.92616884191331*^-10+0.*I,1.7924827027305914*^-10+0.*I,6.436237611579329*^-11+0.*I,2.281356231021659*^-11+0.*I,7.985141087512248*^-12+0.*I,2.7608172478602235*^-12+0.*I,9.431670052347511*^-13+0.*I,3.1846329977130125*^-13+0.*I,1.0630853794334847*^-13+0.*I,3.509356777636205*^-14+0.*I,1.1458957397906508*^-14+0.*I,3.701891920050976*^-15+0.*I,1.1834824709767755*^-15+0.*I,3.745015862992005*^-16+0.*I,1.1732474480554516*^-16+0.*I,3.6396233374325687*^-17+0.*I,1.1182462327527972*^-17+0.*I,3.4033977987320907*^-18+0.*I,1.026264479422163*^-18+0.*I,3.066559344703917*^-19+0.*I,9.081559026624766*^-20+0.*I,2.6659703321076803*^-20+0.*I,7.758942962947602*^-21+0.*I,2.239063096330612*^-21+0.*I,6.407795307917201*^-22+0.*I,1.8188185821213349*^-22+0.*I,5.121138849468367*^-23+0.*I,1.4305275477502518*^-23+0.*I,3.96490434450127*^-24+0.*I,1.0905074278768605*^-24+0.*I,2.976699259658435*^-25+0.*I,8.064940286230404*^-26+0.*I,2.1690781085647368*^-26+0.*I,5.791667596948351*^-27+0.*I,1.5354358734833692*^-27+0.*I,4.042064894801917*^-28+0.*I,1.0567228909849218*^-28+0.*I,2.743763607682522*^-29+0.*I,7.076204631305644*^-30+0.*I,1.8128483518434958*^-30+0.*I,4.613900339120628*^-31+0.*I,1.1666962995609974*^-31+0.*I,2.9313426135965956*^-32+0.*I,7.318630787530867*^-33+0.*I,1.8158586729656376*^-33+0.*I,4.477718590564172*^-34+0.*I,1.0974553549739704*^-34+0.*I,2.6736479108540715*^-35+0.*I,6.475004297314021*^-36+0.*I,1.5589237212235956*^-36+0.*I,3.7315423976656544*^-37+0.*I,8.880954983478785*^-38+0.*I,2.1016825967917524*^-38+0.*I,4.9458223605632604*^-39+0.*I,1.1574465910841032*^-39+0.*I,2.6938970930552346*^-40+0.*I,6.23597825247827*^-41+0.*I,1.435810494940092*^-41+0.*I,3.28839095591373*^-42+0.*I
-0.3765966358076452+0.*I,-0.33335264931314834+0.*I,-0.04804351961572912+0.*I,0.22275460898502134+0.*I,0.29001046917045403+0.*I,0.14817554590143914+0.*I,-0.07558031245018049+0.*I,-0.2393213554422676+0.*I,-0.2697645665538186+0.*I,-0.17650828129826335+0.*I,-0.018726824604251957+0.*I,0.13797937797729518+0.*I,0.24963843190715063+0.*I,0.30124938546541363+0.*I,0.3000029157294144+0.*I,0.26376682533187734+0.*I,0.21138978417440893+0.*I,0.1572966017167061+0.*I,0.1099831177958468+0.*I,0.0728720959103954+0.*I,0.046041071157337736+0.*I,0.02787324483413548+0.*I,0.01623211917196354+0.*I,0.009122059960071786+0.*I,0.004960200598750281+0.*I,0.0026156510158770333+0.*I,0.0013402461187137465+0.*I,0.0006684284990828442+0.*I,0.0003249706655476304+0.*I,0.00015421707280701566+0.*I,0.00007152192996760147+0.*I,0.00003245131965726047+0.*I,0.000014419022340389755+0.*I,6.279653622812455*^-6+0.*I,2.682781215833221*^-6+0.*I,1.1251465490993083*^-6+0.*I,4.635606200453562*^-7+0.*I,1.8773904359650758*^-7+0.*I,7.478430433565084*^-8+0.*I,2.9316595768875067*^-8+0.*I,1.1315854636176283*^-8+0.*I,4.302700286482422*^-9+0.*I,1.6123931577372413*^-9+0.*I,5.957462785646784*^-10+0.*I,2.1711307140688558*^-10+0.*I,7.807441713315185*^-11+0.*I,2.7713068042959413*^-11+0.*I,9.713153063565769*^-12+0.*I,3.362596246778606*^-12+0.*I,1.1501650774510106*^-12+0.*I,3.8881428004784655*^-13+0.*I,1.2993927004976697*^-13+0.*I,4.294067374548088*^-14+0.*I,1.4035773146571664*^-14+0.*I,4.538860969046007*^-15+0.*I,1.4524458614049324*^-15+0.*I,4.60034936062604*^-16+0.*I,1.4424831758556935*^-16+0.*I,4.4786524355533816*^-17+0.*I,1.3771610045751139*^-17+0.*I,4.1947263504524094*^-18+0.*I,1.2658487872147113*^-18+0.*I,3.7852459687151103*^-19+0.*I,1.12179244507124*^-19+0.*I,3.2953875249537786*^-20+0.*I,9.597166711203433*^-21+0.*I,2.771320803715601*^-21+0.*I,7.935973802574118*^-22+0.*I,2.2539467656058913*^-22+0.*I,6.35002508028828*^-23+0.*I,1.7748107068121134*^-23+0.*I,4.9218469579641745*^-24+0.*I,1.354430022494649*^-24+0.*I,3.6990375227066805*^-25+0.*I,1.0027076674297713*^-25+0.*I,2.6981221898834533*^-26+0.*I,7.207711420021041*^-27+0.*I,1.9117325008110147*^-27+0.*I,5.034947761390114*^-28+0.*I,1.3168728220576253*^-28+0.*I,3.420703514171581*^-29+0.*I,8.825723847264617*^-30+0.*I,2.2619760711792492*^-30+0.*I,5.759262387123028*^-31+0.*I,1.456881787330742*^-31+0.*I,3.661818249089844*^-32+0.*I,9.145759419769784*^-33+0.*I,2.2700105545683374*^-33+0.*I,5.599571923466802*^-34+0.*I,1.3728829922339376*^-34+0.*I,3.345769873792588*^-35+0.*I,8.105387379029961*^-36+0.*I,1.952078292646909*^-36+0.*I,4.674081652954611*^-37+0.*I,1.112756476315109*^-37+0.*I,2.634130187455229*^-38+0.*I,6.200624888131694*^-39+0.*I,1.4515166653225512*^-39+0.*I,3.379275177001248*^-40+0.*I,7.824671087437753*^-41+0.*I
0.41995963947507153+0.*I,0.1834380310504867+0.*I,-0.18214045572492396+0.*I,-0.29001046917045403+0.*I,-0.10064894934901655+0.*I,0.15900442746417792+0.*I,0.26576020409349954+0.*I,0.16689452029586807+0.*I,-0.03762505376116673+0.*I,-0.2078146237025982+0.*I,-0.25820098330786034+0.*I,-0.18492185969255565+0.*I,-0.039395612938325074+0.*I,0.11410551008310403+0.*I,0.22903941477211423+0.*I,0.2868150430415285+0.*I,0.29180351101390983+0.*I,0.26038277544554383+0.*I,0.2110294203707829+0.*I,0.15843973637895808+0.*I,0.11160451622543507+0.*I,0.0744106532012687+0.*I,0.04726739619815516+0.*I,0.028750840084486633+0.*I,0.016813052253026213+0.*I,0.009483672844743525+0.*I,0.005174059795875751+0.*I,0.002736667243095239+0.*I,0.0014061063513265428+0.*I,0.0007030359865108493+0.*I,0.0003425835660652526+0.*I,0.00016292071816751628+0.*I,0.0000757069003533454+0.*I,0.00003441276783001167+0.*I,0.00001531649057498943+0.*I,6.6810729534649405*^-6+0.*I,2.8585026054903587*^-6+0.*I,1.2005084369560271*^-6+0.*I,4.952552944524954*^-7+0.*I,2.008216770670549*^-7+0.*I,8.008840364301755*^-8+0.*I,3.143027930053558*^-8+0.*I,1.2144291186585067*^-8+0.*I,4.622241362259518*^-9+0.*I,1.7337544447409409*^-9+0.*I,6.411551285828559*^-10+0.*I,2.3385915674813783*^-10+0.*I,8.41640427069937*^-11+0.*I,2.9897568752275246*^-11+0.*I,1.0486486688003185*^-11+0.*I,3.632863551392855*^-12+0.*I,1.2434436236937252*^-12+0.*I,4.206176478615939*^-13+0.*I,1.406544975968272*^-13+0.*I,4.6509238019360616*^-14+0.*I,1.5210860018689625*^-14+0.*I,4.92154939125059*^-15+0.*I,1.5757360934630388*^-15+0.*I,4.993377857979175*^-16+0.*I,1.5664857637064484*^-16+0.*I,4.8659490647083906*^-17+0.*I,1.4969325839662683*^-17+0.*I,4.561542064408472*^-18+0.*I,1.3771268633787682*^-18+0.*I,4.1196864771103733*^-19+0.*I,1.2213909106494278*^-19+0.*I,3.589345252033367*^-20+0.*I,1.0457143515708635*^-20+0.*I,3.020738205676165*^-21+0.*I,8.653224486796403*^-22+0.*I,2.4584890492963407*^-22+0.*I,6.928553396971712*^-23+0.*I,1.9371243068908103*^-23+0.*I,5.373631484781016*^-24+0.*I,1.4791998105874988*^-24+0.*I,4.040971970600529*^-25+0.*I,1.0957078041211185*^-25+0.*I,2.949184766932494*^-26+0.*I,7.88051275037102*^-27+0.*I,2.090729390415035*^-27+0.*I,5.507776449817682*^-28+0.*I,1.440897013792574*^-28+0.*I,3.743773427116579*^-29+0.*I,9.661550441847898*^-30+0.*I,2.4767622230831572*^-30+0.*I,6.307547582510143*^-31+0.*I,1.5959268456607395*^-31+0.*I,4.012159280015777*^-32+0.*I,1.0022860137965949*^-32+0.*I,2.4882165119706875*^-33+0.*I,6.139054161824874*^-34+0.*I,1.5054437451584162*^-34+0.*I,3.6695223072795485*^-35+0.*I,8.891353045752219*^-36+0.*I,2.1417567298287128*^-36+0.*I,5.1291607055162975*^-37+0.*I,1.2213090522146917*^-37+0.*I,2.891588568337727*^-38+0.*I,6.807802951445757*^-39+0.*I,1.5939117902945365*^-39+0.*I
-0.41887425252297183+0.*I,0.004847725427336373+0.*I,0.29768611069219336+0.*I,0.14817554590143914+0.*I,-0.15900442746417792+0.*I,-0.25924242939188635+0.*I,-0.09089272271556104+0.*I,0.14798853321210517+0.*I,0.24863453695094437+0.*I,0.15679821946198497+0.*I,-0.036360597210235115+0.*I,-0.19853001976521883+0.*I,-0.24718591831746467+0.*I,-0.17733412118108796+0.*I,-0.03751242352770902+0.*I,0.11063413462153117+0.*I,0.2220210026068025+0.*I,0.2783492731386006+0.*I,0.28355756613171423+0.*I,0.2533418238081935+0.*I,0.20556339874054028+0.*I,0.15450285796002364+0.*I,0.10893986948079397+0.*I,0.07270073727213079+0.*I,0.04622033577710943+0.*I,0.028135965483287565+0.*I,0.01646541401175135+0.*I,0.009293834134655407+0.*I,0.005073664434748842+0.*I,0.0026851335355799187+0.*I,0.001380381279958033+0.*I,0.0006905265512055625+0.*I,0.00033664920231023563+0.*I,0.0001601707206417201+0.*I,0.0000744606144638344+0.*I,0.0000338598193193764+0.*I,0.00001507608514699565+0.*I,6.578562058256303*^-6+0.*I,2.8155980588060087*^-6+0.*I,1.1828701100981145*^-6+0.*I,4.881280637307015*^-7+0.*I,1.9798923887174268*^-7+0.*I,7.898069948693905*^-8+0.*I,3.1003757572820274*^-8+0.*I,1.1982510207951206*^-8+0.*I,4.561765272999336*^-9+0.*I,1.7114650450897241*^-9+0.*I,6.330520770255241*^-10+0.*I,2.3095245020708515*^-10+0.*I,8.313481019728535*^-11+0.*I,2.953770818251464*^-11+0.*I,1.0362205810702173*^-11+0.*I,3.5904546355939567*^-12+0.*I,1.229140870193986*^-12+0.*I,4.1584881213629384*^-13+0.*I,1.3908214429035563*^-13+0.*I,4.599644455533456*^-14+0.*I,1.5045399676049237*^-14+0.*I,4.8687165034756925*^-15+0.*I,1.5590379055913404*^-15+0.*I,4.94112856367508*^-16+0.*I,1.5502965651581764*^-16+0.*I,4.8162682975073195*^-17+0.*I,1.4818300397347273*^-17+0.*I,4.516054934748333*^-18+0.*I,1.3635506609892278*^-18+0.*I,4.079526689900236*^-19+0.*I,1.2096149275552793*^-19+0.*I,3.555110871705417*^-20+0.*I,1.0358458367255849*^-20+0.*I,2.9925266243485643*^-21+0.*I,8.5732319397528*^-22+0.*I,2.4359893746142875*^-22+0.*I,6.86576725197697*^-23+0.*I,1.9197396268905217*^-23+0.*I,5.325863425480397*^-24+0.*I,1.4661733156228316*^-24+0.*I,4.0057116595482393*^-25+0.*I,1.0862331951531457*^-25+0.*I,2.92390927454185*^-26+0.*I,7.81356340315914*^-27+0.*I,2.073119957287323*^-27+0.*I,5.461778404269452*^-28+0.*I,1.4289634590378227*^-28+0.*I,3.713021165651553*^-29+0.*I,9.582827684631414*^-30+0.*I,2.4567415937683906*^-30+0.*I,6.256959698613623*^-31+0.*I,1.5832257010016737*^-31+0.*I,3.980470753828706*^-32+0.*I,9.944289836262087*^-33+0.*I,2.4688547216628443*^-33+0.*I,6.091630400536075*^-34+0.*I,1.4938974739825216*^-34+0.*I,3.6415766778538186*^-35+0.*I,8.82411070954768*^-36+0.*I,2.1256703580549223*^-36+0.*I,5.09089684512662*^-37+0.*I,1.2122587488450578*^-37+0.*I,2.8703018448899264*^-38+0.*I
0.3813898706853746+0.*I,-0.175418607802841+0.*I,-0.2682478247905158+0.*I,0.07558031245018049+0.*I,0.26576020409349954+0.*I,0.09089272271556104+0.*I,-0.17648354995747095+0.*I,-0.23292063907548646+0.*I,-0.0555021939426515+0.*I,0.16174727449702236+0.*I,0.23553237685849368+0.*I,0.13153140687126863+0.*I,-0.055698197659981026+0.*I,-0.20238304356467854+0.*I,-0.23672684733901872+0.*I,-0.16004601365265722+0.*I,-0.021487915568167287+0.*I,0.12027679012609548+0.*I,0.22393262683105372+0.*I,0.27392371483177635+0.*I,0.2753689107424535+0.*I,0.24389725848963184+0.*I,0.1966594327546965+0.*I,0.14709741786599825+0.*I,0.10331732213124237+0.*I,0.06872874205473262+0.*I,0.04357773206266827+0.*I,0.02646627381319412+0.*I,0.015457345992819322+0.*I,0.008709526474496581+0.*I,0.0047472879305061584+0.*I,0.0025089160082679136+0.*I,0.0012881797531749026+0.*I,0.0006436750610555108+0.*I,0.00031348532520072557+0.*I,0.0001490097108373888+0.*I,0.00006921232953282877+0.*I,0.000031448244449623576+0.*I,0.000013992050061437662+0.*I,6.1013777519886315*^-6+0.*I,2.609711221492923*^-6+0.*I,1.0957267534052628*^-6+0.*I,4.519174443534346*^-7+0.*I,1.8320703236084955*^-7+0.*I,7.304835772381012*^-8+0.*I,2.8661915432098044*^-8+0.*I,1.1072647294992164*^-8+0.*I,4.213662967723565*^-9+0.*I,1.58025677841534*^-9+0.*I,5.843063908229398*^-10+0.*I,2.1309509895453972*^-10+0.*I,7.668156903659413*^-11+0.*I,2.7236357286284106*^-11+0.*I,9.552015960415583*^-12+0.*I,3.308787438498546*^-12+0.*I,1.1324088959851743*^-12+0.*I,3.8302267249567475*^-13+0.*I,1.2807155234697228*^-13+0.*I,4.234502568500418*^-14+0.*I,1.384787027821393*^-14+0.*I,4.480215247087408*^-15+0.*I,1.4343329551930392*^-15+0.*I,4.544979395880636*^-16+0.*I,1.4257269527588527*^-16+0.*I,4.428444598206351*^-17+0.*I,1.3622627793364763*^-17+0.*I,4.15094028307978*^-18+0.*I,1.2531007529256718*^-18+0.*I,3.748473671897134*^-19+0.*I,1.111281786717659*^-19+0.*I,3.265614072761141*^-20+0.*I,9.51357287476897*^-21+0.*I,2.7480549998343234*^-21+0.*I,7.871777369173675*^-22+0.*I,2.236383695013922*^-22+0.*I,6.302378492411647*^-23+0.*I,1.7619919022798857*^-23+0.*I,4.887642113755696*^-24+0.*I,1.3453770846229189*^-24+0.*I,3.6752697664251357*^-25+0.*I,9.965173084514843*^-26+0.*I,2.682126532277107*^-26+0.*I,7.166702923827664*^-27+0.*I,1.9013008010816836*^-27+0.*I,5.008616793427429*^-28+0.*I,1.310277637436538*^-28+0.*I,3.404310832880349*^-29+0.*I,8.785289833104345*^-30+0.*I,2.2520785925961286*^-30+0.*I,5.7352195399872085*^-31+0.*I,1.4510857803229104*^-31+0.*I,3.647952401037149*^-32+0.*I,9.112842023153798*^-33+0.*I,2.2622561873227073*^-33+0.*I,5.581446764737282*^-34+0.*I,1.3686796400467303*^-34+0.*I,3.336099529493572*^-35+0.*I,8.083319434067396*^-36+0.*I,1.9470838980673232*^-36+0.*I,4.662874000155166*^-37+0.*I
-0.32150020060875767+0.*I,0.292024436711101+0.*I,0.13235966577131114+0.*I,-0.2393213554422676+0.*I,-0.16689452029586807+0.*I,0.14798853321210517+0.*I,0.23292063907548646+0.*I,0.019861549754062725+0.*I,-0.20221595535641262+0.*I,-0.1992816645125188+0.*I,-0.005221746221831561+0.*I,0.18437843625169736+0.*I,0.21916694359630412+0.*I,0.09469897546810503+0.*I,-0.08665922609852175+0.*I,-0.21161864109182463+0.*I,-0.22385316169593303+0.*I,-0.13487621772020897+0.*I,0.004103470343908669+0.*I,0.13802154465794586+0.*I,0.2308878689229804+0.*I,0.2713548841894558+0.*I,0.2666056334627162+0.*I,0.23247679137708852+0.*I,0.18527809419413085+0.*I,0.13731512173718965+0.*I,0.09572262735376984+0.*I,0.06327469322804079+0.*I,0.03990246943202018+0.*I,0.024120028051638258+0.*I,0.014028611700464995+0.*I,0.007875333205304594+0.*I,0.004278391242358484+0.*I,0.0022543494369604623+0.*I,0.001154332033307132+0.*I,0.000575363788452291+0.*I,0.0002795783469436353+0.*I,0.00013261393623981824+0.*I,0.00006147731439838413+0.*I,0.000027883380244373054+0.*I,0.000012385174350524573+0.*I,5.3922369616656565*^-6+0.*I,2.303018617430471*^-6+0.*I,9.656297803358557*^-7+0.*I,3.9774676789257044*^-7+0.*I,1.6105025754587277*^-7+0.*I,6.414033165668177*^-8+0.*I,2.513938462047193*^-8+0.*I,9.701850736696387*^-9+0.*I,3.688413713662087*^-9+0.*I,1.3819917515601154*^-9+0.*I,5.105473607246917*^-10+0.*I,1.8603929703306586*^-10+0.*I,6.689212193403916*^-11+0.*I,2.3741136723556938*^-11+0.*I,8.320141566445764*^-12+0.*I,2.8800594342375878*^-12+0.*I,9.850212284888777*^-13+0.*I,3.3295731217726995*^-13+0.*I,1.112627487066727*^-13+0.*I,3.6765726016704247*^-14+0.*I,1.2016481952413113*^-14+0.*I,3.8855833697370306*^-15+0.*I,1.2433093208115947*^-15+0.*I,3.93768851823473*^-16+0.*I,1.2346217933058145*^-16+0.*I,3.833049429025351*^-17+0.*I,1.1785738810953146*^-17+0.*I,3.5896478944708945*^-18+0.*I,1.0831963439307294*^-18+0.*I,3.2389001147948216*^-19+0.*I,9.598313952909386*^-20+0.*I,2.8194783829828226*^-20+0.*I,8.210808925250135*^-21+0.*I,2.3708882792892965*^-21+0.*I,6.789012406359905*^-22+0.*I,1.928114361788984*^-22+0.*I,5.431852480186456*^-23+0.*I,1.518128580939641*^-23+0.*I,4.209874800755513*^-24+0.*I,1.1584645374787084*^-24+0.*I,3.1637380468484235*^-25+0.*I,8.575751953579746*^-26+0.*I,2.3075230362985053*^-26+0.*I,6.164087830589407*^-27+0.*I,1.6348803232729005*^-27+0.*I,4.30567878198724*^-28+0.*I,1.1261044841827952*^-28+0.*I,2.925087390891088*^-29+0.*I,7.546796724981881*^-30+0.*I,1.934147371586359*^-30+0.*I,4.9244527603704825*^-31+0.*I,1.2456765344737022*^-31+0.*I,3.130890677728246*^-32+0.*I,7.819542058368392*^-33+0.*I,1.9407970281641382*^-33+0.*I,4.787381317923442*^-34+0.*I,1.1737292173221954*^-34+0.*I,2.860367865195775*^-35+0.*I,6.929330246738731*^-36+0.*I
