0.006914128389324402+0.*I,0.-0.02180788515366102*I,-0.04863788316751247+0.*I,0.+0.08857071476672168*I,0.13968065581430944+0.*I,0.-0.19702773958015649*I,-0.2537043194191523+0.*I,0.+0.30245094998784366*I,0.3372764911810431+0.*I,0.-0.3546017936289555*I,-0.3536853242261404+0.*I,0.+0.33635416411363445*I,0.30625437200571576+0.*I,0.-0.26790864803372627*I,-0.22583893990912685+0.*I,0.+0.18392014839247606*I,0.14502585314225425+0.*I,0.-0.11094227820945632*I,-0.08247777547537462+0.*I,0.+0.05968102180715614*I,0.042091786990641186+0.*I,0.-0.028971022819848553*I,-0.01948177841684108+0.*I,0.+0.01281270399682949*I,0.008249189566812837+0.*I,0.-0.005203761589431853*I,-0.003218895137059157+0.*I,0.+0.00195389426568688*I,0.001164657303008822+0.*I,0.-0.0006821427488593781*I,-0.00039281743116243573+0.*I,0.+0.00022252869238539158*I,0.00012407581552953742+0.*I,0.-0.00006812496311064473*I,-0.0000368504616758548+0.*I,0.+0.00001964649231470203*I,0.000010327849102253721+0.*I,0.-5.355316385750408*^-6*I,-2.7401191435209307*^-6+0.*I,0.+1.3839272313661615*^-6*I,6.90175233635867*^-7+0.*I,0.-3.3997231631127934*^-7*I,-1.6546076222162142*^-7+0.*I,0.+7.958604158336885*^-8*I,3.784309760442747*^-8+0.*I,0.-1.7793301289630564*^-8*I,-8.27472802847516*^-9+0.*I,0.+3.806982768460506*^-9*I,1.7331510077538052*^-9+0.*I,0.-7.809342593845355*^-10*I,-3.4834179473910966*^-10+0.*I,0.+1.5384968404112064*^-10*I,6.729317949312856*^-11+0.*I,0.-2.9154743528425705*^-11*I,-1.2513778314465735*^-11+0.*I,0.+5.322102370396834*^-12*I,2.2431861872315755*^-12+0.*I,0.-9.371389870294065*^-13*I,-3.881200875768191*^-13+0.*I,0.+1.5937354265442458*^-13*I,6.489581829119171*^-14+0.*I,0.-2.6207639554975387*^-14*I,-1.0498038809845567*^-14+0.*I,0.+4.171709043446609*^-15*I,1.6447509105855178*^-15+0.*I,0.-6.434570577869148*^-16*I,-2.4981799167674387*^-16+0.*I,0.+9.626367178718205*^-17*I,3.6820024931698606*^-17+0.*I,0.-1.398091658286518*^-17*I,-5.270632505619003*^-18+0.*I,0.+1.972920899528593*^-18*I,7.333639150386702*^-19+0.*I,0.-2.7072865046412743*^-19*I,-9.926461674817408*^-20+0.*I,0.+3.6152634464581327*^-20*I,1.3080045827078677*^-20+0.*I,0.-4.701538692819006*^-21*I,-1.6790700880319683*^-21+0.*I,0.+5.958423816560292*^-22*I,2.1011763747696138*^-22+0.*I,0.-7.363700413025752*^-23*I,-2.564869638574079*^-23+0.*I,0.+8.879783189888246*^-24*I,3.055897834496251*^-24+0.*I,0.-1.0454553260988928*^-24*I,-3.5557593892079056*^-25+0.*I,0.+1.2023996767287728*^-25*I,4.042812747098231*^-26+0.*I,0.-1.3516515123772514*^-26*I,-4.493860549919003*^-27+0.*I,0.+1.4858501315905625*^-27*I,4.886042103646642*^-28+0.*I,0.-1.598055441930834*^-28*I,-5.198810976471359*^-29+0.*I,0.+1.682357684399276*^-29*I,5.4157527799081295*^-30+0.*I,0.-1.734399245010319*^-30*I,-5.526016147058709*^-31+0.*I,0.+1.751744101991629*^-31*I
0.-0.02180788515366102*I,-0.0618702256312898+0.*I,0.+0.12256797108767072*I,0.19511802680988816+0.*I,0.-0.2634259896209123*I,-0.3091106865744535+0.*I,0.+0.31759257031771926*I,0.28272344046970865+0.*I,0.-0.20834491003599712*I,-0.10662172598660635+0.*I,0.-0.005788771209934561*I,-0.11214524960530535+0.*I,0.+0.19920663553851742*I,0.25920390386945297+0.*I,0.-0.29010270013995515*I,-0.2945670406241682+0.*I,0.+0.27825386216565423*I,0.24803334493591658+0.*I,0.-0.210544680548508*I,-0.1712720943741644+0.*I,0.+0.13413973842264665*I,0.10151115950483118+0.*I,0.-0.0744385722855526*I,-0.05301871660131549+0.*I,0.+0.03675036608794263*I,0.02483273871799065+0.*I,0.-0.016381349466236088*I,-0.010563082592115398+0.*I,0.+0.006665585505645816*I,0.004120321840246347+0.*I,0.-0.0024972623867180748*I,-0.0014852360899871412+0.*I,0.+0.0008674642607720893*I,0.0004978880258949777+0.*I,0.-0.00028100316674445065*I,-0.00015604317670488819+0.*I,0.+0.00008530383603907756*I,0.00004593062471963924+0.*I,0.-0.00002436976452883835*I,-0.000012746987120804902+0.*I,0.+6.575839355466807*^-6*I,3.346969470850468*^-6+0.*I,0.-1.6813918515750226*^-6*I,-8.339760651350695*^-7+0.*I,0.+4.0855298328006457*^-7*I,1.9773728015824373*^-7+0.*I,0.-9.45806819051985*^-8*I,-4.472105486500806*^-8+0.*I,0.+2.090901049835979*^-8*I,9.668908601969384*^-9+0.*I,0.-4.423332597383457*^-9*I,-2.0023999774965556*^-9+0.*I,0.+8.971761123676478*^-10*I,3.979446266348186*^-10+0.*I,0.-1.7477296813155107*^-10*I,-7.601819546886229*^-11+0.*I,0.+3.275172309981582*^-11*I,1.3979849796271728*^-11+0.*I,0.-5.912866484392264*^-12*I,-2.4785261133925284*^-12+0.*I,0.+1.0298139447127925*^-12*I,4.2419090352607496*^-13+0.*I,0.-1.732472462019039*^-13*I,-7.016759254958315*^-14+0.*I,0.+2.8185955697732852*^-14*I,1.1230874814338585*^-14+0.*I,0.-4.439517736501049*^-15*I,-1.7412226867722593*^-15+0.*I,0.+6.776763580639869*^-16*I,2.617528224108604*^-16+0.*I,0.-1.0034861340185078*^-16*I,-3.818833972290138*^-17+0.*I,0.+1.4427682358085676*^-17*I,5.4119575159949446*^-18+0.*I,0.-2.0158049117993415*^-18*I,-7.4562760213421435*^-19+0.*I,0.+2.739155257523165*^-19*I,9.994779082277001*^-20+0.*I,0.-3.622690250853066*^-20*I,-1.3044552100046627*^-20+0.*I,0.+4.6666432398605836*^-21*I,1.6587999132286695*^-21+0.*I,0.-5.859127578693963*^-22*I,-2.0566297852868143*^-22+0.*I,0.+7.174593538783472*^-23*I,2.4876510338354282*^-23+0.*I,0.-8.573630092509119*^-24*I,-2.937342112012016*^-24+0.*I,0.+1.0004363300182339*^-24*I,3.3876568729086254*^-25+0.*I,0.-1.1405481457815443*^-25*I,-3.818217049370687*^-26+0.*I,0.+1.2710664942132177*^-26*I,4.207884940044559*^-27+0.*I,0.-1.3853962917340587*^-27*I,-4.536540907166736*^-28+0.*I,0.+1.4775486412948968*^-28*I,4.786850213225267*^-29+0.*I,0.-1.542671316953532*^-29*I,-4.945798205328482*^-30+0.*I
-0.04863788316751247+0.*I,0.+0.12256797108767072*I,0.21149175403047443+0.*I,0.-0.2850550662430394*I,-0.31157748848571326+0.*I,0.+0.272893057592688*I,0.17292775509196204+0.*I,0.-0.03639364442780259*I,0.10077755048966722+0.*I,0.-0.2041690491721239*I,-0.2513240590869692+0.*I,0.+0.23654042826431732*I,0.1695897000915596+0.*I,0.-0.07022031655146212*I,0.03877625012440224+0.*I,0.-0.13750937710948477*I,-0.21257492064241082+0.*I,0.+0.2580564380180913*I,0.27452458070461067+0.*I,0.-0.2669560455851413*I,-0.24243955449024415+0.*I,0.+0.20826322352761434*I,0.1706549101036059+0.*I,0.-0.1341864277160183*I,-0.1016982899785105+0.*I,0.+0.07454798500511847*I,0.05300057164492065+0.*I,0.-0.03663019587635354*I,-0.02465725495538204+0.*I,0.+0.016192285542953433*I,0.010388321403969388+0.*I,0.-0.006519226352551731*I,-0.0040062484887011425+0.*I,0.+0.0024132223703440155*I,0.0014261266900242478+0.*I,0.-0.0008274992271183631*I,-0.00047178293579237595+0.*I,0.+0.0002644671117399844*I,0.00014585533738568684+0.*I,0.-0.0000791845030577926*I,-0.00004234023820670946+0.*I,0.+0.000022308670282691666*I,0.000011587751444647178+0.*I,0.-5.9362857646626735*^-6*I,-3.0005033147219294*^-6+0.*I,0.+1.4969257062567707*^-6*I,7.37372440946919*^-7+0.*I,0.-3.5875599640901495*^-7*I,-1.724543973130889*^-7+0.*I,0.+8.192986270259028*^-8*I,3.8479233624426887*^-8+0.*I,0.-1.7870804356422983*^-8*I,-8.20931467660716*^-9+0.*I,0.+3.7309652472053*^-9*I,1.6779867331476433*^-9+0.*I,0.-7.46974643001002*^-10*I,-3.292046777042542*^-10+0.*I,0.+1.4366725204440786*^-10*I,6.209639492200352*^-11+0.*I,0.-2.658725618409119*^-11*I,-1.1278664055065024*^-11+0.*I,0.+4.741265156230116*^-12*I,1.975403593657824*^-12+0.*I,0.-8.158537582234281*^-13*I,-3.3406502128462797*^-13+0.*I,0.+1.3563657518866017*^-13*I,5.4615057025613347*^-14+0.*I,0.-2.181213707334728*^-14*I,-8.641571697394682*^-15+0.*I,0.+3.396662934159315*^-15*I,1.324744186941751*^-15+0.*I,0.-5.127248400523469*^-16*I,-1.9695213919835554*^-16+0.*I,0.+7.509494609130404*^-17*I,2.84238251690854*^-17+0.*I,0.-1.0681268707670543*^-17*I,-3.985446487824696*^-18+0.*I,0.+1.4766886968158836*^-18*I,5.433772967860716*^-19+0.*I,0.-1.9858943263071783*^-19*I,-7.209302898658418*^-20+0.*I,0.+2.5998732766586977*^-20*I,9.314747236690666*^-21+0.*I,0.-3.3157910603145136*^-21*I,-1.1728342751571212*^-21+0.*I,0.+4.1224447083266626*^-22*I,1.440045156171466*^-22+0.*I,0.-4.9995852765542086*^-23*I,-1.7252861337849783*^-23+0.*I,0.+5.918197380153702*^-24*I,2.0181341340863892*^-24+0.*I,0.-6.841845164098568*^-25*I,-2.306156254245645*^-25+0.*I,0.+7.729038010832043*^-26*I,2.5757971840618864*^-26+0.*I,0.-8.536405351432867*^-27*I,-2.8134717102742354*^-27+0.*I,0.+9.222329719997387*^-28*I,3.006734885040508*^-28+0.*I,0.-9.750598925205904*^-29*I
0.+0.08857071476672168*I,0.19511802680988816+0.*I,0.-0.2850550662430394*I,-0.3076001414384717+0.*I,0.+0.23823660384510734*I,0.09469978729194889+0.*I,0.+0.07102360519733737*I,0.197877837482429+0.*I,0.-0.24294883228666145*I,-0.19724474225452962+0.*I,0.+0.08490696884860724*I,-0.050503320949302447+0.*I,0.+0.16425407427639135*I,0.22515628537201654+0.*I,0.-0.2223056730883344*I,-0.16370143790910657+0.*I,0.+0.06953956356107496*I,-0.03610276067543331+0.*I,0.+0.13219096123072094*I,0.2047385523737039+0.*I,0.-0.24778948690766292*I,-0.262182602601052+0.*I,0.+0.2532129209823009*I,0.22816544844487657+0.*I,0.-0.1943415841321815*I,-0.15782406355219414+0.*I,0.+0.12294805374503627*I,0.0922972775800386+0.*I,0.-0.06700566299321561*I,-0.04717599311829562+0.*I,0.+0.03228712831469339*I,0.02152211862013569+0.*I,0.-0.01399623257348382*I,-0.00889268907523494+0.*I,0.+0.0055271072607113*I,0.0033642546832836078+0.*I,0.-0.0020074137268820597*I,-0.0011752464671332655+0.*I,0.+0.0006756393924643117*I,0.00038169207877241274+0.*I,0.-0.00021203836648785187*I,-0.0001159007125143155+0.*I,0.+0.00006236983646901643*I,0.000033060404689425666+0.*I,0.-0.00001727025742503801*I,-8.89496289392444*^-6+0.*I,0.+4.518859465172394*^-6*I,2.265301202259698*^-6+0.*I,0.-1.120980523216498*^-6*I,-5.477699663410127*^-7+0.*I,0.+2.6440568582850774*^-7*I,1.2611079487918296*^-7+0.*I,0.-5.9452738952547424*^-8*I,-2.7710998756843005*^-8+0.*I,0.+1.2773492151034646*^-8*I,5.824451778484439*^-9+0.*I,0.-2.627809949822941*^-9*I,-1.173348519492965*^-9+0.*I,0.+5.186214264481079*^-10*I,2.2696358977118166*^-10+0.*I,0.-9.83631151567093*^-11*I,-4.222435914646964*^-11+0.*I,0.+1.79568227391908*^-11*I,7.566747855709248*^-12+0.*I,0.-3.159926933678293*^-12*I,-1.3079906958386163*^-12+0.*I,0.+5.367366427029896*^-13*I,2.1838028176598757*^-13+0.*I,0.-8.811004111087566*^-14*I,-3.525811987344659*^-14+0.*I,0.+1.3995050823921145*^-14*I,5.510984457389121*^-15+0.*I,0.-2.1531740538524633*^-15*I,-8.347921913841518*^-16+0.*I,0.+3.212027198900587*^-16*I,1.226682874774092*^-16+0.*I,0.-4.650361625925588*^-17*I,-1.750209638305761*^-17+0.*I,0.+6.540161804255302*^-18*I,2.426759749682636*^-18+0.*I,0.-8.942283404127284*^-19*I,-3.2726207109178583*^-19+0.*I,0.+1.1896235893067853*^-19*I,4.295661153107083*^-20+0.*I,0.-1.5409758638267877*^-20*I,-5.492180401476274*^-21+0.*I,0.+1.944973328026726*^-21*I,6.844444406289995*^-22+0.*I,0.-2.3936095746670864*^-22*I,-8.319418418482634*^-23+0.*I,0.+2.874023292343498*^-23*I,9.869100224151468*^-24+0.*I,0.-3.3688858776093136*^-24*I,-1.1432658836571434*^-24+0.*I,0.+3.857361998547725*^-25*I,1.2940321188873902*^-25+0.*I,0.-4.316580356591455*^-26*I,-1.4318669696868783*^-26+0.*I,0.+4.72346707408293*^-27*I,1.5496770200528483*^-27+0.*I
0.13968065581430944+0.*I,0.-0.2634259896209123*I,-0.31157748848571326+0.*I,0.+0.23823660384510734*I,0.06811145975729349+0.*I,0.+0.1170100962846762*I,0.22799102385351672+0.*I,0.-0.21810831468803324*I,-0.10330151077630503+0.*I,0.-0.05335795978913674*I,-0.17796858438491364+0.*I,0.+0.22044866097656515*I,0.17156295961627924+0.*I,0.-0.05897001041730824*I,0.07064115011307324+0.*I,0.-0.1723273438617368*I,-0.21773534215502807+0.*I,0.+0.20029542722047203*I,0.13188654828896657+0.*I,0.-0.03477989903765437*I,0.0670323226333091+0.*I,0.-0.15428134475011498*I,-0.21554266793466065+0.*I,0.+0.24735439259564748*I,0.252402069385592+0.*I,0.-0.23695714654373023*I,-0.20847847008979858+0.*I,0.+0.17387077312863694*I,0.1385242034028989+0.*I,0.-0.10601925726531362*I,-0.07827828572361405+0.*I,0.+0.05594205298356775*I,0.03880095230784921+0.*I,0.-0.0261768810172172*I,-0.01720988349084556+0.*I,0.+0.011043797933708842*I,0.006926967470247247+0.*I,0.-0.004251885271642352*I,-0.0025568341829525034+0.*I,0.+0.0015077349285803293*I,0.0008726207249364476+0.*I,0.-0.0004960725082725836*I,-0.0002772007337370759+0.*I,0.+0.00015235519457279412*I,0.00008241285733458922+0.*I,0.-0.00004389838205607053*I,-0.00002303780872875282+0.*I,0.+0.000011917371206125467*I,6.079388560395328*^-6+0.*I,0.-3.059569906518649*^-6*I,-1.5196776746390514*^-6+0.*I,0.+7.452338125205749*^-7*I,3.6093885433824755*^-7+0.*I,0.-1.7270954007612414*^-7*I,-8.16722447299855*^-8+0.*I,0.+3.81799110897442*^-8*I,1.764890910629074*^-8+0.*I,0.-8.0693329583885*^-9*I,-3.6500848985197907*^-9+0.*I,0.+1.63386991464707*^-9*I,7.239024193021292*^-10+0.*I,0.-3.1753021838799387*^-10*I,-1.379186183024312*^-10+0.*I,0.+5.933077330283397*^-11*I,2.528362115667164*^-11+0.*I,0.-1.0675302873101316*^-11*I,-4.466621527425202*^-12+0.*I,0.+1.8522922416958584*^-12*I,7.614508189406809*^-13+0.*I,0.-3.103445834477837*^-13*I,-1.2542436944590308*^-13+0.*I,0.+5.027108605210033*^-14*I,1.998545863600252*^-14+0.*I,0.-7.881852584652274*^-15*I,-3.084023469035248*^-15+0.*I,0.+1.1973942622094378*^-15*I,4.613600303620823*^-16+0.*I,0.-1.764320656637471*^-16*I,-6.697298727050341*^-17+0.*I,0.+2.523798759890305*^-17*I,9.44255460532639*^-18+0.*I,0.-3.5079181063701455*^-18*I,-1.2941321770876105*^-18+0.*I,0.+4.741545086191775*^-19*I,1.7254992752721512*^-19+0.*I,0.-6.237402129112586*^-20*I,-2.2398868075385855*^-20+0.*I,0.+7.991347010716857*^-21*I,2.832844225308142*^-21+0.*I,0.-9.978617927390667*^-22*I,-3.492998126511258*^-22+0.*I,0.+1.2151808629939415*^-22*I,4.2017632497371733*^-23+0.*I,0.-1.444118925498279*^-23*I,-4.933860806921379*^-24+0.*I,0.+1.6757700634102166*^-24*I,5.658689475055799*^-25+0.*I,0.-1.899856386008687*^-25*I,-6.342464412824523*^-26+0.*I,0.+2.1055030171158636*^-26*I
0.-0.19702773958015649*I,-0.3091106865744535+0.*I,0.+0.272893057592688*I,0.09469978729194889+0.*I,0.+0.1170100962846762*I,0.2331610483680053+0.*I,0.-0.19341654351976462*I,-0.037891924866772925+0.*I,0.-0.1301747939326349*I,-0.21385804512381107+0.*I,0.+0.17557555316540083*I,0.04698566840762346+0.*I,0.+0.09951800211622232*I,0.19345630929221083+0.*I,0.-0.198319177339096*I,-0.12072374255762257+0.*I,0.-0.0011400815344289308*I,-0.1189557113676118+0.*I,0.+0.1940001581800903*I,0.20803512958147216+0.*I,0.-0.1641128120932711*I,-0.0802474838523513+0.*I,0.-0.01958773160205361*I,-0.11337967401093442+0.*I,0.+0.18589843185416202*I,0.23014626212567535+0.*I,0.-0.24627434769998055*I,-0.2392052846544588+0.*I,0.+0.21605685053668508*I,0.18406409239035984+0.*I,0.-0.14927698010268456*I,-0.11600181995301131+0.*I,0.+0.08679242954635567*I,0.06275742870489051+0.*I,0.-0.04398540643456926*I,-0.029955148505667606+0.*I,0.+0.019862726486609285*I,0.012845855742872433+0.*I,0.-0.008115074525439173*I,-0.005014100902389859+0.*I,0.+0.0030336357678742874*I,0.001799066174497568+0.*I,0.-0.0010467468645605999*I,-0.000598006206361592+0.*I,0.+0.00033571038706507684*I,0.0001853173350414213+0.*I,0.-0.00010065420787323879*I,-0.00005382243453586281+0.*I,0.+0.000028349290820019182*I,0.000014715794106890551+0.*I,0.-7.531615268681696*^-6*I,-3.8022653738400234*^-6+0.*I,0.+1.8941814543869503*^-6*I,9.315148574005343*^-7+0.*I,0.-4.523779850663029*^-7*I,-2.1702119255411824*^-7+0.*I,0.+1.0287960253721292*^-7*I,4.820730918515512*^-8+0.*I,0.-2.2334499368856892*^-8*I,-1.0233784249386287*^-8+0.*I,0.+4.638784682767413*^-9*I,2.0805874930292507*^-9+0.*I,0.-9.235969980903597*^-10*I,-4.058730017029391*^-10+0.*I,0.+1.766042003014051*^-10*I,7.610325305476615*^-11+0.*I,0.-3.248487036334912*^-11*I,-1.3737752815494567*^-11+0.*I,0.+5.756845325457632*^-12*I,2.3909050502523227*^-12+0.*I,0.-9.842846897681737*^-13*I,-4.0172492973888506*^-13+0.*I,0.+1.625746998315742*^-13*I,6.524651588273966*^-14+0.*I,0.-2.5971896726764247*^-14*I,-1.0255376852737827*^-14+0.*I,0.+4.0175269262888924*^-15*I,1.5616397426285945*^-15+0.*I,0.-6.023815061866887*^-16*I,-2.306127006610592*^-16+0.*I,0.+8.763267451661463*^-17*I,3.305742537827002*^-17+0.*I,0.-1.2380536426273882*^-17*I,-4.603872673163652*^-18+0.*I,0.+1.7000633911663204*^-18*I,6.234593695311047*^-19+0.*I,0.-2.2708813262194383*^-19*I,-8.216082392401416*^-20+0.*I,0.+2.9529689247744763*^-20*I,1.0544240423138563*^-20+0.*I,0.-3.740861214121567*^-21*I,-1.3187555568720506*^-21+0.*I,0.+4.6198618926440415*^-22*I,1.608423150318734*^-22+0.*I,0.-5.565600509992074*^-23*I,-1.9142428913057848*^-23+0.*I,0.+6.544665252474616*^-24*I,2.224408311587062*^-24+0.*I,0.-7.51638104626672*^-25*I,-2.52522497633663*^-25+0.*I
-0.2537043194191523+0.*I,0.+0.31759257031771926*I,0.17292775509196204+0.*I,0.+0.07102360519733737*I,0.22799102385351672+0.*I,0.-0.19341654351976462*I,-0.015893286024961987+0.*I,0.-0.16012190896962222*I,-0.2113744238875325+0.*I,0.+0.11594508354840599*I,-0.05000830631236278+0.*I,0.+0.17722895711706688*I,0.1945929081007798+0.*I,0.-0.10261900633860466*I,0.04014214425343933+0.*I,0.-0.15811927487750607*I,-0.19860908103010017+0.*I,0.+0.15125521470681885*I,0.04376849446400323+0.*I,0.+0.07734773985336671*I,0.16849729007414127+0.*I,0.-0.2036956537105894*I,-0.17888452948587327+0.*I,0.+0.10764360527125341*I,0.01261423071961801+0.*I,0.+0.08311393941422025*I,0.1619705468506719+0.*I,0.-0.2144122166142374*I,-0.23853517061578464+0.*I,0.+0.23798602241645153*I,0.2193621446077087+0.*I,0.-0.18994043994119805*I,-0.15613577296987555+0.*I,0.+0.12273619273494797*I,0.09275440707112557+0.*I,0.-0.067662866618312*I,-0.04779843293404311+0.*I,0.+0.03278359263151499*I,0.021878588436820858+0.*I,0.-0.014233015193315917*I,-0.009040067890473059+0.*I,0.+0.005613537920503082*I,0.0034120298521359733+0.*I,0.-0.0020321799742490216*I,-0.001187128340387112+0.*I,0.+0.000680755434064159*I,0.0003835122829363134+0.*I,0.-0.00021240704872658284*I,-0.00011572864633636364+0.*I,0.+0.00006206593850135951*I,0.000032782694772508363+0.*I,0.-0.000017062226229778204*I,-8.754508520980837*^-6+0.*I,0.+4.4302098995420435*^-6*I,2.2120364996529228*^-6+0.*I,0.-1.090193320188387*^-6*I,-5.305369650208053*^-7+0.*I,0.+2.5502171020092355*^-7*I,1.2112342142172747*^-7+0.*I,0.-5.685923683402057*^-8*I,-2.6388899708218015*^-8+0.*I,0.+1.2111777879634916*^-8*I,5.498876110467724*^-9+0.*I,0.-2.4701707624851058*^-9*I,-1.0981698843854972*^-9+0.*I,0.+4.832806319165196*^-10*I,2.1057653673864626*^-10+0.*I,0.-9.08637453986143*^-11*I,-3.883532027940311*^-11+0.*I,0.+1.6443744625875302*^-11*I,6.899073518536998*^-12+0.*I,0.-2.8686169147861683*^-12*I,-1.1822753862976916*^-12+0.*I,0.+4.830575439081628*^-13*I,1.9569531609565763*^-13+0.*I,0.-7.861910476771404*^-14*I,-3.132595355689196*^-14+0.*I,0.+1.2381386969357135*^-14*I,4.854910878848197*^-15+0.*I,0.-1.888845356802771*^-15*I,-7.292376183443193*^-16+0.*I,0.+2.794163521013907*^-16*I,1.0626629916149306*^-16+0.*I,0.-4.011895066550359*^-17*I,-1.503701419068873*^-17+0.*I,0.+5.596003780095822*^-18*I,2.0679672568460992*^-18+0.*I,0.-7.589308150349002*^-19*I,-2.766278633322025*^-19+0.*I,0.+1.0015346795413247*^-19*I,3.6020718175412174*^-20+0.*I,0.-1.2870455378240583*^-20*I,-4.569076536905903*^-21+0.*I,0.+1.611731573245152*^-21*I,5.6496633062368325*^-22+0.*I,0.-1.9681258569700912*^-22*I,-6.81424259353446*^-23+0.*I,0.+2.345037810138193*^-23*I,8.021986441789674*^-24+0.*I,0.-2.7280058328337675*^-24*I
0.+0.30245094998784366*I,0.28272344046970865+0.*I,0.-0.03639364442780259*I,0.197877837482429+0.*I,0.-0.21810831468803324*I,-0.037891924866772925+0.*I,0.-0.16012190896962222*I,-0.2067809445110526+0.*I,0.+0.08081028691629812*I,-0.10145334993204445+0.*I,0.+0.19819776012192403*I,0.14859291738440794+0.*I,0.+0.00006527522096462846*I,0.14284925861977713+0.*I,0.-0.1929802278017043*I,-0.12973815694807808+0.*I,0.-0.0022841356247422402*I,-0.12919257664056352+0.*I,0.+0.19036978642679192*I,0.16431828481897498+0.*I,0.-0.07013073858013737*I,0.04901222496186224+0.*I,0.-0.14785847772206143*I,-0.19592954837513946+0.*I,0.+0.18427930356952027*I,0.12292206861625599+0.*I,0.-0.03291030072533148*I,0.06249455840045468+0.*I,0.-0.1444572252777773*I,-0.20180217298294897+0.*I,0.+0.2311675874284717*I,0.23519394509797667+0.*I,0.-0.21997411478525908*I,-0.19268966032011656+0.*I,0.+0.15992119835713406*I,0.12674158091444646+0.*I,0.-0.0964625566158354*I,-0.07080923706963654+0.*I,0.+0.05030112896375875*I,0.034674203833466526+0.*I,0.-0.023246391559302807*I,-0.015186231246904039+0.*I,0.+0.00968268786748828*I,0.006034001545867829+0.*I,0.-0.0036797221988338993*I,-0.0021983642351155047+0.*I,0.+0.001287902633317086*I,0.0007405358389403877+0.*I,0.-0.00041824752162547454*I,-0.00023219795855907206+0.*I,0.+0.00012679665146262832*I,0.0000681466995644731+0.*I,0.-0.000036067194158891966*I,-0.000018807677724679485+0.*I,0.+9.667675944221566*^-6*I,4.900807481328797*^-6+0.*I,0.-2.4510582659863256*^-6*I,-1.20990247584249*^-6+0.*I,0.+5.896818485223997*^-7*I,2.838613975695283*^-7+0.*I,0.-1.3500754943179706*^-7*I,-6.346102092913071*^-8+0.*I,0.+2.9490376831458707*^-8*I,1.3551840101323831*^-8+0.*I,0.-6.159922585929758*^-9*I,-2.770256937926722*^-9+0.*I,0.+1.232923875631886*^-9*I,5.431536449598556*^-10+0.*I,0.-2.3690471930776425*^-10*I,-1.0232447172587364*^-10+0.*I,0.+4.377502796706706*^-11*I,1.855227599748995*^-11+0.*I,0.-7.790604198504691*^-12*I,-3.2420852261387337*^-12+0.*I,0.+1.3373042945180112*^-12*I,5.468383419235922*^-13+0.*I,0.-2.2170644846693707*^-13*I,-8.913609321433343*^-14+0.*I,0.+3.5542475620708433*^-14*I,1.4057925820068686*^-14+0.*I,0.-5.5161097623189115*^-15*I,-2.147529928309022*^-15+0.*I,0.+8.296500259396788*^-16*I,3.180921366542755*^-16+0.*I,0.-1.2104990265688667*^-16*I,-4.5727668454544967*^-17+0.*I,0.+1.7149237961586123*^-17*I,6.385697370431377*^-18+0.*I,0.-2.3611020539673114*^-18*I,-8.669777485428366*^-19+0.*I,0.+3.161771483661774*^-19*I,1.1453116763978327*^-19+0.*I,0.-4.1212386367449175*^-20*I,-1.4732680300626745*^-20+0.*I,0.+5.232674108418745*^-21*I,1.846675122360933*^-21+0.*I,0.-6.47616910774349*^-22*I,-2.2570530797441766*^-22+0.*I,0.+7.817995323995979*^-23*I,2.6916112963936686*^-23+0.*I
