0.0025567303551783035+0.*I,0.-0.008833883394426027*I,-0.021582581977737193+0.*I,0.+0.043053603459325074*I,0.07437829959252995+0.*I,0.-0.11492856336607207*I,-0.1621134646111261+0.*I,0.+0.21170777218401846*I,0.2586178775785488+0.*I,0.-0.2978544021554328*I,-0.3254398700428123+0.*I,0.+0.3390323577530022*I,0.33815612760406505+0.*I,0.-0.32405021954634944*I,-0.2992368241408896+0.*I,0.+0.2669538213252879*I,0.23059128277916993+0.*I,0.-0.19323471869768774*I,-0.15736771591186963+0.*I,0.+0.12473995284708402*I,0.096373429169566+0.*I,0.-0.072663179906475*I,-0.05352661675599758+0.*I,0.+0.038563159667480425*I,0.027197796774569467+0.*I,0.-0.018794486075172177*I,-0.012735339160383899+0.*I,0.+0.008468283091997727*I,0.005529464662083926+0.*I,0.-0.0035477321416657105*I,-0.002237983755721304+0.*I,0.+0.001388809944672579*I,0.0008482708890323754+0.*I,0.-0.0005102045506185361*I,-0.0003023232892271995+0.*I,0.+0.00017656487710162447*I,0.00010167631565760336+0.*I,0.-0.00005775447938557945*I,-0.000032371334966380865+0.*I,0.+0.00001790997752463415*I,9.784345498853819*^-6+0.*I,0.-5.279667664134707*^-6*I,-2.814807344885134*^-6+0.*I,0.+1.483136702976019*^-6*I,7.725410737378646*^-7+0.*I,0.-3.979074373053327*^-7*I,-2.0270752704744022*^-7+0.*I,0.+1.0216159885831721*^-7*I,5.094878094930597*^-8+0.*I,0.-2.514794441506419*^-8*I,-1.2288085492551874*^-8+0.*I,0.+5.945191810010487*^-9*I,2.8485964825318016*^-9+0.*I,0.-1.3519472089535806*^-9*I,-6.356668861528788*^-10+0.*I,0.+2.9615221022574056*^-10*I,1.3673752015091737*^-10+0.*I,0.-6.257732669883448*^-11*I,-2.8390284461322263*^-11+0.*I,0.+1.2770575614338763*^-11*I,5.696414488021214*^-12+0.*I,0.-2.52001658771578*^-12*I,-1.1057941534022702*^-12+0.*I,0.+4.813608322057489*^-13*I,2.078966527374018*^-13+0.*I,0.-8.909586596741361*^-14*I,-3.7892418064461476*^-14+0.*I,0.+1.5994904577309824*^-14*I,6.701838094965521*^-15+0.*I,0.-2.787636363682112*^-15*I,-1.1512080975364448*^-15+0.*I,0.+4.720536891495188*^-16*I,1.9221703881653431*^-16+0.*I,0.-7.773152481111508*^-17*I,-3.12210900470925*^-17+0.*I,0.+1.2456159618362107*^-17*I,4.936783743879189*^-18+0.*I,0.-1.9438622034706727*^-18*I,-7.6047494252071835*^-19+0.*I,0.+2.9562291681984643*^-19*I,1.1419835259182295*^-19+0.*I,0.-4.3841364663640784*^-20*I,-1.6727994328608988*^-20+0.*I,0.+6.344122511121986*^-21*I,2.3916556635298322*^-21+0.*I,0.-8.963052173925654*^-22*I,-3.3394383746799556*^-22+0.*I,0.+1.2370308822257853*^-22*I,4.5562331591775997*^-23+0.*I,0.-1.6686977169189763*^-23*I,-6.077474589430013*^-24+0.*I,0.+2.2012490937769867*^-24*I,7.929430759483492*^-25+0.*I,0.-2.840974080951224*^-25*I,-1.0124418282553631*^-25+0.*I,0.+3.589012834618032*^-26*I,1.265628160904795*^-26+0.*I,0.-4.4400411696635586*^-27*I,-1.5496752390793044*^-27+0.*I,0.+5.381332553459598*^-28*I
0.-0.008833883394426027*I,-0.027965649788766776+0.*I,0.+0.06207803093565443*I,0.11137447064109866+0.*I,0.-0.17088087332427893*I,-0.23078033479225538+0.*I,0.+0.2786097787004301*I,0.30256990835134634+0.*I,0.-0.29476320110143445*I,-0.25327759802884064+0.*I,0.+0.18254480053731476*I,0.09204524704793993+0.*I,0.+0.006062855676412094*I,0.09959758374726828+0.*I,0.-0.1785771934520451*I,-0.236574105352982+0.*I,0.+0.2710881295740674*I,0.28309754087846345+0.*I,0.-0.2760966310283953*I,-0.25495489293983414+0.*I,0.+0.22486950599477784*I,0.19057644734964121+0.*I,0.-0.1558781074203723*I,-0.12346318752347286+0.*I,0.+0.09494769773374619*I,0.07105124098182755+0.*I,0.-0.05183096154060096*I,-0.03691558667383148+0.*I,0.+0.02570481991180024*I,0.017519136637161543+0.*I,0.-0.01169916270307228*I,-0.007662021416354046+0.*I,0.+0.0049253934336813635*I,0.003110112707105813+0.*I,0.-0.001930406291361468*I,-0.0011785108054115823+0.*I,0.+0.0007080824794462636*I,0.0004189225725392864+0.*I,0.-0.0002441747476659489*I,-0.00014027728768974294+0.*I,0.+0.00007946627565472492*I,0.00004440834329295367+0.*I,0.-0.00002449057935212469*I,-0.000013333468368384481+0.*I,0.+7.168771677450037*^-6*I,3.8075337303665977*^-6+0.*I,0.-1.9983549073471334*^-6*I,-1.0367092815871235*^-6+0.*I,0.+5.317607083148618*^-7*I,2.6975158084930485*^-7+0.*I,0.-1.3536565848279536*^-7*I,-6.721296170712513*^-8+0.*I,0.+3.302906358123416*^-8*I,1.6066916870674415*^-8+0.*I,0.-7.738418889922122*^-9*I,-3.690981894740109*^-9+0.*I,0.+1.7437517540231152*^-9*I,8.161316733605695*^-10+0.*I,0.-3.7848206913192755*^-10*I,-1.7394567588046614*^-10+0.*I,0.+7.92384946141458*^-11*I,3.578338753797226*^-11+0.*I,0.-1.6021947295604006*^-11*I,-7.1137957714955975*^-12+0.*I,0.+3.132572821908835*^-12*I,1.3682769397772803*^-12+0.*I,0.-5.928943002958367*^-13*I,-2.5489803653422017*^-13+0.*I,0.+1.087415153481471*^-13*I,4.6037950270743173*^-14+0.*I,0.-1.9345444054302368*^-14*I,-8.069236190654307*^-15+0.*I,0.+3.341369937065596*^-15*I,1.3737291277855821*^-15+0.*I,0.-5.607983532974597*^-16*I,-2.2734468825486776*^-16+0.*I,0.+9.153296039265172*^-17*I,3.660376870361888*^-17+0.*I,0.-1.4540172179237694*^-17*I,-5.737828021365757*^-18+0.*I,0.+2.2495594688909467*^-18*I,8.763067420923016*^-19+0.*I,0.-3.39202735255252*^-19*I,-1.3047939501431245*^-19+0.*I,0.+4.988131745152423*^-20*I,1.8953107968849697*^-20+0.*I,0.-7.158167047731316*^-21*I,-2.6874081982022863*^-21+0.*I,0.+1.0030132013108408*^-21*I,3.7217819019613335*^-22+0.*I,0.-1.3730798732723228*^-22*I,-5.036976976507343*^-23+0.*I,0.+1.8373903403425747*^-23*I,6.665267326265708*^-24+0.*I,0.-2.4046128655348314*^-24*I,-8.62800500676176*^-25+0.*I,0.+3.0792067089042387*^-25*I,1.093089156843418*^-25+0.*I,0.-3.8599806791846213*^-26*I,-1.355974356262535*^-26+0.*I
-0.021582581977737193+0.*I,0.+0.06207803093565443*I,0.12370085200484447+0.*I,0.-0.19607579355142823*I,-0.2599818616921008+0.*I,0.+0.2936466745711287*I,0.28096473119939525+0.*I,0.-0.21799523529312537*I,-0.11501355953567328+0.*I,0.-0.006489724518286306*I,-0.12035994870936367+0.*I,0.+0.20322432823955774*I,0.24027640910426037+0.*I,0.-0.2278754263147087*I,-0.17278204480821005+0.*I,0.+0.08893437601298478*I,-0.006821205122930651+0.*I,0.+0.09869860827161506*I,0.17474464561463016+0.*I,0.-0.22809162052467452*I,-0.25684619833785455+0.*I,0.+0.2630519115759718*I,0.25123556414348824+0.*I,0.-0.22696817946677877*I,-0.195716702292902+0.*I,0.+0.16210132368934466*I,0.12954761086678473+0.*I,0.-0.10024846407911436*I,-0.07532451470450179+0.*I,0.+0.05507900122931777*I,0.03926840944390521+0.*I,0.-0.02734011281659993*I,-0.018614566225697054+0.*I,0.+0.012408542764479112*I,0.00810703363826442+0.*I,0.-0.005196179579543025*I,-0.0032700397901918566+0.*I,0.+0.0020220834364224204*I,0.0012294834194111865+0.*I,0.-0.0007355267684839634*I,-0.00043319035306667097+0.*I,0.+0.0002513022208867524*I,0.00014367021455376897+0.*I,0.-0.00008098236118824814*I,-0.0000450250609163488+0.*I,0.+0.000024702059377453195*I,0.00001337799145479487+0.*I,0.-7.1545391903806235*^-6*I,-3.7796415271137055*^-6+0.*I,0.+1.973035209340807*^-6*I,1.0180380734845968*^-6+0.*I,0.-5.193511138937148*^-7*I,-2.6202494839743073*^-7+0.*I,0.+1.3077347824423622*^-7*I,6.457996104055803*^-8+0.*I,0.-3.1562955270345*^-8*I,-1.5270577531774132*^-8+0.*I,0.+7.315147498147487*^-9*I,3.4703116807900425*^-9+0.*I,0.-1.630706869805079*^-9*I,-7.591474610276466*^-10+0.*I,0.+3.5018438337811923*^-10*I,1.6008930471509945*^-10+0.*I,0.-7.254282180283998*^-11*I,-3.2588332265622824*^-11+0.*I,0.+1.4515494584546431*^-11*I,6.411617535251949*^-12+0.*I,0.-2.8088674209326112*^-12*I,-1.220625374052973*^-12+0.*I,0.+5.262337493340188*^-13*I,2.2510019053749882*^-13+0.*I,0.-9.55493584725174*^-14*I,-4.025191901238296*^-14+0.*I,0.+1.6830724559990207*^-14*I,6.985948504870496*^-15+0.*I,0.-2.8787353075855744*^-15*I,-1.1778172011288418*^-15+0.*I,0.+4.785182551521674*^-16*I,1.9306650934253417*^-16+0.*I,0.-7.736513879562705*^-17*I,-3.079317921162678*^-17+0.*I,0.+1.2175152066950884*^-17*I,4.7823747143583834*^-18+0.*I,0.-1.866378852652054*^-18*I,-7.237351344542298*^-19+0.*I,0.+2.788809478397041*^-19*I,1.0679529989521041*^-19+0.*I,0.-4.064558857560849*^-20*I,-1.5375728544763885*^-20+0.*I,0.+5.781642086048288*^-21*I,2.161181950048371*^-21+0.*I,0.-8.031316533848025*^-22*I,-2.967340317195741*^-22+0.*I,0.+1.0900900849939068*^-22*I,3.9819918974124245*^-23+0.*I,0.-1.4464691650617135*^-23*I,-5.225358048513611*^-24+0.*I,0.+1.8773602670433096*^-24*I,6.70856943302624*^-25+0.*I,0.-2.3844510323565407*^-25*I
0.+0.043053603459325074*I,0.11137447064109866+0.*I,0.-0.19607579355142823*I,-0.26743721814095694+0.*I,0.+0.2922110511993011*I,0.25014034749742625+0.*I,0.-0.1451980442878347*I,-0.005682935791515311+0.*I,0.-0.12655211526090873*I,-0.21215523228660946+0.*I,0.+0.22824919441719824*I,0.17492643353821527+0.*I,0.-0.07286217152451242*I,0.04560226812694802+0.*I,0.-0.14759620497476753*I,-0.2089433477815131+0.*I,0.+0.2189922951207561*I,0.18064932678239684+0.*I,0.-0.10682480651598653*I,-0.015239853143125367+0.*I,0.-0.07656527467048202*I,-0.1548070597566442+0.*I,0.+0.21117545387498077*I,0.24287661839489508+0.*I,0.-0.2515412114844736*I,-0.24162070910771932+0.*I,0.+0.21878778629325177*I,0.18866408935634818+0.*I,0.-0.15600444009128728*I,-0.12432013477652638+0.*I,0.+0.09584125488882116*I,0.07169137111340991+0.*I,0.-0.052159520901196424*I,-0.036984586109138254+0.*I,0.+0.025601217671721986*I,0.01732529144086104+0.*I,0.-0.011476917349015094*I,-0.007450287617779878+0.*I,0.+0.004744036062645734*I,0.0029657139163453486+0.*I,0.-0.0018216224757260132*I,-0.0011001323492222932+0.*I,0.+0.0006536890141898631*I,0.000382380529584133+0.*I,0.-0.00022032144438515855*I,-0.0001251048774296917+0.*I,0.+0.00007004099910270037*I,0.0000386795191326119+0.*I,0.-0.00002107841069709885*I,-0.000011339367584026798+0.*I,0.+6.024068610344283*^-6*I,3.161460809123584*^-6+0.*I,0.-1.6395356228953329*^-6*I,-8.404653067764882*^-7+0.*I,0.+4.2599877172131004*^-7*I,2.135521117274461*^-7+0.*I,0.-1.0590533116532967*^-7*I,-5.197042131565998*^-8+0.*I,0.+2.5241788940038535*^-8*I,1.213684673972148*^-8+0.*I,0.-5.778371940260134*^-9*I,-2.724626839424275*^-9+0.*I,0.+1.272608309135378*^-9*I,5.889106874866488*^-10+0.*I,0.-2.7005272631954126*^-10*I,-1.227344729708733*^-10+0.*I,0.+5.529361118011495*^-11*I,2.4696906548388444*^-11+0.*I,0.-1.0937942439703459*^-11*I,-4.804166253788299*^-12+0.*I,0.+2.09291366921784*^-12*I,9.044715531319031*^-13+0.*I,0.-3.8779857140277494*^-13*I,-1.6498355046809794*^-13+0.*I,0.+6.965492939549884*^-14*I,2.918715210931336*^-14+0.*I,0.-1.2139770378770377*^-14*I,-5.012527496970043*^-15+0.*I,0.+2.0548388638951126*^-15*I,8.364100005279711*^-16+0.*I,0.-3.3808467054874423*^-16*I,-1.3571868206375418*^-16+0.*I,0.+5.411323686928581*^-17*I,2.143175632036752*^-17+0.*I,0.-8.43221931505232*^-18*I,-3.2960540744282143*^-18+0.*I,0.+1.280125197066146*^-18*I,4.940292107038277*^-19+0.*I,0.-1.8946556852205412*^-19*I,-7.221375936545999*^-20+0.*I,0.+2.7356165161910205*^-20*I,1.0300750140993216*^-20+0.*I,0.-3.855607461270867*^-21*I,-1.4346906182694326*^-21+0.*I,0.+5.307568385919595*^-22*I,1.9522458578638281*^-22+0.*I,0.-7.140094624156733*^-23*I,-2.59676271760443*^-23+0.*I,0.+9.391761451445458*^-24*I,3.3781220553695316*^-24+0.*I
0.07437829959252995+0.*I,0.-0.17088087332427893*I,-0.2599818616921008+0.*I,0.+0.2922110511993011*I,0.23737908906740696+0.*I,0.-0.10543415286387929*I,0.05551769552889121+0.*I,0.-0.18226126410044421*I,-0.22666506896280395+0.*I,0.+0.1766857576335035*I,0.05887057038726257+0.*I,0.+0.07631005433862638*I,0.17710665426520125+0.*I,0.-0.21013545495171415*I,-0.1696693813121609+0.*I,0.+0.07514633942920457*I,-0.039561230881871357+0.*I,0.+0.13937904464908443*I,0.19866729979363296+0.*I,0.-0.20649128924764862*I,-0.16634954969329235+0.*I,0.+0.09200761714140224*I,0.0017665540972948708+0.*I,0.+0.08679354117221484*I,0.16036764888143235+0.*I,0.-0.2114352971907108*I,-0.23804219483104375+0.*I,0.+0.24249610758261367*I,0.22964899771881722+0.*I,0.-0.20528253833677992*I,-0.1748918203867275+0.*I,0.+0.14295859024024096*I,0.11266436996918275+0.*I,0.-0.08592319662651471*I,-0.06359966509185327+0.*I,0.+0.045798694616668044*I,0.03214864667158715+0.*I,0.-0.022034755863891316*I,-0.014767653797636738+0.*I,0.+0.009689756664197772*I,0.006231422659694836+0.*I,0.-0.003931477121021062*I,-0.0024355398923717295+0.*I,0.+0.0014826719800335533*I,0.0008875910749541007+0.*I,0.-0.0005228526166347501*I,-0.00030325024942337114+0.*I,0.+0.00017326670500844118*I,0.00009757526373561923+0.*I,0.-0.00005418483723015858*I,-0.000029683692349819627+0.*I,0.+0.000016048568916519393*I,8.566389418671992*^-6+0.*I,0.-4.516033472680438*^-6*I,-2.352122185053099*^-6+0.*I,0.+1.2107185796012253*^-6*I,6.160795061469084*^-7+0.*I,0.-3.1000109294449006*^-7*I,-1.5429040218905078*^-7+0.*I,0.+7.59756251752452*^-8*I,3.702323834009117*^-8+0.*I,0.-1.7858268435524224*^-8*I,-8.52834116316623*^-9+0.*I,0.+4.033120674815221*^-9*I,1.8891065957092136*^-9+0.*I,0.-8.765844192890411*^-10*I,-4.0302596342267195*^-10+0.*I,0.+1.8363311530655733*^-10*I,8.293184588487573*^-11+0.*I,0.-3.712913260557799*^-11*I,-1.6481605424112254*^-11+0.*I,0.+7.255060193891209*^-12*I,3.167396959517571*^-12+0.*I,0.-1.371654878723601*^-12*I,-5.892870153398885*^-13+0.*I,0.+2.5119171740485866*^-13*I,1.062514909730702*^-13+0.*I,0.-4.4603512605171216*^-14*I,-1.858483524763736*^-14+0.*I,0.+7.68694322384684*^-15*I,3.156472842655946*^-15+0.*I,0.-1.2869169079929895*^-15*I,-5.210078300363338*^-16+0.*I,0.+2.094725733368661*^-16*I,8.364536008956326*^-17+0.*I,0.-3.3176432057813885*^-17*I,-1.307166260033334*^-17+0.*I,0.+5.11663429794138*^-18*I,1.9898865455555445*^-18+0.*I,0.-7.689526632887459*^-19*I,-2.952801286507248*^-19+0.*I,0.+1.1268528035204185*^-19*I,4.2739813813247954*^-20+0.*I,0.-1.6112531248961526*^-20*I,-6.0379989288620195*^-21+0.*I,0.+2.2493238959682454*^-21*I,8.3305079990610035*^-22+0.*I,0.-3.067478774395317*^-22*I,-1.1230823099721219*^-22+0.*I,0.+4.0887466379756774*^-23*I
0.-0.11492856336607207*I,-0.23078033479225538+0.*I,0.+0.2936466745711287*I,0.25014034749742625+0.*I,0.-0.10543415286387929*I,0.07446334906329603+0.*I,0.-0.2012826847763031*I,-0.2159387580474511+0.*I,0.+0.11969618229109845*I,-0.031090133858950722+0.*I,0.+0.1589052108201595*I,0.2052326574155315+0.*I,0.-0.15544430472784224*I,-0.039123187600345694+0.*I,0.-0.08945253371927452*I,-0.17776065850744532+0.*I,0.+0.19555545491514595*I,0.14241972307589318+0.*I,0.-0.04252547092340707*I,0.06820570247688151+0.*I,0.-0.15594101035539654*I,-0.19874593038822194+0.*I,0.+0.19026714517115503*I,0.13790130003161985+0.*I,0.-0.05764327676942414*I,0.03188537505929182+0.*I,0.-0.1143263731175741*I,-0.17845764820537688+0.*I,0.+0.21899932080293075*I,0.23586761399013337+0.*I,0.-0.23259647738834924*I,-0.21457901634835047+0.*I,0.+0.18757200984626887*I,0.15667239072572048+0.*I,0.-0.1257867529253099*I,-0.0975012378459928+0.*I,0.+0.07321504386818482*I,0.053405901765858715+0.*I,0.-0.03792680705825789*I,-0.02627130279376198+0.*I,0.+0.01777804206860413*I,0.0117692019769279+0.*I,0.-0.007631132694697673*I,-0.004851395914729092+0.*I,0.+0.0030268195187877784*I,0.0018548668810601224+0.*I,0.-0.001117311422825704*I,-0.0006620177755259478+0.*I,0.+0.0003860749828755375*I,0.0002217330531961884+0.*I,0.-0.00012548057222567198*I,-0.00007000403163734054+0.*I,0.+0.00003851838513870538*I,0.00002091201605147914+0.*I,0.-0.000011206726050123344*I,-5.930317180476544*^-6+0.*I,0.+3.0998798063983447*^-6*I,1.6011134069021866*^-6+0.*I,0.-8.174177764051435*^-7*I,-4.1260820263377597*^-7+0.*I,0.+2.0597936882828616*^-7*I,1.0172220421887984*^-7+0.*I,0.-4.970754962506202*^-8*I,-2.404067255163025*^-8+0.*I,0.+1.1510303614958973*^-8*I,5.456781704504535*^-9+0.*I,0.-2.5620378887556435*^-9*I,-1.1915693110066419*^-9+0.*I,0.+5.490600553573248*^-10*I,2.5070659025443705*^-10+0.*I,0.-1.1345729056263742*^-10*I,-5.0897005650994706*^-11+0.*I,0.+2.263678938352718*^-11*I,9.983140150024776*^-12+0.*I,0.-4.366301603087037*^-12*I,-1.8941600064845286*^-12+0.*I,0.+8.151469220434849*^-13*I,3.4804008266908004*^-13+0.*I,0.-1.4745266795294498*^-13*I,-6.199547549962806*^-14+0.*I,0.+2.587042437978652*^-14*I,1.0716027700490449*^-14+0.*I,0.-4.406560466634384*^-15*I,-1.7990724765955586*^-15+0.*I,0.+7.29334130901034*^-16*I,2.93614782148808*^-16+0.*I,0.-1.1739403247507962*^-16*I,-4.6620058500318857*^-17+0.*I,0.+1.839073361389898*^-17*I,7.20716299487594*^-18+0.*I,0.-2.8061261180306044*^-18*I,-1.0855879754682408*^-18+0.*I,0.+4.173248933051985*^-19*I,1.5943014758741344*^-19+0.*I,0.-6.05324185067152*^-20*I,-2.2843395612744584*^-20+0.*I,0.+8.56882219362907*^-21*I,3.1952245781864416*^-21+0.*I,0.-1.1844932512130435*^-21*I,-4.365611982588798*^-22+0.*I
-0.1621134646111261+0.*I,0.+0.2786097787004301*I,0.28096473119939525+0.*I,0.-0.1451980442878347*I,0.05551769552889121+0.*I,0.-0.2012826847763031*I,-0.2094576575134604+0.*I,0.+0.08718410779307378*I,-0.08050613005331389+0.*I,0.+0.1904517386872604*I,0.18400790927535499+0.*I,0.-0.0743340015826636*I,0.07097951864759439+0.*I,0.-0.17362227550843107*I,-0.1859396900586113+0.*I,0.+0.10930493742814658*I,-0.014439526107604756+0.*I,0.+0.12827752618835375*I,0.18669353090471902+0.*I,0.-0.17188276508284045*I,-0.09543791527752579+0.*I,0.-0.01139615059515745*I,-0.11218653932042506+0.*I,0.+0.17800429069112586*I,0.19449338471296765+0.*I,0.-0.16264003354346165*I,-0.09488933888238749+0.*I,0.+0.009202095600383115*I,-0.07660122269631789+0.*I,0.+0.14876150102046934*I,0.1993250749343215+0.*I,0.-0.2260225763809892*I,-0.23096771420880932+0.*I,0.+0.21889977945954237*I,0.19552531192543154+0.*I,0.-0.16627266899060908*I,-0.1355541778602531+0.*I,0.+0.10648111416895652*I,0.08090392444706195+0.*I,0.-0.05963755456877187*I,-0.04275524337055238+0.*I,0.+0.02987180091048338*I,0.020374222296731782+0.*I,0.-0.013585845642391872*I,-0.008868136172142656+0.*I,0.+0.005672888351269071*I,0.0035598606817536928+0.*I,0.-0.0021933267526242765*I,-0.001327887675685861+0.*I,0.+0.0007905337141953231*I,0.00046309049911074377+0.*I,0.-0.00026709080671081153*I,-0.00015175385257732322+0.*I,0.+0.00008498257789583072*I,0.000046928305207659535+0.*I,0.-0.000025564988649936082*I,-0.000013744856368051646+0.*I,0.+7.296007080381771*^-6*I,3.825048272891443*^-6+0.*I,0.-1.9812625972496563*^-6*I,-1.0142357472941112*^-6+0.*I,0.+5.132844370447242*^-7*I,2.5687572958581495*^-7+0.*I,0.-1.2716009436631166*^-7*I,-6.228055089813832*^-8+0.*I,0.+3.018793725101274*^-8*I,1.4484193096061293*^-8+0.*I,0.-6.880671742626557*^-9*I,-3.236938706157004*^-9+0.*I,0.+1.5083169202961544*^-9*I,6.962878807946128*^-10+0.*I,0.-3.1849547681670813*^-10*I,-1.443818832792599*^-10+0.*I,0.+6.487701395352043*^-11*I,2.8900712054677972*^-11+0.*I,0.-1.276538381985756*^-11*I,-5.591552431847588*^-12+0.*I,0.+2.429222254436105*^-12*I,1.0468857464356656*^-12+0.*I,0.-4.475970560218471*^-13*I,-1.8988372168922376*^-13+0.*I,0.+7.993842453220607*^-14*I,3.3399787381273107*^-14+0.*I,0.-1.3851706762026067*^-14*I,-5.702744346817709*^-15+0.*I,0.+2.330953108660982*^-15*I,9.46016471453696*^-16+0.*I,0.-3.8126283678822603*^-16*I,-1.5260002504722575*^-16+0.*I,0.+6.066406890602699*^-17*I,2.3955017139692985*^-17+0.*I,0.-9.397005779790506*^-18*I,-3.662262542439725*^-18+0.*I,0.+1.4181241944242842*^-18*I,5.456581849608632*^-19+0.*I,0.-2.0864333428432828*^-19*I,-7.928675727226875*^-20+0.*I,0.+2.994629215864987*^-20*I,1.1242549341230598*^-20+0.*I,0.-4.195639212356325*^-21*I
0.+0.21170777218401846*I,0.30256990835134634+0.*I,0.-0.21799523529312537*I,-0.005682935791515311+0.*I,0.-0.18226126410044421*I,-0.2159387580474511+0.*I,0.+0.08718410779307378*I,-0.09560188819165549+0.*I,0.+0.1983385734039404*I,0.15743001728210834+0.*I,0.-0.012666873739438827*I,0.13359160704610687+0.*I,0.-0.1900198706292367*I,-0.13000861896584354+0.*I,0.-0.0027159784465699962*I,-0.1294439565463975+0.*I,0.+0.1841104477896508*I,0.1450182511348712+0.*I,0.-0.038105790981634066*I,0.08311353100632311+0.*I,0.-0.165900290524182*I,-0.18018581833337172+0.*I,0.+0.12630381485428965*I,0.02910460244581134+0.*I,0.+0.0756064317427992*I,0.15516251739242728+0.*I,0.-0.18952950453182082*I,-0.17434172975718287+0.*I,0.+0.11843952288965749*I,0.03835692643661753+0.*I,0.+0.04766227915911265*I,0.12429492197796704+0.*I,0.-0.18163044553934857*I,-0.2156201254489103+0.*I,0.+0.22709053072348975*I,0.22006851414273945+0.*I,0.-0.20004759300370117*I,-0.17259210864868924+0.*I,0.+0.1424391573059742*I,0.11308252207023911+0.*I,0.-0.08672594863634389*I,-0.06446396616206794+0.*I,0.+0.04656349560933396*I,0.032755003773264194+0.*I,0.-0.022480410793022702*I,-0.015076471223455637+0.*I,0.+0.009893429089182315*I,0.0063599724039981+0.*I,0.-0.004009358007062507*I,-0.0024808840572235202+0.*I,0.+0.0015080294880677832*I,0.0009011766182944181+0.*I,0.-0.0005297879189512968*I,-0.000306588635732412+0.*I,0.+0.0001747509628140257*I,0.00009815691648063651+0.*I,0.-0.00005435897733183816*I,-0.000029693872091734085+0.*I,0.+0.000016006275423717598*I,8.517503676862188*^-6+0.*I,0.-4.476028710934019*^-6*I,-2.323710610794053*^-6+0.*I,0.+1.1921233335494269*^-6*I,6.045658418262809*^-7+0.*I,0.-3.0316235362339754*^-7*I,-1.5036108731171075*^-7+0.*I,0.+7.377976938947288*^-8*I,3.5825168502286275*^-8+0.*I,0.-1.721831080660722*^-8*I,-8.192974548205548*^-9+0.*I,0.+3.860418242105519*^-9*I,1.8015966720691341*^-9+0.*I,0.-8.329062755055163*^-10*I,-3.8153231602957656*^-10+0.*I,0.+1.7319727620899309*^-10*I,7.792917230620172*^-11+0.*I,0.-3.4760028639351116*^-11*I,-1.537270314685072*^-11+0.*I,0.+6.741814361350881*^-12*I,2.9324032299842448*^-12+0.*I,0.-1.2651806235701699*^-12*I,-5.415302454458344*^-13+0.*I,0.+2.2998079569351043*^-13*I,9.692023499096792*^-14+0.*I,0.-4.0536372293816596*^-14*I,-1.6828080325747932*^-14+0.*I,0.+6.934794764992759*^-15*I,2.8372033375034294*^-15+0.*I,0.-1.1525295880066202*^-15*I,-4.64904761488355*^-16+0.*I,0.+1.862388739330515*^-16*I,7.409927255718685*^-17+0.*I,0.-2.9284404524997594*^-17*I,-1.1496829257464664*^-17+0.*I,0.+4.484130463505451*^-18*I,1.737700879400157*^-18+0.*I,0.-6.691223360351476*^-19*I,-2.5603884411175005*^-19+0.*I,0.+9.736685663444508*^-20*I,3.680066076311662*^-20+0.*I
