0.016838784541106756+0.*I,0.-0.04812517816610004*I,-0.09725657309811048+0.*I,0.+0.16047964161694675*I,0.22932508358883708+0.*I,0.-0.2931083351203449*I,-0.341990587905881+0.*I,0.+0.36942539309128747*I,0.37328742579897484+0.*I,0.-0.3556179847756744*I,-0.3213995962763493+0.*I,0.+0.2769558829573761*I,0.22849756795290707+0.*I,0.-0.1811221297008686*I,-0.13834679693726312+0.*I,0.+0.10209044325433513*I,0.0729435185579624+0.*I,0.-0.05056195503431318*I,-0.034060358584064525+0.*I,0.+0.022332329435105124*I,0.014271862017106752+0.*I,0.-0.008900872932963048*I,-0.005423540294286249+0.*I,0.+0.0032320685509879977*I,0.0018855434859105364+0.*I,0.-0.0010777751324967048*I,-0.0006040920150896141+0.*I,0.+0.0003322636438068629*I,0.00017945907221440086+0.*I,0.-0.00009524189537190997*I,-0.00004969686720618233+0.*I,0.+0.00002550995990027929*I,0.000012888322569988025+0.*I,0.-6.412111083907558*^-6*I,-3.142846638823617*^-6+0.*I,0.+1.5182761763785942*^-6*I,7.232045293529895*^-7+0.*I,0.-3.3979883512329107*^-7*I,-1.5754031073338294*^-7+0.*I,0.+7.209763261844952*^-8*I,3.25801154723196*^-8+0.*I,0.-1.454193841906646*^-8*I,-6.412970857175249*^-9+0.*I,0.+2.7950311275441255*^-9*I,1.2042646020574546*^-9+0.*I,0.-5.130707713106698*^-10*I,-2.1620213031898966*^-10+0.*I,0.+9.013068054138909*^-11*I,3.7180364399079437*^-11+0.*I,0.-1.5180190170225737*^-11*I,-6.135554531718153*^-12+0.*I,0.+2.4554457460207164*^-12*I,9.731735152994346*^-13+0.*I,0.-3.820445042774415*^-13*I,-1.485862722286703*^-13+0.*I,0.+5.726100323108124*^-14*I,2.1868880405497*^-14+0.*I,0.-8.27848244272414*^-15*I,-3.106693048191059*^-15+0.*I,0.+1.1559364276849735*^-15*I,4.265008836081157*^-16+0.*I,0.-1.5606899296043447*^-16*I,-5.664771464285197*^-17+0.*I,0.+2.0397349117902178*^-17*I,7.286942668121618*^-18+0.*I,0.-2.583153918688037*^-18*I,-9.08740590864379*^-19+0.*I,0.+3.172956631783091*^-19*I,1.0996925683983868*^-19+0.*I,0.-3.783627341316933*^-20*I,-1.2924714110104802*^-20+0.*I,0.+4.383826740208055*^-21*I,1.4765519909244594*^-21+0.*I,0.-4.9391125618678605*^-22*I,-1.6409474534676533*^-22+0.*I,0.+5.415339053311683*^-23*I,1.7753356213625973*^-23+0.*I,0.-5.7822480035252706*^-24*I,-1.871160426078055*^-24+0.*I,0.+6.016710126402914*^-25*I,1.9225414207343547*^-25+0.*I,0.-6.105128456318287*^-26*I,-1.9268570236027*^-26+0.*I,0.+6.044662461345181*^-27*I,1.8849247710843324*^-27+0.*I,0.-5.84313834915064*^-28*I,-1.800771273422893*^-28+0.*I,0.+5.51773117882287*^-29*I,1.6810507018115345*^-29+0.*I,0.-5.092692093311165*^-30*I,-1.5342204770497118*^-30+0.*I,0.+4.5965150781993635*^-31*I,1.3696083206057743*^-31+0.*I,0.-4.0589763588074854*^-32*I,-1.1965041391655424*^-32+0.*I,0.+3.508439670727248*^-33*I,1.0233872615151732*^-33+0.*I,0.-2.9697216838204697*^-34*I,-8.573621810861403*^-35+0.*I,0.+2.4626819969909595*^-35*I
0.-0.04812517816610004*I,-0.12070278016417141+0.*I,0.+0.20989961320687645*I,0.29019684120171024+0.*I,0.-0.3344508788669863*I,-0.32491596135338363+0.*I,0.+0.259441857710286*I,0.1509942341327648+0.*I,0.-0.021961151937602594*I,0.10350751410508706+0.*I,0.-0.20600406155901113*I,-0.2744230744196422+0.*I,0.+0.3063581957168294*I,0.3062133828762002+0.*I,0.-0.2823023679725094*I,-0.24404076630730961+0.*I,0.+0.19988949177313625*I,0.1562479685720565+0.*I,0.-0.11717184046739187*I,-0.0846399537771991+0.*I,0.+0.05908428945914183*I,0.03996322913099912+0.*I,0.-0.02624833843861992*I,-0.016773146654675674+0.*I,0.+0.010444961864750892*I,0.0063474404566051575+0.*I,0.-0.0037691038941213726*I,-0.0021893460365582464+0.*I,0.+0.0012452806393206197*I,0.0006942157279483592+0.*I,0.-0.00037962789951742095*I,-0.00020379308387601192+0.*I,0.+0.00010747135124820674*I,0.000055711988848229824+0.*I,0.-0.000028406468282434262*I,-0.00001425410428520894+0.*I,0.+7.042741436144631*^-6*I,3.4279377153733725*^-6+0.*I,0.-1.6444111260350843*^-6*I,-7.777841825493902*^-7+0.*I,0.+3.628716276103179*^-7*I,1.6705372580737218*^-7+0.*I,0.-7.591428735380408*^-8*I,-3.4064474487404634*^-8+0.*I,0.+1.5098355689098864*^-8*I,6.612098348413565*^-9+0.*I,0.-2.8619104610346955*^-9*I,-1.2246140086053649*^-9+0.*I,0.+5.181823408822079*^-10*I,2.1687762863637657*^-10+0.*I,0.-8.980476403530407*^-11*I,-3.6798969539015526*^-11+0.*I,0.+1.492514510905958*^-11*I,5.992928483489802*^-12+0.*I,0.-2.3827833180108707*^-12*I,-9.38293571486036*^-13+0.*I,0.+3.66000939609464*^-13*I,1.414465569816528*^-13+0.*I,0.-5.416812776834575*^-14*I,-2.0559300458331988*^-14+0.*I,0.+7.734907265708405*^-15*I,2.8850338368316182*^-15+0.*I,0.-1.0669895399467646*^-15*I,-3.91331754510441*^-16+0.*I,0.+1.423527402472266*^-16*I,5.1366566527438336*^-17+0.*I,0.-1.8388464704407512*^-17*I,-6.53153259130192*^-18+0.*I,0.+2.30219537605141*^-18*I,8.053373365501139*^-19+0.*I,0.-2.79622194485484*^-19*I,-9.637661776054309*^-20+0.*I,0.+3.297802376386195*^-20*I,1.1204069366529108*^-20+0.*I,0.-3.779803159745018*^-21*I,-1.2663320096906164*^-21+0.*I,0.+4.2135929325789043*^-22*I,1.3925942710559707*^-22+0.*I,0.-4.571966270132765*^-23*I,-1.4911664330440267*^-23+0.*I,0.+4.8320475763505375*^-24*I,1.5558029541124937*^-24+0.*I,0.-4.977733990351931*^-25*I,-1.58269408414828*^-25+0.*I,0.+5.0013139181132955*^-26*I,1.5708181146927512*^-26+0.*I,0.-4.904043884463091*^-27*I,-1.5219510914160628*^-27+0.*I,0.+4.695647044727336*^-28*I,1.440351126081632*^-28+0.*I,0.-4.3928723387383877*^-29*I,-1.332184841503233*^-29+0.*I,0.+4.01738887736747*^-30*I,1.2047970520322837*^-30+0.*I,0.-3.593363187846586*^-31*I,-1.0659369137168521*^-31+0.*I,0.+3.1450711288993987*^-32*I,9.23045035778196*^-33+0.*I,0.-2.6948407123531716*^-33*I,-7.8268124728406*^-34+0.*I
-0.09725657309811048+0.*I,0.+0.20989961320687645*I,0.3034850951443017+0.*I,0.-0.3293877368888229*I,-0.265494256126517+0.*I,0.+0.12781209921779*I,-0.03846274369235682+0.*I,0.+0.18022576719746272*I,0.25760699353381267+0.*I,0.-0.25576583511346723*I,-0.18486548483992588+0.*I,0.+0.07146152663525622*I,-0.053074678453572326+0.*I,0.+0.16223403500912498*I,0.23965725419320627+0.*I,0.-0.2799328591149484*I,-0.2862931853779011+0.*I,0.+0.2670101852797542*I,0.23195035810320283+0.*I,0.-0.1900982800251065*I,-0.14825110266524238+0.*I,0.+0.11069295730539797*I,0.07949755082497154+0.*I,0.-0.055115454723663075*I,-0.03699557405229736+0.*I,0.+0.024100921570978304*I,0.01526900860464629+0.*I,0.-0.009424104365158626*I,-0.005675184761512265+0.*I,0.+0.003338941058579391*I,0.0019214927712700365+0.*I,0.-0.0010827493956378227*I,-0.0005979825872905688+0.*I,0.+0.00032396187051919676*I,0.0001722995464576152+0.*I,0.-0.00009002654454878669*I,-0.00004624230801435682+0.*I,0.+0.000023364428443231643*I,0.000011618829955149816+0.*I,0.-5.689692387582047*^-6*I,-2.7450263156181115*^-6+0.*I,0.+1.3053709069973937*^-6*I,6.12120528494476*^-7+0.*I,0.-2.831588896306526*^-7*I,-1.29264155311246*^-7+0.*I,0.+5.8255344767064056*^-8*I,2.5926851024395052*^-8+0.*I,0.-1.1398793053326068*^-8*I,-4.952159900413427*^-9+0.*I,0.+2.1265819251350303*^-9*I,9.029009481046513*^-10+0.*I,0.-3.7912448511504485*^-10*I,-1.5747631378778564*^-10+0.*I,0.+6.472072787074238*^-11*I,2.6324783219498235*^-11+0.*I,0.-1.0599215848047134*^-11*I,-4.225328548790288*^-12+0.*I,0.+1.6680598120103605*^-12*I,6.52244200503632*^-13+0.*I,0.-2.526597793736621*^-13*I,-9.69763878052247*^-14+0.*I,0.+3.688703269933465*^-14*I,1.3906900540517818*^-14+0.*I,0.-5.197618340913589*^-15*I,-1.926024860906914*^-15+0.*I,0.+7.07728358811693*^-16*I,2.5791705798748374*^-16+0.*I,0.-9.323130558024905*^-17*I,-3.343252654303437*^-17+0.*I,0.+1.1894823131533618*^-17*I,4.199349115229282*^-18+0.*I,0.-1.4712731951778134*^-18*I,-5.116141438652582*^-19+0.*I,0.+1.7659509159507152*^-19*I,6.051305766504012*^-20+0.*I,0.-2.0587331775867288*^-20*I,-6.954666270258058*^-21+0.*I,0.+2.333035123234444*^-21*I,7.772795966581502*^-22+0.*I,0.-2.572085179135303*^-22*I,-8.454452081234401*^-23+0.*I,0.+2.760682733548549*^-23*I,8.956045199106148*^-24+0.*I,0.-2.886832843623761*^-24*I,-9.246310272001442*^-25+0.*I,0.+2.943009832235422*^-25*I,9.30948090974773*^-26+0.*I,0.-2.9268667219870193*^-26*I,-9.14653421957742*^-27+0.*I,0.+2.8413055138597265*^-27*I,8.774409861070519*^-28+0.*I,0.-2.6939320501481494*^-28*I,-8.223439731722571*^-29+0.*I,0.+2.4960155338607084*^-29*I,7.533486694953766*^-30+0.*I,0.-2.2611385901978375*^-30*I,-6.749437526824651*^-31+0.*I,0.+2.0037496526097667*^-31*I,5.916712647992201*^-32+0.*I,0.-1.737815797431953*^-32*I
0.+0.16047964161694675*I,0.29019684120171024+0.*I,0.-0.3293877368888229*I,-0.24002599397880908+0.*I,0.+0.05773851253355708*I,-0.13185337307250414+0.*I,0.+0.24421962116714196*I,0.23863137150901753+0.*I,0.-0.13076077036291345*I,0.024158215981975675+0.*I,0.-0.16192237365799364*I,-0.23607430786435854+0.*I,0.+0.23049970856322724*I,0.1572129065840665+0.*I,0.-0.044984412762686984*I,0.0739825723935095+0.*I,0.-0.1740749569005172*I,-0.24093000675925202+0.*I,0.+0.2713056036442672*I,0.2700544653763628+0.*I,0.-0.2462077318668315*I,-0.2095850038661053+0.*I,0.+0.16858184020637496*I,0.12917468265861742+0.*I,0.-0.09484495500000707*I,-0.0670289423993407+0.*I,0.+0.04575633933823634*I,0.030256643532262914+0.*I,0.-0.01942669216153908*I,-0.012135397592513373+0.*I,0.+0.0073880712557428405*I,0.004390128479593448+0.*I,0.-0.0025495347381073296*I,-0.0014487258148446235+0.*I,0.+0.000806312764738428*I,0.000439965363382276+0.*I,0.-0.00023555829660929536*I,-0.00012384482920551893+0.*I,0.+0.00006398278868445978*I,0.000032503926396545125+0.*I,0.-0.00001624634798340038*I,-7.993991687054728*^-6+0.*I,0.+3.874212198373856*^-6*I,1.8502204201271886*^-6+0.*I,0.-8.711217626256491*^-7*I,-4.0451283069624484*^-7+0.*I,0.+1.853341337571756*^-7*I,8.381268631710747*^-8+0.*I,0.-3.742378779441861*^-8*I,-1.650491811805824*^-8+0.*I,0.+7.191889340075959*^-9*I,3.097176035049478*^-9+0.*I,0.-1.3185749883159232*^-9*I,-5.551068631708725*^-10+0.*I,0.+2.311491968900842*^-10*I,9.522659537862954*^-11+0.*I,0.-3.8821780708572304*^-11*I,-1.5665373474036478*^-11+0.*I,0.+6.258161549798936*^-12*I,2.4756099071597613*^-12+0.*I,0.-9.699115659736038*^-13*I,-3.764247608661719*^-13+0.*I,0.+1.4474339856925362*^-13*I,5.5153017673427*^-14+0.*I,0.-2.0828705082458937*^-14*I,-7.797360221755663*^-15+0.*I,0.+2.893960405636871*^-15*I,1.0650307732817114*^-15+0.*I,0.-3.887039643153709*^-16*I,-1.4070953650833825*^-16+0.*I,0.+5.052825655343576*^-17*I,1.8001464860454725*^-17+0.*I,0.-6.363540743590202*^-18*I,-2.232339309193339*^-18+0.*I,0.+7.772187388109807*^-19*I,2.6859485815275776*^-19+0.*I,0.-9.214498135106843*^-20*I,-3.138426636026405*^-20+0.*I,0.+1.0613629966783704*^-20*I,3.564278391846306*^-21+0.*I,0.-1.1887151427581384*^-21*I,-3.9375316438551406*^-22+0.*I,0.+1.2955400153406095*^-22*I,4.234454208708236*^-23+0.*I,0.-1.374998250985531*^-23*I,-4.4361088067538064*^-24+0.*I,0.+1.4221121241559745*^-24*I,4.530356940283343*^-25+0.*I,0.-1.4342747745848309*^-25*I,-4.513019550805276*^-26+0.*I,0.+1.4114636797919565*^-26*I,4.388051904341935*^-27+0.*I,0.-1.3561399377536518*^-27*I,-4.166758746514349*^-28+0.*I,0.+1.272866875810976*^-28*I,3.8662272648027417*^-29+0.*I,0.-1.1677230557542323*^-29*I,-3.507260974629099*^-30+0.*I,0.+1.047608729336553*^-30*I,3.1121417902886134*^-31+0.*I
0.22932508358883708+0.*I,0.-0.3344508788669863*I,-0.265494256126517+0.*I,0.+0.05773851253355708*I,-0.15751777624077265+0.*I,0.+0.2529718231564092*I,0.1875026027061615+0.*I,0.-0.017931556237797026*I,0.1506188453758936+0.*I,0.-0.23066319736602064*I,-0.19318925140549717+0.*I,0.+0.06883182960833273*I,-0.07950907781745102+0.*I,0.+0.1908823332741575*I,0.2298357816705194+0.*I,0.-0.19283288718788263*I,-0.10078761686993849+0.*I,0.-0.014576224226983089*I,-0.12339456533290175+0.*I,0.+0.2053895692280221*I,0.25202979088404226+0.*I,0.-0.26463623696606664*I,-0.2506172935771309+0.*I,0.+0.21965469126447265*I,0.18087881115808252+0.*I,0.-0.14132816425698094*I,-0.1055052261805197+0.*I,0.+0.07564177428538449*I,0.052290850450644986+0.*I,0.-0.03496651083601768*I,-0.022676616133212524+0.*I,0.+0.014294035197696037*I,0.008773878483901315+0.*I,0.-0.005252754749323693*I,-0.00307150595609765+0.*I,0.+0.0017563957079283694*I,0.000983283760285631+0.*I,0.-0.0005394485794769467*I,-0.00029028412393505696+0.*I,0.+0.00015333814849333554*I,0.00007957044187232539+0.*I,0.-0.00004059029430382595*I,-0.00002036725223167302+0.*I,0.+0.000010058492918853998*I,4.891655674502364*^-6+0.*I,0.-2.3437831992011628*^-6*I,-1.1069276474613407*^-6+0.*I,0.+5.155252439653064*^-7*I,2.3685714490428608*^-7+0.*I,0.-1.0739776264130539*^-7*I,-4.807650228674685*^-8+0.*I,0.+2.1254323198465272*^-8*I,9.282786009654719*^-9+0.*I,0.-4.006438820333627*^-9*I,-1.7092811159564458*^-9+0.*I,0.+7.210455497634631*^-10*I,3.008290478305454*^-10+0.*I,0.-1.2416322137673378*^-10*I,-5.070906478966655*^-11+0.*I,0.+2.0497283933999158*^-11*I,8.201994274263228*^-12+0.*I,0.-3.249715524266842*^-12*I,-1.2751477414446694*^-12+0.*I,0.+4.956190039913916*^-13*I,1.9084789321951137*^-13+0.*I,0.-7.282078246830666*^-14*I,-2.7537563376342524*^-14+0.*I,0.+1.0322116591076082*^-14*I,3.835777193222556*^-15+0.*I,0.-1.4133351694582998*^-15*I,-5.164254462310954*^-16+0.*I,0.+1.8715527183840002*^-16*I,6.728026038095229*^-17+0.*I,0.-2.3995049611416097*^-17*I,-8.491010414811073*^-18+0.*I,0.+2.981634350988349*^-18*I,1.0391028512895204*^-18+0.*I,0.-3.59436411705749*^-19*I,-1.2342231195396322*^-19+0.*I,0.+4.2074656689511585*^-20*I,1.4241266012843066*^-20+0.*I,0.-4.786545666163323*^-21*I,-1.5976608700335687*^-21+0.*I,0.+5.296362978675707*^-22*I,1.7439837216034989*^-22+0.*I,0.-5.704509699751529*^-23*I,-1.8537194987419945*^-23+0.*I,0.+5.984902327682256*^-24*I,1.9199681835693164*^-24+0.*I,0.-6.1205509989463825*^-25*I,-1.9390152611849121*^-25+0.*I,0.+6.105200947213366*^-26*I,1.9106436418082187*^-26+0.*I,0.-5.943640988467134*^-27*I,-1.83801882527439*^-27+0.*I,0.+5.650702738534068*^-28*I,1.7271894169755236*^-28+0.*I,0.-5.249182279440088*^-29*I,-1.586302537254282*^-29+0.*I,0.+4.767063190504958*^-30*I
0.-0.2931083351203449*I,-0.32491596135338363+0.*I,0.+0.12781209921779*I,-0.13185337307250414+0.*I,0.+0.2529718231564092*I,0.1658142760465189+0.*I,0.+0.03746317469676674*I,0.1989371280994459+0.*I,0.-0.2151929888831735*I,-0.09274223853087096+0.*I,0.-0.07928514610334134*I,-0.19856962045266974+0.*I,0.+0.20825711913889278*I,0.11576878821819117+0.*I,0.+0.02564616001058612*I,0.15162085675266287+0.*I,0.-0.21612980997179004*I,-0.2044735601251841+0.*I,0.+0.13005842845125148*I,0.021975234571143403+0.*I,0.+0.08865113025613112*I,0.17826662801613807+0.*I,0.-0.23478300730198762*I,-0.2567659403390095+0.*I,0.+0.25005184133684416*I,0.22382089388364765+0.*I,0.-0.1874279143341809*I,-0.14849161776778785+0.*I,0.+0.1121663608790305*I,0.08124113522238872+0.*I,0.-0.05666634084163684*I,-0.03819461716211807+0.*I,0.+0.024947168450879395*I,0.01582677410299779+0.*I,0.-0.009771710372524979*I,-0.005881530699390907+0.*I,0.+0.0034561351945860156*I,0.0019853330928991204+0.*I,0.-0.0011161349070209906*I,-0.0006147326369684601+0.*I,0.+0.0003320040396981272*I,0.00017597520818551926+0.*I,0.-0.00009160975862569111*I,-0.00004687239983809396+0.*I,0.+0.000023586117380467506*I,0.00001167929650787955+0.*I,0.-5.694243847284416*^-6*I,-2.734865226083894*^-6+0.*I,0.+1.29456122387898*^-6*I,6.042113461370985*^-7+0.*I,0.-2.781733021980814*^-7*I,-1.2637814825630124*^-7+0.*I,0.+5.667848232249634*^-8*I,2.5101793342999777*^-8+0.*I,0.-1.0981810084521802*^-8*I,-4.747450822519932*^-9+0.*I,0.+2.0285799258619636*^-9*I,8.57018453295378*^-10+0.*I,0.-3.580716811483988*^-10*I,-1.4799306911592908*^-10+0.*I,0.+6.052142131242121*^-11*I,2.449476037336906*^-11+0.*I,0.-9.813618707269305*^-12*I,-3.892857642686025*^-12+0.*I,0.+1.5292511492549543*^-12*I,5.950370996087569*^-13+0.*I,0.-2.2937432750258126*^-13*I,-8.761097837051352*^-14+0.*I,0.+3.3163445387074627*^-14*I,1.2442847195870956*^-14+0.*I,0.-4.628154720561621*^-15*I,-1.7068305545641635*^-15+0.*I,0.+6.242110901832873*^-16*I,2.2640860964843785*^-16+0.*I,0.-8.145814435837931*^-17*I,-2.907461175568194*^-17+0.*I,0.+1.0296437374542845*^-17*I,3.6183259115062745*^-18+0.*I,0.-1.261909742666499*^-18*I,-4.368169103676861*^-19+0.*I,0.+1.500963712275711*^-19*I,5.1202140139805614*^-20+0.*I,0.-1.7342006848105804*^-20*I,-5.832418768499215*^-21+0.*I,0.+1.9479582251338185*^-21*I,6.461515943495286*^-22+0.*I,0.-2.128894304761147*^-22*I,-6.967525993453604*^-23+0.*I,0.+2.265409620726377*^-23*I,7.318065810460462*^-24+0.*I,0.-2.3488976106298536*^-24*I,-7.491794928916757*^-25+0.*I,0.+2.3746334657669987*^-25*I,7.480492536982999*^-26+0.*I,0.-2.3421777670247846*^-26*I,-7.289502419809157*^-27+0.*I,0.+2.2552558206736276*^-27*I,6.936564069866086*^-28+0.*I,0.-2.1211612363020867*^-28*I,-6.449305822547704*^-29+0.*I
-0.341990587905881+0.*I,0.+0.259441857710286*I,-0.03846274369235682+0.*I,0.+0.24421962116714196*I,0.1875026027061615+0.*I,0.+0.03746317469676674*I,0.2095252579744385+0.*I,0.-0.19164941022300086*I,-0.021368337411606608+0.*I,0.-0.15534746567465538*I,-0.21223740076138667+0.*I,0.+0.12433287078545918*I,-0.03783128235308823+0.*I,0.+0.17147040272953742*I,0.20676296553203247+0.*I,0.-0.13635682541900773*I,-0.004578380641609796+0.*I,0.-0.12522666313881*I,-0.202410066910211+0.*I,0.+0.2058005820463166*I,0.14355675898537656+0.*I,0.-0.04214542554593546*I,0.0674163735400968+0.*I,0.-0.16009200647570934*I,-0.22177840259755366+0.*I,0.+0.24926823976912985*I,0.2472347090050728+0.*I,0.-0.22433879109073712*I,-0.18990599167464473+0.*I,0.+0.1518061074183215*I,0.1155440031159607+0.*I,0.-0.08423990026030968*I,-0.05909903326471125+0.*I,0.+0.04004005972462068*I,0.02627390046500979+0.*I,0.-0.01673851761690322*I,-0.010374227470328052+0.*I,0.+0.006266111442404602*I,0.0036940371322533127+0.*I,0.-0.0021283440290278794*I,-0.0011998598380290972+0.*I,0.+0.0006625570425397764*I,0.00035869893975570236+0.*I,0.-0.00019055569939923305*I,-0.00009941143829571288+0.*I,0.+0.000050966166938697864*I,0.00002569462361287849+0.*I,0.-0.000012746138397183814*I,-6.224909245956079*^-6+0.*I,0.+2.99453998669234*^-6*I,1.419643106491357*^-6+0.*I,0.-6.635530914945847*^-7*I,-3.059163305596301*^-7+0.*I,0.+1.3916561877510448*^-7*I,6.249211190568035*^-8+0.*I,0.-2.7709888669670378*^-8*I,-1.2136811650119653*^-8+0.*I,0.+5.2525581464143025*^-9*I,2.246790657704103*^-9+0.*I,0.-9.5017224893852*^-10*I,-3.9738047870126713*^-10+0.*I,0.+1.6439402786778843*^-10*I,6.728938299619719*^-11+0.*I,0.-2.725768191913304*^-11*I,-1.0929732453920948*^-11+0.*I,0.+4.339109127766468*^-12*I,1.7058872610952615*^-12+0.*I,0.-6.642681277201488*^-13*I,-2.562483245870626*^-13+0.*I,0.+9.794474973268007*^-14*I,3.710041302732911*^-14+0.*I,0.-1.3929190813091888*^-14*I,-5.1843224810335255*^-15+0.*I,0.+1.9131278319639875*^-15*I,7.000778268765493*^-16+0.*I,0.-2.5407458942548263*^-16*I,-9.146370716069405*^-17+0.*I,0.+3.2663827510361526*^-17*I,1.157369869612117*^-17+0.*I,0.-4.069287570938353*^-18*I,-1.4199015975035317*^-18+0.*I,0.+4.917480610017533*^-19*I,1.6905223408142407*^-19+0.*I,0.-5.769535172209943*^-20*I,-1.9550089723300825*^-20+0.*I,0.+6.577936837561021*^-21*I,2.1978970355715053*^-21+0.*I,0.-7.293636596780007*^-22*I,-2.4040376607516264*^-22+0.*I,0.+7.871162320240584*^-23*I,2.560211913139098*^-23+0.*I,0.-8.273520314060062*^-24*I,-2.6565565304367444*^-24+0.*I,0.+8.47613840657889*^-25*I,2.6875855100707123*^-25+0.*I,0.-8.469269254830961*^-26*I,-2.652664041546699*^-26+0.*I,0.+8.258547208155538*^-27*I,2.5558878468750306*^-27+0.*I,0.-7.863710750810659*^-28*I
0.+0.36942539309128747*I,0.1509942341327648+0.*I,0.+0.18022576719746272*I,0.23863137150901753+0.*I,0.-0.017931556237797026*I,0.1989371280994459+0.*I,0.-0.19164941022300086*I,0.002501552612025847+0.*I,0.-0.1817993121048788*I,-0.19203900199758153+0.*I,0.+0.04358754841745482*I,-0.1317466918084808+0.*I,0.+0.20365608374557534*I,0.13367057145533373+0.*I,0.+0.019146084855744414*I,0.15537449208653153+0.*I,0.-0.20120648001917008*I,-0.14240735422212875+0.*I,0.+0.017838190938670062*I,-0.1111622977649133+0.*I,0.+0.19279345847324575*I,0.20312122928640444+0.*I,0.-0.147540431964726*I,-0.05073218240061258+0.*I,0.-0.0568631210996621*I,-0.1498570139468206+0.*I,0.+0.2133336633646832*I,0.2432238703576385+0.*I,0.-0.24353715403582074*I,-0.2225507057585367+0.*I,0.+0.18945544804583772*I,0.15215507470713358+0.*I,0.-0.11627246984648311*I,-0.08506610924577931+0.*I,0.+0.0598623763742168*I,0.04066893030054787+0.*I,0.-0.026752932228243716*I,-0.017082271024418758+0.*I,0.+0.010609221587631544*I,0.006420276838732505+0.*I,0.-0.0037916016302732333*I,-0.002188136971256359+0.*I,0.+0.0012354525751385403*I,0.0006831854603459163+0.*I,0.-0.00037036210476662837*I,-0.00019699927956011275+0.*I,0.+0.00010289486792338851*I,0.00005281110585339297+0.*I,0.-0.00002665294786190025*I,-0.000013234797010377769+0.*I,0.+6.469716552218347*^-6*I,3.115125579192325*^-6+0.*I,0.-1.4780836498091544*^-6*I,-6.914367649426476*^-7+0.*I,0.+3.190216935404526*^-7*I,1.4523630937358343*^-7+0.*I,0.-6.526496269197265*^-8*I,-2.8959308554557126*^-8+0.*I,0.+1.2692414554795538*^-8*I,5.496487140921076*^-9+0.*I,0.-2.3525607883675868*^-9*I,-9.954840716550564*^-10+0.*I,0.+4.165648829514065*^-10*I,1.7242383030311898*^-10+0.*I,0.-7.061295723069381*^-11*I,-2.8618397918109552*^-11+0.*I,0.+1.1480924216431015*^-11*I,4.560070837423817*^-12+0.*I,0.-1.793569415512249*^-12*I,-6.987175027430794*^-13+0.*I,0.+2.6965185111101244*^-13*I,1.0311024495152736*^-13+0.*I,0.-3.907258034169186*^-14*I,-1.4675286721198337*^-14+0.*I,0.+5.464054095944449*^-15*I,2.0170859048375256*^-15+0.*I,0.-7.383793046842586*^-16*I,-2.6806664824887985*^-16+0.*I,0.+9.65327044847017*^-17*I,3.448520513810066*^-17+0.*I,0.-1.2222895383986121*^-17*I,-4.2988546803239265*^-18+0.*I,0.+1.5004499723406621*^-18*I,5.197941553320513*^-19+0.*I,0.-1.7874414485978874*^-19*I,-6.101979569101905*^-20+0.*I,0.+2.0682101014219417*^-20*I,6.960631674532017*^-21+0.*I,0.-2.3263579575218875*^-21*I,-7.721840989656656*^-22+0.*I,0.+2.54579206715284*^-22*I,8.337252342818236*^-23+0.*I,0.-2.712439031362908*^-23*I,-8.76742510844152*^-24+0.*I,0.+2.815763598293737*^-24*I,8.986040910597337*^-25+0.*I,0.-2.8498615591245374*^-25*I,-8.982485008045773*^-26+0.*I,0.+2.813973060225366*^-26*I,8.762470430025864*^-27+0.*I
