2.814268457485565*^-10+0.*I,1.866398932093089*^-9+0.*I,8.752425719211913*^-9+0.*I,3.351249486718384*^-8+0.*I,1.1112600943509646*^-7+0.*I,3.295866946636878*^-7+0.*I,8.923454221712577*^-7+0.*I,2.2367782659520127*^-6+0.*I,5.244654635849363*^-6+0.*I,0.000011594034659948588+0.*I,0.000024314959388282307+0.*I,0.00004862013497253699+0.*I,0.00009308173962175848+0.*I,0.00017121104157248376+0.*I,0.0003034636699526931+0.*I,0.0005196369563593125+0.*I,0.0008615470370687781+0.*I,0.0013857774393923432+0.*I,0.0021661882128702894+0.*I,0.003295780971996224+0.*I,0.004887449672752501+0.*I,0.007073129429588184+0.*I,0.010000903091307991+0.*I,0.013829747634375326+0.*I,0.01872179944022222+0.*I,0.0248322766715094+0.*I,0.032297493428778065+0.*I,0.041221699274331156+0.*I,0.05166373846468734+0.*I,0.0636247053938011+0.*I,0.07703784244169495+0.*I,0.0917618622034036+0.*I,0.10757867315793505+0.*I,0.12419615988607235+0.*I,0.14125624700800785+0.*I,0.1583480047482431+0.*I,0.17502508581172932+0.*I,0.19082637105803357+0.*I,0.20529839176828196+0.*I,0.21801792301892295+0.*I,0.22861312302417477+0.*I,0.23678172617149956+0.*I,0.24230506434496824+0.*I,0.2450570593229173+0.*I,0.24500775654174067+0.*I,0.24222141169906455+0.*I,0.2368495529135536+0.*I,0.22911978573568836+0.*I,0.2193213598655081+0.*I,0.2077886608504366+0.*I,0.19488382554403164+0.*I,0.1809796159664068+0.*I,0.16644354026314878+0.*I,0.15162400505326218+0.*I,0.13683904618642706+0.*I,0.12236793966389942+0.*I,0.10844576294232684+0.*I,0.09526077596492065+0.*I,0.08295433233617336+0.*I,0.07162291963204853+0.*I,0.06132186427615356+0.*I,0.05207021684223899+0.*I,0.04385635116747506+0.*I,0.036643856619513+0.*I,0.03037736799794169+0.*I,0.024988052988491244+0.*I,0.020398555038709503+0.*I,0.016527263736397707+0.*I,0.013291850726287585+0.*I,0.010612064088661442+0.*I,0.008411816657307392+0.*I,0.006620633971424391+0.*I,0.0051745463820354705+0.*I,0.0040165188381944186+0.*I,0.003096512963699441+0.*I,0.0023712711911250454+0.*I,0.0018039038401001296+0.*I,0.0013633487826115779+0.*I,0.0010237611092974634+0.*I,0.0007638780592985732+0.*I,0.0005663931557745841+0.*I,0.00041736347673062326+0.*I,0.0003056655324874499+0.*I,0.00022250838291200444+0.*I,0.0001610073450248547+0.*I,0.00011581776503211+0.*I,0.00008282566062502438+0.*I,0.000058890363691483674+0.*I,0.00004163339764621744+0.*I,0.00002926751202021765+0.*I,0.00002045989991232318+0.*I,0.000014224000630735259+0.*I,9.834828778874602*^-6+0.*I,6.763387699311589*^-6+0.*I,4.626358789200411*^-6+0.*I,3.1478676339548575*^-6+0.*I,2.130687705420716*^-6+0.*I,1.4347389445480566*^-6+0.*I,9.61166893000629*^-7+0.*I,6.40649011205646*^-7+0.*I
-1.866398932093089*^-9+0.*I,-1.2096372310024024*^-8+0.*I,-5.540585711578894*^-8+0.*I,-2.0709237283504533*^-7+0.*I,-6.699532640131052*^-7+0.*I,-1.9373056474628636*^-6+0.*I,-5.110639801766802*^-6+0.*I,-0.000012473199361330088+0.*I,-0.00002845553966038438+0.*I,-0.00006115668897391853+0.*I,-0.00012459118816396852+0.*I,-0.00024180100747990383+0.*I,-0.00044888510122860476+0.*I,-0.000799846097280385+0.*I,-0.0013719322196565843+0.*I,-0.0022708784083693492+0.*I,-0.003635158930775364+0.*I,-0.005638108812609153+0.*I,-0.008486620449317844+0.*I,-0.012415143897176918+0.*I,-0.017673970426640078+0.*I,-0.024511285391262218+0.*I,-0.033149221916585474+0.*I,-0.043755065083645815+0.*I,-0.05640973340618213+0.*I,-0.0710765520323631+0.*I,-0.08757396923743963+0.*I,-0.10555610882759317+0.*I,-0.12450479455225233+0.*I,-0.14373589468341508+0.*I,-0.1624215626549762+0.*I,-0.17962832067203688+0.*I,-0.1943691407783377+0.*I,-0.20566595376287594+0.*I,-0.21261759576504147+0.*I,-0.2144672877097793+0.*I,-0.2106634711751331+0.*I,-0.2009082471655894+0.*I,-0.18518873898225505+0.*I,-0.16378829785402615+0.*I,-0.13727639487182083+0.*I,-0.1064780628994509+0.*I,-0.07242563201734531+0.*I,-0.03629703478223014+0.*I,0.0006540095087401328+0.*I,0.037170171710737374+0.*I,0.07205942999970998+0.*I,0.1042557731461195+0.*I,0.1328678137009793+0.*I,0.1572127732009484+0.*I,0.17683473696090413+0.*I,0.1915074542262414+0.*I,0.20122315172074315+0.*I,0.20616974333894897+0.*I,0.20669940640856835+0.*I,0.20329174734840694+0.*I,0.19651472398491804+0.*I,0.1869861822004658+0.*I,0.175338371055725+0.*I,0.16218719889141134+0.*I,0.14810735566686328+0.*I,0.13361381617069887+0.*I,0.11914970233667531+0.*I,0.1050800518160331+0.*I,0.09169072913474896+0.*I,0.07919152598076928+0.*I,0.06772241809938584+0.*I,0.05736196001943643+0.*I,0.048136883381524574+0.*I,0.04003209694830033+0.*I,0.0330004447834081+0.*I,0.026971744983352898+0.*I,0.021860790126706577+0.*I,0.017574131961073415+0.*I,0.014015590579588198+0.*I,0.01109051981139259+0.*I,0.008708925964675637+0.*I,0.0067875786535969386+0.*I,0.0052512737232573775+0.*I,0.004033413383111941+0.*I,0.0030760617778732265+0.*I,0.0023296192818435995+0.*I,0.0017522391810651874+0.*I,0.0013090888391202819+0.*I,0.0009715359812550831+0.*I,0.0007163207971334747+0.*I,0.0005247570231840158+0.*I,0.000381990443062457+0.*I,0.00027633142373957023+0.*I,0.0001986690345917632+0.*I,0.0001419676802643521+0.*I,0.00010084264206609588+0.*I,0.00007120807229164431+0.*I,0.000049989441406456334+0.*I,0.00003489185818286228+0.*I,0.000024215776965626126+0.*I,0.000016712138076493336+0.*I,0.000011469773440225194+0.*I,7.828813739469071*^-6+0.*I,5.3147600196738616*^-6+0.*I
8.752425719211913*^-9+0.*I,5.540585711578894*^-8+0.*I,2.4772784880189894*^-7+0.*I,9.032958651509036*^-7+0.*I,2.8488542974553353*^-6+0.*I,8.025651662556633*^-6+0.*I,0.00002061069095149463+0.*I,0.00004893158881792324+0.*I,0.00010849506060045363+0.*I,0.000226429271492921+0.*I,0.0004475163869556985+0.*I,0.0008417268420392418+0.*I,0.001512745070626379+0.*I,0.002606419012095209+0.*I,0.004317444006414443+0.*I,0.006892029817795001+0.*I,0.010623962297103886+0.*I,0.015841535544828873+0.*I,0.022883443381135564+0.*I,0.03206294995341598+0.*I,0.043621459015214956+0.*I,0.05767477925021997+0.*I,0.07415761453692143+0.*I,0.0927736760751458+0.*I,0.11295987934069224+0.*I,0.13387298262603592+0.*I,0.1544055325748909+0.*I,0.1732351182412433+0.*I,0.188906966034567+0.*I,0.19994533491158104+0.*I,0.20498466012098385+0.*I,0.20290766650439526+0.*I,0.1929753800607238+0.*I,0.174933569877253+0.*I,0.1490818323163661+0.*I,0.11629514547029286+0.*I,0.07799282963650121+0.*I,0.036055769243359265+0.*I,-0.0073013216578324235+0.*I,-0.049690675848159595+0.*I,-0.08872971212386561+0.*I,-0.12221940775826164+0.*I,-0.14830580243076516+0.*I,-0.16560990839401127+0.*I,-0.17331514332169398+0.*I,-0.1712062436950301+0.*I,-0.15965880529633514+0.*I,-0.13958349206893353+0.*I,-0.11233301142207888+0.*I,-0.07958278917774786+0.*I,-0.04319769925502673+0.*I,-0.0050972138990350085+0.*I,0.03286989026283026+0.*I,0.0690323137421585+0.*I,0.10197831193408614+0.*I,0.1306098544471069+0.*I,0.15416849881732564+0.*I,0.17223505834796188+0.*I,0.18470700871008477+0.*I,0.19175877407986494+0.*I,0.1937905615339628+0.*I,0.19137134323579333+0.*I,0.18518103924548812+0.*I,0.17595607457942777+0.*I,0.16444142156149258+0.*I,0.1513511287141679+0.*I,0.1373382918610541+0.*I,0.12297452218753735+0.*I,0.10873825787671362+0.*I,0.09501076907044118+0.*I,0.08207841433699742+0.*I,0.07013959676863013+0.*I,0.05931490452058388+0.*I,0.04965906454977956+0.*I,0.04117355040964949+0.*I,0.03381893018118435+0.*I,0.027526290294680088+0.*I,0.02220730379288352+0.*I,0.01776271349187453+0.*I,0.014089164060526588+0.*I,0.011084440186572867+0.*I,0.00865125265690416+0.*I,0.006699764935720568+0.*I,0.005149075713580959+0.*I,0.003927874439436858+0.*I,0.002974473313050265+0.*I,0.002236396171468001+0.*I,0.0016696767467368205+0.*I,0.0012379894443452833+0.*I,0.0009117076181283597+0.*I,0.0006669589234363891+0.*I,0.00048472560201099913+0.*I,0.00035001980656776616+0.*I,0.0002511502233408839+0.*I,0.00017908594848973128+0.*I,0.00012691632666566818+0.*I,0.00008940071895858017+0.*I,0.00006259939149629412+0.*I,0.00004357541047553241+0.*I,0.00003015716818691521+0.*I
-3.351249486718384*^-8+0.*I,-2.0709237283504533*^-7+0.*I,-9.032958651509036*^-7+0.*I,-3.210935956589846*^-6+0.*I,-9.86505007149047*^-6+0.*I,-0.00002705186702757758+0.*I,-0.00006756707104062198+0.*I,-0.00015587266621720094+0.*I,-0.00033551590344931253+0.*I,-0.000679064670080638+0.*I,-0.0013001110720181693+0.*I,-0.0023659911970518584+0.*I,-0.00410875330414477+0.*I,-0.006830786652803939+0.*I,-0.010900716552562804+0.*I,-0.01673505613711789+0.*I,-0.02476203118637719+0.*I,-0.03536616761927638+0.*I,-0.04881560563839327+0.*I,-0.06517830913374702+0.*I,-0.08423767844149242+0.*I,-0.10542161783410005+0.*I,-0.12776086299822323+0.*I,-0.14989151093118033+0.*I,-0.17011278536563196+0.*I,-0.18650425804015133+0.*I,-0.19709781151263367+0.*I,-0.20008991833433+0.*I,-0.19407102035663973+0.*I,-0.17824265195226163+0.*I,-0.1525908755630895+0.*I,-0.11798737056854618+0.*I,-0.07619708962419175+0.*I,-0.029782852522707372+0.*I,0.018089067648245347+0.*I,0.06392450436610099+0.*I,0.10422849713519527+0.*I,0.13584651342222528+0.*I,0.15627973069384832+0.*I,0.16393722419811838+0.*I,0.15829586705855833+0.*I,0.1399504896943213+0.*I,0.11055056319111513+0.*I,0.07263335470283601+0.*I,0.02937526468748275+0.*I,-0.015708582388590527+0.*I,-0.05908233564452504+0.*I,-0.09749122909472639+0.*I,-0.12821783939110784+0.*I,-0.14927090015881966+0.*I,-0.1594940669016993+0.*I,-0.158591761146876+0.*I,-0.14707816350652317+0.*I,-0.12616259633311058+0.*I,-0.09758932419205057+0.*I,-0.06345198156679198+0.*I,-0.026002547418948595+0.*I,0.012527557826626824+0.*I,0.05008047979055876+0.*I,0.08488986309268276+0.*I,0.1155592755780566+0.*I,0.1411010457423099+0.*I,0.16093901071092911+0.*I,0.17488124060891058+0.*I,0.18307029894649454+0.*I,0.18591908290386813+0.*I,0.1840399236334706+0.*I,0.17817363261031963+0.*I,0.16912379182635648+0.*I,0.15770002690515442+0.*I,0.14467246214392465+0.*I,0.13073817717811936+0.*I,0.11649935761398272+0.*I,0.10245199987498968+0.*I,0.08898349671147758+0.*I,0.07637716732693621+0.*I,0.0648217586208481+0.*I,0.05442407609012855+0.*I,0.04522314785115145+0.*I,0.037204631367324284+0.*I,0.03031449682960712+0.*I,0.024471331238983783+0.*I,0.019576881185728322+0.*I,0.01552467782001109+0.*I,0.012206760191456813+0.*I,0.009518634576042427+0.*I,0.007362683161907659+0.*I,0.005650273321177217+0.*I,0.004302827261550267+0.*I,0.0032520995150191823+0.*I,0.0024398839593688195+0.*I,0.001817339076939953+0.*I,0.0013440847194143512+0.*I,0.0009871891875403117+0.*I,0.0007201341648579663+0.*I,0.0005218181879464006+0.*I,0.0003756373575139923+0.*I,0.00026866482216404984+0.*I,0.00019093778163324055+0.*I,0.0001348517500159872+0.*I
1.1112600943509646*^-7+0.*I,6.699532640131052*^-7+0.*I,2.8488542974553353*^-6+0.*I,9.86505007149047*^-6+0.*I,0.000029501151032661252+0.*I,0.00007867338067300589+0.*I,0.00019091790205159773+0.*I,0.00042748430661847573+0.*I,0.0008921192452184631+0.*I,0.0017484757454896162+0.*I,0.0032374175706630765+0.*I,0.005689536000962985+0.*I,0.009526434461277405+0.*I,0.015243438024230954+0.*I,0.023367081378953335+0.*I,0.034383588443703046+0.*I,0.04863973129769218+0.*I,0.06622447449754812+0.*I,0.08684750386204325+0.*I,0.10973735851912853+0.*I,0.1335854335805005+0.*I,0.15656083772335921+0.*I,0.1764139858158193+0.*I,0.19067409604667868+0.*I,0.19692905166164298+0.*I,0.19315823391513565+0.*I,0.17807354509333612+0.*I,0.15141453437196803+0.*I,0.11414309598573692+0.*I,0.06849284802382351+0.*I,0.017847255689697986+0.*I,-0.03355391059139113+0.*I,-0.08105236680136381+0.*I,-0.12010080356638127+0.*I,-0.14681377010936292+0.*I,-0.15846275738705318+0.*I,-0.15384375598163866+0.*I,-0.1334626695353198+0.*I,-0.09950987372976501+0.*I,-0.055625569025328184+0.*I,-0.006487349319176286+0.*I,0.04272417251762571+0.*I,0.08691044558953807+0.*I,0.12161514210296694+0.*I,0.14349045491354048+0.*I,0.15061662497845332+0.*I,0.14264412063324275+0.*I,0.12075273136165217+0.*I,0.08744538481193567+0.*I,0.04621352632523226+0.*I,0.001123222172982432+0.*I,-0.043624188479090935+0.*I,-0.08410578408298683+0.*I,-0.11702278601744731+0.*I,-0.13994892484186214+0.*I,-0.1514668236540544+0.*I,-0.1511922328303738+0.*I,-0.13969831356139162+0.*I,-0.11836122467669506+0.*I,-0.08915344786465025+0.*I,-0.054412623067631824+0.*I,-0.01661167667244772+0.*I,0.02184844945648003+0.*I,0.05880813263480807+0.*I,0.09247162759319917+0.*I,0.1214801866479882+0.*I,0.144938315716139+0.*I,0.1623996522518127+0.*I,0.1738213973002473+0.*I,0.17949727205367647+0.*I,0.1799788044052011+0.*I,0.17599367501593816+0.*I,0.16836818866997658+0.*I,0.1579589942632831+0.*I,0.14559721833948894+0.*I,0.13204640084339567+0.*I,0.11797415588534864+0.*I,0.10393638722525526+0.*I,0.09037217541486663+0.*I,0.07760708789711218+0.*I,0.0658625858431896+0.*I,0.055269340838506535+0.*I,0.0458825581812707+0.*I,0.03769776567113888+0.*I,0.03066591297415536+0.*I,0.024706996210934508+0.*I,0.01972174821545569+0.*I,0.015601202028862204+0.*I,0.012234138609249112+0.*I,0.009512571750932185+0.*I,0.007335510899661333+0.*I,0.0056112855965871206+0.*I,0.004258724198218552+0.*I,0.003207464401569833+0.*I,0.002397642839104104+0.*I,0.001779172857344696+0.*I,0.0013107790767602548+0.*I,0.0009589183216530375+0.*I,0.0006966814500927418+0.*I,0.0005027407951529814+0.*I
-3.295866946636878*^-7+0.*I,-1.9373056474628636*^-6+0.*I,-8.025651662556633*^-6+0.*I,-0.00002705186702757758+0.*I,-0.00007867338067300589+0.*I,-0.00020383485757456208+0.*I,-0.00048005770781094645+0.*I,-0.0010419711466307163+0.*I,-0.0021051912922557424+0.*I,-0.0039888701750576214+0.*I,-0.007129082237904875+0.*I,-0.012072629409285466+0.*I,-0.019440094668899868+0.*I,-0.02984933316144672+0.*I,-0.04379686889337963+0.*I,-0.061504713550175526+0.*I,-0.08275249849928758+0.*I,-0.10672678172476632+0.*I,-0.1319273923578179+0.*I,-0.1561711672129552+0.*I,-0.17672399227225322+0.*I,-0.19057238784945954+0.*I,-0.1948183822007735+0.*I,-0.18715113133722985+0.*I,-0.16632242806911185+0.*I,-0.13253789331978416+0.*I,-0.08767668097012855+0.*I,-0.0352722038918619+0.*I,0.019777167184157635+0.*I,0.07175123291490368+0.*I,0.11483966408279273+0.*I,0.14395626692796445+0.*I,0.15550637660445726+0.*I,0.1479775796407187+0.*I,0.12224782308544557+0.*I,0.08154920567365374+0.*I,0.03108231775171739+0.*I,-0.022665656419012057+0.*I,-0.07279658846888488+0.*I,-0.11293704697560512+0.*I,-0.13809215197737898+0.*I,-0.14529182001247049+0.*I,-0.13393975986200726+0.*I,-0.10582477312566765+0.*I,-0.06480702630727929+0.*I,-0.016239858315055224+0.*I,0.03377713144185761+0.*I,0.07920017097211964+0.*I,0.1147859112550511+0.*I,0.13668346234924852+0.*I,0.14280865682871285+0.*I,0.13297150426752238+0.*I,0.10876409857267427+0.*I,0.07324724752317158+0.*I,0.030495959275621456+0.*I,-0.014925261023842742+0.*I,-0.058486538437823476+0.*I,-0.09615493831520128+0.*I,-0.12474981780866318+0.*I,-0.14216550155116475+0.*I,-0.14745515229765935+0.*I,-0.14078683940630973+0.*I,-0.12329568525247171+0.*I,-0.09686371359216155+0.*I,-0.06386161714801211+0.*I,-0.02688477359243512+0.*I,0.011489411567769154+0.*I,0.048903051470624646+0.*I,0.08336647264497472+0.*I,0.11335000114864766+0.*I,0.1378212945961811+0.*I,0.1562355279228428+0.*I,0.16848876376900673+0.*I,0.17484611744354456+0.*I,0.17585613174582096+0.*I,0.1722614829449524+0.*I,0.1649141523270882+0.*I,0.15470089905750495+0.*I,0.14248257691647848+0.*I,0.12904878302635936+0.*I,0.11508765609861799+0.*I,0.1011694196637153+0.*I,0.08774149164527359+0.*I,0.07513260829466664+0.*I,0.06356336268736967+0.*I,0.05316074883346785+0.*I,0.043974646270193825+0.*I,0.03599460104343805+0.*I,0.029165696436976144+0.*I,0.023402716568308023+0.*I,0.01860216001666617+0.*I,0.014651944870106433+0.*I,0.011438857798597865+0.*I,0.008853942561898715+0.*I,0.006796107132683317+0.*I,0.005174265068437023+0.*I,0.003908328042029392+0.*I,0.0029293438120825293+0.*I,0.0021790370101184573+0.*I,0.0016089665871929996+0.*I
8.923454221712577*^-7+0.*I,5.110639801766802*^-6+0.*I,0.00002061069095149463+0.*I,0.00006756707104062198+0.*I,0.00019091790205159773+0.*I,0.00048005770781094645+0.*I,0.0010959060144902057+0.*I,0.0023025819273172084+0.*I,0.004496573369876291+0.*I,0.008221416033653336+0.*I,0.014152152627461154+0.*I,0.023033434568592512+0.*I,0.03556015758448569+0.*I,0.05220106917924538+0.*I,0.07298301056581222+0.*I,0.09727311246334489+0.*I,0.12361296323604021+0.*I,0.14966613283330882+0.*I,0.17233298191211907+0.*I,0.18806191920439433+0.*I,0.193346313184799+0.*I,0.18534832226866385+0.*I,0.16254619133366827+0.*I,0.12527272899740857+0.*I,0.07601038554492845+0.*I,0.019337867568453116+0.*I,-0.038517819915784776+0.*I,-0.0904919644048037+0.*I,-0.12974271596517223+0.*I,-0.15078437351045246+0.*I,-0.15048407897873592+0.*I,-0.12872294898185432+0.*I,-0.0885757773679182+0.*I,-0.03594977872700215+0.*I,0.02127503148070494+0.*I,0.07446468036509359+0.*I,0.11559956279773526+0.*I,0.13855255632781366+0.*I,0.14005378116418382+0.*I,0.12017782578858816+0.*I,0.08227787825289314+0.*I,0.03239115485691326+0.*I,-0.021768412317255+0.*I,-0.07204799973522812+0.*I,-0.11111189179101184+0.*I,-0.13351245459193228+0.*I,-0.1364166333447015+0.*I,-0.11989617823935704+0.*I,-0.08676726732389864+0.*I,-0.042038033321870255+0.*I,0.00792130338969848+0.*I,0.056339114117895696+0.*I,0.0969821950704884+0.*I,0.12494237534244505+0.*I,0.1371749093358763+0.*I,0.13274076820258615+0.*I,0.11275300442864923+0.*I,0.08006879826440098+0.*I,0.03879828463017833+0.*I,-0.006283759376808744+0.*I,-0.050336686388372104+0.*I,-0.08898800161787884+0.*I,-0.11874725053195434+0.*I,-0.13726827978001843+0.*I,-0.1434522803278776+0.*I,-0.13740465099763619+0.*I,-0.1202739204993102+0.*I,-0.09400978166920194+0.*I,-0.06107985194867553+0.*I,-0.02418203504818552+0.*I,0.014017218393276985+0.*I,0.05109722240611677+0.*I,0.08503781186037418+0.*I,0.11431116740130286+0.*I,0.13791453882471472+0.*I,0.1553528672311036+0.*I,0.16658332432942063+0.*I,0.17193482647351738+0.*I,0.17201500931740746+0.*I,0.16761543107768875+0.*I,0.15962338619300773+0.*I,0.1489460854883622+0.*I,0.13645043496100306+0.*I,0.12291946002850171+0.*I,0.10902470968719885+0.*I,0.09531278050966455+0.*I,0.08220340013985843+0.*I,0.06999623445313352+0.*I,0.05888363789336255+0.*I,0.048966852041040065+0.*I,0.0402735789360507+0.*I,0.03277533344997073+0.*I,0.026403452083088124+0.*I,0.021063062211942686+0.*I,0.016644671821392506+0.*I,0.013033315331417722+0.*I,0.010115387247756381+0.*I,0.0077834201545934015+0.*I,0.005939129138803036+0.*I,0.004495064663240246+0.*I
-2.2367782659520127*^-6+0.*I,-0.000012473199361330088+0.*I,-0.00004893158881792324+0.*I,-0.00015587266621720094+0.*I,-0.00042748430661847573+0.*I,-0.0010419711466307163+0.*I,-0.0023025819273172084+0.*I,-0.004675810949177448+0.*I,-0.0088096743258851+0.*I,-0.015509398935182238+0.*I,-0.025647714270224567+0.*I,-0.03999559616422429+0.*I,-0.058978251472923605+0.*I,-0.0823883497872294+0.*I,-0.10911781784829307+0.*I,-0.13699134605921215+0.*I,-0.16278862599767924+0.*I,-0.1825204703747928+0.*I,-0.19197498591282944+0.*I,-0.18748119534085111+0.*I,-0.16676467308867035+0.*I,-0.12971370736185645+0.*I,-0.07885542338968639+0.*I,-0.019372171310521668+0.*I,0.04143023934580069+0.*I,0.09517328096043115+0.*I,0.1338187273921279+0.*I,0.15118222001737142+0.*I,0.14423283145611224+0.*I,0.11388192299849705+0.*I,0.06505433811017361+0.*I,0.0059793109344587385+0.*I,-0.05319469366231441+0.*I,-0.10220659158645183+0.*I,-0.13255804892104497+0.*I,-0.13908285665019904+0.*I,-0.12089511061182588+0.*I,-0.08152848405746389+0.*I,-0.028245080926126036+0.*I,0.029340041112893393+0.*I,0.08103989517490005+0.*I,0.11793250860505525+0.*I,0.13390711938716754+0.*I,0.12664500491323638+0.*I,0.09788231479410171+0.*I,0.0529460294012001+0.*I,-0.0003106871652830369+0.*I,-0.052946794808905705+0.*I,-0.09646860716646527+0.*I,-0.12419088834521497+0.*I,-0.13220713298013964+0.*I,-0.11983998493636665+0.*I,-0.08954377078471469+0.*I,-0.0463256621028026+0.*I,0.003175980904830899+0.*I,0.05177767726022754+0.*I,0.0928177203933977+0.*I,0.12104578628200531+0.*I,0.13322449145095475+0.*I,0.12839023680523948+0.*I,0.10777839764967147+0.*I,0.07446609864135896+0.*I,0.03281844799111156+0.*I,-0.012161200289309192+0.*I,-0.05547872229335033+0.*I,-0.09271214777364431+0.*I,-0.12043242219812651+0.*I,-0.1364525765147059+0.*I,-0.13990284300634045+0.*I,-0.13115146244459502+0.*I,-0.11160626516655284+0.*I,-0.08343991193398179+0.*I,-0.049282498199556206+0.*I,-0.011920458139963183+0.*I,0.0259677992191111+0.*I,0.06201940588150612+0.*I,0.09432800504078342+0.*I,0.12151768569847667+0.*I,0.14275655551968236+0.*I,0.15772137948149134+0.*I,0.16652708581009903+0.*I,0.16963525210077826+0.*I,0.16775441995873808+0.*I,0.16174279366695632+0.*I,0.15252108008121473+0.*I,0.14100036288410692+0.*I,0.1280273004961085+0.*I,0.11434679858304485+0.*I,0.10058073006098041+0.*I,0.08722026337154463+0.*I,0.07462885572379836+0.*I,0.06305287636421654+0.*I,0.052637034716106056+0.*I,0.04344219017791765+0.*I,0.03546361859267783+0.*I,0.028648328678476366+0.*I,0.02291050551793273+0.*I,0.01814457360214039+0.*I,0.014235702489790591+0.*I,0.011067820969593136+0.*I
5.244654635849363*^-6+0.*I,0.00002845553966038438+0.*I,0.00010849506060045363+0.*I,0.00033551590344931253+0.*I,0.0008921192452184631+0.*I,0.0021051912922557424+0.*I,0.004496573369876291+0.*I,0.0088096743258851+0.*I,0.01598055003075688+0.*I,0.02702137611205438+0.*I,0.042797085092760645+0.*I,0.06370450536006637+0.*I,0.08930403110927372+0.*I,0.11799612005481415+0.*I,0.14686293896420485+0.*I,0.17179282197861637+0.*I,0.18796134036859155+0.*I,0.19065916493054563+0.*I,0.17634996459000102+0.*I,0.14374059455209065+0.*I,0.09458534297967348+0.*I,0.03395475483417165+0.*I,-0.030210694789325095+0.*I,-0.08828324716002102+0.*I,-0.13069656071355581+0.*I,-0.14991721488784426+0.*I,-0.14219352199190066+0.*I,-0.10864170127678545+0.*I,-0.055351884358362365+0.*I,0.007588079408026616+0.*I,0.06799614383318871+0.*I,0.11403968672784234+0.*I,0.13668613776325672+0.*I,0.13160854627306268+0.*I,0.10010934963923072+0.*I,0.048847536094246975+0.*I,-0.011572169142160131+0.*I,-0.0688319905048557+0.*I,-0.1114599520329544+0.*I,-0.13115810220086407+0.*I,-0.1244108373070449+0.*I,-0.09305873879271215+0.*I,-0.04375952637833232+0.*I,0.01350177619481971+0.*I,0.06750067132688645+0.*I,0.10800382921223818+0.*I,0.1276885978149434+0.*I,0.12339320255946885+0.*I,0.09650079011086743+0.*I,0.05244723092769074+0.*I,-0.0004863901082869235+0.*I,-0.052813515203049034+0.*I,-0.09557670344513709+0.*I,-0.12185593638845503+0.*I,-0.1278044376058884+0.*I,-0.11307749426652774+0.*I,-0.0806421975824236+0.*I,-0.03606490283214205+0.*I,0.013549486331924397+0.*I,0.06075588497620568+0.*I,0.09889924993678048+0.*I,0.1230094819925515+0.*I,0.1303542470200754+0.*I,0.12061134598990837+0.*I,0.09568589139682035+0.*I,0.05924682571318281+0.*I,0.016086871416424606+0.*I,-0.028581244035223656+0.*I,-0.06978896530957529+0.*I,-0.10335600830075063+0.*I,-0.12626402441356027+0.*I,-0.13684096553541678+0.*I,-0.13476528564345833+0.*I,-0.12092034492740317+0.*I,-0.09714229302494491+0.*I,-0.06590931447749356+0.*I,-0.030017626900027437+0.*I,0.007718041198627547+0.*I,0.04471240988946824+0.*I,0.07879051523675154+0.*I,0.10829673347862293+0.*I,0.13213605138649917+0.*I,0.1497579611145089+0.*I,0.1610969680229934+0.*I,0.16648487795704553+0.*I,0.16654926214898555+0.*I,0.1621103789115739+0.*I,0.15408595940361358+0.*I,0.1434101631773189+0.*I,0.13097008213899372+0.*I,0.1175606884916429+0.*I,0.10385722454134894+0.*I,0.09040275408405095+0.*I,0.07760789146467569+0.*I,0.06575950049759921+0.*I,0.0550352928794443+0.*I,0.045521633436379175+0.*I,0.037232368284766164+0.*I,0.030127042783780283+0.*I,0.024127403661268088+0.*I
