0.03156356219061547+0.*I,0.-0.08297978161646732*I,-0.15425653311660453+0.*I,0.+0.23413655060195113*I,0.30776944186545907+0.*I,0.-0.3618484957436029*I,-0.3883626207271264+0.*I,0.+0.38589991228684273*I,0.35868726959602504+0.*I,0.-0.3143264916249375*I,-0.26131675823873446+0.*I,0.+0.20713676824989732*I,0.15720011153176308+0.*I,0.-0.11462185969443212*I,-0.08053593579129777+0.*I,0.+0.05466764387264555*I,0.03592995241351178+0.*I,0.-0.02290965019711347*I,-0.01419608144489486+0.*I,0.+0.008562053921425948*I,0.00503325852164677+0.*I,0.-0.002887525757165041*I,-0.0016184556506032915+0.*I,0.+0.0008872033274980709*I,0.0004761061790196345+0.*I,0.-0.0002503341449403727*I,-0.00012906833067686635+0.*I,0.+0.000065301639906968*I,0.00003244377260754974+0.*I,0.-0.00001583866694812826*I,-7.602287264013877*^-6+0.*I,0.+3.5896301634999923*^-6*I,1.6682494621147872*^-6+0.*I,0.-7.634670534516843*^-7*I,-3.442208070899187*^-7+0.*I,0.+1.5296404975989108*^-7*I,6.702308275384333*^-8+0.*I,0.-2.896741986638117*^-8*I,-1.2353906005279163*^-8+0.*I,0.+5.200657650509929*^-9*I,2.161795194091276*^-9+0.*I,0.-8.875828362637244*^-10*I,-3.600563934284065*^-10+0.*I,0.+1.4435192372852105*^-10*I,5.7211391977518476*^-11+0.*I,0.-2.242139007366916*^-11*I,-8.691002908275961*^-12+0.*I,0.+3.3327845785477224*^-12*I,1.2646574335537066*^-12+0.*I,0.-4.749644860478159*^-13*I,-1.7658849793045742*^-13+0.*I,0.+6.500752043232198*^-14*I,2.369999236473462*^-14+0.*I,0.-8.55847818573906*^-15*I,-3.061864340782637*^-15+0.*I,0.+1.0854026483540865*^-15*I,3.813143419090597*^-16+0.*I,0.-1.3277979355965405*^-16*I,-4.583574230176657*^-17+0.*I,0.+1.5687890162868977*^-17*I,5.324455375792392*^-18+0.*I,0.-1.7922415886099885*^-18*I,-5.983936590549078*^-19+0.*I,0.+1.9819969638164662*^-19*I,6.513272893153115*^-20+0.*I,0.-2.123874609598341*^-20*I,-6.872949961692018*^-21+0.*I,0.+2.207456008519701*^-21*I,7.037588638954685*^-22+0.*I,0.-2.2273353472034813*^-22*I,-6.998788443002581*^-23+0.*I,0.+2.1836346063272556*^-23*I,6.765501535509745*^-24+0.*I,0.-2.081732122178733*^-24*I,-6.362023376497966*^-25+0.*I,0.+1.9313051812155212*^-25*I,5.824120960591947*^-26+0.*I,0.-1.744903044450185*^-26*I,-5.194099630739889*^-27+0.*I,0.+1.5363246788083674*^-27*I,4.515691767764786*^-28+0.*I,0.-1.3190706509877725*^-28*I,-3.829547035955227*^-29+0.*I,0.+1.1050823400019266*^-29*I,3.169868691246679*^-30+0.*I,0.-9.038952127332554*^-31*I,-2.5624484509184013*^-31+0.*I,0.+7.222404165014123*^-32*I,2.0240755953090274*^-32+0.*I,0.-5.6405051743753794*^-33*I,-1.563086542464005*^-33+0.*I,0.+4.3077312878923064*^-34*I,1.1807038182235573*^-34+0.*I,0.-3.2187390591150785*^-35*I,-8.727867010289738*^-36+0.*I,0.+2.3541416673909404*^-36*I,6.3165982328602215*^-37+0.*I,0.-1.6861013033675985*^-37*I,-4.4777196922329437*^-38+0.*I,0.+1.1831112458170103*^-38*I
0.-0.08297978161646732*I,-0.1865881190275412+0.*I,0.+0.28818526898673513*I,0.348358730973528+0.*I,0.-0.34084473283483685*I,-0.263096862543154+0.*I,0.+0.1346510201071467*I,-0.012990110330729823+0.*I,0.+0.1485103044744687*I,0.249705661982102+0.*I,0.-0.30699270189293154*I,-0.32213247825287916+0.*I,0.+0.3042678210315702*I,0.2654551835821697+0.*I,0.-0.21714885371628398*I,-0.16819452843687885+0.*I,0.+0.12421166788193069*I,0.08791411618855528+0.*I,0.-0.05987628626130258*I,-0.03936986800710489+0.*I,0.+0.025058363837310478*I,0.015474058277562855+0.*I,0.-0.009288818632699855*I,-0.0054294062242782664+0.*I,0.+0.003094720176237404*I,0.001722408958389986+0.*I,0.-0.0009371414155602148*I,-0.0004989824113166853+0.*I,0.+0.0002602499669560728*I,0.00013307562022550612+0.*I,0.-0.00006676573678293844*I,-0.000032890700045595506+0.*I,0.+0.00001592023032737988*I,7.576228577825671*^-6+0.*I,0.-3.5467921396505374*^-6*I,-1.6342992612238292*^-6+0.*I,0.+7.415823623967071*^-7*I,3.315309052698495*^-7+0.*I,0.-1.4608907203641223*^-7*I,-6.34777249791017*^-8+0.*I,0.+2.7208543841172878*^-8*I,1.150881108103832*^-8+0.*I,0.-4.8056153444681105*^-9*I,-1.9815502233419215*^-9+0.*I,0.+8.07115080482714*^-10*I,3.2484043503912353*^-10+0.*I,0.-1.2922084623192656*^-10*I,-5.082071035388218*^-11+0.*I,0.+1.976545748057226*^-11*I,7.603932791214148*^-12+0.*I,0.-2.8942595345875104*^-12*I,-1.090191043875935*^-12+0.*I,0.+4.0646923474182405*^-13*I,1.5003853290075674*^-13+0.*I,0.-5.484215211079025*^-14*I,-1.9853898443630487*^-14+0.*I,0.+7.119944215951382*^-15*I,2.52978553569855*^-15+0.*I,0.-8.907198099762173*^-16*I,-3.108279630854821*^-16+0.*I,0.+1.075200203892568*^-16*I,3.687356949000516*^-17+0.*I,0.-1.2538963061183513*^-17*I,-4.2285405924795164*^-18+0.*I,0.+1.4143653257766805*^-18*I,4.692807390541508*^-19+0.*I,0.-1.544755827919557*^-19*I,-5.045417575826373*^-20+0.*I,0.+1.6352984879481972*^-20*I,5.2602995201313146*^-21+0.*I,0.-1.679526128263532*^-21*I,-5.323212123485143*^-22+0.*I,0.+1.6750121348347115*^-22*I,5.2331651014229746*^-23+0.*I,0.-1.6235177484439457*^-23*I,-5.001938769474131*^-24+0.*I,0.+1.5305582020659576*^-24*I,4.651914943160068*^-25+0.*I,0.-1.4045051180174866*^-25*I,-4.212720983765957*^-26+0.*I,0.+1.2554142083414842*^-26*I,3.717342357836557*^-27+0.*I,0.-1.0937914843300205*^-27*I,-3.1983601265139273*^-28+0.*I,0.+9.29489673458247*^-29*I,2.6848428387910585*^-29+0.*I,0.-7.708718349576211*^-30*I,-2.2002176791453432*^-30+0.*I,0.+6.243091469976165*^-31*I,1.7612216879758407*^-31+0.*I,0.-4.940121677028373*^-32*I,-1.3778403962409987*^-32+0.*I,0.+3.82142674711814*^-33*I,1.0540097173039346*^-33+0.*I,0.-2.891229953724251*^-34*I,-7.887974778586622*^-35+0.*I,0.+2.1405166271701246*^-35*I,5.777856144443398*^-36+0.*I,0.-1.551437048901424*^-36*I,-4.14423798045388*^-37+0.*I
-0.15425653311660453+0.*I,0.+0.28818526898673513*I,0.3491382907458479+0.*I,0.-0.29463335629061793*I,-0.14096488291152465+0.*I,0.-0.04983490889582234*I,-0.20538556169816904+0.*I,0.+0.2760571561218929*I,0.25009527934656495+0.*I,0.-0.14915622618442725*I,-0.012329940027282089+0.*I,0.-0.12112861034144042*I,-0.22343688563022582+0.*I,0.+0.2822618082452824*I,0.2986562199495347+0.*I,0.-0.28201883863061233*I,-0.24482078827741324+0.*I,0.+0.198706840324103*I,0.15243441120261+0.*I,0.-0.11136389096310298*I,-0.07791582569029817+0.*I,0.+0.05243264207139956*I,0.03405405394361593+0.*I,0.-0.021406838888448146*I,-0.013055037506240886+0.*I,0.+0.007739589657748104*I,0.004468120461127492+0.*I,0.-0.0025156864485600264*I,-0.0013832255720116432+0.*I,0.+0.0007436193917194104*I,0.00039128447422613014+0.*I,0.-0.0002017142990925713*I,-0.00010196764472547568+0.*I,0.+0.00005058433540196106*I,0.00002464422722081648+0.*I,0.-0.00001179919044166294*I,-5.555168675304313*^-6+0.*I,0.+2.5733619040778204*^-6*I,1.1735351997653315*^-6+0.*I,0.-5.271089878006799*^-7*I,-2.3330127785146047*^-7+0.*I,0.+1.017974415303796*^-7*I,4.3806525854739035*^-8+0.*I,0.-1.859908860100728*^-8*I,-7.793895483407564*^-9+0.*I,0.+3.22461589142974*^-9*I,1.3176629315768896*^-9+0.*I,0.-5.319473572923709*^-10*I,-2.1222631823024516*^-10+0.*I,0.+8.369857606033812*^-11*I,3.263933596474579*^-11+0.*I,0.-1.2588666930136159*^-11*I,-4.803293210761348*^-12+0.*I,0.+1.8135120287007852*^-12*I,6.776734294782913*^-13+0.*I,0.-2.5068696401729843*^-13*I,-9.182122656813056*^-14+0.*I,0.+3.3307317290634863*^-14*I,1.1967494833881715*^-14+0.*I,0.-4.26002849547822*^-15*I,-1.502598883850627*^-15+0.*I,0.+5.252520353892735*^-16*I,1.8199384913623833*^-16+0.*I,0.-6.251404548643027*^-17*I,-2.1290981783313885*^-17+0.*I,0.+7.190746331494232*^-18*I,2.4086478590136813*^-18+0.*I,0.-8.002995148749575*^-19*I,-2.6379624059569924*^-19+0.*I,0.+8.627332353499182*^-20*I,2.799817088177511*^-20+0.*I,0.-9.017365172514787*^-21*I,-2.8825483335654476*^-21+0.*I,0.+9.146797092019378*^-22*I,2.881403746505217*^-22+0.*I,0.-9.012132128684041*^-23*I,-2.79887668331202*^-23+0.*I,0.+8.632089054593023*^-24*I,2.644027325624569*^-24+0.*I,0.-8.044047585602733*^-25*I,-2.4309815483381637*^-25+0.*I,0.+7.298366060866742*^-26*I,2.1769284555396848*^-26+0.*I,0.-6.45169469189078*^-27*I,-1.899985360731008*^-27+0.*I,0.+5.560428352379071*^-28*I,1.6172667884878939*^-28+0.*I,0.-4.6752361126095025*^-29*I,-1.3434023968282962*^-29+0.*I,0.+3.837256458551169*^-30*I,1.0896282784735007*^-30+0.*I,0.-3.0761585077133167*^-31*I,-8.634578266401896*^-32+0.*I,0.+2.409928868830901*^-32*I,6.688456956733992*^-33+0.*I,0.-1.846008019210608*^-33*I,-5.067034624630419*^-34+0.*I,0.+1.3832889950919764*^-34*I,3.7560925400292817*^-35+0.*I,0.-1.0144927724292709*^-35*I
0.+0.23413655060195113*I,0.348358730973528+0.*I,0.-0.29463335629061793*I,-0.09806764822086492+0.*I,0.-0.12625132688415505*I,-0.257626239455341+0.*I,0.+0.24126496977825657*I,0.10527863394522313+0.*I,0.+0.0711951303757114*I,0.2067826236959395+0.*I,0.-0.25360590424466767*I,-0.20746374179946023+0.*I,0.+0.09688395293054632*I,-0.0366930444742286+0.*I,0.+0.1564431985985943*I,0.23975647504902708+0.*I,0.-0.27969611892448654*I,-0.2811850943627822+0.*I,0.+0.25535950392609286*I,0.21458575468892147+0.*I,0.-0.1692766669397906*I,-0.12656159962566574+0.*I,0.+0.090299701689176*I,0.06179927512707317+0.*I,0.-0.04073224134839373*I,-0.025939197639820707+0.*I,0.+0.016002848436215685*I,0.0095859548915376+0.*I,0.-0.005586035612475412*I,-0.0031719287126623645+0.*I,0.+0.00175762423459293*I,0.0009516338168756441+0.*I,0.-0.0005040256949653569*I,-0.0002614095515345365+0.*I,0.+0.00013288628420927585*I,0.00006626679197745968+0.*I,0.-0.00003244174412894049*I,-0.00001560316269805543+0.*I,0.+7.377424884767094*^-6*I,3.4311748645661*^-6+0.*I,0.-1.5706161550487324*^-6*I,-7.079666735127882*^-7+0.*I,0.+3.143999045678204*^-7*I,1.3761841192362115*^-7+0.*I,0.-5.939920948287078*^-8*I,-2.5291180304994895*^-8+0.*I,0.+1.0626886630670598*^-8*I,4.408049798307685*^-9+0.*I,0.-1.8056640896882912*^-9*I,-7.306615077462784*^-10+0.*I,0.+2.921567554845664*^-10*I,1.154678626679337*^-10+0.*I,0.-4.512017506713021*^-11*I,-1.7436455361193218*^-11+0.*I,0.+6.665480896821379*^-12*I,2.5211218715421758*^-12+0.*I,0.-9.437216534698814*^-13*I,-3.4968430908619814*^-13+0.*I,0.+1.2828650207673313*^-13*I,4.6606351221192114*^-14+0.*I,0.-1.6770723722231037*^-14*I,-5.978345728259336*^-15+0.*I,0.+2.1115902401452167*^-15*I,7.391143461079945*^-16+0.*I,0.-2.564237297481837*^-16*I,-8.818973303772128*^-17+0.*I,0.+3.007165075024055*^-17*I,1.0168100037644717*^-17+0.*I,0.-3.409787636196688*^-18*I,-1.1341733288024168*^-18+0.*I,0.+3.7424303483074407*^-19*I,1.2251971044404882*^-19+0.*I,0.-3.9800643300090197*^-20*I,-1.2830936925302832*^-20+0.*I,0.+4.105456268523548*^-21*I,1.3039122353975862*^-21+0.*I,0.-4.111182670324676*^-22*I,-1.2869535598492934*^-22+0.*I,0.+4.000198327819111*^-23*I,1.2347137679354786*^-23+0.*I,0.-3.784944500549677*^-24*I,-1.1523976346015165*^-24+0.*I,0.+3.4852573131964625*^-25*I,1.047118728688591*^-25+0.*I,0.-3.1255287885721334*^-26*I,-9.269460989639103*^-27+0.*I,0.+2.731648448569244*^-27*I,7.9996227175879235*^-28+0.*I,0.-2.3282130208961426*^-28*I,-6.734691673343019*^-29+0.*I,0.+1.936363913780877*^-29*I,5.5342933412436255*^-30+0.*I,0.-1.5724404655642861*^-30*I,-4.441741362544851*^-31+0.*I,0.+1.2474662573389846*^-31*I,3.483610714598757*^-32+0.*I,0.-9.67350413434243*^-33*I,-2.6712768822738354*^-33+0.*I,0.+7.336040846384292*^-34*I,2.003727241347304*^-34+0.*I
0.30776944186545907+0.*I,0.-0.34084473283483685*I,-0.14096488291152465+0.*I,0.-0.12625132688415505*I,-0.264023370682876+0.*I,0.+0.19749305690017313*I,0.0016132403861520187+0.*I,0.+0.18077616390659637*I,0.24247154221666598+0.*I,0.-0.16502036616795843*I,-0.0064096175728890715+0.*I,0.-0.14784943190456937*I,-0.23198504907911816+0.*I,0.+0.2228925583953025*I,0.13699614358049741+0.*I,0.-0.012205807849191511*I,0.11185604991731428+0.*I,0.-0.20699418172718215*I,-0.2608169237836843+0.*I,0.+0.27447296029962126*I,0.2573163637125049+0.*I,0.-0.2214979978869457*I,-0.17811548066721392+0.*I,0.+0.13529673686199914*I,0.09783469056341333+0.*I,0.-0.06773386640479565*I,-0.0450967019258884+0.*I,0.+0.02897600716307342*I,0.01801928176953368+0.*I,0.-0.010871402275305668*I,-0.0063763104023717+0.*I,0.+0.003642108548418123*I,0.0020290916985763645+0.*I,0.-0.001104084144233826*I,-0.000587455972600991+0.*I,0.+0.0003059760960106107*I,0.0001561561264205613+0.*I,0.-0.0000781575589518283*I,-0.000038394648527795104+0.*I,0.+0.000018525767213540815*I,8.785773172471134*^-6+0.*I,0.-4.09781222689955*^-6*I,-1.8807996433165264*^-6+0.*I,0.+8.4993141564226*^-7*I,3.783491504885342*^-7+0.*I,0.-1.6598607868836417*^-7*I,-7.179766137868496*^-8+0.*I,0.+3.063280814415442*^-8*I,1.2896410531752544*^-8+0.*I,0.-5.359379292174835*^-9*I,-2.1992422899851273*^-9+0.*I,0.+8.914272802029908*^-10*I,3.570154179052995*^-10+0.*I,0.-1.4131992321184478*^-10*I,-5.530394013724911*^-11+0.*I,0.+2.1402282854858267*^-11*I,8.19266446932145*^-12+0.*I,0.-3.1028156550637507*^-12*I,-1.1629272446332635*^-12+0.*I,0.+4.31430219185707*^-13*I,1.5846072451898458*^-13+0.*I,0.-5.763331227537965*^-14*I,-2.0761112840261277*^-14+0.*I,0.+7.408557801934941*^-15*I,2.6193917362759622*^-15+0.*I,0.-9.177528472073453*^-16*I,-3.186995963672868*^-16+0.*I,0.+1.0970770003718223*^-16*I,3.7442029093977013*^-17+0.*I,0.-1.2671055625749027*^-17*I,-4.2526498489096706*^-18+0.*I,0.+1.4156633702020768*^-18*I,4.674896820156391*^-19+0.*I,0.-1.5316232347977316*^-19*I,-4.979137773968717*^-20+0.*I,0.+1.606317148715622*^-20*I,5.1432120656470986*^-21+0.*I,0.-1.6346057092712295*^-21*I,-5.157212190694831*^-22+0.*I,0.+1.6154255079463583*^-22*I,5.0242818179163813*^-23+0.*I,0.-1.5517438592797165*^-23*I,-4.7595696788848815*^-24+0.*I,0.+1.4499678718019405*^-24*I,4.3876541532678295*^-25+0.*I,0.-1.318951725269351*^-25*I,-3.9390006182317254*^-26+0.*I,0.+1.1688020287671806*^-26*I,3.446115081870548*^-27+0.*I,0.-1.0096892419034927*^-27*I,-2.9400122431909614*^-28+0.*I,0.+8.50839158663225*^-29*I,2.4474585982940517*^-29+0.*I,0.-6.998172237544089*^-30*I,-1.989236201080004*^-30+0.*I,0.+5.621482446511152*^-31*I,1.5794567925449269*^-31+0.*I,0.-4.412512471248717*^-32*I,-1.2257832984500591*^-32+0.*I,0.+3.386246907762551*^-33*I
0.-0.3618484957436029*I,-0.263096862543154+0.*I,0.-0.04983490889582234*I,-0.257626239455341+0.*I,0.+0.19749305690017313*I,-0.03182824069861613+0.*I,0.+0.21444609693512975*I,0.214449675406159+0.*I,0.-0.05641114448379056*I,0.13129314124224822+0.*I,0.-0.2258381699896731*I,-0.18333548007837536+0.*I,0.+0.04370045431443602*I,-0.1120070009409393+0.*I,0.+0.21190245762671822*I,0.22293375566805912+0.*I,0.-0.15334501104061155*I,-0.037113359777068936+0.*I,0.-0.08609803033790604*I,-0.18572438992305576+0.*I,0.+0.24641575849079284*I,0.2669235738494896+0.*I,0.-0.25520545597659533*I,-0.22294503127694867+0.*I,0.+0.18139479349699356*I,0.13912943976138786+0.*I,0.-0.10143620670889189*I,-0.07072780059031135+0.*I,0.+0.04738424647021715*I,0.030614529495057052+0.*I,0.-0.019132678119454828*I,-0.011594810945643344+0.*I,0.+0.006828257561576316*I,0.003914745013397588+0.*I,0.-0.0021884196521873398*I,-0.0011945223737714443+0.*I,0.+0.0006374252516524474*I,0.00033289974121096066+0.*I,0.-0.00017032443793079532*I,-0.00008544943463071193+0.*I,0.+0.00004206923584608093*I,0.000020340775037227124+0.*I,0.-9.665307804575371*^-6*I,-4.516311945433718*^-6+0.*I,0.+2.076474063548757*^-6*I,9.398954814593629*^-7+0.*I,0.-4.190472690825101*^-7*I,-1.8411207448205702*^-7+0.*I,0.+7.974980871122073*^-8*I,3.407105961766731*^-8+0.*I,0.-1.4362167929497999*^-8*I,-5.975754082598304*^-9+0.*I,0.+2.4550189748631373*^-9*I,9.962063342215773*^-10+0.*I,0.-3.994031040767301*^-10*I,-1.5825947932811245*^-10+0.*I,0.+6.199351705687013*^-11*I,2.4013598625726745*^-11+0.*I,0.-9.20054078670908*^-12*I,-3.487548208251433*^-12+0.*I,0.+1.3082138048901059*^-12*I,4.857192888258204*^-13+0.*I,0.-1.7853872717934726*^-13*I,-6.498430316654548*^-14+0.*I,0.+2.3426009584075754*^-14*I,8.365337375915182*^-15+0.*I,0.-2.959662460253775*^-15*I,-1.0376473194725152*^-15+0.*I,0.+3.605609313981663*^-16*I,1.241934415437254*^-16+0.*I,0.-4.241085369440134*^-17*I,-1.436079887210127*^-17+0.*I,0.+4.822431141190956*^-18*I,1.606200650972307*^-18+0.*I,0.-5.306868592432788*^-19*I,-1.739554992183058*^-19+0.*I,0.+5.657883095298169*^-20*I,1.8261594618412924*^-20+0.*I,0.-5.849835172751903*^-21*I,-1.8600236442340085*^-21+0.*I,0.+5.870990749019308*^-22*I,1.8397938993230961*^-22+0.*I,0.-5.724494942814246*^-23*I,-1.768721528699862*^-23+0.*I,0.+5.4272376093408375*^-24*I,1.6540052995940055*^-24+0.*I,0.-5.006959645109063*^-25*I,-1.5056698701333805*^-25+0.*I,0.+4.4982354506123307*^-26*I,1.3352070815366142*^-26+0.*I,0.-3.9380876339562274*^-27*I,-1.1542178333235548*^-27+0.*I,0.+3.361942531034854*^-28*I,9.73254613341322*^-29+0.*I,0.-2.8004581139309093*^-29*I,-8.009954645694999*^-30+0.*I,0.+2.2775114251978102*^-30*I,6.438000758795665*^-31+0.*I,0.-1.8093856250677653*^-31*I,-5.056265936893011*^-32+0.*I
-0.3883626207271264+0.*I,0.+0.1346510201071467*I,-0.20538556169816904+0.*I,0.+0.24126496977825657*I,0.0016132403861520187+0.*I,0.+0.21444609693512975*I,0.19833120224526912+0.*I,0.+0.001464974379522848*I,0.1870805349901928+0.*I,0.-0.21000278866858532*I,-0.07288754346459911+0.*I,0.-0.10901710425069921*I,-0.21237295636088277+0.*I,0.+0.18453954082779273*I,0.056335900680563336+0.*I,0.+0.09577817666253259*I,0.19946806893951358+0.*I,0.-0.21828530801599724*I,-0.15668901130095791+0.*I,0.+0.04612061065437456*I,-0.07461313993435592+0.*I,0.+0.17451951143019098*I,0.23721432303073922+0.*I,0.-0.2603830863958926*I,-0.251203727755189+0.*I,0.+0.22094654666182664*I,0.1807521702184208+0.*I,0.-0.13926837192686198*I,-0.10193322716918266+0.*I,0.+0.07131574141181696*I,0.047921561048695716+0.*I,0.-0.031044746406841135*I,-0.01944847685367618+0.*I,0.+0.01181208898553931*I,0.006970182964270115+0.*I,0.-0.004003485677125532*I,-0.002241838285056335+0.*I,0.+0.0012256110522633474*I,0.0006549745010689401+0.*I,0.-0.00034253315077563705*I,-0.00017547767002467824+0.*I,0.+0.00008814046981786339*I,0.00004344310763096628+0.*I,0.-0.000021027397893340028*I,-0.000010001604720103336+0.*I,0.+4.677892940932272*^-6*I,2.152700161940833*^-6+0.*I,0.-9.752306594196505*^-7*I,-4.3515418082105757*^-7+0.*I,0.+1.9133647545126902*^-7*I,8.294013426639327*^-8+0.*I,0.-3.545893303143784*^-8*I,-1.495723538937343*^-8+0.*I,0.+6.22734081539871*^-9*I,2.559949993257793*^-9+0.*I,0.-1.0393971483153003*^-9*I,-4.1695465905506446*^-10+0.*I,0.+1.6530367872575282*^-10*I,6.478661008398243*^-11+0.*I,0.-2.5108095129417997*^-11*I,-9.624523785992458*^-12+0.*I,0.+3.649957356380329*^-12*I,1.3697480703293493*^-12+0.*I,0.-5.087856278603541*^-13*I,-1.8709531590752997*^-13+0.*I,0.+6.812613689590978*^-14*I,2.456815623996107*^-14+0.*I,0.-8.776494636023589*^-15*I,-3.106260697841398*^-15+0.*I,0.+1.0894280029557705*^-15*I,3.786828892401349*^-16+0.*I,0.-1.3047861929900723*^-16*I,-4.457147609636626*^-17+0.*I,0.+1.509710756273251*^-17*I,5.071218841069405*^-18+0.*I,0.-1.6895594514040651*^-18*I,-5.583875649731622*^-19+0.*I,0.+1.830862824158197*^-19*I,5.956463915394437*^-20+0.*I,0.-1.9230339226467473*^-20*I,-6.1617278149309254*^-21+0.*I,0.+1.9596794277278888*^-21*I,6.187038582443746*^-22+0.*I,0.-1.9392899411563368*^-22*I,-6.035458613758613*^-23+0.*I,0.+1.8652179201315453*^-23*I,5.724578986288493*^-24+0.*I,0.-1.744993782009093*^-24*I,-5.283492632868966*^-25+0.*I,0.+1.5891490828578426*^-25*I,4.748570042115057*^-26+0.*I,0.-1.4097855789717244*^-26*I,-4.1588345688645045*^-27+0.*I,0.+1.219141200576104*^-27*I,3.5516868210439715*^-28+0.*I,0.-1.028364915622156*^-28*I,-2.9595424544307687*^-29+0.*I,0.+8.466396981183018*^-30*I,2.40769035590294*^-30+0.*I,0.-6.80708322318103*^-31*I
0.+0.38589991228684273*I,-0.012990110330729823+0.*I,0.+0.2760571561218929*I,0.10527863394522313+0.*I,0.+0.18077616390659637*I,0.214449675406159+0.*I,0.+0.001464974379522848*I,0.19978688684102625+0.*I,0.-0.18432808514633867*I,0.0034582811162142623+0.*I,0.-0.17857599647247924*I,-0.19969516959298272+0.*I,0.+0.06828934924417422*I,-0.10604622727047407+0.*I,0.+0.2049996613585154*I,0.1776381366959686+0.*I,0.-0.05340019773533163*I,0.0939474302291099+0.*I,0.-0.1943398095638884*I,-0.2123183993860734+0.*I,0.+0.1520980592481583*I,0.04417908851505663+0.*I,0.+0.07367994067912105*I,0.17125554643935176+0.*I,0.-0.23252501050463997*I,-0.2551849557814246+0.*I,0.+0.2462128658318861*I,0.2166049802266157+0.*I,0.-0.17724990180375047*I,-0.13661148057398428+0.*I,0.+0.10001993300215518*I,0.06999907005189424+0.*I,0.-0.04705131083545109*I,-0.030490136968401756+0.*I,0.+0.019106592995143563*I,0.011607704391085112+0.*I,0.-0.006851429919823415*I,-0.003936299829568093+0.*I,0.+0.0022047661966749193*I,0.0012056324859170797+0.*I,0.-0.0006444459224498722*I,-0.00033710134526174326+0.*I,0.+0.00017273155316251717*I,0.00008677876340985398+0.*I,0.-0.00004278029453627572*I,-0.000020710467145442395+0.*I,0.+9.852634626986972*^-6*I,4.609017013137555*^-6+0.*I,0.-2.121358568982368*^-6*I,-9.611865833529378*^-7+0.*I,0.+4.2895405123074233*^-7*I,1.886384486287709*^-7+0.*I,0.-8.178237307280414*^-8*I,-3.4968819757685654*^-8+0.*I,0.+1.4752475200906543*^-8*I,6.142886223046171*^-9+0.*I,0.-2.5255484466195305*^-9*I,-1.0255535251391764*^-9+0.*I,0.+4.1144948065682713*^-10*I,1.631396214932441*^-10+0.*I,0.-6.394548342908366*^-11*I,-2.4784752380443364*^-11+0.*I,0.+9.50155856064164*^-12*I,3.6036849251934777*^-12+0.*I,0.-1.3525142378490604*^-12*I,-5.024315089855097*^-13+0.*I,0.+1.847756093324336*^-13*I,6.728744670140144*^-14+0.*I,0.-2.426779501243959*^-14*I,-8.669923488572271*^-15+0.*I,0.+3.0687922736128152*^-15*I,1.0763724628839845*^-15+0.*I,0.-3.7417369727469556*^-16*I,-1.289346263661469*^-16+0.*I,0.+4.404727206065716*^-17*I,1.4920614631093205*^-17+0.*I,0.-5.0122819246650125*^-18*I,-1.6700367559610655*^-18+0.*I,0.+5.519719013616325*^-19*I,1.8099434781364618*^-19+0.*I,0.-5.888775737307295*^-20*I,-1.901297526705438*^-20+0.*I,0.+6.092445497216314*^-21*I,1.9377581398723715*^-21+0.*I,0.-6.11817879736964*^-22*I,-1.9178132707511004*^-22+0.*I,0.+5.968944418223254*^-23*I,1.8447604953727144*^-23+0.*I,0.-5.6620878080296*^-24*I,-1.7260329092670483*^-24+0.*I,0.+5.226343532610195*^-25*I,1.5720367010225512*^-25+0.*I,0.-4.697660520963282*^-26*I,-1.394736443571135*^-26+0.*I,0.+4.114628323941368*^-27*I,1.206236442241646*^-27+0.*I,0.-3.514246112577957*^-28*I,-1.0175680155192648*^-28+0.*I,0.+2.928593423919216*^-29*I,8.378206995827495*^-30+0.*I
