0.05145437797989271+0.*I,0.12534311249154503+0.*I,0.21590545701928257+0.*I,0.3036554877606487+0.*I,0.3698531150831467+0.*I,0.40292333601000196+0.*I,0.40070516291364505+0.*I,0.3689385703080746+0.*I,0.31775120727027883+0.*I,0.25801449025235956+0.*I,0.19875691132676845+0.*I,0.14598358980372486+0.*I,0.10265770670850044+0.*I,0.06935823364932615+0.*I,0.04515565527178318+0.*I,0.02840172131296193+0.*I,0.017296682465364057+0.*I,0.010219190481208132+0.*I,0.005867571413523511+0.*I,0.0032791382407626898+0.*I,0.0017861703272514535+0.*I,0.0009494921211403516+0.*I,0.000493126302009287+0.*I,0.0002504796175728479+0.*I,0.00012455033873191238+0.*I,0.000060681044962334614+0.*I,0.000028989753282858138+0.*I,0.000013590667252690045+0.*I,6.256621837963207*^-6+0.*I,2.8302125313326784*^-6+0.*I,1.2587415395280525*^-6+0.*I,5.507238185409832*^-7+0.*I,2.3715758163719501*^-7+0.*I,1.005676230263667*^-7+0.*I,4.201427456505395*^-8+0.*I,1.7299796296695912*^-8+0.*I,7.023731178407337*^-9+0.*I,2.812840856744003*^-9+0.*I,1.1115564052717769*^-9+0.*I,4.3358809012300023*^-10+0.*I,1.670034684808398*^-10+0.*I,6.353480554021435*^-11+0.*I,2.3881698002360102*^-11+0.*I,8.871746353259823*^-12+0.*I,3.2580738245315515*^-12+0.*I,1.1831309248736027*^-12+0.*I,4.249443239228188*^-13+0.*I,1.5099454090856156*^-13+0.*I,5.309073888379084*^-14+0.*I,1.8475613647410255*^-14+0.*I,6.364906262440102*^-15+0.*I,2.1711261906436057*^-15+0.*I,7.334348410900137*^-16+0.*I,2.4541536202981864*^-16+0.*I,8.135476721823781*^-17+0.*I,2.6722667277523186*^-17+0.*I,8.698891883747749*^-18+0.*I,2.806755921897473*^-18+0.*I,8.977776575171255*^-19+0.*I,2.8472193705786137*^-19+0.*I,8.954131059921894*^-20+0.*I,2.792779652085269*^-20+0.*I,8.640103981945237*^-21+0.*I,2.651714947746534*^-21+0.*I,8.074487974589556*^-22+0.*I,2.439700167825211*^-22+0.*I,7.315476686600025*^-23+0.*I,2.1771250337466286*^-23+0.*I,6.4314227499450035*^-24+0.*I,1.8860823653720854*^-24+0.*I,5.491484685627794*^-25+0.*I,1.5875914259328973*^-25+0.*I,4.5577514600048676*^-26+0.*I,1.2994732717002018*^-26+0.*I,3.679845911477652*^-27+0.*I,1.0350876912147502*^-27+0.*I,2.8923343165301144*^-28+0.*I,8.029366285108927*^-29+0.*I,2.2146857489460866*^-29+0.*I,6.0698325148697734*^-30+0.*I,1.653140845767538*^-30+0.*I,4.4745100661230105*^-31+0.*I,1.2036956902219128*^-31+0.*I,3.2185169577581566*^-32+0.*I,8.554493506367943*^-33+0.*I,2.2602838420654386*^-33+0.*I,5.937339695740754*^-34+0.*I,1.5506379661907648*^-34+0.*I,4.026680943410536*^-35+0.*I,1.0397534219881891*^-35+0.*I,2.6698523597606637*^-36+0.*I,6.817806829829334*^-37+0.*I,1.7315256157123797*^-37+0.*I,4.37386715988223*^-38+0.*I,1.098954734357848*^-38+0.*I,2.7466046058054568*^-39+0.*I,6.8287100030446026*^-40+0.*I,1.68900503791689*^-40+0.*I,4.156196281329226*^-41+0.*I,1.0175519583649137*^-41+0.*I
-0.12534311249154503+0.*I,-0.2538820475271381+0.*I,-0.3486848031629535+0.*I,-0.36574700897751744+0.*I,-0.2936529935180554+0.*I,-0.15450647942126752+0.*I,0.010836872589595805+0.*I,0.16143007656502273+0.*I,0.26947238886735847+0.*I,0.3247290813181277+0.*I,0.3317406655966606+0.*I,0.3035853717455756+0.*I,0.2556273214244336+0.*I,0.20118063425675742+0.*I,0.14951535361886828+0.*I,0.10570037099324311+0.*I,0.07147208348951994+0.*I,0.046422051563872045+0.*I,0.02906292111161161+0.*I,0.017588154293302453+0.*I,0.010313632511038989+0.*I,0.005872293350186007+0.*I,0.003252254762921722+0.*I,0.0017547811097827803+0.*I,0.0009236892832302175+0.*I,0.0004749323759760282+0.*I,0.00023879465379687977+0.*I,0.00011752824589313734+0.*I,0.00005667389048365091+0.*I,0.000026798528380665928+0.*I,0.00001243541200881287+0.*I,5.66681041231437*^-6+0.*I,2.5376473625218343*^-6+0.*I,1.1173833709306778*^-6+0.*I,4.840579969230588*^-7+0.*I,2.0641741328546662*^-7+0.*I,8.668893481308113*^-8+0.*I,3.587159496515629*^-8+0.*I,1.463175881048849*^-8+0.*I,5.885444850933959*^-9+0.*I,2.335430608946936*^-9+0.*I,9.145728645740412*^-10+0.*I,3.535766687151959*^-10+0.*I,1.34991149675924*^-10+0.*I,5.09118242550342*^-11+0.*I,1.8973711012795192*^-11+0.*I,6.989217926717702*^-12+0.*I,2.5454480805833895*^-12+0.*I,9.16791570544803*^-13+0.*I,3.266284883886518*^-13+0.*I,1.151373746668503*^-13+0.*I,4.016564867407643*^-14+0.*I,1.3869562807641834*^-14+0.*I,4.741653236279578*^-15+0.*I,1.6052466314056326*^-15+0.*I,5.382465554147667*^-16+0.*I,1.787835883159538*^-16+0.*I,5.883792255345223*^-17+0.*I,1.9188625568553974*^-17+0.*I,6.2023770270724566*^-18+0.*I,1.9873235773242306*^-18+0.*I,6.3130774530169355*^-19+0.*I,1.9885635481028486*^-19+0.*I,6.211910893422616*^-20+0.*I,1.9246770423814795*^-20+0.*I,5.915548188166382*^-21+0.*I,1.803816421623946*^-21+0.*I,5.457627031002372*^-22+0.*I,1.638633527026459*^-22+0.*I,4.882890396441847*^-23+0.*I,1.4442368905224724*^-23+0.*I,4.2404692081005464*^-24+0.*I,1.2360889506334592*^-24+0.*I,3.5775922398194855*^-25+0.*I,1.0282079523256778*^-25+0.*I,2.934692181418151*^-26+0.*I,8.319111255364223*^-27+0.*I,2.342417313110827*^-27+0.*I,6.551845779096786*^-28+0.*I,1.8205943386883766*^-28+0.*I,5.026317340163726*^-29+0.*I,1.3788274805500737*^-29+0.*I,3.758620345651458*^-30+0.*I,1.0182157354770816*^-30+0.*I,2.7414316432048602*^-31+0.*I,7.336247086993671*^-32+0.*I,1.9514671234370972*^-32+0.*I,5.1602456357773266*^-33+0.*I,1.3565372092300839*^-33+0.*I,3.5454787702981043*^-34+0.*I,9.21358973504444*^-35+0.*I,2.3807947253460224*^-35+0.*I,6.117610109221626*^-36+0.*I,1.5632752175652077*^-36+0.*I,3.972915643602306*^-37+0.*I,1.0042211585684024*^-37+0.*I,2.5247642193109837*^-38+0.*I,6.314056938543034*^-39+0.*I,1.5707845405593374*^-39+0.*I,3.8874869391031015*^-40+0.*I
0.21590545701928257+0.*I,0.3486848031629535+0.*I,0.34673293869840544+0.*I,0.2029549761987429+0.*I,-0.011422540662568082+0.*I,-0.1981663413512107+0.*I,-0.2862797537170316+0.*I,-0.2577918806414126+0.*I,-0.14131021982450662+0.*I,0.0122863770586162+0.*I,0.15468785386159034+0.*I,0.2550703075323257+0.*I,0.30330722478835703+0.*I,0.3051875845584749+0.*I,0.2747314092489019+0.*I,0.2273941294859626+0.*I,0.17585402311183054+0.*I,0.1284124358785436+0.*I,0.08920482192120936+0.*I,0.05928207013544704+0.*I,0.03785323530228826+0.*I,0.023304872527640325+0.*I,0.013874134386247588+0.*I,0.008006294793874493+0.*I,0.004487670947439741+0.*I,0.002447656389218177+0.*I,0.0013010655358869352+0.*I,0.0006749433546702306+0.*I,0.0003421287732704832+0.*I,0.0001696468643347786+0.*I,0.0000823700638959996+0.*I,0.00003919709713355066+0.*I,0.000018296104674371664+0.*I,8.3832621132464*^-6+0.*I,3.773292248724938*^-6+0.*I,1.669402684061909*^-6+0.*I,7.264318802113801*^-7+0.*I,3.1107382798081164*^-7+0.*I,1.3115722571087342*^-7+0.*I,5.4474327316099365*^-8+0.*I,2.229769405126953*^-8+0.*I,8.99874585718584*^-9+0.*I,3.582058079885437*^-9+0.*I,1.406943216446689*^-9+0.*I,5.45468208272187*^-10+0.*I,2.088134749639247*^-10+0.*I,7.895568501411792*^-11+0.*I,2.949691712960197*^-11+0.*I,1.0890910216357065*^-11+0.*I,3.975264113630651*^-12+0.*I,1.4348165267548897*^-12+0.*I,5.122292886699986*^-13+0.*I,1.8091488912614475*^-13+0.*I,6.323037313621399*^-14+0.*I,2.187329070982989*^-14+0.*I,7.490846305443545*^-15+0.*I,2.5401755531239856*^-15+0.*I,8.530939463506564*^-16+0.*I,2.8379920444500706*^-16+0.*I,9.353722302834076*^-17+0.*I,3.0548622366813063*^-17+0.*I,9.88791579342568*^-18+0.*I,3.172439608179808*^-18+0.*I,1.0090773938846253*^-18+0.*I,3.182458845187155*^-19+0.*I,9.95338496651956*^-20+0.*I,3.087513536790582*^-20+0.*I,9.500257621457849*^-21+0.*I,2.900058899029805*^-21+0.*I,8.783707239972098*^-22+0.*I,2.639984869407417*^-22+0.*I,7.874606992235201*^-23+0.*I,2.3313632842820885*^-23+0.*I,6.851613992025877*^-24+0.*I,1.9990539865884776*^-24+0.*I,5.790956797782166*^-25+0.*I,1.6657677749703086*^-25+0.*I,4.7583877667740554*^-26+0.*I,1.349982582564253*^-26+0.*I,3.804171020119172*^-27+0.*I,1.0648658646524292*^-27+0.*I,2.9612235941276233*^-28+0.*I,8.181375470749155*^-29+0.*I,2.245932539428679*^-29+0.*I,6.126576300486564*^-30+0.*I,1.6608267812987656*^-30+0.*I,4.474555685850504*^-31+0.*I,1.1981949331736005*^-31+0.*I,3.189254079890233*^-32+0.*I,8.438517646041479*^-33+0.*I,2.219673949501193*^-33+0.*I,5.804810469292232*^-34+0.*I,1.5093567611449978*^-34+0.*I,3.9023773280822825*^-35+0.*I,1.0032934050063425*^-35+0.*I,2.5651644925106296*^-36+0.*I,6.522553718633128*^-37+0.*I,1.6495342068218608*^-37+0.*I,4.149269781475407*^-38+0.*I,1.038182318652391*^-38+0.*I
-0.3036554877606487+0.*I,-0.36574700897751744+0.*I,-0.2029549761987429+0.*I,0.061291370236446256+0.*I,0.2504172017074503+0.*I,0.26396026157497643+0.*I,0.12238234406738062+0.*I,-0.07473381886591927+0.*I,-0.22222972341113098+0.*I,-0.262036385514238+0.*I,-0.19512558153263326+0.*I,-0.06253334247130383+0.*I,0.0835608307648418+0.*I,0.20215996223710112+0.*I,0.27289057710997106+0.*I,0.29450462782685766+0.*I,0.27781821923059535+0.*I,0.23801345672023605+0.*I,0.18908478208212154+0.*I,0.14111791333906848+0.*I,0.09982779554686765+0.*I,0.06737362084337832+0.*I,0.04359692157467868+0.*I,0.027155461131785533+0.*I,0.0163336351293118+0.*I,0.009512337580725594+0.*I,0.005375850258529732+0.*I,0.002953937351305385+0.*I,0.0015808065099241438+0.*I,0.0008251254782924456+0.*I,0.0004206229220575481+0.*I,0.00020965481347397013+0.*I,0.00010228502861360285+0.*I,0.000048890859465282046+0.*I,0.00002291540169951599+0.*I,0.000010540351895417449+0.*I,4.761306371993204*^-6+0.*I,2.1136419688769944*^-6+0.*I,9.226566685438028*^-7+0.*I,3.962798812979886*^-7+0.*I,1.675520171331747*^-7+0.*I,6.97750415039285*^-8+0.*I,2.863231700004521*^-8+0.*I,1.1582688632758104*^-8+0.*I,4.621020517433822*^-9+0.*I,1.8189081611527624*^-9+0.*I,7.066221486951773*^-10+0.*I,2.7103031331397973*^-10+0.*I,1.0267038705845055*^-10+0.*I,3.84241667181693*^-11+0.*I,1.4210981596351796*^-11+0.*I,5.195486461023227*^-12+0.*I,1.878136816211004*^-12+0.*I,6.7148768094667*^-13+0.*I,2.375005444473684*^-13+0.*I,8.312049922287756*^-14+0.*I,2.8791580898568134*^-14+0.*I,9.872553291891621*^-15+0.*I,3.351884182388505*^-15+0.*I,1.1270142413254802*^-15+0.*I,3.753467392944972*^-16+0.*I,1.2384472587249418*^-16+0.*I,4.048925605933194*^-17+0.*I,1.3118749905452065*^-17+0.*I,4.2131389057828274*^-18+0.*I,1.3413667781406465*^-18+0.*I,4.234314811254891*^-19+0.*I,1.3254876852140284*^-19+0.*I,4.115154909749333*^-20+0.*I,1.2672828675673998*^-20+0.*I,3.8716388214032516*^-21+0.*I,1.1735596764887068*^-21+0.*I,3.529864342800195*^-22+0.*I,1.0536711790215006*^-22+0.*I,3.121739084752099*^-23+0.*I,9.18081353368871*^-24+0.*I,2.6804394197423644*^-24+0.*I,7.769926432445343*^-25+0.*I,2.236445872452192*^-25+0.*I,6.392543286477019*^-26+0.*I,1.8146997470010205*^-26+0.*I,5.116730554266921*^-27+0.*I,1.4331007504404856*^-27+0.*I,3.9874566630015627*^-28+0.*I,1.1022699054473162*^-28+0.*I,3.0275359307425147*^-29+0.*I,8.262962018741211*^-30+0.*I,2.2411044861044155*^-30+0.*I,6.040908800545612*^-31+0.*I,1.6184130240945693*^-31+0.*I,4.3097852994265455*^-32+0.*I,1.1408606050396392*^-32+0.*I,3.0022783111574567*^-33+0.*I,7.854901497584125*^-34+0.*I,2.0432959714030202*^-34+0.*I,5.285075438143414*^-35+0.*I,1.3593411418837924*^-35+0.*I,3.4768859288975936*^-36+0.*I,8.844308345218284*^-37+0.*I,2.2375611478201826*^-37+0.*I
0.3698531150831467+0.*I,0.2936529935180554+0.*I,-0.011422540662568082+0.*I,-0.2504172017074503+0.*I,-0.24371738427323478+0.*I,-0.04152929115400476+0.*I,0.17422198692971716+0.*I,0.2529225949193289+0.*I,0.16498675788085407+0.*I,-0.014183636759454941+0.*I,-0.17665247599838457+0.*I,-0.2474134088050902+0.*I,-0.2100882193551941+0.*I,-0.09558989069350948+0.*I,0.04582527815702642+0.*I,0.16974298458702514+0.*I,0.2506259958382999+0.*I,0.28283596804868805+0.*I,0.27459706802126027+0.*I,0.24021877026816948+0.*I,0.19395875177727392+0.*I,0.14667298240111334+0.*I,0.10490399107112985+0.*I,0.07146632837368795+0.*I,0.046622616595350365+0.*I,0.029248037750879738+0.*I,0.017703998915812827+0.*I,0.01036896586757231+0.*I,0.005889957485451512+0.*I,0.0032514469731793508+0.*I,0.0017473794545322678+0.*I,0.0009156045902968285+0.*I,0.000468409950180984+0.*I,0.00023424219281307802+0.*I,0.00011462911038553276+0.*I,0.000054946498375620204+0.*I,0.00002582177306325899+0.*I,0.000011906526991147019+0.*I,5.3908840317039095*^-6+0.*I,2.3983246747459102*^-6+0.*I,1.0490682555861726*^-6+0.*I,4.51442022446669*^-7+0.*I,1.9122274457109533*^-7+0.*I,7.976958663032523*^-8+0.*I,3.278701814394346*^-8+0.*I,1.328393948465836*^-8+0.*I,5.30755020080466*^-9+0.*I,2.092063118155247*^-9+0.*I,8.138237675063681*^-10+0.*I,3.1254562714324365*^-10+0.*I,1.1854093444481055*^-10+0.*I,4.441523896820815*^-11+0.*I,1.6445017672809147*^-11+0.*I,6.018647592692701*^-12+0.*I,2.177927045453575*^-12+0.*I,7.794346210578137*^-13+0.*I,2.759402150651136*^-13+0.*I,9.66610407811998*^-14+0.*I,3.3510959920148904*^-14+0.*I,1.1500449408452052*^-14+0.*I,3.90773415555822*^-15+0.*I,1.3149327002193025*^-15+0.*I,4.3826116198726806*^-16+0.*I,1.4470808448886831*^-16+0.*I,4.73433862922639*^-17+0.*I,1.5349917929052087*^-17+0.*I,4.9329170468200614*^-18+0.*I,1.571523304720176*^-18+0.*I,4.963898872943061*^-19+0.*I,1.5547968403033562*^-19+0.*I,4.82985804755811*^-20+0.*I,1.488210577731736*^-20+0.*I,4.5490537055352784*^-21+0.*I,1.3796213050120024*^-21+0.*I,4.1517825312057902*^-22+0.*I,1.2399301458407494*^-22+0.*I,3.6753456746964196*^-23+0.*I,1.081400131547229*^-23+0.*I,3.1587069643710273*^-24+0.*I,9.160369547907416*^-25+0.*I,2.63780140149655*^-25+0.*I,7.542929848243236*^-26+0.*I,2.1421462744536426*^-26+0.*I,6.0424114181002254*^-27+0.*I,1.6930254590228203*^-27+0.*I,4.712458593419829*^-28+0.*I,1.3031675838528095*^-28+0.*I,3.580621876594484*^-29+0.*I,9.77592765489924*^-30+0.*I,2.652367886305369*^-30+0.*I,7.1518741395638425*^-31+0.*I,1.9166794770731596*^-31+0.*I,5.105697032316455*^-32+0.*I,1.351973286673515*^-32+0.*I,3.5589308359827615*^-33+0.*I,9.31406934877733*^-34+0.*I,2.4235795367975102*^-34+0.*I,6.270493262140881*^-35+0.*I,1.6132468438608567*^-35+0.*I,4.1274523602416096*^-36+0.*I
-0.40292333601000196+0.*I,-0.15450647942126752+0.*I,0.1981663413512107+0.*I,0.26396026157497643+0.*I,0.04152929115400476+0.*I,-0.19847477348667836+0.*I,-0.23529301299059063+0.*I,-0.069395300219765+0.*I,0.14018562697616183+0.*I,0.23680482275376522+0.*I,0.17238907236204518+0.*I,0.0075177830201866806+0.*I,-0.15441805825304025+0.*I,-0.23462006458573123+0.*I,-0.20987520216633299+0.*I,-0.10554875385581643+0.*I,0.03060989491797938+0.*I,0.15400590542054254+0.*I,0.2374934981366729+0.*I,0.27359042521123283+0.*I,0.26913606941890117+0.*I,0.23770948636864875+0.*I,0.19337991743765487+0.*I,0.14713754260174114+0.*I,0.10578352737744273+0.*I,0.0723881043987013+0.*I,0.047408795124322375+0.*I,0.029844274303649585+0.*I,0.018120846813410252+0.*I,0.010642722638370758+0.*I,0.006060765544521714+0.*I,0.003353466862591788+0.*I,0.001806024174694716+0.*I,0.0009481801156915996+0.*I,0.0004859502949718144+0.*I,0.0002434206085838326+0.*I,0.00011930631332964379+0.*I,0.00005727167414766286+0.*I,0.000026951122622903585+0.*I,0.000012443150124635778+0.*I,5.640616424463195*^-6+0.*I,2.512266840899513*^-6+0.*I,1.1000824599951859*^-6+0.*I,4.738730242304563*^-7+0.*I,2.0091618302061088*^-7+0.*I,8.38893385147956*^-8+0.*I,3.451006140885821*^-8+0.*I,1.3993516940262188*^-8+0.*I,5.59542910285199*^-9+0.*I,2.2071796428828174*^-9+0.*I,8.592158450141343*^-10+0.*I,3.302027803498943*^-10+0.*I,1.2531940156390365*^-10+0.*I,4.698429669095717*^-11+0.*I,1.7406629071320802*^-11+0.*I,6.374239474538391*^-12+0.*I,2.307873899301105*^-12+0.*I,8.263774606320194*^-13+0.*I,2.9270831729837064*^-13+0.*I,1.0258517159438866*^-13+0.*I,3.558158322963589*^-14+0.*I,1.2216621904270454*^-14+0.*I,4.15290779533903*^-15+0.*I,1.398025718662471*^-15+0.*I,4.661468119268541*^-16+0.*I,1.5397658409808634*^-16+0.*I,5.039503012494398*^-17+0.*I,1.6345401058382992*^-17+0.*I,5.254717262544696*^-18+0.*I,1.6746247707664748*^-18+0.*I,5.291345357081408*^-19+0.*I,1.6579021538001527*^-19+0.*I,5.151781582326552*^-20+0.*I,1.5878930387484278*^-20+0.*I,4.8552079349899746*^-21+0.*I,1.4728986755541125*^-21+0.*I,4.433740176689149*^-22+0.*I,1.324500497206165*^-22+0.*I,3.927074182756148*^-23+0.*I,1.155766793965182*^-23+0.*I,3.376781917111732*^-24+0.*I,9.795208147162215*^-25+0.*I,2.82128525798092*^-25+0.*I,8.069498423641802*^-26+0.*I,2.292211048740079*^-26+0.*I,6.467140735470328*^-27+0.*I,1.8124234625463822*^-27+0.*I,5.045864850603473*^-28+0.*I,1.3956547918249047*^-28+0.*I,3.835515599996213*^-29+0.*I,1.0473908392838105*^-29+0.*I,2.842287947352817*^-30+0.*I,7.665416986280093*^-31+0.*I,2.0546846561845443*^-31+0.*I,5.474301406391553*^-32+0.*I,1.4498331667113383*^-32+0.*I,3.8171924455008844*^-33+0.*I,9.991643937672213*^-34+0.*I,2.6003162607266354*^-34+0.*I,6.728844648362622*^-35+0.*I
0.40070516291364505+0.*I,-0.010836872589595805+0.*I,-0.2862797537170316+0.*I,-0.12238234406738062+0.*I,0.17422198692971716+0.*I,0.23529301299059063+0.*I,0.03552290467335937+0.*I,-0.18513223559883232+0.*I,-0.21954466774490958+0.*I,-0.06380953742793542+0.*I,0.1342736753742659+0.*I,0.22593951127191364+0.*I,0.1641997068384991+0.*I,0.006031207147723594+0.*I,-0.1496682710671638+0.*I,-0.22687414464219033+0.*I,-0.2028017746478069+0.*I,-0.10163394146870564+0.*I,0.030560003656260437+0.*I,0.15053852181566685+0.*I,0.23185106951992074+0.*I,0.2671066327226943+0.*I,0.26286368950674943+0.*I,0.23228908939604767+0.*I,0.18907391718201574+0.*I,0.1439401275676328+0.*I,0.10354005541387097+0.*I,0.07088926592256593+0.*I,0.046449913083461865+0.*I,0.029254265366325714+0.*I,0.01777045146021234+0.*I,0.010441298259245908+0.*I,0.005948418330904565+0.*I,0.0032925419302203135+0.*I,0.001773845102572036+0.*I,0.0009316009376699077+0.*I,0.00047760677556049137+0.*I,0.00023931428988933294+0.*I,0.00011732780121560105+0.*I,0.000056337501975147755+0.*I,0.00002651851176211662+0.*I,0.00001224649897388559+0.*I,5.5528070007806455*^-6+0.*I,2.473725865722377*^-6+0.*I,1.0834441164473166*^-6+0.*I,4.6680411701839626*^-7+0.*I,1.9795898372621166*^-7+0.*I,8.267059995439407*^-8+0.*I,3.4015017731586895*^-8+0.*I,1.3795241879562789*^-8+0.*I,5.517093113931088*^-9+0.*I,2.176638181408345*^-9+0.*I,8.47461171146947*^-10+0.*I,3.2573520425829594*^-10+0.*I,1.2364208795634052*^-10+0.*I,4.636203865287745*^-11+0.*I,1.7178454665392962*^-11+0.*I,6.291517002604325*^-12+0.*I,2.2782150389488197*^-12+0.*I,8.158586010653987*^-13+0.*I,2.8901709685982404*^-13+0.*I,1.0130326115534137*^-13+0.*I,3.514089982928019*^-14+0.*I,1.2066629973946398*^-14+0.*I,4.1023522963257435*^-15+0.*I,1.381148076275927*^-15+0.*I,4.605649604921861*^-16+0.*I,1.521474523193821*^-16+0.*I,4.980103057056974*^-17+0.*I,1.615420759293998*^-17+0.*I,5.193710980976446*^-18+0.*I,1.6553247863572175*^-18+0.*I,5.230799528704248*^-19+0.*I,1.6390648772983942*^-19+0.*I,5.093649179300395*^-20+0.*I,1.5700962199089126*^-20+0.*I,4.801151649876107*^-21+0.*I,1.4566063267003283*^-21+0.*I,4.38500897121638*^-22+0.*I,1.3100338732766586*^-22+0.*I,3.8844444223577437*^-23+0.*I,1.1432960646543345*^-23+0.*I,3.3405617659774755*^-24+0.*I,9.69075225542293*^-25+0.*I,2.791370641332751*^-25+0.*I,7.984415174689201*^-26+0.*I,2.268175395314672*^-26+0.*I,6.39969429513845*^-27+0.*I,1.793621972553665*^-27+0.*I,4.993794141074201*^-28+0.*I,1.3813263298491117*^-28+0.*I,3.796337226130783*^-29+0.*I,1.0367452682281751*^-29+0.*I,2.8135403645251695*^-30+0.*I,7.588259733996708*^-31+0.*I,2.034100757592893*^-31+0.*I,5.419714862651134*^-32+0.*I,1.4354424805256885*^-32+0.*I,3.779474721686132*^-33+0.*I,9.893354481134447*^-34+0.*I
-0.3689385703080746+0.*I,0.16143007656502273+0.*I,0.2577918806414126+0.*I,-0.07473381886591927+0.*I,-0.2529225949193289+0.*I,-0.069395300219765+0.*I,0.18513223559883232+0.*I,0.2059784631271705+0.*I,0.004225200897814516+0.*I,-0.19018932759786072+0.*I,-0.19989588295345323+0.*I,-0.03970680705711484+0.*I,0.14464176882562169+0.*I,0.2182134089315896+0.*I,0.14633247579604824+0.*I,-0.010203609284071588+0.*I,-0.15627715174402093+0.*I,-0.22246700388242074+0.*I,-0.1911141871852589+0.*I,-0.08825644167618904+0.*I,0.040985868153555566+0.*I,0.15564653827584465+0.*I,0.23150473133699806+0.*I,0.26260692961429755+0.*I,0.2560310594074193+0.*I,0.22478709153548665+0.*I,0.18207661610110176+0.*I,0.13807923487251395+0.*I,0.09901101570099914+0.*I,0.06760911549144347+0.*I,0.044200414695038895+0.*I,0.02778289600156683+0.*I,0.0168475875069021+0.*I,0.009883927354029097+0.*I,0.005623188519052344+0.*I,0.003108691563649764+0.*I,0.001672928669733866+0.*I,0.0008777082813906692+0.*I,0.00044955898390068794+0.*I,0.00022506781162814736+0.*I,0.0001102561772539904+0.*I,0.00005290323181806962+0.*I,0.000024885074968781477+0.*I,0.000011484897427412618+0.*I,5.20440674827981*^-6+0.*I,2.317234798456488*^-6+0.*I,1.0143774701821174*^-6+0.*I,4.368333611419589*^-7+0.*I,1.8516402832006858*^-7+0.*I,7.729367746266365*^-8+0.*I,3.178961872628573*^-8+0.*I,1.2887690681502796*^-8+0.*I,5.15223845577939*^-9+0.*I,2.0319815791096814*^-9+0.*I,7.908764496428612*^-10+0.*I,3.038895276768512*^-10+0.*I,1.1531504462818854*^-10+0.*I,4.3227162881755526*^-11+0.*I,1.6012473660227283*^-11+0.*I,5.862934363501508*^-12+0.*I,2.1224846366453543*^-12+0.*I,7.599053043130937*^-13+0.*I,2.6913310856114835*^-13+0.*I,9.431267240794578*^-14+0.*I,3.2708928267219637*^-14+0.*I,1.1229225551005326*^-14+0.*I,3.816897495514679*^-15+0.*I,1.2847975300612161*^-15+0.*I,4.2835639093556224*^-16+0.*I,1.4148219445169632*^-16+0.*I,4.630211919987422*^-17+0.*I,1.5016758109064326*^-17+0.*I,4.827238010226076*^-18+0.*I,1.538285199425187*^-18+0.*I,4.860227702453077*^-19+0.*I,1.5227256527408259*^-19+0.*I,4.7314419169367676*^-20+0.*I,1.4582487235272608*^-20+0.*I,4.458547713032789*^-21+0.*I,1.3524915696194825*^-21+0.*I,4.071072967953408*^-22+0.*I,1.216097860318425*^-22+0.*I,3.605487672982458*^-23+0.*I,1.0610707836911683*^-23+0.*I,3.0999670618490593*^-24+0.*I,8.991834661225807*^-25+0.*I,2.589779839465988*^-25+0.*I,7.407031408257126*^-26+0.*I,2.1039461254889473*^-26+0.*I,5.93574502802138*^-27+0.*I,1.6634357575970937*^-27+0.*I,4.630905305654774*^-28+0.*I,1.280833571838911*^-28+0.*I,3.5198431041315136*^-29+0.*I,9.611554221016858*^-30+0.*I,2.6081864737167517*^-30+0.*I,7.03383970303545*^-31+0.*I,1.8853342718295943*^-31+0.*I,5.022948925816842*^-32+0.*I,1.330256271908332*^-32+0.*I
