0.0008514383428051568+0.*I,0.003201359136270553+0.*I,0.008511391993821447+0.*I,0.018476561774299183+0.*I,0.03473540412106851+0.*I,0.05840749049898644+0.*I,0.08965491745761536+0.*I,0.12741081339682325+0.*I,0.16937234013915273+0.*I,0.21227674836660942+0.*I,0.2523966694345275+0.*I,0.2861333439949441+0.*I,0.3105696700285407+0.*I,0.32386838654909195+0.*I,0.32545109201581346+0.*I,0.31595213676372624+0.*I,0.2969904597907639+0.*I,0.2708315350382277+0.*I,0.24001819861258072+0.*I,0.20703728539973648+0.*I,0.17406632491985854+0.*I,0.14281910460927827+0.*I,0.11448699564254984+0.*I,0.0897580551861031+0.*I,0.06888886134395573+0.*I,0.05180363029556824+0.*I,0.038199239309021964+0.*I,0.027641017487179693+0.*I,0.0196406656825171+0.*I,0.013713186976324648+0.*I,0.009413669860538666+0.*I,0.006357103902779219+0.*I,0.004225377484907798+0.*I,0.002765602359922589+0.*I,0.0017833289993088174+0.*I,0.0011333880854869451+0.*I,0.0007102456553028691+0.*I,0.00043902466173425733+0.*I,0.00026778010768745744+0.*I,0.00016122307552826845+0.*I,0.00009584697243677689+0.*I,0.00005628175924104661+0.*I,0.000032653084490999924+0.*I,0.000018722816356353436+0.*I,0.000010612703537350535+0.*I,5.948411010908505*^-6+0.*I,3.2976400292010473*^-6+0.*I,1.8085707824895628*^-6+0.*I,9.815130653751686*^-7+0.*I,5.27204657483383*^-7+0.*I,2.803337776115267*^-7+0.*I,1.475949623369432*^-7+0.*I,7.695751859871938*^-8+0.*I,3.9746081102916693*^-8+0.*I,2.0336613164410708*^-8+0.*I,1.03104703151172*^-8+0.*I,5.1804281655982316*^-9+0.*I,2.5799389031471788*^-9+0.*I,1.2737277709474708*^-9+0.*I,6.234933204578802*^-10+0.*I,3.026476968266009*^-10+0.*I,1.456980197043665*^-10+0.*I,6.957272235288668*^-11+0.*I,3.295717028722284*^-11+0.*I,1.5489632792583936*^-11+0.*I,7.223798729903665*^-12+0.*I,3.3432962606910327*^-12+0.*I,1.5357433890290929*^-12+0.*I,7.002375425941099*^-13+0.*I,3.169582345711118*^-13+0.*I,1.4244073711953427*^-13+0.*I,6.356034287327542*^-14+0.*I,2.8164443622652998*^-14+0.*I,1.2394269623737433*^-14+0.*I,5.417342239072562*^-15+0.*I,2.3519973843386368*^-15+0.*I,1.0144046504297557*^-15+0.*I,4.346573843087846*^-16+0.*I,1.85046533603426*^-16+0.*I,7.827960069412335*^-17+0.*I,3.2906735573526515*^-17+0.*I,1.3747492302401679*^-17+0.*I,5.70818121782703*^-18+0.*I,2.355808038062814*^-18+0.*I,9.66454582132335*^-19+0.*I,3.9414242096364957*^-19+0.*I,1.598030807120546*^-19+0.*I,6.441792247415707*^-20+0.*I,2.5819425313502058*^-20+0.*I,1.029041196175869*^-20+0.*I,4.078427063164994*^-21+0.*I,1.6075082003178509*^-21+0.*I,6.301449738742969*^-22+0.*I,2.4568587889229864*^-22+0.*I,9.527905959489815*^-23+0.*I,3.675503601161215*^-23+0.*I,1.41046537508316*^-23+0.*I,5.384653419800662*^-24+0.*I,2.0451535049393883*^-24+0.*I,7.728398485637152*^-25+0.*I
-0.003201359136270553+0.*I,-0.011185487649530914+0.*I,-0.027474938233730324+0.*I,-0.05472864486570328+0.*I,-0.0936499956023084+0.*I,-0.14193807586186588+0.*I,-0.19402877770947763+0.*I,-0.24185270562444353+0.*I,-0.27645804450227873+0.*I,-0.29003132883625243+0.*I,-0.2777189229080079+0.*I,-0.23873984470897722+0.*I,-0.17652909512688839+0.*I,-0.09795161258277696+0.*I,-0.011872823010592677+0.*I,0.07250482021920704+0.*I,0.1471415213441197+0.*I,0.20621206043526488+0.*I,0.246586285305722+0.*I,0.2677668021341714+0.*I,0.2714195305038316+0.*I,0.2606805012313778+0.*I,0.23941646853047574+0.*I,0.21157522420384098+0.*I,0.18070471954321182+0.*I,0.14966564007867525+0.*I,0.12052078176996299+0.*I,0.09456043592172236+0.*I,0.07241474461317174+0.*I,0.054207428306950745+0.*I,0.0397153618614888+0.*I,0.028510750991743963+0.*I,0.02007403421491239+0.*I,0.013874440059671957+0.*I,0.009420879982023995+0.*I,0.00628884270760889+0.*I,0.004129845750647682+0.*I,0.002669548213838294+0.*I,0.0016994919884737066+0.*I,0.0010660967570558849+0.*I,0.0006592851633716563+0.*I,0.0004021038987051131+0.*I,0.0002419737704328614+0.*I,0.000143723882889233+0.*I,0.00008428995961000698+0.*I,0.00004882649676010046+0.*I,0.000027945149746111545+0.*I,0.000015807359046568965+0.*I,8.839713335042529*^-6+0.*I,4.888332306178617*^-6+0.*I,2.673861023853594*^-6+0.*I,1.447035050235446*^-6+0.*I,7.749665713145506*^-7+0.*I,4.1081621615750975*^-7+0.*I,2.156083595800475*^-7+0.*I,1.1205358515762699*^-7+0.*I,5.7678383259468944*^-8+0.*I,2.941095325190663*^-8+0.*I,1.4859086246100677*^-8+0.*I,7.439389672600498*^-9+0.*I,3.691620582033561*^-9+0.*I,1.8159379124308043*^-9+0.*I,8.856379248909184*^-10+0.*I,4.282993017977746*^-10+0.*I,2.054172350154676*^-10+0.*I,9.772034478038205*^-11+0.*I,4.611581690282282*^-11+0.*I,2.1591752612360586*^-11+0.*I,1.0031211578785139*^-11+0.*I,4.624865172043721*^-12+0.*I,2.1162938807799805*^-12+0.*I,9.612437558837518*^-13+0.*I,4.3343070743713187*^-13+0.*I,1.9403537177333832*^-13+0.*I,8.625064390609864*^-14+0.*I,3.807218528215095*^-14+0.*I,1.669013475958149*^-14+0.*I,7.267077947997717*^-15+0.*I,3.1430257671196125*^-15+0.*I,1.3504027762774915*^-15+0.*I,5.764266028927686*^-16+0.*I,2.444708407960403*^-16+0.*I,1.0302640482583736*^-16+0.*I,4.3146303286018297*^-17+0.*I,1.7957523741836688*^-17+0.*I,7.428318180995024*^-18+0.*I,3.054276064179001*^-18+0.*I,1.2483362288525843*^-18+0.*I,5.072141252874273*^-19+0.*I,2.0488861487670394*^-19+0.*I,8.228876869297314*^-20+0.*I,3.286157629680071*^-20+0.*I,1.3049368189191122*^-20+0.*I,5.153133300775372*^-21+0.*I,2.0237691955744383*^-21+0.*I,7.90468580485576*^-22+0.*I,3.0709164898070794*^-22+0.*I,1.1866874236876867*^-22+0.*I,4.561568986256216*^-23+0.*I,1.7443187119435995*^-23+0.*I
0.008511391993821447+0.*I,0.027474938233730324+0.*I,0.061861602464118856+0.*I,0.11185620632702242+0.*I,0.17158745119451596+0.*I,0.2292943892432019+0.*I,0.2700166224351638+0.*I,0.2800145344722514+0.*I,0.2513082771389215+0.*I,0.1846446445751894+0.*I,0.08983619468399122+0.*I,-0.01657557072593689+0.*I,-0.11545628912650892+0.*I,-0.1896405809973188+0.*I,-0.2275895611124062+0.*I,-0.22528223663095875+0.*I,-0.18612773401887087+0.*I,-0.11926447458651268+0.*I,-0.036958035150122207+0.*I,0.048123525658296154+0.*I,0.12513508844488894+0.*I,0.18643356144416098+0.*I,0.22804745032070212+0.*I,0.24938976513965996+0.*I,0.2524819118409092+0.*I,0.24097450274856197+0.*I,0.2192008538353303+0.*I,0.1914156149174583+0.*I,0.1612850641351432+0.*I,0.13162688467099098+0.*I,0.10435399796629977+0.*I,0.0805585504270082+0.*I,0.060672555095829556+0.*I,0.04465340537957764+0.*I,0.0321586693577431+0.*I,0.0226903432664118+0.*I,0.015701358439623017+0.*I,0.010665661707199148+0.*I,0.007117884209700719+0.*I,0.004670342464497498+0.*I,0.0030149008487436106+0.*I,0.0019159746295091097+0.*I,0.0011993405412202638+0.*I,0.0007398702919143407+0.*I,0.00045002467011153054+0.*I,0.0002700083160638321+0.*I,0.00015986641991257516+0.*I,0.0000934424179146018+0.*I,0.00005393795177772862+0.*I,0.000030757833569787506+0.*I,0.000017332718628120155+0.*I,9.655132036674025*^-6+0.*I,5.318071232528891*^-6+0.*I,2.8971554184275435*^-6+0.*I,1.561429876036378*^-6+0.*I,8.327450635544137*^-7+0.*I,4.395834308971882*^-7+0.*I,2.2972396973078892*^-7+0.*I,1.1887726343968696*^-7+0.*I,6.092653378522167*^-8+0.*I,3.093237470248114*^-8+0.*I,1.5559641814679997*^-8+0.*I,7.756085868222916*^-9+0.*I,3.831919405295453*^-9+0.*I,1.8766878715610555*^-9+0.*I,9.112512141555755*^-10+0.*I,4.3875340654660123*^-10+0.*I,2.095090099546344*^-10+0.*I,9.9230681419976*^-11+0.*I,4.662398701209738*^-11+0.*I,2.1734521485935414*^-11+0.*I,1.0053635756175705*^-11+0.*I,4.615108645556045*^-12+0.*I,2.102703469297908*^-12+0.*I,9.509581600736957*^-13+0.*I,4.269533817674771*^-13+0.*I,1.9031897163679105*^-13+0.*I,8.42387222963684*^-14+0.*I,3.70265850528121*^-14+0.*I,1.6163320741103846*^-14+0.*I,7.00816273521061*^-15+0.*I,3.0183865130517636*^-15+0.*I,1.2914628440788913*^-15+0.*I,5.489889385003972*^-16+0.*I,2.318766805281239*^-16+0.*I,9.731920522078187*^-17+0.*I,4.059039475330599*^-17+0.*I,1.6825406632512224*^-17+0.*I,6.932005322223568*^-18+0.*I,2.838806812414891*^-18+0.*I,1.1556550446060643*^-18+0.*I,4.676996502380522*^-19+0.*I,1.881839498623254*^-19+0.*I,7.528429075274671*^-20+0.*I,2.9947545763881105*^-20+0.*I,1.1846263008135848*^-20+0.*I,4.6600683090262784*^-21+0.*I,1.8231435577515528*^-21+0.*I,7.094036388434581*^-22+0.*I,2.745589596670108*^-22+0.*I
-0.018476561774299183+0.*I,-0.05472864486570328+0.*I,-0.11185620632702242+0.*I,-0.18095627122096677+0.*I,-0.24332226318554848+0.*I,-0.27623467619381176+0.*I,-0.26188186519322054+0.*I,-0.19539940158086125+0.*I,-0.08827913384247661+0.*I,0.034451414980994126+0.*I,0.1420967069869531+0.*I,0.20800552741317965+0.*I,0.21748180552387783+0.*I,0.17133105547527103+0.*I,0.08438179872289527+0.*I,-0.01986220244912003+0.*I,-0.11622025431767212+0.*I,-0.18417286004910838+0.*I,-0.21190846537617805+0.*I,-0.19747574609910976+0.*I,-0.14738931200703356+0.*I,-0.0736343525450351+0.*I,0.009818207575853796+0.*I,0.09005855678337134+0.*I,0.15729209187104168+0.*I,0.20574414131805924+0.*I,0.23356768921272106+0.*I,0.242076824217043+0.*I,0.23466613878807993+0.*I,0.21571950628550024+0.*I,0.18970870533287748+0.*I,0.16057436617031823+0.*I,0.131394912998789+0.*I,0.1042943198661489+0.*I,0.08051560223868108+0.*I,0.06058648464072168+0.*I,0.0445170867616664+0.*I,0.031988300080363206+0.*I,0.022507838387333338+0.*I,0.015525499491309925+0.*I,0.01050892135097126+0.*I,0.006986417705221466+0.*I,0.004565387664565515+0.*I,0.002934516791676103+0.*I,0.0018565722471848975+0.*I,0.0011568029839895825+0.*I,0.0007102545490477029+0.*I,0.0004299243669280961+0.*I,0.00025668096293440795+0.*I,0.00015121841597308063+0.*I,0.00008794239889973927+0.*I,0.00005050523271886102+0.*I,0.00002865303111513607+0.*I,0.00001606361968049797+0.*I,8.90203160351459*^-6+0.*I,4.877917186175597*^-6+0.*I,2.6436205169428763*^-6+0.*I,1.417414094437845*^-6+0.*I,7.520298828030807*^-7+0.*I,3.9492682616867706*^-7+0.*I,2.0532362693083837*^-7+0.*I,1.057048739686497*^-7+0.*I,5.3898133675418523*^-8+0.*I,2.7224505520594806*^-8+0.*I,1.3624956506454537*^-8+0.*I,6.757359076560838*^-9+0.*I,3.3216995097769916*^-9+0.*I,1.6186647573961405*^-9+0.*I,7.820520631187585*^-10+0.*I,3.746821035503351*^-10+0.*I,1.7803387269057907*^-10+0.*I,8.391049568511318*^-11+0.*I,3.9234060107319926*^-11+0.*I,1.8201233740346707*^-11+0.*I,8.3788484734822*^-12+0.*I,3.827958792313941*^-12+0.*I,1.7358064226877188*^-12+0.*I,7.813335773718712*^-13+0.*I,3.491574386006437*^-13+0.*I,1.5491827965654056*^-13+0.*I,6.825368335756248*^-14+0.*I,2.986315697253008*^-14+0.*I,1.2977001801746005*^-14+0.*I,5.6012327265239665*^-15+0.*I,2.401617636795837*^-15+0.*I,1.0229969870335576*^-15+0.*I,4.3294551838483543*^-16+0.*I,1.820613092899792*^-16+0.*I,7.607880986080181*^-17+0.*I,3.15941409136032*^-17+0.*I,1.3040084955249198*^-17+0.*I,5.349567525488622*^-18+0.*I,2.1814929569395513*^-18+0.*I,8.843364679884172*^-19+0.*I,3.564024967252949*^-19+0.*I,1.4280834136275807*^-19+0.*I,5.689648941396143*^-20+0.*I,2.2540583201019288*^-20+0.*I,8.880157280945776*^-21+0.*I,3.4792000220225716*^-21+0.*I
0.03473540412106851+0.*I,0.0936499956023084+0.*I,0.17158745119451596+0.*I,0.24332226318554848+0.*I,0.2764825773401094+0.*I,0.24727067687472+0.*I,0.15401336296093596+0.*I,0.020908104546921276+0.*I,-0.11037425408312612+0.*I,-0.19718636893301933+0.*I,-0.21266524762129588+0.*I,-0.1554036717096595+0.*I,-0.048583390473176766+0.*I,0.06997344966590008+0.*I,0.16189570274413834+0.*I,0.20074501927995683+0.*I,0.17876632676987192+0.*I,0.10664548162011082+0.*I,0.007692178455455769+0.*I,-0.09059507638336292+0.*I,-0.1644815295436666+0.*I,-0.19928087689469756+0.*I,-0.1911458113576878+0.*I,-0.14576425890689115+0.*I,-0.07510709255413275+0.*I,0.006437168201961799+0.*I,0.08544616532846308+0.*I,0.15172919792284428+0.*I,0.19930949111208202+0.*I,0.2263114556303534+0.*I,0.2341252948839558+0.*I,0.22625149961790475+0.*I,0.20715423976596975+0.*I,0.18133283628405653+0.*I,0.1527005671822474+0.*I,0.12426751671847716+0.*I,0.0980686126364195+0.*I,0.07525635057683504+0.*I,0.05628047439639652+0.*I,0.041093210836570575+0.*I,0.029339470658661285+0.*I,0.02051070038712189+0.*I,0.014055783425664463+0.*I,0.009451817403201524+0.*I,0.006242388772470447+0.*I,0.004052376323883123+0.*I,0.002587651680319452+0.*I,0.0016263845027462255+0.*I,0.0010067488744245395+0.*I,0.0006140971024281438+0.*I,0.00036930865915855006+0.*I,0.00021906879052599026+0.*I,0.00012823233278678155+0.*I,0.00007409946512654197+0.*I,0.000042285944369752746+0.*I,0.00002383927279989901+0.*I,0.000013281564420352907+0.*I,7.31475092181812*^-6+0.*I,3.983557544444826*^-6+0.*I,2.1457745066180244*^-6+0.*I,1.143542514185856*^-6+0.*I,6.030922759541924*^-7+0.*I,3.148335656098054*^-7+0.*I,1.6272030027793151*^-7+0.*I,8.328349616760637*^-8+0.*I,4.2220315089841914*^-8+0.*I,2.1203822892671346*^-8+0.*I,1.0551598008811522*^-8+0.*I,5.203690406973819*^-9+0.*I,2.5437145987051756*^-9+0.*I,1.2327091391451618*^-9+0.*I,5.923207222277643*^-10+0.*I,2.822431797748236*^-10+0.*I,1.3339018290543498*^-10+0.*I,6.253447257860829*^-11+0.*I,2.908502585527791*^-11+0.*I,1.3422419441938047*^-11+0.*I,6.14693514352643*^-12+0.*I,2.7938697251699007*^-12+0.*I,1.2604476932340112*^-12+0.*I,5.645006491248444*^-13+0.*I,2.509996998812259*^-13+0.*I,1.1081480418630605*^-13+0.*I,4.8582900241804814*^-14+0.*I,2.1153100949425803*^-14+0.*I,9.147705406508534*^-15+0.*I,3.929516781576758*^-15+0.*I,1.6768534604687074*^-15+0.*I,7.109172624247981*^-16+0.*I,2.994669531930266*^-16+0.*I,1.2534918476563663*^-16+0.*I,5.214020823076783*^-17+0.*I,2.1554480629748453*^-17+0.*I,8.856251010935367*^-18+0.*I,3.6169536514656746*^-18+0.*I,1.468415350044146*^-18+0.*I,5.926513728846984*^-19+0.*I,2.378070694459906*^-19+0.*I,9.487575464068946*^-20+0.*I,3.7637428809136624*^-20+0.*I
-0.05840749049898644+0.*I,-0.14193807586186588+0.*I,-0.2292943892432019+0.*I,-0.27623467619381176+0.*I,-0.24727067687472+0.*I,-0.1393024142465634+0.*I,0.0118983910865246+0.*I,0.1470741458869683+0.*I,0.21204091016579618+0.*I,0.18348575870147021+0.*I,0.07873241622495568+0.*I,-0.05412267305478705+0.*I,-0.15905748992890215+0.*I,-0.19599853448372653+0.*I,-0.15513922104773412+0.*I,-0.057140638260021664+0.*I,0.058508500003735225+0.*I,0.15030472309958148+0.*I,0.18941119664776682+0.*I,0.16733019850707384+0.*I,0.09538510573885889+0.*I,-0.001996557651477859+0.*I,-0.09660391580320324+0.*I,-0.16485987553052686+0.*I,-0.1930611125087815+0.*I,-0.17876864591255043+0.*I,-0.12899849986006307+0.*I,-0.05657330129994013+0.*I,0.023918432026515685+0.*I,0.09945870124191437+0.*I,0.16066652283253655+0.*I,0.2025259825143843+0.*I,0.2240467419586767+0.*I,0.22727819150509107+0.*I,0.21609258363945463+0.*I,0.19505222391554+0.*I,0.16854262400368836+0.*I,0.14023211333297395+0.*I,0.11283197165714463+0.*I,0.08808468511192381+0.*I,0.06689490957240156+0.*I,0.0495267695427958+0.*I,0.035810894535467055+0.*I,0.025326442295259606+0.*I,0.01754206129865951+0.*I,0.011913106207140135+0.*I,0.007940336484785232+0.*I,0.005198828565761026+0.*I,0.0033463224954523954+0.*I,0.002119019827740947+0.*I,0.0013209540109656536+0.*I,0.0008111136776876347+0.*I,0.0004908532918529733+0.*I,0.00029289617265886074+0.*I,0.00017241198726237618+0.*I,0.00010016093698568548+0.*I,0.00005744855087843612+0.*I,0.000032543988341824014+0.*I,0.000018214802409642422+0.*I,0.00001007585536160111+0.*I,5.510317209820018*^-6+0.*I,2.9801242141032775*^-6+0.*I,1.5943152397202576*^-6+0.*I,8.439345393909629*^-7+0.*I,4.421248650379034*^-7+0.*I,2.2928956726258405*^-7+0.*I,1.177398499979946*^-7+0.*I,5.987625196054094*^-8+0.*I,3.0162379067905335*^-8+0.*I,1.5053602504466078*^-8+0.*I,7.4449113489054015*^-9+0.*I,3.649218230541132*^-9+0.*I,1.7731079420089475*^-9+0.*I,8.541544345975129*^-10+0.*I,4.080107287909771*^-10+0.*I,1.9328857652655096*^-10+0.*I,9.082454328747539*^-11+0.*I,4.2337322209617246*^-11+0.*I,1.9580563925560396*^-11+0.*I,8.985973036740156*^-12+0.*I,4.0925844189371826*^-12+0.*I,1.850015950668865*^-12+0.*I,8.301365112903137*^-13+0.*I,3.698018192341947*^-13+0.*I,1.635617512317823*^-13+0.*I,7.183462698773289*^-14+0.*I,3.133069922228876*^-14+0.*I,1.3571689402097525*^-14+0.*I,5.83938948225434*^-15+0.*I,2.4958103233167402*^-15+0.*I,1.059756356186174*^-15+0.*I,4.470842755680189*^-16+0.*I,1.874127740569439*^-16+0.*I,7.806779198913752*^-17+0.*I,3.2317891301533804*^-17+0.*I,1.3296798908502633*^-17+0.*I,5.437731966226661*^-18+0.*I,2.21048655991066*^-18+0.*I,8.932834449717606*^-19+0.*I,3.588832194521064*^-19+0.*I
0.08965491745761536+0.*I,0.19402877770947763+0.*I,0.2700166224351638+0.*I,0.26188186519322054+0.*I,0.15401336296093596+0.*I,-0.0118983910865246+0.*I,-0.15756632631721304+0.*I,-0.2129056210751606+0.*I,-0.15565409438756111+0.*I,-0.021952798859795748+0.*I,0.11602561944944059+0.*I,0.18968196078051644+0.*I,0.16761064804879827+0.*I,0.06672951674161631+0.*I,-0.06125554426845588+0.*I,-0.157586334606703+0.*I,-0.18312023758623555+0.*I,-0.13223177543014136+0.*I,-0.030408887444598402+0.*I,0.08020950296910147+0.*I,0.15908655821615966+0.*I,0.18151388889107511+0.*I,0.1444629338650012+0.*I,0.06391842783268985+0.*I,-0.033372862016907215+0.*I,-0.11967625082519551+0.*I,-0.1741251966790053+0.*I,-0.18680768677642767+0.*I,-0.1589268541833416+0.*I,-0.10008382005593099+0.*I,-0.024225098900378488+0.*I,0.05432450139539789+0.*I,0.12380419977822803+0.*I,0.17656641945863374+0.*I,0.20933034432630612+0.*I,0.22250994833042972+0.*I,0.2190671689326289+0.*I,0.20328318952030766+0.*I,0.17971379089683623+0.*I,0.15245709636433047+0.*I,0.12475065760961533+0.*I,0.09884451087276828+0.*I,0.0760661482302482+0.*I,0.056992185943309126+0.*I,0.041657440194132776+0.*I,0.029754413757516425+0.*I,0.020797559841458556+0.*I,0.014243337183426777+0.*I,0.009567935957806122+0.*I,0.006310238690171153+0.*I,0.004089432060736727+0.*I,0.0026061582122841533+0.*I,0.0016343990873933735+0.*I,0.001009268632216819+0.*I,0.0006140378309729929+0.*I,0.0003682571714199865+0.*I,0.00021781376227298296+0.*I,0.0001271136270627241+0.*I,0.0000732238310425317+0.*I,0.00004165190585793027+0.*I,0.000023404370161979673+0.*I,0.000012995301519612002+0.*I,7.132500999859141*^-6+0.*I,3.87074069919753*^-6+0.*I,2.0776213897973454*^-6+0.*I,1.1032538749190147*^-6+0.*I,5.797379633140977*^-7+0.*I,3.015366569720136*^-7+0.*I,1.5527454867560726*^-7+0.*I,7.917847371687645*^-8+0.*I,3.998997630542085*^-8+0.*I,2.0008692758496658*^-8+0.*I,9.919559696712982*^-9+0.*I,4.87361477938545*^-9+0.*I,2.3733993776102924*^-9+0.*I,1.1458397215739558*^-9+0.*I,5.485043142745647*^-10+0.*I,2.6037922442568906*^-10+0.*I,1.2259341506009883*^-10+0.*I,5.7256462596268696*^-11+0.*I,2.6530057811734877*^-11+0.*I,1.219735923482212*^-11+0.*I,5.564971851243295*^-12+0.*I,2.5199003269009216*^-12+0.*I,1.1326060459290655*^-12+0.*I,5.053586282545793*^-13+0.*I,2.2386919653951513*^-13+0.*I,9.847133990682546*^-14+0.*I,4.301220850353201*^-14+0.*I,1.86588195546284*^-14+0.*I,8.039516342696304*^-15+0.*I,3.4408881345909363*^-15+0.*I,1.4630069374791457*^-15+0.*I,6.180115444480587*^-16+0.*I,2.593935807161925*^-16+0.*I,1.0818605907434104*^-16+0.*I,4.4840331106469156*^-17+0.*I,1.847084555683579*^-17+0.*I,7.56239386232212*^-18+0.*I,3.0776523313393748*^-18+0.*I
-0.12741081339682325+0.*I,-0.24185270562444353+0.*I,-0.2800145344722514+0.*I,-0.19539940158086125+0.*I,-0.020908104546921276+0.*I,0.1470741458869683+0.*I,0.2129056210751606+0.*I,0.1449991004009157+0.*I,-0.006401812032812928+0.*I,-0.14529748962464772+0.*I,-0.19112548134743154+0.*I,-0.1241158993153243+0.*I,0.010156359857932337+0.*I,0.1335838497934947+0.*I,0.18142155163510745+0.*I,0.1342808897913314+0.*I,0.021988540312198226+0.*I,-0.09745444329222556+0.*I,-0.16882775153465038+0.*I,-0.1640866160003889+0.*I,-0.09050302431879863+0.*I,0.017592139397985023+0.*I,0.11648989525182842+0.*I,0.17102525191034193+0.*I,0.16578092739597705+0.*I,0.10700608931454961+0.*I,0.016807767806691045+0.*I,-0.07649808859326693+0.*I,-0.14776050316417202+0.*I,-0.1812482905227641+0.*I,-0.17276630655288408+0.*I,-0.12818160109367974+0.*I,-0.05979053068653479+0.*I,0.01788581273099662+0.*I,0.09164892306940338+0.*I,0.15186250671793275+0.*I,0.19328337788556893+0.*I,0.21475959532270217+0.*I,0.21823979949579855+0.*I,0.2075336255212617+0.*I,0.18715593162467742+0.*I,0.16144536675494053+0.*I,0.13401913705954985+0.*I,0.10753533506065878+0.*I,0.0836865567928634+0.*I,0.06333615755867131+0.*I,0.04671891297118378+0.*I,0.03364895214008875+0.*I,0.023700582220007475+0.*I,0.016346743340196857+0.*I,0.011053229575667496+0.*I,0.007334544822628007+0.*I,0.004780505118940185+0.*I,0.0030629534189226797+0.*I,0.0019305792583027715+0.*I,0.001197845263272581+0.*I,0.0007320480653553998+0.*I,0.000440902332912612+0.*I,0.0002618353250261972+0.*I,0.00015339089104261515+0.*I,0.00008868376648740648+0.*I,0.000050621684877438245+0.*I,0.000028539081947040495+0.*I,0.000015896697969378242+0.*I,8.751460773082707*^-6+0.*I,4.763164270114926*^-6+0.*I,2.5637691136949367*^-6+0.*I,1.3650562184598464*^-6+0.*I,7.191573918395338*^-7+0.*I,3.749788446640363*^-7+0.*I,1.9355357742952926*^-7+0.*I,9.892464048696239*^-8+0.*I,5.007364608343334*^-8+0.*I,2.5107516346797543*^-8+0.*I,1.2473044779442039*^-8+0.*I,6.140391997156769*^-9+0.*I,2.996069372107815*^-9+0.*I,1.449151671567957*^-9+0.*I,6.949492404250033*^-10+0.*I,3.304744106547374*^-10+0.*I,1.558596527131814*^-10+0.*I,7.291280597617567*^-11+0.*I,3.3838332227349056*^-11+0.*I,1.5581444157342877*^-11+0.*I,7.1196164192163066*^-12+0.*I,3.228569676107271*^-12+0.*I,1.45318564861473*^-12+0.*I,6.492924259258266*^-13+0.*I,2.880163449259629*^-13+0.*I,1.2685254092723115*^-13+0.*I,5.547950997731487*^-14+0.*I,2.4096957449728625*^-14+0.*I,1.0395163604345327*^-14+0.*I,4.4543264892776596*^-15+0.*I,1.896073635054996*^-15+0.*I,8.018450278517215*^-16+0.*I,3.3691961207317786*^-16+0.*I,1.4066958134082834*^-16+0.*I,5.836447136972428*^-17+0.*I,2.4066159611644855*^-17+0.*I
