0.0012609569163016593+0.*I,0.-0.0046075456786812425*I,-0.011904853434527532+0.*I,0.+0.025114979442536534*I,0.045885158130551114+0.*I,0.-0.0749819329620292*I,-0.111853713763494+0.*I,0.+0.15447947665368159*I,0.1995699724382296+0.*I,0.-0.24307670685509744*I,-0.2808747800719285+0.*I,0.+0.3094466633124036*I,0.3264108470715066+0.*I,0.-0.3307975678018736*I,-0.32304847205154097+0.*I,0.+0.30478350779861396*I,0.27842028465365554+0.*I,0.-0.24674355285229052*I,-0.21250980004477338+0.*I,0.+0.178144149278923*I,0.14555461071753584+0.*I,0.-0.11606084310387432*I,-0.09041568607092257+0.*I,0.+0.06888890242931568*I,0.05138224149084024+0.*I,0.-0.03755021629707138*I,-0.026908852019087996+0.*I,0.+0.018922681940840187*I,0.01306691528046119+0.*I,0.-0.00886632155428375*I,-0.005914965989109685+0.*I,0.+0.003881868382548041*I,0.0025074669557908578+0.*I,0.-0.0015949521188836629*I,-0.0009994880194691084+0.*I,0.+0.000617323730451327*I,0.0003759508948874009+0.*I,0.-0.00022583937448796454*I,-0.00013386815112884735+0.*I,0.+0.00007832751766033277*I,0.00004525366618024149+0.*I,0.-0.000025824459577675943*I,-0.000014560490257214658+0.*I,0.+8.11355476032442*^-6*I,4.469451560481654*^-6+0.*I,0.-2.434542605487491*^-6*I,-1.3116195001758191*^-6+0.*I,0.+6.990823495917626*^-7*I,3.6870338083532705*^-7+0.*I,0.-1.9246354518774412*^-7*I,-9.945643328295682*^-8+0.*I,0.+5.088821222777386*^-8*I,2.5786056109595483*^-8+0.*I,0.-1.2942446842420172*^-8*I,-6.435598049307787*^-9+0.*I,0.+3.1708592738430735*^-9*I,1.54829016777866*^-9+0.*I,0.-7.49349340462685*^-10*I,-3.595338074967639*^-10+0.*I,0.+1.7103426653215775*^-10*I,8.068204653064695*^-11+0.*I,0.-3.7746908605337045*^-11*I,-1.751680705118897*^-11+0.*I,0.+8.064065986617675*^-12*I,3.6832694191305485*^-12+0.*I,0.-1.6693454213339853*^-12*I,-7.508335044222236*^-13+0.*I,0.+3.3517810704958947*^-13*I,1.4852193164481606*^-13+0.*I,0.-6.533342785202884*^-14*I,-2.853355121939799*^-14+0.*I,0.+1.2373599452773866*^-14*I,5.328429284466849*^-15+0.*I,0.-2.2788050739723443*^-15*I,-9.67967373835253*^-16+0.*I,0.+4.084129355916465*^-16*I,1.7118357588721105*^-16+0.*I,0.-7.128302691035996*^-17*I,-2.9492272160923014*^-17+0.*I,0.+1.2124507004093945*^-17*I,4.953230022614306*^-18+0.*I,0.-2.011015363822816*^-18*I,-8.114800807122693*^-19+0.*I,0.+3.254679428370171*^-19*I,1.2975914559742728*^-19+0.*I,0.-5.1427796386031856*^-20*I,-2.0263669407217286*^-20+0.*I,0.+7.938306563386519*^-21*I,3.0921170955458384*^-21+0.*I,0.-1.197651133699785*^-21*I,-4.61294712456555*^-22+0.*I,0.+1.766961886292689*^-22*I,6.731357703001631*^-23+0.*I,0.-2.5505309420270516*^-23*I,-9.612493766073643*^-24+0.*I,0.+3.603658844047124*^-24*I,1.3439324945365462*^-24+0.*I,0.-4.986100053041629*^-25*I,-1.8404217305662164*^-25+0.*I,0.+6.758793170697171*^-26*I
0.-0.0046075456786812425*I,-0.015575048268871102+0.*I,0.+0.03698436683747661*I,0.07115050525583969+0.*I,0.-0.11743474030235629*I,-0.1713821918176449+0.*I,0.+0.22504680220450343*I,0.2685320134919298+0.*I,0.-0.29229617858142415*I,-0.28949412501147853+0.*I,0.+0.25764243503950635*I,0.19916408396671118+0.*I,0.-0.1207529063289437*I,-0.03184565575372965+0.*I,0.-0.05730971319002309*I,-0.1374802136587478+0.*I,0.+0.20178430034428702*I,0.2463535178600212+0.*I,0.-0.2703318925256504*I,-0.27536873490134073+0.*I,0.+0.26482725641918214*I,0.24292786248063544+0.*I,0.-0.21399403771588182*I,-0.18189785047483303+0.*I,0.+0.14973423829904353*I,0.11970244592049101+0.*I,0.-0.09314414602739246*I,-0.0706788801415376+0.*I,0.+0.0523828183048058*I,0.037969889315035824+0.*I,0.-0.02694951473220706*I,-0.018748761737189198+0.*I,0.+0.01279686129063117*I,0.008576334450666094+0.*I,0.-0.005647952638441511*I,-0.003657345496107028+0.*I,0.+0.002330215097706585*I,0.001461601311282933+0.*I,0.-0.0009030122115070712*I,-0.0005497970206439532+0.*I,0.+0.000330029495507006*I,0.0001954020849526985+0.*I,0.-0.00011415748964504856*I,-0.00006583253205581138+0.*I,0.+0.00003748782543202729*I,0.000021086156271644226+0.*I,0.-0.000011719204182355701*I,-6.437558306239265*^-6+0.*I,0.+3.496139776356075*^-6*I,1.8776604817772115*^-6+0.*I,0.-9.97508253853442*^-7*I,-5.243151050581046*^-7+0.*I,0.+2.7273768175887037*^-7*I,1.4043352785764506*^-7+0.*I,0.-7.159145061160473*^-8*I,-3.6141329830555034*^-8+0.*I,0.+1.807107459411881*^-8*I,8.951206522703853*^-9+0.*I,0.-4.3931354248792306*^-9*I,-2.1366711315665487*^-9+0.*I,0.+1.0300129511183727*^-9*I,4.922194511188677*^-10+0.*I,0.-2.3321291610821406*^-10*I,-1.0956919031100122*^-10+0.*I,0.+5.1053834835204734*^-11*I,2.359566718804345*^-11+0.*I,0.-1.081827526591096*^-11*I,-4.921093882852326*^-12+0.*I,0.+2.2212492666781725*^-12*I,9.949870043641874*^-13+0.*I,0.-4.423568725800483*^-13*I,-1.9521475437381344*^-13+0.*I,0.+8.552335388204206*^-14*I,3.7199349565528065*^-14+0.*I,0.-1.6066062691932045*^-14*I,-6.890499541585796*^-15+0.*I,0.+2.9349554043935994*^-15*I,1.2416610869867858*^-15+0.*I,0.-5.217896720338311*^-16*I,-2.178300126196317*^-16+0.*I,0.+9.034574914489794*^-17*I,3.72308055407535*^-17+0.*I,0.-1.5245364562769194*^-17*I,-6.203673162502172*^-18+0.*I,0.+2.5088221135426996*^-18*I,1.0084026721744465*^-18+0.*I,0.-4.028781693917631*^-19*I,-1.6000029605525644*^-19+0.*I,0.+6.316929822432681*^-20*I,2.4794748445623534*^-20+0.*I,0.-9.676342063578292*^-21*I,-3.754821946851542*^-21+0.*I,0.+1.44884600635476*^-21*I,5.559520435320188*^-22+0.*I,0.-2.1215902782585566*^-22*I,-8.052320443723559*^-23+0.*I,0.+3.03977624591396*^-23*I,1.1414275473606463*^-23+0.*I,0.-4.2634957933678695*^-24*I,-1.5842297103203384*^-24+0.*I
-0.011904853434527532+0.*I,0.+0.03698436683747661*I,0.07998417073272525+0.*I,0.-0.13854036109666826*I,-0.20280273523523823+0.*I,0.+0.2571321008701214*I,0.28462725169606906+0.*I,0.-0.27280182773964784*I,-0.21816303057627312+0.*I,0.+0.12793335643312764*I,0.01836109815478243+0.*I,0.+0.08963022934653576*I,0.17585224733444613+0.*I,0.-0.22557875826368085*I,-0.23233099138017474+0.*I,0.+0.19826858989185586*I,0.13251211915705657+0.*I,0.-0.048224363919755035*I,0.040584231557484904+0.*I,0.-0.12172847107288078*I,-0.18653880838092998+0.*I,0.+0.23046786807398056*I,0.25278849314696+0.*I,0.-0.25570628242836035*I,-0.24323331283571836+0.*I,0.+0.22010649445289254*I,0.19092995039427985+0.*I,0.-0.15961524310998396*I,-0.1291108274354601+0.*I,0.+0.10136224377655433*I,0.07742531276256016+0.*I,0.-0.05765779589554622*I,-0.04193085861269064+0.*I,0.+0.029821792454093988*I,0.0207681036779154+0.*I,0.-0.014177329434428171*I,-0.009496055290608285+0.*I,0.+0.006246187684739655*I,0.004037793583403507+0.*I,0.-0.002567043101526023*I,-0.0016060456301821998+0.*I,0.+0.000989397407423853*I,0.0006004877732071706+0.*I,0.-0.00035923016606850545*I,-0.00021192190399529863+0.*I,0.+0.00012333852207753598*I,0.0000708458862638607+0.*I,0.-0.00004017775888671825*I,-0.00002250423352422415+0.*I,0.+0.000012453560015527946*I,6.810967230897087*^-6+0.*I,0.-3.6824584064930507*^-6*I,-1.9688006159897003*^-6+0.*I,0.+1.0411547508366327*^-6*I,5.447379384737792*^-7+0.*I,0.-2.820477317691869*^-7*I,-1.4455038179599923*^-7+0.*I,0.+7.334525048693499*^-8*I,3.685285639875825*^-8+0.*I,0.-1.8340159105469735*^-8*I,-9.041709820867791*^-9+0.*I,0.+4.416648980525164*^-9*I,2.137992616247035*^-9+0.*I,0.-1.0258022985737458*^-9*I,-4.879054052743051*^-10+0.*I,0.+2.3008578465590976*^-10*I,1.0759481772548576*^-10+0.*I,0.-4.990030411577524*^-11*I,-2.2955457186103103*^-11+0.*I,0.+1.0476064477536193*^-11*I,4.743472631106188*^-12+0.*I,0.-2.131254585192065*^-12*I,-9.503155692289523*^-13+0.*I,0.+4.2057662275525354*^-13*I,1.8476374610825217*^-13+0.*I,0.-8.058065079034517*^-14*I,-3.4892632494724016*^-14+0.*I,0.+1.5002748621306467*^-14*I,6.405984787871433*^-15+0.*I,0.-2.7165738704109515*^-15*I,-1.1442450321781147*^-15+0.*I,0.+4.787608661061027*^-16*I,1.9900290765800366*^-16+0.*I,0.-8.218250608895994*^-17*I,-3.3722169589768195*^-17+0.*I,0.+1.375003527182948*^-17*I,5.5715926792950085*^-18+0.*I,0.-2.243759531985698*^-18*I,-8.98106751530618*^-19+0.*I,0.+3.5732776939281916*^-19*I,1.413267549067494*^-19+0.*I,0.-5.556888703925543*^-20*I,-2.1722951865961684*^-20+0.*I,0.+8.443358504925897*^-21*I,3.263244356550098*^-21+0.*I,0.-1.2541514869169618*^-21*I,-4.79340198524967*^-22+0.*I,0.+1.8220401910659568*^-22*I,6.888402178313684*^-23+0.*I,0.-2.5903061388718425*^-23*I
0.+0.025114979442536534*I,0.07115050525583969+0.*I,0.-0.13854036109666826*I,-0.21228640110086244+0.*I,0.+0.26786854920853254*I,0.28063948784343845+0.*I,0.-0.23682191528976276*I,-0.14073889940501938+0.*I,0.+0.014762384514454751*I,-0.1079758645543016+0.*I,0.+0.19483793910917316*I,0.22424652726959696+0.*I,0.-0.19172483743155408*I,-0.10982479053350062+0.*I,0.+0.00282941654957116*I,-0.10123213494354963+0.*I,0.+0.17832855585265942*I,0.21370579217812422+0.*I,0.-0.20374328636373332*I,-0.15466875866524163+0.*I,0.+0.07922855389589337*I,-0.007330590440474725+0.*I,0.+0.0908167013839724*I,0.16049091647292785+0.*I,0.-0.21011135969356073*I,-0.2378081763299926+0.*I,0.+0.24518212214606513*I,0.236058821987952+0.*I,0.-0.215254991333583*I,-0.18758382370616467+0.*I,0.+0.1571958632938932*I,0.12725024786546618+0.*I,0.-0.09985047019449303*I,-0.07615561769309198+0.*I,0.+0.05658184850304801*I,0.04102748825318997+0.*I,0.-0.02907843221166293*I,-0.02017182997475702+0.*I,0.+0.013712045749966522*I,0.009142929725371531+0.*I,0.-0.00598533468451856*I,-0.0038500281861470055+0.*I,0.+0.0024351718591584994*I,0.0015155629527657945+0.*I,0.-0.0009286674350107163*I,-0.0005605698719173494+0.*I,0.+0.0003335070621403969*I,0.0001956554065684917+0.*I,0.-0.00011323515812937487*I,-0.00006467722306114134+0.*I,0.+0.00003647274297208847*I,0.00002031366819215041+0.*I,0.-0.000011177832344652201*I,-6.0787465412665935*^-6+0.*I,0.+3.2680434445149545*^-6*I,1.7374087487590898*^-6+0.*I,0.-9.136359118720338*^-7*I,-4.75348281670034*^-7+0.*I,0.+2.447504315807337*^-7*I,1.247406175717598*^-7+0.*I,0.-6.294491368514424*^-8*I,-3.1453779351352275*^-8+0.*I,0.+1.556795463009324*^-8*I,7.633437331879071*^-9+0.*I,0.-3.708672104789949*^-9*I,-1.7856774188164332*^-9+0.*I,0.+8.522114382824641*^-10*I,4.032014908813061*^-10+0.*I,0.-1.8914516910689255*^-10*I,-8.798975903143353*^-11+0.*I,0.+4.0597169713048766*^-11*I,1.858005033571596*^-11+0.*I,0.-8.436146802729046*^-12*I,-3.800529255288859*^-12+0.*I,0.+1.6990314794282619*^-12*I,7.538224009605698*^-13+0.*I,0.-3.3196941657829154*^-13*I,-1.451236041197031*^-13+0.*I,0.+6.298497307698456*^-14*I,2.7141962280901007*^-14+0.*I,0.-1.1614379706088631*^-14*I,-4.935657539563675*^-15+0.*I,0.+2.083198688010933*^-15*I,8.733619677326986*^-16+0.*I,0.-3.637272393715075*^-16*I,-1.5049230219195952*^-16+0.*I,0.+6.18653569829654*^-17*I,2.5270415350305294*^-17+0.*I,0.-1.0257575301130983*^-17*I,-4.137894724129084*^-18+0.*I,0.+1.659015931802442*^-18*I,6.611366119209619*^-19+0.*I,0.-2.6189890930153973*^-19*I,-1.0313581308262906*^-19+0.*I,0.+4.037842259317382*^-20*I,1.571749104046295*^-20+0.*I,0.-6.083315927680904*^-21*I,-2.341258486506408*^-21+0.*I,0.+8.960620812762399*^-22*I,3.410623908667378*^-22+0.*I
0.045885158130551114+0.*I,0.-0.11743474030235629*I,-0.20280273523523823+0.*I,0.+0.26786854920853254*I,0.27711040556415023+0.*I,0.-0.21324321513399527*I,-0.08896272094123875+0.*I,0.-0.05615546901868902*I,-0.1720639304778402+0.*I,0.+0.21941587120827719*I,0.18524478614458834+0.*I,0.-0.08659704558984078*I,0.03812440835479303+0.*I,0.-0.14498657719275523*I,-0.20029401512232706+0.*I,0.+0.1904306176744398*I,0.12334264559193137+0.*I,0.-0.02280751806904372*I,0.08109872458979939+0.*I,0.-0.16146781725901324*I,-0.20109900431252412+0.*I,0.+0.19492843792008221*I,0.1487306828980466+0.*I,0.-0.0754466842510989*I,0.009246640847707524+0.*I,0.-0.09080200236460699*I,-0.15834564329703377+0.*I,0.+0.20572151882726375*I,0.23128129132064804+0.*I,0.-0.23687547867709965*I,-0.2265220484697106+0.*I,0.+0.20512810047101385*I,0.17749088309256028+0.*I,0.-0.14766205213955752*I,-0.11865463011580177+0.*I,0.+0.09241399582268989*I,0.06995606410797921+0.*I,0.-0.051584592745027774*I,-0.037121798482194907+0.*I,0.+0.026111683508291104*I,0.01797725433764776+0.*I,0.-0.012128405395428752*I,-0.00802644939801392+0.*I,0.+0.005215305893939781*I,0.0033298749033472204+0.*I,0.-0.0020906820895764525*I,-0.0012916663181616755+0.*I,0.+0.0007857414781112056*I,0.0004708891671150337+0.*I,0.-0.0002781575333736229*I,-0.0001620326819628379+0.*I,0.+0.00009312059662512325*I,0.00005282003220324079+0.*I,0.-0.00002958203201554297*I,-0.000016364013778833087+0.*I,0.+8.943977366801273*^-6*I,4.8315721685526664*^-6+0.*I,0.-2.580436907303823*^-6*I,-1.3629124074500573*^-6+0.*I,0.+7.120803096764473*^-7*I,3.6811774985710033*^-7+0.*I,0.-1.8834157740161414*^-7*I,-9.539094381564047*^-8+0.*I,0.+4.7837086990410295*^-8*I,2.375799200022035*^-8+0.*I,0.-1.1687696114194366*^-8*I,-5.696462589339477*^-9+0.*I,0.+2.7511750495011097*^-9*I,1.3168734283573301*^-9+0.*I,0.-6.248212801520874*^-10*I,-2.9391639496958175*^-10+0.*I,0.+1.370930971295438*^-10*I,6.341560685190847*^-11+0.*I,0.-2.9095654266333116*^-11*I,-1.3242557772413212*^-11+0.*I,0.+5.9797858664986455*^-12*I,2.6793263443494565*^-12+0.*I,0.-1.191368555327559*^-12*I,-5.257747105749421*^-13+0.*I,0.+2.3032287994322737*^-13*I,1.0016303174364133*^-13+0.*I,0.-4.3247244530185207*^-14*I,-1.8541128440018804*^-14+0.*I,0.+7.893786170925061*^-15*I,3.3377163464965054*^-15+0.*I,0.-1.4017497473315236*^-15*I,-5.84775867917706*^-16+0.*I,0.+2.423516773220646*^-16*I,9.978812730155829*^-17+0.*I,0.-4.082493732302806*^-17*I,-1.659672997132981*^-17+0.*I,0.+6.705102688294311*^-18*I,2.6922095516678634*^-18+0.*I,0.-1.0744013050738921*^-18*I,-4.2619787977656546*^-19+0.*I,0.+1.6806417760566048*^-19*I,6.588542600535352*^-20+0.*I,0.-2.56793690585412*^-20*I,-9.951529608103844*^-21+0.*I,0.+3.834730349013285*^-21*I
0.-0.0749819329620292*I,-0.1713821918176449+0.*I,0.+0.2571321008701214*I,0.28063948784343845+0.*I,0.-0.21324321513399527*I,-0.0713549613044187+0.*I,0.-0.08822032486217826*I,-0.1970269818910834+0.*I,0.+0.21014172983507265*I,0.1277042511391232+0.*I,0.+0.007588374586956932*I,0.13325230852918915+0.*I,0.-0.1964554894455814*I,-0.1754519517831464+0.*I,0.+0.08469585098990128*I,-0.035732604492776966+0.*I,0.+0.13909575024787832*I,0.19016234052777634+0.*I,0.-0.17579940924252818*I,-0.10576754723603733+0.*I,0.+0.005684613824385163*I,-0.09359352740301999+0.*I,0.+0.16584130337753406*I,0.19570271244304463+0.*I,0.-0.18040553994566053*I,-0.1277054056669352+0.*I,0.+0.051695629738352636*I,-0.03178802400527615+0.*I,0.+0.10888418866282215*I,0.16991574702230014+0.*I,0.-0.21005945866112058*I,-0.22883107019834623+0.*I,0.+0.22889590269476998*I,0.21468456997967156+0.*I,0.-0.19115941539571032*I,-0.16291492652431716+0.*I,0.+0.1336560491347332*I,0.10600556578725769+0.*I,0.-0.08154737152250167*I,-0.061005872127066346+0.*I,0.+0.04447797234978162*I,0.03165973162672705+0.*I,0.-0.022035263186146268*I,-0.01501572556507145+0.*I,0.+0.010029676608691222*I,0.006573195723581173+0.*I,0.-0.004230612781743981*I,-0.0026761767356500597+0.*I,0.+0.0016650407174194563*I,0.0010195729991084512+0.*I,0.-0.0006148302308438715*I,-0.0003653204987351207+0.*I,0.+0.0002139905394425042*I,0.0001236289249491056+0.*I,0.-0.0000704756872495482*I,-0.00003965774620039571+0.*I,0.+0.00002203689640119852*I,0.0000120965172400136+0.*I,0.-6.561486666777128*^-6*I,-3.518131974620115*^-6+0.*I,0.+1.865169344829594*^-6*I,9.78006963344231*^-7+0.*I,0.-5.07338720142841*^-7*I,-2.6043263823530273*^-7+0.*I,0.+1.323237149110625*^-7*I,6.656154042574298*^-8+0.*I,0.-3.3154795560171726*^-8*I,-1.6356722028997134*^-8+0.*I,0.+7.993900815906156*^-9*I,3.870933648464574*^-9+0.*I,0.-1.8575719970281626*^-9*I,-8.83535034578722*^-10+0.*I,0.+4.16602906336071*^-10*I,1.9476485331448278*^-10+0.*I,0.-9.029326574643536*^-11*I,-4.151650782194836*^-11+0.*I,0.+1.893515188540937*^-11*I,8.567594608714673*^-12+0.*I,0.-3.846348895168572*^-12*I,-1.7135375217433453*^-12+0.*I,0.+7.576129352923197*^-13*I,3.324771649756094*^-13+0.*I,0.-1.4483953145467018*^-13*I,-6.264289318030728*^-14+0.*I,0.+2.6900660564262457*^-14*I,1.1471127354089068*^-14+0.*I,0.-4.857865345617456*^-15*I,-2.0432614070613008*^-15+0.*I,0.+8.536563891836016*^-16*I,3.5429365400584694*^-16+0.*I,0.-1.460844634129158*^-16*I,-5.984711603123647*^-17+0.*I,0.+2.4362288214228292*^-17*I,9.855182751808487*^-18+0.*I,0.-3.962033842109548*^-18*I,-1.5831161669864429*^-18+0.*I,0.+6.287555246094869*^-19*I,2.482319846841863*^-19+0.*I,0.-9.742540258411433*^-20*I,-3.801509518787586*^-20+0.*I
-0.111853713763494+0.*I,0.+0.22504680220450343*I,0.28462725169606906+0.*I,0.-0.23682191528976276*I,-0.08896272094123875+0.*I,0.-0.08822032486217826*I,-0.20295694294783126+0.*I,0.+0.19862462213102278*I,0.08597012466552788+0.*I,0.+0.06686818512184835*I,0.17618537791414102+0.*I,0.-0.18850338434295397*I,-0.10461372241946608+0.*I,0.-0.027445569766927597*I,-0.14166290806194173+0.*I,0.+0.1872197328452087*I,0.14914390192802857+0.*I,0.-0.049540152447844016*I,0.06712343768167275+0.*I,0.-0.1550594277430141*I,-0.18462425990177572+0.*I,0.+0.1502523532852796*I,0.06817451053860224+0.*I,0.+0.03276103777441102*I,0.12228686753109132+0.*I,0.-0.17774772334825698*I,-0.18872344840142313+0.*I,0.+0.15708252795399075*I,0.09375715902708359+0.*I,0.-0.01409030839857908*I,0.06658860144128864+0.*I,0.-0.13611454625982464*I,-0.18700904206892358+0.*I,0.+0.21655444158966805*I,0.22589092987859452+0.*I,0.-0.2186667799990947*I,-0.19967807246261288+0.*I,0.+0.1737720706646937*I,0.14512716810026988+0.*I,0.-0.11690078533507643*I,-0.09116681611303981+0.*I,0.+0.06904013183777265*I,0.050892844439320774+0.*I,0.-0.0365901977410087*I,-0.025701085188251267+0.*I,0.+0.01766188715449856*I,0.011889371192187921+0.*I,0.-0.007848512498226228*I,-0.005085559364026303+0.*I,0.+0.003237310114604231*I,0.002026085525246208+0.*I,0.-0.0012475587446692487*I,-0.0007562557096839935+0.*I,0.+0.00045157717482428557*I,0.00026575521798429555+0.*I,0.-0.00015421660582545088*I,-0.00008828304754724465+0.*I,0.+0.00004987739111840539*I,0.000027821553939974525+0.*I,0.-0.00001532745988340635*I,-8.34295832389071*^-6+0.*I,0.+4.48819750979596*^-6*I,2.387033952716942*^-6+0.*I,0.-1.2554669886017498*^-6*I,-6.531765649076657*^-7+0.*I,0.+3.3623800582752537*^-7*I,1.7130124733486018*^-7+0.*I,0.-8.639191812992318*^-8*I,-4.314009243257313*^-8+0.*I,0.+2.13342015095816*^-8*I,1.0450736964066317*^-8+0.*I,0.-5.071969172706965*^-9*I,-2.4391910035881354*^-9+0.*I,0.+1.1626031992380557*^-9*I,5.492974108734626*^-10+0.*I,0.-2.5730297573926475*^-10*I,-1.19511969092526*^-10+0.*I,0.+5.50519679810881*^-11*I,2.5153140699776576*^-11+0.*I,0.-1.1400667579809615*^-11*I,-5.126791170482819*^-12+0.*I,0.+2.2876774529064473*^-12*I,1.013053470359673*^-12+0.*I,0.-4.45257364348437*^-13*I,-1.9425939338002643*^-13+0.*I,0.+8.413844328791636*^-14*I,3.618230449841453*^-14+0.*I,0.-1.5450180855539593*^-14*I,-6.5516601759269214*^-15+0.*I,0.+2.759263115233351*^-15*I,1.1542530625478397*^-15+0.*I,0.-4.796407794514469*^-16*I,-1.9800588903704894*^-16+0.*I,0.+8.121303259768482*^-17*I,3.3097604021631684*^-17+0.*I,0.-1.3403775719273489*^-17*I,-5.394523517342181*^-18+0.*I,0.+2.1577891088543256*^-18*I,8.578840377011905*^-19+0.*I,0.-3.3903513429735225*^-19*I
0.+0.15447947665368159*I,0.2685320134919298+0.*I,0.-0.27280182773964784*I,-0.14073889940501938+0.*I,0.-0.05615546901868902*I,-0.1970269818910834+0.*I,0.+0.19862462213102278*I,0.07136052622635583+0.*I,0.+0.09360661051019768*I,0.18983160028960253+0.*I,0.-0.16340419959277927*I,-0.039479120814673245+0.*I,0.-0.10232843117103173*I,-0.18046913496422026+0.*I,0.+0.15683460820632886*I,0.05119308516807928+0.*I,0.+0.07706923767911379*I,0.1640048270721914+0.*I,0.-0.17214414316445517*I,-0.10356377262464553+0.*I,0.-0.007116490076720807*I,-0.1122673400443164+0.*I,0.+0.1722141646632678*I,0.16882256978741453+0.*I,0.-0.1082268934056416*I,-0.01438424200250531+0.*I,0.-0.08192087651656087*I,-0.15370118512367215+0.*I,0.+0.1846784579961394*I,0.17137350085250608+0.*I,0.-0.12113422253406443*I,-0.047855553330029145+0.*I,0.-0.03274977462291522*I,-0.10696155112749647+0.*I,0.+0.1652881888617713*I,0.20311008365937594+0.*I,0.-0.22011727206709936*I,-0.21907950822853614+0.*I,0.+0.20444372951259962*I,0.18110642464181817+0.*I,0.-0.1535372117811136*I,-0.1252874025536817+0.*I,0.+0.09882575509130714*I,0.07560266571710939+0.*I,0.-0.056241099574490895*I,-0.04077157859211624+0.*I,0.+0.02885565936868404*I,0.01996820363988995+0.*I,0.-0.013528640749335009*I,-0.008984125193648477+0.*I,0.+0.0058538790634557825*I,0.0037458381157859655+0.*I,0.-0.0023558186271159043*I,-0.0014572641036648217+0.*I,0.+0.0008872071527774688*I,0.0005319414747118665+0.*I,0.-0.00031426404587352067*I,-0.00018303687237762123+0.*I,0.+0.00010514772635108059*I,0.00005960301747869457+0.*I,0.-0.00003335187377573606*I,-0.000018429805260686473+0.*I,0.+0.00001006060664839126*I,5.427195340167435*^-6+0.*I,0.-2.8940830498461404*^-6*I,-1.5260170912419051*^-6+0.*I,0.+7.95870144239022*^-7*I,4.106525214190176*^-7+0.*I,0.-2.0968403027007856*^-7*I,-1.0597866613034992*^-7+0.*I,0.+5.303131367002323*^-8*I,2.627853291508015*^-8+0.*I,0.-1.2897759463049296*^-8*I,-6.271298634373915*^-9+0.*I,0.+3.021430675140301*^-9*I,1.4426405735725932*^-9+0.*I,0.-6.827617291604362*^-10*I,-3.2034491697174637*^-10+0.*I,0.+1.490299020206863*^-10*I,6.875471716248004*^-11+0.*I,0.-3.146075690450058*^-11*I,-1.428022748851155*^-11+0.*I,0.+6.43072371914679*^-12*I,2.8734305817419777*^-12+0.*I,0.-1.2741280373913324*^-12*I,-5.60725653955284*^-13+0.*I,0.+2.4494268195365085*^-13*I,1.0621973254620619*^-13+0.*I,0.-4.573208730902244*^-14*I,-1.9550541623777864*^-14+0.*I,0.+8.299729156400535*^-15*I,3.499293957237632*^-15+0.*I,0.-1.4653825456623352*^-15*I,-6.095609319453826*^-16+0.*I,0.+2.518946802206914*^-16*I,1.0341790072310298*^-16+0.*I,0.-4.2187644846964436*^-17*I,-1.7101122790498932*^-17+0.*I,0.+6.888896855814126*^-18*I,2.75800735328019*^-18+0.*I
