1.5070172753900628*^-7+0.*I,8.44681859152124*^-7+0.*I,3.3477506701702087*^-6+0.*I,0.000010833465749963644+0.*I,0.00003036074018584702+0.*I,0.00007610308978856982+0.*I,0.00017414122719330535+0.*I,0.00036891602198185774+0.*I,0.0007310674702224586+0.*I,0.00136587558306371+0.*I,0.0024209514370590888+0.*I,0.004091331518567126+0.*I,0.0066198627444214895+0.*I,0.010290873628324024+0.*I,0.015415696931447044+0.*I,0.02230963527897023+0.*I,0.03126132744491738+0.*I,0.042496962642195824+0.*I,0.05614312403505281+0.*I,0.07219293705900844+0.*I,0.09048042863038305+0.*I,0.11066745897671462+0.*I,0.13224630123810552+0.*I,0.15455909016768013+0.*I,0.17683322523734843+0.*I,0.19822973484453105+0.*I,0.2178999157917752+0.*I,0.23504451269167448+0.*I,0.24896943707253918+0.*I,0.2591325535839398+0.*I,0.26517726298081984+0.*I,0.2669502753597966+0.*I,0.2645028283592296+0.*I,0.25807639691410617+0.*I,0.24807543672962762+0.*I,0.23503074584047104+0.*I,0.21955754433654914+0.*I,0.2023123706326774+0.*I,0.18395245027648222+0.*I,0.16510043210566+0.*I,0.1463164483359202+0.*I,0.12807847815024956+0.*I,0.11077109522652678+0.*I,0.09468194226671023+0.*I,0.08000474703976629+0.*I,0.06684738701152641+0.*I,0.05524340720238834+0.*I,0.045165462699239066+0.*I,0.03653934697058815+0.*I,0.02925753126043729+0.*I,0.023191434461010702+0.*I,0.018201930853230738+0.*I,0.014147859059459722+0.*I,0.010892503954627162+0.*I,0.008308177811336716+0.*I,0.006279128550542731+0.*I,0.004703057593786047+0.*I,0.0034915463020268648+0.*I,0.0025696782299670564+0.*I,0.001875113997404761+0.*I,0.0013568348409618413+0.*I,0.0009737265364453296+0.*I,0.0006931322359941915+0.*I,0.0004894640044590905+0.*I,0.00034293018071701804+0.*I,0.00023840972476504223+0.*I,0.0001644852407946948+0.*I,0.00011263269349238358+0.*I,0.00007655700763298727+0.*I,0.00005165773272245659+0.*I,0.00003460678519181206+0.*I,0.000023020090106321154+0.*I,0.000015206025251955442+0.*I,9.975374603533355*^-6+0.*I,6.4996248453071975*^-6+0.*I,4.206613340513088*^-6+0.*I,2.7045856223964166*^-6+0.*I,1.727548738466533*^-6+0.*I,1.0963720204338436*^-6+0.*I,6.913840152353539*^-7+0.*I,4.332606803042001*^-7+0.*I,2.6982470083507927*^-7+0.*I,1.670127835621614*^-7+0.*I,1.0275089289219767*^-7+0.*I,6.283778932137756*^-8+0.*I,3.8202023845720845*^-8+0.*I,2.308936993773159*^-8+0.*I,1.3874821099962545*^-8+0.*I,8.290123346902555*^-9+0.*I,4.925393414700887*^-9+0.*I,2.9100108417037733*^-9+0.*I,1.7098139150948806*^-9+0.*I,9.991481069754005*^-10+0.*I,5.807153848965422*^-10+0.*I,3.357177791549818*^-10+0.*I,1.9305785438618994*^-10+0.*I,1.10440100971981*^-10+0.*I,6.285153145100376*^-11+0.*I,3.558588432801478*^-11+0.*I,2.0046340450920287*^-11+0.*I
-8.44681859152124*^-7+0.*I,-4.583732673659321*^-6+0.*I,-0.000017569552559890846+0.*I,-0.00005492300611988646+0.*I,-0.00014850475056508487+0.*I,-0.0003586684709029132+0.*I,-0.0007896463110000237+0.*I,-0.0016070366826396933+0.*I,-0.0030541746658641856+0.*I,-0.005462518235097121+0.*I,-0.009250133697150309+0.*I,-0.014902489672544037+0.*I,-0.022931484414709952+0.*I,-0.033812001734271735+0.*I,-0.047899922567637476+0.*I,-0.06534057229399433+0.*I,-0.08598092462582048+0.*I,-0.1093013472806841+0.*I,-0.13438237429284125+0.*I,-0.1599185740582463+0.*I,-0.18428537821060467+0.*I,-0.20565672239478516+0.*I,-0.22216296315669812+0.*I,-0.23207136248508847+0.*I,-0.23396686218338683+0.*I,-0.2269097964457442+0.*I,-0.2105498279201615+0.*I,-0.1851812537503672+0.*I,-0.15173285271804768+0.*I,-0.11169423614561241+0.*I,-0.06698877997754046+0.*I,-0.019809433949256924+0.*I,0.027562769906328645+0.*I,0.07293712983290498+0.*I,0.11437041172751952+0.*I,0.15028880990045512+0.*I,0.17956636754257013+0.*I,0.20155734356985125+0.*I,0.2160853424673689+0.*I,0.22339621200138288+0.*I,0.22408440852637088+0.*I,0.21900365163306174+0.*I,0.20917239016300532+0.*I,0.19568319246114835+0.*I,0.17962304941350757+0.*I,0.1620091416720195+0.*I,0.14374222508857137+0.*I,0.12557769701509772+0.*I,0.10811278574669711+0.*I,0.09178722306587593+0.*I,0.07689420110069498+0.*I,0.06359830680470939+0.*I,0.05195736424843765+0.*I,0.04194557966065572+0.*I,0.03347596647343792+0.*I,0.02642063534253128+0.*I,0.020628098943898655+0.*I,0.015937219818120643+0.*I,0.012187800516920226+0.*I,0.009228075524303712+0.*I,0.0069195232026841805+0.*I,0.0051394901929314885+0.*I,0.0037821303205551114+0.*I,0.0027581251206321177+0.*I,0.001993591384916062+0.*I,0.001428507093399357+0.*I,0.0010149114301485072+0.*I,0.0007150644639668821+0.*I,0.0004996916289972268+0.*I,0.0003463891283093707+0.*I,0.00023822887327473692+0.*I,0.00016257455234773243+0.*I,0.00011010230383892503+0.*I,0.00007400844967101531+0.*I,0.00004938107683236279+0.*I,0.00003271037148668706+0.*I,0.000021513226234164945+0.*I,0.000014049747014177028+0.*I,9.112141798626897*^-6+0.*I,5.869566338768954*^-6+0.*I,3.755504318976207*^-6+0.*I,2.3869810445901122*^-6+0.*I,1.5072614009521698*^-6+0.*I,9.456410193733494*^-7+0.*I,5.895222316013883*^-7+0.*I,3.652137841425576*^-7+0.*I,2.2485527920789772*^-7+0.*I,1.3759505511182915*^-7+0.*I,8.369129056174752*^-8+0.*I,5.0602080410397625*^-8+0.*I,3.0415799481175136*^-8+0.*I,1.8176242208712943*^-8+0.*I,1.0799742582543708*^-8+0.*I,6.380530770605933*^-9+0.*I,3.748549345157247*^-9+0.*I,2.190084573228334*^-9+0.*I,1.2725571404447435*^-9+0.*I,7.354265683690065*^-10+0.*I,4.227398482712188*^-10+0.*I,2.4171551629871673*^-10+0.*I
3.3477506701702087*^-6+0.*I,0.000017569552559890846+0.*I,0.00006505015459367965+0.*I,0.00019615963003115675+0.*I,0.0005109000715977287+0.*I,0.0011867139139497005+0.*I,0.0025083947651633955+0.*I,0.0048919193763140864+0.*I,0.008890620459596857+0.*I,0.015170864783348868+0.*I,0.0244467452864117+0.*I,0.03736995768469171+0.*I,0.05438148256061798+0.*I,0.07554398620701332+0.*I,0.10038492274736427+0.*I,0.12778673334875787+0.*I,0.15595949862014638+0.*I,0.18252169565891088+0.*I,0.20469729050987232+0.*I,0.21961535503777216+0.*I,0.22467633582136448+0.*I,0.2179320264579606+0.*I,0.19841835259819388+0.*I,0.16638350285095962+0.*I,0.1233684700148247+0.*I,0.07212001623358427+0.*I,0.016342974511997753+0.*I,-0.039675547759059675+0.*I,-0.09151784886605072+0.*I,-0.1351006744019048+0.*I,-0.1670914561410058+0.*I,-0.18522382018558584+0.*I,-0.18847801416441334+0.*I,-0.17711321704720664+0.*I,-0.15255988450765928+0.*I,-0.11719798424989912+0.*I,-0.07405886651101531+0.*I,-0.02649357149208845+0.*I,0.02215115553602419+0.*I,0.06881473048831739+0.*I,0.11093837862162595+0.*I,0.146602160536298+0.*I,0.17458216724171363+0.*I,0.19433593471738864+0.*I,0.20593059483253776+0.*I,0.20993168096705056+0.*I,0.20727106418334146+0.*I,0.19911077467163665+0.*I,0.18671620655152377+0.*I,0.17134818079276248+0.*I,0.15417922907939408+0.*I,0.13623577643331097+0.*I,0.11836496739117854+0.*I,0.10122284181824588+0.*I,0.08527941363762764+0.*I,0.07083582391879585+0.*I,0.05804895355125291+0.*I,0.04695949495422137+0.*I,0.03752031280162258+0.*I,0.029622817213078412+0.*I,0.023119916074607724+0.*I,0.017844834142801788+0.*I,0.013625649996759042+0.*I,0.010295801196655907+0.*I,0.007701056653169397+0.*I,0.005703578365760036+0.*I,0.004183722313296531+0.*I,0.003040190083500263+0.*I,0.002189065017514294+0.*I,0.0015621702737681467+0.*I,0.0011050867225489093+0.*I,0.0007750761679514643+0.*I,0.0005390758477522719+0.*I,0.0003718658907075616+0.*I,0.00025446245478943626+0.*I,0.00017275419474313127+0.*I,0.00011637631524140997+0.*I,0.00007780231245343137+0.*I,0.00005162624165138633+0.*I,0.00003400591068493149+0.*I,0.000022238104232254107+0.*I,0.000014439496003619675+0.*I,9.310365925885503*^-6+0.*I,5.961967482607082*^-6+0.*I,3.7919846872852497*^-6+0.*I,2.3957529900220334*^-6+0.*I,1.503691871647048*^-6+0.*I,9.376881831859441*^-7+0.*I,5.810063651731831*^-7+0.*I,3.5773793527782575*^-7+0.*I,2.1890130643942905*^-7+0.*I,1.3312738737451506*^-7+0.*I,8.047435792818673*^-8+0.*I,4.8356294034347154*^-8+0.*I,2.888598718442064*^-8+0.*I,1.7155071488489694*^-8+0.*I,1.012979056232896*^-8+0.*I,5.947598784707139*^-9+0.*I,3.472529598143852*^-9+0.*I,2.0162407659534593*^-9+0.*I
-0.000010833465749963644+0.*I,-0.00005492300611988646+0.*I,-0.00019615963003115675+0.*I,-0.0005697308798493756+0.*I,-0.0014267890658292682+0.*I,-0.003180688320567162+0.*I,-0.006439006879836005+0.*I,-0.011998826077243833+0.*I,-0.02078196088188276+0.*I,-0.033694567285215+0.*I,-0.051412640680573427+0.*I,-0.07411884371892878+0.*I,-0.10124091080210276+0.*I,-0.13125951868181346+0.*I,-0.16165628341638924+0.*I,-0.18905587673881813+0.*I,-0.20958085345904504+0.*I,-0.21939022410917677+0.*I,-0.21532425112128564+0.*I,-0.19554122266141238+0.*I,-0.16001791752623376+0.*I,-0.11079973951302281+0.*I,-0.05192764070390411+0.*I,0.01097133991566746+0.*I,0.07137791561871593+0.*I,0.1227506096410819+0.*I,0.15942900768234566+0.*I,0.17742070957571202+0.*I,0.17494491080298252+0.*I,0.15265106153849603+0.*I,0.11348932381524336+0.*I,0.062268398768274946+0.*I,0.004984530196166669+0.*I,-0.05196483475638785+0.*I,-0.10256156177819548+0.*I,-0.1418334699386543+0.*I,-0.16632803607714663+0.*I,-0.1743518500876227+0.*I,-0.16597340796859847+0.*I,-0.14282031270684306+0.*I,-0.10772551653384153+0.*I,-0.06428887686820574+0.*I,-0.01642037609008002+0.*I,0.03207794007122267+0.*I,0.07784966911359738+0.*I,0.11821777820767071+0.*I,0.1513081711716511+0.*I,0.17607144099997987+0.*I,0.1922213904623209+0.*I,0.20011445164126515+0.*I,0.20059537489670184+0.*I,0.19483239053720736+0.*I,0.1841606210483075+0.*I,0.169946995245451+0.*I,0.15348428161996813+0.*I,0.1359168486858909+0.*I,0.11819681729743939+0.*I,0.10106656856879262+0.*I,0.08506207462499711+0.*I,0.07053104927221518+0.*I,0.057660219036034764+0.*I,0.04650682188317376+0.*I,0.03703050494883319+0.*I,0.029122915179874437+0.*I,0.0226333168195417+0.*I,0.017389441983088297+0.*I,0.013213447763425154+0.*I,0.009933313875379688+0.*I,0.0073902909898635885+0.*I,0.005443136545288688+0.*I,0.003969890966087119+0.*I,0.0028678899610979636+0.*I,0.002052609521831033+0.*I,0.0014558239285434068+0.*I,0.0010234408343224482+0.*I,0.0007132722389205827+0.*I,0.0004929115967386477+0.*I,0.00033781730957629035+0.*I,0.00022965076180570643+0.*I,0.00015488070036162227+0.*I,0.00010364230196803864+0.*I,0.00006882574650804614+0.*I,0.00004536280225382678+0.*I,0.000029678514491732688+0.*I,0.000019276740352517885+0.*I,0.000012431619699592167+0.*I,7.961151858767573*^-6+0.*I,5.063229090682549*^-6+0.*I,3.1983815178839356*^-6+0.*I,2.006918669160226*^-6+0.*I,1.25103728681141*^-6+0.*I,7.748084131128815*^-7+0.*I,4.7680759076596976*^-7+0.*I,2.915792063071097*^-7+0.*I,1.7720378602770922*^-7+0.*I,1.0703597764772606*^-7+0.*I,6.426329930904126*^-8+0.*I,3.835374087937631*^-8+0.*I,2.2756102757314713*^-8+0.*I,1.3423521623284603*^-8+0.*I
0.00003036074018584702+0.*I,0.00014850475056508487+0.*I,0.0005109000715977287+0.*I,0.0014267890658292682+0.*I,0.0034288392109634524+0.*I,0.007318666379065374+0.*I,0.01414975679379356+0.*I,0.025108651937879013+0.*I,0.04127245153024493+0.*I,0.06325593551415545+0.*I,0.09080791101568061+0.*I,0.12245951469767116+0.*I,0.15534960477351414+0.*I,0.18533957710426313+0.*I,0.2074769504820983+0.*I,0.21678221752401147+0.*I,0.20923766790392836+0.*I,0.18277814158838562+0.*I,0.1380483225252254+0.*I,0.0787150923648353+0.*I,0.011206044826075174+0.*I,-0.056131326431746655+0.*I,-0.11432143718128256+0.*I,-0.15526524003923547+0.*I,-0.17316211045583277+0.*I,-0.16556325537608726+0.*I,-0.13384521691664947+0.*I,-0.08301204713031096+0.*I,-0.020871269232167707+0.*I,0.043249658873211444+0.*I,0.0999988175890278+0.*I,0.14143399227242157+0.*I,0.1621525041070084+0.*I,0.15994819417328213+0.*I,0.13592610060937788+0.*I,0.0941064855191482+0.*I,0.04063318081059923+0.*I,-0.0172466786421519+0.*I,-0.07224874615203346+0.*I,-0.11799850115309787+0.*I,-0.14973719731405427+0.*I,-0.16472063787471777+0.*I,-0.16230173850993282+0.*I,-0.14373608954798064+0.*I,-0.11178286452684805+0.*I,-0.07018907599223209+0.*I,-0.023144494355002213+0.*I,0.025218839753891574+0.*I,0.07122976057511682+0.*I,0.11195499475632753+0.*I,0.14534377167180615+0.*I,0.17025183764533036+0.*I,0.18636884251204236+0.*I,0.19407907145293257+0.*I,0.1942861073382901+0.*I,0.18822857704903057+0.*I,0.1773082194934344+0.*I,0.16294458613603116+0.*I,0.14646393684323078+0.*I,0.12902414057829534+0.*I,0.11157306860554402+0.*I,0.09483518944056406+0.*I,0.07931971336319352+0.*I,0.0653434186370896+0.*I,0.05306188973375585+0.*I,0.04250398216238955+0.*I,0.03360561792673295+0.*I,0.026240297127557377+0.*I,0.020244844278198774+0.*I,0.015439817482155784+0.*I,0.01164467183456161+0.*I,0.008688198910940066+0.*I,0.006414997464856326+0.*I,0.004688811555045434+0.*I,0.0033935470389970445+0.*I,0.002432686491942727+0.*I,0.0017276990235974032+0.*I,0.0012159093272959645+0.*I,0.00084816559596201+0.*I,0.000586537826948645+0.*I,0.00040219045273365067+0.*I,0.0002735065065363752+0.*I,0.00018449276693312724+0.*I,0.00012346349192773488+0.*I,0.00008198105899388326+0.*I,0.00005402182272495892+0.*I,0.00003533195606715241+0.*I,0.00002293866325302007+0.*I,0.000014785199365319775+0.*I,9.462354690083712*^-6+0.*I,6.013624607908309*^-6+0.*I,3.7956703766738694*^-6+0.*I,2.3795994330570862*^-6+0.*I,1.4819334976509673*^-6+0.*I,9.168698131575495*^-7+0.*I,5.636165724897623*^-7+0.*I,3.44269444631784*^-7+0.*I,2.0897385801205075*^-7+0.*I,1.2606745378065028*^-7+0.*I,7.559082140936073*^-8+0.*I
-0.00007610308978856982+0.*I,-0.0003586684709029132+0.*I,-0.0011867139139497005+0.*I,-0.003180688320567162+0.*I,-0.007318666379065374+0.*I,-0.014916336867393097+0.*I,-0.0274509831251375+0.*I,-0.046195838864648266+0.*I,-0.07169448232901006+0.*I,-0.10318631216620161+0.*I,-0.13816427540736437+0.*I,-0.17227058358061145+0.*I,-0.19969024737455246+0.*I,-0.21408371342162144+0.*I,-0.20993515941690943+0.*I,-0.18403181624844894+0.*I,-0.13668923472836944+0.*I,-0.07234166141384588+0.*I,0.0007613118401185302+0.*I,0.0717962456979598+0.*I,0.12934079592184733+0.*I,0.1636659278491438+0.*I,0.16881928319276865+0.*I,0.14400007407979343+0.*I,0.09388394469959069+0.*I,0.02780328705908527+0.*I,-0.04204210501106274+0.*I,-0.10294783318078157+0.*I,-0.14412584392775038+0.*I,-0.1586754902874539+0.*I,-0.14472026780952227+0.*I,-0.10552739624379696+0.*I,-0.04865320827564349+0.*I,0.01564665970257817+0.*I,0.07637765381710998+0.*I,0.1237366814667064+0.*I,0.15066191858525532+0.*I,0.15376521442218768+0.*I,0.13355493806831384+0.*I,0.09399861252876913+0.*I,0.041585331210594455+0.*I,-0.015888671219806444+0.*I,-0.07057563749227151+0.*I,-0.1156691817391013+0.*I,-0.14619205909646563+0.*I,-0.1594106711281906+0.*I,-0.15487936436057803+0.*I,-0.13417393278114786+0.*I,-0.10040881475078633+0.*I,-0.05764513400858363+0.*I,-0.010290028751855283+0.*I,0.03743271188230321+0.*I,0.08188826873630863+0.*I,0.1202889023732133+0.*I,0.15080586222440895+0.*I,0.17255504669515856+0.*I,0.18548750876653367+0.*I,0.1902199447494559+0.*I,0.18783861740427282+0.*I,0.17970458639819648+0.*I,0.16728052531502718+0.*I,0.15199140746900697+0.*I,0.1351241262523434+0.*I,0.11776539086076705+0.*I,0.10077328841562777+0.*I,0.0847756807354196+0.*I,0.07018784389181719+0.*I,0.057242089336903536+0.*I,0.04602313529280075+0.*I,0.03650437555272527+0.*I,0.028581643463238934+0.*I,0.022102400666113943+0.*I,0.016889382760702842+0.*I,0.012758563277874247+0.*I,0.009531857251580149+0.*I,0.007045310422590442+0.*I,0.0051536587543424975+0.*I,0.003732147854512114+0.*I,0.0026764211815641283+0.*I,0.0019011592624342453+0.*I,0.0013380093471856993+0.*I,0.0009332062034053676+0.*I,0.0006451621466075375+0.*I,0.000442203600751766+0.*I,0.0003005536888125081+0.*I,0.00020260393724228808+0.*I,0.00013547999167125082+0.*I,0.00008988257195161018+0.*I,0.000059172093164685976+0.*I,0.000038660218647922615+0.*I,0.000025071449528903563+0.*I,0.000016140664685716652+0.*I,0.00001031684081182411+0.*I,6.548012758633418*^-6+0.*I,4.127258731273855*^-6+0.*I,2.583765623283262*^-6+0.*I,1.606688560285548*^-6+0.*I,9.925298288779816*^-7+0.*I,6.091624636936623*^-7+0.*I,3.7148666575275916*^-7+0.*I
0.00017414122719330535+0.*I,0.0007896463110000237+0.*I,0.0025083947651633955+0.*I,0.006439006879836005+0.*I,0.01414975679379356+0.*I,0.0274509831251375+0.*I,0.04789777360243102+0.*I,0.07605616517726883+0.*I,0.11071096779323283+0.*I,0.14830636765364114+0.*I,0.18293841874625374+0.*I,0.20711907381945932+0.*I,0.2133094360781845+0.*I,0.1959362796260072+0.*I,0.1533612532731158+0.*I,0.08917013759651378+0.*I,0.01225344793678003+0.*I,-0.06454804570278573+0.*I,-0.12704148820456632+0.*I,-0.16293142125116528+0.*I,-0.16487983035403625+0.*I,-0.13253049996098915+0.*I,-0.07290063273398914+0.*I,0.0010245765300447031+0.*I,0.07317226943408171+0.*I,0.12801953740312033+0.*I,0.15407908266370357+0.*I,0.14638335023569013+0.*I,0.10740006600453937+0.*I,0.0462273039248866+0.*I,-0.02365620178647532+0.*I,-0.08748279974822994+0.*I,-0.13237544504946705+0.*I,-0.14990501355445796+0.*I,-0.13752299217651892+0.*I,-0.09866818991637354+0.*I,-0.0416571009600713+0.*I,0.022285456409913848+0.*I,0.08136314379816625+0.*I,0.12540935280114981+0.*I,0.14754665124503552+0.*I,0.14506364269145403+0.*I,0.11945568291524297+0.*I,0.07574203730928891+0.*I,0.021287150119483792+0.*I,-0.035595468204904064+0.*I,-0.086988850722194+0.*I,-0.12645723991721258+0.*I,-0.1497429213029826+0.*I,-0.15503687434829166+0.*I,-0.14286123543041762+0.*I,-0.11565491384479047+0.*I,-0.07718011614762323+0.*I,-0.03186894185563878+0.*I,0.015788498223478047+0.*I,0.06174211859751451+0.*I,0.10272664890209807+0.*I,0.13644427884561303+0.*I,0.16160024345346718+0.*I,0.17782200163742679+0.*I,0.18549980337258415+0.*I,0.18558647413600932+0.*I,0.17938919716642795+0.*I,0.16837813769609294+0.*I,0.15402788747354185+0.*I,0.13769940472623285+0.*I,0.1205633289268663+0.*I,0.10356069273504526+0.*I,0.08739415737406371+0.*I,0.07254170794545638+0.*I,0.059284860470108516+0.*I,0.04774441180432199+0.*I,0.037918201922527574+0.*I,0.02971692968777038+0.*I,0.022995538254981584+0.*I,0.01757892734297047+0.*I,0.01328169687639656+0.*I,0.009922277144819856+0.*I,0.007332188349715247+0.*I,0.005361349593782843+0.*I,0.003880381527211835+0.*I,0.002780771616441702+0.*I,0.0019736410142112246+0.*I,0.001387701090150743+0.*I,0.000966838978273462+0.*I,0.0006676389692905924+0.*I,0.00045703700521860423+0.*I,0.00031022061323988926+0.*I,0.00020882479834574103+0.*I,0.00013943239628603043+0.*I,0.00009236118811166296+0.*I,0.000060705745785425165+0.*I,0.000039596007767930964+0.*I,0.000025634096216972394+0.*I,0.000016473671830862457+0.*I,0.000010510580219273131+0.*I,6.6585926102033245*^-6+0.*I,4.189005575296688*^-6+0.*I,2.6173588911487527*^-6+0.*I,1.624383404131797*^-6+0.*I
-0.00036891602198185774+0.*I,-0.0016070366826396933+0.*I,-0.0048919193763140864+0.*I,-0.011998826077243833+0.*I,-0.025108651937879013+0.*I,-0.046195838864648266+0.*I,-0.07605616517726883+0.*I,-0.11322626552729749+0.*I,-0.15323234642385566+0.*I,-0.18865075586185998+0.*I,-0.21029274920732227+0.*I,-0.20945373530262704+0.*I,-0.18071086101316616+0.*I,-0.12439680765945568+0.*I,-0.04779816190700593+0.*I,0.0355920609367212+0.*I,0.10885379934440217+0.*I,0.1558398507058516+0.*I,0.16562866611817478+0.*I,0.13586619980645592+0.*I,0.07389150027119265+0.*I,-0.0048160289780028905+0.*I,-0.08051238173429537+0.*I,-0.13431417136614615+0.*I,-0.15311739480792017+0.*I,-0.13292520503746671+0.*I,-0.07968919253270317+0.*I,-0.007505994060544707+0.*I,0.06524099762904531+0.*I,0.12067023152919165+0.*I,0.14581498001577917+0.*I,0.13554870611167533+0.*I,0.09338963878519027+0.*I,0.030152965240194764+0.*I,-0.03903381213424626+0.*I,-0.09848342692604162+0.*I,-0.1355083726188076+0.*I,-0.14298397536068394+0.*I,-0.12044326518473568+0.*I,-0.07362961512178544+0.*I,-0.012790051210534253+0.*I,0.049770019987959116+0.*I,0.10226652763225098+0.*I,0.1356098140305572+0.*I,0.14479877461650617+0.*I,0.12938133275933109+0.*I,0.09303653443297358+0.*I,0.04249311107908373+0.*I,-0.013914270517878281+0.*I,-0.06773884205647114+0.*I,-0.11170372697889111+0.*I,-0.1405984418303281+0.*I,-0.15171704516854204+0.*I,-0.14485661824775703+0.*I,-0.12196245772588861+0.*I,-0.08654380887002805+0.*I,-0.042992043908146364+0.*I,0.0040820944880415955+0.*I,0.05040561582611317+0.*I,0.09244416305274578+0.*I,0.12763048889099157+0.*I,0.15443220987859294+0.*I,0.1722892406086015+0.*I,0.181460602874455+0.*I,0.1828214704747049+0.*I,0.1776465434518758+0.*I,0.16740759072265757+0.*I,0.15360347882059108+0.*I,0.13763193224113188+0.*I,0.12070475253311952+0.*I,0.10380278357828515+0.*I,0.08766360762545135+0.*I,0.07279353077683054+0.*I,0.059495436591193794+0.*I,0.047905071291650024+0.*I,0.03802982890087897+0.*I,0.029785770486845838+0.*I,0.023030184506123562+0.*I,0.017588322644212093+0.*I,0.013273960416681023+0.*I,0.009904129721291458+0.*I,0.0073087871785508796+0.*I,0.005336373588877383+0.*I,0.003856247903988079+0.*I,0.002758901248109261+0.*I,0.001954720522298859+0.*I,0.0013719130286086064+0.*I,0.0009540479356661496+0.*I,0.0006575319981721962+0.*I,0.0004492228147310156+0.*I,0.00030429474008699634+0.*I,0.00020440863285890777+0.*I,0.0001361933683325764+0.*I,0.00009002024691853286+0.*I,0.00005903691598721102+0.*I,0.00003842151800356131+0.*I,0.000024817480155024088+0.*I,0.000015912377004950698+0.*I,0.000010128981425791655+0.*I,6.401863004987757*^-6+0.*I
0.0007310674702224586+0.*I,0.0030541746658641856+0.*I,0.008890620459596857+0.*I,0.02078196088188276+0.*I,0.04127245153024493+0.*I,0.07169448232901006+0.*I,0.11071096779323283+0.*I,0.15323234642385566+0.*I,0.19042870520164643+0.*I,0.21131489833050657+0.*I,0.20581153965407972+0.*I,0.16847674709056742+0.*I,0.10158075610797988+0.*I,0.016150580109810346+0.*I,-0.06984162854791313+0.*I,-0.13598182205366002+0.*I,-0.16537684190537724+0.*I,-0.1501418502915858+0.*I,-0.09446053078733839+0.*I,-0.013990192079472106+0.*I,0.06839522416702372+0.*I,0.12926166282577314+0.*I,0.15156197961164686+0.*I,0.12965012575305515+0.*I,0.07078820630759483+0.*I,-0.007262823633311808+0.*I,-0.08171714523755312+0.*I,-0.1315240392117344+0.*I,-0.1433281424739813+0.*I,-0.11491265252828695+0.*I,-0.05527934680043006+0.*I,0.01842513165449097+0.*I,0.08603055986789412+0.*I,0.1299222179013771+0.*I,0.13951381688609157+0.*I,0.11351595140897237+0.*I,0.05961711908546164+0.*I,-0.0080756280850368+0.*I,-0.07294830921173437+0.*I,-0.12002239725562458+0.*I,-0.13929524501921275+0.*I,-0.1275821493223092+0.*I,-0.08862041833099522+0.*I,-0.03163784835514856+0.*I,0.031090736409073047+0.*I,0.0870301636792983+0.*I,0.12587841879127162+0.*I,0.14129861343730363+0.*I,0.13165984381205412+0.*I,0.09979953828072244+0.*I,0.052012110048704666+0.*I,-0.003419264310684889+0.*I,-0.05780494592248389+0.*I,-0.10344855111457177+0.*I,-0.1346599649325153+0.*I,-0.1482875419520341+0.*I,-0.14377762518188586+0.*I,-0.12284669251344378+0.*I,-0.08889560078993879+0.*I,-0.04630695240493406+0.*I,0.0002480667541361835+0.*I,0.04639851012955567+0.*I,0.0885017521236198+0.*I,0.12389160193244862+0.*I,0.15095742898246786+0.*I,0.16908567204529168+0.*I,0.17850531183133359+0.*I,0.1800803113151774+0.*I,0.17508705090510732+0.*I,0.16500605967352522+0.*I,0.1513472702309675+0.*I,0.13551844670533394+0.*I,0.11873852906788639+0.*I,0.10199195077674354+0.*I,0.08601656783834681+0.*I,0.07131639644217218+0.*I,0.05819042627817391+0.*I,0.04676984329802445+0.*I,0.037057588444290766+0.*I,0.028965922040954665+0.*I,0.022349294645915965+0.*I,0.01703118992597323+0.*I,0.01282463860709713+0.*I,0.009546804748341232+0.*I,0.007028457053247185+0.*I,0.005119319223586421+0.*I,0.0036903096504702507+0.*I,0.0026335918225011317+0.*I,0.0018612117759151492+0.*I,0.001302934235591367+0.*I,0.0009037293012211707+0.*I,0.0006212209628583477+0.*I,0.0004232939524915999+0.*I,0.0002859676248363325+0.*I,0.00019158254960884976+0.*I,0.0001273034064757029+0.*I,0.0000839161442940796+0.*I,0.00005488389583836196+0.*I,0.00003562108522643484+0.*I,0.000022945511381268712+0.*I
