0.0018674427317079893+0.*I,0.006619912122322684+0.*I,0.01659365890138655+0.*I,0.03396146867268568+0.*I,0.060195135931308784+0.*I,0.09542921016786426+0.*I,0.13810539239794223+0.*I,0.1850403955676803+0.*I,0.23191374373942622+0.*I,0.274037605445907+0.*I,0.30719567429740585+0.*I,0.32833991802347207+0.*I,0.3359990073983793+0.*I,0.33034767172298807+0.*I,0.31297681340510025+0.*I,0.2864649333993279+0.*I,0.2538729371765154+0.*I,0.21827142256235516+0.*I,0.18237510644624433+0.*I,0.14831794171735313+0.*I,0.11756650942662424+0.*I,0.09094501705672191+0.*I,0.06873413955479445+0.*I,0.0508058257469476+0.*I,0.03676315924936008+0.*I,0.02606440127319242+0.*I,0.01812032618626528+0.*I,0.012362009162071554+0.*I,0.008281613866205169+0.*I,0.005451561433893677+0.*I,0.003528297647979084+0.*I,0.002246411430430111+0.*I,0.0014077296019925896+0.*I,0.0008686947667249002+0.*I,0.0005281200779255873+0.*I,0.00031644889865541597+0.*I,0.0001869636896788672+0.*I,0.00010895855628102744+0.*I,0.00006265770357941509+0.*I,0.00003556698914129754+0.*I,0.000019935266173069247+0.*I,0.000011036593383810233+0.*I,6.0369187271506326*^-6+0.*I,3.263518157550939*^-6+0.*I,1.7440728727205095*^-6+0.*I,9.216442167289782*^-7+0.*I,4.817140555444709*^-7+0.*I,2.490837075529337*^-7+0.*I,1.2744700522662616*^-7+0.*I,6.454112434294483*^-8+0.*I,3.235612143090047*^-8+0.*I,1.6061137517348962*^-8+0.*I,7.895498598583778*^-9+0.*I,3.844559246690738*^-9+0.*I,1.8546185960859823*^-9+0.*I,8.864988924752761*^-10+0.*I,4.1994181010411727*^-10+0.*I,1.971771658986297*^-10+0.*I,9.177989473939672*^-11+0.*I,4.235712567013541*^-11+0.*I,1.9384552887591735*^-11+0.*I,8.798239964000977*^-12+0.*I,3.9610004345700564*^-12+0.*I,1.7690477166999582*^-12+0.*I,7.838888594751078*^-13+0.*I,3.4466941421014215*^-13+0.*I,1.5039580072824213*^-13+0.*I,6.513332377727341*^-14+0.*I,2.7999721819886518*^-14+0.*I,1.1949069942961593*^-14+0.*I,5.062791184820481*^-15+0.*I,2.129932169122335*^-15+0.*I,8.898246996946961*^-16+0.*I,3.6918832496276625*^-16+0.*I,1.521377646103783*^-16+0.*I,6.227465512523037*^-17+0.*I,2.5322668343594936*^-17+0.*I,1.0229844598639348*^-17+0.*I,4.1060730079669144*^-18+0.*I,1.6376385514006695*^-18+0.*I,6.490497574378072*^-19+0.*I,2.55646831555549*^-19+0.*I,1.0007795453206092*^-19+0.*I,3.8940749495650136*^-20+0.*I,1.5061547477913702*^-20+0.*I,5.791153337670041*^-21+0.*I,2.213710223150376*^-21+0.*I,8.413294211544577*^-22+0.*I,3.179286546788948*^-22+0.*I,1.1946470115018533*^-22+0.*I,4.4639906707759805*^-23+0.*I,1.6588515165474782*^-23+0.*I,6.130819534198416*^-24+0.*I,2.253626756487415*^-24+0.*I,8.239920004059004*^-25+0.*I,2.9968577207389184*^-25+0.*I,1.0842650032296507*^-25+0.*I,3.9026041781738284*^-26+0.*I,1.3974825682433568*^-26+0.*I,4.978903787688508*^-27+0.*I
-0.006619912122322684+0.*I,-0.021599534736025907+0.*I,-0.049461019735643576+0.*I,-0.09164921156194851+0.*I,-0.14546326362908713+0.*I,-0.20368732624455904+0.*I,-0.2558179977050167+0.*I,-0.2905586003920841+0.*I,-0.29873954234033023+0.*I,-0.2756967869127708+0.*I,-0.22239731403227928+0.*I,-0.1450819153486897+0.*I,-0.05368262878807008+0.*I,0.040409643913700194+0.*I,0.12657388977787726+0.*I,0.1966622373609573+0.*I,0.2459036033188937+0.*I,0.27299288853802467+0.*I,0.27954429873856057+0.*I,0.2691812449060468+0.*I,0.2465355751842254+0.*I,0.2163657372335339+0.*I,0.18291376059511613+0.*I,0.149535390217434+0.*I,0.11857469171559372+0.*I,0.09141989943036742+0.*I,0.06866800684510074+0.*I,0.05033379532451043+0.*I,0.0360560471181509+0.*I,0.025272573424659814+0.*I,0.017351942203084912+0.*I,0.011681408724706865+0.*I,0.00771735053816586+0.*I,0.00500734811894647+0.*I,0.0031931804643573207+0.*I,0.0020026183779913395+0.*I,0.0012359243684308726+0.*I,0.0007510077007660915+0.*I,0.00044954987408558894+0.*I,0.0002652155397004715+0.*I,0.00015427671180738605+0.*I,0.00008852428112442969+0.*I,0.00005012498022315457+0.*I,0.00002801785277779544+0.*I,0.00001546515309119008+0.*I,8.432452821137056*^-6+0.*I,4.543263339324701*^-6+0.*I,2.419486427671247*^-6+0.*I,1.2739146768766375*^-6+0.*I,6.633367078195263*^-7+0.*I,3.4167520282187717*^-7+0.*I,1.7413367533892065*^-7+0.*I,8.782969593040093*^-8+0.*I,4.3851489744687955*^-8+0.*I,2.1677173575686063*^-8+0.*I,1.0611662874849707*^-8+0.*I,5.1452953018435645*^-9+0.*I,2.471516284718706*^-9+0.*I,1.1763053014081443*^-9+0.*I,5.548226472027126*^-10+0.*I,2.593804337999079*^-10+0.*I,1.2020924929714095*^-10+0.*I,5.523602980660519*^-11+0.*I,2.5168355402872442*^-11+0.*I,1.137356807828241*^-11+0.*I,5.09809277009602*^-12+0.*I,2.26696832562496*^-12+0.*I,1.0001510632662576*^-12+0.*I,4.3784671783462123*^-13+0.*I,1.9022480735385346*^-13+0.*I,8.202596429162804*^-14+0.*I,3.5109423842957683*^-14+0.*I,1.4918727331835876*^-14+0.*I,6.29392703028822*^-15+0.*I,2.6365637226207443*^-15+0.*I,1.0967937856945904*^-15+0.*I,4.531313348278335*^-16+0.*I,1.859416580027404*^-16+0.*I,7.579189136473962*^-17+0.*I,3.069029767285865*^-17+0.*I,1.2346663010024472*^-17+0.*I,4.935203394815605*^-18+0.*I,1.960213407277747*^-18+0.*I,7.737121946995923*^-19+0.*I,3.0350606870860466*^-19+0.*I,1.1833150249917835*^-19+0.*I,4.5857548282845134*^-20+0.*I,1.7665679220210312*^-20+0.*I,6.76534181577446*^-21+0.*I,2.575841590378975*^-21+0.*I,9.750973177813127*^-22+0.*I,3.670328143895604*^-22+0.*I,1.3737825852587577*^-22+0.*I,5.1134583620404623*^-23+0.*I,1.8928746478647763*^-23+0.*I,6.968922168176026*^-24+0.*I,2.5519469629369165*^-24+0.*I,9.295334675439953*^-25+0.*I,3.3679863582118416*^-25+0.*I,1.2139800551421302*^-25+0.*I
0.01659365890138655+0.*I,0.049461019735643576+0.*I,0.10238085582542023+0.*I,0.16915337479379092+0.*I,0.23501077156106445+0.*I,0.28057079667387774+0.*I,0.28844382829344967+0.*I,0.24973075278866025+0.*I,0.16771178279642823+0.*I,0.05734709270823022+0.*I,-0.05900936115992834+0.*I,-0.15790150218905485+0.*I,-0.22081426833325613+0.*I,-0.23815634186751503+0.*I,-0.21035982258292957+0.*I,-0.1463222516085893+0.*I,-0.06014411834777922+0.*I,0.032634347678192066+0.*I,0.11826502238410715+0.*I,0.18687607531519335+0.*I,0.23325279384350636+0.*I,0.25651809323994024+0.*I,0.259107163765461+0.*I,0.24546110422822479+0.*I,0.22078311186250726+0.*I,0.19006913816992216+0.*I,0.15749396747346622+0.*I,0.12613425310675072+0.*I,0.0979527099025377+0.*I,0.07394838985414849+0.*I,0.05438538704349596+0.*I,0.03903371537137267+0.*I,0.02738110583462195+0.*I,0.018796465701177274+0.*I,0.012641708760696905+0.*I,0.008338212410617602+0.*I,0.005398387244024606+0.*I,0.003433414574147395+0.*I,0.0021467122482204913+0.*I,0.0013203617220211325+0.*I,0.0007993655829856005+0.*I,0.0004766200555727804+0.*I,0.000280024526401572+0.*I,0.00016218962987463154+0.*I,0.00009264998821550952+0.*I,0.00005222063753107756+0.*I,0.000029052350713010447+0.*I,0.00001595953308729567+0.*I,8.65978382624142*^-6+0.*I,4.642817399286658*^-6+0.*I,2.46023081496407*^-6+0.*I,1.288886804937754*^-6+0.*I,6.677546093553905*^-7+0.*I,3.422116482686579*^-7+0.*I,1.7352240847725416*^-7+0.*I,8.707656304454776*^-8+0.*I,4.325429924249141*^-8+0.*I,2.1273187683309864*^-8+0.*I,1.03609623886189*^-8+0.*I,4.998239005032024*^-9+0.*I,2.3887184636276334*^-9+0.*I,1.1311553628969406*^-9+0.*I,5.308405802275777*^-10+0.*I,2.469237371341224*^-10+0.*I,1.1386441088500955*^-10+0.*I,5.206029060853517*^-11+0.*I,2.3603866392974455*^-11+0.*I,1.0614020866527244*^-11+0.*I,4.734313774605268*^-12+0.*I,2.0949442777438215*^-12+0.*I,9.197765356829013*^-13+0.*I,4.0071981241113415*^-13+0.*I,1.7326083930625604*^-13+0.*I,7.435529865646166*^-14+0.*I,3.1675578333281324*^-14+0.*I,1.3396335172222719*^-14+0.*I,5.6252591549043155*^-15+0.*I,2.3455193746113724*^-15+0.*I,9.712231841633979*^-16+0.*I,3.994154830240945*^-16+0.*I,1.6315399083132398*^-16+0.*I,6.620296188422371*^-17+0.*I,2.6687194123010246*^-17+0.*I,1.0688382668748305*^-17+0.*I,4.253451215696934*^-18+0.*I,1.6820044031747365*^-18+0.*I,6.610037259956175*^-19+0.*I,2.581700124140386*^-19+0.*I,1.0022266219746956*^-19+0.*I,3.8673781531110084*^-20+0.*I,1.4835064178808312*^-20+0.*I,5.657376176133132*^-21+0.*I,2.1449814346846272*^-21+0.*I,8.086194323813261*^-22+0.*I,3.0311371231012257*^-22+0.*I,1.1298888478836404*^-22+0.*I,4.188532666443924*^-23+0.*I,1.5442259209321454*^-23+0.*I,5.6625052894013786*^-24+0.*I,2.065288770908382*^-24+0.*I
-0.03396146867268568+0.*I,-0.09164921156194851+0.*I,-0.16915337479379092+0.*I,-0.243817476506117+0.*I,-0.285664105444039+0.*I,-0.270833577933953+0.*I,-0.1935575206080144+0.*I,-0.07050707261590981+0.*I,0.06456071846308599+0.*I,0.17311570564853868+0.*I,0.2254726981997553+0.*I,0.21017532485806245+0.*I,0.13612727218405737+0.*I,0.027761936013394786+0.*I,-0.08394284965225411+0.*I,-0.1709079269543547+0.*I,-0.2148226001562506+0.*I,-0.2099628380105025+0.*I,-0.16211001214294027+0.*I,-0.0848434450646478+0.*I,0.005124324380503688+0.*I,0.09212525335305648+0.*I,0.16435171851883615+0.*I,0.2150614424248387+0.*I,0.24240233520438206+0.*I,0.24834029444040398+0.*I,0.23721282561648518+0.*I,0.21432880243835598+0.*I,0.18487126007426677+0.*I,0.1532006268179618+0.*I,0.12253730307396278+0.*I,0.09493607281648762+0.*I,0.07144394677917043+0.*I,0.052343003664422676+0.*I,0.037405136306460196+0.*I,0.026114224843521765+0.*I,0.017835787385686058+0.*I,0.011931503275931213+0.*I,0.007826036070852417+0.*I,0.0050377582560366535+0.*I,0.0031852550271508147+0.*I,0.0019796549952018913+0.*I,0.0012102357981249136+0.*I,0.0007282097866684416+0.*I,0.0004315165780920367+0.*I,0.00025195431520189305+0.*I,0.0001450244373715852+0.*I,0.00008232888402379101+0.*I,0.0000461145562003116+0.*I,0.000025495861572813428+0.*I,0.000013918982860615367+0.*I,7.50588693147103*^-6+0.*I,3.9994014257833595*^-6+0.*I,2.1062997757580388*^-6+0.*I,1.096740832506795*^-6+0.*I,5.647630196341387*^-7+0.*I,2.8768719137015253*^-7+0.*I,1.4500227703271137*^-7+0.*I,7.233224032313702*^-8+0.*I,3.571821679848554*^-8+0.*I,1.7463925562894692*^-8+0.*I,8.456245154297757*^-9+0.*I,4.055854102085455*^-9+0.*I,1.9272498307765342*^-9+0.*I,9.07450903343098*^-10+0.*I,4.2346061707387596*^-10+0.*I,1.9587547374979543*^-10+0.*I,8.982429857705751*^-11+0.*I,4.0843347446204524*^-11+0.*I,1.8417346379355662*^-11+0.*I,8.237078475072998*^-12+0.*I,3.654430961593619*^-12+0.*I,1.6085132518555085*^-12+0.*I,7.024958989393593*^-13+0.*I,3.0446073548974115*^-13+0.*I,1.309602365257293*^-13+0.*I,5.591378586178188*^-14+0.*I,2.369838048569924*^-14+0.*I,9.972091813191068*^-15+0.*I,4.166465227185239*^-15+0.*I,1.7286530126413884*^-15+0.*I,7.122784866498878*^-16+0.*I,2.9149819101977453*^-16+0.*I,1.1849685848255207*^-16+0.*I,4.785226445806032*^-17+0.*I,1.919824295652365*^-17+0.*I,7.652818200052553*^-18+0.*I,3.031229464827978*^-18+0.*I,1.1931343432483407*^-18+0.*I,4.667321042979675*^-19+0.*I,1.8146279050960848*^-19+0.*I,7.012647426242687*^-20+0.*I,2.6939097050456605*^-20+0.*I,1.0287787467528639*^-20+0.*I,3.905974412808396*^-21+0.*I,1.474467052532721*^-21+0.*I,5.534369061668913*^-22+0.*I,2.0656509678116088*^-22+0.*I,7.667067713040822*^-23+0.*I,2.830168605353472*^-23+0.*I
0.060195135931308784+0.*I,0.14546326362908713+0.*I,0.23501077156106445+0.*I,0.285664105444039+0.*I,0.2625089672536492+0.*I,0.16065783891128463+0.*I,0.01136973719815583+0.*I,-0.13108199958338876+0.*I,-0.21414295239376788+0.*I,-0.20999852143434944+0.*I,-0.12591998789988423+0.*I,0.001378106288824188+0.*I,0.12275503335556216+0.*I,0.19620017952879723+0.*I,0.20072265359995273+0.*I,0.1403717839123381+0.*I,0.038947290999772906+0.*I,-0.0707186948282583+0.*I,-0.15806592437010425+0.*I,-0.2029294894046885+0.*I,-0.19879833909133404+0.*I,-0.15154645789168872+0.*I,-0.07525296628919804+0.*I,0.012915094484424966+0.*I,0.09714384478630173+0.*I,0.16583412679505177+0.*I,0.21269721743338088+0.*I,0.23640908802025912+0.*I,0.2393849332097955+0.*I,0.22624006083664427+0.*I,0.20236548094762108+0.*I,0.1728596067328258+0.*I,0.14188866487840268+0.*I,0.11243155558147014+0.*I,0.08630589030944973+0.*I,0.0643596269560541+0.*I,0.04672956449487412+0.*I,0.03309739067549236+0.*I,0.022904075164202564+0.*I,0.01550759577809026+0.*I,0.010285072851403856+0.*I,0.006688944713667215+0.*I,0.004269728247215471+0.*I,0.0026773051824093+0.*I,0.0016503554104751572+0.*I,0.0010007732068159818+0.*I,0.0005973695306911221+0.*I,0.0003511945780898182+0.*I,0.00020345969739926585+0.*I,0.00011621070867420222+0.*I,0.00006547072827966492+0.*I,0.00003639687175245246+0.*I,0.000019974105740806843+0.*I,0.000010824721786820415+0.*I,5.795117031896667*^-6+0.*I,3.0658074623868896*^-6+0.*I,1.6032374539906302*^-6+0.*I,8.289854876796676*^-7+0.*I,4.239466629520043*^-7+0.*I,2.1448834918398686*^-7+0.*I,1.073820567008794*^-7+0.*I,5.3210505195892426*^-8+0.*I,2.610345624280528*^-8+0.*I,1.2680210577902058*^-8+0.*I,6.100584474967942*^-9+0.*I,2.907487136899879*^-9+0.*I,1.3729249202337212*^-9+0.*I,6.424455020820493*^-10+0.*I,2.979621223153284*^-10+0.*I,1.3699126575549842*^-10+0.*I,6.2445446088842*^-11+0.*I,2.822611823144134*^-11+0.*I,1.2653421978441708*^-11+0.*I,5.626430062802706*^-12+0.*I,2.481906507651663*^-12+0.*I,1.086232681399525*^-12+0.*I,4.717378315684139*^-13+0.*I,2.0331645409860073*^-13+0.*I,8.69741421486012*^-14+0.*I,3.693207805489308*^-14+0.*I,1.5569041258614482*^-14+0.*I,6.5164578103067704*^-15+0.*I,2.7083109199070855*^-15+0.*I,1.1178072407256598*^-15+0.*I,4.58204893197517*^-16+0.*I,1.86560040117703*^-16+0.*I,7.545432339235633*^-17+0.*I,3.0317653750220224*^-17+0.*I,1.2102950892132365*^-17+0.*I,4.800742325502614*^-18+0.*I,1.8922703382224637*^-18+0.*I,7.412264079712434*^-19+0.*I,2.8856644957952435*^-19+0.*I,1.116609933714338*^-19+0.*I,4.294874069419871*^-20+0.*I,1.642193985356955*^-20+0.*I,6.242442466932536*^-21+0.*I,2.3592335942993994*^-21+0.*I,8.865498279015664*^-22+0.*I,3.312683702633714*^-22+0.*I
-0.09542921016786426+0.*I,-0.20368732624455904+0.*I,-0.28057079667387774+0.*I,-0.270833577933953+0.*I,-0.16065783891128463+0.*I,0.007813127841055837+0.*I,0.15796704890186047+0.*I,0.22126120134488275+0.*I,0.1736803719517654+0.*I,0.04561422991008379+0.*I,-0.09735790694762186+0.*I,-0.18895427926104486+0.*I,-0.1924723967642864+0.*I,-0.11310566716596683+0.*I,0.01009386591686456+0.*I,0.12512610506779717+0.*I,0.18936033612583744+0.*I,0.18392778963826775+0.*I,0.11640750786394448+0.*I,0.013583182387233153+0.*I,-0.09069782519360726+0.*I,-0.16716407323763458+0.*I,-0.19858567768337623+0.*I,-0.18187433027626637+0.*I,-0.1257095864086596+0.*I,-0.045681728102735644+0.*I,0.040964516837562255+0.*I,0.11947703176134927+0.*I,0.17994167430067917+0.*I,0.21784989922636178+0.*I,0.2333564545328518+0.*I,0.22984630477225537+0.*I,0.21236357067998435+0.*I,0.18627735878853238+0.*I,0.15636223062390692+0.*I,0.12631261588735374+0.*I,0.0986131776292072+0.*I,0.07464784189513189+0.*I,0.05493267079771128+0.*I,0.039382929647671934+0.*I,0.02755686054241568+0.*I,0.018847775671490624+0.*I,0.012617471369817333+0.*I,0.008276886446030063+0.*I,0.005325811197675664+0.*I,0.0033645095237108615+0.*I,0.002088467042913341+0.*I,0.0012747406765800677+0.*I,0.0007655856527101056+0.*I,0.00045269717010776333+0.*I,0.00026369775807879095+0.*I,0.00015139565191359935+0.*I,0.00008571081710889+0.*I,0.00004787021064574596+0.*I,0.00002638648759801942+0.*I,0.000014359909449046227+0.*I,7.71849230493778*^-6+0.*I,4.098936342864371*^-6+0.*I,2.151327079485899*^-6+0.*I,1.1162695998521272*^-6+0.*I,5.727733421982007*^-7+0.*I,2.907131403880232*^-7+0.*I,1.45990907744497*^-7+0.*I,7.255574795913416*^-8+0.*I,3.5694655321524226*^-8+0.*I,1.7386640879951437*^-8+0.*I,8.386885025912075*^-9+0.*I,4.007241677465451*^-9+0.*I,1.896853381923317*^-9+0.*I,8.89703668417604*^-10+0.*I,4.1357768499954103*^-10+0.*I,1.9056473317192212*^-10+0.*I,8.705072664575511*^-11+0.*I,3.9428903950468206*^-11+0.*I,1.7710665506076167*^-11+0.*I,7.890344315881638*^-12+0.*I,3.4870540524171547*^-12+0.*I,1.5289090683110376*^-12+0.*I,6.651528537565419*^-13+0.*I,2.8716581213836797*^-13+0.*I,1.2304622973243928*^-13+0.*I,5.233344022845665*^-14+0.*I,2.2096073762979255*^-14+0.*I,9.262403227050111*^-15+0.*I,3.855239920176937*^-15+0.*I,1.5934677729718347*^-15+0.*I,6.540981943057145*^-16+0.*I,2.6668142346083773*^-16+0.*I,1.0800251177501168*^-16+0.*I,4.3451640510114165*^-17+0.*I,1.7367950044182193*^-17+0.*I,6.8976120162191964*^-18+0.*I,2.7220337566515083*^-18+0.*I,1.0675016008946977*^-18+0.*I,4.160625636354294*^-19+0.*I,1.6117501143782324*^-19+0.*I,6.206099811317292*^-20+0.*I,2.375494098945078*^-20+0.*I,9.039297513076206*^-21+0.*I,3.419727705571857*^-21+0.*I
0.13810539239794223+0.*I,0.2558179977050167+0.*I,0.28844382829344967+0.*I,0.1935575206080144+0.*I,0.01136973719815583+0.*I,-0.15796704890186047+0.*I,-0.22079718168745122+0.*I,-0.1495858519521746+0.*I,0.004139758242488371+0.*I,0.14670111683201625+0.*I,0.19978432481420952+0.*I,0.14163187788198167+0.*I,0.011324831133545864+0.*I,-0.11962489161397213+0.*I,-0.18737962852041373+0.*I,-0.1651230098632773+0.*I,-0.06971267962314284+0.*I,0.05256018297803971+0.*I,0.15010703911661855+0.*I,0.18749106279862268+0.*I,0.15605750484558284+0.*I,0.07224017242364947+0.*I,-0.032701139303366336+0.*I,-0.12559992947948587+0.*I,-0.1818214316819194+0.*I,-0.19049290720021453+0.*I,-0.154378051740388+0.*I,-0.0860085972152085+0.*I,-0.0023121551223246684+0.*I,0.0803260298412321+0.*I,0.1494131370431447+0.*I,0.197792138869667+0.*I,0.22347421139698861+0.*I,0.22845565833452597+0.*I,0.21714099605879594+0.*I,0.19485073082901067+0.*I,0.16668821890324254+0.*I,0.13685333168126415+0.*I,0.108360916741919+0.*I,0.08305630556317768+0.*I,0.061805929379836366+0.*I,0.04475886328156394+0.*I,0.03160649096839194+0.*I,0.021799435775346158+0.*I,0.014706387124429217+0.*I,0.009716208025241969+0.*I,0.006293470287512549+0.*I,0.00400041301547988+0.*I,0.0024975536291107305+0.*I,0.0015326987570079993+0.*I,0.0009252001079754768+0.*I,0.0005497043037492969+0.*I,0.0003216558217224869+0.*I,0.00018546258059899155+0.*I,0.00010542404087861011+0.*I,0.000059107361534186115+0.*I,0.00003270002658500829+0.*I,0.000017858000063081357+0.*I,9.630705047430085*^-6+0.*I,5.1306947432957695*^-6+0.*I,2.7010354003531447*^-6+0.*I,1.4055790884759301*^-6+0.*I,7.232335911818382*^-7+0.*I,3.6806174821134755*^-7+0.*I,1.8530868579778638*^-7+0.*I,9.232350326884667*^-8+0.*I,4.552744311028104*^-8+0.*I,2.222679677233382*^-8+0.*I,1.0745254729845232*^-8+0.*I,5.144961401601378*^-9+0.*I,2.4403858987437108*^-9+0.*I,1.146905446169759*^-9+0.*I,5.341555699469958*^-10+0.*I,2.4657784789075435*^-10+0.*I,1.1283884040035813*^-10+0.*I,5.119773230162827*^-11+0.*I,2.3035467857962972*^-11+0.*I,1.0279256595962846*^-11+0.*I,4.5499491624149296*^-12+0.*I,1.9979800269396258*^-12+0.*I,8.70508474610356*^-13+0.*I,3.763636304173209*^-13+0.*I,1.6149114972848237*^-13+0.*I,6.877777232462994*^-14+0.*I,2.9077426568043867*^-14+0.*I,1.2204525348466578*^-14+0.*I,5.086159075121208*^-15+0.*I,2.1047896932264578*^-15+0.*I,8.650105897941416*^-16+0.*I,3.530782709940516*^-16+0.*I,1.4315253917891374*^-16+0.*I,5.765620632201283*^-17+0.*I,2.3070197384528278*^-17+0.*I,9.171766621299465*^-18+0.*I,3.623166276452148*^-18+0.*I,1.4223067123296122*^-18+0.*I,5.548852135636301*^-19+0.*I,2.1515537010813837*^-19+0.*I,8.292275698232586*^-20+0.*I,3.176876155758249*^-20+0.*I
-0.1850403955676803+0.*I,-0.2905586003920841+0.*I,-0.24973075278866025+0.*I,-0.07050707261590981+0.*I,0.13108199958338876+0.*I,0.22126120134488275+0.*I,0.1495858519521746+0.*I,-0.02037470189895581+0.*I,-0.16546065391198211+0.*I,-0.19186332520057345+0.*I,-0.0923394901983695+0.*I,0.06067755083633669+0.*I,0.17026609187909106+0.*I,0.1757124552880173+0.*I,0.08188529588893227+0.*I,-0.05305576177190338+0.*I,-0.15623804959084228+0.*I,-0.17906208228916431+0.*I,-0.11683699331177923+0.*I,-0.003907055915987517+0.*I,0.10782422034045769+0.*I,0.17350859213270184+0.*I,0.171882732099928+0.*I,0.10900911262267421+0.*I,0.011047416094145451+0.*I,-0.08837844417096656+0.*I,-0.16028381225263116+0.*I,-0.18795392703530225+0.*I,-0.16891925530566537+0.*I,-0.11233092732131263+0.*I,-0.03390038772432554+0.*I,0.0494159306598209+0.*I,0.12347564443321554+0.*I,0.17912015483897725+0.*I,0.2125555649143042+0.*I,0.22447143764517616+0.*I,0.21854285078295466+0.*I,0.19986474937381862+0.*I,0.17367132878801103+0.*I,0.14449081789519916+0.*I,0.11573192192342904+0.*I,0.08960970907071879+0.*I,0.06728844577255329+0.*I,0.04912806172499871+0.*I,0.03494973728129227+0.*I,0.0242692436780987+0.*I,0.016475001840221822+0.*I,0.010947651617497616+0.*I,0.007129195099283124+0.*I,0.004554320629119399+0.*I,0.0028566811347230403+0.*I,0.001760785041899095+0.*I,0.0010672710981781586+0.*I,0.0006365836393087688+0.*I,0.00037386264080781516+0.*I,0.0002163149155167215+0.*I,0.0001233677611114016+0.*I,0.00006938476190694686+0.*I,0.00003850041222031478+0.*I,0.00002108550776469139+0.*I,0.00001140215607974203+0.*I,6.090184159256578*^-6+0.*I,3.2141133019774427*^-6+0.*I,1.6765535451873697*^-6+0.*I,8.646284284645203*^-7+0.*I,4.4098176772135467*^-7+0.*I,2.2248844780667612*^-7+0.*I,1.1107099838341089*^-7+0.*I,5.4878901416764975*^-8+0.*I,2.684242307922449*^-8+0.*I,1.3000047478430411*^-8+0.*I,6.23542472370462*^-9+0.*I,2.9625925890112275*^-9+0.*I,1.3945874136752208*^-9+0.*I,6.505296131224295*^-10+0.*I,3.007545661316898*^-10+0.*I,1.3783339104204797*^-10+0.*I,6.262735032263795*^-11+0.*I,2.8216856965455024*^-11+0.*I,1.2608206152777103*^-11+0.*I,5.588055224135117*^-12+0.*I,2.4569209933528725*^-12+0.*I,1.0717735990947953*^-12+0.*I,4.639300501376965*^-13+0.*I,1.992938263022249*^-13+0.*I,8.497272971304339*^-14+0.*I,3.59633753649982*^-14+0.*I,1.511073556178796*^-14+0.*I,6.303802902709851*^-15+0.*I,2.6113050278251877*^-15+0.*I,1.0742249414792312*^-15+0.*I,4.388931999568803*^-16+0.*I,1.7811091360930844*^-16+0.*I,7.18011022555518*^-17+0.*I,2.875545643972257*^-17+0.*I,1.1441857905598063*^-17+0.*I,4.5237380756596255*^-18+0.*I,1.7772946446100247*^-18+0.*I,6.939336926377555*^-19+0.*I,2.6928218233309913*^-19+0.*I
