0.10803556545577671+0.*I,0.2279163721256116+0.*I,0.3399924707550811+0.*I,0.41411164784448273+0.*I,0.4368136735041575+0.*I,0.4121164939104087+0.*I,0.35493852910710627+0.*I,0.28301724510920645+0.*I,0.2110943841672413+0.*I,0.14844453001044933+0.*I,0.09903141239637929+0.*I,0.06299200102033993+0.*I,0.03836220444179416+0.*I,0.022446087591153942+0.*I,0.012655677796491393+0.*I,0.0068936392709355076+0.*I,0.0036357778263710083+0.*I,0.0018602942769425387+0.*I,0.0009250264934904163+0.*I,0.0004476990213029882+0.*I,0.00021119319538053804+0.*I,0.00009722524535986698+0.*I,0.0000437296983350072+0.*I,0.00001923629096067507+0.*I,8.283702448151286*^-6+0.*I,3.495129408145729*^-6+0.*I,1.4460568274170267*^-6+0.*I,5.871002322968138*^-7+0.*I,2.3406798180746262*^-7+0.*I,9.169629443318244*^-8+0.*I,3.5318311471234514*^-8+0.*I,1.338221057356113*^-8+0.*I,4.990702066109403*^-9+0.*I,1.8327931300303868*^-9+0.*I,6.631057041178844*^-10+0.*I,2.364599076424166*^-10+0.*I,8.314096084262394*^-11+0.*I,2.8835198885789853*^-11+0.*I,9.868245084163124*^-12+0.*I,3.3336223367997894*^-12+0.*I,1.1119753903567939*^-12+0.*I,3.6636334992447396*^-13+0.*I,1.1926036941084923*^-13+0.*I,3.836813561509098*^-14+0.*I,1.220262126597066*^-14+0.*I,3.837564158882769*^-15+0.*I,1.1936733764848803*^-15+0.*I,3.6732065711972546*^-16+0.*I,1.118493611559605*^-16+0.*I,3.370887370242721*^-17+0.*I,1.0056989894646931*^-17+0.*I,2.970925077880801*^-18+0.*I,8.691581400913432*^-19+0.*I,2.518660557457443*^-19+0.*I,7.230719847370488*^-20+0.*I,2.0568800432441514*^-20+0.*I,5.7986076610496725*^-21+0.*I,1.620298653775517*^-21+0.*I,4.48838237591291*^-22+0.*I,1.2327432028806336*^-22+0.*I,3.3574207130623417*^-23+0.*I,9.068795775345751*^-24+0.*I,2.4297553730675782*^-24+0.*I,6.458044755944831*^-25+0.*I,1.7030203498151183*^-25+0.*I,4.4562744823752837*^-26+0.*I,1.1572008378504529*^-26+0.*I,2.9824976632704215*^-27+0.*I,7.630173788031514*^-28+0.*I,1.9378433117977453*^-28+0.*I,4.886280703520691*^-29+0.*I,1.2233705231125654*^-29+0.*I,3.041589062710697*^-30+0.*I,7.510137385803695*^-31+0.*I,1.8417929062765*^-31+0.*I,4.4866163871956306*^-32+0.*I,1.0857276951766745*^-32+0.*I,2.61026336169317*^-33+0.*I,6.235134126788695*^-34+0.*I,1.4799295046386915*^-34+0.*I,3.4906379749605313*^-35+0.*I,8.182218516041289*^-36+0.*I,1.906219559577579*^-36+0.*I,4.414104894747658*^-37+0.*I,1.0160422798252054*^-37+0.*I,2.3249364773573273*^-38+0.*I,5.288964351951244*^-39+0.*I,1.1962440414599861*^-39+0.*I,2.690216459442786*^-40+0.*I,6.01590536972567*^-41+0.*I,1.3377917564335596*^-41+0.*I,2.958534195460566*^-42+0.*I,6.507159524060398*^-43+0.*I,1.4235042017798136*^-43+0.*I,3.0974449791401993*^-44+0.*I,6.704255731952429*^-45+0.*I,1.4435230714002845*^-45+0.*I,3.092050913375874*^-46+0.*I,6.589346910351895*^-47+0.*I,1.3971194837953725*^-47+0.*I
-0.2279163721256116+0.*I,-0.37278639779079703+0.*I,-0.3949399895258017+0.*I,-0.2847431134696389+0.*I,-0.09329719934358618+0.*I,0.10732678109028933+0.*I,0.26068187736374043+0.*I,0.3420139966722468+0.*I,0.35516006280647244+0.*I,0.3201183294257308+0.*I,0.2605019888480862+0.*I,0.19555946301067656+0.*I,0.13728017273185708+0.*I,0.09096368484284853+0.*I,0.05728661934852137+0.*I,0.0344721180352941+0.*I,0.01990436728517589+0.*I,0.011066140971460527+0.*I,0.0059410853983898155+0.*I,0.0030876123227099477+0.*I,0.0015566288438649634+0.*I,0.0007626983378480693+0.*I,0.0003637728125078009+0.*I,0.0001691385774219537+0.*I,0.00007676254775400424+0.*I,0.00003404504025999296+0.*I,0.00001477107076024633+0.*I,6.275360347663749*^-6+0.*I,2.6128427609250297*^-6+0.*I,1.0670482992486693*^-6+0.*I,4.2773229387953253*^-7+0.*I,1.6841236177424852*^-7+0.*I,6.517261979704675*^-8+0.*I,2.4802863207063457*^-8+0.*I,9.288012895293274*^-9+0.*I,3.4241404851340844*^-9+0.*I,1.2433617785183206*^-9+0.*I,4.448947731649592*^-10+0.*I,1.5693363896922778*^-10+0.*I,5.459442092713877*^-11+0.*I,1.8737808840591995*^-11+0.*I,6.347221043674416*^-12+0.*I,2.1227091816725448*^-12+0.*I,7.010995084011205*^-13+0.*I,2.287622564996197*^-13+0.*I,7.376178523179306*^-14+0.*I,2.3509402904152194*^-14+0.*I,7.40849726960983*^-15+0.*I,2.3089100472868418*^-15+0.*I,7.118318705634229*^-16+0.*I,2.1714108300122525*^-16+0.*I,6.555368505802716*^-17+0.*I,1.959003284451323*^-17+0.*I,5.79621954805552*^-18+0.*I,1.6982876536649026*^-18+0.*I,4.928517295508722*^-19+0.*I,1.4168982157855158*^-19+0.*I,4.0360277617286947*^-20+0.*I,1.1392938889788933*^-20+0.*I,3.1875272299971746*^-21+0.*I,8.840492197161507*^-22+0.*I,2.4309102742131937*^-22+0.*I,6.628185522889137*^-23+0.*I,1.7923169111727186*^-23+0.*I,4.8071594700150924*^-24+0.*I,1.279007460594996*^-24+0.*I,3.3761665484900205*^-25+0.*I,8.842896836314648*^-26+0.*I,2.2984612238005983*^-26+0.*I,5.9292827922813915*^-27+0.*I,1.5182330041092505*^-27+0.*I,3.8591659139456366*^-28+0.*I,9.738976694037974*^-29+0.*I,2.4402978178084534*^-29+0.*I,6.071912082451443*^-30+0.*I,1.5003878992758484*^-30+0.*I,3.682291805638116*^-31+0.*I,8.976549723807863*^-32+0.*I,2.1737831692496498*^-32+0.*I,5.229696281819519*^-33+0.*I,1.2500492230674779*^-33+0.*I,2.968958654766319*^-34+0.*I,7.007169900165288*^-35+0.*I,1.643526855348331*^-35+0.*I,3.831245408997389*^-36+0.*I,8.876968592975018*^-37+0.*I,2.0444791755803955*^-37+0.*I,4.6808528573181163*^-38+0.*I,1.0654224431815433*^-38+0.*I,2.4110310623933082*^-39+0.*I,5.424962772132939*^-40+0.*I,1.2137575182489385*^-40+0.*I,2.7004485376899653*^-41+0.*I,5.974968956914231*^-42+0.*I,1.3147935273287701*^-42+0.*I,2.877580122329387*^-43+0.*I,6.264270561747571*^-44+0.*I,1.3564741400087246*^-44+0.*I,2.921962602619637*^-45+0.*I,6.261575192903072*^-46+0.*I
0.3399924707550811+0.*I,0.3949399895258017+0.*I,0.2163622517185034+0.*I,-0.05893740767687852+0.*I,-0.26351220330111014+0.*I,-0.30761971334381283+0.*I,-0.20297471981717755+0.*I,-0.022505576385419897+0.*I,0.15422073930241748+0.*I,0.2758742449135149+0.*I,0.327204535051624+0.*I,0.3192070130670106+0.*I,0.2742342716299019+0.*I,0.21430277229356784+0.*I,0.15521042075808764+0.*I,0.10546235504721554+0.*I,0.06780968902131129+0.*I,0.04152287457165577+0.*I,0.02433585510177966+0.*I,0.01370573340710035+0.*I,0.007441798532610263+0.*I,0.003906304652651423+0.*I,0.001986928958625668+0.*I,0.0009813024727851653+0.*I,0.0004714032872358628+0.*I,0.00022061016697611275+0.*I,0.00010071650871548215+0.*I,0.000044911159614321025+0.*I,0.0000195825605866612+0.*I,8.357647835024952*^-6+0.*I,3.494593978784731*^-6+0.*I,1.432755897643929*^-6+0.*I,5.764286997512616*^-7+0.*I,2.2773295531233775*^-7+0.*I,8.840950401475094*^-8+0.*I,3.3746610710946204*^-8+0.*I,1.2672622503662371*^-8+0.*I,4.68423291327165*^-9+0.*I,1.7051468246208678*^-9+0.*I,6.115593839557688*^-10+0.*I,2.1620169255599065*^-10+0.*I,7.537062035389628*^-11+0.*I,2.5920086017046167*^-11+0.*I,8.796737839594899*^-12+0.*I,2.9471938712355187*^-12+0.*I,9.75081091925677*^-13+0.*I,3.186791263818772*^-13+0.*I,1.029144908901865*^-13+0.*I,3.2849777585257404*^-14+0.*I,1.0366652019278886*^-14+0.*I,3.2352408355842958*^-15+0.*I,9.98719521568952*^-16+0.*I,3.0503624057220554*^-16+0.*I,9.219940099837367*^-17+0.*I,2.7584632883592657*^-17+0.*I,8.170687865364068*^-18+0.*I,2.3965615328411923*^-18+0.*I,6.962095268617904*^-19+0.*I,2.0035141888765586*^-19+0.*I,5.71245282667065*^-20+0.*I,1.614003213589527*^-20+0.*I,4.5196922499080896*^-21+0.*I,1.2545981187491468*^-21+0.*I,3.4526924208746395*^-22+0.*I,9.421771270238514*^-23+0.*I,2.5497076055978137*^-23+0.*I,6.843701470746881*^-24+0.*I,1.822184442139877*^-24+0.*I,4.813379445714671*^-25+0.*I,1.2615906742748388*^-25+0.*I,3.281329781147374*^-26+0.*I,8.470229059940501*^-27+0.*I,2.1702191230099965*^-27+0.*I,5.5197956325404265*^-28+0.*I,1.3937979379101618*^-28+0.*I,3.4944523964365423*^-29+0.*I,8.699709167641684*^-30+0.*I,2.150894998378345*^-30+0.*I,5.281581096681912*^-31+0.*I,1.2881879508110354*^-31+0.*I,3.1210752262690863*^-32+0.*I,7.512372449994411*^-33+0.*I,1.796532201682303*^-33+0.*I,4.268881602460737*^-34+0.*I,1.0079748334220075*^-34+0.*I,2.365244941793878*^-35+0.*I,5.516033996391084*^-36+0.*I,1.278600369464924*^-36+0.*I,2.945992963205685*^-37+0.*I,6.747590483119479*^-38+0.*I,1.536442346314811*^-38+0.*I,3.478276121198726*^-39+0.*I,7.829266703547955*^-40+0.*I,1.7523292575508528*^-40+0.*I,3.9000990425502264*^-41+0.*I,8.632328269094786*^-42+0.*I,1.9001992222924817*^-42+0.*I,4.160208660852956*^-43+0.*I,9.059437487453215*^-44+0.*I,1.962376356498442*^-44+0.*I
-0.41411164784448273+0.*I,-0.2847431134696389+0.*I,0.05893740767687852+0.*I,0.2881481561491223+0.*I,0.2529034415992224+0.*I,0.03448875975065724+0.*I,-0.18781627330522965+0.*I,-0.28263715969304704+0.*I,-0.2245926840673533+0.*I,-0.06889733836485554+0.*I,0.10513924520621633+0.*I,0.23775407293494338+0.*I,0.30439602312389663+0.*I,0.30984286659511817+0.*I,0.2739002332730368+0.*I,0.2186076493041072+0.*I,0.16096251183712204+0.*I,0.11084438578274218+0.*I,0.07206872525640626+0.*I,0.044550276002694414+0.*I,0.026323922961457684+0.*I,0.014931259753744881+0.*I,0.008158238751370627+0.*I,0.00430632839306986+0.*I,0.002201372192942385+0.*I,0.0010921203594601425+0.*I,0.0005267857964006459+0.*I,0.00024744762562144606+0.*I,0.00011335425305154212+0.*I,0.00005070501995817385+0.*I,0.000022172779161548636+0.*I,9.48844782854878*^-6+0.*I,3.977269622985782*^-6+0.*I,1.6344184276747824*^-6+0.*I,6.589803802165134*^-7+0.*I,2.6087249187644496*^-7+0.*I,1.0146640395291455*^-7+0.*I,3.879938064833402*^-8+0.*I,1.4594434184721237*^-8+0.*I,5.403113506498437*^-9+0.*I,1.9697649503141226*^-9+0.*I,7.074626576489643*^-10+0.*I,2.5044031122663554*^-10+0.*I,8.741741400567253*^-11+0.*I,3.0099251839863436*^-11+0.*I,1.0226781664058907*^-11+0.*I,3.430051135506809*^-12+0.*I,1.1360182232350167*^-12+0.*I,3.7164685538254844*^-13+0.*I,1.201341884065214*^-13+0.*I,3.83811485210983*^-14+0.*I,1.2122796907934381*^-14+0.*I,3.7864660667747715*^-15+0.*I,1.1698211213547555*^-15+0.*I,3.5757078074694445*^-16+0.*I,1.0815842417294736*^-16+0.*I,3.238238853911868*^-17+0.*I,9.598384653927059*^-18+0.*I,2.817182954850813*^-18+0.*I,8.189229415037902*^-19+0.*I,2.358100587784619*^-19+0.*I,6.727443987868423*^-20+0.*I,1.9018691177401282*^-20+0.*I,5.3287520778870294*^-21+0.*I,1.4799729180146924*^-21+0.*I,4.075040855016365*^-22+0.*I,1.112562424961442*^-22+0.*I,3.0122646314786904*^-23+0.*I,8.089062409549923*^-24+0.*I,2.1547536401126447*^-24+0.*I,5.6943951628728765*^-25+0.*I,1.4931467908226244*^-25+0.*I,3.885214628649591*^-26+0.*I,1.0033124282541553*^-26+0.*I,2.57167182975256*^-27+0.*I,6.543364546444347*^-28+0.*I,1.6528731352451775*^-28+0.*I,4.145491533642273*^-29+0.*I,1.032415771940819*^-29+0.*I,2.5533953133141986*^-30+0.*I,6.272026259804558*^-31+0.*I,1.5302573825563513*^-31+0.*I,3.708747207214761*^-32+0.*I,8.929649184521713*^-33+0.*I,2.1361082419371*^-33+0.*I,5.077268363380098*^-34+0.*I,1.1991965489274762*^-34+0.*I,2.8147413824335705*^-35+0.*I,6.566109685035132*^-36+0.*I,1.52241157422954*^-36+0.*I,3.5086684687624164*^-37+0.*I,8.038409745277995*^-38+0.*I,1.8308214384211217*^-38+0.*I,4.1457170885022966*^-39+0.*I,9.333837740185134*^-40+0.*I,2.0895663603298633*^-40+0.*I,4.651737562493484*^-41+0.*I,1.0298275745375293*^-41+0.*I,2.2674131365873564*^-42+0.*I,4.9652327062821995*^-43+0.*I
0.4368136735041575+0.*I,0.09329719934358618+0.*I,-0.26351220330111014+0.*I,-0.2529034415992224+0.*I,0.021380288252087237+0.*I,0.24637517461358707+0.*I,0.24035248584429492+0.*I,0.04967404327295335+0.*I,-0.1628042188949234+0.*I,-0.2642146649173674+0.*I,-0.2198393435419395+0.*I,-0.07643428174522204+0.*I,0.0907188084268527+0.*I,0.22192896408534668+0.*I,0.29074720002181437+0.*I,0.2998135759339774+0.*I,0.2674286566289129+0.*I,0.21491173023097737+0.*I,0.1591168437699683+0.*I,0.11007757732299499+0.*I,0.07185041811619643+0.*I,0.04456587803773492+0.*I,0.02641142625656551+0.*I,0.015020363552835196+0.*I,0.008226253551404017+0.*I,0.0043514389636251935+0.*I,0.00222870677748476+0.*I,0.0011076166876208815+0.*I,0.0005351164303350545+0.*I,0.0002517309459303065+0.*I,0.00011547310237156417+0.*I,0.00005171779054098485+0.*I,0.000022642075583244427+0.*I,9.699818331942038*^-6+0.*I,4.070001252744428*^-6+0.*I,1.6741164627376575*^-6+0.*I,6.755885792468463*^-7+0.*I,2.6767161749773033*^-7+0.*I,1.0419320663826022*^-7+0.*I,3.9871788399938014*^-8+0.*I,1.5008395649913317*^-8+0.*I,5.5600783608823385*^-9+0.*I,2.028271312825939*^-9+0.*I,7.289137460541446*^-10+0.*I,2.5818143867451507*^-10+0.*I,9.016853544508773*^-11+0.*I,3.106261389548337*^-11+0.*I,1.055932701491094*^-11+0.*I,3.543261644409068*^-12+0.*I,1.1740439258948167*^-12+0.*I,3.8425325388806287*^-13+0.*I,1.2426073150472168*^-13+0.*I,3.971532182987174*^-14+0.*I,1.2548992612916577*^-14+0.*I,3.921024078446565*^-15+0.*I,1.2118201615815687*^-15+0.*I,3.705341424261182*^-16+0.*I,1.1211625809017255*^-16+0.*I,3.357793603701609*^-17+0.*I,9.955779299451245*^-18+0.*I,2.9229375059892822*^-18+0.*I,8.499052238385923*^-19+0.*I,2.447984193100138*^-19+0.*I,6.98572109387473*^-20+0.*I,1.9753901758835364*^-20+0.*I,5.536117684957748*^-21+0.*I,1.5379339964058028*^-21+0.*I,4.235617957424404*^-22+0.*I,1.1566633936395838*^-22+0.*I,3.1323519973178086*^-23+0.*I,8.413324413401582*^-24+0.*I,2.241591062425689*^-24+0.*I,5.925064718272356*^-25+0.*I,1.553932912370581*^-25+0.*I,4.044144574201931*^-26+0.*I,1.0445457822986227*^-26+0.*I,2.677837947134745*^-27+0.*I,6.814676285801163*^-28+0.*I,1.7216981084826763*^-28+0.*I,4.3188185436872283*^-29+0.*I,1.0757544470179939*^-29+0.*I,2.660997050589922*^-30+0.*I,6.537328526113188*^-31+0.*I,1.595222937458969*^-31+0.*I,3.8667581428793137*^-32+0.*I,9.311411508328722*^-33+0.*I,2.2277387165789998*^-33+0.*I,5.295775546039436*^-34+0.*I,1.2509700284123572*^-34+0.*I,2.936640570018918*^-35+0.*I,6.851330438531782*^-36+0.*I,1.5887373623669398*^-36+0.*I,3.6619669904521207*^-37+0.*I,8.390602323409698*^-38+0.*I,1.911255639376243*^-38+0.*I,4.328337991735898*^-39+0.*I,9.746067673873667*^-40+0.*I,2.1820867112746686*^-40+0.*I,4.858214924613682*^-41+0.*I,1.075649474212268*^-41+0.*I
-0.4121164939104087+0.*I,0.10732678109028933+0.*I,0.30761971334381283+0.*I,0.03448875975065724+0.*I,-0.24637517461358707+0.*I,-0.21106498374178448+0.*I,0.04312737910341548+0.*I,0.23752339340481898+0.*I,0.2164326142479625+0.*I,0.030851348075478242+0.*I,-0.166246201822124+0.*I,-0.253961707481969+0.*I,-0.2040011022509665+0.*I,-0.0631015521187243+0.*I,0.09704965590471754+0.*I,0.2207266240113813+0.*I,0.28401442615965544+0.*I,0.29035332615648085+0.*I,0.2576458639121583+0.*I,0.20632197259516372+0.*I,0.15236711549761747+0.*I,0.10520338900832805+0.*I,0.06856403415535793+0.*I,0.04247507721917591+0.*I,0.025146821583536826+0.*I,0.01428905089155414+0.*I,0.007820110489339642+0.*I,0.004134053826327149+0.*I,0.0021162382046021233+0.*I,0.0010512327900533437+0.*I,0.0005076680466465034+0.*I,0.00023873200805969562+0.*I,0.00010947490453663544+0.*I,0.00004901714888685384+0.*I,0.000021454145744088373+0.*I,9.188748214979034*^-6+0.*I,3.854734643903744*^-6+0.*I,1.5852620003910295*^-6+0.*I,6.396175389617682*^-7+0.*I,2.533783279664683*^-7+0.*I,9.861461774018276*^-8+0.*I,3.773178976255152*^-8+0.*I,1.420104396754391*^-8+0.*I,5.260357677403747*^-9+0.*I,1.918723591223046*^-9+0.*I,6.894738547658492*^-10+0.*I,2.441883567145971*^-10+0.*I,8.527386172857639*^-11+0.*I,2.937395035601031*^-11+0.*I,9.984499262615033*^-12+0.*I,3.3501250704416964*^-12+0.*I,1.1099713744431889*^-12+0.*I,3.6325897647970063*^-13+0.*I,1.1746423959879843*^-13+0.*I,3.7540866208013134*^-14+0.*I,1.1861261075936093*^-14+0.*I,3.705941586940278*^-15+0.*I,1.1452899825891844*^-15+0.*I,3.501747554409039*^-16+0.*I,1.0595111253971628*^-16+0.*I,3.173015475514908*^-17+0.*I,9.407529699045059*^-18+0.*I,2.761867459701909*^-18+0.*I,8.030406609556083*^-19+0.*I,2.312917276438248*^-19+0.*I,6.600059672592073*^-20+0.*I,1.86627342599815*^-20+0.*I,5.230148922883162*^-21+0.*I,1.4528920876620938*^-21+0.*I,4.0012887296391537*^-22+0.*I,1.0926423972250901*^-22+0.*I,2.9588982755468156*^-23+0.*I,7.947233491879942*^-24+0.*I,2.11735660099802*^-24+0.*I,5.5965501652931795*^-25+0.*I,1.4677416786870783*^-25+0.*I,3.81974570779486*^-26+0.*I,9.865657071320675*^-27+0.*I,2.529146035547363*^-27+0.*I,6.436151109423954*^-28+0.*I,1.6260342230294547*^-28+0.*I,4.0787735376570434*^-29+0.*I,1.0159445533726016*^-29+0.*I,2.513007139968847*^-30+0.*I,6.173654961569203*^-31+0.*I,1.5064557255673129*^-31+0.*I,3.651532400821335*^-32+0.*I,8.792999389553444*^-33+0.*I,2.1036784059060785*^-33+0.*I,5.000787862072052*^-34+0.*I,1.181271472781289*^-34+0.*I,2.7729863467734*^-35+0.*I,6.469431895151044*^-36+0.*I,1.5001607437895045*^-36+0.*I,3.4577590331039815*^-37+0.*I,7.922608548057683*^-38+0.*I,1.804632374349329*^-38+0.*I,4.086826235892475*^-39+0.*I,9.202156242887746*^-40+0.*I,2.0602858797596918*^-40+0.*I
0.35493852910710627+0.*I,-0.26068187736374043+0.*I,-0.20297471981717755+0.*I,0.18781627330522965+0.*I,0.24035248584429492+0.*I,-0.04312737910341548+0.*I,-0.24820877373660719+0.*I,-0.1579859726612824+0.*I,0.08786412133498875+0.*I,0.23850377131298925+0.*I,0.18300975077478546+0.*I,-0.006371929626527504+0.*I,-0.18345855833435154+0.*I,-0.2459347903867377+0.*I,-0.1799739824365164+0.*I,-0.0366535387475471+0.*I,0.11583543868375044+0.*I,0.22799846080503722+0.*I,0.2810072129840359+0.*I,0.2807877747424581+0.*I,0.24546330081347684+0.*I,0.19444553626042577+0.*I,0.1423978463386899+0.*I,0.09765884832075604+0.*I,0.06329225916731299+0.*I,0.03902417862264067+0.*I,0.023009900549252806+0.*I,0.013028473524688599+0.*I,0.007107950381231543+0.*I,0.0037471341239093243+0.*I,0.0019133949331919947+0.*I,0.0009483350487442468+0.*I,0.00045704184522565936+0.*I,0.0002145250088364363+0.*I,0.0000982066039727141+0.*I,0.000043902804070366944+0.*I,0.000019187824370232184+0.*I,8.207056238574142*^-6+0.*I,3.4386129765391768*^-6+0.*I,1.4124871045920924*^-6+0.*I,5.692874247230117*^-7+0.*I,2.252881769429829*^-7+0.*I,8.75981728917192*^-8+0.*I,3.348656644457376*^-8+0.*I,1.2592600345608678*^-8+0.*I,4.66082625374097*^-9+0.*I,1.698757540746869*^-9+0.*I,6.09993861267042*^-10+0.*I,2.1589236080890474*^-10+0.*I,7.53438276324125*^-11+0.*I,2.5937445465370977*^-11+0.*I,8.811237602220495*^-12+0.*I,2.9548076361815297*^-12+0.*I,9.784722612118387*^-13+0.*I,3.200603563936003*^-13+0.*I,1.0344501370255413*^-13+0.*I,3.3044980189228537*^-14+0.*I,1.0436089219451743*^-14+0.*I,3.2592605383615118*^-15+0.*I,1.0068318997603426*^-15+0.*I,3.0771899419134557*^-16+0.*I,9.306995928225756*^-17+0.*I,2.7862297193950525*^-17+0.*I,8.257848422636266*^-18+0.*I,2.423518020413298*^-18+0.*I,7.044307468561471*^-19+0.*I,2.0282579054338339*^-19+0.*I,5.785993671174248*^-20+0.*I,1.6355990370923305*^-20+0.*I,4.582382686675471*^-21+0.*I,1.2725956125622298*^-21+0.*I,3.5038100851441137*^-22+0.*I,9.565462642453456*^-23+0.*I,2.5896956041299743*^-23+0.*I,6.953904779614356*^-24+0.*I,1.852268895269989*^-24+0.*I,4.894752355178668*^-25+0.*I,1.2834032942335946*^-25+0.*I,3.3392885783189914*^-26+0.*I,8.62291594886059*^-27+0.*I,2.2101066378906176*^-27+0.*I,5.6231436893332675*^-28+0.*I,1.4203605474865732*^-28+0.*I,3.5621871228725647*^-29+0.*I,8.871100902905728*^-30+0.*I,2.193934642534503*^-30+0.*I,5.388858266102659*^-31+0.*I,1.3147317229390342*^-31+0.*I,3.186281454095566*^-32+0.*I,7.671424306758334*^-33+0.*I,1.835058888310747*^-33+0.*I,4.361565842226933*^-34+0.*I,1.0301219748667907*^-34+0.*I,2.4178153757007493*^-35+0.*I,5.640005105230603*^-36+0.*I,1.3076470096495002*^-36+0.*I,3.013618055279762*^-37+0.*I,6.904047522622924*^-38+0.*I,1.572416874310487*^-38+0.*I,3.560489815606619*^-39+0.*I
-0.28301724510920645+0.*I,0.3420139966722468+0.*I,0.022505576385419897+0.*I,-0.28263715969304704+0.*I,-0.04967404327295335+0.*I,0.23752339340481898+0.*I,0.1579859726612824+0.*I,-0.1222355387063748+0.*I,-0.23895430122078568+0.*I,-0.09054714280943055+0.*I,0.1391400922570579+0.*I,0.23449564756971078+0.*I,0.13794148998154127+0.*I,-0.05391091077173511+0.*I,-0.20429850720538156+0.*I,-0.23422851096986202+0.*I,-0.14777861624861366+0.*I,-0.0012825816544923096+0.*I,0.14154426044700524+0.*I,0.23907021931351707+0.*I,0.2788929549627052+0.*I,0.2701099203741634+0.*I,0.23117135772575964+0.*I,0.1802478052434632+0.*I,0.13036171672080116+0.*I,0.08849442747846709+0.*I,0.05686188034045762+0.*I,0.034802036935073645+0.*I,0.02038928245311685+0.*I,0.01147967777247556+0.*I,0.006231621381893692+0.*I,0.003270407383156459+0.*I,0.0016631942825742867+0.*I,0.000821292055227825+0.*I,0.0003944831174267849+0.*I,0.00018458987455383417+0.*I,0.00008426241056338753+0.*I,0.000037570057218797017+0.*I,0.000016380016398000835+0.*I,6.990184180567148*^-6+0.*I,2.9225574256999946*^-6+0.*I,1.198124964310733*^-6+0.*I,4.819929456470502*^-7+0.*I,1.9040903908218168*^-7+0.*I,7.391430659486976*^-8+0.*I,2.821166743040165*^-8+0.*I,1.059339597925952*^-8+0.*I,3.91541948933306*^-9+0.*I,1.4251928444614654*^-9+0.*I,5.11120607891372*^-10+0.*I,1.8068311510951914*^-10+0.*I,6.298470015945644*^-11+0.*I,2.1659311388103197*^-11+0.*I,7.350312170923603*^-12+0.*I,2.4624614141381504*^-12+0.*I,8.146643151047173*^-13+0.*I,2.6623761518717757*^-13+0.*I,8.597471565298419*^-14+0.*I,2.744136011961542*^-14+0.*I,8.659468565088224*^-15+0.*I,2.702336156763052*^-15+0.*I,8.341743479188769*^-16+0.*I,2.547685096270124*^-16+0.*I,7.7002333075388*^-17+0.*I,2.3036946667537956*^-17+0.*I,6.823366253507523*^-18+0.*I,2.001296418722516*^-18+0.*I,5.813610994793718*^-19+0.*I,1.6729462597222435*^-19+0.*I,4.76975565199186*^-20+0.*I,1.3476037158957473*^-20+0.*I,3.77356053087178*^-21+0.*I,1.0474470564778217*^-21+0.*I,2.8825089331883273*^-22+0.*I,7.865583906783841*^-23+0.*I,2.1285053268481423*^-23+0.*I,5.712966391601593*^-24+0.*I,1.5210710043978523*^-24+0.*I,4.0178532971020363*^-25+0.*I,1.0530513345083058*^-25+0.*I,2.7388504238967937*^-26+0.*I,7.0697036501421*^-27+0.*I,1.811329706307317*^-27+0.*I,4.606860213870766*^-28+0.*I,1.1632423417622937*^-28+0.*I,2.916339568762528*^-29+0.*I,7.260265391119694*^-30+0.*I,1.794965013579658*^-30+0.*I,4.407476017407032*^-31+0.*I,1.074965854420207*^-31+0.*I,2.604409697607511*^-32+0.*I,6.268620850141944*^-33+0.*I,1.4990630869330931*^-33+0.*I,3.5619614088767625*^-34+0.*I,8.410371187720848*^-35+0.*I,1.9734773454977745*^-35+0.*I,4.602286753173163*^-36+0.*I,1.0667740644499248*^-36+0.*I,2.457878276661389*^-37+0.*I,5.629483916931456*^-38+0.*I
