0.3396218539201657+0.*I,0.499122233423305+0.*I,0.5186844231963683+0.*I,0.44010253079861056+0.*I,0.3233963827296692+0.*I,0.21255016347966404+0.*I,0.12752552077752938+0.*I,0.07083687165363055+0.*I,0.03680659711619953+0.*I,0.018030829234826667+0.*I,0.008379671387415162+0.*I,0.0037131452049866927+0.*I,0.0015752975497769007+0.*I,0.0006420993184645061+0.*I,0.00025220255309620684+0.*I,0.00009570070492624571+0.*I,0.00003516142220503337+0.*I,0.000012532948640659078+0.*I,4.341384936273921*^-6+0.*I,1.463736093912859*^-6+0.*I,4.810155008943443*^-7+0.*I,1.5426262318498765*^-7+0.*I,4.8334881624279966*^-8+0.*I,1.4811806468164728*^-8+0.*I,4.443382452842505*^-9+0.*I,1.3060354910717894*^-9+0.*I,3.764259824143733*^-10+0.*I,1.0646552451425043*^-10+0.*I,2.9569315418476203*^-11+0.*I,8.069628815224552*^-12+0.*I,2.1652309128268258*^-12+0.*I,5.715242462135113*^-13+0.*I,1.4848102535766128*^-13+0.*I,3.7986149717943796*^-14+0.*I,9.574081160155522*^-15+0.*I,2.3783423550222746*^-15+0.*I,5.825516106525382*^-16+0.*I,1.4074884280831059*^-16+0.*I,3.355554695451523*^-17+0.*I,7.896657580394572*^-18+0.*I,1.8349515355299543*^-18+0.*I,4.211569360080606*^-19+0.*I,9.550598759954388*^-20+0.*I,2.1404626778375074*^-20+0.*I,4.742339145065748*^-21+0.*I,1.038957158448205*^-21+0.*I,2.251282583173802*^-22+0.*I,4.826056145592071*^-23+0.*I,1.0237243632469636*^-23+0.*I,2.149296278012704*^-24+0.*I,4.467068087081853*^-25+0.*I,9.192820319488478*^-26+0.*I,1.8735202320177852*^-26+0.*I,3.782088962868033*^-27+0.*I,7.563906432262554*^-28+0.*I,1.498911841976185*^-28+0.*I,2.9436987592242025*^-29+0.*I,5.7301662787169906*^-30+0.*I,1.105769267246128*^-30+0.*I,2.115679106397244*^-31+0.*I,4.014074786203844*^-32+0.*I,7.553214699507984*^-33+0.*I,1.4097667798318577*^-33+0.*I,2.6102871497309865*^-34+0.*I,4.795231582609434*^-35+0.*I,8.741061890931339*^-36+0.*I,1.581260837612327*^-36+0.*I,2.8390785031484353*^-37+0.*I,5.059810274350186*^-38+0.*I,8.952018578091323*^-39+0.*I,1.572473163778853*^-39+0.*I,2.7426182125184957*^-40+0.*I,4.750183590137212*^-41+0.*I,8.170718579886179*^-42+0.*I,1.3959044132062728*^-42+0.*I,2.368843317943428*^-43+0.*I,3.993381739001012*^-44+0.*I,6.688161517512426*^-45+0.*I,1.1129374048620598*^-45+0.*I,1.8402146375503287*^-46+0.*I,3.023672673357783*^-47+0.*I,4.937459577623067*^-48+0.*I,8.013235650996202*^-49+0.*I,1.2926476350079148*^-49+0.*I,2.0727732750756845*^-50+0.*I,3.304103365027819*^-51+0.*I,5.2361934999958114*^-52+0.*I,8.250254554208058*^-53+0.*I,1.2925200836550876*^-53+0.*I,2.0135090424748477*^-54+0.*I,3.1192028371309143*^-55+0.*I,4.805451613252158*^-56+0.*I,7.362945443924121*^-57+0.*I,1.122073732852764*^-57+0.*I,1.7008607399757297*^-58+0.*I,2.56459175460449*^-59+0.*I,3.846749559416187*^-60+0.*I,5.7400983444701154*^-61+0.*I,8.52153011117601*^-62+0.*I,1.2586682384301264*^-62+0.*I
-0.499122233423305+0.*I,-0.3939086919558045+0.*I,-0.056414512093652745+0.*I,0.25159500861132866+0.*I,0.4049284474279993+0.*I,0.4107638403734381+0.*I,0.33322269922101727+0.*I,0.23329603613827973+0.*I,0.14626444151281326+0.*I,0.08392094372062332+0.*I,0.0447033790465551+0.*I,0.022335235072028243+0.*I,0.010547590285171148+0.*I,0.004736160544077743+0.*I,0.0020318684215755722+0.*I,0.0008361305991924672+0.*I,0.0003311281486591041+0.*I,0.0001265553213292082+0.*I,0.000046792520119057695+0.*I,0.000016772491495766034+0.*I,5.839106666570658*^-6+0.*I,1.9775792527757027*^-6+0.*I,6.52520910561341*^-7+0.*I,2.1003790948630888*^-7+0.*I,6.603255857635926*^-8+0.*I,2.0297508834458316*^-8+0.*I,6.106289361280328*^-9+0.*I,1.7995006704207315*^-9+0.*I,5.199063210311296*^-10+0.*I,1.4737617863101128*^-10+0.*I,4.1017064997360806*^-11+0.*I,1.1215559994471624*^-11+0.*I,3.014815544125316*^-12+0.*I,7.971325453070789*^-13+0.*I,2.0742494855188578*^-13+0.*I,5.314571832943544*^-14+0.*I,1.3413912342916429*^-14+0.*I,3.336672825718438*^-15+0.*I,8.183195267256289*^-16+0.*I,1.9794907106951448*^-16+0.*I,4.724612752824571*^-17+0.*I,1.1130473110888514*^-17+0.*I,2.589049371369378*^-18+0.*I,5.948175232411646*^-19+0.*I,1.3501269510692607*^-19+0.*I,3.028568396574104*^-20+0.*I,6.7156925467626375*^-21+0.*I,1.4724758754102262*^-21+0.*I,3.1931390382773443*^-22+0.*I,6.850201129088923*^-23+0.*I,1.4541321045937244*^-23+0.*I,3.0550232376890982*^-24+0.*I,6.353696773001371*^-25+0.*I,1.3083601832243966*^-25+0.*I,2.668094158904045*^-26+0.*I,5.38925689981007*^-27+0.*I,1.0784211064397487*^-27+0.*I,2.1382309474776514*^-28+0.*I,4.201456228038502*^-29+0.*I,8.1826460092835*^-30+0.*I,1.5798054963402027*^-30+0.*I,3.02408748255222*^-31+0.*I,5.740222082343116*^-32+0.*I,1.080605839149755*^-32+0.*I,2.017757025826261*^-33+0.*I,3.737577060452879*^-34+0.*I,6.868883658969421*^-35+0.*I,1.2525935136068493*^-35+0.*I,2.2668030584382292*^-36+0.*I,4.071431532782388*^-37+0.*I,7.258698982786312*^-38+0.*I,1.2846827948885097*^-38+0.*I,2.2573780733845826*^-39+0.*I,3.93847840046677*^-40+0.*I,6.823570039872639*^-41+0.*I,1.174075188204868*^-41+0.*I,2.0064213480660876*^-42+0.*I,3.4058862843102537*^-43+0.*I,5.743262461123345*^-44+0.*I,9.621558523143134*^-45+0.*I,1.601500872902419*^-45+0.*I,2.6487424709996685*^-46+0.*I,4.3532940037362673*^-47+0.*I,7.110432306613304*^-48+0.*I,1.1542687990004957*^-48+0.*I,1.862444075057338*^-49+0.*I,2.987146156183593*^-50+0.*I,4.7627470255726946*^-51+0.*I,7.549470733563277*^-52+0.*I,1.1897696518524481*^-52+0.*I,1.8643413123256476*^-53+0.*I,2.904906971781243*^-54+0.*I,4.501018394040552*^-55+0.*I,6.935662876355987*^-56+0.*I,1.062894298246748*^-56+0.*I,1.620103689814899*^-57+0.*I,2.4562430665689843*^-58+0.*I,3.7042500967933987*^-59+0.*I,5.557171541201126*^-60+0.*I,8.293836348676575*^-61+0.*I
0.5186844231963683+0.*I,0.056414512093652745+0.*I,-0.33528311548226697+0.*I,-0.3305492025570585+0.*I,-0.06498980936608055+0.*I,0.21338510828684967+0.*I,0.3651810834941062+0.*I,0.3809629362692328+0.*I,0.3145950615245435+0.*I,0.2230636625708455+0.*I,0.1411974880668028+0.*I,0.08162809273803148+0.*I,0.04374894527453779+0.*I,0.02196939858472192+0.*I,0.010419199153442842+0.*I,0.004695599621880073+0.*I,0.002020828351309951+0.*I,0.0008338807255451094+0.*I,0.000331039495995218+0.*I,0.00012679437427889995+0.*I,0.00004697131531106789+0.*I,0.00001686578122693923+0.*I,5.880793091661845*^-6+0.*I,1.9945361041374046*^-6+0.*I,6.589720766652958*^-7+0.*I,2.1236731689949882*^-7+0.*I,6.683809458011222*^-8+0.*I,2.056591090321327*^-8+0.*I,6.192831870600326*^-9+0.*I,1.8265919682505954*^-9+0.*I,5.281608310729296*^-10+0.*I,1.4982921287264533*^-10+0.*I,4.1729264211964324*^-11+0.*I,1.1417863923472816*^-11+0.*I,3.071107089092145*^-12+0.*I,8.124921465239563*^-13+0.*I,2.115385406466617*^-13+0.*I,5.422797087935336*^-14+0.*I,1.3693827580064126*^-14+0.*I,3.4078938606139037*^-15+0.*I,8.361573042682729*^-16+0.*I,2.0234922873002857*^-16+0.*I,4.8315713090305864*^-17+0.*I,1.138679775187934*^-17+0.*I,2.649637212655971*^-18+0.*I,6.08948767999097*^-19+0.*I,1.3826613594432219*^-19+0.*I,3.1025340593503354*^-20+0.*I,6.88180027405839*^-21+0.*I,1.5093363638094443*^-21+0.*I,3.273988147301638*^-22+0.*I,7.025531252983868*^-23+0.*I,1.4917351265179834*^-23+0.*I,3.1348017016149793*^-24+0.*I,6.5211724092856385*^-25+0.*I,1.3431555904078323*^-25+0.*I,2.739657915286048*^-26+0.*I,5.5349897683032774*^-27+0.*I,1.1078113580175195*^-27+0.*I,2.1969413377897715*^-28+0.*I,4.317647488903947*^-29+0.*I,8.410499911892964*^-30+0.*I,1.6240886548896946*^-30+0.*I,3.109395831102833*^-31+0.*I,5.903145798302838*^-32+0.*I,1.1114578412571963*^-32+0.*I,2.075693586169549*^-33+0.*I,3.845485182796944*^-34+0.*I,7.068247892747834*^-35+0.*I,1.2891352871337373*^-35+0.*I,2.3332594728257566*^-36+0.*I,4.191365698540627*^-37+0.*I,7.473511578465282*^-38+0.*I,1.3228717529145963*^-38+0.*I,2.324772809282211*^-39+0.*I,4.056557112092596*^-40+0.*I,7.028979591697767*^-41+0.*I,1.2095579681547364*^-41+0.*I,2.0672917107662073*^-42+0.*I,3.5095979054316094*^-43+0.*I,5.918781035541448*^-44+0.*I,9.916633633418842*^-45+0.*I,1.6507835768902663*^-45+0.*I,2.73052235861264*^-46+0.*I,4.488135976376182*^-47+0.*I,7.331368011766807*^-48+0.*I,1.1902440334483619*^-48+0.*I,1.920664059007855*^-49+0.*I,3.0807953857136477*^-50+0.*I,4.912485068126991*^-51+0.*I,7.787476378793567*^-52+0.*I,1.2273793733775506*^-52+0.*I,1.9234294889070458*^-53+0.*I,2.9972103980604317*^-54+0.*I,4.644395659455964*^-55+0.*I,7.157133341415068*^-56+0.*I,1.0969156511736138*^-56+0.*I,1.672081042173703*^-57+0.*I,2.535225319849283*^-58+0.*I,3.8236277644664377*^-59+0.*I
-0.44010253079861056+0.*I,0.25159500861132866+0.*I,0.3305492025570585+0.*I,-0.0548128833084571+0.*I,-0.32654163954934545+0.*I,-0.2649582528818209+0.*I,-0.008083188726282319+0.*I,0.23457715078706629+0.*I,0.3551766893594423+0.*I,0.35562562972936773+0.*I,0.28745092449632537+0.*I,0.20111135776597056+0.*I,0.1261353068183965+0.*I,0.0724297081152963+0.*I,0.03861865884531582+0.*I,0.01931383218319682+0.*I,0.009129354650885138+0.*I,0.004102987816350521+0.*I,0.0017616960389077346+0.*I,0.0007255130627602382+0.*I,0.00028752661448560245+0.*I,0.0001099638427896311+0.*I,0.00004068291216371172+0.*I,0.000014590819481564276+0.*I,5.08226373864032*^-6+0.*I,1.7220953531229426*^-6+0.*I,5.684804845693455*^-7+0.*I,1.8306415600967077*^-7+0.*I,5.757529214558599*^-8+0.*I,1.7704437705264068*^-8+0.*I,5.328047734525782*^-9+0.*I,1.5706697936749199*^-9+0.*I,4.5393297617683836*^-10+0.*I,1.2871228109563948*^-10+0.*I,3.583243044712523*^-11+0.*I,9.800430009961111*^-12+0.*I,2.635065395657016*^-12+0.*I,6.968866322854803*^-13+0.*I,1.8137958188247262*^-13+0.*I,4.648220745587378*^-14+0.*I,1.1734391405774776*^-14+0.*I,2.9194515178202845*^-15+0.*I,7.161257158219074*^-16+0.*I,1.7325866603608863*^-16+0.*I,4.1359904319535135*^-17+0.*I,9.745309179972342*^-18+0.*I,2.2671909361658762*^-18+0.*I,5.209482028401265*^-19+0.*I,1.1826217079313118*^-19+0.*I,2.6531796279028526*^-20+0.*I,5.8840427671964225*^-21+0.*I,1.290288425001082*^-21+0.*I,2.798388527795995*^-22+0.*I,6.004034212298426*^-23+0.*I,1.2746517277968262*^-23+0.*I,2.678232768918622*^-24+0.*I,5.570636060293183*^-25+0.*I,1.1472249393744617*^-25+0.*I,2.3397201135134782*^-26+0.*I,4.7264138782068604*^-27+0.*I,9.458668959129136*^-28+0.*I,1.875572190410261*^-28+0.*I,3.6856606527839157*^-29+0.*I,7.178677680823715*^-30+0.*I,1.3860803608166955*^-30+0.*I,2.6534578911617633*^-31+0.*I,5.037077255360504*^-32+0.*I,9.483056658435275*^-33+0.*I,1.7708432275327618*^-33+0.*I,3.28042977556442*^-34+0.*I,6.029138515455586*^-35+0.*I,1.0995297231951884*^-35+0.*I,1.9899288848545318*^-36+0.*I,3.5743503570732834*^-37+0.*I,6.372858631580365*^-38+0.*I,1.1279666115738797*^-38+0.*I,1.982114909327129*^-39+0.*I,3.4584106446415858*^-40+0.*I,5.992150459971698*^-41+0.*I,1.0310728549955073*^-41+0.*I,1.7621278453904534*^-42+0.*I,2.9913464352128242*^-43+0.*I,5.044475430995487*^-44+0.*I,8.45129096664916*^-45+0.*I,1.4067748923111895*^-45+0.*I,2.326786316942403*^-46+0.*I,3.8243149771713517*^-47+0.*I,6.246692380620924*^-48+0.*I,1.014096094415721*^-48+0.*I,1.6363380579265967*^-49+0.*I,2.624602328656059*^-50+0.*I,4.184864698821906*^-51+0.*I,6.6337166482080726*^-52+0.*I,1.0454889555215578*^-52+0.*I,1.6383164601049115*^-53+0.*I,2.552819318407227*^-54+0.*I,3.955612976913983*^-55+0.*I,6.095450734697194*^-56+0.*I,9.341625897045004*^-57+0.*I,1.423932674344593*^-57+0.*I
0.3233963827296692+0.*I,-0.4049284474279993+0.*I,-0.06498980936608055+0.*I,0.32654163954934545+0.*I,0.18513662311507462+0.*I,-0.1703878832555755+0.*I,-0.3185665681828014+0.*I,-0.18306516400650302+0.*I,0.07075105865723864+0.*I,0.27144401402197627+0.*I,0.35106864636032076+0.*I,0.32890267303340087+0.*I,0.2556482743880521+0.*I,0.17417082040235166+0.*I,0.10712579215122717+0.*I,0.0605925105371654+0.*I,0.03191922698159808+0.*I,0.015805687005206473+0.*I,0.00740922107599432+0.*I,0.0033064055952696544+0.*I,0.00141101606255866+0.*I,0.0005780025464104364+0.*I,0.00022799343081707018+0.*I,0.00008683256234447499+0.*I,0.000032005510834862166+0.*I,0.000011440228296011406+0.*I,3.972767763887399*^-6+0.*I,1.342436320193259*^-6+0.*I,4.4203472306257993*^-7+0.*I,1.4201663389998319*^-7+0.*I,4.4570440541085324*^-8+0.*I,1.3678496711816343*^-8+0.*I,4.1089657702720706*^-9+0.*I,1.2092427805970516*^-9+0.*I,3.489271535053318*^-10+0.*I,9.879220132607395*^-11+0.*I,2.7464989832596977*^-11+0.*I,7.502151909966702*^-12+0.*I,2.014667413569105*^-12+0.*I,5.322014817617289*^-13+0.*I,1.3836697431319507*^-13+0.*I,3.5423110047584927*^-14+0.*I,8.933880243554358*^-15+0.*I,2.2206611507149587*^-15+0.*I,5.442418793739126*^-16+0.*I,1.315642829728286*^-16+0.*I,3.138197283760118*^-17+0.*I,7.388735542017427*^-18+0.*I,1.7177160377461217*^-18+0.*I,3.944214887024898*^-19+0.*I,8.948034980087051*^-20+0.*I,2.0062104699047043*^-20+0.*I,4.446569737409186*^-21+0.*I,9.745099226793873*^-22+0.*I,2.1123590046757963*^-22+0.*I,4.529733060615359*^-23+0.*I,9.611687639233115*^-24+0.*I,2.0185685518884626*^-24+0.*I,4.196574978302325*^-25+0.*I,8.638558997090004*^-26+0.*I,1.7610279807063855*^-26+0.*I,3.555907410204807*^-27+0.*I,7.113305179829119*^-28+0.*I,1.4099508269838209*^-28+0.*I,2.7696190393390375*^-29+0.*I,5.392487026288872*^-30+0.*I,1.0408262119677365*^-30+0.*I,1.991829264837902*^-31+0.*I,3.7798392266082566*^-32+0.*I,7.113811585215043*^-33+0.*I,1.327998882872051*^-33+0.*I,2.4593255033806713*^-34+0.*I,4.5186854770177887*^-35+0.*I,8.238329313847307*^-36+0.*I,1.4905571447944232*^-36+0.*I,2.676643430506318*^-37+0.*I,4.77104259520907*^-38+0.*I,8.442362750122353*^-39+0.*I,1.483161236722364*^-39+0.*I,2.587204561298168*^-40+0.*I,4.481613212201006*^-41+0.*I,7.709765021666193*^-42+0.*I,1.3173218606311749*^-42+0.*I,2.2357660952159866*^-43+0.*I,3.769495347789385*^-44+0.*I,6.313934790951449*^-45+0.*I,1.0507845789317969*^-45+0.*I,1.7376397913590701*^-46+0.*I,2.855440574130539*^-47+0.*I,4.663240227608776*^-48+0.*I,7.568971755530746*^-49+0.*I,1.2211042790167993*^-49+0.*I,1.9582446913330177*^-50+0.*I,3.12183765344321*^-51+0.*I,4.9478088909796174*^-52+0.*I,7.796580395203428*^-53+0.*I,1.2215542901812291*^-53+0.*I,1.9031228619542063*^-54+0.*I,2.9484499976433942*^-55+0.*I,4.542766706088615*^-56+0.*I
-0.21255016347966404+0.*I,0.4107638403734381+0.*I,-0.21338510828684967+0.*I,-0.2649582528818209+0.*I,0.1703878832555755+0.*I,0.2971229481791981+0.*I,0.022725224997695703+0.*I,-0.2566146615583194+0.*I,-0.27806182328784157+0.*I,-0.08348230197771896+0.*I,0.1531422277720429+0.*I,0.3045498159289864+0.*I,0.34151066897280197+0.*I,0.2977478203718952+0.*I,0.2210357981812632+0.*I,0.1457232824179701+0.*I,0.08741247422230093+0.*I,0.04846796173441913+0.*I,0.02511952032005912+0.*I,0.012270117302229237+0.*I,0.0056854300855379404+0.*I,0.0025118340204899987+0.*I,0.0010625811743630621+0.*I,0.00043192129680184513+0.*I,0.00016920519921984577+0.*I,0.00006404748244266459+0.*I,0.00002347665861735215+0.*I,8.34957051614837*^-6+0.*I,2.886259710648694*^-6+0.*I,9.71221078521901*^-7+0.*I,3.1857465666860146*^-7+0.*I,1.0198939919708975*^-7+0.*I,3.190357270578634*^-8+0.*I,9.761357264062298*^-9+0.*I,2.9239892814270173*^-9+0.*I,8.582439438167249*^-10+0.*I,2.470361079231797*^-10+0.*I,6.978210942954056*^-11+0.*I,1.9357878515847435*^-11+0.*I,5.276873921217307*^-12+0.*I,1.4143523153549317*^-12+0.*I,3.729411077940657*^-13+0.*I,9.679419211758224*^-14+0.*I,2.473976469013626*^-14+0.*I,6.2298461206357856*^-15+0.*I,1.5462558711505425*^-15+0.*I,3.7842863128145506*^-16+0.*I,9.135910853946763*^-17+0.*I,2.1764202099500036*^-17+0.*I,5.118070805837305*^-18+0.*I,1.1884598860647638*^-18+0.*I,2.7259163248655764*^-19+0.*I,6.177586466176734*^-20+0.*I,1.3836491913371793*^-20+0.*I,3.06373298500331*^-21+0.*I,6.708188489750485*^-22+0.*I,1.452766442903901*^-22+0.*I,3.112610158649821*^-23+0.*I,6.599179601642571*^-24+0.*I,1.3847944799106489*^-24+0.*I,2.87674220187238*^-25+0.*I,5.917296603931987*^-26+0.*I,1.2054124765783904*^-26+0.*I,2.432304759337587*^-27+0.*I,4.862362025389203*^-28+0.*I,9.631585766812507*^-29+0.*I,1.8907802065591994*^-29+0.*I,3.679137838242148*^-30+0.*I,7.097075915303915*^-31+0.*I,1.3573928895760016*^-31+0.*I,2.5744627060879054*^-32+0.*I,4.842645667293396*^-33+0.*I,9.035496462047097*^-34+0.*I,1.6724414143099395*^-34+0.*I,3.071382671311208*^-35+0.*I,5.596982354495248*^-36+0.*I,1.0121903557535675*^-36+0.*I,1.8168054347396485*^-37+0.*I,3.2369863071957224*^-38+0.*I,5.725406981578157*^-39+0.*I,1.005426713955978*^-39+0.*I,1.7531425946386628*^-40+0.*I,3.035636748814096*^-41+0.*I,5.2202330420026503*^-42+0.*I,8.916166417341194*^-43+0.*I,1.5127048227785187*^-43+0.*I,2.549508638857834*^-44+0.*I,4.2689647552077874*^-45+0.*I,7.102135982915847*^-46+0.*I,1.174062855717825*^-46+0.*I,1.9286986991030481*^-47+0.*I,3.1487774253031975*^-48+0.*I,5.109249457867057*^-49+0.*I,8.240281602491485*^-50+0.*I,1.321077399740987*^-50+0.*I,2.105457378589317*^-51+0.*I,3.336004504013878*^-52+0.*I,5.255307022263393*^-53+0.*I,8.231699122051698*^-54+0.*I,1.2821203867943955*^-54+0.*I
0.12752552077752938+0.*I,-0.33322269922101727+0.*I,0.3651810834941062+0.*I,0.008083188726282319+0.*I,-0.3185665681828014+0.*I,-0.022725224997695703+0.*I,0.28348830257284474+0.*I,0.1785093191074532+0.*I,-0.1294819820016578+0.*I,-0.29046720862301156+0.*I,-0.19965722713565198+0.*I,0.02463222561571822+0.*I,0.22579943322186077+0.*I,0.3240478134469485+0.*I,0.3222005894287921+0.*I,0.2620574520722889+0.*I,0.18551952162340546+0.*I,0.11805738590702448+0.*I,0.06887780102517563+0.*I,0.03733870787655217+0.*I,0.018990931151102116+0.*I,0.009129419418823745+0.*I,0.004172270141083663+0.*I,0.0018212736009474437+0.*I,0.0007623231179395814+0.*I,0.00030696155640523896+0.*I,0.00011923997695642491+0.*I,0.00004479195102377522+0.*I,0.00001630544014920044+0.*I,5.762685004046858*^-6+0.*I,1.9805784193234115*^-6+0.*I,6.62938398794061*^-7+0.*I,2.1639297175005765*^-7+0.*I,6.896390596129025*^-8+0.*I,2.148234748875046*^-8+0.*I,6.5471771626612906*^-9+0.*I,1.9540433924029336*^-9+0.*I,5.71591421963803*^-10+0.*I,1.6400014734526978*^-10+0.*I,4.6187089432836774*^-11+0.*I,1.2776248947087556*^-11+0.*I,3.4734515780687246*^-12+0.*I,9.28634994107764*^-13+0.*I,2.442808308154186*^-13+0.*I,6.325782597670827*^-14+0.*I,1.613341602653038*^-14+0.*I,4.054339609926133*^-15+0.*I,1.0043360638132422*^-15+0.*I,2.453445281224084*^-16+0.*I,5.912565583819154*^-17+0.*I,1.406154744949123*^-17+0.*I,3.3013771031218555*^-18+0.*I,7.65423848986261*^-19+0.*I,1.753019817191712*^-19+0.*I,3.967130192721531*^-20+0.*I,8.87343539373839*^-21+0.*I,1.9622225773415684*^-21+0.*I,4.290976995389391*^-22+0.*I,9.281561700107178*^-23+0.*I,1.9862957011165544*^-23+0.*I,4.2065063107554016*^-24+0.*I,8.817528094242286*^-25+0.*I,1.8298225772028334*^-25+0.*I,3.760049800121761*^-26+0.*I,7.652142828763944*^-27+0.*I,1.5426118276208183*^-27+0.*I,3.0809928719038487*^-28+0.*I,6.097597196512797*^-29+0.*I,1.1960014317523725*^-29+0.*I,2.325294888442259*^-30+0.*I,4.481917151641344*^-31+0.*I,8.565503611700727*^-32+0.*I,1.6233306348010354*^-32+0.*I,3.0513059791571017*^-33+0.*I,5.689144875039012*^-34+0.*I,1.0523170684458716*^-34+0.*I,1.931251377566416*^-35+0.*I,3.517030090635719*^-36+0.*I,6.356372944978556*^-37+0.*I,1.1402184625601739*^-37+0.*I,2.030299598841065*^-38+0.*I,3.58898885418248*^-39+0.*I,6.298965647969129*^-40+0.*I,1.0977298496180392*^-40+0.*I,1.8997372738392416*^-41+0.*I,3.265164091262161*^-42+0.*I,5.574043000625879*^-43+0.*I,9.452110970478884*^-44+0.*I,1.5922777450386461*^-44+0.*I,2.664880146205158*^-45+0.*I,4.431408119140917*^-46+0.*I,7.322282426513738*^-47+0.*I,1.2023375832496067*^-47+0.*I,1.9620736080230014*^-48+0.*I,3.182335622365801*^-49+0.*I,5.130392195783892*^-50+0.*I,8.221676428268804*^-51+0.*I,1.3098030952697016*^-51+0.*I,2.0745186247650638*^-52+0.*I,3.2668075280120936*^-53+0.*I
-0.07083687165363055+0.*I,0.23329603613827973+0.*I,-0.3809629362692328+0.*I,0.23457715078706629+0.*I,0.18306516400650302+0.*I,-0.2566146615583194+0.*I,-0.1785093191074532+0.*I,0.18433135226600275+0.*I,0.2627581205920835+0.*I,0.014527669512312285+0.*I,-0.2362706941615834+0.*I,-0.2639660943216867+0.*I,-0.09317413651626223+0.*I,0.12771323197190887+0.*I,0.2792993674684232+0.*I,0.32608775906555926+0.*I,0.29314270470754694+0.*I,0.22353370660628716+0.*I,0.1510532831427075+0.*I,0.09273618179862418+0.*I,0.052565002827900206+0.*I,0.02782211965824769+0.*I,0.013867151045576594+0.*I,0.006551215174285509+0.*I,0.0029488941738043234+0.*I,0.0012701466905213228+0.*I,0.0005253566311649733+0.*I,0.0002093019857388915+0.*I,0.00008052668460540555+0.*I,0.000029987097964430204+0.*I,0.000010829735254242783+0.*I,3.7997193403091273*^-6+0.*I,1.2972216549503274*^-6+0.*I,4.315336771875372*^-7+0.*I,1.4005620101017285*^-7+0.*I,4.43992149085307*^-8+0.*I,1.3762185565963183*^-8+0.*I,4.174975796169594*^-9+0.*I,1.240670200411431*^-9+0.*I,3.6144823710403276*^-10+0.*I,1.0331141122836429*^-10+0.*I,2.8991077806036318*^-11+0.*I,7.992353161660495*^-12+0.*I,2.1659109507469515*^-12+0.*I,5.773064957134037*^-13+0.*I,1.5142619946960723*^-13+0.*I,3.9105613104584615*^-14+0.*I,9.947699292567703*^-15+0.*I,2.4936871175067813*^-15+0.*I,6.162779534208707*^-16+0.*I,1.5020916447964157*^-16+0.*I,3.612119356918143*^-17+0.*I,8.572865639774288*^-18+0.*I,2.008782425554116*^-18+0.*I,4.6485799234703485*^-19+0.*I,1.062720758544814*^-19+0.*I,2.4007905418180852*^-20+0.*I,5.360986087985755*^-21+0.*I,1.1835976653585263*^-21+0.*I,2.584289993938747*^-22+0.*I,5.581618660126839*^-23+0.*I,1.1927804496805932*^-23+0.*I,2.5225387929505782*^-24+0.*I,5.280607447424974*^-25+0.*I,1.0944266727928603*^-25+0.*I,2.246109142141138*^-26+0.*I,4.565600064751538*^-27+0.*I,9.1931866385581*^-28+0.*I,1.8340492377409814*^-28+0.*I,3.6258128646703064*^-29+0.*I,7.10427007587588*^-30+0.*I,1.379815382759378*^-30+0.*I,2.656901068177004*^-31+0.*I,5.072778571944333*^-32+0.*I,9.604918763563538*^-33+0.*I,1.8037565082992402*^-33+0.*I,3.3601279302605176*^-34+0.*I,6.209874978436338*^-35+0.*I,1.1387090655272892*^-35+0.*I,2.0720377755965777*^-36+0.*I,3.7418644571354716*^-37+0.*I,6.707071735823564*^-38+0.*I,1.193383305587784*^-38+0.*I,2.108022738993902*^-39+0.*I,3.6971226355453816*^-40+0.*I,6.438568224049134*^-41+0.*I,1.1135098645975043*^-41+0.*I,1.9125792602413662*^-42+0.*I,3.2629137647446826*^-43+0.*I,5.529573548648636*^-44+0.*I,9.309270606372957*^-45+0.*I,1.557093682023111*^-45+0.*I,2.5877663088783154*^-46+0.*I,4.2734815255434793*^-47+0.*I,7.013251857103702*^-48+0.*I,1.1438560835306614*^-48+0.*I,1.85425896529736*^-49+0.*I,2.9877782257197457*^-50+0.*I,4.785600700342902*^-51+0.*I,7.620178114676361*^-52+0.*I
