0.2765960903145984+0.*I,0.4434512521728323+0.*I,0.5027252933536526+0.*I,0.46533954122127164+0.*I,0.3730266071465383+0.*I,0.26745742342693013+0.*I,0.175056757425892+0.*I,0.10607907113755331+0.*I,0.060129080586658265+0.*I,0.03213387922177655+0.*I,0.016291572502617882+0.*I,0.007875289205337676+0.*I,0.003644817074300922+0.*I,0.001620704765845917+0.*I,0.0006944480133849204+0.*I,0.0002874709464479855+0.*I,0.00011522157726513255+0.*I,0.000044803217522338064+0.*I,0.00001693061756073739+0.*I,6.227243496044998*^-6+0.*I,2.2324446414756963*^-6+0.*I,7.81035725540891*^-7+0.*I,2.6696812270060163*^-7+0.*I,8.924735174255725*^-8+0.*I,2.9207175865074608*^-8+0.*I,9.365250748893817*^-9+0.*I,2.9446425567859845*^-9+0.*I,9.085535941471454*^-10+0.*I,2.7527792346609454*^-10+0.*I,8.195439207383032*^-11+0.*I,2.3988961874889502*^-11+0.*I,6.907652089679292*^-12+0.*I,1.957741356098105*^-12+0.*I,5.463842773490661*^-13+0.*I,1.5023066291693395*^-13+0.*I,4.0712184869829326*^-14+0.*I,1.0878599994359594*^-14+0.*I,2.8672924722242186*^-15+0.*I,7.457273041513983*^-16+0.*I,1.914465699261399*^-16+0.*I,4.8530799110857674*^-17+0.*I,1.215137329081763*^-17+0.*I,3.0060802197014894*^-18+0.*I,7.349642024162199*^-19+0.*I,1.7763956329777116*^-19+0.*I,4.245543435604754*^-20+0.*I,1.003585137615978*^-20+0.*I,2.346957042765976*^-21+0.*I,5.431057119989*^-22+0.*I,1.2439020366391447*^-22+0.*I,2.820337131572261*^-23+0.*I,6.331633753871456*^-24+0.*I,1.407712484783396*^-24+0.*I,3.100101234187516*^-25+0.*I,6.76361446986385*^-26+0.*I,1.4621682468487772*^-26+0.*I,3.1325873029338266*^-27+0.*I,6.652204687784432*^-28+0.*I,1.4003979155661802*^-28+0.*I,2.9229763289021875*^-29+0.*I,6.0499184641544576*^-30+0.*I,1.241893781931301*^-30+0.*I,2.52864845812262*^-31+0.*I,5.107613546130557*^-32+0.*I,1.0235943773058805*^-32+0.*I,2.0354997893449696*^-33+0.*I,4.016973276062981*^-34+0.*I,7.867946345223461*^-35+0.*I,1.5297018142182834*^-35+0.*I,2.95244682755456*^-36+0.*I,5.657608784977733*^-37+0.*I,1.0764741057985414*^-37+0.*I,2.0339355527563307*^-38+0.*I,3.8165908624215386*^-39+0.*I,7.113111145724523*^-40+0.*I,1.3168272696710572*^-40+0.*I,2.421708487908396*^-41+0.*I,4.424623787524444*^-42+0.*I,8.0320961192825*^-43+0.*I,1.4488225598648746*^-43+0.*I,2.596988669443863*^-44+0.*I,4.6262318460013596*^-45+0.*I,8.190686737953842*^-46+0.*I,1.441388718098091*^-46+0.*I,2.521397535040366*^-47+0.*I,4.3846174662935506*^-48+0.*I,7.580229113118208*^-49+0.*I,1.3029344124435025*^-49+0.*I,2.2267992533322673*^-50+0.*I,3.7843030883989034*^-51+0.*I,6.395352779230314*^-52+0.*I,1.0748395990887982*^-52+0.*I,1.7965925443893984*^-53+0.*I,2.9868125487425756*^-54+0.*I,4.939055302614284*^-55+0.*I,8.124224853438888*^-56+0.*I,1.329370896888193*^-56+0.*I,2.164014408874149*^-57+0.*I,3.5046686101097*^-58+0.*I,5.647148521942491*^-59+0.*I
-0.4434512521728323+0.*I,-0.4343648376941299+0.*I,-0.17885695309188349+0.*I,0.12469253604541826+0.*I,0.33262610257298314+0.*I,0.4053131192761633+0.*I,0.37447537377678686+0.*I,0.29308592295291636+0.*I,0.2036352845080069+0.*I,0.12886876598593255+0.*I,0.0754968689879316+0.*I,0.04140701652208732+0.*I,0.021437267920240848+0.*I,0.010543188312066465+0.*I,0.004950751770795573+0.*I,0.002228699281586091+0.*I,0.0009651553875798177+0.*I,0.0004032402064931668+0.*I,0.000162940028478047+0.*I,0.0000638150550502997+0.*I,0.000024269924206444127+0.*I,8.978155064275525*^-6+0.*I,3.2353670132030046*^-6+0.*I,1.1372487831728298*^-6+0.*I,3.9039469158344457*^-7+0.*I,1.3102108946776566*^-7+0.*I,4.303261335891246*^-8+0.*I,1.3844177701613375*^-8+0.*I,4.366275817788423*^-9+0.*I,1.3510240301306037*^-9+0.*I,4.1042251311884917*^-10+0.*I,1.2249022951864708*^-10+0.*I,3.5936842367201934*^-11+0.*I,1.0370380097224565*^-11+0.*I,2.9450839034880195*^-12+0.*I,8.235049877183633*^-13+0.*I,2.2683205000552448*^-13+0.*I,6.157496859168574*^-14+0.*I,1.6479594420397558*^-14+0.*I,4.3501297980597355*^-15+0.*I,1.133007669550058*^-15+0.*I,2.9126710962622003*^-16+0.*I,7.393041685244129*^-17+0.*I,1.853385868105025*^-17+0.*I,4.5904012758116*^-18+0.*I,1.1235759613868625*^-18+0.*I,2.718568385324443*^-19+0.*I,6.5039583907659*^-20+0.*I,1.538946393936187*^-20+0.*I,3.602312032895572*^-21+0.*I,8.343546559502868*^-22+0.*I,1.9126119860485653*^-22+0.*I,4.3401152548805686*^-23+0.*I,9.751279453693203*^-24+0.*I,2.169662553017918*^-24+0.*I,4.781609371435502*^-25+0.*I,1.0439634802833099*^-25+0.*I,2.25840042128943*^-26+0.*I,4.841650083594333*^-27+0.*I,1.0288035825323683*^-27+0.*I,2.167132723560918*^-28+0.*I,4.526031393693779*^-29+0.*I,9.37327716053083*^-30+0.*I,1.925164941805338*^-30+0.*I,3.921983597421362*^-31+0.*I,7.926141247898036*^-32+0.*I,1.589245929700855*^-32+0.*I,3.161891890861474*^-33+0.*I,6.242826114892115*^-34+0.*I,1.2233308081518751*^-34+0.*I,2.3794889206582356*^-35+0.*I,4.59460074340404*^-36+0.*I,8.808096013553733*^-37+0.*I,1.6766060023122894*^-37+0.*I,3.1691150141841986*^-38+0.*I,5.949015300749512*^-39+0.*I,1.1091574827558018*^-39+0.*I,2.0541030216232746*^-40+0.*I,3.77894775560552*^-41+0.*I,6.906801460607916*^-42+0.*I,1.2542302058632021*^-42+0.*I,2.2631199795415447*^-43+0.*I,4.057914348606105*^-44+0.*I,7.230980848143131*^-45+0.*I,1.2806304056492314*^-45+0.*I,2.254317513977838*^-46+0.*I,3.944597331647606*^-47+0.*I,6.861474738495284*^-48+0.*I,1.1865597764943348*^-48+0.*I,2.0400865704134586*^-49+0.*I,3.4875719718444317*^-50+0.*I,5.928454619819804*^-51+0.*I,1.0021461492543431*^-51+0.*I,1.6846851879792493*^-52+0.*I,2.816637057226119*^-53+0.*I,4.683744414170616*^-54+0.*I,7.74695147668467*^-55+0.*I,1.2745840437695086*^-55+0.*I,2.0860765499923316*^-56+0.*I,3.396563621483552*^-57+0.*I
0.5027252933536526+0.*I,0.17885695309188349+0.*I,-0.23160091771220262+0.*I,-0.3604137363182291+0.*I,-0.20074479215163213+0.*I,0.0664386308968332+0.*I,0.2774931815407971+0.*I,0.3683179357557449+0.*I,0.3553175915997856+0.*I,0.28588162445152693+0.*I,0.2025711408826174+0.*I,0.13011415457613426+0.*I,0.07712337565017412+0.*I,0.04270207706360569+0.*I,0.02228215884679543+0.*I,0.01103159308516872+0.*I,0.005209550336499062+0.*I,0.0023567478915092247+0.*I,0.0010250011644902287+0.*I,0.00042986998356925327+0.*I,0.000174286952251755+0.*I,0.00006846531999197984+0.*I,0.000026109348367560585+0.*I,9.682403875995252*^-6+0.*I,3.4969684345104278*^-6+0.*I,1.2317196071187043*^-6+0.*I,4.236186760472034*^-7+0.*I,1.424172537828876*^-7+0.*I,4.685027441042444*^-8+0.*I,1.5094673921114163*^-8+0.*I,4.7672118107775425*^-9+0.*I,1.476972128150648*^-9+0.*I,4.4922056717303057*^-10+0.*I,1.3421960378350906*^-10+0.*I,3.941943311477402*^-11+0.*I,1.1386590861689024*^-11+0.*I,3.2366841446986207*^-12+0.*I,9.058361328105052*^-13+0.*I,2.49716721319556*^-13+0.*I,6.784032737905542*^-14+0.*I,1.8169920408096876*^-14+0.*I,4.79971099318839*^-15+0.*I,1.2509412296925556*^-15+0.*I,3.217900482347324*^-16+0.*I,8.172752424445894*^-17+0.*I,2.0500426038030555*^-17+0.*I,5.080286352174656*^-18+0.*I,1.2441418013619093*^-18+0.*I,3.0118108618038005*^-19+0.*I,7.209014404921224*^-20+0.*I,1.7065681249674336*^-20+0.*I,3.996458301462232*^-21+0.*I,9.260422035949339*^-22+0.*I,2.1236642009671743*^-22+0.*I,4.820946322573906*^-23+0.*I,1.083573195723631*^-23+0.*I,2.4118393363067876*^-24+0.*I,5.317212868282241*^-25+0.*I,1.161297740348958*^-25+0.*I,2.513057212267573*^-26+0.*I,5.389308978730288*^-27+0.*I,1.145528118171924*^-27+0.*I,2.413726039978839*^-28+0.*I,5.0424894912759655*^-29+0.*I,1.0445755813943112*^-29+0.*I,2.1460187453758554*^-30+0.*I,4.373054199264899*^-31+0.*I,8.83997313089648*^-32+0.*I,1.7729111983169738*^-32+0.*I,3.52814531767499*^-33+0.*I,6.96756826190716*^-34+0.*I,1.3656567546464961*^-34+0.*I,2.6569061186365546*^-35+0.*I,5.1313604502351694*^-36+0.*I,9.839124599093748*^-37+0.*I,1.8732367585461472*^-37+0.*I,3.541477988207593*^-38+0.*I,6.649274661290385*^-39+0.*I,1.2399463067399746*^-39+0.*I,2.2967318257008944*^-40+0.*I,4.2260570671429386*^-41+0.*I,7.725310096333877*^-42+0.*I,1.403100672766276*^-42+0.*I,2.5321533344437256*^-43+0.*I,4.541030562899757*^-44+0.*I,8.093124668373434*^-45+0.*I,1.4335363203523088*^-45+0.*I,2.5238544646101303*^-46+0.*I,4.4168712796496375*^-47+0.*I,7.684063431207954*^-48+0.*I,1.3289942824447487*^-48+0.*I,2.2852870778653696*^-49+0.*I,3.907263721451879*^-50+0.*I,6.642738722649899*^-51+0.*I,1.1230307391958416*^-51+0.*I,1.888135140890435*^-52+0.*I,3.1571688179124405*^-53+0.*I,5.250632237352069*^-54+0.*I,8.685597048234764*^-55+0.*I,1.4291792860394237*^-55+0.*I
-0.46533954122127164+0.*I,0.12469253604541826+0.*I,0.3604137363182291+0.*I,0.1020102312104092+0.*I,-0.23035376355719986+0.*I,-0.32065825698729644+0.*I,-0.16289866492668037+0.*I,0.08295029305464767+0.*I,0.27256668553450947+0.*I,0.3508064170865035+0.*I,0.3344393463058215+0.*I,0.267456139176646+0.*I,0.1888403031836859+0.*I,0.12101862150162933+0.*I,0.07162190943287539+0.*I,0.03961320605367541+0.*I,0.020654236892829025+0.*I,0.010219724702134406+0.*I,0.004824054027846201+0.*I,0.0021816274945257313+0.*I,0.00094859362493481+0.*I,0.00039774611571519023+0.*I,0.00016123726674225461+0.*I,0.00006333115143364727+0.*I,0.000024149061452822244+0.*I,8.954756991521183*^-6+0.*I,3.2339685618071606*^-6+0.*I,1.1390297993572455*^-6+0.*I,3.917256979801553*^-7+0.*I,1.3169128181325965*^-7+0.*I,4.332085757776096*^-8+0.*I,1.3957306560488695*^-8+0.*I,4.407957014704272*^-9+0.*I,1.3656578628458642*^-9+0.*I,4.153625560326441*^-10+0.*I,1.2410318301654907*^-10+0.*I,3.64483234374592*^-11+0.*I,1.0528388578500288*^-11+0.*I,2.992748178101615*^-12+0.*I,8.375711406611941*^-13+0.*I,2.308991576519209*^-13+0.*I,6.272861364149806*^-14+0.*I,1.680096056428625*^-14+0.*I,4.4381273032031254*^-15+0.*I,1.1567122990559374*^-15+0.*I,2.975534523535365*^-16+0.*I,7.557267418287845*^-17+0.*I,1.895673293510795*^-17+0.*I,4.697783801627366*^-18+0.*I,1.150479791767939*^-18+0.*I,2.785102086924072*^-19+0.*I,6.666434934166641*^-20+0.*I,1.5781406732622175*^-20+0.*I,3.695742417563239*^-21+0.*I,8.563701041529027*^-22+0.*I,1.9639066908283387*^-22+0.*I,4.458323263401315*^-23+0.*I,1.0020784721157819*^-23+0.*I,2.2304681820939946*^-24+0.*I,4.917403441297602*^-25+0.*I,1.073988084217291*^-25+0.*I,2.324140059514118*^-26+0.*I,4.984217555784094*^-27+0.*I,1.0594332396530524*^-27+0.*I,2.2323366820074445*^-28+0.*I,4.6635919646975793*^-29+0.*I,9.660935451289386*^-30+0.*I,1.9847990046320485*^-30+0.*I,4.044562369147383*^-31+0.*I,8.176006344851014*^-32+0.*I,1.6397619311512183*^-32+0.*I,3.263200556783076*^-33+0.*I,6.444392205364522*^-34+0.*I,1.2631230574190948*^-34+0.*I,2.4574440255155807*^-35+0.*I,4.746169167085653*^-36+0.*I,9.100607071557199*^-37+0.*I,1.7326455766082822*^-37+0.*I,3.2757044994098846*^-38+0.*I,6.150316983732495*^-39+0.*I,1.1469094007874094*^-39+0.*I,2.1244155826854978*^-40+0.*I,3.9090160656070215*^-41+0.*I,7.145800374583496*^-42+0.*I,1.2978562855378445*^-42+0.*I,2.3422353980542885*^-43+0.*I,4.20046805768471*^-44+0.*I,7.486212833412904*^-45+0.*I,1.3260419848690004*^-45+0.*I,2.334616088641045*^-46+0.*I,4.0857186671424653*^-47+0.*I,7.107995863315861*^-48+0.*I,1.2293677232805402*^-48+0.*I,2.113984933262656*^-49+0.*I,3.6144002188671027*^-50+0.*I,6.14487480435069*^-51+0.*I,1.0388667067306012*^-51+0.*I,1.7466405553514616*^-52+0.*I,2.920589463607513*^-53+0.*I,4.857205966278086*^-54+0.*I
0.3730266071465383+0.*I,-0.33262610257298314+0.*I,-0.20074479215163213+0.*I,0.23035376355719986+0.*I,0.2866669716147644+0.*I,-0.0004964905186023397+0.*I,-0.26214133442452275+0.*I,-0.28198949245028404+0.*I,-0.10118613545213184+0.*I,0.12763574079984044+0.*I,0.28657957121311906+0.*I,0.34020607703808337+0.*I,0.31186900183377814+0.*I,0.2434254582907303+0.*I,0.16899138148398676+0.*I,0.1069403972988619+0.*I,0.06266951283523566+0.*I,0.034387439759493+0.*I,0.017812240073030217+0.*I,0.008764940500499165+0.*I,0.004117853466220497+0.*I,0.0018546588429000786+0.*I,0.0008035459175155206+0.*I,0.0003358657126874254+0.*I,0.00013577057685708308+0.*I,0.00005319431970065959+0.*I,0.000020237818628865782+0.*I,7.489024969400175*^-6+0.*I,2.6995734846911805*^-6+0.*I,9.491870379549604*^-7+0.*I,3.2592445787852406*^-7+0.*I,1.0941167369290136*^-7+0.*I,3.5943707313730723*^-8+0.*I,1.156615065209703*^-8+0.*I,3.648578715984678*^-9+0.*I,1.1291751168369933*^-9+0.*I,3.430917559681226*^-10+0.*I,1.0241345576323875*^-10+0.*I,3.0051618966942806*^-11+0.*I,8.673437389894463*^-12+0.*I,2.46353856637857*^-12+0.*I,6.889533335821924*^-13+0.*I,1.8979591309724523*^-13+0.*I,5.152793069486333*^-14+0.*I,1.3792356529137307*^-14+0.*I,3.641205479378314*^-15+0.*I,9.484721011018194*^-16+0.*I,2.438539336643342*^-16+0.*I,6.190220037882717*^-17+0.*I,1.5519992915824362*^-17+0.*I,3.8443002856016955*^-18+0.*I,9.4104072423849*^-19+0.*I,2.2771100040894183*^-19+0.*I,5.44825976459525*^-20+0.*I,1.2892539244075043*^-20+0.*I,3.0180741728385936*^-21+0.*I,6.990876790242411*^-22+0.*I,1.6026512683276956*^-22+0.*I,3.6370018097288695*^-23+0.*I,8.172085513773857*^-24+0.*I,1.8184088712243667*^-24+0.*I,4.007749266453588*^-25+0.*I,8.750602512724636*^-26+0.*I,1.8931234766444994*^-26+0.*I,4.058783846247373*^-27+0.*I,8.624992870013035*^-28+0.*I,1.816915787095537*^-28+0.*I,3.794802301480734*^-29+0.*I,7.859314756045136*^-30+0.*I,1.6142922149630283*^-30+0.*I,3.2888218506735458*^-31+0.*I,6.646854340797971*^-32+0.*I,1.3327990527711011*^-32+0.*I,2.6517907812871544*^-33+0.*I,5.235903474496369*^-34+0.*I,1.026058121307808*^-34+0.*I,1.9958546705786682*^-35+0.*I,3.853982394563875*^-36+0.*I,7.38856788396468*^-37+0.*I,1.4064526026443705*^-37+0.*I,2.6585665433165416*^-38+0.*I,4.990794388412862*^-39+0.*I,9.305345157193034*^-40+0.*I,1.7233592236935333*^-40+0.*I,3.1705780426750095*^-41+0.*I,5.795063022058009*^-42+0.*I,1.0523779818960565*^-42+0.*I,1.8989567285624518*^-43+0.*I,3.40504656760253*^-44+0.*I,6.067779473917659*^-45+0.*I,1.0746536086493465*^-45+0.*I,1.8917843131278935*^-46+0.*I,3.310326190476783*^-47+0.*I,5.758334719185504*^-48+0.*I,9.95818375638983*^-49+0.*I,1.712182086809166*^-49+0.*I,2.92708367688657*^-50+0.*I,4.9758106126739007*^-51+0.*I,8.41130866878763*^-52+0.*I,1.41403846081618*^-52+0.*I
-0.26745742342693013+0.*I,0.4053131192761633+0.*I,-0.0664386308968332+0.*I,-0.32065825698729644+0.*I,0.0004964905186023397+0.*I,0.28702295178432125+0.*I,0.18740959366506998+0.*I,-0.1079853499076276+0.*I,-0.2841418897205049+0.*I,-0.2272693644401138+0.*I,-0.024971318007281643+0.*I,0.18114085965187993+0.*I,0.30343713273546524+0.*I,0.32833933355324274+0.*I,0.2861630825500506+0.*I,0.21602615473550307+0.*I,0.14636720348014648+0.*I,0.09090132228209122+0.*I,0.05247433011788654+0.*I,0.02843804818173395+0.*I,0.014577409362179359+0.*I,0.0071093111505671665+0.*I,0.0033142285035086282+0.*I,0.001482600666486856+0.*I,0.0006384983708588109+0.*I,0.0002654522904223177+0.*I,0.00010679134018014623+0.*I,0.000041658863085492784+0.*I,0.00001578669270422583+0.*I,5.820873534437559*^-6+0.*I,2.0913383959435014*^-6+0.*I,7.3309796379465*^-7+0.*I,2.5102069076205013*^-7+0.*I,8.404820830667227*^-8+0.*I,2.754482587848086*^-8+0.*I,8.843621396080965*^-9+0.*I,2.783900435595075*^-9+0.*I,8.59880760956238*^-10+0.*I,2.6078761642499656*^-10+0.*I,7.771081129025383*^-11+0.*I,2.2765845953112565*^-11+0.*I,6.5605262365566174*^-12+0.*I,1.860694144108494*^-12+0.*I,5.19645715351044*^-13+0.*I,1.4296752315927025*^-13+0.*I,3.876635116404743*^-14+0.*I,1.0364275297942486*^-14+0.*I,2.733118861327518*^-15+0.*I,7.111703419227885*^-16+0.*I,1.8265681470173238*^-16+0.*I,4.6322190929174307*^-17+0.*I,1.160299102320724*^-17+0.*I,2.871497980938743*^-18+0.*I,7.023096697873099*^-19+0.*I,1.6980422741893914*^-19+0.*I,4.059577755768677*^-20+0.*I,9.599167177913472*^-21+0.*I,2.245482716380621*^-21+0.*I,5.197663089425524*^-22+0.*I,1.190757878005897*^-22+0.*I,2.700514840370628*^-23+0.*I,6.0640763625720524*^-24+0.*I,1.3485329497831558*^-24+0.*I,2.9704201505151847*^-25+0.*I,6.482032539569577*^-26+0.*I,1.4015747421139837*^-26+0.*I,3.0033439567476102*^-27+0.*I,6.3789192010696995*^-28+0.*I,1.3431032133555133*^-28+0.*I,2.8038622474660765*^-29+0.*I,5.8043222036665675*^-30+0.*I,1.1916655608203812*^-30+0.*I,2.426743135211785*^-31+0.*I,4.902486517647295*^-32+0.*I,9.826232271812872*^-33+0.*I,1.954289058598484*^-33+0.*I,3.857209637753216*^-34+0.*I,7.555971505036065*^-35+0.*I,1.469225573430187*^-35+0.*I,2.836055996086862*^-36+0.*I,5.435193080858206*^-37+0.*I,1.0342687517463249*^-37+0.*I,1.9543990218249586*^-38+0.*I,3.667722226823863*^-39+0.*I,6.83634265694721*^-40+0.*I,1.2657126268428152*^-40+0.*I,2.327924937327056*^-41+0.*I,4.2536627615849464*^-42+0.*I,7.72243106045692*^-43+0.*I,1.3930851735296347*^-43+0.*I,2.497288908472996*^-44+0.*I,4.4489893913077373*^-45+0.*I,7.877502620742366*^-46+0.*I,1.3863812710653156*^-46+0.*I,2.425354968762197*^-47+0.*I,4.2179094280385004*^-48+0.*I,7.29253619485352*^-49+0.*I,1.253570415792706*^-49+0.*I,2.1425767791034035*^-50+0.*I,3.641410525814392*^-51+0.*I
0.175056757425892+0.*I,-0.37447537377678686+0.*I,0.2774931815407971+0.*I,0.16289866492668037+0.*I,-0.26214133442452275+0.*I,-0.18740959366506998+0.*I,0.16435925691598938+0.*I,0.27310427986849284+0.*I,0.06128636535720321+0.*I,-0.1992485319577605+0.*I,-0.27705921181403675+0.*I,-0.1523719952028585+0.*I,0.05756559307929535+0.*I,0.23174206104624473+0.*I,0.31424659441818376+0.*I,0.3110696990020727+0.*I,0.25696868432926356+0.*I,0.1868758039548838+0.*I,0.12310010718536746+0.*I,0.07476542773528072+0.*I,0.042379300364400636+0.*I,0.022618635430118505+0.*I,0.011444059084747582+0.*I,0.005518500216990025+0.*I,0.002547290126800766+0.*I,0.0011295849879969127+0.*I,0.00048268572999593897+0.*I,0.00019927200165539662+0.*I,0.00007966069273990414+0.*I,0.000030896906911613736+0.*I,0.000011647042002149458+0.*I,4.273846788318842*^-6+0.*I,1.5287186720370546*^-6+0.*I,5.336843038261941*^-7+0.*I,1.820460612572072*^-7+0.*I,6.073873044506414*^-8+0.*I,1.984023592475337*^-8+0.*I,6.350386205108408*^-9+0.*I,1.9932945708345997*^-9+0.*I,6.140171398839729*^-10+0.*I,1.8574770581423143*^-10+0.*I,5.52173817533769*^-11+0.*I,1.6139655710503717*^-11+0.*I,4.641076039912493*^-12+0.*I,1.313631865735496*^-12+0.*I,3.6615925891690386*^-13+0.*I,1.0055552008727396*^-13+0.*I,2.7218743468783075*^-14+0.*I,7.264950915307173*^-15+0.*I,1.9127856375718404*^-15+0.*I,4.969659144142538*^-16+0.*I,1.274568210409898*^-16+0.*I,3.2278822192489934*^-17+0.*I,8.074680270962667*^-18+0.*I,1.995788413343678*^-18+0.*I,4.875370013124621*^-19+0.*I,1.1773928330477874*^-19+0.*I,2.811690253192085*^-20+0.*I,6.641291020177763*^-21+0.*I,1.5519530725480967*^-21+0.*I,3.5887524092225714*^-22+0.*I,8.213741375130472*^-23+0.*I,1.8610633777971494*^-23+0.*I,4.1753256630326856*^-24+0.*I,9.277088321962372*^-25+0.*I,2.0417619527966096*^-25+0.*I,4.4519220774381476*^-26+0.*I,9.618628911096434*^-27+0.*I,2.0595551441035166*^-27+0.*I,4.371165655359699*^-28+0.*I,9.197107165989113*^-29+0.*I,1.9186672125177414*^-29+0.*I,3.9692149262260874*^-30+0.*I,8.143783364645352*^-31+0.*I,1.657381834381863*^-31+0.*I,3.3461852256397405*^-32+0.*I,6.702902893407671*^-33+0.*I,1.3323374827758702*^-33+0.*I,2.6281802292998334*^-34+0.*I,5.145591388963858*^-35+0.*I,1.0000066965667602*^-35+0.*I,1.9293222940198416*^-36+0.*I,3.6956120747421378*^-37+0.*I,7.028972811951838*^-38+0.*I,1.327590632203068*^-38+0.*I,2.4902622272148966*^-39+0.*I,4.639542866997946*^-40+0.*I,8.586062495612705*^-41+0.*I,1.578483806817953*^-41+0.*I,2.883041765000592*^-42+0.*I,5.231942633423199*^-43+0.*I,9.43434689367656*^-44+0.*I,1.6905664016500774*^-44+0.*I,3.0106341842574424*^-45+0.*I,5.328710349390991*^-46+0.*I,9.374687937507687*^-47+0.*I,1.639432520262444*^-47+0.*I,2.850118965118296*^-48+0.*I,4.9260081634086886*^-49+0.*I,8.464849703124083*^-50+0.*I
-0.10607907113755331+0.*I,0.29308592295291636+0.*I,-0.3683179357557449+0.*I,0.08295029305464767+0.*I,0.28198949245028404+0.*I,-0.1079853499076276+0.*I,-0.27310427986849284+0.*I,-0.0011336309801229588+0.*I,0.2548230824842392+0.*I,0.19023075713324253+0.*I,-0.07025808938689462+0.*I,-0.2549793072854815+0.*I,-0.23438477065455526+0.*I,-0.06197996136172827+0.*I,0.13730888641929978+0.*I,0.2715111343459661+0.*I,0.3145779716914006+0.*I,0.2872157175126998+0.*I,0.22507303548193666+0.*I,0.1575029519350151+0.*I,0.10069607154141486+0.*I,0.05969689623235994+0.*I,0.03316380309166634+0.*I,0.017400075423181803+0.*I,0.008674696494853314+0.*I,0.004129431702336903+0.*I,0.001884497788366041+0.*I,0.0008272231821190142+0.*I,0.00035027204616797753+0.*I,0.00014341886599726446+0.*I,0.00005690492080869655+0.*I,0.000021920413447775904+0.*I,8.211511779572034*^-6+0.*I,2.995819578964752*^-6+0.*I,1.0658685433018793*^-6+0.*I,3.702615445564043*^-7+0.*I,1.2571991387849211*^-7+0.*I,4.176591327866964*^-8+0.*I,1.358807620300704*^-8+0.*I,4.332871631301873*^-9+0.*I,1.3552242436964564*^-9+0.*I,4.1607790219937686*^-10+0.*I,1.2547426971024274*^-10+0.*I,3.7189443520476496*^-11+0.*I,1.0839772459641575*^-11+0.*I,3.1087833062278746*^-12+0.*I,8.777082686472973*^-13+0.*I,2.440651173067403*^-13+0.*I,6.687306198411459*^-14+0.*I,1.806216348466009*^-14+0.*I,4.810988419792834*^-15+0.*I,1.2641785362331206*^-15+0.*I,3.27828752790133*^-16+0.*I,8.392613558194873*^-17+0.*I,2.1217716800128457*^-17+0.*I,5.298881181885365*^-18+0.*I,1.3076164538584921*^-18+0.*I,3.1893920388181776*^-19+0.*I,7.690984930069865*^-20+0.*I,1.834056108560981*^-20+0.*I,4.3261858683267644*^-21+0.*I,1.0096258249497566*^-21+0.*I,2.331712877305695*^-22+0.*I,5.330178096298977*^-23+0.*I,1.2062834772323541*^-23+0.*I,2.7032333919137174*^-24+0.*I,5.99965701433493*^-25+0.*I,1.3190374644101193*^-25+0.*I,2.873107328362523*^-26+0.*I,6.201317925834934*^-27+0.*I,1.3265522777014283*^-27+0.*I,2.8128157343349726*^-28+0.*I,5.91290223113945*^-29+0.*I,1.2324415828716834*^-29+0.*I,2.5474157100698813*^-30+0.*I,5.222286860028428*^-31+0.*I,1.0619564631968083*^-31+0.*I,2.1423657908383494*^-32+0.*I,4.288205152473066*^-33+0.*I,8.517358554317992*^-34+0.*I,1.6789300176200574*^-34+0.*I,3.284791973139573*^-35+0.*I,6.379382393803243*^-36+0.*I,1.2299610992188193*^-36+0.*I,2.354459652248855*^-37+0.*I,4.475300002956282*^-38+0.*I,8.447471779877812*^-39+0.*I,1.5836038234786586*^-39+0.*I,2.9486410668142337*^-40+0.*I,5.453711469252347*^-41+0.*I,1.0020642186211244*^-41+0.*I,1.8292344705268015*^-42+0.*I,3.317798020414652*^-43+0.*I,5.979607202731347*^-44+0.*I,1.070956991879779*^-44+0.*I,1.9062582219840827*^-45+0.*I,3.3723651838043096*^-46+0.*I,5.930109096849074*^-47+0.*I,1.0365667565395142*^-47+0.*I,1.8012289939716845*^-48+0.*I
