0.011243225549054943+0.*I,0.-0.033684634338350276*I,-0.07136047851680347+0.*I,0.+0.12343492014204469*I,0.18490512937889672+0.*I,0.-0.2477449843824776*I,-0.3030192088041023+0.*I,0.+0.3431326577006501*I,0.3634611318963209+0.*I,0.-0.36297576914836965*I,-0.3438892091438241+0.*I,0.+0.31064410743595544*I,0.26866643407474367+0.*I,0.-0.2232454669096869*I,-0.17875555444706415+0.*I,0.+0.1382785542197149*I,0.10357042370546321+0.*I,0.-0.07525791920858481*I,-0.05314432166072505+0.*I,0.+0.03652758682585211*I,0.024470728470589186+0.*I,0.-0.015998459450657167*I,-0.010218984458292736+0.*I,0.+0.006383880293634268*I,0.0039040918638552657+0.*I,0.-0.0023393270246783787*I,-0.0013745013734762829+0.*I,0.+0.0007925090133760076*I,0.00044871037233027697+0.*I,0.-0.00024963646493122657*I,-0.00013654893296455894+0.*I,0.+0.00007347648599315963*I,0.00003891475522294365+0.*I,0.-0.000020295429538025524*I,-0.000010427968315438073+0.*I,0.+5.280883599376803*^-6*I,2.6369157773018695*^-6+0.*I,0.-1.298782148941634*^-6*I,-6.312267960458534*^-7+0.*I,0.+3.028266117543325*^-7*I,1.434514544431383*^-7+0.*I,0.-6.712030815291807*^-8*I,-3.102917370676896*^-8+0.*I,0.+1.4176757057169743*^-8*I,6.403117523409996*^-9+0.*I,0.-2.859737235999447*^-9*I,-1.2632465725874476*^-9+0.*I,0.+5.520521604142324*^-10*I,2.38726378211327*^-10+0.*I,0.-1.0217467934525138*^-10*I,-4.329115725075296*^-11+0.*I,0.+1.8161638273953185*^-11*I,7.545608423837362*^-12+0.*I,0.-3.105254810864203*^-12*I,-1.266022072748965*^-12+0.*I,0.+5.114472490394162*^-13*I,2.0476123846548773*^-13+0.*I,0.-8.12552131667578*^-14*I,-3.196525338391797*^-14+0.*I,0.+1.2467892805844268*^-14*I,4.82234579141166*^-15+0.*I,0.-1.8498407632677435*^-15*I,-7.038488652792795*^-16+0.*I,0.+2.6567461153813124*^-16*I,9.949493701339756*^-17+0.*I,0.-3.697304482152709*^-17*I,-1.3634969275906564*^-17+0.*I,0.+4.99065647111417*^-18*I,1.8131934198174896*^-18+0.*I,0.-6.539740311136659*^-19*I,-2.341813996091361*^-19+0.*I,0.+8.326531648121438*^-20*I,2.939942273712853*^-20+0.*I,0.-1.030904148191093*^-20*I,-3.590404185065805*^-21+0.*I,0.+1.242091597681489*^-21*I,4.268622428715814*^-22+0.*I,0.-1.4574151963250002*^-22*I,-4.9439822900207046*^-23+0.*I,0.+1.6664959974189148*^-23*I,5.582133203130056*^-24+0.*I,0.-1.8582262907760126*^-24*I,-6.147982014067562*^-25+0.*I,0.+2.0217826079786478*^-25*I,6.608999627997378*^-26+0.*I,0.-2.147668160673302*^-26*I,-6.938392553596175*^-27+0.*I,0.+2.228641201371888*^-27*I,7.117700885567102*^-28+0.*I,0.-2.2604017981068512*^-28*I,-7.138472709643499*^-29+0.*I,0.+2.2419479290864147*^-29*I,7.002812883345959*^-30+0.*I,0.-2.1755644919910596*^-30*I,-6.722780773003006*^-31+0.*I,0.+2.0664650327428344*^-31*I,6.318781798992531*^-32+0.*I,0.-1.9221549994619676*^-32*I,-5.8172306258306575*^-33+0.*I,0.+1.7516188038286958*^-33*I
0.-0.033684634338350276*I,-0.08967573098684244+0.*I,0.+0.16615828638935498*I,0.2462102843142625+0.*I,0.-0.30710478587975415*I,-0.32878200515231665+0.*I,0.+0.3009948809097147*I,0.2263098552752969+0.*I,0.-0.11840159101834133*I,0.002910232040474319+0.*I,0.-0.11754021826040752*I,-0.20986364797049845+0.*I,0.+0.2711797763441447*I,0.29984856332882637+0.*I,0.-0.2997575126958319*I,-0.2780355905936995+0.*I,0.+0.24281786681766368*I,0.2015595352604537+0.*I,0.-0.16007225043698237*I,-0.12221430290376585+0.*I,0.+0.09004218295794326*I,0.06420767977461883+0.*I,0.-0.04442341198699266*I,-0.029882461850529448+0.*I,0.+0.01957786347343378*I,0.01251184999446069+0.*I,0.-0.007810276517639395*I,-0.004767766530040135+0.*I,0.+0.002849230016815058*I,0.0016684699977897461+0.*I,0.-0.0009582154699681057*I,-0.0005401371842916701+0.*I,0.+0.00029905740560858495*I,0.0001627432676446035+0.*I,0.-0.00008709954462227416*I,-0.000045871197865954966+0.*I,0.+0.000023785118205658457*I,0.000012148589185129714+0.*I,0.-6.115079281474384*^-6*I,-3.034743418433379*^-6+0.*I,0.+1.4854639865524995*^-6*I,7.174454559604314*^-7+0.*I,0.-3.4202609985993954*^-7*I,-1.6099842241462474*^-7+0.*I,0.+7.485426723286311*^-8*I,3.4385663045454484*^-8+0.*I,0.-1.561100266637357*^-8*I,-7.0064373121242985*^-9+0.*I,0.+3.1095068056457366*^-9*I,1.3649699389050712*^-9+0.*I,0.-5.927840464273698*^-10*I,-2.5474854494160814*^-10+0.*I,0.+1.0835883982902527*^-10*I,4.562953426301011*^-11+0.*I,0.-1.90258751092643*^-11*I,-7.856778179691799*^-12+0.*I,0.+3.213857348215465*^-12*I,1.3024733321320723*^-12+0.*I,0.-5.230535653361365*^-13*I,-2.0817604022984497*^-13+0.*I,0.+8.212816417687661*^-14*I,3.212161314715966*^-14+0.*I,0.-1.2456933880257536*^-14*I,-4.790667678204736*^-15+0.*I,0.+1.8273106752144988*^-15*I,6.913828128092622*^-16+0.*I,0.-2.595201522871109*^-16*I,-9.66550575777701*^-17+0.*I,0.+3.572169125057438*^-17*I,1.3102213569034313*^-17+0.*I,0.-4.7699332746600006*^-18*I,-1.7237851730339296*^-18+0.*I,0.+6.184491500260458*^-19*I,2.203029533361099*^-19+0.*I,0.-7.792489924464036*^-20*I,-2.7372513582228776*^-20+0.*I,0.+9.549426861289514*^-21*I,3.3090602863922265*^-21+0.*I,0.-1.1390328454821122*^-21*I,-3.8950264068805805*^-22+0.*I,0.+1.3233189676141282*^-22*I,4.467196433219959*^-23+0.*I,0.-1.4985023120642883*^-23*I,-4.9953533572292825*^-24+0.*I,0.+1.6549891470930416*^-24*I,5.449756533715035*^-25+0.*I,0.-1.7837917051154505*^-25*I,-5.804002208504453*^-26+0.*I,0.+1.8774048836392644*^-26*I,6.037610602483421*^-27+0.*I,0.-1.9305372310382216*^-27*I,-6.137982740417558*^-28+0.*I,0.+1.940597068699864*^-28*I,6.101470400374954*^-29+0.*I,0.-1.9078739363182373*^-29*I,-5.9334445138288374*^-30+0.*I,0.+1.835403647982339*^-30*I,5.647401890630324*^-31+0.*I,0.-1.7285524980147113*^-31*I,-5.263287479134779*^-32+0.*I
-0.07136047851680347+0.*I,0.+0.16615828638935498*I,0.2623285302788643+0.*I,0.-0.31809191323391606*I,-0.3024037425662959+0.*I,0.+0.21094528315640496*I,0.0681867706822566+0.*I,0.+0.08367524862511423*I,0.2017874139209047+0.*I,0.-0.2573329940862542*I,-0.24250001249215578+0.*I,0.+0.1689372796307625*I,0.06043212726996718+0.*I,0.+0.05615003693980045*I,0.158292170485154+0.*I,0.-0.23190481992708575*I,-0.2719967779870022+0.*I,0.+0.280928284010809*I,0.26556753591768867+0.*I,0.-0.2344663317444868*I,-0.195722316134901+0.*I,0.+0.1557468495323813*I,0.11884233718978+0.*I,0.-0.08734149610269662*I,-0.062040424310658884+0.*I,0.+0.04271200165870917*I,0.02856614313089971+0.*I,0.-0.018596334285862482*I,-0.011803290534047793+0.*I,0.+0.0073149117471597415*I,0.004431988970469845+0.*I,0.-0.0026282241768335697*I,-0.001526999346252679+0.*I,0.+0.0008700073376100724*I,0.000486488381348314+0.*I,0.-0.0002671859749303951*I,-0.00014422653360746695+0.*I,0.+0.00007656702670518022*I,0.00003999975323138939+0.*I,0.-0.000020574392792885562*I,-0.000010424848192317872+0.*I,0.+5.205824986324523*^-6*I,2.5631700741585234*^-6+0.*I,0.-1.244836629133006*^-6*I,-5.965717045037218*^-7+0.*I,0.+2.822193664522093*^-7*I,1.3183613197095126*^-7+0.*I,0.-6.083409295496198*^-8*I,-2.7736941200476373*^-8+0.*I,0.+1.2499601615418383*^-8*I,5.569044071543691*^-9+0.*I,0.-2.4537310809602275*^-9*I,-1.0694109484625666*^-9+0.*I,0.+4.611456683840089*^-10*I,1.9679193543563042*^-10+0.*I,0.-8.312804402666654*^-11*I,-3.476564555539091*^-11+0.*I,0.+1.4398029658823944*^-11*I,5.9059510835868845*^-12+0.*I,0.-2.3998896829815687*^-12*I,-9.66239638237812*^-13+0.*I,0.+3.855183739254116*^-13*I,1.5245571360433735*^-13+0.*I,0.-5.976539816560791*^-14*I,-2.3228973895508934*^-14+0.*I,0.+8.952587747366675*^-15*I,3.4219016689836588*^-15+0.*I,0.-1.2973189416800877*^-15*I,-4.879150329027836*^-16+0.*I,0.+1.8206055213008399*^-16*I,6.740869654659001*^-17+0.*I,0.-2.4768340069103023*^-17*I,-9.032534212744521*^-18+0.*I,0.+3.2696656918843962*^-18*I,1.1749676208787487*^-18+0.*I,0.-4.1920227424541147*^-19*I,-1.4850516409479733*^-19+0.*I,0.+5.224243240411765*^-20*I,1.8252047961392837*^-20+0.*I,0.-6.333553933889001*^-21*I,-2.1830875225162433*^-21+0.*I,0.+7.475180337743896*^-22*I,2.542945526117995*^-22+0.*I,0.-8.595166475254568*^-23*I,-2.886751589942533*^-23+0.*I,0.+9.63468509086936*^-24*I,3.1957502920801857*^-24+0.*I,0.-1.0535343673003152*^-24*I,-3.4522136341216637*^-25+0.*I,0.+1.1244792344820367*^-25*I,3.6411704095151345*^-26+0.*I,0.-1.1721861567408708*^-26*I,-3.7518693644056514*^-27+0.*I,0.+1.1940518802985168*^-27*I,3.7787766435950063*^-28+0.*I,0.-1.1892120841622569*^-28*I,-3.7219829667458235*^-29+0.*I,0.+1.1585712266964857*^-29*I,3.586989628555222*^-30+0.*I,0.-1.1046423917195452*^-30*I
0.+0.12343492014204469*I,0.2462102843142625+0.*I,0.-0.31809191323391606*I,-0.28788708940217683+0.*I,0.+0.15577829373399288*I,-0.02552151397931965+0.*I,0.+0.18037644275850206*I,0.24889325670081663+0.*I,0.-0.21239821715696924*I,-0.09561256472927705+0.*I,0.-0.050362170448619015*I,-0.17213496561361477+0.*I,0.+0.23334282182613464*I,0.2229243483600408+0.*I,0.-0.15250601423897517*I,-0.0471824893512596+0.*I,0.-0.06507812095103353*I,-0.161549557076441+0.*I,0.+0.2287687335533143*I,0.2627650224007672+0.*I,0.-0.2668411685751091*I,-0.24843135504830113+0.*I,0.+0.2161983744180238*I,0.17798164032148997+0.*I,0.-0.13972538700429232*I,-0.10521471278841193+0.*I,0.+0.07632878947247074*I,0.05353164624858502+0.*I,0.-0.03639614137423419*I,-0.024045041965412864+0.*I,0.+0.015465602964840409*I,0.009700712452290584+0.*I,0.-0.005942435662656612*I,-0.003559599271611279+0.*I,0.+0.0020873837710969536*I,0.0011995124721677721+0.*I,0.-0.0006760852742400162*I,-0.00037406605644907485+0.*I,0.+0.0002033149583680004*I,0.00010863285548349435+0.*I,0.-0.000057094805844741826*I,-0.00002953434067048664+0.*I,0.+0.000015044801240563039*I,7.5507642588834735*^-6+0.*I,0.-3.7354486808566877*^-6*I,-1.8223467583519063*^-6+0.*I,0.+8.770670160102298*^-7*I,4.165954107929121*^-7+0.*I,0.-1.9535873499305718*^-7*I,-9.0476479351071*^-8+0.*I,0.+4.139642363321588*^-8*I,1.8717445434892822*^-8+0.*I,0.-8.365896539507293*^-9*I,-3.697258543390634*^-9+0.*I,0.+1.6160769175733104*^-9*I,6.98823003241433*^-10+0.*I,0.-2.9901874600260076*^-10*I,-1.2663511892608812*^-10+0.*I,0.+5.3091937986699616*^-11*I,2.2040009571756656*^-11+0.*I,0.-9.06129167221076*^-12*I,-3.6901701295735675*^-12+0.*I,0.+1.488881459929439*^-12*I,5.952613768474301*^-13+0.*I,0.-2.358645145660047*^-13*I,-9.263935933511594*^-14+0.*I,0.+3.607236585164915*^-14*I,1.3927254711700517*^-14+0.*I,0.-5.332508484381381*^-15*I,-2.025041268866299*^-15+0.*I,0.+7.628366438555156*^-16*I,2.850897773963119*^-16+0.*I,0.-1.0571567364954055*^-16*I,-3.8900768742093757*^-17+0.*I,0.+1.4206587907065368*^-17*I,5.149728067012721*^-18+0.*I,0.-1.853063508168444*^-18*I,-6.619953157754182*^-19+0.*I,0.+2.3481392420609357*^-19*I,8.270684767522874*^-20+0.*I,0.-2.8930162776717004*^-20*I,-1.0050645288210298*^-20+0.*I,0.+3.4682578348533416*^-21*I,1.1888929384214824*^-21+0.*I,0.-4.048802247472329*^-22*I,-1.369936078745582*^-22+0.*I,0.+4.605750902991718*^-23*I,1.538730374191494*^-23+0.*I,0.-5.108826650736706*^-24*I,-1.6858157575779935*^-24+0.*I,0.+5.529199396924257*^-25*I,1.8026428151446507*^-25+0.*I,0.-5.842297958976491*^-26*I,-1.8824127817994764*^-26+0.*I,0.+6.030217648533075*^-27*I,1.920733884467875*^-27+0.*I,0.-6.083393953207339*^-28*I,-1.9160066547741748*^-28+0.*I,0.+6.001330947432771*^-29*I,1.869494488644524*^-29+0.*I
0.18490512937889672+0.*I,0.-0.30710478587975415*I,-0.3024037425662959+0.*I,0.+0.15577829373399288*I,-0.05453168621350991+0.*I,0.+0.2123965762704546*I,0.23894601114648178+0.*I,0.-0.1342257253478423*I,0.0338163454961184+0.*I,0.-0.17536999888847662*I,-0.22661911462169193+0.*I,0.+0.17434143567488494*I,0.05140032065833317+0.*I,0.+0.08672476866213533*I,0.18859972876121783+0.*I,0.-0.22464740325716634*I,-0.19185180301721774+0.*I,0.+0.10783875456317234*I,-3.5051733868384035*^-6+0.*I,0.+0.1049687029937882*I,0.1878332053030752+0.*I,0.-0.2392605237081373*I,-0.25875867391553364+0.*I,0.+0.25180954181751153*I,0.22665600391478238+0.*I,0.-0.19170215250913392*I,-0.15390564577905763+0.*I,0.+0.11811777132007338*I,0.0871101158072674+0.*I,0.-0.061980211175181946*I,-0.04268263389783171+0.*I,0.+0.028522779207319535*I,0.018536007948667752+0.*I,0.-0.011736078246752067*I,-0.007251031612655721+0.*I,0.+0.004377698482983019*I,0.002585763762494733+0.*I,0.-0.0014958832887473357*I,-0.0008483838381211625+0.*I,0.+0.00047211907181790705*I,0.0002579994091290012+0.*I,0.-0.0001385502164042214*I,-0.0000731651359708119+0.*I,0.+0.00003801665806902838*I,0.000019447361333044664+0.*I,0.-9.799205946125588*^-6*I,-4.8660348465799415*^-6+0.*I,0.+2.3823756220797436*^-6*I,1.1504820533608583*^-6+0.*I,0.-5.482220856722437*^-7*I,-2.5787094560666893*^-7+0.*I,0.+1.19776122798872*^-7*I,5.4954622067176115*^-8+0.*I,0.-2.4913841178931613*^-8*I,-1.1163717083332876*^-8+0.*I,0.+4.945738893698177*^-9*I,2.166827093564426*^-9+0.*I,0.-9.390719954013018*^-10*I,-4.026806072569409*^-10+0.*I,0.+1.7088759054646496*^-10*I,7.178680306525126*^-11+0.*I,0.-2.9857611709057946*^-11*I,-1.2297874496955957*^-11+0.*I,0.+5.017115406756793*^-12*I,2.0277211925886003*^-12+0.*I,0.-8.120267807106368*^-13*I,-3.222665638047679*^-13+0.*I,0.+1.267695353355925*^-13*I,4.943546100092514*^-14+0.*I,0.-1.9114065542512838*^-14*I,-7.328628470785446*^-15+0.*I,0.+2.786824300214552*^-15*I,1.0511717362380712*^-15+0.*I,0.-3.933443242955654*^-16*I,-1.460371080939813*^-16+0.*I,0.+5.380205339382854*^-17*I,1.9671260815247815*^-17+0.*I,0.-7.138616206158351*^-18*I,-2.5715416280941864*^-18+0.*I,0.+9.196413025835158*^-19*I,3.265389726692937*^-19+0.*I,0.-1.1512989687578623*^-19*I,-4.0310792454278235*^-20+0.*I,0.+1.4017708367768332*^-20*I,4.841682556545655*^-21+0.*I,0.-1.6611896142159426*^-21*I,-5.6621922150926235*^-22+0.*I,0.+1.9174778897056616*^-22*I,6.451984541835576*^-23+0.*I,0.-2.157294031358141*^-23*I,-7.16825390100507*^-24+0.*I,0.+2.3672246912829887*^-24*I,7.769996807171274*^-25+0.*I,0.-2.535069204213078*^-25*I,-8.222009783207553*^-26+0.*I,0.+2.651039220694343*^-26*I,8.498345360748536*^-27+0.*I,0.-2.7087068943811797*^-27*I,-8.584751565169257*^-28+0.*I,0.+2.705574751946157*^-28*I
0.-0.2477449843824776*I,-0.32878200515231665+0.*I,0.+0.21094528315640496*I,-0.02552151397931965+0.*I,0.+0.2123965762704546*I,0.23004769050669596+0.*I,0.-0.08748282311910535*I,0.10288250627383128+0.*I,0.-0.21509240756707124*I,-0.1895999593279112+0.*I,0.+0.05562480208361279*I,-0.10253923887443911+0.*I,0.+0.20121991372628437*I,0.19907863612873736+0.*I,0.-0.10757689580341911*I,0.025670675401050468+0.*I,0.-0.1448090124208265*I,-0.20926957948154276+0.*I,0.+0.20461434707695933*I,0.1406353968863737+0.*I,0.-0.041730758495653886*I,0.06437050695597987+0.*I,0.-0.1551795137323717*I,-0.21758872153016826+0.*I,0.+0.24800220596013756*I,0.24996626207052514+0.*I,0.-0.2309378144910608*I,-0.1993844037651382+0.*I,0.+0.1628032470892865*I,0.12674480506744365+0.*I,0.-0.0946315998687598*I,-0.068062679234722+0.*I,0.+0.047322103103836013*I,0.03189529192194703+0.*I,0.-0.0208886591156724*I,-0.013318970710772256+0.*I,0.+0.008282064236970733*I,0.005029779926714411+0.*I,0.-0.002987159253386102*I,-0.0017368387657870116+0.*I,0.+0.0009896740943013862*I,0.0005531614822241127+0.*I,0.-0.0003035264300314323*I,-0.0001636257090758531+0.*I,0.+0.00008671910185475023*I,0.00004521262603202215+0.*I,0.-0.000023202710498928662*I,-0.00001172695633077507+0.*I,0.+5.840048461095687*^-6*I,2.8670436022708225*^-6+0.*I,0.-1.3881222815378394*^-6*I,-6.630918166470221*^-7+0.*I,0.+3.1263548479825767*^-7*I,1.4553849725208695*^-7+0.*I,0.-6.691753976317087*^-8*I,-3.039931667250544*^-8+0.*I,0.+1.3648386650289569*^-8*I,6.05783546896821*^-9+0.*I,0.-2.6588326890574502*^-9*I,-1.1542897147124816*^-9+0.*I,0.+4.957884898159065*^-10*I,2.1073582724356407*^-10+0.*I,0.-8.86622033030834*^-11*I,-3.6930946091454464*^-11+0.*I,0.+1.5232937201069074*^-11*I,6.2230593229487076*^-12+0.*I,0.-2.5184512157084635*^-12*I,-1.0098372628874482*^-12+0.*I,0.+4.012668852837938*^-13*I,1.5803462202845624*^-13+0.*I,0.-6.169902774448139*^-14*I,-2.3882463889438376*^-14+0.*I,0.+9.166843093081288*^-15*I,3.4894994975581466*^-15+0.*I,0.-1.317558130990122*^-15*I,-4.935126509179414*^-16+0.*I,0.+1.8340249739989247*^-16*I,6.763093275563478*^-17+0.*I,0.-2.4749796948489966*^-17*I,-8.989495167218133*^-18+0.*I,0.+3.241052238379274*^-18*I,1.1600373154144695*^-18+0.*I,0.-4.122301652064479*^-19*I,-1.4545704008751654*^-19+0.*I,0.+5.096838263696012*^-20*I,1.7737025058233727*^-20+0.*I,0.-6.130783847629801*^-21*I,-2.1049745184245597*^-21+0.*I,0.+7.17980249336141*^-22*I,2.4330503982385717*^-22+0.*I,0.-8.192185526568372*^-23*I,-2.740909224305767*^-23+0.*I,0.+9.113200292937733*^-24*I,3.01136122039253*^-24+0.*I,0.-9.890172840865781*^-25*I,-3.228691705465704*^-25+0.*I,0.+1.0477621757070413*^-25*I,3.380206980956189*^-26+0.*I,0.-1.0841729392953081*^-26*I,-3.4574670852315376*^-27+0.*I
-0.3030192088041023+0.*I,0.+0.3009948809097147*I,0.0681867706822566+0.*I,0.+0.18037644275850206*I,0.23894601114648178+0.*I,0.-0.08748282311910535*I,0.12304663088251772+0.*I,0.-0.22032880490141007*I,-0.14428305115306753+0.*I,0.-0.03153183850627669*I,-0.17673727900563285+0.*I,0.+0.20073304069589598*I,0.10110157720969093+0.*I,0.+0.05269275042864829*I,0.1725193318041329+0.*I,0.-0.2014920504847752*I,-0.13519722082939384+0.*I,0.+0.012209691671724652*I,-0.11219982144283838+0.*I,0.+0.19210142920233442*I,0.20572264962731918+0.*I,0.-0.1568032698296985*I,-0.06654137882182444+0.*I,0.-0.03768961985456877*I,-0.13184362413751088+0.*I,0.+0.20049630874132077*I,0.23788406673800294+0.*I,0.-0.24602415388599322*I,-0.23159336500300545+0.*I,0.+0.2028976298492392*I,0.1676652045605918+0.*I,0.-0.13185239230960458*I,-0.09930391756360174+0.*I,0.+0.07196873906616402*I,0.05037686704820282+0.*I,0.-0.03416034711226711*I,-0.022494811868391862+0.*I,0.+0.01441469208334938*I,0.009004379460760851+0.*I,0.-0.005491447913782798*I,-0.003274018763816895+0.*I,0.+0.0019104949543872626*I,0.0010922816998428966+0.*I,0.-0.0006124272598217*I,-0.0003370335698405247+0.*I,0.+0.00018219005526113276*I,0.00009680864042461078+0.*I,0.-0.00005059661121859384*I,-0.00002602582345254264+0.*I,0.+0.00001318262074345097*I,6.578616625103438*^-6+0.*I,0.-3.2360033177285323*^-6*I,-1.5697020652383175*^-6+0.*I,0.+7.511720556132564*^-7*I,3.5476802265533427*^-7+0.*I,0.-1.6542122425932705*^-7*I,-7.617797705042978*^-8+0.*I,0.+3.465775764096735*^-8*I,1.558253274333881*^-8+0.*I,0.-6.925783867520329*^-9*I,-3.0437810366981838*^-9+0.*I,0.+1.323079087774471*^-9*I,5.689773363580809*^-10+0.*I,0.-2.421277889129083*^-10*I,-1.0198441681542814*^-10+0.*I,0.+4.252625224097101*^-11*I,1.7559211572659554*^-11+0.*I,0.-7.1806569043438235*^-12*I,-2.9088255253649834*^-12+0.*I,0.+1.1674685885514656*^-12*I,4.643263388650313*^-13+0.*I,0.-1.8303139891628804*^-13*I,-7.151923016209888*^-14+0.*I,0.+2.7706596023376827*^-14*I,1.0643201812574923*^-14+0.*I,0.-4.054651503507219*^-15*I,-1.5321030865495339*^-15+0.*I,0.+5.74294515970288*^-16*I,2.1357508760077258*^-16+0.*I,0.-7.881173440670597*^-17*I,-2.886083390182192*^-17+0.*I,0.+1.0489533824450489*^-17*I,3.7842761590725205*^-18+0.*I,0.-1.355305591724416*^-18*I,-4.819105027346143*^-19+0.*I,0.+1.7014370167717789*^-19*I,5.965267399246417*^-20+0.*I,0.-2.0770715340414066*^-20*I,-7.183270298457829*^-21+0.*I,0.+2.467645249747233*^-21*I,8.421169794832039*^-22+0.*I,0.-2.855154722771785*^-22*I,-9.618153580080275*^-23+0.*I,0.+3.2195481342938314*^-23*I,1.0709634797437132*^-23+0.*I,0.-3.540506366757047*^-24*I,-1.1633239099761814*^-24+0.*I,0.+3.7993842518555723*^-25*I,1.2334881804822905*^-25+0.*I,0.-3.9810452633471574*^-26*I
0.+0.3431326577006501*I,0.2263098552752969+0.*I,0.+0.08367524862511423*I,0.24889325670081663+0.*I,0.-0.1342257253478423*I,0.10288250627383128+0.*I,0.-0.22032880490141007*I,-0.12644913109310146+0.*I,0.-0.07215827004617113*I,-0.1993076011213061+0.*I,0.+0.1624458680517103*I,0.005754021463427459+0.*I,0.+0.1483359179089725*I,0.197446401510524+0.*I,0.-0.12083850544908484*I,0.024377030185623035+0.*I,0.-0.15153282217279118*I,-0.19686365030441272+0.*I,0.+0.14663181133186678*I,0.03268145894758031+0.*I,0.+0.09175462531562241*I,0.17876131580222762+0.*I,0.-0.20263241128586493*I,-0.16329543474873645+0.*I,0.+0.07950936607442248*I,-0.02212317429702808+0.*I,0.+0.1170311789841986*I,0.1886023910598439+0.*I,0.-0.22979679192603158*I,-0.24162830028837146+0.*I,0.+0.23017740440954726*I,0.20353061724961585+0.*I,0.-0.16946257944544266*I,-0.13411679171871155+0.*I,0.+0.10156565797151029*I,0.07396363172589415+0.*I,0.-0.0519957278695992*I,-0.03539420725996522+0.*I,0.+0.0233888439135014*I,0.015035422071981242+0.*I,0.-0.009419640466585721*I,-0.005760223097002411+0.*I,0.+0.0034428606865069484*I,0.002013697124845391+0.*I,0.-0.0011537865849271319*I,-0.0006482278325058093+0.*I,0.+0.00035741642888981667*I,0.0001935554048771531+0.*I,0.-0.00010302192717222469*I,-0.000053930130622098025+0.*I,0.+0.000027782547101050372*I,0.000014092660057516448+0.*I,0.-7.042360332199317*^-6*I,-3.4686165130111654*^-6+0.*I,0.+1.684618622849038*^-6*I,8.071163367669679*^-7+0.*I,0.-3.8161951886941595*^-7*I,-1.7813340370668105*^-7+0.*I,0.+8.211673022252771*^-8*I,3.739659846179195*^-8+0.*I,0.-1.6829904524421786*^-8*I,-7.487004917361149*^-9+0.*I,0.+3.2933112539022304*^-9*I,1.4327515304149558*^-9+0.*I,0.-6.166405819288484*^-10*I,-2.6261586362219995*^-10+0.*I,0.+1.1069733414127091*^-10*I,4.6192979986150747*^-11+0.*I,0.-1.9086597529944548*^-11*I,-7.810556778844597*^-12+0.*I,0.+3.166066335432894*^-12*I,1.271518724973817*^-12+0.*I,0.-5.060194971699669*^-13*I,-1.9958481264321422*^-13+0.*I,0.+7.803234689682504*^-14*I,3.02466525345458*^-14+0.*I,0.-1.1625227508029931*^-14*I,-4.431091897655798*^-15+0.*I,0.+1.675199845634159*^-15*I,6.28244016955509*^-16+0.*I,0.-2.337508818155037*^-16*I,-8.629719867375269*^-17+0.*I,0.+3.161638825938902*^-17*I,1.1496133169784286*^-17+0.*I,0.-4.149210846300183*^-18*I,-1.4866271852741958*^-18+0.*I,0.+5.288209552729017*^-19*I,1.8678027857462207*^-19+0.*I,0.-6.551089928810153*^-20*I,-2.281914640829612*^-20+0.*I,0.+7.894604825539924*^-21*I,2.7129841594182856*^-21+0.*I,0.-9.261675150348578*^-22*I,-3.1412010421720656*^-22+0.*I,0.+1.0585302250452951*^-22*I,3.544447744120129*^-23+0.*I,0.-1.1794163999903472*^-23*I,-3.90026021992612*^-24+0.*I,0.+1.2819217757724914*^-24*I,4.187972499279739*^-25+0.*I
