0.022042319068056735+0.*I,0.-0.06088462866895342*I,-0.11891675258453607+0.*I,0.+0.18964124181431194*I,0.26191065814204983+0.*I,0.-0.3235329716410087*I,-0.36483231467417554+0.*I,0.+0.38088568931568295*I,0.3719632546797477+0.*I,0.-0.3424752264004607*I,-0.2991434778534696+0.*I,0.+0.24913432811962496*I,0.19865217614983788+0.*I,0.-0.15218506278410218*I,-0.11234619989006864+0.*I,0.+0.08012409449959902*I,0.05532908908066967+0.*I,0.-0.03706631707901023*I,-0.02413201357861663+0.*I,0.+0.01529210028934888*I,0.009445012059345118+0.*I,0.-0.005693027038078914*I,-0.0033526041868762804+0.*I,0.+0.0019309398349803128*I,0.0010887132243728728+0.*I,0.-0.0006014421639416473*I,-0.0003258048717206401+0.*I,0.+0.0001731912987290047*I,0.00009040603661820402+0.*I,0.-0.00004637125056694757*I,-0.000023385063742144698+0.*I,0.+0.00001160133821855849*I,5.664785581953156*^-6+0.*I,0.-2.723810458572486*^-6*I,-1.290291396935223*^-6+0.*I,0.+6.024266231372875*^-7*I,2.7733410700237273*^-7+0.*I,0.-1.2593684182504932*^-7*I,-5.643017236599027*^-8+0.*I,0.+2.495913041736732*^-8*I,1.0900585650710754*^-8+0.*I,0.-4.7022777749512254*^-9*I,-2.004167485985058*^-9+0.*I,0.+8.442093569817275*^-10*I,3.5153955629105243*^-10+0.*I,0.-1.4474991599937209*^-10*I,-5.895081064676827*^-11+0.*I,0.+2.375151024895083*^-11*I,9.469367857515339*^-12+0.*I,0.-3.736571740895626*^-12*I,-1.459616283914497*^-12+0.*I,0.+5.64552050087539*^-13*I,2.1624829602334714*^-13+0.*I,0.-8.204745913407029*^-14*I,-3.0840302795301664*^-14+0.*I,0.+1.148649864426049*^-14*I,4.239786905222827*^-15+0.*I,0.-1.5511613621682829*^-15*I,-5.62591749174205*^-16+0.*I,0.+2.023101769006808*^-16*I,7.214271487634692*^-17+0.*I,0.-2.551396416381273*^-17*I,-8.950194504958183*^-18+0.*I,0.+3.1146738436761334*^-18*I,1.0754072643831882*^-18+0.*I,0.-3.684399074340055*^-19*I,-1.252694220604458*^-19+0.*I,0.+4.227251135411999*^-20*I,1.4159697327506624*^-20+0.*I,0.-4.708469936415642*^-21*I,-1.5544657545422615*^-21+0.*I,0.+5.095682513887485*^-22*I,1.6587712147841893*^-22+0.*I,0.-5.362600412650942*^-23*I,-1.7219080422590995*^-23+0.*I,0.+5.491989519171074*^-24*I,1.740096288310454*^-24+0.*I,0.-5.477448401150482*^-25*I,-1.7130946973182935*^-25+0.*I,0.+5.323756730863536*^-26*I,1.6440824207465914*^-26+0.*I,0.-5.045816508147701*^-27*I,-1.5391285852365425*^-27+0.*I,0.+4.666445897027786*^-28*I,1.4063615004718782*^-28+0.*I,0.-4.2134503736706586*^-29*I,-1.2549864434885614*^-29+0.*I,0.+3.7164627587490836*^-30*I,1.0943061153593757*^-30+0.*I,0.-3.204012486490419*^-31*I,-9.328747156093122*^-32+0.*I,0.+2.7011767510270993*^-32*I,7.778743775209323*^-33+0.*I,0.-2.2280163278559563*^-33*I,-6.347530837542719*^-34+0.*I,0.+1.7988435521985642*^-34*I,5.07116982201676*^-35+0.*I,0.-1.4222392643833713*^-35*I,-3.9683503142660295*^-36+0.*I,0.+1.101647829532226*^-36*I
0.-0.06088462866895342*I,-0.14613136523036+0.*I,0.+0.24236439842916013*I,0.31785145893658545+0.*I,0.-0.3441592339231828*I,-0.3080029769929059+0.*I,0.+0.2152381163858967*I,0.08681538407714291+0.*I,0.+0.04988173588674546*I,0.16991502683814036+0.*I,0.-0.2567166688371998*I,-0.303995350270665+0.*I,0.+0.31431558119766556*I,0.2958896183960893+0.*I,0.-0.2591050806958955*I,-0.21379860486124658+0.*I,0.+0.16766803752900078*I,0.125744215778056+0.*I,0.-0.09060234516531314*I,-0.0629496304673391+0.*I,0.+0.04229962419602942*I,0.02755737518714516+0.*I,0.-0.0174422016102875*I,-0.01074494109274392+0.*I,0.+0.00645242381972322*I,0.0037822807233372294+0.*I,0.-0.002166836943753499*I,-0.0012145479936992883+0.*I,0.+0.000666725384738547*I,0.00035876613754618055+0.*I,0.-0.0001893922820579858*I,-0.00009815765813428655+0.*I,0.+0.000049979979584885596*I,0.000025018088588873423+0.*I,0.-0.00001231840378866926*I,-5.9694622057015535*^-6+0.*I,0.+2.8485158361862233*^-6*I,1.3390985697248862*^-6+0.*I,0.-6.204571117378007*^-7*I,-2.8346495650289564*^-7+0.*I,0.+1.2774613228020698*^-7*I,5.680931438942987*^-8+0.*I,0.-2.4938391991297068*^-8*I,-1.0810355467381062*^-8+0.*I,0.+4.6288394074952015*^-9*I,1.9583751833616054*^-9+0.*I,0.-8.189095448327083*^-10*I,-3.385406912287827*^-10+0.*I,0.+1.3839928784443525*^-10*I,5.5964529279744396*^-11+0.*I,0.-2.238984410388619*^-11*I,-8.864356585623252*^-12+0.*I,0.+3.4737282098855444*^-12*I,1.3476823423353864*^-12+0.*I,0.-5.17737074843383*^-13*I,-1.9699014694753836*^-13+0.*I,0.+7.424607353417338*^-14*I,2.772511806231978*^-14+0.*I,0.-1.0259319029805143*^-14*I,-3.762534155422887*^-15+0.*I,0.+1.3678174614677004*^-15*I,4.929787134760404*^-16+0.*I,0.-1.7617519750678335*^-16*I,-6.243670842226292*^-17+0.*I,0.+2.194693325091679*^-17*I,7.652516954104488*^-18+0.*I,0.-2.6472045398078817*^-18*I,-9.086105556771348*^-19+0.*I,0.+3.094765700146534*^-19*I,1.0461368611794733*^-19+0.*I,0.-3.510018741350749*^-20*I,-1.169064721575361*^-20+0.*I,0.+3.865649212308948*^-21*I,1.2691306165795946*^-21+0.*I,0.-4.1374630585880962*^-22*I,-1.339518030121596*^-22+0.*I,0.+4.307161316071485*^-23*I,1.3756318689748504*^-23+0.*I,0.-4.364365595117096*^-24*I,-1.3755806703676555*^-24+0.*I,0.+4.307589292619764*^-25*I,1.3403001575076413*^-25+0.*I,0.-4.144047727809331*^-26*I,-1.2733177139483827*^-26+0.*I,0.+3.8884073795225655*^-27*I,1.1802185827232483*^-27+0.*I,0.-3.5607445626371457*^-28*I,-1.067918413499486*^-28+0.*I,0.+3.184085165442516*^-29*I,9.438660583122295*^-30+0.*I,0.-2.781917293402691*^-30*I,-8.152946720125384*^-31+0.*I,0.+2.3760156089667017*^-31*I,6.886132885027128*^-32+0.*I,0.-1.9848123932907744*^-32*I,-5.68993662856844*^-33+0.*I,0.+1.6224252092423796*^-33*I,4.601676408152471*^-34+0.*I,0.-1.2983324645913026*^-34*I,-3.644164869151232*^-35+0.*I
-0.11891675258453607+0.*I,0.+0.24236439842916013*I,0.3272424211157658+0.*I,0.-0.32397671032561587*I,-0.22268442509409153+0.*I,0.+0.057412183002616364*I,-0.11308468977315764+0.*I,0.+0.23311026204675905*I,0.2710572315262478+0.*I,0.-0.22605422639249484*I,-0.12146435876458636+0.*I,0.-0.008305735360812843*I,-0.1307283241591983+0.*I,0.+0.2234341239118553*I,0.27677951235646936+0.*I,0.-0.2920079525638018*I,-0.27723311067981216+0.*I,0.+0.2432349392316004*I,0.20027276601200178+0.*I,0.-0.15630517380400363*I,-0.11644674075995878+0.*I,0.+0.08324278779233038*I,0.05733025478786952+0.*I,0.-0.03816291235250553*I,-0.024619022558541297+0.*I,0.+0.015425405316421227*I,0.009405051641302228+0.*I,0.-0.0055892740830288485*I,-0.003242208442959923+0.*I,0.+0.0018380908984615071*I,0.0010195839265281+0.*I,0.-0.0005539216266864607*I,-0.00029501228458281574+0.*I,0.+0.0001541555816914984*I,0.00007909254356238287+0.*I,0.-0.00003987233096930755*I,-0.000019762707331143454+0.*I,0.+9.636470821587421*^-6*I,4.625150143505364*^-6+0.*I,0.-2.186215118428545*^-6*I,-1.0181865913766006*^-6+0.*I,0.+4.674381573434555*^-7*I,2.116245875854871*^-7+0.*I,0.-9.452033146366327*^-8*I,-4.1664248518747105*^-8+0.*I,0.+1.8131514613572658*^-8*I,7.79258506701808*^-9+0.*I,0.-3.30859088752507*^-9*I,-1.3881894684675349*^-9+0.*I,0.+5.757344593202656*^-10*I,2.360919444150592*^-10+0.*I,0.-9.57497612040032*^-11*I,-3.841481836996329*^-11+0.*I,0.+1.5249885988607705*^-11*I,5.991545209800705*^-12+0.*I,0.-2.330285013901921*^-12*I,-8.973602336288931*^-13+0.*I,0.+3.4221428144865614*^-13*I,1.292663511932323*^-13+0.*I,0.-4.83735754210202*^-14*I,-1.7936696973924056*^-14+0.*I,0.+6.5911579445441165*^-15*I,2.400692898842083*^-15+0.*I,0.-8.668326480486926*^-16*I,-3.1032972827585447*^-16+0.*I,0.+1.1017026378481529*^-16*I,3.8789978104025244*^-17+0.*I,0.-1.3547152187669726*^-17*I,-4.69361058305077*^-18+0.*I,0.+1.6134371461393503*^-18*I,5.50347016963913*^-19+0.*I,0.-1.8629992683814418*^-19*I,-6.259369433864887*^-20+0.*I,0.+2.087560735989764*^-20*I,6.911711970353354*^-21+0.*I,0.-2.2720404985217982*^-21*I,-7.416090913414642*^-22+0.*I,0.+2.4038419105043837*^-22*I,7.738392631450996*^-23+0.*I,0.-2.4742898403021875*^-23*I,-7.858599668432217*^-24+0.*I,0.+2.479552446039671*^-24*I,7.772714149719391*^-25+0.*I,0.-2.420918078641184*^-25*I,-7.492578026011199*^-26+0.*I,0.+2.304417197728196*^-26*I,7.043744327512443*^-27+0.*I,0.-2.1398919534914162*^-27*I,-6.4618700877509135*^-28+0.*I,0.+1.939698625126387*^-28*I,5.788296101655732*^-29+0.*I,0.-1.7172666077427204*^-29*I,-5.065526244167521*^-30+0.*I,0.+1.4857301928022081*^-30*I,4.333231421897527*^-31+0.*I,0.-1.256804598362147*^-31*I,-3.6252199128872366*^-32+0.*I,0.+1.0400108157578975*^-32*I,2.9675898081191197*^-33+0.*I,0.-8.422818877220578*^-34*I
0.+0.18964124181431194*I,0.31785145893658545+0.*I,0.-0.32397671032561587*I,-0.1894160338936674+0.*I,0.-0.01897243449616145*I,-0.1959268809600816+0.*I,0.+0.2615337087667588*I,0.19901042434088648+0.*I,0.-0.051598208299056245*I,0.10898729420662216+0.*I,0.-0.21901265337768633*I,-0.2458320236193843+0.*I,0.+0.19186615076598076*I,0.0841865140828768+0.*I,0.+0.04128165400222879*I,0.15322118996756645+0.*I,0.-0.23224888949836503*I,-0.272050442129734+0.*I,0.+0.27641859925366036*I,0.25474270801972027+0.*I,0.-0.21787600697166185*I,-0.17533855577310017+0.*I,0.+0.1339957134813459*I,0.09788038397120821+0.*I,0.-0.06868008888566449*I,-0.04646949344169495+0.*I,0.+0.030412556380520768*I,0.019301718802342153+0.*I,0.-0.01190503652595216*I,-0.007149159556669954+0.*I,0.+0.004186583030742967*I,0.0023941430751372866+0.*I,0.-0.0013386327158018858*I,-0.0007326070622022806+0.*I,0.+0.0003928330166435457*I,0.0002065664857083727+0.*I,0.-0.00010660543622581202*I,-0.00005403668662046926+0.*I,0.+0.000026920541413492655*I,0.000013189772407950533+0.*I,0.-6.3591865368789935*^-6*I,-3.018636430267854*^-6+0.*I,0.+1.4115073466143372*^-6*I,6.504624521969925*^-7+0.*I,0.-2.955416877196996*^-7*I,-1.324498982096986*^-7+0.*I,0.+5.8571879881084725*^-8*I,2.5567599719061703*^-8+0.*I,0.-1.1020562979936123*^-8*I,-4.692154462954263*^-9+0.*I,0.+1.973920939872926*^-9*I,8.20736098472186*^-10+0.*I,0.-3.373764167111716*^-10*I,-1.37144547442761*^-10+0.*I,0.+5.514483299457625*^-11*I,2.19380663651436*^-11+0.*I,0.-8.636926147639698*^-12*I,-3.365759944391128*^-12+0.*I,0.+1.2985593125957125*^-12*I,4.961157314525032*^-13+0.*I,0.-1.877288468605957*^-13*I,-7.036986651245931*^-14+0.*I,0.+2.6135323435608016*^-14*I,9.61898467097706*^-15+0.*I,0.-3.508833427781857*^-15*I,-1.2688134020934297*^-15+0.*I,0.+4.54884431476252*^-16*I,1.6171010604456095*^-16+0.*I,0.-5.701225900750248*^-17*I,-1.9936753654727397*^-17+0.*I,0.+6.9159817237843765*^-18*I,2.3802502428172847*^-18+0.*I,0.-8.12858883321413*^-19*I,-2.754762065794625*^-19+0.*I,0.+9.265746806690396*^-20*I,3.093524713738877*^-20+0.*I,0.-1.0253013089164678*^-20*I,-3.373810618432032*^-21+0.*I,0.+1.1023164774507185*^-21*I,3.576449903926004*^-22+0.*I,0.-1.152393586789673*^-22*I,-3.688024149369856*^-23+0.*I,0.+1.1723874744181535*^-23*I,3.7023053156171995*^-24+0.*I,0.-1.1615423352285848*^-24*I,-3.620734696800249*^-25+0.*I,0.+1.121484661740068*^-25*I,3.4519153852395293*^-26+0.*I,0.-1.0559209664719542*^-26*I,-3.210262841304835*^-27+0.*I,0.+9.701084477955529*^-28*I,2.9140856247794473*^-28+0.*I,0.-8.701972379428377*^-29*I,-2.5834303885747524*^-29+0.*I,0.+7.62551334611988*^-30*I,2.238017938447146*^-30+0.*I,0.-6.531432296167693*^-31*I,-1.8955326704455999*^-31+0.*I,0.+5.470903659535287*^-32*I,1.5704285370752968*^-32+0.*I
0.26191065814204983+0.*I,0.-0.3441592339231828*I,-0.22268442509409153+0.*I,0.-0.01897243449616145*I,-0.21561857695817693+0.*I,0.+0.2493798329250831*I,0.12123981705673696+0.*I,0.+0.07112628164260065*I,0.21018173408522925+0.*I,0.-0.22791802029507433*I,-0.13015102869922338+0.*I,0.-0.02367649859805059*I,-0.1608101087060215+0.*I,0.+0.22962289774418054*I,0.21451201570993506+0.*I,0.-0.13166989474213245*I,-0.01431305764440718+0.*I,0.-0.10306858994456398*I,-0.1953485799858478+0.*I,0.+0.2506190591332397*I,0.2687167455532639+0.*I,0.-0.2570592128103344*I,-0.22614590422160796+0.*I,0.+0.1861293116721045*I,0.14490396190495583+0.*I,0.-0.10752190586059535*I,-0.07647210410966321+0.*I,0.+0.052356826606479535*I,0.03462568148048055+0.*I,0.-0.022181695452105733*I,-0.013796753116989614+0.*I,0.+0.008348439017269145*I,0.004922893765060154+0.*I,0.-0.0028331371868169264*I,-0.0015933625157550587+0.*I,0.+0.0008767298767995381*I,0.00047246829740321764+0.*I,0.-0.00024959852380613537*I,-0.0001293727002157361+0.*I,0.+0.00006584316792981204*I,0.00003292714603696906+0.*I,0.-0.000016190337487628385*I,-7.832088481256986*^-6+0.*I,0.+3.729592446159123*^-6*I,1.7491717277840018*^-6+0.*I,0.-8.083523996110925*^-7*I,-3.682667182563528*^-7+0.*I,0.+1.6546326262125063*^-7*I,7.334843020661725*^-8+0.*I,0.-3.2091706686830316*^-8*I,-1.3863118764160611*^-8+0.*I,0.+5.914801313876785*^-9*I,2.493260607206382*^-9+0.*I,0.-1.038660428343916*^-9*I,-4.2774154642563965*^-10+0.*I,0.+1.741841810135192*^-10*I,7.015639966083636*^-11+0.*I,0.-2.7955280938825237*^-11*I,-1.1023011356083215*^-11+0.*I,0.+4.3020337188426025*^-12*I,1.6621784873851805*^-12+0.*I,0.-6.359178216350738*^-13*I,-2.4095134058669465*^-13+0.*I,0.+9.043671475019786*^-14*I,3.362994177105822*^-14+0.*I,0.-1.2392220696999207*^-14*I,-4.525710377536362*^-15+0.*I,0.+1.6383593831332932*^-15*I,5.880090771232111*^-16+0.*I,0.-2.0925534586860638*^-16*I,-7.384986618461796*^-17+0.*I,0.+2.585022121467819*^-17*I,8.975919384735759*^-18+0.*I,0.-3.0920786386833996*^-18*I,-1.0569001348471233*^-18+0.*I,0.+3.5849440284909925*^-19*I,1.2068333436483886*^-19+0.*I,0.-4.0325393412631794*^-20*I,-1.337595163767372*^-20+0.*I,0.+4.40486347969717*^-21*I,1.440281680889584*^-21+0.*I,0.-4.6764236890373185*^-22*I,-1.5079072881365247*^-22+0.*I,0.+4.8291593055117357*^-23*I,1.5361905758495887*^-23+0.*I,0.-4.854391392599033*^-24*I,-1.5239790578152926*^-24+0.*I,0.+4.753517444841233*^-25*I,1.473260180733356*^-25+0.*I,0.-4.5374046793094613*^-26*I,-1.3887811557295765*^-26+0.*I,0.+4.2246624204406495*^-27*I,1.2773647423421982*^-27+0.*I,0.-3.839145454347723*^-28*I,-1.1470495313347734*^-28+0.*I,0.+3.40712623670612*^-29*I,1.0061957707676832*^-29+0.*I,0.-2.9545682388359734*^-30*I,-8.626829785615643*^-31+0.*I,0.+2.5048506893221365*^-31*I
0.-0.3235329716410087*I,-0.3080029769929059+0.*I,0.+0.057412183002616364*I,-0.1959268809600816+0.*I,0.+0.2493798329250831*I,0.09243531815987252+0.*I,0.+0.1234168106504005*I,0.23131375220555944+0.*I,0.-0.16966485090092834*I,0.0004458376708517519+0.*I,0.-0.16155180567299496*I,-0.22229227525100437+0.*I,0.+0.16196602112067252*I,0.024350041216310903+0.*I,0.+0.11925021808929136*I,0.20889653561225166+0.*I,0.-0.21785763576892747*I,-0.1537105317510144+0.*I,0.+0.0457512747136064*I,-0.07121980058976637+0.*I,0.+0.16929772364765222*I,0.23316537359862843+0.*I,0.-0.25985846380941097*I,-0.25510713147666364+0.*I,0.+0.22879193886789148*I,0.19119545989184372+0.*I,0.-0.1507232163144046*I,-0.11302977585646044+0.*I,0.+0.08112645699529776*I,0.05598908113697351+0.*I,0.-0.037290983674562066*I,-0.024040979301192925+0.*I,0.+0.01503891404266005*I,0.00914742565317588+0.*I,0.-0.005419669215643054*I,-0.0031326341703783256+0.*I,0.+0.001768882531668694*I,0.0009769286831206939+0.*I,0.-0.0005282841479125563*I,-0.0002799835462779457+0.*I,0.+0.00014555836048273988*I,0.00007428939854103625+0.*I,0.-0.00003724923455905025*I,-0.000018361101460395938+0.*I,0.+8.903042465412654*^-6*I,4.248973711864887*^-6+0.*I,0.-1.9969417494998164*^-6*I,-9.246909353112203*^-7+0.*I,0.+4.2206332689035075*^-7*I,1.8997466614672224*^-7+0.*I,0.-8.435805516951755*^-8*I,-3.696881559712763*^-8+0.*I,0.+1.5994786375032377*^-8*I,6.8344320745804716*^-9+0.*I,0.-2.885005942387895*^-9*I,-1.203491999008081*^-9+0.*I,0.+4.962689756656044*^-10*I,2.023426716111702*^-10+0.*I,0.-8.159575164762902*^-11*I,-3.2551071703393297*^-11+0.*I,0.+1.2849426277871358*^-11*I,5.02020335935506*^-12+0.*I,0.-1.9416553769750058*^-12*I,-7.435777568858299*^-13+0.*I,0.+2.82013835835719*^-13*I,1.0594661830104944*^-13+0.*I,0.-3.9432654594263874*^-14*I,-1.4542987715563937*^-14+0.*I,0.+5.315615073845128*^-15*I,1.9258678502936202*^-15+0.*I,0.-6.917365552637212*^-16*I,-2.4635536023830183*^-16+0.*I,0.+8.700691966766823*^-17*I,3.047735722036141*^-17+0.*I,0.-1.0589896539738218*^-17*I,-3.650515690707275*^-18+0.*I,0.+1.2485907901087065*^-18*I,4.237824546264914*^-19+0.*I,0.-1.427494980646716*^-19*I,-4.7727116861402044*^-20+0.*I,0.+1.5840302907814052*^-20*I,5.219352722619545*^-21+0.*I,0.-1.7075384980611885*^-21*I,-5.547145034971509*^-22+0.*I,0.+1.7896037716656375*^-22*I,5.734222793826688*^-23+0.*I,0.-1.8250019785359042*^-23*I,-5.769828209487714*^-24+0.*I,0.+1.812223593535422*^-24*I,5.655195031917588*^-25+0.*I,0.-1.753504425896765*^-25*I,-5.402878839479925*^-26+0.*I,0.+1.654387990177332*^-26*I,5.03474062904449*^-27+0.*I,0.-1.5229210790302934*^-27*I,-4.5789975345721995*^-28+0.*I,0.+1.3686345757635823*^-28*I,4.066860772640391*^-29+0.*I,0.-1.201477624833068*^-29*I,-3.529277749328333*^-30+0.*I
-0.36483231467417554+0.*I,0.+0.2152381163858967*I,-0.11308468977315764+0.*I,0.+0.2615337087667588*I,0.12123981705673696+0.*I,0.+0.1234168106504005*I,0.2316064217135818+0.*I,0.-0.1275358182162427*I,0.07577535671707925+0.*I,0.-0.20829890534085874*I,-0.18159849907229306+0.*I,0.+0.03192595204966591*I,-0.13172758693088632+0.*I,0.+0.21094917682247177*I,0.17166794317588566+0.*I,0.-0.04701125999400644*I,0.09545920933835114+0.*I,0.-0.19337719293154076*I,-0.21464297492493578+0.*I,0.+0.16172607724821625*I,0.06087979495432877+0.*I,0.+0.053797846714262944*I,0.1534480133238116+0.*I,0.-0.22110245305568862*I,-0.252216779072198+0.*I,0.+0.2514178169514303*I,0.22804188589142127+0.*I,0.-0.19227407277839145*I,-0.1526898835400527+0.*I,0.+0.11521909465270035*I,0.08314417227700827+0.*I,0.-0.05765369816829453*I,-0.038561615367310884+0.*I,0.+0.024954275024408383*I,0.015663732527638186+0.*I,0.-0.009557226340360223*I,-0.0056786729174919245+0.*I,0.+0.003290991307581254*I,0.0018628297316205657+0.*I,0.-0.001031141832651253*I,-0.0005587753611595358+0.*I,0.+0.0002967264235006763*I,0.00015454713288158933+0.*I,0.-0.00007901363367849968*I,-0.000039682572084479666+0.*I,0.+0.000019590626020047745*I,9.513021895030399*^-6+0.*I,0.-4.5463303215532304*^-6*I,-2.1394807442765707*^-6+0.*I,0.+9.919212784931812*^-7*I,4.5328316862448*^-7+0.*I,0.-2.0425595486527168*^-7*I,-9.079670767434749*^-8+0.*I,0.+3.983112837493217*^-8*I,1.725001606972328*^-8+0.*I,0.-7.377670174182928*^-9*I,-3.1171105277591515*^-9+0.*I,0.+1.3014317731223462*^-9*I,5.370973923067024*^-10+0.*I,0.-2.1916289883057924*^-10*I,-8.844585705383335*^-11+0.*I,0.+3.5309628638991534*^-11*I,1.3948186140688337*^-11+0.*I,0.-5.453186228811031*^-12*I,-2.1105015695181085*^-12+0.*I,0.+8.087503474879631*^-13*I,3.069189039781646*^-13+0.*I,0.-1.1537096145886458*^-13*I,-4.296483284426407*^-14+0.*I,0.+1.5854420727463567*^-14*I,5.798053520022655*^-15+0.*I,0.-2.10174404297247*^-15*I,-7.552865517364744*^-16+0.*I,0.+2.6911882889078745*^-16*I,9.509125240142106*^-17+0.*I,0.-3.332443020494506*^-17*I,-1.1584305772599735*^-17+0.*I,0.+3.9950282039986714*^-18*I,1.3669977398172633*^-18+0.*I,0.-4.641598900141281*^-19*I,-1.564124549037682*^-19+0.*I,0.+5.231538035044577*^-20*I,1.7369632953541963*^-20+0.*I,0.-5.725355840751632*^-21*I,-1.8737467515576855*^-21+0.*I,0.+6.08920362248541*^-22*I,1.9651451613051953*^-22+0.*I,0.-6.298765174501608*^-23*I,-2.005320379216788*^-23+0.*I,0.+6.341901338998049*^-24*I,1.992513496547726*^-24+0.*I,0.-6.219662389124327*^-25*I,-1.9290912672313973*^-25+0.*I,0.+5.945588944646192*^-26*I,1.821075387066615*^-26+0.*I,0.-5.543522571360302*^-27*I,-1.6772647839399382*^-27+0.*I,0.+5.044377647889584*^-28*I,1.5081174555298265*^-28+0.*I,0.-4.482445785985566*^-29*I
0.+0.38088568931568295*I,0.08681538407714291+0.*I,0.+0.23311026204675905*I,0.19901042434088648+0.*I,0.+0.07112628164260065*I,0.23131375220555944+0.*I,0.-0.1275358182162427*I,0.09845876433812169+0.*I,0.-0.21545115342683824*I,-0.13154330867432923+0.*I,0.-0.05937560321419327*I,-0.1943150062073842+0.*I,0.+0.17932475596317451*I,0.040716934330778956+0.*I,0.+0.1191054999381234*I,0.20221628496552166+0.*I,0.-0.17073395595653007*I,-0.053123755097931366+0.*I,0.-0.08600566372608935*I,-0.18478386219378187+0.*I,0.+0.20980833302193563*I,0.1616119609915645+0.*I,0.-0.06482665388061018*I,0.04731672785613418+0.*I,0.-0.14608735251988703*I,-0.21416419025714178+0.*I,0.+0.24646834161755163*I,0.24713084430255663+0.*I,0.-0.22513959208030895*I,-0.19049616578789694+0.*I,0.+0.15172349957823084*I,0.11477943998659611+0.*I,0.-0.08301038577481987*I,-0.0576742300151282+0.*I,0.+0.038643574484409304*I,0.025047406693434263+0.*I,0.-0.015745205859736492*I,-0.009619854233421498+0.*I,0.+0.005722979615429255*I,0.003320485583829757+0.*I,0.-0.001881537807303605*I,-0.001042539135338039+0.*I,0.+0.0005654808051563532*I,0.0003005513952521602+0.*I,0.-0.00015666897619048505*I,-0.00008016102991903408+0.*I,0.+0.00004028855915014479*I,0.000019903705860726483+0.*I,0.-9.671465021389122*^-6*I,-4.624966122687607*^-6+0.*I,0.+2.1777925643450146*^-6*I,1.0102611155093753*^-6+0.*I,0.-4.619159426059337*^-7*I,-2.0825451966608591*^-7+0.*I,0.+9.26203253678839*^-8*I,4.065051944708726*^-8+0.*I,0.-1.7612932615256524*^-8*I,-7.536193118648882*^-9+0.*I,0.+3.185429730258068*^-9*I,1.3304947406884408*^-9+0.*I,0.-5.49305609605531*^-10*I,-2.2422857093350444*^-10+0.*I,0.+9.052288248600977*^-11*I,3.615142074706927*^-11+0.*I,0.-1.428551728015913*^-11*I,-5.586882546976768*^-12+0.*I,0.+2.1629231449726273*^-12*I,8.290897574065325*^-13+0.*I,0.-3.147299415549918*^-13*I,-1.1834071550384522*^-13+0.*I,0.+4.4082900642748746*^-14*I,1.627133026104497*^-14+0.*I,0.-5.952055958809471*^-15*I,-2.1581088115261304*^-15+0.*I,0.+7.757303208094528*^-16*I,2.764684132883768*^-16+0.*I,0.-9.771055437611282*^-17*I,-3.4249978016136455*^-17+0.*I,0.+1.1908622593635027*^-17*I,4.107738013966395*^-18+0.*I,0.-1.4058518980176317*^-18*I,-4.77447794774511*^-19+0.*I,0.+1.609214138430765*^-19*I,5.383366212985626*^-20+0.*I,0.-1.787701894026594*^-20*I,-5.8936567319176935*^-21+0.*I,0.+1.929164182992811*^-21*I,6.270365560281608*^-22+0.*I,0.-2.0239475725828676*^-22*I,-6.488294533350643*^-23+0.*I,0.+2.065987755208687*^-23*I,6.534775542065436*^-24+0.*I,0.-2.0534215736467717*^-24*I,-6.4107347342395*^-25+0.*I,0.+1.9886413294466456*^-25*I,6.129991181544597*^-26+0.*I,0.-1.8778150585127153*^-26*I,-5.7170148667124706*^-27+0.*I,0.+1.7299855152476874*^-27*I,5.20360757686797*^-28+0.*I
