0.5237197910979815+0.*I,0.5956600610049501+0.*I,0.4790523549916351+0.*I,0.31457329238427806+0.*I,0.17889217642444494+0.*I,0.09099255110783185+0.*I,0.04225029170411668+0.*I,0.018162690707596085+0.*I,0.007303561482516699+0.*I,0.0027689360813273663+0.*I,0.000995892418468852+0.*I,0.00034151955764328846+0.*I,0.00011213067897698499+0.*I,0.000035371401783201596+0.*I,0.000010751962704062953+0.*I,3.157487321593404*^-6+0.*I,8.978031394706312*^-7+0.*I,2.476601631583274*^-7+0.*I,6.639255741406508*^-8+0.*I,1.732375738862831*^-8+0.*I,4.4058183847693284*^-9+0.*I,1.093494087438201*^-9+0.*I,2.651579143835872*^-10+0.*I,6.288400188469816*^-11+0.*I,1.4599367699902002*^-11+0.*I,3.320959185646039*^-12+0.*I,7.407580160566758*^-13+0.*I,1.6214142048215343*^-13+0.*I,3.4850936553660486*^-14+0.*I,7.360629368623767*^-15+0.*I,1.5284590877543971*^-15+0.*I,3.122284457759344*^-16+0.*I,6.277648193836849*^-17+0.*I,1.2429094769436898*^-17+0.*I,2.4243735465938385*^-18+0.*I,4.660848752992977*^-19+0.*I,8.83513633223011*^-20+0.*I,1.6520070219761054*^-20+0.*I,3.0480324504344388*^-21+0.*I,5.551198773107136*^-22+0.*I,9.98288983417194*^-23+0.*I,1.7732250007603794*^-23+0.*I,3.1119936079058936*^-24+0.*I,5.397640603812782*^-25+0.*I,9.255014884869499*^-26+0.*I,1.569171314526266*^-26+0.*I,2.6314246592099914*^-27+0.*I,4.365575534006779*^-28+0.*I,7.166719120443311*^-29+0.*I,1.1644526658967584*^-29+0.*I,1.8729937707524088*^-30+0.*I,2.982982740910164*^-31+0.*I,4.704880145367908*^-32+0.*I,7.350385644365325*^-33+0.*I,1.1376606613441542*^-33+0.*I,1.7447406996322547*^-34+0.*I,2.6517731818612785*^-35+0.*I,3.994831281717527*^-36+0.*I,5.966009503952221*^-37+0.*I,8.834000727935271*^-38+0.*I,1.2971234213294823*^-38+0.*I,1.888930066172394*^-39+0.*I,2.728472181644525*^-40+0.*I,3.909747865295861*^-41+0.*I,5.558508317667318*^-42+0.*I,7.841534855196821*^-43+0.*I,1.097813596145426*^-43+0.*I,1.5254244370026918*^-44+0.*I,2.1039515699206556*^-45+0.*I,2.8807839519120144*^-46+0.*I,3.9161666503240073*^-47+0.*I,5.2860526685964133*^-48+0.*I,7.085405880743012*^-49+0.*I,9.43197843321159*^-50+0.*I,1.247057374295393*^-50+0.*I,1.637779002385007*^-51+0.*I,2.1367218855992418*^-52+0.*I,2.769504858884703*^-53+0.*I,3.5665993471460836*^-54+0.*I,4.5639436722566146*^-55+0.*I,5.80356399803851*^-56+0.*I,7.33418337201177*^-57+0.*I,9.21179646463392*^-58+0.*I,1.1500183843630518*^-58+0.*I,1.427133615054867*^-59+0.*I,1.7605755591245248*^-60+0.*I,2.1592599950468754*^-61+0.*I,2.6329633138454602*^-62+0.*I,3.1922946313471616*^-63+0.*I,3.848641511721554*^-64+0.*I,4.614086169263311*^-65+0.*I,5.501289505738068*^-66+0.*I,6.523341014567044*^-67+0.*I,7.693573439169522*^-68+0.*I,9.025342100431378*^-69+0.*I,1.053176998731218*^-69+0.*I,1.2225461004969527*^-70+0.*I,1.411818515682467*^-71+0.*I,1.6220540852431253*^-72+0.*I,1.8541600926380846*^-73+0.*I
-0.5956600610049501+0.*I,-0.15376254641795956+0.*I,0.2975336117233959+0.*I,0.4719586654821442+0.*I,0.4256810550453206+0.*I,0.2965234109691132+0.*I,0.17483135785622508+0.*I,0.09112617326462648+0.*I,0.043065038811758265+0.*I,0.018761396100694962+0.*I,0.007623452481144761+0.*I,0.0029145694174701206+0.*I,0.0010555250484188747+0.*I,0.0003640627519301371+0.*I,0.00012011877095027285+0.*I,0.000038050959933996546+0.*I,0.000011608820274414126+0.*I,3.420057409641737*^-6+0.*I,9.752205770146789*^-7+0.*I,2.6969502956140646*^-7+0.*I,7.246317886570181*^-8+0.*I,1.8946295385966766*^-8+0.*I,4.82736082244321*^-9+0.*I,1.2001306815925983*^-9+0.*I,2.9146263927522276*^-10+0.*I,6.921969892078681*^-11+0.*I,1.6091124156594908*^-11+0.*I,3.664677737614888*^-12+0.*I,8.183335494027925*^-13+0.*I,1.793063218185827*^-13+0.*I,3.8577413012849355*^-14+0.*I,8.154982630221365*^-15+0.*I,1.6948310967571999*^-15+0.*I,3.4648702769889814*^-16+0.*I,6.971605838909354*^-17+0.*I,1.3812679145751434*^-17+0.*I,2.6960215876651302*^-18+0.*I,5.186310283986953*^-19+0.*I,9.836982967004942*^-20+0.*I,1.8403583161885912*^-20+0.*I,3.397344573662242*^-21+0.*I,6.1904881494014455*^-22+0.*I,1.1137864465504346*^-22+0.*I,1.9792798535818425*^-23+0.*I,3.4751265153781465*^-24+0.*I,6.029980820957232*^-25+0.*I,1.0343348875240418*^-25+0.*I,1.754361370491437*^-26+0.*I,2.9430477650590115*^-27+0.*I,4.884262724668355*^-28+0.*I,8.020896186785712*^-29+0.*I,1.3036577228754186*^-29+0.*I,2.0975478300155467*^-30+0.*I,3.341603803795366*^-31+0.*I,5.272014839042142*^-32+0.*I,8.238676741209514*^-33+0.*I,1.2754840705830336*^-33+0.*I,1.9566090735648705*^-34+0.*I,2.974517616648746*^-35+0.*I,4.482104105126987*^-36+0.*I,6.695257385564106*^-37+0.*I,9.916017666626669*^-38+0.*I,1.4563123598282998*^-38+0.*I,2.1211895889954362*^-39+0.*I,3.06457781709181*^-40+0.*I,4.3922258771474627*^-41+0.*I,6.245631660053949*^-42+0.*I,8.812495271128687*^-43+0.*I,1.2339676268132222*^-43+0.*I,1.7149084307769632*^-44+0.*I,2.365695706151188*^-45+0.*I,3.23969901068607*^-46+0.*I,4.404777566149407*^-47+0.*I,5.946497506612717*^-48+0.*I,7.971858817236805*^-49+0.*I,1.0613558565769704*^-49+0.*I,1.4034803261423896*^-50+0.*I,1.843466492649471*^-51+0.*I,2.4053952445116245*^-52+0.*I,3.1181541861649663*^-53+0.*I,4.016107668310113*^-54+0.*I,5.1397912334334356*^-55+0.*I,6.5366138496733885*^-56+0.*I,8.261547027208743*^-57+0.*I,1.0377775547491086*^-57+0.*I,1.295728027622901*^-58+0.*I,1.6081319599203794*^-59+0.*I,1.9840772666995072*^-60+0.*I,2.4336305130539367*^-61+0.*I,2.9678316671639993*^-62+0.*I,3.5986629651754717*^-63+0.*I,4.338987986625929*^-64+0.*I,5.202457390746186*^-65+0.*I,6.203378315721632*^-66+0.*I,7.356545202369992*^-67+0.*I,8.677030769115094*^-68+0.*I,1.017993702488013*^-68+0.*I,1.188010753789703*^-69+0.*I,1.3791803647557107*^-70+0.*I,1.5928348868601897*^-71+0.*I
0.4790523549916351+0.*I,-0.2975336117233959+0.*I,-0.393050332718064+0.*I,-0.015164248040433271+0.*I,0.32510153754302357+0.*I,0.43458550072593516+0.*I,0.37298762154120524+0.*I,0.2537924049216503+0.*I,0.1476178131583687+0.*I,0.07626611843626785+0.*I,0.03582068815198437+0.*I,0.015534573846677863+0.*I,0.006290314718074255+0.*I,0.002398278371822733+0.*I,0.0008666154435151754+0.*I,0.00029835678069245654+0.*I,0.00009828811477142152+0.*I,0.000031094696737761775+0.*I,9.47586294811334*^-6+0.*I,2.7889327450797212*^-6+0.*I,7.94572937301085*^-7+0.*I,2.1957020871418987*^-7+0.*I,5.89554067691228*^-8+0.*I,1.540518652740559*^-8+0.*I,3.922969351890045*^-9+0.*I,9.748069430039485*^-10+0.*I,2.366340829541079*^-10+0.*I,5.6175292885110866*^-11+0.*I,1.3053833728951917*^-11+0.*I,2.971916391385819*^-12+0.*I,6.634249833373992*^-13+0.*I,1.4532088137534938*^-13+0.*I,3.1256883237096*^-14+0.*I,6.6057784843689406*^-15+0.*I,1.3725343215808473*^-15+0.*I,2.80534517203102*^-16+0.*I,5.643399199008824*^-17+0.*I,1.1178924619085081*^-17+0.*I,2.181547503404794*^-18+0.*I,4.1958854826385886*^-19+0.*I,7.95710529307751*^-20+0.*I,1.4884269305029237*^-20+0.*I,2.7472631338293996*^-21+0.*I,5.005234121903562*^-22+0.*I,9.004162597505957*^-23+0.*I,1.5999018549607133*^-23+0.*I,2.808692086048872*^-24+0.*I,4.873032021876496*^-25+0.*I,8.357889329436979*^-26+0.*I,1.4174532338628843*^-26+0.*I,2.3776242808800532*^-27+0.*I,3.94550894659142*^-28+0.*I,6.47868343643512*^-29+0.*I,1.0529043911184205*^-29+0.*I,1.6939487323330348*^-30+0.*I,2.6984093503762354*^-31+0.*I,4.256918703762149*^-32+0.*I,6.651863711832533*^-33+0.*I,1.029744036489487*^-33+0.*I,1.5795298200413946*^-34+0.*I,2.401103730741446*^-35+0.*I,3.617828381004237*^-36+0.*I,5.4038828293094484*^-37+0.*I,8.002938756655733*^-38+0.*I,1.1752795399082081*^-38+0.*I,1.7117542155847847*^-39+0.*I,2.4729119383575926*^-40+0.*I,3.5440472518304455*^-41+0.*I,5.039283255279376*^-42+0.*I,7.109999283846701*^-43+0.*I,9.95527689902708*^-44+0.*I,1.3834710075351436*^-44+0.*I,1.908394518889082*^-45+0.*I,2.6133325092427345*^-46+0.*I,3.553000517596301*^-47+0.*I,4.796388347819329*^-48+0.*I,6.4297637071954944*^-49+0.*I,8.56010785879085*^-50+0.*I,1.1318993571491883*^-50+0.*I,1.4866900938246755*^-51+0.*I,1.9397948076043592*^-52+0.*I,2.514499124121821*^-53+0.*I,3.2385022608218093*^-54+0.*I,4.144476422332286*^-55+0.*I,5.270632408219306*^-56+0.*I,6.661274581240964*^-57+0.*I,8.367324829542229*^-58+0.*I,1.044679172631185*^-58+0.*I,1.296515792510301*^-59+0.*I,1.5995656130650464*^-60+0.*I,1.9619401971197174*^-61+0.*I,2.3925350992494563*^-62+0.*I,2.9010047013755877*^-63+0.*I,3.4977130431266036*^-64+0.*I,4.193657789308299*^-65+0.*I,5.000364921838926*^-66+0.*I,5.92975235573501*^-67+0.*I,6.9939614569039725*^-68+0.*I,8.205156374129088*^-69+0.*I,9.575292170408564*^-70+0.*I
-0.31457329238427806+0.*I,0.4719586654821442+0.*I,0.015164248040433271+0.*I,-0.38309261644153253+0.*I,-0.2309905083044459+0.*I,0.13433047848397073+0.*I,0.3696716129464309+0.*I,0.40309333244596196+0.*I,0.3175069266875441+0.*I,0.2056008385081523+0.*I,0.11572032347223062+0.*I,0.0583905022384846+0.*I,0.026938565742594876+0.*I,0.01151948694186482+0.*I,0.004611803939404119+0.*I,0.001741892842652501+0.*I,0.0006244838488986988+0.*I,0.0002135539484249632+0.*I,0.00006994374482206515+0.*I,0.000022015692030378+0.*I,6.679231153801536*^-6+0.*I,1.9580599797535723*^-6+0.*I,5.558854296353519*^-7+0.*I,1.53124199245898*^-7+0.*I,4.099640042956872*^-8+0.*I,1.0684522826359025*^-8+0.*I,2.7143664063507884*^-9+0.*I,6.730143249237584*^-10+0.*I,1.6304645753452123*^-10+0.*I,3.863448742334184*^-11+0.*I,8.962381862105757*^-12+0.*I,2.0371869107353943*^-12+0.*I,4.5409094623640094*^-13+0.*I,9.932962023388991*^-14+0.*I,2.1337079269536416*^-14+0.*I,4.50388212843729*^-15+0.*I,9.347422735149509*^-16+0.*I,1.9084894249293627*^-16+0.*I,3.835355491473947*^-17+0.*I,7.590155442017421*^-18+0.*I,1.4798698278954725*^-18+0.*I,2.843880229701212*^-19+0.*I,5.388782541927377*^-20+0.*I,1.0072297937400391*^-20+0.*I,1.857732228110776*^-21+0.*I,3.3822384332593808*^-22+0.*I,6.080428896894149*^-23+0.*I,1.0797132276396484*^-23+0.*I,1.894330106758885*^-24+0.*I,3.284722636956824*^-25+0.*I,5.63060012834635*^-26+0.*I,9.544111268217326*^-27+0.*I,1.6001036082330167*^-27+0.*I,2.653963241438029*^-28+0.*I,4.355860605836097*^-29+0.*I,7.075862090486213*^-30+0.*I,1.1378927132064216*^-30+0.*I,1.8118678861874485*^-31+0.*I,2.857184714192827*^-32+0.*I,4.462896787250763*^-33+0.*I,6.906201837636818*^-34+0.*I,1.0589609012551453*^-34+0.*I,1.6092016950496967*^-35+0.*I,2.423818318546048*^-36+0.*I,3.6192234711390425*^-37+0.*I,5.358224924064376*^-38+0.*I,7.866453347790352*^-39+0.*I,1.14538033815701*^-39+0.*I,1.6542131580734649*^-40+0.*I,2.3700670098752566*^-41+0.*I,3.369083876621309*^-42+0.*I,4.752236114619763*^-43+0.*I,6.652279939129208*^-44+0.*I,9.242280193593054*^-45+0.*I,1.2745948718284913*^-45+0.*I,1.7450044179280288*^-46+0.*I,2.3719076725521067*^-47+0.*I,3.2012543405848895*^-48+0.*I,4.290488687781528*^-49+0.*I,5.710831759555392*^-50+0.*I,7.54985656349529*^-51+0.*I,9.91435303366659*^-52+0.*I,1.2933467249827696*^-52+0.*I,1.6762084442725493*^-53+0.*I,2.1584407858424875*^-54+0.*I,2.761766581853112*^-55+0.*I,3.5115857717026718*^-56+0.*I,4.437342685225343*^-57+0.*I,5.572872472044645*^-58+0.*I,6.956710870961428*^-59+0.*I,8.632349422400342*^-60+0.*I,1.0648416448189459*^-60+0.*I,1.3058762800539022*^-61+0.*I,1.592243066393581*^-62+0.*I,1.930348372394438*^-63+0.*I,2.327067792725873*^-64+0.*I,2.7896953957771895*^-65+0.*I,3.32587355227529*^-66+0.*I,3.943502162012119*^-67+0.*I,4.650626613277917*^-68+0.*I
0.17889217642444494+0.*I,-0.4256810550453206+0.*I,0.32510153754302357+0.*I,0.2309905083044459+0.*I,-0.2517324667900093+0.*I,-0.33464656767314305+0.*I,-0.045705036253508045+0.*I,0.2597976453889624+0.*I,0.3894995761312695+0.*I,0.35933888917330953+0.*I,0.25927540156103673+0.*I,0.15869481782695252+0.*I,0.08581583848220528+0.*I,0.042013264893424815+0.*I,0.01892833670809777+0.*I,0.007940136780316567+0.*I,0.003128652946525218+0.*I,0.00116596214375288+0.*I,0.00041324058491094286+0.*I,0.00013991892941543998+0.*I,0.00004543022526424564+0.*I,0.000014190527661953173+0.*I,4.275935642947624*^-6+0.*I,1.2458874539372317*^-6+0.*I,3.5176223947582334*^-7+0.*I,9.641490501383688*^-8+0.*I,2.5696683812271178*^-8+0.*I,6.6693996411537*^-9+0.*I,1.6879069431514093*^-9+0.*I,4.170452840400419*^-10+0.*I,1.0070815584513721*^-10+0.*I,2.3791703594488002*^-11+0.*I,5.503801358383111*^-12+0.*I,1.2477899745210282*^-12+0.*I,2.7745910524583333*^-13+0.*I,6.055465484644033*^-14+0.*I,1.2980075257840748*^-14+0.*I,2.734375275628349*^-15+0.*I,5.664249695636861*^-16+0.*I,1.1544255188222793*^-16+0.*I,2.3160603623383214*^-17+0.*I,4.576168825284795*^-18+0.*I,8.908774797044097*^-19+0.*I,1.7095511642615552*^-19+0.*I,3.2349574112587957*^-20+0.*I,6.038681499483024*^-21+0.*I,1.112394550715702*^-21+0.*I,2.0228646666703162*^-22+0.*I,3.632509187939977*^-23+0.*I,6.443359102102889*^-24+0.*I,1.1293046147144637*^-24+0.*I,1.9562507462397007*^-25+0.*I,3.350183239869217*^-26+0.*I,5.67353893246519*^-27+0.*I,9.503573644136255*^-28+0.*I,1.5749571860400414*^-28+0.*I,2.582835252808976*^-29+0.*I,4.1924131253375896*^-30+0.*I,6.736904401049503*^-31+0.*I,1.0719429191623612*^-31+0.*I,1.6891981649352811*^-32+0.*I,2.636736830403475*^-33+0.*I,4.077620829774979*^-34+0.*I,6.248483051090277*^-35+0.*I,9.489454541509425*^-36+0.*I,1.428484361733641*^-36+0.*I,2.1317861471198385*^-37+0.*I,3.15434906492905*^-38+0.*I,4.6284519871382334*^-39+0.*I,6.7356817963232804*^-40+0.*I,9.723107893248857*^-41+0.*I,1.3923951546463146*^-41+0.*I,1.9783727093074845*^-42+0.*I,2.789296049726679*^-43+0.*I,3.902771102647526*^-44+0.*I,5.419922428359214*^-45+0.*I,7.471411788322938*^-46+0.*I,1.0224653098827432*^-46+0.*I,1.3892364025330816*^-47+0.*I,1.8742584065108744*^-48+0.*I,2.511026927416072*^-49+0.*I,3.341054310132942*^-50+0.*I,4.415363952511789*^-51+0.*I,5.796151755405109*^-52+0.*I,7.558605429052215*^-53+0.*I,9.792863690958597*^-54+0.*I,1.2606087256653901*^-54+0.*I,1.6124602083371197*^-55+0.*I,2.0496062823156593*^-56+0.*I,2.5891571234874337*^-57+0.*I,3.250767086960511*^-58+0.*I,4.056812627059302*^-59+0.*I,5.032538291032179*^-60+0.*I,6.206159390076343*^-61+0.*I,7.608909199236754*^-62+0.*I,9.275018137684136*^-63+0.*I,1.124161241584886*^-63+0.*I,1.3548520181535382*^-64+0.*I,1.623797431639757*^-65+0.*I,1.9354202771767448*^-66+0.*I
-0.09099255110783185+0.*I,0.2965234109691132+0.*I,-0.43458550072593516+0.*I,0.13433047848397073+0.*I,0.33464656767314305+0.*I,-0.0815162755586412+0.*I,-0.34333932496893893+0.*I,-0.18622361444059213+0.*I,0.13050403474083103+0.*I,0.3397927088388486+0.*I,0.3763028808462118+0.*I,0.3038482957448954+0.*I,0.20219918623233163+0.*I,0.11700405870826584+0.*I,0.0606738411614408+0.*I,0.028746132670324564+0.*I,0.012612375843972559+0.*I,0.005175890562639327+0.*I,0.0020020650050926576+0.*I,0.0007343851822632648+0.*I,0.0002567300171308079+0.*I,0.00008588632012827648+0.*I,0.000027591370092423837+0.*I,8.537146251229868*^-6+0.*I,2.5506806641586117*^-6+0.*I,7.375233523456657*^-7+0.*I,2.0678932949663198*^-7+0.*I,5.632134252990172*^-8+0.*I,1.492413529171008*^-8+0.*I,3.85289036053609*^-9+0.*I,9.703234793624752*^-10+0.*I,2.386597626949258*^-10+0.*I,5.7389299022447986*^-11+0.*I,1.3504839989744094*^-11+0.*I,3.1127100676582765*^-12+0.*I,7.032869893561823*^-13+0.*I,1.5588294348056636*^-13+0.*I,3.3918796768703147*^-14+0.*I,7.250043382391799*^-15+0.*I,1.5232196102517375*^-15+0.*I,3.147403276276677*^-16+0.*I,6.399423182133517*^-17+0.*I,1.2809857223256185*^-17+0.*I,2.5256102048908275*^-18+0.*I,4.906803920403346*^-19+0.*I,9.397717921079106*^-20+0.*I,1.7750414309407582*^-20+0.*I,3.3076451785686716*^-21+0.*I,6.082851290698212*^-22+0.*I,1.104381443932693*^-22+0.*I,1.98012757778452*^-23+0.*I,3.507206056517418*^-24+0.*I,6.138313811497259*^-25+0.*I,1.0618824854340514*^-25+0.*I,1.8161757322133236*^-26+0.*I,3.07186943751858*^-27+0.*I,5.139440347116425*^-28+0.*I,8.507410654724242*^-29+0.*I,1.3936175535323162*^-29+0.*I,2.2596788543930137*^-30+0.*I,3.62739903417198*^-31+0.*I,5.765999326845325*^-32+0.*I,9.077502489058024*^-33+0.*I,1.4156292335820633*^-33+0.*I,2.1872576531174816*^-34+0.*I,3.348812397629073*^-35+0.*I,5.081509255333779*^-36+0.*I,7.643174312490015*^-37+0.*I,1.1397240834232001*^-37+0.*I,1.6851329151569972*^-38+0.*I,2.4708052852681168*^-39+0.*I,3.5931243589131485*^-40+0.*I,5.183139237645578*^-41+0.*I,7.417475452696837*^-42+0.*I,1.0532123785720169*^-42+0.*I,1.4839686021946754*^-43+0.*I,2.0750718335168824*^-44+0.*I,2.8799865536957176*^-45+0.*I,3.967751627677486*^-46+0.*I,5.426772328402903*^-47+0.*I,7.369311581070235*^-48+0.*I,9.936747480506436*^-49+0.*I,1.330565359539312*^-49+0.*I,1.769474226794128*^-50+0.*I,2.3372688235405208*^-51+0.*I,3.0666819779424312*^-52+0.*I,3.997262681906363*^-53+0.*I,5.1763989787396586*^-54+0.*I,6.660398005266682*^-55+0.*I,8.515602282546867*^-56+0.*I,1.0819514823932487*^-56+0.*I,1.3661898749947982*^-57+0.*I,1.7145810116769094*^-58+0.*I,2.138851588832379*^-59+0.*I,2.652224277403775*^-60+0.*I,3.269469742090929*^-61+0.*I,4.0069294624356725*^-62+0.*I,4.882502825091135*^-63+0.*I,5.9155919877497936*^-64+0.*I,7.1269983137182085*^-65+0.*I
0.04225029170411668+0.*I,-0.17483135785622508+0.*I,0.37298762154120524+0.*I,-0.3696716129464309+0.*I,-0.045705036253508045+0.*I,0.34333932496893893+0.*I,0.07790541838025573+0.*I,-0.2843802173471455+0.*I,-0.2756290453637895+0.*I,0.0020592426774422596+0.*I,0.26394294026471926+0.*I,0.3684315636293871+0.*I,0.3358198538093907+0.*I,0.24330100824727904+0.*I,0.15055415362122354+0.*I,0.0825861627631827+0.*I,0.04108597235315811+0.*I,0.018826486656787992+0.*I,0.008035292735935349+0.*I,0.0032217059720385352+0.*I,0.0012215911072946536+0.*I,0.0004404185513410489+0.*I,0.00015164836604504892+0.*I,0.000050056841272048115+0.*I,0.00001588994278599736+0.*I,4.864103150970713*^-6+0.*I,1.4392594323334114*^-6+0.*I,4.125148955485461*^-7+0.*I,1.1473832768482934*^-7+0.*I,3.102147677951312*^-8+0.*I,8.164777435915473*^-9+0.*I,2.0947584983429246*^-9+0.*I,5.245137160457203*^-10+0.*I,1.2831917542785064*^-10+0.*I,3.0702634305865564*^-11+0.*I,7.1913539615871625*^-12+0.*I,1.6503136184257431*^-12+0.*I,3.7135118056318327*^-13+0.*I,8.199404291262908*^-14+0.*I,1.7776784458686843*^-14+0.*I,3.786793712714364*^-15+0.*I,7.930372795296618*^-16+0.*I,1.6336486109246703*^-16+0.*I,3.312008684350556*^-17+0.*I,6.6115486476141656*^-18+0.*I,1.300147461328206*^-18+0.*I,2.5196903112476947*^-19+0.*I,4.814419540273973*^-20+0.*I,9.072990176922142*^-21+0.*I,1.6870401441087595*^-21+0.*I,3.0961319642381206*^-22+0.*I,5.610165304537829*^-23+0.*I,1.0039916627333038*^-23+0.*I,1.775057529830728*^-24+0.*I,3.1013175265026803*^-25+0.*I,5.356109928901416*^-26+0.*I,9.14607809362671*^-27+0.*I,1.5445797036351948*^-27+0.*I,2.5803520488541544*^-28+0.*I,4.26520332555613*^-29+0.*I,6.977302055475467*^-30+0.*I,1.1298307404522677*^-30+0.*I,1.8113601714499463*^-31+0.*I,2.875715513750489*^-32+0.*I,4.521865453697171*^-33+0.*I,7.043651899397733*^-34+0.*I,1.0870806058139265*^-34+0.*I,1.6625764129759146*^-35+0.*I,2.520155432244533*^-36+0.*I,3.78674715281088*^-37+0.*I,5.641098529186064*^-38+0.*I,8.332635973676001*^-39+0.*I,1.2206280783269722*^-39+0.*I,1.7734764637053323*^-40+0.*I,2.5560282828621593*^-41+0.*I,3.654763416395839*^-42+0.*I,5.18513179013139*^-43+0.*I,7.299937538796585*^-44+0.*I,1.0199705799661108*^-44+0.*I,1.4145364925425727*^-45+0.*I,1.9473593810799075*^-46+0.*I,2.6615189750862115*^-47+0.*I,3.611680290360798*^-48+0.*I,4.8666354816066424*^-49+0.*I,6.512240626173974*^-50+0.*I,8.654765959833484*^-51+0.*I,1.1424666915584782*^-51+0.*I,1.4980768671506532*^-52+0.*I,1.9514838596892199*^-53+0.*I,2.5256498953964876*^-54+0.*I,3.247840661543492*^-55+0.*I,4.15015977769094*^-56+0.*I,5.270086432037455*^-57+0.*I,6.650999554571934*^-58+0.*I,8.34266856469018*^-59+0.*I,1.0401687506366446*^-59+0.*I,1.2891826443662932*^-60+0.*I,1.5884271528310173*^-61+0.*I,1.945772337734815*^-62+0.*I,2.3698322524209036*^-63+0.*I
-0.018162690707596085+0.*I,0.09112617326462648+0.*I,-0.2537924049216503+0.*I,0.40309333244596196+0.*I,-0.2597976453889624+0.*I,-0.18622361444059213+0.*I,0.2843802173471455+0.*I,0.20015569696311067+0.*I,-0.18552694350974916+0.*I,-0.31341919446794547+0.*I,-0.11100337069705793+0.*I,0.17248744537160188+0.*I,0.3380268368246519+0.*I,0.3530543021884661+0.*I,0.27935888388232505+0.*I,0.1848863101152678+0.*I,0.10719637257037945+0.*I,0.05593467310133935+0.*I,0.026735303853474245+0.*I,0.0118532593537884+0.*I,0.00492053552206134+0.*I,0.0019265293265836594+0.*I,0.0007155875561364236+0.*I,0.00025336741211235786+0.*I,0.00008585644006795641+0.*I,0.000027938173016075143+0.*I,8.75562070163674*^-6+0.*I,2.6493161870251333*^-6+0.*I,7.757057113335615*^-7+0.*I,2.2020289264261527*^-7+0.*I,6.071065750395825*^-8+0.*I,1.6281595951662387*^-8+0.*I,4.253302426140331*^-9+0.*I,1.0836832139713472*^-9+0.*I,2.6960314210965075*^-10+0.*I,6.556173512435695*^-11+0.*I,1.559901575833864*^-11+0.*I,3.6345458167848324*^-12+0.*I,8.29974204996843*^-13+0.*I,1.8589576287901676*^-13+0.*I,4.086676372526509*^-14+0.*I,8.823708568859408*^-15+0.*I,1.872308872177537*^-15+0.*I,3.90658575248182*^-16+0.*I,8.019425845310806*^-17+0.*I,1.620442385512834*^-17+0.*I,3.22458447128321*^-18+0.*I,6.322042300346567*^-19+0.*I,1.2217077090053596*^-19+0.*I,2.327964543584164*^-20+0.*I,4.37570692826739*^-21+0.*I,8.115927111788253*^-22+0.*I,1.4859134021314118*^-22+0.*I,2.6862997067599914*^-23+0.*I,4.796831387059427*^-24+0.*I,8.462927550301764*^-25+0.*I,1.475619207183618*^-25+0.*I,2.5434977820909807*^-26+0.*I,4.335134808018472*^-27+0.*I,7.307924669908747*^-28+0.*I,1.2187294214355813*^-28+0.*I,2.0111278800759093*^-29+0.*I,3.284616553639531*^-30+0.*I,5.310458334874587*^-31+0.*I,8.500958989147339*^-32+0.*I,1.3476446179522417*^-32+0.*I,2.1160904998290956*^-33+0.*I,3.2917087671485287*^-34+0.*I,5.073539167675946*^-35+0.*I,7.749516048389697*^-36+0.*I,1.1732244575862156*^-36+0.*I,1.7607481413757388*^-37+0.*I,2.619916015727848*^-38+0.*I,3.8655719429576287*^-39+0.*I,5.656354724079154*^-40+0.*I,8.209454348835318*^-41+0.*I,1.1819610713540898*^-41+0.*I,1.688332458363038*^-42+0.*I,2.3929393722887477*^-43+0.*I,3.3657027712645716*^-44+0.*I,4.698292431833479*^-45+0.*I,6.5098797299920696*^-46+0.*I,8.954091694749984*^-47+0.*I,1.2227324479277478*^-47+0.*I,1.6578569546486335*^-48+0.*I,2.2320892276983486*^-49+0.*I,2.984467845084544*^-50+0.*I,3.963272725986888*^-51+0.*I,5.2277218491327484*^-52+0.*I,6.849851494900974*^-53+0.*I,8.916567821916333*^-54+0.*I,1.153184764208731*^-54+0.*I,1.4819054735098001*^-55+0.*I,1.8923325123021665*^-56+0.*I,2.4013960704113616*^-57+0.*I,3.0286755944227094*^-58+0.*I,3.7966167495920422*^-59+0.*I,4.730722233454273*^-60+0.*I,5.859704705339159*^-61+0.*I,7.215589022002609*^-62+0.*I
