0.7053466813803245+0.*I,0.5893473116550215+0.*I,0.34819697068791866+0.*I,0.16797050988211085+0.*I,0.0701732715624475+0.*I,0.026221371382228326+0.*I,0.008944343218139321+0.*I,0.0028246725879375652+0.*I,0.0008344336343395316+0.*I,0.00023240166012650806+0.*I,0.00006140558957255622+0.*I,0.000015469641254019395+0.*I,3.7312839396582543*^-6+0.*I,8.646797774930495*^-7+0.*I,1.930900805640464*^-7+0.*I,4.165652265340222*^-8+0.*I,8.701451458818727*^-9+0.*I,1.7633394369433776*^-9+0.*I,3.4727086394042993*^-10+0.*I,6.656719030682077*^-11+0.*I,1.2436950565667282*^-11+0.*I,2.2676338965445745*^-12+0.*I,4.039524804516339*^-13+0.*I,7.037769530930504*^-14+0.*I,1.200322920895539*^-14+0.*I,2.0058422481362868*^-15+0.*I,3.2868416370537013*^-16+0.*I,5.285250515791999*^-17+0.*I,8.345555334942866*^-18+0.*I,1.294866280437127*^-18+0.*I,1.9752995903583659*^-19+0.*I,2.9642908005195605*^-20+0.*I,4.378390537153883*^-21+0.*I,6.36833947339802*^-22+0.*I,9.125473893081947*^-23+0.*I,1.2888135228303509*^-23+0.*I,1.7947646761407475*^-24+0.*I,2.4653315337753186*^-25+0.*I,3.341582685136718*^-26+0.*I,4.470834441008738*^-27+0.*I,5.906460061042321*^-28+0.*I,7.707331214677601*^-29+0.*I,9.936834508954237*^-30+0.*I,1.2661422722792579*^-30+0.*I,1.5948683878008708*^-31+0.*I,1.9864940677632476*^-32+0.*I,2.447242668341142*^-33+0.*I,2.9826121768097158*^-34+0.*I,3.597036521667174*^-35+0.*I,4.293539738138668*^-36+0.*I,5.073400695253214*^-37+0.*I,5.935847782882611*^-38+0.*I,6.87780348954838*^-39+0.*I,7.893698014843976*^-40+0.*I,8.975368892282135*^-41+0.*I,1.0112060098258616*^-41+0.*I,1.1290529453008649*^-42+0.*I,1.2495267547524239*^-43+0.*I,1.3708825310454237*^-44+0.*I,1.4912241074059915*^-45+0.*I,1.6085552046484392*^-46+0.*I,1.7208369875442317*^-47+0.*I,1.8260495874644064*^-48+0.*I,1.9222548777961597*^-49+0.*I,2.0076576782213228*^-50+0.*I,2.0806626212827946*^-51+0.*I,2.1399241348978464*^-52+0.*I,2.1843873610157824*^-53+0.*I,2.2133183167597076*^-54+0.*I,2.2263221757740654*^-55+0.*I,2.2233491650331147*^-56+0.*I,2.2046881954676312*^-57+0.*I,2.1709489345014073*^-58+0.*I,2.1230335504723693*^-59+0.*I,2.0620997851951986*^-60+0.*I,1.989517322122103*^-61+0.*I,1.9068196032583901*^-62+0.*I,1.8156533068159222*^-63+0.*I,1.717727636529058*^-64+0.*I,1.6147654066652012*^-65+0.*I,1.5084576534835735*^-66+0.*I,1.4004231871502159*^-67+0.*I,1.2921741423510873*^-68+0.*I,1.1850882151863178*^-69+0.*I,1.0803879105905963*^-70+0.*I,9.791267875907944*^-72+0.*I,8.821823942170998*^-73+0.*I,7.902553404481198*^-74+0.*I,7.03873772240325*^-75+0.*I,6.234023842714443*^-76+0.*I,5.490550415501567*^-77+0.*I,4.809100654891531*^-78+0.*I,4.189272711276972*^-79+0.*I,3.6296591019595446*^-80+0.*I,3.1280277025460516*^-81+0.*I,2.681497938586959*^-82+0.*I,2.2867070482162397*^-83+0.*I,1.9399625344749749*^-84+0.*I,1.6373781261155038*^-85+0.*I,1.3749916679412706*^-86+0.*I
-0.5893473116550215+0.*I,0.21292180305624267+0.*I,0.5425295038015884+0.*I,0.46274830114815124+0.*I,0.2773082508902917+0.*I,0.13500312844842097+0.*I,0.056755599039612595+0.*I,0.021304373070837334+0.*I,0.007292175585870107+0.*I,0.002309119378903829+0.*I,0.0006836115823231153+0.*I,0.0001907337539208213+0.*I,0.00005047076197904222+0.*I,0.000012730858641497904+0.*I,3.0740004581533772*^-6+0.*I,7.13028860507125*^-7+0.*I,1.5935565586127415*^-7+0.*I,3.440365796408972*^-8+0.*I,7.19105598487515*^-9+0.*I,1.4580988681571225*^-9+0.*I,2.8730592121506844*^-10+0.*I,5.5098562301063886*^-11+0.*I,1.0298626196160075*^-11+0.*I,1.878484466015081*^-12+0.*I,3.347496743210442*^-13+0.*I,5.83401790802344*^-14+0.*I,9.9531990917133*^-15+0.*I,1.6637324856049816*^-15+0.*I,2.726961013058747*^-16+0.*I,4.3860274742258255*^-17+0.*I,6.927229980680262*^-18+0.*I,1.0750323493949673*^-18+0.*I,1.6402727761056611*^-19+0.*I,2.4619836738807596*^-20+0.*I,3.637100875676828*^-21+0.*I,5.2910172804380685*^-22+0.*I,7.582920874197999*^-23+0.*I,1.0711138331768396*^-23+0.*I,1.4918120707412885*^-24+0.*I,2.0494619846127282*^-25+0.*I,2.7782529757160264*^-26+0.*I,3.7175817096134076*^-27+0.*I,4.9118950067721425*^-28+0.*I,6.410226541216341*^-29+0.*I,8.265379623543992*^-30+0.*I,1.0532722317610003*^-30+0.*I,1.3268580688179514*^-31+0.*I,1.6528240457022312*^-32+0.*I,2.036359553636267*^-33+0.*I,2.4820512048140988*^-34+0.*I,2.993600632027616*^-35+0.*I,3.573536249158771*^-36+0.*I,4.2229337199255875*^-37+0.*I,4.941161297960946*^-38+0.*I,5.725666651194283*^-39+0.*I,6.571821134149909*^-40+0.*I,7.472835671222109*^-41+0.*I,8.419759502564083*^-42+0.*I,9.401569156783632*^-43+0.*I,1.0405350373785855*^-43+0.*I,1.1416570601650187*^-44+0.*I,1.2419434477483201*^-45+0.*I,1.3397309738920225*^-46+0.*I,1.4333206656050985*^-47+0.*I,1.5210290638968873*^-48+0.*I,1.6012405413622145*^-49+0.*I,1.6724583230988415*^-50+0.*I,1.7333519045120156*^-51+0.*I,1.782798742434623*^-52+0.*I,1.81991840090887*^-53+0.*I,1.8440977377183933*^-54+0.*I,1.855006193705222*^-55+0.*I,1.8526007614938418*^-56+0.*I,1.837120729641944*^-57+0.*I,1.8090727899785218*^-58+0.*I,1.7692075312091418*^-59+0.*I,1.7184886976036096*^-60+0.*I,1.6580568514580447*^-61+0.*I,1.589189233322794*^-62+0.*I,1.5132576635291416*^-63+0.*I,1.4316862781230032*^-64+0.*I,1.3459107536107293*^-65+0.*I,1.2573404641323778*^-66+0.*I,1.1673247508974075*^-67+0.*I,1.0771241873107423*^-68+0.*I,9.878874143137695*^-70+0.*I,9.006338175746434*^-71+0.*I,8.162420372139303*^-72+0.*I,7.354440542936126*^-73+0.*I,6.588243951901798*^-74+0.*I,5.868238402849307*^-75+0.*I,5.1974691864459*^-76+0.*I,4.577724139141748*^-77+0.*I,4.009660943237259*^-78+0.*I,3.492949054628028*^-79+0.*I,3.026419210320701*^-80+0.*I,2.608214263202332*^-81+0.*I,2.235936038755858*^-82+0.*I,1.9067839343678373*^-83+0.*I,1.6176820219706578*^-84+0.*I
0.34819697068791866+0.*I,-0.5425295038015884+0.*I,-0.10761436635808545+0.*I,0.3910602245696102+0.*I,0.4905862310560348+0.*I,0.35870057175113695+0.*I,0.20030005096067538+0.*I,0.0935929971634955+0.*I,0.038300397908789814+0.*I,0.014104771240668987+0.*I,0.004759457905520314+0.*I,0.0014905223441182118+0.*I,0.00043738134168895293+0.*I,0.00012115408029036444+0.*I,0.00003186651129180799+0.*I,7.997226713688231*^-6+0.*I,1.9225999878202583*^-6+0.*I,4.4427128306807677*^-7+0.*I,9.896236893478004*^-8+0.*I,2.13028521200271*^-8+0.*I,4.441167981608189*^-9+0.*I,8.984243686127333*^-10+0.*I,1.7665664442051098*^-10+0.*I,3.3814498275722947*^-11+0.*I,6.309484956287476*^-12+0.*I,1.1490503985375692*^-12+0.*I,2.0446797840722455*^-13+0.*I,3.558742560755003*^-14+0.*I,6.0640031927508204*^-15+0.*I,1.0124823795767219*^-15+0.*I,1.6577738181839302*^-16+0.*I,2.663738329730582*^-17+0.*I,4.203219137628389*^-18+0.*I,6.517361098792766*^-19+0.*I,9.936132287515813*^-20+0.*I,1.4902481777290342*^-20+0.*I,2.1999872613418348*^-21+0.*I,3.198254263759172*^-22+0.*I,4.580738020859249*^-23+0.*I,6.466577840247159*^-24+0.*I,9.001328456938095*^-25+0.*I,1.2359433952567193*^-25+0.*I,1.674589601248695*^-26+0.*I,2.2396792500762493*^-27+0.*I,2.9578294128194513*^-28+0.*I,3.8583845863437333*^-29+0.*I,4.97292301525328*^-30+0.*I,6.334531322369967*^-31+0.*I,7.976839315390429*^-32+0.*I,9.932821504634182*^-33+0.*I,1.2233388725126949*^-33+0.*I,1.4905811247117655*^-34+0.*I,1.7972032562524837*^-35+0.*I,2.144694916611113*^-36+0.*I,2.5336744585886724*^-37+0.*I,2.9637374238003595*^-38+0.*I,3.433330021809709*^-39+0.*I,3.939657110797123*^-40+0.*I,4.478633097586089*^-41+0.*I,5.0448824233488797*^-42+0.*I,5.631793970043845*^-43+0.*I,6.23163094545275*^-44+0.*I,6.835694758228309*^-45+0.*I,7.434538284351583*^-46+0.*I,8.018220970725303*^-47+0.*I,8.576595632125316*^-48+0.*I,9.099614762189761*^-49+0.*I,9.577642845515347*^-50+0.*I,1.0001760622167432*^-50+0.*I,1.036404755449493*^-51+0.*I,1.065782985395261*^-52+0.*I,1.087788325931349*^-53+0.*I,1.1020582183767996*^-54+0.*I,1.1083989695528677*^-55+0.*I,1.1067885870128102*^-56+0.*I,1.0973735150776577*^-57+0.*I,1.0804596282550244*^-58+0.*I,1.0564980975746087*^-59+0.*I,1.0260669566039085*^-60+0.*I,9.89849347787385*^-62+0.*I,9.486095211681773*^-63+0.*I,9.031676858859106*^-64+0.*I,8.543747836281004*^-65+0.*I,8.030881694828264*^-66+0.*I,7.501490590942758*^-67+0.*I,6.963624430892792*^-68+0.*I,6.424799925687033*^-69+0.*I,5.891862950495916*^-70+0.*I,5.37088579623597*^-71+0.*I,4.867099227294707*^-72+0.*I,4.384857792790778*^-73+0.*I,3.927635631650956*^-74+0.*I,3.4980490940308063*^-75+0.*I,3.0979018818158473*^-76+0.*I,2.728248079145683*^-77+0.*I,2.389468374932023*^-78+0.*I,2.0813549368618356*^-79+0.*I,1.8032007369243463*^-80+0.*I,1.5538896053713696*^-81+0.*I,1.3319838566859727*^-82+0.*I
-0.16797050988211085+0.*I,0.46274830114815124+0.*I,-0.3910602245696102+0.*I,-0.2962621457623574+0.*I,0.214898243675134+0.*I,0.4603066450996354+0.*I,0.41065430129262126+0.*I,0.26081404163335353+0.*I,0.13436058038095758+0.*I,0.059534081684791684+0.*I,0.023455704782247247+0.*I,0.008394638808506659+0.*I,0.0027700515631920823+0.*I,0.0008520370381327992+0.*I,0.0002463502946058813+0.*I,0.00006739781659890608+0.*I,0.000017541340141539812+0.*I,4.362386564717051*^-6+0.*I,1.0404984213448704*^-6+0.*I,2.3877331991344254*^-7+0.*I,5.286130450959218*^-8+0.*I,1.1316825343161967*^-8+0.*I,2.3477253784044065*^-9+0.*I,4.728279571124333*^-10+0.*I,9.259814331274736*^-11+0.*I,1.765961131651403*^-11+0.*I,3.2840772572858592*^-12+0.*I,5.96236531344256*^-13+0.*I,1.0579610087819198*^-13+0.*I,1.8365329772589437*^-14+0.*I,3.121779262608799*^-15+0.*I,5.200498287947339*^-16+0.*I,8.496969312099809*^-17+0.*I,1.3626102746654882*^-17+0.*I,2.1461387014868667*^-18+0.*I,3.321945581740651*^-19+0.*I,5.056243549939297*^-20+0.*I,7.57181729555126*^-21+0.*I,1.1161695162770062*^-21+0.*I,1.6204137557815298*^-22+0.*I,2.3178378848833828*^-23+0.*I,3.268030049170418*^-24+0.*I,4.543694392074524*^-25+0.*I,6.231851593870175*^-26+0.*I,8.434632568550452*^-27+0.*I,1.1269495261622422*^-27+0.*I,1.4868691133421033*^-28+0.*I,1.9377818031080073*^-29+0.*I,2.4953321893745056*^-30+0.*I,3.1758852142023936*^-31+0.*I,3.996043429222966*^-32+0.*I,4.972049629169698*^-33+0.*I,6.119086858122155*^-34+0.*I,7.450496666659302*^-35+0.*I,8.976945246880294*^-36+0.*I,1.070557495852869*^-36+0.*I,1.2639185033805438*^-37+0.*I,1.4775489216366158*^-38+0.*I,1.7106499183580556*^-39+0.*I,1.9618080444185194*^-40+0.*I,2.2289721862061203*^-41+0.*I,2.5094551169364872*^-42+0.*I,2.7999617214026134*^-43+0.*I,3.096644590855276*^-44+0.*I,3.3951861787918*^-45+0.*I,3.6909051762447905*^-46+0.*I,3.9788833141358377*^-47+0.*I,4.254107534411921*^-48+0.*I,4.511621482799591*^-49+0.*I,4.74667963595693*^-50+0.*I,4.9548971305657865*^-51+0.*I,5.132388528083205*^-52+0.*I,5.275889312748659*^-53+0.*I,5.382854839710988*^-54+0.*I,5.451532658055949*^-55+0.*I,5.481005544915421*^-56+0.*I,5.471204105491236*^-57+0.*I,5.4228893202545864*^-58+0.*I,5.337606859802718*^-59+0.*I,5.217616256151955*^-60+0.*I,5.065799049672733*^-61+0.*I,4.885550776915191*^-62+0.*I,4.68066210197977*^-63+0.*I,4.455194520736709*^-64+0.*I,4.213355901268124*^-65+0.*I,3.9593807007893587*^-66+0.*I,3.6974190672164087*^-67+0.*I,3.431438249117849*^-68+0.*I,3.165138860977109*^-69+0.*I,2.9018876405469536*^-70+0.*I,2.644667445739137*^-71+0.*I,2.396044416224435*^-72+0.*I,2.1581515060949475*^-73+0.*I,1.9326870039296268*^-74+0.*I,1.7209262097101316*^-75+0.*I,1.523744138108285*^-76+0.*I,1.341646959452885*^-77+0.*I,1.1748098605170733*^-78+0.*I,1.023119089044936*^-79+0.*I,8.862161171210294*^-81+0.*I
0.0701732715624475+0.*I,-0.2773082508902917+0.*I,0.4905862310560348+0.*I,-0.214898243675134+0.*I,-0.38604048138979624+0.*I,0.047960598616909766+0.*I,0.39219858906675953+0.*I,0.43428393615647504+0.*I,0.31271474997210663+0.*I,0.17666923516222113+0.*I,0.08433252613046499+0.*I,0.03538984614590988+0.*I,0.013382692665775813+0.*I,0.004637824784914705+0.*I,0.0014910972364468261+0.*I,0.00044889841538173247+0.*I,0.00012746736333552825+0.*I,0.000034339918857896106+0.*I,8.81932890576358*^-6+0.*I,2.167961075624191*^-6+0.*I,5.118294344534904*^-7+0.*I,1.1639261889395307*^-7+0.*I,2.5559495501271927*^-8+0.*I,5.432113701194199*^-9+0.*I,1.1195023770136898*^-9+0.*I,2.2411767810770692*^-10+0.*I,4.365135786782032*^-11+0.*I,8.283192440428251*^-12+0.*I,1.5332950015408415*^-12+0.*I,2.771922104438322*^-13+0.*I,4.8991336934540335*^-14+0.*I,8.47340372930855*^-15+0.*I,1.4354251361053314*^-15+0.*I,2.383642668590451*^-16+0.*I,3.882997948991115*^-17+0.*I,6.20958251309742*^-18+0.*I,9.754601361127*^-19+0.*I,1.5061635549426943*^-19+0.*I,2.2871604604179335*^-20+0.*I,3.417541948564222*^-21+0.*I,5.027365587166465*^-22+0.*I,7.284173027508571*^-23+0.*I,1.0399805124398396*^-23+0.*I,1.4637149401147318*^-24+0.*I,2.0316338678004673*^-25+0.*I,2.7819810425042066*^-26+0.*I,3.7595546443765036*^-27+0.*I,5.0157755609100715*^-28+0.*I,6.60842523692304*^-29+0.*I,8.600983268229001*^-30+0.*I,1.1061506598724095*^-30+0.*I,1.4061011070516639*^-31+0.*I,1.7671341946564674*^-32+0.*I,2.1962551947846157*^-33+0.*I,2.6999841665838987*^-34+0.*I,3.284015559787316*^-35+0.*I,3.952856464700752*^-36+0.*I,4.709459955030464*^-37+0.*I,5.554872612443284*^-38+0.*I,6.48791694801833*^-39+0.*I,7.504929806066773*^-40+0.*I,8.599576794960207*^-41+0.*I,9.762760288139428*^-42+0.*I,1.0982634644865428*^-42+0.*I,1.2244737202197792*^-43+0.*I,1.3532237583877897*^-44+0.*I,1.482630134289652*^-45+0.*I,1.6106557345007779*^-46+0.*I,1.735165207422927*^-47+0.*I,1.8539868644970032*^-48+0.*I,1.9649784130086662*^-49+0.*I,2.066093616306658*^-50+0.*I,2.1554468835930775*^-51+0.*I,2.2313728755011527*^-52+0.*I,2.2924784666555304*^-53+0.*I,2.3376848132646556*^-54+0.*I,2.366257803082061*^-55+0.*I,2.3778257795913845*^-56+0.*I,2.3723840902632215*^-57+0.*I,2.3502866672664442*^-58+0.*I,2.312225467300174*^-59+0.*I,2.2591991394952075*^-60+0.*I,2.1924727282298976*^-61+0.*I,2.113530531734259*^-62+0.*I,2.0240244176474745*^-63+0.*I,1.9257199429492414*^-64+0.*I,1.8204425462490484*^-65+0.*I,1.7100258910057617*^-66+0.*I,1.5962641599822555*^-67+0.*I,1.4808697587238597*^-68+0.*I,1.3654375050422566*^-69+0.*I,1.2514159877992255*^-70+0.*I,1.1400863949484607*^-71+0.*I,1.0325487575544526*^-72+0.*I,9.297152488043205*^-74+0.*I,8.323099255319933*^-75+0.*I,7.408741103792176*^-76+0.*I,6.557764868370318*^-77+0.*I,5.77226914555315*^-78+0.*I,5.052929628375022*^-79+0.*I
-0.026221371382228326+0.*I,0.13500312844842097+0.*I,-0.35870057175113695+0.*I,0.4603066450996354+0.*I,-0.047960598616909766+0.*I,-0.4039617303218608+0.*I,-0.0940131063189913+0.*I,0.30177845224229294+0.*I,0.4324796606689296+0.*I,0.35353556234988864+0.*I,0.21833582387263428+0.*I,0.11186136542050869+0.*I,0.049825055576285554+0.*I,0.019845945715373906+0.*I,0.00720339275434228+0.*I,0.0024149180608668075+0.*I,0.0007553836673035233+0.*I,0.00022220654172047292+0.*I,0.00006185993088370351+0.*I,0.00001638194350165027+0.*I,4.144668852287977*^-6+0.*I,1.0054462293124895*^-6+0.*I,2.3459650059666997*^-7+0.*I,5.27892139988273*^-8+0.*I,1.1482844770314578*^-8+0.*I,2.4195382414929912*^-9+0.*I,4.947559059885085*^-10+0.*I,9.834144117868876*^-11+0.*I,1.9028670600150882*^-11+0.*I,3.5890860286626024*^-12+0.*I,6.606730753817172*^-13+0.*I,1.1882122163620081*^-13+0.*I,2.089983456971253*^-14+0.*I,3.598605303037128*^-15+0.*I,6.070685144638208*^-16+0.*I,1.0041415878114844*^-16+0.*I,1.6297561967091822*^-17+0.*I,2.597258231450691*^-18+0.*I,4.066742945382767*^-19+0.*I,6.259989586889414*^-20+0.*I,9.47841274755904*^-21+0.*I,1.4123999340425215*^-21+0.*I,2.0722933682714856*^-22+0.*I,2.9951274748163345*^-23+0.*I,4.266164943207536*^-24+0.*I,5.990948408018562*^-25+0.*I,8.297684488146759*^-26+0.*I,1.1339153752765727*^-26+0.*I,1.5293877736527348*^-27+0.*I,2.036625370444006*^-28+0.*I,2.678536626242954*^-29+0.*I,3.480220676311747*^-30+0.*I,4.46850800715899*^-31+0.*I,5.671305497637601*^-32+0.*I,7.116741823074387*^-33+0.*I,8.832121898011639*^-34+0.*I,1.084271334313104*^-34+0.*I,1.3170402973061023*^-35+0.*I,1.5832275881807844*^-36+0.*I,1.883918260479003*^-37+0.*I,2.2194369807558327*^-38+0.*I,2.5892255851184372*^-39+0.*I,2.9917433505575232*^-40+0.*I,3.424397745596288*^-41+0.*I,3.8835123924304796*^-42+0.*I,4.364337401846743*^-43+0.*I,4.861105210307965*^-44+0.*I,5.3671326751411356*^-45+0.*I,5.874967621538708*^-46+0.*I,6.376575458221258*^-47+0.*I,6.863559068224964*^-48+0.*I,7.327403110302787*^-49+0.*I,7.759732284995928*^-50+0.*I,8.152572142254766*^-51+0.*I,8.498600704549615*^-52+0.*I,8.791379570595551*^-53+0.*I,9.025554219136005*^-54+0.*I,9.197014871339365*^-55+0.*I,9.303011376143026*^-56+0.*I,9.342218007928312*^-57+0.*I,9.314746646168482*^-58+0.*I,9.222109374654758*^-59+0.*I,9.067133935472713*^-60+0.*I,8.853837562557721*^-61+0.*I,8.587266393195202*^-62+0.*I,8.273308840353315*^-63+0.*I,7.918491968768867*^-64+0.*I,7.529770055158342*^-65+0.*I,7.114314163042612*^-66+0.*I,6.679310788876316*^-67+0.*I,6.231776522537695*^-68+0.*I,5.778394308603662*^-69+0.*I,5.3253753968344007*^-70+0.*I,4.878349529763463*^-71+0.*I,4.4422844221252326*^-72+0.*I,4.0214342169938816*^-73+0.*I,3.6193154158536286*^-74+0.*I,3.2387078145971042*^-75+0.*I,2.881677256237443*^-76+0.*I,2.549616538138905*^-77+0.*I
0.008944343218139321+0.*I,-0.056755599039612595+0.*I,0.20030005096067538+0.*I,-0.41065430129262126+0.*I,0.39219858906675953+0.*I,0.0940131063189913+0.*I,-0.37189302279078196+0.*I,-0.20448507740496955+0.*I,0.20094107880671666+0.*I,0.4090831186649387+0.*I,0.38193615513427515+0.*I,0.25747119543412966+0.*I,0.14120009005121245+0.*I,0.06657086723520889+0.*I,0.027858041428446258+0.*I,0.010565813942508563+0.*I,0.00368587658600397+0.*I,0.0011957035501073347+0.*I,0.00036377204689236174+0.*I,0.00010449252701398862+0.*I,0.00002849541652804991+0.*I,7.410998753494378*^-6+0.*I,1.8452599957865696*^-6+0.*I,4.413072765611113*^-7+0.*I,1.0166152741876596*^-7+0.*I,2.2613932701241648*^-8+0.*I,4.867904847553265*^-9+0.*I,1.0159906273843338*^-9+0.*I,2.0595094444832023*^-10+0.*I,4.0609964869508234*^-11+0.*I,7.800078869431298*^-12+0.*I,1.4611989308699948*^-12+0.*I,2.672767375527868*^-13+0.*I,4.778694041575635*^-14+0.*I,8.359317596603493*^-15+0.*I,1.431957595461878*^-15+0.*I,2.404042084861802*^-16+0.*I,3.958541947270046*^-17+0.*I,6.397569655353562*^-18+0.*I,1.0154666999778545*^-18+0.*I,1.5839906514519153*^-19+0.*I,2.429540031144753*^-20+0.*I,3.6661712055587996*^-21+0.*I,5.445493576328839*^-22+0.*I,7.965320859833102*^-23+0.*I,1.1479017283434074*^-23+0.*I,1.630514359749159*^-24+0.*I,2.283684764078451*^-25+0.*I,3.155028226079528*^-26+0.*I,4.301118503828505*^-27+0.*I,5.787863760393159*^-28+0.*I,7.690495682514698*^-29+0.*I,1.0093067472131624*^-29+0.*I,1.3087365482497682*^-30+0.*I,1.6771158093542214*^-31+0.*I,2.1245734359782318*^-32+0.*I,2.6612723491455974*^-33+0.*I,3.2970232810729776*^-34+0.*I,4.0408393911974617*^-35+0.*I,4.9004460893410707*^-36+0.*I,5.881765657395583*^-37+0.*I,6.988400805259857*^-38+0.*I,8.221144732305094*^-39+0.*I,9.577547189851248*^-40+0.*I,1.1051566139003354*^-40+0.*I,1.2633332683514748*^-41+0.*I,1.430905299404515*^-42+0.*I,1.6061065060411066*^-43+0.*I,1.7868060609962686*^-44+0.*I,1.9705473859004883*^-45+0.*I,2.154602948173738*^-46+0.*I,2.336043292035187*^-47+0.*I,2.5118177572706913*^-48+0.*I,2.678843609677009*^-49+0.*I,2.8340997592612114*^-50+0.*I,2.9747209160109444*^-51+0.*I,3.0980879516637144*^-52+0.*I,3.2019104045314385*^-53+0.*I,3.2842974699634963*^-54+0.*I,3.343814431505983*^-55+0.*I,3.3795222633128537*^-56+0.*I,3.390999018873208*^-57+0.*I,3.378342555121174*^-58+0.*I,3.3421550642436836*^-59+0.*I,3.2835107415626425*^-60+0.*I,3.2039086581644826*^-61+0.*I,3.1052134936633797*^-62+0.*I,2.9895871927302713*^-63+0.*I,2.8594148274197084*^-64+0.*I,2.7172279778601266*^-65+0.*I,2.5656288004346116*^-66+0.*I,2.4072176589040182*^-67+0.*I,2.2445267809710182*^-68+0.*I,2.0799619057888356*^-69+0.*I,1.915753343573567*^-70+0.*I,1.7539173122245911*^-71+0.*I,1.5962278796991284*^-72+0.*I,1.444199351671976*^-73+0.*I,1.2990785223422824*^-74+0.*I,1.161845865976972*^-75+0.*I
-0.0028246725879375652+0.*I,0.021304373070837334+0.*I,-0.0935929971634955+0.*I,0.26081404163335353+0.*I,-0.43428393615647504+0.*I,0.30177845224229294+0.*I,0.20448507740496955+0.*I,-0.3073155151190376+0.*I,-0.2820620364586281+0.*I,0.09865507692351262+0.*I,0.3683303168780748+0.*I,0.39747149449033947+0.*I,0.2925171644127306+0.*I,0.1713998427808201+0.*I,0.08534770120561501+0.*I,0.03744325506776605+0.*I,0.014809989176637717+0.*I,0.005366414063729132+0.*I,0.0018025100893096348+0.*I,0.0005663183876689497+0.*I,0.00016762559894088096+0.*I,0.00004701507520351347+0.*I,0.000012555553344717351+0.*I,3.2054505357166202*^-6+0.*I,7.850370263427949*^-7+0.*I,1.849806243481455*^-7+0.*I,4.204535060209947*^-8+0.*I,9.239519925310864*^-9+0.*I,1.9669408182542007*^-9+0.*I,4.063679044530859*^-10+0.*I,8.160730672964043*^-11+0.*I,1.595316490819623*^-11+0.*I,3.0397672696264006*^-12+0.*I,5.652307246636631*^-13+0.*I,1.0267736893811946*^-13+0.*I,1.8239782338198678*^-14+0.*I,3.171453621599467*^-15+0.*I,5.402043627295811*^-16+0.*I,9.021084866030017*^-17+0.*I,1.4780052713719413*^-17+0.*I,2.3774064107519577*^-18+0.*I,3.756774279098392*^-19+0.*I,5.835353690866073*^-20+0.*I,8.914555925616989*^-21+0.*I,1.340102571906283*^-21+0.*I,1.983326079055511*^-22+0.*I,2.891130330840599*^-23+0.*I,4.152858811339693*^-24+0.*I,5.880452934381907*^-25+0.*I,8.211588386970044*^-26+0.*I,1.1312438821148165*^-26+0.*I,1.5379767868346762*^-27+0.*I,2.0642013428185673*^-28+0.*I,2.7359009393298024*^-29+0.*I,3.581999568998711*^-30+0.*I,4.633960297731816*^-31+0.*I,5.925156696129616*^-32+0.*I,7.490002989972892*^-33+0.*I,9.362842123810369*^-34+0.*I,1.157660697558063*^-34+0.*I,1.4161287706546232*^-35+0.*I,1.714225647789743*^-36+0.*I,2.053851809336318*^-37+0.*I,2.436097000980782*^-38+0.*I,2.8610766097633894*^-39+0.*I,3.3277884207496283*^-40+0.*I,3.833999700372336*^-41+0.*I,4.3761738090587843*^-42+0.*I,4.94944411425809*^-43+0.*I,5.547640907705861*^-44+0.*I,6.163374435280494*^-45+0.*I,6.7881741803844*^-46+0.*I,7.412681395866558*^-47+0.*I,8.026888770315305*^-48+0.*I,8.620418261387445*^-49+0.*I,9.18282573660064*^-50+0.*I,9.703919304001034*^-51+0.*I,1.0174077218516841*^-51+0.*I,1.0584551085520246*^-52+0.*I,1.0927740760485472*^-53+0.*I,1.119742881076561*^-54+0.*I,1.1388964554782748*^-55+0.*I,1.1499390372041735*^-56+0.*I,1.152750599892286*^-57+0.*I,1.1473869688068166*^-58+0.*I,1.1340738210966792*^-59+0.*I,1.1131950536064957*^-60+0.*I,1.0852762458508435*^-61+0.*I,1.0509641369857766*^-62+0.*I,1.011003165823104*^-63+0.*I,9.662101888624822*^-65+0.*I,9.174484941363497*^-66+0.*I,8.656021735139369*^-67+0.*I,8.115518113441754*^-68+0.*I,7.561523036134385*^-69+0.*I,7.002134511600785*^-70+0.*I,6.444837853086411*^-71+0.*I,5.896378964344771*^-72+0.*I,5.362673560749848*^-73+0.*I,4.848751601051591*^-74+0.*I
