0.00022996569563619982+0.*I,0.-0.000941320153024066*I,-0.002724561774676779+0.*I,0.+0.006438880012741098*I,0.013178155772601587+0.*I,0.-0.024123700887950614*I,-0.040312767156318624+0.*I,0.+0.062368872130600314*I,0.09026038823817321+0.*I,0.-0.12315448793832218*I,-0.15941329668571635+0.*I,0.+0.19674445487433054*I,0.23248031112420894+0.*I,0.-0.26393002708247154*I,-0.2887347694604417+0.*I,0.+0.30516010495214574*I,0.31227848559728427+0.*I,0.-0.3100215649516972*I,-0.2991093244522222+0.*I,0.+0.28088429144371085*I,0.25709092940757944+0.*I,0.-0.22964204582427153*I,-0.20040768306500503+0.*I,0.+0.1710506581068831*I,0.1429201386683181+0.*I,0.-0.11700319600216456*I,-0.09392589698073057+0.*I,0.+0.0739908079125556*I,0.05723649805089948+0.*I,0.-0.04350591985390285*I,-0.032513373152324984+0.*I,0.+0.02390316898777146*I,0.017296363067469636+0.*I,0.-0.012324579861931062*I,-0.008651809834399721+0.*I,0.+0.005986145150312073*I,0.004083854806639129+0.*I,0.-0.0027481708675578167*I,-0.0018248460570090914+0.*I,0.+0.001196102037827496*I,0.0007741275702355115+0.*I,0.-0.0004948743073567642*I,-0.0003125680346501816+0.*I,0.+0.0001951122937546243*I,0.00012040169381138304+0.*I,0.-0.00007346840984500461*I,-0.000044340034278372274+0.*I,0.+0.000026474111636643266*I,0.000015641380373223805+0.*I,0.-9.146424162897023*^-6*I,-5.294691199195525*^-6+0.*I,0.+3.034798412491569*^-6*I,1.7226715314631265*^-6+0.*I,0.-9.685874603409502*^-7*I,-5.395308254541401*^-7+0.*I,0.+2.977893886784865*^-7*I,1.6288815531584445*^-7+0.*I,0.-8.831335371494862*^-8*I,-4.7466442221208866*^-8+0.*I,0.+2.5295016993859704*^-8*I,1.336699084602282*^-8+0.*I,0.-7.0055628463752305*^-9*I,-3.6418452608129446*^-9+0.*I,0.+1.8781294150172885*^-9*I,9.609699956835489*^-10+0.*I,0.-4.878962160820291*^-10*I,-2.458271139328217*^-10+0.*I,0.+1.2293249087042532*^-10*I,6.102201233966605*^-11+0.*I,0.-3.007019748592952*^-11*I,-1.4711655977184038*^-11+0.*I,0.+7.146718672150043*^-12*I,3.4475830647618425*^-12+0.*I,0.-1.651686461382114*^-12*I,-7.859339500037484*^-13+0.*I,0.+3.7147510833107333*^-13*I,1.744203775386072*^-13+0.*I,0.-8.13628513418559*^-14*I,-3.770970707789165*^-14+0.*I,0.+1.7366564496594253*^-14*I,7.94773211434775*^-15+0.*I,0.-3.614722906762817*^-15*I,-1.6339636297687298*^-15+0.*I,0.+7.341378904219732*^-16*I,3.278780147205064*^-16+0.*I,0.-1.4557176049910273*^-16*I,-6.425430181924219*^-17+0.*I,0.+2.8197907591333196*^-17*I,1.2304099859797918*^-17+0.*I,0.-5.3386216603666*^-18*I,-2.3034680340219996*^-18+0.*I,0.+9.884069578498658*^-19*I,4.2180932894374613*^-19+0.*I,0.-1.7903956195306504*^-19*I,-7.558913579877456*^-20+0.*I,0.+3.1744747557816716*^-20*I,1.3262046966574405*^-20+0.*I,0.-5.51187036550016*^-21*I,-2.2790836065362365*^-21+0.*I,0.+9.375986217448755*^-22*I
0.-0.000941320153024066*I,-0.0036231465176350106+0.*I,0.+0.009821239598965572*I,0.021637232123102968+0.*I,0.-0.0410644750288474*I,-0.06927845752699073+0.*I,0.+0.10592176732615108*I,0.14863737382649927+0.*I,0.-0.19305765414095027*I,-0.23332794212851588+0.*I,0.+0.26307885044433194*I,0.2766213295529736+0.*I,0.-0.27007046188088396*I,-0.24212690067597462+0.*I,0.+0.19434426898199264*I,0.13084898879780918+0.*I,0.-0.05761123870655255*I,0.01854379090776928+0.*I,0.-0.09096386411730811*I,-0.15404172925005613+0.*I,0.+0.20380068122575012*I,0.23814328945898333+0.*I,0.-0.2567865326198834*I,-0.26095865654682404+0.*I,0.+0.25295768504742383*I,0.23567071180513968+0.*I,0.-0.21213406377490965*I,-0.18518619763348887+0.*I,0.+0.15723600558349451*I,0.13014489602621593+0.*I,0.-0.10520452444112628*I,-0.08318379543393013+0.*I,0.+0.06441742195568513*I,0.04891175425061235+0.*I,0.-0.03644951999663822*I,-0.026681668408679547+0.*I,0.+0.019200400121834594*I,0.013592012409913208+0.*I,0.-0.009471208146411862*I,-0.006500147330454568+0.*I,0.+0.004396071835088617*I,0.0029311626246612335+0.*I,0.-0.001927715192651893*I,-0.0012509911868892395+0.*I,0.+0.0008013874649026409*I,0.0005069503719660975+0.*I,0.-0.00031678963367102347*I,-0.0001956132979547263+0.*I,0.+0.00011939305661938866*I,0.00007205054210016711+0.*I,0.-0.00004300218983406641*I,-0.00002538929717534563+0.*I,0.+0.00001483281942520868*I,8.57651238359102*^-6+0.*I,0.-4.909169933490067*^-6*I,-2.7823243523634325*^-6+0.*I,0.+1.5617005327321685*^-6*I,8.682849500019775*^-7+0.*I,0.-4.782797518862989*^-7*I,-2.610563949627857*^-7+0.*I,0.+1.4121916416805708*^-7*I,7.572361766342397*^-8+0.*I,0.-4.0254666927850496*^-8*I,-2.1218490655002147*^-8+0.*I,0.+1.1091490271665438*^-8*I,5.750478879091212*^-9+0.*I,0.-2.9574417920274805*^-9*I,-1.508981243703005*^-9+0.*I,0.+7.639454693587994*^-10*I,3.838003590616419*^-10+0.*I,0.-1.9136600034633838*^-10*I,-9.470890430963439*^-11+0.*I,0.+4.6529903523578524*^-11*I,2.2695303141274354*^-11+0.*I,0.-1.0991275373096902*^-11*I,-5.285826065228929*^-12+0.*I,0.+2.5244887915304593*^-12*I,1.1974894860855602*^-12+0.*I,0.-5.64219844847285*^-13*I,-2.640845308297601*^-13+0.*I,0.+1.2279876883920827*^-13*I,5.67334190598667*^-14+0.*I,0.-2.6044393599761448*^-14*I,-1.1881065477409204*^-14+0.*I,0.+5.386379589139779*^-15*I,2.4270160515185676*^-15+0.*I,0.-1.086964397978013*^-15*I,-4.839015410739606*^-16+0.*I,0.+2.1415536430578415*^-16*I,9.422402940957429*^-17+0.*I,0.-4.121781059754251*^-17*I,-1.792783161549181*^-17+0.*I,0.+7.75387148475949*^-18*I,3.334917993959925*^-18+0.*I,0.-1.426443430347132*^-18*I,-6.068107692807515*^-19+0.*I,0.+2.567481066687072*^-19*I,1.0805423811151185*^-19+0.*I,0.-4.5235744277682026*^-20*I,-1.883871672233106*^-20+0.*I
-0.002724561774676779+0.*I,0.+0.009821239598965572*I,0.024803498662880306+0.*I,0.-0.05059840040824197*I,-0.08825755547389555+0.*I,0.+0.13559127911643545*I,0.1865866865821771+0.*I,0.-0.23205527913238239*I,-0.2615122953008724+0.*I,0.+0.2658084373816732*I,0.239719605267564+0.*I,0.-0.18367957130826829*I,-0.10411219076950044+0.*I,0.+0.012266038777938347*I,-0.07809653750114846+0.*I,0.+0.15350373040934284*I,0.20334657074246487+0.*I,0.-0.22163742221069097*I,-0.2076548920556999+0.*I,0.+0.16548969529421234*I,0.10275899531797282+0.*I,0.-0.028893447477131667*I,0.04658770884678924+0.*I,0.-0.11548545466481383*I,-0.17182531062614936+0.*I,0.+0.21221398135206612*I,0.23572093681025427+0.*I,0.-0.24342646022945663*I,-0.23779862069613336+0.*I,0.+0.22204483114242626*I,0.19954451142020993+0.*I,0.-0.1734230319759071*I,-0.14628507236554683+0.*I,0.+0.1200943779942589*I,0.096168655519073+0.*I,0.-0.07525172690079453*I,-0.0576269975261683+0.*I,0.+0.04324325462555404*I,0.03183269614645811+0.*I,0.-0.023009663679640826*I,-0.016345530209326737+0.*I,0.+0.011420089970746353*I,0.007852686074399807+0.*I,0.-0.005317572463214808*I,-0.003548128878422188+0.*I,0.+0.0023339948154870995*I,0.0015143310692084827+0.*I,0.-0.0009695106149520351*I,-0.0006127336715628513+0.*I,0.+0.00038242202911397197*I,0.00023578695645010652+0.*I,0.-0.00014366350514103757*I,-0.00008652833475462308+0.*I,0.+0.000051532710892994815*I,0.000030355739509516845+0.*I,0.-0.000017690730749243344*I,-0.000010202482747227836+0.*I,0.+5.824031080568299*^-6*I,3.291522241336183*^-6+0.*I,0.-1.8421210394411918*^-6*I,-1.0211193055822406*^-6+0.*I,0.+5.607335064270411*^-7*I,3.0509794988770887*^-7+0.*I,0.-1.6451385196290462*^-7*I,-8.792664392757092*^-8+0.*I,0.+4.6587008252512123*^-8*I,2.4473951804556355*^-8+0.*I,0.-1.2749829032808953*^-8*I,-6.5876294420875014*^-9+0.*I,0.+3.3762899472854465*^-9*I,1.716702833269354*^-9+0.*I,0.-8.660686108222027*^-10*I,-4.3357703960126013*^-10+0.*I,0.+2.154220824087313*^-10*I,1.0623693696483174*^-10+0.*I,0.-5.2008219227559677*^-11*I,-2.5277127187076526*^-11+0.*I,0.+1.2198021435120015*^-11*I,5.845238693394923*^-12+0.*I,0.-2.781699147542185*^-12*I,-1.3147878517169055*^-12+0.*I,0.+6.172770866797*^-13*I,2.8788810712266597*^-13+0.*I,0.-1.3339065366874811*^-13*I,-6.140774046697862*^-14+0.*I,0.+2.8090131334007117*^-14*I,1.276889334717899*^-14+0.*I,0.-5.768415528044024*^-15*I,-2.5899873333060133*^-15+0.*I,0.+1.1558719604879643*^-15*I,5.127729667871399*^-16+0.*I,0.-2.261389270573003*^-16*I,-9.914962536194848*^-17+0.*I,0.+4.3221750705001486*^-17*I,1.8734340864229514*^-17+0.*I,0.-8.07472675727764*^-18*I,-3.460975323533111*^-18+0.*I,0.+1.475290930525503*^-18*I,6.254491015397451*^-19+0.*I,0.-2.637347955828935*^-19*I
0.+0.006438880012741098*I,0.021637232123102968+0.*I,0.-0.05059840040824197*I,-0.0947742742081167+0.*I,0.+0.15015059190242525*I,0.20649903224971608+0.*I,0.-0.24920002901439522*I,-0.2633938258502516+0.*I,0.+0.2390799491579235*I,0.1752250023220331+0.*I,0.-0.08122499289491959*I,0.024943345356943983+0.*I,0.-0.12131373800905498*I,-0.18773882409838336+0.*I,0.+0.21106101708720812*I,0.18814187079660627+0.*I,0.-0.12606153621410032*I,-0.03972780962050255+0.*I,0.-0.052153641544001934*I,-0.13148955461897438+0.*I,0.+0.1844451199402507*I,0.20359167692383454+0.*I,0.-0.18834324424932553*I,-0.14392799378382556+0.*I,0.+0.07942771884886676*I,0.0055023712332890875+0.*I,0.+0.0676684023464129*I,0.13187992130276127+0.*I,0.-0.18169734544725286*I,-0.21459366980210218+0.*I,0.+0.23058949215247249*I,0.23160009865461434+0.*I,0.-0.2206858641907144*I,-0.20135704046913847+0.*I,0.+0.1770252494592659*I,0.15063820860068314+0.*I,0.-0.12449137045710804*I,-0.10018380000173516+0.*I,0.+0.07867455801052552*I,0.060396328862959085+0.*I,0.-0.045390481633492116*I,-0.033438123239269736+0.*I,0.+0.024172032433303445*I,0.017162920603380236+0.*I,0.-0.011979559169537217*I,-0.008225979924721913+0.*I,0.+0.00556063440187345*I,0.0037026779523164424+0.*I,0.-0.0024299862521534464*I,-0.0015725664539629465+0.*I,0.+0.0010040027309439785*I,0.0006326586160242777+0.*I,0.-0.0003936288945014126*I,-0.0002419077928663498+0.*I,0.+0.0001468959127645351*I,0.00008816750624326645+0.*I,0.-0.00005232145272197018*I,-0.000030707822846321566+0.*I,0.+0.000017829320397948147*I,0.000010243519043899529+0.*I,0.-5.825033273395124*^-6*I,-3.279316292568277*^-6+0.*I,0.+1.8280990998375366*^-6*I,1.0093435024843316*^-6+0.*I,0.-5.520623755608085*^-7*I,-2.9917849111009945*^-7+0.*I,0.+1.6067383754678858*^-7*I,8.552807245067068*^-8+0.*I,0.-4.513296877868624*^-8*I,-2.3614070117146557*^-8+0.*I,0.+1.2251994479910482*^-8*I,6.304728810477275*^-9+0.*I,0.-3.2181919661702947*^-9*I,-1.6296838154289199*^-9+0.*I,0.+8.188388218865983*^-10*I,4.082751268926553*^-10+0.*I,0.-2.0203224106414198*^-10*I,-9.923245072052773*^-11+0.*I,0.+4.838406154947475*^-11*I,2.342152413810683*^-11+0.*I,0.-1.1257431575587376*^-11*I,-5.373044548562703*^-12+0.*I,0.+2.546846421525271*^-12*I,1.1990275314862602*^-12+0.*I,0.-5.607138122342214*^-13*I,-2.6048304402526445*^-13+0.*I,0.+1.2022174072357158*^-13*I,5.5130261324207643*^-14+0.*I,0.-2.512104215886613*^-14*I,-1.1375274302601938*^-14+0.*I,0.+5.119149570640336*^-15*I,2.2897055398514775*^-15+0.*I,0.-1.0179831581677325*^-15*I,-4.498970060382714*^-16+0.*I,0.+1.976645336529157*^-16*I,8.634125092365503*^-17+0.*I,0.-3.749832698361535*^-17*I,-1.6193425302332224*^-17+0.*I,0.+6.953883779774847*^-18*I,2.969654540617819*^-18+0.*I
0.013178155772601587+0.*I,0.-0.0410644750288474*I,-0.08825755547389555+0.*I,0.+0.15015059190242525*I,0.21253194760733438+0.*I,0.-0.25475848455464917*I,-0.25711745992777496+0.*I,0.+0.20941522166045204*I,0.11681867385282037+0.*I,0.-4.925815359278739*^-6*I,0.11081564600868878+0.*I,0.-0.1857467954944534*I,-0.20508403482201404+0.*I,0.+0.16553485423176048*I,0.08074157259739578+0.*I,0.+0.02365669956780851*I,0.11827946788790769+0.*I,0.-0.178573457303433*I,-0.1910158393703261+0.*I,0.+0.15544731960119593*I,0.08347565231130699+0.*I,0.+0.005935260822156955*I,0.09199146080297158+0.*I,0.-0.1570605138666597*I,-0.18998913237422238+0.*I,0.+0.18730785024204433*I,0.15252211595509302+0.*I,0.-0.09410482502549392*I,-0.02295001802843069+0.*I,0.-0.050036207796674705*I,-0.11575219645924754+0.*I,0.+0.1679288453921872*I,0.20339652334338282+0.*I,0.-0.22176381133421097*I,-0.22474227682687267+0.*I,0.+0.2153435455154749*I,0.19712393720681182+0.*I,0.-0.17358420529029567*I,-0.14776765690455843+0.*I,0.+0.12205087587553408*I,0.09809137723530348+0.*I,0.-0.07688419739938081*I,-0.05888013032886062+0.*I,0.+0.04412675826480296*I,0.03240496225284668+0.*I,0.-0.023344933053350135*I,-0.016514963748887584+0.*I,0.+0.011482795930115933*I,0.007853113011411679+0.*I,0.-0.005286453377815024*I,-0.0035050163984661035+0.*I,0.+0.0022901739049687835*I,0.0014754611584140986+0.*I,0.-0.0009377293931821153*I,-0.0005881809643479005+0.*I,0.+0.0003642562951788914*I,0.00022280872107065502+0.*I,0.-0.00013466088220880247*I,-0.00008044146619081278+0.*I,0.+0.000047509871039082335*I,0.0000277511544168967+0.*I,0.-0.000016035858225861673*I,-9.169195887255621*^-6+0.*I,0.+5.189267058057794*^-6*I,2.9074936632097886*^-6+0.*I,0.-1.61311990166248*^-6*I,-8.864251173499626*^-7+0.*I,0.+4.825396991295739*^-7*I,2.602697319493051*^-7+0.*I,0.-1.391214804622913*^-7*I,-7.370915630013768*^-8+0.*I,0.+3.871497549768594*^-8*I,2.016217539202231*^-8+0.*I,0.-1.0412724158381652*^-8*I,-5.333655859497427*^-9+0.*I,0.+2.7100784237145834*^-9*I,1.3661400429918814*^-9+0.*I,0.-6.833184259868329*^-10*I,-3.3917323262668163*^-10+0.*I,0.+1.6708773049287056*^-10*I,8.17041794305581*^-11+0.*I,0.-3.966168211108395*^-11*I,-1.9114981947432032*^-11+0.*I,0.+9.147443786728268*^-12*I,4.347047584224192*^-12+0.*I,0.-2.051644448019297*^-12*I,-9.617579511013647*^-13+0.*I,0.+4.4784433541718534*^-13*I,2.0716977981301677*^-13+0.*I,0.-9.521447486403056*^-14*I,-4.348053875289067*^-14+0.*I,0.+1.973055360222594*^-14*I,8.897583299137926*^-15+0.*I,0.-3.9877537847629925*^-15*I,-1.7764058610820363*^-15+0.*I,0.+7.865871632533876*^-16*I,3.462379380218341*^-16+0.*I,0.-1.515155159234143*^-16*I,-6.592117590181891*^-17+0.*I,0.+2.851728139030051*^-17*I
0.-0.024123700887950614*I,-0.06927845752699073+0.*I,0.+0.13559127911643545*I,0.20649903224971608+0.*I,0.-0.25475848455464917*I,-0.2538244672137263+0.*I,0.+0.1916007763633623*I,0.079126351515942+0.*I,0.+0.05104541483790594*I,0.15671968035454384+0.*I,0.-0.20286414466666233*I,-0.175658661641992+0.*I,0.+0.08766553992126974*I,-0.02766286813579827+0.*I,0.+0.12918868401565814*I,0.1831540454475149+0.*I,0.-0.17420192928565953*I,-0.10879687726850763+0.*I,0.+0.010850933389739064*I,-0.08779928298243322+0.*I,0.+0.15808557376614352*I,0.18193916426862405+0.*I,0.-0.15594804700963036*I,-0.09021251985607588+0.*I,0.+0.003688429050548015*I,-0.08194614862876014+0.*I,0.+0.1479233044452023*I,0.1821627263814062+0.*I,0.-0.18068076053920418*I,-0.14686636717895932+0.*I,0.+0.08933076344202555*I,0.019186955031949143+0.*I,0.+0.05249599980292577*I,0.11657818504621359+0.*I,0.-0.16687999762780287*I,-0.20040805503810652+0.*I,0.+0.21697574452013949*I,0.2184748811651876+0.*I,0.-0.20803774793172825*I,-0.18926841303966604+0.*I,0.+0.16564765271937765*I,0.14014809377024265+0.*I,0.-0.11504663990880057*I,-0.09189276709479088+0.*I,0.+0.07158116345092251*I,0.054480061647493784+0.*I,0.-0.04057668477647034*I,-0.029613715163440604+0.*I,0.+0.021202370944123135*I,0.014906843480591824+0.*I,0.-0.010301011857066696*I,-0.0070017724938907615+0.*I,0.+0.004684635598659278*I,0.0030871625141108343+0.*I,0.-0.0020049794888788264*I,-0.00128397438058602+0.*I,0.+0.0008111649883551862*I,0.0005057809767316747+0.*I,0.-0.0003113837007757182*I,-0.00018935477389008705+0.*I,0.+0.00011377824432220095*I,0.00006757565435469725+0.*I,0.-0.00003968311458442376*I,-0.00002304803536306555+0.*I,0.+0.00001324327931326217*I,7.530168478690257*^-6+0.*I,0.-4.238081372762735*^-6*I,-2.361519997351313*^-6+0.*I,0.+1.3030732757475189*^-6*I,7.121857992714136*^-7+0.*I,0.-3.856142259440614*^-7*I,-2.0688642813962285*^-7+0.*I,0.+1.1000447781279813*^-7*I,5.797821373621044*^-8+0.*I,0.-3.029485276832232*^-8*I,-1.5696138275036576*^-8+0.*I,0.+8.064998813270718*^-9*I,4.110249928243857*^-9+0.*I,0.-2.0780069614865044*^-9*I,-1.042319065186588*^-9+0.*I,0.+5.187846837292253*^-10*I,2.562489988208219*^-10+0.*I,0.-1.2562602003782853*^-10*I,-6.113520726050966*^-11+0.*I,0.+2.953573336143008*^-11*I,1.4167631996891044*^-11+0.*I,0.-6.7481837132862995*^-12*I,-3.1919945016542443*^-12+0.*I,0.+1.4995710399993745*^-12*I,6.997523103890533*^-13+0.*I,0.-3.243660932194051*^-13*I,-1.4937591238601682*^-13+0.*I,0.+6.834688610051417*^-14*I,3.107333356688481*^-14+0.*I,0.-1.403863096566977*^-14*I,-6.303260962351796*^-15+0.*I,0.+2.8128351637505767*^-15*I,1.2476582772911189*^-15+0.*I,0.-5.501136349168788*^-16*I,-2.4112747971108383*^-16+0.*I
-0.040312767156318624+0.*I,0.+0.10592176732615108*I,0.1865866865821771+0.*I,0.-0.24920002901439522*I,-0.25711745992777496+0.*I,0.+0.1916007763633623*I,0.06635681510204416+0.*I,0.+0.07472559155192987*I,0.17666849411075353+0.*I,0.-0.19937437794777352*I,-0.13667909660816077+0.*I,0.+0.018861294937839793*I,-0.10192224759077992+0.*I,0.+0.17526719908474958*I,0.17362960968672006+0.*I,0.-0.10180082791656106*I,0.00798298282015155+0.*I,0.-0.1114166550135861*I,-0.17030888150665313+0.*I,0.+0.16602948762903422*I,0.10387568660146021+0.*I,0.-0.008284874866735278*I,0.08778445299474716+0.*I,0.-0.15457628966354497*I,-0.17426135934743614+0.*I,0.+0.14446799637189373*I,0.07660798021177434+0.*I,0.+0.009383221318504031*I,0.09158346283137013+0.*I,0.-0.15179756108156886*I,-0.17912383566182918+0.*I,0.+0.1709884878340288*I,0.13203567955119255+0.*I,0.-0.07169808415967069*I,-0.0013591587371470475+0.*I,0.-0.06815448802306105*I,-0.12831245110477363+0.*I,0.+0.17372075402940185*I,0.20216752625005957+0.*I,0.-0.2141105643873758*I,-0.21187754782205767+0.*I,0.+0.19881420273124348*I,0.17854422917136178+0.*I,0.-0.1544264385687343*I,-0.12922854417073934+0.*I,0.+0.10499224761984055*I,0.08304134981044654+0.*I,0.-0.06407935102655792*I,-0.048329260234281385+0.*I,0.+0.03568021160606524*I,0.02581847876261527+0.*I,0.-0.018331791699579995*I,-0.012784233403529946+0.*I,0.+0.008764257373553805*I,0.0059109953577464736+0.*I,0.-0.003924745868609654*I,-0.002567080462811784+0.*I,0.+0.0016549751417700655*I,0.001052188170190158+0.*I,0.-0.000660013541324942*I,-0.00040865919514824925+0.*I,0.+0.0002498596330167976*I,0.00015091145881893303+0.*I,0.-0.0000900727497862583*I,-0.00005314391603387107+0.*I,0.+0.00003100541302598666*I,0.0000178925470525406+0.*I,0.-0.000010215909353012307*I,-5.772514080493588*^-6+0.*I,0.+3.228813099992882*^-6*I,1.7881832592157336*^-6+0.*I,0.-9.807730772674166*^-7*I,-5.328487202541622*^-7+0.*I,0.+2.868173072057021*^-7*I,1.5298750536129714*^-7+0.*I,0.-8.087888980249389*^-8*I,-4.238566283228283*^-8+0.*I,0.+2.2023183978671152*^-8*I,1.134718953489426*^-8+0.*I,0.-5.7984313531601445*^-9*I,-2.939077523015059*^-9+0.*I,0.+1.477922651734919*^-9*I,7.373811361469033*^-10+0.*I,0.-3.650810755421955*^-10*I,-1.7939026360108888*^-10+0.*I,0.+8.749313712897694*^-11*I,4.236099699282926*^-11+0.*I,0.-2.0362222238327977*^-11*I,-9.718496808985163*^-12+0.*I,0.+4.60611195376527*^-12*I,2.1680855642100818*^-12+0.*I,0.-1.013604520682525*^-12*I,-4.707097249455345*^-13+0.*I,0.+2.1715576198929476*^-13*I,9.953204464217203*^-14+0.*I,0.-4.532799864643161*^-14*I,-2.051255574718474*^-14+0.*I,0.+9.224845894568539*^-15*I,4.123063968059671*^-15+0.*I,0.-1.831627509533137*^-15*I
0.+0.062368872130600314*I,0.14863737382649927+0.*I,0.-0.23205527913238239*I,-0.2633938258502516+0.*I,0.+0.20941522166045204*I,0.079126351515942+0.*I,0.+0.07472559155192987*I,0.18196661301826783+0.*I,0.-0.1934431485326422*I,-0.10813375384450546+0.*I,0.-0.026838373353057977*I,-0.14215554241085468+0.*I,0.+0.1823816443420441*I,0.13226357750974482+0.*I,0.-0.020761383425052887*I,0.09666916208761966+0.*I,0.-0.16625905388099488*I,-0.15993486311327207+0.*I,0.+0.08482493175495359*I,-0.023717107281654177+0.*I,0.+0.11993242987983897*I,0.16710023348577976+0.*I,0.-0.15050099650177257*I,-0.08002593996551713+0.*I,0.-0.016615643012122205*I,-0.10581302900348284+0.*I,0.+0.15990360169169748*I,0.16497209850295264+0.*I,0.-0.12292458195721954*I,-0.0484406649758217+0.*I,0.-0.03712392133206296*I,-0.11241077801976043+0.*I,0.+0.1613131223206561*I,0.17575536033891104+0.*I,0.-0.15591209355855237*I,-0.1084826535918971+0.*I,0.+0.04395549350600541*I,-0.02623142249577306+0.*I,0.+0.09197876284246125*I,0.14593796446160248+0.*I,0.-0.18402118638220957*I,-0.20518584844353419+0.*I,0.+0.21076318839445793*I,0.20360115042013135+0.*I,0.-0.18723491663755126*I,-0.1652180769607466+0.*I,0.+0.14067019185494367*I,0.11603749953148244+0.*I,0.-0.09302774401157955*I,-0.07266547196226583+0.*I,0.+0.05541497407172113*I,0.04132783363161442+0.*I,0.-0.0301852406248908*I,-0.021617991534585046+0.*I,0.+0.015197330818744805*I,0.01049680128143652+0.*I,0.-0.007129264442177086*I,-0.0047648890389971905+0.*I,0.+0.0031359659978259435*I,0.002033589751665787+0.*I,0.-0.001300075112081945*I,-0.0008197967037102134+0.*I,0.+0.0005101272393778317*I,0.00031338061311708356+0.*I,0.-0.00019013413755745092*I,-0.00011397340278972197+0.*I,0.+0.00006752315697222996*I,0.0000395501866056612+0.*I,0.-0.00002290989144469347*I,-0.000013128059445361018+0.*I,0.+7.44386129767387*^-6*I,4.177601568297301*^-6+0.*I,0.-2.321088226351896*^-6*I,-1.2770021900207033*^-6+0.*I,0.+6.958594181653015*^-7*I,3.7563944302429607*^-7+0.*I,0.-2.0092148841253178*^-7*I,-1.0650473129250183*^-7+0.*I,0.+5.5959895153729024*^-8*I,2.9149099419213186*^-8+0.*I,0.-1.5055156697245773*^-8*I,-7.711271552475996*^-9+0.*I,0.+3.917538103551237*^-9*I,1.974287220746464*^-9+0.*I,0.-9.871388608821263*^-10*I,-4.897513417502238*^-10+0.*I,0.+2.411343098076353*^-10*I,1.1783732330266615*^-10+0.*I,0.-5.7160998529223255*^-11*I,-2.75271094811605*^-11+0.*I,0.+1.3161771931236335*^-11*I,6.2489712237426686*^-12+0.*I,0.-2.946381868702014*^-12*I,-1.379749872105899*^-12+0.*I,0.+6.417791502997102*^-13*I,2.965422184745157*^-13+0.*I,0.-1.3612681014189124*^-13*I,-6.208637950818176*^-14+0.*I,0.+2.8137319257719132*^-14*I,1.267184673321185*^-14+0.*I
