0.8546359991532334+0.*I,0.4790227268471341+0.*I,0.1898523849486914+0.*I,0.06143705169614648+0.*I,0.017217706755914327+0.*I,0.0043158390578680065+0.*I,0.0009875624130294032+0.*I,0.00020921386781614339+0.*I,0.00004145915166767286+0.*I,7.745939364553854*^-6+0.*I,1.3729320055584098*^-6+0.*I,2.3202117569174522*^-7+0.*I,3.754152724872757*^-8+0.*I,5.835998836327838*^-9+0.*I,8.742308243441087*^-10+0.*I,1.2651890425378109*^-10+0.*I,1.7728433676268328*^-11+0.*I,2.4100210874682926*^-12+0.*I,3.1839007879230843*^-13+0.*I,4.094092609473408*^-14+0.*I,5.1311841469319156*^-15+0.*I,6.275999347906186*^-16+0.*I,7.499744803104128*^-17+0.*I,8.765112690528409*^-18+0.*I,1.0028288500879542*^-18+0.*I,1.1241693792586845*^-19+0.*I,1.23571982411355*^-20+0.*I,1.3329475728653505*^-21+0.*I,1.4119164198435203*^-22+0.*I,1.46955189208443*^-23+0.*I,1.5038316998832913*^-24+0.*I,1.51388652958407*^-25+0.*I,1.5000069520446353*^-26+0.*I,1.4635623820401458*^-27+0.*I,1.4068465053257186*^-28+0.*I,1.332869500458181*^-29+0.*I,1.2451203071121334*^-30+0.*I,1.1473221829654494*^-31+0.*I,1.0432022824558197*^-32+0.*I,9.362916740070523*^-34+0.*I,8.297668915822831*^-35+0.*I,7.263385757514436*^-36+0.*I,6.281876604348632*^-37+0.*I,5.369453798061758*^-38+0.*I,4.537103724019001*^-39+0.*I,3.790944159853215*^-40+0.*I,3.132877458144718*^-41+0.*I,2.561352877072448*^-42+0.*I,2.072162132217925*^-43+0.*I,1.6592072214333955*^-44+0.*I,1.3151962546184131*^-45+0.*I,1.032239352215952*^-46+0.*I,8.0233119159373*^-48+0.*I,6.177185990209579*^-49+0.*I,4.711603483839717*^-50+0.*I,3.5609208933691106*^-51+0.*I,2.6671242535691484*^-52+0.*I,1.9800709727432613*^-53+0.*I,1.4572756115232817*^-54+0.*I,1.0633852384229912*^-55+0.*I,7.694668926016117*^-57+0.*I,5.5220452012507626*^-58+0.*I,3.930782816679284*^-59+0.*I,2.7757714880352913*^-60+0.*I,1.9447718511456877*^-61+0.*I,1.3520318357311504*^-62+0.*I,9.328028975391033*^-64+0.*I,6.387448645223236*^-65+0.*I,4.3415809346753923*^-66+0.*I,2.929532311288215*^-67+0.*I,1.9625657199072423*^-68+0.*I,1.305479242334562*^-69+0.*I,8.623402529337627*^-71+0.*I,5.657077978095411*^-72+0.*I,3.685965293498384*^-73+0.*I,2.3855885755458077*^-74+0.*I,1.533782175850603*^-75+0.*I,9.797003433839869*^-77+0.*I,6.217573032695311*^-78+0.*I,3.920868581325978*^-79+0.*I,2.4570400117659474*^-80+0.*I,1.530187520476317*^-81+0.*I,9.471367016284915*^-83+0.*I,5.827047469517612*^-84+0.*I,3.5635581448365034*^-85+0.*I,2.166453255196604*^-86+0.*I,1.3094081314657986*^-87+0.*I,7.868470911038244*^-89+0.*I,4.7013647191600745*^-90+0.*I,2.7932118569152463*^-91+0.*I,1.65027970406147*^-92+0.*I,9.696428485300456*^-94+0.*I,5.666212024583205*^-95+0.*I,3.2932620036903735*^-96+0.*I,1.9038700106961827*^-97+0.*I,1.0948394220299465*^-98+0.*I,6.263105777360279*^-100+0.*I,3.5643374669368705*^-101+0.*I,2.0180908543700884*^-102+0.*I,1.136836616302469*^-103+0.*I
-0.4790227268471341+0.*I,0.5861441815099163+0.*I,0.571028341987198+0.*I,0.2943985631574297+0.*I,0.11322359387895148+0.*I,0.0360809387218081+0.*I,0.010018075638683236+0.*I,0.0024955803598848444+0.*I,0.0005685083605105828+0.*I,0.00012003586279291091+0.*I,0.000023725283826360845+0.*I,4.423452659930325*^-6+0.*I,7.827029364120066*^-7+0.*I,1.3208682923286346*^-7+0.*I,2.1346302545994872*^-8+0.*I,3.3149676887208405*^-9+0.*I,4.961388455115266*^-10+0.*I,7.174538992135207*^-11+0.*I,1.004639616300658*^-11+0.*I,1.3648828249664058*^-12+0.*I,1.8021736341191284*^-13+0.*I,2.3162270545881495*^-14+0.*I,2.901668621259464*^-15+0.*I,3.54762287471159*^-16+0.*I,4.237802256994674*^-17+0.*I,4.95113465547489*^-18+0.*I,5.662899613822665*^-19+0.*I,6.34627696347592*^-20+0.*I,6.974157785662625*^-21+0.*I,7.52103436028498*^-22+0.*I,7.964777572502523*^-23+0.*I,8.288127339294851*^-24+0.*I,8.479760190219419*^-25+0.*I,8.534851363303149*^-26+0.*I,8.455108221729623*^-27+0.*I,8.248308949655053*^-28+0.*I,7.927428118901867*^-29+0.*I,7.509463842236094*^-30+0.*I,7.014097534288251*^-31+0.*I,6.462317099773259*^-32+0.*I,5.875120126838523*^-33+0.*I,5.272389281537671*^-34+0.*I,4.672002105506124*^-35+0.*I,4.0892062236517406*^-36+0.*I,3.5362622889428807*^-37+0.*I,3.0223334956443495*^-38+0.*I,2.5535836733376453*^-39+0.*I,2.133436215464165*^-40+0.*I,1.7629428771308668*^-41+0.*I,1.4412136506502163*^-42+0.*I,1.1658650142142801*^-43+0.*I,9.334522996821105*^-45+0.*I,7.398613233117358*^-46+0.*I,5.806436169182609*^-47+0.*I,4.512877620542569*^-48+0.*I,3.474259732535034*^-49+0.*I,2.6497999848641606*^-50+0.*I,2.0025363728641668*^-51+0.*I,1.49980910918952*^-52+0.*I,1.1133943717714724*^-53+0.*I,8.193818086286609*^-55+0.*I,5.97877753371311*^-56+0.*I,4.32603073636873*^-57+0.*I,3.104403962412641*^-58+0.*I,2.209716761284651*^-59+0.*I,1.5603470659936972*^-60+0.*I,1.0931675037296827*^-61+0.*I,7.599519189430513*^-63+0.*I,5.2428905654886115*^-64+0.*I,3.5899679766035447*^-65+0.*I,2.440022417673181*^-66+0.*I,1.646370069877542*^-67+0.*I,1.1029024604004133*^-68+0.*I,7.336130478426347*^-70+0.*I,4.845742679766113*^-71+0.*I,3.178768378625486*^-72+0.*I,2.0711110687103412*^-73+0.*I,1.3403971852912124*^-74+0.*I,8.617629711191236*^-76+0.*I,5.504323357886427*^-77+0.*I,3.49315978379084*^-78+0.*I,2.2027593229777144*^-79+0.*I,1.3803350402550467*^-80+0.*I,8.5961654606725*^-82+0.*I,5.3206035093320325*^-83+0.*I,3.273295322780731*^-84+0.*I,2.0017468766262697*^-85+0.*I,1.2169243267035156*^-86+0.*I,7.354928885413325*^-88+0.*I,4.419602677623707*^-89+0.*I,2.64062363332631*^-90+0.*I,1.568831663357892*^-91+0.*I,9.268728410042179*^-93+0.*I,5.445838285678059*^-94+0.*I,3.182264801409793*^-95+0.*I,1.8495263800066256*^-96+0.*I,1.0692087084158555*^-97+0.*I,6.148465739688424*^-99+0.*I,3.5172026891190065*^-100+0.*I,2.0016030877891868*^-101+0.*I
0.1898523849486914+0.*I,-0.571028341987198+0.*I,0.35982695995946+0.*I,0.5826842470942806+0.*I,0.3714682247250388+0.*I,0.16472216382775365+0.*I,0.05852352778612335+0.*I,0.017753023180999514+0.*I,0.00476584224935681+0.*I,0.0011584142094649536+0.*I,0.0002590052424395398+0.*I,0.00005388756351504649+0.*I,0.00001052499112680649+0.*I,1.9431584394603162*^-6+0.*I,3.410086632588636*^-7+0.*I,5.714542692571788*^-8+0.*I,9.17950846545336*^-9+0.*I,1.418045824435629*^-9+0.*I,2.1125445414851663*^-10+0.*I,3.042412485748348*^-11+0.*I,4.244712426547462*^-12+0.*I,5.747910348987672*^-13+0.*I,7.56705344478653*^-14+0.*I,9.699433139721326*^-15+0.*I,1.2121368156518064*^-15+0.*I,1.478666389490131*^-16+0.*I,1.7627130625810796*^-17+0.*I,2.0555298050428972*^-18+0.*I,2.3469185379605728*^-19+0.*I,2.6258718442187107*^-20+0.*I,2.881317061991288*^-21+0.*I,3.102887504702014*^-22+0.*I,3.281642870678879*^-23+0.*I,3.410668462983112*^-24+0.*I,3.4854990057652037*^-25+0.*I,3.504334786551119*^-26+0.*I,3.468042122710218*^-27+0.*I,3.3799532974583672*^-28+0.*I,3.245500236622272*^-29+0.*I,3.07172932802936*^-30+0.*I,2.866751041475037*^-31+0.*I,2.639177569704166*^-32+0.*I,2.397595624112805*^-33+0.*I,2.1501113941790944*^-34+0.*I,1.903992366797145*^-35+0.*I,1.6654179886772424*^-36+0.*I,1.4393395373582444*^-37+0.*I,1.2294401077561582*^-38+0.*I,1.0381789057032872*^-39+0.*I,8.669002028813194*^-41+0.*I,7.159861206889569*^-42+0.*I,5.850333964456921*^-43+0.*I,4.730368365295845*^-44+0.*I,3.7856564632483284*^-45+0.*I,2.9992267257146793*^-46+0.*I,2.352803361130112*^-47+0.*I,1.827903423853502*^-48+0.*I,1.4066693824602968*^-49+0.*I,1.0724546056318319*^-50+0.*I,8.101921102847814*^-52+0.*I,6.065837345292236*^-53+0.*I,4.501488091404053*^-54+0.*I,3.311696972841948*^-55+0.*I,2.4156749600547465*^-56+0.*I,1.7473582439315083*^-57+0.*I,1.2535482077028475*^-58+0.*I,8.920185664858631*^-60+0.*I,6.297044983450279*^-61+0.*I,4.410463790455733*^-62+0.*I,3.065272717329462*^-63+0.*I,2.1141830893812245*^-64+0.*I,1.4472860385436196*^-65+0.*I,9.83450878498624*^-67+0.*I,6.634135080520365*^-68+0.*I,4.443188694915223*^-69+0.*I,2.9548007480756655*^-70+0.*I,1.9513159395043894*^-71+0.*I,1.2797781896106338*^-72+0.*I,8.336623252127605*^-74+0.*I,5.394280855344043*^-75+0.*I,3.4673952222713626*^-76+0.*I,2.2143030176432354*^-77+0.*I,1.4049834414740367*^-78+0.*I,8.858117050077558*^-80+0.*I,5.549864641994445*^-81+0.*I,3.455635978810818*^-82+0.*I,2.1385097070629698*^-83+0.*I,1.3154196706890127*^-84+0.*I,8.043012789439477*^-86+0.*I,4.88883318829937*^-87+0.*I,2.954293950483366*^-88+0.*I,1.7749802286668907*^-89+0.*I,1.060359902454685*^-90+0.*I,6.298846468272667*^-92+0.*I,3.720866272669299*^-93+0.*I,2.1858943798451154*^-94+0.*I,1.2771518399832611*^-95+0.*I,7.421808637976765*^-97+0.*I,4.289986192352858*^-98+0.*I,2.466638430373813*^-99+0.*I
-0.06143705169614648+0.*I,0.2943985631574297+0.*I,-0.5826842470942806+0.*I,0.17126782112674946+0.*I,0.5526170920220083+0.*I,0.42625861239173485+0.*I,0.2140138517680335+0.*I,0.08365121036618219+0.*I,0.027448318322416225+0.*I,0.007879813075649346+0.*I,0.0020311500964935+0.*I,0.00047851903204435106+0.*I,0.00010436919444655505+0.*I,0.000021280701710312916+0.*I,4.087350117856831*^-6+0.*I,7.440260450126477*^-7+0.*I,1.290011818905689*^-7+0.*I,2.1392715152093458*^-8+0.*I,3.4051258480320063*^-9+0.*I,5.21800005979911*^-10+0.*I,7.71811453241901*^-11+0.*I,1.1044448606352696*^-11+0.*I,1.5320541689691985*^-12+0.*I,2.063834439346023*^-13+0.*I,2.704188707857787*^-14+0.*I,3.4512873010918093*^-15+0.*I,4.296033828372603*^-16+0.*I,5.221621355518182*^-17+0.*I,6.203799985765235*^-18+0.*I,7.211891923163375*^-19+0.*I,8.210495206940434*^-20+0.*I,9.16172771279682*^-21+0.*I,1.002779277381244*^-21+0.*I,1.0773607393538918*^-22+0.*I,1.1369228741874937*^-23+0.*I,1.179184378182834*^-24+0.*I,1.202714445322033*^-25+0.*I,1.2069986919968185*^-26+0.*I,1.1924316159080903*^-27+0.*I,1.1602415030011088*^-28+0.*I,1.112360032162948*^-29+0.*I,1.0512530767469169*^-30+0.*I,9.797311018831581*^-32+0.*I,9.007571999788648*^-33+0.*I,8.172685718653262*^-34+0.*I,7.320237082543849*^-35+0.*I,6.47483287175612*^-36+0.*I,5.657284802477633*^-37+0.*I,4.884164513271647*^-38+0.*I,4.1676968297648754*^-39+0.*I,3.515935638208115*^-40+0.*I,2.9331544687059763*^-41+0.*I,2.4203805835430222*^-42+0.*I,1.976005302749827*^-43+0.*I,1.596412386629529*^-44+0.*I,1.276578388309905*^-45+0.*I,1.0106120587661153*^-46+0.*I,7.922125874406427*^-48+0.*I,6.150376085266238*^-49+0.*I,4.729808676174151*^-50+0.*I,3.6036599552432387*^-51+0.*I,2.720670545120084*^-52+0.*I,2.0356869554845553*^-53+0.*I,1.5097929771825054*^-54+0.*I,1.1100979440282308*^-55+0.*I,8.092944625527672*^-57+0.*I,5.8507961630549476*^-58+0.*I,4.195137770885584*^-59+0.*I,2.983720619405089*^-60+0.*I,2.1052647729746558*^-61+0.*I,1.4738258047708727*^-62+0.*I,1.023832732054613*^-63+0.*I,7.058399717414801*^-65+0.*I,4.82977963684277*^-66+0.*I,3.280501197987944*^-67+0.*I,2.2120324846261013*^-68+0.*I,1.4809025531594767*^-69+0.*I,9.844397374530515*^-71+0.*I,6.498636289012604*^-72+0.*I,4.260566662260509*^-73+0.*I,2.7743740149805975*^-74+0.*I,1.794545828273221*^-75+0.*I,1.1531196054719573*^-76+0.*I,7.361423001779329*^-78+0.*I,4.669315358094376*^-79+0.*I,2.94295845612576*^-80+0.*I,1.84327078085948*^-81+0.*I,1.1473659665549186*^-82+0.*I,7.098319078515856*^-84+0.*I,4.3649765872509805*^-85+0.*I,2.668163994298874*^-86+0.*I,1.621354322293631*^-87+0.*I,9.795081711380703*^-89+0.*I,5.883450737457885*^-90+0.*I,3.513813093974736*^-91+0.*I,2.0867747642452253*^-92+0.*I,1.2323956726455302*^-93+0.*I,7.238175483240344*^-95+0.*I,4.228034383452846*^-96+0.*I,2.4564272949865925*^-97+0.*I
0.017217706755914327+0.*I,-0.11322359387895148+0.*I,0.3714682247250388+0.*I,-0.5526170920220083+0.*I,0.01639712378601342+0.*I,0.49838590272625155+0.*I,0.4620807614459061+0.*I,0.2596704994834536+0.*I,0.11060829705367785+0.*I,0.03896416332983069+0.*I,0.011889849505212706+0.*I,0.0032341766329071608+0.*I,0.000799569854982722+0.*I,0.0001821903337697088+0.*I,0.00003866706929961606+0.*I,7.706606495935852*^-6+0.*I,1.4518995654552157*^-6+0.*I,2.5994745035604623*^-7+0.*I,4.442651683266517*^-8+0.*I,7.275065508293194*^-9+0.*I,1.1451503019501951*^-9+0.*I,1.737490184643155*^-10+0.*I,2.547217039289248*^-11+0.*I,3.6158979699593875*^-12+0.*I,4.979556520205645*^-13+0.*I,6.663749594605034*^-14+0.*I,8.67869448827418*^-15+0.*I,1.1015087583498778*^-15+0.*I,1.364125032510261*^-16+0.*I,1.6502129722507677*^-17+0.*I,1.9520480675443593*^-18+0.*I,2.2600294290408557*^-19+0.*I,2.5632250720327936*^-20+0.*I,2.8500712023785095*^-21+0.*I,3.1091571086660617*^-22+0.*I,3.3300166250509144*^-23+0.*I,3.503847115039186*^-24+0.*I,3.624087095992409*^-25+0.*I,3.6868019755886266*^-26+0.*I,3.6908508101203866*^-27+0.*I,3.6378319442918543*^-28+0.*I,3.531828420040207*^-29+0.*I,3.3789923782976935*^-30+0.*I,3.1870195545028084*^-31+0.*I,2.96456974370729*^-32+0.*I,2.720687191572765*^-33+0.*I,2.464267481739204*^-34+0.*I,2.2036063723908626*^-35+0.*I,1.9460530925575658*^-36+0.*I,1.6977776275833432*^-37+0.*I,1.4636499509434395*^-38+0.*I,1.2472199834646033*^-39+0.*I,1.050780777622013*^-40+0.*I,8.754940849209811*^-42+0.*I,7.215567694132198*^-43+0.*I,5.883879509983718*^-44+0.*I,4.7481965978529215*^-45+0.*I,3.792775138015567*^-46+0.*I,2.9994192568109034*^-47+0.*I,2.348841487714208*^-48+0.*I,1.8217477821589583*^-49+0.*I,1.3996495326217699*^-50+0.*I,1.065424060990971*^-51+0.*I,8.036570265207081*^-53+0.*I,6.008061462601901*^-54+0.*I,4.452267433535622*^-55+0.*I,3.2709728166674897*^-56+0.*I,2.38278467436738*^-57+0.*I,1.7213377504059706*^-58+0.*I,1.2333322495911921*^-59+0.*I,8.765650500640088*^-61+0.*I,6.180645617934679*^-62+0.*I,4.3239732716104357*^-63+0.*I,3.0018142448561637*^-64+0.*I,2.0681731800130038*^-65+0.*I,1.4142994759780642*^-66+0.*I,9.600523831300322*^-68+0.*I,6.469844702178749*^-69+0.*I,4.3289557745888054*^-70+0.*I,2.8761169198488814*^-71+0.*I,1.897608164904246*^-72+0.*I,1.2434390999388649*^-73+0.*I,8.092835685224968*^-75+0.*I,5.2320794315984044*^-76+0.*I,3.3603420770398658*^-77+0.*I,2.1442003983051867*^-78+0.*I,1.359427940242093*^-79+0.*I,8.564287754456857*^-81+0.*I,5.361730403771182*^-82+0.*I,3.33603758508613*^-83+0.*I,2.0630126744773095*^-84+0.*I,1.2680892766178608*^-85+0.*I,7.748291495837003*^-87+0.*I,4.706529015144563*^-88+0.*I,2.8422611174437244*^-89+0.*I,1.7065725025413155*^-90+0.*I,1.0188528926433388*^-91+0.*I,6.048559912714179*^-93+0.*I,3.570865029541254*^-94+0.*I,2.0965364208891915*^-95+0.*I
-0.0043158390578680065+0.*I,0.0360809387218081+0.*I,-0.16472216382775365+0.*I,0.42625861239173485+0.*I,-0.49838590272625155+0.*I,-0.10852969575909827+0.*I,0.43012793235115343+0.*I,0.48165158858060275+0.*I,0.3007346993281628+0.*I,0.13862973530251843+0.*I,0.05212330493247956+0.*I,0.016824808923151115+0.*I,0.004809942454572811+0.*I,0.0012435993075289203+0.*I,0.0002951703420516798+0.*I,0.00006504156883230492+0.*I,0.000013422059550333765+0.*I,2.612011355349642*^-6+0.*I,4.820795327235816*^-7+0.*I,8.477963611454821*^-8+0.*I,1.4263084404029249*^-8+0.*I,2.3033073325042664*^-9+0.*I,3.580740896002031*^-10+0.*I,5.3725347936716*^-11+0.*I,7.797216563448896*^-12+0.*I,1.0967591445493135*^-12+0.*I,1.4978144443654094*^-13+0.*I,1.9891356232101334*^-14+0.*I,2.5724519347061235*^-15+0.*I,3.2438834143000227*^-16+0.*I,3.9932491601405416*^-17+0.*I,4.803909953591687*^-18+0.*I,5.653221935425134*^-19+0.*I,6.513603749739434*^-20+0.*I,7.354141403829435*^-21+0.*I,8.142585358285488*^-22+0.*I,8.847543825296467*^-23+0.*I,9.440652248619189*^-24+0.*I,9.89850422184636*^-25+0.*I,1.0204161646211223*^-25+0.*I,1.034811562063674*^-26+0.*I,1.0328635557540159*^-27+0.*I,1.015151246918826*^-28+0.*I,9.829264069714264*^-30+0.*I,9.37991709596224*^-31+0.*I,8.8255117167136*^-32+0.*I,8.190482812909184*^-33+0.*I,7.50006481150863*^-34+0.*I,6.778844308435742*^-35+0.*I,6.049552829841915*^-36+0.*I,5.332156000128529*^-37+0.*I,4.643259911172085*^-38+0.*I,3.995824422131782*^-39+0.*I,3.3991489706724398*^-40+0.*I,2.8590804096417133*^-41+0.*I,2.3783843703403645*^-42+0.*I,1.9572207509328297*^-43+0.*I,1.5936686104868407*^-44+0.*I,1.2842542353703254*^-45+0.*I,1.0244466779166634*^-46+0.*I,8.090961146293171*^-48+0.*I,6.3280074372552016*^-49+0.*I,4.901968377518101*^-50+0.*I,3.761735554336089*^-51+0.*I,2.8601908102951368*^-52+0.*I,2.1550771875199523*^-53+0.*I,1.6093899756538674*^-54+0.*I,1.1913998951727508*^-55+0.*I,8.744128156240836*^-57+0.*I,6.363570880933375*^-58+0.*I,4.592734494639009*^-59+0.*I,3.287657623714464*^-60+0.*I,2.3345515139001093*^-61+0.*I,1.6446634347697741*^-62+0.*I,1.1496368562622388*^-63+0.*I,7.974549052710316*^-65+0.*I,5.489889509244839*^-66+0.*I,3.751300109690213*^-67+0.*I,2.544532824293328*^-68+0.*I,1.7135165313988584*^-69+0.*I,1.145690169659196*^-70+0.*I,7.60655713643547*^-72+0.*I,5.015258831877109*^-73+0.*I,3.2841570615715083*^-74+0.*I,2.1360912851043546*^-75+0.*I,1.3801298188394116*^-76+0.*I,8.85854135672412*^-78+0.*I,5.649156046894012*^-79+0.*I,3.57948044502884*^-80+0.*I,2.2537543293777604*^-81+0.*I,1.4101896733237927*^-82+0.*I,8.769326575390244*^-84+0.*I,5.42007491298742*^-85+0.*I,3.329863733641159*^-86+0.*I,2.033577859962369*^-87+0.*I,1.2346351553216177*^-88+0.*I,7.452287190595404*^-90+0.*I,4.472419996189988*^-91+0.*I,2.6688607930952663*^-92+0.*I,1.5836793923110261*^-93+0.*I
0.0009875624130294032+0.*I,-0.010018075638683236+0.*I,0.05852352778612335+0.*I,-0.2140138517680335+0.*I,0.4620807614459061+0.*I,-0.43012793235115343+0.*I,-0.20695277713180601+0.*I,0.3543783970376745+0.*I,0.4873483902169973+0.*I,0.33660163531750376+0.*I,0.16704321769711955+0.*I,0.06672538848251044+0.*I,0.022693248423643744+0.*I,0.006795479704086692+0.*I,0.0018320876137449874+0.*I,0.00045182229487616434+0.*I,0.00010314116378115561+0.*I,0.000021995005011841218+0.*I,4.413825584951206*^-6+0.*I,8.384673013501372*^-7+0.*I,1.5152201136290747*^-7+0.*I,2.615673830725002*^-8+0.*I,4.3285622365353886*^-9+0.*I,6.887761017283715*^-10+0.*I,1.0566651488311595*^-10+0.*I,1.5665038154630363*^-11+0.*I,2.248812810077256*^-12+0.*I,3.131828291787282*^-13+0.*I,4.238160495093601*^-14+0.*I,5.581267807575816*^-15+0.*I,7.162169176786072*^-16+0.*I,8.966851851289059*^-17+0.*I,1.096479620760236*^-17+0.*I,1.310893451968679*^-18+0.*I,1.5337198801413545*^-19+0.*I,1.7575618029824936*^-20+0.*I,1.9742727332465143*^-21+0.*I,2.175488200894916*^-22+0.*I,2.353195345936265*^-23+0.*I,2.5002838598949972*^-24+0.*I,2.6110243590917348*^-25+0.*I,2.6814299190268875*^-26+0.*I,2.7094711308786414*^-27+0.*I,2.695132312847881*^-28+0.*I,2.64031390334826*^-29+0.*I,2.5486013067438243*^-30+0.*I,2.4249318481716047*^-31+0.*I,2.2751980638463235*^-32+0.*I,2.105827133111418*^-33+0.*I,1.9233733634979364*^-34+0.*I,1.734154288295115*^-35+0.*I,1.5439524189064994*^-36+0.*I,1.3577953482018336*^-37+0.*I,1.1798179182132667*^-38+0.*I,1.0132024631192258*^-39+0.*I,8.601872955581063*^-41+0.*I,7.22129859767042*^-42+0.*I,5.996092729294241*^-43+0.*I,4.925530405613264*^-44+0.*I,4.003741530977017*^-45+0.*I,3.221070879102936*^-46+0.*I,2.5653400915319114*^-47+0.*I,2.0229529695625554*^-48+0.*I,1.5798115893914019*^-49+0.*I,1.2220329184554133*^-50+0.*I,9.364727369212831*^-52+0.*I,7.110755911883611*^-53+0.*I,5.350766165639491*^-54+0.*I,3.990841148685961*^-55+0.*I,2.9507168269255324*^-56+0.*I,2.1630640263761108*^-57+0.*I,1.572359954259937*^-58+0.*I,1.1335360220995676*^-59+0.*I,8.105456940914529*^-61+0.*I,5.749561849516173*^-62+0.*I,4.04633249774009*^-63+0.*I,2.8256006893386484*^-64+0.*I,1.95809453924044*^-65+0.*I,1.346728018049675*^-66+0.*I,9.19385764273318*^-68+0.*I,6.230661708504245*^-69+0.*I,4.1921289408335756*^-70+0.*I,2.800550597559041*^-71+0.*I,1.857819812851946*^-72+0.*I,1.2239311888108275*^-73+0.*I,8.008374997498868*^-75+0.*I,5.204816801230557*^-76+0.*I,3.3603054935790635*^-77+0.*I,2.1552713864229596*^-78+0.*I,1.3734463819612172*^-79+0.*I,8.696484628006285*^-81+0.*I,5.471833531546433*^-82+0.*I,3.421473030498985*^-83+0.*I,2.1262661394248034*^-84+0.*I,1.3133447459161384*^-85+0.*I,8.063583059040267*^-87+0.*I,4.921488088460616*^-88+0.*I,2.986166335494153*^-89+0.*I,1.8014000598963948*^-90+0.*I,1.0804725593280538*^-91+0.*I
-0.00020921386781614339+0.*I,0.0024955803598848444+0.*I,-0.017753023180999514+0.*I,0.08365121036618219+0.*I,-0.2596704994834536+0.*I,0.48165158858060275+0.*I,-0.3543783970376745+0.*I,-0.28202739939016574+0.*I,0.275602292213487+0.*I,0.4812924950231361+0.*I,0.36692800675772363+0.*I,0.19526406472103489+0.*I,0.08255650457051587+0.*I,0.02948607076816972+0.*I,0.009222134080084552+0.*I,0.002586183663142033+0.*I,0.0006612407751567793+0.*I,0.0001560742802629775+0.*I,0.000034335410676463447+0.*I,7.0941888660479444*^-6+0.*I,1.3851686648911703*^-6+0.*I,2.569025496968606*^-7+0.*I,4.545394034104148*^-8+0.*I,7.700269008418067*^-9+0.*I,1.2529801988090227*^-9+0.*I,1.963723242304283*^-10+0.*I,2.971400875739219*^-11+0.*I,4.350233290066121*^-12+0.*I,6.173871681080749*^-13+0.*I,8.508117554604953*^-14+0.*I,1.1402592412007589*^-14+0.*I,1.4882229814930459*^-15+0.*I,1.89396478518753*^-16+0.*I,2.3529499478034218*^-17+0.*I,2.8565767922042245*^-18+0.*I,3.392268182435803*^-19+0.*I,3.9439508017894697*^-20+0.*I,4.4929000825192*^-21+0.*I,5.018881964043299*^-22+0.*I,5.501484388804241*^-23+0.*I,5.921507375597534*^-24+0.*I,6.262273924802775*^-25+0.*I,6.510735274033822*^-26+0.*I,6.658270704064764*^-27+0.*I,6.701119582798665*^-28+0.*I,6.640425786284577*^-29+0.*I,6.481916032299542*^-30+0.*I,6.235268772220446*^-31+0.*I,5.913255370671375*^-32+0.*I,5.5307484730336496*^-33+0.*I,5.103693695179092*^-34+0.*I,4.6481316233372097*^-35+0.*I,4.179340238911318*^-36+0.*I,3.7111464748465705*^-37+0.*I,3.2554328602100076*^-38+0.*I,2.8218438825006876*^-39+0.*I,2.417678847935062*^-40+0.*I,2.0479448738309085*^-41+0.*I,1.7155356216441207*^-42+0.*I,1.4214982115912767*^-43+0.*I,1.1653516970849353*^-44+0.*I,9.454244848401996*^-46+0.*I,7.591840419764392*^-47+0.*I,6.035390796831999*^-48+0.*I,4.751012623454924*^-49+0.*I,3.7039970876558632*^-50+0.*I,2.860467166193982*^-51+0.*I,2.188570611217064*^-52+0.*I,1.6592588153841699*^-53+0.*I,1.2467169065314713*^-54+0.*I,9.2851616611437*^-56+0.*I,6.855584174534658*^-57+0.*I,5.0187566697885126*^-58+0.*I,3.6433904286467264*^-59+0.*I,2.623206282346436*^-60+0.*I,1.873413779849167*^-61+0.*I,1.3272877946585613*^-62+0.*I,9.329975304848865*^-64+0.*I,6.507769141078328*^-65+0.*I,4.504750280381938*^-66+0.*I,3.094891582383586*^-67+0.*I,2.110590919263556*^-68+0.*I,1.4288709348787062*^-69+0.*I,9.604114891865797*^-71+0.*I,6.409747784463391*^-72+0.*I,4.2480187345603916*^-73+0.*I,2.7959878414032025*^-74+0.*I,1.8277966707212313*^-75+0.*I,1.186871070859462*^-76+0.*I,7.655975813068407*^-78+0.*I,4.9063238328958273*^-79+0.*I,3.123970113036466*^-80+0.*I,1.9764597677907601*^-81+0.*I,1.2426078681865268*^-82+0.*I,7.763882466064829*^-84+0.*I,4.8212032539552895*^-85+0.*I,2.9757447976485178*^-86+0.*I,1.8257068150609176*^-87+0.*I,1.113504889131864*^-88+0.*I,6.7516337689224355*^-90+0.*I
