6.512412136079906*^-9+0.*I,3.9985951632032446*^-8+0.*I,1.736033085938693*^-7+0.*I,6.154077056942846*^-7+0.*I,1.8892894245391013*^-6+0.*I,5.187750139868626*^-6+0.*I,0.000013003761182315613+0.*I,0.000030177657437350548+0.*I,0.0000655097723438895+0.*I,0.00013407579934199255+0.*I,0.00026032504624903097+0.*I,0.00048193134179430364+0.*I,0.0008542010626353755+0.*I,0.001454634858141459+0.*I,0.00238701711050495+0.*I,0.0037842120295667556+0.*I,0.00580872785758207+0.*I,0.008650119927450614+0.*I,0.01251847526316553+0.*I,0.017633567897069352+0.*I,0.0242097751504433+0.*I,0.03243744717465032+0.*I,0.04246204310810109+0.*I,0.054362888990495614+0.*I,0.06813377731710148+0.*I,0.08366773685024237+0.*I,0.10074810988746012+0.*I,0.11904758356098676+0.*I,0.1381360802109133+0.*I,0.15749750873762214+0.*I,0.17655443061578538+0.*I,0.1946988261158212+0.*I,0.21132647225764428+0.*I,0.22587204958520693+0.*I,0.23784202485720135+0.*I,0.2468426105446391+0.*I,0.25260063602956284+0.*I,0.2549759021554126+0.*I,0.25396443240124594+0.*I,0.24969287735046483+0.*I,0.2424050804221263+0.*I,0.2324423988099892+0.*I,0.22021974878875972+0.*I,0.20619949364462511+0.*I,0.1908652280702887+0.*I,0.17469726991127912+0.*I,0.15815129834467595+0.*I,0.14164113298507108+0.*I,0.1255261858030064+0.*I,0.1101036844104588+0.*I,0.09560539700507566+0.*I,0.08219830849645607+0.*I,0.0699885132724587+0.*I,0.0590275003842722+0.*I,0.049320000481335724+0.*I,0.04083262373543847+0.*I,0.03350262472323634+0.*I,0.027246264240257053+0.*I,0.02196638174581698+0.*I,0.017558931327671112+0.*I,0.013918358369549525+0.*I,0.010941797080522073+0.*I,0.008532147819449139+0.*I,0.006600147718552164+0.*I,0.005065580577589852+0.*I,0.0038577857901380954+0.*I,0.002915625236580808+0.*I,0.002187055774951051+0.*I,0.0016284370007674013+0.*I,0.0012036825809816898+0.*I,0.0008833412573404753+0.*I,0.0006436724187446681+0.*I,0.0004657621697281963+0.*I,0.00033470973237471327+0.*I,0.00023890103983460962+0.*I,0.00016937642721607404+0.*I,0.0001192921129247175+0.*I,0.00008347029103294976+0.*I,0.00005802968134684172+0.*I,0.00004008687478313411+0.*I,0.000027518373781432055+0.*I,0.00001877352456652984+0.*I,0.000012729297847515047+0.*I,8.578887281888597*^-6+0.*I,5.747207508006142*^-6+0.*I,3.827480392093165*^-6+0.*I,2.534132438986697*^-6+0.*I,1.6681505435955288*^-6+0.*I,1.091841166038365*^-6+0.*I,7.106078825486801*^-7+0.*I,4.5991155947428793*^-7+0.*I,2.9601872828222647*^-7+0.*I,1.8949198021095863*^-7+0.*I,1.2064655332141833*^-7+0.*I,7.640408021991362*^-8+0.*I,4.813049282819666*^-8+0.*I,3.0161313548770556*^-8+0.*I,1.8803121126742035*^-8+0.*I,1.1662253174504112*^-8+0.*I,7.196650753506043*^-9+0.*I
-3.9985951632032446*^-8+0.*I,-2.3899974135021183*^-7+0.*I,-1.0093687385294808*^-6+0.*I,-3.477889098231562*^-6+0.*I,-0.000010369346551641716+0.*I,-0.000027628000051243285+0.*I,-0.00006713523597399806+0.*I,-0.0001508848988365224+0.*I,-0.00031687209316887734+0.*I,-0.000626690761103943+0.*I,-0.0011744005304158284+0.*I,-0.0020956387787876406+0.*I,-0.003575301428611154+0.*I,-0.00585153447298896+0.*I,-0.009213444907005968+0.*I,-0.013990033914230472+0.*I,-0.020528510016872097+0.*I,-0.029161393984923508+0.*I,-0.04016358972472494+0.*I,-0.05370263731340095+0.*I,-0.06978734402155715+0.*I,-0.0882215090037713+0.*I,-0.10857014328254926+0.*I,-0.13014517246853163+0.*I,-0.15201600631065168+0.*I,-0.1730476916882421+0.*I,-0.19196596688026213+0.*I,-0.2074448953718565+0.*I,-0.2182094406940916+0.*I,-0.22314288501014054+0.*I,-0.22138780266788494+0.*I,-0.21242958573858065+0.*I,-0.1961532570597047+0.*I,-0.172867246759012+0.*I,-0.14329152232922035+0.*I,-0.10851142134821953+0.*I,-0.06990220049209463+0.*I,-0.029032219380183945+0.*I,0.012445502398482498+0.*I,0.05290303094973772+0.*I,0.09083885826979994+0.*I,0.12496275715931439+0.*I,0.15425841068662705+0.*I,0.1780207704500049+0.*I,0.19586779174523383+0.*I,0.20772858088521023+0.*I,0.2138118467342695+0.*I,0.21455975009153166+0.*I,0.21059276421384626+0.*I,0.20265105521783333+0.*I,0.19153728172787093+0.*I,0.17806475349948298+0.*I,0.16301374279370656+0.*I,0.147097561731588+0.*I,0.13093892782930236+0.*I,0.11505622640921379+0.*I,0.09985859244855423+0.*I,0.08564829047451139+0.*I,0.07262865573155305+0.*I,0.06091583939931772+0.*I,0.050552730116555124+0.*I,0.04152365483235255+0.*I,0.033768747929132474+0.*I,0.02719717921779411+0.*I,0.02169871837060082+0.*I,0.017153364865796834+0.*I,0.013438976866204776+0.*I,0.010436985594331356+0.*I,0.008036385487919132+0.*I,0.0061362504517820495+0.*I,0.004647050796222354+0.*I,0.003491042671557185+0.*I,0.002601980378881408+0.*I,0.0019243692712928894+0.*I,0.0014124391002184446+0.*I,0.0010289791648723185+0.*I,0.000744140628086277+0.*I,0.000534279773806651+0.*I,0.00038088971319073133+0.*I,0.0002696472721634718+0.*I,0.0001895861869836677+0.*I,0.00013239666948557967+0.*I,0.00009184411258559773+0.*I,0.00006329539566882263+0.*I,0.000043339175061175794+0.*I,0.000029486057669127715+0.*I,0.000019935120517530456+0.*I,0.000013394435804336358+0.*I,8.944777842622215*^-6+0.*I,5.937304809072379*^-6+0.*I,3.917579603749635*^-6+0.*I,2.5697334334517737*^-6+0.*I,1.6758386714244238*^-6+0.*I,1.0866294377505267*^-6+0.*I,7.005937174951608*^-7+0.*I,4.4917554434145146*^-7+0.*I,2.8639132778383583*^-7+0.*I,1.8160407200673837*^-7+0.*I,1.1453563149685405*^-7+0.*I,7.185080442693039*^-8+0.*I
1.736033085938693*^-7+0.*I,1.0093687385294808*^-6+0.*I,4.143283171720759*^-6+0.*I,0.000013863410302312302+0.*I,0.000040101155111155746+0.*I,0.00010355455651269284+0.*I,0.00024362174605483322+0.*I,0.0005294844867545688+0.*I,0.0010739644672359788+0.*I,0.0020486581081838686+0.*I,0.0036974630402772336+0.*I,0.006344227718486464+0.*I,0.01038930990178301+0.*I,0.01628980023874232+0.*I,0.024519456757427838+0.*I,0.03550717851040805+0.*I,0.04955694221539517+0.*I,0.06675695044233608+0.*I,0.0868903615194762+0.*I,0.10936327694408994+0.*I,0.1331666078494371+0.*I,0.15688632724776744+0.*I,0.17877130751646983+0.*I,0.19685999140887117+0.*I,0.20915773512532787+0.*I,0.21384741626835108+0.*I,0.2095085613196516+0.*I,0.19531631900172008+0.*I,0.171192025139561+0.*I,0.13788203429269416+0.*I,0.09695027305732883+0.*I,0.050681237765832006+0.*I,0.0019021144102376146+0.*I,-0.046256557012609896+0.*I,-0.09063436564719486+0.*I,-0.12831744064152983+0.*I,-0.15688705139432133+0.*I,-0.17461423056084086+0.*I,-0.1805819972798245+0.*I,-0.17472634686863722+0.*I,-0.1577971240012311+0.*I,-0.13124882355038006+0.*I,-0.0970781832611025+0.*I,-0.0576294917956763+0.*I,-0.015389651711845791+0.*I,0.02720654285681842+0.*I,0.06794415328427791+0.*I,0.10495715662705907+0.*I,0.13681268381047448+0.*I,0.16254965475191868+0.*I,0.18167557197137071+0.*I,0.19412858719653298+0.*I,0.2002139600023528+0.*I,0.20052472058236645+0.*I,0.19585591707903474+0.*I,0.18712055173973888+0.*I,0.17527350709146824+0.*I,0.16124774022670005+0.*I,0.14590504122917453+0.*I,0.13000190542051251+0.*I,0.11416967988157078+0.*I,0.0989071648876862+0.*I,0.08458327539173538+0.*I,0.07144714968206708+0.*I,0.059643159820743946+0.*I,0.04922854919081646+0.*I,0.040191815948301325+0.*I,0.03247040695258856+0.*I,0.025966729200706497+0.*I,0.020561885697813892+0.*I,0.01612687652496926+0.*I,0.012531263493526627+0.*I,0.009649478430375611+0.*I,0.00736506815656188+0.*I,0.0055732250684465265+0.*I,0.004181964033031873+0.*I,0.0031122870203961622+0.*I,0.0022976380829670706+0.*I,0.0016829024721284347+0.*I,0.001223152101238049+0.*I,0.0008822902732859334+0.*I,0.0006317047290845004+0.*I,0.0004490012327940914+0.*I,0.0003168605407283516+0.*I,0.0002220393580580365+0.*I,0.0001545199643701678+0.*I,0.00010680254119179736+0.*I,0.00007332776669408018+0.*I,0.00005001392087097458+0.*I,0.000033891663301015226+0.*I,0.000022820058372036342+0.*I,0.000015268745140671523+0.*I,0.000010152946323859476+0.*I,6.709977601483727*^-6+0.*I,4.407853146354852*^-6+0.*I,2.878365054266448*^-6+0.*I,1.8685807127932448*^-6+0.*I,1.206031200273987*^-6+0.*I,7.739597441906745*^-7+0.*I,4.938816032051901*^-7+0.*I
-6.154077056942846*^-7+0.*I,-3.477889098231562*^-6+0.*I,-0.000013863410302312302+0.*I,-0.00004500122678231254+0.*I,-0.00012614680626520238+0.*I,-0.0003153209763030751+0.*I,-0.0007171683456526486+0.*I,-0.0015048352710078712+0.*I,-0.0029424603651974474+0.*I,-0.005402142883302257+0.*I,-0.009366844347079857+0.*I,-0.015409599011928506+0.*I,-0.024140689250359264+0.*I,-0.03611876514682236+0.*I,-0.05172922064491122+0.*I,-0.0710424984901494+0.*I,-0.09367446985296576+0.*I,-0.1186781091162285+0.*I,-0.14449784639554805+0.*I,-0.16901344157010867+0.*I,-0.18968856692876648+0.*I,-0.20382182246178537+0.*I,-0.2088776023035772+0.*I,-0.20285516338330467+0.*I,-0.1846407266609726+0.*I,-0.15428297955356438+0.*I,-0.1131387651626671+0.*I,-0.0638526395596255+0.*I,-0.01015871754884109+0.*I,0.043478551141990826+0.*I,0.0923415071287489+0.*I,0.13199121475584666+0.*I,0.1587814093893699+0.*I,0.17028382502034808+0.*I,0.16556768550467058+0.*I,0.1452981894432455+0.*I,0.1116454634254862+0.*I,0.06802211349540507+0.*I,0.018689911760222413+0.*I,-0.031708877894166244+0.*I,-0.07863417027390086+0.*I,-0.11808662265664462+0.*I,-0.14695493062256543+0.*I,-0.16324084075978815+0.*I,-0.16614925572409484+0.*I,-0.1560485480966986+0.*I,-0.134320914753788+0.*I,-0.10313272658356341+0.*I,-0.06515971003694733+0.*I,-0.023301644271077632+0.*I,0.01958305236739063+0.*I,0.0608996489377802+0.*I,0.09848175016040162+0.*I,0.130692365456779+0.*I,0.15646318941723122+0.*I,0.17527985056664896+0.*I,0.18712477823353524+0.*I,0.19239114866242424+0.*I,0.19178135471844396+0.*I,0.1862020179871609+0.*I,0.1766652179240428+0.*I,0.16420283021119225+0.*I,0.1497980575767703+0.*I,0.13433571082951673+0.*I,0.11857075220527973+0.*I,0.10311313705974567+0.*I,0.08842608505294086+0.*I,0.07483451616877716+0.*I,0.06254039986395446+0.*I,0.051642071484134196+0.*I,0.04215505528685079+0.*I,0.03403249893818464+0.*I,0.027183892376715528+0.*I,0.021491259946930172+0.*I,0.016822446199457716+0.*I,0.013041448832841158+0.*I,0.010015987146916178+0.*I,0.007622640869801927+0.*I,0.005749967485378301+0.*I,0.0043000234442578346+0.*I,0.0031886927056269916+0.*I,0.002345179781663251+0.*I,0.0017109659150747938+0.*I,0.0012384652775893107+0.*I,0.0008895593516281982+0.*I,0.0006341357247602426+0.*I,0.0004487142287290526+0.*I,0.000315209121228141+0.*I,0.0002198503285393154+0.*I,0.00015226858201184936+0.*I,0.00010473728433455251+0.*I,0.00007155678913101699+0.*I,0.00004856322420868701+0.*I,0.000032742961441232854+0.*I,0.000021934462466465138+0.*I,0.000014600836763923514+0.*I,9.65854542858113*^-6+0.*I,6.349930415594487*^-6+0.*I,4.149426602537821*^-6+0.*I,2.6952955374171007*^-6+0.*I
1.8892894245391013*^-6+0.*I,0.000010369346551641716+0.*I,0.000040101155111155746+0.*I,0.00012614680626520238+0.*I,0.00034226696113768645+0.*I,0.0008269927129033509+0.*I,0.001815504818031082+0.*I,0.0036710898262644802+0.*I,0.006905136386944854+0.*I,0.012170780730082594+0.*I,0.020214488090181053+0.*I,0.03177400859849409+0.*I,0.04742122776146468+0.*I,0.06736364463976387+0.*I,0.09123565699520308+0.*I,0.11792585327763883+0.*I,0.14549376357950544+0.*I,0.17122456930791546+0.*I,0.19185122916849257+0.*I,0.20394215128320883+0.*I,0.20441458572895502+0.*I,0.1910978355530346+0.*I,0.16324554325187834+0.*I,0.1218904247842175+0.*I,0.06995171892245027+0.*I,0.012043864023741722+0.*I,-0.0460122013943015+0.*I,-0.09791680004827809+0.*I,-0.13775114387117296+0.*I,-0.16083147193406938+0.*I,-0.164415675350088+0.*I,-0.148142529521145+0.*I,-0.11412823881694838+0.*I,-0.06670308155240605+0.*I,-0.011831107567487955+0.*I,0.04369326485376074+0.*I,0.09314521469664824+0.*I,0.13072988438871797+0.*I,0.15228057685111437+0.*I,0.15570485565075898+0.*I,0.14113306360175568+0.*I,0.11077140366161145+0.*I,0.06850432541725832+0.*I,0.01932217483112179+0.*I,-0.0313337065986764+0.*I,-0.07821560430423725+0.*I,-0.11682383477963575+0.*I,-0.14381347785203089+0.*I,-0.15722323004311567+0.*I,-0.15652340036432785+0.*I,-0.14250333491637607+0.*I,-0.11703522834072322+0.*I,-0.0827602086504373+0.*I,-0.042743982661675416+0.*I,-0.00014446865375857305+0.*I,0.04207537697194904+0.*I,0.08136779777051824+0.*I,0.11574354480369523+0.*I,0.14383872078614277+0.*I,0.1649137744186541+0.*I,0.17879860709390258+0.*I,0.1858003054910743+0.*I,0.18659012965853503+0.*I,0.18208464867454024+0.*I,0.17333299077916092+0.*I,0.16141870156415966+0.*I,0.14738121920646183+0.*I,0.1321588729816622+0.*I,0.11655283008654743+0.*I,0.10120965594299196+0.*I,0.08661910264096924+0.*I,0.07312330946695365+0.*I,0.06093365539437823+0.*I,0.05015189826613899+0.*I,0.04079282876433661+0.*I,0.03280634010974501+0.*I,0.026097476078046536+0.*I,0.020543609297925005+0.*I,0.016008384773160023+0.*I,0.012352427945727384+0.*I,0.009441066225099349+0.*I,0.00714946185878559+0.*I,0.005365621718720037+0.*I,0.003991756876470326+0.*I,0.002944431351653317+0.*I,0.002153881924037948+0.*I,0.0015628226294134432+0.*I,0.0011249781119117962+0.*I,0.000803525691013314+0.*I,0.0005695704053965729+0.*I,0.00040073192173038894+0.*I,0.00027988708652540456+0.*I,0.00019408617195134213+0.*I,0.0001336431462279663+0.*I,0.00009138903085167525+0.*I,0.00006207106870561242+0.*I,0.000041877657287619574+0.*I,0.000028068660085502824+0.*I,0.0000186918948033849+0.*I,0.000012368632975862413+0.*I
-5.187750139868626*^-6+0.*I,-0.000027628000051243285+0.*I,-0.00010355455651269284+0.*I,-0.0003153209763030751+0.*I,-0.0008269927129033509+0.*I,-0.0019285505781502957+0.*I,-0.004079221801998227+0.*I,-0.007932214729091034+0.*I,-0.01431703025167064+0.*I,-0.02415521408498611+0.*I,-0.038294348004163446+0.*I,-0.05726448331105612+0.*I,-0.08098861960742625+0.*I,-0.10850762786683897+0.*I,-0.1378006534933524+0.*I,-0.16578470552138738+0.*I,-0.1885553193352523+0.*I,-0.2018837970992076+0.*I,-0.20192346597955213+0.*I,-0.18601249414186896+0.*I,-0.153412331995159+0.*I,-0.10580528134107957+0.*I,-0.04740144203920732+0.*I,0.015426972689104673+0.*I,0.07496995563240415+0.*I,0.12334586920135439+0.*I,0.15380792918911035+0.*I,0.16194447206930804+0.*I,0.14653380243015016+0.*I,0.1098742232371735+0.*I,0.05750963776071063+0.*I,-0.002611054633922377+0.*I,-0.061392520066432935+0.*I,-0.11004251702968565+0.*I,-0.14145362878158085+0.*I,-0.15127835512555196+0.*I,-0.13852366273887246+0.*I,-0.10558537301760404+0.*I,-0.05774581082794527+0.*I,-0.0022493620438630867+0.*I,0.052866269831620044+0.*I,0.09997930628192937+0.*I,0.13294180322993845+0.*I,0.14783786563603754+0.*I,0.14335723432866754+0.*I,0.12076905088240013+0.*I,0.0835438212018774+0.*I,0.036718551302822186+0.*I,-0.01387463156191082+0.*I,-0.0623930737514017+0.*I,-0.10367429295728423+0.*I,-0.1337551991054933+0.*I,-0.15017819038238464+0.*I,-0.1520781400595138+0.*I,-0.14007436833182704+0.*I,-0.11601281930407337+0.*I,-0.08261455175523236+0.*I,-0.04308785039614512+0.*I,-0.000754651480883642+0.*I,0.04126983627005301+0.*I,0.08031967975820885+0.*I,0.11433251401944321+0.*I,0.14191746087821758+0.*I,0.1623478085666162+0.*I,0.1754953428740302+0.*I,0.1817256188980198+0.*I,0.18177305325307103+0.*I,0.1766122714702246+0.*I,0.16733849132102857+0.*I,0.1550656147332384+0.*I,0.1408467410345314+0.*I,0.1256184166096759+0.*I,0.11016732785146156+0.*I,0.095116391963865+0.*I,0.08092624931908166+0.*I,0.06790787999457605+0.*I,0.05624228693989191+0.*I,0.04600373503295161+0.*I,0.03718375261863093+0.*I,0.02971386393013241+0.*I,0.02348573634874908+0.*I,0.018368039269799144+0.*I,0.01421979426593876+0.*I,0.010900344705325991+0.*I,0.008276297867335983+0.*I,0.006225913745159784+0.*I,0.00464145568629143+0.*I,0.0034300022395616935+0.*I,0.0025131679299875602+0.*I,0.0018261102085628995+0.*I,0.0013161233320491104+0.*I,0.0009410462159677651+0.*I,0.0006676457333453662+0.*I,0.0004700821554618625+0.*I,0.00032852013757663336+0.*I,0.0002279162350283717+0.*I,0.00015699103828343823+0.*I,0.00010737895134833202+0.*I,0.00007293967311749183+0.*I,0.000049210977201140215+0.*I
0.000013003761182315613+0.*I,0.00006713523597399806+0.*I,0.00024362174605483322+0.*I,0.0007171683456526486+0.*I,0.001815504818031082+0.*I,0.004079221801998227+0.*I,0.008296542129229686+0.*I,0.01547705059537698+0.*I,0.02672814021936377+0.*I,0.043013433230899394+0.*I,0.06480544817405338+0.*I,0.09168998068857537+0.*I,0.12202415489052605+0.*I,0.1527762678130272+0.*I,0.1796668749157699+0.*I,0.19767866631196773+0.*I,0.20191280432117545+0.*I,0.18866173753527227+0.*I,0.15647407533508076+0.*I,0.10693873605313216+0.*I,0.04493689232514748+0.*I,-0.021793682801112463+0.*I,-0.08378389412571251+0.*I,-0.1314764962719619+0.*I,-0.15706786515780646+0.*I,-0.15615046218364853+0.*I,-0.1287744020768107+0.*I,-0.07965870341947848+0.*I,-0.017465728686693674+0.*I,0.04673843330795964+0.*I,0.1015309480585244+0.*I,0.13726609155673103+0.*I,0.1478582542663173+0.*I,0.1318574627707372+0.*I,0.0926180789649957+0.*I,0.03755563116579722+0.*I,-0.023327449458444387+0.*I,-0.07932940024580523+0.*I,-0.1209700795269198+0.*I,-0.14158519362093588+0.*I,-0.13832391455785914+0.*I,-0.11241511554450487+0.*I,-0.06871530218185332+0.*I,-0.014680982528194744+0.*I,0.04100353575438697+0.*I,0.08987683747464997+0.*I,0.12498105559189392+0.*I,0.14178346238406184+0.*I,0.1386342902594614+0.*I,0.11674618049463882+0.*I,0.0797596244494047+0.*I,0.03301465647371711+0.*I,-0.017323746130520765+0.*I,-0.06514009496092116+0.*I,-0.10512004796690118+0.*I,-0.1332951977925886+0.*I,-0.14734104603847084+0.*I,-0.1466299257484348+0.*I,-0.13207394033639988+0.*I,-0.10581458563094649+0.*I,-0.07082489901563958+0.*I,-0.030488120440643765+0.*I,0.011793291842103237+0.*I,0.05291952498662263+0.*I,0.09032413394889542+0.*I,0.12210731346764278+0.*I,0.14707821782968897+0.*I,0.1647217508895548+0.*I,0.17511010885023948+0.*I,0.17878057919540527+0.*I,0.17659948308813844+0.*I,0.16962865506383523+0.*I,0.15900642093560824+0.*I,0.14585045610674616+0.*I,0.13118576594759174+0.*I,0.11589768628292556+0.*I,0.10070740953710226+0.*I,0.08616609285170816+0.*I,0.07266297985342429+0.*I,0.06044298798964556+0.*I,0.0496296795188445+0.*I,0.040250258848748124+0.*I,0.03226006499118242+0.*I,0.025564837810297936+0.*I,0.020039753041531792+0.*I,0.015544802071993923+0.*I,0.011936524959708818+0.*I,0.009076396098125335+0.*I,0.006836330703082757+0.*I,0.005101852245576682+0.*I,0.0037734624690876468+0.*I,0.002766710930758993+0.*I,0.0020113903179662263+0.*I,0.0014502026584257653+0.*I,0.001037160908686863+0.*I,0.0007359171850071567+0.*I,0.0005181467646885391+0.*I,0.00036206721098003025+0.*I,0.0002511342182851625+0.*I,0.00017292872593945434+0.*I
-0.000030177657437350548+0.*I,-0.0001508848988365224+0.*I,-0.0005294844867545688+0.*I,-0.0015048352710078712+0.*I,-0.0036710898262644802+0.*I,-0.007932214729091034+0.*I,-0.01547705059537698+0.*I,-0.027620845498820965+0.*I,-0.04548198019330425+0.*I,-0.06951384611496948+0.*I,-0.09898226470994811+0.*I,-0.13154580293266546+0.*I,-0.16312948548272163+0.*I,-0.1882549814016231+0.*I,-0.20089228212733867+0.*I,-0.19574490481774526+0.*I,-0.16971433592556567+0.*I,-0.123166432151407+0.*I,-0.06059550567337152+0.*I,0.009621120949603905+0.*I,0.0764750009226575+0.*I,0.12840929349807997+0.*I,0.15580011028580792+0.*I,0.1532445692550087+0.*I,0.12105816175797918+0.*I,0.06554595813673893+0.*I,-0.002095640673984583+0.*I,-0.06804500037621901+0.*I,-0.11878492013676054+0.*I,-0.14401502832512642+0.*I,-0.1388637855719166+0.*I,-0.1048881465266378+0.*I,-0.04964545594409587+0.*I,0.01503596521037849+0.*I,0.07566213744046706+0.*I,0.11994546152266711+0.*I,0.13930387100557418+0.*I,0.1304672994187459+0.*I,0.09590176244848073+0.*I,0.04303864671806377+0.*I,-0.01744686007130052+0.*I,-0.07388482372588137+0.*I,-0.11589297502730624+0.*I,-0.1362394564859216+0.*I,-0.13196353689239962+0.*I,-0.1046130557811659+0.*I,-0.05964443551230415+0.*I,-0.005184869049299603+0.*I,0.049549483499222155+0.*I,0.09586053059867451+0.*I,0.12692018110712894+0.*I,0.13867099663492374+0.*I,0.13018577545722382+0.*I,0.10350134455974647+0.*I,0.06302668421685034+0.*I,0.014678656605036911+0.*I,-0.03508332660308913+0.*I,-0.08016573099957255+0.*I,-0.1155707644672373+0.*I,-0.13787457433926134+0.*I,-0.14543097446761033+0.*I,-0.13832150267508314+0.*I,-0.11810408718554496+0.*I,-0.08742976965276558+0.*I,-0.049600425939678866+0.*I,-0.008132889045298228+0.*I,0.033619975147435824+0.*I,0.0727589531182665+0.*I,0.10702489195308633+0.*I,0.13488348583797155+0.*I,0.15552173542973313+0.*I,0.16877644302378514+0.*I,0.175017871764237+0.*I,0.17501095112971202+0.*I,0.16977320352021594+0.*I,0.16044398084769568+0.*I,0.1481745891047581+0.*I,0.13404417336736915+0.*I,0.11900231051855346+0.*I,0.10383634592656128+0.*I,0.08915964977317455+0.*I,0.07541605499544302+0.*I,0.06289558601211263+0.*I,0.05175697764744663+0.*I,0.04205320480284881+0.*I,0.03375711349966427+0.*I,0.02678512336335491+0.*I,0.02101776588322053+0.*I,0.016316478296597433+0.*I,0.012536569385526547+0.*I,0.0095366146028827+0.*I,0.007184742773142127+0.*I,0.005362371868075454+0.*I,0.003965965755290333+0.*I,0.0029073441826871615+0.*I,0.002113007293821825+0.*I,0.0015228513089460575+0.*I,0.0010885662274561386+0.*I,0.0007719275791968725+0.*I,0.0005431267909624864+0.*I
0.0000655097723438895+0.*I,0.00031687209316887734+0.*I,0.0010739644672359788+0.*I,0.0029424603651974474+0.*I,0.006905136386944854+0.*I,0.01431703025167064+0.*I,0.02672814021936377+0.*I,0.04548198019330425+0.*I,0.0711116082841867+0.*I,0.10265999384917032+0.*I,0.13715223012414515+0.*I,0.16949313051721532+0.*I,0.19301205355735554+0.*I,0.20071451472748575+0.*I,0.18705979020635446+0.*I,0.14984068972393916+0.*I,0.09159142001810192+0.*I,0.01997112231077464+0.*I,-0.05320869644957855+0.*I,-0.11426951149064986+0.*I,-0.15079989190758372+0.*I,-0.15484771489389326+0.*I,-0.1252687427255029+0.*I,-0.06849194786008336+0.*I,0.0026338667659089655+0.*I,0.07171520512570873+0.*I,0.12271388114310966+0.*I,0.14386240516433613+0.*I,0.13055821255533276+0.*I,0.08646861547398303+0.*I,0.02256212520424566+0.*I,-0.045662052007189785+0.*I,-0.10200575044047928+0.*I,-0.13347052754554717+0.*I,-0.1332502163506939+0.*I,-0.10211934451270242+0.*I,-0.047958619827685296+0.*I,0.016365397722323004+0.*I,0.07616297993527942+0.*I,0.11831690187204638+0.*I,0.13411104922827471+0.*I,0.12089244407338764+0.*I,0.08228950765658519+0.*I,0.027062315722834743+0.*I,-0.03304290435181046+0.*I,-0.08588459328445354+0.*I,-0.12137693024032324+0.*I,-0.1333132310736005+0.*I,-0.12026248882218783+0.*I,-0.08546568535839938+0.*I,-0.03586748033695441+0.*I,0.0194302275596859+0.*I,0.07093528756594945+0.*I,0.11040504011559293+0.*I,0.13208581783387544+0.*I,0.13339287718974208+0.*I,0.11499509238966213+0.*I,0.08037721470092458+0.*I,0.035028613817699804+0.*I,-0.014556316511223766+0.*I,-0.061882965630995726+0.*I,-0.10131556541480248+0.*I,-0.12868996963595689+0.*I,-0.14163589965004603+0.*I,-0.13961594068646407+0.*I,-0.12372806067810001+0.*I,-0.09634231389373607+0.*I,-0.06065057202452961+0.*I,-0.020203060482691406+0.*I,0.021508873174762643+0.*I,0.061383563215917564+0.*I,0.0969333034624884+0.*I,0.12639987433519564+0.*I,0.14877281628529745+0.*I,0.1637307187890265+0.*I,0.17152975329461645+0.*I,0.17286360540523166+0.*I,0.16871597731014681+0.*I,0.16022213362842522+0.*I,0.1485506315751505+0.*I,0.13481125374153777+0.*I,0.1199908123071282+0.*I,0.10491520998280897+0.*I,0.09023399304032485+0.*I,0.07642252047258205+0.*I,0.06379660791273785+0.*I,0.05253485165830254+0.*I,0.0427045655583557+0.*I,0.034288170870004304+0.*I,0.027207811030031302+0.*I,0.021346813153366694+0.*I,0.016567324559321046+0.*I,0.012723991132220053+0.*I,0.009673917077715402+0.*I,0.007283371993569423+0.*I,0.005431819302215584+0.*I,0.0040138606263488245+0.*I,0.0029396524162836114+0.*I,0.002134278501891502+0.*I,0.0015364742802065922+0.*I
