0.019702872986617104+0.*I,0.05521721501389645+0.*I,0.10942194778117813+0.*I,0.17704707434521003+0.*I,0.24808682414846345+0.*I,0.31093072398697374+0.*I,0.35574020711657667+0.*I,0.3768156001415124+0.*I,0.3733608885511622+0.*I,0.34878075014596455+0.*I,0.3090988918589646+0.*I,0.26118368573162903+0.*I,0.21130042173055627+0.*I,0.1642379926587702+0.*I,0.12301400303314983+0.*I,0.08901308692302175+0.*I,0.06236469629350027+0.*I,0.0423895973906839+0.*I,0.028000641412171155+0.*I,0.018002636812823696+0.*I,0.011281479613234158+0.*I,0.0068992416437061044+0.*I,0.004122255978245675+0.*I,0.0024088845112151544+0.*I,0.0013780192963103511+0.*I,0.0007723786051846379+0.*I,0.00042451056386948654+0.*I,0.00022895575304517318+0.*I,0.00012125997815773551+0.*I,0.00006310495006339191+0.*I,0.00003228849040174917+0.*I,0.000016252187888979246+0.*I,8.05159248827662*^-6+0.*I,3.927984422104206*^-6+0.*I,1.8878837093052525*^-6+0.*I,8.943060266415651*^-7+0.*I,4.177147853414756*^-7+0.*I,1.9245266366528117*^-7+0.*I,8.749375763022683*^-8+0.*I,3.926356286525942*^-8+0.*I,1.7398213300199885*^-8+0.*I,7.61478530734669*^-9+0.*I,3.2928955769608113*^-9+0.*I,1.4073064289493745*^-9+0.*I,5.945758618806772*^-10+0.*I,2.4839677780053396*^-10+0.*I,1.0263889852141833*^-10+0.*I,4.1957344572147305*^-11+0.*I,1.6971972384023015*^-11+0.*I,6.7948397240997395*^-12+0.*I,2.6930173761382472*^-12+0.*I,1.056815095880037*^-12+0.*I,4.107166198185602*^-13+0.*I,1.5810633915714206*^-13+0.*I,6.029722753779837*^-14+0.*I,2.2785624691044335*^-14+0.*I,8.533198864284476*^-15+0.*I,3.167520102073377*^-15+0.*I,1.1656021065159511*^-15+0.*I,4.2527441759907713*^-16+0.*I,1.5386455105311308*^-16+0.*I,5.521010806018832*^-17+0.*I,1.9650232491834646*^-17+0.*I,6.9381288191061146*^-18+0.*I,2.4305094430829314*^-18+0.*I,8.448616073287507*^-19+0.*I,2.9144630122914993*^-19+0.*I,9.978518971439078*^-20+0.*I,3.391224738463827*^-20+0.*I,1.144134198538498*^-20+0.*I,3.8324181446522575*^-21+0.*I,1.2746432603608104*^-21+0.*I,4.209857023747937*^-22+0.*I,1.3808638399374384*^-22+0.*I,4.4986265071512334*^-23+0.*I,1.4557749661991266*^-23+0.*I,4.679854938303589*^-24+0.*I,1.4946240614318684*^-24+0.*I,4.742743187308461*^-25+0.*I,1.4954124909051828*^-25+0.*I,4.6855540399240005*^-26+0.*I,1.4590271798740404*^-26+0.*I,4.515453734396099*^-27+0.*I,1.3890161373483162*^-27+0.*I,4.247296590126026*^-28+0.*I,1.291064878062504*^-28+0.*I,3.901609336665628*^-29+0.*I,1.1722739012404926*^-29+0.*I,3.502133529370185*^-30+0.*I,1.0403575858378507*^-30+0.*I,3.073309682228462*^-31+0.*I,9.028811138369233*^-32+0.*I,2.6380413323046997*^-32+0.*I,7.666286794556416*^-33+0.*I,2.2159812224470042*^-33+0.*I,6.371610422935155*^-34+0.*I,1.8224622372924855*^-34+0.*I,5.185822070848868*^-35+0.*I,1.4680792981373466*^-35+0.*I,4.1350127972288514*^-36+0.*I
-0.05521721501389645+0.*I,-0.13504312958680562+0.*I,-0.22856559374820448+0.*I,-0.3066492752767776+0.*I,-0.3411680864376774+0.*I,-0.3166429853096176+0.*I,-0.23533874898175686+0.*I,-0.11482394512037308+0.*I,0.01945321402987373+0.*I,0.14262614514507907+0.*I,0.23669328754943747+0.*I,0.2931989152147158+0.*I,0.3125983236800945+0.*I,0.30157825195107035+0.*I,0.2697760951732352+0.*I,0.22697239992369675+0.*I,0.18127556022289018+0.*I,0.13833956960695354+0.*I,0.10137215601595821+0.*I,0.07159965566603456+0.*I,0.04889394230535272+0.*I,0.03236313987235673+0.*I,0.02080770746156395+0.*I,0.01301875690429587+0.*I,0.007939182777618419+0.*I,0.004725508832654971+0.*I,0.002748684588839741+0.*I,0.0015641741025339986+0.*I,0.0008716894113527397+0.*I,0.0004761536214806696+0.*I,0.0002551516938532913+0.*I,0.00013422802100594925+0.*I,0.00006937170553591742+0.*I,0.000035244718361279245+0.*I,0.00001761310240487311+0.*I,8.662581933414999*^-6+0.*I,4.195192308450135*^-6+0.*I,2.0015120999185473*^-6+0.*I,9.411570233034049*^-7+0.*I,4.3636237878098637*^-7+0.*I,1.995661590505332*^-7+0.*I,9.006251888931968*^-8+0.*I,4.012112365826958*^-8+0.*I,1.764899022634578*^-8+0.*I,7.668718538098278*^-9+0.*I,3.2924052559603946*^-9+0.*I,1.3970638514516045*^-9+0.*I,5.860715629333225*^-10+0.*I,2.431251321298384*^-10+0.*I,9.976129820295463*^-11+0.*I,4.0499603090436115*^-11+0.*I,1.6270271183631376*^-11+0.*I,6.469770510503801*^-12+0.*I,2.5469698045166884*^-12+0.*I,9.928568527419863*^-13+0.*I,3.833195945151589*^-13+0.*I,1.46597749533965*^-13+0.*I,5.554727745364633*^-14+0.*I,2.0856519621235108*^-14+0.*I,7.761329976571002*^-15+0.*I,2.8629567452746834*^-15+0.*I,1.046994474629238*^-15+0.*I,3.796551353325127*^-16+0.*I,1.365248095893227*^-16+0.*I,4.869353851292259*^-17+0.*I,1.7227672645733875*^-17+0.*I,6.046911165320634*^-18+0.*I,2.105943233680061*^-18+0.*I,7.27810829769852*^-19+0.*I,2.496319727044728*^-19+0.*I,8.498479987160772*^-20+0.*I,2.872034714109713*^-20+0.*I,9.63589613391839*^-21+0.*I,3.2099169331207843*^-21+0.*I,1.0617901797717603*^-21+0.*I,3.4879445424011153*^-22+0.*I,1.1379624633236181*^-22+0.*I,3.6876883053703764*^-23+0.*I,1.1871010600301452*^-23+0.*I,3.796353658198871*^-24+0.*I,1.2062251474378149*^-24+0.*I,3.808106909547749*^-25+0.*I,1.194659911480233*^-25+0.*I,3.7245029702280963*^-26+0.*I,1.1540240177772762*^-26+0.*I,3.553993608530546*^-27+0.*I,1.0879418828994027*^-27+0.*I,3.310649674031724*^-28+0.*I,1.0015432578877727*^-28+0.*I,3.0123464072753933*^-29+0.*I,9.008404968137232*^-30+0.*I,2.6787185483465243*^-30+0.*I,7.92082149028246*^-31+0.*I,2.3291875794517817*^-31+0.*I,6.81171305065376*^-32+0.*I,1.9813072224405986*^-32+0.*I,5.732133508783935*^-33+0.*I,1.649584706639129*^-33+0.*I,4.7222733547019145*^-34+0.*I,1.3448369062821882*^-34+0.*I
0.10942194778117813+0.*I,0.22856559374820448+0.*I,0.31789699891108675+0.*I,0.3277411830280896+0.*I,0.24241283103692723+0.*I,0.0880457845844023+0.*I,-0.08207949440462015+0.*I,-0.21273604620367018+0.*I,-0.2681976173361317+0.*I,-0.24137054853371354+0.*I,-0.15012472793924891+0.*I,-0.02592666906632689+0.*I,0.09872300070000163+0.*I,0.19934581701960913+0.*I,0.2632955743672916+0.*I,0.28902930979983954+0.*I,0.28274770440282254+0.*I,0.25436203940424895+0.*I,0.21413319224325153+0.*I,0.1705635341277713+0.*I,0.12952664347525988+0.*I,0.09430162305577568+0.*I,0.06610251450288988+0.*I,0.04476357178848579+0.*I,0.02936550690764794+0.*I,0.01870488081989733+0.*I,0.01159109606706673+0.*I,0.006999645100372993+0.*I,0.0041252083654226305+0.*I,0.0023757180648891437+0.*I,0.0013385102095914017+0.*I,0.0007385384333558766+0.*I,0.00039944069690780115+0.*I,0.0002119460227955994+0.*I,0.00011041445177031947+0.*I,0.00005651456990481609+0.*I,0.000028438762468817367+0.*I,0.000014077880626493787+0.*I,6.859332316922853*^-6+0.*I,3.2913134200048134*^-6+0.*I,1.5559988806339071*^-6+0.*I,7.251005955680876*^-7+0.*I,3.33211737785976*^-7+0.*I,1.510596348390714*^-7+0.*I,6.758428114277036*^-8+0.*I,2.985148615985634*^-8+0.*I,1.3021310264576916*^-8+0.*I,5.611121580344284*^-9+0.*I,2.389360327432066*^-9+0.*I,1.005714669034987*^-9+0.*I,4.1854989977951174*^-10+0.*I,1.722707657460126*^-10+0.*I,7.014152122001876*^-11+0.*I,2.8257944660396612*^-11+0.*I,1.1266934986756129*^-11+0.*I,4.446974754286196*^-12+0.*I,1.737829208242687*^-12+0.*I,6.725418011530589*^-13+0.*I,2.578006369015616*^-13+0.*I,9.789955174700912*^-14+0.*I,3.6837137733883234*^-14+0.*I,1.3736404523204895*^-14+0.*I,5.0770697431508204*^-15+0.*I,1.860262909992419*^-15+0.*I,6.758067340838467*^-16+0.*I,2.4345642723224184*^-16+0.*I,8.698250072360984*^-17+0.*I,3.0825757555079236*^-17+0.*I,1.0837377424303294*^-17+0.*I,3.780234075902415*^-18+0.*I,1.3084313783258663*^-18+0.*I,4.494413166043662*^-19+0.*I,1.5322697775435534*^-19+0.*I,5.185451228941575*^-20+0.*I,1.742105144424744*^-20+0.*I,5.810917094975366*^-21+0.*I,1.92460753314858*^-21+0.*I,6.330095609330119*^-22+0.*I,2.0677171067638368*^-22+0.*I,6.708504869096392*^-23+0.*I,2.1619916199891406*^-23+0.*I,6.921731129178826*^-24+0.*I,2.201636753199713*^-24+0.*I,6.9579869075904755*^-25+0.*I,2.1850650534622914*^-25+0.*I,6.819034158144961*^-26+0.*I,2.1149159722349327*^-26+0.*I,6.519410121401035*^-27+0.*I,1.997564369529167*^-27+0.*I,6.084181108924634*^-28+0.*I,1.84222711494299*^-28+0.*I,5.545669447159316*^-29+0.*I,1.6598312725209298*^-29+0.*I,4.9397134979489366*^-30+0.*I,1.4618253130410016*^-30+0.*I,4.3020207887908365*^-31+0.*I,1.2590983038236838*^-31+0.*I,3.665076853473198*^-32+0.*I,1.0611297201801417*^-32+0.*I,3.0559123636884734*^-33+0.*I
-0.17704707434521003+0.*I,-0.3066492752767776+0.*I,-0.3277411830280896+0.*I,-0.21239531240474563+0.*I,-0.013786274739482456+0.*I,0.1704936384706935+0.*I,0.2573219370236092+0.*I,0.21883301783211836+0.*I,0.08655302752384986+0.*I,-0.07398914006106064+0.*I,-0.19777526226251754+0.*I,-0.24551705774263388+0.*I,-0.21158928506963495+0.*I,-0.11703752264825212+0.*I,0.004618258261475208+0.*I,0.12109113796390038+0.*I,0.20999270794638308+0.*I,0.2615108923776781+0.*I,0.27658507747598077+0.*I,0.262914568177884+0.*I,0.23081624531648398+0.*I,0.19011322435816821+0.*I,0.14841470657162642+0.*I,0.11060114902030421+0.*I,0.07909647635772449+0.*I,0.05450601551411946+0.*I,0.03631103441254911+0.*I,0.023447711279885233+0.*I,0.01470959279269391+0.*I,0.00898183090266047+0.*I,0.005346941740821521+0.*I,0.0031077372007559272+0.*I,0.0017657527498372457+0.*I,0.000981861676038707+0.*I,0.0005348636673985522+0.*I,0.0002856953559101827+0.*I,0.0001497576811106953+0.*I,0.00007709533666180578+0.*I,0.00003900499654946985+0.*I,0.000019406258198592756+0.*I,9.500537570918634*^-6+0.*I,4.57905904189705*^-6+0.*I,2.173934212517385*^-6+0.*I,1.0171015279669789*^-6+0.*I,4.691615308405881*^-7+0.*I,2.1345244611778716*^-7+0.*I,9.582309252597871*^-8+0.*I,4.246091495193389*^-8+0.*I,1.8578449716231823*^-8+0.*I,8.029216745940885*^-9+0.*I,3.4285901673550964*^-9+0.*I,1.4469876274257182*^-9+0.*I,6.037298955552092*^-10+0.*I,2.49095011872736*^-10+0.*I,1.0165816164609056*^-10+0.*I,4.1046832271691017*^-11+0.*I,1.640128166466322*^-11+0.*I,6.486834742866866*^-12+0.*I,2.5400182199379387*^-12+0.*I,9.848678772379448*^-13+0.*I,3.7821682103906095*^-13+0.*I,1.4388205508154838*^-13+0.*I,5.423171843929403*^-14+0.*I,2.0256110848052272*^-14+0.*I,7.498716445800043*^-15+0.*I,2.751791396237231*^-15+0.*I,1.001172298667186*^-15+0.*I,3.6118651976090335*^-16+0.*I,1.2922485019749643*^-16+0.*I,4.585773591709603*^-17+0.*I,1.6143195170096576*^-17+0.*I,5.6381033414818715*^-18+0.*I,1.9538792312520105*^-18+0.*I,6.719490119889066*^-19+0.*I,2.293506399343369*^-19+0.*I,7.77030678818061*^-20+0.*I,2.613358477454779*^-20+0.*I,8.726277533300117*^-21+0.*I,2.893167010627671*^-21+0.*I,9.52524950740954*^-22+0.*I,3.114442105453198*^-22+0.*I,1.0114086950731949*^-22+0.*I,3.2625407764435725*^-23+0.*I,1.0454596684610894*^-23+0.*I,3.328272352590285*^-24+0.*I,1.052756246800319*^-24+0.*I,3.308798928764274*^-25+0.*I,1.0334316428201788*^-25+0.*I,3.207718984966021*^-26+0.*I,9.895723274157*^-27+0.*I,3.0343669120393353*^-27+0.*I,9.248894507915475*^-28+0.*I,2.802488393608853*^-28+0.*I,8.442293096768124*^-29+0.*I,2.5285366941718095*^-29+0.*I,7.530074291444295*^-30+0.*I,2.2298656336176733*^-30+0.*I,6.566518675193515*^-31+0.*I,1.9230728236816654*^-31+0.*I,5.601272934358566*^-32+0.*I
0.24808682414846345+0.*I,0.3411680864376774+0.*I,0.24241283103692723+0.*I,0.013786274739482456+0.*I,-0.19307732519933368+0.*I,-0.25431736025697566+0.*I,-0.1517605898790841+0.*I,0.03376564042122852+0.*I,0.18819438195725863+0.*I,0.2335066613235449+0.*I,0.16014504959547132+0.*I,0.016057069161378303+0.*I,-0.12875899706025815+0.*I,-0.21744943672056197+0.*I,-0.22542847982093392+0.*I,-0.16073547250023373+0.*I,-0.0520695449589725+0.*I,0.06646949404389109+0.*I,0.16718414360330391+0.*I,0.23439473967956048+0.*I,0.2644640898205394+0.*I,0.2624707197319855+0.*I,0.23788925016064122+0.*I,0.20090634695412415+0.*I,0.16008261625700165+0.*I,0.12136475634493893+0.*I,0.08808286112217796+0.*I,0.06148278077477742+0.*I,0.04142502826026056+0.*I,0.027021019888101763+0.*I,0.01710536659244662+0.*I,0.01053054590905967+0.*I,0.006315751031908766+0.*I,0.0036959071273897763+0.*I,0.002113117560752141+0.*I,0.0011818180745949752+0.*I,0.0006472384459271572+0.*I,0.0003474405344385781+0.*I,0.0001829681206769698+0.*I,0.00009460008600292206+0.*I,0.0000480553693598548+0.*I,0.000024000164767195277+0.*I,0.000011791626605070702+0.*I,5.7025086946198964*^-6+0.*I,2.7159325771052964*^-6+0.*I,1.2745158416789198*^-6+0.*I,5.89580564653998*^-7+0.*I,2.6896674871373793*^-7+0.*I,1.2105591219678046*^-7+0.*I,5.377365167292243*^-8+0.*I,2.358326360019386*^-8+0.*I,1.0214927409996697*^-8+0.*I,4.371212895229408*^-9+0.*I,1.848566153144105*^-9+0.*I,7.727852390656973*^-10+0.*I,3.1944176871438313*^-10+0.*I,1.3060092325601857*^-10+0.*I,5.282381760822693*^-11+0.*I,2.1141935835393673*^-11+0.*I,8.375081124484877*^-12+0.*I,3.284401396802711*^-12+0.*I,1.275369488239056*^-12+0.*I,4.90472140944958*^-13+0.*I,1.8684162939764281*^-13+0.*I,7.05168834389668*^-14+0.*I,2.637235073240608*^-14+0.*I,9.774939007256305*^-15+0.*I,3.591362407323296*^-15+0.*I,1.3081341339491159*^-15+0.*I,4.724530604114635*^-16+0.*I,1.692160559627069*^-16+0.*I,6.011211023388844*^-17+0.*I,2.1182577652486755*^-17+0.*I,7.405408657341303*^-18+0.*I,2.5687849014214905*^-18+0.*I,8.842361495455935*^-19+0.*I,3.0208019222128953*^-19+0.*I,1.0243296062427546*^-19+0.*I,3.4480154293123617*^-20+0.*I,1.1522791940535464*^-20+0.*I,3.8234105641165926*^-21+0.*I,1.259775526152144*^-21+0.*I,4.122184823096549*^-22+0.*I,1.339663245681472*^-22+0.*I,4.324524634195078*^-23+0.*I,1.3867405081261593*^-23+0.*I,4.417785177474294*^-24+0.*I,1.3983117089330314*^-24+0.*I,4.397743145798874*^-25+0.*I,1.3744144139765695*^-25+0.*I,4.268763698928562*^-26+0.*I,1.3177008432427204*^-26+0.*I,4.0429159129296056*^-27+0.*I,1.2330135198509227*^-27+0.*I,3.738242770531508*^-28+0.*I,1.1267413569138507*^-28+0.*I,3.3765085156032477*^-29+0.*I,1.0060682783886884*^-29+0.*I,2.9807907616814477*^-30+0.*I,8.782289361079078*^-31+0.*I
-0.31093072398697374+0.*I,-0.3166429853096176+0.*I,-0.0880457845844023+0.*I,0.1704936384706935+0.*I,0.25431736025697566+0.*I,0.12566221777549297+0.*I,-0.08838701717303088+0.*I,-0.22188450602642174+0.*I,-0.19315614731625355+0.*I,-0.04016794117014749+0.*I,0.1295162326691219+0.*I,0.2174089431213506+0.*I,0.186250975902554+0.*I,0.0649148088507289+0.*I,-0.08132980227977181+0.*I,-0.18900154047024295+0.*I,-0.22227285750419126+0.*I,-0.1793186535094685+0.*I,-0.08341725305439014+0.*I,0.03213165213010348+0.*I,0.13733289677476074+0.*I,0.21303183787960275+0.*I,0.25241326613927473+0.*I,0.2584168351739877+0.*I,0.23952994659758195+0.*I,0.2058474470677048+0.*I,0.16635873021566497+0.*I,0.12762883418099844+0.*I,0.0935762409828838+0.*I,0.06589885291457333+0.*I,0.04474931328116789+0.*I,0.029393937271075605+0.*I,0.018724788006021082+0.*I,0.011593325529799749+0.*I,0.006989346541013768+0.*I,0.004109594256168663+0.*I,0.002359957567704106+0.*I,0.0013252267931912665+0.*I,0.0007285109207082365+0.*I,0.00039243852631937014+0.*I,0.00020734097546136216+0.*I,0.00010752989012418418+0.*I,0.00005478047359632892+0.*I,0.000027432802405441222+0.*I,0.000013512457846594097+0.*I,6.550429008707104*^-6+0.*I,3.126868294801364*^-6+0.*I,1.470519953526638*^-6+0.*I,6.816419045996466*^-7+0.*I,3.115696703935875*^-7+0.*I,1.4048997971679857*^-7+0.*I,6.251639096587778*^-8+0.*I,2.7463648145013848*^-8+0.*I,1.1914804008261053*^-8+0.*I,5.106465621475578*^-9+0.*I,2.1626777967271837*^-9+0.*I,9.053726512914486*^-10+0.*I,3.7475463145715896*^-10+0.*I,1.5341395280202607*^-10+0.*I,6.212832698825239*^-11+0.*I,2.489574534700576*^-11+0.*I,9.873482281156148*^-12+0.*I,3.876323733868849*^-12+0.*I,1.5068321347676893*^-12+0.*I,5.800851280424306*^-13+0.*I,2.2119939901794962*^-13+0.*I,8.356443919083036*^-14+0.*I,3.1281046653224794*^-14+0.*I,1.1604787147043509*^-14+0.*I,4.267370528129183*^-15+0.*I,1.5556766081936928*^-15+0.*I,5.623156001025612*^-16+0.*I,2.0156099592119894*^-16+0.*I,7.165721220084006*^-17+0.*I,2.5269681498843237*^-17+0.*I,8.840635476243512*^-18+0.*I,3.068785785232693*^-18+0.*I,1.0570675982922959*^-18+0.*I,3.613633128410397*^-19+0.*I,1.2261422454398658*^-19+0.*I,4.129923324937164*^-20+0.*I,1.381003619228981*^-20+0.*I,4.585062794950991*^-21+0.*I,1.5116038961876799*^-21+0.*I,4.948986542464754*^-22+0.*I,1.609245036374927*^-22+0.*I,5.197525381953244*^-23+0.*I,1.6675519204891625*^-23+0.*I,5.315071405624401*^-24+0.*I,1.683152564268869*^-24+0.*I,5.296136324427577*^-25+0.*I,1.6559675236362482*^-25+0.*I,5.1456025449069957*^-26+0.*I,1.5890820182422617*^-26+0.*I,4.877699973022462*^-27+0.*I,1.4882461591449878*^-27+0.*I,4.513950675508349*^-28+0.*I,1.3611057718838968*^-28+0.*I,4.0804674176941067*^-29+0.*I,1.2162984820855002*^-29+0.*I
0.35574020711657667+0.*I,0.23533874898175686+0.*I,-0.08207949440462015+0.*I,-0.2573219370236092+0.*I,-0.1517605898790841+0.*I,0.08838701717303088+0.*I,0.22678704517231124+0.*I,0.15839228894217572+0.*I,-0.03521749830133683+0.*I,-0.19061029530931006+0.*I,-0.2000379294122961+0.*I,-0.07337481644348533+0.*I,0.09437031924850357+0.*I,0.1998840691018008+0.*I,0.1922095771738751+0.*I,0.08764560781008346+0.*I,-0.054332725946597965+0.*I,-0.168979981030214+0.*I,-0.21515016813541282+0.*I,-0.18520436410367694+0.*I,-0.09846039323026594+0.*I,0.01319360691710225+0.*I,0.11913535085743794+0.*I,0.19853908530382616+0.*I,0.2427840951866095+0.*I,0.2534255015562426+0.*I,0.23817227254181117+0.*I,0.2068782175021245+0.*I,0.1686479021024057+0.*I,0.13033009621170896+0.*I,0.09615599710258797+0.*I,0.06808652786953077+0.*I,0.0464590975100642+0.*I,0.030649433859945605+0.*I,0.019601025324409063+0.*I,0.012179031164294512+0.*I,0.007366348387923267+0.*I,0.004344218721262115+0.*I,0.0025015813857974445+0.*I,0.001408351272055743+0.*I,0.0007760501965802288+0.*I,0.00041897623110697025+0.*I,0.00022182223875613576+0.*I,0.00011526452825944004+0.*I,0.00005882858734441207+0.*I,0.00002951095204562866+0.*I,0.000014559822718003213+0.*I,7.069065444993973*^-6+0.*I,3.379382449994525*^-6+0.*I,1.5914827611574625*^-6+0.*I,7.386876069403198*^-7+0.*I,3.3806927601653247*^-7+0.*I,1.5262172628351168*^-7+0.*I,6.799260582381506*^-8+0.*I,2.99020330069617*^-8+0.*I,1.2986242413480203*^-8+0.*I,5.571240242116357*^-9+0.*I,2.361783888953319*^-9+0.*I,9.89636442335493*^-10+0.*I,4.099958249094738*^-10+0.*I,1.679834486839307*^-10+0.*I,6.808421908631732*^-11+0.*I,2.730384855975091*^-11+0.*I,1.0836736688206225*^-11+0.*I,4.2576096042644834*^-12+0.*I,1.6562165593473168*^-12+0.*I,6.380281621814584*^-13+0.*I,2.4345454797353345*^-13+0.*I,9.203049513178524*^-14+0.*I,3.447138936786753*^-14+0.*I,1.2795973783135457*^-14+0.*I,4.708114060708165*^-15+0.*I,1.7173096129649824*^-15+0.*I,6.210758326521652*^-16+0.*I,2.227404614644796*^-16+0.*I,7.922712055084368*^-17+0.*I,2.795301135322794*^-17+0.*I,9.784102483702385*^-18+0.*I,3.3978705871219983*^-18+0.*I,1.1709547110698073*^-18+0.*I,4.00472811711856*^-19+0.*I,1.3594281602830595*^-19+0.*I,4.580773545887079*^-20+0.*I,1.532386362498406*^-20+0.*I,5.089683384811945*^-21+0.*I,1.6786148797309366*^-21+0.*I,5.497847201502085*^-22+0.*I,1.7883717444000777*^-22+0.*I,5.778132866618337*^-23+0.*I,1.854478297806145*^-23+0.*I,5.912883457314696*^-24+0.*I,1.873087200387851*^-24+0.*I,5.895688966266447*^-25+0.*I,1.8440166428068615*^-25+0.*I,5.73170332692557*^-26+0.*I,1.7706191795899196*^-26+0.*I,5.436537201720893*^-27+0.*I,1.659233948586562*^-27+0.*I,5.0339914798737825*^-28+0.*I,1.518335283360868*^-28+0.*I
-0.3768156001415124+0.*I,-0.11482394512037308+0.*I,0.21273604620367018+0.*I,0.21883301783211836+0.*I,-0.03376564042122852+0.*I,-0.22188450602642174+0.*I,-0.15839228894217572+0.*I,0.05901099899720204+0.*I,0.206632395278284+0.*I,0.161969879325282+0.*I,-0.015933946560756262+0.*I,-0.1730389976375731+0.*I,-0.196031359115867+0.*I,-0.08312088893413751+0.*I,0.07908196318172878+0.*I,0.1885279460410037+0.*I,0.19005930564381643+0.*I,0.0943195551530304+0.*I,-0.043074321100426916+0.*I,-0.15828525599395923+0.*I,-0.20875895395447383+0.*I,-0.18451364961352362+0.*I,-0.10280361370656461+0.*I,0.005649872117871922+0.*I,0.11045540987294604+0.*I,0.19037942784327047+0.*I,0.23613135039239302+0.*I,0.24862659323156594+0.*I,0.2351171944235529+0.*I,0.20521476174985465+0.*I,0.16795629080078361+0.*I,0.13023209595222857+0.*I,0.09636361010684105+0.*I,0.06840865640129791+0.*I,0.04678579824795598+0.*I,0.03092866209968127+0.*I,0.01981668789537587+0.*I,0.01233415020350443+0.*I,0.007471938797643073+0.*I,0.0044129138077229485+0.*I,0.0025445771243768817+0.*I,0.0014343626174159764+0.*I,0.0007913141548602779+0.*I,0.0004276884811531604+0.*I,0.00022666965091181526+0.*I,0.00011789840041315492+0.*I,0.00006022832720515969+0.*I,0.000030239459921818007+0.*I,0.000014931568742417687+0.*I,7.255237338829682*^-6+0.*I,3.4709663424802672*^-6+0.*I,1.6357724161803938*^-6+0.*I,7.597579155083379*^-7+0.*I,3.47936692226004*^-7+0.*I,1.5717322098048768*^-7+0.*I,7.006158282576497*^-8+0.*I,3.082933874162893*^-8+0.*I,1.3396214641401278*^-8+0.*I,5.750109005472967*^-9+0.*I,2.438827196383827*^-9+0.*I,1.0224094438802835*^-9+0.*I,4.237688349526562*^-10+0.*I,1.7370368846989537*^-10+0.*I,7.043279979376512*^-11+0.*I,2.8257365299458238*^-11+0.*I,1.1219651016811181*^-11+0.*I,4.409747720172598*^-12+0.*I,1.7160362976540763*^-12+0.*I,6.613102928152882*^-13+0.*I,2.52426139551702*^-13+0.*I,9.545404892963449*^-14+0.*I,3.5765388158960564*^-14+0.*I,1.3280507412742177*^-14+0.*I,4.8878885243650105*^-15+0.*I,1.7834129546560923*^-15+0.*I,6.451684692573227*^-16+0.*I,2.3144572584107716*^-16+0.*I,8.234590076288545*^-17+0.*I,2.906105940816058*^-17+0.*I,1.0174553759254642*^-17+0.*I,3.534351091491773*^-18+0.*I,1.2182838753746254*^-18+0.*I,4.1675820922507946*^-19+0.*I,1.415035756511729*^-19+0.*I,4.769220528799601*^-20+0.*I,1.5957755075070375*^-20+0.*I,5.301354164752314*^-21+0.*I,1.7487887342762477*^-21+0.*I,5.728843359955288*^-22+0.*I,1.8638799856532286*^-22+0.*I,6.023258050944462*^-23+0.*I,1.9335148532904132*^-23+0.*I,6.16602058225035*^-24+0.*I,1.9536271843480157*^-24+0.*I,6.150274692855502*^-25+0.*I,1.9239745204141502*^-25+0.*I,5.981237482819805*^-26+0.*I,1.8480076254922358*^-26+0.*I,5.675062545934898*^-27+0.*I,1.73230396427274*^-27+0.*I
