0.5606186145072345+0.*I,0.6031351920364055+0.*I,0.4588247405383477+0.*I,0.284992450882976+0.*I,0.1533029515469393+0.*I,0.07375860089677323+0.*I,0.03239546370866571+0.*I,0.01317292856430698+0.*I,0.005010539602440841+0.*I,0.0017968441094191618+0.*I,0.0006113044483824691+0.*I,0.00019829345023428103+0.*I,0.0000615835758006449+0.*I,0.000018375551486398387+0.*I,5.283521998829531*^-6+0.*I,1.4676586088873074*^-6+0.*I,3.947409763111365*^-7+0.*I,1.0299945010878137*^-7+0.*I,2.6118354334562847*^-8+0.*I,6.446383891870022*^-9+0.*I,1.5507733279428818*^-9+0.*I,3.640707859966921*^-10+0.*I,8.350676252863732*^-11+0.*I,1.8732894390574516*^-11+0.*I,4.113830746582628*^-12+0.*I,8.851636507026352*^-13+0.*I,1.8676008081422534*^-13+0.*I,3.86677878325236*^-14+0.*I,7.861718101003096*^-15+0.*I,1.570600112117924*^-15+0.*I,3.0849785778923627*^-16+0.*I,5.960990937850079*^-17+0.*I,1.1336803740368553*^-17+0.*I,2.1231506658983107*^-18+0.*I,3.9173151449916544*^-19+0.*I,7.123634775005609*^-20+0.*I,1.2773136427149392*^-20+0.*I,2.259143638486239*^-21+0.*I,3.94274965329885*^-22+0.*I,6.79225613278623*^-23+0.*I,1.1553969447765588*^-23+0.*I,1.9412722315018202*^-24+0.*I,3.222618923605566*^-25+0.*I,5.287153034735532*^-26+0.*I,8.575169213543856*^-27+0.*I,1.3752561562182707*^-27+0.*I,2.1814830241484693*^-28+0.*I,3.423340236675412*^-29+0.*I,5.3158975424457415*^-30+0.*I,8.170068874788535*^-31+0.*I,1.243047920648958*^-31+0.*I,1.8726212151360765*^-32+0.*I,2.7938007095143416*^-33+0.*I,4.128617455362921*^-34+0.*I,6.044423986537548*^-35+0.*I,8.768407633629174*^-36+0.*I,1.2605900470872126*^-36+0.*I,1.7963195723067862*^-37+0.*I,2.537562577694343*^-38+0.*I,3.554167661779457*^-39+0.*I,4.936389748538022*^-40+0.*I,6.799730184624473*^-41+0.*I,9.290583506298269*^-42+0.*I,1.2592729437862408*^-42+0.*I,1.6934681821177695*^-43+0.*I,2.2597870671629*^-44+0.*I,2.992558899490855*^-45+0.*I,3.9332582427441346*^-46+0.*I,5.131509780468759*^-47+0.*I,6.646113771859244*^-48+0.*I,8.546059405587891*^-49+0.*I,1.0911485726428688*^-49+0.*I,1.3834542330973602*^-50+0.*I,1.742009513147217*^-51+0.*I,2.1786216664137544*^-52+0.*I,2.7064396201892054*^-53+0.*I,3.3399402865169893*^-54+0.*I,4.0948735531506704*^-55+0.*I,4.988159709225737*^-56+0.*I,6.037733786465084*^-57+0.*I,7.262332397763293*^-58+0.*I,8.68122013791922*^-59+0.*I,1.0313854463064136*^-59+0.*I,1.2179490150905365*^-60+0.*I,1.4296726905153273*^-61+0.*I,1.6683006323859751*^-62+0.*I,1.9354067201293226*^-63+0.*I,2.2323370857817194*^-64+0.*I,2.5601510760594188*^-65+0.*I,2.919562297222993*^-66+0.*I,3.3108815807790465*^-67+0.*I,3.733963836445913*^-68+0.*I,4.188160820052033*^-69+0.*I,4.6722818293105266*^-70+0.*I,5.184564243990006*^-71+0.*I,5.722655646720629*^-72+0.*I,6.283608998358809*^-73+0.*I,6.863892003409545*^-74+0.*I,7.459411396436019*^-75+0.*I,8.065552423347193*^-76+0.*I
-0.6031351920364055+0.*I,-0.08825755631441339+0.*I,0.3593405638194936+0.*I,0.48810185928814714+0.*I,0.4050556562354902+0.*I,0.26344346474323155+0.*I,0.14581864331910868+0.*I,0.07153839445858906+0.*I,0.03186813613537228+0.*I,0.013098504406641067+0.*I,0.005024455013209238+0.*I,0.0018141357235628573+0.*I,0.0006206546681286726+0.*I,0.00020227361116054578+0.*I,0.00006307080060498891+0.*I,0.000018884028805542747+0.*I,5.445956823370186*^-6+0.*I,1.516747947309838*^-6+0.*I,4.088905218465011*^-7+0.*I,1.0691199795799916*^-7+0.*I,2.7160723247410034*^-8+0.*I,6.7148547260006574*^-9+0.*I,1.6178035468889911*^-9+0.*I,3.8033079171002647*^-10+0.*I,8.734624707119262*^-11+0.*I,1.961686043648126*^-11+0.*I,4.312543008229087*^-12+0.*I,9.288335444418217*^-13+0.*I,1.9615276025787473*^-13+0.*I,4.064693528460261*^-14+0.*I,8.270637173162145*^-15+0.*I,1.6535127321939464*^-15+0.*I,3.2500799717133466*^-16+0.*I,6.284081168131452*^-17+0.*I,1.1958549481615912*^-17+0.*I,2.2408760747685967*^-18+0.*I,4.136762522255911*^-19+0.*I,7.526548153615191*^-20+0.*I,1.3502120420264285*^-20+0.*I,2.38917265036185*^-21+0.*I,4.1714978934004486*^-22+0.*I,7.18930060481797*^-23+0.*I,1.2234180147444377*^-23+0.*I,2.0563313102893224*^-24+0.*I,3.4148455775279342*^-25+0.*I,5.604443006790638*^-26+0.*I,9.092748680373721*^-27+0.*I,1.4587197944946346*^-27+0.*I,2.314569206483178*^-28+0.*I,3.633231518308915*^-29+0.*I,5.643379200307527*^-30+0.*I,8.675673924331909*^-31+0.*I,1.3203095733731013*^-31+0.*I,1.9895003537332783*^-32+0.*I,2.9688735812093237*^-33+0.*I,4.388330881204872*^-34+0.*I,6.426056284885245*^-35+0.*I,9.323991137922205*^-36+0.*I,1.3407361490085975*^-36+0.*I,1.9109016897878087*^-37+0.*I,2.699938842269417*^-38+0.*I,3.7822895156840676*^-39+0.*I,5.254161210228596*^-40+0.*I,7.238694593133673*^-41+0.*I,9.891993692372485*^-42+0.*I,1.3410060338500381*^-42+0.*I,1.803664585733349*^-43+0.*I,2.4071995146063234*^-44+0.*I,3.1882410702800696*^-45+0.*I,4.191050696633509*^-46+0.*I,5.468595911733557*^-47+0.*I,7.083647667832514*^-48+0.*I,9.109865301926444*^-49+0.*I,1.1632826026975928*^-49+0.*I,1.475094790388586*^-50+0.*I,1.8576247839767194*^-51+0.*I,2.3234869906400843*^-52+0.*I,2.886731473305344*^-53+0.*I,3.5628298481936647*^-54+0.*I,4.368617052355456*^-55+0.*I,5.322182289391838*^-56+0.*I,6.442703233565433*^-57+0.*I,7.750218745733317*^-58+0.*I,9.265336936605263*^-59+0.*I,1.1008877390014254*^-59+0.*I,1.300144869402267*^-60+0.*I,1.526296505880826*^-61+0.*I,1.7812108641447644*^-62+0.*I,2.06657471405194*^-63+0.*I,2.3838319141008054*^-64+0.*I,2.7341202441908724*^-65+0.*I,3.1182083037833285*^-66+0.*I,3.5364344405285795*^-67+0.*I,3.9886498126355096*^-68+0.*I,4.4741677547294963*^-69+0.*I,4.991721602205429*^-70+0.*I,5.53943302694048*^-71+0.*I,6.114792745343092*^-72+0.*I,6.714655179974588*^-73+0.*I,7.335248294675824*^-74+0.*I
0.4588247405383477+0.*I,-0.3593405638194936+0.*I,-0.3616197197834468+0.*I,0.06878540466304883+0.*I,0.3821411342021368+0.*I,0.440039134364647+0.*I,0.3453684368933734+0.*I,0.21838009679731196+0.*I,0.11883365157945457+0.*I,0.05763806319037324+0.*I,0.025466878383521754+0.*I,0.010403318889174088+0.*I,0.003971554465745861+0.*I,0.0014284889556688113+0.*I,0.00048718564338883874+0.*I,0.00015836080041170883+0.*I,0.00004926918116056282+0.*I,0.000014723716173328941+0.*I,4.2391873987441034*^-6+0.*I,1.1789537626807037*^-6+0.*I,3.174233689294745*^-7+0.*I,8.290259184591442*^-8+0.*I,2.1039937379887625*^-8+0.*I,5.196908632535079*^-9+0.*I,1.2510573522657596*^-9+0.*I,2.938924283522381*^-10+0.*I,6.744890312715798*^-11+0.*I,1.5138700626587535*^-11+0.*I,3.3261570485370337*^-12+0.*I,7.160060000620824*^-13+0.*I,1.5113315822232383*^-13+0.*I,3.1303649694748855*^-14+0.*I,6.366806675838809*^-15+0.*I,1.272383657008335*^-15+0.*I,2.500020429910388*^-16+0.*I,4.8321493638562585*^-17+0.*I,9.192534904212792*^-18+0.*I,1.7220319157988503*^-18+0.*I,3.1780312169646707*^-19+0.*I,5.780622730225041*^-20+0.*I,1.0367365373278617*^-20+0.*I,1.8340346315511397*^-21+0.*I,3.20148199687126*^-22+0.*I,5.516324091250382*^-23+0.*I,9.385270271729153*^-24+0.*I,1.577168644610243*^-24+0.*I,2.6186249200431535*^-25+0.*I,4.2969038591304717*^-26+0.*I,6.970161470524044*^-27+0.*I,1.1180141221097412*^-27+0.*I,1.7736847209473043*^-28+0.*I,2.783768105501475*^-29+0.*I,4.32330277976358*^-30+0.*I,6.6453616964094695*^-31+0.*I,1.0111895123370712*^-31+0.*I,1.5235069669038393*^-32+0.*I,2.2732013167367934*^-33+0.*I,3.359644628781724*^-34+0.*I,4.919128693521459*^-35+0.*I,7.13669267692442*^-36+0.*I,1.0261046395519641*^-36+0.*I,1.4623168438491302*^-37+0.*I,2.0659195483504993*^-38+0.*I,2.893823539416204*^-39+0.*I,4.019572383594582*^-40+0.*I,5.537289325337888*^-41+0.*I,7.566282484660092*^-42+0.*I,1.0256339966369615*^-42+0.*I,1.3793724606266618*^-43+0.*I,1.8407849140656396*^-44+0.*I,2.4378576252774896*^-45+0.*I,3.2044044258242983*^-46+0.*I,4.180886864725805*^-47+0.*I,5.415251336365004*^-48+0.*I,6.963756524633495*^-49+0.*I,8.891758281124479*^-50+0.*I,1.1274412947596952*^-50+0.*I,1.4197254497425917*^-51+0.*I,1.7756596109957625*^-52+0.*I,2.205970333963406*^-53+0.*I,2.722468434236719*^-54+0.*I,3.338004310252673*^-55+0.*I,4.066384464672124*^-56+0.*I,4.922244713949944*^-57+0.*I,5.920876472608972*^-58+0.*I,7.078003707574749*^-59+0.*I,8.409509668004269*^-60+0.*I,9.931114278893391*^-61+0.*I,1.1658005095016318*^-61+0.*I,1.3604426879707805*^-62+0.*I,1.5783237117936955*^-63+0.*I,1.8205436998104872*^-64+0.*I,2.087968949494446*^-65+0.*I,2.3811838044362524*^-66+0.*I,2.700444080830983*^-67+0.*I,3.0456336578813085*^-68+0.*I,3.4162258873610426*^-69+0.*I,3.811251465932478*^-70+0.*I,4.229274335472986*^-71+0.*I,4.668377029868631*^-72+0.*I
-0.284992450882976+0.*I,0.48810185928814714+0.*I,-0.06878540466304883+0.*I,-0.40434479393027384+0.*I,-0.15793497749249713+0.*I,0.2200180436489605+0.*I,0.4077886275504838+0.*I,0.3919153156237558+0.*I,0.282801375054821+0.*I,0.17002486038152315+0.*I,0.08941383590997148+0.*I,0.04230348611277147+0.*I,0.018339763303183387+0.*I,0.007380164332698847+0.*I,0.002783280415768161+0.*I,0.000991016661210066+0.*I,0.00033511575302863097+0.*I,0.00010813868379250505+0.*I,0.00003343248088358866+0.*I,9.93609733328692*^-6+0.*I,2.8468825224739985*^-6+0.*I,7.883295306644513*^-7+0.*I,2.1143262264453118*^-7+0.*I,5.5028962879316394*^-8+0.*I,1.392200089007057*^-8+0.*I,3.4289444006146826*^-9+0.*I,8.233009572853442*^-10+0.*I,1.9294352116260615*^-10+0.*I,4.418349929887695*^-11+0.*I,9.89670560099733*^-12+0.*I,2.170335570449945*^-12+0.*I,4.663813160640154*^-13+0.*I,9.828264052407385*^-14+0.*I,2.0325985875104964*^-14+0.*I,4.1281964684962435*^-15+0.*I,8.239053346172617*^-16+0.*I,1.6168075206602707*^-16+0.*I,3.121350602923819*^-17+0.*I,5.931357624405607*^-18+0.*I,1.1099499362337794*^-18+0.*I,2.0463895641640776*^-19+0.*I,3.718736356661979*^-20+0.*I,6.6634737335371286*^-21+0.*I,1.1777976608611175*^-21+0.*I,2.054296018844057*^-22+0.*I,3.5369359627787654*^-23+0.*I,6.0131933443763046*^-24+0.*I,1.009791997117128*^-24+0.*I,1.6754673786905702*^-25+0.*I,2.7475133665090804*^-26+0.*I,4.454103641117475*^-27+0.*I,7.140179661065744*^-28+0.*I,1.132121503832201*^-28+0.*I,1.7758824088288153*^-29+0.*I,2.7565795954256582*^-30+0.*I,4.235024357592333*^-31+0.*I,6.441105741902562*^-32+0.*I,9.699975278221145*^-33+0.*I,1.4466707446457057*^-33+0.*I,2.1371631409697877*^-34+0.*I,3.1278909641922287*^-35+0.*I,4.536132364821912*^-36+0.*I,6.519459288817398*^-37+0.*I,9.287486983575144*^-38+0.*I,1.3116328383679337*^-38+0.*I,1.8366150374929985*^-39+0.*I,2.550222026112817*^-40+0.*I,3.5119798053455536*^-41+0.*I,4.797316765323369*^-42+0.*I,6.5009001966221624*^-43+0.*I,8.740411846205207*^-44+0.*I,1.1660749883434022*^-44+0.*I,1.543862171432008*^-45+0.*I,2.028746454243407*^-46+0.*I,2.64625987487864*^-47+0.*I,3.42664837252868*^-48+0.*I,4.4053907809280724*^-49+0.*I,5.623690489900126*^-50+0.*I,7.128915205159929*^-51+0.*I,8.974956711221791*^-52+0.*I,1.1222479572695319*^-52+0.*I,1.3939025568098963*^-53+0.*I,1.7198939616041873*^-54+0.*I,2.108308329404534*^-55+0.*I,2.5678304003779597*^-56+0.*I,3.1076631592597574*^-57+0.*I,3.737417992016876*^-58+0.*I,4.466973849444214*^-59+0.*I,5.306304882394803*^-60+0.*I,6.265277136186165*^-61+0.*I,7.353416155165619*^-62+0.*I,8.579648710903949*^-63+0.*I,9.952023276906389*^-64+0.*I,1.147741526806093*^-64+0.*I,1.3161224376973723*^-65+0.*I,1.5007072501287947*^-66+0.*I,1.701651169595711*^-67+0.*I,1.9188752236558046*^-68+0.*I,2.1520421186866488*^-69+0.*I,2.400536178117027*^-70+0.*I
0.1533029515469393+0.*I,-0.4050556562354902+0.*I,0.3821411342021368+0.*I,0.15793497749249713+0.*I,-0.31938851481802055+0.*I,-0.29492863403423325+0.*I,0.05010858051873713+0.*I,0.3286348194365505+0.*I,0.4021276251768392+0.*I,0.33274240162599494+0.*I,0.22073547708405106+0.*I,0.125520208991685+0.*I,0.06340647388300595+0.*I,0.02909254534582393+0.*I,0.012309842826717573+0.*I,0.004856712319110587+0.*I,0.0018017680771829528+0.*I,0.0006326889336829121+0.*I,0.00021141281174902964+0.*I,0.00006751958386587004+0.*I,0.000020686395896112234+0.*I,6.0989696248237305*^-6+0.*I,1.735062930110482*^-6+0.*I,4.77396474885336*^-7+0.*I,1.2730396657599902*^-7+0.*I,3.296050671073054*^-8+0.*I,8.2992576959777*^-9+0.*I,2.0352105800329484*^-9+0.*I,4.867134152238642*^-10+0.*I,1.1364408337904256*^-10+0.*I,2.5935779032109018*^-11+0.*I,5.791082991783637*^-12+0.*I,1.2662574315464506*^-12+0.*I,2.713616518390548*^-13+0.*I,5.703928620009111*^-14+0.*I,1.1768175218808601*^-14+0.*I,2.3847448001470706*^-15+0.*I,4.749424616557915*^-16+0.*I,9.301589483593654*^-17+0.*I,1.7923594707163948*^-17+0.*I,3.3998906345511392*^-18+0.*I,6.351605287499267*^-19+0.*I,1.1691641886266502*^-19+0.*I,2.1214099540688194*^-20+0.*I,3.795808363838712*^-21+0.*I,6.700059689617153*^-22+0.*I,1.1670872113887388*^-22+0.*I,2.0069001660970182*^-23+0.*I,3.407895457240804*^-24+0.*I,5.71634176729523*^-25+0.*I,9.474331814480626*^-26+0.*I,1.552024710894015*^-26+0.*I,2.5135293830016942*^-27+0.*I,4.0254563283420337*^-28+0.*I,6.376726869112129*^-29+0.*I,9.993860561157226*^-30+0.*I,1.5499530634751221*^-30+0.*I,2.3792860534174852*^-31+0.*I,3.6158213251203127*^-32+0.*I,5.441082280427236*^-33+0.*I,8.108941948291093*^-34+0.*I,1.1970797361156261*^-34+0.*I,1.750807665424502*^-35+0.*I,2.5373710052876134*^-36+0.*I,3.644439526143241*^-37+0.*I,5.188565931848882*^-38+0.*I,7.323184174234141*^-39+0.*I,1.0248317278697123*^-39+0.*I,1.4222206744879128*^-40+0.*I,1.957505696503262*^-41+0.*I,2.6725052996423002*^-42+0.*I,3.619675535767066*^-43+0.*I,4.864189857496294*^-44+0.*I,6.486251891785525*^-45+0.*I,8.583621004914506*^-46+0.*I,1.1274315339648714*^-46+0.*I,1.4699439480052996*^-47+0.*I,1.902606441901196*^-48+0.*I,2.44500666591548*^-49+0.*I,3.119881188348829*^-50+0.*I,3.953354772050483*^-51+0.*I,4.975135093148273*^-52+0.*I,6.218645825724778*^-53+0.*I,7.721079867334129*^-54+0.*I,9.523353943964514*^-55+0.*I,1.166994605547448*^-55+0.*I,1.4208598333176867*^-56+0.*I,1.718986998247269*^-57+0.*I,2.066652813927291*^-58+0.*I,2.469276869550687*^-59+0.*I,2.932326440610031*^-60+0.*I,3.461204377513089*^-61+0.*I,4.061121116580777*^-62+0.*I,4.7369526057425363*^-63+0.*I,5.4930867094998855*^-64+0.*I,6.333261420816349*^-65+0.*I,7.260398924539293*^-66+0.*I,8.276440189107217*^-67+0.*I,9.382185272321804*^-68+0.*I,1.0577144877040003*^-68+0.*I
-0.07375860089677323+0.*I,0.26344346474323155+0.*I,-0.440039134364647+0.*I,0.2200180436489605+0.*I,0.29492863403423325+0.*I,-0.17748959381713647+0.*I,-0.34718685702601393+0.*I,-0.09882669535676711+0.*I,0.22221828122490936+0.*I,0.37941857619761815+0.*I,0.36436642644074696+0.*I,0.2670121235369187+0.*I,0.1639483347633586+0.*I,0.08824257987226097+0.*I,0.04275850871155708+0.*I,0.018984564737366212+0.*I,0.007821067005449387+0.*I,0.003017890750046422+0.*I,0.001098725868820065+0.*I,0.0003796337634302102+0.*I,0.00012508632857569213+0.*I,0.000039460100715752624+0.*I,0.000011958516332214599+0.*I,3.4916057914109144*^-6+0.*I,9.846735552437642*^-7+0.*I,2.6880204483459387*^-7+0.*I,7.116850025385704*^-8+0.*I,1.8306531878710513*^-8+0.*I,4.582014994254006*^-9+0.*I,1.1174835823176465*^-9+0.*I,2.6589154335050053*^-10+0.*I,6.179330704929605*^-11+0.*I,1.4041175858405944*^-11+0.*I,3.1225140962713587*^-12+0.*I,6.801813194967882*^-13+0.*I,1.4524974780162774*^-13+0.*I,3.042995619625891*^-14+0.*I,6.258698296703497*^-15+0.*I,1.2645733009314384*^-15+0.*I,2.5115568318667616*^-16+0.*I,4.9059793130236806*^-17+0.*I,9.430210562467252*^-18+0.*I,1.7846181434226354*^-18+0.*I,3.326595111339221*^-19+0.*I,6.110491308237568*^-20+0.*I,1.1065065330243181*^-20+0.*I,1.976076693441479*^-21+0.*I,3.481663708328151*^-22+0.*I,6.054188769606991*^-23+0.*I,1.0393370091851144*^-23+0.*I,1.7620821639780314*^-24+0.*I,2.951186413117328*^-25+0.*I,4.8841959401747513*^-26+0.*I,7.989782123971014*^-27+0.*I,1.2922196152267047*^-27+0.*I,2.066837611633673*^-28+0.*I,3.270012613880177*^-29+0.*I,5.1187693439435446*^-30+0.*I,7.929588397965967*^-31+0.*I,1.215896752266814*^-31+0.*I,1.845831664661987*^-32+0.*I,2.7747365983888293*^-33+0.*I,4.131116182337085*^-34+0.*I,6.092670248676864*^-35+0.*I,8.902629678754411*^-36+0.*I,1.2890576272227809*^-36+0.*I,1.8498656046966882*^-37+0.*I,2.631417866313076*^-38+0.*I,3.7109654119224056*^-39+0.*I,5.189133905898825*^-40+0.*I,7.195733485485033*^-41+0.*I,9.896618283008687*^-42+0.*I,1.3501672286838023*^-42+0.*I,1.827397051525414*^-43+0.*I,2.4540125764209484*^-44+0.*I,3.270178042258949*^-45+0.*I,4.324813952791122*^-46+0.*I,5.676936552028661*^-47+0.*I,7.397056801869358*^-48+0.*I,9.568602532046433*^-49+0.*I,1.2289317119495744*^-49+0.*I,1.567257749868595*^-50+0.*I,1.9848564022042948*^-51+0.*I,2.496520529314872*^-52+0.*I,3.118881327524501*^-53+0.*I,3.870431847331145*^-54+0.*I,4.771501255012134*^-55+0.*I,5.844170708263663*^-56+0.*I,7.112122292720367*^-57+0.*I,8.600413533497719*^-58+0.*I,1.033517158464021*^-58+0.*I,1.234320331591928*^-59+0.*I,1.4651520139286765*^-60+0.*I,1.7286779494164756*^-61+0.*I,2.02746483576169*^-62+0.*I,2.363909784712187*^-63+0.*I,2.7401641796794388*^-64+0.*I,3.1580535945760583*^-65+0.*I,3.6189957896888285*^-66+0.*I,4.123919109430314*^-67+0.*I
0.03239546370866571+0.*I,-0.14581864331910868+0.*I,0.3453684368933734+0.*I,-0.4077886275504838+0.*I,0.05010858051873713+0.*I,0.34718685702601393+0.*I,-0.025001896244716666+0.*I,-0.33159906170318865+0.*I,-0.21171557480120512+0.*I,0.10551653176728848+0.*I,0.32979415133314555+0.*I,0.3760802648891204+0.*I,0.30560453254331793+0.*I,0.20256845248764516+0.*I,0.11601283244167132+0.*I,0.059268940989507315+0.*I,0.02756657900677567+0.*I,0.01183933178051621+0.*I,0.004744569487463888+0.*I,0.0017884583324269505+0.*I,0.0006381741735176856+0.*I,0.00021668384930824107+0.*I,0.00007030804857392227+0.*I,0.00002187991404288649+0.*I,6.550733796693205*^-6+0.*I,1.8918961191418677*^-6+0.*I,5.28298209909205*^-7+0.*I,1.42930788297739*^-7+0.*I,3.7534165117906556*^-8+0.*I,9.582678962515719*^-9+0.*I,2.3819872143068554*^-9+0.*I,5.772393346496342*^-10+0.*I,1.365385147705133*^-10+0.*I,3.155803902574425*^-11+0.*I,7.134328348458679*^-12+0.*I,1.5789989188953043*^-12+0.*I,3.4242264752300537*^-13+0.*I,7.281714411760667*^-14+0.*I,1.519529961506194*^-14+0.*I,3.1137320562888802*^-15+0.*I,6.269336679665108*^-16+0.*I,1.2410362854427496*^-16+0.*I,2.4166171067920588*^-17+0.*I,4.631428169006875*^-18+0.*I,8.74008368406325*^-19+0.*I,1.6248281671392183*^-19+0.*I,2.976986730461758*^-20+0.*I,5.377743859919866*^-21+0.*I,9.581726468754744*^-22+0.*I,1.6844799023715317*^-22+0.*I,2.9229152222076214*^-23+0.*I,5.007689313633394*^-24+0.*I,8.473539127953192*^-25+0.*I,1.4165363051431086*^-25+0.*I,2.340179149506131*^-26+0.*I,3.821611744878904*^-27+0.*I,6.1706712068188655*^-28+0.*I,9.854034661738405*^-29+0.*I,1.5566625752563203*^-29+0.*I,2.4331686066478558*^-30+0.*I,3.7639324928290506*^-31+0.*I,5.76360415693192*^-32+0.*I,8.738087770193056*^-33+0.*I,1.3118750640875437*^-33+0.*I,1.9507565929227785*^-34+0.*I,2.873597542298387*^-35+0.*I,4.194072664308988*^-36+0.*I,6.066040686855493*^-37+0.*I,8.695683525278314*^-38+0.*I,1.2356584401082263*^-38+0.*I,1.740822324151832*^-39+0.*I,2.4318375602036195*^-40+0.*I,3.3689885370789184*^-41+0.*I,4.629223473304554*^-42+0.*I,6.3098250192326765*^-43+0.*I,8.532615407576761*^-44+0.*I,1.1448699099468003*^-44+0.*I,1.5243722384773183*^-45+0.*I,2.0143600209489484*^-46+0.*I,2.6420625718786124*^-47+0.*I,3.439983809640275*^-48+0.*I,4.446548016068823*^-49+0.*I,5.706733023543395*^-50+0.*I,7.272664493906072*^-51+0.*I,9.204140310265029*^-52+0.*I,1.1569049884532427*^-52+0.*I,1.4443649705605701*^-53+0.*I,1.7912654051772436*^-54+0.*I,2.206909880610666*^-55+0.*I,2.701393706841596*^-56+0.*I,3.2855328034666495*^-57+0.*I,3.970758563325284*^-58+0.*I,4.768976079733772*^-59+0.*I,5.692384103378533*^-60+0.*I,6.753256301442079*^-61+0.*I,7.96368480168691*^-62+0.*I,9.33528857883358*^-63+0.*I,1.0878890926433595*^-63+0.*I,1.2604171988680259*^-64+0.*I,1.4519304026952442*^-65+0.*I
-0.01317292856430698+0.*I,0.07153839445858906+0.*I,-0.21838009679731196+0.*I,0.3919153156237558+0.*I,-0.3286348194365505+0.*I,-0.09882669535676711+0.*I,0.33159906170318865+0.*I,0.10983583261418087+0.*I,-0.26840465786577855+0.*I,-0.2829689577664429+0.*I,-0.00798742279328727+0.*I,0.2604937804128392+0.*I,0.36813704714580897+0.*I,0.33409860980144085+0.*I,0.23930089386555323+0.*I,0.1457249390556237+0.*I,0.07839685121963967+0.*I,0.0381451973382795+0.*I,0.017055888488698576+0.*I,0.007089481989715108+0.*I,0.00276354633913126+0.*I,0.001017240198779907+0.*I,0.0003555501302639387+0.*I,0.00011854715765168058+0.*I,0.00003785001137526104+0.*I,0.000011610423785992208+0.*I,3.4313321666768065*^-6+0.*I,9.794373119711648*^-7+0.*I,2.705991040386549*^-7+0.*I,7.250048314779526*^-8+0.*I,1.886944554995083*^-8+0.*I,4.7779725426040815*^-9+0.*I,1.178669119127684*^-9+0.*I,2.836255582582124*^-10+0.*I,6.66495071933041*^-11+0.*I,1.531077672385418*^-11+0.*I,3.4415940549915463*^-12+0.*I,7.576434493483888*^-13+0.*I,1.6347996499765548*^-13+0.*I,3.460066027477897*^-14+0.*I,7.188313985271195*^-15+0.*I,1.4668115873437787*^-15+0.*I,2.9416390399630024*^-16+0.*I,5.801207049236565*^-17+0.*I,1.1256207952499717*^-17+0.*I,2.1499454807442706*^-18+0.*I,4.0441612944696354*^-19+0.*I,7.495275237615887*^-20+0.*I,1.3692618437586577*^-20+0.*I,2.4665907324032212*^-21+0.*I,4.383107755632834*^-22+0.*I,7.685923914814908*^-23+0.*I,1.3304101908143867*^-23+0.*I,2.2739979830194177*^-24+0.*I,3.839214925918205*^-25+0.*I,6.404263780382387*^-26+0.*I,1.055823305607125*^-26+0.*I,1.7207743829913756*^-27+0.*I,2.7731772838607385*^-28+0.*I,4.420363463828609*^-29+0.*I,6.970535926526844*^-30+0.*I,1.0876752316519631*^-30+0.*I,1.6797719061663013*^-31+0.*I,2.5680817126263665*^-32+0.*I,3.8874139565804*^-33+0.*I,5.827588425354755*^-34+0.*I,8.653119488628462*^-35+0.*I,1.2728844183082424*^-35+0.*I,1.85528917573395*^-36+0.*I,2.679858943272312*^-37+0.*I,3.836708231317888*^-38+0.*I,5.4452597565305314*^-39+0.*I,7.662238340704529*^-40+0.*I,1.0691337765511084*^-40+0.*I,1.479475811028609*^-41+0.*I,2.0306789834607394*^-42+0.*I,2.7649583288161015*^-43+0.*I,3.735118559507074*^-44+0.*I,5.006584852798572*^-45+0.*I,6.6596509305830844*^-46+0.*I,8.791922046345765*^-47+0.*I,1.152091556112165*^-47+0.*I,1.498676471999817*^-48+0.*I,1.9354952436937533*^-49+0.*I,2.4818981965873805*^-50+0.*I,3.160287109848717*^-51+0.*I,3.996333700536201*^-52+0.*I,5.019152123028751*^-53+0.*I,6.26140900002932*^-54+0.*I,7.759353535279508*^-55+0.*I,9.552749904040952*^-56+0.*I,1.1684694510767946*^-56+0.*I,1.420130196182073*^-57+0.*I,1.7151245813950126*^-58+0.*I,2.0585143377907527*^-59+0.*I,2.4554778084835603*^-60+0.*I,2.9112158110479266*^-61+0.*I,3.4308415988722336*^-62+0.*I,4.019256066051594*^-63+0.*I,4.681010056695117*^-64+0.*I
