0.003500439396667034+0.*I,0.011771959243111193+0.*I,0.02799367644871679+0.*I,0.054353247580528716+0.*I,0.09139484258146965+0.*I,0.13745573794209676+0.*I,0.1887180477678312+0.*I,0.23987810094415243+0.*I,0.2852146276709552+0.*I,0.3197250965767815+0.*I,0.34001878719519246+0.*I,0.34477261121269787+0.*I,0.33470971793503257+0.*I,0.3121927637255636+0.*I,0.2805982778685391+0.*I,0.24364951907107707+0.*I,0.20484801214094508+0.*I,0.16708346760938053+0.*I,0.1324412936309862+0.*I,0.10218162390620643+0.*I,0.07683940428930214+0.*I,0.056389796671184496+0.*I,0.04043108302813063+0.*I,0.028351604614199444+0.*I,0.01946248135574757+0.*I,0.013090444445792842+0.*I,0.008633639382060241+0.*I,0.005587765981289826+0.*I,0.00355128380132762+0.*I,0.002217749899168187+0.*I,0.0013616896220186604+0.*I,0.0008224764419084094+0.*I,0.0004889615000780177+0.*I,0.0002862489364351207+0.*I,0.0001650937414702861+0.*I,0.00009384751437598764+0.*I,0.00005260144937581896+0.*I,0.000029081917328126632+0.*I,0.000015865633726253916+0.*I,8.543804596995486*^-6+0.*I,4.54304980779865*^-6+0.*I,2.3860621775390173*^-6+0.*I,1.2381786128401466*^-6+0.*I,6.350022396929329*^-7+0.*I,3.219401229426214*^-7+0.*I,1.6139684298123122*^-7+0.*I,8.002806317429902*^-8+0.*I,3.9257222013289044*^-8+0.*I,1.90557098789887*^-8+0.*I,9.154893128053537*^-9+0.*I,4.3540605409296775*^-9+0.*I,2.050385689510174*^-9+0.*I,9.562249627239155*^-10+0.*I,4.417212870530764*^-10+0.*I,2.0215181070448814*^-10+0.*I,9.166899661726683*^-11+0.*I,4.119596219621787*^-11+0.*I,1.8350310188166472*^-11+0.*I,8.103182118988478*^-12+0.*I,3.5477726442886344*^-12+0.*I,1.5403036417768403*^-12+0.*I,6.632352670653468*^-13+0.*I,2.8326828515699126*^-13+0.*I,1.2002006715817708*^-13+0.*I,5.045335666598024*^-14+0.*I,2.1045515768356402*^-14+0.*I,8.711918271500554*^-15+0.*I,3.579336902194327*^-15+0.*I,1.4597359649976976*^-15+0.*I,5.909843082167442*^-16+0.*I,2.375489506990803*^-16+0.*I,9.480912288348621*^-17+0.*I,3.7575958478620366*^-17+0.*I,1.4790226467479437*^-17+0.*I,5.782094040761084*^-18+0.*I,2.245332723675118*^-18+0.*I,8.661639343168936*^-19+0.*I,3.319563040585527*^-19+0.*I,1.2640370566893066*^-19+0.*I,4.782692367400845*^-20+0.*I,1.7982647875482772*^-20+0.*I,6.719505559310743*^-21+0.*I,2.4954942764291313*^-21+0.*I,9.211783420699376*^-22+0.*I,3.3801055518108555*^-22+0.*I,1.2329543189139762*^-22+0.*I,4.471198463311391*^-23+0.*I,1.6120945425928184*^-23+0.*I,5.779301588976449*^-24+0.*I,2.0601865229339804*^-24+0.*I,7.303171072316009*^-25+0.*I,2.5746426806684956*^-25+0.*I,9.027120452643806*^-26+0.*I,3.147994391362177*^-26+0.*I,1.0919335495635927*^-26+0.*I,3.767563613848278*^-27+0.*I,1.2931567293794422*^-27+0.*I,4.415617885117075*^-28+0.*I,1.5000461914184273*^-28+0.*I,5.070061438086677*^-29+0.*I
-0.011771959243111193+0.*I,-0.03608859749779256+0.*I,-0.07749452194853473+0.*I,-0.13430321526311748+0.*I,-0.1986538787748678+0.*I,-0.25789784148031014+0.*I,-0.2979613798928169+0.*I,-0.30740776697562433+0.*I,-0.28069756238729937+0.*I,-0.21958993177203928+0.*I,-0.1324218590836649+0.*I,-0.031753735702897495+0.*I,0.0687003419158352+0.*I,0.15691043130798443+0.*I,0.2244678308173982+0.*I,0.26736040859555293+0.*I,0.28569529103636454+0.*I,0.28270917024139286+0.*I,0.2634757453305047+0.*I,0.2336619522063273+0.*I,0.1985596025423161+0.*I,0.16248379748916775+0.*I,0.12852207185448733+0.*I,0.09855436560795716+0.*I,0.07344170715888759+0.*I,0.053289311096289586+0.*I,0.037713547929503+0.*I,0.02607007864521757+0.*I,0.017624729633812834+0.*I,0.011665967324053424+0.*I,0.007567761444267335+0.*I,0.004815583011156457+0.*I,0.0030082544076605114+0.*I,0.0018462163042901325+0.*I,0.0011138943958098927+0.*I,0.000661099049973715+0.*I,0.00038618668922316693+0.*I,0.0002221597905945137+0.*I,0.00012591693580374632+0.*I,0.00007034808103130963+0.*I,0.000038757512258823395+0.*I,0.000021065397808048962+0.*I,0.000011299462113328358+0.*I,5.983770950281679*^-6+0.*I,3.1294454034138617*^-6+0.*I,1.6168632663945315*^-6+0.*I,8.255126926389896*^-7+0.*I,4.1662292872326625*^-7+0.*I,2.078977604677397*^-7+0.*I,1.026021118110386*^-7+0.*I,5.0092187466303085*^-8+0.*I,2.4198775458632327*^-8+0.*I,1.156976196583207*^-8+0.*I,5.47591644708625*^-9+0.*I,2.5661398113898894*^-9+0.*I,1.1909156001967899*^-9+0.*I,5.474461529057911*^-10+0.*I,2.4931069752941087*^-10+0.*I,1.1250084005421561*^-10+0.*I,5.031058217206519*^-11+0.*I,2.2300895705273047*^-11+0.*I,9.799699311201512*^-12+0.*I,4.269689965081468*^-12+0.*I,1.8447454571835353*^-12+0.*I,7.904861646950451*^-13+0.*I,3.359920070922581*^-13+0.*I,1.4167644311365479*^-13+0.*I,5.92728332335548*^-14+0.*I,2.460688387759319*^-14+0.*I,1.0138000486459277*^-14+0.*I,4.145653600658772*^-15+0.*I,1.6827804564535459*^-15+0.*I,6.781143341789009*^-16+0.*I,2.7130967631196973*^-16+0.*I,1.07785187059971*^-16+0.*I,4.2523361147243136*^-17+0.*I,1.666145212796531*^-17+0.*I,6.484190376188511*^-18+0.*I,2.5066636995185033*^-18+0.*I,9.626590187944948*^-19+0.*I,3.6730145992530153*^-19+0.*I,1.3924616909626603*^-19+0.*I,5.2455376677437834*^-20+0.*I,1.9637116942920862*^-20+0.*I,7.306011246474799*^-21+0.*I,2.701661452862318*^-21+0.*I,9.930286289164056*^-22+0.*I,3.6283097438151244*^-22+0.*I,1.317921121921795*^-22+0.*I,4.759342572775653*^-23+0.*I,1.7088592869031466*^-23+0.*I,6.100930203905661*^-24+0.*I,2.165928920764645*^-24+0.*I,7.646770847500238*^-25+0.*I,2.6848771232015855*^-25+0.*I,9.375822088023062*^-26+0.*I,3.256555444385919*^-26+0.*I,1.1251146775430758*^-26+0.*I,3.866773945947308*^-27+0.*I,1.3220212165785538*^-27+0.*I
0.02799367644871679+0.*I,0.07749452194853473+0.*I,0.148193095054341+0.*I,0.224461541207731+0.*I,0.28246477581883533+0.*I,0.2991807716017674+0.*I,0.2618589177306925+0.*I,0.17357985758570205+0.*I,0.052682252877380854+0.*I,-0.07326538695684068+0.*I,-0.1761193132732051+0.*I,-0.23504651888821365+0.*I,-0.24114961418123318+0.*I,-0.1979802453995702+0.*I,-0.11863770943499126+0.*I,-0.021051611546799735+0.*I,0.07682706429773581+0.*I,0.16065636628767965+0.*I,0.2215831424888957+0.*I,0.2564395108242764+0.*I,0.26672995571874136+0.*I,0.25702076662333306+0.*I,0.2332727693482007+0.*I,0.20147762620867768+0.*I,0.1667582234220384+0.*I,0.13293385696670437+0.*I,0.10245466319268105+0.*I,0.07657387061872281+0.*I,0.055633759094286424+0.*I,0.0393713429226173+0.*I,0.027185987855157773+0.*I,0.01834286763919949+0.*I,0.012108713957411046+0.*I,0.007829291483727737+0.*I,0.004963307990987512+0.*I,0.003087663427062954+0.*I,0.0018864551792122325+0.*I,0.0011327565797537912+0.*I,0.0006689420591785107+0.*I,0.000388746651088367+0.*I,0.000222440958751726+0.*I,0.0001253886605493225+0.*I,0.00006966370001453003+0.*I,0.00003816406477173371+0.*I,0.00002062456373214396+0.*I,0.00001099936793977972+0.*I,5.791137628307426*^-6+0.*I,3.011093436417051*^-6+0.*I,1.5466470595281116*^-6+0.*I,7.850539632220101*^-7+0.*I,3.938915186660007*^-7+0.*I,1.954085469383421*^-7+0.*I,9.587717621302342*^-8+0.*I,4.653728552924543*^-8+0.*I,2.235142533469294*^-8+0.*I,1.0624957714694059*^-8+0.*I,4.99990805210736*^-9+0.*I,2.329702770812244*^-9+0.*I,1.0750526041432399*^-9+0.*I,4.913975830836939*^-10+0.*I,2.2253095814270727*^-10+0.*I,9.985707256264216*^-11+0.*I,4.4409109316804896*^-11+0.*I,1.9576777479068323*^-11+0.*I,8.555682941750948*^-12+0.*I,3.7074767182392065*^-12+0.*I,1.5932210648254621*^-12+0.*I,6.79061116448937*^-13+0.*I,2.871019585073932*^-13+0.*I,1.2042458871404474*^-13+0.*I,5.0118870469850976*^-14+0.*I,2.0698936227997537*^-14+0.*I,8.484129307791783*^-15+0.*I,3.451669909879395*^-15+0.*I,1.3939995486863983*^-15+0.*I,5.589263765059154*^-16+0.*I,2.2251073008745865*^-16+0.*I,8.796221045568131*^-17+0.*I,3.453291872080032*^-17+0.*I,1.3464937404048567*^-17+0.*I,5.214948677443235*^-18+0.*I,2.0063652916363994*^-18+0.*I,7.668718245348014*^-19+0.*I,2.912231329541556*^-19+0.*I,1.0988939468551735*^-19+0.*I,4.120482493944486*^-20+0.*I,1.5354560407247945*^-20+0.*I,5.68666288584443*^-21+0.*I,2.093347243168842*^-21+0.*I,7.659860495608095*^-22+0.*I,2.7862979367075077*^-22+0.*I,1.0076087092975073*^-22+0.*I,3.6227950717099207*^-23+0.*I,1.2951266743766544*^-23+0.*I,4.6038991663016566*^-24+0.*I,1.6274671482653423*^-24+0.*I,5.721352382338836*^-25+0.*I,2.0003765709126208*^-25+0.*I,6.956285298782777*^-26+0.*I,2.406140451821132*^-26+0.*I
-0.054353247580528716+0.*I,-0.13430321526311748+0.*I,-0.224461541207731+0.*I,-0.2876272497267785+0.*I,-0.2892550656360835+0.*I,-0.21623668113487962+0.*I,-0.08532655529923695+0.*I,0.06296895458057732+0.*I,0.18116549315476013+0.*I,0.23350231244963732+0.*I,0.20819413861741515+0.*I,0.11912960227497343+0.*I,-0.001870698079335289+0.*I,-0.11758937798350749+0.*I,-0.1973361604353576+0.*I,-0.22440762851118515+0.*I,-0.19778603319974752+0.*I,-0.12904957011541884+0.*I,-0.03670544990747091+0.*I,0.059729080593200055+0.*I,0.14423417614298803+0.*I,0.20666294950226308+0.*I,0.24308707261888599+0.*I,0.254708870965267+0.*I,0.24608269527011606+0.*I,0.22328170456896204+0.*I,0.1924180496724442+0.*I,0.15868617816004207+0.*I,0.12591709064035372+0.*I,0.09652796677620973+0.*I,0.07171809969702203+0.*I,0.0517757370370632+0.*I,0.036396962059830375+0.*I,0.024958505668714607+0.*I,0.016720435260632147+0.*I,0.010957836887411547+0.*I,0.007033189605857175+0.*I,0.0044256233349506775+0.*I,0.0027326749780788324+0.*I,0.0016571043235101563+0.*I,0.000987604936845167+0.*I,0.0005788719853890296+0.*I,0.0003339005628493454+0.*I,0.00018964217451864258+0.*I,0.000106112053241018+0.*I,0.00005852193404377635+0.*I,0.0000318268825652988+0.*I,0.000017075566049272804+0.*I,9.041363737310473*^-6+0.*I,4.726418555372823*^-6+0.*I,2.4401794046948666*^-6+0.*I,1.244646038224528*^-6+0.*I,6.27393046575371*^-7+0.*I,3.126303976549727*^-7+0.*I,1.5404287444206802*^-7+0.*I,7.507339241094041*^-8+0.*I,3.619711288595297*^-8+0.*I,1.7270682657769637*^-8+0.*I,8.156280059938957*^-9+0.*I,3.813437936127852*^-9+0.*I,1.76552492483273*^-9+0.*I,8.095625883608687*^-10+0.*I,3.6773042237644615*^-10+0.*I,1.6549732655213051*^-10+0.*I,7.380932627992898*^-11+0.*I,3.262600391266717*^-11+0.*I,1.4296167924512715*^-11+0.*I,6.210786344320553*^-12+0.*I,2.675532972300865*^-12+0.*I,1.1430731210585204*^-12+0.*I,4.843939305744342*^-13+0.*I,2.036306868436604*^-13+0.*I,8.493065864452426*^-14+0.*I,3.5149364325469944*^-14+0.*I,1.443628214273519*^-14+0.*I,5.884771807597224*^-15+0.*I,2.3811684700574593*^-15+0.*I,9.56500395313467*^-16+0.*I,3.8147101774779637*^-16+0.*I,1.5106530404131875*^-16+0.*I,5.940715828003346*^-17+0.*I,2.320205736429468*^-17+0.*I,9.000558454210318*^-18+0.*I,3.4682313784095293*^-18+0.*I,1.3276438754150966*^-18+0.*I,5.049266145953259*^-19+0.*I,1.9080301772290333*^-19+0.*I,7.164546631900637*^-20+0.*I,2.673461453456548*^-20+0.*I,9.914600236928416*^-21+0.*I,3.654483553386103*^-21+0.*I,1.3389333272484998*^-21+0.*I,4.876473087378693*^-22+0.*I,1.7656217783091336*^-22+0.*I,6.355720093748359*^-23+0.*I,2.2747655405605194*^-23+0.*I,8.095471849532867*^-24+0.*I,2.8649003808150116*^-24+0.*I,1.0082454035901765*^-24+0.*I,3.528899203554551*^-25+0.*I
0.09139484258146965+0.*I,0.1986538787748678+0.*I,0.28246477581883533+0.*I,0.2892550656360835+0.*I,0.19875438092987757+0.*I,0.04020441472798875+0.*I,-0.1213583883333674+0.*I,-0.21875855397475957+0.*I,-0.21557774977774102+0.*I,-0.12088528335450685+0.*I,0.019121677651728952+0.*I,0.1449348083633423+0.*I,0.20948409771668877+0.*I,0.19435378029879896+0.*I,0.11183065140628969+0.*I,-0.0047989954759625544+0.*I,-0.11623856337913813+0.*I,-0.19074984098418415+0.*I,-0.2120353611158729+0.*I,-0.18043196503845335+0.*I,-0.10897110267579374+0.*I,-0.017021190027104914+0.*I,0.07591730560388418+0.*I,0.15461002753804193+0.*I,0.21011936317634866+0.*I,0.23975914030787324+0.*I,0.24570844082555737+0.*I,0.23308636706373864+0.*I,0.20811490780469186+0.*I,0.17673062079137977+0.*I,0.1437589285096286+0.*I,0.11259397443690446+0.*I,0.0852425032446796+0.*I,0.06257465283391321+0.*I,0.04465055512969173+0.*I,0.031034140653626804+0.*I,0.021047220873007488+0.*I,0.013948937125650204+0.*I,0.009045701454097473+0.*I,0.005746358330809002+0.*I,0.0035795688839180694+0.*I,0.0021885068360035253+0.*I,0.0013143067008631586+0.*I,0.0007758833903265364+0.*I,0.0004505447993944756+0.*I,0.00025750616853389486+0.*I,0.00014494071480064278+0.*I,0.00008038453762124816+0.*I,0.000043948466631112914+0.*I,0.00002369731273422096+0.*I,0.00001260725781722549+0.*I,6.620314252184463*^-6+0.*I,3.4326753560363717*^-6+0.*I,1.7580579715690872*^-6+0.*I,8.896547410481668*^-7+0.*I,4.449705546780088*^-7+0.*I,2.2003356332915708*^-7+0.*I,1.0760049728247847*^-7+0.*I,5.2050036824143825*^-8+0.*I,2.4912502109530634*^-8+0.*I,1.180065610961292*^-8+0.*I,5.533317876923912*^-9+0.*I,2.5689133614027673*^-9+0.*I,1.1811015521826168*^-9+0.*I,5.378791185623442*^-10+0.*I,2.4267436674153495*^-10+0.*I,1.0848848569464125*^-10+0.*I,4.806616800197861*^-11+0.*I,2.1108826473098555*^-11+0.*I,9.190248575899161*^-12+0.*I,3.967310821132276*^-12+0.*I,1.6983834407745599*^-12+0.*I,7.211211584373256*^-13+0.*I,3.037203692836774*^-13+0.*I,1.2690856204649865*^-13+0.*I,5.2615707071415026*^-14+0.*I,2.1647197107282632*^-14+0.*I,8.838981368303651*^-15+0.*I,3.5823488688423456*^-15+0.*I,1.4412783744806005*^-15+0.*I,5.756915976508834*^-16+0.*I,2.2831801394139*^-16+0.*I,8.991736739186132*^-17+0.*I,3.5167673062420484*^-17+0.*I,1.3661003141120578*^-17+0.*I,5.271103094501383*^-18+0.*I,2.0204136244699056*^-18+0.*I,7.69374372563525*^-19+0.*I,2.9109284045056424*^-19+0.*I,1.0943555037332396*^-19+0.*I,4.088407379294874*^-20+0.*I,1.5179362750970936*^-20+0.*I,5.60132099377956*^-21+0.*I,2.0544613332360064*^-21+0.*I,7.490456471544594*^-22+0.*I,2.714893607120532*^-22+0.*I,9.782778259402372*^-23+0.*I,3.504825310114922*^-23+0.*I,1.2485171417558439*^-23+0.*I,4.422574079279393*^-24+0.*I
-0.13745573794209676+0.*I,-0.25789784148031014+0.*I,-0.2991807716017674+0.*I,-0.21623668113487962+0.*I,-0.04020441472798875+0.*I,0.13828786729657713+0.*I,0.22656195025166515+0.*I,0.1854146444805969+0.*I,0.047513854502478935+0.*I,-0.10741922021776878+0.*I,-0.1997161699273801+0.*I,-0.18961658179877092+0.*I,-0.09052721782253412+0.*I,0.045479349405307075+0.*I,0.1570253542923367+0.*I,0.20091394872914203+0.*I,0.16623541765480812+0.*I,0.07255004633022998+0.*I,-0.043026077658189964+0.*I,-0.14196749259717248+0.*I,-0.1969739018259878+0.*I,-0.1977248270923512+0.*I,-0.14988182826992566+0.*I,-0.06970543918117678+0.*I,0.02271891672514649+0.*I,0.10924895533311889+0.*I,0.1771951243905633+0.*I,0.2204182927361899+0.*I,0.23858299019548906+0.*I,0.23540828647611214+0.*I,0.216689725904453+0.*I,0.18861810132588672+0.*I,0.15663996672504862+0.*I,0.12488111951188194+0.*I,0.0960213245241947+0.*I,0.07145963210938877+0.*I,0.05161880238414831+0.*I,0.036275750678887324+0.*I,0.02485003925873395+0.*I,0.016620878732956878+0.*I,0.010869566626120349+0.*I,0.006958861484112392+0.*I,0.004366208411675266+0.*I,0.0026873930939567484+0.*I,0.0016240330903108263+0.*I,0.0009643510524200485+0.*I,0.0005630673845082706+0.*I,0.0003234833238998528+0.*I,0.0001829648989492091+0.*I,0.00010194024997224476+0.*I,0.00005597645731931897+0.*I,0.000030307552419629602+0.*I,0.000016187207287295953+0.*I,8.531902565128513*^-6+0.*I,4.439547813438384*^-6+0.*I,2.2814255047770524*^-6+0.*I,1.1582308936099384*^-6+0.*I,5.81090146240389*^-7+0.*I,2.8819203187843304*^-7+0.*I,1.4132991881583376*^-7+0.*I,6.85515238366149*^-8+0.*I,3.289593717057714*^-8+0.*I,1.562123637920692*^-8+0.*I,7.342388313610667*^-9+0.*I,3.4166795702641285*^-9+0.*I,1.574374084456441*^-9+0.*I,7.185155754460043*^-10+0.*I,3.2484265448621494*^-10+0.*I,1.4551208034532997*^-10+0.*I,6.459388785419542*^-11+0.*I,2.8420017383202305*^-11+0.*I,1.2395643108321452*^-11+0.*I,5.360362404689325*^-12+0.*I,2.2986116383713206*^-12+0.*I,9.775680361537358*^-13+0.*I,4.1238193587626997*^-13+0.*I,1.7257690465133992*^-13+0.*I,7.16561113332828*^-14+0.*I,2.952340896820153*^-14+0.*I,1.2071905644610364*^-14+0.*I,4.8992865962387015*^-15+0.*I,1.9737289499493157*^-15+0.*I,7.893838359635388*^-16+0.*I,3.13459837141988*^-16+0.*I,1.2359873172957754*^-16+0.*I,4.839814126963147*^-17+0.*I,1.882212848676682*^-17+0.*I,7.270692091136466*^-18+0.*I,2.789909671350343*^-18+0.*I,1.0635334923869023*^-18+0.*I,4.0280701342025386*^-19+0.*I,1.5158800784416784*^-19+0.*I,5.668795450902392*^-20+0.*I,2.1067356315603417*^-20+0.*I,7.781384670426648*^-21+0.*I,2.8567005353518584*^-21+0.*I,1.042476044340396*^-21+0.*I,3.7817492038406305*^-22+0.*I,1.3638782072024545*^-22+0.*I,4.8904056086553806*^-23+0.*I
0.1887180477678312+0.*I,0.2979613798928169+0.*I,0.2618589177306925+0.*I,0.08532655529923695+0.*I,-0.1213583883333674+0.*I,-0.22656195025166515+0.*I,-0.1727673828522227+0.*I,-0.009847722522027053+0.*I,0.1488648681066175+0.*I,0.20567215538153671+0.*I,0.13552007210482422+0.*I,-0.010085380030456679+0.*I,-0.14387018841787783+0.*I,-0.19569273129763773+0.*I,-0.14611504144593288+0.*I,-0.027563278768396163+0.*I,0.09986037383972647+0.*I,0.180209271564356+0.*I,0.18473245383302028+0.*I,0.11834693564968769+0.*I,0.011236734406713732+0.*I,-0.09704072624874462+0.*I,-0.17283593359772167+0.*I,-0.1977509698125457+0.*I,-0.1706025163103868+0.*I,-0.10361712195273413+0.*I,-0.01585787999718368+0.*I,0.07326722579293028+0.*I,0.14859855461513785+0.*I,0.20132025335277512+0.*I,0.22888762146933567+0.*I,0.23358156720467185+0.*I,0.22053806390888245+0.*I,0.19589939351353836+0.*I,0.16544531093269715+0.*I,0.13380396939794464+0.*I,0.10417027996530048+0.*I,0.07837949075425812+0.*I,0.05717443594216125+0.*I,0.04053600066676434+0.*I,0.027991695797841935+0.*I,0.018859671143127504+0.*I,0.012416888475013634+0.*I,0.007998994276092313+0.*I,0.005047800027056134+0.*I,0.003123604692965786+0.*I,0.0018971111939262496+0.*I,0.0011317960402332532+0.*I,0.0006637497558263871+0.*I,0.00038290822486304653+0.*I,0.00021742401286695086+0.*I,0.00012158765940753586+0.*I,0.00006699900509937132+0.*I,0.00003639611259966175+0.*I,0.000019500488908105735+0.*I,0.000010309145364958036+0.*I,5.37969217153278*^-6+0.*I,2.7721072950841968*^-6+0.*I,1.4110132257603363*^-6+0.*I,7.096797335886415*^-7+0.*I,3.528075318340597*^-7+0.*I,1.7341393436799293*^-7+0.*I,8.429867211963374*^-8+0.*I,4.053795570349389*^-8+0.*I,1.9289254531375806*^-8+0.*I,9.084152997804118*^-9+0.*I,4.235131607478567*^-9+0.*I,1.9550436314973654*^-9+0.*I,8.93804433934281*^-10+0.*I,4.0477214384223534*^-10+0.*I,1.8161124041826703*^-10+0.*I,8.074532304681683*^-11+0.*I,3.5580328241230446*^-11+0.*I,1.5541497060069666*^-11+0.*I,6.730319598523646*^-12+0.*I,2.8900505814291996*^-12+0.*I,1.2307408746251476*^-12+0.*I,5.198540109747325*^-13+0.*I,2.1782600752324239*^-13+0.*I,9.055438764864059*^-14+0.*I,3.7353955787609356*^-14+0.*I,1.5291323190756275*^-14+0.*I,6.212796834423673*^-15+0.*I,2.505609686161899*^-15+0.*I,1.003166061781508*^-15+0.*I,3.987611341912688*^-16+0.*I,1.5739081180322809*^-16+0.*I,6.169032887051163*^-17+0.*I,2.4014261006811847*^-17+0.*I,9.284912393189096*^-18+0.*I,3.5660189122689176*^-18+0.*I,1.3605871775560311*^-18+0.*I,5.157563139888208*^-19+0.*I,1.9425655027991003*^-19+0.*I,7.270364883442575*^-20+0.*I,2.7040932688340644*^-20+0.*I,9.99554836562449*^-21+0.*I,3.6723558793341985*^-21+0.*I,1.3411238797295582*^-21+0.*I,4.868677660466984*^-22+0.*I
-0.23987810094415243+0.*I,-0.30740776697562433+0.*I,-0.17357985758570205+0.*I,0.06296895458057732+0.*I,0.21875855397475957+0.*I,0.1854146444805969+0.*I,0.009847722522027053+0.*I,-0.16025001630911956+0.*I,-0.19974868015328343+0.*I,-0.09263144622773302+0.*I,0.07356669283006126+0.*I,0.18270285215504778+0.*I,0.16966745978737607+0.*I,0.052681551016334364+0.*I,-0.09102557684003376+0.*I,-0.17885504164218086+0.*I,-0.1686035358466172+0.*I,-0.07344150622605855+0.*I,0.054165680071713046+0.*I,0.15391846363825556+0.*I,0.1857599032219148+0.*I,0.14281033722141465+0.*I,0.04765564380400523+0.*I,-0.061931954346498425+0.*I,-0.14931206098675132+0.*I,-0.19070150107978664+0.*I,-0.17953908137013638+0.*I,-0.12427368150696944+0.*I,-0.04234806127256931+0.*I,0.04656097311721591+0.*I,0.1258351736690739+0.*I,0.18477124451141136+0.*I,0.2190941121209045+0.*I,0.22983494085899842+0.*I,0.2214449364962698+0.*I,0.1998697357114712+0.*I,0.17102881588536678+0.*I,0.13986698593402075+0.*I,0.1099446884443151+0.*I,0.08342880923243945+0.*I,0.061319539956869576+0.*I,0.04377181281735063+0.*I,0.030413556821034107+0.*I,0.020607532920986698+0.*I,0.013638319062273481+0.*I,0.008828118415266503+0.*I,0.005595893595714819+0.*I,0.0034771654187914476+0.*I,0.0021200503719770564+0.*I,0.0012694050020925613+0.*I,0.0007469992383828676+0.*I,0.0004323230849216491+0.*I,0.0002462301642399172+0.*I,0.00013809316968252855+0.*I,0.00007630183199708515+0.*I,0.00004155715404792988+0.*I,0.000022320579845980353+0.*I,0.000011827718974572798+0.*I,6.185959381012632*^-6+0.*I,3.194385277240152*^-6+0.*I,1.6292784928147844*^-6+0.*I,8.210615845561684*^-7+0.*I,4.0894497154037593*^-7+0.*I,2.0136852365043866*^-7+0.*I,9.805682915527872*^-8+0.*I,4.7232324000075604*^-8+0.*I,2.2510536913486586*^-8+0.*I,1.0617492541989865*^-8+0.*I,4.9573227593354285*^-9+0.*I,2.2916933378495814*^-9+0.*I,1.0491572167264734*^-9+0.*I,4.757580242432569*^-10+0.*I,2.137352543226377*^-10+0.*I,9.514593604966877*^-11+0.*I,4.1976350174368813*^-11+0.*I,1.8356620443378562*^-11+0.*I,7.958382818945933*^-12+0.*I,3.4211231448309706*^-12+0.*I,1.458443421674099*^-12+0.*I,6.16666414853461*^-13+0.*I,2.5864936982499956*^-13+0.*I,1.0762952723290403*^-13+0.*I,4.443925521669242*^-14+0.*I,1.820840852640746*^-14+0.*I,7.404569672459166*^-15+0.*I,2.988830612621092*^-15+0.*I,1.1976386992421746*^-15+0.*I,4.764542702924154*^-16+0.*I,1.882061803150487*^-16+0.*I,7.382590078530051*^-17+0.*I,2.876003877844578*^-17+0.*I,1.1128031838570707*^-17+0.*I,4.2769734024237195*^-18+0.*I,1.6329917316827537*^-18+0.*I,6.194403597957731*^-19+0.*I,2.3346449706075516*^-19+0.*I,8.743488912908973*^-20+0.*I,3.254070806869374*^-20+0.*I,1.2036004956376445*^-20+0.*I,4.424709283538906*^-21+0.*I
