0.12314471107013306+0.*I,0.-0.25203454356084154*I,-0.36474502382529056+0.*I,0.+0.43099581471850695*I,0.4410495282146046+0.*I,0.-0.40368876643352924*I,-0.33729922536439794+0.*I,0.+0.2609219577377156*I,0.18880345596081044+0.*I,0.-0.12880507935819716*I,-0.08336375991688957+0.*I,0.+0.05144287785936174*I,0.030393375654495916+0.*I,0.-0.01725248134095324*I,-0.00943695432775473+0.*I,0.+0.004986898492460199*I,0.0025516132085763015+0.*I,0.-0.0012665860066556017*I,-0.0006110021489479629+0.*I,0.+0.0002868865856859084*I,0.00013129238835226577+0.*I,0.-0.0000586373325808207*I,-0.000025586281295862704+0.*I,0.+0.00001091911793807215*I,4.561694959600374*^-6+0.*I,0.-1.8672417142655779*^-6*I,-7.494767616817358*^-7+0.*I,0.+2.952028827571075*^-7*I,1.1417890749020948*^-7+0.*I,0.-4.3394150301244514*^-8*I,-1.6214922085435113*^-8+0.*I,0.+5.960440045944407*^-9*I,2.1564909474823465*^-9+0.*I,0.-7.683073256528766*^-10*I,-2.6967446153914533*^-10+0.*I,0.+9.329322425043676*^-11*I,3.182314934863766*^-11+0.*I,0.-1.0707463425449294*^-11*I,-3.5549959144032604*^-12+0.*I,0.+1.1650675522337986*^-12*I,3.7702089154916254*^-13+0.*I,0.-1.205085309825997*^-13*I,-3.805725426421943*^-14+0.*I,0.+1.18781150826974*^-14*I,3.6649284053875954*^-15+0.*I,0.-1.1181589461748878*^-15*I,-3.3741853203750957*^-16+0.*I,0.+1.0073126950412054*^-16*I,2.9756921089863635*^-17+0.*I,0.-8.700300599289518*^-18*I,-2.518219371472003*^-18+0.*I,0.+7.216934721339292*^-19*I,2.0483087011159935*^-19+0.*I,0.-5.758399342453746*^-20*I,-1.603796289823439*^-20+0.*I,0.+4.4260076920474484*^-21*I,1.2104934826098302*^-21+0.*I,0.-3.2814767560009104*^-22*I,-8.818599922142463*^-23+0.*I,0.+2.3497298770896003*^-23*I,6.208499042579695*^-24+0.*I,0.-1.6269192791956464*^-24*I,-4.2287739019638815*^-25+0.*I,0.+1.0904066600790887*^-25*I,2.789605644454137*^-26+0.*I,0.-7.081584463634173*^-27*I,-1.7840325599840404*^-27+0.*I,0.+4.46076844177394*^-28*I,1.1071323169772705*^-28+0.*I,0.-2.727842473405347*^-29*I,-6.672899312927432*^-30+0.*I,0.+1.6208010230471653*^-30*I,3.909378845554172*^-31+0.*I,0.-9.364630221116248*^-32*I,-2.2280199638639686*^-32+0.*I,0.+5.265416753126738*^-33*I,1.2361473990875885*^-33+0.*I,0.-2.883163036564438*^-34*I,-6.681380493281615*^-35+0.*I,0.+1.5384980984231672*^-35*I,3.5204345531606705*^-36+0.*I,0.-8.005677115171324*^-37*I,-1.809403594033233*^-37+0.*I,0.+4.064814275068987*^-38*I,9.07706339711698*^-39+0.*I,0.-2.0150239411548488*^-39*I,-4.4470835567301055*^-40+0.*I,0.+9.75798099373791*^-41*I,2.1289376204258417*^-41+0.*I,0.-4.6186200630207636*^-42*I,-9.96403599401202*^-43+0.*I,0.+2.137759751662767*^-43*I,4.561516889022088*^-44+0.*I,0.-9.680819384638827*^-45*I,-2.043584007708599*^-45+0.*I,0.+4.291162860400936*^-46*I,8.963625130772817*^-47+0.*I,0.-1.862696605217983*^-47*I,-3.850998858277558*^-48+0.*I,0.+7.921366314748048*^-49*I
0.-0.25203454356084154*I,-0.3926826484316907+0.*I,0.+0.39007597925174176*I,0.2503421433558852+0.*I,0.-0.04068389406139247*I,0.16000573375326263+0.*I,0.-0.2984968808856232*I,-0.3583930516435486+0.*I,0.+0.3515835046326423*I,0.30279101222961036+0.*I,0.-0.2367007009750578*I,-0.1712005710633638+0.*I,0.+0.11599865017615658*I,0.0742750244876323+0.*I,0.-0.04523869943903204*I,-0.026342714116008862+0.*I,0.+0.014725326080470466*I,0.00792830819763733+0.*I,0.-0.004123159690310722*I,-0.0020761392109824167+0.*I,0.+0.0010142857997511021*I,0.000481647010770405+0.*I,0.-0.00022266721883691467*I,-0.00010035984437655088+0.*I,0.+0.00004415632620776729*I,0.000018986878165202385+0.*I,0.-7.987182763206285*^-6*I,-3.2902175025985707*^-6+0.*I,0.+1.3283821771315632*^-6*I,5.260594483895312*^-7+0.*I,0.-2.044932241630176*^-7*I,-7.808191035309353*^-8+0.*I,0.+2.9303751038737985*^-8*I,1.0815638532001478*^-8+0.*I,0.-3.928032898450997*^-9*I,-1.4044767338381772*^-9+0.*I,0.+4.946283881837592*^-10*I,1.716581938587323*^-10+0.*I,0.-5.872939294441891*^-11*I,-1.981645288423742*^-11+0.*I,0.+6.596903090479856*^-12*I,2.167472412117209*^-12+0.*I,0.-7.030945318049082*^-13*I,-2.2524772043297756*^-13+0.*I,0.+7.128966365204691*^-14*I,2.229660331464961*^-14+0.*I,0.-6.893144155361498*^-15*I,-2.10706291460567*^-15+0.*I,0.+6.369846025731816*^-16*I,1.9049194768821194*^-16+0.*I,0.-5.636649324259961*^-17*I,-1.6506626998766895*^-17+0.*I,0.+4.784987837898748*^-18*I,1.3733367662863132*^-18+0.*I,0.-3.903300521760542*^-19*I,-1.0988221242028405*^-19+0.*I,0.+3.064374812863587*^-20*I,8.467420817494345*^-21+0.*I,0.-2.3186120660464423*^-21*I,-6.292786861474854*^-22+0.*I,0.+1.6930264786801474*^-22*I,4.5160187735027204*^-23+0.*I,0.-1.1944891759618855*^-23*I,-3.1333167770386592*^-24+0.*I,0.+8.152317688511022*^-25*I,2.1041164818455113*^-25+0.*I,0.-5.38797678152811*^-26*I,-1.3689971163089317*^-26+0.*I,0.+3.451852277532456*^-27*I,8.638236911989853*^-28+0.*I,0.-2.1457056344530003*^-28*I,-5.290963108175007*^-29+0.*I,0.+1.2952838375381607*^-29*I,3.1485132255217372*^-30+0.*I,0.-7.599761049790038*^-31*I,-1.8217570570062114*^-31+0.*I,0.+4.337287374812089*^-32*I,1.0257065856824869*^-32+0.*I,0.-2.409595945662768*^-33*I,-5.623663641186397*^-34+0.*I,0.+1.3040234384947696*^-34*I,3.004542633701693*^-35+0.*I,0.-6.879126752298916*^-36*I,-1.5652524659201645*^-36+0.*I,0.+3.539687792208198*^-37*I,7.956233389911566*^-38+0.*I,0.-1.7776399414345993*^-38*I,-3.948251350107401*^-39+0.*I,0.+8.71807782211052*^-40*I,1.913908588955346*^-40+0.*I,0.-4.1776784307965885*^-41*I,-9.067559209207339*^-42+0.*I,0.+1.957108680032977*^-42*I,4.20083476118796*^-43+0.*I,0.-8.967651807835834*^-44*I,-1.9040140736836692*^-44+0.*I,0.+4.0210094245388696*^-45*I,8.446917493174554*^-46+0.*I,0.-1.7651589615009605*^-46*I,-3.669572570031995*^-47+0.*I
-0.36474502382529056+0.*I,0.+0.39007597925174176*I,0.17183628748751972+0.*I,0.+0.11544777703937396*I,0.29515942080116414+0.*I,0.-0.2958875840202533*I,-0.15484737461814438+0.*I,0.-0.039769206058861244*I,-0.2079735732187527+0.*I,0.+0.30762132820059135*I,0.3345074379606321+0.*I,0.-0.3073504531022484*I,-0.25148050518926707+0.*I,0.+0.18824868859612948*I,0.13104368408017186+0.*I,0.-0.08576803880914322*I,-0.05319791829393783+0.*I,0.+0.03145746648889712*I,0.017817877543606288+0.*I,0.-0.009703837790305342*I,-0.005097451691928218+0.*I,0.+0.0025896208686366482*I,0.0012751978583229254+0.*I,0.-0.0006098602586920693*I,-0.0002837535529185354+0.*I,0.+0.00012863833074801696*I,0.00005689909184994035+0.*I,0.-0.000024585172353012717*I,-0.000010388428602880385+0.*I,0.+4.2970140758*^-6*I,1.741476375621664*^-6+0.*I,0.-6.920902920412217*^-7*I,-2.6991917938258505*^-7+0.*I,0.+1.033799801980897*^-7*I,3.8909361009412105*^-8+0.*I,0.-1.4399578292017174*^-8*I,-5.242862690634458*^-9+0.*I,0.+1.8790529718720903*^-9*I,6.632473950328764*^-10+0.*I,0.-2.3066355681899645*^-10*I,-7.90748167392119*^-11+0.*I,0.+2.6731977588375258*^-11*I,8.915086224681485*^-12+0.*I,0.-2.934136160930575*^-12*I,-9.53334877671818*^-13+0.*I,0.+3.058888658899422*^-13*I,9.695497752185393*^-14+0.*I,0.-3.0366409339329254*^-14*I,-9.400612278338454*^-15+0.*I,0.+2.8772324992755006*^-15*I,8.708860079902799*^-16+0.*I,0.-2.607484064212277*^-16*I,-7.724276676520977*^-17+0.*I,0.+2.2644736090031994*^-17*I,6.571180534437868*^-18+0.*I,0.-1.8878862486228907*^-18*I,-5.370943059667962*^-19+0.*I,0.+1.5133877569967015*^-19*I,4.224295539391798*^-20+0.*I,0.-1.1682593265329311*^-20*I,-3.2016860968072214*^-21+0.*I,0.+8.69648496431677*^-22*I,2.3415460656415354*^-22+0.*I,0.-6.250599482830224*^-23*I,-1.6544910863804*^-23+0.*I,0.+4.3430278778207246*^-24*I,1.13074795938457*^-24+0.*I,0.-2.920395416779873*^-25*I,-7.483003401664839*^-26+0.*I,0.+1.902491356846384*^-26*I,4.7999228178642956*^-27+0.*I,0.-1.2018807290079083*^-27*I,-2.987124062934674*^-28+0.*I,0.+7.369833454917553*^-29*I,1.8051818948358049*^-29+0.*I,0.-4.390239046375935*^-30*I,-1.060237139505783*^-30+0.*I,0.+2.542775527073015*^-31*I,6.056818244679289*^-32+0.*I,0.-1.433021767809403*^-32*I,-3.3679985809512504*^-33+0.*I,0.+7.863936181848866*^-34*I,1.8242910810609102*^-34+0.*I,0.-4.2050436819059685*^-35*I,-9.631730853734596*^-36+0.*I,0.+2.1924513076130575*^-36*I,4.959990635579428*^-37+0.*I,0.-1.1152948721516742*^-37*I,-2.4928054202757995*^-38+0.*I,0.+5.53870194815983*^-39*I,1.2234294452141589*^-39+0.*I,0.-2.686772222281236*^-40*I,-5.866684610601282*^-41+0.*I,0.+1.2737756028841724*^-41*I,2.750167133634486*^-42+0.*I,0.-5.904978091066064*^-43*I,-1.2609474962947804*^-43+0.*I,0.+2.678065024655469*^-44*I,5.657387997414761*^-45+0.*I,0.-1.1887932654353192*^-45*I
0.+0.43099581471850695*I,0.2503421433558852+0.*I,0.+0.11544777703937396*I,0.308253525482133+0.*I,0.-0.21546335771799052*I,0.03141778192516035+0.*I,0.-0.23547501729622458*I,-0.2835259934019327+0.*I,0.+0.1808061989455649*I,0.0032756097466799966+0.*I,0.+0.16637113770397263*I,0.27735664824683787+0.*I,0.-0.3175425129709085*I,-0.3010570084943151+0.*I,0.+0.2518177242124506*I,0.1916759918440179+0.*I,0.-0.13521223108380215*I,-0.08946510360255752+0.*I,0.+0.05600049772041411*I,0.03337427204072585+0.*I,0.-0.0190318695166584*I,-0.010426600509673896+0.*I,0.+0.0055059068936496956*I,0.0028102302106070673+0.*I,0.-0.0013896519129369918*I,-0.0006671222809995588+0.*I,0.+0.0003114669821617218*I,0.0001416465532749714+0.*I,0.-0.000062833601999456*I,-0.00002722143101764064+0.*I,0.+0.000011530560611843658*I,4.780264589469834*^-6+0.*I,0.-1.9414112359597565*^-6*I,-7.730631457269101*^-7+0.*I,0.+3.0205217567452467*^-7*I,1.1588571020272949*^-7+0.*I,0.-4.368644764148994*^-8*I,-1.6191972210058048*^-8+0.*I,0.+5.90388160717739*^-9*I,2.118812151410686*^-9+0.*I,0.-7.488265794682124*^-10*I,-2.607399161820648*^-10+0.*I,0.+8.948751546655898*^-11*I,3.028489108490023*^-11+0.*I,0.-1.0110391276537464*^-11*I,-3.3308008390511353*^-12+0.*I,0.+1.0832280337838692*^-12*I,3.4787681726407576*^-13+0.*I,0.-1.1035753640157781*^-13*I,-3.459228099059409*^-14+0.*I,0.+1.0717182318588284*^-14*I,3.2826453207639036*^-15+0.*I,0.-9.943093578523497*^-16*I,-2.979069098188789*^-16+0.*I,0.+8.830873585580716*^-17*I,2.5905319926121472*^-17+0.*I,0.-7.52195091633647*^-18*I,-2.162312472340265*^-18+0.*I,0.+6.155160600571099*^-19*I,1.7353075121987887*^-19+0.*I,0.-4.846291815506354*^-20*I,-1.3409594356354847*^-20+0.*I,0.+3.676789246207337*^-21*I,9.991718814107636*^-22+0.*I,0.-2.6915276287172473*^-22*I,-7.188049127721937*^-23+0.*I,0.+1.9034474020139424*^-23*I,4.9986219689701714*^-24+0.*I,0.-1.3019644688277304*^-24*I,-3.3639171514922545*^-25+0.*I,0.+8.622730223971962*^-26*I,2.1930670334554184*^-26+0.*I,0.-5.535019732275198*^-27*I,-1.3864287118482687*^-27+0.*I,0.+3.446961404992505*^-28*I,8.507143067236013*^-29+0.*I,0.-2.0844237687072632*^-29*I,-5.070939652081272*^-30+0.*I,0.+1.2249966643097266*^-30*I,2.9387867255674034*^-31+0.*I,0.-7.002117784994413*^-32*I,-1.6571403054830017*^-32+0.*I,0.+3.895802534248271*^-33*I,9.09872617628153*^-34+0.*I,0.-2.1112879772800234*^-34*I,-4.867812334392383*^-35+0.*I,0.+1.1152570545062078*^-35*I,2.5392494553744862*^-36+0.*I,0.-5.745906744787516*^-37*I,-1.2923119158384533*^-37+0.*I,0.+2.889107180872897*^-38*I,6.420645327684651*^-39+0.*I,0.-1.4185442321877172*^-39*I,-3.1159178521188764*^-40+0.*I,0.+6.805140310318715*^-41*I,1.477830153448571*^-41+0.*I,0.-3.1913619577208076*^-42*I,-6.8536012001463975*^-43+0.*I,0.+1.4637919276794085*^-43*I,3.1094498966087757*^-44+0.*I
0.4410495282146046+0.*I,0.-0.04068389406139247*I,0.29515942080116414+0.*I,0.-0.21546335771799052*I,0.0877641169454851+0.*I,0.-0.2730460126073454*I,-0.20248910697004843+0.*I,0.-0.02136444642196422*I,-0.21594249281103522+0.*I,0.+0.2678572794797596*I,0.17543122240659612+0.*I,0.-0.007931145923195182*I,0.155446072148957+0.*I,0.-0.2643782289214453*I,-0.30553428711550545+0.*I,0.+0.29149576435121977*I,0.24498569637894846+0.*I,0.-0.18719512537127272*I,-0.1324773393351808+0.*I,0.+0.08789747123808603*I,0.05515132060408431+0.*I,0.-0.03293767256366701*I,-0.018818204100240394+0.*I,0.+0.010326917292502649*I,0.005461562158484091+0.*I,0.-0.0027914457347294466*I,-0.0013821022828950584+0.*I,0.+0.0006642642559215318*I,0.00031046225095251366+0.*I,0.-0.00014132823370761007*I,-0.00006274942844796755+0.*I,0.+0.000027207949803581988*I,0.000011533932059455127+0.*I,0.-4.785183069880376*^-6*I,-1.9447489486446263*^-6+0.*I,0.+7.748934426548507*^-7*I,3.029516219613467*^-7+0.*I,0.-1.1629746578086541*^-7*I,-4.386541038450469*^-8+0.*I,0.+1.6266627346141833*^-8*I,5.9339780941092614*^-9+0.*I,0.-2.1305926902565984*^-9*I,-7.533189286455801*^-10+0.*I,0.+2.624131027878151*^-10*I,9.00973871243229*^-11+0.*I,0.-3.050278580273645*^-11*I,-1.0186799021490231*^-11+0.*I,0.+3.3571269883651297*^-12*I,1.0921488301305709*^-12+0.*I,0.-3.50852172379055*^-13*I,-1.1133500342525613*^-13+0.*I,0.+3.490877661246836*^-14*I,1.081824270132463*^-14+0.*I,0.-3.3144845972531017*^-15*I,-1.004211191912116*^-15+0.*I,0.+3.009479508672839*^-16*I,8.923141838976572*^-17+0.*I,0.-2.6181989920415496*^-17*I,-7.603966563235054*^-18+0.*I,0.+2.186355631352965*^-18*I,6.22488311036347*^-19+0.*I,0.-1.7553134935945285*^-19*I,-4.903106913948715*^-20+0.*I,0.+1.3569325680915092*^-20*I,3.721256314878816*^-21+0.*I,0.-1.0114322474649964*^-21*I,-2.7250145020359015*^-22+0.*I,0.+7.278671897716434*^-23*I,1.927751134684813*^-23+0.*I,0.-5.0632259362738084*^-24*I,-1.3189888052769148*^-24+0.*I,0.+3.408398409278945*^-25*I,8.737982073613159*^-26+0.*I,0.-2.2226845131984462*^-26*I,-5.6105186027439915*^-27+0.*I,0.+1.4055222042037611*^-27*I,3.494873041512765*^-28+0.*I,0.-8.626449371283989*^-29*I,-2.1139091383647697*^-29+0.*I,0.+5.143270361950769*^-30*I,1.2426108365327956*^-30+0.*I,0.-2.9813734099060598*^-31*I,-7.104353968821157*^-32+0.*I,0.+1.6815128162418438*^-32*I,3.953506405516853*^-33+0.*I,0.-9.234420447235129*^-34*I,-2.1429844918309833*^-34+0.*I,0.+4.941364465922943*^-35*I,1.1322141680280644*^-35+0.*I,0.-2.5780930609966053*^-36*I,-5.8343235981073425*^-37+0.*I,0.+1.3123121200041742*^-37*I,2.9340699063319323*^-38+0.*I,0.-6.521112386335729*^-39*I,-1.4408584025993588*^-39+0.*I,0.+3.1651848480290038*^-40*I,6.913279012289909*^-41+0.*I,0.-1.5014287742454515*^-41*I,-3.2425657814731356*^-42+0.*I,0.+6.964074580273499*^-43*I
0.-0.40368876643352924*I,0.16000573375326263+0.*I,0.-0.2958875840202533*I,0.03141778192516035+0.*I,0.-0.2730460126073454*I,-0.16215250456242827+0.*I,0.-0.11377041632366658*I,-0.2591430329136914+0.*I,0.+0.1706261458158713*I,-0.044549836327175914+0.*I,0.+0.21823673758130469*I,0.25294724491016424+0.*I,0.-0.1545653054517997*I,0.008666184833251574+0.*I,0.-0.16273653771279256*I,-0.2623973912107974+0.*I,0.+0.29721021532139286*I,0.2803932467461537+0.*I,0.-0.2339224305857887*I,-0.17779409155438058+0.*I,0.+0.12531542224639391*I,0.08287901045307855+0.*I,0.-0.05186650761461949*I,-0.030908414493283007+0.*I,0.+0.017626222240974578*I,0.00965743844169806+0.*I,0.-0.005100449552017804*I,-0.0026037202248949177+0.*I,0.+0.0012877727576052448*I,0.0006183356183291926+0.*I,0.-0.0002887480571068176*I,-0.00013134161888225774+0.*I,0.+0.000058274366579813696*I,0.000025251371858534964+0.*I,0.-0.000010698219128584273*I,-4.436068906102339*^-6+0.*I,0.+1.8019683321510092*^-6*I,7.176714595026601*^-7+0.*I,0.-2.8046036206269113*^-7*I,-1.0762072264734513*^-7+0.*I,0.+4.0577651888421676*^-8*I,1.5042214498776183*^-8+0.*I,0.-5.485538062497492*^-9*I,-1.9689803417843934*^-9+0.*I,0.+6.959777138167996*^-10*I,2.423732289498015*^-10+0.*I,0.-8.319564234017768*^-11*I,-2.8159385488414457*^-11+0.*I,0.+9.402043284432422*^-12*I,3.0978347185965516*^-12+0.*I,0.-1.0075880341898421*^-12*I,-3.236237891406189*^-13+0.*I,0.+1.0267557919148163*^-13*I,3.218792772665813*^-14+0.*I,0.-9.973362182612677*^-15*I,-3.0551367128708892*^-15+0.*I,0.+9.254917472838397*^-16*I,2.7731579826788756*^-16+0.*I,0.-8.22128005063897*^-17*I,-2.4119330787593654*^-17+0.*I,0.+7.003999980183477*^-18*I,2.013595892017065*^-18+0.*I,0.-5.732319566090443*^-19*I,-1.6162314529631158*^-19+0.*I,0.+4.514106212992757*^-20*I,1.2491425383699577*^-20+0.*I,0.-3.425297654305552*^-21*I,-9.308980472339407*^-22+0.*I,0.+2.5077961947697607*^-22*I,6.697844994898093*^-23+0.*I,0.-1.7737597835649053*^-23*I,-4.658362939996846*^-24+0.*I,0.+1.213418273744953*^-24*I,3.135337897484988*^-25+0.*I,0.-8.037312202969221*^-26*I,-2.044298296091117*^-26+0.*I,0.+5.1598516830877386*^-27*I,1.2925300823264965*^-27+0.*I,0.-3.2136902516752975*^-28*I,-7.931863608476926*^-29+0.*I,0.+1.943573064326245*^-29*I,4.7285296457195005*^-30+0.*I,0.-1.1423386807793282*^-30*I,-2.740626475719712*^-31+0.*I,0.+6.530290640939893*^-32*I,1.545550609390875*^-32+0.*I,0.-3.6336348689676306*^-33*I,-8.486818292117162*^-34+0.*I,0.+1.969388139385417*^-34*I,4.540846210319162*^-35+0.*I,0.-1.0403911991860332*^-35*I,-2.3688927344671633*^-36+0.*I,0.+5.360639018165723*^-37*I,1.2057102047970207*^-37+0.*I,0.-2.695606446735748*^-38*I,-5.990849574702514*^-39+0.*I,0.+1.3236378752483244*^-39*I,2.9075590841093195*^-40+0.*I,0.-6.350319336405795*^-41*I,-1.3791091224888366*^-41+0.*I
-0.33729922536439794+0.*I,0.-0.2984968808856232*I,-0.15484737461814438+0.*I,0.-0.23547501729622458*I,-0.20248910697004843+0.*I,0.-0.11377041632366658*I,-0.2572125520202427+0.*I,0.+0.09363898993443166*I,-0.15666715912488013+0.*I,0.+0.2461967901359292*I,0.12483253427103545+0.*I,0.+0.08414570087488649*I,0.22857550267604357+0.*I,0.-0.2347549373089388*I,-0.12273551958719561+0.*I,0.-0.03806481885169059*I,-0.18016130245801812+0.*I,0.+0.2659987927918445*I,0.29020315660462204+0.*I,0.-0.2677134503941233*I,-0.21989972156819754+0.*I,0.+0.16519473067074855*I,0.11536453771254092+0.*I,0.-0.07572361577193804*I,-0.0470893666385139+0.*I,0.+0.02791017273324707*I,0.015841917559214408+0.*I,0.-0.00864416781767826*I,-0.004548689341077108+0.*I,0.+0.0023145023754943205*I,0.0011413791274305421+0.*I,0.-0.0005465915394037105*I,-0.0002546297510848336+0.*I,0.+0.00011556690280856917*I,0.000051171468764781+0.*I,0.-0.000022132128734851495*I,-9.360483693324013*^-6+0.*I,0.+3.875142051718479*^-6*I,1.5717636082348859*^-6+0.*I,0.-6.251147140321253*^-7*I,-2.439711478327669*^-7+0.*I,0.+9.350418685897924*^-8*I,3.5214557128445025*^-8+0.*I,0.-1.303996408611806*^-8*I,-4.750504832887809*^-9+0.*I,0.+1.7035002706586185*^-9*I,6.015875659703176*^-10+0.*I,0.-2.0932036443674636*^-10*I,-7.179096055292899*^-11+0.*I,0.+2.4280203318901313*^-11*I,8.100795658206821*^-12+0.*I,0.-2.667197165190322*^-12*I,-8.669328021431117*^-13+0.*I,0.+2.7826692038022973*^-13*I,8.823061263328244*^-14+0.*I,0.-2.764315618794782*^-14*I,-8.560308902886563*^-15+0.*I,0.+2.6208479363143436*^-15*I,7.935175458561871*^-16+0.*I,0.-2.3765136963714127*^-16*I,-7.041987946587047*^-17+0.*I,0.+2.064995610358475*^-17*I,5.993845375341488*^-18+0.*I,0.-1.7224407868005869*^-18*I,-4.901416945723072*^-19+0.*I,0.+1.3814030472650741*^-19*I,3.85673884446824*^-20+0.*I,0.-1.0668362281544452*^-20*I,-2.9243327134228593*^-21+0.*I,0.+7.944717073566937*^-22*I,2.1395443824954505*^-22+0.*I,0.-5.712438762733793*^-23*I,-1.5123179733033245*^-23+0.*I,0.+3.97052296396889*^-24*I,1.03393930280332*^-24+0.*I,0.-2.6708091169243915*^-25*I,-6.844583288561993*^-26+0.*I,0.+1.7404503848520842*^-26*I,4.391765925216116*^-27+0.*I,0.-1.0998423756795372*^-27*I,-2.7339132410496354*^-28+0.*I,0.+6.746054557879065*^-29*I,1.6526170740347675*^-29+0.*I,0.-4.019730824068899*^-30*I,-9.708851591860089*^-31+0.*I,0.+2.328774742458403*^-31*I,5.547754439609729*^-32+0.*I,0.-1.312735939938367*^-32*I,-3.0856531567932916*^-33+0.*I,0.+7.20550749800828*^-34*I,1.6717330418069645*^-34+0.*I,0.-3.853810486143603*^-35*I,-8.8281585789569*^-36+0.*I,0.+2.009743448926792*^-36*I,4.547109031975328*^-37+0.*I,0.-1.0225559208832648*^-37*I,-2.2857442257653317*^-38+0.*I,0.+5.079116856033798*^-39*I,1.1220163805880988*^-39+0.*I,0.-2.4642814445254645*^-40*I
0.+0.2609219577377156*I,-0.3583930516435486+0.*I,0.-0.039769206058861244*I,-0.2835259934019327+0.*I,0.-0.02136444642196422*I,-0.2591430329136914+0.*I,0.+0.09363898993443166*I,-0.18477696149115455+0.*I,0.+0.22129609574301853*I,0.012804689540270666+0.*I,0.+0.19769570729652375*I,0.22157780343255742+0.*I,0.-0.06664480304569412*I,0.1298983390597141+0.*I,0.-0.2370500478356561*I,-0.20911191182774647+0.*I,0.+0.08181739106596789*I,-0.07499447924778053+0.*I,0.+0.20205679083285258*I,0.2710192685184394+0.*I,0.-0.2824121933600903*I,-0.2530890778626248+0.*I,0.+0.2036173017254653*I,0.15053905032009013+0.*I,0.-0.10378633320838954*I,-0.06740028138100139+0.*I,0.+0.041535120949630404*I,0.024426106279816326+0.*I,0.-0.013769641138705057*I,-0.007467995001128154+0.*I,0.+0.00390854728913641*I,0.0019791151825452645+0.*I,0.-0.0009716898983722835*I,-0.0004634642550317717+0.*I,0.+0.0002151127308107896*I,0.00009730230270625013+0.*I,0.-0.000042950033137480485*I,-0.000018522726060099494+0.*I,0.+7.81295070435759*^-6*I,3.226405817842589*^-6+0.*I,0.-1.3055831033384122*^-6*I,-5.181163100077976*^-7+0.*I,0.+2.0179689352496198*^-7*I,7.719130881131341*^-8+0.*I,0.-2.901810878528391*^-8*I,-1.0726964561910135*^-8+0.*I,0.+3.901523046375989*^-9*I,1.3969076798117084*^-9+0.*I,0.-4.925946006175592*^-10*I,-1.7115877857283608*^-10+0.*I,0.+5.862510297164064*^-11*I,1.9802475009360026*^-11+0.*I,0.-6.5989275816896865*^-12*I,-2.1702153558745537*^-12+0.*I,0.+7.046234501153171*^-13*I,2.2593195867975217*^-13+0.*I,0.-7.156472070513113*^-14*I,-2.2400044668721352*^-14+0.*I,0.+6.930253707316943*^-15*I,2.1199021662758425*^-15+0.*I,0.-6.412978043948271*^-16*I,-1.9190523895987934*^-16+0.*I,0.+5.681962330214602*^-17*I,1.6649120904217303*^-17+0.*I,0.-4.8290162675175135*^-18*I,-1.3867226798472531*^-18+0.*I,0.+3.9433905188317275*^-19*I,1.110660849245919*^-19+0.*I,0.-3.098873019482761*^-20*I,-8.566687115282356*^-21+0.*I,0.+2.34683304879061*^-21*I,6.372096694076062*^-22+0.*I,0.-1.7150689597756489*^-22*I,-4.5766289290558647*^-23+0.*I,0.+1.210983605164414*^-23*I,3.177757080415217*^-24+0.*I,0.-8.270892660250056*^-25*I,-2.1354567846963387*^-25+0.*I,0.+5.47005278422561*^-26*I,1.3902997258171162*^-26+0.*I,0.-3.5066606374008724*^-27*I,-8.778049362331762*^-28+0.*I,0.+2.1810737677201953*^-28*I,5.379703845567407*^-29+0.*I,0.-1.3173715902940397*^-29*I,-3.203059703476636*^-30+0.*I,0.+7.733431097814008*^-31*I,1.854266984613684*^-31+0.*I,0.-4.4157696818016355*^-32*I,-1.0445152532773196*^-32+0.*I,0.+2.454349649619099*^-33*I,5.729402958575683*^-34+0.*I,0.-1.3288336432242883*^-34*I,-3.062360002033187*^-35+0.*I,0.+7.012960731042694*^-36*I,1.5960275197851998*^-36+0.*I,0.-3.6099947473550472*^-37*I,-8.115823499634533*^-38+0.*I,0.+1.8136365553358927*^-38*I,4.0289383892339263*^-39+0.*I
