2.5281392565177803*^-12+0.*I,0.-1.8475678202610734*^-11*I,-9.547392752860537*^-11+0.*I,0.+4.028316249950219*^-10*I,1.4719496669447896*^-9+0.*I,0.-4.810689806769978*^-9*I,-1.4352618007964603*^-8+0.*I,0.+3.964436841442105*^-8*I,1.024320600144715*^-7+0.*I,0.-2.495249913652022*^-7*I,-5.766515268279504*^-7+0.*I,0.+1.270622380729343*^-6*I,2.6805584081103575*^-6+0.*I,0.-5.433166267048195*^-6*I,-0.000010611783349163748+0.*I,0.+0.00002002359913741386*I,0.00003658318792835163+0.*I,0.-0.00006484201232200694*I,-0.00011169137279383638+0.*I,0.+0.00018725879544341883*I,0.0003060036625904089+0.*I,0.-0.00048799612596315563*I,-0.0007603340342689303+0.*I,0.+0.0011586170359721491*I,0.0017283579281526919+0.*I,0.-0.002526172940604831*I,-0.0036205604407483208+0.*I,0.+0.005092057707944588*I,0.007032564081661775+0.*I,0.-0.009543641044700919*I,-0.012733648750738858+0.*I,0.+0.016713654337480222*I,0.02159214678692087+0.*I,0.-0.027468709160463962*I,-0.03442692152461744+0.*I,0.+0.042526884183805444*I,0.05179784731095831+0.*I,0.-0.06223149669604338*I,-0.07377646545088413+0.*I,0.+0.08633461135888945*I,0.09975951744516119+0.*I,0.-0.11385754318733408*I,-0.128391584985785+0.*I,0.+0.1430875110858097*I,0.15764303529081916+0.*I,0.-0.17173860402349148*I,-0.1850497103336417+0.*I,0.+0.19725993136572956*I,0.20807392330920915+0.*I,0.-0.21722960527502783*I,-0.22450882033835284+0.*I,0.+0.22974587202179614*I,0.2328334868745354+0.*I,0.-0.23372593421819574*I,-0.23243922646793566+0.*I,0.+0.22904851148372743*I,0.22368293742962467+0.*I,0.-0.21651840865995525*I,-0.20776874991466135+0.*I,0.+0.1976758513886195*I,0.18649937890338655+0.*I,0.-0.1745066049544048*I,-0.16196285423554735+0.*I,0.+0.14912296974210748*I,0.13622410209751068+0.*I,0.-0.1234800147557453*I,-0.11107698984321243+0.*I,0.+0.09917132086710446*I,0.08788829478514265+0.*I,0.-0.07732250049258468*I,-0.06753925519456969+0.*I,0.+0.058576914222169776*I,0.050449822030588135+0.*I,0.-0.04315166976483921*I,-0.03665904463348094+0.*I,0.+0.030934984875416616*I,0.02593238788247098+0.*I,0.-0.021597154910399013*I,-0.017870991121633508+0.*I,0.+0.014693812388686762*I,0.012005738896555528+0.*I,0.-0.00974867925163521*I,-0.007867527188769869+0.*I,0.+0.006311006148408872*I,0.00503220537506348+0.*I,0.-0.0039888553860297745*I,-0.00314339141615094+0.*I,0.+0.002462851540722067*I,0.0019186523705149862+0.*I,0.-0.0014862801864994823*I,-0.0011449297244735316+0.*I,0.+0.0008771170061130287*I,0.0006682870028306498+0.*I,0.-0.0005064317643122819*I,-0.00038173010153913706+0.*I,0.+0.0002862160621223292*I,0.0002134802893342136+0.*I,0.-0.00015840588516162545*I,-0.00011693854122449477+0.*I,0.+0.00008588938075364335*I
0.-1.8475678202610734*^-11*I,-1.3249238390746194*^-10+0.*I,0.+6.715962866987379*^-10*I,2.7785336406118858*^-9+0.*I,0.-9.95136617661295*^-9*I,-3.186521107784773*^-8+0.*I,0.+9.310540437138748*^-8*I,2.51748159076779*^-7+0.*I,0.-6.364437671288277*^-7*I,-1.516236060946601*^-6+0.*I,0.+3.4251103812594503*^-6*I,7.373189961732319*^-6+0.*I,0.-0.000015187994522648822*I,-0.000030040766767925222+0.*I,0.+0.00005722201929366524*I,0.00010523349152853416+0.*I,0.-0.00018725606923158133*I,-0.00032303001466492143+0.*I,0.+0.0005411408059149802*I,0.0008816385749584712+0.*I,0.-0.0013988323940789507*I,-0.00216399779031083+0.*I,0.+0.003267627384612023*I,0.0048207561039415436+0.*I,0.-0.006954823612168895*I,-0.009819518696754334+0.*I,0.+0.013578102876844255*I,0.018399847372654647+0.*I,0.-0.024449443172225485*I,-0.03187355000478818+0.*I,0.+0.04078501418373339*I,0.05124567158409832+0.*I,0.-0.06324901402829627*I,-0.07670428340694532+0.*I,0.+0.09142371802986912*I,0.1071146694396047+0.*I,0.-0.12337811120423764*I,-0.13971467194178097+0.*I,0.+0.1555387654699615*I,0.17020070774234503+0.*I,0.-0.18301596879830498*I,-0.19329998608274784+0.*I,0.+0.2004063435856861*I,0.2037656721628264+0.*I,0.-0.20292240595744326*I,-0.19756656949549897+0.*I,0.+0.18755807261366259*I,0.172941529655239+0.*I,0.-0.1539503432332232*I,-0.13099962980994853+0.*I,0.+0.10466843215231522*I,0.07567247911950725+0.*I,0.-0.04482944128167189*I,-0.013019132810027097+0.*I,0.-0.01885861113249568*I,-0.0499256094154953+0.*I,0.+0.07936397227440482*I,0.10644948574965576+0.*I,0.-0.13057804824693928*I,-0.1512840728052951+0.*I,0.+0.16825040596227397*I,0.1813099240888544+0.*I,0.-0.1904395033629773*I,-0.19574748503229458+0.*I,0.+0.19745605221235085*I,0.1958800912830676+0.*I,0.-0.19140413593085465*I,-0.18445890139523421+0.*I,0.+0.17549873420198223*I,0.16498105630164675+0.*I,0.-0.15334860065157419*I,-0.14101494462842548+0.*I,0.+0.12835357112225157*I,0.11569044246371034+0.*I,0.-0.10329987145517819*I,-0.09140332302183954+0.*I,0.+0.08017068057605607*I,0.06972346011818904+0.*I,0.-0.06013944631947666*I,-0.05145825034794991+0.*I,0.+0.043687340134211335*I,0.036808161289921724+0.*I,0.-0.03078204287907549*I,-0.02555565979781888+0.*I,0.+0.021065897207616063*I,0.017244028398226474+0.*I,0.-0.014019173211944484*I,-0.011321048618092973+0.*I,0.+0.00908205612503097*I,0.007238773191917898+0.*I,0.-0.005732928927947626*I,-0.0045119497208368714+0.*I,0.+0.003529159705799989*I,0.0027437158150081455+0.*I,0.-0.0021203490303375355*I,-0.0016289736788827826+0.*I,0.+0.0012442161956292377*I,0.0009449045163922995+0.*I,0.-0.0007135497097795783*I,-0.0005358429592014348+0.*I
-9.547392752860537*^-11+0.*I,0.+6.715962866987379*^-10*I,3.3380127040029364*^-9+0.*I,0.-1.3535667877037391*^-8*I,-4.749470819701263*^-8+0.*I,0.+1.489304707408115*^-7*I,4.2593434844865853*^-7+0.*I,0.-1.1267360739919616*^-6*I,-2.785356487818348*^-6+0.*I,0.+6.485119345664089*^-6*I,0.0000143090105011291+0.*I,0.-0.000030068706642719465*I,-0.0000604241158213564+0.*I,0.+0.00011651512105705851*I,0.0002162170514810876+0.*I,0.-0.00038709001445610063*I,-0.000670009196441671+0.*I,0.+0.001123332078510021*I,0.0018272802716235977+0.*I,0.-0.002888000413430491*I,-0.004440545570417812+0.*I,0.+0.006649824346030311*I,0.009708447966527759+0.*I,0.-0.013830418078678974*I,-0.019239785897780606+0.*I,0.+0.026153805472134084*I,0.03476070078996449+0.*I,0.-0.045192932598421054*I,-0.05749771137130193+0.*I,0.+0.07160734812615922*I,0.08731273180894841+0.*I,0.-0.1042436330214268*I,-0.12185953917606593+0.*I,0.+0.13945424713101956*I,0.15617645811892972+0.*I,0.-0.17106719092056155*I,-0.18311308064332188+0.*I,0.+0.19131275209769155*I,0.19475167811820815+0.*I,0.-0.19267949250768657*I,-0.18458283720039675+0.*I,0.+0.17024663815873656*I,0.14979729539077988+0.*I,0.-0.12372261307052135*I,-0.09286526290501848+0.*I,0.+0.05838896192864174*I,0.02171909291473446+0.*I,0.+0.015538082284527875*I,0.05169143782265828+0.*I,0.-0.0850686339374324*I,-0.11411915146952543+0.*I,0.+0.13750861377152324*I,0.15419722213179926+0.*I,0.-0.16349669833175007*I,-0.16510214976942217+0.*I,0.+0.1590975206019622*I,0.14593552959307068+0.*I,0.-0.12639500380562363*I,-0.10152012096941118+0.*I,0.+0.07254715401774914*I,0.040824815603305316+0.*I,0.-0.007734238803505334*I,0.025385931529366253+0.*I,0.-0.05730481682735304*I,-0.08695164715095383+0.*I,0.+0.1134531974616162*I,0.13615566942750973+0.*I,0.-0.15463156677386028*I,-0.16867309860616472+0.*I,0.+0.17827436939760777*I,0.18360505643373554+0.*I,0.-0.18497844414653355*I,-0.18281661154077297+0.*I,0.+0.1776153012106621*I,0.16991059208830844+0.*I,0.-0.160249010511413*I,-0.14916219890978255+0.*I,0.+0.13714676376448268*I,0.12464947931566503+0.*I,0.-0.11205765413179011*I,-0.09969418634025017+0.*I,0.+0.08781664251787646*I,0.07661958958633468+0.*I,0.-0.06623937759393216*I,-0.05676059966231762+0.*I,0.+0.04822352793741002*I,0.04063192568382075+0.*I,0.-0.03396075176789494*I,-0.02816339301961742+0.*I,0.+0.023178173335271463*I,0.01893398957349726+0.*I,0.-0.015355009512831825*I,-0.012364434740478852+0.*I,0.+0.009887381403155435*I,0.007852965589939106+0.*I,0.-0.0061956998555013154*I,-0.004856315569718856+0.*I,0.+0.0037821250438629436*I,0.0029270302592847596+0.*I,0.-0.0022512737602472807*I
0.+4.028316249950219*^-10*I,2.7785336406118858*^-9+0.*I,0.-1.3535667877037391*^-8*I,-5.3772815638805275*^-8+0.*I,0.+1.8476402444782445*^-7*I,5.670645635255738*^-7+0.*I,0.-1.5865185351980411*^-6*I,-4.103394144795561*^-6+0.*I,0.+9.912258055606768*^-6*I,0.000022538182029038276+0.*I,0.-0.00004853362673964584*I,-0.00009946874695909559+0.*I,0.+0.00019480909824161176*I,0.00036582757097574736+0.*I,0.-0.0006605797398374758*I,-0.0011497667207263458+0.*I,0.+0.0019330130574867013*I,0.0031447162774250787+0.*I,0.-0.004958224203911664*I,-0.0075867397377382415+0.*I,0.+0.01127913834554446*I,0.01630891890864264+0.*I,0.-0.022954890745699816*I,-0.03147298800039395+0.*I,0.+0.042059793208324064*I,0.054809857913730525+0.*I,0.-0.06967055381157714*I,-0.08639971986328075+0.*I,0.+0.10453249006923133*I,0.12336409630023863+0.*I,0.-0.14195490432277197*I,-0.1591623398139283+0.*I,0.+0.1737017370743232*I,0.18423471991432874+0.*I,0.-0.18947989500665835*I,-0.18833692072515+0.*I,0.+0.18001197846346156*I,0.16413084918132975+0.*I,0.-0.14082558525528002*I,-0.11078235892499094+0.*I,0.+0.07524140187592296*I,0.03594470307173056+0.*I,0.+0.004967243619196527*I,0.04510255238721566+0.*I,0.-0.08199660657481107*I,-0.11330599761882548+0.*I,0.+0.13699930822340073*I,0.15152622998995618+0.*I,0.-0.15594853290290636*I,-0.15002027633160675+0.*I,0.+0.13420987825829048*I,0.10966259316167776+0.*I,0.-0.0781078767446942*I,-0.04172135763431484+0.*I,0.+0.0029551318991805245*I,-0.03564753096844669+0.*I,0.+0.07163639061924358*I,0.1028217950855146+0.*I,0.-0.12741263671459827*I,-0.144115400655134+0.*I,0.+0.15218924029478678*I,0.15145633880967604+0.*I,0.-0.14227077545750785*I,-0.12545235003832186+0.*I,0.+0.10219409147841706*I,0.07395338186198974+0.*I,0.-0.042336786632561754*I,-0.00898792185003129+0.*I,0.-0.024513787149959592*I,-0.05673755005621835+0.*I,0.+0.08646512058169845*I,0.1127325839128858+0.*I,0.-0.13485037968980837*I,-0.1524035125683357+0.*I,0.+0.16523506760224144*I,0.17341685732777964+0.*I,0.-0.17721130338549804*I,-0.17702855570116127+0.*I,0.+0.17338245771621028*I,0.16684836840619394+0.*I,0.-0.15802514176617552*I,-0.14750282383043467+0.*I,0.+0.13583692298928865*I,0.12352949038608223+0.*I,0.-0.11101674420273382*I,-0.09866259844353902+0.*I,0.+0.0867572129895592*I,0.07551955606365095+0.*I,0.-0.06510294452575112*I,-0.055602579569534114+0.*I,0.+0.04706420249712812*I,0.039493135726823385+0.*I,0.-0.032863129304885726*I,-0.027124587906536355+0.*I,0.+0.022211896565131888*I,0.018049687937459622+0.*I,0.-0.014557995957296314*I,-0.011656319173614638+0.*I,0.+0.00926667291679576*I,0.0073157450970547+0.*I
1.4719496669447896*^-9+0.*I,0.-9.95136617661295*^-9*I,-4.749470819701263*^-8+0.*I,0.+1.8476402444782445*^-7*I,6.213562640423517*^-7+0.*I,0.-1.8654855511797319*^-6*I,-5.102640769378861*^-6+0.*I,0.+0.000012895065092154183*I,0.00003041638686927173+0.*I,0.-0.00006748629281937535*I,-0.00014170622784644035+0.*I,0.+0.00028297560493740294*I,0.0005395489283698902+0.*I,0.-0.0009855394899999646*I,-0.0017293624233988309+0.*I,0.+0.002922048735427388*I,0.004763710230646391+0.*I,0.-0.0075058074827053295*I,-0.011446436434907786+0.*I,0.+0.01691580267029863*I,0.024249587190338606+0.*I,0.-0.03374915485252584*I,-0.045629531425508615+0.*I,0.+0.05995863112225351*I,0.07659402685347479+0.*I,0.-0.0951261336277183*I,-0.11483843926216078+0.*I,0.+0.13469579186159703*I,0.15337030153312078+0.*I,0.-0.169310955443757*I,-0.1808577539312827+0.*I,0.+0.18639461042725003*I,0.18452832255977747+0.*I,0.-0.17427474187521022*I,-0.15522901017034357+0.*I,0.+0.12769538040527184*I,0.09275430716000549+0.*I,0.-0.05225024944529278*I,-0.008692453045939573+0.*I,0.-0.0349282094493194*I,-0.07539195292813969+0.*I,0.+0.1095478173916287*I,0.1346244941020968+0.*I,0.-0.14851885481531854*I,-0.15002794924057647+0.*I,0.+0.13899595424631572*I,0.11635712918568304+0.*I,0.-0.08406796985505127*I,-0.04493480742924625+0.*I,0.+0.0023553079881740617*I,-0.03999790914059839+0.*I,0.+0.07851721260657298*I,0.10998735693175007+0.*I,0.-0.13186682085628146*I,-0.14249598306906608+0.*I,0.+0.14121425796183282*I,0.12837904110580436+0.*I,0.-0.10529013745418755*I,-0.07403296386304377+0.*I,0.+0.037261198419503*I,-0.0020559635354788146+0.*I,0.+0.040895426530104695*I,0.07642576118999735+0.*I,0.-0.10621584299394275*I,-0.12839145185481096+0.*I,0.+0.14173136151787052*I,0.14570113309199004+0.*I,0.-0.1404288355575424*I,-0.12663170642474647+0.*I,0.+0.1055060130036208*I,0.07859397437110781+0.*I,0.-0.04764164767347291*I,-0.014460413990712486+0.*I,0.-0.019197538994738614*I,-0.05174216314526479+0.*I,0.+0.08182238162158458*I,0.10837517382383896+0.*I,0.-0.13064781710953657*I,-0.14819618258483247+0.*I,0.+0.16086335324701614*I,0.1687435781256783+0.*I,0.-0.1721367544195656*I,-0.17149834176904674+0.*I,0.+0.16738898225529072*I,0.16042725518401596+0.*I,0.-0.15124805709559952*I,-0.14046816605336676+0.*I,0.+0.12865970231970658*I,0.11633148647124508+0.*I,0.-0.10391774784483278*I,-0.0917732570128589+0.*I,0.+0.08017373556556295*I,0.06932031345861396+0.*I,0.-0.059346830863073866*I,-0.05032888797396852+0.*I,0.+0.04229370383758809*I,0.03523002856201915+0.*I,0.-0.02909754159001294*I,-0.023835346558331267+0.*I,0.+0.019369330261663775*I
0.-4.810689806769978*^-9*I,-3.186521107784773*^-8+0.*I,0.+1.489304707408115*^-7*I,5.670645635255738*^-7+0.*I,0.-1.8654855511797319*^-6*I,-5.475504605096058*^-6+0.*I,0.+0.000014633135061433665*I,0.00003610668559916126+0.*I,0.-0.00008309704559835573*I,-0.00017975376693387147+0.*I,0.+0.000367690415498687*I,0.0007146488550378016+0.*I,0.-0.0013249933103005392*I,-0.00235098644312669+0.*I,0.+0.0040028543613794135*I,0.006554622956966468+0.*I,0.-0.010341844909324343*I,-0.01574695823187566+0.*I,0.+0.02316847211355638*I,0.032971748310755+0.*I,0.-0.0454219483200235*I,-0.060603587914716546+0.*I,0.+0.0783355911733193*I,0.09809495922109389+0.*I,0.-0.11896514479050692*I,-0.13962590914497985+0.*I,0.+0.158399013257567*I,0.17335821717160957+0.*I,0.-0.18250305766078914*I,-0.18398481698375044+0.*I,0.+0.17636171470687498*I,0.15885078259960717+0.*I,0.-0.13153826513406944*I,-0.09551043347526113+0.*I,0.+0.05287326380632796*I,0.0066422290111284+0.*I,0.+0.03949900757440327*I,0.0815524609772151+0.*I,0.-0.11563494470162616*I,-0.13843059072445218+0.*I,0.+0.14760735870511357*I,0.14213923453274152+0.*I,0.-0.12248587768969861*I,-0.09059925470429904+0.*I,0.+0.04974973467456472*I,0.004188764508901365+0.*I,0.+0.04131218201658506*I,0.08198961385478729+0.*I,0.-0.11361718925625443*I,-0.1329704777311652+0.*I,0.+0.1381710410117336*I,0.12887028538384684+0.*I,0.-0.10625505278290069*I,-0.07287997870502029+0.*I,0.+0.03235296416737812*I,-0.011083141230731815+0.*I,0.+0.0530193434859064*I,0.08934373284323441+0.*I,0.-0.11664753957896346*I,-0.13253291595654595+0.*I,0.+0.13579596691406637*I,0.12647503657182788+0.*I,0.-0.10577033369597255*I,-0.07585468906400056+0.*I,0.+0.039605164761125376*I,0.00029062604048759536+0.*I,0.+0.03874883942157149*I,0.0743981027010851+0.*I,0.-0.10401271630184868*I,-0.12559657858162546+0.*I,0.+0.13790311367678504*I,0.1404602870554839+0.*I,0.-0.13352718894884016*I,-0.11799539468821295+0.*I,0.+0.09525157687672774*I,0.06701892380747841+0.*I,0.-0.03519407765370861*I,-0.0016939752038185774+0.*I,0.-0.03167633376244646*I,-0.06332757998994694+0.*I,0.+0.09195832489034901*I,0.1165949864426012+0.*I,0.-0.13660239851066153*I,-0.1516694281996834+0.*I,0.+0.16177534357020876*I,0.1671430516591992+0.*I,0.-0.168185134378456*I,-0.16544795171928967+0.*I,0.+0.15955812212183237*I,0.15117458396452507+0.*I,0.-0.14094832217961054*I,-0.12949081175013205+0.*I,0.+0.11735135397006527*I,0.10500279904634774+0.*I,0.-0.0928346700487947*I,-0.08115241753987805+0.*I,0.+0.0701814161866842*I,0.06007433083111395+0.*I,0.-0.05092059358760595*I,-0.0427569105630863+0.*I
-1.4352618007964603*^-8+0.*I,0.+9.310540437138748*^-8*I,4.2593434844865853*^-7+0.*I,0.-1.5865185351980411*^-6*I,-5.102640769378861*^-6+0.*I,0.+0.000014633135061433665*I,0.0000381822256231447+0.*I,0.-0.00009191814101960835*I,-0.00020622633020864342+0.*I,0.+0.00043451987967040625*I,0.0008649375046591635+0.*I,0.-0.00163428853680581*I,-0.0029424307727266116+0.*I,0.+0.0050637940412672075*I,0.008351262445002148+0.*I,0.-0.01322654690015247*I,-0.0201510785218066+0.*I,0.+0.02957288532978749*I,0.04184824347850838+0.*I,0.-0.05714209854767613*I,-0.07531777334966876+0.*I,0.+0.09583317510537294*I,0.11766597870092797+0.*I,0.-0.1392923086582517*I,-0.1587407355853226+0.*I,0.+0.1737351373132973*I,0.1819264778520025+0.*I,0.-0.18119648790503018*I,-0.1699984749563893+0.*I,0.+0.14768572014503564*I,0.1147698675765876+0.*I,0.-0.07305331408883299*I,-0.02559219409480184+0.*I,0.-0.023530687269483017*I,-0.06961375035928062+0.*I,0.+0.10788407761135799*I,0.13411474487892838+0.*I,0.-0.14522350238075304*I,-0.1397591946132702+0.*I,0.+0.11819308863273681*I,0.08295800419884511+0.*I,0.-0.03821502952845061*I,0.010630360398024804+0.*I,0.-0.05760095606975705*I,-0.09691638407618884+0.*I,0.+0.12374814597406963*I,0.134852414457725+0.*I,0.-0.1289898161566058*I,-0.1070734643267859+0.*I,0.+0.07202718345179104*I,0.028378440294533694+0.*I,0.+0.01835186019909859*I,0.06237355500446949+0.*I,0.-0.09836355682622897*I,-0.12211537211879399+0.*I,0.+0.13101984241973588*I,0.12432282861547775+0.*I,0.-0.1031390417705574*I,-0.07023516094344744+0.*I,0.+0.029624827647886983*I,-0.013960730037255847+0.*I,0.+0.05565200382347054*I,0.09099621997266326+0.*I,0.-0.1164237713886655*I,-0.12957898571452442+0.*I,0.+0.12948947759463028*I,0.11657045559367463+0.*I,0.-0.09248027660996436*I,-0.0598589816275874+0.*I,0.+0.02199115111515006*I,-0.017562196868348687+0.*I,0.+0.055320290212746696*I,0.08819242159648454+0.*I,0.-0.11371541955462647*I,-0.13020461361365607+0.*I,0.+0.13681526573076086*I,0.13352111618217785+0.*I,0.-0.12102405559151302*I,-0.10061356219303534+0.*I,0.+0.07399641369557798*I,0.04311660091930884+0.*I,0.-0.009982863189348726*I,0.02348252578204788+0.*I,0.-0.05556451371785466*I,-0.08484082197905717+0.*I,0.+0.11023158485392831*I,0.1310156553759557+0.*I,0.-0.14681852807822218*I,-0.15757824681324628+0.*I,0.+0.16349620225722897*I,0.1649795251599569+0.*I,0.-0.16258103450834502*I,-0.1569416019231185+0.*I,0.+0.14873852932782258*I,0.13864226180807335+0.*I,0.-0.12728258953536303*I,-0.11522450955989591+0.*I,0.+0.10295316062373457*I,0.09086672075798226+0.*I,0.-0.07927585314489873*I
0.+3.964436841442105*^-8*I,2.51748159076779*^-7+0.*I,0.-1.1267360739919616*^-6*I,-4.103394144795561*^-6+0.*I,0.+0.000012895065092154183*I,0.00003610668559916126+0.*I,0.-0.00009191814101960835*I,-0.0002157112901471416+0.*I,0.+0.0004713675209489204*I,0.0009663790226383312+0.*I,0.-0.0018697536869692495*I,-0.0034299259436549015+0.*I,0.+0.005987707522174793*I,0.00997720188519935+0.*I,0.-0.015906318941077142*I,-0.024308972332304023+0.*I,0.+0.03566404177921771*I,0.05028214381432326+0.*I,0.-0.06816983913013144*I,-0.08889082517519453+0.*I,0.+0.11145270563529033*I,0.1342532946429973+0.*I,0.-0.15511935507606456*I,-0.17146131301702852+0.*I,0.+0.1805496321093701*I,0.17989416199735145+0.*I,0.-0.16768109332214973*I,-0.14319896225663004+0.*I,0.+0.10717168252063065*I,0.061917977959050595+0.*I,0.-0.011275378147413247*I,0.03973801454812649+0.*I,0.-0.08550456923259632*I,-0.12056256509985583+0.*I,0.+0.14042589189659607*I,0.1423330661277402+0.*I,0.-0.12578961055182192*I,-0.0927930403146186+0.*I,0.+0.04767810970224103*I,-0.003416455542344445+0.*I,0.+0.053391425729669095*I,0.09521470085128174+0.*I,0.-0.1229701836022949*I,-0.13275650007817763+0.*I,0.+0.12328627245080093*I,0.09608551201593338+0.*I,0.-0.05525940069765079*I,-0.006863027507330509+0.*I,0.-0.042019533980510705*I,-0.08433844569640228+0.*I,0.+0.11411467346051586*I,0.12729021744204935+0.*I,0.-0.12226761209037194*I,-0.10006834667581169+0.*I,0.+0.06410252241710228*I,0.019602395226846935+0.*I,0.+0.027179310046565732*I,0.06987624453502451+0.*I,0.-0.10288343001246804*I,-0.1220779285394548+0.*I,0.+0.12529452167375452*I,0.11250825399782784+0.*I,0.-0.08572134978593252*I,-0.048593568673847766+0.*I,0.+0.00588676949430088*I,-0.03718724756872676+0.*I,0.+0.07562272196085355*I,0.1051962455482519+0.*I,0.-0.1228995309619881*I,-0.12719048604633396+0.*I,0.+0.11805189619599081*I,0.09687221080843536+0.*I,0.-0.06618281240956483*I,-0.029298879239584397+0.*I,0.-0.010084027865901441*I,-0.04828764221504662+0.*I,0.+0.08200074889388498*I,0.10855044914856335+0.*I,0.-0.12607766682829363*I,-0.13361272476143501+0.*I,0.+0.13105816133260184*I,0.11909452660106609+0.*I,0.-0.09903021023088797*I,-0.07261841904880041+0.*I,0.+0.04186363693897948*I,0.008836916814627217+0.*I,0.+0.02448505343822327*I,0.05634722928849013+0.*I,0.-0.08530498357047261*I,-0.11027400739958097+0.*I,0.+0.1305445487313556*I,0.14576570924179655+0.*I,0.-0.1559069461143092*I,-0.1612043718372145+0.*I,0.+0.16209909513344245*I,0.1591739211506664+0.*I,0.-0.15309345521921464*I,-0.144551237095837+0.*I,0.+0.13422613949244117*I,0.12274901834717024+0.*I
1.024320600144715*^-7+0.*I,0.-6.364437671288277*^-7*I,-2.785356487818348*^-6+0.*I,0.+9.912258055606768*^-6*I,0.00003041638686927173+0.*I,0.-0.00008309704559835573*I,-0.00020622633020864342+0.*I,0.+0.0004713675209489204*I,0.0010021955179519602+0.*I,0.-0.0019969435462481666*I,-0.003750575032813434+0.*I,0.+0.0066696704830541435*I,0.0112700945261381+0.*I,0.-0.018145968316871586*I,-0.027899724460226028+0.*I,0.+0.041028249073578126*I,0.05776972002870129+0.*I,0.-0.07792883190820835*I,-0.10071219347359288+0.*I,0.+0.1246169616510893*I,0.147419788051618+0.*I,0.-0.16630605479778862*I,-0.17815934305000636+0.*I,0.+0.17999949678042243*I,0.16951961040371885+0.*I,0.-0.14563605690387765*I,-0.10894111672574924+0.*I,0.+0.06194381452153753*I,0.009006602764780361+0.*I,0.+0.04406678704371601*I,0.09077062789625451+0.*I,0.-0.12486962447179153*I,-0.1414483926422672+0.*I,0.+0.13784573383567916*I,0.11428257281993294+0.*I,0.-0.07403454774878993*I,-0.023077806550927726+0.*I,0.-0.030764607685758182*I,-0.0790483165641862+0.*I,0.+0.11409776242227937*I,0.130311912619777+0.*I,0.-0.12514321964573413*I,-0.09956278829561137+0.*I,0.+0.057918056065287105*I,0.007202187087052213+0.*I,0.+0.044135889849004156*I,0.08762720045572503+0.*I,0.-0.11620743471899314*I,-0.12537986483550637+0.*I,0.+0.11391838192884678*I,0.0840003304859909+0.*I,0.-0.04076363624483988*I,0.008615861559225455+0.*I,0.-0.05615160724936511*I,-0.09435880607803199+0.*I,0.+0.11743008664129573*I,0.1220882380776344+0.*I,0.-0.10799546884296693*I,-0.07767991148493279+0.*I,0.+0.03602166136072107*I,-0.01059153830079769+0.*I,0.+0.05528498530598997*I,0.09172519002570577+0.*I,0.-0.11500017665514538*I,-0.1222332899703178+0.*I,0.+0.11286329159162892*I,0.08857973209476293+0.*I,0.-0.0529541750510915*I,-0.010847401197757548+0.*I,0.-0.032304267869681054*I,-0.07121519590220114+0.*I,0.+0.10139184427039885*I,0.11961524978763928+0.*I,0.-0.12422082978856412*I,-0.11516390421541932+0.*I,0.+0.09388841642713816*I,0.06303883543111889+0.*I,0.-0.026069117472394557*I,0.013192561428333348+0.*I,0.-0.050967935767528685*I,-0.08389595857972285+0.*I,0.+0.10931125950121648*I,0.12541691329844962+0.*I,0.-0.13134922024015705*I,-0.12714442515107058+0.*I,0.+0.11362617172313885*I,0.09223759633645981+0.*I,0.-0.06484345640417669*I,-0.03352612011058438+0.*I,0.+0.0003954259134395305*I,-0.03257274751558988+0.*I,0.+0.06366001638638845*I,0.0914873678169286+0.*I,0.-0.115056265335419*I,-0.133753435148047+0.*I,0.+0.14732613234103611*I,0.15583585762434632+0.*I,0.-0.159598647008559*I,-0.15911941645062277+0.*I,0.+0.1550266656620999*I
