0.7304026910486456+0.*I,0.5789649847355973+0.*I,0.3245093654044984+0.*I,0.1485102885684613+0.*I,0.05885948806587287+0.*I,0.02086514525693673+0.*I,0.006752051116684496+0.*I,0.002022910346386182+0.*I,0.0005669197361527526+0.*I,0.00014979256438971993+0.*I,0.000037547427722875643+0.*I,8.97374618206453*^-6+0.*I,2.0533978015970948*^-6+0.*I,4.514309706421612*^-7+0.*I,9.563508915889686*^-8+0.*I,1.957318819062856*^-8+0.*I,3.87874755285489*^-9+0.*I,7.456877146798474*^-10+0.*I,1.3931910303188036*^-10+0.*I,2.5335168870683546*^-11+0.*I,4.490541762818443*^-12+0.*I,7.767460020009379*^-13+0.*I,1.3126762277263692*^-13+0.*I,2.169619804605944*^-14+0.*I,3.5104916941807866*^-15+0.*I,5.565291023826358*^-16+0.*I,8.651494576576432*^-17+0.*I,1.3197728561848044*^-17+0.*I,1.9770156649575565*^-18+0.*I,2.91005398473233*^-19+0.*I,4.211437428369194*^-20+0.*I,5.995693723479093*^-21+0.*I,8.401452664078095*^-22+0.*I,1.1592773456183827*^-22+0.*I,1.5759332720433957*^-23+0.*I,2.1115128886996427*^-24+0.*I,2.789538890343407*^-25+0.*I,3.6351429393346916*^-26+0.*I,4.674332786612311*^-27+0.*I,5.9330397659139315*^-28+0.*I,7.435962615874938*^-29+0.*I,9.205241855900848*^-30+0.*I,1.1259017456915168*^-30+0.*I,1.3609939632934501*^-31+0.*I,1.6263716481537473*^-32+0.*I,1.9217791271824423*^-33+0.*I,2.2460245059388502*^-34+0.*I,2.5969016102295306*^-35+0.*I,2.9711515955661554*^-36+0.*I,3.364470349723683*^-37+0.*I,3.7715653516065413*^-38+0.*I,4.1862627518559954*^-39+0.*I,4.6016623178509075*^-40+0.*I,5.010334776830146*^-41+0.*I,5.404553240706819*^-42+0.*I,5.776548032669163*^-43+0.*I,6.118772548426636*^-44+0.*I,6.424166907748138*^-45+0.*I,6.686406151005456*^-46+0.*I,6.900120604667444*^-47+0.*I,7.061077702808002*^-48+0.*I,7.166316871120404*^-49+0.*I,7.2142318710014355*^-50+0.*I,7.204598050221202*^-51+0.*I,7.138545030180158*^-52+0.*I,7.018478264174626*^-53+0.*I,6.847955439546914*^-54+0.*I,6.63152572229007*^-55+0.*I,6.374541257596639*^-56+0.*I,6.082951098516022*^-57+0.*I,5.763087843128709*^-58+0.*I,5.421456770181098*^-59+0.*I,5.064536262824354*^-60+0.*I,4.698596915097932*^-61+0.*I,4.329545055777064*^-62+0.*I,3.962794631841418*^-63+0.*I,3.603169594573329*^-64+0.*I,3.254837235030771*^-65+0.*I,2.921271410788512*^-66+0.*I,2.605243355959542*^-67+0.*I,2.308836809408184*^-68+0.*I,2.03348354498785*^-69+0.*I,1.7800150341789605*^-70+0.*I,1.5487258896790286*^-71+0.*I,1.339444889438554*^-72+0.*I,1.1516097174956251*^-73+0.*I,9.8434203040715*^-75+0.*I,8.365200164137377*^-76+0.*I,7.068462127483658*^-77+0.*I,5.939089449046407*^-78+0.*I,4.962363179514159*^-79+0.*I,4.1234220002259105*^-80+0.*I,3.4076407591891124*^-81+0.*I,2.800930057724066*^-82+0.*I,2.289961978301843*^-83+0.*I,1.8623289869488525*^-84+0.*I,1.5066442578181218*^-85+0.*I,1.2125922487586157*^-86+0.*I,9.709384147663122*^-88+0.*I,7.735065951642463*^-89+0.*I
-0.5789649847355973+0.*I,0.2714771453765175+0.*I,0.5615527683049232+0.*I,0.44434773228077956+0.*I,0.25036469398200484+0.*I,0.11507473648306302+0.*I,0.04575684158743021+0.*I,0.016260756935054754+0.*I,0.005272276801479232+0.*I,0.0015820238165734192+0.*I,0.0004439231309791523+0.*I,0.00011741755095873414+0.*I,0.00002945831113114319+0.*I,7.045797324797202*^-6+0.*I,1.6132933940272842*^-6+0.*I,3.548781174140493*^-7+0.*I,7.521820355116377*^-8+0.*I,1.5401404960510692*^-8+0.*I,3.053251597360886*^-9+0.*I,5.871955777457694*^-10+0.*I,1.0974282228264596*^-10+0.*I,1.9962547812868548*^-11+0.*I,3.5392103786397304*^-12+0.*I,6.123395764892899*^-13+0.*I,1.0350658363051709*^-13+0.*I,1.7111317074226894*^-14+0.*I,2.769175343690463*^-15+0.*I,4.390834614659942*^-16+0.*I,6.826870326062396*^-17+0.*I,1.041588525417919*^-17+0.*I,1.560519601151659*^-18+0.*I,2.2973033297915487*^-19+0.*I,3.325081138465563*^-20+0.*I,4.7343752040843495*^-21+0.*I,6.634771647958867*^-22+0.*I,9.1559746368293*^-23+0.*I,1.2447960219561231*^-23+0.*I,1.667995741414724*^-24+0.*I,2.2038007823403112*^-25+0.*I,2.8720907327001247*^-26+0.*I,3.693441514489086*^-27+0.*I,4.688372472778237*^-28+0.*I,5.876432210959999*^-29+0.*I,7.275150191244496*^-30+0.*I,8.898895773382543*^-31+0.*I,1.0757699892355826*^-31+0.*I,1.2856105590524136*^-32+0.*I,1.5192120815932733*^-33+0.*I,1.7756349200219451*^-34+0.*I,2.053137122538198*^-35+0.*I,2.3491439035652616*^-36+0.*I,2.6602533433282514*^-37+0.*I,2.9822812131189106*^-38+0.*I,3.31034554154931*^-39+0.*I,3.6389890663460262*^-40+0.*I,3.9623352557081434*^-41+0.*I,4.274271326760197*^-42+0.*I,4.5686498166304176*^-43+0.*I,4.839498924318555*^-44+0.*I,5.081231144833359*^-45+0.*I,5.28883971371977*^-46+0.*I,5.45807306543361*^-47+0.*I,5.585578822875404*^-48+0.*I,5.669010669066346*^-49+0.*I,5.707093659410324*^-50+0.*I,5.699645945130829*^-51+0.*I,5.647557318572982*^-52+0.*I,5.552727290035452*^-53+0.*I,5.417967415648568*^-54+0.*I,5.246874200273289*^-55+0.*I,5.043680020755626*^-56+0.*I,4.8130901169973595*^-57+0.*I,4.56011378568539*^-58+0.*I,4.289897524958614*^-59+0.*I,4.0075670880280463*^-60+0.*I,3.7180843008538794*^-61+0.*I,3.4261231860162673*^-62+0.*I,3.1359685168857774*^-63+0.*I,2.8514385024090132*^-64+0.*I,2.5758319602642313*^-65+0.*I,2.3118991448371352*^-66+0.*I,2.0618344067812687*^-67+0.*I,1.8272881028427008*^-68+0.*I,1.6093946586865137*^-69+0.*I,1.4088134070504664*^-70+0.*I,1.2257787581681782*^-71+0.*I,1.0601563782974167*^-72+0.*I,9.11502318317345*^-74+0.*I,7.791224078985707*^-75+0.*I,6.621296723661064*^-76+0.*I,5.5949800270383865*^-77+0.*I,4.701107826660365*^-78+0.*I,3.9280362512382427*^-79+0.*I,3.264007734941613*^-80+0.*I,2.6974507069340453*^-81+0.*I,2.2172168073717715*^-82+0.*I,1.8127596518580104*^-83+0.*I,1.4742607053935844*^-84+0.*I,1.1927087892289597*^-85+0.*I,9.599402052897304*^-87+0.*I
0.3245093654044984+0.*I,-0.5615527683049232+0.*I,-0.04327268801278609+0.*I,0.43870235935119317+0.*I,0.48807339833467844+0.*I,0.331362050615406+0.*I,0.17366862073749917+0.*I,0.07648907218123036+0.*I,0.02956640735383857+0.*I,0.010297465076252814+0.*I,0.0032886942708924205+0.*I,0.0009752795906699228+0.*I,0.00027110172918214294+0.*I,0.00007115508843579259+0.*I,0.00001773717797927802+0.*I,4.219277045814314*^-6+0.*I,9.615871562510106*^-7+0.*I,2.1066438930937383*^-7+0.*I,4.449287004306627*^-8+0.*I,9.081630845122146*^-9+0.*I,1.795364702159412*^-9+0.*I,3.4441839684783626*^-10+0.*I,6.422455664628921*^-11+0.*I,1.1658830539050628*^-11+0.*I,2.063191166720483*^-12+0.*I,3.5636015772275206*^-13+0.*I,6.014361075404246*^-14+0.*I,9.92849400602853*^-15+0.*I,1.6046353287914438*^-15+0.*I,2.541213825961655*^-16+0.*I,3.946588025969622*^-17+0.*I,6.015008163660131*^-18+0.*I,9.002842813417062*^-19+0.*I,1.3241182119372262*^-19+0.*I,1.91484506696489*^-20+0.*I,2.7242049540973945*^-21+0.*I,3.8147803447517154*^-22+0.*I,5.260579121197467*^-23+0.*I,7.147102034805919*^-24+0.*I,9.570740320033094*^-25+0.*I,1.2637363159259365*^-25+0.*I,1.6459984834150932*^-26+0.*I,2.1155448233391754*^-27+0.*I,2.68401236903438*^-28+0.*I,3.3624696785640933*^-29+0.*I,4.160820082244873*^-30+0.*I,5.087153267297802*^-31+0.*I,6.147076707868365*^-32+0.*I,7.343064640647577*^-33+0.*I,8.673866294635112*^-34+0.*I,1.0134016303235726*^-34+0.*I,1.171348826126279*^-35+0.*I,1.3397527108687446*^-36+0.*I,1.5166687596507067*^-37+0.*I,1.6997094988182985*^-38+0.*I,1.8860931112843976*^-39+0.*I,2.0727134862904775*^-40+0.*I,2.2562292292186319*^-41+0.*I,2.433167871901372*^-42+0.*I,2.6000404691783535*^-43+0.*I,2.753461017782671*^-44+0.*I,2.8902647484134146*^-45+0.*I,3.0076193501036696*^-46+0.*I,3.10312358429719*^-47+0.*I,3.17488849954039*^-48+0.*I,3.2215975041404244*^-49+0.*I,3.2425428103243106*^-50+0.*I,3.237637133260235*^-51+0.*I,3.2074009115636945*^-52+0.*I,3.1529266169400897*^-53+0.*I,3.0758228558557683*^-54+0.*I,2.9781418701189336*^-55+0.*I,2.862294672483875*^-56+0.*I,2.7309583879162785*^-57+0.*I,2.5869804140362456*^-58+0.*I,2.433283789061923*^-59+0.*I,2.272777702476346*^-60+0.*I,2.1082764544791675*^-61+0.*I,1.9424294233391434*^-62+0.*I,1.7776637945545874*^-63+0.*I,1.616140998458209*^-64+0.*I,1.4597270427207209*^-65+0.*I,1.3099762525970976*^-66+0.*I,1.1681273730341935*^-67+0.*I,1.035110559662911*^-68+0.*I,9.115634959997387*^-70+0.*I,7.978547179199456*^-71+0.*I,6.941121918713129*^-72+0.*I,6.002552628267836*^-73+0.*I,5.160282405530667*^-74+0.*I,4.410341058083397*^-75+0.*I,3.747670692739111*^-76+0.*I,3.1664298479804476*^-77+0.*I,2.6602688706521733*^-78+0.*I,2.222571776860701*^-79+0.*I,1.8466621218067645*^-80+0.*I,1.5259723627793172*^-81+0.*I,1.2541777959101587*^-82+0.*I,1.025297371488151*^-83+0.*I,8.337645588630157*^-85+0.*I
-0.1485102885684613+0.*I,0.44434773228077956+0.*I,-0.43870235935119317+0.*I,-0.24404289968818504+0.*I,0.28320519928619214+0.*I,0.478453657909669+0.*I,0.389138023043779+0.*I,0.23027831153404063+0.*I,0.11137519510949369+0.*I,0.046497929981618884+0.*I,0.017295456507759155+0.*I,0.005851037658685165+0.*I,0.0018264906633725306+0.*I,0.0005317794377254794+0.*I,0.0001455952174247952+0.*I,0.00003773060204614936+0.*I,9.303936805870525*^-6+0.*I,2.1926256504184737*^-6+0.*I,4.956582938453127*^-7+0.*I,1.078150989120664*^-7+0.*I,2.2627029227201216*^-8+0.*I,4.592466945041423*^-9+0.*I,9.032973409352055*^-10+0.*I,1.7249413225221365*^-10+0.*I,3.2031942146159455*^-11+0.*I,5.792833213425851*^-12+0.*I,1.0215714386134318*^-12+0.*I,1.7588710050249732*^-13+0.*I,2.959769588883424*^-14+0.*I,4.872716447751815*^-15+0.*I,7.855409840554784*^-16+0.*I,1.2411231328099072*^-16+0.*I,1.923292324462475*^-17+0.*I,2.9253074763321355*^-18+0.*I,4.370014095040806*^-19+0.*I,6.415768996326095*^-20+0.*I,9.262341031212435*^-21+0.*I,1.3156320187693156*^-21+0.*I,1.8395454317700467*^-22+0.*I,2.5331242122118567*^-23+0.*I,3.4369059050066105*^-24+0.*I,4.596509516358478*^-25+0.*I,6.061945402612165*^-26+0.*I,7.886490785936539*^-27+0.*I,1.0125102847789217*^-27+0.*I,1.2832370960066025*^-28+0.*I,1.6060044894996575*^-29+0.*I,1.9854214444106196*^-30+0.*I,2.4252254697076877*^-31+0.*I,2.9279686739957*^-32+0.*I,3.494713205116688*^-33+0.*I,4.124755697438292*^-34+0.*I,4.815400854200037*^-35+0.*I,5.561803281727305*^-36+0.*I,6.356894128442562*^-37+0.*I,7.191405051706241*^-38+0.*I,8.053996767413038*^-39+0.*I,8.93149328401242*^-40+0.*I,9.809216333247905*^-41+0.*I,1.0671407989308305*^-41+0.*I,1.1501723530185938*^-42+0.*I,1.2283771714600136*^-43+0.*I,1.300167621593807*^-44+0.*I,1.3640630242903907*^-45+0.*I,1.4187416513333708*^-46+0.*I,1.4630866709027022*^-47+0.*I,1.4962238154904118*^-48+0.*I,1.5175490437659946*^-49+0.*I,1.5267450613115338*^-50+0.*I,1.5237862095061662*^-51+0.*I,1.5089318801698976*^-52+0.*I,1.482709221206194*^-53+0.*I,1.4458864265838996*^-54+0.*I,1.3994383223305846*^-55+0.*I,1.3445062488920072*^-56+0.*I,1.2823543904221293*^-57+0.*I,1.2143247152364192*^-58+0.*I,1.1417925802643397*^-59+0.*I,1.0661248350355723*^-60+0.*I,9.886419620524301*^-62+0.*I,9.105854377606122*^-63+0.*I,8.330911196345584*^-64+0.*I,7.571690863950451*^-65+0.*I,6.836900029550337*^-66+0.*I,6.133777676375972*^-67+0.*I,5.4680793957627564*^-68+0.*I,4.844112465983276*^-69+0.*I,4.2648134079564413*^-70+0.*I,3.7318589836151586*^-71+0.*I,3.2458014644351424*^-72+0.*I,2.8062193440841698*^-73+0.*I,2.411875400854978*^-74+0.*I,2.0608750263810073*^-75+0.*I,1.750818922626876*^-76+0.*I,1.4789455331981441*^-77+0.*I,1.2422598346235707*^-78+0.*I,1.0376463014856947*^-79+0.*I,8.619649263954345*^-81+0.*I,7.121300890892664*^-82+0.*I,5.851728112294571*^-83+0.*I
0.05885948806587287+0.*I,-0.25036469398200484+0.*I,0.48807339833467844+0.*I,-0.28320519928619214+0.*I,-0.3562863894036766+0.*I,0.12700619428936646+0.*I,0.4317555287968278+0.*I,0.4235143855116324+0.*I,0.28152107618645195+0.*I,0.14863414114640805+0.*I,0.06666492712229746+0.*I,0.026362312179875055+0.*I,0.009410396471344862+0.*I,0.003081991274288658+0.*I,0.000937164080687959+0.*I,0.0002669900536823785+0.*I,0.00007177374942050792+0.*I,0.00001831154778296449+0.*I,4.4548157934152224*^-6+0.*I,1.0375315542385257*^-6+0.*I,2.321140579082542*^-7+0.*I,5.002489213215019*^-8+0.*I,1.0412283366826918*^-8+0.*I,2.0976658609875904*^-9+0.*I,4.0982730057176284*^-10+0.*I,7.778396596487364*^-11+0.*I,1.4364002600212293*^-11+0.*I,2.5844106381877052*^-12+0.*I,4.53622991147587*^-13+0.*I,7.776301812532368*^-14+0.*I,1.3033147971251031*^-14+0.*I,2.137663776363702*^-15+0.*I,3.434199964281315*^-16+0.*I,5.4082971129918653*^-17+0.*I,8.355465624524069*^-18+0.*I,1.2672398095782847*^-18+0.*I,1.888021009849092*^-19+0.*I,2.7648882454392124*^-20+0.*I,3.982143013378764*^-21+0.*I,5.643582766298567*^-22+0.*I,7.874226276782999*^-23+0.*I,1.0821293034663114*^-23+0.*I,1.4654138409734077*^-24+0.*I,1.9562849715510111*^-25+0.*I,2.575523988446933*^-26+0.*I,3.345203850905983*^-27+0.*I,4.288017501518959*^-28+0.*I,5.426417283272676*^-29+0.*I,6.781582009242635*^-30+0.*I,8.372244162255022*^-31+0.*I,1.021342559998941*^-31+0.*I,1.2315144547796096*^-32+0.*I,1.4681168069332172*^-33+0.*I,1.7307891222052121*^-34+0.*I,2.01834256146806*^-35+0.*I,2.3286975389495727*^-36+0.*I,2.6588567580569144*^-37+0.*I,3.0049186756678415*^-38+0.*I,3.3621341825175886*^-39+0.*I,3.725006733814654*^-40+0.*I,4.08743344748085*^-41+0.*I,4.4428820159461314*^-42+0.*I,4.784595861905022*^-43+0.*I,5.105818001955064*^-44+0.*I,5.400022722011741*^-45+0.*I,5.661143522232798*^-46+0.*I,5.883785904949594*^-47+0.*I,6.063414442226744*^-48+0.*I,6.1965050957224515*^-49+0.*I,6.280655844642835*^-50+0.*I,6.314651143279489*^-51+0.*I,6.29847839060793*^-52+0.*I,6.233297257619176*^-53+0.*I,6.121365200976162*^-54+0.*I,5.9659246367457976*^-55+0.*I,5.771058933829358*^-56+0.*I,5.541525534735197*^-57+0.*I,5.282575088449173*^-58+0.*I,4.999765497307625*^-59+0.*I,4.698779286704708*^-60+0.*I,4.385251783893102*^-61+0.*I,4.06461634216449*^-62+0.*I,3.741971382636246*^-63+0.*I,3.4219724623738*^-64+0.*I,3.108751021923741*^-65+0.*I,2.8058600105902603*^-66+0.*I,2.5162453078001298*^-67+0.*I,2.2422408059019488*^-68+0.*I,1.9855842235579695*^-69+0.*I,1.747450188399457*^-70+0.*I,1.5284968533192937*^-71+0.*I,1.3289222684335496*^-72+0.*I,1.1485268855232657*^-73+0.*I,9.867788823943393*^-75+0.*I,8.428794173167809*^-76+0.*I,7.158254156495162*^-77+0.*I,6.044680126444535*^-78+0.*I,5.0756529447225*^-79+0.*I,4.23828466597885*^-80+0.*I,3.519610147381639*^-81+0.*I
-0.02086514525693673+0.*I,0.11507473648306302+0.*I,-0.331362050615406+0.*I,0.478453657909669+0.*I,-0.12700619428936646+0.*I,-0.40130891303508487+0.*I,-0.013925034822797416+0.*I,0.36072809032848435+0.*I,0.4359114089058013+0.*I,0.3250107269008847+0.*I,0.18656831688127654+0.*I,0.0895348699849464+0.*I,0.0375044197232342+0.*I,0.01408127091261829+0.*I,0.004824941785899134+0.*I,0.0015285702930195628+0.*I,0.00045216319576923166+0.*I,0.0001258529800530031+0.*I,0.00003316452800468211+0.*I,8.316239316735824*^-6+0.*I,1.992780817319282*^-6+0.*I,4.5795890215444015*^-7+0.*I,1.0124204064386296*^-7+0.*I,2.1588256713307363*^-8+0.*I,4.450475645264686*^-9+0.*I,8.888280051110701*^-10+0.*I,1.7228282657516087*^-10+0.*I,3.246277599570577*^-11+0.*I,5.9550266476201735*^-12+0.*I,1.0649025580168139*^-12+0.*I,1.858595846036297*^-13+0.*I,3.169449465908953*^-14+0.*I,5.286169904927431*^-15+0.*I,8.630900311672107*^-16+0.*I,1.3806919874381002*^-16+0.*I,2.165725931453785*^-17+0.*I,3.3334326274231523*^-18+0.*I,5.037959680707993*^-19+0.*I,7.48110757946469*^-20+0.*I,1.0921460385347006*^-20+0.*I,1.5683328523205253*^-21+0.*I,2.2164747718324336*^-22+0.*I,3.084361116812296*^-23+0.*I,4.228088464833967*^-24+0.*I,5.711979110309363*^-25+0.*I,7.607987576388719*^-26+0.*I,9.994499391886208*^-27+0.*I,1.295445122752366*^-27+0.*I,1.6572738191199564*^-28+0.*I,2.0932921386596076*^-29+0.*I,2.6113304169061546*^-30+0.*I,3.2182505042547683*^-31+0.*I,3.919471396314799*^-32+0.*I,4.7184871459417755*^-33+0.*I,5.616405086187653*^-34+0.*I,6.611534796384199*^-35+0.*I,7.69905856091307*^-36+0.*I,8.870812061949135*^-37+0.*I,1.011519967164568*^-37+0.*I,1.1417262140177191*^-38+0.*I,1.2758906099920014*^-39+0.*I,1.4119295193476944*^-40+0.*I,1.5475392491335167*^-41+0.*I,1.680263397375914*^-42+0.*I,1.8075703991609537*^-43+0.*I,1.9269376500154095*^-44+0.*I,2.0359381047918845*^-45+0.*I,2.132325037809581*^-46+0.*I,2.2141107218858916*^-47+0.*I,2.2796351324121188*^-48+0.*I,2.3276213780172383*^-49+0.*I,2.3572153531213293*^-50+0.*I,2.3680080374645027*^-51+0.*I,2.3600398632687315*^-52+0.*I,2.3337875602573216*^-53+0.*I,2.290134805022347*^-54+0.*I,2.2303287866443977*^-55+0.*I,2.1559254111779575*^-56+0.*I,2.0687262759240756*^-57+0.*I,1.9707107395759804*^-58+0.*I,1.8639664018587196*^-59+0.*I,1.7506211059264973*^-60+0.*I,1.63277921950006*^-61+0.*I,1.5124644751161455*^-62+0.*I,1.391571098335889*^-63+0.*I,1.271824367952096*^-64+0.*I,1.1547511737337787*^-65+0.*I,1.0416605991815284*^-66+0.*I,9.336340859765768*^-68+0.*I,8.315243520139763*^-69+0.*I,7.359619465342553*^-70+0.*I,6.473681365610667*^-71+0.*I,5.659727245400438*^-72+0.*I,4.9183538830820835*^-73+0.*I,4.248691980452003*^-74+0.*I,3.648650851383346*^-75+0.*I,3.1151619859587665*^-76+0.*I,2.6444126985544766*^-77+0.*I,2.2320630205460025*^-78+0.*I,1.8734409265439854*^-79+0.*I
0.006752051116684496+0.*I,-0.04575684158743021+0.*I,0.17366862073749917+0.*I,-0.389138023043779+0.*I,0.4317555287968278+0.*I,0.013925034822797416+0.*I,-0.39680271162755415+0.*I,-0.1317739245785615+0.*I,0.2754701055924595+0.*I,0.42870538757024157+0.*I,0.35921273112219954+0.*I,0.223640824631951+0.*I,0.11448483524302351+0.*I,0.05064825099005641+0.*I,0.019948124613071976+0.*I,0.0071342508622325995+0.*I,0.0023498228729814078+0.*I,0.0007203775035622766+0.*I,0.00020725157124382656+0.*I,0.00005632553915754759+0.*I,0.000014538433745799977+0.*I,3.5799540541206023*^-6+0.*I,8.441621727296341*^-7+0.*I,1.9123472794958023*^-7+0.*I,4.173632028727414*^-8+0.*I,8.796866788563692*^-9+0.*I,1.7944915708852444*^-9+0.*I,3.549619703487196*^-10+0.*I,6.820053885139291*^-11+0.*I,1.274742568112924*^-11+0.*I,2.3210495448784816*^-12+0.*I,4.1220798880586097*^-13+0.*I,7.148467268208826*^-14+0.*I,1.2117867654024306*^-14+0.*I,2.0098854393220443*^-15+0.*I,3.264604133601664*^-16+0.*I,5.197052135322905*^-17+0.*I,8.114807371368085*^-18+0.*I,1.2436495288123295*^-18+0.*I,1.8719733590702952*^-19+0.*I,2.7691570174879074*^-20+0.*I,4.027997189525673*^-21+0.*I,5.764429775715899*^-22+0.*I,8.120206463513064*^-23+0.*I,1.1264875577960597*^-23+0.*I,1.5396701269895007*^-24+0.*I,2.074213740023316*^-25+0.*I,2.7553485916823106*^-26+0.*I,3.6104420272896005*^-27+0.*I,4.668314586754122*^-28+0.*I,5.95831011867649*^-29+0.*I,7.509127045060442*^-30+0.*I,9.347437166728827*^-31+0.*I,1.1496338932568505*^-31+0.*I,1.3973712143645966*^-32+0.*I,1.6790558726577174*^-33+0.*I,1.9949427582774276*^-34+0.*I,2.3443028891870738*^-35+0.*I,2.725314330695137*^-36+0.*I,3.1349923484623294*^-37+0.*I,3.569166929451038*^-38+0.*I,4.022513454520746*^-39+0.*I,4.4886393561283804*^-40+0.*I,4.96022624791715*^-41+0.*I,5.4292235172987305*^-42+0.*I,5.887085996965318*^-43+0.*I,6.325045343166483*^-44+0.*I,6.734402386221541*^-45+0.*I,7.106826170668947*^-46+0.*I,7.43464479009849*^-47+0.*I,7.711113489023419*^-48+0.*I,7.93064681513662*^-49+0.*I,8.089003749197083*^-50+0.*I,8.183417543113267*^-51+0.*I,8.212665240753264*^-52+0.*I,8.17707529718917*^-53+0.*I,8.078475104213509*^-54+0.*I,7.920083344485671*^-55+0.*I,7.706354740356069*^-56+0.*I,7.44278679138733*^-57+0.*I,7.135699418123129*^-58+0.*I,6.79199901832943*^-59+0.*I,6.418938320688219*^-60+0.*I,6.023882662631579*^-61+0.*I,5.614092033823177*^-62+0.*I,5.196526549820742*^-63+0.*I,4.777681098345629*^-64+0.*I,4.363452879585504*^-65+0.*I,3.959043576716185*^-66+0.*I,3.568896058391247*^-67+0.*I,3.196663920881969*^-68+0.*I,2.845210885201704*^-69+0.*I,2.516636106846429*^-70+0.*I,2.212320839174639*^-71+0.*I,1.9329915996880977*^-72+0.*I,1.6787949873513647*^-73+0.*I,1.4493795418304229*^-74+0.*I,1.2439804681100646*^-75+0.*I,1.0615036160192977*^-76+0.*I,9.006057492764904*^-78+0.*I
-0.002022910346386182+0.*I,0.016260756935054754+0.*I,-0.07648907218123036+0.*I,0.23027831153404063+0.*I,-0.4235143855116324+0.*I,0.36072809032848435+0.*I,0.1317739245785615+0.*I,-0.35732332517042403+0.*I,-0.2234029245206082+0.*I,0.18391387040228052+0.*I,0.4047810317045367+0.*I,0.38329433601169316+0.*I,0.25851498756583696+0.*I,0.14084234713535904+0.*I,0.06565099764090329+0.*I,0.027063647243412016+0.*I,0.010081967987683625+0.*I,0.0034461098077415543+0.*I,0.0010930814746827385+0.*I,0.0003245737201268646+0.*I,0.00009085183236237408+0.*I,0.000024108753885560146+0.*I,6.093669745493479*^-6+0.*I,1.472880077186977*^-6+0.*I,3.415937340270903*^-7+0.*I,7.623869565424288*^-8+0.*I,1.6416117322169425*^-8+0.*I,3.4179650946120917*^-9+0.*I,6.894911013590824*^-10+0.*I,1.349963226404574*^-10+0.*I,2.569429328765395*^-11+0.*I,4.76095914714056*^-12+0.*I,8.599209883091359*^-13+0.*I,1.5157991746236999*^-13+0.*I,2.6104319141613564*^-14+0.*I,4.396433130998738*^-15+0.*I,7.247722924492835*^-16+0.*I,1.170525782821665*^-16+0.*I,1.853433236946462*^-17+0.*I,2.879410443451236*^-18+0.*I,4.391908456046725*^-19+0.*I,6.581106439897919*^-20+0.*I,9.693835839471618*^-21+0.*I,1.4043736086511256*^-21+0.*I,2.002094003325778*^-22+0.*I,2.810038835152448*^-23+0.*I,3.8847699194862494*^-24+0.*I,5.292139871458733*^-25+0.*I,7.107027658241647*^-26+0.*I,9.4124693103891*^-27+0.*I,1.2298084937600636*^-27+0.*I,1.5857734824945204*^-28+0.*I,2.0186381807243975*^-29+0.*I,2.5376192538533365*^-30+0.*I,3.1511973419509494*^-31+0.*I,3.866610321088408*^-32+0.*I,4.689318812303233*^-33+0.*I,5.622472028242179*^-34+0.*I,6.666406085893573*^-35+0.*I,7.818208945515945*^-36+0.*I,9.071385763797661*^-37+0.*I,1.0415655466623506*^-37+0.*I,1.183690377302642*^-38+0.*I,1.3317309996201989*^-39+0.*I,1.483565519698258*^-40+0.*I,1.6367808348344002*^-41+0.*I,1.7887375897908718*^-42+0.*I,1.9366489360287196*^-43+0.*I,2.0776696182475442*^-44+0.*I,2.2089911852856925*^-45+0.*I,2.3279386646907023*^-46+0.*I,2.4320638877574176*^-47+0.*I,2.519230815081081*^-48+0.*I,2.5876886765578914*^-49+0.*I,2.636129465513704*^-50+0.*I,2.6637272559657744*^-51+0.*I,2.6701578729197813*^-52+0.*I,2.655598559082487*^-53+0.*I,2.6207083684609244*^-54+0.*I,2.5665910055828432*^-55+0.*I,2.494742658104555*^-56+0.*I,2.4069879959803147*^-57+0.*I,2.305407906040774*^-58+0.*I,2.192262689422257*^-59+0.*I,2.0699143810257246*^-60+0.*I,1.940751580387671*^-61+0.*I,1.8071197488015901*^-62+0.*I,1.6712593725622837*^-63+0.*I,1.5352537643216866*^-64+0.*I,1.4009876206167036*^-65+0.*I,1.2701168164456536*^-66+0.*I,1.144049333468501*^-67+0.*I,1.0239367147827809*^-68+0.*I,9.106750349025797*^-70+0.*I,8.049140780502091*^-71+0.*I,7.070732322482056*^-72+0.*I,6.173625249148896*^-73+0.*I,5.35807236080586*^-74+0.*I,4.622746124699183*^-75+0.*I,3.965013519200987*^-76+0.*I
