0.008983291021129429+0.*I,0.027578524881532878+0.*I,0.05986756560943076+0.*I,0.10611249720877418+0.*I,0.16288162866095376+0.*I,0.22362619006191453+0.*I,0.2802738654786003+0.*I,0.32521393550958494+0.*I,0.35298781760185105+0.*I,0.36122186133171724+0.*I,0.35067886307163176+0.*I,0.32460022086645735+0.*I,0.28766945573976654+0.*I,0.24493883012193546+0.*I,0.2009690525618036+0.*I,0.15930122639844263+0.*I,0.12226289968661735+0.*I,0.09103445460839114+0.*I,0.06587264556265983+0.*I,0.04639421909098463+0.*I,0.031848166492154245+0.*I,0.021335869742264115+0.*I,0.013964795316150138+0.*I,0.0089393557395973+0.*I,0.005601910463464891+0.*I,0.003439550755673111+0.*I,0.002070859393007756+0.*I,0.0012235009019401475+0.*I,0.0007098406102545848+0.*I,0.0004046666430131481+0.*I,0.0002268152979657928+0.*I,0.00012506248669327293+0.*I,0.00006787152920207137+0.*I,0.000036271559463368515+0.*I,0.00001909687622558536+0.*I,9.909776843687634*^-6+0.*I,5.070469656967607*^-6+0.*I,2.559074267306386*^-6+0.*I,1.274461308451349*^-6+0.*I,6.265127525343475*^-7+0.*I,3.041133487168201*^-7+0.*I,1.458072499198001*^-7+0.*I,6.907009244721831*^-8+0.*I,3.233637801999618*^-8+0.*I,1.4965822797777077*^-8+0.*I,6.849043199699046*^-9+0.*I,3.1001774526908148*^-9+0.*I,1.3882676002345984*^-9+0.*I,6.151600635308013*^-10+0.*I,2.6978988114562363*^-10+0.*I,1.1713217787846072*^-10+0.*I,5.035315575126125*^-11+0.*I,2.1436831086124293*^-11+0.*I,9.039787359447417*^-12+0.*I,3.776564431973756*^-12+0.*I,1.5633316398869584*^-12+0.*I,6.413464095332888*^-13+0.*I,2.607899215067245*^-13+0.*I,1.0512653993155851*^-13+0.*I,4.2016698897746866*^-14+0.*I,1.66525929696731*^-14+0.*I,6.545645984275258*^-15+0.*I,2.552067941884891*^-15+0.*I,9.8709174762687*^-16+0.*I,3.787940057025542*^-16+0.*I,1.4423876100733904*^-16+0.*I,5.450615904610549*^-17+0.*I,2.0442958240405115*^-17+0.*I,7.610704305097936*^-18+0.*I,2.8127806592246678*^-18+0.*I,1.0321015039181184*^-18+0.*I,3.7603545962357515*^-19+0.*I,1.3604986517100685*^-19+0.*I,4.8884620650468*^-20+0.*I,1.7445842734329062*^-20+0.*I,6.184390227350701*^-21+0.*I,2.1778384085008788*^-21+0.*I,7.619313688199347*^-22+0.*I,2.648525241353843*^-22+0.*I,9.147999544882898*^-23+0.*I,3.139906418127319*^-23+0.*I,1.0710500327074619*^-23+0.*I,3.6311015620984475*^-24+0.*I,1.2235871681018646*^-24+0.*I,4.0985556332352842*^-25+0.*I,1.364762043153834*^-25+0.*I,4.517969278429827*^-26+0.*I,1.487028221534908*^-26+0.*I,4.866463142568442*^-27+0.*I,1.5836310155758698*^-27+0.*I,5.124698359615047*^-28+0.*I,1.6492374022706742*^-28+0.*I,5.278673802292182*^-29+0.*I,1.6804241521082265*^-29+0.*I,5.320966831895561*^-30+0.*I,1.6759625611910232*^-30+0.*I,5.251268928880504*^-31+0.*I,1.6368691234082854*^-31+0.*I,5.076173791053922*^-32+0.*I,1.566226071055484*^-32+0.*I
-0.027578524881532878+0.*I,-0.07568223220998867+0.*I,-0.14479031256589994+0.*I,-0.22206959196091022+0.*I,-0.2878183681101803+0.*I,-0.32231356468825345+0.*I,-0.3126651374766183+0.*I,-0.2568653709628876+0.*I,-0.1638216674543845+0.*I,-0.04998048177911591+0.*I,0.06570668297319823+0.*I,0.1665539844630957+0.*I,0.2413086380207661+0.*I,0.28524963302371564+0.*I,0.29950618616192126+0.*I,0.28929819492847847+0.*I,0.2618602336728767+0.*I,0.2246288832698921+0.*I,0.18399876846918828+0.*I,0.14470287468093065+0.*I,0.10970801718927597+0.*I,0.08044593766227384+0.*I,0.05720245563458859+0.*I,0.03952916115330844+0.*I,0.026595966604101583+0.*I,0.017450199862471014+0.*I,0.011180839245369919+0.*I,0.007004377601606085+0.*I,0.0042949616662180615+0.*I,0.002580290122186691+0.*I,0.0015201320299442023+0.*I,0.0008789147845723268+0.*I,0.0004990960136779729+0.*I,0.00027853928480443303+0.*I,0.00015287068794195413+0.*I,0.00008255582541673496+0.*I,0.00004389241999670416+0.*I,0.000022986155704356963+0.*I,0.000011862622362473005+0.*I,6.035626622702461*^-6+0.*I,3.0287926263450197*^-6+0.*I,1.499650194930065*^-6+0.*I,7.328951677134628*^-7+0.*I,3.536508472921441*^-7+0.*I,1.6855048741676502*^-7+0.*I,7.936736485474307*^-8+0.*I,3.69349878889028*^-8+0.*I,1.6991791876308795*^-8+0.*I,7.729670904412907*^-9+0.*I,3.477870871985494*^-9+0.*I,1.5481090865869482*^-9+0.*I,6.819078776694123*^-10+0.*I,2.972911245326839*^-10+0.*I,1.2831051846769215*^-10+0.*I,5.483462149916315*^-11+0.*I,2.3208354365400583*^-11+0.*I,9.729982026957992*^-12+0.*I,4.0414393321084366*^-12+0.*I,1.6633804824133546*^-12+0.*I,6.785018446980085*^-13+0.*I,2.743368207598821*^-13+0.*I,1.0996590577498087*^-13+0.*I,4.370567016440291*^-14+0.*I,1.7226059263883085*^-14+0.*I,6.733843912478541*^-15+0.*I,2.6111247781047736*^-15+0.*I,1.0044684089623403*^-15+0.*I,3.833926645616263*^-16+0.*I,1.452122413054918*^-16+0.*I,5.4584077277799906*^-17+0.*I,2.036488030700135*^-17+0.*I,7.542220466231453*^-18+0.*I,2.773096299671131*^-18+0.*I,1.0123357438126453*^-18+0.*I,3.6696301695330057*^-19+0.*I,1.3209947490753748*^-19+0.*I,4.7228343429852276*^-20+0.*I,1.677134031808292*^-20+0.*I,5.91610366112729*^-21+0.*I,2.0732189586752215*^-21+0.*I,7.21827450676122*^-22+0.*I,2.497105545109729*^-22+0.*I,8.584029586051885*^-23+0.*I,2.932452131476917*^-23+0.*I,9.956113201358424*^-24+0.*I,3.359702352504825*^-24+0.*I,1.1269274936852249*^-24+0.*I,3.7575664926423776*^-25+0.*I,1.2455566699071024*^-25+0.*I,4.104840572552575*^-26+0.*I,1.3450370737047022*^-26+0.*I,4.382338056227408*^-27+0.*I,1.4198387081145164*^-27+0.*I,4.574681788391762*^-28+0.*I,1.4658790386829263*^-28+0.*I,4.671719767487954*^-29+0.*I,1.4808883288044202*^-29+0.*I,4.669384528534407*^-30+0.*I,1.4645802334707099*^-30+0.*I,4.569900859910683*^-31+0.*I
0.05986756560943076+0.*I,0.14479031256589994+0.*I,0.2386291232517181+0.*I,0.3047383132842006+0.*I,0.31074336800654073+0.*I,0.24459870147823148+0.*I,0.12047118719545015+0.*I,-0.027338596569078936+0.*I,-0.15810604964431577+0.*I,-0.23902041793046327+0.*I,-0.25439606950309857+0.*I,-0.2074601856559176+0.*I,-0.11586142306069844+0.*I,-0.004002249921544964+0.*I,0.10453043438900417+0.*I,0.1922218609910615+0.*I,0.24981168086197528+0.*I,0.27582198762739585+0.*I,0.2744614307052374+0.*I,0.25300074746832757+0.*I,0.21943609134586994+0.*I,0.18086226172047137+0.*I,0.1426336851510782+0.*I,0.10817291317292117+0.*I,0.0791984065934636+0.*I,0.056149982151526466+0.*I,0.038646182456341924+0.*I,0.02587589731109574+0.*I,0.016884462242938218+0.*I,0.01075342326553431+0.*I,0.006693512339727056+0.*I,0.004076814264360065+0.*I,0.0024322196333620583+0.*I,0.001422683463575541+0.*I,0.0008165946273927334+0.*I,0.00046029147262105713+0.*I,0.000254972873346116+0.*I,0.0001388900034692145+0.*I,0.00007444290454427395+0.*I,0.00003928176098775892+0.*I,0.000020417228397680002+0.*I,0.000010457995580202658+0.*I,5.2812889457708675*^-6+0.*I,2.6305885009549437*^-6+0.*I,1.2928794751604364*^-6+0.*I,6.27214187113165*^-7+0.*I,3.0045389957212404*^-7+0.*I,1.4216315106627984*^-7+0.*I,6.646284113378374*^-8+0.*I,3.0710143811473655*^-8+0.*I,1.4028713328185556*^-8+0.*I,6.337279495229795*^-9+0.*I,2.83170088266627*^-9+0.*I,1.2518627747845944*^-9+0.*I,5.476858086645688*^-10+0.*I,2.3717439806680604*^-10+0.*I,1.0168518637521276*^-10+0.*I,4.31707180335406*^-11+0.*I,1.815294424979324*^-11+0.*I,7.56157416877087*^-12+0.*I,3.120776253479499*^-12+0.*I,1.276360210667918*^-12+0.*I,5.173878180134506*^-13+0.*I,2.0790307113849248*^-13+0.*I,8.28274528396971*^-14+0.*I,3.272057723157388*^-14+0.*I,1.2819266063082534*^-14+0.*I,4.9815109988808065*^-15+0.*I,1.9203169039377824*^-15+0.*I,7.344374740347995*^-16+0.*I,2.7871559724511867*^-16+0.*I,1.049650976402503*^-16+0.*I,3.923347491302998*^-17+0.*I,1.4556142796294434*^-17+0.*I,5.361193232213535*^-18+0.*I,1.960418327710949*^-18+0.*I,7.117923872352193*^-19+0.*I,2.5663687571825593*^-19+0.*I,9.189428662302276*^-20+0.*I,3.2681583437819*^-20+0.*I,1.1545242248660556*^-20+0.*I,4.051609155415572*^-21+0.*I,1.4125852666029708*^-21+0.*I,4.893296420610789*^-22+0.*I,1.6843185073686856*^-22+0.*I,5.761266261712144*^-23+0.*I,1.9584703191822783*^-23+0.*I,6.616903347048215*^-24+0.*I,2.2221017254908782*^-24+0.*I,7.417818994947982*^-25+0.*I,2.461629612920005*^-25+0.*I,8.121451492468232*^-26+0.*I,2.664027158355575*^-26+0.*I,8.688935496454392*^-27+0.*I,2.818030251369434*^-27+0.*I,9.088735381526498*^-28+0.*I,2.9151906026301177*^-28+0.*I,9.299562068510367*^-29+0.*I,2.9506375416718613*^-29+0.*I,9.312199514264067*^-30+0.*I
-0.10611249720877418+0.*I,-0.22206959196091022+0.*I,-0.3047383132842006+0.*I,-0.3015054736473149+0.*I,-0.1988967848524916+0.*I,-0.03237194728366829+0.*I,0.13238518130162785+0.*I,0.2324791788953315+0.*I,0.23559193529149522+0.*I,0.14980494923793372+0.*I,0.014515711029904626+0.*I,-0.11941778112245989+0.*I,-0.20956134583650657+0.*I,-0.23409098174948878+0.*I,-0.19392121895353523+0.*I,-0.10696722073043673+0.*I,0.0011376970042926847+0.*I,0.10578900236200235+0.*I,0.18915290974884238+0.*I,0.24228063776514722+0.*I,0.26430477588159645+0.*I,0.2600033141032917+0.*I,0.23696569554060543+0.*I,0.20320329439361615+0.*I,0.1655836810289397+0.*I,0.12910285473787916+0.*I,0.09680249675274553+0.*I,0.0700747135343379+0.*I,0.049125241945702385+0.*I,0.0334359800050707+0.*I,0.022141368440301172+0.*I,0.01429066664728327+0.*I,0.009003822576308848+0.*I,0.005545119147963682+0.*I,0.00334208993008476+0.*I,0.0019733562543606383+0.*I,0.0011425687825019717+0.*I,0.0006492591818135931+0.*I,0.00036236653232314496+0.*I,0.0001987826008957467+0.*I,0.00010724811551186043+0.*I,0.000056943024429173474+0.*I,0.000029769395483838287+0.*I,0.000015332040528481973+0.*I,7.782817756160602*^-6+0.*I,3.895592474658455*^-6+0.*I,1.9234921243210544*^-6+0.*I,9.37253170403685*^-7+0.*I,4.5085028555542896*^-7+0.*I,2.1417406187737026*^-7+0.*I,1.0050839014754422*^-7+0.*I,4.6609331398034646*^-8+0.*I,2.136513937457279*^-8+0.*I,9.68326084300104*^-9+0.*I,4.340456122337284*^-9+0.*I,1.924669855587167*^-9+0.*I,8.444782159438394*^-10+0.*I,3.6671734603975064*^-10+0.*I,1.5764503796969602*^-10+0.*I,6.710053055294709*^-11+0.*I,2.8284955828261695*^-11+0.*I,1.181006997907713*^-11+0.*I,4.885364790847883*^-12+0.*I,2.002470240640162*^-12+0.*I,8.13455314950846*^-13+0.*I,3.275450981045482*^-13+0.*I,1.307515536181989*^-13+0.*I,5.17519895247093*^-14+0.*I,2.031306308499395*^-14+0.*I,7.907759813552771*^-15+0.*I,3.0536595106081736*^-15+0.*I,1.1698609499217378*^-15+0.*I,4.446823363460502*^-16+0.*I,1.6773404467397493*^-16+0.*I,6.279141340948365*^-17+0.*I,2.3331215146730577*^-17+0.*I,8.605603374258315*^-18+0.*I,3.1512255401835273*^-18+0.*I,1.1457180549937042*^-18+0.*I,4.1363825509359274*^-19+0.*I,1.483035620932014*^-19+0.*I,5.2809548231234064*^-20+0.*I,1.8678593317479233*^-20+0.*I,6.56275896842011*^-21+0.*I,2.2907514015979733*^-21+0.*I,7.9443120303613515*^-22+0.*I,2.7375248001888976*^-22+0.*I,9.373869856823139*^-23+0.*I,3.1898745180339655*^-23+0.*I,1.078837294059878*^-23+0.*I,3.6265943023310215*^-24+0.*I,1.2118108957168333*^-24+0.*I,4.025269665016764*^-25+0.*I,1.329260175580778*^-25+0.*I,4.364251786766122*^-26+0.*I,1.4247005637768637*^-26+0.*I,4.624661055574437*^-27+0.*I,1.4928171001897215*^-27+0.*I,4.792155555808397*^-28+0.*I,1.5299577816415496*^-28+0.*I
0.16288162866095376+0.*I,0.2878183681101803+0.*I,0.31074336800654073+0.*I,0.1988967848524916+0.*I,0.003799114449046933+0.*I,-0.1726827483527406+0.*I,-0.24285731405607233+0.*I,-0.18172409571044074+0.*I,-0.03285607157774298+0.*I,0.12343879463062407+0.*I,0.21458095000628558+0.*I,0.2073766907651903+0.*I,0.11483691899032179+0.*I,-0.01846475831388504+0.*I,-0.14027698163103217+0.*I,-0.21133320496924718+0.*I,-0.2156807950559385+0.*I,-0.16003964482675315+0.*I,-0.0659354738122773+0.*I,0.0403508380708608+0.*I,0.13605077137869753+0.*I,0.2064958177931283+0.*I,0.24602183336747666+0.*I,0.25630873886512695+0.*I,0.24357508052140525+0.*I,0.2157876035842377+0.*I,0.18055811730000873+0.*I,0.14393627514583335+0.*I,0.1099935070298949+0.*I,0.08094986501565274+0.*I,0.057581421892179074+0.*I,0.03970292979131149+0.*I,0.026599331001958947+0.*I,0.017349808639674863+0.*I,0.011036586672758874+0.*I,0.006856953095266853+0.*I,0.004166237036881671+0.*I,0.0024783808975517244+0.*I,0.00144492217007561+0.*I,0.0008263598176647757+0.*I,0.00046398098657245975+0.*I,0.0002559545273320634+0.*I,0.00013882076173723959+0.*I,0.00007407096055528172+0.*I,0.00003890407779405782+0.*I,0.000020124668605011267+0.*I,0.000010258055526442865+0.*I,5.154724513395986*^-6+0.*I,2.554689513647172*^-6+0.*I,1.2492209429412442*^-6+0.*I,6.029402775227561*^-7+0.*I,2.873418768646682*^-7+0.*I,1.3525705765920657*^-7+0.*I,6.290657206235975*^-8+0.*I,2.891601515545081*^-8+0.*I,1.3140492963088578*^-8+0.*I,5.905189513277421*^-9+0.*I,2.6249278755798483*^-9+0.*I,1.1544344841172088*^-9+0.*I,5.024486089884503*^-10+0.*I,2.1646211125502377*^-10+0.*I,9.232794349689829*^-11+0.*I,3.8997305601138145*^-11+0.*I,1.631441853194919*^-11+0.*I,6.761235138295283*^-12+0.*I,2.776364737507625*^-12+0.*I,1.1297921427412882*^-12+0.*I,4.556850063126628*^-13+0.*I,1.8219856918362046*^-13+0.*I,7.222815454953369*^-14+0.*I,2.8393195675891093*^-14+0.*I,1.1069571264376673*^-14+0.*I,4.280716697407553*^-15+0.*I,1.6422136819884308*^-15+0.*I,6.250672097636549*^-16+0.*I,2.360816123779759*^-16+0.*I,8.848889339829417*^-17+0.*I,3.291983168351973*^-17+0.*I,1.2156769375205784*^-17+0.*I,4.4567517993078534*^-18+0.*I,1.622202019006938*^-18+0.*I,5.863038977100143*^-19+0.*I,2.104339439894538*^-19+0.*I,7.501127209007714*^-20+0.*I,2.655805910475333*^-20+0.*I,9.340398192279913*^-21+0.*I,3.263418612682543*^-21+0.*I,1.132808603210105*^-21+0.*I,3.9070921223024606*^-22+0.*I,1.3390603483569961*^-22+0.*I,4.5606959896738465*^-23+0.*I,1.5437634681292637*^-23+0.*I,5.1937660007378185*^-24+0.*I,1.736874627489866*^-24+0.*I,5.77391946638857*^-25+0.*I,1.908183111067806*^-25+0.*I,6.269697959012267*^-26+0.*I,2.048235514587335*^-26+0.*I,6.653476546973735*^-27+0.*I,2.1492202883474196*^-27+0.*I
-0.22362619006191453+0.*I,-0.32231356468825345+0.*I,-0.24459870147823148+0.*I,-0.03237194728366829+0.*I,0.1726827483527406+0.*I,0.24088162290017276+0.*I,0.14426328245898076+0.*I,-0.03785694176720674+0.*I,-0.18475550787959194+0.*I,-0.2135547154938814+0.*I,-0.12003727593088218+0.*I,0.03355988292271358+0.*I,0.16360275014868209+0.*I,0.21051991508656231+0.*I,0.16169398682753292+0.*I,0.047180285264676984+0.*I,-0.08192821855362466+0.*I,-0.17797140998966168+0.*I,-0.21312863447351124+0.*I,-0.18393105314260738+0.*I,-0.10608744125919066+0.*I,-0.004684606275960095+0.*I,0.09537684086164597+0.*I,0.17576233547428777+0.*I,0.2271311082305337+0.*I,0.24838768508884312+0.*I,0.2441765526149367+0.*I,0.2219637326972248+0.*I,0.189601255993368+0.*I,0.15376039096520913+0.*I,0.1192302080849121+0.*I,0.08886696891792152+0.*I,0.0639221486386358+0.*I,0.0445147270217744+0.*I,0.030090229151953918+0.*I,0.019785900080745735+0.*I,0.012679155536617887+0.*I,0.00793072957707023+0.*I,0.004848637731959391+0.*I,0.002900908161050637+0.*I,0.0017002819292454786+0.*I,0.0009772299461831453+0.*I,0.0005512345578560052+0.*I,0.0003054076357257686+0.*I,0.00016631713625179327+0.*I,0.00008908233427448975+0.*I,0.00004695747971947118+0.*I,0.000024373491463337368+0.*I,0.000012463902383940548+0.*I,6.282341714013328*^-6+0.*I,3.1225845555420574*^-6+0.*I,1.5311345729844074*^-6+0.*I,7.409503106774807*^-7+0.*I,3.539983243508235*^-7+0.*I,1.6703222846155896*^-7+0.*I,7.786250569592507*^-8+0.*I,3.586904847982136*^-8+0.*I,1.6334354365397655*^-8+0.*I,7.355216551845673*^-9+0.*I,3.2757824716110208*^-9+0.*I,1.4433442289022266*^-9+0.*I,6.293092146682304*^-10+0.*I,2.7157940058965153*^-10+0.*I,1.160280363800046*^-10+0.*I,4.9085489293194345*^-11+0.*I,2.0566206521383683*^-11+0.*I,8.53590075192813*^-12+0.*I,3.510091559868988*^-12+0.*I,1.4303361401674036*^-12+0.*I,5.776729494448605*^-13+0.*I,2.3127094339062226*^-13+0.*I,9.179593715778256*^-14+0.*I,3.6128915805109994*^-14+0.*I,1.4101939855938067*^-14+0.*I,5.459544371304886*^-15+0.*I,2.0967497486001025*^-15+0.*I,7.989259072756916*^-16+0.*I,3.0205864316183613*^-16+0.*I,1.133324404207004*^-16+0.*I,4.220336376269403*^-17+0.*I,1.5599826268334416*^-17+0.*I,5.7242789518748894*^-18+0.*I,2.085437304790851*^-18+0.*I,7.543873317389337*^-19+0.*I,2.709921868089127*^-19+0.*I,9.667790603501908*^-20+0.*I,3.425685619815889*^-20+0.*I,1.2057523646294292*^-20+0.*I,4.215979670489975*^-21+0.*I,1.4645594426671944*^-21+0.*I,5.054997158181715*^-22+0.*I,1.733710429645701*^-22+0.*I,5.908936268451633*^-23+0.*I,2.0014908004488274*^-23+0.*I,6.738186246949855*^-24+0.*I,2.2548116553741003*^-24+0.*I,7.500449534069544*^-25+0.*I,2.4803056927549307*^-25+0.*I,8.154444862033618*^-26+0.*I,2.6655357889830265*^-26+0.*I
0.2802738654786003+0.*I,0.3126651374766183+0.*I,0.12047118719545015+0.*I,-0.13238518130162785+0.*I,-0.24285731405607233+0.*I,-0.14426328245898076+0.*I,0.060074411498792814+0.*I,0.20326879463200773+0.*I,0.18784325893241238+0.*I,0.04137278328199287+0.*I,-0.1252535372749389+0.*I,-0.20459231565541847+0.*I,-0.15758479808408418+0.*I,-0.023030858033323068+0.*I,0.11892112245009592+0.*I,0.19652892263933586+0.*I,0.1797268777699388+0.*I,0.08514834286575956+0.*I,-0.04113839374436744+0.*I,-0.14874179547541752+0.*I,-0.20284973285118588+0.*I,-0.19260014584228027+0.*I,-0.128507481099931+0.*I,-0.03354805492430283+0.*I,0.06685804197911122+0.*I,0.1523216359744729+0.*I,0.21103027334228316+0.*I,0.23978640432157405+0.*I,0.24186653076454637+0.*I,0.2241253178073057+0.*I,0.19438578105726487+0.*I,0.15963564512003448+0.*I,0.1251149411309273+0.*I,0.09411978999308757+0.*I,0.0682537360895025+0.*I,0.04787685954597825+0.*I,0.03257439441625449+0.*I,0.021546164951417437+0.*I,0.013881698869742458+0.*I,0.008725899995502873+0.*I,0.0053591252850721215+0.*I,0.0032198705643308395+0.*I,0.001894637346987849+0.*I,0.0010929179687941383+0.*I,0.0006186001690928709+0.*I,0.0003438300871925534+0.*I,0.00018780534136452148+0.*I,0.00010087738813727556+0.*I,0.000053317459315760866+0.*I,0.00002774482019964524+0.*I,0.000014221979030210341+0.*I,7.1848275590224234*^-6+0.*I,3.5788946348346412*^-6+0.*I,1.7585016950121713*^-6+0.*I,8.526511197342738*^-7+0.*I,4.081290064918174*^-7+0.*I,1.9291869854852435*^-7+0.*I,9.008375511101913*^-8+0.*I,4.156717469706772*^-8+0.*I,1.8959011116833238*^-8+0.*I,8.54997000245069*^-9+0.*I,3.813411361588935*^-9+0.*I,1.6825717934823824*^-9+0.*I,7.34598258805264*^-10+0.*I,3.1742644231591497*^-10+0.*I,1.3578420653509405*^-10+0.*I,5.75122253052757*^-11+0.*I,2.412479894340092*^-11+0.*I,1.0024068508748163*^-11+0.*I,4.126500170418525*^-12+0.*I,1.6832736143609868*^-12+0.*I,6.805139354352149*^-13+0.*I,2.727095732269324*^-13+0.*I,1.0834620462066592*^-13+0.*I,4.268186104471545*^-14+0.*I,1.667451813335939*^-14+0.*I,6.461081912653808*^-15+0.*I,2.483469208920396*^-15+0.*I,9.470467763213697*^-16+0.*I,3.5834290750695094*^-16+0.*I,1.345534127677175*^-16+0.*I,5.014310191390662*^-17+0.*I,1.85480668396328*^-17+0.*I,6.8109221456453295*^-18+0.*I,2.4830205934599562*^-18+0.*I,8.988097502381555*^-19+0.*I,3.2308204278470735*^-19+0.*I,1.1533435721577364*^-19+0.*I,4.0892853041841616*^-20+0.*I,1.4401899166674494*^-20+0.*I,5.0386643907370175*^-21+0.*I,1.7513501776969213*^-21+0.*I,6.0482533619554*^-22+0.*I,2.075500863650212*^-22+0.*I,7.077622407879616*^-23+0.*I,2.3986011296492362*^-23+0.*I,8.079204677769287*^-24+0.*I,2.7049050492251772*^-24+0.*I,9.002028012937592*^-25+0.*I,2.9782757925971527*^-25+0.*I
-0.32521393550958494+0.*I,-0.2568653709628876+0.*I,0.027338596569078936+0.*I,0.2324791788953315+0.*I,0.18172409571044074+0.*I,-0.03785694176720674+0.*I,-0.20326879463200773+0.*I,-0.17578719677382046+0.*I,-0.000659207447354682+0.*I,0.1649875982780695+0.*I,0.19478705199201543+0.*I,0.08038372875683551+0.*I,-0.08502173739027667+0.*I,-0.18802817606026714+0.*I,-0.1705598936768637+0.*I,-0.05395834404533933+0.*I,0.08857890275016285+0.*I,0.18128279049749008+0.*I,0.1842757756430133+0.*I,0.10481569205038316+0.*I,-0.01604416991120738+0.*I,-0.12786373174719193+0.*I,-0.19233075479671982+0.*I,-0.19401232643552307+0.*I,-0.13969721617591832+0.*I,-0.05039558495886585+0.*I,0.04869401328394539+0.*I,0.136220652844639+0.*I,0.19892457123553337+0.*I,0.23223303566354334+0.*I,0.2384292264619951+0.*I,0.22383659581309057+0.*I,0.19613906750427726+0.*I,0.16244336004235854+0.*I,0.12823214079541198+0.*I,0.09706639468649693+0.*I,0.07077702771562158+0.*I,0.049889801473222244+0.*I,0.03409350718048679+0.*I,0.022641146148767253+0.*I,0.01464046487398728+0.*I,0.009233750076314984+0.*I,0.005688609942206436+0.*I,0.003427658317548154+0.*I,0.002022301722826394+0.*I,0.001169476715500303+0.*I,0.0006634827835048151+0.*I,0.00036958763731494805+0.*I,0.00020229244667219903+0.*I,0.00010887121833911526+0.*I,0.00005764877124975493+0.*I,0.000030051187057743424+0.*I,0.000015429792200748947+0.*I,7.807302555589037*^-6+0.*I,3.894800528133269*^-6+0.*I,1.9164620594145166*^-6+0.*I,9.305112099678442*^-7+0.*I,4.4597876259309203*^-7+0.*I,2.1107314092225072*^-7+0.*I,9.867886629674048*^-8+0.*I,4.5585399565250496*^-8+0.*I,2.0814618186617126*^-8+0.*I,9.396714279646392*^-9+0.*I,4.195329124751871*^-9+0.*I,1.8528926665365974*^-9+0.*I,8.097204638709322*^-10+0.*I,3.5020476648514584*^-10+0.*I,1.4993669205122577*^-10+0.*I,6.356020563827491*^-11+0.*I,2.6683495489105967*^-11+0.*I,1.1095963841691766*^-11+0.*I,4.571235126098572*^-12+0.*I,1.8660632355065215*^-12+0.*I,7.549503658952124*^-13+0.*I,3.0274834418148056*^-13+0.*I,1.2036101763587964*^-13+0.*I,4.744576157849228*^-14+0.*I,1.8547307289536*^-14+0.*I,7.191148810114385*^-15+0.*I,2.7657286745240813*^-15+0.*I,1.0552919646278555*^-15+0.*I,3.9952446938817064*^-16+0.*I,1.500983488724667*^-16+0.*I,5.596577982693392*^-17+0.*I,2.071256979881576*^-17+0.*I,7.609555213007692*^-18+0.*I,2.7755304299809947*^-18+0.*I,1.0051717570465131*^-18+0.*I,3.6148217083848783*^-19+0.*I,1.291008941078524*^-19+0.*I,4.5794104668629866*^-20+0.*I,1.6134995166452538*^-20+0.*I,5.6473784811578694*^-21+0.*I,1.9637331944617504*^-21+0.*I,6.784428821728124*^-22+0.*I,2.329034932688969*^-22+0.*I,7.945227350275349*^-23+0.*I,2.693636888203379*^-23+0.*I,9.07628356111841*^-24+0.*I,3.0398095236925974*^-24+0.*I
