0.7989958915201624+0.*I,0.5352669915951992+0.*I,0.25356037243525437+0.*I,0.09807236988023922+0.*I,0.03285054587986114+0.*I,0.009842003266325425+0.*I,0.002691744262242861+0.*I,0.00068157035475217+0.*I,0.00016143273889984702+0.*I,0.00003604925357479713+0.*I,7.636989493284492*^-6+0.*I,1.5425944584055408*^-6+0.*I,2.983232215013914*^-7+0.*I,5.542954330624791*^-8+0.*I,9.924375750094608*^-9+0.*I,1.7166568297101796*^-9+0.*I,2.875076538541666*^-10+0.*I,4.67144098114871*^-11+0.*I,7.376333266627475*^-12+0.*I,1.1336778098250187*^-12+0.*I,1.6982458599110513*^-13+0.*I,2.4826576358664627*^-14+0.*I,3.545940217850238*^-15+0.*I,4.953286035549353*^-16+0.*I,6.773508860262573*^-17+0.*I,9.075480233767099*^-18+0.*I,1.1923640063237285*^-18+0.*I,1.5372796984134924*^-19+0.*I,1.9462552295513338*^-20+0.*I,2.4211779490538762*^-21+0.*I,2.9613654069524495*^-22+0.*I,3.563174308481222*^-23+0.*I,4.219762375117138*^-24+0.*I,4.92104052963392*^-25+0.*I,5.653838511163917*^-26+0.*I,6.402289287871985*^-27+0.*I,7.148418331082521*^-28+0.*I,7.872905057431728*^-29+0.*I,8.555967617103204*^-30+0.*I,9.17831048551291*^-31+0.*I,9.722068252887421*^-32+0.*I,1.0171679175450998*^-32+0.*I,1.0514628303315097*^-33+0.*I,1.0742011509043722*^-34+0.*I,1.084888714365159*^-35+0.*I,1.0834399636696514*^-36+0.*I,1.0701677308358504*^-37+0.*I,1.0457523248878381*^-38+0.*I,1.0111931906444627*^-39+0.*I,9.67747398993887*^-41+0.*I,9.16859790591063*^-42+0.*I,8.600897166359869*^-43+0.*I,7.990390415402158*^-44+0.*I,7.352854654607605*^-45+0.*I,6.7032438390411126*^-46+0.*I,6.055215295905361*^-47+0.*I,5.420776382033789*^-48+0.*I,4.81005431707273*^-49+0.*I,4.231183887336998*^-50+0.*I,3.6903011682754397*^-51+0.*I,3.1916267903031792*^-52+0.*I,2.7376195946321433*^-53+0.*I,2.3291806435268498*^-54+0.*I,1.9658881909874963*^-55+0.*I,1.646246039826864*^-56+0.*I,1.367930337390547*^-57+0.*I,1.1280229350062096*^-58+0.*I,9.232226373680564*^-60+0.*I,7.500287392545224*^-61+0.*I,6.048939986848933*^-62+0.*I,4.843465070686708*^-63+0.*I,3.850817298686494*^-64+0.*I,3.0402729969865524*^-65+0.*I,2.3838398116444837*^-66+0.*I,1.856466535027828*^-67+0.*I,1.4360924851538094*^-68+0.*I,1.1035741773227235*^-69+0.*I,8.425236170577503*^-71+0.*I,6.390880523542964*^-72+0.*I,4.816960325026501*^-73+0.*I,3.607895849436484*^-74+0.*I,2.685575702387707*^-75+0.*I,1.9868102375743073*^-76+0.*I,1.4609765975353934*^-77+0.*I,1.0678974085305192*^-78+0.*I,7.759718848191606*^-80+0.*I,5.605607387209056*^-81+0.*I,4.0261408752086234*^-82+0.*I,2.8752363285787027*^-83+0.*I,2.0417589130432767*^-84+0.*I,1.4418136133645159*^-85+0.*I,1.0125450197891588*^-86+0.*I,7.072066643480142*^-88+0.*I,4.912819256451985*^-89+0.*I,3.394632588945286*^-90+0.*I,2.3332264437613826*^-91+0.*I,1.5953177220527476*^-92+0.*I,1.0851436638635163*^-93+0.*I,7.34344958084745*^-95+0.*I,4.94434123941863*^-96+0.*I
-0.5352669915951992+0.*I,0.4404073739418525+0.*I,0.5871155115533142+0.*I,0.3734783560842254+0.*I,0.17413735142219985+0.*I,0.06686265372478581+0.*I,0.022304620389634336+0.*I,0.006665085173353247+0.*I,0.0018196243180795305+0.*I,0.0004601479354339863+0.*I,0.00010888154222311332+0.*I,0.000024295606723674997+0.*I,5.143849894298952*^-6+0.*I,1.0384860579504085*^-6+0.*I,2.0074977684470776*^-7+0.*I,3.7286911386204483*^-8+0.*I,6.674018872949566*^-9+0.*I,1.1541292933755026*^-9+0.*I,1.9325086873341875*^-10+0.*I,3.139321264605266*^-11+0.*I,4.9561916292934424*^-12+0.*I,7.616020862875776*^-13+0.*I,1.140714524838137*^-13+0.*I,1.66738990670312*^-14+0.*I,2.3812272662610276*^-15+0.*I,3.325955556775786*^-16+0.*I,4.5477256844275115*^-17+0.*I,6.09271897370217*^-18+0.*I,8.004135132270408*^-19+0.*I,1.0318704504441068*^-19+0.*I,1.3062948634975865*^-20+0.*I,1.6249478970912158*^-21+0.*I,1.9873665472527637*^-22+0.*I,2.3911016713566392*^-23+0.*I,2.831558605866422*^-24+0.*I,3.3019654612941737*^-25+0.*I,3.7934845608352523*^-26+0.*I,4.2954705909327465*^-27+0.*I,4.795866087397044*^-28+0.*I,5.281712305823614*^-29+0.*I,5.73974271582159*^-30+0.*I,6.157018507230082*^-31+0.*I,6.521561440251419*^-32+0.*I,6.82293949439068*^-33+0.*I,7.052764971586282*^-34+0.*I,7.205072433150339*^-35+0.*I,7.276554183142821*^-36+0.*I,7.2666428078069755*^-37+0.*I,7.177442317426556*^-38+0.*I,7.013520556978754*^-39+0.*I,6.781584791507467*^-40+0.*I,6.490069048807443*^-41+0.*I,6.148665559775163*^-42+0.*I,5.76783344715689*^-43+0.*I,5.358315938474467*^-44+0.*I,4.930693305789201*^-45+0.*I,4.494993094367643*^-46+0.*I,4.060372683043009*^-47+0.*I,3.634882489443624*^-48+0.*I,3.225311777654604*^-49+0.*I,2.837113500892353*^-50+0.*I,2.4744002237309284*^-51+0.*I,2.1400000706421275*^-52+0.*I,1.8355598540766096*^-53+0.*I,1.5616819458282292*^-54+0.*I,1.3180818873747247*^-55+0.*I,1.1037549566088944*^-56+0.*I,9.171416703504663*^-58+0.*I,7.56284263041947*^-59+0.*I,6.189683287220385*^-60+0.*I,5.028458726592262*^-61+0.*I,4.055378638841528*^-62+0.*I,3.2471592937350896*^-63+0.*I,2.581640458322367*^-64+0.*I,2.0382196186859025*^-65+0.*I,1.5981264439784684*^-66+0.*I,1.2445632885375018*^-67+0.*I,9.627381376343237*^-69+0.*I,7.398153030218432*^-70+0.*I,5.648068857608199*^-71+0.*I,4.2842501113498923*^-72+0.*I,3.229114932595313*^-73+0.*I,2.418582100021831*^-74+0.*I,1.8002828289604906*^-75+0.*I,1.3318530620632692*^-76+0.*I,9.79354336943052*^-78+0.*I,7.158513880979443*^-79+0.*I,5.2015903847516976*^-80+0.*I,3.757593007407759*^-81+0.*I,2.698814282462499*^-82+0.*I,1.927323515574178*^-83+0.*I,1.3686192388962329*^-84+0.*I,9.664613136195141*^-86+0.*I,6.787141902769643*^-87+0.*I,4.7404135122187116*^-88+0.*I,3.293047714476976*^-89+0.*I,2.275398270993672*^-90+0.*I,1.563936095123987*^-91+0.*I,1.0693178631733107*^-92+0.*I,7.27351672040592*^-94+0.*I
0.25356037243525437+0.*I,-0.5871155115533142+0.*I,0.16228593154109056+0.*I,0.5421469453817185+0.*I,0.4456878620977173+0.*I,0.24366193959335206+0.*I,0.10524363141508798+0.*I,0.03857081820357394+0.*I,0.012468199354605023+0.*I,0.003642030225331503+0.*I,0.0009773439820595304+0.*I,0.0002438408222462434+0.*I,0.0000570751555002034+0.*I,0.000012622356113678397+0.*I,2.6524790304069256*^-6+0.*I,5.321127896338137*^-7+0.*I,1.0230177397937954*^-7+0.*I,1.891122096648585*^-8+0.*I,3.370843355582897*^-9+0.*I,5.807679578512828*^-10+0.*I,9.692626632959593*^-11+0.*I,1.569911923385234*^-11+0.*I,2.471911775352546*^-12+0.*I,3.78936553195233*^-13+0.*I,5.6632073765161416*^-14+0.*I,8.261356489793742*^-15+0.*I,1.1776473797138464*^-15+0.*I,1.6420794021064473*^-16+0.*I,2.241770449493647*^-17+0.*I,2.9990033026329055*^-18+0.*I,3.9345368088916216*^-19+0.*I,5.065912903306554*^-20+0.*I,6.40564840191783*^-21+0.*I,7.959452625943006*^-22+0.*I,9.724631494622335*^-23+0.*I,1.1688842674317885*^-23+0.*I,1.3829352532634853*^-24+0.*I,1.6112914072241173*^-25+0.*I,1.8496338103299623*^-26+0.*I,2.0927772163276416*^-27+0.*I,2.3348639177798186*^-28+0.*I,2.5696127416620204*^-29+0.*I,2.7906071640156748*^-30+0.*I,2.9916028145364766*^-31+0.*I,3.166832766055048*^-32+0.*I,3.311289146622522*^-33+0.*I,3.420961715154412*^-34+0.*I,3.493017830390456*^-35+0.*I,3.52591327037989*^-36+0.*I,3.519429070750063*^-37+0.*I,3.474635354060371*^-38+0.*I,3.393788464186756*^-39+0.*I,3.28017213842467*^-40+0.*I,3.13789662219693*^-41+0.*I,2.9716713911050575*^-42+0.*I,2.7865674844160002*^-43+0.*I,2.587784503989129*^-44+0.*I,2.3804353314875402*^-45+0.*I,2.1693588706110806*^-46+0.*I,1.9589679627783563*^-47+0.*I,1.753136375817084*^-48+0.*I,1.5551257060128064*^-49+0.*I,1.3675503823192348*^-50+0.*I,1.1923768629377056*^-51+0.*I,1.0309516403656453*^-52+0.*I,8.840518260143063*^-54+0.*I,7.519518195994139*^-55+0.*I,6.344997924596461*^-56+0.*I,5.311983153560369*^-57+0.*I,4.412843196005041*^-58+0.*I,3.6380457937337512*^-59+0.*I,2.976839403407685*^-60+0.*I,2.4178451228976007*^-61+0.*I,1.949549308493825*^-62+0.*I,1.5606953708356505*^-63+0.*I,1.2405790560876635*^-64+0.*I,9.79255704408721*^-66+0.*I,7.67670642456314*^-67+0.*I,5.977252083666413*^-68+0.*I,4.622911714478889*^-69+0.*I,3.551857549468814*^-70+0.*I,2.7111834926455337*^-71+0.*I,2.0561853868826724*^-72+0.*I,1.5495344400709785*^-73+0.*I,1.1604075224298608*^-74+0.*I,8.636226865861304*^-76+0.*I,6.388145389512893*^-77+0.*I,4.696723809160083*^-78+0.*I,3.432544697014908*^-79+0.*I,2.493842674698139*^-80+0.*I,1.8012897684004059*^-81+0.*I,1.2935675256028958*^-82+0.*I,9.236645232839425*^-84+0.*I,6.558236250203682*^-85+0.*I,4.6305743325824684*^-86+0.*I,3.2515051102472403*^-87+0.*I,2.2707116327002166*^-88+0.*I,1.577223036383774*^-89+0.*I,1.0896898199985308*^-90+0.*I,7.488862790132987*^-92+0.*I
-0.09807236988023922+0.*I,0.3734783560842254+0.*I,-0.5421469453817185+0.*I,-0.047406281978963384+0.*I,0.4536337103777568+0.*I,0.4811367130945121+0.*I,0.3038837678826601+0.*I,0.14584383742613893+0.*I,0.05816341801491527+0.*I,0.020186886159023053+0.*I,0.006271388812324634+0.*I,0.0017771582128736749+0.*I,0.0004656060507889887+0.*I,0.00011392932133332972+0.*I,0.000026241476795668423+0.*I,5.725312229560518*^-6+0.*I,1.1892934525852699*^-6+0.*I,2.3621242872686196*^-7+0.*I,4.501906314546644*^-8+0.*I,8.258472987881217*^-9+0.*I,1.4620471674034825*^-9+0.*I,2.503706729856589*^-10+0.*I,4.155732700409202*^-11+0.*I,6.697848268068138*^-12+0.*I,1.0498902075702701*^-12+0.*I,1.6028737828529246*^-13+0.*I,2.386528318720599*^-14+0.*I,3.4694296048486382*^-15+0.*I,4.929927985205455*^-16+0.*I,6.85395178588902*^-17+0.*I,9.331500683500846*^-18+0.*I,1.2451826340344096*^-18+0.*I,1.6297443860249913*^-19+0.*I,2.0937275672148684*^-20+0.*I,2.6419379962011486*^-21+0.*I,3.2763837658146943*^-22+0.*I,3.995644551355091*^-23+0.*I,4.794387284281909*^-24+0.*I,5.663087799899547*^-25+0.*I,6.588004868250783*^-26+0.*I,7.551433795343829*^-27+0.*I,8.532243398016708*^-28+0.*I,9.506675074001157*^-29+0.*I,1.0449358654383421*^-29+0.*I,1.1334479402401356*^-30+0.*I,1.2137016144093135*^-31+0.*I,1.2833963604778536*^-32+0.*I,1.3405453215659976*^-33+0.*I,1.383569564617656*^-34+0.*I,1.4113683951778576*^-35+0.*I,1.4233616673132577*^-36+0.*I,1.4195023238225547*^-37+0.*I,1.4002597238683748*^-38+0.*I,1.366576437053522*^-39+0.*I,1.3198029236505094*^-40+0.*I,1.261615754723755*^-41+0.*I,1.1939256912720227*^-42+0.*I,1.1187820391455663*^-43+0.*I,1.0382792822787841*^-44+0.*I,9.544711686440263*^-46+0.*I,8.692963052451991*^-47+0.*I,7.845180439994398*^-48+0.*I,7.01680137717965*^-49+0.*I,6.220784255421687*^-50+0.*I,5.467477557277769*^-51+0.*I,4.7646252692295015*^-52+0.*I,4.1174865390457847*^-53+0.*I,3.529044403953458*^-54+0.*I,3.0002774881920355*^-55+0.*I,2.530469580700227*^-56+0.*I,2.1175345008484013*^-57+0.*I,1.7583371582513054*^-58+0.*I,1.4489957479849778*^-59+0.*I,1.1851541880096169*^-60+0.*I,9.622178739216754*^-62+0.*I,7.755493596035094*^-63+0.*I,6.206235221125136*^-64+0.*I,4.931440666348917*^-65+0.*I,3.891248702154103*^-66+0.*I,3.0494069890227726*^-67+0.*I,2.3735234290381863*^-68+0.*I,1.8351129746609453*^-69+0.*I,1.409488779719469*^-70+0.*I,1.0755419639203722*^-71+0.*I,8.154483178289201*^-73+0.*I,6.143337417165036*^-74+0.*I,4.599236655246932*^-75+0.*I,3.4219555315599313*^-76+0.*I,2.5304812045994883*^-77+0.*I,1.8599623702571918*^-78+0.*I,1.3589668387023412*^-79+0.*I,9.870697723362454*^-81+0.*I,7.127726982593821*^-82+0.*I,5.1173803950259126*^-83+0.*I,3.6531402950163113*^-84+0.*I,2.593193525292141*^-85+0.*I,1.830546365678355*^-86+0.*I,1.2850808898424505*^-87+0.*I,8.972433368904445*^-89+0.*I,6.230825927412303*^-90+0.*I
0.03285054587986114+0.*I,-0.17413735142219985+0.*I,0.4456878620977173+0.*I,-0.4536337103777568+0.*I,-0.19935646971903534+0.*I,0.34601525005485+0.*I,0.48748011815225284+0.*I,0.35314825246177567+0.*I,0.18677178101858463+0.*I,0.08048328134913861+0.*I,0.029817590788619536+0.*I,0.009804640812723602+0.*I,0.0029221678474505666+0.*I,0.0008012212184468707+0.*I,0.00020435233813337269+0.*I,0.000048898637593087016+0.*I,0.000011052255997377124+0.*I,2.372669005707368*^-6+0.*I,4.860025418469715*^-7+0.*I,9.535049634456037*^-8+0.*I,1.7976776319806667*^-8+0.*I,3.266106172426604*^-9+0.*I,5.732511376469541*^-10+0.*I,9.740744282241692*^-11+0.*I,1.605463700018743*^-11+0.*I,2.571035291181063*^-12+0.*I,4.0066026485387787*^-13+0.*I,6.084169643058442*^-14+0.*I,9.014113927525932*^-15+0.*I,1.3044655803292795*^-15+0.*I,1.8457749919457858*^-16+0.*I,2.556070924855265*^-17+0.*I,3.467318045736347*^-18+0.*I,4.610952383031358*^-19+0.*I,6.015717401794454*^-20+0.*I,7.705211481920277*^-21+0.*I,9.695312271412419*^-22+0.*I,1.199168458493335*^-22+0.*I,1.4587601968038077*^-23+0.*I,1.746231266596897*^-24+0.*I,2.058015606211411*^-25+0.*I,2.3890586399996502*^-26+0.*I,2.7329190751112152*^-27+0.*I,3.0819704570775*^-28+0.*I,3.4276939635558994*^-29+0.*I,3.761045537441841*^-30+0.*I,4.072873486234402*^-31+0.*I,4.354357867966492*^-32+0.*I,4.597440850234659*^-33+0.*I,4.79521795679194*^-34+0.*I,4.942263566150111*^-35+0.*I,5.034869762215844*^-36+0.*I,5.071184993413863*^-37+0.*I,5.051247173977353*^-38+0.*I,4.976914026596631*^-39+0.*I,4.8517008522314435*^-40+0.*I,4.680541899229018*^-41+0.*I,4.469495668857397*^-42+0.*I,4.2254166416235745*^-43+0.*I,3.9556160619775503*^-44+0.*I,3.667532792236726*^-45+0.*I,3.3684321968744514*^-46+0.*I,3.0651469891005835*^-47+0.*I,2.7638694348980095*^-48+0.*I,2.4699997139820033*^-49+0.*I,2.1880509669433124*^-50+0.*I,1.921607906227167*^-51+0.*I,1.6733330247252484*^-52+0.*I,1.4450124852333296*^-53+0.*I,1.2376327100123255*^-54+0.*I,1.051478431150346*^-55+0.*I,8.862433762396188*^-57+0.*I,7.411456875463882*^-58+0.*I,6.15041435244726*^-59+0.*I,5.065310237901775*^-60+0.*I,4.140547634787363*^-61+0.*I,3.3597527364433123*^-62+0.*I,2.7064561855312773*^-63+0.*I,2.1646310187108976*^-64+0.*I,1.7190943859750077*^-65+0.*I,1.355785855204414*^-66+0.*I,1.0619386065709946*^-67+0.*I,8.261614819434152*^-69+0.*I,6.384500353863453*^-70+0.*I,4.901438018942797*^-71+0.*I,3.7384531455544756*^-72+0.*I,2.833142666240839*^-73+0.*I,2.1334789212087244*^-74+0.*I,1.596563257601445*^-75+0.*I,1.187395424359295*^-76+0.*I,8.777055913508048*^-78+0.*I,6.448795588904929*^-79+0.*I,4.709945132150605*^-80+0.*I,3.419724192287328*^-81+0.*I,2.4685055438774223*^-82+0.*I,1.7716341379226817*^-83+0.*I,1.2642685481728946*^-84+0.*I,8.971350063445039*^-86+0.*I,6.330771612529323*^-87+0.*I,4.4428583237785065*^-88+0.*I
-0.009842003266325425+0.*I,0.06686265372478581+0.*I,-0.24366193959335206+0.*I,0.4811367130945121+0.*I,-0.34601525005485+0.*I,-0.30302242503352383+0.*I,0.23299197292420806+0.*I,0.470991255900449+0.*I,0.390744421499636+0.*I,0.2264678977734489+0.*I,0.10488721623494965+0.*I,0.04128917000418304+0.*I,0.014313804550104474+0.*I,0.004471808691550214+0.*I,0.0012794756974167608+0.*I,0.0003392986306556875+0.*I,0.00008416129305817381+0.*I,0.00001966850293482483+0.*I,4.356216853514889*^-6+0.*I,9.18826415444255*^-7+0.*I,1.8531516160111937*^-7+0.*I,3.5862904982917127*^-8+0.*I,6.679296418448409*^-9+0.*I,1.2003035072874442*^-9+0.*I,2.08599055476514*^-10+0.*I,3.512897910041459*^-11+0.*I,5.742824944119666*^-12+0.*I,9.128221852678275*^-13+0.*I,1.4127710912088678*^-13+0.*I,2.1318043997867835*^-14+0.*I,3.139975754014862*^-15+0.*I,4.519362938923234*^-16+0.*I,6.362524152174547*^-17+0.*I,8.769557495584631*^-18+0.*I,1.1843662224297412*^-18+0.*I,1.5685244542450925*^-19+0.*I,2.038478102836163*^-20+0.*I,2.601483065662462*^-21+0.*I,3.2621749333240746*^-22+0.*I,4.021778529943776*^-23+0.*I,4.877429860005758*^-24+0.*I,5.821683789659913*^-25+0.*I,6.84227167741284*^-26+0.*I,7.922156315025917*^-27+0.*I,9.03990835687071*^-28+0.*I,1.0170401198542547*^-28+0.*I,1.1285792901709668*^-29+0.*I,1.2356737358487602*^-30+0.*I,1.3353745360785186*^-31+0.*I,1.4248601935155213*^-32+0.*I,1.501574070905517*^-33+0.*I,1.5633479652884644*^-34+0.*I,1.608503471149065*^-35+0.*I,1.6359247089974486*^-36+0.*I,1.6450984087327174*^-37+0.*I,1.6361199782049793*^-38+0.*I,1.6096667908691496*^-39+0.*I,1.566942251115428*^-40+0.*I,1.5095960499421384*^-41+0.*I,1.4396272809481798*^-42+0.*I,1.359277693310959*^-43+0.*I,1.2709223303366575*^-44+0.*I,1.176964214568086*^-45+0.*I,1.0797387123017381*^-46+0.*I,9.814318860832281*^-48+0.*I,8.840156747246681*^-49+0.*I,7.89201268757303*^-50+0.*I,6.984106952695906*^-51+0.*I,6.1276548004701085*^-52+0.*I,5.330903735463709*^-53+0.*I,4.5992953426432545*^-54+0.*I,3.935722531706123*^-55+0.*I,3.34085247713915*^-56+0.*I,2.8134870923680895*^-57+0.*I,2.3509360059511828*^-58+0.*I,1.9493811643233196*^-59+0.*I,1.604216852388308*^-60+0.*I,1.3103536544365912*^-61+0.*I,1.0624793213367459*^-62+0.*I,8.552734160617527*^-64+0.*I,6.835758283373184*^-65+0.*I,5.425117188208381*^-66+0.*I,4.275771838294815*^-67+0.*I,3.346909863499425*^-68+0.*I,2.602181753604329*^-69+0.*I,2.009714284406047*^-70+0.*I,1.5419562101605577*^-71+0.*I,1.175405614933803*^-72+0.*I,8.90261334315417*^-74+0.*I,6.700333469435691*^-75+0.*I,5.011396133751625*^-76+0.*I,3.725099471754869*^-77+0.*I,2.752114164705329*^-78+0.*I,2.021046349277848*^-79+0.*I,1.475361449040239*^-80+0.*I,1.0706888157925651*^-81+0.*I,7.725034440234198*^-83+0.*I,5.541647212509979*^-84+0.*I,3.952819031535423*^-85+0.*I,2.803704755187914*^-86+0.*I
0.002691744262242861+0.*I,-0.022304620389634336+0.*I,0.10524363141508798+0.*I,-0.3038837678826601+0.*I,0.48748011815225284+0.*I,-0.23299197292420806+0.*I,-0.366744696739448+0.*I,0.1228460730424641+0.*I,0.43698698970945904+0.*I,0.41662426018214344+0.*I,0.2636826101831113+0.*I,0.13072555718637335+0.*I,0.054476942109862724+0.*I,0.01984632995938205+0.*I,0.006480869676330275+0.*I,0.0019302320360127848+0.*I,0.000531054603136056+0.*I,0.0001362853174507837+0.*I,0.00003287544039426977+0.*I,7.500649753305895*^-6+0.*I,1.626856972067152*^-6+0.*I,3.3688457611589985*^-7+0.*I,6.684547682696085*^-8+0.*I,1.2749050115163585*^-8+0.*I,2.3435560976534004*^-9+0.*I,4.1619341890146007*^-10+0.*I,7.155616422588893*^-11+0.*I,1.1932718562471573*^-11+0.*I,1.9332826324499504*^-12+0.*I,3.0476511955109694*^-13+0.*I,4.680982607783108*^-14+0.*I,7.013657403353565*^-15+0.*I,1.0263009422453549*^-15+0.*I,1.4681598267982466*^-16+0.*I,2.055180349021099*^-17+0.*I,2.817617740642219*^-18+0.*I,3.786333089553738*^-19+0.*I,4.990957203348009*^-20+0.*I,6.4577031057161246*^-21+0.*I,8.206952961007947*^-22+0.*I,1.0250791967972226*^-22+0.*I,1.2590695892385538*^-23+0.*I,1.5215594422002074*^-24+0.*I,1.8100525341297763*^-25+0.*I,2.1206063230901724*^-26+0.*I,2.4478652660101136*^-27+0.*I,2.7851904331056625*^-28+0.*I,3.1248830510827433*^-29+0.*I,3.4584912102412235*^-30+0.*I,3.7771813057507126*^-31+0.*I,4.0721496962502395*^-32+0.*I,4.3350462132038334*^-33+0.*I,4.558379936567373*^-34+0.*I,4.73587915325746*^-35+0.*I,4.8627814148105893*^-36+0.*I,4.936035623637762*^-37+0.*I,4.954405424295407*^-38+0.*I,4.9184710769553357*^-39+0.*I,4.830534660745552*^-40+0.*I,4.694440196337849*^-41+0.*I,4.5153255471877495*^-42+0.*I,4.29932641404889*^-43+0.*I,4.053254249869066*^-44+0.*I,3.784269567843647*^-45+0.*I,3.499570140557982*^-46+0.*I,3.2061103614238363*^-47+0.*I,2.910363997018967*^-48+0.*I,2.618138149839285*^-49+0.*I,2.334441891062336*^-50+0.*I,2.0634090585840654*^-51+0.*I,1.808271401643878*^-52+0.*I,1.5713757443950687*^-53+0.*I,1.3542371944618176*^-54+0.*I,1.1576196121377191*^-55+0.*I,9.816344890213239*^-57+0.*I,8.25849924906455*^-58+0.*I,6.894023791766191*^-59+0.*I,5.711051445580301*^-60+0.*I,4.695488951637516*^-61+0.*I,3.831910679022821*^-62+0.*I,3.104321456211272*^-63+0.*I,2.496780514884191*^-64+0.*I,1.9938879611527913*^-65+0.*I,1.5811422654904436*^-66+0.*I,1.2451821496254603*^-67+0.*I,9.739291512717935*^-69+0.*I,7.56648366281645*^-70+0.*I,5.839447495386929*^-71+0.*I,4.4771125405594473*^-72+0.*I,3.410433325515495*^-73+0.*I,2.5813220478530783*^-74+0.*I,1.941470415470561*^-75+0.*I,1.4511401061712852*^-76+0.*I,1.0779809579842655*^-77+0.*I,7.95918142678043*^-79+0.*I,5.841345771737962*^-80+0.*I,4.261627636438728*^-81+0.*I,3.0909097442690213*^-82+0.*I,2.2288192721108097*^-83+0.*I,1.5979746727255717*^-84+0.*I
-0.00068157035475217+0.*I,0.006665085173353247+0.*I,-0.03857081820357394+0.*I,0.14584383742613893+0.*I,-0.35314825246177567+0.*I,0.470991255900449+0.*I,-0.1228460730424641+0.*I,-0.3978502674869816+0.*I,0.020679508652124968+0.*I,0.3900042040693432+0.*I,0.4311947697073483+0.*I,0.29744292809780604+0.*I,0.15736595090221198+0.*I,0.06921431465090695+0.*I,0.026425942932599797+0.*I,0.008998272184083547+0.*I,0.002783769426198458+0.*I,0.0007930803352894041+0.*I,0.0002102183847598057+0.*I,0.000052263359804963483+0.*I,0.000012266479403753588+0.*I,2.732497165946919*^-6+0.*I,5.803067318783924*^-7+0.*I,1.1793955899645759*^-7+0.*I,2.3013247266380812*^-8+0.*I,4.323521351649446*^-9+0.*I,7.839894558722418*^-10+0.*I,1.3751206057852208*^-10+0.*I,2.337591508968967*^-11+0.*I,3.8578364887811966*^-12+0.*I,6.190711300029321*^-13+0.*I,9.673148752341385*^-14+0.*I,1.473596300985242*^-14+0.*I,2.191171330546258*^-15+0.*I,3.183627918616427*^-16+0.*I,4.5241787176502954*^-17+0.*I,6.2938835602512666*^-18+0.*I,8.578662875751409*^-19+0.*I,1.1465064361083395*^-19+0.*I,1.5034874535212283*^-20+0.*I,1.935881201036701*^-21+0.*I,2.4489683727684563*^-22+0.*I,3.0455509886799334*^-23+0.*I,3.7253208919067494*^-24+0.*I,4.484346481176206*^-25+0.*I,5.314736538016734*^-26+0.*I,6.2045299439005506*^-27+0.*I,7.137843956990046*^-28+0.*I,8.09529298164205*^-29+0.*I,9.05466651735895*^-30+0.*I,9.99183170402511*^-31+0.*I,1.0881805134839374*^-31+0.*I,1.1699922663905403*^-32+0.*I,1.2423026506642587*^-33+0.*I,1.303058696418443*^-34+0.*I,1.350568167920708*^-35+0.*I,1.3835767689850118*^-36+0.*I,1.4013199220101234*^-37+0.*I,1.4035465163117436*^-38+0.*I,1.3905142378690454*^-39+0.*I,1.3629582073687193*^-40+0.*I,1.3220364778273201*^-41+0.*I,1.2692573345546824*^-42+0.*I,1.2063942132915955*^-43+0.*I,1.1353943815305516*^-44+0.*I,1.0582873435147865*^-45+0.*I,9.770983069385704*^-47+0.*I,8.937710963132945*^-48+0.*I,8.101037379132959*^-49+0.*I,7.276986991373272*^-50+0.*I,6.479285546759208*^-51+0.*I,5.719167660645169*^-52+0.*I,5.005323667920439*^-53+0.*I,4.3439668080521783*^-54+0.*I,3.738997799948298*^-55+0.*I,3.1922419522329415*^-56+0.*I,2.7037340736280295*^-57+0.*I,2.2720281996965483*^-58+0.*I,1.8945120844875903*^-59+0.*I,1.5677100638916986*^-60+0.*I,1.2875618649041063*^-61+0.*I,1.0496688605826673*^-62+0.*I,8.495028847590229*^-64+0.*I,6.82575839652878*^-65+0.*I,5.445708505702392*^-66+0.*I,4.314376120630388*^-67+0.*I,3.3945585205410647*^-68+0.*I,2.652715770532841*^-69+0.*I,2.059110397785092*^-70+0.*I,1.5877728849566667*^-71+0.*I,1.2163381382591432*^-72+0.*I,9.257929477529338*^-74+0.*I,7.001683990204929*^-75+0.*I,5.2620485290124795*^-76+0.*I,3.930109605054186*^-77+0.*I,2.9173255280063333*^-78+0.*I,2.1524233610566348*^-79+0.*I,1.5785722859832919*^-80+0.*I,1.1508689857898008*^-81+0.*I,8.341456511412161*^-83+0.*I
