0.13544422798074637+0.*I,0.27083395618783185+0.*I,0.382939995179439+0.*I,0.4420920566500701+0.*I,0.44200311259765884+0.*I,0.3952600644403735+0.*I,0.32266356177507577+0.*I,0.24386165401962265+0.*I,0.17240153695860683+0.*I,0.11491123444551539+0.*I,0.07266162425769271+0.*I,0.04380779263935544+0.*I,0.025287352312413025+0.*I,0.01402407723207307+0.*I,0.007494676445664711+0.*I,0.0038694556260619887+0.*I,0.0019343385671049126+0.*I,0.0009381032527882941+0.*I,0.00044213714330983535+0.*I,0.00020282561991557185+0.*I,0.00009068812561843029+0.*I,0.00003957157991573828+0.*I,0.000016869983632839707+0.*I,7.03385408597305*^-6+0.*I,2.870981179947429*^-6+0.*I,1.1481614280624847*^-6+0.*I,4.502553589251326*^-7+0.*I,1.7326850172410023*^-7+0.*I,6.54761622097807*^-8+0.*I,2.4312343808084787*^-8+0.*I,8.875826675101877*^-9+0.*I,3.1876496123935596*^-9+0.*I,1.126777587627478*^-9+0.*I,3.9221467732328355*^-10+0.*I,1.3450145880876894*^-10+0.*I,4.546064405042753*^-11+0.*I,1.515049928985571*^-11+0.*I,4.980451267273087*^-12+0.*I,1.6155466692978862*^-12+0.*I,5.172849181109643*^-13+0.*I,1.6354694358353482*^-13+0.*I,5.107320541555413*^-14+0.*I,1.5758362330932645*^-14+0.*I,4.8052884868418805*^-15+0.*I,1.4485575002926191*^-15+0.*I,4.317895165536443*^-16+0.*I,1.2730216498840862*^-16+0.*I,3.7130386699331804*^-17+0.*I,1.0716462909827684*^-17+0.*I,3.0612305358644934*^-18+0.*I,8.6567254944509885*^-19+0.*I,2.423880304404666*^-19+0.*I,6.721281882402744*^-20+0.*I,1.846106648586095*^-20+0.*I,5.023455021466341*^-21+0.*I,1.3544525180618019*^-21+0.*I,3.619198331521362*^-22+0.*I,9.585561695965051*^-23+0.*I,2.5167853751189153*^-23+0.*I,6.551832521393362*^-24+0.*I,1.6913355362782924*^-24+0.*I,4.330195136818541*^-25+0.*I,1.099649382759842*^-25+0.*I,2.7702985306245337*^-26+0.*I,6.924352942683457*^-27+0.*I,1.7173749724387768*^-27+0.*I,4.227034314683617*^-28+0.*I,1.032621073207811*^-28+0.*I,2.5039701015831662*^-29+0.*I,6.0276385970823024*^-30+0.*I,1.4405913301613055*^-30+0.*I,3.4186468026903227*^-31+0.*I,8.056206642681276*^-32+0.*I,1.8854359297427388*^-32+0.*I,4.3826675748305806*^-33+0.*I,1.0119300914821*^-33+0.*I,2.321059779999618*^-34+0.*I,5.289121883323493*^-35+0.*I,1.1975092736984351*^-35+0.*I,2.694064265043442*^-36+0.*I,6.0228988476425845*^-37+0.*I,1.3381526903851915*^-37+0.*I,2.9548902634040604*^-38+0.*I,6.485521784150062*^-39+0.*I,1.4149721467205785*^-39+0.*I,3.0688880051784027*^-40+0.*I,6.617202508824524*^-41+0.*I,1.4185916885994597*^-41+0.*I,3.023839156702147*^-42+0.*I,6.4092364639075125*^-43+0.*I,1.3509138422259497*^-43+0.*I,2.831715168501704*^-44+0.*I,5.903346364102187*^-45+0.*I,1.2240506882951584*^-45+0.*I,2.524515765839257*^-46+0.*I,5.179154851907729*^-47+0.*I,1.0569778620737088*^-47+0.*I,2.1459650063728858*^-48+0.*I,4.334631767758641*^-49+0.*I,8.711184736548793*^-50+0.*I
-0.27083395618783185+0.*I,-0.40611470677710404+0.*I,-0.3827088497485476+0.*I,-0.22073469729434816+0.*I,0.0003557404205183828+0.*I,0.19798792109692417+0.*I,0.3229881827377164+0.*I,0.36606235811752186+0.*I,0.3450112135780254+0.*I,0.28742837973416935+0.*I,0.21808721851098925+0.*I,0.15339338633256544+0.*I,0.10119011568630445+0.*I,0.06313233389872618+0.*I,0.03748695496944777+0.*I,0.021289402790852768+0.*I,0.011609923705266305+0.*I,0.00609965319438647+0.*I,0.003095938648625616+0.*I,0.0015216614996036292+0.*I,0.000725723987086639+0.*I,0.000336457963180685+0.*I,0.0001518739829220004+0.*I,0.00006684072140013248+0.*I,0.00002871789973133671+0.*I,0.00001205904503847818+0.*I,4.9541679814327285*^-6+0.*I,1.9931281900954534*^-6+0.*I,7.859247529512197*^-7+0.*I,3.039850195737498*^-7+0.*I,1.1541610938201688*^-7+0.*I,4.3044494867484945*^-8+0.*I,1.577896747098587*^-8+0.*I,5.6885729047406184*^-9+0.*I,2.0180361187309253*^-9+0.*I,7.048183655168248*^-10+0.*I,2.424689619500203*^-10+0.*I,8.219799088497428*^-11+0.*I,2.7471120254878193*^-11+0.*I,9.05472402391841*^-12+0.*I,2.9445690014889296*^-12+0.*I,9.450855383194654*^-13+0.*I,2.994818170907256*^-13+0.*I,9.372584879731603*^-14+0.*I,2.8978145707580975*^-14+0.*I,8.853813829396767*^-15+0.*I,2.673985878130988*^-15+0.*I,7.984938400947996*^-16+0.*I,2.3581825132064074*^-16+0.*I,6.889401106879641*^-17+0.*I,1.9915171935525287*^-17+0.*I,5.697460025139382*^-18+0.*I,1.6134863519332563*^-18+0.*I,4.524020023619827*^-19+0.*I,1.2561569027856959*^-19+0.*I,3.4546579495924217*^-20+0.*I,9.412100500744997*^-21+0.*I,2.5407621554088484*^-21+0.*I,6.796890491748452*^-22+0.*I,1.8021692409421834*^-22+0.*I,4.7368285968597866*^-23+0.*I,1.2343888034216699*^-23+0.*I,3.189713431248495*^-24+0.*I,8.174248153029957*^-25+0.*I,2.077779627716833*^-25+0.*I,5.239185925308448*^-26+0.*I,1.3106783454865522*^-26+0.*I,3.2534940402051534*^-27+0.*I,8.014518246073216*^-28+0.*I,1.9594252617326574*^-28+0.*I,4.75502396876218*^-29+0.*I,1.1455046508156959*^-29+0.*I,2.7397262875440587*^-30+0.*I,6.506214652651871*^-31+0.*I,1.5342775971738763*^-31+0.*I,3.5931561556869113*^-32+0.*I,8.357683451729231*^-33+0.*I,1.9309605356453378*^-33+0.*I,4.431772297033064*^-34+0.*I,1.0104990791372642*^-34+0.*I,2.2892105908213317*^-35+0.*I,5.153032269117934*^-36+0.*I,1.1526628830666283*^-36+0.*I,2.5623488084684177*^-37+0.*I,5.661141405448477*^-38+0.*I,1.2431744496778828*^-38+0.*I,2.7136522325314557*^-39+0.*I,5.888454350370202*^-40+0.*I,1.270292346720913*^-40+0.*I,2.724525215147689*^-41+0.*I,5.810207175917351*^-42+0.*I,1.2320667626640929*^-42+0.*I,2.5980426005119243*^-43+0.*I,5.448220181102251*^-44+0.*I,1.136281015999555*^-44+0.*I,2.357031341726344*^-45+0.*I,4.863161632459498*^-46+0.*I,9.980918010840343*^-47+0.*I,2.0377217777215907*^-47+0.*I,4.1387155105606217*^-48+0.*I
0.382939995179439+0.*I,0.3827088497485476+0.*I,0.13500844905124904+0.*I,-0.1566175027271173+0.*I,-0.31266899431061274+0.*I,-0.27937839585573426+0.*I,-0.11375723193738538+0.*I,0.08666936196322726+0.*I,0.24430334285897823+0.*I,0.32547597361578373+0.*I,0.33434954463939426+0.*I,0.2945725001594564+0.*I,0.23265988348662725+0.*I,0.1687205470860363+0.*I,0.11402856099883346+0.*I,0.07256054943321452+0.*I,0.04379991606535228+0.*I,0.0252239765397389+0.*I,0.01392152202744065+0.*I,0.007390802398388549+0.*I,0.0037857939474885065+0.*I,0.0018758868051931624+0.*I,0.0009011657869999164+0.*I,0.00042052169709364847+0.*I,0.00019093797861346253+0.*I,0.00008448247425467993+0.*I,0.000036474663250388+0.*I,0.00001538463365702314+0.*I,6.346360985235016*^-6+0.*I,2.562899052031971*^-6+0.*I,1.0141387297765498*^-6+0.*I,3.9353181580393085*^-7+0.*I,1.4986763917019744*^-7+0.*I,5.605123044407278*^-8+0.*I,2.0601227076900467*^-8+0.*I,7.445487609573083*^-9+0.*I,2.647457168411839*^-9+0.*I,9.266763127357192*^-10+0.*I,3.194505209899444*^-10+0.*I,1.0850644518047547*^-10+0.*I,3.633054525383078*^-11+0.*I,1.1995819300956651*^-11+0.*I,3.907479979965241*^-12+0.*I,1.256118359775919*^-12+0.*I,3.9864015661316525*^-13+0.*I,1.2493674973424817*^-13+0.*I,3.868057318378741*^-14+0.*I,1.1833613853112529*^-14+0.*I,3.5783746687002355*^-15+0.*I,1.0698295496477002*^-15+0.*I,3.163114154439777*^-16+0.*I,9.25108844821633*^-17+0.*I,2.6770104640392926*^-17+0.*I,7.666265030446805*^-18+0.*I,2.1731380884744918*^-18+0.*I,6.098878252467035*^-19+0.*I,1.6949527377999653*^-19+0.*I,4.6654409390575176*^-20+0.*I,1.272139085904483*^-20+0.*I,3.436842529581018*^-21+0.*I,9.201133506861223*^-22+0.*I,2.441465279086313*^-22+0.*I,6.421783145175759*^-23+0.*I,1.6746441549697738*^-23+0.*I,4.3302697450302634*^-24+0.*I,1.1104382639849809*^-24+0.*I,2.824362559239579*^-25+0.*I,7.126078409785955*^-26+0.*I,1.7837771231086578*^-26+0.*I,4.4304147609489884*^-27+0.*I,1.0919789530763439*^-27+0.*I,2.671166276799838*^-28+0.*I,6.485650049431519*^-29+0.*I,1.5632186761127673*^-29+0.*I,3.740639905595374*^-30+0.*I,8.887446309424086*^-31+0.*I,2.096798498853791*^-31+0.*I,4.9127820863298384*^-32+0.*I,1.143222352595351*^-32+0.*I,2.6424482997384047*^-33+0.*I,6.0672791942654216*^-34+0.*I,1.3839844795005934*^-34+0.*I,3.1365722297059895*^-35+0.*I,7.063213253407242*^-36+0.*I,1.5805472984316565*^-36+0.*I,3.514836621266786*^-37+0.*I,7.768348859635603*^-38+0.*I,1.706518004179033*^-38+0.*I,3.726348411462052*^-39+0.*I,8.08867834489514*^-40+0.*I,1.7455148698059796*^-40+0.*I,3.744993512644465*^-41+0.*I,7.988938558099191*^-42+0.*I,1.6945948849099558*^-42+0.*I,3.5744495024516225*^-43+0.*I,7.498008954509163*^-44+0.*I,1.5642375610658772*^-44+0.*I,3.2456770755476956*^-45+0.*I,6.698523208262725*^-46+0.*I,1.3751458506426224*^-46+0.*I
-0.4420920566500701+0.*I,-0.22073469729434816+0.*I,0.1566175027271173+0.*I,0.31581837948326075+0.*I,0.1801201042649021+0.*I,-0.08112045508230914+0.*I,-0.2637716067778184+0.*I,-0.27382406656508057+0.*I,-0.14050997124897685+0.*I,0.04739413263662498+0.*I,0.20823918347155385+0.*I,0.30015604351169883+0.*I,0.32054655752013445+0.*I,0.2895376583194877+0.*I,0.23283568826391626+0.*I,0.17120676503534052+0.*I,0.11700579962083922+0.*I,0.07514437582021458+0.*I,0.04571391697711384+0.*I,0.026502615602608977+0.*I,0.014712390915950595+0.*I,0.007850617589040574+0.*I,0.004039558215849774+0.*I,0.002009736139548366+0.*I,0.0009689831452823139+0.*I,0.000453658134629111+0.*I,0.00020660083025145538+0.*I,0.0000916629190354911+0.*I,0.00003967416007759902+0.*I,0.0000167728526519918+0.*I,6.933807477884288*^-6+0.*I,2.805679934044365*^-6+0.*I,1.112252100930645*^-6+0.*I,4.323453628045038*^-7+0.*I,1.6491309749357512*^-7+0.*I,6.177100765763321*^-8+0.*I,2.2735520474905587*^-8+0.*I,8.22774565906112*^-9+0.*I,2.9292696924068754*^-9+0.*I,1.0265279901964634*^-9+0.*I,3.5426705762846356*^-10+0.*I,1.2045962059180405*^-10+0.*I,4.037318441977163*^-11+0.*I,1.3343331712542275*^-11+0.*I,4.350349678641376*^-12+0.*I,1.3996911799457*^-12+0.*I,4.445693383790476*^-13+0.*I,1.39440588184527*^-13+0.*I,4.320333555904142*^-14+0.*I,1.3226744826039781*^-14+0.*I,4.002389368868693*^-15+0.*I,1.1973844998305319*^-15+0.*I,3.542482904175026*^-16+0.*I,1.0366893247023633*^-16+0.*I,3.001638906397289*^-17+0.*I,8.60072527539544*^-18+0.*I,2.4393396591006465*^-18+0.*I,6.849517366009153*^-19+0.*I,1.904515340742627*^-19+0.*I,5.2447973672318204*^-20+0.*I,1.430778542112403*^-20+0.*I,3.867161490350592*^-21+0.*I,1.035767456856828*^-21+0.*I,2.74949838936799*^-22+0.*I,7.234934146566127*^-23+0.*I,1.8874343032642016*^-23+0.*I,4.882353450555233*^-24+0.*I,1.2524733607112355*^-24+0.*I,3.1867605283379843*^-25+0.*I,8.04321725090514*^-26+0.*I,2.014028147685368*^-26+0.*I,5.00392505600313*^-27+0.*I,1.2337241102298679*^-27+0.*I,3.0188265688976095*^-28+0.*I,7.331966241367587*^-29+0.*I,1.7677172091104036*^-29+0.*I,4.2311811550452855*^-30+0.*I,1.0055694290913294*^-30+0.*I,2.3730557843644964*^-31+0.*I,5.561499210268493*^-32+0.*I,1.2945096239723997*^-32+0.*I,2.9928741378560818*^-33+0.*I,6.873542160468289*^-34+0.*I,1.5682666122544919*^-34+0.*I,3.5550319816360245*^-35+0.*I,8.007328727984127*^-36+0.*I,1.792204742106513*^-36+0.*I,3.9863718076641044*^-37+0.*I,8.812350119007532*^-38+0.*I,1.9362532704161114*^-38+0.*I,4.228837444496078*^-39+0.*I,9.181198685344337*^-40+0.*I,1.9816537413777804*^-40+0.*I,4.2524171451156263*^-41+0.*I,9.073036910307993*^-42+0.*I,1.9248929629008957*^-42+0.*I,4.060928125589847*^-43+0.*I,8.519928183668717*^-44+0.*I,1.7777266424790747*^-44+0.*I,3.6892524019367006*^-45+0.*I
0.44200311259765884+0.*I,-0.0003557404205183828+0.*I,-0.31266899431061274+0.*I,-0.1801201042649021+0.*I,0.13573451339941872+0.*I,0.2824845331655766+0.*I,0.1643666775088155+0.*I,-0.0751680610481133+0.*I,-0.24676400645009303+0.*I,-0.2581495543326224+0.*I,-0.13326058461154444+0.*I,0.04522996369077268+0.*I,0.1994034504777216+0.*I,0.28839411812443455+0.*I,0.30888651471218326+0.*I,0.27971205140448635+0.*I,0.2254312707279747+0.*I,0.166084377723816+0.*I,0.11370057329098282+0.*I,0.07313388864006323+0.*I,0.04455221912403338+0.*I,0.02586128438181044+0.*I,0.014372584730761409+0.*I,0.0076771885131414076+0.*I,0.003954039862978132+0.*I,0.0019688909995965796+0.*I,0.0009500465760469738+0.*I,0.0004451202248563549+0.*I,0.00020285111014057937+0.*I,0.00009005646716247292+0.*I,0.000039001936283839706+0.*I,0.000016497787624899662+0.*I,6.82363290074841*^-6+0.*I,2.7624425565902916*^-6+0.*I,1.095612587441477*^-6+0.*I,4.260609410137716*^-7+0.*I,1.6258207663429546*^-7+0.*I,6.092129569853358*^-8+0.*I,2.2430934921182913*^-8+0.*I,8.120320218853567*^-9+0.*I,2.8919707479372987*^-9+0.*I,1.0137726061694895*^-9+0.*I,3.4996872106228516*^-10+0.*I,1.1903169025030985*^-10+0.*I,3.990535030755027*^-11+0.*I,1.3192106833507682*^-11+0.*I,4.302103832506002*^-12+0.*I,1.3844943806537413*^-12+0.*I,4.3984172322199825*^-13+0.*I,1.3798759070597817*^-13+0.*I,4.276202066537295*^-14+0.*I,1.3094245011210641*^-14+0.*I,3.96305419102143*^-15+0.*I,1.185835165741727*^-15+0.*I,3.5089362999957866*^-16+0.*I,1.027047546779528*^-16+0.*I,2.9742118367467823*^-17+0.*I,8.523491346944099*^-18+0.*I,2.4178052898866775*^-18+0.*I,6.790055738470982*^-19+0.*I,1.8882522172292273*^-19+0.*I,5.20073047640851*^-20+0.*I,1.4189470940695127*^-20+0.*I,3.8356801383478654*^-21+0.*I,1.0274645701721476*^-21+0.*I,2.727789736852063*^-22+0.*I,7.178657265491046*^-23+0.*I,1.872967129801491*^-23+0.*I,4.845468020762746*^-24+0.*I,1.243145062063029*^-24+0.*I,3.1633568845403296*^-25+0.*I,7.984959577755261*^-26+0.*I,1.9996380139366912*^-26+0.*I,4.9686497878219576*^-27+0.*I,1.2251414922172225*^-27+0.*I,2.9980983559692887*^-28+0.*I,7.282267686469884*^-29+0.*I,1.7558864856465557*^-29+0.*I,4.203216530944456*^-30+0.*I,9.990052557495044*^-31+0.*I,2.3577531399048552*^-31+0.*I,5.526066107421571*^-32+0.*I,1.2863598066179008*^-32+0.*I,2.9742523558913384*^-33+0.*I,6.831268785692251*^-34+0.*I,1.5587315926731767*^-34+0.*I,3.5336611725421533*^-35+0.*I,7.959729505828814*^-36+0.*I,1.7816683434061176*^-36+0.*I,3.963190865831199*^-37+0.*I,8.76165702729929*^-38+0.*I,1.9252333920693338*^-38+0.*I,4.205022702249973*^-39+0.*I,9.130032144969014*^-40+0.*I,1.9707235788187554*^-40+0.*I,4.2292006728177647*^-41+0.*I,9.02400002600454*^-42+0.*I,1.9145930419328343*^-42+0.*I,4.039412397380216*^-43+0.*I,8.475227362883403*^-44+0.*I
-0.3952600644403735+0.*I,0.19798792109692417+0.*I,0.27937839585573426+0.*I,-0.08112045508230914+0.*I,-0.2824845331655766+0.*I,-0.11687650131999651+0.*I,0.16246185386669448+0.*I,0.2617001068513626+0.*I,0.12558712013346177+0.*I,-0.10021912868209477+0.*I,-0.24591069058816636+0.*I,-0.23810415948791108+0.*I,-0.10824602720549086+0.*I,0.06363275795946219+0.*I,0.20635474714106009+0.*I,0.28487540670358663+0.*I,0.2987728367213339+0.*I,0.2671542277725873+0.*I,0.2134465263366676+0.*I,0.15624344273034305+0.*I,0.10642707819899368+0.*I,0.06817849694002687+0.*I,0.04139444351203307+0.*I,0.023960455392071745+0.*I,0.01328398806484409+0.*I,0.007080826572976947+0.*I,0.003640185734380597+0.*I,0.0018096612068097425+0.*I,0.0008719476595282988+0.*I,0.00040799741824078896+0.*I,0.0001857150186273574+0.*I,0.00008236093708786173+0.*I,0.00003563445329613591+0.*I,0.000015059923690616497+0.*I,6.223820328932743*^-6+0.*I,2.5177146181737382*^-6+0.*I,9.978528983519604*^-7+0.*I,3.8779236345445086*^-7+0.*I,1.4788962029881105*^-7+0.*I,5.538461796842686*^-8+0.*I,2.03815971030515*^-8+0.*I,7.374780580654893*^-9+0.*I,2.625233590562222*^-9+0.*I,9.198659923227348*^-10+0.*I,3.1741980700272476*^-10+0.*I,1.079190457692885*^-10+0.*I,3.6166496697794375*^-11+0.*I,1.1951920303128407*^-11+0.*I,3.896371695399698*^-12+0.*I,1.253527367018092*^-12+0.*I,3.9811525642331283*^-13+0.*I,1.2486144950169617*^-13+0.*I,3.868372103928385*^-14+0.*I,1.1842339811101294*^-14+0.*I,3.583266357659843*^-15+0.*I,1.0719390684129986*^-15+0.*I,3.1711904377178724*^-16+0.*I,9.279884086166844*^-17+0.*I,2.68678497543303*^-17+0.*I,7.698235055459097*^-18+0.*I,2.1832878712864632*^-18+0.*I,6.130307564990811*^-19+0.*I,1.7044772283436208*^-19+0.*I,4.6937578913777245*^-20+0.*I,1.2804139088633846*^-20+0.*I,3.460644346557264*^-21+0.*I,9.26860282905508*^-22+0.*I,2.4603304586934784*^-22+0.*I,6.473856846675769*^-23+0.*I,1.6888435753442724*^-23+0.*I,4.368540587321686*^-24+0.*I,1.1206389308788407*^-24+0.*I,2.8512620368936857*^-25+0.*I,7.196285986038787*^-26+0.*I,1.8019197986741217*^-26+0.*I,4.476848477467761*^-27+0.*I,1.103752446097041*^-27+0.*I,2.7007485360307402*^-28+0.*I,6.559324456688563*^-29+0.*I,1.5814097570887026*^-29+0.*I,3.7851795987064774*^-30+0.*I,8.995606393360976*^-31+0.*I,2.12285383846859*^-31+0.*I,4.975056615093246*^-32+0.*I,1.1579922655377479*^-32+0.*I,2.6772151332470825*^-33+0.*I,6.148512575602866*^-34+0.*I,1.4028272797578776*^-34+0.*I,3.179968693658843*^-35+0.*I,7.162459725436032*^-36+0.*I,1.6030886054905546*^-36+0.*I,3.565687169028957*^-37+0.*I,7.882298221965663*^-38+0.*I,1.7318852430074303*^-38+0.*I,3.7824561919690613*^-39+0.*I,8.21198982192785*^-40+0.*I,1.7724460156149255*^-40+0.*I,3.803447758364422*^-41+0.*I,8.115041387138644*^-42+0.*I,1.7216355596580753*^-42+0.*I
0.32266356177507577+0.*I,-0.3229881827377164+0.*I,-0.11375723193738538+0.*I,0.2637716067778184+0.*I,0.1643666775088155+0.*I,-0.16246185386669448+0.*I,-0.24949936190528949+0.*I,-0.03815539491612337+0.*I,0.19966443028879535+0.*I,0.23562429420060338+0.*I,0.0713625035147212+0.*I,-0.13859253034683056+0.*I,-0.2483654020807112+0.*I,-0.21127931418300924+0.*I,-0.07125340423736362+0.*I,0.09372250442997676+0.*I,0.22130167092009756+0.*I,0.2848229952193014+0.*I,0.28848139988041177+0.*I,0.2522843067340145+0.*I,0.19838033080676207+0.*I,0.1434505216934875+0.*I,0.09676026054610366+0.*I,0.061486073948263914+0.*I,0.037076762110411846+0.*I,0.021335519571319635+0.*I,0.01176831469276197+0.*I,0.006244715137940951+0.*I,0.003197515963293467+0.*I,0.001583901787659118+0.*I,0.0007607047915228374+0.*I,0.0003549019672231822+0.*I,0.00016111488118990177+0.*I,0.00007127629835947837+0.*I,0.00003076908342744168+0.*I,0.00001297666240564834+0.*I,5.352536570112884*^-6+0.*I,2.1613781191118004*^-6+0.*I,8.551956376313136*^-7+0.*I,3.318337767112986*^-7+0.*I,1.2636431242407565*^-7+0.*I,4.725853824745952*^-8+0.*I,1.7368772386684654*^-8+0.*I,6.276999557361204*^-9+0.*I,2.2318888383691134*^-9+0.*I,7.811921384585109*^-10+0.*I,2.692904271270016*^-10+0.*I,9.146638752413865*^-11+0.*I,3.062440146829754*^-11+0.*I,1.011151469343082*^-11+0.*I,3.293627466678016*^-12+0.*I,1.0587670188015035*^-12+0.*I,3.3600338308732764*^-13+0.*I,1.0530430932674392*^-13+0.*I,3.260188332731129*^-14+0.*I,9.973819159830484*^-15+0.*I,3.0159534257849716*^-15+0.*I,9.01671844816488*^-16+0.*I,2.6659022759159554*^-16+0.*I,7.79682780655919*^-17+0.*I,2.2561668305474882*^-17+0.*I,6.461022583510738*^-18+0.*I,1.8314761903546733*^-18+0.*I,5.139970849033374*^-19+0.*I,1.4284505835035413*^-19+0.*I,3.931854528287963*^-20+0.*I,1.072103283385373*^-20+0.*I,2.896403756439839*^-21+0.*I,7.754224687243178*^-22+0.*I,2.0575259120379365*^-22+0.*I,5.411880906068994*^-23+0.*I,1.4112796528127443*^-23+0.*I,3.64924939771373*^-24+0.*I,9.357959532234636*^-25+0.*I,2.380156046532677*^-25+0.*I,6.005288937708592*^-26+0.*I,1.5032191720586724*^-26+0.*I,3.7335724303024705*^-27+0.*I,9.20222847968594*^-28+0.*I,2.2510144404574246*^-28+0.*I,5.46549553657763*^-29+0.*I,1.3173297487014*^-29+0.*I,3.1522412854818704*^-30+0.*I,7.489440529379945*^-31+0.*I,1.7669650831456596*^-31+0.*I,4.139974826101654*^-32+0.*I,9.633849961245194*^-33+0.*I,2.22676651222202*^-33+0.*I,5.112828341361738*^-34+0.*I,1.1662657905463566*^-34+0.*I,2.643143420874381*^-35+0.*I,5.9520545965820887*^-36+0.*I,1.3318989178479162*^-36+0.*I,2.961884525005406*^-37+0.*I,6.546225156615403*^-38+0.*I,1.4380446047241936*^-38+0.*I,3.1401054336000356*^-39+0.*I,6.816126627608278*^-40+0.*I,1.4708994061195234*^-40+0.*I,3.155802720737653*^-41+0.*I
-0.24386165401962265+0.*I,0.36606235811752186+0.*I,-0.08666936196322726+0.*I,-0.27382406656508057+0.*I,0.0751680610481133+0.*I,0.2617001068513626+0.*I,0.03815539491612337+0.*I,-0.22066239728855389+0.*I,-0.19169158938876626+0.*I,0.0483187939682798+0.*I,0.22769076855188283+0.*I,0.19420266002418918+0.*I,0.00624860662648209+0.*I,-0.1787849734972539+0.*I,-0.24494239734502257+0.*I,-0.1751376038340556+0.*I,-0.0255595742956345+0.*I,0.12961111611492052+0.*I,0.23870531757954638+0.*I,0.28460504439714124+0.*I,0.2765070466862826+0.*I,0.23518822712210694+0.*I,0.18118142805276244+0.*I,0.12892311497669318+0.*I,0.0858283273346206+0.*I,0.05394360224093443+0.*I,0.03222462224446928+0.*I,0.018392900027445844+0.*I,0.010072821696737662+0.*I,0.005311150798218561+0.*I,0.0027040651393130397+0.*I,0.0013326134941017422+0.*I,0.0006370454249007519+0.*I,0.0002959501931658222+0.*I,0.0001338307494897418+0.*I,0.00005899430096420569+0.*I,0.000025382980915710984+0.*I,0.000010672326694261652+0.*I,4.389521543925258*^-6+0.*I,1.7678006979967548*^-6+0.*I,6.977312234956735*^-7+0.*I,2.70104120497027*^-7+0.*I,1.0263238841459342*^-7+0.*I,3.8304123050448455*^-8+0.*I,1.4050460794515925*^-8+0.*I,5.06846410089995*^-9+0.*I,1.7990467757210857*^-9+0.*I,6.286555269320022*^-10+0.*I,2.163700113310987*^-10+0.*I,7.338250149590421*^-11+0.*I,2.4534912316300295*^-11+0.*I,8.089988171213822*^-12+0.*I,2.6317688874171054*^-12+0.*I,8.449680422258232*^-13+0.*I,2.678387894439259*^-13+0.*I,8.384703876218414*^-14+0.*I,2.593083283458722*^-14+0.*I,7.924769068330339*^-15+0.*I,2.3939721675395083*^-15+0.*I,7.150381828266677*^-16+0.*I,2.1121615789487045*^-16+0.*I,6.171888359045445*^-17+0.*I,1.7844431207217085*^-17+0.*I,5.105961467446153*^-18+0.*I,1.4462221087178152*^-18+0.*I,4.0556812892980867*^-19+0.*I,1.1262873380656458*^-19+0.*I,3.0979402114375486*^-20+0.*I,8.441392139368903*^-21+0.*I,2.2790200897697655*^-21+0.*I,6.097450790287327*^-22+0.*I,1.616906602387192*^-22+0.*I,4.2503624067158266*^-23+0.*I,1.1077377165543545*^-23+0.*I,2.8627353237869155*^-24+0.*I,7.337023621063485*^-25+0.*I,1.8651436181572193*^-25+0.*I,4.703439206053795*^-26+0.*I,1.176752453369626*^-26+0.*I,2.9212901588477284*^-27+0.*I,7.196748220946181*^-28+0.*I,1.7596260918996155*^-28+0.*I,4.2704719688937786*^-29+0.*I,1.0288456815912894*^-29+0.*I,2.460875170948747*^-30+0.*I,5.844383291856131*^-31+0.*I,1.378291475029097*^-31+0.*I,3.2280408574038746*^-32+0.*I,7.508854465021439*^-33+0.*I,1.7349424948012268*^-33+0.*I,3.9821000529504*^-34+0.*I,9.080146618154699*^-35+0.*I,2.0571411980032642*^-35+0.*I,4.63086240801954*^-36+0.*I,1.0359081809186442*^-36+0.*I,2.302907287981248*^-37+0.*I,5.088160494772571*^-38+0.*I,1.117395301475885*^-38+0.*I,2.4391938808724678*^-39+0.*I,5.293101692211724*^-40+0.*I
