0.0027656316493645497+0.*I,0.009492594007477265+0.*I,0.02303883312786101+0.*I,0.04565521812032061+0.*I,0.07835216415002354+0.*I,0.12026979330018972+0.*I,0.16852778376138938+0.*I,0.2186316638004802+0.*I,0.2653130648376115+0.*I,0.30354840276260286+0.*I,0.32947200758726647+0.*I,0.34096731513267087+0.*I,0.33784126691418626+0.*I,0.3216115159113401+0.*I,0.295024541071905+0.*I,0.26145869196726523+0.*I,0.22435392048156236+0.*I,0.18676684075183012+0.*I,0.15109639067079958+0.*I,0.11897832757451311+0.*I,0.09131527520535375+0.*I,0.06839500020207065+0.*I,0.05004994274139883+0.*I,0.03582038399429562+0.*I,0.025096617207003548+0.*I,0.017228035278081283+0.*I,0.011596839554736909+0.*I,0.007660345128874294+0.*I,0.004968895820712132+0.*I,0.003167024787954884+0.*I,0.001984638469986238+0.*I,0.0012234638134851292+0.*I,0.00074234657604279+0.*I,0.0004435476779993982+0.*I,0.0002610907114853912+0.*I,0.00015147744450265957+0.*I,0.00008665373558118284+0.*I,0.00004889641265623063+0.*I,0.0000272254940622794+0.*I,0.000014963529230901902+0.*I,8.120721393074907*^-6+0.*I,4.353045962405877*^-6+0.*I,2.3054684204279918*^-6+0.*I,1.2067450337363128*^-6+0.*I,6.244242374578206*^-7+0.*I,3.194949996398543*^-7+0.*I,1.6168722963296794*^-7+0.*I,8.095009468922325*^-8+0.*I,4.010396500319922*^-8+0.*I,1.966436119848393*^-8+0.*I,9.545208314207911*^-9+0.*I,4.587656503144863*^-9+0.*I,2.183633716409913*^-9+0.*I,1.0295144030167586*^-9+0.*I,4.808682655053351*^-10+0.*I,2.225539683565378*^-10+0.*I,1.02077940511651*^-10+0.*I,4.640716535912715*^-11+0.*I,2.0915180411508057*^-11+0.*I,9.346008668236234*^-12+0.*I,4.1413422636528736*^-12+0.*I,1.819980677715819*^-12+0.*I,7.93343928982204*^-13+0.*I,3.4306925399902925*^-13+0.*I,1.4719138146113575*^-13+0.*I,6.266373446984466*^-14+0.*I,2.6474933365354442*^-14+0.*I,1.1101663120997764*^-14+0.*I,4.620874339412863*^-15+0.*I,1.9093703895953045*^-15+0.*I,7.833065055375463*^-16+0.*I,3.1907525818287006*^-16+0.*I,1.2906766444651258*^-16+0.*I,5.184974101522822*^-17+0.*I,2.0688133108316236*^-17+0.*I,8.19938426846963*^-18+0.*I,3.228234053349284*^-18+0.*I,1.262729195904894*^-18+0.*I,4.907422964623824*^-19+0.*I,1.895092947698654*^-19+0.*I,7.272372102828815*^-20+0.*I,2.7734743449343695*^-20+0.*I,1.0512543284049611*^-20+0.*I,3.960584841847811*^-21+0.*I,1.4832359670893973*^-21+0.*I,5.521935831132316*^-22+0.*I,2.0437732007441068*^-22+0.*I,7.520793148143894*^-23+0.*I,2.751774730041699*^-23+0.*I,1.0011714235353858*^-23+0.*I,3.622244490490486*^-24+0.*I,1.3033097210926875*^-24+0.*I,4.663846961249643*^-25+0.*I,1.6599438094738792*^-25+0.*I,5.876517454789074*^-26+0.*I,2.0694207433200578*^-26+0.*I,7.249428180837859*^-27+0.*I,2.5264368940273253*^-27+0.*I,8.759634535500252*^-28+0.*I,3.0217529869330974*^-28+0.*I
-0.009492594007477265+0.*I,-0.029816198621307053+0.*I,-0.06565260222755866+0.*I,-0.11679989877549077+0.*I,-0.17762099721843172+0.*I,-0.23760631247383032+0.*I,-0.2838453860848853+0.*I,-0.3045360642987387+0.*I,-0.29226148006614144+0.*I,-0.24594277473120646+0.*I,-0.17095631723396626+0.*I,-0.07758145028552829+0.*I,0.02155861566223125+0.*I,0.11422325744553112+0.*I,0.1907349444708369+0.*I,0.24520945236772387+0.*I,0.2757753560863509+0.*I,0.2839872169301039+0.*I,0.2737700912096647+0.*I,0.25023957218121096+0.*I,0.21866199102918643+0.*I,0.1837041205217402+0.*I,0.14901246010391048+0.*I,0.11708328028497457+0.*I,0.08934314996275773+0.*I,0.06635057484940962+0.*I,0.048041767163632024+0.*I,0.033966020683701116+0.*I,0.023479785904435717+0.*I,0.015888010318976842+0.*I,0.010534550945474402+0.*I,0.0068506529630070635+0.*I,0.0043729690494194624+0.*I,0.002742049032658587+0.*I,0.001690152526467053+0.*I,0.0010247110662867116+0.*I,0.0006114394002446384+0.*I,0.0003592648790683246+0.*I,0.0002079705207770597+0.*I,0.00011866320423279727+0.*I,0.00006676457429977463+0.*I,0.000037056844956275824+0.*I,0.00002029780575737127+0.*I,0.000010976005625373475+0.*I,5.861403376058232*^-6+0.*I,3.092148979834332*^-6+0.*I,1.6119546264568963*^-6+0.*I,8.30623379777337*^-7+0.*I,4.231881791276026*^-7+0.*I,2.1323293975424647*^-7+0.*I,1.0628561093954936*^-7+0.*I,5.242001534875187*^-8+0.*I,2.5587083526049887*^-8+0.*I,1.236344776144652*^-8+0.*I,5.9148505072883015*^-9+0.*I,2.802333142848787*^-9+0.*I,1.315074984242561*^-9+0.*I,6.113862818741342*^-10+0.*I,2.8163838711985165*^-10+0.*I,1.285738498476164*^-10+0.*I,5.8179368352891253*^-11+0.*I,2.6098120728908263*^-11+0.*I,1.1607514401222124*^-11+0.*I,5.119441169000291*^-12+0.*I,2.2393428532254022*^-12+0.*I,9.716114802475175*^-13+0.*I,4.182115564110672*^-13+0.*I,1.7860196323902647*^-13+0.*I,7.568623769443412*^-14+0.*I,3.1830252638239105*^-14+0.*I,1.3286362893858318*^-14+0.*I,5.505082484818321*^-15+0.*I,2.2644389638116106*^-15+0.*I,9.247885582647693*^-16+0.*I,3.750195865060678*^-16+0.*I,1.5102139627746491*^-16+0.*I,6.040017112604638*^-17+0.*I,2.3993520242958183*^-17+0.*I,9.467726841359733*^-18+0.*I,3.711352204573602*^-18+0.*I,1.4454099708497277*^-18+0.*I,5.593183610362021*^-19+0.*I,2.1506613850501266*^-19+0.*I,8.217974515188231*^-20+0.*I,3.120838637957962*^-20+0.*I,1.1779442643734673*^-20+0.*I,4.419339740726797*^-21+0.*I,1.6481653829630218*^-21+0.*I,6.110626109726623*^-22+0.*I,2.2523828033299643*^-22+0.*I,8.254667845396707*^-23+0.*I,3.008060531061977*^-23+0.*I,1.0900115851968575*^-23+0.*I,3.927901623754352*^-24+0.*I,1.407673049945683*^-24+0.*I,5.01742471075063*^-25+0.*I,1.778784776561216*^-25+0.*I,6.27269915243298*^-26+0.*I,2.2003842980054379*^-26+0.*I,7.678557310160788*^-27+0.*I
0.02303883312786101+0.*I,0.06565260222755866+0.*I,0.12952479351836785+0.*I,0.20306944968625507+0.*I,0.26591191258450975+0.*I,0.29583476086715604+0.*I,0.27735574057347745+0.*I,0.2080927994145929+0.*I,0.10025595007539889+0.*I,-0.023069142773206663+0.*I,-0.13502824355319318+0.*I,-0.21263540953774282+0.*I,-0.2423584252154164+0.*I,-0.22225964461707248+0.*I,-0.16071355512747973+0.*I,-0.07278212544509352+0.*I,0.02424134454411139+0.*I,0.11477024352908846+0.*I,0.18751277182103823+0.*I,0.23647654480611058+0.*I,0.260627273957121+0.*I,0.2626899814185367+0.*I,0.24761957292356196+0.*I,0.22116092435059279+0.*I,0.18874966149450753+0.*I,0.15484074165543832+0.*I,0.12263147476371335+0.*I,0.09408009145639479+0.*I,0.07010301127384634+0.*I,0.05084764534337547+0.*I,0.035966303003679805+0.*I,0.02484781190829573+0.*I,0.016789274325582023+0.*I,0.011108042430748881+0.*I,0.007203702865324256+0.*I,0.0045834083392216835+0.*I,0.0028634976330287627+0.*I,0.00175795280265711+0.*I,0.001061248111586639+0.*I,0.0006303735131177172+0.*I,0.0003686381978084582+0.*I,0.0002123513039282962+0.*I,0.00012055236499520915+0.*I,0.00006747793227154129+0.*I,0.000037256213916541914+0.*I,0.00002029833169910548+0.*I,0.000010917159461527759+0.*I,5.7982901265563075*^-6+0.*I,3.0421154796592457*^-6+0.*I,1.5771513667071979*^-6+0.*I,8.082060783561911*^-7+0.*I,4.094909511082747*^-7+0.*I,2.0519000066498413*^-7+0.*I,1.0171108600768526*^-7+0.*I,4.988682527134128*^-8+0.*I,2.4216384431027164*^-8+0.*I,1.1636823590515058*^-8+0.*I,5.53672494768854*^-9+0.*I,2.6088704007105064*^-9+0.*I,1.217635090412855*^-9+0.*I,5.630247672055899*^-10+0.*I,2.5796507925948454*^-10+0.*I,1.171363731040313*^-10+0.*I,5.272196346270713*^-11+0.*I,2.3524974893236822*^-11+0.*I,1.0408085914363783*^-11+0.*I,4.566470022804881*^-12+0.*I,1.9871016341154633*^-12+0.*I,8.577265055574853*^-13+0.*I,3.6730293431202753*^-13+0.*I,1.560638810261252*^-13+0.*I,6.580162972254501*^-14+0.*I,2.7534628196988186*^-14+0.*I,1.143616826661475*^-14+0.*I,4.715084507066396*^-15+0.*I,1.9299827557701666*^-15+0.*I,7.843652382343139*^-16+0.*I,3.1654015512167073*^-16+0.*I,1.2686100618157916*^-16+0.*I,5.0496168506739185*^-17+0.*I,1.996459551399367*^-17+0.*I,7.841048948897651*^-18+0.*I,3.0594124696986976*^-18+0.*I,1.1860137772944944*^-18+0.*I,4.568418543860272*^-19+0.*I,1.7486469870757648*^-19+0.*I,6.651709029060391*^-20+0.*I,2.5147396689119267*^-20+0.*I,9.449623585908603*^-21+0.*I,3.5296354368800366*^-21+0.*I,1.3106008555271815*^-21+0.*I,4.838011844488945*^-22+0.*I,1.7756165707372097*^-22+0.*I,6.47957357853594*^-23+0.*I,2.3511868749088508*^-23+0.*I,8.483971744640957*^-24+0.*I,3.0444569819898013*^-24+0.*I,1.0865398112740617*^-24+0.*I,3.8568490103795415*^-25+0.*I,1.3617465052992868*^-25+0.*I
-0.04565521812032061+0.*I,-0.11679989877549077+0.*I,-0.20306944968625507+0.*I,-0.27289055310731475+0.*I,-0.29246356807130847+0.*I,-0.2429541886634501+0.*I,-0.13125225784156397+0.*I,0.011297955691944493+0.*I,0.14114054663476167+0.*I,0.21936368093438963+0.*I,0.22546226221377313+0.*I,0.1628124601481802+0.*I,0.05500206215504705+0.*I,-0.06406543512156061+0.*I,-0.1616554980951526+0.*I,-0.2151367418935421+0.*I,-0.21612131015284575+0.*I,-0.16973007720805647+0.*I,-0.09045870930281306+0.*I,0.003279821279042063+0.*I,0.0941042185143746+0.*I,0.16899176468938923+0.*I,0.22066912612435546+0.*I,0.24736098680290342+0.*I,0.25149921445961965+0.*I,0.23803107027424392+0.*I,0.21282446515020564+0.*I,0.18145932697593872+0.*I,0.148498837878523+0.*I,0.11719618923384788+0.*I,0.08952125769729408+0.*I,0.0663754828328823+0.*I,0.04788191924584687+0.*I,0.03367131954592651+0.*I,0.023119927023303618+0.*I,0.015522555837736915+0.*I,0.010202903062927135+0.*I,0.006572602029231166+0.*I,0.0041535630740238355+0.*I,0.0025771962062013203+0.*I,0.0015712817024317316+0.*I,0.0009419896037132732+0.*I,0.0005556515854461513+0.*I,0.0003226853223059327+0.*I,0.00018459152131803776+0.*I,0.0001040682299820448+0.*I,0.000057849664089810196+0.*I,0.00003172110125263095+0.*I,0.000017164710844723833+0.*I,9.169179805546598*^-6+0.*I,4.837100886389552*^-6+0.*I,2.520845696003759*^-6+0.*I,1.2982292146066018*^-6+0.*I,6.608919918029268*^-7+0.*I,3.3266468363288503*^-7+0.*I,1.6561389567479558*^-7+0.*I,8.156646847010913*^-8+0.*I,3.975181149261069*^-8+0.*I,1.917490239640133*^-8+0.*I,9.156644542004382*^-9+0.*I,4.3297039533573454*^-9+0.*I,2.027619272125879*^-9+0.*I,9.40599981606522*^-10+0.*I,4.323090978942441*^-10+0.*I,1.9689373079426425*^-10+0.*I,8.88774733008214*^-11+0.*I,3.9769042554786474*^-11+0.*I,1.7642528315781235*^-11+0.*I,7.760770630172611*^-12+0.*I,3.385640940708615*^-12+0.*I,1.464975613778255*^-12+0.*I,6.288290883127129*^-13+0.*I,2.6779646234630325*^-13+0.*I,1.1316245661762613*^-13+0.*I,4.7454644927641657*^-14+0.*I,1.975084586540553*^-14+0.*I,8.159685432667842*^-15+0.*I,3.3464970535300902*^-15+0.*I,1.3626485834005057*^-15+0.*I,5.509337003974312*^-16+0.*I,2.2119797970536843*^-16+0.*I,8.8200759677884*^-17+0.*I,3.493128929171839*^-17+0.*I,1.3741957768118773*^-17+0.*I,5.370488116346478*^-18+0.*I,2.0852034475200905*^-18+0.*I,8.044331535399953*^-19+0.*I,3.08371811825084*^-19+0.*I,1.1747296876428195*^-19+0.*I,4.4474823653089706*^-20+0.*I,1.6735439411999763*^-20+0.*I,6.2594954506790445*^-21+0.*I,2.3273021611899094*^-21+0.*I,8.60218112256838*^-22+0.*I,3.161091964104994*^-22+0.*I,1.1549629773781707*^-22+0.*I,4.195950188469157*^-23+0.*I,1.51583587627792*^-23+0.*I,5.445794538350732*^-24+0.*I,1.945738720992775*^-24+0.*I
0.07835216415002354+0.*I,0.17762099721843172+0.*I,0.26591191258450975+0.*I,0.29246356807130847+0.*I,0.2290269589946691+0.*I,0.08996673830868222+0.*I,-0.07230556986874294+0.*I,-0.19301964124622809+0.*I,-0.2262435995891068+0.*I,-0.16475478123780515+0.*I,-0.04008737606299815+0.*I,0.09447283149650881+0.*I,0.1876065056820385+0.*I,0.20910362348382813+0.*I,0.15757303350286106+0.*I,0.056166924756119486+0.*I,-0.05937234550346307+0.*I,-0.15425964806260678+0.*I,-0.204809246518456+0.*I,-0.20277892057341862+0.*I,-0.15416503325670597+0.*I,-0.07439892393356061+0.*I,0.01761484974224657+0.*I,0.1046322083197226+0.*I,0.17429252606278572+0.*I,0.2202460015780582+0.*I,0.24161934778942745+0.*I,0.24151893428367185+0.*I,0.22524684400023212+0.*I,0.19871664932667982+0.*I,0.16732119062522882+0.*I,0.13530495132253934+0.*I,0.10556465187812133+0.*I,0.07974459816085741+0.*I,0.058490172549981574+0.*I,0.0417503052935542+0.*I,0.02905774053210563+0.*I,0.0197512088236105+0.*I,0.0131298952422162+0.*I,0.008546586992551727+0.*I,0.005453221801375445+0.*I,0.0034139406780985034+0.*I,0.0020988020098451463+0.*I,0.0012680423440962227+0.*I,0.0007534355123373256+0.*I,0.00044053989987669724+0.*I,0.0002536326188136531+0.*I,0.0001438598218620116+0.*I,0.00008042753805040594+0.*I,0.000044340606915467365+0.*I,0.00002411665352874802+0.*I,0.000012945702456606216+0.*I,6.861055005017214*^-6+0.*I,3.5914219607169538*^-6+0.*I,1.85736272923961*^-6+0.*I,9.493318865750077*^-7+0.*I,4.796884433171068*^-7+0.*I,2.3968575767895716*^-7+0.*I,1.1846297583531346*^-7+0.*I,5.792824161943308*^-8+0.*I,2.8033019188192033*^-8+0.*I,1.3428292930436045*^-8+0.*I,6.368514588115674*^-9+0.*I,2.9909740883032142*^-9+0.*I,1.3913330685735397*^-9+0.*I,6.411750556350175*^-10+0.*I,2.9277152322059495*^-10+0.*I,1.324842248059164*^-10+0.*I,5.942319777754707*^-11+0.*I,2.642256224813418*^-11+0.*I,1.164900344209623*^-11+0.*I,5.092873683806411*^-12+0.*I,2.2083113362368252*^-12+0.*I,9.498208553258389*^-13+0.*I,4.0528984155696673*^-13+0.*I,1.715888100578227*^-13+0.*I,7.208852516528714*^-14+0.*I,3.0057313140927796*^-14+0.*I,1.2439192792335694*^-14+0.*I,5.110246292378603*^-15+0.*I,2.0842368387091915*^-15+0.*I,8.44023317302146*^-16+0.*I,3.3939785635224623*^-16+0.*I,1.3553604521140319*^-16+0.*I,5.375688537724395*^-17+0.*I,2.1178161158786557*^-17+0.*I,8.288145729784192*^-18+0.*I,3.222407693296092*^-18+0.*I,1.2447882965539017*^-18+0.*I,4.777924801003878*^-19+0.*I,1.8224173509478097*^-19+0.*I,6.908059358742675*^-20+0.*I,2.6025436981720194*^-20+0.*I,9.745563197973865*^-21+0.*I,3.62756456058071*^-21+0.*I,1.3423142600561245*^-21+0.*I,4.938043103819494*^-22+0.*I,1.80612247097932*^-22+0.*I,6.568413291549383*^-23+0.*I,2.3753265267174207*^-23+0.*I
-0.12026979330018972+0.*I,-0.23760631247383032+0.*I,-0.29583476086715604+0.*I,-0.2429541886634501+0.*I,-0.08996673830868222+0.*I,0.09092890978750864+0.*I,0.20954195516362198+0.*I,0.21073012704707877+0.*I,0.10312899714756134+0.*I,-0.05064068903950092+0.*I,-0.17146472222717496+0.*I,-0.20447404501056687+0.*I,-0.14161744055140182+0.*I,-0.018465583145835098+0.*I,0.10802424589126508+0.*I,0.18670882862047125+0.*I,0.1916104097741196+0.*I,0.12730983095075088+0.*I,0.02169305463480694+0.*I,-0.0879830932991268+0.*I,-0.16891604720226666+0.*I,-0.2017426922672589+0.*I,-0.18309911872827117+0.*I,-0.12282975614101597+0.*I,-0.038299612420093665+0.*I,0.05165451264666439+0.*I,0.13135485932699822+0.*I,0.19074346217508628+0.*I,0.2257864467214179+0.*I,0.2374381532662141+0.*I,0.2299180294876402+0.*I,0.20893464917137364+0.*I,0.1802567683790138+0.*I,0.1487933354233589+0.*I,0.1181666368686812+0.*I,0.09066414700078591+0.*I,0.06742448192268309+0.*I,0.04872769092444046+0.*I,0.034296066356623425+0.*I,0.02355087568546977+0.*I,0.015802757203180858+0.*I,0.010375285781225577+0.*I,0.006672899884043899+0.*I,0.004208463292368558+0.*I,0.0026051054618086407+0.*I,0.0015840821688221252+0.*I,0.0009469001263023301+0.*I,0.0005567994873550445+0.*I,0.00032227788379590825+0.*I,0.00018371562832638694+0.*I,0.00010319848719370118+0.*I,0.000057150890107409884+0.*I,0.00003121698472818967+0.*I,0.000016825179687468747+0.*I,8.951583597661548*^-6+0.*I,4.702960261122043*^-6+0.*I,2.4407551723364614*^-6+0.*I,1.251699337094607*^-6+0.*I,6.345007841723004*^-7+0.*I,3.1801441031181616*^-7+0.*I,1.576389094964855*^-7+0.*I,7.730283037021332*^-8+0.*I,3.7510292276231166*^-8+0.*I,1.801486874087065*^-8+0.*I,8.565151775537534*^-9+0.*I,4.032325381640064*^-9+0.*I,1.880103282521455*^-9+0.*I,8.683577749832088*^-10+0.*I,3.973636621592232*^-10+0.*I,1.8018901183505189*^-10+0.*I,8.098307069834002*^-11+0.*I,3.607929796852183*^-11+0.*I,1.5936360856884227*^-11+0.*I,6.979980194439263*^-12+0.*I,3.0319179094085993*^-12+0.*I,1.3062936885617742*^-12+0.*I,5.583211676944605*^-13+0.*I,2.367581238080073*^-13+0.*I,9.962283740312001*^-14+0.*I,4.160063614313815*^-14+0.*I,1.7241702335408164*^-14+0.*I,7.09332405052635*^-15+0.*I,2.8970615875852446*^-15+0.*I,1.1747655153767187*^-15+0.*I,4.730161881038078*^-16+0.*I,1.891370496061263*^-16+0.*I,7.510971804113873*^-17+0.*I,2.962623313404649*^-17+0.*I,1.1608021140157928*^-17+0.*I,4.518360867890822*^-18+0.*I,1.7473625638360433*^-18+0.*I,6.714317884117782*^-19+0.*I,2.563739469872421*^-19+0.*I,9.728242623378384*^-20+0.*I,3.6687479543295426*^-20+0.*I,1.3751748281581273*^-20+0.*I,5.123741686979292*^-21+0.*I,1.897744368184826*^-21+0.*I,6.987800125597324*^-22+0.*I,2.558149141691941*^-22+0.*I
0.16852778376138938+0.*I,0.2838453860848853+0.*I,0.27735574057347745+0.*I,0.13125225784156397+0.*I,-0.07230556986874294+0.*I,-0.20954195516362198+0.*I,-0.20269129475222897+0.*I,-0.06895394830685062+0.*I,0.09882091036198806+0.*I,0.19726686466291896+0.*I,0.17488771707120498+0.*I,0.054354475164094404+0.*I,-0.09072884001238936+0.*I,-0.18258037040737954+0.*I,-0.17957538151706773+0.*I,-0.09082400634118024+0.*I,0.036400574456683814+0.*I,0.14413575889920066+0.*I,0.19010975033847302+0.*I,0.16188918992685192+0.*I,0.07605882395596326+0.*I,-0.03332148334689313+0.*I,-0.1297406066862989+0.*I,-0.18637301129463343+0.*I,-0.19199226448051498+0.*I,-0.15055952889762628+0.*I,-0.07653326549419813+0.*I,0.011366877796603014+0.*I,0.09567021009395589+0.*I,0.16367827335208793+0.*I,0.2087557172128356+0.*I,0.22984142524254556+0.*I,0.2299295029033677+0.*I,0.21424325908326775+0.*I,0.18861824475997274+0.*I,0.15835660538696317+0.*I,0.12760249087990738+0.*I,0.09915412254797597+0.*I,0.0745713786260559+0.*I,0.05443754295706308+0.*I,0.038664520715942785+0.*I,0.02677108056141559+0.*I,0.01810003964885518+0.*I,0.011966673884754685+0.*I,0.0077461741627607005+0.*I,0.004914683469987368+0.*I,0.0030592831921042994+0.*I,0.0018699787928704388+0.*I,0.0011232755961009546+0.*I,0.0006635546450268225+0.*I,0.00038573468377634684+0.*I,0.00022079014795830116+0.*I,0.0001245049336078237+0.*I,0.00006920351749186854+0.*I,0.00003793215220296946+0.*I,0.000020512252510528728+0.*I,0.000010947678099059871+0.*I,5.768971733588407*^-6+0.*I,3.002598562006262*^-6+0.*I,1.544059841523044*^-6+0.*I,7.847586895680801*^-7+0.*I,3.943145643804457*^-7+0.*I,1.9593261829234143*^-7+0.*I,9.630394361758699*^-8+0.*I,4.683441481387951*^-8+0.*I,2.2541078674996547*^-8+0.*I,1.0739219727413163*^-8+0.*I,5.065874508123812*^-9+0.*I,2.366522919873124*^-9+0.*I,1.0950362828767534*^-9+0.*I,5.019852942949562*^-10+0.*I,2.2802258725405573*^-10+0.*I,1.0265156370974672*^-10+0.*I,4.580653874456009*^-11+0.*I,2.0264416530692213*^-11+0.*I,8.889007406112588*^-12+0.*I,3.866787000755409*^-12+0.*I,1.668352967764402*^-12+0.*I,7.140472731231556*^-13+0.*I,3.031976490793768*^-13+0.*I,1.2774414794464486*^-13+0.*I,5.3410554778490575*^-14+0.*I,2.216342192343894*^-14+0.*I,9.128958417120561*^-15+0.*I,3.73275717345254*^-15+0.*I,1.5153403780317727*^-15+0.*I,6.10813985533839*^-16+0.*I,2.4449559120053486*^-16+0.*I,9.719412068039541*^-17+0.*I,3.837586679383262*^-17+0.*I,1.5051048437955667*^-17+0.*I,5.864157185956291*^-18+0.*I,2.2699357660407366*^-18+0.*I,8.73028452496977*^-19+0.*I,3.3364668590434377*^-19+0.*I,1.2671398774267222*^-19+0.*I,4.782736133867218*^-20+0.*I,1.794222469541625*^-20+0.*I,6.6904785946242256*^-21+0.*I,2.4799977424782055*^-21+0.*I
-0.2186316638004802+0.*I,-0.3045360642987387+0.*I,-0.2080927994145929+0.*I,0.011297955691944493+0.*I,0.19301964124622809+0.*I,0.21073012704707877+0.*I,0.06895394830685062+0.*I,-0.1132371044254651+0.*I,-0.20191557264192586+0.*I,-0.14386259072200225+0.*I,0.00889657352750638+0.*I,0.14871911113838504+0.*I,0.1888695443457924+0.*I,0.11321956456946092+0.*I,-0.025243886323559783+0.*I,-0.14504515130859433+0.*I,-0.18453557911534962+0.*I,-0.13026160923568592+0.*I,-0.015498610462428168+0.*I,0.10318812009368461+0.*I,0.17497130578885467+0.*I,0.17496582048809686+0.*I,0.10924025156269376+0.*I,0.006607516673436745+0.*I,-0.09602354583389493+0.*I,-0.16750988933040895+0.*I,-0.19087872042604975+0.*I,-0.16505463856714597+0.*I,-0.10137953149895576+0.*I,-0.017613138317799502+0.*I,0.0680267198489335+0.*I,0.14113504763192836+0.*I,0.19313331633440625+0.*I,0.22129376578051274+0.*I,0.22747405936885537+0.*I,0.21632665738151755+0.*I,0.19357988247139954+0.*I,0.16473384212645895+0.*I,0.13428041250697342+0.*I,0.10539533224993704+0.*I,0.0799710040479327+0.*I,0.05884386093973374+0.*I,0.042094244591281915+0.*I,0.02933615797920805+0.*I,0.019952901255303315+0.*I,0.01326430066849727+0.*I,0.0086298732588366+0.*I,0.005501266067100476+0.*I,0.0034395246940825772+0.*I,0.002111076196070238+0.*I,0.001273009475326664+0.*I,0.0007547456569372068+0.*I,0.0004402518355060152+0.*I,0.00025281266892380176+0.*I,0.00014300051307503025+0.*I,0.00007971546704466116+0.*I,0.000043814951569682924+0.*I,0.000023755850425821458+0.*I,0.000012710655802365822+0.*I,6.7140307057438265*^-6+0.*I,3.5024742340660845*^-6+0.*I,1.8050596032069024*^-6+0.*I,9.193336484482892*^-7+0.*I,4.628624231414985*^-7+0.*I,2.3043730966250168*^-7+0.*I,1.1347341249544652*^-7+0.*I,5.5282562644792574*^-8+0.*I,2.6652727035737928*^-8+0.*I,1.2719092275231555*^-8+0.*I,6.009361700654353*^-9+0.*I,2.8115815545136057*^-9+0.*I,1.3029008916912232*^-9+0.*I,5.981289774957882*^-10+0.*I,2.7207078357503954*^-10+0.*I,1.226450626027953*^-10+0.*I,5.479913396409305*^-11+0.*I,2.427304252308257*^-11+0.*I,1.0660321678616843*^-11+0.*I,4.6427794883928125*^-12+0.*I,2.0054465821790942*^-12+0.*I,8.592722174390191*^-13+0.*I,3.6525505268339094*^-13+0.*I,1.540510234629165*^-13+0.*I,6.447494671561942*^-14+0.*I,2.6781121092723185*^-14+0.*I,1.1041534393724335*^-14+0.*I,4.519005975608704*^-15+0.*I,1.836189605977449*^-15+0.*I,7.407984513168502*^-16+0.*I,2.967808777981614*^-16+0.*I,1.1807802566182622*^-16+0.*I,4.665973594380639*^-17+0.*I,1.8314579843792257*^-17+0.*I,7.14123635365034*^-18+0.*I,2.766373121814023*^-18+0.*I,1.0647485505621235*^-18+0.*I,4.0721082949088095*^-19+0.*I,1.547617213834964*^-19+0.*I,5.845407706011132*^-20+0.*I,2.1943566857163334*^-20+0.*I
