3.3053109262305915*^-7+0.*I,1.8057143867933118*^-6+0.*I,6.975427021742701*^-6+0.*I,0.000022001227460974665+0.*I,0.000060097119212170704+0.*I,0.00014682681943039105+0.*I,0.00032746621870915083+0.*I,0.0006761673932063094+0.*I,0.0013060083976427024+0.*I,0.002378271621570469+0.*I,0.004108640972379908+0.*I,0.006767660889038378+0.*I,0.01067295565808068+0.*I,0.01617147999856887+0.*I,0.023611440800653173+0.*I,0.03330531906556808+0.*I,0.04548731960144363+0.*I,0.06027019887579845+0.*I,0.07760739589067228+0.*I,0.09726644643002035+0.*I,0.11881869841544868+0.*I,0.1416484681630474+0.*I,0.1649822723009064+0.*I,0.18793605308274094+0.*I,0.2095758421413749+0.*I,0.228985485314433+0.*I,0.24533415809521358+0.*I,0.2579365439742868+0.*I,0.26629965258591165+0.*I,0.27015209506649607+0.*I,0.2694538861637684+0.*I,0.2643871501713238+0.*I,0.2553301459238031+0.*I,0.24281855062298927+0.*I,0.22749881716027753+0.*I,0.21007862188197948+0.*I,0.19127902455388068+0.*I,0.17179211454736856+0.*I,0.1522467974923427+0.*I,0.13318416784226877+0.*I,0.11504277390059518+0.*I,0.09815313047773917+0.*I,0.08274013959065768+0.*I,0.06893166368805317+0.*I,0.05677134209268231+0.*I,0.04623380567730072+0.*I,0.03724066834107491+0.*I,0.029675994128713443+0.*I,0.023400298466360464+0.*I,0.01826249439981964+0.*I,0.01410950678054373+0.*I,0.010793529517181112+0.*I,0.008177085724557552+0.*I,0.006136169602190411+0.*I,0.004561810221462833+0.*I,0.0033604126292313863+0.*I,0.0024532134309255076+0.*I,0.0017751483163169093+0.*I,0.001273378131171342+0.*I,0.0009056661172701337+0.*I,0.0006387475304285813+0.*I,0.0004467875425854588+0.*I,0.00030998590698296533+0.*I,0.00021335774570539672+0.*I,0.00014569852865301352+0.*I,0.0000987268377620741+0.*I,0.00006638959173227316+0.*I,0.00004430975365909464+0.*I,0.00002935496846781132+0.*I,0.00001930606712420028+0.*I,0.000012606122724919863+0.*I,8.173142960537737*^-6+0.*I,5.262105926650694*^-6+0.*I,3.364611268934502*^-6+0.*I,2.1367601434401107*^-6+0.*I,1.3479130610594677*^-6+0.*I,8.446792476490153*^-7+0.*I,5.258758183171242*^-7+0.*I,3.2529144258179613*^-7+0.*I,1.9993822481136248*^-7+0.*I,1.2212021980608095*^-7+0.*I,7.412791875585305*^-8+0.*I,4.47210116862684*^-8+0.*I,2.6816945690997514*^-8+0.*I,1.598477061522619*^-8+0.*I,9.47182541605871*^-9+0.*I,5.579832960167787*^-9+0.*I,3.2681223771075946*^-9+0.*I,1.9032406877567438*^-9+0.*I,1.102136661996421*^-9+0.*I,6.34674330379239*^-10+0.*I,3.634686653909728*^-10+0.*I,2.0701880705171827*^-10+0.*I,1.1727489866241184*^-10+0.*I,6.608119354722081*^-11+0.*I,3.7038450940125933*^-11+0.*I,2.0651611066800935*^-11+0.*I,1.1455256264932285*^-11+0.*I,6.321621805261996*^-12+0.*I,3.4709443612756643*^-12+0.*I
-1.8057143867933118*^-6+0.*I,-9.534212404869235*^-6+0.*I,-0.00003555357801571241+0.*I,-0.00010811244441819418+0.*I,-0.00028431229424449183+0.*I,-0.0006677439000257361+0.*I,-0.001429319978914498+0.*I,-0.0028275553995598247+0.*I,-0.005222324668897767+0.*I,-0.009074638367681371+0.*I,-0.014925036658598626+0.*I,-0.02334538242978583+0.*I,-0.034863235318557825+0.*I,-0.049864032998176114+0.*I,-0.06848280848935731+0.*I,-0.09050256140488255+0.*I,-0.11527911977962793+0.*I,-0.14171127208415812+0.*I,-0.16826981261453675+0.*I,-0.19309057735118704+0.*I,-0.21412605513697586+0.*I,-0.22933977062672653+0.*I,-0.23691944031437656+0.*I,-0.23548056903244002+0.*I,-0.22423255792150495+0.*I,-0.20308444877147697+0.*I,-0.17267613992876374+0.*I,-0.13433162997130918+0.*I,-0.08994165614286093+0.*I,-0.0417921993354468+0.*I,0.007638611537910078+0.*I,0.055890323816102594+0.*I,0.10071319816250295+0.*I,0.1402253598132105+0.*I,0.17302140008130099+0.*I,0.19822700555770273+0.*I,0.2155010939224438+0.*I,0.2249925930193599+0.*I,0.22726285492212425+0.*I,0.22318655786293437+0.*I,0.21384394856952363+0.*I,0.20041578386728928+0.*I,0.18408984035095563+0.*I,0.16598489772522915+0.*I,0.14709513219759354+0.*I,0.12825523879810138+0.*I,0.11012456080915335+0.*I,0.09318713581045135+0.*I,0.07776385758545323+0.*I,0.06403281002732239+0.*I,0.052054117776625886+0.*I,0.041796229107778624+0.*I,0.03316125923165172+0.*I,0.026007760610856166+0.*I,0.020169966444706405+0.*I,0.015473121752519184+0.*I,0.011744949587302142+0.*I,0.008823596312900276+0.*I,0.00656257336066772+0.*I,0.004833285922113667+0.*I,0.0035257373191458666+0.*I,0.002547946220099482+0.*I,0.0018245340220507864+0.*I,0.0012948486302110582+0.*I,0.0009109007529308864+0.*I,0.000635307498647389+0.*I,0.0004393696566128808+0.*I,0.0003013549574503057+0.*I,0.00020501935129010987+0.*I,0.00013837029183469743+0.*I,0.00009265801962095011+0.*I,0.00006157062873053775+0.*I,0.00004060416644872564+0.*I,0.000026578346974036337+0.*I,0.00001727021100282853+0.*I,0.000011141142699716044+0.*I,7.13629205775004*^-6+0.*I,4.53913408414408*^-6+0.*I,2.8673196591850436*^-6+0.*I,1.7989771323015604*^-6+0.*I,1.1211505791126657*^-6+0.*I,6.941159936684437*^-7+0.*I,4.2694285130944353*^-7+0.*I,2.6092496393834515*^-7+0.*I,1.5845545155795756*^-7+0.*I,9.562706118551908*^-8+0.*I,5.7355079161303775*^-8+0.*I,3.419123683921993*^-8+0.*I,2.0260168931012437*^-8+0.*I,1.193408736873774*^-8+0.*I,6.988516350019987*^-9+0.*I,4.068752597263426*^-9+0.*I,2.3553108007057266*^-9+0.*I,1.3557361343384217*^-9+0.*I,7.760161638889344*^-10+0.*I,4.417361656439633*^-10+0.*I,2.500800326292119*^-10+0.*I,1.408139177225548*^-10+0.*I,7.886579104863228*^-11+0.*I,4.393733192063919*^-11+0.*I
6.975427021742701*^-6+0.*I,0.00003555357801571241+0.*I,0.0001278083211786685+0.*I,0.0003740914572676886+0.*I,0.0009453968042497307+0.*I,0.0021299398551321825+0.*I,0.004364858996207768+0.*I,0.008248759058164435+0.*I,0.014518591574949462+0.*I,0.023976864965612684+0.*I,0.037363514465553666+0.*I,0.055180282640737+0.*I,0.07749148316008832+0.*I,0.1037392849167611+0.*I,0.13261945119108737+0.*I,0.16206111120777325+0.*I,0.18934029785163384+0.*I,0.21133340321458752+0.*I,0.2248880290845583+0.*I,0.2272614098932216+0.*I,0.2165572808667291+0.*I,0.19208576138870082+0.*I,0.15457957674057185+0.*I,0.10622231181187117+0.*I,0.05047583403142964+0.*I,-0.00827194532402657+0.*I,-0.06518802182997882+0.*I,-0.11553310892268971+0.*I,-0.15518069152151495+0.*I,-0.18104545987603374+0.*I,-0.1913682468086285+0.*I,-0.185829602207274+0.*I,-0.16549113132472615+0.*I,-0.1325879194211041+0.*I,-0.09021313242233209+0.*I,-0.04194524516408496+0.*I,0.008530920511788238+0.*I,0.057764803586919176+0.*I,0.10280956512519515+0.*I,0.14140181130668186+0.*I,0.1720471003030385+0.*I,0.1940187729534571+0.*I,0.20728630505782009+0.*I,0.21239419473512522+0.*I,0.2103135664776923+0.*I,0.20228687299691944+0.*I,0.18968224513918003+0.*I,0.17386916889858228+0.*I,0.15612213706019493+0.*I,0.13755440195765611+0.*I,0.11908036692087384+0.*I,0.1014026797705901+0.*I,0.08501871855898242+0.*I,0.07024073715788577+0.*I,0.05722424023507408+0.*I,0.04599993539224562+0.*I,0.036505634030100195+0.*I,0.0286155532108677+0.*I,0.02216547263659366+0.*I,0.01697304097483878+0.*I,0.012853167047681961+0.*I,0.009628871765234763+0.*I,0.007138237386602341+0.*I,0.0052382057152640625+0.*I,0.003805984407183522+0.*I,0.002738757165046656+0.*I,0.0019522903376633048+0.*I,0.001378909494892799+0.*I,0.0009652019167787518+0.*I,0.0006696952402116538+0.*I,0.0004606742016382778+0.*I,0.0003142281537330423+0.*I,0.00021257094897256669+0.*I,0.00014263955202568858+0.*I,0.00009495540376353566+0.*I,0.00006272007154367822+0.*I,0.00004111130818133407+0.*I,0.000026744972564392617+0.*I,0.000017270503097675965+0.*I,0.00001107142343786356+0.*I,7.046755294329777*^-6+0.*I,4.453606829805577*^-6+0.*I,2.7952419754485843*^-6+0.*I,1.742440673822903*^-6+0.*I,1.0788778054404489*^-6+0.*I,6.635983472393009*^-7+0.*I,4.055074178361346*^-7+0.*I,2.462028821508549*^-7+0.*I,1.4853450953146894*^-7+0.*I,8.905111932596033*^-8+0.*I,5.3059837590913746*^-8+0.*I,3.142263611207807*^-8+0.*I,1.849711926999971*^-8+0.*I,1.0823905418605796*^-8+0.*I,6.296728704974444*^-9+0.*I,3.6419071676627796*^-9+0.*I,2.0943853635361717*^-9+0.*I,1.1976454494599947*^-9+0.*I,6.810409545767392*^-10+0.*I,3.851412702047776*^-10+0.*I
-0.000022001227460974665+0.*I,-0.00010811244441819418+0.*I,-0.0003740914572676886+0.*I,-0.0010521153188937135+0.*I,-0.0025499169381730594+0.*I,-0.005497551375450629+0.*I,-0.010755032636832172+0.*I,-0.019350017828478602+0.*I,-0.032322991427533206+0.*I,-0.05047860527306129+0.*I,-0.0740728722300249+0.*I,-0.10249870807381257+0.*I,-0.13405568937635842+0.*I,-0.16589318495658442+0.*I,-0.19419317155902802+0.*I,-0.2146116116826402+0.*I,-0.22293502696763487+0.*I,-0.21584762773750618+0.*I,-0.19166139593153114+0.*I,-0.1508504957268867+0.*I,-0.09625790976983838+0.*I,-0.03290190148466517+0.*I,0.03261052450624669+0.*I,0.0929751693490834+0.*I,0.14123600040410017+0.*I,0.17180176381702505+0.*I,0.18125790124138982+0.*I,0.168839461456664+0.*I,0.1364966773700196+0.*I,0.0885599667011311+0.*I,0.03107948187657993+0.*I,-0.02903681641717726+0.*I,-0.08494057694193492+0.*I,-0.13067580308721924+0.*I,-0.16181578003899388+0.*I,-0.17583681202963314+0.*I,-0.17221000837750433+0.*I,-0.1522366327968642+0.*I,-0.11868569439035213+0.*I,-0.07531096519103103+0.*I,-0.02632816376553338+0.*I,0.024076016705838338+0.*I,0.07214905683699047+0.*I,0.11485974795496048+0.*I,0.15005682051494837+0.*I,0.17650695467324393+0.*I,0.19383323068339822+0.*I,0.20238238507491+0.*I,0.20305110244331007+0.*I,0.1970991132290816+0.*I,0.18597154422292517+0.*I,0.17114625742941064+0.*I,0.15401507792739294+0.*I,0.13580177442084335+0.*I,0.11751496175983443+0.*I,0.09993094387281881+0.*I,0.08359984213529247+0.*I,0.06886791747139709+0.*I,0.055909468052561494+0.*I,0.044762728790494116+0.*I,0.035365511648240824+0.*I,0.027587670218283917+0.*I,0.021258685818592592+0.*I,0.01618966365590368+0.*I,0.012189762363791577+0.*I,0.009077566321207438+0.*I,0.006688181553499191+0.*I,0.004876939205269577+0.*I,0.003520574366809561+0.*I,0.002516656844637644+0.*I,0.001781920658835464+0.*I,0.0012499976988867385+0.*I,0.0008689262403263743+0.*I,0.0005986875034812781+0.*I,0.00040892786352474667+0.*I,0.0002769513436153125+0.*I,0.00018601473178035137+0.*I,0.00012392281788486348+0.*I,0.00008190016124402849+0.*I,0.00005370490936737815+0.*I,0.00003494638048761417+0.*I,0.000022568872164880544+0.*I,0.000014467545255856234+0.*I,9.206884399673397*^-6+0.*I,5.8172357900604184*^-6+0.*I,3.6497069603115737*^-6+0.*I,2.2739763835819368*^-6+0.*I,1.40717459697507*^-6+0.*I,8.649477121170823*^-7+0.*I,5.281480701347531*^-7+0.*I,3.203967827957041*^-7+0.*I,1.9312051312818338*^-7+0.*I,1.1566882766902839*^-7+0.*I,6.884787005667182*^-8+0.*I,4.072755177962795*^-8+0.*I,2.3946715053603866*^-8+0.*I,1.3995827226675125*^-8+0.*I,8.131680108250561*^-9+0.*I,4.697039396818906*^-9+0.*I,2.6975065209462156*^-9+0.*I
0.000060097119212170704+0.*I,0.00028431229424449183+0.*I,0.0009453968042497307+0.*I,0.0025499169381730594+0.*I,0.00591307162289571+0.*I,0.012165859281320239+0.*I,0.022644648441768254+0.*I,0.03862767689763352+0.*I,0.06092631939547335+0.*I,0.08939958156078723+0.*I,0.1225189479046111+0.*I,0.15714282943294372+0.*I,0.18864481520505438+0.*I,0.21147068261372787+0.*I,0.2200876822881017+0.*I,0.21016563350907894+0.*I,0.17973156863471632+0.*I,0.13000298219790732+0.*I,0.06564781559383524+0.*I,-0.0056629442369422415+0.*I,-0.07438012924906111+0.*I,-0.1306818888514689+0.*I,-0.1662385822871717+0.*I,-0.1757676231143613+0.*I,-0.15804933134002833+0.*I,-0.11619250149043252+0.*I,-0.05710199818914734+0.*I,0.009730970922148396+0.*I,0.07386179747397463+0.*I,0.12562391764255335+0.*I,0.1576367698854157+0.*I,0.16583669133132656+0.*I,0.14988962561173944+0.*I,0.11297227542550338+0.*I,0.06102327914296638+0.*I,0.0016468448148589888+0.*I,-0.057112799350257856+0.*I,-0.10791662757363153+0.*I,-0.14503070690074887+0.*I,-0.16488143711141498+0.*I,-0.16623788633443012+0.*I,-0.150055730075928+0.*I,-0.1190624513685164+0.*I,-0.07718690022736534+0.*I,-0.028938744914689722+0.*I,0.02117098151078622+0.*I,0.06910198375315905+0.*I,0.1116123050943122+0.*I,0.146431987498888+0.*I,0.17229576491047063+0.*I,0.18886284637359674+0.*I,0.19655927243815075+0.*I,0.19637905636326367+0.*I,0.18967606853662894+0.*I,0.17797136861742585+0.*I,0.16279228657066938+0.*I,0.14555147335488586+0.*I,0.12746736791314606+0.*I,0.1095225573018897+0.*I,0.09245343341870899+0.*I,0.0767631761280739+0.*I,0.0627500557395796+0.*I,0.05054392541229342+0.*I,0.040145163578578155+0.*I,0.03146189410221937+0.*I,0.02434281441452368+0.*I,0.018604247813984693+0.*I,0.01405103338375864+0.*I,0.010491563952532488+0.*I,0.007747707685561414+0.*I,0.005660552560072789+0.*I,0.004092952920035224+0.*I,0.002929788802009719+0.*I,0.00207671875511693+0.*I,0.0014580516151002291+0.*I,0.0010142073480822543+0.*I,0.0006990971995023169+0.*I,0.0004776368296052524+0.*I,0.0003235152033282542+0.*I,0.00021727544725069355+0.*I,0.0001447184004990224+0.*I,0.00009561105169974047+0.*I,0.00006266631095661068+0.*I,0.00004075387959813445+0.*I,0.000026301262474959408+0.*I,0.0000168468302945745+0.*I,0.000010711549280479487+0.*I,6.76137341381067*^-6+0.*I,4.2375991007763705*^-6+0.*I,2.637295346798746*^-6+0.*I,1.6300512920930097*^-6+0.*I,1.0006798467105977*^-6+0.*I,6.102200126107394*^-7+0.*I,3.696745336434987*^-7+0.*I,2.2250370648838515*^-7+0.*I,1.3307024934020154*^-7+0.*I,7.908437618651778*^-8+0.*I,4.670948860803649*^-8+0.*I,2.7419636297293708*^-8+0.*I,1.599914292880008*^-8+0.*I
-0.00014682681943039105+0.*I,-0.0006677439000257361+0.*I,-0.0021299398551321825+0.*I,-0.005497551375450629+0.*I,-0.012165859281320239+0.*I,-0.023810057327887678+0.*I,-0.04199744618328755+0.*I,-0.06758004822001117+0.*I,-0.09999211145818167+0.*I,-0.13667615982207626+0.*I,-0.17290317310395772+0.*I,-0.20219995538045538+0.*I,-0.2174446590266738+0.*I,-0.21247588302005968+0.*I,-0.1838510743379695+0.*I,-0.1322650172861158+0.*I,-0.06315709028851871+0.*I,0.013790677705354798+0.*I,0.08627526240238441+0.*I,0.14180662489998935+0.*I,0.1703965958918773+0.*I,0.16684273222044135+0.*I,0.1320266506654998+0.*I,0.07288621766277456+0.*I,0.0010520826826451956+0.*I,-0.06953228953635579+0.*I,-0.1254504071008416+0.*I,-0.1564673622840884+0.*I,-0.15742843727237218+0.*I,-0.12903644465976402+0.*I,-0.07741719996125843+0.*I,-0.012653018189067127+0.*I,0.05333313919422499+0.*I,0.1090641856705371+0.*I,0.14550607644229377+0.*I,0.15742891701889547+0.*I,0.14395459975912434+0.*I,0.10829387184744818+0.*I,0.05682746994442126+0.*I,-0.0022171491544382416+0.*I,-0.06020953610476397+0.*I,-0.10942285028085527+0.*I,-0.1440143203947127+0.*I,-0.16057977464604753+0.*I,-0.15827139314470978+0.*I,-0.13854030937856174+0.*I,-0.10461236921032549+0.*I,-0.06082394060019406+0.*I,-0.011938553327709937+0.*I,0.037458675650104585+0.*I,0.08342507992538913+0.*I,0.12295399939682414+0.*I,0.15409934219173216+0.*I,0.17595508601083512+0.*I,0.18852681196682278+0.*I,0.19253680831547776+0.*I,0.18920179887088276+0.*I,0.1800152849766281+0.*I,0.16655718667809757+0.*I,0.15034389865908912+0.*I,0.13272344116561657+0.*I,0.11481388214307378+0.*I,0.09747890015233633+0.*I,0.08133211829954078+0.*I,0.06676129291661363+0.*I,0.053964105576490756+0.*I,0.042988700790558686+0.*I,0.033773819881518+0.*I,0.026185091580230867+0.*I,0.02004554829131392+0.*I,0.015159637595006624+0.*I,0.011330861570705663+0.*I,0.008373724334583306+0.*I,0.006120953116281115+0.*I,0.004427044600120376+0.*I,0.003169139783275081+0.*I,0.002246102542668325+0.*I,0.001576512783950864+0.*I,0.0010961152299045203+0.*I,0.0007551090286253816+0.*I,0.0005155317221363522+0.*I,0.0003488873217507815+0.*I,0.00023409148523706507+0.*I,0.00015575375328266583+0.*I,0.00010278303221127006+0.*I,0.00006728339772424782+0.*I,0.000043698643337566346+0.*I,0.000028162304098215646+0.*I,0.0000180124245436791+0.*I,0.000011435118253006254+0.*I,7.206622009989595*^-6+0.*I,4.509216473257102*^-6+0.*I,2.8015738018164256*^-6+0.*I,1.7285659450896916*^-6+0.*I,1.0592586427372243*^-6+0.*I,6.447593899565179*^-7+0.*I,3.898689106252582*^-7+0.*I,2.342118353298198*^-7+0.*I,1.39801189283991*^-7+0.*I,8.292122862932564*^-8+0.*I
0.00032746621870915083+0.*I,0.001429319978914498+0.*I,0.004364858996207768+0.*I,0.010755032636832172+0.*I,0.022644648441768254+0.*I,0.04199744618328755+0.*I,0.06985637875262876+0.*I,0.10536060178432793+0.*I,0.14497657351801804+0.*I,0.18236249004526844+0.*I,0.20917585603151456+0.*I,0.21685230348213694+0.*I,0.19901047997923066+0.*I,0.15381272175119287+0.*I,0.08547872929253818+0.*I,0.004295121117523358+0.*I,-0.07512931431731501+0.*I,-0.1370664189729509+0.*I,-0.16853260157631947+0.*I,-0.16274178016022522+0.*I,-0.1211313375495235+0.*I,-0.05332464503908347+0.*I,0.025021941830891428+0.*I,0.09593634301375589+0.*I,0.14342598704592474+0.*I,0.15722464506531847+0.*I,0.13504764157879626+0.*I,0.08284691328256247+0.*I,0.013102754564421804+0.*I,-0.05831540770356041+0.*I,-0.11587154372367385+0.*I,-0.14775175449899508+0.*I,-0.14816919967485223+0.*I,-0.11816733927278937+0.*I,-0.0648958883171913+0.*I,0.0003186033174303583+0.*I,0.06456017826252834+0.*I,0.11595258958721338+0.*I,0.14579192816830217+0.*I,0.14982707212212024+0.*I,0.1285600027229224+0.*I,0.08665295094245144+0.*I,0.03168788386957666+0.*I,-0.02739613687724133+0.*I,-0.08186116151828304+0.*I,-0.12445915345602841+0.*I,-0.15028494567566902+0.*I,-0.15713511204668348+0.*I,-0.14540966101882002+0.*I,-0.11766092466020375+0.*I,-0.07792814347473304+0.*I,-0.03099912036235922+0.*I,0.01828072825289338+0.*I,0.06556681937150514+0.*I,0.10739601079572322+0.*I,0.14138057161413592+0.*I,0.16623500244237902+0.*I,0.18167302570546665+0.*I,0.1882196292599995+0.*I,0.1869821398047433+0.*I,0.17941754069783272+0.*I,0.16712336821624776+0.*I,0.15166888954671173+0.*I,0.13447362088559123+0.*I,0.11673261863544018+0.*I,0.09938277285188366+0.*I,0.08310147016266342+0.*I,0.06832808778439421+0.*I,0.055299302358581666+0.*I,0.0440906029596967+0.*I,0.034658211394341144+0.*I,0.026877471483695018+0.*I,0.020575431825777358+0.*I,0.015556684355938133+0.*I,0.011622492666447194+0.*I,0.008583869154303456+0.*I,0.006269593688757806+0.*I,0.004530278472134015+0.*I,0.0032395441000094656+0.*I,0.00229324170578719+0.*I,0.0016074836690683919+0.*I,0.001116064993496017+0.*I,0.0007676908960410225+0.*I,0.0005232850335748047+0.*I,0.000353541330461031+0.*I,0.00023679986711390235+0.*I,0.00015727023544942083+0.*I,0.0001035894034391164+0.*I,0.00006768050376528147+0.*I,0.00004386955524677856+0.*I,0.000028215173818547538+0.*I,0.000018008905256647795+0.*I,0.000011408781047460094+0.*I,7.174605728412624*^-6+0.*I,4.479408373904995*^-6+0.*I,2.776909232480993*^-6+0.*I,1.7095172742951494*^-6+0.*I,1.0452168235874846*^-6+0.*I,6.347588291177096*^-7+0.*I,3.8293682348258657*^-7+0.*I
-0.0006761673932063094+0.*I,-0.0028275553995598247+0.*I,-0.008248759058164435+0.*I,-0.019350017828478602+0.*I,-0.03862767689763352+0.*I,-0.06758004822001117+0.*I,-0.10536060178432793+0.*I,-0.14769706457958914+0.*I,-0.18671911282043344+0.*I,-0.21216252080861903+0.*I,-0.21395111622820498+0.*I,-0.18555085283717235+0.*I,-0.12699973004167492+0.*I,-0.04639405241254607+0.*I,0.04102360366131549+0.*I,0.1162592825019082+0.*I,0.16162409557794552+0.*I,0.16594050082956285+0.*I,0.12819866195664512+0.*I,0.058377786103529686+0.*I,-0.024966227936224137+0.*I,-0.09969843776394251+0.*I,-0.14620095446545178+0.*I,-0.15273767666023494+0.*I,-0.11851302196504507+0.*I,-0.05359508048389441+0.*I,0.024158301783699963+0.*I,0.09416216475019552+0.*I,0.13863865295799307+0.*I,0.14708171028553105+0.*I,0.11853255905798835+0.*I,0.06124259527598523+0.*I,-0.009959923127868009+0.*I,-0.07771359383020918+0.*I,-0.12642810015048683+0.*I,-0.14576948460222314+0.*I,-0.13258431747690722+0.*I,-0.09099602102904036+0.*I,-0.030876558011248365+0.*I,0.03475555918401879+0.*I,0.09269856677901554+0.*I,0.13220991704990911+0.*I,0.14682490638498744+0.*I,0.1351065587188011+0.*I,0.10034496212889274+0.*I,0.04943308924039005+0.*I,-0.008733216770650153+0.*I,-0.06495758460202529+0.*I,-0.11122771854607919+0.*I,-0.14176608240440516+0.*I,-0.1535524137875055+0.*I,-0.14633571316981067+0.*I,-0.12223625350421759+0.*I,-0.08508373055594755+0.*I,-0.039647012236640244+0.*I,0.009108271099300697+0.*I,0.05663492250593651+0.*I,0.09923621629487485+0.*I,0.1342996955189612+0.*I,0.16034989628720103+0.*I,0.17695801580470202+0.*I,0.1845559645573405+0.*I,0.18420212247612294+0.*I,0.17733931703467679+0.*I,0.1655751003484033+0.*I,0.15050297638043889+0.*I,0.13357277414142443+0.*I,0.11601005126165809+0.*I,0.09877871126219212+0.*I,0.08257785527337264+0.*I,0.06786285098608949+0.*I,0.05488111457340909+0.*I,0.04371457368201554+0.*I,0.03432269531342245+0.*I,0.026581928334432348+0.*I,0.020319167413603702+0.*I,0.01533825537125038+0.*I,0.011439561345823385+0.*I,0.008433325126241602+0.*I,0.006147803275991285+0.*I,0.0044333653154948515+0.*I,0.003163642845770723+0.*I,0.00223469586169743+0.*I,0.0015629792207611536+0.*I,0.0010827040400979116+0.*I,0.0007430161080465946+0.*I,0.0005052679625166325+0.*I,0.000340547113431266+0.*I,0.00022753893423695288+0.*I,0.0001507451426736833+0.*I,0.00009904244671966983+0.*I,0.00006454563549043438+0.*I,0.00004173044718798967+0.*I,0.0000267700629275782+0.*I,0.000017042064058568773+0.*I,0.000010767989979253888+0.*I,6.75378320015518*^-6+0.*I,4.205497384116624*^-6+0.*I,2.600163861761657*^-6+0.*I,1.5964312452365094*^-6+0.*I
0.0013060083976427024+0.*I,0.005222324668897767+0.*I,0.014518591574949462+0.*I,0.032322991427533206+0.*I,0.06092631939547335+0.*I,0.09999211145818167+0.*I,0.14497657351801804+0.*I,0.18671911282043344+0.*I,0.21294843798973737+0.*I,0.2117435830825078+0.*I,0.1760388484099145+0.*I,0.10750910198023128+0.*I,0.018045847361821292+0.*I,-0.07228402538160021+0.*I,-0.14061011164482942+0.*I,-0.16837938726986332+0.*I,-0.14775935383962677+0.*I,-0.0849063061014455+0.*I,0.0012967273145471979+0.*I,0.08481148319424184+0.*I,0.14052532424076083+0.*I,0.1521163046069679+0.*I,0.1170540592383484+0.*I,0.047115027768218146+0.*I,-0.0356430781131212+0.*I,-0.10598521298272569+0.*I,-0.14328134651412275+0.*I,-0.13749134438587635+0.*I,-0.09161744914239062+0.*I,-0.02012625144898562+0.*I,0.05587843350412974+0.*I,0.11504231118558447+0.*I,0.14172265064774542+0.*I,0.12987408151744195+0.*I,0.08398352921041753+0.*I,0.017108491948365685+0.*I,-0.05313891346042809+0.*I,-0.10937574217745738+0.*I,-0.13868356559639844+0.*I,-0.13530349813123346+0.*I,-0.10133026560257292+0.*I,-0.045506404227773446+0.*I,0.019340606991119134+0.*I,0.07944300648973891+0.*I,0.12303799588039367+0.*I,0.14250961446218818+0.*I,0.13540447679065196+0.*I,0.10429679799926922+0.*I,0.05572193347294896+0.*I,-0.0014552416430587058+0.*I,-0.05783074497416072+0.*I,-0.10505534131466793+0.*I,-0.13698661781356944+0.*I,-0.1502867111244245+0.*I,-0.14447633535582982+0.*I,-0.12154784853377916+0.*I,-0.08529138529423279+0.*I,-0.040499567458284313+0.*I,0.007803600042663184+0.*I,0.055003319325224745+0.*I,0.0973442039650239+0.*I,0.13217388211913417+0.*I,0.15799809227292372+0.*I,0.17438737338687174+0.*I,0.18178521310041107+0.*I,0.1812671381401286+0.*I,0.1742928374530748+0.*I,0.16248227882190844+0.*I,0.1474347367395831+0.*I,0.130598741755181+0.*I,0.11319238885871842+0.*I,0.09616765149544068+0.*I,0.08020922148703157+0.*I,0.06575746778461788+0.*I,0.053045758678304564+0.*I,0.04214399725948681+0.*I,0.03300224221220742+0.*I,0.02549032407476094+0.*I,0.019431162653824365+0.*I,0.014626912369788641+0.*I,0.010878074352163578+0.*I,0.007996347640382295+0.*I,0.005812313523123757+0.*I,0.004179136785898073+0.*I,0.002973402956697739+0.*I,0.002094057582906871+0.*I,0.001460222823179796+0.*I,0.001008473288402291+0.*I,0.000689978549690842+0.*I,0.0004677747516009645+0.*I,0.00031431540051533635+0.*I,0.00020936987083800264+0.*I,0.00013828309134188951+0.*I,0.00009057583196007105+0.*I,0.00005884663067987514+0.*I,0.00003792892989846886+0.*I,0.00002425656834705183+0.*I,0.000015394465983944304+0.*I,9.697058655756336*^-6+0.*I,6.063401281957546*^-6+0.*I
