0.10068290585409372+0.*I,0.21574254724814074+0.*I,0.32688942027245377+0.*I,0.4044085214849248+0.*I,0.4332817165629347+0.*I,0.4152077218663715+0.*I,0.3632200862631494+0.*I,0.2941717051659103+0.*I,0.222861969947081+0.*I,0.1591822983694931+0.*I,0.10786358030523312+0.*I,0.06968808810124151+0.*I,0.04310701865273723+0.*I,0.025618657757264303+0.*I,0.014671428949359333+0.*I,0.00811721119966744+0.*I,0.004348374249609983+0.*I,0.0022598651000768767+0.*I,0.0011413696585440237+0.*I,0.0005610861951568638+0.*I,0.0002688404702485433+0.*I,0.00012570862024794812+0.*I,0.00005742933401191136+0.*I,0.00002565960239919947+0.*I,0.000011223397959726409+0.*I,4.809881963716707*^-6+0.*I,2.0212861744448736*^-6+0.*I,8.335391140566389*^-7+0.*I,3.3754138575760923*^-7+0.*I,1.3430992010232856*^-7+0.*I,5.254453149375183*^-8+0.*I,2.0222122542803065*^-8+0.*I,7.660053613685545*^-9+0.*I,2.8572938081271646*^-9+0.*I,1.0500149975166912*^-9+0.*I,3.803133238526117*^-10+0.*I,1.3582207185410624*^-10+0.*I,4.784643117081179*^-11+0.*I,1.6631744780485637*^-11+0.*I,5.706706921727582*^-12+0.*I,1.933461969814598*^-12+0.*I,6.470290300454327*^-13+0.*I,2.1393368992130357*^-13+0.*I,6.990770015479388*^-14+0.*I,2.2582849343385206*^-14+0.*I,7.21360804505314*^-15+0.*I,2.2790491214888787*^-15+0.*I,7.123358758340789*^-16+0.*I,2.2031509776809957*^-16+0.*I,6.744135388866076*^-17+0.*I,2.0437197350504478*^-17+0.*I,6.132200007119982*^-18+0.*I,1.8221943687066234*^-18+0.*I,5.363358485120459*^-19+0.*I,1.5639397093973013*^-19+0.*I,4.5187542459613795*^-20+0.*I,1.2939120871865335*^-20+0.*I,3.672378217343158*^-21+0.*I,1.0332691586103444*^-21+0.*I,2.8824880894800115*^-22+0.*I,7.97392151902718*^-23+0.*I,2.1876966415572252*^-23+0.*I,5.95348571657247*^-24+0.*I,1.6072413679385337*^-24+0.*I,4.30498037154567*^-25+0.*I,1.1441805423478977*^-25+0.*I,3.017884752795842*^-26+0.*I,7.900331416724831*^-27+0.*I,2.0529147473102928*^-27+0.*I,5.295737256621343*^-28+0.*I,1.356305336379369*^-28+0.*I,3.4491204163050057*^-29+0.*I,8.710080508127065*^-30+0.*I,2.1844434173739495*^-30+0.*I,5.441329189768684*^-31+0.*I,1.3463390101233854*^-31+0.*I,3.3092356491455115*^-32+0.*I,8.080949490733528*^-33+0.*I,1.9606277788508088*^-33+0.*I,4.726739483383621*^-34+0.*I,1.1323918467642181*^-34+0.*I,2.6960893756437605*^-35+0.*I,6.379805218294591*^-36+0.*I,1.5005429611655196*^-36+0.*I,3.508236410546654*^-37+0.*I,8.153788636383826*^-38+0.*I,1.8840407176241135*^-38+0.*I,4.328233866108084*^-39+0.*I,9.886656455544348*^-40+0.*I,2.24561086439445*^-40+0.*I,5.072164226947682*^-41+0.*I,1.1393382327440372*^-41+0.*I,2.5452990665323518*^-42+0.*I,5.6555833158078375*^-43+0.*I,1.249952583435239*^-43+0.*I,2.747968793762035*^-44+0.*I,6.009747710327479*^-45+0.*I,1.3075263031369747*^-45+0.*I,2.8302021531499907*^-46+0.*I,6.0950871596300035*^-47+0.*I
-0.21574254724814074+0.*I,-0.3616085456914891+0.*I,-0.395350069926461+0.*I,-0.3003743487572437+0.*I,-0.1196156479061827+0.*I,0.07914349596811249+0.*I,0.23874188121523424+0.*I,0.3306411785630281+0.*I,0.35449633511562023+0.*I,0.3274913194962253+0.*I,0.2722493854390563+0.*I,0.2084159314781061+0.*I,0.14903723439499317+0.*I,0.1005291055819276+0.*I,0.06441841624274117+0.*I,0.03942870298749412+0.*I,0.023151182291405753+0.*I,0.013086384978475573+0.*I,0.007142077597682589+0.*I,0.0037728238656594107+0.*I,0.0019331844794202298+0.*I,0.0009626143514558378+0.*I,0.0004665665634948856+0.*I,0.000220438214054132+0.*I,0.00010165645594288417+0.*I,0.00004581041215258237+0.*I,0.000020194485704143294+0.*I,8.716809924511607*^-6+0.*I,3.6873933526938408*^-6+0.*I,1.529917739806616*^-6+0.*I,6.230537161330176*^-7+0.*I,2.4922376307659406*^-7+0.*I,9.797969655965898*^-8+0.*I,3.7881070920270886*^-8+0.*I,1.4410778778141046*^-8+0.*I,5.397040067635217*^-9+0.*I,1.9908414643813644*^-9+0.*I,7.236484490429977*^-10+0.*I,2.5930683699780896*^-10+0.*I,9.163692567614583*^-11+0.*I,3.194937635880807*^-11+0.*I,1.0993748430040991*^-11+0.*I,3.734811921926413*^-12+0.*I,1.253059343997774*^-12+0.*I,4.153248688849054*^-13+0.*I,1.3603309558264818*^-13+0.*I,4.4041541406284723*^-14+0.*I,1.4097985822239762*^-14+0.*I,4.463118238774228*^-15+0.*I,1.3976928760267901*^-15+0.*I,4.3308971921038534*^-16+0.*I,1.3281075169816617*^-16+0.*I,4.031533919941477*^-17+0.*I,1.2116518960862472*^-17+0.*I,3.6061276948269*^-18+0.*I,1.063021216296952*^-18+0.*I,3.1042675654371724*^-19+0.*I,8.981907685127711*^-20+0.*I,2.5753918149023123*^-20+0.*I,7.319033699120561*^-21+0.*I,2.0619011033824002*^-21+0.*I,5.759053861867667*^-22+0.*I,1.595023229464468*^-22+0.*I,4.381034362284111*^-23+0.*I,1.1935463099208544*^-23+0.*I,3.2256120193520165*^-24+0.*I,8.648696671265405*^-25+0.*I,2.3009574457778785*^-25+0.*I,6.074883207032445*^-26+0.*I,1.5918024169820613*^-26+0.*I,4.140103621507306*^-27+0.*I,1.068935706345366*^-27+0.*I,2.740036795203109*^-28+0.*I,6.973815212590969*^-29+0.*I,1.762532901882826*^-29+0.*I,4.423836833193717*^-30+0.*I,1.1028010937773754*^-30+0.*I,2.7306845401671304*^-31+0.*I,6.716779552620203*^-32+0.*I,1.6413598819802964*^-32+0.*I,3.985076274903163*^-33+0.*I,9.613810687298713*^-34+0.*I,2.304706796525869*^-34+0.*I,5.490743990772829*^-35+0.*I,1.3000961237862983*^-35+0.*I,3.059715406920604*^-36+0.*I,7.157801731677125*^-37+0.*I,1.6645711339712326*^-37+0.*I,3.848392762312639*^-38+0.*I,8.845865297365608*^-39+0.*I,2.0216875805830396*^-39+0.*I,4.594399782119244*^-40+0.*I,1.0382743721144974*^-40+0.*I,2.3334101287631003*^-41+0.*I,5.2154525974088455*^-42+0.*I,1.1594198156579308*^-42+0.*I,2.563672143206295*^-43+0.*I,5.638739343521525*^-44+0.*I,1.233739650220076*^-44+0.*I,2.685410533459986*^-45+0.*I
0.32688942027245377+0.*I,0.395350069926461+0.*I,0.23741912321932515+0.*I,-0.029080891094154716+0.*I,-0.24355389247947548+0.*I,-0.3090458180167746+0.*I,-0.22465706190576848+0.*I,-0.05433670098457081+0.*I,0.12415556895769597+0.*I,0.25579103734575803+0.*I,0.31978523670995695+0.*I,0.32269314675380173+0.*I,0.2846940160711695+0.*I,0.2276519006101085+0.*I,0.16836932959621492+0.*I,0.11667540159518519+0.*I,0.07644293729896706+0.*I,0.04766844826877413+0.*I,0.028437601026720775+0.*I,0.016296843337893514+0.*I,0.009001588543519278+0.*I,0.004805696853647403+0.*I,0.00248569693880622+0.*I,0.001248199981995637+0.*I,0.0006095922487380727+0.*I,0.0002899986932083629+0.*I,0.0001345734503771202+0.*I,0.00006099171697350623+0.*I,0.000027028240857451994+0.*I,0.000011723070352002816+0.*I,4.981305585443838*^-6+0.*I,2.075345347123213*^-6+0.*I,8.48437890678353*^-7+0.*I,3.405986576405099*^-7+0.*I,1.343526909099171*^-7+0.*I,5.2107109906363876*^-8+0.*I,1.988121282017567*^-8+0.*I,7.466473153955814*^-9+0.*I,2.7614131724970334*^-9+0.*I,1.0062212840928082*^-9+0.*I,3.614036411190295*^-10+0.*I,1.2799941420227377*^-10+0.*I,4.472076116060685*^-11+0.*I,1.5418996356559637*^-11+0.*I,5.24807615218352*^-12+0.*I,1.763943810434585*^-12+0.*I,5.856608171969232*^-13+0.*I,1.9213826599968645*^-13+0.*I,6.230330285600564*^-14+0.*I,1.997354784573731*^-14+0.*I,6.332254239647416*^-15+0.*I,1.985763297893264*^-15+0.*I,6.161195016099726*^-16+0.*I,1.8917716826021866*^-16+0.*I,5.749533630341965*^-17+0.*I,1.7300021591297553*^-17+0.*I,5.154626237492259*^-18+0.*I,1.5211330554494126*^-18+0.*I,4.446686350570261*^-19+0.*I,1.287899050513921*^-19+0.*I,3.696384125018757*^-20+0.*I,1.051461903611217*^-20+0.*I,2.9648302919441823*^-21+0.*I,8.288238834081171*^-22+0.*I,2.2974431879910106*^-22+0.*I,6.315521636261817*^-23+0.*I,1.7219294580699613*^-23+0.*I,4.6571579648618336*^-24+0.*I,1.2496316257644956*^-24+0.*I,3.3269987808464516*^-25+0.*I,8.789928673036216*^-26+0.*I,2.304788112939059*^-26+0.*I,5.998448545938722*^-27+0.*I,1.5497334721026156*^-27+0.*I,3.9749502139396557*^-28+0.*I,1.012297346514088*^-28+0.*I,2.559941635238834*^-29+0.*I,6.428952180674854*^-30+0.*I,1.603540452962962*^-30+0.*I,3.972734446416498*^-31+0.*I,9.77705942800069*^-32+0.*I,2.3904201953668603*^-32+0.*I,5.806637187824166*^-33+0.*I,1.4015086806204297*^-33+0.*I,3.3614204619095*^-34+0.*I,8.011986928173318*^-35+0.*I,1.8979357797962717*^-35+0.*I,4.46868150227279*^-36+0.*I,1.0458413882531292*^-36+0.*I,2.433167131966109*^-37+0.*I,5.627664190529264*^-38+0.*I,1.294089268967938*^-38+0.*I,2.958755981354944*^-39+0.*I,6.726532954499047*^-40+0.*I,1.520681742019799*^-40+0.*I,3.4188293344741767*^-41+0.*I,7.644252890593871*^-42+0.*I,1.6999538364990187*^-42+0.*I,3.760183417283608*^-43+0.*I,8.273239034049635*^-44+0.*I
-0.4044085214849248+0.*I,-0.3003743487572437+0.*I,0.029080891094154716+0.*I,0.27339630523105596+0.*I,0.26773094732085023+0.*I,0.067906734531661+0.*I,-0.15912417573885868+0.*I,-0.2759471338334193+0.*I,-0.2423294883758767+0.*I,-0.1014059962143809+0.*I,0.07138876386515634+0.*I,0.21312497189318194+0.*I,0.2931794646081326+0.*I,0.3110002022722396+0.*I,0.28348759979333327+0.*I,0.23214126577408997+0.*I,0.17487955539013583+0.*I,0.12299796509670362+0.*I,0.08158203402176788+0.*I,0.05140488927045461+0.*I,0.030942028328907606+0.*I,0.017870636886346457+0.*I,0.009938729351845766+0.*I,0.005338382966005248+0.*I,0.0027762907169483256+0.*I,0.0014009717785218637+0.*I,0.0006872466142651174+0.*I,0.0003282649568774714+0.*I,0.00015289501031623466+0.*I,0.00006953111710421124+0.*I,0.000030909022799641615+0.*I,0.000013445160936232278+0.*I,5.7284116564304494*^-6+0.*I,2.3925813510799815*^-6+0.*I,9.804126299584842*^-7+0.*I,3.9443792633045235*^-7+0.*I,1.559084468672824*^-7+0.*I,6.058343979483948*^-8+0.*I,2.3157113422052496*^-8+0.*I,8.711578511978376*^-9+0.*I,3.2270931321529108*^-9+0.*I,1.1777000167926017*^-9+0.*I,4.2360403675525*^-10+0.*I,1.5023458637373442*^-10+0.*I,5.2557646678625193*^-11+0.*I,1.814346315540873*^-11+0.*I,6.1826705690234556*^-12+0.*I,2.080410042587948*^-12+0.*I,6.914750522031304*^-13+0.*I,2.2708569250049798*^-13+0.*I,7.370777207548651*^-14+0.*I,2.3651882566784463*^-14+0.*I,7.505164774706149*^-15+0.*I,2.3556181462252202*^-15+0.*I,7.314808750826372*^-16+0.*I,2.247777448289585*^-16+0.*I,6.83676331236682*^-17+0.*I,2.058663778089314*^-17+0.*I,6.1382562661840624*^-18+0.*I,1.8126457810776976*^-18+0.*I,5.30236456932814*^-19+0.*I,1.5367111872546573*^-19+0.*I,4.413217988085905*^-20+0.*I,1.2561186676881918*^-20+0.*I,3.543947268616092*^-21+0.*I,9.91269655978476*^-22+0.*I,2.7492151538416467*^-22+0.*I,7.56136472462884*^-23+0.*I,2.0626535508212738*^-23+0.*I,5.5814258624359894*^-24+0.*I,1.4983492223562962*^-24+0.*I,3.991024579513981*^-25+0.*I,1.0549016622045325*^-25+0.*I,2.767240418562529*^-26+0.*I,7.205078575519126*^-27+0.*I,1.8622395845519765*^-27+0.*I,4.7784171980803115*^-28+0.*I,1.217389566171376*^-28+0.*I,3.0797545916234997*^-29+0.*I,7.737246966092703*^-30+0.*I,1.9305551709088033*^-30+0.*I,4.7845802614537935*^-31+0.*I,1.1779061978681136*^-31+0.*I,2.880853165747444*^-32+0.*I,7.000231527925452*^-33+0.*I,1.690133045490418*^-33+0.*I,4.054917317367419*^-34+0.*I,9.667857760400957*^-35+0.*I,2.2908639472559618*^-35+0.*I,5.395379121260269*^-36+0.*I,1.2630783459219752*^-36+0.*I,2.93937857936249*^-37+0.*I,6.800301838291164*^-38+0.*I,1.5641488693772071*^-38+0.*I,3.577126684301427*^-39+0.*I,8.134396550154433*^-40+0.*I,1.8394116874559514*^-40+0.*I,4.13639782123472*^-41+0.*I,9.250857509507614*^-42+0.*I,2.0577092332166978*^-42+0.*I
0.4332817165629347+0.*I,0.1196156479061827+0.*I,-0.24355389247947548+0.*I,-0.26773094732085023+0.*I,-0.013449590118166689+0.*I,0.22657728775962996+0.*I,0.25365344766277526+0.*I,0.0851471873220419+0.*I,-0.1306173081049584+0.*I,-0.25484824274092405+0.*I,-0.23682260208424777+0.*I,-0.10995639372719307+0.*I,0.05503194191761257+0.*I,0.19533238951424586+0.*I,0.2781005905532544+0.*I,0.30025612742585644+0.*I,0.27691725627411423+0.*I,0.22874389803768413+0.*I,0.17351141172099882+0.*I,0.1227289225816408+0.*I,0.08179365801331208+0.*I,0.05175056265223058+0.*I,0.03126204248407437+0.*I,0.018112713022889974+0.*I,0.010101807245330933+0.*I,0.0054397310793593365+0.*I,0.0028354778695551153+0.*I,0.0014338172821753816+0.*I,0.0007046963208221195+0.*I,0.0003371870460168909+0.*I,0.00015730299965692238+0.*I,0.00007164198469834694+0.*I,0.00003189125992636912+0.*I,0.000013890207461580019+0.*I,5.9251031038948346*^-6+0.*I,2.4775004098912956*^-6+0.*I,1.0162740755813625*^-6+0.*I,4.092681676850284*^-7+0.*I,1.6192026108229847*^-7+0.*I,6.297451215946419*^-8+0.*I,2.409093508648644*^-8+0.*I,9.069955909334641*^-9+0.*I,3.3623364977285462*^-9+0.*I,1.2279179634829367*^-9+0.*I,4.41961695360566*^-10+0.*I,1.56844870228881*^-10+0.*I,5.490338788442781*^-11+0.*I,1.896418373887541*^-11+0.*I,6.465908107939038*^-12+0.*I,2.1768639552454095*^-12+0.*I,7.238989451469964*^-13+0.*I,2.378488544880873*^-13+0.*I,7.723707101510321*^-14+0.*I,2.479541203120316*^-14+0.*I,7.871387966910054*^-15+0.*I,2.4715776782542826*^-15+0.*I,7.677924931780345*^-16+0.*I,2.360257117816196*^-16+0.*I,7.181507729331053*^-17+0.*I,2.163235887143673*^-17+0.*I,6.452253645620235*^-18+0.*I,1.9059969192135112*^-18+0.*I,5.5772075359866665*^-19+0.*I,1.6168615263371193*^-19+0.*I,4.64477753916999*^-20+0.*I,1.3224065710111831*^-20+0.*I,3.7320065352623986*^-21+0.*I,1.0441526265146425*^-21+0.*I,2.8966386443891543*^-22+0.*I,7.968851807651115*^-23+0.*I,2.1743454023331112*^-23+0.*I,5.8850606593118604*^-24+0.*I,1.5802265727560312*^-24+0.*I,4.2100608145618485*^-25+0.*I,1.1130401770854204*^-25+0.*I,2.920370916748838*^-26+0.*I,7.605356398169588*^-27+0.*I,1.9660913925700517*^-27+0.*I,5.045883056029733*^-28+0.*I,1.285776315422264*^-28+0.*I,3.253363105050918*^-29+0.*I,8.174880201324222*^-30+0.*I,2.0401104378158058*^-30+0.*I,5.056964601691306*^-31+0.*I,1.2451725615636805*^-31+0.*I,3.045867092206986*^-32+0.*I,7.402382271441757*^-33+0.*I,1.787506490485147*^-33+0.*I,4.289184968265916*^-34+0.*I,1.0227924807287342*^-34+0.*I,2.423927306915066*^-35+0.*I,5.709575865754791*^-36+0.*I,1.3368182756567486*^-36+0.*I,3.11140449855984*^-37+0.*I,7.199241006809715*^-38+0.*I,1.6561242986919805*^-38+0.*I,3.7879503300980295*^-39+0.*I,8.614880021060979*^-40+0.*I,1.9482991369050278*^-40+0.*I,4.381781335519162*^-41+0.*I
-0.4152077218663715+0.*I,0.07914349596811249+0.*I,0.3090458180167746+0.*I,0.067906734531661+0.*I,-0.22657728775962996+0.*I,-0.23057539044875247+0.*I,0.00513048282154699+0.*I,0.2185314651278053+0.*I,0.23287233256242848+0.*I,0.06897594742302092+0.*I,-0.13346610153707608+0.*I,-0.24589503253764328+0.*I,-0.2230800418684456+0.*I,-0.09844791759825335+0.*I,0.060353753968907395+0.*I,0.19395316537731042+0.*I,0.2717486113003759+0.*I,0.2914081588205478+0.*I,0.26773750701214627+0.*I,0.22062662399162053+0.*I,0.1670761431237219+0.*I,0.11803528733932607+0.*I,0.07859492422768614+0.*I,0.049692455424586626+0.*I,0.030002547435611274+0.*I,0.017375510578134908+0.*I,0.009687297177166623+0.*I,0.005215048380943413+0.*I,0.0027177304878185046+0.*I,0.0013740119168912542+0.*I,0.0006751949777579565+0.*I,0.00032302781291113715+0.*I,0.00015068053625813557+0.*I,0.00006861934145086619+0.*I,0.000030543287313920324+0.*I,0.000013302195811669221+0.*I,5.673950168558848*^-6+0.*I,2.3723684948973355*^-6+0.*I,9.731085862327685*^-7+0.*I,3.918710971791134*^-7+0.*I,1.5503281705244162*^-7+0.*I,6.029432949371498*^-8+0.*I,2.3065150267543535*^-8+0.*I,8.683609809523502*^-9+0.*I,3.219067714821565*^-9+0.*I,1.1755828721531682*^-9+0.*I,4.231209083171019*^-10+0.*I,1.5015749152134082*^-10+0.*I,5.2562186230277556*^-11+0.*I,1.815543624746766*^-11+0.*I,6.190146165965904*^-12+0.*I,2.0840206462711165*^-12+0.*I,6.930243186431602*^-13+0.*I,2.277045929161048*^-13+0.*I,7.394299953813148*^-14+0.*I,2.3737962641605473*^-14+0.*I,7.535716330199205*^-15+0.*I,2.366185732586606*^-15+0.*I,7.350552379392684*^-16+0.*I,2.259629091784114*^-16+0.*I,6.87535861775136*^-17+0.*I,2.0710263302669475*^-17+0.*I,6.1772518534971744*^-18+0.*I,1.8247707388159335*^-18+0.*I,5.339557211076201*^-19+0.*I,1.5479740125035402*^-19+0.*I,4.446908776030455*^-20+0.*I,1.266079036925793*^-20+0.*I,3.573063852408812*^-21+0.*I,9.996891215251084*^-22+0.*I,2.773306887933093*^-22+0.*I,7.629604274756313*^-23+0.*I,2.0817926316555795*^-23+0.*I,5.634593101538428*^-24+0.*I,1.5129816727598808*^-24+0.*I,4.0309310677896087*^-25+0.*I,1.0656891380787344*^-25+0.*I,2.7961496179322525*^-26+0.*I,7.281898980413773*^-27+0.*I,1.882484725355474*^-27+0.*I,4.83134009098936*^-28+0.*I,1.2311146733380128*^-28+0.*I,3.115073271922609*^-29+0.*I,7.827440119864562*^-30+0.*I,1.9534155719434493*^-30+0.*I,4.84209687127757*^-31+0.*I,1.1922729074456782*^-31+0.*I,2.9164842481817545*^-32+0.*I,7.087983983234129*^-33+0.*I,1.7115963681918515*^-33+0.*I,4.1070594783062965*^-34+0.*I,9.793686748789513*^-35+0.*I,2.3210297972350216*^-35+0.*I,5.4672305893202466*^-36+0.*I,1.2800835376524628*^-36+0.*I,2.979372359944226*^-37+0.*I,6.893779185369487*^-38+0.*I,1.5858638793887098*^-38+0.*I,3.627267226817431*^-39+0.*I,8.24948397811526*^-40+0.*I
0.3632200862631494+0.*I,-0.23874188121523424+0.*I,-0.22465706190576848+0.*I,0.15912417573885868+0.*I,0.25365344766277526+0.*I,-0.00513048282154699+0.*I,-0.23506349198173326+0.*I,-0.18562786097212083+0.*I,0.04862371916401602+0.*I,0.22486963902401164+0.*I,0.20580254437922946+0.*I,0.03439286962723378+0.*I,-0.15259961897963742+0.*I,-0.2422435527372766+0.*I,-0.2031786146281873+0.*I,-0.07424087002183018+0.*I,0.07900088263979858+0.*I,0.20249976314483528+0.*I,0.2705193056508839+0.*I,0.28344014312311216+0.*I,0.2566505126927379+0.*I,0.20931460477468772+0.*I,0.1572662147291934+0.*I,0.1104096921224734+0.*I,0.07313894456826651+0.*I,0.04604249870519272+0.*I,0.027695646688161164+0.*I,0.015987781830775313+0.*I,0.008888345217147493+0.*I,0.004772914264460964+0.*I,0.002481729382578847+0.*I,0.0012521567237176704+0.*I,0.0006141867627565568+0.*I,0.0002933495807988689+0.*I,0.00013662770446120116+0.*I,0.00006213240261778257+0.*I,0.000027620070178817493+0.*I,0.000012014665021311001+0.*I,5.1190628988310026*^-6+0.*I,2.1381444240789986*^-6+0.*I,8.761854687522563*^-7+0.*I,3.525208345625858*^-7+0.*I,1.3934660943812726*^-7+0.*I,5.415051595603608*^-8+0.*I,2.0699314224842824*^-8+0.*I,7.787390385501962*^-9+0.*I,2.884899106944384*^-9+0.*I,1.0528782595540193*^-9+0.*I,3.7872858087068693*^-10+0.*I,1.3432674174617222*^-10+0.*I,4.699514425820295*^-11+0.*I,1.6224139210435185*^-11+0.*I,5.5289390457188225*^-12+0.*I,1.86053833422542*^-12+0.*I,6.184290889981483*^-13+0.*I,2.0310778648042827*^-13+0.*I,6.592849498099797*^-14+0.*I,2.1156719035225248*^-14+0.*I,6.713750514689535*^-15+0.*I,2.107326583827969*^-15+0.*I,6.544124234249019*^-16+0.*I,2.0110510140071604*^-16+0.*I,6.117037621945513*^-17+0.*I,1.8420290251422037*^-17+0.*I,5.492576478713043*^-18+0.*I,1.6220480181789987*^-18+0.*I,4.745037291469904*^-19+0.*I,1.3752485743799826*^-19+0.*I,3.949688658901258*^-20+0.*I,1.1242329742462865*^-20+0.*I,3.171981940431539*^-21+0.*I,8.872637087522445*^-22+0.*I,2.4608590491289604*^-22+0.*I,6.768539392818065*^-23+0.*I,1.8464497507809165*^-23+0.*I,4.996575676233584*^-24+0.*I,1.3413933269012118*^-24+0.*I,3.573081902472838*^-25+0.*I,9.444646662739341*^-26+0.*I,2.477624591902884*^-26+0.*I,6.451220912900725*^-27+0.*I,1.667450863860344*^-27+0.*I,4.278736855422434*^-28+0.*I,1.0901213380605895*^-28+0.*I,2.7578768274114215*^-29+0.*I,6.928806707263933*^-30+0.*I,1.728889296975458*^-30+0.*I,4.284908478600509*^-31+0.*I,1.0549233670105603*^-31+0.*I,2.580141924193126*^-32+0.*I,6.269702255754973*^-33+0.*I,1.513795553636444*^-33+0.*I,3.6319506522193713*^-34+0.*I,8.659634895909862*^-35+0.*I,2.0520116204350209*^-35+0.*I,4.832963040372062*^-36+0.*I,1.131442766165442*^-36+0.*I,2.6331065203519017*^-37+0.*I,6.091882396793163*^-38+0.*I,1.4012371478736153*^-38+0.*I
-0.2941717051659103+0.*I,0.3306411785630281+0.*I,0.05433670098457081+0.*I,-0.2759471338334193+0.*I,-0.0851471873220419+0.*I,0.2185314651278053+0.*I,0.18562786097212083+0.*I,-0.08472361141437014+0.*I,-0.23782484828906644+0.*I,-0.1269876552220509+0.*I,0.10209128275385879+0.*I,0.23013238040723014+0.*I,0.1686211661419621+0.*I,-0.01176533516752098+0.*I,-0.1780298934522567+0.*I,-0.23729540623188256+0.*I,-0.17622440731687133+0.*I,-0.040890439217805025+0.*I,0.10562862422095509+0.*I,0.21612499254474216+0.*I,0.2712402071031725+0.*I,0.2750079692265129+0.*I,0.24370533128727567+0.*I,0.1956484869934237+0.*I,0.14520384201795805+0.*I,0.10092982426460216+0.*I,0.06630463807984828+0.*I,0.041444676479176386+0.*I,0.024776898809251692+0.*I,0.014225766477715444+0.*I,0.00787092028610152+0.*I,0.004208472914073098+0.*I,0.0021797942396327235+0.*I,0.0010959636017289613+0.*I,0.0005358563014090059+0.*I,0.00025518784342086053+0.*I,0.00011853356849088648+0.*I,0.000053769754039881905+0.*I,0.000023847396724862506+0.*I,0.000010351289710176755+0.*I,4.401520747408529*^-6+0.*I,1.8349969212233143*^-6+0.*I,7.50639442503949*^-7+0.*I,3.0151115011458677*^-7+0.*I,1.1899816754690005*^-7+0.*I,4.6175338191473204*^-8+0.*I,1.7626339916366605*^-8+0.*I,6.622607506169323*^-9+0.*I,2.4503504451167095*^-9+0.*I,8.932305009912842*^-10+0.*I,3.209419822781038*^-10+0.*I,1.1370966677447495*^-10+0.*I,3.9741665681460484*^-11+0.*I,1.3706706524767344*^-11+0.*I,4.666706052715791*^-12+0.*I,1.568996705155095*^-12+0.*I,5.210801284958014*^-13+0.*I,1.7099670965043085*^-13+0.*I,5.546197742021085*^-14+0.*I,1.7784639476397258*^-14+0.*I,5.6396123161897235*^-15+0.*I,1.7689485598714296*^-15+0.*I,5.489660875019394*^-16+0.*I,1.6859254789192102*^-16+0.*I,5.124928836039939*^-17+0.*I,1.5423541596979172*^-17+0.*I,4.596356975918792*^-18+0.*I,1.3566253204496206*^-18+0.*I,3.966455203420987*^-19+0.*I,1.1489961383922276*^-19+0.*I,3.2982382138756255*^-20+0.*I,9.383487039302429*^-21+0.*I,2.646269598501619*^-21+0.*I,7.398742087404518*^-22+0.*I,2.0511610087522339*^-22+0.*I,5.639253205478884*^-23+0.*I,1.537741265374973*^-23+0.*I,4.159514697084967*^-24+0.*I,1.116235424582304*^-24+0.*I,2.97219246250925*^-25+0.*I,7.853415911192398*^-26+0.*I,2.0594523473023188*^-26+0.*I,5.3605058448909746*^-27+0.*I,1.385060048908471*^-27+0.*I,3.5529308278971576*^-28+0.*I,9.049100196235639*^-29+0.*I,2.288592251506867*^-29+0.*I,5.74802283775538*^-30+0.*I,1.4338279933478074*^-30+0.*I,3.5525849678061167*^-31+0.*I,8.743795565055327*^-32+0.*I,2.1379710957622915*^-32+0.*I,5.1938234915596346*^-33+0.*I,1.2536962073885996*^-33+0.*I,3.007132244391921*^-34+0.*I,7.16807041480992*^-35+0.*I,1.6981462556633976*^-35+0.*I,3.9985613365235574*^-36+0.*I,9.358801313771973*^-37+0.*I,2.1774875149099277*^-37+0.*I
