0.9117405774445315+0.*I,0.39194195935164566+0.*I,0.11913990163396955+0.*I,0.029569711376456545+0.*I,0.006355761112900624+0.*I,0.0012218926121762034+0.*I,0.0002144410324132133+0.*I,0.000034842502918654336+0.*I,5.295595778105287*^-6+0.*I,7.588292242157958*^-7+0.*I,1.0315600721090993*^-7+0.*I,1.3370531051290243*^-8+0.*I,1.6592373281928042*^-9+0.*I,1.9782779441619325*^-10+0.*I,2.2728656590277896*^-11+0.*I,2.522775548435803*^-12+0.*I,2.711247080364005*^-13+0.*I,2.826800193145594*^-14+0.*I,2.864239537807814*^-15+0.*I,2.8247694691025485*^-16+0.*I,2.7153041815805997*^-17+0.*I,2.547178126996516*^-18+0.*I,2.3345245855340864*^-19+0.*I,2.092594163174245*^-20+0.*I,1.8362417789470998*^-21+0.*I,1.5787389932804948*^-22+0.*I,1.3309879922131982*^-23+0.*I,1.1011404865345845*^-24+0.*I,8.945697142046976*^-26+0.*I,7.141109092178699*^-27+0.*I,5.604740583414051*^-28+0.*I,4.327381107754053*^-29+0.*I,3.288521088449963*^-30+0.*I,2.4609009671053563*^-31+0.*I,1.814283513297967*^-32+0.*I,1.3183223277481187*^-33+0.*I,9.445410404694785*^-35+0.*I,6.675294743471186*^-36+0.*I,4.655101167912405*^-37+0.*I,3.2044042270266666*^-38+0.*I,2.178049652024399*^-39+0.*I,1.4622658019209113*^-40+0.*I,9.699562676587873*^-42+0.*I,6.3587009646512934*^-43+0.*I,4.120904394831358*^-44+0.*I,2.6408075791837986*^-45+0.*I,1.673818322545181*^-46+0.*I,1.0495662675106202*^-47+0.*I,6.512379810439855*^-49+0.*I,3.9993752704463164*^-50+0.*I,2.431406819042881*^-51+0.*I,1.463602079888114*^-52+0.*I,8.725128299836861*^-54+0.*I,5.152100934569148*^-55+0.*I,3.013963290763002*^-56+0.*I,1.7470570591367622*^-57+0.*I,1.0036066988949412*^-58+0.*I,5.714478450462168*^-60+0.*I,3.225619071362383*^-61+0.*I,1.8052508078978515*^-62+0.*I,1.0018723673502771*^-63+0.*I,5.514396078514214*^-65+0.*I,3.010596743668607*^-66+0.*I,1.6305449979684158*^-67+0.*I,8.761798820915747*^-69+0.*I,4.671830466185905*^-70+0.*I,2.4720974257786646*^-71+0.*I,1.2983107608128337*^-72+0.*I,6.7682232578669675*^-74+0.*I,3.5026811588754753*^-75+0.*I,1.7997080611376504*^-76+0.*I,9.181705593331981*^-78+0.*I,4.6516560046764486*^-79+0.*I,2.340435280912298*^-80+0.*I,1.1695835518315333*^-81+0.*I,5.805653283911815*^-83+0.*I,2.8628248315328815*^-84+0.*I,1.402490372229626*^-85+0.*I,6.826578096070772*^-87+0.*I,3.3017181182115744*^-88+0.*I,1.5868850734266123*^-89+0.*I,7.579724860966293*^-91+0.*I,3.598296867755307*^-92+0.*I,1.697885581292328*^-93+0.*I,7.963779977484885*^-95+0.*I,3.7133019502228422*^-96+0.*I,1.7213196070920214*^-97+0.*I,7.933272370988002*^-99+0.*I,3.6354778642136326*^-100+0.*I,1.6565974060060356*^-101+0.*I,7.506650530674936*^-103+0.*I,3.3827973166033343*^-104+0.*I,1.5161163784244638*^-105+0.*I,6.758363408113519*^-107+0.*I,2.9965952698146967*^-108+0.*I,1.3216509201328955*^-109+0.*I,5.798713098412203*^-111+0.*I,2.531023807774432*^-112+0.*I,1.0990910417680142*^-113+0.*I,4.748610478272515*^-115+0.*I
-0.39194195935164566+0.*I,0.7432513127339753+0.*I,0.5030733921090115+0.*I,0.1936448406129923+0.*I,0.056407187810882324+0.*I,0.013686642787867515+0.*I,0.002900828822530351+0.*I,0.0005523794359128195+0.*I,0.00009627299267652288+0.*I,0.000015560579397200617+0.*I,2.3552836688755866*^-6+0.*I,3.363820040812947*^-7+0.*I,4.560359995354447*^-8+0.*I,5.897422419140577*^-9+0.*I,7.304331606012349*^-10+0.*I,8.694320962366812*^-11+0.*I,9.974550235954654*^-12+0.*I,1.1057238697480678*^-12+0.*I,1.186996866725004*^-13+0.*I,1.2363498600805825*^-14+0.*I,1.2516026741603563*^-15+0.*I,1.2333588037846332*^-16+0.*I,1.1846967139409531*^-17+0.*I,1.1106029491196876*^-18+0.*I,1.0172638927342516*^-19+0.*I,9.11334155728898*^-21+0.*I,7.992803995538594*^-22+0.*I,6.868680300448106*^-23+0.*I,5.7882317224632506*^-24+0.*I,4.786706913998537*^-25+0.*I,3.8872526970753697*^-26+0.*I,3.1019848038302415*^-27+0.*I,2.433799621084682*^-28+0.*I,1.87853254081658*^-29+0.*I,1.4271402156461683*^-30+0.*I,1.0676773551404816*^-31+0.*I,7.869329733744435*^-33+0.*I,5.716722878471917*^-34+0.*I,4.094916541076065*^-35+0.*I,2.8933345520808262*^-36+0.*I,2.017280110657253*^-37+0.*I,1.3883462166614734*^-38+0.*I,9.434868703728762*^-40+0.*I,6.333093609084775*^-41+0.*I,4.200169974976173*^-42+0.*I,2.7530343184908655*^-43+0.*I,1.7838873785859805*^-44+0.*I,1.1430001192352935*^-45+0.*I,7.243612778062249*^-47+0.*I,4.541473224812174*^-48+0.*I,2.8175331647410146*^-49+0.*I,1.7300799983925635*^-50+0.*I,1.0516676830860219*^-51+0.*I,6.329841265590878*^-53+0.*I,3.773048995984342*^-54+0.*I,2.2277046948751592*^-55+0.*I,1.3030634534684432*^-56+0.*I,7.55249883181207*^-58+0.*I,4.338150735139908*^-59+0.*I,2.4698845514363876*^-60+0.*I,1.394034381924656*^-61+0.*I,7.80116786993226*^-63+0.*I,4.3290977645657235*^-64+0.*I,2.3825776454376635*^-65+0.*I,1.3006694482372512*^-66+0.*I,7.043904628869248*^-68+0.*I,3.784785881139447*^-69+0.*I,2.0179177317655793*^-70+0.*I,1.0677049348516134*^-71+0.*I,5.607051044393624*^-73+0.*I,2.9228166686749415*^-74+0.*I,1.5125139061082891*^-75+0.*I,7.770938857678405*^-77+0.*I,3.9643154944485527*^-78+0.*I,2.00829071205758*^-79+0.*I,1.0103933149077981*^-80+0.*I,5.048944390091323*^-82+0.*I,2.5060895238763033*^-83+0.*I,1.2357113272313571*^-84+0.*I,6.0534018006998305*^-86+0.*I,2.9463247095705588*^-87+0.*I,1.4249381696861106*^-88+0.*I,6.848264311902859*^-90+0.*I,3.2709055362599994*^-91+0.*I,1.5527143442878648*^-92+0.*I,7.326279493707128*^-94+0.*I,3.436174900641131*^-95+0.*I,1.602129664152327*^-96+0.*I,7.426440842499212*^-98+0.*I,3.4225815237173172*^-99+0.*I,1.568359307700987*^-100+0.*I,7.146346135106613*^-102+0.*I,3.238147671946401*^-103+0.*I,1.4591843797486652*^-104+0.*I,6.539594572808207*^-106+0.*I,2.9150382276487184*^-107+0.*I,1.2924553796046133*^-108+0.*I,5.700189627764551*^-110+0.*I,2.5008609291810373*^-111+0.*I,1.09154043091543*^-112+0.*I
0.11913990163396955+0.*I,-0.5030733921090115+0.*I,0.5903304196770494+0.*I,0.557273690333627+0.*I,0.25670887929561487+0.*I,0.08502722059090645+0.*I,0.022824186103474083+0.*I,0.005259045180527971+0.*I,0.0010754944498779044+0.*I,0.0001994958568003809+0.*I,0.000034078569887010285+0.*I,5.421378662528642*^-6+0.*I,8.101019906227953*^-7+0.*I,1.1447416390923437*^-7+0.*I,1.5381080898881233*^-8+0.*I,1.9739451773086444*^-9+0.*I,2.4288053518493525*^-10+0.*I,2.874445073512352*^-11+0.*I,3.2810900704941014*^-12+0.*I,3.620988315247805*^-13+0.*I,3.8716361597077646*^-14+0.*I,4.018165376354954*^-15+0.*I,4.0545767637946895*^-16+0.*I,3.983742654520473*^-17+0.*I,3.816319360763925*^-18+0.*I,3.5688688564503*^-19+0.*I,3.2615660352835914*^-20+0.*I,2.9158647543965744*^-21+0.*I,2.552430157776552*^-22+0.*I,2.189542661830369*^-23+0.*I,1.8420674047313424*^-24+0.*I,1.5209837108205232*^-25+0.*I,1.2333958198352881*^-26+0.*I,9.829038416685159*^-28+0.*I,7.702006830907888*^-29+0.*I,5.9377013096008174*^-30+0.*I,4.5058507241786655*^-31+0.*I,3.3673493873971486*^-32+0.*I,2.479414277473774*^-33+0.*I,1.7994712175993901*^-34+0.*I,1.2878065545397206*^-35+0.*I,9.091422144810612*^-37+0.*I,6.333522144297645*^-38+0.*I,4.355517730286251*^-39+0.*I,2.957716810808471*^-40+0.*I,1.9839470620870163*^-41+0.*I,1.3148863351116124*^-42+0.*I,8.612970758094414*^-44+0.*I,5.577515485329342*^-45+0.*I,3.571600533673829*^-46+0.*I,2.2621720630873065*^-47+0.*I,1.4175255238227358*^-48+0.*I,8.789743779358072*^-50+0.*I,5.394549719010606*^-51+0.*I,3.2776129401674488*^-52+0.*I,1.9718319576924669*^-53+0.*I,1.1748295580851102*^-54+0.*I,6.933497648001854*^-56+0.*I,4.05395827035131*^-57+0.*I,2.3487111684178325*^-58+0.*I,1.3485739905557563*^-59+0.*I,7.675093039794089*^-61+0.*I,4.330347142933733*^-62+0.*I,2.422457693775145*^-63+0.*I,1.343835759630281*^-64+0.*I,7.393545113989409*^-66+0.*I,4.0349104020900864*^-67+0.*I,2.184469271923921*^-68+0.*I,1.173392583947975*^-69+0.*I,6.254302571495598*^-71+0.*I,3.3082915495653295*^-72+0.*I,1.7368713772185783*^-73+0.*I,9.051461855213577*^-75+0.*I,4.6827801120385405*^-76+0.*I,2.405294306684723*^-77+0.*I,1.226750548746155*^-78+0.*I,6.2131352546495405*^-80+0.*I,3.125169763169598*^-81+0.*I,1.5612961731998357*^-82+0.*I,7.74792453849689*^-84+0.*I,3.819551415211754*^-85+0.*I,1.8706981315719062*^-86+0.*I,9.103239234244085*^-88+0.*I,4.401742994660287*^-89+0.*I,2.1150692254873405*^-90+0.*I,1.010018915230341*^-91+0.*I,4.793717683994185*^-93+0.*I,2.261442951673141*^-94+0.*I,1.060475152362722*^-95+0.*I,4.943650210687031*^-97+0.*I,2.2911700896927422*^-98+0.*I,1.0557438926369822*^-99+0.*I,4.837044660959492*^-101+0.*I,2.20368678426806*^-102+0.*I,9.983785482618919*^-104+0.*I,4.498243581821428*^-105+0.*I,2.015669006891326*^-106+0.*I,8.983583122939716*^-108+0.*I,3.982530789248552*^-109+0.*I,1.7561936355330305*^-110+0.*I
-0.029569711376456545+0.*I,0.1936448406129923+0.*I,-0.557273690333627+0.*I,0.45201888882247115+0.*I,0.57977083646587+0.*I,0.31030656161484127+0.*I,0.11458184113834731+0.*I,0.033559261003509915+0.*I,0.00832105442716937+0.*I,0.0018132975188064964+0.*I,0.00035576986760488147+0.*I,0.00006390994398175739+0.*I,0.000010641695533670164+0.*I,1.6579500628985264*^-6+0.*I,2.4347497823216977*^-7+0.*I,3.39032227212348*^-8+0.*I,4.498349824888562*^-9+0.*I,5.710371428560743*^-10+0.*I,6.959489305020797*^-11+0.*I,8.167358471688796*^-12+0.*I,9.25326025775989*^-13+0.*I,1.0143658320163277*^-13+0.*I,1.0780611446733238*^-14+0.*I,1.1127740923197108*^-15+0.*I,1.1173007337208588*^-16+0.*I,1.0928188159230973*^-17+0.*I,1.0425515588987119*^-18+0.*I,9.712328330470868*^-20+0.*I,8.844764392395749*^-21+0.*I,7.881484906509896*^-22+0.*I,6.878222988293757*^-23+0.*I,5.8836684643392685*^-24+0.*I,4.9368999547180075*^-25+0.*I,4.066316149108504*^-26+0.*I,3.2898315450678526*^-27+0.*I,2.6159991899853794*^-28+0.*I,2.0456968553580543*^-29+0.*I,1.5740452381147448*^-30+0.*I,1.1922946931640239*^-31+0.*I,8.89499366167679*^-33+0.*I,6.5387773689855125*^-34+0.*I,4.738257578795584*^-35+0.*I,3.385979312252361*^-36+0.*I,2.3870226861584352*^-37+0.*I,1.6606954458269222*^-38+0.*I,1.1405947737488559*^-39+0.*I,7.736065726649786*^-41+0.*I,5.183093243310309*^-42+0.*I,3.4313452900376056*^-43+0.*I,2.245261577766057*^-44+0.*I,1.4524852552500113*^-45+0.*I,9.29199234229477*^-47+0.*I,5.879813827794699*^-48+0.*I,3.681092823764903*^-49+0.*I,2.2805788007824894*^-50+0.*I,1.3984960648159185*^-51+0.*I,8.490129277040834*^-53+0.*I,5.103754851090635*^-54+0.*I,3.0385755331656117*^-55+0.*I,1.7919842216413096*^-56+0.*I,1.0470284977104305*^-57+0.*I,6.062007875884143*^-59+0.*I,3.4783961542022297*^-60+0.*I,1.978401981942528*^-61+0.*I,1.1155499725387746*^-62+0.*I,6.236864767357894*^-64+0.*I,3.457865679814923*^-65+0.*I,1.9014025590609*^-66+0.*I,1.0371031169197183*^-67+0.*I,5.611870390709401*^-69+0.*I,3.012904207516051*^-70+0.*I,1.6051200568407862*^-71+0.*I,8.486432134799302*^-73+0.*I,4.453357765448941*^-74+0.*I,2.3197586318048366*^-75+0.*I,1.1996024421112893*^-76+0.*I,6.15908844613824*^-78+0.*I,3.139959552993562*^-79+0.*I,1.5896551299051415*^-80+0.*I,7.992719869287661*^-82+0.*I,3.991531161145902*^-83+0.*I,1.9800541887485885*^-84+0.*I,9.757657620875785*^-86+0.*I,4.777298246651383*^-87+0.*I,2.3239340021906773*^-88+0.*I,1.123324769285939*^-89+0.*I,5.395870990121913*^-91+0.*I,2.5758832294809864*^-92+0.*I,1.2221712655863854*^-93+0.*I,5.763832453949416*^-95+0.*I,2.7020622088411463*^-96+0.*I,1.2592578061128284*^-97+0.*I,5.834439726044858*^-99+0.*I,2.687683088103567*^-100+0.*I,1.2310618927778086*^-101+0.*I,5.607025586183326*^-103+0.*I,2.5395880790463566*^-104+0.*I,1.1439282510041003*^-105+0.*I,5.124661063133188*^-107+0.*I,2.283431008181627*^-108+0.*I
0.006355761112900624+0.*I,-0.056407187810882324+0.*I,0.25670887929561487+0.*I,-0.57977083646587+0.*I,0.3274020168520008+0.*I,0.5815057116109112+0.*I,0.3554179654840494+0.*I,0.14436424690982835+0.*I,0.04567142129139597+0.*I,0.012091828568448926+0.*I,0.0027906053724469997+0.*I,0.0005762406755821934+0.*I,0.00010840792700685051+0.*I,0.00001882822701088586+0.*I,3.0494076481783383*^-6+0.*I,4.642000549751533*^-7+0.*I,6.683956292795123*^-8+0.*I,9.150846096616291*^-9+0.*I,1.1963938703150397*^-9+0.*I,1.4992304778798527*^-10+0.*I,1.8063877681610498*^-11+0.*I,2.098385336192946*^-12+0.*I,2.35572672348558*^-13+0.*I,2.5611816663138677*^-14+0.*I,2.701713284289301*^-15+0.*I,2.7697626116808503*^-16+0.*I,2.7637434634570463*^-17+0.*I,2.6877525702481227*^-18+0.*I,2.5506294631680833*^-19+0.*I,2.3645851068029385*^-20+0.*I,2.143649372334737*^-21+0.*I,1.9021697904792413*^-22+0.*I,1.6535412959383976*^-23+0.*I,1.4092763484340701*^-24+0.*I,1.1784534761315518*^-25+0.*I,9.675224241303064*^-27+0.*I,7.804027034171963*^-28+0.*I,6.187911309662317*^-29+0.*I,4.825905880514932*^-30+0.*I,3.7038199443442416*^-31+0.*I,2.798789421584377*^-32+0.*I,2.0832457060133898*^-33+0.*I,1.528093058368949*^-34+0.*I,1.1050368544479139*^-35+0.*I,7.881163362215878*^-37+0.*I,5.545625733480879*^-38+0.*I,3.8513170427468047*^-39+0.*I,2.640649105782114*^-40+0.*I,1.7881007790439548*^-41+0.*I,1.196144850324783*^-42+0.*I,7.906978485218858*^-44+0.*I,5.1664373898087305*^-45+0.*I,3.3376373181419623*^-46+0.*I,2.132372339882526*^-47+0.*I,1.3476179545136683*^-48+0.*I,8.426553027675988*^-50+0.*I,5.214444311473264*^-51+0.*I,3.193983426382419*^-52+0.*I,1.9369207837855602*^-53+0.*I,1.1631353572268094*^-54+0.*I,6.917820048893923*^-56+0.*I,4.075747215655319*^-57+0.*I,2.3791383669586758*^-58+0.*I,1.3761932689074718*^-59+0.*I,7.889630118028579*^-61+0.*I,4.483520087856429*^-62+0.*I,2.525994052864193*^-63+0.*I,1.4111056162443654*^-64+0.*I,7.817391927362579*^-66+0.*I,4.2953505055759834*^-67+0.*I,2.341137830449469*^-68+0.*I,1.2659090344854011*^-69+0.*I,6.7917067877411336*^-71+0.*I,3.615833278713209*^-72+0.*I,1.9104754750958898*^-73+0.*I,1.0019065081974379*^-74+0.*I,5.215707374256771*^-76+0.*I,2.695540009340044*^-77+0.*I,1.3831517649078825*^-78+0.*I,7.047402245466389*^-80+0.*I,3.5658735295742964*^-81+0.*I,1.7919330623360383*^-82+0.*I,8.944103371211426*^-84+0.*I,4.434556180801576*^-85+0.*I,2.1842379823087374*^-86+0.*I,1.0688661502038073*^-87+0.*I,5.1970447069396474*^-89+0.*I,2.5109300576608173*^-90+0.*I,1.2055693750135262*^-91+0.*I,5.752581456069719*^-93+0.*I,2.728217935132184*^-94+0.*I,1.2860948639475684*^-95+0.*I,6.026647644360112*^-97+0.*I,2.8074880061349303*^-98+0.*I,1.3002566527866433*^-99+0.*I,5.987401716738606*^-101+0.*I,2.7414117008925348*^-102+0.*I,1.2481433155829006*^-103+0.*I,5.6511409357813006*^-105+0.*I,2.5445786454502334*^-106+0.*I
-0.0012218926121762034+0.*I,0.013686642787867515+0.*I,-0.08502722059090645+0.*I,0.31030656161484127+0.*I,-0.5815057116109112+0.*I,0.21560776902959247+0.*I,0.5686786249346224+0.*I,0.39278223747835106+0.*I,0.17382762011864802+0.*I,0.05894999222320292+0.*I,0.016563935153424022+0.*I,0.004028354621559298+0.*I,0.000871866833997467+0.*I,0.00017118281054749336+0.*I,0.00003091940238180043+0.*I,5.192486698863778*^-6+0.*I,8.175364223829554*^-7+0.*I,1.2148681776637977*^-7+0.*I,1.713250345161285*^-8+0.*I,2.3033783540026495*^-9+0.*I,2.963733220883667*^-10+0.*I,3.66165192810408*^-11+0.*I,4.3563214599247596*^-12+0.*I,5.003232323733592*^-13+0.*I,5.5593275567902*^-14+0.*I,5.9879659804568215*^-15+0.*I,6.262897665357027*^-16+0.*I,6.370687505236995*^-17+0.*I,6.311347704491775*^-18+0.*I,6.097270126147809*^-19+0.*I,5.750815388898567*^-20+0.*I,5.30107475122661*^-21+0.*I,4.780361960055939*^-22+0.*I,4.220931221738106*^-23+0.*I,3.652287381689107*^-24+0.*I,3.0992942483748127*^-25+0.*I,2.5811318803870516*^-26+0.*I,2.1110286355680986*^-27+0.*I,1.6966116379568288*^-28+0.*I,1.3406815833859376*^-29+0.*I,1.0422178177534788*^-30+0.*I,7.974462908399515*^-32+0.*I,6.008442146284803*^-33+0.*I,4.46000421803917*^-34+0.*I,3.262917553218886*^-35+0.*I,2.3536875646720252*^-36+0.*I,1.674667425755122*^-37+0.*I,1.1757148081722243*^-38+0.*I,8.1473758396788*^-40+0.*I,5.5746450111704*^-41+0.*I,3.7673410029958206*^-42+0.*I,2.5153539623604274*^-43+0.*I,1.6597094002669142*^-44+0.*I,1.0825565047735116*^-45+0.*I,6.9817826863440775*^-47+0.*I,4.4533431003109044*^-48+0.*I,2.8100392828987937*^-49+0.*I,1.7544586137759842*^-50+0.*I,1.0841078335800716*^-51+0.*I,6.631180159233191*^-53+0.*I,4.015919587343976*^-54+0.*I,2.4084550563831505*^-55+0.*I,1.4306448117138417*^-56+0.*I,8.418646174085839*^-58+0.*I,4.908450935784571*^-59+0.*I,2.836027043496884*^-60+0.*I,1.6240875280094895*^-61+0.*I,9.219528015086019*^-63+0.*I,5.188871479458969*^-64+0.*I,2.8957744164316544*^-65+0.*I,1.6026721663860676*^-66+0.*I,8.79774626441408*^-68+0.*I,4.790730001477084*^-69+0.*I,2.58815609430994*^-70+0.*I,1.3873659546794065*^-71+0.*I,7.379978084570811*^-73+0.*I,3.8961234980253946*^-74+0.*I,2.0416092080535381*^-75+0.*I,1.0619938944623615*^-76+0.*I,5.484370922566971*^-78+0.*I,2.812105520137567*^-79+0.*I,1.4317914256615405*^-80+0.*I,7.239580811537115*^-82+0.*I,3.6355793466539605*^-83+0.*I,1.8134279650814052*^-84+0.*I,8.985295002207668*^-86+0.*I,4.422904749332312*^-87+0.*I,2.163031972135773*^-88+0.*I,1.0510765621905026*^-89+0.*I,5.075243449690519*^-91+0.*I,2.435368625735856*^-92+0.*I,1.1614250365705689*^-93+0.*I,5.5051461578743765*^-95+0.*I,2.5937581742524935*^-96+0.*I,1.2147980534796567*^-97+0.*I,5.656176593553918*^-99+0.*I,2.618277631505642*^-100+0.*I,1.2050670509499312*^-101+0.*I,5.514901716418273*^-103+0.*I,2.5097070289084193*^-104+0.*I
0.0002144410324132133+0.*I,-0.002900828822530351+0.*I,0.022824186103474083+0.*I,-0.11458184113834731+0.*I,0.3554179654840494+0.*I,-0.5686786249346224+0.*I,0.11580519208699483+0.*I,0.545310195834816+0.*I,0.4230392732291499+0.*I,0.2025488166949373+0.*I,0.07319715729030767+0.*I,0.021720701679444215+0.*I,0.0055439419103839776+0.*I,0.0012533108046583518+0.*I,0.00025605973558534854+0.*I,0.00004797659105705146+0.*I,8.3358183801894*^-6+0.*I,1.3547980307978337*^-6+0.*I,2.0741460218366599*^-7+0.*I,3.0083272546448323*^-8+0.*I,4.1533610304020136*^-9+0.*I,5.480375493772859*^-10+0.*I,6.935076588318689*^-11+0.*I,8.441392045283813*^-12+0.*I,9.90889895888528*^-13+0.*I,1.1242841602349326*^-13+0.*I,1.2355031908038514*^-14+0.*I,1.3173807245914947*^-15+0.*I,1.365149435749586*^-16+0.*I,1.3768392475331575*^-17+0.*I,1.3532984196777899*^-18+0.*I,1.2978744154399174*^-19+0.*I,1.2158412824634751*^-20+0.*I,1.1136865581860772*^-21+0.*I,9.983728765478284*^-23+0.*I,8.766719742520402*^-24+0.*I,7.5463908435658595*^-25+0.*I,6.372618117184454*^-26+0.*I,5.2828635169608595*^-27+0.*I,4.30199908567746*^-28+0.*I,3.443334136263719*^-29+0.*I,2.710429513968532*^-30+0.*I,2.0992998086510422*^-31+0.*I,1.6006705897393437*^-32+0.*I,1.2020484613693138*^-33+0.*I,8.894560735066492*^-35+0.*I,6.487675503839539*^-36+0.*I,4.66644102939857*^-37+0.*I,3.3111250845494737*^-38+0.*I,2.3185231299706948*^-39+0.*I,1.6026497500210953*^-40+0.*I,1.0939447848704814*^-41+0.*I,7.375873815540874*^-43+0.*I,4.913810955099078*^-44+0.*I,3.235416549760233*^-45+0.*I,2.1060241059702153*^-46+0.*I,1.3555871970247915*^-47+0.*I,8.630332164488005*^-49+0.*I,5.4358075148637325*^-50+0.*I,3.387923534257514*^-51+0.*I,2.089915385777683*^-52+0.*I,1.2762576087667115*^-53+0.*I,7.716992127244339*^-55+0.*I,4.621044381321194*^-56+0.*I,2.7409040405127465*^-57+0.*I,1.610591784129794*^-58+0.*I,9.37753501146511*^-60+0.*I,5.410962093600034*^-61+0.*I,3.094649202083063*^-62+0.*I,1.754549873152307*^-63+0.*I,9.862825875350523*^-65+0.*I,5.49769016896267*^-66+0.*I,3.0392210172127885*^-67+0.*I,1.666500327777813*^-68+0.*I,9.06495734410759*^-70+0.*I,4.892127578874862*^-71+0.*I,2.619715789247171*^-72+0.*I,1.3921503322904875*^-73+0.*I,7.342488788681264*^-75+0.*I,3.8439155919559346*^-76+0.*I,1.9976738926219615*^-77+0.*I,1.0307207632640875*^-78+0.*I,5.280406294049406*^-80+0.*I,2.6862505903095033*^-81+0.*I,1.357126682319583*^-82+0.*I,6.80972578856242*^-84+0.*I,3.394015627910451*^-85+0.*I,1.680395850721713*^-86+0.*I,8.265335483030312*^-88+0.*I,4.039216276011055*^-89+0.*I,1.9613592862650698*^-90+0.*I,9.464015261454122*^-92+0.*I,4.538223496889904*^-93+0.*I,2.1628261879350667*^-94+0.*I,1.024507102298803*^-95+0.*I,4.823891130579199*^-97+0.*I,2.2578755841996183*^-98+0.*I,1.0506367844905972*^-99+0.*I,4.860541901886466*^-101+0.*I,2.235759154288322*^-102+0.*I
-0.000034842502918654336+0.*I,0.0005523794359128195+0.*I,-0.005259045180527971+0.*I,0.033559261003509915+0.*I,-0.14436424690982835+0.*I,0.39278223747835106+0.*I,-0.545310195834816+0.*I,0.027202876214280414+0.*I,0.5142254549845192+0.*I,0.4467711990711371+0.*I,0.23019902406751558+0.*I,0.08822830047411463+0.*I,0.027538291282952005+0.*I,0.0073514806483174315+0.*I,0.0017308444039460056+0.*I,0.0003670378077043198+0.*I,0.00007117937923313341+0.*I,0.000012770306339776842+0.*I,2.1388091810363753*^-6+0.*I,3.368294643038195*^-7+0.*I,5.0175171076225424*^-8+0.*I,7.104786868979868*^-9+0.*I,9.60298580826503*^-10+0.*I,1.2433737636870355*^-10+0.*I,1.546942048803286*^-11+0.*I,1.854338452516027*^-12+0.*I,2.146700123047507*^-13+0.*I,2.405075218920199*^-14+0.*I,2.6125804222292297*^-15+0.*I,2.7562555334906304*^-16+0.*I,2.8283395654609117*^-17+0.*I,2.8268164286844834*^-18+0.*I,2.755217165487251*^-19+0.*I,2.6217887039947843*^-20+0.*I,2.438224010997266*^-21+0.*I,2.218185401933326*^-22+0.*I,1.975843745031137*^-23+0.*I,1.7246124049114037*^-24+0.*I,1.4761914608174252*^-25+0.*I,1.2399705232155064*^-26+0.*I,1.0227797276952885*^-27+0.*I,8.289357870405002*^-29+0.*I,6.605059748347517*^-30+0.*I,5.1770622741779405*^-31+0.*I,3.993562595938141*^-32+0.*I,3.033297180845057*^-33+0.*I,2.2695614450521*^-34+0.*I,1.6735004445506598*^-35+0.*I,1.216581164435678*^-36+0.*I,8.722742035691895*^-38+0.*I,6.170473765396224*^-39+0.*I,4.308107715707838*^-40+0.*I,2.9696065360791956*^-41+0.*I,2.021578339729132*^-42+0.*I,1.3595345610994099*^-43+0.*I,9.034846466011837*^-45+0.*I,5.934710047549417*^-46+0.*I,3.8542392511203654*^-47+0.*I,2.4754017917246527*^-48+0.*I,1.5726190312417183*^-49+0.*I,9.884867406668013*^-51+0.*I,6.148687038571199*^-52+0.*I,3.785725576666982*^-53+0.*I,2.3075893385474615*^-54+0.*I,1.3928190467399742*^-55+0.*I,8.326042629336477*^-57+0.*I,4.9302430678500584*^-58+0.*I,2.892404275035626*^-59+0.*I,1.6814468744368667*^-60+0.*I,9.687479564061956*^-62+0.*I,5.532348691019899*^-63+0.*I,3.132165566742457*^-64+0.*I,1.7582452587689927*^-65+0.*I,9.787569827828505*^-67+0.*I,5.403685935426149*^-68+0.*I,2.959255042893233*^-69+0.*I,1.6077082570545772*^-70+0.*I,8.66599459122092*^-72+0.*I,4.6351955482468556*^-73+0.*I,2.4604060145038395*^-74+0.*I,1.2962348148538516*^-75+0.*I,6.778700630073215*^-77+0.*I,3.5191795474527654*^-78+0.*I,1.8139011482850035*^-79+0.*I,9.283394335763402*^-81+0.*I,4.718060938801656*^-82+0.*I,2.38136123103505*^-83+0.*I,1.1938020306952943*^-84+0.*I,5.944617321847724*^-86+0.*I,2.94061575435281*^-87+0.*I,1.4451492278059702*^-88+0.*I,7.056404289525927*^-90+0.*I,3.42362316791045*^-91+0.*I,1.6506489491991405*^-92+0.*I,7.909033613915485*^-94+0.*I,3.766386845032583*^-95+0.*I,1.7827535378194945*^-96+0.*I,8.387912484273935*^-98+0.*I,3.923225448923749*^-99+0.*I,1.8242708438499917*^-100+0.*I
