0.000028319059145162124+0.*I,0.-0.00012960093279258713*I,-0.00041939421566912797+0.*I,0.+0.001108131028946345*I,0.0025356565391472423+0.*I,0.-0.005189610117377068*I,-0.009695906374809424+0.*I,0.+0.016771376172842318*I,0.02713644880534158+0.*I,0.-0.04139625613764269*I,-0.05990876575042722+0.*I,0.+0.0826653171961297*I,0.10920990273622676+0.*I,0.-0.1386180071777096*I,-0.1695449817710287+0.*I,0.+0.2003404372278435*I,0.22921230722842417+0.*I,0.-0.25441503846899943*I,-0.2744326840195926+0.*I,0.+0.28812990728614035*I,0.2948510294840518+0.*I,0.-0.29445728805381904*I,-0.2873030750462185+0.*I,0.+0.2741609921932377*I,0.2561116588536736+0.*I,0.-0.23441675598296408*I,-0.2103929991007163+0.*I,0.+0.18530140368023615*I,0.1602614250974567+0.*I,0.-0.13619441800891663*I,-0.11379625967602118+0.*I,0.+0.09353549470366716*I,0.07567122510848152+0.*I,0.-0.06028414448887113*I,-0.047314357866796115+0.*I,0.+0.036600602537317*I,0.027916842183281398+0.*I,0.-0.021003648237395634*I,-0.01559309212569411+0.*I,0.+0.011426921609538652*I,0.008268534812401107+0.*I,0.-0.0059097068413698686*I,-0.004173213458478411+0.*I,0.+0.0029124982851600396*I,0.00200941040564018+0.*I,0.-0.0013708555568781235*I,-0.0009250007562702997+0.*I,0.+0.0006174793888807002*I,0.00040787881960999785+0.*I,0.-0.00026666279118560735*I,-0.0001725864617601367+0.*I,0.+0.00011059893475139331*I,0.00007019053926018153+0.*I,0.-0.00004412349963935375*I,-0.00002747909199059022+0.*I,0.+0.000016957051533752767*I,0.00001037016420779578+0.*I,0.-6.2860453855852306*^-6*I,-3.777398663820354*^-6+0.*I,0.+2.2505886449202585*^-6*I,1.3296881701643676*^-6+0.*I,0.-7.791376557067864*^-7*I,-4.528429974118826*^-7+0.*I,0.+2.610998897625459*^-7*I,1.4936402500084584*^-7+0.*I,0.-8.478492430819002*^-8*I,-4.7761282033095646*^-8+0.*I,0.+2.6703481165433703*^-8*I,1.4819813277280955*^-8+0.*I,0.-8.164836514343014*^-9*I,-4.466093181421925*^-9+0.*I,0.+2.4256487507029056*^-9*I,1.3082506858675325*^-9+0.*I,0.-7.00743128664236*^-10*I,-3.727969021429546*^-10+0.*I,0.+1.9700215183015016*^-10*I,1.0341736798729588*^-10+0.*I,0.-5.3935837267112566*^-11*I,-2.7948559599237792*^-11+0.*I,0.+1.4390477059388358*^-11*I,7.363079757481477*^-12+0.*I,0.-3.744090193833169*^-12*I,-1.8922071657856887*^-12+0.*I,0.+9.505149313477634*^-13*I,4.746228111007133*^-13+0.*I,0.-2.355962921649594*^-13*I,-1.1626487590498642*^-13+0.*I,0.+5.704508254684128*^-14*I,2.7829549983795092*^-14+0.*I,0.-1.3500208850406436*^-14*I,-6.5125120406351965*^-15+0.*I,0.+3.1243318053493014*^-15*I,1.490707865827151*^-15+0.*I,0.-7.074249545989322*^-16*I,-3.33922555685514*^-16+0.*I,0.+1.5678815868172558*^-16*I,7.323302102052295*^-17+0.*I,0.-3.4029094259025926*^-17*I,-1.573137409383915*^-17+0.*I,0.+7.23566361343341*^-18*I
0.-0.00012960093279258713*I,-0.0005647939286349456+0.*I,0.+0.0017360558467271671*I,0.004344900988355055+0.*I,0.-0.009388058941283096*I,-0.018080122822956637+0.*I,0.+0.03166099374609604*I,0.05110051086720285+0.*I,0.-0.07675215312633903*I,-0.10803880516481207+0.*I,0.+0.14326338431660085*I,0.17961930281013894+0.*I,0.-0.2134332737668788*I,-0.24061732933012173+0.*I,0.+0.2572540864589903*I,0.26020433808146287+0.*I,0.-0.2476183274418929*I,-0.21925271770255064+0.*I,0.+0.17653755484843*I,0.12238955387824133+0.*I,0.-0.06081669335300768*I,0.003606290303809201+0.*I,0.-0.06629717565948091*I,-0.12317138131281662+0.*I,0.+0.1710252965823727*I,0.20776028633050658+0.*I,0.-0.23244127540624898*I,-0.2452103408683458+0.*I,0.+0.24709347666840925*I,0.23974640253332816+0.*I,0.-0.22518395542695877*I,-0.20552966792829058+0.*I,0.+0.18281061608353996*I,0.15881034851917294+0.*I,0.-0.13498186181622573*I,-0.1124144629264028+0.*I,0.+0.0918434107259076*I,0.07368924614749883+0.*I,0.-0.0581140807286121*I,-0.04508402327463995+0.*I,0.+0.03442961074858042*I,0.02589894136183859+0.*I,0.-0.01920074918545329*I,-0.014036669972073293+0.*I,0.+0.0101233493913202*I,0.007205874421454991+0.*I,0.-0.005064369332915535*I,-0.0035156183345159985+0.*I,0.+0.0024113831583725967*I,0.0016347811627541171+0.*I,0.-0.0010957563025746162*I,-0.0007263626876853518+0.*I,0.+0.00047631633444155796*I,0.00030906557708614403+0.*I,0.-0.0001984833194166578*I,-0.00012618719742706137+0.*I,0.+0.00007943635234458006*I,0.00004952521168138011+0.*I,0.-0.00003058599598964909*I,-0.000018715029407217282+0.*I,0.+0.000011347725058908632*I,6.8195072727709675*^-6+0.*I,0.-4.062519909000136*^-6*I,-2.3994176623199398*^-6+0.*I,0.+1.4052412051577605*^-6*I,8.161967783886333*^-7+0.*I,0.-4.7021856763774945*^-7*I,-2.6873563128945127*^-7+0.*I,0.+1.5238032100668245*^-7*I,8.573659821633114*^-8+0.*I,0.-4.787304367682641*^-8*I,-2.6531094869996362*^-8+0.*I,0.+1.4595160248971585*^-8*I,7.970778549086783*^-9+0.*I,0.-4.321931640563842*^-9*I,-2.3269441649522283*^-9+0.*I,0.+1.2441398917522607*^-9*I,6.606487261875703*^-10+0.*I,0.-3.484430590065561*^-10*I,-1.8255484395602913*^-10+0.*I,0.+9.501552798927376*^-11*I,4.9133053170001934*^-11+0.*I,0.-2.524457554905334*^-11*I,-1.2888837785028817*^-11+0.*I,0.+6.5395227545853925*^-12*I,3.2976100038193765*^-12+0.*I,0.-1.6527490244620424*^-12*I,-8.233822484605495*^-13+0.*I,0.+4.0776959282271453*^-13*I,2.0076033544771357*^-13+0.*I,0.-9.82700006921784*^-14*I,-4.782703780264777*^-14+0.*I,0.+2.3145378721002017*^-14*I,1.113836675043523*^-14+0.*I,0.-5.330557467713811*^-15*I,-2.5371403420684978*^-15+0.*I,0.+1.201056235441924*^-15*I,5.655289522391667*^-16+0.*I,0.-2.6487690236974885*^-16*I,-1.2341149857131302*^-16+0.*I
-0.00041939421566912797+0.*I,0.+0.0017360558467271671*I,0.00505315776744721+0.*I,0.-0.011934061749403261*I,-0.024235546276759154+0.*I,0.+0.04366423376088874*I,0.07114065178802687+0.*I,0.-0.10613116451298331*I,-0.1461722605231656+0.*I,0.+0.18680233561035173*I,0.22202438629285492+0.*I,0.-0.24527340341681186*I,-0.2507036517396435+0.*I,0.+0.23449785550186686*I,0.19587171942600334+0.*I,0.-0.1375131448107539*I,-0.06533459383523138+0.*I,0.-0.012414014315310418*I,-0.0864750013860974+0.*I,0.+0.14806740551857375*I,0.19022430585021288+0.*I,0.-0.20873872104783722*I,-0.20257981182667678+0.*I,0.+0.17376324826783013*I,0.12676706496695392+0.*I,0.-0.06765552439299026*I,-0.003099640424060209+0.*I,0.-0.060532526766240366*I,-0.11788792135196872+0.*I,0.+0.16507421445498202*I,0.19982881941010086+0.*I,0.-0.2214472373189362*I,-0.23053562291637078+0.*I,0.+0.22866308647420935*I,0.21798470700671232+0.*I,0.-0.2008915835040158*I,-0.17972493062735567+0.*I,0.+0.15657186335495923*I,0.13314430213759693+0.*I,0.-0.11073098559361107*I,-0.0902061741681378+0.*I,0.+0.07207659998243224*I,0.05654940561158366+0.*I,0.-0.04360694114718058*I,-0.0330782222190487+0.*I,0.+0.024700741607177754*I,0.018169641824211134+0.*I,0.-0.013173748444104613*I,-0.009419602057547317+0.*I,0.+0.006645515238334438*I,0.0046279910955621785+0.*I,0.-0.0031827570673410538*I,-0.0021623572892444745+0.*I,0.+0.0014518388495114354*I,0.0009636512535022852+0.*I,0.-0.0006325080874965863*I,-0.00041066041921253066+0.*I,0.+0.0002638083511438878*I,0.0001677238230544071+0.*I,0.-0.00010556183685132102*I,-0.00006578470933549578+0.*I,0.+0.00004060163994692435*I,0.00002482291968941441+0.*I,0.-0.000015036217259299448*I,-9.025734770526047*^-6+0.*I,0.+5.3698594178483125*^-6*I,3.1670459328721713*^-6+0.*I,0.-1.851946614921364*^-6*I,-1.0738752387627857*^-6+0.*I,0.+6.175843949854219*^-7*I,3.5230531851965066*^-7+0.*I,0.-1.993808084980334*^-7*I,-1.1195600032446801*^-7+0.*I,0.+6.238321251656751*^-8*I,3.4498395653002004*^-8+0.*I,0.-1.8936226243525434*^-8*I,-1.0318156773441001*^-8+0.*I,0.+5.5817972035307955*^-9*I,2.9981731853237327*^-9+0.*I,0.-1.5991753091878096*^-9*I,-8.471038575300956*^-10+0.*I,0.+4.4567843543672036*^-10*I,2.329125068827171*^-10+0.*I,0.-1.2091796613391504*^-10*I,-6.236703752852733*^-11+0.*I,0.+3.1961264082373073*^-11*I,1.627550765575783*^-11+0.*I,0.-8.236127961237208*^-12*I,-4.1421399414042855*^-12+0.*I,0.+2.0704933456386845*^-12*I,1.028735305455588*^-12+0.*I,0.-5.080970349743829*^-13*I,-2.4947930735860727*^-13+0.*I,0.+1.2178620437763484*^-13*I,5.911088107410884*^-14+0.*I,0.-2.8528036285474726*^-14*I,-1.3691154064963496*^-14+0.*I,0.+6.534312681704003*^-15*I,3.1015495702098123*^-15+0.*I,0.-1.4642092567101397*^-15*I
0.+0.001108131028946345*I,0.004344900988355055+0.*I,0.-0.011934061749403261*I,-0.02647923736770325+0.*I,0.+0.05025533389362836*I,0.0840824773570111+0.*I,0.-0.12621857322536917*I,-0.17175255369163783+0.*I,0.+0.21290754094670167*I,0.2403947487707274+0.*I,0.-0.24558403059099526*I,-0.22292151805289923+0.*I,0.+0.17186694419920295*I,0.09771323352533169+0.*I,0.-0.010962556339964067*I,0.07464274576756978+0.*I,0.-0.14494475187762024*I,-0.18832797646656782+0.*I,0.+0.1980778216372416*I,0.17360241236669346+0.*I,0.-0.12030572556981921*I,-0.04824704086462237+0.*I,0.-0.03000706333803882*I,-0.10179768290125235+0.*I,0.+0.15653043867078922*I,0.1871843376415231+0.*I,0.-0.1909825445713391*I,-0.1692390650893184+0.*I,0.+0.12655568722603389*I,0.06963365077668522+0.*I,0.-0.005980842570123352*I,0.05724786169379582+0.*I,0.-0.11411823025716633*I,-0.16042239363907732+0.*I,0.+0.19383149719556664*I,0.21376012230278962+0.*I,0.-0.22103637647334545*I,-0.21747618656726647+0.*I,0.+0.2054470475806584*I,0.18748318313032303+0.*I,0.-0.1659879958338786*I,-0.14303618508575186+0.*I,0.+0.12027007412196264*I,0.09887354084263249+0.*I,0.-0.07960198944456041*I,-0.06284665478796372+0.*I,0.+0.048714512708980556*I,0.037109596326335016+0.*I,0.-0.02780634979824369*I,-0.020509967184589903+0.*I,0.+0.014902040058270047*I,0.010672157476993342+0.*I,0.-0.007537454562195344*I,-0.005252687619430973+0.*I,0.+0.0036134536951590223*I,0.002454883779231792+0.*I,0.-0.0016476928367999473*I,-0.0010929880411761534+0.*I,0.+0.0007167941127350959*I,0.00046488937147622935+0.*I,0.-0.0002982693298756226*I,-0.00018936129235780114+0.*I,0.+0.00011898994412302669*I,0.00007402394156887347+0.*I,0.-0.000045601351993349696*I,-0.000027824168692296832+0.*I,0.+0.00001681884684249544*I,0.000010073628110208801+0.*I,0.-5.9796167706209*^-6*I,-3.5183319946827154*^-6+0.*I,0.+2.052348522779971*^-6*I,1.187101348673182*^-6+0.*I,0.-6.809503091696642*^-7*I,-3.874357759478544*^-7+0.*I,0.+2.1867735528896226*^-7*I,1.2245833667527113*^-7+0.*I,0.-6.804742704419193*^-8*I,-3.7525809131215386*^-8+0.*I,0.+2.0539865109492376*^-8*I,1.1160059729143829*^-8+0.*I,0.-6.019872558562831*^-9*I,-3.224101088842154*^-9+0.*I,0.+1.7146587096599237*^-9*I,9.056074714218652*^-10+0.*I,0.-4.750504133217054*^-10*I,-2.4752527423631363*^-10+0.*I,0.+1.281211968063367*^-10*I,6.588464386246838*^-11+0.*I,0.-3.366264237487751*^-11*I,-1.709034624698181*^-11+0.*I,0.+8.622415960291089*^-12*I,4.3233290369159674*^-12+0.*I,0.-2.154535204235928*^-12*I,-1.067256271253663*^-12+0.*I,0.+5.255288699948769*^-13*I,2.5725821200397985*^-13+0.*I,0.-1.2520392686356025*^-13*I,-6.058611763463728*^-14+0.*I,0.+2.915173702560711*^-14*I,1.3948285463062555*^-14+0.*I
0.0025356565391472423+0.*I,0.-0.009388058941283096*I,-0.024235546276759154+0.*I,0.+0.05025533389362836*I,0.08851642892599532+0.*I,0.-0.13621271449679545*I,-0.18583730082748642+0.*I,0.+0.2260375387439383*I,0.2442862232948225+0.*I,0.-0.23071670352078527*I,-0.18185480349848399+0.*I,0.+0.1028402357395057*I,0.0071593727435387226+0.*I,0.+0.08624737498250236*I,0.1577198917334515+0.*I,0.-0.19202852606311027*I,-0.18238116007286076+0.*I,0.+0.1321261034718739*I,0.053743266183347425+0.*I,0.+0.03445868862861667*I,0.11289985541645049+0.*I,0.-0.16525481319261767*I,-0.18181234541137203+0.*I,0.+0.16098190657410177*I,0.10882496537352064+0.*I,0.-0.03699436125477076*I,0.04021667344613129+0.*I,0.-0.1089296244987344*I,-0.1581762008758152+0.*I,0.+0.18142394132568895*I,0.17701407453520746+0.*I,0.-0.14764612583213726*I,-0.09920713431233356+0.*I,0.+0.03930336471999682*I,-0.024176954992799628+0.*I,0.+0.08422938624423171*I,0.1354987230832979+0.*I,0.-0.17462077701831746*I,-0.20019692122297134+0.*I,0.+0.2125039158875923*I,0.21305548830183332+0.*I,0.-0.20412146414523719*I,-0.18828485196584738+0.*I,0.+0.16808659594536077*I,0.14577892902608924+0.*I,0.-0.12318570895778967*I,-0.10165345956436256+0.*I,0.+0.08206971614828873*I,0.06492414210047964+0.*I,0.-0.050390741417905276*I,-0.0384144178478881+0.*I,0.+0.028790595821623285*I,0.02123159580590942+0.*I,0.-0.015417401431527648*I,-0.011031200449914728+0.*I,0.+0.007781710911538385*I,0.005415037006295676+0.*I,0.-0.0037188981297269766*I,-0.002521786046623089+0.*I,0.+0.001689127110656898*I,0.001118000536887983+0.*I,0.-0.0007314771416498752*I,-0.0004732400218923038+0.*I,0.+0.0003028430391504755*I,0.00019174947205987327+0.*I,0.-0.0001201568825561865*I,-0.00007453694986210696+0.*I,0.+0.000045783338579947314*I,0.000027851905716495843+0.*I,0.-0.000016784467606379352*I,-0.000010021997175931335+0.*I,0.+5.93033937744739*^-6*I,3.478274861617856*^-6+0.*I,0.-2.0224795734032356*^-6*I,-1.1660406170917133*^-6+0.*I,0.+6.666881196882944*^-7*I,3.780754808803704*^-7+0.*I,0.-2.1268926422342216*^-7*I,-1.1870959013387434*^-7+0.*I,0.+6.57443951284989*^-8*I,3.613446293512136*^-8+0.*I,0.-1.9711947862324282*^-8*I,-1.0674208331113304*^-8+0.*I,0.+5.738405695108561*^-9*I,3.062991091504013*^-9+0.*I,0.-1.623479918985679*^-9*I,-8.545569601781329*^-10+0.*I,0.+4.4675839140486347*^-10*I,2.319985683009959*^-10+0.*I,0.-1.1967975629370961*^-10*I,-6.133657587566264*^-11+0.*I,0.+3.123354006653653*^-11*I,1.580388972256099*^-11+0.*I,0.-7.94666676021481*^-12*I,-3.97118681054992*^-12+0.*I,0.+1.972445443976297*^-12*I,9.738075616551421*^-13+0.*I,0.-4.779229801922496*^-13*I,-2.3318015907080177*^-13+0.*I,0.+1.1311120205702218*^-13*I
0.-0.005189610117377068*I,-0.018080122822956637+0.*I,0.+0.04366423376088874*I,0.0840824773570111+0.*I,0.-0.13621271449679545*I,-0.19026378848692577+0.*I,0.+0.23113099384109426*I,0.2427348411160633+0.*I,0.-0.21405184971018265*I,-0.1444527686120333+0.*I,0.+0.04591106359161139*I,-0.05925594394780859+0.*I,0.+0.14466665345444546*I,0.18806262629465145+0.*I,0.-0.1784784930878294*I,-0.11983697296935764+0.*I,0.+0.02975995394068068*I,-0.06587790169353797+0.*I,0.+0.14069781588512906*I,0.17528990537043335+0.*I,0.-0.16214949748466823*I,-0.10684347592616224+0.*I,0.+0.025465437229452114*I,-0.06046986948832159+0.*I,0.+0.12996669920714957*I,0.1676253843933971+0.*I,0.-0.16666971522423554*I,-0.12948608417423704+0.*I,0.+0.06595732212442236*I,-0.009626807353049804+0.*I,0.+0.08210962306395551*I,0.13858104330113585+0.*I,0.-0.170475815942208*I,-0.17442737708068987+0.*I,0.+0.15197248344796893*I,0.10842215070557633+0.*I,0.-0.051307764433342506*I,0.01120816742733184+0.*I,0.-0.07166254803742231*I,-0.12419770745423771+0.*I,0.+0.1650010969035532*I,0.1923321797610002+0.*I,0.-0.2062463723456817*I,-0.20814456821220473+0.*I,0.+0.20026648036394942*I,0.18521833505060875+0.*I,0.-0.16559135475089798*I,-0.1436953404688685+0.*I,0.+0.12140649789236832*I,0.10011233011220186+0.*I,0.-0.0807285163572442*I,-0.06376144079571673+0.*I,0.+0.049393163615380764*I,0.03757099051463158+0.*I,0.-0.028089707170741926*I,-0.02065988766097481+0.*I,0.+0.014959881844791013*I,0.010671973673544654+0.*I,0.-0.007504888594855813*I,-0.005205561775534494+0.*I,0.+0.0035631483344074812*I,0.002407927805017484+0.*I,0.-0.0016072385069606844*I,-0.001060020695085666+0.*I,0.+0.0006910394832979251*I,0.0004454430594283661+0.*I,0.-0.0002840003305766552*I,-0.00017914741015222113+0.*I,0.+0.00011183741220265017*I,0.00006911324967104094+0.*I,0.-0.000042290172448288264*I,-0.000025628429728868303+0.*I,0.+0.00001538523254967753*I,9.151154857499436*^-6+0.*I,0.-5.394153258218649*^-6*I,-3.151576373502285*^-6+0.*I,0.+1.82543932348246*^-6*I,1.048374114615611*^-6+0.*I,0.-5.970978961102281*^-7*I,-3.3730529730934864*^-7+0.*I,0.+1.8902285851636327*^-7*I,1.0509488238975427*^-7+0.*I,0.-5.798089973321845*^-8*I,-3.174550353929318*^-8+0.*I,0.+1.7251583072874824*^-8*I,9.306335078771281*^-9+0.*I,0.-4.9840573040466505*^-9*I,-2.650280114630894*^-9+0.*I,0.+1.3994359533032434*^-9*I,7.33860049914941*^-10+0.*I,0.-3.822234909411104*^-10*I,-1.9774654418520076*^-10+0.*I,0.+1.016318760508176*^-10*I,5.189449615874425*^-11+0.*I,0.-2.6328282953727683*^-11*I,-1.3273089787531774*^-11+0.*I,0.+6.649776332428905*^-12*I,3.3110346853421872*^-12+0.*I,0.-1.6386162598795092*^-12*I,-8.060867776872139*^-13+0.*I
-0.009695906374809424+0.*I,0.+0.03166099374609604*I,0.07114065178802687+0.*I,0.-0.12621857322536917*I,-0.18583730082748642+0.*I,0.+0.23113099384109426*I,0.24156527495196017+0.*I,0.-0.20385887771485456*I,-0.1196335274396472+0.*I,0.+0.0077265946071739785*I,-0.10071068632716323+0.*I,0.+0.17287355575160093*I,0.1864845477237394+0.*I,0.-0.13841957473115152*I,-0.04618638856192983+0.*I,0.-0.058304215458424485*I,-0.1400915305837768+0.*I,0.+0.17317515374722423*I,0.14876613457160429+0.*I,0.-0.07712586162559844*I,0.01708528119947219+0.*I,0.-0.10373501781407372*I,-0.1570118296129693+0.*I,0.+0.16283622120504593*I,0.12188099685012484+0.*I,0.-0.04788618854735609*I,0.037545966715380706+0.*I,0.-0.11163706941300806*I,-0.15649184147364276+0.*I,0.+0.16299219578572952*I,0.13188170970402413+0.*I,0.-0.0722775170845036*I,0.0015340602965098096+0.*I,0.-0.0739132547365152*I,-0.13128539818005713+0.*I,0.+0.1644800179938466*I,0.16971908971650285+0.*I,0.-0.14835197207608883*I,-0.10568271463176536+0.*I,0.+0.04933798770762429*I,-0.012400535458123316+0.*I,0.+0.07198345436698927*I,0.12352674829208132+0.*I,0.-0.16325172066184218*I,-0.18949420083115245+0.*I,0.+0.20240329701266319*I,0.2034669842970411+0.*I,0.-0.1949882450903006*I,-0.17960434724833862+0.*I,0.+0.15990505619967074*I,0.13817186199900844+0.*I,0.-0.1162346091757051*I,-0.09542584979532302+0.*I,0.+0.07660602307553609*I,0.0602321175561606+0.*I,0.-0.04644631557148056*I,-0.035166997257666414+0.*I,0.+0.026170679662780146*I,0.019158903014507674+0.*I,0.-0.013808230037243107*I,-0.009804293339040072+0.*I,0.+0.006862368837032695*I,0.004737552365033966+0.*I,0.-0.0032275791070024568*I,-0.0021709230149772798+0.*I,0.+0.0014422545772373846*I,0.0009467610408131022+0.*I,0.-0.000614324933598456*I,-0.00039415081348886645+0.*I,0.+0.00025013273122761874*I,0.0001570546738473435+0.*I,0.-0.00009759417955211397*I,-0.00006003478704948972+0.*I,0.+0.000036567462971700816*I,0.000022059739128377304+0.*I,0.-0.000013183025774467036*I,-7.806018727650057*^-6+0.*I,0.+4.5806792653926155*^-6*I,2.6643904717733107*^-6+0.*I,0.-1.5364258171552348*^-6*I,-8.785076467878649*^-7+0.*I,0.+4.981623654034557*^-7*I,2.801920653522626*^-7+0.*I,0.-1.563383686929102*^-7*I,-8.65491406171781*^-8+0.*I,0.+4.754529097487258*^-8*I,2.5921350161363677*^-8+0.*I,0.-1.4027125865954383*^-8*I,-7.535191357522198*^-9+0.*I,0.+4.01870391937998*^-9*I,2.1281079819589036*^-9+0.*I,0.-1.119090755157747*^-9*I,-5.844500468037813*^-10+0.*I,0.+3.031690310876542*^-10*I,1.5621440170830938*^-10+0.*I,0.-7.996467280636851*^-11*I,-4.066837983870195*^-11+0.*I,0.+2.0551176653891974*^-11*I,1.0319910786925535*^-11+0.*I,0.-5.150054276664047*^-12*I
0.+0.016771376172842318*I,0.05110051086720285+0.*I,0.-0.10613116451298331*I,-0.17175255369163783+0.*I,0.+0.2260375387439383*I,0.2427348411160633+0.*I,0.-0.20385887771485456*I,-0.11105714033992471+0.*I,0.-0.01099966770003047*I,-0.12228668637399695+0.*I,0.+0.1834381322010513*I,0.17277840476882045+0.*I,0.-0.09622476353771556*I,0.014706024219346327+0.*I,0.-0.11586449578350702*I,-0.16846095779990686+0.*I,0.+0.1541739335701803*I,0.08123073439412296+0.*I,0.+0.020371627317581208*I,0.11168601550650774+0.*I,0.-0.15991955764366866*I,-0.14984181079560194+0.*I,0.+0.08768677242352203*I,-0.002944136756196975+0.*I,0.+0.09069192060460049*I,0.1475028812629834+0.*I,0.-0.1572332512563614*I,-0.11936404878642604+0.*I,0.+0.047415721397273604*I,-0.03658987818062242+0.*I,0.+0.10930511826493955*I,0.15251297168733408+0.*I,0.-0.15718935397419728*I,-0.12451973978399473+0.*I,0.+0.06419244178991595*I,-0.009055763341702756+0.*I,0.+0.07943608786981575*I,0.13358573083922093+0.*I,0.-0.1628462438603303*I,-0.16411036122148848+0.*I,0.+0.13939002431817824*I,0.09450130602679806+0.*I,0.-0.037346157946970965*I,0.02377574733144368+0.*I,0.-0.08151843418998027*I,-0.13035084796784324+0.*I,0.+0.16691221644453544*I,0.18994385776579084+0.*I,0.-0.1999306454787035*I,-0.1985946103060627+0.*I,0.+0.18836314062591974*I,0.17189894898023145+0.*I,0.-0.15174044004926662*I,-0.13006761626491609+0.*I,0.+0.10858441471633999*I,0.08849426282372476+0.*I,0.-0.0705403328468551*I,-0.05508304503314055+0.*I,0.+0.04219220380570516*I,0.031737513121614366+0.*I,0.-0.023467500895412188*I,-0.01707214450533126+0.*I,0.+0.012228339601354263*I,0.008629791374391122+0.*I,0.-0.006004154198254254*I,-0.004120616326391924+0.*I,0.+0.002790935467929965*I,0.0018664422312888518+0.*I,0.-0.0012329349495735474*I,-0.0008048152765854053+0.*I,0.+0.0005193257353590078*I,0.0003313730644810304+0.*I,0.-0.00020915325654654235*I,-0.00013062000673478953+0.*I,0.+0.00008073690851534829*I,0.00004940426741687769+0.*I,0.-0.00002993593970295543*I,-0.000017966260956871655+0.*I,0.+0.00001068203105877816*I,6.293197340654711*^-6+0.*I,0.-3.6744793442900077*^-6*I,-2.126711822678682*^-6+0.*I,0.+1.2203586035755744*^-6*I,6.94394632627701*^-7+0.*I,0.-3.918646717446599*^-7*I,-2.1935346200802016*^-7+0.*I,0.+1.2181377957823988*^-7*I,6.712034163728651*^-8+0.*I,0.-3.670096698426032*^-8*I,-1.991700072055423*^-8+0.*I,0.+1.0728740781561055*^-8*I,5.737268820404197*^-9+0.*I,0.-3.046103157515633*^-9*I,-1.6058925643168056*^-9+0.*I,0.+8.40753414667561*^-10*I,4.3716687298564966*^-10+0.*I,0.-2.2578596982752107*^-10*I,-1.1584064220146615*^-10+0.*I,0.+5.904472171562775*^-11*I,2.990183464283049*^-11+0.*I
0.02713644880534158+0.*I,0.-0.07675215312633903*I,-0.1461722605231656+0.*I,0.+0.21290754094670167*I,0.2442862232948225+0.*I,0.-0.21405184971018265*I,-0.1196335274396472+0.*I,0.-0.01099966770003047*I,-0.12885484020315893+0.*I,0.+0.18619558975470166*I,0.16008618728925544+0.*I,0.-0.06445891330055296*I,0.05591571986585492+0.*I,0.-0.1464576514882114*I,-0.16801701470260627+0.*I,0.+0.11391947254540354*I,0.011216982466096013+0.*I,0.+0.09331211519206656*I,0.1548078344918042+0.*I,0.-0.14931559863967012*I,-0.08216220164310284+0.*I,0.-0.016652010902334553*I,-0.10660544088664889+0.*I,0.+0.15344383327949965*I,0.1416420914749494+0.*I,0.-0.07834066688483332*I,0.011507805040571197+0.*I,0.-0.09572231867327323*I,-0.1465900263222647+0.*I,0.+0.14948005696375094*I,0.10600204724848852+0.*I,0.-0.031601941052186396*I,0.05069017432950691+0.*I,0.-0.11777745929716014*I,-0.152839262827315+0.*I,0.+0.1489205457632791*I,0.1093191304968552+0.*I,0.-0.045310830671551575*I,0.02765461147894335+0.*I,0.-0.0940206627164371*I,-0.14142585419667145+0.*I,0.+0.16265243486053865*I,0.15610280406646374+0.*I,0.-0.12505317785910655*I,-0.07613951681936847+0.*I,0.+0.017572544283483114*I,-0.04250278241168192+0.*I,0.+0.09723523133339826*I,0.1417734296557796+0.*I,0.-0.17347273526068382*I,-0.19171089675711342+0.*I,0.+0.19745740583829446*I,0.1927387389562565+0.*I,0.-0.18011365027420914*I,-0.1622336519245232+0.*I,0.+0.1415251091438032*I,0.11999803010776804+0.*I,0.-0.09916560711687218*I,-0.08004774094364546+0.*I,0.+0.06322918053117169*I,0.04894583607790762+0.*I,0.-0.03717865642820988*I,-0.027741121355667135+0.*I,0.+0.020352504104317708*I,0.014693884858969662+0.*I,0.-0.010447226467536536*I,-0.0073197754606497975+0.*I,0.+0.0050569096119433546*I,0.003446652060420208+0.*I,0.-0.0023187180544644846*I,-0.0015403954394432819+0.*I,0.+0.0010109513158565557*I,0.0006557047079379457+0.*I,0.-0.0004204561121159939*I,-0.000266631179942646+0.*I,0.+0.00016726811508426106*I,0.00010383718206554233+0.*I,0.-0.00006380401231193455*I,-0.00003881587493847721+0.*I,0.+0.00002338523290227765*I,0.000013955450436362825+0.*I,0.-8.251056024672297*^-6*I,-4.8342334361536475*^-6+0.*I,0.+2.8072596724113125*^-6*I,1.6160502774843148*^-6+0.*I,0.-9.224039170728959*^-7*I,-5.221010953256579*^-7+0.*I,0.+2.931063655574573*^-7*I,1.6323003191760926*^-7+0.*I,0.-9.018685583363241*^-8*I,-4.9444317019797914*^-8+0.*I,0.+2.690163172616643*^-8*I,1.4527364485146755*^-8+0.*I,0.-7.787458236108683*^-9*I,-4.144365193164056*^-9+0.*I,0.+2.189901073482729*^-9*I,1.149063896037113*^-9+0.*I,0.-5.987760033033552*^-10*I,-3.099066129695425*^-10+0.*I,0.+1.5932640580580174*^-10*I
