0.22486467313525885+0.*I,0.388470434118984+0.*I,0.4745475243419196+0.*I,0.47332105483709797+0.*I,0.4088486490263904+0.*I,0.3158743082604813+0.*I,0.22277959888284124+0.*I,0.1454665492489222+0.*I,0.08884947830996921+0.*I,0.05116469227035574+0.*I,0.027951627846943584+0.*I,0.014559534900774607+0.*I,0.007260952869503175+0.*I,0.003479034060611704+0.*I,0.0016063175405849795+0.*I,0.0007165104210554996+0.*I,0.00030945625032747907+0.*I,0.0001296616480045736+0.*I,0.00005279733767659822+0.*I,0.000020925312965458386+0.*I,8.08339317475839*^-6+0.*I,3.0473391762307786*^-6+0.*I,1.1223962151228894*^-6+0.*I,4.043142185808883*^-7+0.*I,1.4257721676402153*^-7+0.*I,4.926254757542996*^-8+0.*I,1.6690407196247336*^-8+0.*I,5.549090262872823*^-9+0.*I,1.8116717510462225*^-9+0.*I,5.811888215334189*^-10+0.*I,1.833130419180838*^-10+0.*I,5.6878646896604164*^-11+0.*I,1.7370447466559537*^-11+0.*I,5.223850929169779*^-12+0.*I,1.5477045367632914*^-12+0.*I,4.519503972415956*^-13+0.*I,1.301296498087414*^-13+0.*I,3.6958312900717364*^-14+0.*I,1.0357550959070372*^-14+0.*I,2.8652433561954932*^-15+0.*I,7.826512036866683*^-16+0.*I,2.1116068790113073*^-16+0.*I,5.628921108924698*^-17+0.*I,1.4829539772895856*^-17+0.*I,3.862229474937542*^-18+0.*I,9.946460355964073*^-19+0.*I,2.5335319129581125*^-19+0.*I,6.384313270365067*^-20+0.*I,1.591953248376045*^-20+0.*I,3.928882208327598*^-21+0.*I,9.59888404182563*^-22+0.*I,2.322054433348954*^-22+0.*I,5.562979549244804*^-23+0.*I,1.3200982872068468*^-23+0.*I,3.103459817391942*^-24+0.*I,7.229387783827022*^-25+0.*I,1.668953537467004*^-25+0.*I,3.8189463522513484*^-26+0.*I,8.662959813283631*^-27+0.*I,1.948395118939996*^-27+0.*I,4.345483915172092*^-28+0.*I,9.611916031491035*^-29+0.*I,2.1088751166218725*^-29+0.*I,4.590049052220899*^-30+0.*I,9.912063570736572*^-31+0.*I,2.1239492693379708*^-31+0.*I,4.516571716744839*^-32+0.*I,9.532531482025493*^-33+0.*I,1.9970573228152846*^-33+0.*I,4.153390110706765*^-34+0.*I,8.576111988576908*^-35+0.*I,1.7583203729328276*^-35+0.*I,3.5798802460887085*^-36+0.*I,7.238420482464761*^-37+0.*I,1.4536661813267029*^-37+0.*I,2.8998183534124506*^-38+0.*I,5.746464619089203*^-39+0.*I,1.1313373196140506*^-39+0.*I,2.2130006992494595*^-40+0.*I,4.3013496241440035*^-41+0.*I,8.308000040775681*^-42+0.*I,1.59474305516063*^-42+0.*I,3.0424295624674814*^-43+0.*I,5.769234941317075*^-44+0.*I,1.0874650826371684*^-44+0.*I,2.0377110345838325*^-45+0.*I,3.7960341484979105*^-46+0.*I,7.03084013659275*^-47+0.*I,1.2947998076483638*^-47+0.*I,2.3710699248762196*^-48+0.*I,4.3177733966111246*^-49+0.*I,7.819444274563406*^-50+0.*I,1.4083763197921819*^-50+0.*I,2.5229809945497834*^-51+0.*I,4.495590980401085*^-52+0.*I,7.968227545307901*^-53+0.*I,1.4049564098190618*^-53+0.*I,2.464414309776326*^-54+0.*I,4.3006829089632876*^-55+0.*I,7.467179043869043*^-56+0.*I
-0.388470434118984+0.*I,-0.44624687177966027+0.*I,-0.27043595875791726+0.*I,0.004243124713452572+0.*I,0.24032568405803684+0.*I,0.36851702936709196+0.*I,0.38886256470140274+0.*I,0.33811514135125614+0.*I,0.2579474568278119+0.*I,0.17815762662417722+0.*I,0.11350844896798196+0.*I,0.06755238328527634+0.*I,0.03789187267080663+0.*I,0.020169447988486796+0.*I,0.010242320563593907+0.*I,0.004983416082096563+0.*I,0.0023314330139074823+0.*I,0.0010519206736094636+0.*I,0.00045889645880475117+0.*I,0.0001939882261650487+0.*I,0.00007961618203916306+0.*I,0.00003177825619924106+0.*I,0.000012354264822926484+0.*I,4.684340290097131*^-6+0.*I,1.734414324673418*^-6+0.*I,6.277813718366336*^-7+0.*I,2.2235677256316558*^-7+0.*I,7.713943396764203*^-8+0.*I,2.623322808840135*^-8+0.*I,8.75210407437968*^-9+0.*I,2.866615374040068*^-9+0.*I,9.223817324666796*^-10+0.*I,2.917454764836388*^-10+0.*I,9.076103296874887*^-11+0.*I,2.7786248865747192*^-11+0.*I,8.375565621304365*^-12+0.*I,2.4868937425540544*^-12+0.*I,7.276995257688824*^-13+0.*I,2.0993290254692634*^-13+0.*I,5.973296417345925*^-14+0.*I,1.6769301993792965*^-14+0.*I,4.646617110594762*^-15+0.*I,1.2712338685802062*^-15+0.*I,3.4349390925395854*^-16+0.*I,9.169575003326221*^-17+0.*I,2.419029800634496*^-17+0.*I,6.308331163398368*^-18+0.*I,1.6266082150549469*^-18+0.*I,4.1481602277005243*^-19+0.*I,1.0464929138852398*^-19+0.*I,2.6123113965622294*^-20+0.*I,6.453822177674785*^-21+0.*I,1.578352658816439*^-21+0.*I,3.821853453337034*^-22+0.*I,9.164555894485865*^-23+0.*I,2.176694353617499*^-23+0.*I,5.1216543138751864*^-24+0.*I,1.19405715244036*^-24+0.*I,2.7587638233911277*^-25+0.*I,6.317545956682616*^-26+0.*I,1.4341489054274763*^-26+0.*I,3.2278784412771793*^-27+0.*I,7.204106402697186*^-28+0.*I,1.5945712228362463*^-28+0.*I,3.500800977239572*^-29+0.*I,7.624433111638781*^-30+0.*I,1.6474774103706363*^-30+0.*I,3.5322917164541117*^-31+0.*I,7.51572034192728*^-32+0.*I,1.5871275004920502*^-32+0.*I,3.3268167721147476*^-33+0.*I,6.922597496986855*^-34+0.*I,1.4301392193267504*^-34+0.*I,2.9336019298222633*^-35+0.*I,5.9755931049370736*^-36+0.*I,1.2088153245367552*^-36+0.*I,2.428728584532452*^-37+0.*I,4.847055308863779*^-38+0.*I,9.6093883488214*^-39+0.*I,1.8926490346654593*^-39+0.*I,3.7037171868671116*^-40+0.*I,7.20169632226037*^-41+0.*I,1.3915410243495399*^-41+0.*I,2.6721174236725372*^-42+0.*I,5.099723489369201*^-43+0.*I,9.673902950236667*^-44+0.*I,1.8241161628635642*^-44+0.*I,3.41924195167865*^-45+0.*I,6.37182638695415*^-46+0.*I,1.1805497004531956*^-46+0.*I,2.1748016919719566*^-47+0.*I,3.9838065948394984*^-48+0.*I,7.256839993467025*^-49+0.*I,1.3146025651271169*^-49+0.*I,2.3684561544079083*^-50+0.*I,4.24410302183832*^-51+0.*I,7.564519995140623*^-52+0.*I,1.3411470011217315*^-52+0.*I,2.3653482047416293*^-53+0.*I,4.150124398028128*^-54+0.*I
0.4745475243419196+0.*I,0.27043595875791726+0.*I,-0.11588784455367668+0.*I,-0.33639836775641196+0.*I,-0.28757624795746+0.*I,-0.07018458292006652+0.*I,0.16326367528971006+0.*I,0.3144607135815286+0.*I,0.3611269536022085+0.*I,0.32955548068702717+0.*I,0.2597129678500165+0.*I,0.18368030137354097+0.*I,0.1191809345338995+0.*I,0.07196711459427334+0.*I,0.04085153447668306+0.*I,0.021962111070851546+0.*I,0.011247198411080406+0.*I,0.005512232129223969+0.*I,0.002595183507436658+0.*I,0.0011774418351304234+0.*I,0.0005161871369288647+0.*I,0.0002191662488142806+0.*I,0.0000903048354792164+0.*I,0.000036173056226271375+0.*I,0.000014108305755955537+0.*I,5.365195788344246*^-6+0.*I,1.9918714476455787*^-6+0.*I,7.227589981461679*^-7+0.*I,2.5658335888234675*^-7+0.*I,8.920176543103786*^-8+0.*I,3.0394954707223125*^-8+0.*I,1.0159113384468142*^-8+0.*I,3.333136632321281*^-9+0.*I,1.0742039090687044*^-9+0.*I,3.402742132187469*^-10+0.*I,1.060067991804391*^-10+0.*I,3.2496577031728353*^-11+0.*I,9.807591605558562*^-12+0.*I,2.9155189609002225*^-12+0.*I,8.540700312545073*^-13+0.*I,2.466489009893113*^-13+0.*I,7.025003175134038*^-14+0.*I,1.9740561382672604*^-14+0.*I,5.474863834953451*^-15+0.*I,1.4991155955529235*^-15+0.*I,4.054007602975828*^-16+0.*I,1.0830646561672827*^-16+0.*I,2.859373864095021*^-17+0.*I,7.461989520870231*^-18+0.*I,1.9253971279426267*^-18+0.*I,4.91334996065037*^-19+0.*I,1.2403140228757334*^-19+0.*I,3.0980081946419386*^-20+0.*I,7.658197814974364*^-21+0.*I,1.8739409706688874*^-21+0.*I,4.540033132653998*^-22+0.*I,1.089233308067899*^-22+0.*I,2.5883516187884336*^-23+0.*I,6.093189617805578*^-24+0.*I,1.4212184447967562*^-24+0.*I,3.28506973617704*^-25+0.*I,7.526035188481602*^-26+0.*I,1.709202767264753*^-26+0.*I,3.848505136477157*^-27+0.*I,8.592606322175735*^-28+0.*I,1.9026251082107924*^-28+0.*I,4.178650899889612*^-29+0.*I,9.103967381704566*^-30+0.*I,1.9678518076499164*^-30+0.*I,4.2206059126875034*^-31+0.*I,8.983175797103081*^-32+0.*I,1.897614825615101*^-32+0.*I,3.978855620858618*^-33+0.*I,8.281856165740837*^-34+0.*I,1.7114437685084655*^-34+0.*I,3.511622100660186*^-35+0.*I,7.154949605042493*^-36+0.*I,1.4477758207231379*^-36+0.*I,2.909598750651945*^-37+0.*I,5.808204800024043*^-38+0.*I,1.1517725017393815*^-38+0.*I,2.2690567376124925*^-39+0.*I,4.441347826264373*^-40+0.*I,8.637955579471808*^-41+0.*I,1.6694328364052618*^-41+0.*I,3.206438547075449*^-42+0.*I,6.120772094946234*^-43+0.*I,1.1613184788291*^-43+0.*I,2.1902315983841618*^-44+0.*I,4.106324823481514*^-45+0.*I,7.65369882357124*^-46+0.*I,1.4183185786600235*^-46+0.*I,2.613301020748751*^-47+0.*I,4.7879159625048613*^-48+0.*I,8.723135371370953*^-49+0.*I,1.5805006618846327*^-49+0.*I,2.8479941999148543*^-50+0.*I,5.1042468108802424*^-51+0.*I,9.09908291667462*^-52+0.*I,1.6134729050724328*^-52+0.*I
-0.47332105483709797+0.*I,0.004243124713452572+0.*I,0.33639836775641196+0.*I,0.21964110060887146+0.*I,-0.10160637007908274+0.*I,-0.3012561490470649+0.*I,-0.26209770886463574+0.*I,-0.06425860550363882+0.*I,0.1533185750470176+0.*I,0.2967864880662049+0.*I,0.34264149683614564+0.*I,0.3141068922290607+0.*I,0.24848769169716214+0.*I,0.17631378383379978+0.*I,0.11472078260314537+0.*I,0.069441458146346+0.*I,0.03950119296197603+0.*I,0.021275701742753644+0.*I,0.010913679812522606+0.*I,0.005356669870266661+0.*I,0.0025252886960053424+0.*I,0.0011471029812995803+0.*I,0.000503433565095595+0.*I,0.00021396320025592443+0.*I,0.00008824101061808508+0.*I,0.000035375841206369765+0.*I,0.000013807985284667305+0.*I,5.254723317596406*^-6+0.*I,1.9521449937243847*^-6+0.*I,7.087788591369679*^-7+0.*I,2.5176435121484226*^-7+0.*I,8.757325223886741*^-8+0.*I,2.9855003244037256*^-8+0.*I,9.983335958565625*^-9+0.*I,3.276914454658468*^-9+0.*I,1.0565248789704437*^-9+0.*I,3.348057347259518*^-10+0.*I,1.0434198406419429*^-10+0.*I,3.199749055213329*^-11+0.*I,9.66019042342482*^-12+0.*I,2.8726113758858137*^-12+0.*I,8.417544098963813*^-13+0.*I,2.4316200838113764*^-13+0.*I,6.927584515833291*^-14+0.*I,1.947189106065227*^-14+0.*I,5.4016967348037535*^-15+0.*I,1.4794336587478448*^-15+0.*I,4.0016950295296664*^-16+0.*I,1.0693225057730549*^-16+0.*I,2.823685067668092*^-17+0.*I,7.370335720177142*^-18+0.*I,1.9021152435834966*^-18+0.*I,4.854838921848941*^-19+0.*I,1.2257625132074254*^-19+0.*I,3.062188387522731*^-20+0.*I,7.570905928641125*^-21+0.*I,1.8528766815302248*^-21+0.*I,4.489691714182527*^-22+0.*I,1.0773156755037052*^-22+0.*I,2.5603993165691936*^-23+0.*I,6.028224160528352*^-24+0.*I,1.4062541483073636*^-24+0.*I,3.2509026458571682*^-25+0.*I,7.448695192681718*^-26+0.*I,1.6918443941654188*^-26+0.*I,3.8098697993597785*^-27+0.*I,8.507317676181236*^-28+0.*I,1.8839489904291587*^-28+0.*I,4.1380788426090274*^-29+0.*I,9.016515957934938*^-30+0.*I,1.9491467584094675*^-30+0.*I,4.180900107106661*^-31+0.*I,8.899518876541738*^-32+0.*I,1.8801183535408292*^-32+0.*I,3.942527202702173*^-33+0.*I,8.206964212265032*^-34+0.*I,1.6961131211189064*^-34+0.*I,3.4804572354161203*^-35+0.*I,7.092029272782777*^-36+0.*I,1.4351581789334426*^-36+0.*I,2.8844644873563618*^-37+0.*I,5.75846623995562*^-38+0.*I,1.1419934524529196*^-38+0.*I,2.2499532451171904*^-39+0.*I,4.404264641639414*^-40+0.*I,8.566419703483279*^-41+0.*I,1.6557181130218076*^-41+0.*I,3.1803049430469136*^-42+0.*I,6.071273520858104*^-43+0.*I,1.1519988534140076*^-43+0.*I,2.172787556104981*^-44+0.*I,4.073863328847297*^-45+0.*I,7.593637940171962*^-46+0.*I,1.4072690134743465*^-46+0.*I,2.593086812548388*^-47+0.*I,4.7511408900668027*^-48+0.*I,8.656598530474154*^-49+0.*I,1.5685275054720295*^-49+0.*I,2.8265643854115197*^-50+0.*I,5.0660948961388773*^-51+0.*I
0.4088486490263904+0.*I,-0.24032568405803684+0.*I,-0.28757624795746+0.*I,0.10160637007908274+0.*I,0.30740737830722087+0.*I,0.14662181775074068+0.*I,-0.14256528832525261+0.*I,-0.2912169201692411+0.*I,-0.22331000769093953+0.*I,-0.026382494643915556+0.*I,0.1732913155819623+0.*I,0.29688514139489275+0.*I,0.32940861920950276+0.*I,0.295669974521837+0.*I,0.23075854700770504+0.*I,0.16217320042707256+0.*I,0.104762293065836+0.*I,0.06305611750613042+0.*I,0.0357054824561326+0.*I,0.01915879105609475+0.*I,0.009796566015770936+0.*I,0.004795310475781472+0.*I,0.0022553355021154627+0.*I,0.0010223726159122278+0.*I,0.000447879212533043+0.*I,0.00019004532918923556+0.*I,0.00007826389193656275+0.*I,0.00003133523557148461+0.*I,0.000012216453329660189+0.*I,4.644077182559813*^-6+0.*I,1.723600033607458*^-6+0.*I,6.252376405485652*^-7+0.*I,2.2190619361481864*^-7+0.*I,7.712849082376423*^-8+0.*I,2.6275619236728686*^-8+0.*I,8.780631054962174*^-9+0.*I,2.8803737426555246*^-9+0.*I,9.281426231306315*^-10+0.*I,2.9396457238758076*^-10+0.*I,9.156778378929007*^-11+0.*I,2.806687955105427*^-11+0.*I,8.469747112932142*^-12+0.*I,2.5175558108598426*^-12+0.*I,7.374203752590344*^-13+0.*I,2.1294241597461654*^-13+0.*I,6.064479181937971*^-14+0.*I,1.704012906579297*^-14+0.*I,4.725581806408485*^-15+0.*I,1.2938611166277256*^-15+0.*I,3.4987224800894524*^-16+0.*I,9.346594161508109*^-17+0.*I,2.4674339798552544*^-17+0.*I,6.438819290843293*^-18+0.*I,1.6613082504602146*^-18+0.*I,4.239231154172789*^-19+0.*I,1.0700933311420089*^-19+0.*I,2.672724500864021*^-20+0.*I,6.606642282420268*^-21+0.*I,1.6165665259070954*^-21+0.*I,3.916345354969687*^-22+0.*I,9.395673650857601*^-23+0.*I,2.2326263623103544*^-23+0.*I,5.255619322407341*^-24+0.*I,1.225821118061159*^-24+0.*I,2.8333387308829174*^-25+0.*I,6.490951127055188*^-26+0.*I,1.4740913107115336*^-26+0.*I,3.3190367215720804*^-27+0.*I,7.4102787442954235*^-28+0.*I,1.640789716041894*^-28+0.*I,3.6035144463065463*^-29+0.*I,7.850760475771519*^-30+0.*I,1.6969327890933997*^-30+0.*I,3.6394739216057806*^-31+0.*I,7.746144371865751*^-32+0.*I,1.6362736533555967*^-32+0.*I,3.4308246901094755*^-33+0.*I,7.141028690829697*^-34+0.*I,1.4756682622968941*^-34+0.*I,3.02779962894826*^-35+0.*I,6.169066154780683*^-36+0.*I,1.2482681274018445*^-36+0.*I,2.5086125524534*^-37+0.*I,5.007679676154591*^-38+0.*I,9.930146331842795*^-39+0.*I,1.956270049920107*^-39+0.*I,3.8290666057040296*^-40+0.*I,7.447044565610722*^-41+0.*I,1.4392523615592623*^-41+0.*I,2.764305810545391*^-42+0.*I,5.2767277591201094*^-43+0.*I,1.0011641047693817*^-43+0.*I,1.8881633480234859*^-44+0.*I,3.539961524779789*^-45+0.*I,6.598002141624612*^-46+0.*I,1.2226744491155656*^-46+0.*I,2.2527995888762277*^-47+0.*I,4.127393006992312*^-48+0.*I,7.519660047292756*^-49+0.*I,1.36243774967737*^-49+0.*I
-0.3158743082604813+0.*I,0.36851702936709196+0.*I,0.07018458292006652+0.*I,-0.3012561490470649+0.*I,-0.14662181775074068+0.*I,0.1941281358095404+0.*I,0.27076134328363016+0.*I,0.056307131420484116+0.*I,-0.19583537109438656+0.*I,-0.2792188382414661+0.*I,-0.17119443749029747+0.*I,0.02766066526107105+0.*I,0.2054331228207047+0.*I,0.30272237679979835+0.*I,0.3164676620248419+0.*I,0.2743913690277193+0.*I,0.20916544555862068+0.*I,0.14445530011007007+0.*I,0.09205470375035663+0.*I,0.05480081805005641+0.*I,0.030748806916456557+0.*I,0.01637215436474494+0.*I,0.008316267808580625+0.*I,0.00404727607302509+0.*I,0.0018938770600274483+0.*I,0.0008546603466950643+0.*I,0.0003729037581737102+0.*I,0.00015765941243833619+0.*I,0.00006471433410341004+0.*I,0.00002583312611833689+0.*I,0.00001004397513488207+0.*I,3.808674172130367*^-6+0.*I,1.4102964644767973*^-6+0.*I,5.104982686134479*^-7+0.*I,1.8082609242036133*^-7+0.*I,6.27348848373073*^-8+0.*I,2.1335543958648487*^-8+0.*I,7.1183856112473106*^-9+0.*I,2.331597156196788*^-9+0.*I,7.502535841925694*^-10+0.*I,2.3730848042345705*^-10+0.*I,7.382762992871513*^-11+0.*I,2.2602608940335707*^-11+0.*I,6.813195803235188*^-12+0.*I,2.023024161906513*^-12+0.*I,5.919734018584023*^-13+0.*I,1.7077964730337485*^-13+0.*I,4.85930868617783*^-14+0.*I,1.3642049440415767*^-14+0.*I,3.78011652219013*^-15+0.*I,1.0341819006299609*^-15+0.*I,2.794430147526781*^-16+0.*I,7.45977570911615*^-17+0.*I,1.9679758831649505*^-17+0.*I,5.132095261050604*^-18+0.*I,1.3233190678482581*^-18+0.*I,3.37472397508455*^-19+0.*I,8.513730848648248*^-20+0.*I,2.125246203637525*^-20+0.*I,5.250513602253461*^-21+0.*I,1.2840713482529209*^-21+0.*I,3.1092761858336174*^-22+0.*I,7.45584232150406*^-23+0.*I,1.7708535006869016*^-23+0.*I,4.166728702322773*^-24+0.*I,9.714260616922036*^-25+0.*I,2.2443921407774904*^-25+0.*I,5.1396331650096606*^-26+0.*I,1.1667488419463694*^-26+0.*I,2.6260298285202726*^-27+0.*I,5.860867337049552*^-28+0.*I,1.2972537288466918*^-28+0.*I,2.8480500045303417*^-29+0.*I,6.2027872487232595*^-30+0.*I,1.3402872707290084*^-30+0.*I,2.873651176152067*^-31+0.*I,6.114305411728047*^-32+0.*I,1.2911816183255337*^-32+0.*I,2.7064709908435428*^-33+0.*I,5.631739128622011*^-34+0.*I,1.1634579720819282*^-34+0.*I,2.3865606936964681*^-35+0.*I,4.8612865516439795*^-36+0.*I,9.833973911594459*^-37+0.*I,1.9758180973013657*^-37+0.*I,3.943163828900735*^-38+0.*I,7.817384167382034*^-39+0.*I,1.5396948440036768*^-39+0.*I,3.0130146154614407*^-40+0.*I,5.858643557692867*^-41+0.*I,1.1320279101943128*^-41+0.*I,2.173779587242154*^-42+0.*I,4.1486370673997785*^-43+0.*I,7.869721951104799*^-44+0.*I,1.4839149251688444*^-44+0.*I,2.7815392738716872*^-45+0.*I,5.1834409029582314*^-46+0.*I,9.603672700181045*^-47+0.*I,1.7691782814804585*^-47+0.*I,3.2407762665516964*^-48+0.*I
0.22277959888284124+0.*I,-0.38886256470140274+0.*I,0.16326367528971006+0.*I,0.26209770886463574+0.*I,-0.14256528832525261+0.*I,-0.27076134328363016+0.*I,0.003165775553370477+0.*I,0.2527434240922321+0.*I,0.20313650088301205+0.*I,-0.042921110330048154+0.*I,-0.23973008369200172+0.*I,-0.25130685770874744+0.*I,-0.10576963321110863+0.*I,0.08888555475537056+0.*I,0.23921798975971298+0.*I,0.3068567667609507+0.*I,0.30055917830225876+0.*I,0.2501965809990204+0.*I,0.18527964572700353+0.*I,0.12516266541322438+0.*I,0.07836565154925827+0.*I,0.04597880932584013+0.*I,0.025484997583198044+0.*I,0.013427877872060115+0.*I,0.006758839931625962+0.*I,0.0032630861423037097+0.*I,0.0015161160976009502+0.*I,0.0006798544144176902+0.*I,0.000294941579121808+0.*I,0.00012405388110528186+0.*I,0.000050680818705444086+0.*I,0.00002014408073385971+0.*I,7.80110338506155*^-6+0.*I,2.9473945395758025*^-6+0.*I,1.0876960564622564*^-6+0.*I,3.924908918805977*^-7+0.*I,1.386209402350522*^-7+0.*I,4.796162447322829*^-8+0.*I,1.6269783816480042*^-8+0.*I,5.415291404783442*^-9+0.*I,1.7697776748331768*^-9+0.*I,5.682705834943078*^-10+0.*I,1.793883973334115*^-10+0.*I,5.570340391521609*^-11+0.*I,1.702342446752273*^-11+0.*I,5.122773275531718*^-12+0.*I,1.5186527851531545*^-12+0.*I,4.4370796368676696*^-13+0.*I,1.2782055039919438*^-13+0.*I,3.6319365747846156*^-14+0.*I,1.0182869411054923*^-14+0.*I,2.8180470934473295*^-15+0.*I,7.700457096501492*^-16+0.*I,2.0783170237565647*^-16+0.*I,5.541971613886291*^-17+0.*I,1.4604880539371736*^-17+0.*I,3.804794248009478*^-18+0.*I,9.80114208345858*^-19+0.*I,2.4971372853923165*^-19+0.*I,6.294070281622233*^-20+0.*I,1.5697952976501082*^-20+0.*I,3.8749977586859986*^-21+0.*I,9.46907945518532*^-22+0.*I,2.2910744137606214*^-22+0.*I,5.489712580300073*^-23+0.*I,1.3029256458127099*^-23+0.*I,3.0635634350307227*^-24+0.*I,7.137499414603207*^-25+0.*I,1.6479699748761274*^-25+0.*I,3.771429388919517*^-26+0.*I,8.556244635492242*^-27+0.*I,1.924623032080392*^-27+0.*I,4.292951676926771*^-28+0.*I,9.496742078466175*^-29+0.*I,2.0838196101778175*^-29+0.*I,4.5359584313962235*^-30+0.*I,9.796170211685059*^-31+0.*I,2.099302525785084*^-31+0.*I,4.464539744617706*^-32+0.*I,9.423479168083737*^-33+0.*I,1.9743640945438966*^-33+0.*I,4.10649837678393*^-34+0.*I,8.479889707118677*^-35+0.*I,1.738710532959237*^-35+0.*I,3.540185759897283*^-36+0.*I,7.1586059845262195*^-37+0.*I,1.437723342456033*^-37+0.*I,2.8681797207435266*^-38+0.*I,5.684080652974228*^-39+0.*I,1.119114660485507*^-39+0.*I,2.1892033121717353*^-40+0.*I,4.255303153830545*^-41+0.*I,8.219447953574719*^-42+0.*I,1.577816529890841*^-42+0.*I,3.0102682436422603*^-43+0.*I,5.708487680289841*^-44+0.*I,1.0760579758237207*^-44+0.*I,2.0164145080483416*^-45+0.*I,3.756501637863934*^-46+0.*I,6.95787092247491*^-47+0.*I
-0.1454665492489222+0.*I,0.33811514135125614+0.*I,-0.3144607135815286+0.*I,-0.06425860550363882+0.*I,0.2912169201692411+0.*I,0.056307131420484116+0.*I,-0.2527434240922321+0.*I,-0.16186600443196283+0.*I,0.1375537273673572+0.*I,0.2583609833832768+0.*I,0.105234027891595+0.*I,-0.13642380672087798+0.*I,-0.25997439250955723+0.*I,-0.20217857787473872+0.*I,-0.03049703213541806+0.*I,0.14981355939522983+0.*I,0.26767018763074585+0.*I,0.3050188609821374+0.*I,0.2802265782860987+0.*I,0.22352344429544957+0.*I,0.16039374807769977+0.*I,0.1057108877995346+0.*I,0.06487098914678946+0.*I,0.03742759095412817+0.*I,0.020450334740362626+0.*I,0.010642336536555969+0.*I,0.005298811201052478+0.*I,0.002533674000251866+0.*I,0.0011671232691161534+0.*I,0.0005193219435909344+0.*I,0.00022372329819381236+0.*I,0.0000935002691735989+0.*I,0.00003797603441737852+0.*I,0.000015013536545449409+0.*I,5.7855173082547736*^-6+0.*I,2.1758807947034204*^-6+0.*I,7.995715116088474*^-7+0.*I,2.873818817940512*^-7+0.*I,1.011236572854772*^-7+0.*I,3.486701438350968*^-8+0.*I,1.1789425361685306*^-8+0.*I,3.912074659522969*^-9+0.*I,1.274839209582953*^-9+0.*I,4.082381488366124*^-10+0.*I,1.2854018000266758*^-10+0.*I,3.981728402598972*^-11+0.*I,1.2140503569221955*^-11+0.*I,3.64539948644417*^-12+0.*I,1.0784382626292623*^-12+0.*I,3.1446623340508496*^-13+0.*I,9.041856406464645*^-14+0.*I,2.5645587712506874*^-14+0.*I,7.177891328573113*^-15+0.*I,1.983169261898303*^-15+0.*I,5.4105734931966155*^-16+0.*I,1.4580833687870836*^-16+0.*I,3.88244552887903*^-17+0.*I,1.0217266598559102*^-17+0.*I,2.6581970781402986*^-18+0.*I,6.838710784739296*^-19+0.*I,1.7402134709101056*^-19+0.*I,4.3810083380046634*^-20+0.*I,1.0914067734041925*^-20+0.*I,2.691125448411666*^-21+0.*I,6.569100652518823*^-22+0.*I,1.5877749631287202*^-22+0.*I,3.8007217806203555*^-23+0.*I,9.011917063921928*^-24+0.*I,2.116991764883355*^-24+0.*I,4.927720987634437*^-25+0.*I,1.1367616885233414*^-25+0.*I,2.5993096625060126*^-26+0.*I,5.89221239169776*^-27+0.*I,1.3243256192886707*^-27+0.*I,2.9516799545630224*^-28+0.*I,6.524720064226177*^-29+0.*I,1.430641174191627*^-29+0.*I,3.111945679429205*^-30+0.*I,6.7161472809172395*^-31+0.*I,1.4382954670022998*^-31+0.*I,3.0567989885179414*^-32+0.*I,6.448016737884364*^-33+0.*I,1.3501253974471621*^-33+0.*I,2.806451232326376*^-34+0.*I,5.791909388491465*^-35+0.*I,1.1868915073254542*^-35+0.*I,2.4152839562579098*^-36+0.*I,4.8812944634399306*^-37+0.*I,9.798329663388953*^-38+0.*I,1.9537042529959066*^-38+0.*I,3.869846982803279*^-39+0.*I,7.61542978936929*^-40+0.*I,1.4890085522983286*^-40+0.*I,2.8929283670122757*^-41+0.*I,5.58535208845523*^-42+0.*I,1.071691118675757*^-42+0.*I,2.0437505872105056*^-43+0.*I,3.873981411574959*^-44+0.*I,7.299447063153029*^-45+0.*I,1.3672749706092937*^-45+0.*I
