0.6383944346660991+0.*I,0.6048253793200336+0.*I,0.4051873916561811+0.*I,0.221633910721284+0.*I,0.10498980476881463+0.*I,0.04448391888380121+0.*I,0.017205540852440148+0.*I,0.006161127883006469+0.*I,0.0020637455222052+0.*I,0.0006517421416957429+0.*I,0.00019526154331894283+0.*I,0.00005577778824203406+0.*I,0.000015254977812778978+0.*I,4.008490127838579*^-6+0.*I,1.0149805376291761*^-6+0.*I,2.4828643875924895*^-7+0.*I,5.880766315778061*^-8+0.*I,1.3512956404679216*^-8+0.*I,3.017553906953658*^-9+0.*I,6.558720909859664*^-10+0.*I,1.3894568600167*^-10+0.*I,2.8726077916076344*^-11+0.*I,5.802376531227561*^-12+0.*I,1.1462593838327942*^-12+0.*I,2.2167575554151362*^-13+0.*I,4.200385080160566*^-14+0.*I,7.804468774905316*^-15+0.*I,1.422991741026468*^-15+0.*I,2.547793809016673*^-16+0.*I,4.482354419452378*^-17+0.*I,7.753298062360419*^-18+0.*I,1.3193090673191646*^-18+0.*I,2.2095939508043563*^-19+0.*I,3.644151438753753*^-20+0.*I,5.921038325171432*^-21+0.*I,9.482105087011768*^-22+0.*I,1.4972503660697673*^-22+0.*I,2.332031863541332*^-23+0.*I,3.5841286990961266*^-24+0.*I,5.4374115652485715*^-25+0.*I,8.145225741642695*^-26+0.*I,1.2051805411005248*^-26+0.*I,1.761847765150816*^-27+0.*I,2.5455115167655436*^-28+0.*I,3.6357134112652577*^-29+0.*I,5.134809067972514*^-30+0.*I,7.172759970279518*^-31+0.*I,9.912387766277157*^-32+0.*I,1.3554970554772526*^-32+0.*I,1.834600268215981*^-33+0.*I,2.458087649185224*^-34+0.*I,3.2610179608246225*^-35+0.*I,4.284423898578042*^-36+0.*I,5.575648825518137*^-37+0.*I,7.188519361112673*^-38+0.*I,9.183305162089032*^-39+0.*I,1.1626417570418092*^-39+0.*I,1.458980217260735*^-40+0.*I,1.8149987095740774*^-41+0.*I,2.238675925607697*^-42+0.*I,2.7381454742153354*^-43+0.*I,3.3214866757549406*^-44+0.*I,3.996479448712224*^-45+0.*I,4.770327802439882*^-46+0.*I,5.64935869957232*^-47+0.*I,6.638705242923533*^-48+0.*I,7.741985131049599*^-49+0.*I,8.960986967761309*^-50+0.*I,1.0295378164693834*^-50+0.*I,1.1742448721892448*^-51+0.*I,1.3296905017204523*^-52+0.*I,1.4950726826687509*^-53+0.*I,1.6693099125238562*^-54+0.*I,1.8510427817302915*^-55+0.*I,2.038644550842932*^-56+0.*I,2.2302409881369327*^-57+0.*I,2.423739335561163*^-58+0.*I,2.6168658685437388*^-59+0.*I,2.807211120390875*^-60+0.*I,2.9922814766217238*^-61+0.*I,3.169555529144952*^-62+0.*I,3.336543332760753*^-63+0.*I,3.4908465413983705*^-64+0.*I,3.6302173284426583*^-65+0.*I,3.752614018828885*^-66+0.*I,3.8562514791912465*^-67+0.*I,3.939644519643068*^-68+0.*I,4.0016428453651714*^-69+0.*I,4.041456442493908*^-70+0.*I,4.05867067228085*^-71+0.*I,4.0532507597299887*^-72+0.*I,4.025535776951142*^-73+0.*I,3.976222617104674*^-74+0.*I,3.906340813697364*^-75+0.*I,3.81721936666666*^-76+0.*I,3.7104469792545994*^-77+0.*I,3.5878272802997966*^-78+0.*I,3.4513307016602984*^-79+0.*I,3.30304470055896*^-80+0.*I,3.1451239660441767*^-81+0.*I
-0.6048253793200336+0.*I,0.06537293008334873+0.*I,0.4714710602523947+0.*I,0.4918255393971862+0.*I,0.3437987549128021+0.*I,0.19261954457041214+0.*I,0.09266209085056895+0.*I,0.03968442845434026+0.*I,0.01547107479823835+0.*I,0.005573765350288099+0.*I,0.001875995619640017+0.*I,0.0005947644818945221+0.*I,0.00017876710964492858+0.*I,0.00005120489528398822+0.*I,0.000014036787454233917+0.*I,3.6957720663313266*^-6+0.*I,9.374304084661364*^-7+0.*I,2.29667809814056*^-7+0.*I,5.4471738481264926*^-8+0.*I,1.2531828538937169*^-8+0.*I,2.8015097335094664*^-9+0.*I,6.095135652637174*^-10+0.*I,1.2923998168860262*^-10+0.*I,2.6741235299745653*^-11+0.*I,5.405481952526774*^-12+0.*I,1.0685836391311012*^-12+0.*I,2.067843729008008*^-13+0.*I,3.920504357055675*^-14+0.*I,7.288382356182343*^-15+0.*I,1.3295623931770259*^-15+0.*I,2.381630606181256*^-16+0.*I,4.1918601552983316*^-17+0.*I,7.253798541524284*^-18+0.*I,1.234789797739104*^-18+0.*I,2.068790283483956*^-19+0.*I,3.413098491086265*^-20+0.*I,5.5474110918169565*^-21+0.*I,8.886477893792955*^-22+0.*I,1.4036043631569595*^-22+0.*I,2.1867727243861017*^-23+0.*I,3.361751817053301*^-24+0.*I,5.101308451407327*^-25+0.*I,7.643542228798473*^-26+0.*I,1.1312042464546789*^-26+0.*I,1.6540559737455378*^-27+0.*I,2.3902626752808443*^-28+0.*I,3.4146410431424964*^-29+0.*I,4.823484897998049*^-30+0.*I,6.739081675431445*^-31+0.*I,9.314666343791708*^-32+0.*I,1.2739699640507712*^-32+0.*I,1.7245302816698487*^-33+0.*I,2.3109621574386006*^-34+0.*I,3.0662830660682774*^-35+0.*I,4.0291431683906545*^-36+0.*I,5.244144498665993*^-37+0.*I,6.762005728099449*^-38+0.*I,8.639526589602516*^-39+0.*I,1.0939306339933321*^-39+0.*I,1.3729173784009503*^-40+0.*I,1.7081292752539574*^-41+0.*I,2.1070916696100855*^-42+0.*I,2.5774779207194447*^-43+0.*I,3.1269123527253316*^-44+0.*I,3.7627392891684554*^-45+0.*I,4.491762410321815*^-46+0.*I,5.319960795541548*^-47+0.*I,6.25219008196565*^-48+0.*I,7.291879050810248*^-49+0.*I,8.440733505015974*^-50+0.*I,9.698460395774185*^-51+0.*I,1.1062525676380887*^-51+0.*I,1.252795922278357*^-52+0.*I,1.4087219309396996*^-53+0.*I,1.573012755642677*^-54+0.*I,1.7443883006583016*^-55+0.*I,1.9213161126031712*^-56+0.*I,2.102030018070473*^-57+0.*I,2.2845573775078578*^-58+0.*I,2.4667544543619124*^-59+0.*I,2.646349025820932*^-60+0.*I,2.820989016340053*^-61+0.*I,2.9882956369745652*^-62+0.*I,3.145919279449256*^-63+0.*I,3.2915962573948*^-64+0.*I,3.4232044174823174*^-65+0.*I,3.538815664417268*^-66+0.*I,3.6367435549323884*^-67+0.*I,3.715584310873617*^-68+0.*I,3.7742498694659327*^-69+0.*I,3.811991915236918*^-70+0.*I,3.828416205337701*^-71+0.*I,3.823486888904359*^-72+0.*I,3.7975209118617105*^-73+0.*I,3.751172972118733*^-74+0.*I,3.68541182910425*^-75+0.*I,3.6014890614223494*^-76+0.*I,3.500901595819156*^-77+0.*I,3.385349492222248*^-78+0.*I,3.256690559907088*^-79+0.*I
0.4051873916561811+0.*I,-0.4714710602523947+0.*I,-0.25047712462138183+0.*I,0.2479457423409207+0.*I,0.46522710969103365+0.*I,0.41455299253496863+0.*I,0.2715502249044321+0.*I,0.14676932406182952+0.*I,0.06900440353428125+0.*I,0.02908510326320705+0.*I,0.011206542625632246+0.*I,0.004001152360742912+0.*I,0.0013371090159083848+0.*I,0.00042146507197557593+0.*I,0.00012607182981083122+0.*I,0.00003596543704760299+0.*I,9.825214281285288*^-6+0.*I,2.579195695929443*^-6+0.*I,6.525114726082597*^-7+0.*I,1.5949779368809267*^-7+0.*I,3.775232118221172*^-8+0.*I,8.669600950788113*^-9+0.*I,1.9349467594241535*^-9+0.*I,4.2035949043354484*^-10+0.*I,8.901309113512297*^-11+0.*I,1.8395394269345197*^-11+0.*I,3.7143031676662186*^-12+0.*I,7.335098780115527*^-13+0.*I,1.418091743442474*^-13+0.*I,2.686262663133445*^-14+0.*I,4.989821716806876*^-15+0.*I,9.095666055248212*^-16+0.*I,1.6281490822931833*^-16+0.*I,2.863785292175249*^-17+0.*I,4.9525754141590334*^-18+0.*I,8.425718808109334*^-19+0.*I,1.4108915819693916*^-19+0.*I,2.3264990298779905*^-20+0.*I,3.779495003159021*^-21+0.*I,6.051651762029916*^-22+0.*I,9.554332906816004*^-23+0.*I,1.487922952604658*^-23+0.*I,2.2865072435808418*^-24+0.*I,3.4683825755906464*^-25+0.*I,5.195008948858115*^-26+0.*I,7.685746808422428*^-27+0.*I,1.1234541888498665*^-27+0.*I,1.6229949492961285*^-28+0.*I,2.3178685914296963*^-29+0.*I,3.2732740062551594*^-30+0.*I,4.5719867918609985*^-31+0.*I,6.317702448181994*^-32+0.*I,8.638596521429231*^-33+0.*I,1.1690987980138115*^-33+0.*I,1.5662951975677574*^-34+0.*I,2.0777686894704993*^-35+0.*I,2.7296400976932128*^-36+0.*I,3.5520449022691016*^-37+0.*I,4.5792423513877577*^-38+0.*I,5.8495890642433185*^-39+0.*I,7.405346397707438*^-40+0.*I,9.292293003225676*^-41+0.*I,1.1559118324454628*^-41+0.*I,1.4256579405720898*^-42+0.*I,1.7436412274368604*^-43+0.*I,2.1150000135649304*^-44+0.*I,2.544681330627367*^-45+0.*I,3.037264966418086*^-46+0.*I,3.596771870016844*^-47+0.*I,4.2264626188558004*^-48+0.*I,4.928632913730969*^-49+0.*I,5.70441411019743*^-50+0.*I,6.553587526909805*^-51+0.*I,7.474421616616705*^-52+0.*I,8.46354098526847*^-53+0.*I,9.515835664574371*^-54+0.*I,1.0624417977121582*^-54+0.*I,1.178063280519805*^-55+0.*I,1.2974125139962346*^-56+0.*I,1.4192966530486884*^-57+0.*I,1.5423839580827031*^-58+0.*I,1.6652277084099173*^-59+0.*I,1.786294987240598*^-60+0.*I,1.9039995138722107*^-61+0.*I,2.016737498233272*^-62+0.*I,2.1229253358052684*^-63+0.*I,2.221037856197738*^-64+0.*I,2.3096457924565047*^-65+0.*I,2.387451153290225*^-66+0.*I,2.453319256079748*^-67+0.*I,2.5063063106139667*^-68+0.*I,2.5456816246789804*^-69+0.*I,2.5709437230350135*^-70+0.*I,2.581829919110792*^-71+0.*I,2.5783191409604145*^-72+0.*I,2.560628076333237*^-73+0.*I,2.529200953256128*^-74+0.*I,2.484693500664857*^-75+0.*I,2.4279518285134352*^-76+0.*I,2.3599871208837844*^-77+0.*I
-0.221633910721284+0.*I,0.4918255393971862+0.*I,-0.2479457423409207+0.*I,-0.38610124731950424+0.*I,0.03182797801395641+0.*I,0.37384880464881354+0.*I,0.43773089898946305+0.*I,0.3345183012419256+0.*I,0.20192850564389137+0.*I,0.1036098392597575+0.*I,0.04697201102647977+0.*I,0.019270300522121753+0.*I,0.007270917944999124+0.*I,0.0025528767184629783+0.*I,0.0008415084418544997+0.*I,0.0002622324063202672+0.*I,0.00007768431394529937+0.*I,0.000021977891017225323+0.*I,5.960795411658166*^-6+0.*I,1.5548739827775798*^-6+0.*I,3.911713475107627*^-7+0.*I,9.514105841080541*^-8+0.*I,2.2418991637445233*^-8+0.*I,5.127692060870807*^-9+0.*I,1.1402668132529518*^-9+0.*I,2.4689654307514814*^-10+0.*I,5.212288350898617*^-11+0.*I,1.0741686103247948*^-11+0.*I,2.1633413316141417*^-12+0.*I,4.262090221763313*^-13+0.*I,8.221769585189648*^-14+0.*I,1.554250779677331*^-14+0.*I,2.881573782913258*^-15+0.*I,5.243313092365131*^-16+0.*I,9.370036416193734*^-17+0.*I,1.6455386129558047*^-17+0.*I,2.841580094592469*^-18+0.*I,4.827630962625181*^-19+0.*I,8.07333570610317*^-20+0.*I,1.3296143043445208*^-20+0.*I,2.1574894329356987*^-21+0.*I,3.450701196977998*^-22+0.*I,5.442227987626713*^-23+0.*I,8.466859260491371*^-24+0.*I,1.2998731608311223*^-24+0.*I,1.9699779606322147*^-25+0.*I,2.948117447595335*^-26+0.*I,4.357983401109842*^-27+0.*I,6.365194440326167*^-28+0.*I,9.188509200498829*^-29+0.*I,1.3113001548882557*^-29+0.*I,1.8505211739323277*^-30+0.*I,2.583016919176868*^-31+0.*I,3.567003247247534*^-32+0.*I,4.874391169133586*^-33+0.*I,6.5928232614335266*^-34+0.*I,8.827677845324179*^-35+0.*I,1.1703931631278247*^-35+0.*I,1.5367749591939292*^-36+0.*I,1.9987651680239022*^-37+0.*I,2.575509169402536*^-38+0.*I,3.288427622498348*^-39+0.*I,4.1611053262859065*^-40+0.*I,5.219071243558824*^-41+0.*I,6.489456336917489*^-42+0.*I,8.000519591194928*^-43+0.*I,9.781037583058135*^-44+0.*I,1.1859559095380226*^-44+0.*I,1.426353335184759*^-45+0.*I,1.7018328158450047*^-46+0.*I,2.0146162187336982*^-47+0.*I,2.3664983360226406*^-48+0.*I,2.7587332275920477*^-49+0.*I,3.191923536280308*^-50+0.*I,3.6659176433529323*^-51+0.*I,4.179719715251932*^-52+0.*I,4.731417627710394*^-53+0.*I,5.318133421388587*^-54+0.*I,5.936000341427519*^-55+0.*I,6.580169655849249*^-56+0.*I,7.244849365797861*^-57+0.*I,7.923375661327048*^-58+0.*I,8.608316600386958*^-59+0.*I,9.29160606637444*^-60+0.*I,9.964704667134725*^-61+0.*I,1.0618782952537388*^-61+0.*I,1.124492122103462*^-62+0.*I,1.1834319321464098*^-63+0.*I,1.2378509284716993*^-64+0.*I,1.2869563374309726*^-65+0.*I,1.3300290240143607*^-66+0.*I,1.3664412291023172*^-67+0.*I,1.39567181451271*^-68+0.*I,1.4173185032509742*^-69+0.*I,1.4311067254571461*^-70+0.*I,1.436894818625564*^-71+0.*I,1.4346754765298477*^-72+0.*I,1.4245734875185364*^-73+0.*I,1.4068399423299481*^-74+0.*I,1.3818432178596252*^-75+0.*I
0.10498980476881463+0.*I,-0.3437987549128021+0.*I,0.46522710969103365+0.*I,-0.03182797801395641+0.*I,-0.40117842204875254+0.*I,-0.14151048962404353+0.*I,0.2505126822971644+0.*I,0.4205994817699191+0.*I,0.37742512602238376+0.*I,0.2538119262023578+0.*I,0.1415705124201407+0.*I,0.06876576840204765+0.*I,0.029932846002663542+0.*I,0.011898515055582754+0.*I,0.0043773655516407325+0.*I,0.0015053524447485502+0.*I,0.0004876651147595861+0.*I,0.00014973920834851492+0.*I,0.000043798469554482464+0.*I,0.000012254695828566646+0.*I,3.291502840199259*^-6+0.*I,8.512170536492168*^-7+0.*I,2.1250549932311178*^-7+0.*I,5.1329823542209933*^-8+0.*I,1.202007534775835*^-8+0.*I,2.733710111823739*^-9+0.*I,6.047741072552744*^-10+0.*I,1.3033079873572327*^-10+0.*I,2.7395037524830852*^-11+0.*I,5.623076086268235*^-12+0.*I,1.1282742801481508*^-12+0.*I,2.2152176481636263*^-13+0.*I,4.2595825458888836*^-14+0.*I,8.028310508444647*^-15+0.*I,1.4842886880804235*^-15+0.*I,2.6937436341327283*^-16+0.*I,4.8020078547393174*^-17+0.*I,8.413639617344865*^-18+0.*I,1.4497317406985135*^-18+0.*I,2.4579133440531854*^-19+0.*I,4.102407563929964*^-20+0.*I,6.743873888729109*^-21+0.*I,1.0923747030765903*^-21+0.*I,1.7442455651301107*^-22+0.*I,2.746563472189922*^-23+0.*I,4.266587649809017*^-24+0.*I,6.540865548159771*^-25+0.*I,9.89919621621382*^-26+0.*I,1.4794972847338988*^-26+0.*I,2.184291330972484*^-27+0.*I,3.1865112164457067*^-28+0.*I,4.594617393574667*^-29+0.*I,6.549789344908445*^-30+0.*I,9.233351633758865*^-31+0.*I,1.2875102884734086*^-31+0.*I,1.7762418751522923*^-32+0.*I,2.4249911502226554*^-33+0.*I,3.276932823106079*^-34+0.*I,4.383926094867526*^-35+0.*I,5.807413073142106*^-36+0.*I,7.619180222975924*^-37+0.*I,9.901909309091828*^-38+0.*I,1.2749437517671599*^-38+0.*I,1.6266643115207895*^-39+0.*I,2.0568874094893057*^-40+0.*I,2.5780843629877494*^-41+0.*I,3.203492842015049*^-42+0.*I,3.946882448628347*^-43+0.*I,4.822253952767799*^-44+0.*I,5.843473106544237*^-45+0.*I,7.023843418530049*^-46+0.*I,8.375626026430469*^-47+0.*I,9.909518666450251*^-48+0.*I,1.16341094735861*^-48+0.*I,1.3555324712100139*^-49+0.*I,1.56758922790611*^-50+0.*I,1.7994844710075876*^-51+0.*I,2.050708624221133*^-52+0.*I,2.320304810242798*^-53+0.*I,2.60684545041267*^-54+0.*I,2.9084218840061088*^-55+0.*I,3.222648533003956*^-56+0.*I,3.546682607254861*^-57+0.*I,3.877259729336546*^-58+0.*I,4.2107451878367025*^-59+0.*I,4.5431998366854096*^-60+0.*I,4.870458983548221*^-61+0.*I,5.188221989433368*^-62+0.*I,5.49214976954142*^-63+0.*I,5.777966972499482*^-64+0.*I,6.041565345396182*^-65+0.*I,6.279104681262449*^-66+0.*I,6.487107800546668*^-67+0.*I,6.662546235891198*^-68+0.*I,6.802913658167107*^-69+0.*I,6.906284580935914*^-70+0.*I,6.971356483106118*^-71+0.*I,6.997474163296858*^-72+0.*I,6.984635849132019*^-73+0.*I,6.93348129444127*^-74+0.*I
-0.04448391888380121+0.*I,0.19261954457041214+0.*I,-0.41455299253496863+0.*I,0.37384880464881354+0.*I,0.14151048962404353+0.*I,-0.34122077991860217+0.*I,-0.2611585743606038+0.*I,0.11820364978481426+0.*I,0.37210685182446224+0.*I,0.39882946171387024+0.*I,0.29896119468799737+0.*I,0.1808471191420837+0.*I,0.09384899799762729+0.*I,0.043223892717814114+0.*I,0.01805534495848805+0.*I,0.0069440054558315605+0.*I,0.002486233822275657+0.*I,0.0008357659113929834+0.*I,0.00026555286954341476+0.*I,0.00008018665096135956+0.*I,0.000023114790098709114+0.*I,6.384914963580908*^-6+0.*I,1.6954899041803392*^-6+0.*I,4.3402520132431434*^-7+0.*I,1.0736513290926464*^-7+0.*I,2.5719439404089883*^-8+0.*I,5.9775768941758285*^-9+0.*I,1.3501471924350417*^-9+0.*I,2.9681175221335553*^-10+0.*I,6.359350373117807*^-11+0.*I,1.329562019280812*^-11+0.*I,2.71552208114518*^-12+0.*I,5.423629173012478*^-13+0.*I,1.0602908180586445*^-13+0.*I,2.0306383048891714*^-14+0.*I,3.812925495379536*^-15+0.*I,7.024612778620874*^-16+0.*I,1.2706389827976504*^-16+0.*I,2.2580556004513198*^-17+0.*I,3.944739228804622*^-18+0.*I,6.778210785502501*^-19+0.*I,1.1461771228176322*^-19+0.*I,1.9082767008102078*^-20+0.*I,3.129568215215866*^-21+0.*I,5.057897318001188*^-22+0.*I,8.058916160114393*^-23+0.*I,1.2664066243078408*^-23+0.*I,1.96344875508797*^-24+0.*I,3.0044678353002435*^-25+0.*I,4.539011221805093*^-26+0.*I,6.772323992349678*^-27+0.*I,9.982227915495262*^-28+0.*I,1.4539682928905511*^-28+0.*I,2.0933354327739188*^-29+0.*I,2.979837492345361*^-30+0.*I,4.194929614575367*^-31+0.*I,5.841696026306913*^-32+0.*I,8.048869654692018*^-33+0.*I,1.0975085170813411*^-33+0.*I,1.4813222029435785*^-34+0.*I,1.9794646237369523*^-35+0.*I,2.6193110985416767*^-36+0.*I,3.4328030263835006*^-37+0.*I,4.456680010768387*^-38+0.*I,5.732581355983648*^-39+0.*I,7.306980230184903*^-40+0.*I,9.230914447260027*^-41+0.*I,1.1559480813788278*^-41+0.*I,1.4351065581769552*^-42+0.*I,1.766629186090585*^-43+0.*I,2.1566675816623763*^-44+0.*I,2.611299685003341*^-45+0.*I,3.1363402249276522*^-46+0.*I,3.7371283337220584*^-47+0.*I,4.41829770548562*^-48+0.*I,5.183536320941456*^-49+0.*I,6.035344219602694*^-50+0.*I,6.974798977635426*^-51+0.*I,8.001339344134657*^-52+0.*I,9.112577812312277*^-53+0.*I,1.0304152690544854*^-53+0.*I,1.156962945580509*^-54+0.*I,1.290045981711413*^-55+0.*I,1.4286005024071544*^-56+0.*I,1.5713627596094508*^-57+0.*I,1.7168852926067787*^-58+0.*I,1.8635599259457028*^-59+0.*I,2.0096471518846995*^-60+0.*I,2.1533111496818878*^-61+0.*I,2.292659424004916*^-62+0.*I,2.4257858146862738*^-63+0.*I,2.5508154530977752*^-64+0.*I,2.665950126852707*^-65+0.*I,2.769512471013787*^-66+0.*I,2.8599874331510078*^-67+0.*I,2.9360595599369762*^-68+0.*I,2.9966448189722936*^-69+0.*I,3.040915892069389*^-70+0.*I,3.0683201431939428*^-71+0.*I,3.078589761415596*^-72+0.*I
0.017205540852440148+0.*I,-0.09266209085056895+0.*I,0.2715502249044321+0.*I,-0.43773089898946305+0.*I,0.2505126822971644+0.*I,0.2611585743606038+0.*I,-0.24020956883659778+0.*I,-0.3278024426685259+0.*I,-0.007434094262864074+0.*I,0.3014762445601637+0.*I,0.3992540694020126+0.*I,0.3348471163034491+0.*I,0.21945742618422576+0.*I,0.12142379814758011+0.*I,0.05904211983261225+0.*I,0.025862196658854242+0.*I,0.010377885073458812+0.*I,0.0038616966357801403+0.*I,0.0013448781801849582+0.*I,0.00044154011043200027+0.*I,0.000137459760278512+0.*I,0.00004077424787059762+0.*I,0.000011570397815900104+0.*I,3.1517100015616277*^-6+0.*I,8.265235941580523*^-7+0.*I,2.092103657382399*^-7+0.*I,5.122726852794222*^-8+0.*I,1.215814400070429*^-8+0.*I,2.801850098432539*^-9+0.*I,6.279392172636598*^-10+0.*I,1.370569021366456*^-10+0.*I,2.9171034601342886*^-11+0.*I,6.061453870772909*^-12+0.*I,1.2309437383049452*^-12+0.*I,2.445455737043045*^-13+0.*I,4.756980684958667*^-14+0.*I,9.06802311715195*^-15+0.*I,1.6952602992900266*^-15+0.*I,3.110367317134375*^-16+0.*I,5.604359711192646*^-17+0.*I,9.92310448279436*^-18+0.*I,1.7275360653517966*^-18+0.*I,2.958691081651412*^-19+0.*I,4.987531281895249*^-20+0.*I,8.279280861105998*^-21+0.*I,1.3539918595205784*^-21+0.*I,2.1824306230579455*^-22+0.*I,3.4684881057330614*^-23+0.*I,5.4372645675314135*^-24+0.*I,8.410421609172658*^-25+0.*I,1.2841056034476316*^-25+0.*I,1.935845395867385*^-26+0.*I,2.882451577393055*^-27+0.*I,4.240361870919553*^-28+0.*I,6.164751804125463*^-29+0.*I,8.85965407304597*^-30+0.*I,1.2589775877743963*^-30+0.*I,1.769400129484451*^-31+0.*I,2.460045714413479*^-32+0.*I,3.384288504826358*^-33+0.*I,4.607790151526691*^-34+0.*I,6.210254663263653*^-35+0.*I,8.287132809488331*^-36+0.*I,1.0951177163883698*^-36+0.*I,1.4333730529189993*^-37+0.*I,1.858561493194259*^-38+0.*I,2.387747741285832*^-39+0.*I,3.039944427897698*^-40+0.*I,3.8359939037490166*^-41+0.*I,4.798353234216554*^-42+0.*I,5.950771595967023*^-43+0.*I,7.317852741806175*^-44+0.*I,8.924499731702223*^-45+0.*I,1.0795244612077842*^-45+0.*I,1.2953471962402515*^-46+0.*I,1.542055193556416*^-47+0.*I,1.821490524196023*^-48+0.*I,2.135102905763687*^-49+0.*I,2.4838518634705477*^-50+0.*I,2.868112401705176*^-51+0.*I,3.2875884306509117*^-52+0.*I,3.7412383038446557*^-53+0.*I,4.22721671597662*^-54+0.*I,4.742836872524585*^-55+0.*I,5.284556274647089*^-56+0.*I,5.847988679544696*^-57+0.*I,6.427943828070759*^-58+0.*I,7.018495420974049*^-59+0.*I,7.613076626858866*^-60+0.*I,8.204601180705195*^-61+0.*I,8.785606947444404*^-62+0.*I,9.348417746151137*^-63+0.*I,9.885318317870967*^-64+0.*I,1.0388736626234204*^-64+0.*I,1.0851427245100083*^-65+0.*I,1.1266649437047627*^-66+0.*I,1.162833366985652*^-67+0.*I,1.1931230747684498*^-68+0.*I,1.2171038425833038*^-69+0.*I,1.234450129479714*^-70+0.*I
-0.006161127883006469+0.*I,0.03968442845434026+0.*I,-0.14676932406182952+0.*I,0.3345183012419256+0.*I,-0.4205994817699191+0.*I,0.11820364978481426+0.*I,0.3278024426685259+0.*I,-0.12282687293859292+0.*I,-0.34777347873584213+0.*I,-0.11638502466738955+0.*I,0.21736424122948936+0.*I,0.38058614158845155+0.*I,0.35983233197790643+0.*I,0.2555894418774539+0.*I,0.15057680399707835+0.*I,0.07716782595050191+0.*I,0.035383751816098985+0.*I,0.014789931807120474+0.*I,0.005710903936550697+0.*I,0.0020575878385710625+0.*I,0.0006971160742529326+0.*I,0.00022348644842872713+0.*I,0.00006814177470297046+0.*I,0.00001984453206536345+0.*I,5.539863306090427*^-6+0.*I,1.4870666851774397*^-6+0.*I,3.8485634570830467*^-7+0.*I,9.625465135802431*^-8+0.*I,2.3312974190264524*^-8+0.*I,5.478029832135088*^-9+0.*I,1.2508790092779874*^-9+0.*I,2.7797904312383887*^-10+0.*I,6.019975096085107*^-11+0.*I,1.2720086359200104*^-11+0.*I,2.6252986056065928*^-12+0.*I,5.29786265989804*^-13+0.*I,1.0463101569940538*^-13+0.*I,2.0240947646150377*^-14+0.*I,3.8384578980202006*^-15+0.*I,7.140985375706237*^-16+0.*I,1.3041645923798458*^-16+0.*I,2.3396822862893757*^-17+0.*I,4.125634176350579*^-18+0.*I,7.1544547254266*^-19+0.*I,1.2207930115609034*^-19+0.*I,2.0506957726326225*^-20+0.*I,3.392780146861673*^-21+0.*I,5.530897864920441*^-22+0.*I,8.887931008020237*^-23+0.*I,1.4084481278049502*^-23+0.*I,2.2017972183715527*^-24+0.*I,3.3967452079834587*^-25+0.*I,5.173007536798997*^-26+0.*I,7.77957674829506*^-27+0.*I,1.1556683305814977*^-27+0.*I,1.696291130152634*^-28+0.*I,2.4608058921979856*^-29+0.*I,3.529219254324443*^-30+0.*I,5.00511181463966*^-31+0.*I,7.020817318004285*^-32+0.*I,9.743181952254112*^-33+0.*I,1.337979940000672*^-33+0.*I,1.8185555586721676*^-34+0.*I,2.446924799532955*^-35+0.*I,3.259997104140371*^-36+0.*I,4.3012885542656795*^-37+0.*I,5.621392207442916*^-38+0.*I,7.278291115620776*^-39+0.*I,9.337459448401289*^-40+0.*I,1.1871695762221778*^-40+0.*I,1.4960634204755382*^-41+0.*I,1.8689884847168267*^-42+0.*I,2.3149763751968074*^-43+0.*I,2.843358693682612*^-44+0.*I,3.463551993137096*^-45+0.*I,4.18479956788256*^-46+0.*I,5.015873731894405*^-47+0.*I,5.964744780619796*^-48+0.*I,7.03822540051779*^-49+0.*I,8.241601730483899*^-50+0.*I,9.578264424282388*^-51+0.*I,1.1049354747752248*^-51+0.*I,1.2653441816628492*^-52+0.*I,1.4386247413463505*^-53+0.*I,1.6240434325062415*^-54+0.*I,1.820547277106366*^-55+0.*I,2.0267597258034374*^-56+0.*I,2.2409863155862487*^-57+0.*I,2.4612308572479633*^-58+0.*I,2.6852222866744146*^-59+0.*I,2.9104518595440445*^-60+0.*I,3.1342199074431295*^-61+0.*I,3.3536909295024605*^-62+0.*I,3.5659553920481295*^-63+0.*I,3.7680962721520224*^-64+0.*I,3.957258128666678*^-65+0.*I,4.1307163309871406*^-66+0.*I,4.285944030423251*^-67+0.*I,4.420674524537986*^-68+0.*I,4.532956837637502*^-69+0.*I
