0.04321391826377226+0.*I,0.10832122937756453+0.*I,0.19199438014508394+0.*I,0.2778547486822393+0.*I,0.3482392846436959+0.*I,0.3903756263265229+0.*I,0.3994818045512689+0.*I,0.37847562705578136+0.*I,0.33541529132444997+0.*I,0.28025381765915314+0.*I,0.2221475211573637+0.*I,0.1678939563171288+0.*I,0.12148827742382534+0.*I,0.08446030245058365+0.*I,0.05658203312651666+0.*I,0.03662038056784323+0.*I,0.022948420339775868+0.*I,0.013951415390475721+0.*I,0.008242746644810431+0.*I,0.004740073598430012+0.*I,0.002656807088427985+0.*I,0.0014532499213104227+0.*I,0.0007766384750078384+0.*I,0.0004059241762680248+0.*I,0.00020769652548812442+0.*I,0.00010412359666623026+0.*I,0.00005118614485865067+0.*I,0.000024692239090480473+0.*I,0.000011696916563794955+0.*I,5.444554221620873*^-6+0.*I,2.4916763729505*^-6+0.*I,1.1217619929039385*^-6+0.*I,4.970678410305055*^-7+0.*I,2.1689454557306284*^-7+0.*I,9.323932187252388*^-8+0.*I,3.950526853622594*^-8+0.*I,1.6504170518299068*^-8+0.*I,6.8011565903546045*^-9+0.*I,2.765546149458003*^-9+0.*I,1.1100397750017128*^-9+0.*I,4.3994509416927046*^-10+0.*I,1.7222511565260876*^-10+0.*I,6.661342654898726*^-11+0.*I,2.5463463795952393*^-11+0.*I,9.622348374555974*^-12+0.*I,3.5955452080338108*^-12+0.*I,1.3288494224839381*^-12+0.*I,4.858663000511219*^-13+0.*I,1.7578673213228994*^-13+0.*I,6.29474275811114*^-14+0.*I,2.2314282084147626*^-14+0.*I,7.832272067120498*^-15+0.*I,2.7225510217602053*^-15+0.*I,9.37406642764861*^-16+0.*I,3.1975775124924137*^-16+0.*I,1.0807610148358627*^-16+0.*I,3.620141875472789*^-17+0.*I,1.2019270172128574*^-17+0.*I,3.955979522379512*^-18+0.*I,1.2909753896297843*^-18+0.*I,4.1776521149614263*^-19+0.*I,1.3407792769081669*^-19+0.*I,4.2682650300995803*^-20+0.*I,1.3479414792719504*^-20+0.*I,4.2234852806137335*^-21+0.*I,1.3131194700527515*^-21+0.*I,4.0515593694441147*^-22+0.*I,1.2407227342348673*^-22+0.*I,3.7714661822963783*^-23+0.*I,1.1380873776602775*^-23+0.*I,3.409702757835478*^-24+0.*I,1.0143253527353193*^-24+0.*I,2.996408129211352*^-25+0.*I,8.790821683723562*^-26+0.*I,2.561554173507384*^-26+0.*I,7.414175254275625*^-27+0.*I,2.1317976817260922*^-27+0.*I,6.0896251071801*^-28+0.*I,1.7283559537666175*^-28+0.*I,4.874269957347155*^-29+0.*I,1.3660120148641195*^-29+0.*I,3.8045381554935306*^-30+0.*I,1.0531371959330852*^-30+0.*I,2.897582699504821*^-31+0.*I,7.924760228898147*^-32+0.*I,2.1545997366186747*^-32+0.*I,5.823811517525882*^-33+0.*I,1.5650838818561253*^-33+0.*I,4.182021073732645*^-34+0.*I,1.1111716381221613*^-34+0.*I,2.935957923796787*^-35+0.*I,7.714700406466604*^-36+0.*I,2.0161140018320238*^-36+0.*I,5.240389233414511*^-37+0.*I,1.3548448132824698*^-37+0.*I,3.484317198628157*^-38+0.*I,8.91398712078369*^-39+0.*I,2.2686947670803087*^-39+0.*I,5.744509680629494*^-40+0.*I,1.4471891656471911*^-40+0.*I
-0.10832122937756453+0.*I,-0.22830713803682118+0.*I,-0.3280691901632415+0.*I,-0.36393454810841325+0.*I,-0.3171969398606827+0.*I,-0.19983986977764523+0.*I,-0.04513129396944984+0.*I,0.10823180010124993+0.*I,0.22972927664243525+0.*I,0.3037537305556347+0.*I,0.3293991290882057+0.*I,0.31593223774233575+0.*I,0.2770757740232576+0.*I,0.22632163141287828+0.*I,0.17419139048235294+0.*I,0.1273475906344519+0.*I,0.08895836298957355+0.*I,0.05964774871307995+0.*I,0.038529340778033126+0.*I,0.02404769713628101+0.*I,0.014538625800789375+0.*I,0.008532262246754452+0.*I,0.004869602373255651+0.*I,0.0027071262630703665+0.*I,0.001467996228901328+0.*I,0.0007774834759807759+0.*I,0.00040262361325452036+0.*I,0.0002040767459481421+0.*I,0.00010133922610871006+0.*I,0.00004934234987666122+0.*I,0.000023575345179749554+0.*I,0.000011061226584199912+0.*I,5.099679791740804*^-6+0.*I,2.311763351832474*^-6+0.*I,1.0309853409777781*^-6+0.*I,4.525862440101587*^-7+0.*I,1.9566179074685595*^-7+0.*I,8.334297861278623*^-8+0.*I,3.499294874893842*^-8+0.*I,1.448837308185926*^-8+0.*I,5.91772915244258*^-9+0.*I,2.385318751118518*^-9+0.*I,9.491712178401185*^-10+0.*I,3.729860111671154*^-10+0.*I,1.447858600439331*^-10+0.*I,5.55359799249038*^-11+0.*I,2.1055242535004668*^-11+0.*I,7.89224645109377*^-12+0.*I,2.9255484764284485*^-12+0.*I,1.0727213231359174*^-12+0.*I,3.8917191860831805*^-13+0.*I,1.397232538202094*^-13+0.*I,4.965489371250423*^-14+0.*I,1.7470740622006117*^-14+0.*I,6.086990048494172*^-15+0.*I,2.100480339261075*^-15+0.*I,7.180239870672291*^-16+0.*I,2.4318687546621747*^-16+0.*I,8.161986440435055*^-17+0.*I,2.7150459873482228*^-17+0.*I,8.952670277506046*^-18+0.*I,2.9267670831391097*^-18+0.*I,9.487411202880186*^-19+0.*I,3.0499515173580237*^-19+0.*I,9.724861071988121*^-20+0.*I,3.0759324536851054*^-20+0.*I,9.652257677404176*^-21+0.*I,3.005341202847383*^-21+0.*I,9.285895393775105*^-22+0.*I,2.8475388988207655*^-22+0.*I,8.667236421825809*^-23+0.*I,2.6188129510692915*^-23+0.*I,7.855747889081433*^-24+0.*I,2.3397790059515313*^-24+0.*I,6.920064336964971*^-25+0.*I,2.032525174173075*^-25+0.*I,5.9291657021367*^-26+0.*I,1.718000609071546*^-26+0.*I,4.944976680986346*^-27+0.*I,1.4140165450075437*^-27+0.*I,4.017271152130774*^-28+0.*I,1.1340451842530226*^-28+0.*I,3.181173479833998*^-29+0.*I,8.868220201009158*^-30+0.*I,2.4570341299807395*^-30+0.*I,6.766189862339245*^-31+0.*I,1.8521122906301965*^-31+0.*I,5.039781404727738*^-32+0.*I,1.363351098295531*^-32+0.*I,3.666781365737164*^-33+0.*I,9.80556422904772*^-34+0.*I,2.607346495528814*^-34+0.*I,6.894315844261998*^-35+0.*I,1.8129128545761487*^-35+0.*I,4.7411366346979414*^-36+0.*I,1.2332004963408721*^-36+0.*I,3.1904791738905337*^-37+0.*I,8.210581714996921*^-38+0.*I,2.1018997320492934*^-38+0.*I,5.3529584364287285*^-39+0.*I
0.19199438014508394+0.*I,0.3280691901632415+0.*I,0.35318036143147036+0.*I,0.24325613315829395+0.*I,0.04753576380047076+0.*I,-0.147325451645761+0.*I,-0.26613967204032923+0.*I,-0.2762687906076256+0.*I,-0.19072094084812302+0.*I,-0.05106008139741296+0.*I,0.09536923510424047+0.*I,0.21253412176211608+0.*I,0.2827687531042381+0.*I,0.30526274210323395+0.*I,0.29004455217786707+0.*I,0.2513250420283037+0.*I,0.2025187865704373+0.*I,0.15363308571385167+0.*I,0.11065176770436504+0.*I,0.07613197051402466+0.*I,0.05027645214507292+0.*I,0.03198749088685332+0.*I,0.019667167006543827+0.*I,0.011715368721148303+0.*I,0.006775804891252983+0.*I,0.0038120968600445174+0.*I,0.002089624764696195+0.*I,0.0011176170020678177+0.*I,0.0005839661623814881+0.*I,0.00029843123833227535+0.*I,0.0001493158879847745+0.*I,0.00007321071313404353+0.*I,0.00003520595925154345+0.*I,0.00001661750338438648+0.*I,7.704270543194065*^-6+0.*I,3.5107328826308627*^-6+0.*I,1.5733593187836648*^-6+0.*I,6.93851599780074*^-7+0.*I,3.0126023466221257*^-7+0.*I,1.288447050168477*^-7+0.*I,5.4305072363967945*^-8+0.*I,2.2565790903218483*^-8+0.*I,9.248541553368782*^-9+0.*I,3.740025388750132*^-9+0.*I,1.4928332097803696*^-9+0.*I,5.883446746060867*^-10+0.*I,2.2902175748899635*^-10+0.*I,8.808043251542097*^-11+0.*I,3.3478553795886375*^-11+0.*I,1.2579377124466864*^-11+0.*I,4.673817349878045*^-12+0.*I,1.7175688376335986*^-12+0.*I,6.244405901548851*^-13+0.*I,2.2464812868333867*^-13+0.*I,7.999172225763821*^-14+0.*I,2.8197440641846953*^-14+0.*I,9.84203284201101*^-15+0.*I,3.4021616344664296*^-15+0.*I,1.1649339603437884*^-15+0.*I,3.951863982163891*^-16+0.*I,1.3284099828419654*^-16+0.*I,4.425517805423508*^-17+0.*I,1.461394961163909*^-17+0.*I,4.784206500091132*^-18+0.*I,1.5529444456055741*^-18+0.*I,4.9988289711262505*^-19+0.*I,1.59590685476886*^-19+0.*I,5.0539651720394686*^-20+0.*I,1.5878117876419313*^-20+0.*I,4.9495154488647914*^-21+0.*I,1.5310039653646162*^-21+0.*I,4.69992958554151*^-22+0.*I,1.4320482646641226*^-22+0.*I,4.3313531141002555*^-23+0.*I,1.3005770598323833*^-23+0.*I,3.877400945996292*^-24+0.*I,1.1478409386918479*^-24+0.*I,3.374442888285241*^-25+0.*I,9.852436068814016*^-26+0.*I,2.857241745679583*^-26+0.*I,8.23098309039885*^-27+0.*I,2.3555714307901627*^-27+0.*I,6.6975838871612144*^-28+0.*I,1.8921425485915989*^-28+0.*I,5.311765597363107*^-29+0.*I,1.481862688208941*^-29+0.*I,4.108609050420825*^-30+0.*I,1.1322241529078773*^-30+0.*I,3.1013650985474667*^-31+0.*I,8.444766102245351*^-32+0.*I,2.2859526169445948*^-32+0.*I,6.152074550010232*^-33+0.*I,1.6461898646269474*^-33+0.*I,4.37996617097782*^-34+0.*I,1.1588359763017353*^-34+0.*I,3.0490238287820324*^-35+0.*I,7.978365952526554*^-36+0.*I,2.076382864421636*^-36+0.*I,5.374855173068988*^-37+0.*I,1.3839388263720742*^-37+0.*I
-0.2778547486822393+0.*I,-0.36393454810841325+0.*I,-0.24325613315829395+0.*I,0.0011394751668012727+0.*I,0.2120941112771247+0.*I,0.27457817046129646+0.*I,0.17680834935203965+0.*I,-0.00671817722723081+0.*I,-0.17513322175985876+0.*I,-0.2564440817022565+0.*I,-0.23124112423342474+0.*I,-0.12496173241743902+0.*I,0.01584459453202452+0.*I,0.14685309273693206+0.*I,0.2396896884846134+0.*I,0.2848411037460151+0.*I,0.28732462660856706+0.*I,0.2597529527809715+0.*I,0.21618715174827294+0.*I,0.16828912996078202+0.*I,0.12381169491602001+0.*I,0.08672661210670583+0.*I,0.05816016137182927+0.*I,0.03750140858237923+0.*I,0.023330104827393568+0.*I,0.014043187748854767+0.*I,0.008198399086483744+0.*I,0.004651456164464709+0.*I,0.002569259044525951+0.*I,0.0013837341466567052+0.*I,0.0007276321103320084+0.*I,0.0003740326978557701+0.*I,0.000188155035280219+0.*I,0.00009271606462877473+0.*I,0.00004479321283693042+0.*I,0.000021234352211332647+0.*I,9.884565895153188*^-6+0.*I,4.5213125610200615*^-6+0.*I,2.033451374549466*^-6+0.*I,8.99744842946156*^-7+0.*I,3.9188390536928484*^-7+0.*I,1.681001932965941*^-7+0.*I,7.104894567971999*^-8+0.*I,2.9601839082512425*^-8+0.*I,1.2162774796658503*^-8+0.*I,4.930264270829453*^-9+0.*I,1.9723874722592186*^-9+0.*I,7.790240083259372*^-10+0.*I,3.03871483006688*^-10+0.*I,1.1709705818528761*^-10+0.*I,4.4591131865742814*^-11+0.*I,1.6784972676987852*^-11+0.*I,6.247117313222403*^-12+0.*I,2.2995207456094185*^-12+0.*I,8.373370698773226*^-13+0.*I,3.0169668540823443*^-13+0.*I,1.0758345281527331*^-13+0.*I,3.7976809703515*^-14+0.*I,1.3273302707998854*^-14+0.*I,4.594231359582846*^-15+0.*I,1.5750794743598428*^-15+0.*I,5.349670339562744*^-16+0.*I,1.8003737523264037*^-16+0.*I,6.004581464654288*^-17+0.*I,1.9849878187291855*^-17+0.*I,6.5051312213923005*^-18+0.*I,2.113698578229444*^-18+0.*I,6.810550444513842*^-19+0.*I,2.1763801834565093*^-19+0.*I,6.89858270660985*^-20+0.*I,2.1692758246718824*^-20+0.*I,6.767914096673365*^-21+0.*I,2.09523947813763*^-21+0.*I,6.437291833311722*^-22+0.*I,1.9629704252220371*^-22+0.*I,5.941746861372232*^-23+0.*I,1.785466516774779*^-23+0.*I,5.326873740425454*^-24+0.*I,1.5780503114901347*^-24+0.*I,4.642376768928405*^-25+0.*I,1.3563542991381673*^-25+0.*I,3.9360453841391927*^-26+0.*I,1.134595539922626*^-26+0.*I,3.249038358856737*^-27+0.*I,9.243557207280153*^-28+0.*I,2.6129476087221114*^-28+0.*I,7.339480814355357*^-29+0.*I,2.048697922962944*^-29+0.*I,5.6833246653563205*^-30+0.*I,1.5670112421793282*^-30+0.*I,4.294565250758413*^-31+0.*I,1.169971553307058*^-31+0.*I,3.1686276073140097*^-32+0.*I,8.531727459473613*^-33+0.*I,2.2840309516150207*^-33+0.*I,6.079878812120316*^-34+0.*I,1.609325228013445*^-34+0.*I,4.236196273202502*^-35+0.*I,1.1089666177219812*^-35+0.*I,2.8873352515774898*^-36+0.*I
0.3482392846436959+0.*I,0.3171969398606827+0.*I,0.04753576380047076+0.*I,-0.2120941112771247+0.*I,-0.26468107293818594+0.*I,-0.1070042776158402+0.*I,0.1146918022302289+0.*I,0.24231544754854215+0.*I,0.2099960053960657+0.*I,0.058705160388541525+0.*I,-0.11565592519423891+0.*I,-0.22685371672890156+0.*I,-0.23629832387584931+0.*I,-0.15548880822362574+0.*I,-0.02566949554164408+0.*I,0.1071617036658438+0.*I,0.20957419096461563+0.*I,0.2667828442443003+0.*I,0.28006880944188245+0.*I,0.26024982794493345+0.*I,0.2211309868633628+0.*I,0.17499254290190772+0.*I,0.13049898163482962+0.*I,0.0924621221084454+0.*I,0.0626193654572343+0.*I,0.04072473632986839+0.*I,0.02552807470378425+0.*I,0.015470329867747178+0.*I,0.009086507562561914+0.*I,0.005183688125205595+0.*I,0.0028775604179263788+0.*I,0.0015568615985377858+0.*I,0.0008221068624334576+0.*I,0.0004242318391588973+0.*I,0.00021417148946057134+0.*I,0.00010588679661912067+0.*I,0.00005131459045637594+0.*I,0.000024396108575702182+0.*I,0.000011387067876209357+0.*I,5.221786950309807*^-6+0.*I,2.354089377914594*^-6+0.*I,1.0439583176208705*^-6+0.*I,4.556602339919811*^-7+0.*I,1.9584914334296794*^-7+0.*I,8.293441573953483*^-8+0.*I,3.461601694919244*^-8+0.*I,1.4247318491142405*^-8+0.*I,5.784641821040563*^-9+0.*I,2.3177718998936938*^-9+0.*I,9.167907920617234*^-10+0.*I,3.581139235328327*^-10+0.*I,1.381853448329363*^-10+0.*I,5.268947919801106*^-11+0.*I,1.985782840622067*^-11+0.*I,7.399532332155425*^-12+0.*I,2.7268082344032773*^-12+0.*I,9.94009769168347*^-13+0.*I,3.585217558734876*^-13+0.*I,1.2797576506046653*^-13+0.*I,4.521907121479638*^-14+0.*I,1.5819312171677435*^-14+0.*I,5.480400230417998*^-15+0.*I,1.8805239312299944*^-15+0.*I,6.392449139604402*^-16+0.*I,2.1530512563004716*^-16+0.*I,7.186444418427668*^-17+0.*I,2.3774839624774853*^-17+0.*I,7.797108342605484*^-18+0.*I,2.5352930799228485*^-18+0.*I,8.174576659977487*^-19+0.*I,2.6140057893001016*^-19+0.*I,8.291089257258261*^-20+0.*I,2.6087834454463172*^-20+0.*I,8.144072088200922*^-21+0.*I,2.5227620509449686*^-21+0.*I,7.755223741428346*^-22+0.*I,2.3661723689644125*^-22+0.*I,7.166077933132878*^-23+0.*I,2.1545044755494231*^-23+0.*I,6.4311733408905396*^-24+0.*I,1.906140204666046*^-24+0.*I,5.610284213616257*^-25+0.*I,1.6399198806963375*^-25+0.*I,4.7611220820459797*^-26+0.*I,1.3730456122578946*^-26+0.*I,3.933584912994884*^-27+0.*I,1.119587212948463*^-27+0.*I,3.1661397734243694*^-28+0.*I,8.896945909978574*^-29+0.*I,2.4844231487005972*^-29+0.*I,6.894743032324713*^-30+0.*I,1.9017428840689954*^-30+0.*I,5.213857879115631*^-31+0.*I,1.420927555422075*^-31+0.*I,3.8496475072531283*^-32+0.*I,1.0368990174445297*^-32+0.*I,2.776821151549918*^-33+0.*I,7.394079196008949*^-34+0.*I,1.95782182387286*^-34+0.*I,5.155165455022923*^-35+0.*I
-0.3903756263265229+0.*I,-0.19983986977764523+0.*I,0.147325451645761+0.*I,0.27457817046129646+0.*I,0.1070042776158402+0.*I,-0.14472946570742806+0.*I,-0.24578662201813764+0.*I,-0.13593002052911884+0.*I,0.07110233745386307+0.*I,0.2159308241744075+0.*I,0.21267172297038006+0.*I,0.08275715844471068+0.*I,-0.08655026081177836+0.*I,-0.206716917647285+0.*I,-0.23140708142020466+0.*I,-0.16458895203904872+0.*I,-0.04323561672286246+0.*I,0.08737261440489998+0.*I,0.19222821370020535+0.*I,0.25421501766502+0.*I,0.27261220808135367+0.*I,0.2570173338633194+0.*I,0.22077832555621327+0.*I,0.17623925758989833+0.*I,0.13237816130152946+0.*I,0.09436879998647102+0.*I,0.06424976021666393+0.*I,0.04197967230839656+0.*I,0.026423523292205885+0.*I,0.016072302759035484+0.*I,0.009471650719051726+0.*I,0.005419828541075636+0.*I,0.0030170025738480246+0.*I,0.001636467624054491+0.*I,0.0008661754270374245+0.*I,0.0004479455860364198+0.*I,0.0002266005244358485+0.*I,0.00011224278289582598+0.*I,0.00005449054690841714+0.*I,0.000025948735845537748+0.*I,0.000012130513792736503+0.*I,5.57081065587806*^-6+0.*I,2.5148843357550438*^-6+0.*I,1.1167115656733067*^-6+0.*I,4.880131138721997*^-7+0.*I,2.0999875302922243*^-7+0.*I,8.902435895794509*^-8+0.*I,3.7196878022887935*^-8+0.*I,1.5324838921228538*^-8+0.*I,6.228052866945398*^-9+0.*I,2.497701961610612*^-9+0.*I,9.88818624444844*^-10+0.*I,3.865695332119647*^-10+0.*I,1.4928392507454987*^-10+0.*I,5.696462062148573*^-11+0.*I,2.1484725129336336*^-11+0.*I,8.011362593956279*^-12+0.*I,2.954260997604463*^-12+0.*I,1.0776204924568324*^-12+0.*I,3.8892069020963413*^-13+0.*I,1.3891003647586127*^-13+0.*I,4.911096294614339*^-14+0.*I,1.7190416613758657*^-14+0.*I,5.958605341135758*^-15+0.*I,2.0456754634180804*^-15+0.*I,6.957337546445273*^-16+0.*I,2.344449384042228*^-16+0.*I,7.828965798583318*^-17+0.*I,2.5912255712399554*^-17+0.*I,8.50182717590302*^-18+0.*I,2.7656169245826814*^-18+0.*I,8.920898923172963*^-19+0.*I,2.8538029944585446*^-19+0.*I,9.055198498286923*^-20+0.*I,2.8502859061175013*^-20+0.*I,8.901256190715731*^-21+0.*I,2.7582953293366656*^-21+0.*I,8.482214810285475*^-22+0.*I,2.5888544266617012*^-22+0.*I,7.843052507614715*^-23+0.*I,2.3587913542686112*^-23+0.*I,7.043154455325467*^-24+0.*I,2.0881572124578558*^-24+0.*I,6.1478206224263375*^-25+0.*I,1.797561170689496*^-25+0.*I,5.220257910404329*^-26+0.*I,1.505865527241707*^-26+0.*I,4.3152448259647266*^-27+0.*I,1.2285355562079838*^-27+0.*I,3.4751221930144475*^-28+0.*I,9.76761525198816*^-29+0.*I,2.7282128607839553*^-29+0.*I,7.57309561146335*^-30+0.*I,2.089332157480194*^-30+0.*I,5.7294502575701655*^-31+0.*I,1.5617862475355695*^-31+0.*I,4.2321826903955475*^-32+0.*I,1.1401753489347717*^-32+0.*I,3.0540269217460405*^-33+0.*I,8.133864007035755*^-34+0.*I
0.3994818045512689+0.*I,0.04513129396944984+0.*I,-0.26613967204032923+0.*I,-0.17680834935203965+0.*I,0.1146918022302289+0.*I,0.24578662201813764+0.*I,0.1067905490596808+0.*I,-0.12637907365369422+0.*I,-0.2297193888008385+0.*I,-0.13388555630599577+0.*I,0.0611328411795206+0.*I,0.203271263655013+0.*I,0.2056054893243962+0.*I,0.08414040841151926+0.*I,-0.07896026069030218+0.*I,-0.19745845153545694+0.*I,-0.22452847186967845+0.*I,-0.16218711729792412+0.*I,-0.04537845776085337+0.*I,0.08192759618317814+0.*I,0.1851596453304361+0.*I,0.2469980388986399+0.*I,0.2662223681306307+0.*I,0.2519093411229222+0.*I,0.21701240717109396+0.*I,0.17364567680747864+0.*I,0.13069582673338667+0.*I,0.09333540355241383+0.*I,0.06364655984199+0.*I,0.041644485134097735+0.*I,0.026246168375014773+0.*I,0.015983093614228946+0.*I,0.009429178556844567+0.*I,0.005400857183517682+0.*I,0.003009191689349932+0.*I,0.0016336177250173137+0.*I,0.0008653517496313316+0.*I,0.00044785092462069947+0.*I,0.0002267098438238501+0.*I,0.00011237014656799332+0.*I,0.00005458586911138176+0.*I,0.000026009186429071136+0.*I,0.000012165431288307593+0.*I,5.589743203726388*^-6+0.*I,2.524672362223481*^-6+0.*I,1.121581621520443*^-6+0.*I,4.903592135190465*^-7+0.*I,2.1109764242984537*^-7+0.*I,8.952634179274188*^-8+0.*I,3.7421042201331025*^-8+0.*I,1.5422874870484442*^-8+0.*I,6.270105485196792*^-9+0.*I,2.5154162826084545*^-9+0.*I,9.961541505859774*^-10+0.*I,3.895583575336386*^-10+0.*I,1.5048306075793051*^-10+0.*I,5.743867815089727*^-11+0.*I,2.166950369742996*^-11+0.*I,8.082412884509442*^-12+0.*I,2.9812251658932074*^-12+0.*I,1.0877248598996116*^-12+0.*I,3.926610192528421*^-13+0.*I,1.4027824595463864*^-13+0.*I,4.9605716297989226*^-14+0.*I,1.7367329215033487*^-14+0.*I,6.021179308014515*^-15+0.*I,2.067574051129143*^-15+0.*I,7.033185018127435*^-16+0.*I,2.3704555914989503*^-16+0.*I,7.917258760886118*^-17+0.*I,2.6209138501184654*^-17+0.*I,8.600715612808715*^-18+0.*I,2.7982527544796995*^-18+0.*I,9.027636012513432*^-19+0.*I,2.88840383207546*^-19+0.*I,9.16639314325728*^-20+0.*I,2.8857165684302194*^-20+0.*I,9.013210772729467*^-21+0.*I,2.7933816550196473*^-21+0.*I,8.591291229856628*^-22+0.*I,2.6224964329489814*^-22+0.*I,7.946008035237506*^-23+0.*I,2.3900586823122125*^-23+0.*I,7.137399753750957*^-24+0.*I,2.1163546089328102*^-24+0.*I,6.2315715201253245*^-25+0.*I,1.8222585063814384*^-25+0.*I,5.292574563533604*^-26+0.*I,1.5268936245606348*^-26+0.*I,4.375971499462926*^-27+0.*I,1.245954422355035*^-27+0.*I,3.5247543163066987*^-28+0.*I,9.908106369090474*^-29+0.*I,2.767723783913303*^-29+0.*I,7.683504976747446*^-30+0.*I,2.1199907431881215*^-30+0.*I,5.814054432143196*^-31+0.*I,1.5849900925544678*^-31+0.*I,4.2954370808349813*^-32+0.*I,1.1573155972808288*^-32+0.*I
-0.37847562705578136+0.*I,0.10823180010124993+0.*I,0.2762687906076256+0.*I,-0.00671817722723081+0.*I,-0.24231544754854215+0.*I,-0.13593002052911884+0.*I,0.12637907365369422+0.*I,0.2265241604604274+0.*I,0.0825350116481137+0.*I,-0.13363192675087113+0.*I,-0.2179421057161865+0.*I,-0.11594846388390644+0.*I,0.07135053812090503+0.*I,0.20047704608307843+0.*I,0.1938007553972884+0.*I,0.07148939593335712+0.*I,-0.08580715396196906+0.*I,-0.19624361114590796+0.*I,-0.21708568567661574+0.*I,-0.1523809660312975+0.*I,-0.03694037806944014+0.*I,0.08669591179522591+0.*I,0.18565727509837512+0.*I,0.24390597313161536+0.*I,0.26084434154366687+0.*I,0.24560013251621335+0.*I,0.21083494790057405+0.*I,0.1682540128726741+0.*I,0.12637101028880315+0.*I,0.09009160053700487+0.*I,0.06134622351240242+0.*I,0.04009024057785045+0.*I,0.025239932859632164+0.*I,0.01535615438678148+0.*I,0.009051951842773756+0.*I,0.005181040893768627+0.*I,0.0028848483056804694+0.*I,0.0015652013061066106+0.*I,0.0008286724444355297+0.*I,0.00042866173005090205+0.*I,0.0002169004785195825+0.*I,0.0001074646503003192+0.*I,0.00005218350583655283+0.*I,0.00002485594891601843+0.*I,0.000011622311782091479+0.*I,5.338607904930771*^-6+0.*I,2.4105774281035376*^-6+0.*I,1.0706184163803759*^-6+0.*I,4.6796465841147614*^-7+0.*I,2.014111257821708*^-7+0.*I,8.54000569989047*^-8+0.*I,3.568911898897618*^-8+0.*I,1.4706280185789642*^-8+0.*I,5.9777042266915275*^-9+0.*I,2.397704614992127*^-9+0.*I,9.49385150570666*^-10+0.*I,3.712120231862908*^-10+0.*I,1.4337519855645449*^-10+0.*I,5.471807505388678*^-11+0.*I,2.0640401022621465*^-11+0.*I,7.697605161748686*^-12+0.*I,2.838946914583487*^-12+0.*I,1.0356946733161701*^-12+0.*I,3.738374669806488*^-13+0.*I,1.3353949422272813*^-13+0.*I,4.721797763403518*^-14+0.*I,1.652976686817093*^-14+0.*I,5.730268330338968*^-15+0.*I,1.9675045875021375*^-15+0.*I,6.692208916811465*^-16+0.*I,2.255347365339234*^-16+0.*I,7.53220186139085*^-17+0.*I,2.4932544583717154*^-17+0.*I,8.181188139600895*^-18+0.*I,2.66156937591167*^-18+0.*I,8.586081704553274*^-19+0.*I,2.746945403731201*^-19+0.*I,8.716912707109061*^-20+0.*I,2.744042965815892*^-20+0.*I,8.570193950397588*^-21+0.*I,2.655926912518563*^-21+0.*I,8.168076479829314*^-22+0.*I,2.49317364496187*^-22+0.*I,7.553767426618902*^-23+0.*I,2.2719608876376337*^-23+0.*I,6.784387479130426*^-24+0.*I,2.011583325563597*^-24+0.*I,5.922795559638095*^-25+0.*I,1.731885962311496*^-25+0.*I,5.0298726868831386*^-26+0.*I,1.4510421292555654*^-26+0.*I,4.15841153988395*^-27+0.*I,1.1839609276907542*^-27+0.*I,3.3492438409677333*^-28+0.*I,9.414380138402549*^-29+0.*I,2.6297072527517693*^-29+0.*I,7.300087093288111*^-30+0.*I,2.0141278641805066*^-30+0.*I,5.523533119244707*^-31+0.*I,1.5057386216802923*^-31+0.*I
