2.2711010683240804*^-14+0.*I,0.-1.8002233719422006*^-13*I,-1.0090236187290294*^-12+0.*I,0.+4.617752359875774*^-12*I,1.830166398148024*^-11+0.*I,0.-6.487770960390687*^-11*I,-2.0994707019034875*^-10+0.*I,0.+6.290001262461825*^-10*I,1.7627700913615218*^-9+0.*I,0.-4.657623214997702*^-9*I,-1.1674930043290977*^-8+0.*I,0.+2.790280593256817*^-8*I,6.384798410594696*^-8+0.*I,0.-1.4036713887623213*^-7*I,-2.973660363247126*^-7+0.*I,0.+6.086052140145281*^-7*I,1.2060508290845638*^-6+0.*I,0.-2.3186280475146177*^-6*I,-4.331963280137793*^-6+0.*I,0.+7.87767211067795*^-6*I,0.000013962810268742072+0.*I,0.-0.000024152001308046945*I,-0.00004081611992519933+0.*I,0.+0.00006746177028761078*I,0.00010915460108108788+0.*I,0.-0.00017304616404958817*I,-0.0002690080255215561+0.*I,0.+0.0004103678122164541*I,0.0006147297160600842+0.*I,0.-0.0009048469829865647*I,-0.0013094968241446818+0.*I,0.+0.001864290286388125*I,0.0026123326700053426+0.*I,0.-0.0036046362511860785*I,-0.0049001787392194155+0.*I,0.+0.0065655004233636394*I,0.008673742350120318+0.*I,0.-0.011303048461090509*I,-0.014534286792038217+0.*I,0.+0.0184480877684485*I,0.023121249206633564+0.*I,0.-0.028622614441771856*I,-0.03500858757511962+0.*I,0.+0.04231850295596081*I,0.05057010924084858+0.*I,0.-0.05975545657643652*I,-0.06983748441009059+0.*I,0.+0.08074759435589242*I,0.09238445648598637+0.*I,0.-0.10461423950440034*I,-0.11727237870646384+0.*I,0.+0.13016690552406873*I,0.14308326535781934+0.*I,0.-0.15579045372879652*I,-0.16804821216035412+0.*I,0.+0.17961495171088526*I,0.19025601961587385+0.*I,0.-0.19975189722168377*I,-0.20790591736450564+0.*I,0.+0.21455111637563187*I,0.21955588760691727+0.*I,0.-0.22282817549020376*I,-0.22431803592955027+0.*I,0.+0.22401848362868704*I,0.22196464283346898+0.*I,0.-0.21823130827861015*I,-0.21292910205823565+0.*I,0.+0.20619947512636616*I,0.19820884612868248+0.*I,0.-0.18914219385704298*I,-0.1791964229839266+0.*I,0.+0.16857380748356363*I,0.15747578504335488+0.*I,0.-0.14609733239321337*I,-0.1346220998640552+0.*I,0.+0.12321842775528032*I,0.1120363111455641+0.*I,0.-0.1012053270379732*I,-0.0908334909388296+0.*I,0.+0.08100697110616029*I,0.07179055894365093+0.*I,0.-0.06322877377150544*I,-0.05534746921527337+0.*I,0.+0.048155805909496*I,0.04164845990637975+0.*I,0.-0.03580794665394414*I,-0.030606955098212946+0.*I,0.+0.026010603824913797*I,0.021978549758748554+0.*I,0.-0.018466898545015476*I,-0.015429883345892735+0.*I,0.+0.01282129464284849*I,0.010595657249767278+0.*I,0.-0.008709161842305593*I,-0.007120366831995272+0.*I,0.+0.0057906924545391225*I,0.004684732717239113+0.*I,0.-0.0037704126577674133*I,-0.003019018546997387+0.*I,0.+0.0024051275771056068*I
0.-1.8002233719422006*^-13*I,-1.404263875678132*^-12+0.*I,0.+7.743591673285757*^-12*I,3.4855647789284784*^-11+0.*I,0.-1.3583546417907515*^-10*I,-4.733394301946904*^-10+0.*I,0.+1.5052606244655938*^-9*I,4.4303990048879596*^-9+0.*I,0.-1.2193788626449643*^-8*I,-3.163106018584317*^-8+0.*I,0.+7.781444003416249*^-8*I,1.8245454245745688*^-7+0.*I,0.-4.094427615105442*^-7*I,-8.824346458610475*^-7+0.*I,0.+1.8319121162566913*^-6*I,3.672509609924935*^-6+0.*I,0.-7.125527490364316*^-6*I,-0.000013406288709239824+0.*I,0.+0.000024500870948112468*I,0.000043560995670429374+0.*I,0.-0.0000754483534909378*I,-0.0001274589371811801+0.*I,0.+0.00021025235699726627*I,0.0003389989168548452+0.*I,0.-0.000534736991548945*I,-0.0008259041660420421+0.*I,0.+0.0012499679344081284*I,0.0018550372008913044+0.*I,0.-0.0027012877742402645*I,-0.003861988662827614+0.*I,0.+0.005423877981799651*I,0.0074866154146957286+0.*I,0.-0.010161040334078362*I,-0.01356599782808827+0.*I,0.+0.01782356374151221*I,0.023052605728051505+0.*I,0.-0.029360757117084482*I,-0.03683504605923461+0.*I,0.+0.045531600978455745*I,0.055465027758220306+0.*I,0.-0.06659820462482437*I,-0.07883334709713204+0.*I,0.+0.09200523926657657*I,0.10587749507186972+0.*I,0.-0.12014259680541237*I,-0.13442625878421963+0.*I,0.+0.14829639192358904*I,0.16127661857697848+0.*I,0.-0.17286393247733275*I,-0.18254974689026737+0.*I,0.+0.1898432579426777*I,0.19429580063970497+0.*I,0.-0.1955247183754983*I,-0.19323522081751202+0.*I,0.+0.18723877784137635*I,0.1774667855651326+0.*I,0.-0.16397853046674815*I,-0.146962845601092+0.*I,0.+0.12673326854295158*I,0.10371693940565972+0.*I,0.-0.07843788413917742*I,-0.05149568116680152+0.*I,0.+0.023540781928346785*I,-0.004752070300358774+0.*I,0.+0.032710812938974376*I,0.05969195894672129+0.*I,0.-0.08510408426507422*I,-0.10842779870393439+0.*I,0.+0.1292313708082589*I,0.14718149100855363+0.*I,0.-0.16204897962039205*I,-0.1737095531580575+0.*I,0.+0.18214003367623074*I,0.18741060604434398+0.*I,0.-0.18967388738917565*I,-0.18915166734957897+0.*I,0.+0.18612020856187186*I,0.18089496977162028+0.*I,0.-0.17381553844847616*I,-0.16523144730493367+0.*I,0.+0.15548941223539342*I,0.14492238032735466+0.*I,0.-0.13384062712451741*I,-0.1225250018608661+0.*I,0.+0.11122229536331697*I,0.10014260279505675+0.*I,0.-0.08945847510104313*I,-0.0793055995289032+0.*I,0.+0.06978471976452164*I,0.060964497522839035+0.*I,0.-0.05288502643719029*I,-0.04556173187206886+0.*I,0.+0.03898942280754653*I,0.03314630036218404+0.*I,0.-0.027997768407417762*I,-0.023499932216823803+0.*I,0.+0.01960270896357833*I,0.016252507551972082+0.*I,0.-0.013394463775917501*I,-0.01097423970540808+0.*I
-1.0090236187290294*^-12+0.*I,0.+7.743591673285757*^-12*I,4.199849943646069*^-11+0.*I,0.-1.8588167551279382*^-10*I,-7.120632537701455*^-10+0.*I,0.+2.438288621699995*^-9*I,7.617124636196412*^-9+0.*I,0.-2.201626274025932*^-8*I,-5.948528013608731*^-8+0.*I,0.+1.5142488262865148*^-7*I,3.6542005212447173*^-7+0.*I,0.-8.401650699269144*^-7*I,-1.8480025516105758*^-6+0.*I,0.+3.902160123775594*^-6*I,7.933148699616023*^-6+0.*I,0.-0.000015567486158562177*I,-0.000029551093199091262+0.*I,0.+0.00005436782644892799*I,0.00009710830033055+0.*I,0.-0.00016864224213156498*I,-0.00028513539514510284+0.*I,0.+0.0004699256158036394*I,0.0007557291433891844+0.*I,0.-0.0011870855188971647*I,-0.0018228694453080714+0.*I,0.+0.0027386048318743432*I,0.004028219473852722+0.*I,0.-0.005804791765876304*I,-0.008199780602124394+0.*I,0.+0.011360215141848108*I,0.015443370672428009+0.*I,0.-0.02060858467173407*I,-0.027006080163191563+0.*I,0.+0.03476295771555421*I,0.04396687625397663+0.*I,0.-0.05464833605628682*I,-0.06676286274210114+0.*I,0.+0.08017471821372456*I,0.09464398019990981+0.*I,0.-0.10981888755070268*I,-0.125235207067427+0.*I,0.+0.14032402184553885*I,0.15442877759241594+0.*I,0.-0.16683168561952738*I,-0.17678872831385253+0.*I,0.+0.18357162487022663*I,0.18651428471687068+0.*I,0.-0.18506059847882514*I,-0.1788099772573186+0.*I,0.+0.16755691573455425*I,0.15132105880972882+0.*I,0.-0.13036479541514043*I,-0.10519625021236993+0.*I,0.+0.07655662347347235*I,0.04539204436684354+0.*I,0.-0.012811339691944854*I,0.019967738214779058+0.*I,0.-0.051680341992329556*I,-0.08108028707869239+0.*I,0.+0.10700530419681467*I,0.12843742144582987+0.*I,0.-0.14455453324841244*I,-0.1547699425046533+0.*I,0.+0.15875762318216619*I,0.1564620501317164+0.*I,0.-0.14809258034578673*I,-0.13410344712131775+0.*I,0.+0.11516135974201872*I,0.09210341995674601+0.*I,0.-0.06588853050118827*I,-0.03754566399637019+0.*I,0.+0.00812229157344246*I,-0.02136403003864828+0.*I,0.+0.04996839953260644*I,0.0768537394306518+0.*I,0.-0.10131717002257848*I,-0.12280705271122465+0.*I,0.+0.1409308069277886*I,0.15545415786694267+0.*I,0.-0.16629290913645695*I,-0.17349863931707651+0.*I,0.+0.17723989135494506*I,0.17778046659039803+0.*I,0.-0.1754563675402987*I,-0.17065277755319058+0.*I,0.+0.1637822463911786*I,0.15526499431848081+0.*I,0.-0.14551197734349375*I,-0.13491109350418834+0.*I,0.+0.12381667082609468*I,0.11254217336613596+0.*I,0.-0.1013558993975274*I,-0.09047932779032178+0.*I,0.+0.08008769386883864*I,0.07031234056196442+0.*I,0.-0.06124438867754228*I,-0.05293929473739218+0.*I,0.+0.0454219087914331*I,0.03869170105142563+0.*I,0.-0.03272788882796539*I
0.+4.617752359875774*^-12*I,3.4855647789284784*^-11+0.*I,0.-1.8588167551279382*^-10*I,-8.086808402979801*^-10+0.*I,0.+3.0440885963118576*^-9*I,1.0239451285401435*^-8+0.*I,0.-3.141117615791788*^-8*I,-8.912111125849542*^-8+0.*I,0.+2.3627937046057365*^-7*I,5.899578100389788*^-7+0.*I,0.-1.3958661034998039*^-6*I,-3.1452524860689913*^-6+0.*I,0.+6.776972529141341*^-6*I,0.000014011140673997623+0.*I,0.-0.00002787607796019683*I,-0.00005350485822534466+0.*I,0.+0.00009928771333633525*I,0.00017846630213731038+0.*I,0.-0.0003112384464302052*I,-0.0005273999653054846+0.*I,0.+0.000869477239948876*I,0.0013961966356798206+0.*I,0.-0.002185996713448501*I,-0.003340125595070824+0.*I,0.+0.004984697228686438*I,0.00727093413973391+0.*I,0.-0.010372735514847782*I,-0.014480716637973748+0.*I,0.+0.019792004708931225*I,0.0264953726711725+0.*I,0.-0.0347517543539212*I,-0.04467079324635874+0.*I,0.+0.0562847863480055*I,0.06952211716773672+0.*I,0.-0.08418292748491726*I,-0.09992024231205025+0.*I,0.+0.11622992554648753*I,0.1324526149250561+0.*I,0.-0.14779011320071495*I,-0.1613376013652786+0.*I,0.+0.17213155569585398*I,0.17921152282068004+0.*I,0.-0.1816921182808458*I,-0.17883998012298397+0.*I,0.+0.17014915249474893*I,0.15540769367463608+0.*I,0.-0.13474834317527865*I,-0.10867690973185205+0.*I,0.+0.07807362874565893*I,0.04416496036453446+0.*I,0.-0.008465948340738213*I,0.0273039372650289+0.*I,0.-0.06132589653847772*I,-0.0918000497107646+0.*I,0.+0.11706754436334552*I,0.13572658786467878+0.*I,0.-0.14673279233567418*I,-0.1494754666756044+0.*I,0.+0.14382353590195773*I,0.13013739718735506+0.*I,0.-0.10924596083074757*I,-0.08239107385710914+0.*I,0.+0.05114419423841315*I,0.017302326413097483+0.*I,0.+0.017228338033768477*I,0.05055200637982327+0.*I,0.-0.08089722553202706*I,-0.10671725125754743+0.*I,0.+0.12677047487163537*I,0.14017651326339786+0.*I,0.-0.14644575414220976*I,-0.14548233068069005+0.*I,0.+0.1375624867591478*I,0.12329193241448709+0.*I,0.-0.10354697459245546*I,-0.07940489014791145+0.*I,0.+0.05206918732168694*I,0.02279512477750598+0.*I,0.+0.007179795552019602*I,0.03669657117794947+0.*I,0.-0.06472397283358473*I,-0.0903947816692203+0.*I,0.+0.11302851207792454*I,0.13214110666876414+0.*I,0.-0.1474428731173019*I,-0.1588265033792534+0.*I,0.+0.1663473654570958*I,0.17019839748794807+0.*I,0.-0.17068188934647935*I,-0.16818024424178413+0.*I,0.+0.16312751301915032*I,0.15598312877098355+0.*I,0.-0.14720887764590307*I,-0.13724975655165295+0.*I,0.+0.12651901573359287*I,0.11538738213941696+0.*I,0.-0.10417621861248605*I,-0.09315419804428324+0.*I,0.+0.08253695880713129*I,0.07248915201915586+0.*I
1.830166398148024*^-11+0.*I,0.-1.3583546417907515*^-10*I,-7.120632537701455*^-10+0.*I,0.+3.0440885963118576*^-9*I,1.1256038589795969*^-8+0.*I,0.-3.7178902276495834*^-8*I,-1.1195205646892766*^-7+0.*I,0.+3.1166305279283124*^-7*I,8.104161945720292*^-7+0.*I,0.-1.9837768372724872*^-6*I,-4.59946903023965*^-6+0.*I,0.+0.00001015088297445828*I,0.000021411623111368125+0.*I,0.-0.00004331337533073766*I,-0.0000842695767298454+0.*I,0.+0.00015807547231033712*I,0.00028649998813208864+0.*I,0.-0.0005026335022577261*I,-0.0008549556334375774+0.*I,0.+0.0014119302115847632*I,0.002266720705982427+0.*I,0.-0.0035413616054620163*I,-0.005389449094984906+0.*I,0.+0.007996174974269563*I,0.011574383212020463+0.*I,0.-0.01635534868338675*I,-0.022573228286568034+0.*I,0.+0.030442662152393378*I,0.04012981750718002+0.*I,0.-0.05171823015731361*I,-0.06517201026305924+0.*I,0.+0.08030018456021533*I,0.09672694687104318+0.*I,0.-0.11387316414669105*I,-0.1309544340769236+0.*I,0.+0.14700016625092774*I,0.16089650978095785+0.*I,0.-0.1714535463650097*I,-0.17749421287773903+0.*I,0.+0.17795923906051814*I,0.17201940092619816+0.*I,0.-0.15918405228917*I,-0.13939362735852034+0.*I,0.+0.11308392713630967*I,0.08121166916441483+0.*I,0.-0.04523394766032294*I,-0.0070386566048513625+0.*I,0.-0.031171886433294292*I,-0.06703651449946571+0.*I,0.+0.09821750759935703*I,0.12259339066401888+0.*I,0.-0.13844392197217295*I,-0.14460885396999854+0.*I,0.+0.14060401001087758*I,0.12668207400869855+0.*I,0.-0.10383081799728144*I,-0.07370769125243058+0.*I,0.+0.03851605321816223*I,0.000834126331189634+0.*I,0.+0.03658767190634158*I,0.07104247331170258+0.*I,0.-0.10007632298927757*I,-0.1216728010104179+0.*I,0.+0.13439744585431657*I,0.13749084807400833+0.*I,0.-0.13090449593237716*I,-0.1152789616211323+0.*I,0.+0.09186923041184047*I,0.06242638457878385+0.*I,0.-0.029048075658966162*I,0.005987971521733247+0.*I,0.-0.04039283651788981*I,-0.07202409650374157+0.*I,0.+0.0990209197297375*I,0.11990810172903929+0.*I,0.-0.13366398372381663*I,-0.1397506603014899+0.*I,0.+0.1381080919311013*I,0.12911642517907038+0.*I,0.-0.11353281290664557*I,-0.0924102329507518+0.*I,0.+0.0670062279996156*I,0.03868920607992871+0.*I,0.-0.008849079278430929*I,0.021182259861571774+0.*I,0.-0.050196645381674065*I,-0.07715914525542886+0.*I,0.+0.10124051127771382*I,0.12183305462030533+0.*I,0.-0.13855150891771698*I,-0.15122121853181103+0.*I,0.+0.15985645526904857*I,0.16463184284087506+0.*I,0.-0.16584979573648562*I,-0.16390661154755742+0.*I,0.+0.1592594520990345*I,0.15239596700597013+0.*I,0.-0.14380780572609408*I,-0.13396877403006038+0.*I,0.+0.12331795057258638*I
0.-6.487770960390687*^-11*I,-4.733394301946904*^-10+0.*I,0.+2.438288621699995*^-9*I,1.0239451285401435*^-8+0.*I,0.-3.7178902276495834*^-8*I,-1.2053973843503381*^-7+0.*I,0.+3.561322603300512*^-7*I,9.723532966247954*^-7+0.*I,0.-2.4786245660721145*^-6*I,-5.945018368443717*^-6+0.*I,0.+0.000013499209081545496*I,0.000029161828183638304+0.*I,0.-0.00006017654739201302*I,-0.00011901671293470865+0.*I,0.+0.00022625073207099394*I,0.0004144037708319145+0.*I,0.-0.0007328420131691709*I,-0.0012535094978221308+0.*I,0.+0.0020770587924145187*I,0.0033385469348561083+0.*I,0.-0.005211455265322118*I,-0.007908404935223564+0.*I,0.+0.011676676832573259*I,0.01678662170318526+0.*I,0.-0.023511378563340582*I,-0.03209709385383264+0.*I,0.+0.042724077532343245*I,0.05546098519324088+0.*I,0.-0.07021601191207098*I,-0.08669095382021892+0.*I,0.+0.10434548683878735*I,0.12237974582951847+0.*I,0.-0.13974291514209422*I,-0.15517383077664818+0.*I,0.+0.16727649970833258*I,0.174629155861675+0.*I,0.-0.17592043938801669*I,-0.17010117046330472+0.*I,0.+0.15653579389437244*I,0.1351347181531475+0.*I,0.-0.10644816034624079*I,-0.0717041725907075+0.*I,0.+0.03277832846509795*I,-0.00791027445555934+0.*I,0.+0.04757326823938876*I,0.08328483804884829+0.*I,0.-0.11224996837144847*I,-0.13208157280702254+0.*I,0.+0.14105569893090686*I,0.1383145143880076+0.*I,0.-0.1239912246371405*I,-0.09923903355055107+0.*I,0.+0.06615680713832366*I,0.027615919916033616+0.*I,0.+0.012995667917002941*I,0.0520862407469817+0.*I,0.-0.08619741735919213*I,-0.11232995501844344+0.*I,0.+0.12822404945281415*I,0.1325652379754368+0.*I,0.-0.12509559745347146*I,-0.10662063664232464+0.*I,0.+0.0789137511906604*I,0.04453094198619722+0.*I,0.-0.006557446373926548*I,0.03168594680550292+0.*I,0.-0.06694637324760241*I,-0.09632234476266194+0.*I,0.+0.1175012101261487*I,0.12893097898390715+0.*I,0.-0.1299147532265573*I,-0.12062447163172786+0.*I,0.+0.10203873695046624*I,0.0758163346654283+0.*I,0.-0.044122069100520994*I,-0.00942440428538884+0.*I,0.-0.02571495222964113*I,-0.058840753967413166+0.*I,0.+0.08777744623701668*I,0.11076429644302507+0.*I,0.-0.12654550511329787*I,-0.13441311914491774+0.*I,0.+0.13420487706608475*I,0.12626264055306058+0.*I,0.-0.1113595880011092*I,-0.09060578002003078+0.*I,0.+0.06534208966295034*I,0.037031955005224236+0.*I,0.-0.007159157573333522*I,0.022861909488885758+0.*I,0.-0.05175900674541412*I,-0.07845538707581502+0.*I,0.+0.10210311291658025*I,0.12209733950565699+0.*I,0.-0.13807376868430432*I,-0.14989229758189668+0.*I,0.+0.1576103181200305*I,0.16144920823317663+0.*I,0.-0.1617573571062962*I,-0.15897265881157358+0.*I
-2.0994707019034875*^-10+0.*I,0.+1.5052606244655938*^-9*I,7.617124636196412*^-9+0.*I,0.-3.141117615791788*^-8*I,-1.1195205646892766*^-7+0.*I,0.+3.561322603300512*^-7*I,1.0319196364880664*^-6+0.*I,0.-2.7619104558866128*^-6*I,-6.898159266530417*^-6+0.*I,0.+0.00001620265346591454*I,0.000036009037874933394+0.*I,0.-0.00007609091992963443*I,-0.00015349285331988583+0.*I,0.+0.0002965657437141384*I,0.000550356108210187+0.*I,0.-0.0009832946817009748*I,-0.0016947898802822825+0.*I,0.+0.0028228539491700127*I,0.004550309817424705+0.*I,0.-0.007107528854886799*I,-0.010769169423755722+0.*I,0.+0.015842199870688557*I,0.022642787989577577+0.*I,0.-0.03146058375932977*I,-0.042510593024443884+0.*I,0.+0.055875181382560264*I,0.07144153108753067+0.*I,0.-0.0888426884825952*I,-0.10741262570278381+0.*I,0.+0.12616686888632817*I,0.14381963606440964+0.*I,0.-0.15884569132965398*I,-0.16959019176781784+0.*I,0.+0.17442303222438188*I,0.1719263751674353+0.*I,0.-0.16109636050505077*I,-0.14153381336587212+0.*I,0.+0.11359548179398264*I,0.07847803136507653+0.*I,0.-0.03821225026520279*I,0.004445497814141069+0.*I,0.-0.04622456032516225*I,-0.08363932211050547+0.*I,0.+0.1133476423078799*I,0.13252802610820896+0.*I,0.-0.13922857205296296*I,-0.1326404710706619+0.*I,0.+0.1132554217834021*I,0.08287923038998116+0.*I,0.-0.044491506389429794*I,-0.001961347234564182+0.*I,0.-0.040351634656504466*I,-0.07806551925511561+0.*I,0.+0.10725783529470333*I,0.12490230237913588+0.*I,0.-0.12920698596594316*I,-0.11981247130748414+0.*I,0.+0.0978263024056577*I,0.06569053855953604+0.*I,0.-0.026899986304705144*I,0.01439333462746319+0.*I,0.-0.053840964417825016*I,-0.08736908761650518+0.*I,0.+0.1116057280511465*I,0.1242172678425326+0.*I,0.-0.12412029059622733*I,-0.11155095840093862+0.*I,0.+0.08799149926653596*I,0.055969658360932144+0.*I,0.-0.01876022596450797*I,0.019973379138424424+0.*I,0.-0.056555715934601104*I,-0.08765366742547308+0.*I,0.+0.11057382620294123*I,0.12347729581321504+0.*I,0.-0.1254972920199456*I,-0.11675639665996364+0.*I,0.+0.0982908964988702*I,0.0718982514031208+0.*I,0.-0.03992966782719952*I,-0.005052694888831745+0.*I,0.-0.029991216623509502*I,-0.06261175676756547+0.*I,0.+0.09055938250727152*I,0.112067105574799+0.*I,0.-0.12593804513057283*I,-0.1315781227721281+0.*I,0.+0.12897825885011738*I,0.11865424720677117+0.*I,0.-0.10155495368231272*I,-0.0789505864621124+0.*I,0.+0.05231264970700374*I,0.023196044126854574+0.*I,0.+0.006868093802652929*I,0.03646251386635354+0.*I,0.-0.06435305917431047*I,-0.0895353940809203+0.*I,0.+0.11125970367016735*I,0.12903541333027782+0.*I,0.-0.1426191011212822*I
0.+6.290001262461825*^-10*I,4.4303990048879596*^-9+0.*I,0.-2.201626274025932*^-8*I,-8.912111125849542*^-8+0.*I,0.+3.1166305279283124*^-7*I,9.723532966247954*^-7+0.*I,0.-2.7619104558866128*^-6*I,-7.242747039537734*^-6+0.*I,0.+0.000017714236104881482*I,0.00004072127236602472+0.*I,0.-0.00008851698021291308*I,-0.000182828208531307+0.*I,0.+0.0003602372409261732*I,0.0006793336375249911+0.*I,0.-0.0012294562058466137*I,-0.002140305947081795+0.*I,0.+0.0035909781943305828*I,0.005816113734430081+0.*I,0.-0.009106063409901364*I,-0.013797436459569065+0.*I,0.+0.02025044860876799*I,0.028810384418339458+0.*I,0.-0.039752434434181964*I,-0.05321217599668986+0.*I,0.+0.06910779268514315*I,0.0870642290448189+0.*I,0.-0.10635304206861541*I,-0.12586376454830836+0.*I,0.+0.14412218656131762*I,0.1593673968832376+0.*I,0.-0.16969250897682978*I,-0.17324420584669206+0.*I,0.+0.16846479372553358*I,0.1543492191937195+0.*I,0.-0.1306807181989255*I,-0.09820463959444718+0.*I,0.+0.058702225116415846*I,0.014935481985851519+0.*I,0.+0.029549765457812235*I,0.07075488873508748+0.*I,0.-0.10466343349627548*I,-0.1277297103845865+0.*I,0.+0.1373563063401216*I,0.13229055026393782+0.*I,0.-0.1128755696284807*I,-0.08110806697724486+0.*I,0.+0.040480403556043466*I,-0.004384632121069829+0.*I,0.+0.048266647773568414*I,0.08598155397630693+0.*I,0.-0.11303236831496119*I,-0.12618732901208393+0.*I,0.+0.12390379623156639*I,0.10653694211223746+0.*I,0.-0.07630214755989653*I,-0.03699474047020234+0.*I,0.-0.006495119401245078*I,-0.04880617902964465+0.*I,0.+0.08478374843248353*I,0.11012059208286695+0.*I,0.-0.12187743748225398*I,-0.11881811778346901+0.*I,0.+0.10152140941637815*I,0.07226280942785165+0.*I,0.-0.034690166137571136*I,0.006657072510429817+0.*I,0.-0.04691752020308448*I,-0.08149130405786106+0.*I,0.+0.10656494450046951*I,0.11951730575322712+0.*I,0.-0.11916516406644073*I,-0.10582965236783598+0.*I,0.+0.08122803596844526*I,0.048215894016259385+0.*I,0.-0.010420425807869423*I,0.028185212593517354+0.*I,0.-0.06371437799003815*I,-0.09275824045321168+0.*I,0.+0.11269732234311267*I,0.12190750900107161+0.*I,0.-0.11984907192053977*I,-0.10704115231082337+0.*I,0.+0.084936082718341*I,0.055716761273013976+0.*I,0.-0.022045453280744937*I,0.013206183723543511+0.*I,0.-0.0472179877927097*I,-0.07744980306190909+0.*I,0.+0.1018206363465785*I,0.11882858672310326+0.*I,0.-0.1276086885190283*I,-0.12793201213106903+0.*I,0.+0.1201542556049742*I,0.10512535880978155+0.*I,0.-0.0840733262380108*I,-0.05847558219961985+0.*I,0.+0.029930065285317674*I,0.000036238034883257586+0.*I,0.+0.02970639031095093*I,0.057977406321362154+0.*I
1.7627700913615218*^-9+0.*I,0.-1.2193788626449643*^-8*I,-5.948528013608731*^-8+0.*I,0.+2.3627937046057365*^-7*I,8.104161945720292*^-7+0.*I,0.-2.4786245660721145*^-6*I,-6.898159266530417*^-6+0.*I,0.+0.000017714236104881482*I,0.00004240132184699212+0.*I,0.-0.00009533240225610618*I,-0.00020254068172736596+0.*I,0.+0.00040857989171321564*I,0.0007856453748608819+0.*I,0.-0.0014446153554142677*I,-0.002546871686292082+0.*I,0.+0.004314695773381592*I,0.007036850920758836+0.*I,0.-0.011064927920880959*I,-0.0167955321125847+0.*I,0.+0.024633868883366713*I,0.034936130748287206+0.*I,0.-0.047931499187955404*I,-0.06362940532624518+0.*I,0.+0.08172335754214048*I,0.10150809308487406+0.*I,0.-0.1218306474280864*I,-0.1410966622759767+0.*I,0.+0.1573496331323773*I,0.16843225270744727+0.*I,0.-0.17222596176237673*I,-0.1669488741232252+0.*I,0.+0.15147608807017734*I,0.12563343285856948+0.*I,0.-0.09040939540550894*I,-0.048033071845114426+0.*I,0.+0.0018797382786894165*I,-0.04381077172338126+0.*I,0.+0.08438728591595795*I,0.11536421624352726+0.*I,0.-0.1330461493938205*I,-0.13510607176024694+0.*I,0.+0.12102002734217639*I,0.09227491211054396+0.*I,0.-0.052296190383727195*I,-0.006084447239931745+0.*I,0.-0.04040291766795746*I,-0.08104415901828034+0.*I,0.+0.11040593073222373*I,0.12452695700147387+0.*I,0.-0.12150906859430909*I,-0.10181883084623732+0.*I,0.+0.06824669486879523*I,0.025524018277763835+0.*I,0.+0.020347602385616857*I,0.06295466149936702+0.*I,0.-0.09638832104380647*I,-0.11608142669825026+0.*I,0.+0.11944187785770662*I,0.1061914237881081+0.*I,0.-0.07836566357369985*I,-0.03998332163450848+0.*I,0.-0.003557820947654123*I,-0.04626233689910225+0.*I,0.+0.08237754253619642*I,0.10717105204786394+0.*I,0.-0.11753860378060654*I,-0.11236515927737575+0.*I,0.+0.09260163128999763*I,0.06106185204573342+0.*I,0.-0.021983062379102317*I,0.019577109202097143+0.*I,0.-0.05841706808429674*I,-0.08984774303931256+0.*I,0.+0.11024569201192326*I,0.11743971918135136+0.*I,0.-0.11089484217424828*I,-0.0916866049021436+0.*I,0.+0.06228590214097069*I,0.02619623793972339+0.*I,0.+0.012500585421814937*I,0.049628894616819824+0.*I,0.-0.08137505238504941*I,-0.10466589958629897+0.*I,0.+0.11743524003042348*I,0.11876065518270201+0.*I,0.-0.10886965791210751*I,-0.08902883446317426+0.*I,0.+0.06134072380875033*I,0.028479949342035352+0.*I,0.+0.006597588812917449*I,0.040940407232028145+0.*I,0.-0.07185492975421807*I,-0.09710678719968936+0.*I,0.+0.11505803602693576*I,0.12473644732284497+0.*I,0.-0.12584014460246642*I,-0.11868648222861213+0.*I,0.+0.10411783568023332*I,0.08337886150397592+0.*I,0.-0.057979935628919774*I
