1.3537974758698537*^-9+0.*I,0.-8.651677305256926*^-9*I,-3.909596409721622*^-8+0.*I,0.+1.4425069436014275*^-7*I,4.609295263537547*^-7+0.*I,0.-1.3173347235151802*^-6*I,-3.436901825871022*^-6+0.*I,0.+8.30165573195974*^-6*I,0.000018757127837334953+0.*I,0.-0.000039956891660820884*I,-0.00008074921491555746+0.*I,0.+0.0001555924711897732*I,0.00028704141878334435+0.*I,0.-0.0005087676680919226*I,-0.0008689646290937249+0.*I,0.+0.0014338478913305786*I,0.00229081333835487+0.*I,0.-0.0035506826249587734*I,-0.00534837949251953+0.*I,0.+0.007841371446799339*I,0.011205303952389178+0.*I,0.-0.01562646007684531*I,-0.021290991120382092+0.*I,0.+0.02837125670595779*I,0.0370100408933153+0.*I,0.-0.04730381561061635*I,-0.05928654085375107+0.*I,0.+0.07291566518305895*I,0.0880619785616353+0.*I,0.-0.10450475524151631*I,-0.12193321854642004+0.*I,0.+0.1399548016757471*I,0.15811003197678525+0.*I,0.-0.17589320770773081*I,-0.19277744635273966+0.*I,0.+0.20824223360671693*I,0.22180134505638618+0.*I,0.-0.23302897557087765*I,-0.24158209332930053+0.*I,0.+0.24721740826549388*I,0.24980185896781662+0.*I,0.-0.2493161145902919*I,-0.24585119150204673+0.*I,0.+0.23959883503720633*I,0.2308367634076344+0.*I,0.-0.21991017897122986*I,-0.2072111059289031+0.*I,0.+0.19315711590842102*I,0.17817087219737196+0.*I,0.-0.1626616893720045*I,-0.14701000380160706+0.*I,0.+0.13155531937683626*I,0.11658786621828782+0.*I,0.-0.10234391628859033*I,-0.08900445889724044+0.*I,0.+0.07669676249323436*I,0.06549824011279526+0.*I,0.-0.05544199069929863*I,-0.046523398421444075+0.*I,0.+0.03870722509595731*I,0.0319347135803325+0.*I,0.-0.02613031952422067*I,-0.021207793601690225+0.*I,0.+0.0170754369522005*I,0.013640442255014575+0.*I,0.-0.010812307428143805*I,-0.008505366460958206+0.*I,0.+0.006640522330243233*I,0.005146291682494302+0.*I,0.-0.0039592822665235105*I,-0.003024224707652696+0.*I,0.+0.002293672963307228*I,0.0017274753526642281+0.*I,0.-0.001292102724085959*I,-0.0009599039851985552+0.*I,0.+0.0007083432757388835*I,0.0005192584730271811+0.*I,0.-0.0003781680566655344*I,-0.00027364288023704774+0.*I,0.+0.00019675112297452734*I,0.00014057847857745087+0.*I,0.-0.00009982123572924215*I,-0.00007044702025480333+0.*I,0.+0.000049416296542719385*I,0.000034456976283347185+0.*I,0.-0.0000238843987772897*I,-0.0000164593128627544+0.*I,0.+0.000011277132590917245*I,7.682524662523078*^-6+0.*I,0.-5.204219100180776*^-6*I,-3.505749897959874*^-6+0.*I,0.+2.3485880479258394*^-6*I,1.5648025502312158*^-6+0.*I,0.-1.036966397469449*^-6*I,-6.835139288217581*^-7+0.*I,0.+4.481590584038048*^-7*I,2.923096648508937*^-7+0.*I,0.-1.8967230427913573*^-7*I,-1.2244399614573717*^-7+0.*I,0.+7.864416581878193*^-8*I
0.-8.651677305256926*^-9*I,-5.3936245184464925*^-8+0.*I,0.+2.3761421227648675*^-7*I,8.541428565202422*^-7+0.*I,0.-2.6571486021805466*^-6*I,-7.387986015660077*^-6+0.*I,0.+0.0000187373186437768*I,0.00004395998164565145+0.*I,0.-0.00009639004672988318*I,-0.00019908005489159797+0.*I,0.+0.0003896870612718781*I,0.0007265257944281431+0.*I,0.-0.0012953997838519007*I,-0.0022164253696885334+0.*I,0.+0.0036496347006500615*I,0.005797767816496182+0.*I,0.-0.008904447940428108*I,-0.01324598708250672+0.*I,0.+0.019115475143666003*I,0.02679859697258073+0.*I,0.-0.03654175696261104*I,-0.04851444674648926+0.*I,0.+0.06276917265174298*I,0.07920342471862407+0.*I,0.-0.09752887347085731*I,-0.1172530242401162+0.*I,0.+0.13767783142829115*I,0.15791828757766363+0.*I,0.-0.1769418965943651*I,-0.1936274752740615+0.*I,0.+0.20683923905382245*I,0.21550997740733657+0.*I,0.-0.21872563618127197*I,-0.21580303235716308+0.*I,0.+0.20635283545439698*I,0.19032131733330976+0.*I,0.-0.1680065194360132*I,-0.1400471281069646+0.*I,0.+0.10738513968061611*I,0.07120598687454939+0.*I,0.-0.0328618813902905*I,0.006214515193238617+0.*I,0.-0.04459845934337592*I,-0.08095621031473775+0.*I,0.+0.11411654467789206*I,0.14312598747836855+0.*I,0.-0.16728493015324192*I,-0.1861637593168455+0.*I,0.+0.1995999287833961*I,0.20767839947783825+0.*I,0.-0.2106989382182805*I,-0.20913436093503335+0.*I,0.+0.2035839420661804*I,0.19472595043359925+0.*I,0.-0.18327270558801453*I,-0.1699307855410144+0.*I,0.+0.15536816530739664*I,0.14018922216179078+0.*I,0.-0.12491778424566947*I,-0.10998777623621074+0.*I,0.+0.09574055675370544*I,0.08242775258083983+0.*I,0.-0.07021826257430312*I,-0.0592081051392599+0.*I,0.+0.04943188627806697*I,0.0408748374863849+0.*I,0.-0.03348458292643136*I,-0.027182016562670244+0.*I,0.+0.021870881398598323*I,0.01744583005384713+0.*I,0.-0.013798900142143161*I,-0.010824455900004205+0.*I,0.+0.008422729960219848*I,0.006502149577298375+0.*I,0.-0.004980655197121797*I,-0.0037862219447532186+0.*I,0.+0.0028567822828753234*I,0.0021397261276383662+0.*I,0.-0.0015911276109312022*I,-0.0011748189833703277+0.*I,0.+0.0008614044209186599*I,0.0006272814069556624+0.*I,0.-0.00045371584711333736*I,-0.00032599949480457616+0.*I,0.+0.00023270456257985006*I,0.00016504023652101824+0.*I,0.-0.00011630871194744055*I,-0.00008145378051962775+0.*I,0.+0.000056692376061920576*I,0.00003921832895943391+0.*I,0.-0.00002696745532841187*I,-0.000018433663783954747+0.*I,0.+0.000012526723402956156*I,8.463495894315903*^-6+0.*I,0.-5.685648059635387*^-6*I,-3.798031592963357*^-6+0.*I,0.+2.522988512997712*^-6*I,1.6667826033438826*^-6+0.*I,0.-1.0951604459125885*^-6*I,-7.157132129383762*^-7+0.*I
-3.909596409721622*^-8+0.*I,0.+2.3761421227648675*^-7*I,1.0198158591046312*^-6+0.*I,0.-3.5687594467619867*^-6*I,-0.000010799417547317942+0.*I,0.+0.000029184163372507516*I,0.00007187548446606351+0.*I,0.-0.00016359593716699887*I,-0.0003476558994365773+0.*I,0.+0.0006951463809597827*I,0.0013157957997922778+0.*I,0.-0.002369191808034194*I,-0.004074149557615937+0.*I,0.+0.0067131444744256245*I,0.010628181535475345+0.*I,0.-0.016204529391748858*I,-0.023839642629744574+0.*I,0.+0.033896433397552085*I,0.04664273737884872+0.*I,0.-0.062182017305492075*I,-0.08038351662510058+0.*I,0.+0.10082254420368544*I,0.1227426685472863+0.*I,0.-0.1450508152745883*I,-0.16635338216951107+0.*I,0.+0.18503669054001695*I,0.19938896239887924+0.*I,0.-0.20775446188942154*I,-0.20870455435823834+0.*I,0.+0.2012062806032236*I,0.18476744809818654+0.*I,0.-0.15953863556742756*I,-0.12635682750830607+0.*I,0.+0.0867220824514195*I,0.04270673488911539+0.*I,0.+0.0031950533600135812*I,0.048262255033124084+0.*I,0.-0.08976602284122515*I,-0.12518981818151417+0.*I,0.+0.15242803000186228*I,0.16994367994454163+0.*I,0.-0.17687119670998855*I,-0.17305697369563597+0.*I,0.+0.15903752987590472*I,0.13596164372005887+0.*I,0.-0.10546806276582596*I,-0.06953380552766579+0.*I,0.+0.03030946358390507*I,-0.01004263775258525+0.*I,0.+0.04949373467244222*I,0.08626701245729504+0.*I,0.-0.11892264870449819*I,-0.14640707591925683+0.*I,0.+0.16806764914244762*I,0.18363681829185763+0.*I,0.-0.19319192297849472*I,-0.19709779945388461+0.*I,0.+0.19593958151176377*I,0.1904525410482806+0.*I,0.-0.1814547501790958*I,-0.16978697092655085+0.*I,0.+0.156262692814698*I,0.14162981207073178+0.*I,0.-0.126544202579475*I,-0.11155444434383673+0.*I,0.+0.09709628134137234*I,0.08349497169940646+0.*I,0.-0.07097353639439911*I,-0.05966495903034541+0.*I,0.+0.04962658248499508*I,0.04085523288415582+0.*I,0.-0.03330192827127695*I,-0.02688535880138385+0.*I,0.+0.02150362845505744*I,0.017044006888473368+0.*I,0.-0.013390645169916308*I,-0.01043035929415515+0.*I,0.+0.008056684355900458*I,0.006172457301976892+0.*I,0.-0.004691206111321057*I,-0.0035376172180630896+0.*I,0.+0.002647329501512752*I,0.001966269508342961+0.*I,0.-0.0014497045530141694*I,-0.0010611522483464848+0.*I,0.+0.0007712497359760918*I,0.0005566551173716504+0.*I,0.-0.00039902809789840493*I,-0.0002841167356980578+0.*I,0.+0.00020096206694059557*I,0.00014122162785862403+0.*I,0.-0.00009860576210060385*I,-0.00006841632567606667+0.*I,0.+0.000047175271613915415*I,0.000032329995577754936+0.*I,0.-0.00002202274416416888*I,-0.000014912431260764778+0.*I,0.+0.000010038577265124554*I,6.718570403177363*^-6+0.*I,0.-4.470908596657626*^-6*I
0.+1.4425069436014275*^-7*I,8.541428565202422*^-7+0.*I,0.-3.5687594467619867*^-6*I,-0.000012147682118938352+0.*I,0.+0.000035725297199081217*I,0.00009373756215260462+0.*I,0.-0.00022392323877882202*I,-0.0004938212651108376+0.*I,0.+0.0010155799474093456*I,0.0019626939714972942+0.*I,0.-0.003585677228733458*I,-0.006221947808352133+0.*I,0.+0.010293830480296955*I,0.016288181334410397+0.*I,0.-0.024712293981492373*I,-0.03602381756732101+0.*I,0.+0.05053734470323486*I,0.0683165094145785+0.*I,0.-0.08906673267591009*I,-0.11204866199479997+0.*I,0.+0.13603431982766553*I,0.1593258031171508+0.*I,0.-0.17984959563506647*I,-0.19532868405099346+0.*I,0.+0.20352124680767322*I,0.20250105527867684+0.*I,0.-0.19094359685029857*I,-0.16837580016225648+0.*I,0.+0.1353478375595728*I,0.0934933154470621+0.*I,0.-0.04545836668452976*I,0.005301416894404188+0.*I,0.-0.05483765923384163*I,-0.09910345516660489+0.*I,0.+0.13437683353935356*I,0.15765992065801077+0.*I,0.-0.16700317361065936*I,-0.16171435763882502+0.*I,0.+0.14242786184821193*I,0.11102882662964436+0.*I,0.-0.07044540469616417*I,-0.024338505548919524+0.*I,0.-0.023270559637145517*I,-0.06838920596843186+0.*I,0.+0.10741554980960735*I,0.1374362145386831+0.*I,0.-0.15643384865890142*I,-0.16339120918517377+0.*I,0.+0.15829174218490352*I,0.1420280632161509+0.*I,0.-0.11623835353957353*I,-0.08309576901889312+0.*I,0.+0.04507741162175231*I,0.004737636485180047+0.*I,0.+0.03549378960410305*I,0.07347396538531455+0.*I,0.-0.10746124614269452*I,-0.1361795575644231+0.*I,0.+0.15883566229259186*I,0.1750963122813321+0.*I,0.-0.18503464077679735*I,-0.18905613126204984+0.*I,0.+0.18781424992138157*I,0.18212464211620322+0.*I,0.-0.17288500818794597*I,-0.16100571351757642+0.*I,0.+0.14735412835397227*I,0.13271384248527002+0.*I,0.-0.11775839152879965*I,-0.10303802801943691+0.*I,0.+0.08897737519647694*I,0.07588147460083296+0.*I,0.-0.06394771336181483*I,-0.05328131420763144+0.*I,0.+0.043912411395113995*I,0.03581314786738493+0.*I,0.-0.028913655359191128*I,-0.023116177677781912+0.*I,0.+0.018306940966142615*I,0.014365649697792617+0.*I,0.-0.011172690351851575*I,-0.00861426067127328+0.*I,0.+0.006585720371906645*I,0.004993490733470226+0.*I,0.-0.003755827710429171*I,-0.002802767249741281+0.*I,0.+0.0020755019635749395*I,0.001525402766271793+0.*I,0.-0.0011128531154515398*I,-0.0008060208244207025+0.*I,0.+0.0005796552165962488*I,0.00041396664603817466+0.*I,0.-0.00029362121505402416*I,-0.00020686541271085565+0.*I,0.+0.0001447825832627572*I,0.00010067467734736282+0.*I,0.-0.00006955769875920615*I,-0.00004775676757316701+0.*I,0.+0.00003258602833968061*I,0.00002209912974706058+0.*I
4.609295263537547*^-7+0.*I,0.-2.6571486021805466*^-6*I,-0.000010799417547317942+0.*I,0.+0.000035725297199081217*I,0.00010200666833228207+0.*I,0.-0.0002595809686217792*I,-0.0006007055267530582+0.*I,0.+0.001281702571554545*I,0.0025467510674255637+0.*I,0.-0.004748098002645116*I,-0.008354154111645522+0.*I,0.+0.013935044695055956*I,0.022115523782240836+0.*I,0.-0.03348875550529538*I,-0.048491700954773585+0.*I,0.+0.06725307199764505*I,0.08943619314476471+0.*I,0.-0.11410883925491982*I,-0.13967699144713877+0.*I,0.+0.1639167495699066*I,0.18412701890658578+0.*I,0.-0.19740578957580923*I,-0.20102787033611014+0.*I,0.+0.19287671726042774*I,0.17186328510670415+0.*I,0.-0.13825592078830404*I,-0.09385065144623818+0.*I,0.+0.04193134373180498*I,-0.012998592047175331+0.*I,0.+0.06569259106812392*I,0.11078720541464267+0.*I,0.-0.1434905485573794*I,-0.16023010943894478+0.*I,0.+0.15915971517362862*I,0.14044547743359848+0.*I,0.-0.10628448409864295*I,-0.06065159455692204+0.*I,0.+0.008811485732315267*I,-0.04333216248128097+0.*I,0.+0.08995638031649188*I,0.12600719664945628+0.*I,0.-0.1477656210218717*I,-0.15322304313408755+0.*I,0.+0.14222890221719858*I,0.11640750410862938+0.*I,0.-0.07887226260214428*I,-0.03378992613247724+0.*I,0.-0.014138302781472165*I,-0.06020835096640154+0.*I,0.+0.10019362598370124*I,0.13072436521648204+0.*I,0.-0.1495349873964081*I,-0.15556855181806686+0.*I,0.+0.14894591170528976*I,0.13082179371807662+0.*I,0.-0.10315955793478065*I,-0.06846044986329147+0.*I,0.+0.02948221908131258*I,-0.011022897523287655+0.*I,0.+0.05052827710676546*I,0.08689713754313805+0.*I,0.-0.11848539185425269*I,-0.14418498229609608+0.*I,0.+0.16341515833284231*I,0.17607277050793568+0.*I,0.-0.1824542957539384*I,-0.18316225734490826+0.*I,0.+0.1790073604223912*I,0.17091548961724923+0.*I,0.-0.15984614823691856*I,-0.14672633084097247+0.*I,0.+0.13240149023566833*I,0.11760336117923628+0.*I,0.-0.10293301670906015*I,-0.088856661469251+0.*I,0.+0.07571125613914244*I,0.063717030575764+0.*I,0.-0.052994178962123314*I,-0.04358143780163025+0.*I,0.+0.0354547386768962*I,0.028544631889404957+0.*I,0.-0.02275164399398449*I,-0.017959130546579855+0.*I,0.+0.014043500200175802*I,0.010881915441321402+0.*I,0.-0.008357725440711495*I,-0.0063639696708519145+0.*I,0.+0.004805321448367976*I,0.003598832860939583+0.*I,0.-0.002673809789064134*I,-0.001971098928658926+0.*I,0.+0.0014420163879540512*I,0.0010470956693829092+0.*I,0.-0.0007547855980602584*I,-0.0005401882039517393+0.*I,0.+0.00038389354850878804*I,0.00027094291689397734+0.*I,0.-0.00018993299370276745*I,-0.00013226060968944675+0.*I,0.+0.00009149928553369333*I
0.-1.3173347235151802*^-6*I,-7.387986015660077*^-6+0.*I,0.+0.000029184163372507516*I,0.00009373756215260462+0.*I,0.-0.0002595809686217792*I,-0.0006398746909163981+0.*I,0.+0.001432457263738292*I,0.002952336405137047+0.*I,0.-0.005657364494641541*I,-0.01015321979744263+0.*I,0.+0.017161314097727996*I,0.027435088404531724+0.*I,0.-0.0416179991787668*I,-0.060050517298230105+0.*I,0.+0.08255167921473207*I,0.10821891817312408+0.*I,0.-0.13530232601373596*I,-0.16121040967245176+0.*I,0.+0.18268997714219343*I,0.19619282574909935+0.*I,0.-0.19840077676297146*I,-0.18683684932676872+0.*I,0.+0.1604549634108964*I,0.12008413037588749+0.*I,0.-0.06861285882113138*I,-0.010836874529499248+0.*I,0.-0.04704722396989416*I,-0.0982495951253282+0.*I,0.+0.1363775935101979*I,0.15644440467675463+0.*I,0.-0.15571605734063337*I,-0.13423749104246005+0.*I,0.+0.09493144030276134*I,0.043239218367386374+0.*I,0.+0.013645152280639731*I,0.06782318003797781+0.*I,0.-0.11184918555177338*I,-0.1398069843225937+0.*I,0.+0.14813473503110922*I,0.13607482769333967+0.*I,0.-0.10569299264662092*I,-0.06148384883708314+0.*I,0.+0.009645381168010983*I,-0.04284853907185842+0.*I,0.+0.08922693148543216*I,0.12380590456387994+0.*I,0.-0.142659944993259*I,-0.1440051640031094+0.*I,0.+0.1282692947624947*I,0.0978710263345352+0.*I,0.-0.05676964233880248*I,-0.00987024767741468+0.*I,0.-0.03762155193117211*I,-0.0808076953856186+0.*I,0.+0.11559805639281376*I,0.1390572044962947+0.*I,0.-0.1495782248830896*I,-0.14688901970545815+0.*I,0.+0.1319162165056504*I,0.10654471530819422+0.*I,0.-0.07331658157590878*I,-0.03511211816730275+0.*I,0.-0.005150022339913995*I,-0.044766053185019174+0.*I,0.+0.08143657760786027*I,0.11338576238670682+0.*I,0.-0.13941238451671153*I,-0.15888163772916422+0.*I,0.+0.17167074845172353*I,0.1780832184424665+0.*I,0.-0.17874626073536956*I,-0.17450425581900272+0.*I,0.+0.1663183987271051*I,0.1551796663527979+0.*I,0.-0.14203924243186675*I,-0.12775790600433568+0.*I,0.+0.11307380139107297*I,0.09858653443086308+0.*I,0.-0.08475466281203071*I,-0.0719032891623958+0.*I,0.+0.06023851212813874*I,0.04986582054920291+0.*I,0.-0.04081001327373095*I,-0.03303479400541775+0.*I,0.+0.026460751700130385*I,0.02098094124102534+0.*I,0.-0.01647369708980312*I,-0.0128126329285976+0.*I,0.+0.009874004841184062*I,0.0075417549027229245+0.*I,0.-0.005710621428607335*I,-0.004287718409921168+0.*I,0.+0.0031929659991544643*I,0.0023587104132561506+0.*I,0.-0.0017288166632586609*I,-0.0012574595813503219+0.*I,0.+0.0009077834880993598*I,0.0006505520291613013+0.*I,0.-0.00046286892010774283*I,-0.0003270179718193093+0.*I
-3.436901825871022*^-6+0.*I,0.+0.0000187373186437768*I,0.00007187548446606351+0.*I,0.-0.00022392323877882202*I,-0.0006007055267530582+0.*I,0.+0.001432457263738292*I,0.003097379704145192+0.*I,0.-0.006155360163885137*I,-0.011350894451839925+0.*I,0.+0.019560733718263223*I,0.03166579933657816+0.*I,0.-0.048341106942325386*I,-0.06978151275057379+0.*I,0.+0.0954106481904672*I,0.1236471174343057+0.*I,0.-0.15181548199288308*I,-0.1762805021449052+0.*I,0.+0.19284721293702534*I,0.19741013687345563+0.*I,0.-0.1867642413845256*I,-0.1594264872598607+0.*I,0.+0.11628000368350438*I,0.06085869075018785+0.*I,0.+0.0008559058971497685*I,0.06115858648210606+0.*I,0.-0.11178220722122041*I,-0.14530408674496453+0.*I,0.+0.15652913550812395*I,0.14356322518798165+0.*I,0.-0.10833654424876676*I,-0.05643997782165196+0.*I,0.-0.0037241930154233134*I,-0.06233384183301349+0.*I,0.+0.10982364424116935*I,0.13852987661816568+0.*I,0.-0.14399324324870066*I,-0.12568026382538566+0.*I,0.+0.08700127019547992*I,0.034640910775993364+0.*I,0.+0.022654254243374812*I,0.07559263962448019+0.*I,0.-0.11587808283300643*I,-0.13750635335308653+0.*I,0.+0.13761233627813607*I,0.11675701463711909+0.*I,0.-0.0786492899157276*I,-0.029394119690886254+0.*I,0.-0.023571178418521518*I,-0.07265590436998667+0.*I,0.+0.11121635226084214*I,0.1344183745609229+0.*I,0.-0.13975923391921038*I,-0.12721115260978977+0.*I,0.+0.09901104716451438*I,0.059170095888367+0.*I,0.-0.012807167353338067*I,0.0345799665232611+0.*I,0.-0.07780032786534426*I,-0.1125295631521441+0.*I,0.+0.13569161707297667*I,0.14564237345675138+0.*I,0.-0.14216460160603553*I,-0.12630598099126045+0.*I,0.+0.10010582160047353*I,0.06626120093155126+0.*I,0.-0.027780756865622095*I,0.012333708604813623+0.*I,0.-0.051349027851387063*I,-0.0869895008040313+0.*I,0.+0.1175480229727354*I,0.1419243162620636+0.*I,0.-0.1596018464989364*I,-0.17057886130005978+0.*I,0.+0.1752701685368684*I,0.17439533274832078+0.*I,0.-0.16886655376258305*I,-0.15968627227754778+0.*I,0.+0.1478611019824865*I,0.13433546389188009+0.*I,0.-0.11994559095058022*I,-0.10539253026347704+0.*I,0.+0.09123142674752661*I,0.07787366776944116+0.*I,0.-0.06559829108687545*I,-0.054569271299350595+0.*I,0.+0.044855765245793065*I,0.03645299181448239+0.*I,0.-0.029302048292624578*I,-0.0233075531164394+0.*I,0.+0.018352509636414296*I,0.014310185899557456+0.*I,0.-0.011053097575395398*I,-0.008459373186498384+0.*I,0.+0.006416888051191917*I,0.004825594213167847+0.*I,0.-0.0035984666611282*I,-0.0026614480658482976+0.*I,0.+0.0019527189519243026*I,0.00142155830873432+0.*I,0.-0.001026998627091031*I
0.+8.30165573195974*^-6*I,0.00004395998164565145+0.*I,0.-0.00016359593716699887*I,-0.0004938212651108376+0.*I,0.+0.001281702571554545*I,0.002952336405137047+0.*I,0.-0.006155360163885137*I,-0.011770569273083245+0.*I,0.+0.02083713218809746*I,0.034377219751382186+0.*I,0.-0.05310752552283496*I,-0.0770702230124213+0.*I,0.+0.10526021042809844*I,0.1353632341304478+0.*I,0.-0.1637320811485655*I,-0.1857014716143016+0.*I,0.+0.19627285381943438*I,0.19109898631698904+0.*I,0.-0.1675902968365845*I,-0.12588424379849755+0.*I,0.+0.06939711474722274*I,0.004733461726032181+0.*I,0.+0.05914144485309795*I,0.1123831409396323+0.*I,0.-0.14614052165523397*I,-0.15442518221358723+0.*I,0.+0.13554232472349131*I,0.09271633906812418+0.*I,0.-0.03371115437412949*I,0.03052750006837102+0.*I,0.-0.08795015382132981*I,-0.1277688482645411+0.*I,0.+0.14260145935190366*I,0.12993147308884265+0.*I,0.-0.09257211300457131*I,-0.03804589038331249+0.*I,0.-0.022971909739547016*I,-0.0788004939059761+0.*I,0.+0.11903352569401567*I,0.13648612905456872+0.*I,0.-0.12843602260689682*I,-0.096951629341716+0.*I,0.+0.04829719448288211*I,-0.008411215137366816+0.*I,0.+0.06299195312350171*I,0.10605983673892921+0.*I,0.-0.13061591295317357*I,-0.1331008056698888+0.*I,0.+0.11377268463278824*I,0.07640779960065795+0.*I,0.-0.027442315051786757*I,0.025241829979336005+0.*I,0.-0.07364760937367047*I,-0.11088113952935683+0.*I,0.+0.13207699579474352*I,0.13492226287266093+0.*I,0.-0.11975023129945374*I,-0.0892462759282867+0.*I,0.+0.047861650167306403*I,0.0010601189075219858+0.*I,0.+0.04547287823735385*I,0.08654471173066292+0.*I,0.-0.11800993465080158*I,-0.13711759201918386+0.*I,0.+0.14264110439792455*I,0.13481128765336173+0.*I,0.-0.11509495846354706*I,-0.0858731890141533+0.*I,0.+0.05007520677910938*I,0.010818077208556353+0.*I,0.+0.028908760029984694*I,0.06648859800865248+0.*I,0.-0.09984037788567941*I,-0.1274995318242846+0.*I,0.+0.1486259918115998*I,0.16295443795938064+0.*I,0.-0.1707045164106814*I,-0.17246872840513933+0.*I,0.+0.16909368526537083*I,0.16156720389399581+0.*I,0.-0.15091998822727845*I,-0.13814697285487262+0.*I,0.+0.12415019491493727*I,0.10970253815601402+0.*I,0.-0.09542993920143641*I,-0.08180862770365177+0.*I,0.+0.06917358182440776*I,0.05773447249184575+0.*I,0.-0.04759578938122161*I,-0.03877844589306297+0.*I,0.+0.03124083175158326*I,0.024897932731062864+0.*I,0.-0.019637710269020024*I,-0.01533439886312112+0.*I,0.+0.011858726841045839*I,0.009085302038865506+0.*I,0.-0.006897543123874378*I,-0.005190599257434617+0.*I,0.+0.00387270590686059*I,0.002865391733822564+0.*I
0.000018757127837334953+0.*I,0.-0.00009639004672988318*I,-0.0003476558994365773+0.*I,0.+0.0010155799474093456*I,0.0025467510674255637+0.*I,0.-0.005657364494641541*I,-0.011350894451839925+0.*I,0.+0.02083713218809746*I,0.035309768051784984+0.*I,0.-0.05557229333882019*I,-0.08155859003582457+0.*I,0.+0.11186177418292569*I,0.1434382108529372+0.*I,0.-0.17166470658132368*I,-0.19087477290270155+0.*I,0.+0.19538272612260615*I,0.18084602013110473+0.*I,0.-0.14566310273474167*I,-0.09201244354482527+0.*I,0.+0.02615443051776107*I,-0.04224155802670533+0.*I,0.+0.10174118386308983*I,0.14147635240183642+0.*I,0.-0.15364423653896925*I,-0.13554304302022802+0.*I,0.+0.09057269656147443*I,0.027856362179289287+0.*I,0.+0.039519756672236124*I,0.09728791547850575+0.*I,0.-0.13315930847423676*I,-0.13960221465759554+0.*I,0.+0.11555653135286599*I,0.06666234274221133+0.*I,0.-0.003947979298580024*I,0.058699070640351646+0.*I,0.-0.1076659002059564*I,-0.132611269326177+0.*I,0.+0.1286423584791923*I,0.09720791360416359+0.*I,0.-0.04556388324025764*I,0.01499823707785936+0.*I,0.-0.07170261664375911*I,-0.11301927448274647+0.*I,0.+0.13097711020894198*I,0.12260075468201788+0.*I,0.-0.0902377476495068*I,-0.040796811863644936+0.*I,0.-0.01585822266249761*I,-0.06896602660880807+0.*I,0.+0.10893386974057359*I,0.1290151196105408+0.*I,0.-0.12632095526838633*I,-0.10204837152903105+0.*I,0.+0.06096761012270544*I,0.010342950301792863+0.*I,0.+0.04145948119514651*I,0.08640178914593634+0.*I,0.-0.11799866766190084*I,-0.1321622246019987+0.*I,0.+0.12758237041884*I,0.10564668587689344+0.*I,0.-0.0699768572145215*I,-0.025706580701314787+0.*I,0.-0.021355010703937416*I,-0.06553750150662672+0.*I,0.+0.10199112354562861*I,0.1271653081281292+0.*I,0.-0.13905443860919156*I,-0.13721908192002252+0.*I,0.+0.1226197797291317*I,0.09731803391448647+0.*I,0.-0.06410536827750449*I,-0.02611796803248609+0.*I,0.-0.01351589219020001*I,-0.05196255325170456+0.*I,0.+0.08688584446704085*I,0.11656198124808644+0.*I,0.-0.13991336773861568*I,-0.15647568656238936+0.*I,0.+0.1663165857866739*I,0.16992506845530242+0.*I,0.-0.16808908629248925*I,-0.1617756781250822+0.*I,0.+0.15202407924314196*I,0.13985822988918908+0.*I,0.-0.12622151576834117*I,-0.11193367568765901+0.*I,0.+0.09766773454279504*I,0.08394355278745111+0.*I,0.-0.07113402380426398*I,-0.0594799457268813+0.*I,0.+0.049109976073097805*I,0.04006268740522249+0.*I,0.-0.03230844672327025*I,-0.025769539555692205+0.*I,0.+0.020337584293695563*I,0.01588779570841908+0.*I,0.-0.012290045345663943*I,-0.00941693452788073+0.*I,0.+0.007149257899861292*I
