0.0011062447772559045+0.*I,0.-0.004081663694355812*I,-0.010648984766976961+0.*I,0.+0.022684727337886863*I,0.041849430566845806+0.*I,0.-0.06905426960155965*I,-0.10401617897690381+0.*I,0.+0.14505672269443654*I,0.1892251476348605+0.*I,0.-0.2327252916171015*I,-0.27153734563031795+0.*I,0.+0.3020780790327832*I,0.32174704948688876+0.*I,0.-0.3292523489429144*I,-0.32467649524173564+0.*I,0.+0.3093080370836645*I,0.2853101346314437+0.*I,0.-0.2553164064504118*I,-0.2220385874195883+0.*I,0.+0.18794797047069403*I,0.15506315914165883+0.*I,0.-0.12484897048985814*I,-0.0982108817518072+0.*I,0.+0.07555821288215482*I,0.056906521781150854+0.*I,0.-0.041993108343048154*I,-0.03038626587983087+0.*I,0.+0.021576521811984134*I,0.015044868846251325+0.*I,0.-0.01030802331828016*I,-0.006943856705605089+0.*I,0.+0.0046015684672109395*I,0.0030013516657001523+0.*I,0.-0.001927728639278113*I,-0.0012198106649449665+0.*I,0.+0.0007607542532245787*I,0.0004678203654312377+0.*I,0.-0.0002837685407993267*I,-0.00016984721644230135+0.*I,0.+0.000100348784282913*I,0.00005854207407384583+0.*I,0.-0.00003373355889027448*I,-0.000019205406401599764+0.*I,0.+0.000010806256179430403*I,6.010836374350244*^-6+0.*I,0.-3.306089711800249*^-6*I,-1.798546635727089*^-6+0.*I,0.+9.679630060073818*^-7*I,5.154946068786726*^-7+0.*I,0.-2.71714034567615*^-7*I,-1.4177937389038504*^-7+0.*I,0.+7.3251066338393*^-8*I,3.7479886284818315*^-8+0.*I,0.-1.899530690941278*^-8*I,-9.537519087576928*^-9+0.*I,0.+4.745041996143036*^-9*I,2.3395483889921932*^-9+0.*I,0.-1.1433536682470806*^-9*I,-5.539270553422016*^-10+0.*I,0.+2.660801992792809*^-10*I,1.2674268903362938*^-10+0.*I,0.-5.98747874503158*^-11*I,-2.8056540863041956*^-11+0.*I,0.+1.3042169361746008*^-11*I,6.015141299867543*^-12+0.*I,0.-2.7528030481028337*^-12*I,-1.250227817968044*^-12+0.*I,0.+5.635568612643094*^-13*I,2.5215597902672447*^-13+0.*I,0.-1.1200327203275402*^-13*I,-4.939325822701716*^-14+0.*I,0.+2.1628404642562083*^-14*I,9.404684332157182*^-15+0.*I,0.-4.061334666181386*^-15*I,-1.7419629086746226*^-15+0.*I,0.+7.421543833650138*^-16*I,3.1410398469567446*^-16+0.*I,0.-1.320730077801123*^-16*I,-5.517632260286592*^-17+0.*I,0.+2.2904730791283366*^-17*I,9.448572141776178*^-18+0.*I,0.-3.873554395464252*^-18*I,-1.578296952673201*^-18+0.*I,0.+6.391983672352695*^-19*I,2.5732501043402476*^-19+0.*I,0.-1.0298133590836615*^-19*I,-4.0972765759794665*^-20+0.*I,0.+1.620770933999363*^-20*I,6.374795960320288*^-21+0.*I,0.-2.49320087464162*^-21*I,-9.696656272569754*^-22+0.*I,0.+3.7504837661799952*^-22*I,1.442711060940448*^-22+0.*I,0.-5.519806738376293*^-23*I,-2.1006124282204245*^-23+0.*I,0.+7.951885411390029*^-24*I,2.9944735529296356*^-24+0.*I,0.-1.1218133391552927*^-24*I,-4.1811288080451485*^-25+0.*I,0.+1.5504648855219479*^-25*I
0.-0.004081663694355812*I,-0.013953693905707411+0.*I,0.+0.033518756151462874*I,0.0652542784682605+0.*I,0.-0.10904058628991094*I,-0.1612083919203005+0.*I,0.+0.21463628916313354*I,0.260008598354469+0.*I,0.-0.2878935057555747*I,-0.2910010390835941+0.*I,0.+0.26593765490613575*I,0.21397698176852434+0.*I,0.-0.14070706520546333*I,-0.054752722078885936+0.*I,0.-0.034004607061787324*I,-0.11622612045045837+0.*I,0.+0.18453563658647829*I,0.2343338760478031+0.*I,0.-0.26396956417028444*I,-0.2743802348352693+0.*I,0.+0.26839901870410227*I,0.2499387967108035+0.*I,0.-0.2232291195979513*I,-0.1922189598368606+0.*I,0.+0.16019259316049217*I,0.1295924462392781+0.*I,0.-0.10200878279069404*I,-0.07828170611896201+0.*I,0.+0.05866181733981782*I,0.04298602870135324+0.*I,0.-0.030838920022253438*I,-0.02168354898172923+0.*I,0.+0.014956444204213635*I,0.010128795359792527+0.*I,0.-0.006739810104537316*I,-0.004409575021502747+0.*I,0.+0.0028384288720959276*I,0.0017986316303533283+0.*I,0.-0.0011225888095169403*I,-0.0006904429406684171+0.*I,0.+0.0004186612689806362*I,0.00025038691451552246+0.*I,0.-0.0001477570874278675*I,-0.0000860668939528468+0.*I,0.+0.00004950267026536564*I,0.000028123579430485626+0.*I,0.-0.000015786971344092153*I,-8.75876311669183*^-6+0.*I,0.+4.80424618303429*^-6*I,2.6059306810479447*^-6+0.*I,0.-1.3981911162931075*^-6*I,-7.422359476848541*^-7+0.*I,0.+3.8993302964984063*^-7*I,2.027715252613614*^-7+0.*I,0.-1.043962550338719*^-7*I,-5.32245576051583*^-8+0.*I,0.+2.6876511974617718*^-8*I,1.3444620219510099*^-8+0.*I,0.-6.66372132584083*^-9*I,-3.2730497980095846*^-9+0.*I,0.+1.593411321849586*^-9*I,7.689746222753219*^-10+0.*I,0.-3.679355377746743*^-10*I,-1.7457075891805044*^-10+0.*I,0.+8.214354718986107*^-11*I,3.833872074425213*^-11+0.*I,0.-1.7750965966728442*^-11*I,-8.154224263960105*^-12+0.*I,0.+3.716839877876414*^-12*I,1.6813112251726539*^-12+0.*I,0.-7.548424286351959*^-13*I,-3.363935988117769*^-13+0.*I,0.+1.4882304046918493*^-13*I,6.536872661393655*^-14+0.*I,0.-2.850967632156793*^-14*I,-1.234754625952073*^-14+0.*I,0.+5.3110159753813874*^-15*I,2.2689471929306353*^-15+0.*I,0.-9.628555212614277*^-16*I,-4.059072841295024*^-16+0.*I,0.+1.7000415066338604*^-16*I,7.074506250718335*^-17+0.*I,0.-2.925315263585835*^-17*I,-1.202054687845739*^-17+0.*I,0.+4.9089087992169025*^-18*I,1.9924535753082134*^-18+0.*I,0.-8.038341727742712*^-19*I,-3.2236763021912645*^-19+0.*I,0.+1.2852098062809298*^-19*I,5.094064895764839*^-20+0.*I,0.-2.0074846795737475*^-20*I,-7.866220704051504*^-21+0.*I,0.+3.0650267701729517*^-21*I,1.1876382309427108*^-21+0.*I,0.-4.576597270908533*^-22*I,-1.7540264434839327*^-22+0.*I,0.+6.686366694644941*^-23*I,2.5353037867586583*^-23+0.*I,0.-9.562692388021871*^-24*I,-3.588102287978221*^-24+0.*I
-0.010648984766976961+0.*I,0.+0.033518756151462874*I,0.07349611832613492+0.*I,0.-0.12919527581836404*I,-0.19220137873054507+0.*I,0.+0.24818139524561578*I,0.2807609664241146+0.*I,0.-0.2768098753765883*I,-0.23109161255972077+0.*I,0.+0.14850195546506484*I,0.04312829728987283+0.*I,0.+0.06541711276131842*I,0.15703230236347987+0.*I,0.-0.21588520064834132*I,-0.23357947445739752+0.*I,0.+0.2101063377719397*I,0.1527129366584569+0.*I,0.-0.0733635202513787*I,0.014309938114659889+0.*I,0.-0.09775590243543528*I,-0.16741843237519952+0.*I,0.+0.2176265436339671*I,0.24655258240231911+0.*I,0.-0.25551107948086155*I,-0.24792650904442826+0.*I,0.+0.22826205937116392*I,0.20111319020814533+0.*I,0.-0.17056868339596265*I,-0.13985573207669896+0.*I,0.+0.11122779494661923*I,0.08602600373472755+0.*I,0.-0.06484097299102616*I,-0.047713110794632335+0.*I,0.+0.03432752459142214*I,0.024178053749164572+0.*I,0.-0.016690149175507287*I,-0.01130283419196081+0.*I,0.+0.007515947686219701*I,0.004911240159964162+0.*I,0.-0.0031558651503108444*I,-0.00199547522515723+0.*I,0.+0.001242314707160969*I,0.0007619214920903452+0.*I,0.-0.00046057450166352604*I,-0.0002745379685208946+0.*I,0.+0.0001614378860730642*I,0.00009368803376684635+0.*I,0.-0.00005367873270555457*I,-0.000030374811768700373+0.*I,0.+0.00001698098063651259*I,9.38179875241362*^-6+0.*I,0.-5.124039240446224*^-6*I,-2.767347549077777*^-6+0.*I,0.+1.478275983325265*^-6*I,7.812638618840907*^-7+0.*I,0.-4.085966977618726*^-7*I,-2.1151756558385826*^-7+0.*I,0.+1.0840454631096868*^-7*I,5.50159704822369*^-8+0.*I,0.-2.765394487820807*^-8*I,-1.3770051518914069*^-8+0.*I,0.+6.793661142538877*^-9*I,3.321532513695446*^-9+0.*I,0.-1.609581216564604*^-9*I,-7.732103505139414*^-10+0.*I,0.+3.6826525885191347*^-10*I,1.7392724259740484*^-10+0.*I,0.-8.146692379835607*^-11*I,-3.7849723217021205*^-11+0.*I,0.+1.7444981358500223*^-11*I,7.977401472250199*^-12+0.*I,0.-3.6198481801645057*^-12*I,-1.6300850444810798*^-12+0.*I,0.+7.285720263629971*^-13*I,3.232412249077738*^-13+0.*I,0.-1.4237088044790414*^-13*I,-6.225904502994426*^-14+0.*I,0.+2.703434640795204*^-14*I,1.1657498507142367*^-14+0.*I,0.-4.9924485509382116*^-15*I,-2.1236454019299574*^-15+0.*I,0.+8.973272357918273*^-16*I,3.76668492530759*^-16+0.*I,0.-1.5708886977432751*^-16*I,-6.509479549177985*^-17+0.*I,0.+2.680389568003147*^-17*I,1.096820340601616*^-17+0.*I,0.-4.460599329873638*^-18*I,-1.8030360966372413*^-18+0.*I,0.+7.244386673918811*^-19*I,2.8934535923587415*^-19+0.*I,0.-1.1488942115964202*^-19*I,-4.5354706620475795*^-20+0.*I,0.+1.780216991317946*^-20*I,6.94801177402913*^-21+0.*I,0.-2.696579753815429*^-21*I,-1.0407791020158116*^-21+0.*I,0.+3.995059525364217*^-22*I,1.5252237824733588*^-22+0.*I,0.-5.791821239968395*^-23*I
0.+0.022684727337886863*I,0.0652542784682605+0.*I,0.-0.12919527581836404*I,-0.20171881243150036+0.*I,0.+0.26025021488614286*I,0.2805511543412408+0.*I,0.-0.24710237016785552*I,-0.16079769436458732+0.*I,0.+0.040248361385517836*I,-0.08391992305678009+0.*I,0.+0.17925328430635964*I,0.22193753258912197+0.*I,0.-0.20367981880230357*I,-0.13299512045442016+0.*I,0.+0.031211363821444335*I,-0.07472593271912947+0.*I,0.+0.1599069766383968*I,0.20724874046280334+0.*I,0.-0.2101865698888718*I,-0.1722294554928399+0.*I,0.+0.1042341772951581*I,0.020645839490911654+0.*I,0.+0.06412313568018443*I,0.13837724852044647+0.*I,0.-0.1945553653637393*I,-0.22945277195443917+0.*I,0.+0.2435690799258597*I,0.23998999694313095+0.*I,0.-0.22317184028749001*I,-0.1978889776006291+0.*I,0.+0.1684784777310117*I,0.13840908841618327+0.*I,0.-0.11013009750893031*I,-0.08512115512008243+0.*I,0.+0.06405898765808006*I,0.047030012209866516+0.*I,0.-0.03373879936951589*I,-0.023683593899847945+0.*I,0.+0.016287410168176503*I,0.010985027231508017+0.*I,0.-0.007272780165748035*I,-0.004730554491336599+0.*I,0.+0.003025252236532921*I,0.0019034611654801666+0.*I,0.-0.0011790385689466496*I,-0.0007193820536807995+0.*I,0.+0.0004325787153694569*I,0.0002564801738662979+0.*I,0.-0.000150009765213442*I,-0.00008658504072842446+0.*I,0.+0.00004933922640033029*I,0.000027766793724773215+0.*I,0.-0.000015438005221696712*I,-8.482582028035637*^-6+0.*I,0.+4.6075264810685006*^-6*I,2.4747693425700955*^-6+0.*I,0.-1.314759616691616*^-6*I,-6.91057681993449*^-7+0.*I,0.+3.5945502844929013*^-7*I,1.8507085203854672*^-7+0.*I,0.-9.433890125595546*^-8*I,-4.7620578579855255*^-8+0.*I,0.+2.3808785363074435*^-8*I,1.1792404962977375*^-8+0.*I,0.-5.7872256232919625*^-9*I,-2.8146106676311966*^-9+0.*I,0.+1.3568131154254367*^-9*I,6.484052508664567*^-10+0.*I,0.-3.0723173259578477*^-10*I,-1.443591705563525*^-10+0.*I,0.+6.727361035341078*^-11*I,3.1097691530720864*^-11+0.*I,0.-1.4261115016387865*^-11*I,-6.4889966619203205*^-12+0.*I,0.+2.929916551933209*^-12*I,1.312924199126511*^-12+0.*I,0.-5.839586461245203*^-13*I,-2.578292956287547*^-13+0.*I,0.+1.1301557194205501*^-13*I,4.918660032936681*^-14+0.*I,0.-2.1257052176980657*^-14*I,-9.123276814928326*^-15+0.*I,0.+3.8889541673361495*^-15*I,1.6466083068350246*^-15+0.*I,0.-6.925696437191356*^-16*I,-2.8939519538610965*^-16+0.*I,0.+1.2014670369694246*^-16*I,4.9563505384761676*^-17+0.*I,0.-2.0317848662844067*^-17*I,-8.277400589704998*^-18+0.*I,0.+3.3515434481929346*^-18*I,1.3488497286248542*^-18+0.*I,0.-5.396131015890021*^-19*I,-2.1460170223192424*^-19+0.*I,0.+8.484893206875088*^-20*I,3.3354326254904166*^-20+0.*I,0.-1.3037065586481635*^-20*I,-5.067083159052152*^-21+0.*I,0.+1.9584598162776235*^-21*I,7.527955667556712*^-22+0.*I
0.041849430566845806+0.*I,0.-0.10904058628991094*I,-0.19220137873054507+0.*I,0.+0.26025021488614286*I,0.27839819032807045+0.*I,0.-0.22660016777898534*I,-0.11225789721256361+0.*I,0.-0.030241547290162984*I,-0.15315095767566436+0.*I,0.+0.2151904043707716*I,0.19800251120994608+0.*I,0.-0.11217873289399721*I,0.008652756396839656+0.*I,0.-0.12183583217499797*I,-0.19123147521936334+0.*I,0.+0.19829707341661743*I,0.1455490757811739+0.*I,0.-0.052681696922891964*I,0.051882803589817596+0.*I,0.-0.14035720782782116*I,-0.19282259358456827+0.*I,0.+0.20074247148525207*I,0.16671497101423302+0.*I,0.-0.1015204083487585*I,-0.019967623896637643+0.*I,0.-0.06308740982002792*I,-0.13564891055749945+0.*I,0.+0.19007065625423356*I,0.2232400869506038+0.*I,0.-0.23583735262348463*I,-0.23112739420011633+0.*I,0.+0.21368320687841555*I,0.18830888196296156+0.*I,0.-0.159290692816528*I,-0.12999083691341573+0.*I,0.+0.10272673597529032*I,0.07884773939620382+0.*I,0.-0.05892038428444823*I,-0.04295026114448239+0.*I,0.+0.03059193109530434*I,0.021320674388160574+0.*I,0.-0.014557195926183467*I,-0.009747677088844043+0.*I,0.+0.006407393453008263*I,0.004137942583217235+0.*I,0.-0.002627479097204666*I,-0.0016415097113343792+0.*I,0.+0.0010096432062327455*I,0.000611731100618443+0.*I,0.-0.0003652996310285769*I,-0.00021510193825690827+0.*I,0.+0.00012495130576332123*I,0.000071634127154035+0.*I,0.-0.00004054627851551502*I,-0.000022666900529295786+0.*I,0.+0.000012519640547614619*I,6.834233034195191*^-6+0.*I,0.-3.6882258358761183*^-6*I,-1.9683363885194914*^-6+0.*I,0.+1.0390892569772023*^-6*I,5.427372380306031*^-7+0.*I,0.-2.805533879042503*^-7*I,-1.4355928055064355*^-7+0.*I,0.+7.273322336364557*^-8*I,3.649318132614703*^-8+0.*I,0.-1.8136578451951294*^-8*I,-8.92991513072811*^-9+0.*I,0.+4.356800538173732*^-9*I,2.1066534938724324*^-9+0.*I,0.-1.0097113146212764*^-9*I,-4.797894664527954*^-10+0.*I,0.+2.260588519797254*^-10*I,1.0562702053117057*^-10+0.*I,0.-4.895242434701688*^-11*I,-2.2505036535182643*^-11+0.*I,0.+1.0264790898276747*^-11*I,4.645600375548437*^-12+0.*I,0.-2.0864573397084443*^-12*I,-9.300489982881345*^-13+0.*I,0.+4.115113477367681*^-13*I,1.8075354903667514*^-13+0.*I,0.-7.882585409322227*^-14*I,-3.413293931869959*^-14+0.*I,0.+1.4677319452432003*^-14*I,6.2680350177698745*^-15+0.*I,0.-2.6587038178109442*^-15*I,-1.1202202600418556*^-15+0.*I,0.+4.688907584421187*^-16*I,1.9499050133953564*^-16+0.*I,0.-8.056871629411484*^-17*I,-3.3080135720419296*^-17+0.*I,0.+1.349744703677362*^-17*I,5.4733624423457605*^-18+0.*I,0.-2.2060168213646684*^-18*I,-8.83788624720963*^-19+0.*I,0.+3.5196953533536395*^-19*I,1.3935101046804583*^-19+0.*I,0.-5.485220334343411*^-20*I,-2.1467759634263925*^-20+0.*I,0.+8.35443588136869*^-21*I
0.-0.06905426960155965*I,-0.1612083919203005+0.*I,0.+0.24818139524561578*I,0.2805511543412408+0.*I,0.-0.22660016777898534*I,-0.09550675570398416+0.*I,0.-0.0629952493219514*I,-0.18272584598518218+0.*I,0.+0.21445612678898673*I,0.14960452647645459+0.*I,0.-0.02239177304050525*I,0.10858301353362786+0.*I,0.-0.1880641539187796*I,-0.18708485979671136+0.*I,0.+0.11167397251903642*I,-0.004019622982287695+0.*I,0.+0.11455919140984128*I,0.18145102464945861+0.*I,0.-0.1855664765776792*I,-0.13046027576081753+0.*I,0.+0.03745534632934966*I,-0.06393065138251615+0.*I,0.+0.14599046595462373*I,0.19004853197144722+0.*I,0.-0.18947219874472285*I,-0.14874727461394122+0.*I,0.+0.07996805517278867*I,-0.0015906956718005677+0.*I,0.+0.08142867158354916*I,0.14848642515449176+0.*I,0.-0.1963060135147492*I,-0.222911446073978+0.*I,0.+0.2298586595622578*I,0.22093432209315578+0.*I,0.-0.20088601109566728*I,-0.17441766270909292+0.*I,0.+0.14554088340303556*I,0.11726659207409768+0.*I,0.-0.09156157857567701*I,-0.06947488460520246+0.*I,0.+0.051346554751904916*I,0.03703280451424335+0.*I,0.-0.026106463884311377*I,-0.018013186582863973+0.*I,0.+0.012179527516660028*I,0.008078317146681271+0.*I,0.-0.005260941401846447*I,-0.0033667968238148627+0.*I,0.+0.0021188691416134517*I,0.0013122532156596238+0.*I,0.-0.0008002467394986063*I,-0.0004808027564976957+0.*I,0.+0.0002847549061065098*I,0.0001663198365437822+0.*I,0.-0.00009584681495636815*I,-0.0000545193868405102+0.*I,0.+0.00003062180424347634*I,0.000016989215138135232+0.*I,0.-9.313762089431673*^-6*I,-5.046892997067433*^-6+0.*I,0.+2.703959195958829*^-6*I,1.432768422688874*^-6+0.*I,0.-7.510483177822383*^-7*I,-3.895703673945731*^-7+0.*I,0.+2.000021790499969*^-7*I,1.0165150794030658*^-7+0.*I,0.-5.11585237535866*^-8*I,-2.549985371632212*^-8+0.*I,0.+1.2590971860013046*^-8*I,6.159781359725128*^-9+0.*I,0.-2.9863101195464456*^-9*I,-1.4349735023008316*^-9+0.*I,0.+6.835416072474647*^-10*I,3.2282560959246615*^-10+0.*I,0.-1.5118896944304005*^-10*I,-7.022406222251657*^-11+0.*I,0.+3.235398099377737*^-11*I,1.4787862636839243*^-11+0.*I,0.-6.706205139226067*^-12*I,-3.0178512870333353*^-12+0.*I,0.+1.3477903337681618*^-12*I,5.974512389494624*^-13+0.*I,0.-2.628988196760632*^-13*I,-1.1484964047009*^-13+0.*I,0.+4.981644437506738*^-14*I,2.145673703000004*^-14+0.*I,0.-9.177975211092323*^-15*I,-3.899109081594348*^-15+0.*I,0.+1.6453601549948051*^-15*I,6.897222288023743*^-16+0.*I,0.-2.8723974844281816*^-16*I,-1.1885302073614527*^-16+0.*I,0.+4.886619524583587*^-17*I,1.9965292248473236*^-17+0.*I,0.-8.106752563022084*^-18*I,-3.2715727841933714*^-18+0.*I,0.+1.3123150441579374*^-18*I,5.232678464735057*^-19+0.*I,0.-2.0741786300732696*^-19*I,-8.174013987525388*^-20+0.*I
-0.10401617897690381+0.*I,0.+0.21463628916313354*I,0.2807609664241146+0.*I,0.-0.24710237016785552*I,-0.11225789721256361+0.*I,0.-0.0629952493219514*I,-0.19039625588948453+0.*I,0.+0.20719658842192096*I,0.11204080084157836+0.*I,0.+0.037305322343121436*I,0.15940997213930663+0.*I,0.-0.19387677695900415*I,-0.12972073662848344+0.*I,0.+0.004982260909578204*I,-0.11756277130807813+0.*I,0.+0.1826267967969982*I,0.165996049694069+0.*I,0.-0.08048712276380539*I,0.034764328477069+0.*I,0.-0.1337061568901948*I,-0.18176794313027966+0.*I,0.+0.16637102932187986*I,0.09748699640668271+0.*I,0.-0.0004360915733730026*I,0.09469582446133998+0.*I,0.-0.16270106222151573*I,-0.1891865721438575+0.*I,0.+0.17203392100544398*I,0.1192193973853974+0.*I,0.-0.0446448691930507*I,0.036330752166901036+0.*I,0.-0.11043886513775296*I,-0.1685567245187042+0.*I,0.+0.20627382558669954*I,0.22333506203851375+0.*I,0.-0.22246116150731443*I,-0.20800660651620168+0.*I,0.+0.18478017347841857*I,0.1571956002953084+0.*I,0.-0.12878738819776686*I,-0.10204026405451407+0.*I,0.+0.07844083710611428*I,0.058655525610754815+0.*I,0.-0.042755457067421856*I,-0.03043396471424488+0.*I,0.+0.02118667195800446*I,0.014443311660248353+0.*I,0.-0.00965297854558185*I,-0.006331095074573083+0.*I,0.+0.004078530994728479*I,0.0025827401707506628+0.*I,0.-0.001608868790189957*I,-0.0009865197770321835+0.*I,0.+0.0005957909711277714*I,0.00035458582330619257+0.*I,0.-0.00020806830190017156*I,-0.00012043397283778597+0.*I,0.+0.00006879195044366286*I,0.000038792332689551584+0.*I,0.-0.0000216041159468238*I,-0.000011886713708621089+0.*I,0.+6.4634573625952636*^-6*I,3.474404922990906*^-6+0.*I,0.-1.8468663634652603*^-6*I,-9.710689839821293*^-7+0.*I,0.+5.051704878403318*^-7*I,2.600800249274435*^-7+0.*I,0.-1.3254387103256726*^-7*I,-6.68795673414567*^-8+0.*I,0.+3.3419608165110536*^-8*I,1.654139140163575*^-8+0.*I,0.-8.111296030708695*^-9*I,-3.941277950139866*^-9+0.*I,0.+1.8979733728893263*^-9*I,9.059909223529178*^-10+0.*I,0.-4.2875549459556314*^-10*I,-2.0119459285339704*^-10+0.*I,0.+9.362884332135665*^-11*I,4.321686615158877*^-11+0.*I,0.-1.9788292376733206*^-11*I,-8.989463471858603*^-12+0.*I,0.+4.052159408613939*^-12*I,1.8126814511158977*^-12+0.*I,0.-8.048069889335102*^-13*I,-3.5468968832123873*^-13+0.*I,0.+1.5518208497912348*^-13*I,6.740914679831996*^-14+0.*I,0.-2.907547547414461*^-14*I,-1.2454051291343865*^-14+0.*I,0.+5.2980251513801105*^-15*I,2.2386145845480863*^-15+0.*I,0.-9.396102593026328*^-16*I,-3.917953257421673*^-16+0.*I,0.+1.62312760645423*^-16*I,6.681373333932216*^-17+0.*I,0.-2.732972002859823*^-17*I,-1.110955606601204*^-17+0.*I,0.+4.488332912700877*^-18*I,1.8023291000494677*^-18+0.*I,0.-7.194104861791003*^-19*I
0.+0.14505672269443654*I,0.260008598354469+0.*I,0.-0.2768098753765883*I,-0.16079769436458732+0.*I,0.-0.030241547290162984*I,-0.18272584598518218+0.*I,0.+0.20719658842192096*I,0.09855165938267187+0.*I,0.+0.0652549369655973*I,0.17906680842209807+0.*I,0.-0.17771825981284706*I,-0.07054167372235436+0.*I,0.-0.07294103652442818*I,-0.16983150763197358+0.*I,0.+0.17099422904485684*I,0.08258960988406125+0.*I,0.+0.04461444041894102*I,0.14644209962759833+0.*I,0.-0.17754744555715118*I,-0.12918661346645252+0.*I,0.+0.02748150845908179*I,-0.082817057771047+0.*I,0.+0.15899292028528275*I,0.17610203205478173+0.*I,0.-0.13286642094495957*I,-0.04793798147253801+0.*I,0.-0.04973345229969433*I,-0.1316435589115375+0.*I,0.+0.17780933072514546*I,0.18039936357681366+0.*I,0.-0.14308904574293455*I,-0.0775584820157283+0.*I,0.-0.0010658896834378718*I,-0.07831613471889896+0.*I,0.+0.1431513975281893*I,0.18915711388267148+0.*I,0.-0.21441696056097928*I,-0.22053446388639902+0.*I,0.+0.21130619970347483*I,0.1914408695140619+0.*I,0.-0.16555954949354978*I,-0.13756270637812573+0.*I,0.+0.11034142114446037*I,0.08575145912005186+0.*I,0.-0.06475163728649279*I,-0.04761811532005641+0.*I,0.+0.03416955150431368*I,0.023963770405249024+0.*I,0.-0.016448344266095413*I,-0.011062750041355833+0.*I,0.+0.007298548438700483*I,0.0047276855410687164+0.*I,0.-0.0030092769054349414*I,-0.0018836646082954671+0.*I,0.+0.0011602948354866634*I,0.0007037616079926749+0.*I,0.-0.00042055372019820863*I,-0.00024773222516194927+0.*I,0.+0.0001439188505207372*I,0.00008249368885710809+0.*I,0.-0.00004667364864214524*I,-0.000026075867915423284+0.*I,0.+0.000014390601206709504*I,7.8476502310911*^-6+0.*I,0.-4.230185757531955*^-6*I,-2.254596881628788*^-6+0.*I,0.+1.1884784363491248*^-6*I,6.197881620704462*^-7+0.*I,0.-3.1984189095974906*^-7*I,-1.6337004909757132*^-7+0.*I,0.+8.261413021888636*^-8*I,4.136909672621758*^-8+0.*I,0.-2.0517675056051907*^-8*I,-1.0080850332428633*^-8+0.*I,0.+4.907562012360556*^-9*I,2.3676264813709018*^-9+0.*I,0.-1.1321792456976002*^-9*I,-5.367160064854082*^-10+0.*I,0.+2.522731983479522*^-10*I,1.1758773295013916*^-10+0.*I,0.-5.4360298706476296*^-11*I,-2.492830410020582*^-11+0.*I,0.+1.1341085349222729*^-11*I,5.119472956616613*^-12+0.*I,0.-2.2932974108103916*^-12*I,-1.019562453014409*^-12+0.*I,0.+4.499224185193522*^-13*I,1.9709794055572613*^-13+0.*I,0.-8.572270543178126*^-14*I,-3.7019121692991646*^-14+0.*I,0.+1.5875173065402264*^-14*I,6.761097508772633*^-15+0.*I,0.-2.8599946778991894*^-15*I,-1.2017225042690485*^-15+0.*I,0.+5.016196502842672*^-16*I,2.0802500424772327*^-16+0.*I,0.-8.571668251659885*^-17*I,-3.509628020196909*^-17+0.*I,0.+1.4280349311101037*^-17*I,5.7747567507130496*^-18+0.*I
