0.013304008493350075+0.*I,0.-0.03910423523124892*I,-0.08127370947330116+0.*I,0.+0.1379211081997316*I,0.20269452853599154+0.*I,0.-0.2664393139658077*I,-0.3197157011111699+0.*I,0.+0.3551863179570419*I,0.36910720084181353+0.*I,0.-0.36163674064802015*I,-0.3361350727445258+0.*I,0.+0.29789195205522023*I,0.25276063082080746+0.*I,0.-0.20605304541695535*I,-0.16186624913939207+0.*I,0.+0.12284343640643437*I,0.0902678812226645+0.*I,0.-0.06435022523649905*I,-0.044581543657052684+0.*I,0.+0.030062118669986822*I,0.01975813144203275+0.*I,0.-0.012672943719338638*I,-0.007941589762425436+0.*I,0.+0.004867263005833673*I,0.0029202529860181924+0.*I,0.-0.0017166895189084075*I,-0.0009895696450411926+0.*I,0.+0.00055976503336433*I,0.0003109338709840904+0.*I,0.-0.0001697111271879308*I,-0.00009107327914382332+0.*I,0.+0.000048078555413668544*I,0.000024981453552784987+0.*I,0.-0.000012782094311944832*I,-6.443233086164247*^-6+0.*I,0.+3.2011874342323597*^-6*I,1.5681988691617626*^-6+0.*I,0.-7.5777724099185*^-7*I,-3.613192021165752*^-7+0.*I,0.+1.700591571464189*^-7*I,7.903351724696642*^-8+0.*I,0.-3.627944751800691*^-8*I,-1.6454220118586648*^-8+0.*I,0.+7.375379270341365*^-9*I,3.2681298474012966*^-9+0.*I,0.-1.4319713524616516*^-9*I,-6.205784596962213*^-10+0.*I,0.+2.6606579836963957*^-10*I,1.1287810659498173*^-10+0.*I,0.-4.7397229778576354*^-11*I,-1.970195125966832*^-11+0.*I,0.+8.10896517996735*^-12*I,3.3052555793327913*^-12+0.*I,0.-1.3344687110839663*^-12*I,-5.337683257332375*^-13+0.*I,0.+2.1154985759759845*^-13*I,8.309215203785169*^-14+0.*I,0.-3.2349223652137916*^-14*I,-1.2485074810713828*^-14+0.*I,0.+4.777563041631236*^-15*I,1.8128926345137793*^-15+0.*I,0.-6.822577069416794*^-16*I,-2.5467944148159643*^-16+0.*I,0.+9.431155321724415*^-17*I,3.4651033595203315*^-17+0.*I,0.-1.2632834265559724*^-17*I,-4.570567361592792*^-18+0.*I,0.+1.6412471914606784*^-18*I,5.850066768419295*^-19+0.*I,0.-2.0700343907930376*^-19*I,-7.272267141151038*^-20+0.*I,0.+2.536774905549441*^-20*I,8.787330641363605*^-21+0.*I,0.-3.022990769791228*^-21*I,-1.0329094351679865*^-21+0.*I,0.+3.5056850460388097*^-22*I,1.181972529757212*^-22+0.*I,0.-3.959162286476811*^-23*I,-1.3176415638293694*^-23+0.*I,0.+4.3573758635671705*^-24*I,1.4319284345825654*^-24+0.*I,0.-4.676490829246521*^-25*I,-1.5179394360739342*^-25+0.*I,0.+4.89729968663104*^-26*I,1.570573702465048*^-26+0.*I,0.-5.007144696179551*^-27*I,-1.5870192675678064*^-27+0.*I,0.+5.001080628467113*^-28*I,1.5669812633781525*^-28+0.*I,0.-4.8821383638051477*^-29*I,-1.5126209532120267*^-29+0.*I,0.+4.6606951707813385*^-30*I,1.4282297288599466*^-30+0.*I,0.-4.3530923200187895*^-31*I,-1.3197000531838242*^-31+0.*I,0.+3.9797401343917627*^-32*I,1.1938791880677623*^-32+0.*I,0.-3.5629997976604175*^-33*I,-1.0578986017243962*^-33+0.*I,0.+3.125127417490004*^-34*I
0.-0.03910423523124892*I,-0.10163437370816315+0.*I,0.+0.18358462702787973*I,0.2646188629446334+0.*I,0.-0.3199342015064917*I,-0.3299015860047957+0.*I,0.+0.28709429977361534*I,0.19810458341731108+0.*I,0.-0.08029160589563893*I,0.04436917118635121+0.*I,0.-0.1555999530136336*I,-0.23924540570281244+0.*I,0.+0.28899317153468496*I,0.3056933680812489+0.*I,0.-0.2952093160586069*I,-0.2658337623392679+0.*I,0.+0.22605096994336427*I,0.18304053786775878+0.*I,0.-0.14197714650246243*I,-0.10596539352261652+0.*I,0.+0.07636715791572703*I,0.05329377514426928+0.*I,0.-0.03609880158891056*I,-0.023780267056690348+0.*I,0.+0.01526117402189322*I,0.009555429999966846+0.*I,0.-0.005844808921431641*I,-0.003496647314896627+0.*I,0.+0.002048075752312016*I,0.0011756012456392668+0.*I,0.-0.0006618560587560062*I,-0.00036575811633448067+0.*I,0.+0.00019854583897234033*I,0.00010593734276285473+0.*I,0.-0.0000555932967867517*I,-0.00002870948778388406+0.*I,0.+0.000014597745597576177*I,7.311660172324214*^-6+0.*I,0.-3.6092335395126577*^-6*I,-1.7565858420116828*^-6+0.*I,0.+8.432467373791419*^-7*I,3.994258958705337*^-7+0.*I,0.-1.8675409588702535*^-7*I,-8.621921595298233*^-8+0.*I,0.+3.9316775594764994*^-8*I,1.7714313600176566*^-8+0.*I,0.-7.888047024174856*^-9*I,-3.4724291093874576*^-9+0.*I,0.+1.511577315280353*^-9*I,6.508329127816832*^-10+0.*I,0.-2.7723943139660364*^-10*I,-1.16865537883965*^-10+0.*I,0.+4.87595006341503*^-11*I,2.01402437129821*^-11+0.*I,0.-8.237406525735054*^-12*I,-3.3367271208516594*^-12+0.*I,0.+1.3388628920188871*^-12*I,5.322484937879981*^-13+0.*I,0.-2.096671894431269*^-13*I,-8.185707333026901*^-14+0.*I,0.+3.167824115686128*^-14*I,1.2153796183589878*^-14+0.*I,0.-4.623527809844866*^-15*I,-1.7442471298417622*^-15+0.*I,0.+6.526432597974713*^-16*I,2.42234099312932*^-16+0.*I,0.-8.919544348485631*^-17*I,-3.258761758162075*^-17+0.*I,0.+1.1814571349519117*^-17*I,4.25098889989374*^-18+0.*I,0.-1.5181625753774282*^-18*I,-5.382091481984411*^-19+0.*I,0.+1.894240441077878*^-19*I,6.619356297844109*^-20+0.*I,0.-2.296873757347522*^-20*I,-7.914838344390536*^-21+0.*I,0.+2.7087702880355614*^-21*I,9.208057335567787*^-22+0.*I,0.-3.1093454162677246*^-22*I,-1.0430698664194491*^-22+0.*I,0.+3.476471279148941*^-23*I,1.1512803290241799*^-23+0.*I,0.-3.7885773202571785*^-24*I,-1.2389631834305472*^-24+0.*I,0.+4.0268133716687085*^-25*I,1.3008232950089183*^-25+0.*I,0.-4.17696521944367*^-26*I,-1.3332771550540647*^-26+0.*I,0.+4.2308494670997506*^-27*I,1.334787343840216*^-27+0.*I,0.-4.187001141587331*^-28*I,-1.305957441029599*^-28+0.*I,0.+4.0505847434706665*^-29*I,1.2493852038463195*^-29+0.*I,0.-3.8325825050888136*^-30*I,-1.1693087085098299*^-30+0.*I,0.+3.548418271704196*^-31*I,1.0711080170681203*^-31+0.*I,0.-3.216243593632739*^-32*I,-9.607395048252039*^-33+0.*I
-0.08127370947330116+0.*I,0.+0.18358462702787973*I,0.27992541265750714+0.*I,0.-0.32513590729554764*I,-0.290719298539703+0.*I,0.+0.17980257037733263*I,0.025286570798238376+0.*I,0.+0.12536638792093713*I,0.22933218759907842+0.*I,0.-0.26254049759933434*I,-0.2241843384766171+0.*I,0.+0.13233015412798085*I,0.01461030116367246+0.*I,0.+0.10144198117314242*I,0.1952296108979882+0.*I,0.-0.2559587398991061*I,-0.28207016945284946+0.*I,0.+0.27861720688966335*I,0.2540382476084773+0.*I,0.-0.2173659255216056*I,-0.17637153663912467+0.*I,0.+0.13669281835273409*I,0.10172819865686479+0.*I,0.-0.0729924092847836*I,-0.0506586454580325+0.*I,0.+0.03409652273724428*I,0.022304821632497834+0.*I,0.-0.014207815136013746*I,-0.008826563528519892+0.*I,0.+0.0053554865123438865*I,0.0031774914354083493+0.*I,0.-0.0018455432257268997*I,-0.0010503775000037321+0.*I,0.+0.0005863182812836389*I,0.0003212465036612858+0.*I,0.-0.00017289403775370263*I,-0.00009146428551068714+0.*I,0.+0.000047590823061305813*I,0.000024369406009749875+0.*I,0.-0.00001228707969590463*I,-6.103098177463362*^-6+0.*I,0.+2.9878006493353384*^-6*I,1.442252235112909*^-6+0.*I,0.-6.867462756845053*^-7*I,-3.2268851883779845*^-7+0.*I,0.+1.496786537776478*^-7*I,6.856045416479945*^-8+0.*I,0.-3.102167734530837*^-8*I,-1.3869717284262355*^-8+0.*I,0.+6.1292437350602775*^-9*I,2.677953908755049*^-9+0.*I,0.-1.1570987623099328*^-9*I,-4.945585766614484*^-10+0.*I,0.+2.091456841935895*^-10*I,8.753126272442858*^-11+0.*I,0.-3.626231608590408*^-11*I,-1.4873625924635492*^-11+0.*I,0.+6.041353919023994*^-12*I,2.4304764288403398*^-12+0.*I,0.-9.686537021510703*^-13*I,-3.8251003093032157*^-13+0.*I,0.+1.4968852066441504*^-13*I,5.805999608759453*^-14+0.*I,0.-2.2324266015227384*^-14*I,-8.510506933652391*^-15+0.*I,0.+3.217182980778714*^-15*I,1.2061463647184147*^-15+0.*I,0.-4.4852629294778*^-16*I,-1.654615864380786*^-16+0.*I,0.+6.055969664966719*^-17*I,2.1993861086310317*^-17+0.*I,0.-7.926890940788948*^-18*I,-2.835558537963414*^-18+0.*I,0.+1.0068339177218887*^-18*I,3.549018135472321*^-19+0.*I,0.-1.2420412559974823*^-19*I,-4.316046907809487*^-20+0.*I,0.+1.489368754315274*^-20*I,5.10418785001951*^-21+0.*I,0.-1.7374030727707606*^-21*I,-5.874408021278897*^-22+0.*I,0.+1.9731322402081487*^-22*I,6.584378232836087*^-23+0.*I,0.-2.183115792192653*^-23*I,-7.19247172448425*^-24+0.*I,0.+2.3547998013110534*^-24*I,7.661934030429078*^-25+0.*I,0.-2.477791263521613*^-25*I,-7.964626143578878*^-26+0.*I,0.+2.5449082327066145*^-26*I,8.083805099049158*^-27+0.*I,0.-2.5528582645172944*^-27*I,-8.015566297265175*^-28+0.*I,0.+2.5024600177989826*^-28*I,7.768794696772335*^-29+0.*I,0.-2.3983976767400726*^-29*I,-7.363709954758587*^-30+0.*I,0.+2.248569742671524*^-30*I,6.829296435050095*^-31+0.*I,0.-2.063149156755791*^-31*I
0.+0.1379211081997316*I,0.2646188629446334+0.*I,0.-0.32513590729554764*I,-0.2718287147268022+0.*I,0.+0.11791469467686268*I,-0.0701928721707982+0.*I,0.+0.21136804015846716*I,0.2513720540325631+0.*I,0.-0.1844532049940685*I,-0.048315006583120775+0.*I,0.-0.09889139287973464*I,-0.20471666749751274+0.*I,0.+0.23986669491304505*I,0.20256033895073083+0.*I,0.-0.11216401932442077*I,0.0021858861780373385+0.*I,0.-0.11243961961521509*I,-0.1986492005401133+0.*I,0.+0.25136826194242884*I,0.2704466019657542+0.*I,0.-0.26193472634892223*I,-0.2346681452465316+0.*I,0.+0.19753362045915898*I,0.1578048473271967+0.*I,0.-0.12048622382758589*I,-0.08837727194271248+0.*I,0.+0.06252626615536713*I,0.04280386847763049+0.*I,0.-0.028426954824946712*I,-0.01835466547158886+0.*I,0.+0.01154334712194981*I,0.0070823276013958995+0.*I,0.-0.0042450331869757895*I,-0.002488728650516126+0.*I,0.+0.0014286876316441962*I,0.0008038653217020134+0.*I,0.-0.0004437080469375636*I,-0.00024045060818862247+0.*I,0.+0.00012802221161019805*I,0.00006701402563842603+0.*I,0.-0.00003450914212157711*I,-0.000017491927195663637+0.*I,0.+8.731831012938257*^-6*I,4.294873590335552*^-6+0.*I,0.-2.0824370814468445*^-6*I,-9.957632779051281*^-7+0.*I,0.+4.6976191222110534*^-7*I,2.1872645282344985*^-7+0.*I,0.-1.0054986344840777*^-7*I,-4.565249684970847*^-8+0.*I,0.+2.0478057398305608*^-8*I,9.07789559088224*^-9+0.*I,0.-3.978122691177423*^-9*I,-1.723796199796037*^-9+0.*I,0.+7.387898422375835*^-10*I,3.1324949357705124*^-10+0.*I,0.-1.3143063754277576*^-10*I,-5.4580482736017923*^-11+0.*I,0.+2.2439136569856545*^-11*I,9.13466108599233*^-12+0.*I,0.-3.682833300121157*^-12*I,-1.4708125367977323*^-12+0.*I,0.+5.819655367242266*^-13*I,2.281801509853745*^-13+0.*I,0.-8.866907713423456*^-14*I,-3.415470930137229*^-14+0.*I,0.+1.304310096592191*^-14*I,4.9388782981227696*^-15+0.*I,0.-1.8546247344814128*^-15*I,-6.907563676710342*^-16+0.*I,0.+2.5520764629287803*^-16*I,9.3544714464893*^-17+0.*I,0.-3.402174640967722*^-17*I,-1.22788856262173*^-17+0.*I,0.+4.398229103205178*^-18*I,1.5637352423907855*^-18+0.*I,0.-5.5190394036569375*^-19*I,-1.933862604308273*^-19+0.*I,0.+6.728142029289156*^-20*I,2.324429275829512*^-20+0.*I,0.-7.97502657075749*^-21*I,-2.7175923207339115*^-21+0.*I,0.+9.198424045176468*^-22*I,3.092850795577069*^-22+0.*I,0.-1.0331403821508887*^-22*I,-3.428876996171075*^-23+0.*I,0.+1.1307668505300547*^-23*I,3.705597720783832*^-24+0.*I,0.-1.2068187558100008*^-24*I,-3.9062323703808436*^-25+0.*I,0.+1.2567218480599567*^-25*I,4.018993823342245*^-26+0.*I,0.-1.2776851034411795*^-26*I,-4.038212132875471*^-27+0.*I,0.+1.268945573585587*^-27*I,3.9647380052945434*^-28+0.*I,0.-1.2317767924056452*^-28*I,-3.805601484122557*^-29+0.*I,0.+1.1692718109044473*^-29*I,3.573016664845505*^-30+0.*I
0.20269452853599154+0.*I,0.-0.3199342015064917*I,-0.290719298539703+0.*I,0.+0.11791469467686268*I,-0.09853643367595596+0.*I,0.+0.23499096596946353*I,0.22466679787552754+0.*I,0.-0.08981306616281341*I,0.08441375777349146+0.*I,0.-0.20567408829113112*I,-0.22172758794358316+0.*I,0.+0.13686720488262438*I,-0.0020617169954455904+0.*I,0.+0.13473483546863024*I,0.2141148420247305+0.*I,0.-0.22041715760073521*I,-0.16087411338367308+0.*I,0.+0.060142814596886446*I,-0.051977462503079906+0.*I,0.+0.15038498534508316*I,0.21978694811966956+0.*I,0.-0.25528990527579054*I,-0.26004205704284816+0.*I,0.+0.2417524932677649*I,0.2094698489206191+0.*I,0.-0.17133268882097522*I,-0.13342754681198918+0.*I,0.+0.09954168052538928*I,0.07147097011497958+0.*I,0.-0.04956714767894677*I,-0.03330174426215341+0.*I,0.+0.021726838672455943*I,0.013793172271131597+0.*I,0.-0.00853539163946376*I,-0.005156170464260957+0.*I,0.+0.003044721495012214*I,0.0017595043849587065+0.*I,0.-0.000996109245939429*I,-0.0005529718447614636+0.*I,0.+0.0003012626615804492*I,0.00016120090276483664+0.*I,0.-0.00008477630712102677*I,-0.00004384766454039845+0.*I,0.+0.000022317299807983422*I,0.000011184049107631813+0.*I,0.-5.521291674954093*^-6*I,-2.6864161566529844*^-6+0.*I,0.+1.2888133235814405*^-6*I,6.099184470365727*^-7+0.*I,0.-2.8483173659062786*^-7*I,-1.313105557957443*^-7+0.*I,0.+5.978004221251681*^-8*I,2.688440543666273*^-8+0.*I,0.-1.1947223437059602*^-8*I,-5.247875752043332*^-9+0.*I,0.+2.2791417262621157*^-9*I,9.78916415415859*^-10+0.*I,0.-4.159260561483912*^-10*I,-1.7485880901424592*^-10+0.*I,0.+7.275446590000458*^-11*I,2.9965947093863073*^-11+0.*I,0.-1.2220357246610124*^-11*I,-4.935314279083126*^-12+0.*I,0.+1.974261195626883*^-12*I,7.824088842921876*^-13+0.*I,0.-3.072413126886209*^-13*I,-1.1956840784054942*^-13+0.*I,0.+4.6122812810417497*^-14*I,1.7637884168857365*^-14+0.*I,0.-6.68767109324931*^-15*I,-2.5145775596641417*^-15+0.*I,0.+9.3773176882501*^-16*I,3.468768549921419*^-16+0.*I,0.-1.2729540945102842*^-16*I,-4.634966579963243*^-17+0.*I,0.+1.6746761100626906*^-17*I,6.0050631845496416*^-18+0.*I,0.-2.1372603153667194*^-18*I,-7.550910632586899*^-19+0.*I,0.+2.6484440424664013*^-19*I,9.223121060746545*^-20+0.*I,0.-3.189373421326558*^-20*I,-1.0952584357356907*^-20+0.*I,0.+3.735543501701653*^-21*I,1.2654877320990703*^-21+0.*I,0.-4.258619987461543*^-22*I,-1.4237227132360032*^-22+0.*I,0.+4.728955648425206*^-23*I,1.56072035108703*^-23+0.*I,0.-5.118476724085188*^-24*I,-1.6681956967003803*^-24+0.*I,0.+5.403533332205851*^-25*I,1.7396678734962546*^-25+0.*I,0.-5.567302209805936*^-26*I,-1.7711065053724086*^-26+0.*I,0.+5.601401579732258*^-27*I,1.761290035908105*^-27+0.*I,0.-5.506510402592622*^-28*I,-1.711835640639677*^-28+0.*I,0.+5.291948599537062*^-29*I
0.-0.2664393139658077*I,-0.3299015860047957+0.*I,0.+0.17980257037733263*I,-0.0701928721707982+0.*I,0.+0.23499096596946353*I,0.21035612604574766+0.*I,0.-0.03790186968008889*I,0.14777123615199367+0.*I,0.-0.22456632465093745*I,-0.15710296603016874+0.*I,0.+0.0005909372141575763*I,-0.14896500482543165+0.*I,0.+0.21474386215997454*I,0.17378276507954182+0.*I,0.-0.05599666505229116*I,0.08112230633062784+0.*I,0.-0.18282727451994285*I,-0.21758026274363426+0.*I,0.+0.18243666391705915*I,0.09635637421113018+0.*I,0.+0.011862894122259037*I,0.1148539566007565+0.*I,0.-0.19367873081343392*I,-0.23994757847240983+0.*I,0.+0.25430779134426*I,0.2431742367024813+0.*I,0.-0.21530987266372642*I,-0.17921135933296334+0.*I,0.+0.14161095149016537*I,0.1069695201480764+0.*I,0.-0.0776395113488665*I,-0.054361028453915876+0.*I,0.+0.03683409220533851*I,0.02421564018320027+0.*I,0.-0.015479859460068305*I,-0.009639698073751037+0.*I,0.+0.005856999518104143*I,0.0034769967891126034+0.*I,0.-0.0020192094042966713*I,-0.0011483604763346872+0.*I,0.+0.0006402029995861472*I,0.00035017178625281386+0.*I,0.-0.00018806789800584667*I,-0.00009925079425932758+0.*I,0.+0.000051502523353140734*I,0.00002629448143173793+0.*I,0.-0.0000132156478262506*I,-6.542267668441006*^-6+0.*I,0.+3.1915121875681835*^-6*I,1.5349391490090543*^-6+0.*I,0.-7.28111024649988*^-7*I,-3.407921987849402*^-7+0.*I,0.+1.5744564312202893*^-7*I,7.182481320981703*^-8+0.*I,0.-3.236431842946849*^-8*I,-1.440933274416811*^-8+0.*I,0.+6.340694248861758*^-9*I,2.75847285274091*^-9+0.*I,0.-1.1867434782387401*^-9*I,-5.050249378715556*^-10+0.*I,0.+2.1263901623104639*^-10*I,8.86030532841755*^-11+0.*I,0.-3.654491215768963*^-11*I,-1.4923487226960212*^-11+0.*I,0.+6.034865308768747*^-12*I,2.4171506525891715*^-12+0.*I,0.-9.59092010439926*^-13*I,-3.770644026680076*^-13+0.*I,0.+1.4690776059572802*^-13*I,5.6730975203933774*^-14+0.*I,0.-2.1717594542448188*^-14*I,-8.243018115539645*^-15+0.*I,0.+3.1024767670558363*^-15*I,1.1580864465209675*^-15+0.*I,0.-4.287891868721633*^-16*I,-1.574980847096181*^-16+0.*I,0.+5.739731732521254*^-17*I,2.0756168807630283*^-17+0.*I,0.-7.448944516587993*^-18*I,-2.6532930984099587*^-18+0.*I,0.+9.38140893637453*^-19*I,3.2929956419222463*^-19+0.*I,0.-1.1476275016299282*^-19*I,-3.971389810757206*^-20+0.*I,0.+1.364770502063902*^-20*I,4.657949544639124*^-21+0.*I,0.-1.5790259786639007*^-21*I,-5.317203242752309*^-22+0.*I,0.+1.7787535562047234*^-22*I,5.911869285575483*^-23+0.*I,0.-1.9523036121052365*^-23*I,-6.406478659069096*^-24+0.*I,0.+2.089180501454259*^-24*I,6.7709758114854995*^-25+0.*I,0.-2.1811150755115814*^-25*I,-6.983777343556164*^-26+0.*I,0.+2.2228919211654585*^-26*I,7.033854280658003*^-27+0.*I,0.-2.2128175142518272*^-27*I,-6.921567991971149*^-28+0.*I
-0.3197157011111699+0.*I,0.+0.28709429977361534*I,0.025286570798238376+0.*I,0.+0.21136804015846716*I,0.22466679787552754+0.*I,0.-0.03790186968008889*I,0.16487551487832466+0.*I,0.-0.2182578170464097*I,-0.09883839147804557+0.*I,0.-0.08651966165486238*I,-0.20210995781979077+0.*I,0.+0.1795517225786147*I,0.04701505534485336+0.*I,0.+0.10756257314916402*I,0.19826397222124978+0.*I,0.-0.18588177509597556*I,-0.08691268346824844+0.*I,0.-0.04665721629013663*I,-0.15794393071576066+0.*I,0.+0.20902492383454221*I,0.19015682772326675+0.*I,0.-0.11562635840453431*I,-0.012477552190464444+0.*I,0.-0.09127489476146754*I,-0.17473676046997716+0.*I,0.+0.2273049949083153*I,0.2478449667755286+0.*I,0.-0.2416953005561528*I,-0.21721374080082162+0.*I,0.+0.18297064033703944*I,0.14602704891779492+0.*I,0.-0.11124606764670704*I,-0.0813420934578476+0.*I,0.+0.05732587804682123*I,0.03906958911154623+0.*I,0.-0.02582019006613504*I,-0.016584194396766488+0.*I,0.+0.01037230816896357*I,0.006327285712923298+0.*I,0.-0.0037700109660126833*I,-0.002196837974487208+0.*I,0.+0.0012533408876301373*I,0.0007007940851287705+0.*I,0.-0.00038437294556922547*I,-0.00020697161162830735+0.*I,0.+0.00010949322384050348*I,0.00005694791411971286+0.*I,0.-0.00002913763822937334*I,-0.000014674650165393122+0.*I,0.+7.2786448936170705*^-6*I,3.5572857848034196*^-6+0.*I,0.-1.713854218934653*^-6*I,-8.143370777599147*^-7+0.*I,0.+3.8175631963517226*^-7*I,1.766386514582233*^-7+0.*I,0.-8.069726147582536*^-8*I,-3.641267867357381*^-8+0.*I,0.+1.623328359335411*^-8*I,7.152399574686185*^-9+0.*I,0.-3.1153993758713314*^-9*I,-1.3418714178293347*^-9+0.*I,0.+5.716841375463718*^-10*I,2.4096664682483384*^-10+0.*I,0.-1.0051150785824978*^-10*I,-4.149832673886577*^-11+0.*I,0.+1.6962696762560986*^-11*I,6.865912672349397*^-12+0.*I,0.-2.7524947930231448*^-12*I,-1.0931049469364814*^-12+0.*I,0.+4.30113727902164*^-13*I,1.6771299187440796*^-13+0.*I,0.-6.481641674548841*^-14*I,-2.4831813872098632*^-14+0.*I,0.+9.43201755298046*^-15*I,3.55253738268071*^-15+0.*I,0.-1.327007790537808*^-15*I,-4.916654829983675*^-16+0.*I,0.+1.807115867451463*^-16*I,6.589901832721207*^-17+0.*I,0.-2.3845329456100307*^-17*I,-8.562727878217635*^-18+0.*I,0.+3.0518044504089363*^-18*I,1.0796592554214275*^-18+0.*I,0.-3.791843023716016*^-19*I,-1.3221914199912774*^-19+0.*I,0.+4.57787567250702*^-20*I,1.573994919712884*^-20+0.*I,0.-5.3747103031610815*^-21*I,-1.8228910432425446*^-21+0.*I,0.+6.141304458028332*^-22*I,2.055389103996014*^-22+0.*I,0.-6.83438037371452*^-23*I,-2.2579434649510337*^-23+0.*I,0.+7.412623924826888*^-24*I,2.4183050200430898*^-24+0.*I,0.-7.840878249395085*^-25*I,-2.526773480966996*^-25+0.*I,0.+8.093725738890208*^-26*I,2.5771697926482237*^-26+0.*I,0.-8.157948886550224*^-27*I
0.+0.3551863179570419*I,0.19810458341731108+0.*I,0.+0.12536638792093713*I,0.2513720540325631+0.*I,0.-0.08981306616281341*I,0.14777123615199367+0.*I,0.-0.2182578170464097*I,-0.0775967507396227+0.*I,0.-0.12352347883673673*I,-0.20819072177720419+0.*I,0.+0.121122119472785*I,-0.053886287564947205+0.*I,0.+0.18285728340594856*I,0.18356674204090986+0.*I,0.-0.06814376903701021*I,0.0837244492702968+0.*I,0.-0.18447168321025392*I,-0.18727720061554845+0.*I,0.+0.10064890732917366*I,-0.02799900215785545+0.*I,0.+0.14206297417545027*I,0.2009068496656514+0.*I,0.-0.19112175987904342*I,-0.12401880305208596+0.*I,0.+0.02511453395956944*I,-0.0776982621412175+0.*I,0.+0.1627312082742389*I,0.21824784877466352+0.*I,0.-0.2420782459899895*I,-0.23884688079154476+0.*I,0.+0.216557302297054*I,0.18371364364685192+0.*I,0.-0.14748756703195898*I,-0.11292740100044288+0.*I,0.+0.08293594670982192*I,0.058677465566081305+0.*I,0.-0.04013057187687525*I,-0.026605136808795775+0.*I,0.+0.017137485037961066*I,0.010746573346456513+0.*I,0.-0.0065714854247818704*I,-0.003924293219348344+0.*I,0.+0.002291502493157912*I,0.001309886368904673+0.*I,0.-0.0007337400532873805*I,-0.00040312794771321414+0.*I,0.+0.00021741770771102324*I,0.00011519279495878522+0.*I,0.-0.000059997529152341094*I,-0.000030739306263743565+0.*I,0.+0.000015501050569171815*I,7.69785148115298*^-6+0.*I,0.-3.766496124713421*^-6*I,-1.8166385636338175*^-6+0.*I,0.+8.640773286445016*^-7*I,4.0547850121643033*^-7+0.*I,0.-1.8779386745955168*^-7*I,-8.58718251467213*^-8+0.*I,0.+3.8781454435797096*^-8*I,1.7303812904053273*^-8+0.*I,0.-7.630211106321652*^-9*I,-3.3260910672647623*^-9+0.*I,0.+1.43368592922045*^-9*I,6.112372593349598*^-10+0.*I,0.-2.57815905554042*^-10*I,-1.0761104136976805*^-10+0.*I,0.+4.4457974795911506*^-11*I,1.818370388681217*^-11+0.*I,0.-7.364528006265112*^-12*I,-2.9540894428562595*^-12+0.*I,0.+1.1738192500620655*^-12*I,4.621224390645484*^-13+0.*I,0.-1.8028823173218276*^-13*I,-6.971167272516045*^-14+0.*I,0.+2.672033942054523*^-14*I,1.0154176522476692*^-14+0.*I,0.-3.826301463833014*^-15*I,-1.4299094323042957*^-15+0.*I,0.+5.300217382792236*^-16*I,1.948917619132002*^-16+0.*I,0.-7.1099213329217*^-17*I,-2.573727778124266*^-17+0.*I,0.+9.245707009876848*^-18*I,3.2964678997401955*^-18+0.*I,0.-1.1666448594920607*^-18*I,-4.0988114373041997*^-19+0.*I,0.+1.429728376679509*^-19*I,4.951889530020499*^-20+0.*I,0.-1.7031555631543323*^-20*I,-5.817635603609482*^-21+0.*I,0.+1.9737365665754153*^-21*I,6.651549251543986*^-22+0.*I,0.-2.2268283650206216*^-22*I,-7.406606502713111*^-23+0.*I,0.+2.4476969635702096*^-23*I,8.037817547154407*^-24+0.*I,0.-2.6229866277344577*^-24*I,-8.506792843713187*^-25+0.*I,0.+2.7420856749752288*^-25*I,8.785657285681954*^-26+0.*I
