0.1282058282319787+0.*I,0.-0.2598576397669315*I,-0.37243304907744024+0.*I,0.+0.4358281784414456*I,0.4416853873007704+0.*I,0.-0.40036467336929205*I,-0.3312896329577698+0.*I,0.+0.2537970364511482*I,0.18187343696551955+0.*I,0.-0.12287845442991897*I,-0.07875959260651316+0.*I,0.+0.048132103214886285*I,0.02816254749768153+0.*I,0.-0.015831715683670564*I,-0.008576136504351198+0.*I,0.+0.004488216275965868*I,0.002274267294084497+0.*I,0.-0.0011180076264120764*I,-0.000534116795090754+0.*I,0.+0.0002483631473832959*I,0.00011256409340000462+0.*I,0.-0.000049787228528415385*I,-0.000021514652301905722+0.*I,0.+9.092810385140688*^-6*I,3.7620125043716118*^-6+0.*I,0.-1.5250284696742806*^-6*I,-6.062042798439227*^-7+0.*I,0.+2.3646389393766256*^-7*I,9.057608439671196*^-8+0.*I,0.-3.409119808515123*^-8*I,-1.2615642039082592*^-8+0.*I,0.+4.592574727764848*^-9*I,1.645541969163907*^-9+0.*I,0.-5.806035865941626*^-10*I,-2.0182175419510815*^-10+0.*I,0.+6.914514240003913*^-11*I,2.3358134016745602*^-11+0.*I,0.-7.783322123804109*^-12*I,-2.559180555157013*^-12+0.*I,0.+8.306084493636973*^-13*I,2.6619143034844297*^-13+0.*I,0.-8.426163122464185*^-14*I,-2.6353174519727555*^-14+0.*I,0.+8.145662860425283*^-15*I,2.489016718956659*^-15+0.*I,0.-7.520544368965831*^-16*I,-2.2474916290798945*^-16+0.*I,0.+6.644722902667383*^-17*I,1.9439450164877555*^-17+0.*I,0.-5.628772005447852*^-18*I,-1.613453214175984*^-18+0.*I,0.+4.579299086173488*^-19*I,1.2871378409349945*^-19+0.*I,0.-3.5835613549930334*^-20*I,-9.88429470218034*^-21+0.*I,0.+2.7014196938930584*^-21*I,7.316877246054185*^-22+0.*I,0.-1.9643372940971026*^-22*I,-5.227930267866494*^-23+0.*I,0.+1.3795311178185917*^-23*I,3.609803792799556*^-24+0.*I,0.-9.367989607864945*^-25*I,-2.4114500828156097*^-25+0.*I,0.+6.157943821989856*^-26*I,1.560175509829599*^-26+0.*I,0.-3.922333336034722*^-27*I,-9.785888252721944*^-28+0.*I,0.+2.4232073168656447*^-28*I,5.956125446819789*^-29+0.*I,0.-1.4533392805168848*^-29*I,-3.520835322462039*^-30+0.*I,0.+8.469236472438008*^-31*I,2.0230458785157635*^-31+0.*I,0.-4.7992350710943133*^-32*I,-1.1307950107050235*^-32+0.*I,0.+2.6465552986076153*^-33*I,6.1532122723685985*^-34+0.*I,0.-1.4212950904106868*^-34*I,-3.261855180639422*^-35+0.*I,0.+7.438388383918561*^-36*I,1.685627383962709*^-36+0.*I,0.-3.796179935929118*^-37*I,-8.497038462975569*^-38+0.*I,0.+1.8904111006466285*^-38*I,4.180655066713377*^-39+0.*I,0.-9.190996373029152*^-40*I,-2.0088203070376158*^-40+0.*I,0.+4.3652506387140494*^-41*I,9.43182142072878*^-42+0.*I,0.-2.0264145118431834*^-42*I,-4.32947018377201*^-43+0.*I,0.+9.199024548341427*^-44*I,1.943907453687127*^-44+0.*I,0.-4.0856563206505725*^-45*I,-8.541332443829057*^-46+0.*I,0.+1.7761986839732003*^-46*I,3.674376444864229*^-47+0.*I,0.-7.561805491959944*^-48*I,-1.5482467787401267*^-48+0.*I,0.+3.1539173532272195*^-49*I
0.-0.2598576397669315*I,-0.3984940408493019+0.*I,0.+0.38738234998612225*I,0.23829781118162124+0.*I,0.-0.023586268560345097*I,0.17614799285238383+0.*I,0.-0.30920531885588515*I,-0.36209421835603534+0.*I,0.+0.34921105878886805*I,0.2965606106730187+0.*I,0.-0.22893966462531412*I,-0.16365809104394102+0.*I,0.+0.10965243381062305*I,0.06945254454909369+0.*I,0.-0.04185406904211793*I,-0.024118164679815677+0.*I,0.+0.01334320156992038*I,0.007110978627872255+0.*I,0.-0.00366071478358207*I,-0.0018247592045123235+0.*I,0.+0.0008825600179361647*I,0.000414920814315619+0.*I,0.-0.00018991521464704826*I,-0.00008475062563923108+0.*I,0.+0.000036920349194577644*I,0.00001571901506971045+0.*I,0.-6.54744749028686*^-6*I,-2.6706462492787224*^-6+0.*I,0.+1.0676625946488124*^-6*I,4.1866842483906123*^-7+0.*I,0.-1.6115480813325936*^-7*I,-6.093233107844128*^-8+0.*I,0.+2.264421218887294*^-8*I,8.276105989324686*^-9+0.*I,0.-2.9764034043528085*^-9*I,-1.0538447956828987*^-9+0.*I,0.+3.675267542243182*^-10*I,1.263061339244085*^-10+0.*I,0.-4.2792471785867284*^-11*I,-1.4298535017457312*^-11+0.*I,0.+4.713691394359684*^-12*I,1.5336687088187954*^-12+0.*I,0.-4.926630993448439*^-13*I,-1.562990527259145*^-13+0.*I,0.+4.898728022248394*^-14*I,1.5172508755888586*^-14+0.*I,0.-4.645142104945443*^-15*I,-1.4061221711993556*^-15+0.*I,0.+4.2095850274732827*^-16*I,1.246673140654311*^-16+0.*I,0.-3.6531154880372233*^-17*I,-1.0594192355023967*^-17+0.*I,0.+3.0412923275834598*^-18*I,8.644160570029004*^-19+0.*I,0.-2.4330263880382536*^-19*I,-6.782844185715377*^-20+0.*I,0.+1.8732531770317193*^-20*I,5.125973871757452*^-21+0.*I,0.-1.3900309177261614*^-21*I,-3.736035235265892*^-22+0.*I,0.+9.954138711785281*^-23*I,2.629469120881186*^-23+0.*I,0.-6.88759075538422*^-24*I,-1.7892151246664912*^-24+0.*I,0.+4.610126434293309*^-25*I,1.178352777294372*^-25+0.*I,0.-2.9881705984936783*^-26*I,-7.518940066731636*^-27+0.*I,0.+1.877504516556739*^-27*I,4.6529551592773575*^-28+0.*I,0.-1.1445878260190785*^-28*I,-2.7950474402534944*^-29+0.*I,0.+6.77633862513912*^-30*I,1.6312164913744335*^-30+0.*I,0.-3.899259699343774*^-31*I,-9.256547447964269*^-32+0.*I,0.+2.182495281001236*^-32*I,5.111342606449857*^-33+0.*I,0.-1.1891399937915525*^-33*I,-2.7484332040540736*^-34+0.*I,0.+6.311440633560897*^-35*I,1.4401206897506742*^-35+0.*I,0.-3.265362489653488*^-36*I,-7.3580070876834716*^-37+0.*I,0.+1.6478535929915982*^-37*I,3.668083193282377*^-38+0.*I,0.-8.116215922005483*^-39*I,-1.78522451765692*^-39+0.*I,0.+3.9037965155762475*^-40*I,8.487232927133008*^-41+0.*I,0.-1.8346725009982272*^-41*I,-3.943598276769922*^-42+0.*I,0.+8.429387955674658*^-43*I,1.791825169018121*^-43+0.*I,0.-3.78806833710667*^-44*I,-7.965047179551769*^-45+0.*I,0.+1.665837035999773*^-45*I,3.465572500106043*^-46+0.*I,0.-7.171994703516542*^-47*I,-1.4765600209214896*^-47+0.*I
-0.37243304907744024+0.*I,0.+0.38738234998612225*I,0.15670991579987037+0.*I,0.+0.1329114651211837*I,0.3031996952857867+0.*I,0.-0.28975191181952037*I,-0.13806183413714804+0.*I,0.-0.05950967060537831*I,-0.22369232078894777+0.*I,0.+0.31575205874573836*I,0.3350088822017151+0.*I,0.-0.3023531301893164*I,-0.24372280368445773+0.*I,0.+0.18001920533282395*I,0.12376809087234779+0.*I,0.-0.08005546360158175*I,-0.049092733853166+0.*I,0.+0.028710189662023072*I,0.016086327895200026+0.*I,0.-0.008667800173628643*I,-0.004505492997401302+0.*I,0.+0.0022651486914580924*I,0.0011039464606503963+0.*I,0.-0.0005225675738831618*I,-0.00024066981296671727+0.*I,0.+0.00010800434671907785*I,0.0000472917850993782+0.*I,0.-0.00002022923579236276*I,-8.462448364482255*^-6+0.*I,0.+3.465494266515103*^-6*I,1.3905256156726616*^-6+0.*I,0.-5.471377060656895*^-7*I,-2.1127519674983143*^-7+0.*I,0.+8.011974784523257*^-8*I,2.985741962018086*^-8+0.*I,0.-1.0940797794309802*^-8*I,-3.944338279412083*^-9+0.*I,0.+1.3997679218839994*^-9*I,4.892246666441458*^-10+0.*I,0.-1.6847349894749812*^-10*I,-5.718923790455226*^-11+0.*I,0.+1.9144061525099038*^-11*I,6.322058564462288*^-12+0.*I,0.-2.0603739573257412*^-12*I,-6.62898012520376*^-13+0.*I,0.+2.1062153667494062*^-13*I,6.610728730999705*^-14+0.*I,0.-2.0502880033982433*^-14*I,-6.285237715764016*^-15+0.*I,0.+1.904962651688331*^-15*I,5.709794050322724*^-16+0.*I,0.-1.69289485977998*^-16*I,-4.966115393317074*^-17+0.*I,0.+1.4417112486988258*^-17*I,4.142931490746354*^-18+0.*I,0.-1.1786767530056178*^-18*I,-3.3206654722053724*^-19+0.*I,0.+9.265770782832234*^-20*I,2.561199461251468*^-20+0.*I,0.-7.014344494405175*^-21*I,-1.903646112111481*^-21+0.*I,0.+5.120492129783374*^-22*I,1.3653121493304447*^-22+0.*I,0.-3.609216914773289*^-23*I,-9.460596848669882*^-24+0.*I,0.+2.4592926099747194*^-24*I,6.340850897361248*^-25+0.*I,0.-1.6217658554357612*^-25*I,-4.115170165427031*^-26+0.*I,0.+1.0360971441467837*^-26*I,2.5886808302524715*^-27+0.*I,0.-6.419077379385489*^-28*I,-1.5799086543206317*^-28+0.*I,0.+3.8601514207225687*^-29*I,9.363453030054727*^-30+0.*I,0.-2.2551325119798494*^-30*I,-5.3933195806671544*^-31+0.*I,0.+1.2809459471430817*^-31*I,3.0216025661694213*^-32+0.*I,0.-7.079718153815411*^-33*I,-1.6478049833922745*^-33+0.*I,0.+3.810175311502892*^-34*I,8.753273558139604*^-35+0.*I,0.-1.9981062388194602*^-35*I,-4.532360001018465*^-36+0.*I,0.+1.0216974253128822*^-36*I,2.2889998110246766*^-37+0.*I,0.-5.097150180537432*^-38*I,-1.1282340035369113*^-38+0.*I,0.+2.482516402858624*^-39*I,5.430460080475518*^-40+0.*I,0.-1.1810338398649239*^-40*I,-2.553866847414761*^-41+0.*I,0.+5.491268340764628*^-42*I,1.1741221104006798*^-42+0.*I,0.-2.4965893185412614*^-43*I,-5.279595539446476*^-44+0.*I,0.+1.1104519896654374*^-44*I,2.323110319983577*^-45+0.*I,0.-4.834322079396037*^-46*I
0.+0.4358281784414456*I,0.23829781118162124+0.*I,0.+0.1329114651211837*I,0.3122454191104387+0.*I,0.-0.20133706170101656*I,0.05235597128822598+0.*I,0.-0.24820852114521255*I,-0.28053227411916715+0.*I,0.+0.1645900876559772*I,-0.017947450366909454+0.*I,0.+0.18444803800130125*I,0.28767383472776453+0.*I,0.-0.31949723868315766*I,-0.2966876043253389+0.*I,0.+0.2440501758525635*I,0.18307145121374177+0.*I,0.-0.12743093075528703*I,-0.08326687628299759+0.*I,0.+0.05150079078539599*I,0.030339814181320226+0.*I,0.-0.017107750930738446*I,-0.009269694283449325+0.*I,0.+0.004842192684229279*I,0.0024451709067707605+0.*I,0.-0.0011964079461084295*I,-0.0005683651829242337+0.*I,0.+0.0002626144486948194*I,0.00011820272203294074+0.*I,0.-0.000051898419494492674*I,-0.00002225543445132926+0.*I,0.+9.331635798460386*^-6*I,3.8296436074564974*^-6+0.*I,0.-1.5397060451265843*^-6*I,-6.069629150711316*^-7+0.*I,0.+2.3478354743132942*^-7*I,8.917937501700495*^-8+0.*I,0.-3.328429626194776*^-8*I,-1.2214025975641176*^-8+0.*I,0.+4.409310613436814*^-9*I,1.5667737547822493*^-9+0.*I,0.-5.482543132678044*^-10*I,-1.8901703504774583*^-10+0.*I,0.+6.423232704658832*^-11*I,2.152383896426909*^-11+0.*I,0.-7.1148957583513494*^-12*I,-2.3209196680031425*^-12+0.*I,0.+7.473876151686754*^-13*I,2.3766732440376293*^-13+0.*I,0.-7.46564164158971*^-14*I,-2.3172262585562653*^-14+0.*I,0.+7.108806590556121*^-15*I,2.1561026475620786*^-15+0.*I,0.-6.466939150698596*^-16*I,-1.918632644875129*^-16+0.*I,0.+5.631849145831077*^-17*I,1.635966308480222*^-17+0.*I,0.-4.703875065692668*^-18*I,-1.339014724559203*^-18+0.*I,0.+3.774413975974606*^-19*I,1.0537349049240056*^-19+0.*I,0.-2.914141962936923*^-20*I,-7.984806113780517*^-21+0.*I,0.+2.1680353319870318*^-21*I,5.8342889008860085*^-22+0.*I,0.-1.5563161971725437*^-22*I,-4.115877118746241*^-23+0.*I,0.+1.0793086484437422*^-23*I,2.8067871262542353*^-24+0.*I,0.-7.239584881972445*^-25*I,-1.8523202383377623*^-25+0.*I,0.+4.7018923739275316*^-26*I,1.1842345093601736*^-26+0.*I,0.-2.9598089492136015*^-27*I,-7.341782125089209*^-28+0.*I,0.+1.8075924666588112*^-28*I,4.4178266550995346*^-29+0.*I,0.-1.0719448300430124*^-29*I,-2.5824799841508535*^-30+0.*I,0.+6.177974749042055*^-31*I,1.4677178106668006*^-31+0.*I,0.-3.463121487015829*^-32*I,-8.116371955328218*^-33+0.*I,0.+1.8895763639476287*^-33*I,4.370322071303797*^-34+0.*I,0.-1.0042599086261537*^-34*I,-2.2929718795731486*^-35+0.*I,0.+5.202433811521826*^-36*I,1.1730163098072578*^-36+0.*I,0.-2.628601517017631*^-37*I,-5.854656422088502*^-38+0.*I,0.+1.2961819651285618*^-38*I,2.8526573922704266*^-39+0.*I,0.-6.241410936124452*^-40*I,-1.3576730242203583*^-40+0.*I,0.+2.936404564068298*^-41*I,6.314998596415559*^-42+0.*I,0.-1.3505013668025236*^-42*I,-2.872157918978969*^-43+0.*I,0.+6.074907018691004*^-44*I,1.277953128028234*^-44+0.*I
0.4416853873007704+0.*I,0.-0.023586268560345097*I,0.3031996952857867+0.*I,0.-0.20133706170101656*I,0.1082025359874967+0.*I,0.-0.27816127505424804*I,-0.18742155304553465+0.*I,0.-0.044046589408313665*I,-0.22993048985833076+0.*I,0.+0.26507378232962164*I,0.1585494727411103+0.*I,0.+0.014332509064266545*I,0.17447465213417837+0.*I,0.-0.2753069715968429*I,-0.3077216531590155+0.*I,0.+0.28706933703812104*I,0.2369993940705346+0.*I,0.-0.17831967212972127*I,-0.12444279522354826+0.*I,0.+0.08149581239500896*I,0.0505042204649634+0.*I,0.-0.029804509676326495*I,-0.01683209189996998+0.*I,0.+0.009133137960490385*I,0.004776934270129485+0.*I,0.-0.0024150162740257876*I,-0.0011829087863440843+0.*I,0.+0.0005625010725872726*I,0.0002601391108645195+0.*I,0.-0.00011718624004909773*I,-0.00005149197128817073+0.*I,0.+0.00002209706343343781*I,9.27146930013996*^-6+0.*I,0.-3.8073488683336837*^-6*I,-1.5316469149461782*^-6+0.*I,0.+6.041212192231437*^-7*I,2.3380651242774605*^-7+0.*I,0.-8.885206161005987*^-8*I,-3.317758788662743*^-8+0.*I,0.+1.2180237940630098*^-8*I,4.398951196933484*^-9+0.*I,0.-1.5637129563713128*^-9*I,-5.473896337766107*^-10+0.*I,0.+1.8878666447583018*^-10*I,6.417598318951599*^-11+0.*I,0.-2.151197473840497*^-11*I,-7.113189573590306*^-12+0.*I,0.+2.3210542733804173*^-12*I,7.476440188137605*^-13+0.*I,0.-2.378137767736316*^-13*I,-7.472197634715187*^-14+0.*I,0.+2.319843766454076*^-14*I,7.118553647243444*^-15+0.*I,0.-2.1595596181475526*^-15*I,-6.478752771762532*^-16+0.*I,0.+1.9225503069925873*^-16*I,5.644516255361792*^-17+0.*I,0.-1.6399728881493753*^-17*I,-4.716302232585985*^-18+0.*I,0.+1.3428015607263389*^-18*I,3.7857671502054823*^-19+0.*I,0.-1.0570876559669752*^-19*I,-2.923904098042718*^-20+0.*I,0.+8.012853739549161*^-21*I,2.1759923666020268*^-21+0.*I,0.-5.856592012963732*^-22*I,-1.5624958131118432*^-22+0.*I,0.+4.132810191380357*^-23*I,1.0838991834534472*^-23+0.*I,0.-2.8191040214703303*^-24*I,-7.272303265277757*^-25+0.*I,0.+1.860927493342539*^-25*I,4.724322852934889*^-26+0.*I,0.-1.1900264348257822*^-26*I,-2.9746313765384442*^-27+0.*I,0.+7.37938508080144*^-28*I,1.817050896273112*^-28+0.*I,0.-4.441420193640522*^-29*I,-1.0777822614325723*^-29+0.*I,0.+2.596807748324286*^-30*I,6.212867264647349*^-31+0.*I,0.-1.4761501691524723*^-31*I,-3.483346611510808*^-32+0.*I,0.+8.164524380987335*^-33*I,1.9009575282932924*^-33+0.*I,0.-4.3970306643003035*^-34*I,-1.0104838148035248*^-34+0.*I,0.+2.3073755296595386*^-35*I,5.2355413880314504*^-36+0.*I,0.-1.1805754689545811*^-36*I,-2.6457472123787906*^-37+0.*I,0.+5.893294443435144*^-38*I,1.3048335158078863*^-38+0.*I,0.-2.871907451488894*^-39*I,-6.283977405183044*^-40+0.*I,0.+1.3670278948173145*^-40*I,2.956839746739245*^-41+0.*I,0.-6.359372201352396*^-42*I,-1.3600801459769992*^-42+0.*I,0.+2.892715295164145*^-43*I
0.-0.40036467336929205*I,0.17614799285238383+0.*I,0.-0.28975191181952037*I,0.05235597128822598+0.*I,0.-0.27816127505424804*I,-0.14393609307528432+0.*I,0.-0.1348225870156683*I,-0.26168609884096744+0.*I,0.+0.15270492975963693*I,-0.0682086209789648+0.*I,0.+0.23115414389287442*I,0.24815854087516132+0.*I,0.-0.13594830768973534*I,0.03178057075703968+0.*I,0.-0.18174311252816516*I,-0.2727762171075069+0.*I,0.+0.2986977019784136*I,0.2753678454714923+0.*I,0.-0.22553691228762132*I,-0.16871198039115087+0.*I,0.+0.11721219374794667*I,0.07648662489909966+0.*I,0.-0.04726105708494124*I,-0.027822103971549224+0.*I,0.+0.015679661970107124*I,0.00849246396943619+0.*I,0.-0.004434839545566888*I,-0.002238953852560656+0.*I,0.+0.001095318008391107*I,0.0005202747516383356+0.*I,0.-0.00024037171755890557*I,-0.00010818414370658037+0.*I,0.+0.000047497538649242115*I,0.000020367673535683132+0.*I,0.-8.539993440975092*^-6*I,-3.5047525847537228*^-6+0.*I,0.+1.4090939758836627*^-6*I,5.554827358702383*^-7+0.*I,0.-2.148744838189448*^-7*I,-8.161921242700135*^-8+0.*I,0.+3.0463496481780196*^-8*I,1.1179255314461632*^-8+0.*I,0.-4.035890677464416*^-9*I,-1.4341362914471514*^-9+0.*I,0.+5.018595821999773*^-10*I,1.73028471009151*^-10+0.*I,0.-5.880131615443462*^-11*I,-1.9704712115031768*^-11+0.*I,0.+6.513823486789239*^-12*I,2.1249302538614383*^-12+0.*I,0.-6.843016350598055*^-13*I,-2.1761468611392807*^-13+0.*I,0.+6.836011742755618*^-14*I,2.1218803843593092*^-14+0.*I,0.-6.50977209204853*^-15*I,-1.9744900880404394*^-15+0.*I,0.+5.922438124149437*^-16*I,1.757153081446796*^-16+0.*I,0.-5.1580382893766217*^-17*I,-1.4983850908175805*^-17+0.*I,0.+4.308441088493818*^-18*I,1.2264921579802133*^-18+0.*I,0.-3.4573531585050774*^-19*I,-9.652506723583675*^-20+0.*I,0.+2.669523392086536*^-20*I,7.31478265667892*^-21+0.*I,0.-1.9861734828555698*^-21*I,-5.345056202898963*^-22+0.*I,0.+1.4258553069119952*^-22*I,3.770969741348213*^-23+0.*I,0.-9.888925178682375*^-24*I,-2.5717305161880944*^-24+0.*I,0.+6.633488201024805*^-25*I,1.6972915630878285*^-25+0.*I,0.-4.3084883467754254*^-26*I,-1.0851795169292815*^-26+0.*I,0.+2.7123078027497034*^-27*I,6.728031140397465*^-28+0.*I,0.-1.6565251017261457*^-28*I,-4.048712733646507*^-29+0.*I,0.+9.824067111353967*^-30*I,2.3668255544907055*^-30+0.*I,0.-5.662205437088063*^-31*I,-1.3452161708924197*^-31+0.*I,0.+3.174147329389241*^-32*I,7.439280875655991*^-33+0.*I,0.-1.7319803038794415*^-33*I,-4.005910673226755*^-34+0.*I,0.+9.205409076936659*^-35*I,2.1018643476364706*^-35+0.*I,0.-4.768934389271568*^-36*I,-1.0752947082784667*^-36+0.*I,0.+2.4096653611999455*^-37*I,5.36712572922854*^-38+0.*I,0.-1.1882684333883138*^-38*I,-2.6152083274669375*^-39+0.*I,0.+5.72199407920413*^-40*I,1.2447084344003141*^-40+0.*I,0.-2.692129947551252*^-41*I,-5.789765099644204*^-42+0.*I
-0.3312896329577698+0.*I,0.-0.30920531885588515*I,-0.13806183413714804+0.*I,0.-0.24820852114521255*I,-0.18742155304553465+0.*I,0.-0.1348225870156683*I,-0.25549769762684016+0.*I,0.+0.07091227781727476*I,-0.17581037802401048+0.*I,0.+0.24346514615206005*I,0.10321609721017658+0.*I,0.+0.10764051901267209*I,0.23845606983337503+0.*I,0.-0.226407949711974*I,-0.10184129363785349+0.*I,0.-0.06164703996567525*I,-0.19827840179825915+0.*I,0.+0.2749246064243238*I,0.2903261397837098+0.*I,0.-0.2617418264196125*I,-0.21103498674690258+0.*I,0.+0.1559935713316479*I,0.10735364376903815+0.*I,0.-0.06951000423253631*I,-0.04266976288213949+0.*I,0.+0.024978719426686332*I,0.01400877818405784+0.*I,0.-0.007555048893668877*I,-0.003930350663011189+0.*I,0.+0.0019775278853584217*I,0.0009644694005478469+0.*I,0.-0.00045685309307607355*I,-0.00021053780428765919+0.*I,0.+0.00009453796936942903*I,0.00004141817519477706+0.*I,0.-0.000017725967185374786*I,-7.418872949133471*^-6+0.*I,0.+3.039526102477758*^-6*I,1.2201321062143702*^-6+0.*I,0.-4.802871684153038*^-7*I,-1.8553228025608623*^-7+0.*I,0.+7.03830504648384*^-8*I,2.6237952189163773*^-8+0.*I,0.-9.61762956121582*^-9*I,-3.4683858424928634*^-9+0.*I,0.+1.2312232537432648*^-9*I,4.3043783511585454*^-10+0.*I,0.-1.4826861671331385*^-10*I,-5.034335071716103*^-11+0.*I,0.+1.685648573738594*^-11*I,5.5679064071872195*^-12+0.*I,0.-1.8149954005070068*^-12*I,-5.840743642740086*^-13+0.*I,0.+1.8561466952941343*^-13*I,5.826977242282645*^-14+0.*I,0.-1.807548307459051*^-14*I,-5.542103053213171*^-15+0.*I,0.+1.68001893330229*^-15*I,5.036398912859194*^-16+0.*I,0.-1.4934783630675738*^-16*I,-4.381799256975156*^-17+0.*I,0.+1.2722670137015331*^-17*I,3.656535182234686*^-18+0.*I,0.-1.0404388984993956*^-18*I,-2.931600524973366*^-19+0.*I,0.+8.18120105398789*^-20*I,2.2616891135099576*^-20+0.*I,0.-6.194821883140815*^-21*I,-1.6814288454029847*^-21+0.*I,0.+4.523274282794903*^-22*I,1.2062035172665075*^-22+0.*I,0.-3.1889490262715347*^-23*I,-8.359834790972097*^-24+0.*I,0.+2.1733646517373483*^-24*I,5.604177722917758*^-25+0.*I,0.-1.4334853472709979*^-25*I,-3.63774695637198*^-26+0.*I,0.+9.159750213620374*^-27*I,2.2887536943917932*^-27+0.*I,0.-5.675832002850405*^-28*I,-1.3970896841835183*^-28+0.*I,0.+3.413745101993824*^-29*I,8.281258066557427*^-30+0.*I,0.-1.9946422280165895*^-30*I,-4.770686951328263*^-31+0.*I,0.+1.1331478580686117*^-31*I,2.6731501625754446*^-32+0.*I,0.-6.263707541992742*^-33*I,-1.457975017783492*^-33+0.*I,0.+3.371454486939942*^-34*I,7.745870747360682*^-35+0.*I,0.-1.7682557359801056*^-35*I,-4.011225051973036*^-36+0.*I,0.+9.04274862650589*^-37*I,2.0260439529753564*^-37+0.*I,0.-4.511852772608559*^-38*I,-9.987355642037226*^-39+0.*I,0.+2.197691719033322*^-39*I,4.807663653794744*^-40+0.*I,0.-1.0456398027717247*^-40*I
0.+0.2537970364511482*I,-0.36209421835603534+0.*I,0.-0.05950967060537831*I,-0.28053227411916715+0.*I,0.-0.044046589408313665*I,-0.26168609884096744+0.*I,0.+0.07091227781727476*I,-0.20117264737596505+0.*I,0.+0.21049464742374108*I,-0.012834486028657728+0.*I,0.+0.21192388706306745*I,0.2118503430834238+0.*I,0.-0.04174382920893308*I,0.15151241703843488+0.*I,0.-0.24216979273730468*I,-0.19630745087664342+0.*I,0.+0.05869715481861809*I,-0.09837811006591902+0.*I,0.+0.2184447575612106*I,0.2777976200449426+0.*I,0.-0.2807530501876445*I,-0.2460185047896496+0.*I,0.+0.19430469837957112*I,0.14134421956194257+0.*I,0.-0.09601872169431509*I,-0.06150237317928753+0.*I,0.+0.03740823475455783*I,0.02172486133412328+0.*I,0.-0.012099103022484394*I,-0.006484879058332136+0.*I,0.+0.0033550031546348627*I,0.001679656215723381+0.*I,0.-0.0008155024994781243*I,-0.00038470381634714745+0.*I,0.+0.00017662156677805498*I,0.0000790342031999613+0.*I,0.-0.000034515204994846426*I,-0.000014727949694992372+0.*I,0.+6.147152848107149*^-6*I,2.5120421510373063*^-6+0.*I,0.-1.0059718617488225*^-6*I,-3.950969778572459*^-7+0.*I,0.+1.523019779526046*^-7*I,5.7662256859214716*^-8+0.*I,0.-2.1455584371569578*^-8*I,-7.85073770582258*^-9+0.*I,0.+2.8264626214213662*^-9*I,1.0017610644520234*^-9+0.*I,0.-3.4969093619947546*^-10*I,-1.202824334905825*^-10+0.*I,0.+4.078534643551767*^-11*I,1.3638481347893769*^-11+0.*I,0.-4.49939120428751*^-12*I,-1.4649552102626975*^-12+0.*I,0.+4.708975979310265*^-13*I,1.4948623024197957*^-13+0.*I,0.-4.6879447573769444*^-14*I,-1.4527732073713808*^-14+0.*I,0.+4.450087988758956*^-15*I,1.3477538393834488*^-15+0.*I,0.-4.036772515576942*^-16*I,-1.1960389250776414*^-16+0.*I,0.+3.5062650000358026*^-17*I,1.0172537716086807*^-17+0.*I,0.-2.9214051001174424*^-18*I,-8.306558853285502*^-19+0.*I,0.+2.3388525675101346*^-19*I,6.522573773028916*^-20+0.*I,0.-1.801974270902641*^-20*I,-4.932506001869182*^-21+0.*I,0.+1.3379791087349777*^-21*I,3.597197599180564*^-22+0.*I,0.-9.586952753487006*^-23*I,-2.533167548618823*^-23+0.*I,0.+6.637090507386294*^-24*I,1.724580156096248*^-24+0.*I,0.-4.444676400470608*^-25*I,-1.1363324197695306*^-25+0.*I,0.+2.882270055219415*^-26*I,7.254070150193677*^-27+0.*I,0.-1.8117520521647972*^-27*I,-4.490929455439977*^-28+0.*I,0.+1.1049514037041625*^-28*I,2.698777990791574*^-29+0.*I,0.-6.54416672644665*^-30*I,-1.5756132183837147*^-30+0.*I,0.+3.767007816535106*^-31*I,8.944116290930708*^-32+0.*I,0.-2.1091795988453768*^-32*I,-4.940432566367811*^-33+0.*I,0.+1.1495574654278125*^-33*I,2.657349452373037*^-34+0.*I,0.-6.103176266559047*^-35*I,-1.3927990160250787*^-35+0.*I,0.+3.158503802695543*^-36*I,7.118180728498632*^-37+0.*I,0.-1.5943536532764479*^-37*I,-3.549448921981895*^-38+0.*I,0.+7.854700076052301*^-39*I,1.7279123825198538*^-39+0.*I
