0.15623474003056606+0.*I,0.3010425465122894+0.*I,0.4101692995810149+0.*I,0.456302442700983+0.*I,0.4396155723868051+0.*I,0.3788247416076777+0.*I,0.2979977468513653+0.*I,0.21702723146819022+0.*I,0.14784937968507467+0.*I,0.09496170901117415+0.*I,0.05786271291763468+0.*I,0.03361651738186191+0.*I,0.0186987409980618+0.*I,0.009992886619396003+0.*I,0.005146088040588705+0.*I,0.002560246920003453+0.*I,0.0012333096537096926+0.*I,0.0005763654511513316+0.*I,0.0002617652290241835+0.*I,0.0001157138722312368+0.*I,0.00004985637509429779+0.*I,0.000020963380716411714+0.*I,8.611925241648247*^-6+0.*I,3.460083687919772*^-6+0.*I,1.3609157872601316*^-6+0.*I,5.244589700157778*^-7+0.*I,1.9818697715645553*^-7+0.*I,7.349258129947086*^-8+0.*I,2.6761765183463796*^-8+0.*I,9.575600675715326*^-9+0.*I,3.3686482841682625*^-9+0.*I,1.165802795200975*^-9+0.*I,3.971004443533456*^-10+0.*I,1.33196763752098*^-10+0.*I,4.401538291856719*^-11+0.*I,1.4335760345412641*^-11+0.*I,4.603835015320104*^-12+0.*I,1.4583748277892637*^-12+0.*I,4.558559536323411*^-13+0.*I,1.4065189818423871*^-13+0.*I,4.285148451254863*^-14+0.*I,1.2895085125523672*^-14+0.*I,3.833979956817361*^-15+0.*I,1.1265899696923774*^-15+0.*I,3.2725765340716223*^-16+0.*I,9.400129247622339*^-17+0.*I,2.6705774593564853*^-17+0.*I,7.505964741568707*^-18+0.*I,2.0875465630313482*^-18+0.*I,5.746301395807905*^-19+0.*I,1.5658626636044246*^-19+0.*I,4.2249235110985456*^-20+0.*I,1.1289311303473271*^-20+0.*I,2.987994433159562*^-21+0.*I,7.834894881356541*^-22+0.*I,2.0356452642652014*^-22+0.*I,5.241533376843938*^-23+0.*I,1.337738412224002*^-23+0.*I,3.384600940981067*^-24+0.*I,8.490470061730181*^-25+0.*I,2.112060622892031*^-25+0.*I,5.210647955114311*^-26+0.*I,1.2751056122922852*^-26+0.*I,3.0954668146464587*^-27+0.*I,7.45566584889457*^-28+0.*I,1.7818864567786718*^-28+0.*I,4.226280608646226*^-29+0.*I,9.9488113933076*^-30+0.*I,2.324700512103908*^-30+0.*I,5.39253206074324*^-31+0.*I,1.2419210428765943*^-31+0.*I,2.8399786900942193*^-32+0.*I,6.44909987882948*^-33+0.*I,1.4544136534481571*^-33+0.*I,3.257784501992518*^-34+0.*I,7.248397320672582*^-35+0.*I,1.6020846706268503*^-35+0.*I,3.517955748527978*^-36+0.*I,7.675264324495936*^-37+0.*I,1.6639108938175955*^-37+0.*I,3.5845557687275464*^-38+0.*I,7.67437650779686*^-39+0.*I,1.6330009814986562*^-39+0.*I,3.453803851721382*^-40+0.*I,7.261198284722903*^-41+0.*I,1.5175712957500314*^-41+0.*I,3.153190052111722*^-42+0.*I,6.513895564564008*^-43+0.*I,1.3379803189380788*^-43+0.*I,2.732782021121394*^-44+0.*I,5.550524283284721*^-45+0.*I,1.1211496373236129*^-45+0.*I,2.2522673287153007*^-46+0.*I,4.500168057323535*^-47+0.*I,8.943655777585083*^-48+0.*I,1.7680866420907717*^-48+0.*I,3.477108130167375*^-49+0.*I,6.802720054651783*^-50+0.*I,1.3240970906835454*^-50+0.*I,2.5642035904076068*^-51+0.*I
-0.3010425465122894+0.*I,-0.42383224630597827+0.*I,-0.3646005622468761+0.*I,-0.1687970781943524+0.*I,0.06552701160840625+0.*I,0.253067879539458+0.*I,0.35372723668681155+0.*I,0.3702467335481313+0.*I,0.32896058125967675+0.*I,0.2605701746390509+0.*I,0.18880191606334976+0.*I,0.12713456920741634+0.*I,0.08042116706168392+0.*I,0.04816437112507487+0.*I,0.02747416435130532+0.*I,0.014997474664478438+0.*I,0.007864572045960092+0.*I,0.003974490160207902+0.*I,0.0019409264382827757+0.*I,0.0009180436926040396+0.*I,0.0004214218895424052+0.*I,0.00018807710286988208+0.*I,0.00008173299286761074+0.*I,0.000034634244026938265+0.*I,0.00001432858415538289+0.*I,5.794019672439929*^-6+0.*I,2.292347867819011*^-6+0.*I,8.881997908593128*^-7+0.*I,3.3731999888715716*^-7+0.*I,1.2566566950738737*^-7+0.*I,4.5956809660302265*^-8+0.*I,1.6509500531384984*^-8+0.*I,5.829619342412652*^-9+0.*I,2.0245167991245312*^-9+0.*I,6.91852420032704*^-10+0.*I,2.327755069380014*^-10+0.*I,7.714361431486923*^-11+0.*I,2.519395030295607*^-11+0.*I,8.111655387370114*^-12+0.*I,2.5758029336337886*^-12+0.*I,8.069918788655872*^-13+0.*I,2.495363491492531*^-13+0.*I,7.618215851406233*^-14+0.*I,2.2970306177988513*^-14+0.*I,6.842372604245883*^-15+0.*I,2.0141837017779225*^-15+0.*I,5.86089482703031*^-16+0.*I,1.6862261960830166*^-16+0.*I,4.798043819180543*^-17+0.*I,1.35055938333778*^-17+0.*I,3.761528795011754*^-18+0.*I,1.0368412325671491*^-18+0.*I,2.829106392616196*^-19+0.*I,7.642997846928263*^-20+0.*I,2.0447510213641786*^-20+0.*I,5.418273115017157*^-21+0.*I,1.4223403926779365*^-21+0.*I,3.699507390007723*^-22+0.*I,9.535746842375918*^-23+0.*I,2.4361618002320822*^-23+0.*I,6.169725215083719*^-24+0.*I,1.549170163229918*^-24+0.*I,3.8571732412311475*^-25+0.*I,9.524383768492801*^-26+0.*I,2.332713172789636*^-26+0.*I,5.66760531616355*^-27+0.*I,1.3661768698419976*^-27+0.*I,3.267660054282601*^-28+0.*I,7.756062689817894*^-29+0.*I,1.8271347055293798*^-29+0.*I,4.2724151590737274*^-30+0.*I,9.917388442913243*^-31+0.*I,2.28553667120607*^-31+0.*I,5.22986813250383*^-32+0.*I,1.1883609698146467*^-32+0.*I,2.6816576352155893*^-33+0.*I,6.01030692059097*^-34+0.*I,1.338037493933938*^-34+0.*I,2.9590827557589027*^-35+0.*I,6.501311737320027*^-36+0.*I,1.4191777582612226*^-36+0.*I,3.078225663670625*^-37+0.*I,6.634786991452195*^-38+0.*I,1.4211847161105273*^-38+0.*I,3.0255503569258026*^-39+0.*I,6.402079224051432*^-40+0.*I,1.3465801506071673*^-40+0.*I,2.815586204761817*^-41+0.*I,5.852765542522248*^-42+0.*I,1.209591211562726*^-42+0.*I,2.4855938016808694*^-43+0.*I,5.078832809162232*^-44+0.*I,1.0319709054948317*^-44+0.*I,2.085295993923206*^-45+0.*I,4.190743040452554*^-46+0.*I,8.376511727512596*^-47+0.*I,1.6653650151776207*^-47+0.*I,3.2934754291007076*^-48+0.*I,6.479214237757208*^-49+0.*I,1.2680513450727614*^-49+0.*I
0.4101692995810149+0.*I,0.3646005622468761+0.*I,0.07293460268671204+0.*I,-0.21655730573088755+0.*I,-0.32799541590839465+0.*I,-0.24119669981704062+0.*I,-0.0436255600516701+0.*I,0.15730332858011875+0.*I,0.292285953679096+0.*I,0.3428049230503616+0.*I,0.32541074656940516+0.*I,0.26955938487454095+0.*I,0.20184129567276424+0.*I,0.13941078161604922+0.*I,0.08999750590411637+0.*I,0.054807096878403364+0.*I,0.031703815297791406+0.*I,0.01751374324087163+0.*I,0.009278965752132778+0.*I,0.004731506094367683+0.*I,0.002328923373591047+0.*I,0.0011093086737052125+0.*I,0.0005124202967605277+0.*I,0.0002299810411921813+0.*I,0.00010045390045103513+0.*I,0.000042764865820897155+0.*I,0.00001776731995964134+0.*I,7.212455120731362*^-6+0.*I,2.8637421209552034*^-6+0.*I,1.1132573015099952*^-6+0.*I,4.240850706472202*^-7+0.*I,1.5843801025720308*^-7+0.*I,5.8095168429095*^-8+0.*I,2.0921629440831807*^-8+0.*I,7.404650370309942*^-9+0.*I,2.5770705970211227*^-9+0.*I,8.824749620249128*^-10+0.*I,2.9748057193776354*^-10+0.*I,9.876578442090974*^-11+0.*I,3.2310578819781734*^-11+0.*I,1.0419817614024154*^-11+0.*I,3.3138188273789495*^-12+0.*I,1.0397213137360882*^-12+0.*I,3.2194518422104566*^-13+0.*I,9.841758002571426*^-14+0.*I,2.971190557815338*^-14+0.*I,8.86114104846124*^-15+0.*I,2.61142651610101*^-15+0.*I,7.607055937095723*^-16+0.*I,2.1908973336140465*^-16+0.*I,6.240290080336924*^-17+0.*I,1.7582097170955093*^-17+0.*I,4.901409030933377*^-18+0.*I,1.3522361037848308*^-18+0.*I,3.6928216459646113*^-19+0.*I,9.984527211521441*^-20+0.*I,2.6732873138617367*^-20+0.*I,7.089163392798029*^-21+0.*I,1.8623215199324844*^-21+0.*I,4.847310139984451*^-22+0.*I,1.2502785054585724*^-22+0.*I,3.196268286237727*^-23+0.*I,8.0998760718152*^-24+0.*I,2.0350637538500482*^-24+0.*I,5.069973816306928*^-25+0.*I,1.2526302145562298*^-25+0.*I,3.0696503119221906*^-26+0.*I,7.462102900451171*^-27+0.*I,1.799680805823883*^-27+0.*I,4.306708928712276*^-28+0.*I,1.02273597874895*^-28+0.*I,2.4104610889610267*^-29+0.*I,5.639029582600409*^-30+0.*I,1.3095554835863787*^-30+0.*I,3.019290871214629*^-31+0.*I,6.911820205175967*^-32+0.*I,1.571194589574693*^-32+0.*I,3.546990281336313*^-33+0.*I,7.95286759601441*^-34+0.*I,1.771174554511153*^-34+0.*I,3.9184281557626726*^-35+0.*I,8.612184898899315*^-36+0.*I,1.880627420644944*^-36+0.*I,4.080526666225653*^-37+0.*I,8.798099569441873*^-38+0.*I,1.8851894357908932*^-38+0.*I,4.0146530717889434*^-39+0.*I,8.497683539884196*^-40+0.*I,1.7879048981778388*^-40+0.*I,3.7394752532696076*^-41+0.*I,7.775523332701958*^-42+0.*I,1.607425783734365*^-42+0.*I,3.3040263693016936*^-43+0.*I,6.752982588876965*^-44+0.*I,1.3725081963464138*^-44+0.*I,2.774140672130939*^-45+0.*I,5.576512224847688*^-46+0.*I,1.1149190530154376*^-46+0.*I,2.217153758204329*^-47+0.*I,4.385759782886296*^-48+0.*I
-0.456302442700983+0.*I,-0.1687970781943524+0.*I,0.21655730573088755+0.*I,0.313848848805783+0.*I,0.1148273439364549+0.*I,-0.15511534407073857+0.*I,-0.29257136817406465+0.*I,-0.24163491534652803+0.*I,-0.06828509404100747+0.*I,0.12489275762657549+0.*I,0.2638624917419958+0.*I,0.3232364895715991+0.*I,0.31457569364003596+0.*I,0.26507537374700596+0.*I,0.20104187572582122+0.*I,0.14026910260706738+0.*I,0.09130191677412473+0.*I,0.0559866021468947+0.*I,0.032577131679626704+0.*I,0.01808787696219586+0.*I,0.009625830858085148+0.*I,0.004927675657092353+0.*I,0.002433968130222476+0.*I,0.0011629797599802647+0.*I,0.0005387323210899764+0.*I,0.00024241065587877808+0.*I,0.00010613068497109704+0.*I,0.00004527829527793405+0.*I,0.000018848577372317975+0.*I,7.665266935389429*^-6+0.*I,3.0486453264800045*^-6+0.*I,1.1869846965978627*^-6+0.*I,4.528270440590885*^-7+0.*I,1.694051191957288*^-7+0.*I,6.21952232448584*^-8+0.*I,2.242477339217278*^-8+0.*I,7.945504480081089*^-9+0.*I,2.7682109864727703*^-9+0.*I,9.488668052276523*^-10+0.*I,3.2016043993086223*^-10+0.*I,1.0638978232065924*^-10+0.*I,3.483392052165827*^-11+0.*I,1.1242512370138726*^-11+0.*I,3.5781659043931392*^-12+0.*I,1.1234692446878651*^-12+0.*I,3.4811594325709433*^-13+0.*I,1.064875029872047*^-13+0.*I,3.216826411451308*^-14+0.*I,9.599441312408931*^-15+0.*I,2.830623550574637*^-15+0.*I,8.250085226742456*^-16+0.*I,2.377341356202474*^-16+0.*I,6.774742050206706*^-17+0.*I,1.909714536200149*^-17+0.*I,5.326235320620347*^-18+0.*I,1.4700965526478728*^-18+0.*I,4.0164126827120367*^-19+0.*I,1.086393866507339*^-19+0.*I,2.909904602554546*^-20+0.*I,7.719608414598909*^-21+0.*I,2.0286928359524773*^-21+0.*I,5.282241691146119*^-22+0.*I,1.362933953136852*^-22+0.*I,3.485434088857543*^-23+0.*I,8.835535738720936*^-24+0.*I,2.220592597911987*^-24+0.*I,5.533866062100577*^-25+0.*I,1.367646229923139*^-25+0.*I,3.3524618802467774*^-26+0.*I,8.151856020206122*^-27+0.*I,1.966561395063237*^-27+0.*I,4.707289346308427*^-28+0.*I,1.1181472374128675*^-28+0.*I,2.635982672309808*^-29+0.*I,6.168091000542077*^-30+0.*I,1.4327532731184675*^-30+0.*I,3.3040819914740884*^-31+0.*I,7.565436863360131*^-32+0.*I,1.72014372792416*^-32+0.*I,3.8840562192744485*^-33+0.*I,8.710391354065167*^-34+0.*I,1.940266727759751*^-34+0.*I,4.293346601429545*^-35+0.*I,9.437985637312898*^-36+0.*I,2.0613352363928233*^-36+0.*I,4.473423802366387*^-37+0.*I,9.646922544574532*^-38+0.*I,2.0674223729704516*^-38+0.*I,4.4034674945677333*^-39+0.*I,9.32219557058732*^-40+0.*I,1.961694319254329*^-40+0.*I,4.1036024840964915*^-41+0.*I,8.533956764506318*^-42+0.*I,1.764478891055314*^-42+0.*I,3.627374166368125*^-43+0.*I,7.414919277719814*^-44+0.*I,1.5072537288253084*^-44+0.*I,3.046907298433394*^-45+0.*I,6.125640701605568*^-46+0.*I,1.2248674543352764*^-46+0.*I
0.4396155723868051+0.*I,-0.06552701160840625+0.*I,-0.32799541590839465+0.*I,-0.1148273439364549+0.*I,0.20322071315199075+0.*I,0.2778236866955103+0.*I,0.09189538165468017+0.*I,-0.15423715571229799+0.*I,-0.2759354498103394+0.*I,-0.22275310065356685+0.*I,-0.05674031535707366+0.*I,0.12615063159731976+0.*I,0.2567902864297921+0.*I,0.311727765477641+0.*I,0.3022207923140631+0.*I,0.2541764229443259+0.*I,0.19257517752337186+0.*I,0.13428453773567406+0.*I,0.08737972427247627+0.*I,0.05357380476824488+0.*I,0.031171905911710946+0.*I,0.017308077520623855+0.*I,0.00921146527812753+0.*I,0.004716000672275262+0.*I,0.0023296759831389945+0.*I,0.0011132850460859737+0.*I,0.0005157788209043414+0.*I,0.00023211312898173544+0.*I,0.00010163581965212338+0.*I,0.00004336639779330683+0.*I,0.000018055040947131552+0.*I,7.343492449414264*^-6+0.*I,2.9210324442806923*^-6+0.*I,1.1374366464914007*^-6+0.*I,4.339757914592357*^-7+0.*I,1.6237124658625925*^-7+0.*I,5.961938087959755*^-8+0.*I,2.1498330289758514*^-8+0.*I,7.618032309158595*^-9+0.*I,2.6543833998627967*^-9+0.*I,9.099370732310694*^-10+0.*I,3.0705344444960424*^-10+0.*I,1.0204342680155417*^-10+0.*I,3.341372862297277*^-11+0.*I,1.0785049497234455*^-11+0.*I,3.43284497548502*^-12+0.*I,1.077925319100955*^-12+0.*I,3.3402889141804907*^-13+0.*I,1.0218574361720623*^-13+0.*I,3.087093626363211*^-14+0.*I,9.21292737807727*^-15+0.*I,2.71682940320923*^-15+0.*I,7.918927022385632*^-16+0.*I,2.282055656247032*^-16+0.*I,6.503593634188145*^-17+0.*I,1.833387368718932*^-17+0.*I,5.113644281558859*^-18+0.*I,1.411496068435813*^-18+0.*I,3.8565155861787494*^-19+0.*I,1.0431970262698767*^-19+0.*I,2.794341080092055*^-20+0.*I,7.413391643650099*^-21+0.*I,1.94831145471825*^-21+0.*I,5.073179179652115*^-22+0.*I,1.309049412272806*^-22+0.*I,3.3477797172941224*^-23+0.*I,8.486940381800044*^-24+0.*I,2.1330691218255462*^-24+0.*I,5.315963548693751*^-25+0.*I,1.313844546589299*^-25+0.*I,3.220701565185112*^-26+0.*I,7.831755935489742*^-27+0.*I,1.889408044416317*^-27+0.*I,4.522768549983556*^-28+0.*I,1.0743537632769678*^-28+0.*I,2.532825966525798*^-29+0.*I,5.92690147758386*^-30+0.*I,1.3767723837973535*^-30+0.*I,3.175082612672577*^-31+0.*I,7.27028421777904*^-32+0.*I,1.6530842025222654*^-32+0.*I,3.7327449451967*^-33+0.*I,8.371297250153802*^-34+0.*I,1.8647840444478264*^-34+0.*I,4.1264330887101794*^-35+0.*I,9.071302749407552*^-36+0.*I,1.9812999164606815*^-36+0.*I,4.299843439926611*^-37+0.*I,9.272827105394722*^-38+0.*I,1.9872986117071207*^-38+0.*I,4.232910056391627*^-39+0.*I,8.961332088603956*^-40+0.*I,1.8857998950056092*^-40+0.*I,3.944929699972843*^-41+0.*I,8.204156582238163*^-42+0.*I,1.6963259258882793*^-42+0.*I,3.487340360531587*^-43+0.*I,7.128815559899203*^-44+0.*I,1.4491258936777971*^-44+0.*I,2.92946033647851*^-45+0.*I
-0.3788247416076777+0.*I,0.253067879539458+0.*I,0.24119669981704062+0.*I,-0.15511534407073857+0.*I,-0.2778236866955103+0.*I,-0.036185015251814785+0.*I,0.22515267716428922+0.*I,0.24164104676609738+0.*I,0.042682315555109124+0.*I,-0.1782558520152684+0.*I,-0.26612629334554233+0.*I,-0.19286578390966014+0.*I,-0.025849146381085736+0.*I,0.1454404050018007+0.*I,0.2611911626249745+0.*I,0.3044333166435175+0.*I,0.2887390718219737+0.*I,0.23937565139032163+0.*I,0.17949029718257442+0.*I,0.12416891763701474+0.*I,0.0802862107504776+0.*I,0.048968711551192354+0.*I,0.02836804237869783+0.*I,0.015692528393758898+0.*I,0.008324715592929938+0.*I,0.004249975873090064+0.*I,0.0020942245020033595+0.*I,0.000998545561519034+0.*I,0.0004616984799038758+0.*I,0.00020740185255458042+0.*I,0.00009066718911311946+0.*I,0.000038628668279269545+0.*I,0.00001606062286380893+0.*I,6.524118358833367*^-6+0.*I,2.592107048914689*^-6+0.*I,1.008273760189647*^-6+0.*I,3.8431266811846097*^-7+0.*I,1.4365674758441934*^-7+0.*I,5.270220943897092*^-8+0.*I,1.898867586847318*^-8+0.*I,6.723620666901667*^-9+0.*I,2.3410696959057765*^-9+0.*I,8.019927504455554*^-10+0.*I,2.704568514459077*^-10+0.*I,8.982746397901172*^-11+0.*I,2.939700348388012*^-11+0.*I,9.483466476820086*^-12+0.*I,3.0170176711436794*^-12+0.*I,9.468953513992532*^-13+0.*I,2.9328992892188064*^-13+0.*I,8.968352485863036*^-14+0.*I,2.7082589117742416*^-14+0.*I,8.079123205381382*^-15+0.*I,2.3815669560051842*^-15+0.*I,6.939173659674901*^-16+0.*I,1.9990116602436147*^-16+0.*I,5.695035661478826*^-17+0.*I,1.604933841578032*^-17+0.*I,4.475059412108502*^-18+0.*I,1.2348624214085046*^-18+0.*I,3.372947045841964*^-19+0.*I,9.12138833911573*^-20+0.*I,2.4426350350575454*^-20+0.*I,6.478654519799391*^-21+0.*I,1.702232590353323*^-21+0.*I,4.431360505436807*^-22+0.*I,1.143175263324912*^-22+0.*I,2.9229198324867346*^-23+0.*I,7.408283983343463*^-24+0.*I,1.8615764346280378*^-24+0.*I,4.638422435893446*^-25+0.*I,1.146165676491362*^-25+0.*I,2.809128689445451*^-26+0.*I,6.829682801544199*^-27+0.*I,1.64736478205514*^-27+0.*I,3.942696008745827*^-28+0.*I,9.364041632950708*^-29+0.*I,2.2072451101972674*^-29+0.*I,5.1642125623412436*^-30+0.*I,1.1994210143421958*^-30+0.*I,2.7656644120605408*^-31+0.*I,6.331878141749186*^-32+0.*I,1.4395094978986578*^-32+0.*I,3.2500339711036165*^-33+0.*I,7.287757865915695*^-34+0.*I,1.623202881023201*^-34+0.*I,3.591398528613487*^-35+0.*I,7.894131876085757*^-36+0.*I,1.7239798989986167*^-36+0.*I,3.7409609025129404*^-37+0.*I,8.066636382219951*^-38+0.*I,1.7285997165843528*^-38+0.*I,3.6814804100819276*^-39+0.*I,7.793082702986925*^-40+0.*I,1.6397840472251262*^-40+0.*I,3.4299334528241073*^-41+0.*I,7.132417328602051*^-42+0.*I,1.4745837939810027*^-42+0.*I,3.031187370107571*^-43+0.*I,6.195766226118773*^-44+0.*I
0.2979977468513653+0.*I,-0.35372723668681155+0.*I,-0.0436255600516701+0.*I,0.29257136817406465+0.*I,0.09189538165468017+0.*I,-0.22515267716428922+0.*I,-0.21329855384427746+0.*I,0.05310877797648794+0.*I,0.24544753688581472+0.*I,0.19249768447667392+0.*I,-0.02078239390437612+0.*I,-0.2086212469335749+0.*I,-0.25241949949270576+0.*I,-0.15245778951225758+0.*I,0.016701125721374523+0.*I,0.17350082684304302+0.*I,0.27000454333832774+0.*I,0.2977184168448+0.*I,0.27341699204389+0.*I,0.2217293980725242+0.*I,0.16354424650160623+0.*I,0.11168112202910452+0.*I,0.0714525778671354+0.*I,0.04319717581115829+0.*I,0.024836523343414862+0.*I,0.01364956416044572+0.*I,0.007199634751429324+0.*I,0.003657027658106079+0.*I,0.0017939156162704627+0.*I,0.0008518867972444042+0.*I,0.0003924424301929258+0.*I,0.0001757025075538786+0.*I,0.00007657519993484122+0.*I,0.00003253338315520744+0.*I,0.000013491459503271889+0.*I,5.467387354210706*^-6+0.*I,2.1674414778719423*^-6+0.*I,8.413491804566394*^-7+0.*I,3.200706857611841*^-7+0.*I,1.194275926972523*^-7+0.*I,4.3739498132368524*^-8+0.*I,1.5734405047405966*^-8+0.*I,5.56301064675435*^-9+0.*I,1.9342336716245834*^-9+0.*I,6.617389644810052*^-10+0.*I,2.2287785625991053*^-10+0.*I,7.393656653915612*^-11+0.*I,2.4169114661266614*^-11+0.*I,7.78855122697738*^-12+0.*I,2.475266003374914*^-12+0.*I,7.761066734776199*^-13+0.*I,2.4016597946729333*^-13+0.*I,7.337364231342598*^-14+0.*I,2.213847094103323*^-14+0.*I,6.598839447555503*^-15+0.*I,1.943689405732734*^-15+0.*I,5.659088638501851*^-16+0.*I,1.6290777648205118*^-16+0.*I,4.637917144654765*^-17+0.*I,1.3061567646188105*^-17+0.*I,3.639649186158752*^-18+0.*I,1.0037190141631155*^-18+0.*I,2.7399692887205104*^-19+0.*I,7.405406883456274*^-20+0.*I,1.982015707212576*^-20+0.*I,5.254145923602434*^-21+0.*I,1.379789557861935*^-21+0.*I,3.5901709588762877*^-22+0.*I,9.257251029964094*^-23+0.*I,2.3658327463328083*^-23+0.*I,5.9936183223534844*^-24+0.*I,1.5054376494800582*^-24+0.*I,3.7494577748166176*^-25+0.*I,9.261202877419165*^-26+0.*I,2.2689178836138518*^-26+0.*I,5.514166790096133*^-27+0.*I,1.329554730848552*^-27+0.*I,3.18091058365863*^-28+0.*I,7.552099097507398*^-29+0.*I,1.7795301425856907*^-29+0.*I,4.162108770047643*^-30+0.*I,9.663610636190478*^-31+0.*I,2.2275603078882623*^-31+0.*I,5.098335072222143*^-32+0.*I,1.1587231254008129*^-32+0.*I,2.6153251852348543*^-33+0.*I,5.862834050090105*^-34+0.*I,1.3054656148678446*^-34+0.*I,2.8876076167428153*^-35+0.*I,6.345469668586964*^-36+0.*I,1.3854127408290766*^-36+0.*I,3.0055253923484997*^-37+0.*I,6.479217216119871*^-38+0.*I,1.3880969760723137*^-38+0.*I,2.955599435607085*^-39+0.*I,6.255073163976202*^-40+0.*I,1.315867111921693*^-40+0.*I,2.75179134800378*^-41+0.*I,5.721014887957946*^-42+0.*I,1.1825359099080449*^-42+0.*I
-0.21702723146819022+0.*I,0.3702467335481313+0.*I,-0.15730332858011875+0.*I,-0.24163491534652803+0.*I,0.15423715571229799+0.*I,0.24164104676609738+0.*I,-0.05310877797648794+0.*I,-0.2519768699479388+0.*I,-0.12198004012662358+0.*I,0.13811820785852902+0.*I,0.2452142414449415+0.*I,0.12588357501529376+0.*I,-0.08931604378545865+0.*I,-0.23295710218682014+0.*I,-0.2277710497356294+0.*I,-0.10191007142816462+0.*I,0.0656683876793175+0.*I,0.2039478907490089+0.*I,0.2782861217526218+0.*I,0.2889747874941987+0.*I,0.25568429840543033+0.*I,0.20193127985528017+0.*I,0.14595164125267815+0.*I,0.09805894955389373+0.*I,0.06189756463604027+0.*I,0.03699584708799419+0.*I,0.02106271367390747+0.*I,0.011476444272191794+0.*I,0.006007573828347368+0.*I,0.003030921389040395+0.*I,0.0014777633582892867+0.*I,0.000697901103228747+0.*I,0.0003198992083238362+0.*I,0.0001425696138806512+0.*I,0.00006187445936655566+0.*I,0.000026186005422484818+0.*I,0.000010820354382643766+0.*I,4.370353809256729*^-6+0.*I,1.727181649453487*^-6+0.*I,6.685135052847516*^-7+0.*I,2.536317391280852*^-7+0.*I,9.43971703928546*^-8+0.*I,3.448980763877244*^-8+0.*I,1.2379130934928667*^-8+0.*I,4.3674460191263714*^-9+0.*I,1.515495947584212*^-9+0.*I,5.174959993806855*^-10+0.*I,1.7398197958981756*^-10+0.*I,5.761731499808549*^-11+0.*I,1.8803870997224296*^-11+0.*I,6.0501999625693505*^-12+0.*I,1.919962736220147*^-12+0.*I,6.011452129768111*^-13+0.*I,1.8577348225069706*^-13+0.*I,5.668288961468765*^-14+0.*I,1.7081380488394748*^-14+0.*I,5.085441009726921*^-15+0.*I,1.4962168417791762*^-15+0.*I,4.3515143142728753*^-16+0.*I,1.2513547876880154*^-16+0.*I,3.5589653252146613*^-17+0.*I,1.0013239816679175*^-17+0.*I,2.787615576521956*^-18+0.*I,7.68058333408258*^-19+0.*I,2.0948373754755293*^-19+0.*I,5.657039955093074*^-20+0.*I,1.5128489637977356*^-20+0.*I,4.007288358208566*^-21+0.*I,1.0515563167348988*^-21+0.*I,2.7341145927658333*^-22+0.*I,7.044913925279227*^-23+0.*I,1.7991999910621158*^-23+0.*I,4.555074316778011*^-24+0.*I,1.1433756664965409*^-24+0.*I,2.8459209674560673*^-25+0.*I,7.02518871572007*^-26+0.*I,1.7200983679604736*^-26+0.*I,4.177973295505758*^-27+0.*I,1.0068163764968034*^-27+0.*I,2.407468096584244*^-28+0.*I,5.712789827582*^-29+0.*I,1.3454377150465536*^-29+0.*I,3.145250948518732*^-30+0.*I,7.299122222947994*^-31+0.*I,1.681727031077491*^-31+0.*I,3.8472862702565067*^-32+0.*I,8.739990636437115*^-33+0.*I,1.971818938091656*^-33+0.*I,4.418386277802683*^-34+0.*I,9.834239593789527*^-35+0.*I,2.174388561249624*^-35+0.*I,4.776288826794743*^-36+0.*I,1.0424083308665204*^-36+0.*I,2.260554065610488*^-37+0.*I,4.871431669644323*^-38+0.*I,1.0432709385710383*^-38+0.*I,2.2205963817754832*^-39+0.*I,4.697930685708114*^-40+0.*I,9.879607601927767*^-41+0.*I,2.0653792164088496*^-41+0.*I
