0.056146369009601044+0.*I,0.1347464491299112+0.*I,0.22866409950294173+0.*I,0.31683489831855+0.*I,0.38018823177649025+0.*I,0.4080461845195894+0.*I,0.39978762773248094+0.*I,0.3626402317252924+0.*I,0.30769939603772045+0.*I,0.2461506816728204+0.*I,0.18680852723309818+0.*I,0.13517488466805214+0.*I,0.0936485459066849+0.*I,0.06233400277644896+0.*I,0.039981276129508664+0.*I,0.02477460141564472+0.*I,0.014864227323391781+0.*I,0.0086519406483472+0.*I,0.004894101056916227+0.*I,0.0026945843679686316+0.*I,0.0014460138141021179+0.*I,0.0007572834196450892+0.*I,0.0003874741744039361+0.*I,0.00019389852139589637+0.*I,0.00009498707846143311+0.*I,0.000045592161208906426+0.*I,0.000021458490061562694+0.*I,9.910896276100604*^-6+0.*I,4.494998685371345*^-6+0.*I,2.0032088206135538*^-6+0.*I,8.77730622116516*^-7+0.*I,3.783345966874142*^-7+0.*I,1.605080141646788*^-7+0.*I,6.705565443500975*^-8+0.*I,2.759888905250363*^-8+0.*I,1.1195751031763424*^-8+0.*I,4.478139677547368*^-9+0.*I,1.7668204902047063*^-9+0.*I,6.878540245867628*^-10+0.*I,2.6433802014600814*^-10+0.*I,1.0030562560217595*^-10+0.*I,3.759490712848059*^-11+0.*I,1.3921948562939973*^-11+0.*I,5.0952025214493016*^-12+0.*I,1.84344746837457*^-12+0.*I,6.595081444417772*^-13+0.*I,2.333656339398431*^-13+0.*I,8.169277068312497*^-14+0.*I,2.8298190171754356*^-14+0.*I,9.701888397639441*^-15+0.*I,3.292811926769839*^-15+0.*I,1.1065664324535061*^-15+0.*I,3.682743517534815*^-16+0.*I,1.2140293679667415*^-16+0.*I,3.964861000464198*^-17+0.*I,1.2830461430304594*^-17+0.*I,4.1147543753425994*^-18+0.*I,1.3079831269485868*^-18+0.*I,4.1217704234740893*^-19+0.*I,1.287814902676722*^-19+0.*I,3.9900053224407786*^-20+0.*I,1.2260387911986596*^-20+0.*I,3.736835845219459*^-21+0.*I,1.12987239793269*^-21+0.*I,3.38949553365804*^-22+0.*I,1.0089602144808705*^-22+0.*I,2.980559029278423*^-23+0.*I,8.738884104188909*^-24+0.*I,2.5432975746826275*^-24+0.*I,7.347985412941195*^-25+0.*I,2.107729719414371*^-25+0.*I,6.003180457548325*^-26+0.*I,1.697894901056591*^-26+0.*I,4.769194426844921*^-27+0.*I,1.330530460880909*^-27+0.*I,3.6871418311776775*^-28+0.*I,1.0150295861519045*^-28+0.*I,2.7760609203203574*^-29+0.*I,7.54357729732234*^-30+0.*I,2.0368519019478935*^-30+0.*I,5.4652510095966025*^-31+0.*I,1.4573479602154788*^-31+0.*I,3.862353189891546*^-32+0.*I,1.0174394960484473*^-32+0.*I,2.6641863768360917*^-33+0.*I,6.935069122860742*^-34+0.*I,1.794722147622205*^-34+0.*I,4.6177801191275447*^-35+0.*I,1.1813744318319001*^-35+0.*I,3.0053026735703014*^-36+0.*I,7.60260832272906*^-37+0.*I,1.9126591141958028*^-37+0.*I,4.785632161775152*^-38+0.*I,1.190949904214094*^-38+0.*I,2.947984669783798*^-39+0.*I,7.258703749599319*^-40+0.*I,1.7779482216466184*^-40+0.*I,4.3324034765655173*^-41+0.*I,1.0502955164514126*^-41+0.*I,2.533317177870601*^-42+0.*I
-0.1347464491299112+0.*I,-0.26723350173529015+0.*I,-0.35821388565751106+0.*I,-0.36431862534690007+0.*I,-0.2787492099081238+0.*I,-0.12914896292465433+0.*I,0.04004907503058677+0.*I,0.18743332219950642+0.*I,0.2872494229175996+0.*I,0.3323577557149771+0.*I,0.3300724281656839+0.*I,0.29516571334042563+0.*I,0.2435110930892578+0.*I,0.18805839697657153+0.*I,0.13728086324396888+0.*I,0.09538990731614001+0.*I,0.06342554050286837+0.*I,0.040522867026590116+0.*I,0.02496165446239953+0.*I,0.014866121557101236+0.*I,0.008580239042713652+0.*I,0.00480905278492595+0.*I,0.002622069444922155+0.*I,0.0013929211112995187+0.*I,0.0007219440725556153+0.*I,0.0003655181327510208+0.*I,0.0001809767919748272+0.*I,0.0000877162877909051+0.*I,0.000041655923990527266+0.*I,0.000019398780117115197+0.*I,8.865548699771761*^-6+0.*I,3.979026835979906*^-6+0.*I,1.754978263294657*^-6+0.*I,7.611205482240935*^-7+0.*I,3.247633389522809*^-7+0.*I,1.364083914942409*^-7+0.*I,5.642735671500025*^-8+0.*I,2.2999243254865667*^-8+0.*I,9.240622563838003*^-9+0.*I,3.6612585286726544*^-9+0.*I,1.4310955706433036*^-9+0.*I,5.520448437911738*^-10+0.*I,2.1023136737713638*^-10+0.*I,7.906427469331572*^-11+0.*I,2.937363486098028*^-11+0.*I,1.0783458820605066*^-11+0.*I,3.912944443009481*^-12+0.*I,1.4038185693362909*^-12+0.*I,4.980708989535127*^-13+0.*I,1.7480363477637*^-13+0.*I,6.070024578406537*^-14+0.*I,2.085971658630816*^-14+0.*I,7.095737303075496*^-15+0.*I,2.3897211596029717*^-15+0.*I,7.96972496633448*^-16+0.*I,2.6324995932534825*^-16+0.*I,8.613932552024587*^-17+0.*I,2.7926667441678935*^-17+0.*I,8.97211332476504*^-18+0.*I,2.856927452894049*^-18+0.*I,9.017804434968421*^-19+0.*I,2.8220550289544345*^-19+0.*I,8.757030682292379*^-20+0.*I,2.694861858324111*^-20+0.*I,8.225529452769152*^-21+0.*I,2.4905569026944244*^-21+0.*I,7.48152303893927*^-22+0.*I,2.2299670204474306*^-22+0.*I,6.59589893256527*^-23+0.*I,1.936276312138846*^-23+0.*I,5.641928694056396*^-24+0.*I,1.6319334699225527*^-24+0.*I,4.686387381811666*^-25+0.*I,1.336225481356233*^-25+0.*I,3.7833003228331315*^-26+0.*I,1.0637849518170806*^-26+0.*I,2.9707773693905586*^-27+0.*I,8.240617762966216*^-28+0.*I,2.2707112628248643*^-28+0.*I,6.216051251202556*^-29+0.*I,1.6906544087226535*^-29+0.*I,4.568974951897275*^-30+0.*I,1.2269915565074902*^-30+0.*I,3.27459450482407*^-31+0.*I,8.68560523043315*^-32+0.*I,2.2898227893508012*^-32+0.*I,6.000600672981062*^-33+0.*I,1.563182631518224*^-33+0.*I,4.048342042045274*^-34+0.*I,1.0423817346056905*^-34+0.*I,2.6686244012048364*^-35+0.*I,6.79340440046136*^-36+0.*I,1.7197071251415275*^-36+0.*I,4.32927880579997*^-37+0.*I,1.0839196797128876*^-37+0.*I,2.699137393518267*^-38+0.*I,6.685355894411096*^-39+0.*I,1.6471019699248066*^-39+0.*I,4.036798751343109*^-40+0.*I,9.842334140693685*^-41+0.*I
0.22866409950294173+0.*I,0.35821388565751106+0.*I,0.3406538015832052+0.*I,0.17952639895016065+0.*I,-0.04218822402895519+0.*I,-0.22157600827903873+0.*I,-0.2916556601938915+0.*I,-0.243148520140354+0.*I,-0.11259429463371763+0.*I,0.04533847383852743+0.*I,0.18304315421222447+0.*I,0.27319361229458744+0.*I,0.3097681911682716+0.*I,0.3016996798691369+0.*I,0.26459076185225194+0.*I,0.2140828970647132+0.*I,0.1621705530808342+0.*I,0.11614852030406529+0.*I,0.07920878917671183+0.*I,0.05170924678803624+0.*I,0.03245017821497902+0.*I,0.019642211901340138+0.*I,0.01150018399222139+0.*I,0.0065280894386281095+0.*I,0.0036000845271428735+0.*I,0.0019321751699330945+0.*I,0.0010107775927539538+0.*I,0.0005160970596986315+0.*I,0.0002575143862538339+0.*I,0.00012570139288546717+0.*I,0.0000600863572865753+0.*I,0.00002815131004041548+0.*I,0.000012937917367005148+0.*I,5.83713736329297*^-6+0.*I,2.5870585335230013*^-6+0.*I,1.1270981109349273*^-6+0.*I,4.829748290639624*^-7+0.*I,2.0367362902952866*^-7+0.*I,8.457008347360078*^-8+0.*I,3.4592345619961305*^-8+0.*I,1.3945083357654249*^-8+0.*I,5.542743240137686*^-9+0.*I,2.1730256278548796*^-9+0.*I,8.406310408001804*^-10+0.*I,3.20997397874566*^-10+0.*I,1.2103190435065808*^-10+0.*I,4.507540316241838*^-11+0.*I,1.6586428355359322*^-11+0.*I,6.032054366116437*^-12+0.*I,2.1686842132879013*^-12+0.*I,7.710101381863243*^-13+0.*I,2.7112237368449093*^-13+0.*I,9.432266861337988*^-14+0.*I,3.247219769568771*^-14+0.*I,1.1064896760958756*^-14+0.*I,3.732625070511365*^-15+0.*I,1.246809813970584*^-15+0.*I,4.1246673439503216*^-16+0.*I,1.3516407196913474*^-16+0.*I,4.388285615140537*^-17+0.*I,1.4117718879004516*^-17+0.*I,4.501343848192742*^-18+0.*I,1.4226473373041126*^-18+0.*I,4.457554472743108*^-19+0.*I,1.3848572220190547*^-19+0.*I,4.26662691844741*^-20+0.*I,1.3037549160943926*^-20+0.*I,3.951820154580908*^-21+0.*I,1.188350943225423*^-21+0.*I,3.545628216841466*^-22+0.*I,1.0497732460897555*^-22+0.*I,3.084628629974367*^-23+0.*I,8.996323053402306*^-24+0.*I,2.6045348644992396*^-24+0.*I,7.485917979137388*^-25+0.*I,2.1362650204982847*^-25+0.*I,6.053471310764754*^-26+0.*I,1.7034759800405293*^-26+0.*I,4.760925494905863*^-27+0.*I,1.3216337979029048*^-27+0.*I,3.6444727318373668*^-28+0.*I,9.983905842249135*^-29+0.*I,2.7173515271527844*^-29+0.*I,7.348643006050073*^-30+0.*I,1.9747854697147394*^-30+0.*I,5.273739985073265*^-31+0.*I,1.3997073020324814*^-31+0.*I,3.692396590628601*^-32+0.*I,9.681978767326984*^-33+0.*I,2.5236892799570938*^-33+0.*I,6.5396449275095055*^-34+0.*I,1.6848018148338639*^-34+0.*I,4.315677533376212*^-35+0.*I,1.0992162512805283*^-35+0.*I,2.784063348986774*^-36+0.*I,7.012358489868101*^-37+0.*I,1.7565670612710494*^-37+0.*I,4.376299192709044*^-38+0.*I,1.084467091278851*^-38+0.*I,2.6731157182931435*^-39+0.*I
-0.31683489831855+0.*I,-0.36431862534690007+0.*I,-0.17952639895016065+0.*I,0.09190365461867106+0.*I,0.2657548493560286+0.*I,0.25254894050733495+0.*I,0.09075963638030458+0.*I,-0.10860699997165522+0.*I,-0.24105023924475058+0.*I,-0.257839616291661+0.*I,-0.1708465816169016+0.*I,-0.028033631122977416+0.*I,0.11717523388112748+0.*I,0.2268015764976931+0.*I,0.28513124281689856+0.*I,0.29501161299533357+0.*I,0.2697012283500333+0.*I,0.2251087984312979+0.*I,0.1747536306396915+0.*I,0.12768988558512426+0.*I,0.08855002905506756+0.*I,0.05863903124189106+0.*I,0.03725681084617187+0.*I,0.022797306189506247+0.*I,0.013475980835435677+0.*I,0.007715344497166536+0.*I,0.004287645437013958+0.*I,0.0023172333823026016+0.*I,0.0012198929678744032+0.*I,0.0006264740563825761+0.*I,0.00031424759594377184+0.*I,0.00015414441568638155+0.*I,0.00007401513285431733+0.*I,0.00003482233298856213+0.*I,0.000016066127747638224+0.*I,7.274790240388763*^-6+0.*I,3.2351768523229477*^-6+0.*I,1.4139435272590838*^-6+0.*I,6.077002191988329*^-7+0.*I,2.569909325963757*^-7+0.*I,1.0699120597739571*^-7+0.*I,4.38728440230244*^-8+0.*I,1.7728121624560465*^-8+0.*I,7.0621715180918486*^-9+0.*I,2.7746007068575863*^-9+0.*I,1.0755168693361842*^-9+0.*I,4.1147824643437693*^-10+0.*I,1.5543158121820875*^-10+0.*I,5.798775370718963*^-11+0.*I,2.1373348345986166*^-11+0.*I,7.78531158528244*^-12+0.*I,2.8032915409733483*^-12+0.*I,9.980798215003342*^-13+0.*I,3.5146135009831324*^-13+0.*I,1.2243644674260698*^-13+0.*I,4.22051660731471*^-14+0.*I,1.4399215122877644*^-14+0.*I,4.863207821968046*^-15+0.*I,1.6263211916042423*^-15+0.*I,5.386099864591823*^-16+0.*I,1.7668871581680118*^-16+0.*I,5.742329923484546*^-17+0.*I,1.8492174538292398*^-17+0.*I,5.901754413419866*^-18+0.*I,1.866971661599001*^-18+0.*I,5.85497960962409*^-19+0.*I,1.8205783175520731*^-19+0.*I,5.613744745824445*^-20+0.*I,1.7167858929646683*^-20+0.*I,5.207851890592906*^-21+0.*I,1.5672455160607634*^-21+0.*I,4.679575370451356*^-22+0.*I,1.3865010031837206*^-22+0.*I,4.076898797408104*^-23+0.*I,1.1898323162935968*^-23+0.*I,3.446960049629122*^-24+0.*I,9.91353465926851*^-25+0.*I,2.830794532382489*^-25+0.*I,8.026387753013084*^-26+0.*I,2.2599928342544435*^-26+0.*I,6.3199127555566556*^-27+0.*I,1.7553874894257057*^-27+0.*I,4.843201055509087*^-28+0.*I,1.327480665069659*^-28+0.*I,3.6149118934351874*^-29+0.*I,9.780873742052665*^-30+0.*I,2.6296847363831162*^-30+0.*I,7.026039387010121*^-31+0.*I,1.8656588291970065*^-31+0.*I,4.923814460867625*^-32+0.*I,1.2916688209319083*^-32+0.*I,3.368310970822409*^-33+0.*I,8.732033615710806*^-34+0.*I,2.250561152299695*^-34+0.*I,5.767235981352706*^-35+0.*I,1.4695173583659543*^-35+0.*I,3.72340065648322*^-36+0.*I,9.381887082242673*^-37+0.*I,2.3510005549011276*^-37+0.*I,5.859404659189824*^-38+0.*I
0.38018823177649025+0.*I,0.2787492099081238+0.*I,-0.04218822402895519+0.*I,-0.2657548493560286+0.*I,-0.2269907184409286+0.*I,-0.005924896969794111+0.*I,0.20040036505920503+0.*I,0.25038743569153477+0.*I,0.1356564126349335+0.*I,-0.05217892457251347+0.*I,-0.20267168974306132+0.*I,-0.24967785404117637+0.*I,-0.18916090729881357+0.*I,-0.06091146637619062+0.*I,0.08216168635365535+0.*I,0.1981530481303794+0.*I,0.2663933681103831+0.*I,0.28588246333141676+0.*I,0.26783104356770543+0.*I,0.22764434493990923+0.*I,0.17926704322658837+0.*I,0.1325292935839481+0.*I,0.09281414978920821+0.*I,0.061982908418771236+0.*I,0.03967117108764387+0.*I,0.024431870994962124+0.*I,0.014525356218758261+0.*I,0.008359049358028826+0.*I,0.004667004239098422+0.*I,0.002532920454363114+0.*I,0.0013385862814995978+0.*I,0.0006898616231383371+0.*I,0.0003471712748917015+0.*I,0.000170806983962264+0.*I,0.00008224501293867678+0.*I,0.00003879481181990717+0.*I,0.00001794229783873954+0.*I,8.14273493450133*^-6+0.*I,3.6288525502744905*^-6+0.*I,1.5891652758480726*^-6+0.*I,6.842918459965059*^-7+0.*I,2.8989346888632505*^-7+0.*I,1.2089128051527286*^-7+0.*I,4.965123220104354*^-8+0.*I,2.009317178557802*^-8+0.*I,8.01571976616705*^-9+0.*I,3.1534989819392686*^-9+0.*I,1.2239651636049028*^-9+0.*I,4.688479846485325*^-10+0.*I,1.7731004051863904*^-10+0.*I,6.622415917469072*^-11+0.*I,2.4435293629819715*^-11+0.*I,8.909758592950395*^-12+0.*I,3.2113269068609176*^-12+0.*I,1.1444329953714*^-12+0.*I,4.03362114054547*^-13+0.*I,1.4063883343011342*^-13+0.*I,4.8520205161731176*^-14+0.*I,1.6567028285764476*^-14+0.*I,5.599696267176327*^-15+0.*I,1.874008658730885*^-15+0.*I,6.210860068849187*^-16+0.*I,2.0388594218285757*^-16+0.*I,6.630669143850229*^-17+0.*I,2.1366732070976625*^-17+0.*I,6.8234310367667935*^-18+0.*I,2.1598424035446736*^-18+0.*I,6.777412698116891*^-19+0.*I,2.1085993413387648*^-19+0.*I,6.505427536565913*^-20+0.*I,1.990538038746352*^-20+0.*I,6.04139383549766*^-21+0.*I,1.819001537845044*^-21+0.*I,5.433924585721233*^-22+0.*I,1.6107657235061316*^-22+0.*I,4.7385047010089596*^-23+0.*I,1.383536905763321*^-23+0.*I,4.009862527872286*^-24+0.*I,1.1537318225466947*^-24+0.*I,3.2958153346460193*^-25+0.*I,9.348632901560619*^-26+0.*I,2.633321801793623*^-26+0.*I,7.366691624908166*^-27+0.*I,2.046891114036936*^-27+0.*I,5.649506773629784*^-28+0.*I,1.5490257732929372*^-28+0.*I,4.219653739611759*^-29+0.*I,1.142093869817479*^-29+0.*I,3.0716335629608364*^-30+0.*I,8.20945856851133*^-31+0.*I,2.180575575619812*^-31+0.*I,5.756684808625951*^-32+0.*I,1.5106045509522785*^-32+0.*I,3.9403764861392926*^-33+0.*I,1.0217956487840725*^-33+0.*I,2.6342673986774476*^-34+0.*I,6.752343350375996*^-35+0.*I,1.7209835760702428*^-35+0.*I,4.361687242591416*^-36+0.*I,1.0992976761374214*^-36+0.*I
-0.4080461845195894+0.*I,-0.12914896292465433+0.*I,0.22157600827903873+0.*I,0.25254894050733495+0.*I,0.005924896969794111+0.*I,-0.2206316799433418+0.*I,-0.22157492206605944+0.*I,-0.031617441510679585+0.*I,0.1711213227343197+0.*I,0.23800446475674636+0.*I,0.1437301337922584+0.*I,-0.03263792022005892+0.*I,-0.18377776460192397+0.*I,-0.2396380984972924+0.*I,-0.19010638860649084+0.*I,-0.07036432035611313+0.*I,0.068553844488119+0.*I,0.18437485487036293+0.*I,0.25496771252859657+0.*I,0.2777740393918254+0.*I,0.2628860143500763+0.*I,0.22514785410841723+0.*I,0.1783807678787124+0.*I,0.1325395235757465+0.*I,0.0932197078053186+0.*I,0.06248534080231498+0.*I,0.0401235490872656+0.*I,0.02478232641418449+0.*I,0.014772146363408746+0.*I,0.008521116653066721+0.*I,0.004767692677851049+0.*I,0.002592642344839923+0.*I,0.0013726172599255262+0.*I,0.0007085764411358443+0.*I,0.00035713867754542505+0.*I,0.00017596238384288748+0.*I,0.00008484040001434647+0.*I,0.000040068940426405216+0.*I,0.000018553217586298053+0.*I,8.429223678590602*^-6+0.*I,3.760405452752119*^-6+0.*I,1.6483784875928879*^-6+0.*I,7.104416137766188*^-7+0.*I,3.0123344486626187*^-7+0.*I,1.2572387627060495*^-7+0.*I,5.167645089185161*^-8+0.*I,2.092831303232538*^-8+0.*I,8.354794680467128*^-9+0.*I,3.28911495447451*^-9+0.*I,1.2774240755048405*^-9+0.*I,4.896269048308928*^-10+0.*I,1.8527723545054366*^-10+0.*I,6.92388409722793*^-11+0.*I,2.5561438323244276*^-11+0.*I,9.325206818638441*^-12+0.*I,3.3627367310484828*^-12+0.*I,1.1989638099915386*^-12+0.*I,4.2277587455330216*^-13+0.*I,1.4747290158041238*^-13+0.*I,5.089960204178184*^-14+0.*I,1.7386591915826974*^-14+0.*I,5.879035313818835*^-15+0.*I,1.968244013418005*^-15+0.*I,6.525580453973275*^-16+0.*I,2.1429367081265446*^-16+0.*I,6.971543622610405*^-17+0.*I,2.2472653149082107*^-17+0.*I,7.178919200943675*^-18+0.*I,2.2730757997584887*^-18+0.*I,7.134888203816495*^-19+0.*I,2.220468806259268*^-19+0.*I,6.852514913855362*^-20+0.*I,2.0973190465633458*^-20+0.*I,6.3671860618894636*^-21+0.*I,1.917593213205042*^-21+0.*I,5.729897382170591*^-22+0.*I,1.6989177993595974*^-22+0.*I,4.99902271477521*^-23+0.*I,1.4599417500173153*^-23+0.*I,4.232261965900583*^-24+0.*I,1.2179896776737167*^-24+0.*I,3.480124549397632*^-25+0.*I,9.873492575960413*^-26+0.*I,2.7817308337587315*^-26+0.*I,7.783410054422952*^-27+0.*I,2.163098390852813*^-27+0.*I,5.9713719110930345*^-28+0.*I,1.6375791507198246*^-28+0.*I,4.461682147839295*^-29+0.*I,1.2078136268581556*^-29+0.*I,3.248942764079598*^-30+0.*I,8.684803262800102*^-31+0.*I,2.3072134063674964*^-31+0.*I,6.091982198424306*^-32+0.*I,1.5988398503956021*^-32+0.*I,4.171174875307282*^-33+0.*I,1.0818069886863087*^-33+0.*I,2.7893900265424743*^-34+0.*I,7.150990485038265*^-35+0.*I,1.8228435267381032*^-35+0.*I
0.39978762773248094+0.*I,-0.04004907503058677+0.*I,-0.2916556601938915+0.*I,-0.09075963638030458+0.*I,0.20040036505920503+0.*I,0.22157492206605944+0.*I,-0.0035412724883819775+0.*I,-0.20835074161261954+0.*I,-0.2041666288630456+0.*I,-0.023607465795134692+0.*I,0.16644130192789158+0.*I,0.2265888736882222+0.*I,0.1339012474325689+0.*I,-0.035725546532364545+0.*I,-0.17979446778790556+0.*I,-0.2316443949751047+0.*I,-0.18207081871925293+0.*I,-0.06524992729429828+0.*I,0.06953926404901895+0.*I,0.18156627404778597+0.*I,0.2495782974809974+0.*I,0.2712236727742425+0.*I,0.2563548461485581+0.*I,0.2193929049131747+0.*I,0.17374603815575754+0.*I,0.1290632486091012+0.*I,0.09076213165810731+0.*I,0.060834150709055665+0.*I,0.03906277488907593+0.*I,0.024127676772126898+0.*I,0.014382598020665504+0.*I,0.00829694067885423+0.*I,0.00464261453384479+0.*I,0.002524837442654436+0.*I,0.0013368388619849757+0.*I,0.0006901708207955518+0.*I,0.0003478947620636114+0.*I,0.00017142427399303154+0.*I,0.00008266024139398602+0.*I,0.00003904298690921198+0.*I,0.000018079864359892174+0.*I,8.214925977459507*^-6+0.*I,3.66513675034517*^-6+0.*I,1.6067603058362107*^-6+0.*I,6.925647081230367*^-7+0.*I,2.9367845798796545*^-7+0.*I,1.2258087411633063*^-7+0.*I,5.0388656795936735*^-8+0.*I,2.040838222615108*^-8+0.*I,8.147858956030704*^-9+0.*I,3.207888455468808*^-9+0.*I,1.2459681047363636*^-9+0.*I,4.776039150964937*^-10+0.*I,1.8074014071540413*^-10+0.*I,6.754784352709981*^-11+0.*I,2.4938788331134695*^-11+0.*I,9.098632750103325*^-12+0.*I,3.2812354500857825*^-12+0.*I,1.169975454404456*^-12+0.*I,4.125782496170471*^-13+0.*I,1.4392397445567202*^-13+0.*I,4.9677466870747966*^-14+0.*I,1.697004626738417*^-14+0.*I,5.7384887939698945*^-15+0.*I,1.9212891282856*^-15+0.*I,6.370223720751491*^-16+0.*I,2.0920212099728303*^-16+0.*I,6.806225931418293*^-17+0.*I,2.1940772901793297*^-17+0.*I,7.009326747606162*^-18+0.*I,2.219475457586249*^-18+0.*I,6.96694412673995*^-19+0.*I,2.1682937140152887*^-19+0.*I,6.691774084726278*^-20+0.*I,2.0482040049071538*^-20+0.*I,6.2183229787149876*^-21+0.*I,1.8728321298063534*^-21+0.*I,5.596357705644767*^-22+0.*I,1.6593839130169742*^-22+0.*I,4.8828698844628755*^-23+0.*I,1.426069719722907*^-23+0.*I,4.134210896418507*^-24+0.*I,1.1898116757652084*^-24+0.*I,3.3997237250050418*^-25+0.*I,9.645695770251736*^-26+0.*I,2.717637230986528*^-26+0.*I,7.604306765962793*^-27+0.*I,2.1133871058207326*^-27+0.*I,5.834312584039145*^-28+0.*I,1.6000384019975444*^-28+0.*I,4.359523408627111*^-29+0.*I,1.1801911304933532*^-29+0.*I,3.1747262188809626*^-30+0.*I,8.486639771624327*^-31+0.*I,2.254627970465597*^-31+0.*I,5.953287706476383*^-32+0.*I,1.5624787495972818*^-32+0.*I,4.076413731324247*^-33+0.*I,1.0572559612910028*^-33+0.*I,2.7261510160877838*^-34+0.*I
-0.3626402317252924+0.*I,0.18743332219950642+0.*I,0.243148520140354+0.*I,-0.10860699997165522+0.*I,-0.25038743569153477+0.*I,-0.031617441510679585+0.*I,0.20835074161261954+0.*I,0.1854499718056899+0.*I,-0.0375404016349301+0.*I,-0.21008928538455024+0.*I,-0.17919225701770583+0.*I,0.003110485015626587+0.*I,0.1752150407709568+0.*I,0.21488264801746632+0.*I,0.11256480483516378+0.*I,-0.05307164924713997+0.*I,-0.18506021206624282+0.*I,-0.22454983188035063+0.*I,-0.1677104866449629+0.*I,-0.05012897179644418+0.*I,0.08051499262735014+0.*I,0.18626013213331574+0.*I,0.24829326865498635+0.*I,0.2656752266406604+0.*I,0.24863478768631095+0.*I,0.21127817621811143+0.*I,0.1664082045985949+0.*I,0.12307171408900587+0.*I,0.0862351545297179+0.*I,0.05762262465424078+0.*I,0.03690283797780137+0.*I,0.022740978537403263+0.*I,0.01352837246062321+0.*I,0.007789998091034569+0.*I,0.004351848002446668+0.*I,0.0023632209196912195+0.*I,0.0012495911652495324+0.*I,0.0006443378578625275+0.*I,0.00032442683956557857+0.*I,0.00015969499283535025+0.*I,0.00007693066717099291+0.*I,0.000036304433672590965+0.*I,0.000016797796696783878+0.*I,7.626500084409025*^-6+0.*I,3.4001481718829855*^-6+0.*I,1.489581534207599*^-6+0.*I,6.416478620819459*^-7+0.*I,2.7192415808584034*^-7+0.*I,1.1343639675404701*^-7+0.*I,4.660472639133082*^-8+0.*I,1.8866250591207893*^-8+0.*I,7.52855705126208*^-9+0.*I,2.9627106261309116*^-9+0.*I,1.1502397085128505*^-9+0.*I,4.4072712036783727*^-10+0.*I,1.6671909766425205*^-10+0.*I,6.22843377708514*^-11+0.*I,2.2987227924374116*^-11+0.*I,8.383745023222105*^-12+0.*I,3.022430601851008*^-12+0.*I,1.077354559614356*^-12+0.*I,3.798015820353955*^-13+0.*I,1.324516460059365*^-13+0.*I,4.570485789388311*^-14+0.*I,1.560879201781017*^-14+0.*I,5.276810894316965*^-15+0.*I,1.7662760389656384*^-15+0.*I,5.854857163225917*^-16+0.*I,1.922326567298891*^-16+0.*I,6.252740635894983*^-17+0.*I,2.0152190756777148*^-17+0.*I,6.436593634363542*^-18+0.*I,2.0377109093149127*^-18+0.*I,6.395136763564372*^-19+0.*I,1.9899566483197514*^-19+0.*I,6.140268356336659*^-20+0.*I,1.879067277897282*^-20+0.*I,5.7038458367655075*^-21+0.*I,1.7175958427406965*^-21+0.*I,5.13165393294582*^-22+0.*I,1.5213550606551758*^-22+0.*I,4.47602630877057*^-23+0.*I,1.3070550597187505*^-23+0.*I,3.788638710418834*^-24+0.*I,1.090204457495779*^-24+0.*I,3.1146852455787207*^-25+0.*I,8.835812599557328*^-26+0.*I,2.4891343476453774*^-26+0.*I,6.964049695642194*^-27+0.*I,1.935209869726434*^-27+0.*I,5.341790423859224*^-28+0.*I,1.4647954846395004*^-28+0.*I,3.990582434928029*^-29+0.*I,1.0801933785893246*^-29+0.*I,2.905417153946781*^-30+0.*I,7.765906530518282*^-31+0.*I,2.0629397047743473*^-31+0.*I,5.446591590783079*^-32+0.*I,1.4293525510278132*^-32+0.*I,3.728737160998948*^-33+0.*I
