0.006561419936306071+0.*I,0.020804043795694515+0.*I,0.04664259309617023+0.*I,0.08538311307791352+0.*I,0.13536048912651022+0.*I,0.19193617617018985+0.*I,0.24844550213926406+0.*I,0.2977364762827295+0.*I,0.3337620668731941+0.*I,0.352748882811715+0.*I,0.35368412940013666+0.*I,0.33811867265971174+0.*I,0.3094770567529685+0.*I,0.2721489776852976+0.*I,0.23061768853308967+0.*I,0.18879779200063623+0.*I,0.14965348855277272+0.*I,0.11508330083575172+0.*I,0.0860054520451296+0.*I,0.06256034108586594+0.*I,0.04435412698864209+0.*I,0.03068840476748736+0.*I,0.020744974187882122+0.*I,0.013715097719725095+0.*I,0.008876529708617296+0.*I,0.00562889480034779+0.*I,0.003500147800274146+0.*I,0.002135769730212214+0.*I,0.0012797505854387607+0.*I,0.0007534878669157231+0.*I,0.0004361798126357196+0.*I,0.00024839030467950805+0.*I,0.0001392225475967043+0.*I,0.00007684268513145123+0.*I,0.00004178428731295931+0.*I,0.00002239385709321151+0.*I,0.00001183389134882843+0.*I,6.168458411598173*^-6+0.*I,3.172742076707989*^-6+0.*I,1.610839943789232*^-6+0.*I,8.075553898014158*^-7+0.*I,3.998805835461368*^-7+0.*I,1.9563907353249112*^-7+0.*I,9.459567820405415*^-8+0.*I,4.521628551434721*^-8+0.*I,2.1371674502279493*^-8+0.*I,9.991013844643815*^-9+0.*I,4.620729626480299*^-9+0.*I,2.114656658275675*^-9+0.*I,9.578373095780813*^-10+0.*I,4.29493576553874*^-10+0.*I,1.9068718625522713*^-10+0.*I,8.384357041121349*^-11+0.*I,3.651587862197589*^-11+0.*I,1.575559470048139*^-11+0.*I,6.7360202049704*^-12+0.*I,2.8540349899436625*^-12+0.*I,1.1985931485991206*^-12+0.*I,4.990082428699164*^-13+0.*I,2.059831234157284*^-13+0.*I,8.431521263102026*^-14+0.*I,3.4228742761434195*^-14+0.*I,1.3783040374838566*^-14+0.*I,5.505853850350261*^-15+0.*I,2.1821500861722273*^-15+0.*I,8.581789641567923*^-16+0.*I,3.3493136742760007*^-16+0.*I,1.2973834294954897*^-16+0.*I,4.988429236091543*^-17+0.*I,1.9040975577899433*^-17+0.*I,7.215893279238982*^-18+0.*I,2.7152564414424303*^-18+0.*I,1.0145992336368475*^-18+0.*I,3.7651564382862435*^-19+0.*I,1.387768709354769*^-19+0.*I,5.0808501316603427*^-20+0.*I,1.8479044623592347*^-20+0.*I,6.677041524689686*^-21+0.*I,2.3971030323473997*^-21+0.*I,8.551121577420113*^-22+0.*I,3.0312936738918185*^-22+0.*I,1.0679119079818893*^-22+0.*I,3.7391977054780823*^-23+0.*I,1.3013355914206525*^-23+0.*I,4.501938836275641*^-24+0.*I,1.548246307796692*^-24+0.*I,5.293473617090277*^-25+0.*I,1.7994138217271763*^-25+0.*I,6.081905131249553*^-26+0.*I,2.0440643491409257*^-26+0.*I,6.831612656962524*^-27+0.*I,2.2706618526456995*^-27+0.*I,7.505998541005433*^-28+0.*I,2.467839589022636*^-28+0.*I,8.070546155660723*^-29+0.*I,2.6253732050767635*^-29+0.*I,8.49582107517741*^-30+0.*I,2.7350761081502344*^-30+0.*I,8.760044321349565*^-31+0.*I,2.791506424483512*^-31+0.*I
-0.020804043795694515+0.*I,-0.05940116780454756+0.*I,-0.11846652907126988+0.*I,-0.1899336372136922+0.*I,-0.25841611110209256+0.*I,-0.3058894539762458+0.*I,-0.31759097767887745+0.*I,-0.2866966701424342+0.*I,-0.21612072289072287+0.*I,-0.11716122053857417+0.*I,-0.005922860060423319+0.*I,0.10097757937772282+0.*I,0.19003034645929665+0.*I,0.25294301888194176+0.*I,0.2870775284399741+0.*I,0.2945645128184147+0.*I,0.28069056291200684+0.*I,0.2521469103844929+0.*I,0.21556288986702604+0.*I,0.17653138799972887+0.*I,0.13914641292268257+0.*I,0.10595359044116337+0.*I,0.07816607937569166+0.*I,0.05600346421501708+0.*I,0.03904550836973236+0.*I,0.026535326609029772+0.*I,0.0176040593689486+0.*I,0.011415497893705174+0.*I,0.0072437747841647+0.*I,0.004502612589525031+0.*I,0.002744044328694857+0.*I,0.0016409847565814575+0.*I,0.0009636801318931601+0.*I,0.000556130477197634+0.*I,0.00031558215525746716+0.*I,0.00017619582933045238+0.*I,0.00009684187486349686+0.*I,0.000052424655198806225+0.*I,0.000027965239184483652+0.*I,0.000014706339181440529+0.*I,7.627361280120057*^-6+0.*I,3.902991383466174*^-6+0.*I,1.971217027802803*^-6+0.*I,9.829602907113689*^-7+0.*I,4.841111918438043*^-7+0.*I,2.355577115400108*^-7+0.*I,1.132716224454142*^-7+0.*I,5.3844168935913785*^-8+0.*I,2.5308492757364304*^-8+0.*I,1.1765618403356542*^-8+0.*I,5.411153675879543*^-9+0.*I,2.4625930530071614*^-9+0.*I,1.109225246162719*^-9+0.*I,4.946109032724327*^-10+0.*I,2.183801475465857*^-10+0.*I,9.548897537653398*^-11+0.*I,4.135857968759924*^-11+0.*I,1.7747158090891363*^-11+0.*I,7.546027073416449*^-12+0.*I,3.179852214167923*^-12+0.*I,1.3282033861186093*^-12+0.*I,5.499950936861294*^-13+0.*I,2.2581602989177617*^-13+0.*I,9.194229073717785*^-14+0.*I,3.7127970799602093*^-14+0.*I,1.4872061148293713*^-14+0.*I,5.909924757780155*^-15+0.*I,2.3301749838339808*^-15+0.*I,9.116835612385737*^-16+0.*I,3.5399755868521034*^-16+0.*I,1.3642907387422686*^-16+0.*I,5.219303753862913*^-17+0.*I,1.98227638378103*^-17+0.*I,7.47493586886007*^-18+0.*I,2.7988955076599015*^-18+0.*I,1.0407463807035349*^-18+0.*I,3.8434744383136195*^-19+0.*I,1.409823177314112*^-19+0.*I,5.1369630933980184*^-20+0.*I,1.8594646304005352*^-20+0.*I,6.687234935206767*^-21+0.*I,2.3895655531952753*^-21+0.*I,8.484780473397418*^-22+0.*I,2.993961723678981*^-22+0.*I,1.0499525137893188*^-22+0.*I,3.659685976097018*^-23+0.*I,1.2679464116704691*^-23+0.*I,4.366890219865242*^-24+0.*I,1.4951631445496231*^-24+0.*I,5.089554142875548*^-25+0.*I,1.7225623727304219*^-25+0.*I,5.796993034034672*^-26+0.*I,1.9399525070335077*^-26+0.*I,6.456054373455162*^-27+0.*I,2.136769526325396*^-27+0.*I,7.033778299744534*^-28+0.*I,2.3029561380627074*^-28+0.*I,7.500213223855504*^-29+0.*I,2.4298358260917053*^-29+0.*I,7.831041759152327*^-30+0.*I
0.04664259309617023+0.*I,0.11846652907126988+0.*I,0.2062003741480995+0.*I,0.2807392734009019+0.*I,0.3107612874627213+0.*I,0.27721133350737776+0.*I,0.18222178033257647+0.*I,0.0486146133650857+0.*I,-0.0888514388912398+0.*I,-0.19578624132443845+0.*I,-0.24870142200524556+0.*I,-0.24028171627142386+0.*I,-0.1787038241645593+0.*I,-0.08261313724760683+0.*I,0.025597513699020174+0.*I,0.12578158759312327+0.*I,0.20384700218421586+0.*I,0.25303409765969603+0.*I,0.27314948943906875+0.*I,0.26862669674557094+0.*I,0.24627549570009133+0.*I,0.21333833312532796+0.*I,0.17616022935592132+0.*I,0.1395145019013402+0.*I,0.1064617982596939+0.*I,0.07855460968842465+0.*I,0.056206241445678984+0.*I,0.03908793811336774+0.*I,0.026472364402161212+0.*I,0.01748863098703632+0.*I,0.011286405829757795+0.*I,0.007124231266637588+0.*I,0.00440337155645446+0.*I,0.002667644624696787+0.*I,0.001585450615802999+0.*I,0.0009251444416517058+0.*I,0.0005304164512223408+0.*I,0.00029899676075822014+0.*I,0.00016581580616416189+0.*I,0.00009051959174857307+0.*I,0.00004866823102799241+0.*I,0.00002578385402080021+0.*I,0.000013466291800914724+0.*I,6.9363638256320405*^-6+0.*I,3.5251168476154153*^-6+0.*I,1.7682214488531068*^-6+0.*I,8.757405190135081*^-7+0.*I,4.2838612496948374*^-7+0.*I,2.0703992719229517*^-7+0.*I,9.889217282987816*^-8+0.*I,4.669630448722968*^-8+0.*I,2.1803861663223714*^-8+0.*I,1.0069930926621856*^-8+0.*I,4.6011705314177125*^-9+0.*I,2.08046611980242*^-9+0.*I,9.311092077584812*^-10+0.*I,4.1255437324068717*^-10+0.*I,1.810053297724989*^-10+0.*I,7.865320499163974*^-11+0.*I,3.385620034764703*^-11+0.*I,1.4438940547211133*^-11+0.*I,6.102155884296267*^-12+0.*I,2.5559643367309046*^-12+0.*I,1.0612550316458379*^-12+0.*I,4.3686335797888653*^-13+0.*I,1.783188906051611*^-13+0.*I,7.218345640674444*^-14+0.*I,2.8981918425087956*^-14+0.*I,1.1543146896157199*^-14+0.*I,4.561267157056359*^-15+0.*I,1.7884042959136868*^-15+0.*I,6.95853415442571*^-16+0.*I,2.68715658353512*^-16+0.*I,1.0300090343274424*^-16+0.*I,3.919314592506508*^-17+0.*I,1.4806314863900597*^-17+0.*I,5.553885944060204*^-18+0.*I,2.0687313112882063*^-18+0.*I,7.652637599724216*^-19+0.*I,2.81163992509688*^-19+0.*I,1.0261011198224497*^-19+0.*I,3.7199904955985394*^-20+0.*I,1.3398400309540409*^-20+0.*I,4.7946922981543215*^-21+0.*I,1.7049099745151734*^-21+0.*I,6.024352643211991*^-22+0.*I,2.1155434406395946*^-22+0.*I,7.383625685224465*^-23+0.*I,2.5614522203018623*^-23+0.*I,8.832905947173916*^-24+0.*I,3.0279788328365837*^-24+0.*I,1.0319634651910502*^-24+0.*I,3.496775296184071*^-25+0.*I,1.1781267264991248*^-25+0.*I,3.9469849095209443*^-26+0.*I,1.3149697037898475*^-26+0.*I,4.356822596709527*^-27+0.*I,1.4356688468498003*^-27+0.*I,4.705380918197484*^-28+0.*I,1.533969356771475*^-28+0.*I
-0.08538311307791352+0.*I,-0.1899336372136922+0.*I,-0.2807392734009019+0.*I,-0.3077160171806809+0.*I,-0.24470437371595125+0.*I,-0.10626710942318923+0.*I,0.058464031539195+0.*I,0.18935530841029966+0.*I,0.2420372172803971+0.*I,0.20450765391398884+0.*I,0.09781332624915715+0.*I,-0.03637146968935411+0.*I,-0.15343134546874782+0.*I,-0.22077151425372593+0.*I,-0.22532313333822013+0.*I,-0.17301578807335258+0.*I,-0.08267861406559579+0.*I,0.02205314308350218+0.*I,0.11978176090223705+0.*I,0.19566781955915008+0.*I,0.2427635443945902+0.*I,0.2610503037448303+0.*I,0.25524711014623974+0.*I,0.2323727873930324+0.*I,0.19971950030918686+0.*I,0.16352804832052886+0.*I,0.12836834918372034+0.*I,0.09706503020526211+0.*I,0.07095577734189185+0.*I,0.050291544502370035+0.*I,0.03464321046419362+0.*I,0.023239225884511636+0.*I,0.015206907122462933+0.*I,0.009720987790520495+0.*I,0.006078331922740896+0.*I,0.0037217916075116104+0.*I,0.0022338232994203464+0.*I,0.0013154231307451632+0.*I,0.0007605977632685439+0.*I,0.0004321538139475287+0.*I,0.0002414396049545249+0.*I,0.0001327194599034175+0.*I,0.00007182319020730327+0.*I,0.000038284971935022294+0.*I,0.000020111233932796587+0.*I,0.000010415843664455853+0.*I,5.320851019720658*^-6+0.*I,2.6820847051520636*^-6+0.*I,1.3345408394542313*^-6+0.*I,6.557116263022244*^-7+0.*I,3.1824416877195354*^-7+0.*I,1.5262002888100548*^-7+0.*I,7.234287597742915*^-8+0.*I,3.390284375734195*^-8+0.*I,1.5712648505516284*^-8+0.*I,7.203551537564829*^-9+0.*I,3.2676367564415333*^-9+0.*I,1.4669376387871672*^-9+0.*I,6.518935830607598*^-10+0.*I,2.8682771110522617*^-10+0.*I,1.249778594849729*^-10+0.*I,5.393828952860771*^-11+0.*I,2.3061866733276885*^-11+0.*I,9.770185194080936*^-12+0.*I,4.10201262256152*^-12+0.*I,1.707060831264962*^-12+0.*I,7.04251965154873*^-13+0.*I,2.88071914551797*^-13+0.*I,1.1685084846233207*^-13+0.*I,4.700921208361362*^-14+0.*I,1.8759192058576943*^-14+0.*I,7.426483407360744*^-15+0.*I,2.917065434766063*^-15+0.*I,1.1369912181499736*^-15+0.*I,4.3981334652525056*^-16+0.*I,1.6886154925342743*^-16+0.*I,6.435663765344413*^-17+0.*I,2.4350269498163077*^-17+0.*I,9.147622903976894*^-18+0.*I,3.4123347375488035*^-18+0.*I,1.2640883422565347*^-18+0.*I,4.650802882316002*^-19+0.*I,1.6995902697501596*^-19+0.*I,6.169731726388435*^-20+0.*I,2.22501485629942*^-20+0.*I,7.972268909713208*^-21+0.*I,2.8382467203969554*^-21+0.*I,1.0040916513209606*^-21+0.*I,3.530095623353045*^-22+0.*I,1.233455510832808*^-22+0.*I,4.283685339790239*^-23+0.*I,1.478771281288585*^-23+0.*I,5.0746413426986534*^-24+0.*I,1.7312562750984175*^-24+0.*I,5.872175871406402*^-25+0.*I,1.9803764293303698*^-25+0.*I,6.641039651655104*^-26+0.*I,2.2145831767862134*^-26+0.*I,7.344172153238977*^-27+0.*I,2.4222298052941356*^-27+0.*I
0.13536048912651022+0.*I,0.25841611110209256+0.*I,0.3107612874627213+0.*I,0.24470437371595125+0.*I,0.08022139249612398+0.*I,-0.10511927276434567+0.*I,-0.2228349341146158+0.*I,-0.22285018106018484+0.*I,-0.11592023885241191+0.*I,0.03884351898992523+0.*I,0.16828850225565567+0.*I,0.21986586680208425+0.*I,0.18024222247396993+0.*I,0.07339361591474235+0.*I,-0.05581395349176625+0.*I,-0.16204909315192595+0.*I,-0.21495861292494178+0.*I,-0.2054078589784066+0.*I,-0.14311194803319577+0.*I,-0.04913994868262964+0.*I,0.05266599259835399+0.*I,0.14239004112989886+0.*I,0.20756609368466944+0.*I,0.24367330393866107+0.*I,0.25257326024531757+0.*I,0.24005267963977248+0.*I,0.21341004171567662+0.*I,0.17963056076273196+0.*I,0.14432154321930724+0.*I,0.11132553703621112+0.*I,0.08280811419483543+0.*I,0.05960075298895177+0.*I,0.0416224768056096+0.*I,0.028267532804591197+0.*I,0.018705138555128314+0.*I,0.012079676991927446+0.*I,0.007624025678286459+0.*I,0.00470852737171675+0.*I,0.002848607232433283+0.*I,0.0016898589515660595+0.*I,0.000983828680787036+0.*I,0.0005625796298367725+0.*I,0.0003161966784934943+0.*I,0.00017479372745855988+0.*I,0.00009509392604399784+0.*I,0.000050942570268526765+0.*I,0.000026886534755310572+0.*I,0.000013986966575129949+0.*I,7.175325103542055*^-6+0.*I,3.6313730229372795*^-6+0.*I,1.8137683667467113*^-6+0.*I,8.944057263928078*^-7+0.*I,4.3559194173378586*^-7+0.*I,2.0958481695916296*^-7+0.*I,9.965725455634304*^-8+0.*I,4.684404705802067*^-8+0.*I,2.1772936239350254*^-8+0.*I,1.0009476657793156*^-8+0.*I,4.552465055575808*^-9+0.*I,2.0489279729417464*^-9+0.*I,9.127476835040601*^-10+0.*I,4.025441051590491*^-10+0.*I,1.7579456784639504*^-10+0.*I,7.603496954479941*^-11+0.*I,3.2577693335474586*^-11+0.*I,1.3829485208442379*^-11+0.*I,5.8176414609667075*^-12+0.*I,2.425586074491765*^-12+0.*I,1.0025036684872885*^-12+0.*I,4.107928657237408*^-13+0.*I,1.6691411595939715*^-13+0.*I,6.7260447189231*^-14+0.*I,2.688338663968049*^-14+0.*I,1.0659201667175812*^-14+0.*I,4.193134445294625*^-15+0.*I,1.6367462200027162*^-15+0.*I,6.340238611277891*^-16+0.*I,2.4376036662818236*^-16+0.*I,9.302586919379373*^-17+0.*I,3.524324564785909*^-17+0.*I,1.3256426536905337*^-17+0.*I,4.951091379383895*^-18+0.*I,1.8362992646126125*^-18+0.*I,6.763895485355797*^-19+0.*I,2.4745877806724913*^-19+0.*I,8.992943253146003*^-20+0.*I,3.246632992437506*^-20+0.*I,1.1644883963272583*^-20+0.*I,4.149970331775253*^-21+0.*I,1.4695992593947572*^-21+0.*I,5.171687328415485*^-22+0.*I,1.8087535026385584*^-22+0.*I,6.287439344210205*^-23+0.*I,2.172442032144195*^-23+0.*I,7.461641975720794*^-24+0.*I,2.5477893302813234*^-24+0.*I,8.648998951553073*^-25+0.*I,2.919248040966993*^-25+0.*I,9.79733315372016*^-26+0.*I,3.2696759338747204*^-26+0.*I
-0.19193617617018985+0.*I,-0.3058894539762458+0.*I,-0.27721133350737776+0.*I,-0.10626710942318923+0.*I,0.10511927276434567+0.*I,0.22927664034856537+0.*I,0.20081931582704102+0.*I,0.052331479539329984+0.*I,-0.11751504065096476+0.*I,-0.2106019962783345+0.*I,-0.18369385174307767+0.*I,-0.06214949467202906+0.*I,0.08503791915376659+0.*I,0.18656241321429115+0.*I,0.20195313471791412+0.*I,0.13310702813527683+0.*I,0.01492114662737526+0.*I,-0.10510333714587514+0.*I,-0.18680655148063824+0.*I,-0.2092979121322487+0.*I,-0.17295833047942963+0.*I,-0.09397065474588227+0.*I,0.004358812401654067+0.*I,0.09965992615065003+0.*I,0.17572190271001117+0.*I,0.22438514204911172+0.*I,0.24479677190024446+0.*I,0.2412106191555678+0.*I,0.22044087154394792+0.*I,0.1897168010273453+0.*I,0.15527191236733995+0.*I,0.12167887420318756+0.*I,0.09176016832627691+0.*I,0.0668477611135535+0.*I,0.047189511248527986+0.*I,0.03236060885424584+0.*I,0.021602587741922745+0.*I,0.0140630741065362+0.*I,0.008941294281384078+0.*I,0.005559569431870547+0.*I,0.003384610148490765+0.*I,0.002019539456609464+0.*I,0.0011821554567878296+0.*I,0.0006794196307568485+0.*I,0.0003836823145212639+0.*I,0.00021304709425401248+0.*I,0.00011639235240678735+0.*I,0.00006259955240281472+0.*I,0.00003316268479853307+0.*I,0.00001731316769018908+0.*I,8.911553205140092*^-6+0.*I,4.524477330045478*^-6+0.*I,2.2667185074535876*^-6+0.*I,1.1210010817897332*^-6+0.*I,5.474556840674886*^-7+0.*I,2.641025917203322*^-7+0.*I,1.2589694687174325*^-7+0.*I,5.932082541920355*^-8+0.*I,2.7635821690161313*^-8+0.*I,1.2732926797243836*^-8+0.*I,5.803452183142842*^-9+0.*I,2.617297920183152*^-9+0.*I,1.168233860657066*^-9+0.*I,5.161940336303399*^-10+0.*I,2.2583701050600886*^-10+0.*I,9.785084430640164*^-11+0.*I,4.199581413744867*^-11+0.*I,1.7856672900234043*^-11+0.*I,7.523606269301117*^-12+0.*I,3.1416467224160047*^-12+0.*I,1.300368106387107*^-12+0.*I,5.336077521891458*^-13+0.*I,2.1711580173142007*^-13+0.*I,8.760692168433851*^-14+0.*I,3.506105773584555*^-14+0.*I,1.3919094162555562*^-14+0.*I,5.4821890930263515*^-15+0.*I,2.1424460965646427*^-15+0.*I,8.308690576654356*^-16+0.*I,3.197968954449422*^-16+0.*I,1.2217585917976477*^-16+0.*I,4.633562279019666*^-17+0.*I,1.7446587351266886*^-17+0.*I,6.522556603476874*^-18+0.*I,2.4214847496808856*^-18+0.*I,8.927820647574393*^-19+0.*I,3.2692722352594974*^-19+0.*I,1.1891578393485118*^-19+0.*I,4.296852462982144*^-20+0.*I,1.5424906517415858*^-20+0.*I,5.501655441994235*^-21+0.*I,1.9498426494125735*^-21+0.*I,6.867152469168539*^-22+0.*I,2.4035848064786663*^-22+0.*I,8.36145090543203*^-23+0.*I,2.891187211724504*^-23+0.*I,9.937457383875748*^-24+0.*I,3.3955502787185875*^-24+0.*I,1.153483634006288*^-24+0.*I,3.8959100627148123*^-25+0.*I
0.24844550213926406+0.*I,0.31759097767887745+0.*I,0.18222178033257647+0.*I,-0.058464031539195+0.*I,-0.2228349341146158+0.*I,-0.20081931582704102+0.*I,-0.0306673512190946+0.*I,0.14917088104049367+0.*I,0.21254068629354705+0.*I,0.12868091879133914+0.*I,-0.03410951307365874+0.*I,-0.1682752715044087+0.*I,-0.19796720984566454+0.*I,-0.11631718278116294+0.*I,0.023567167135936894+0.*I,0.1470199065125613+0.*I,0.19804867678197158+0.*I,0.16116360760720613+0.*I,0.059761307344953725+0.*I,-0.061505861598628+0.*I,-0.15824370821106623+0.*I,-0.20193816857160196+0.*I,-0.18558222644598704+0.*I,-0.12046745473482766+0.*I,-0.028137614168932415+0.*I,0.06824282776206544+0.*I,0.15022575056801296+0.*I,0.20706517991234652+0.*I,0.23573201989915485+0.*I,0.23906309636808143+0.*I,0.22323301787461183+0.*I,0.1954345221083634+0.*I,0.1622293760617556+0.*I,0.12866777303787247+0.*I,0.09804658197293888+0.*I,0.07208536653017084+0.*I,0.05130421670004385+0.*I,0.035441731950122096+0.*I,0.023817527939416508+0.*I,0.015599514294394781+0.*I,0.009973648702339901+0.*I,0.006233462554995424+0.*I,0.0038129967200255855+0.*I,0.002285252206203458+0.*I,0.0013432320416681867+0.*I,0.0007749854536965813+0.*I,0.0004392404207143572+0.*I,0.0002447300529061073+0.*I,0.00013413191992326122+0.*I,0.00007235980228955509+0.*I,0.00003844354171613364+0.*I,0.000020124857407238405+0.*I,0.000010385621014333241+0.*I,5.285853721164893*^-6+0.*I,2.6543671505949314*^-6+0.*I,1.3156454386147297*^-6+0.*I,6.438835622897487*^-7+0.*I,3.1125454992153296*^-7+0.*I,1.4866365647008027*^-7+0.*I,7.017909329384273*^-8+0.*I,3.275296119877106*^-8+0.*I,1.5116553970965347*^-8+0.*I,6.9012536027220535*^-9+0.*I,3.1173398886069733*^-9+0.*I,1.393555326476126*^-9+0.*I,6.166607777755915*^-10+0.*I,2.701744286850523*^-10+0.*I,1.172215899997254*^-10+0.*I,5.037583278731542*^-11+0.*I,2.144718840119598*^-11+0.*I,9.047547488730404*^-12+0.*I,3.7825047912957614*^-12+0.*I,1.567433031763758*^-12+0.*I,6.439162705095061*^-13+0.*I,2.6228175892547674*^-13+0.*I,1.059424424660666*^-13+0.*I,4.244217892329889*^-14+0.*I,1.6865978761267788*^-14+0.*I,6.64920799454567*^-15+0.*I,2.6009326743691568*^-15+0.*I,1.0095866136539502*^-15+0.*I,3.889251402256136*^-16+0.*I,1.4871247464269953*^-16+0.*I,5.644651272553288*^-17+0.*I,2.1270760404824013*^-17+0.*I,7.958504965094013*^-18+0.*I,2.9568380998759746*^-18+0.*I,1.090975133251963*^-18+0.*I,3.9979357975359565*^-19+0.*I,1.4552299687290403*^-19+0.*I,5.2618968213338896*^-20+0.*I,1.8901959661484457*^-20+0.*I,6.7462588519756036*^-21+0.*I,2.3924764611614155*^-21+0.*I,8.431342092808334*^-22+0.*I,2.9528748039705675*^-22+0.*I,1.027842719613456*^-22+0.*I,3.556106460694812*^-23+0.*I,1.2229863929925106*^-23+0.*I,4.18117934217625*^-24+0.*I
-0.2977364762827295+0.*I,-0.2866966701424342+0.*I,-0.0486146133650857+0.*I,0.18935530841029966+0.*I,0.22285018106018484+0.*I,0.052331479539329984+0.*I,-0.14917088104049367+0.*I,-0.20943336671367602+0.*I,-0.09523785393597524+0.*I,0.0867875901332758+0.*I,0.19467987185645302+0.*I,0.15890213235354103+0.*I,0.016919367083521403+0.*I,-0.13038960689865586+0.*I,-0.19274017232797486+0.*I,-0.14168949274093456+0.*I,-0.0150678392707682+0.*I,0.11549850198682439+0.*I,0.18681891236621023+0.*I,0.1721657609068852+0.*I,0.08567498793081788+0.*I,-0.03208394002490062+0.*I,-0.13559682788729976+0.*I,-0.19202845262613236+0.*I,-0.18934233458342517+0.*I,-0.13495712883504696+0.*I,-0.04850929997289914+0.*I,0.04689111682712839+0.*I,0.1316296892653917+0.*I,0.19331655956780044+0.*I,0.22738573054346686+0.*I,0.23556713657458067+0.*I,0.22344130104692642+0.*I,0.1980438652498139+0.*I,0.16607117885454653+0.*I,0.13285189700203423+0.*I,0.10199139882454906+0.*I,0.07547860571184568+0.*I,0.05403386977828054+0.*I,0.037524172898400474+0.*I,0.025337575575587978+0.*I,0.01666759446170116+0.*I,0.010699316736553846+0.*I,0.006711790919298181+0.*I,0.0041197045311191895+0.*I,0.002476974171255016+0.*I,0.0014602749030990002+0.*I,0.0008448731981053581+0.*I,0.00048011034824310906+0.*I,0.00026816389460522814+0.*I,0.00014731906077961236+0.*I,0.00007964946797764123+0.*I,0.00004240501286052291+0.*I,0.00002224275854320278+0.*I,0.000011500261819632801+0.*I,5.863682953455671*^-6+0.*I,2.9495787740058957*^-6+0.*I,1.464359613585376*^-6+0.*I,7.177854699148552*^-7+0.*I,3.474979057837638*^-7+0.*I,1.6621227897032088*^-7+0.*I,7.8570999065272*^-8+0.*I,3.671785898997479*^-8+0.*I,1.69679483832378*^-8+0.*I,7.755916563330058*^-9+0.*I,3.507502536092235*^-9+0.*I,1.5697409175438927*^-9+0.*I,6.953801663143308*^-10+0.*I,3.04983034644426*^-10+0.*I,1.324581458136308*^-10+0.*I,5.69794061849394*^-11+0.*I,2.4281551465993345*^-11+0.*I,1.0252595261898761*^-11+0.*I,4.2900906448120705*^-12+0.*I,1.7792943804377754*^-12+0.*I,7.315574197515303*^-13+0.*I,2.9821964020048334*^-13+0.*I,1.2055263547299654*^-13+0.*I,4.83317916614147*^-14+0.*I,1.9220542456115424*^-14+0.*I,7.582871159168668*^-15+0.*I,2.9682039237998973*^-15+0.*I,1.1529239175630253*^-15+0.*I,4.444341816682708*^-16+0.*I,1.7004562915568232*^-16+0.*I,6.458392083075711*^-17+0.*I,2.435187496522228*^-17+0.*I,9.11666808364929*^-18+0.*I,3.389072749667083*^-18+0.*I,1.2511534479905907*^-18+0.*I,4.587413059597077*^-19+0.*I,1.670683261710625*^-19+0.*I,6.044072314480575*^-20+0.*I,2.172268809144588*^-20+0.*I,7.756823686585062*^-21+0.*I,2.752185727782598*^-21+0.*I,9.703559205355856*^-22+0.*I,3.400000463291991*^-22+0.*I,1.1840108133343966*^-22+0.*I,4.098212233557737*^-23+0.*I
