3.1327811276136576*^-8+0.*I,0.-1.8416255552370558*^-7*I,-7.655218901472584*^-7+0.*I,0.+2.5981741974001374*^-6*I,7.636767147110608*^-6+0.*I,0.-0.000020076861613277052*I,-0.00004818273843494842+0.*I,0.+0.00010705667187640456*I,0.00022250512753432908+0.*I,0.-0.00043600357248772153*I,-0.0008105155039967356+0.*I,0.+0.0014366013262776388*I,0.002437905790758884+0.*I,0.-0.003974811354080115*I,-0.006244875474853566+0.*I,0.+0.009478714276014969*I,0.013930308031761918+0.*I,0.-0.01986129390245659*I,-0.027519628344539273+0.*I,0.+0.0371139384231078*I,0.048785787970917815+0.*I,0.-0.06258279504546324*I,-0.07843590178319793+0.*I,0.+0.0961440151151719*I,0.11536867717702838+0.*I,0.-0.1356404392827481*I,-0.15637732959377607+0.*I,0.+0.17691440224773897*I,0.19654203690827132+0.*I,0.-0.21454961158105107*I,-0.23027054253292972+0.*I,0.+0.24312455076579575*I,0.2526533761357872+0.*I,0.-0.25854694765260194*I,-0.260658106064084+0.*I,0.+0.25900520518337833*I,0.25376312897653464+0.*I,0.-0.24524430864318109*I,-0.23387210153369684+0.*I,0.+0.22014934292946994*I,0.20462499265880874+0.*I,0.-0.18786160456050682*I,-0.17040591325075827+0.*I,0.+0.15276424298147603*I,0.13538378537659074+0.*I,0.-0.11864014668893888*I,-0.10283099499691582+0.*I,0.+0.0881751867262415*I,0.07481644155172132+0.*I,0.-0.06283046692422131*I,-0.05223439440432175+0.*I,0.+0.042997455413302785*I,0.03505196439935981+0.*I,0.-0.028303862518502757*I,-0.022642277309017186+0.*I,0.+0.017947751147758494*I,0.014098967345502061+0.*I,0.-0.010977947657826179*I,-0.00847380445663353+0.*I,0.+0.006485205032056631*I,0.00492174790096036+0.*I,0.-0.0037044669641507297*I,-0.0027656751043417115+0.*I,0.+0.0020483405591540764*I,0.0015051627315726959+0.*I,0.-0.0010974836452374783*I,-0.0007941405425510108+0.*I,0.+0.0005703366046147462*I,0.0004065819256026137+0.*I,0.-0.0002877363975453155*I,-0.00020217016282326862+0.*I,0.+0.0001410454774959595*I,0.00009771566594376736+0.*I,0.-0.00006723169259650689*I,-0.000045944069905341816+0.*I,0.+0.00003118674945497497*I,0.000021029773447476453+0.*I,0.-0.000014088362263969473*I,-9.377444187472631*^-6+0.*I,0.+6.202149368404848*^-6*I,4.076322224301638*^-6+0.*I,0.-2.66254695955634*^-6*I,-1.728469135460916*^-6+0.*I,0.+1.1153055456992384*^-6*I,7.15361391940327*^-7+0.*I,0.-4.5612861005933496*^-7*I,-2.8914079243821776*^-7+0.*I,0.+1.822304801854738*^-7*I,1.1419601853312486*^-7+0.*I,0.-7.115857427324307*^-8*I,-4.409377302551912*^-8+0.*I,0.+2.7172390355319772*^-8*I,1.6653488068883502*^-8+0.*I,0.-1.0151612104034301*^-8*I,-6.155202806972767*^-9+0.*I,0.+3.7123750335741225*^-9*I,2.2273450734058454*^-9+0.*I,0.-1.3294527830255671*^-9*I,-7.894618692624457*^-10+0.*I,0.+4.664282434391052*^-10*I
0.-1.8416255552370558*^-7*I,-1.0512836280636032*^-6+0.*I,0.+4.239724533108616*^-6*I,0.000013947611486180003+0.*I,0.-0.000039696878947343294*I,-0.00010094679310633461+0.*I,0.+0.00023406726338620943*I,0.0005018599947282591+0.*I,0.-0.0010052087228428906*I,-0.0018955596889060075+0.*I,0.+0.00338590321555834*I,0.005756977573798568+0.*I,0.-0.009354853172764872*I,-0.01457619011663752+0.*I,0.+0.021838520270437693*I,0.03153493341380069+0.*I,0.-0.043975355517204766*I,-0.05931976349659853+0.*I,0.+0.0775115733737214*I,0.09822139756008426+0.*I,0.-0.12081181704412353*I,-0.14433242364507617+0.*I,0.+0.16755117029215566*I,0.1890234124358689+0.*I,0.-0.20719463870453042*I,-0.22052766919705294+0.*I,0.+0.2276409531162582*I,0.22744226363363745+0.*I,0.-0.21924199428431798*I,-0.20283244446142518+0.*I,0.+0.17852358981372696*I,0.14713120391795137+0.*I,0.-0.10991898970614279*I,-0.06850173038978029+0.*I,0.+0.024720643781546682*I,-0.01949537772754661+0.*I,0.+0.06226833971663618*I,0.10189639491159765+0.*I,0.-0.13695524440520776*I,-0.16636871996501523+0.*I,0.+0.18944550464881119*I,0.20588271282459544+0.*I,0.-0.2157402142809246*I,-0.21939186273507405+0.*I,0.+0.21746105213343128*I,0.21074830089770757+0.*I,0.-0.20015799956978658*I,-0.18663027187807257+0.*I,0.+0.17108234503734623*I,0.15436214591736264+0.*I,0.-0.13721524182878006*I,-0.12026487925147965+0.*I,0.+0.10400383098848986*I,0.08879607459741874+0.*I,0.-0.07488597785187401*I,-0.062412612095168706+0.*I,0.+0.05142698406032797*I,0.04191029708165057+0.*I,0.-0.033791753474016244*I,-0.026964831761039462+0.*I,0.+0.021301370265626285*I,0.016663132399825163+0.*I,0.-0.012910802885073552*I,-0.00991056374729067+0.*I,0.+0.0075385284507859425*I,0.00568338162870954+0.*I,0.-0.004247592974885298*I,-0.0031475600417728545+0.*I,0.+0.00231299809988545*I,0.0016858461875207255+0.*I,0.-0.0012189051018407383*I,-0.0008743711514123515+0.*I,0.+0.0006223827297684518*I,0.00043965718238224584+0.*I,0.-0.0003082637150742926*I,-0.0002145540023865297+0.*I,0.+0.00014825490136050295*I,0.00010171616847543715+0.*I,0.-0.00006929913712196412*I,-0.00004688881270885485+0.*I,0.+0.00003151078774143475*I,0.00002103494629773331+0.*I,0.-0.00001394947107261485*I,-9.190707796587379*^-6+0.*I,0.+6.016646173656149*^-6*I,3.913924755467461*^-6+0.*I,0.-2.5302299508546685*^-6*I,-1.6256721607079793*^-6+0.*I,0.+1.0381647852864724*^-6*I,6.590128240240819*^-7+0.*I,0.-4.158614256996914*^-7*I,-2.60893140166497*^-7+0.*I,0.+1.6272981066722707*^-7*I,1.0092351755733088*^-7+0.*I,0.-6.223977505101215*^-8*I,-3.8170060266368505*^-8+0.*I,0.+2.3280106850195598*^-8*I,1.4121531126093555*^-8+0.*I,0.-8.520008668689666*^-9*I,-5.113117961420621*^-9+0.*I
-7.655218901472584*^-7+0.*I,0.+4.239724533108616*^-6*I,0.000016572287727467652+0.*I,0.-0.00005278447030686356*I,-0.00014528600286249863+0.*I,0.+0.00035684660082841753*I,0.0007981194447628353+0.*I,0.-0.0016482181918153628*I,-0.0031747042255796895+0.*I,0.+0.005747041124660977*I,0.009835829859878173+0.*I,0.-0.015989800529856935*I,-0.024784341119373644+0.*I,0.+0.0367396202622667*I,0.052212791585324325+0.*I,0.-0.07127630063345629*I,-0.0936012979097509+0.*I,0.+0.11836968443295902*I,0.14423870458364432+0.*I,0.-0.16937731350993965*I,-0.19158393625324174+0.*I,0.+0.20848205402304873*I,0.2177756425642676+0.*I,0.-0.21753370465258057*I,-0.20646471729295268+0.*I,0.+0.18413973300876604*I,0.15112788900004528+0.*I,0.-0.10901953138042073*I,-0.06032811905964239+0.*I,0.+0.00827973363038599*I,-0.04348468825570545+0.*I,0.+0.09125709860106891*I,0.1316165558812168+0.*I,0.-0.16174692150092332*I,-0.17968177179959802+0.*I,0.+0.18445172706442728*I,0.17612345421222295+0.*I,0.-0.15573390042060745*I,-0.125135738128448+0.*I,0.+0.08677897560566278*I,0.04345837470353641+0.*I,0.+0.0019433557628886656*I,0.04669007460484952+0.*I,0.-0.08838410674949208*I,-0.1251028774811995+0.*I,0.+0.15547554894210755*I,0.1787020290408273+0.*I,0.-0.19452227660117946*I,-0.2031474455251008+0.*I,0.+0.20516604430376262*I,0.2014381531253709+0.*I,0.-0.1929892348319457*I,-0.1809126768106114+0.*I,0.+0.1662873864304426*I,0.1501139469587995+0.*I,0.-0.13327033641480457*I,-0.11648621521992235+0.*I,0.+0.10033338619176836*I,0.08522921729323295+0.*I,0.-0.07144952265351544*I,-0.05914751094796017+0.*I,0.+0.048375807884308245*I,0.03910912129148777+0.*I,0.-0.03126574027398589*I,-0.024726665100438527+0.*I,0.+0.019351698591550143*I,0.014992263130506422+0.*I,0.-0.011501029980735643*I,-0.008738663745242077+0.*I,0.+0.0065781082206860355*I,0.004906889049959652+0.*I,0.-0.003627903151864478*I,-0.002659123344818212+0.*I,0.+0.0019325845787229344*I,0.0013929480282594195+0.*I,0.-0.0009958697924340918*I,-0.0007063377644656818+0.*I,0.+0.0004970864750264733*I,0.00034715650458366955+0.*I,0.-0.0002406321848815531*I,-0.0001655677064479647+0.*I,0.+0.00011309593391839039*I,0.00007670459340901153+0.*I,0.-0.000051659497631513*I,-0.00003455276327613164+0.*I,0.+0.000022954438484741708*I,0.000015147730092331551+0.*I,0.-9.930462948832301*^-6*I,-6.4680741014385885*^-6+0.*I,0.+4.186056363403689*^-6*I,2.692150980583427*^-6+0.*I,0.-1.7206651858376045*^-6*I,-1.093032526313948*^-6+0.*I,0.+6.901532363002444*^-7*I,4.3318017728404183*^-7+0.*I,0.-2.7029378089099774*^-7*I,-1.676798213464256*^-7+0.*I,0.+1.03427188069245*^-7*I,6.343497812177303*^-8+0.*I,0.-3.868950505236243*^-8*I
0.+2.5981741974001374*^-6*I,0.000013947611486180003+0.*I,0.-0.00005278447030686356*I,-0.00016257771508740328+0.*I,0.+0.00043214909037233754*I,0.0010235706314297272+0.*I,0.-0.002204152692949377*I,-0.004374889671337995+0.*I,0.+0.008083387669940304*I,0.014006655274022405+0.*I,0.-0.022890101805703347*I,-0.03543505447397824+0.*I,0.+0.052138222904187126*I,0.07310121030064932+0.*I,0.-0.097843079775212*I,-0.12515975221110975+0.*I,0.+0.1530763718236724*I,0.1789299548526476+0.*I,0.-0.19959949813062014*I,-0.211872252033385+0.*I,0.+0.2129037603508835*I,0.20070270783108082+0.*I,0.-0.1745564405058043*I,-0.1353139269014+0.*I,0.+0.08546110540850212*I,0.02895624599023617+0.*I,0.+0.029166041934475008*I,0.0833723883013937+0.*I,0.-0.12830709311426688*I,-0.15946640550282368+0.*I,0.+0.17376944545039838*I,0.16994203087230886+0.*I,0.-0.14866093436690636*I,-0.11244481983349566+0.*I,0.+0.06531699002802437*I,0.012297361735018867+0.*I,0.+0.041198155022561835*I,0.0899658296835717+0.*I,0.-0.129551478786197*I,-0.15665628160613562+0.*I,0.+0.1693746955692824*I,0.16725462849378422+0.*I,0.-0.15119430886286175*I,-0.12320906926905241+0.*I,0.+0.08611264745617306*I,0.04316121052526539+0.*I,0.+0.002295021810698648*I,0.047116204945185446+0.*I,0.-0.08860855983337387*I,-0.1246789744036014+0.*I,0.+0.15390764446757801*I,0.1755471087016479+0.*I,0.-0.18946230911475817*I,-0.19602950390932494+0.*I,0.+0.19601228727162645*I,0.19043123452536784+0.*I,0.-0.18044052764215412*I,-0.16722105799459167+0.*I,0.+0.15189558064456138*I,0.13546797820374423+0.*I,0.-0.11878587547237608*I,-0.10252385569326151+0.*I,0.+0.08718335750321755*I,0.07310487608098047+0.*I,0.-0.060488196418393245*I,-0.04941687672000619+0.*I,0.+0.03988390999336363*I,0.03181628225557625+0.*I,0.-0.025096911246352653*I,-0.019583120750903907+0.*I,0.+0.015121345561147238*I,0.011558159679336828+0.*I,0.-0.00874798313913085*I,-0.006557969834775051+0.*I,0.+0.004870634539663136*I,0.0035847672992732446+0.*I,0.-0.0026151308777300967*I,-0.00189136130859352+0.*I,0.+0.0013564076783089756*I,0.0009647654142384464+0.*I,0.-0.0006806839989019055*I,-0.0004764684878645465+0.*I,0.+0.0003309454583886479*I,0.00022812750006503764+0.*I,0.-0.00015608460898186149*I,-0.00010601397595640646+0.*I,0.+0.0000714897035125812*I,0.0000478691238260435+0.*I,0.-0.00003183105805177391*I,-0.000021022297404334127+0.*I,0.+0.000013790839505206081*I,8.987289762424935*^-6+0.*I,0.-5.818870068574527*^-6*I,-3.7433738623791454*^-6+0.*I,0.+2.3930050464716327*^-6*I,1.5202664366396324*^-6+0.*I,0.-9.599087640872365*^-7*I,-6.024369078731224*^-7+0.*I,0.+3.758378904451641*^-7*I,2.3309438437562256*^-7+0.*I
7.636767147110608*^-6+0.*I,0.-0.000039696878947343294*I,-0.00014528600286249863+0.*I,0.+0.00043214909037233754*I,0.0011076304100304452+0.*I,0.-0.002525405556781622*I,-0.00522501387492105+0.*I,0.+0.0099432153592621*I,0.017572329112795288+0.*I,0.-0.029044430895217663*I,-0.04513400205059084+0.*I,0.+0.06619468499542819*I,0.09187363532626922+0.*I,0.-0.12087156751902459*I,-0.15082858012816086+0.*I,0.+0.17840752142817498*I,0.19961514911705336+0.*I,0.-0.2103506047980055*I,-0.2071114968542157+0.*I,0.+0.18773531636786672*I,0.15202347306897926+0.*I,0.-0.10209809600634136*I,-0.042381064949548346+0.*I,0.-0.02084582447398371*I,-0.08025577086423333+0.*I,0.+0.128542185368657*I,0.1595514593075132+0.*I,0.-0.16927937641254678*I,-0.15654814809383927+0.*I,0.+0.12323934455890904*I,0.07404069903317699+0.*I,0.-0.015753921953928864*I,0.04371221289584507+0.*I,0.-0.09648896889331145*I,-0.13584510208837766+0.*I,0.+0.1570648457568342*I,0.15798508855821747+0.*I,0.-0.13913566412847495*I,-0.10349504424780855+0.*I,0.+0.0559326557529949*I,0.0024493666171141537+0.*I,0.+0.05065505833689345*I,0.09756419954185079+0.*I,0.-0.13357746974413848*I,-0.1555288824605925+0.*I,0.+0.16196762271983456*I,0.15311250286251352+0.*I,0.-0.1306208836779446*I,-0.09723024022417627+0.*I,0.+0.056336729619530006*I,0.011571257056377538+0.*I,0.+0.033577723525721546*I,0.07606091066735905+0.*I,0.-0.11346718539683982*I,-0.14412296350041132+0.*I,0.+0.16710187793846454*I,0.18216280593050196+0.*I,0.-0.18963817685915202*I,-0.19029484304924077+0.*I,0.+0.18518743093104065*I,0.17552001522854185+0.*I,0.-0.162527129530057*I,-0.1473803334548099+0.*I,0.+0.13112236329754912*I,0.1146276258354829+0.*I,0.-0.09858556945749875*I,-0.0835022358108013+0.*I,0.+0.0697149047961811*I,0.05741498808278269+0.*I,0.-0.04667498285810117*I,-0.03747616992598442+0.*I,0.+0.029734668330765584*I,0.023324327477185828+0.*I,0.-0.01809567640895291*I,-0.013890725444587033+0.*I,0.+0.010553823538442062*I,0.007939030778021041+0.*I,0.-0.005914595549438324*I,-0.004365160462293375+0.*I,0.+0.0031922897765682785*I,0.0023138397415955825+0.*I,0.-0.0016626026541833518*I,-0.0011845607399194645+0.*I,0.+0.000836997210303362*I,0.0005866348257049066+0.*I,0.-0.00040790950429523385*I,-0.000281438171742434+0.*I,0.+0.00019270491837451966*I,0.00013096563075553724+0.*I,0.-0.00008835633616587669*I,-0.000059182343216368646+0.*I,0.+0.00003936193137973806*I,0.00002599822638842704+0.*I,0.-0.000017054743255128576*I,-0.000011112960955757079+0.*I,0.+7.193571964482177*^-6*I,4.626311350582575*^-6+0.*I,0.-2.9562703856820894*^-6*I,-1.8772169415317134*^-6+0.*I,0.+1.1846397241286037*^-6*I
0.-0.000020076861613277052*I,-0.00010094679310633461+0.*I,0.+0.00035684660082841753*I,0.0010235706314297272+0.*I,0.-0.002525405556781622*I,-0.00553159491977273+0.*I,0.+0.010969981994280443*I,0.01995813400550987+0.*I,0.-0.0336199117167541*I,-0.05278129770464345+0.*I,0.+0.0775810859197261*I,0.10707955652092618+0.*I,0.-0.13898502557387293*I,-0.1696264122374378+0.*I,0.+0.19426758479279121*I,0.20778595579257114+0.*I,0.-0.20563794328091856*I,-0.18493410437750218+0.*I,0.+0.14537851140362612*I,0.08981661611828742+0.*I,0.-0.024195112203268143*I,0.04314217774225085+0.*I,0.-0.10274405876656716*I,-0.1457003864883753+0.*I,0.+0.1653194148336452*I,0.15847669288024085+0.*I,0.-0.12633534268957938*I,-0.07426697782657642+0.*I,0.+0.010972878950460207*I,-0.05302484431834393+0.*I,0.+0.10722244410836311*I,0.14294320397329394+0.*I,0.-0.1547728877687733*I,-0.1413682739266012+0.*I,0.+0.10552078243404796*I,0.053507025271608534+0.*I,0.+0.006110529842797223*I,0.06398187313675059+0.*I,0.-0.1114847839955837*I,-0.1420004353556144+0.*I,0.+0.15176211974985465*I,0.14018474554328245+0.*I,0.-0.10968142859563948*I,-0.06505728655274601+0.*I,0.+0.012626563175096375*I,-0.04077799241867403+0.*I,0.+0.0887433477642196*I,0.12603514882917585+0.*I,0.-0.14909824056793727*I,-0.156271004711834+0.*I,0.+0.14773184857509267*I,0.12523059068423364+0.*I,0.-0.09167724531584401*I,-0.0506658866213111+0.*I,0.+0.006004289509011747*I,-0.038695315606781355+0.*I,0.+0.08032858171712973*I,0.11649860190793543+0.*I,0.-0.14560417844160742*I,-0.1668313275257284+0.*I,0.+0.1800705372573267*I,0.18578547321590275+0.*I,0.-0.18485802892079012*I,-0.17843101412051093+0.*I,0.+0.16776459023732038*I,0.15411689218259833+0.*I,0.-0.1386539614662112*I,-0.12238970545557354+0.*I,0.+0.10615335972781104*I,0.09057990203821173+0.*I,0.-0.07611792127501456*I,-0.06304936164277845+0.*I,0.+0.05151608438627125*I,0.04154906892678439+0.*I,0.-0.03309710228288773*I,-0.026052821543310192+0.*I,0.+0.02027487421829684*I,0.015605689080000741+0.*I,0.-0.011884887654207966*I,-0.008958723114278632+0.*I,0.+0.0066861347855833855*I,0.004942086305872509+0.*I,0.-0.003618848296708249*I,-0.002625823549431647+0.*I,0.+0.0018884200285569372*I,0.0013463739041836115+0.*I,0.-0.0009518246908808054*I,-0.0006673554889814158+0.*I,0.+0.0004641372670861923*I,0.0003202580986005556+0.*I,0.-0.000219275350326119*I,-0.00014899901425525713+0.*I,0.+0.00010049521628425099*I,0.00006728794069367429+0.*I,0.-0.000044731920165047574*I,-0.000029528560730102334+0.*I,0.+0.000019358201215428413*I,0.000012604830054571377+0.*I,0.-8.152812548004303*^-6*I,-5.238701133405229*^-6+0.*I
-0.00004818273843494842+0.*I,0.+0.00023406726338620943*I,0.0007981194447628353+0.*I,0.-0.002204152692949377*I,-0.00522501387492105+0.*I,0.+0.010969981994280443*I,0.02079541690347778+0.*I,0.-0.03604886760840922*I,-0.057639223992918515+0.*I,0.+0.08549475341621403*I,0.11804756097678719+0.*I,0.-0.1519364248173812*I,-0.1821187280112445+0.*I,0.+0.2025083593035521*I,0.20711684449029222+0.*I,0.-0.1915043733112008*I,-0.15420030511843702+0.*I,0.+0.09768568285430489*I,0.028580639513378227+0.*I,0.+0.04315081526131306*I,0.10591577052103224+0.*I,0.-0.1488024204292982*I,-0.16396590966821972+0.*I,0.+0.14850680947436856*I,0.10535158187738437+0.*I,0.-0.042873569171897254*I,0.02670160344910303+0.*I,0.-0.08976338319106666*I,-0.1341010443142803+0.*I,0.+0.15137876114936757*I,0.13875747324082027+0.*I,0.-0.09933151383653345*I,-0.04132840921348556+0.*I,0.-0.023702916144356972*I,-0.0832830152407022+0.*I,0.+0.12644465062016738*I,0.14572965482643202+0.*I,0.-0.13837684339160924*I,-0.10653636185395471+0.*I,0.+0.05655726829132775*I,-0.002427533035053152+0.*I,0.+0.06028465958053363*I,0.10766799372884021+0.*I,0.-0.13749221802967224*I,-0.14587330086065753+0.*I,0.+0.13244293652975972*I,0.1000672419088933+0.*I,0.-0.05409779599275491*I,-0.0013417003014928952+0.*I,0.-0.05104676276213431*I,-0.09657182234392482+0.*I,0.+0.1301660210100455*I,0.14865138508391482+0.*I,0.-0.15087948209490132*I,-0.1375878822566037+0.*I,0.+0.11104431346890425*I,0.07456553468064826+0.*I,0.-0.031997292308444586*I,0.012771387250591655+0.*I,0.-0.056206896466557514*I,-0.09541320205335255+0.*I,0.+0.12828957161414753*I,0.15357339446188936+0.*I,0.-0.1707894120282453*I,-0.1801326866498616+0.*I,0.+0.1823136005561116*I,0.17839034146955657+0.*I,0.-0.16960913017408566*I,-0.1572662256729736+0.*I,0.+0.14259959497920432*I,0.12671281132225218+0.*I,0.-0.11052966204217295*I,-0.09477523060981272+0.*I,0.+0.07997777571139367*I,0.06648534018727004+0.*I,0.-0.054491399816213*I,-0.04406471980467765+0.*I,0.+0.03517967425710653*I,0.027744405570520863+0.*I,0.-0.021625222824361655*I,-0.016666484037819132+0.*I,0.+0.01270584644540222*I,0.009585205349421054+0.*I,0.-0.00715790066138026*I,-0.005292886681570631+0.*I,0.+0.0038765733793130904*I,0.002812992066850211+0.*I,0.-0.0020228447541337192*I,-0.0014418874827917434+0.*I,0.+0.0010189895166343899*I,0.000714112330139377+0.*I,0.-0.000496370001663339*I,-0.0003422675038785555+0.*I,0.+0.00023416480073357306*I,0.0001589805868902702+0.*I,0.-0.00010712732393355146*I,-0.00007165622753431571+0.*I,0.+0.000047584549564602454*I,0.00003137576635025639+0.*I,0.-0.00002054444966862599*I
0.+0.00010705667187640456*I,0.0005018599947282591+0.*I,0.-0.0016482181918153628*I,-0.004374889671337995+0.*I,0.+0.0099432153592621*I,0.01995813400550987+0.*I,0.-0.03604886760840922*I,-0.059301147061640476+0.*I,0.+0.08953006777374913*I,0.12460307168520743+0.*I,0.-0.1601027416070726*I,-0.1896053442120043+0.*I,0.+0.2057160288793547*I,0.20176500100136285+0.*I,0.-0.1738004643409738*I,-0.1223133471006023+0.*I,0.+0.05308848472655835*I,-0.02325712527160961+0.*I,0.+0.09314258756947766*I,0.14296315887064198+0.*I,0.-0.16239484105252713*I,-0.14717088915801887+0.*I,0.+0.10051547074389656*I,0.032752119186035974+0.*I,0.+0.04090171130289784*I,0.10383548581791047+0.*I,0.-0.1419559953438078*I,-0.14700331967212174+0.*I,0.+0.11843080028501848*I,0.063397330010537+0.*I,0.+0.005080175958395872*I,0.07130005551937386+0.*I,0.-0.12055259330957821*I,-0.14239915627030567+0.*I,0.+0.13280688994376094*I,0.09471943020488012+0.*I,0.-0.03704552808324429*I,0.027584490203553445+0.*I,0.-0.08569637213969523*I,-0.12580314039359825+0.*I,0.+0.14059143796139942*I,0.12807078864158752+0.*I,0.-0.09155962056387322*I,-0.038639537029526716+0.*I,0.-0.020597025386219117*I,-0.07558288655311644+0.*I,0.+0.1171765366323138*I,0.13909435446674046+0.*I,0.-0.13868017444047698*I,-0.11697001989169517+0.*I,0.+0.07814360827205012*I,0.028547118927974808+0.*I,0.+0.024485970483287278*I,0.07379517055122543+0.*I,0.-0.1133568397474826*I,-0.13893894590585912+0.*I,0.+0.14840444511325024*I,0.1416834972259991+0.*I,0.-0.12048053764008197*I,-0.08780756215708166+0.*I,0.+0.04744055221420343*I,0.0033856454230151776+0.*I,0.+0.040579025677115396*I,0.08124515483042334+0.*I,0.-0.11618389801992544*I,-0.14382829880850642+0.*I,0.+0.1634483117892396*I,0.17504656716530667+0.*I,0.-0.1792054615600022*I,-0.17691401348372848+0.*I,0.+0.16939777672051495*I,0.1579685098270901+0.*I,0.-0.14390354305308467*I,-0.1283587842329725+0.*I,0.+0.11231459541677688*I,0.09655054603160057+0.*I,0.-0.08164324324297108*I,-0.06798082882074141+0.*I,0.+0.055788008267905684*I,0.04515632499658807+0.*I,0.-0.03607552728927308*I,-0.028463075751859877+0.*I,0.+0.022189948868393074*I,0.017101832894719643+0.*I,0.-0.013035491252993643*I,-0.00983059812492815+0.*I,0.+0.007337616176637165*I,0.0054224371351680335+0.*I,0.-0.003968527724544106*I,-0.002877271116746189+0.*I,0.+0.0020670983027969722*I,0.0014718898299911213+0.*I,0.-0.0010390138459372019*I,-0.0007272623882526598+0.*I,0.+0.0005048601335307868*I,0.0003476502914729802+0.*I,0.-0.00023751037183723604*I,-0.00016101405889078904+0.*I,0.+0.00010833162730099743*I,0.00007234733764182826+0.*I
0.00022250512753432908+0.*I,0.-0.0010052087228428906*I,-0.0031747042255796895+0.*I,0.+0.008083387669940304*I,0.017572329112795288+0.*I,0.-0.0336199117167541*I,-0.057639223992918515+0.*I,0.+0.08953006777374913*I,0.12677692541154037+0.*I,0.-0.16401234865693382*I,-0.19344488654284173+0.*I,0.+0.20633605728634025*I,0.19533921738770157+0.*I,0.-0.15710811643612219*I,-0.09431450804234832+0.*I,0.+0.016228306294919153*I,-0.06263881132440746+0.*I,0.+0.1257263922984466*I,0.15870059646681278+0.*I,0.-0.15359031288894104*I,-0.11147462227141446+0.*I,0.+0.042768256028859475*I,-0.03514532543618025+0.*I,0.+0.10236071467770197*I,0.14173789372491694+0.*I,0.-0.14350556477743118*I,-0.1078473215503715+0.*I,0.+0.04473987990773865*I,-0.028873067488130223+0.*I,0.+0.09372137940667817*I,0.1333269701262692+0.*I,0.-0.1381887271232377*I,-0.10795475563886806+0.*I,0.+0.05111699088748645*I,-0.017539351387339353+0.*I,0.+0.08092196754699002*I,0.12393533362478515+0.*I,0.-0.13700064899918088*I,-0.11799116912142607+0.*I,0.+0.07225506570422754*I,0.010898954548668653+0.*I,0.+0.05209682309140144*I,0.10315077430411992+0.*I,0.-0.13196436061026548*I,-0.1334263235216622+0.*I,0.+0.10824030620520696*I,0.06229672152154518+0.*I,0.-0.005074642126069433*I,0.05247921034300862+0.*I,0.-0.10010702625039544*I,-0.1300124394751264+0.*I,0.+0.13797099655821846*I,0.12367246551856209+0.*I,0.-0.0903502526341107*I,-0.04387383343785095+0.*I,0.-0.008455330030762254*I,-0.05915612247165158+0.*I,0.+0.10165841901452413*I,0.1310893843502637+0.*I,0.-0.1446903681824639*I,-0.14187111550683293+0.*I,0.+0.12396282721781866*I,0.0937641317987864+0.*I,0.-0.05498421396408701*I,-0.011679030260882005+0.*I,0.-0.03224428757181024*I,-0.07340659317265956+0.*I,0.+0.109198350697231*I,0.1378858676995481+0.*I,0.-0.15860120317413215*I,-0.1712446791907149+0.*I,0.+0.17633227253088157*I,0.17481836715444052+0.*I,0.-0.16791913413207618*I,-0.15695487743380318+0.*I,0.+0.14322247300990498*I,0.1279025651017293+0.*I,0.-0.11200107303962929*I,-0.09632103402195966+0.*I,0.+0.08145880722607778*I,0.06781795358087733+0.*I,0.-0.05563435625367701*I,-0.04500701785328087+0.*I,0.+0.0359301566176971*I,0.028323484896146965+0.*I,0.-0.022058721823165865*I,-0.016981369988471728+0.*I,0.+0.012927531807695078*I,0.00973605549910307+0.*I,0.-0.0072566098636571465*I,-0.005354431774274727+0.*I,0.+0.003912514420841925*I,0.002831949048344555+0.*I,0.-0.0020310326697410993*I,-0.00144363544909894+0.*I,0.+0.001017202546430749*I,0.0007106576168811139+0.*I,0.-0.0004923847444920298*I,-0.00033839422860792046+0.*I,0.+0.00023072455859949684*I
