5.255485176006417*^-13+0.*I,3.95206432172453*^-12+0.*I,2.1014554878200815*^-11+0.*I,9.123694964309805*^-11+0.*I,3.4304567649971163*^-10+0.*I,1.153660802162502*^-9+0.*I,3.5417157322915722*^-9+0.*I,1.0066439077029456*^-8+0.*I,2.676344806047996*^-8+0.*I,6.708601563501721*^-8+0.*I,1.5953030223233233*^-7+0.*I,3.617079333774831*^-7+0.*I,7.851969431268748*^-7+0.*I,1.6376387756757467*^-6+0.*I,3.291283434916694*^-6+0.*I,6.390441202799581*^-6+0.*I,0.000012013845454728276+0.*I,0.000021911331485249834+0.*I,0.00003883682386949855+0.*I,0.0000670005077445591+0.*I,0.00011266117722073617+0.*I,0.00018487399515444233+0.*I,0.0002963982771852834+0.*I,0.0004647537962080113+0.*I,0.0007133924584187675+0.*I,0.001072925824308603+0.*I,0.0015823196208355388+0.*I,0.0022899369254975087+0.*I,0.003254285816982541+0.*I,0.004544309302347818+0.*I,0.006239049695790334+0.*I,0.00842653030291689+0.*I,0.011201727063882746+0.*I,0.01466355274232208+0.*I,0.01891084504209727+0.*I,0.024037433884056214+0.*I,0.030126455711674317+0.*I,0.03724417581246546+0.*I,0.045433663659785156+0.*I,0.05470873136175516+0.*I,0.0650485825270312+0.*I,0.0763936213670733+0.*I,0.0886428358569594+0.*I,0.10165309421311637+0.*I,0.11524058475017629+0.*I,0.12918449305946+0.*I,0.14323285821497267+0.*I,0.1571103942008077+0.*I,0.17052791752177468+0.*I,0.18319289986029422+0.*I,0.19482057648955825+0.*I,0.205144994616272+0.*I,0.21392938469776376+0.*I,0.22097528167016228+0.*I,0.2261299075290726+0.*I,0.22929144396755902+0.*I,0.23041196340357817+0.*I,0.22949793690142556+0.*I,0.22660838615201895+0.*I,0.2218508826582704+0.*I,0.21537571124632385+0.*I,0.2073686001911827+0.*I,0.19804247271283318+0.*I,0.1876286934466555+0.*I,0.17636827054704612+0.*I,0.1645034334684863+0.*I,0.15226994398648228+0.*I,0.13989042046590033+0.*I,0.12756886985061688+0.*I,0.11548653511004589+0.*I,0.10379908388065708+0.*I,0.09263509154477215+0.*I,0.08209571236875819+0.*I,0.07225538751511389+0.*I,0.06316340932853584+0.*I,0.05484614667876702+0.*I,0.04730973479780313+0.*I,0.04054304280021506+0.*I,0.034520750378350396+0.*I,0.029206389362256568+0.*I,0.024555233375721235+0.*I,0.020516947423249242+0.*I,0.017037937007329865+0.*I,0.01406336183880133+0.*I,0.011538801353671389+0.*I,0.009411577501180367+0.*I,0.007631754406804093+0.*I,0.006152844632640771+0.*I,0.004932258177738731+0.*I,0.00393153355928049+0.*I,0.0031163908553901195+0.*I,0.0024566450633286777+0.*I,0.0019260151070378082+0.*I,0.0015018598384530565+0.*I,0.0011648678686485014+0.*I,0.0008987234056041868+0.*I,0.0006897657480085399+0.*I,0.0005266558909546523+0.*I,0.0004000599694391313+0.*I,0.000302356068090748+0.*I
-3.95206432172453*^-12+0.*I,-2.919351999838464*^-11+0.*I,-1.5243796934629531*^-10+0.*I,-6.496930762519348*^-10+0.*I,-2.3971900773260936*^-9+0.*I,-7.908322906061268*^-9+0.*I,-2.3807414084254426*^-8+0.*I,-6.632796340386876*^-8+0.*I,-1.7278585756997674*^-7+0.*I,-4.241887666877748*^-7+0.*I,-9.875048901556586*^-7+0.*I,-2.1908998436903933*^-6+0.*I,-4.651597540165884*^-6+0.*I,-9.48378713644123*^-6+0.*I,-0.000018622589131485894+0.*I,-0.000035308295887832425+0.*I,-0.00006478096930040878+0.*I,-0.0001152363353275279+0.*I,-0.00019908653595616837+0.*I,-0.0003345503108462033+0.*I,-0.0005475636971364645+0.*I,-0.0008739527779975029+0.*I,-0.0013617450059797232+0.*I,-0.0020734188177705276+0.*I,-0.0030878098080808713+0.*I,-0.004501316331287312+0.*I,-0.0064279915884821095+0.*I,-0.008998088002420121+0.*I,-0.01235464728195675+0.*I,-0.016647817103829694+0.*I,-0.022026727991123384+0.*I,-0.02862897878883235+0.*I,-0.03656804359655189+0.*I,-0.045919204863447256+0.*I,-0.056704905991052164+0.*I,-0.06888066623516514+0.*I,-0.08232287379956693+0.*I,-0.0968198364969007+0.*I,-0.11206739894167649+0.*I,-0.12767022008643805+0.*I,-0.143149450557912+0.*I,-0.157957078570997+0.*I,-0.1714966650152337+0.*I,-0.18314961372317276+0.*I,-0.19230557979230103+0.*I,-0.19839516503548385+0.*I,-0.20092273614158168+0.*I,-0.1994970656764352+0.*I,-0.19385755841016356+0.*I,-0.18389408485196493+0.*I,-0.16965887896147994+0.*I,-0.15136952830487754+0.*I,-0.12940273938599367+0.*I,-0.10427923794103414+0.*I,-0.07664080227716134+0.*I,-0.047220971635979075+0.*I,-0.016811376751385543+0.*I,0.013774122782913484+0.*I,0.04373525171366164+0.*I,0.07231895605377228+0.*I,0.09884900531738622+0.*I,0.1227500894301652+0.*I,0.1435654056887092+0.*I,0.16096723110297467+0.*I,0.1747604664702481+0.*I,0.18487958295400875+0.*I,0.19137977027345876+0.*I,0.19442335821305234+0.*I,0.19426275079510763+0.*I,0.19122117572860145+0.*I,0.18567251968685827+0.*I,0.1780214080294449+0.*I,0.16868451533722997+0.*I,0.15807388193375985+0.*I,0.14658278246623016+0.*I,0.13457446462279968+0.*I,0.12237386490230326+0.*I,0.11026222575990581+0.*I,0.0984743919252451+0.*I,0.087198456668454+0.*I,0.0765773611560856+0.*I,0.06671201882079583+0.*I,0.05766553684456561+0.*I,0.04946813216641412+0.*I,0.042122383118328915+0.*I,0.03560851324402613+0.*I,0.029889465043333105+0.*I,0.024915583215574452+0.*I,0.02062878544706769+0.*I,0.016966151040159486+0.*I,0.013862901935378076+0.*I,0.011254786109521372+0.*I,0.00907989989860209+0.*I,0.007280004045871942+0.*I,0.005801399167772557+0.*I,0.004595431055912379+0.*I,0.003618696074015833+0.*I,0.002833013126881872+0.*I,0.0022052224330098113+0.*I,0.0017068636289644416+0.*I
2.1014554878200815*^-11+0.*I,1.5243796934629531*^-10+0.*I,7.813742773777901*^-10+0.*I,3.2679553635659566*^-9+0.*I,1.1827921591911997*^-8+0.*I,3.826112185280499*^-8+0.*I,1.1289501124525812*^-7+0.*I,3.081501690895537*^-7+0.*I,7.861089490880144*^-7+0.*I,1.8890308843372337*^-6+0.*I,4.302405618427615*^-6+0.*I,9.3339023448476*^-6+0.*I,0.00001936763922420408+0.*I,0.00003856943178011728+0.*I,0.00007393129720970335+0.*I,0.0001367469143135733+0.*I,0.0002445968936879954+0.*I,0.0004238859011004825+0.*I,0.0007129060859742657+0.*I,0.0011652990453175774+0.*I,0.001853653176625435+0.*I,0.002872813732112272+0.*I,0.004342317090293848+0.*I,0.006407215512578337+0.*I,0.009236467680094387+0.*I,0.013018070125060682+0.*I,0.017950228494240317+0.*I,0.02422813799800369+0.*I,0.03202636401335361+0.*I,0.04147736735338029+0.*I,0.052647358158305645+0.*I,0.06551131628486398+0.*I,0.07992959392303885+0.*I,0.09562891919181392+0.*I,0.11219075507085707+0.*I,0.1290497656089398+0.*I,0.14550456692575847+0.*I,0.16074200745813455+0.*I,0.17387499542529594+0.*I,0.18399248553236255+0.*I,0.19021880305787317+0.*I,0.19177819301551827+0.*I,0.18805950386543038+0.*I,0.17867539210593175+0.*I,0.16351046174770845+0.*I,0.14275336445015382+0.*I,0.1169090456758597+0.*I,0.08678892601712578+0.*I,0.05347869561415507+0.*I,0.0182853776111841+0.*I,-0.017332824193070338+0.*I,-0.051848832893024895+0.*I,-0.08375502736261435+0.*I,-0.1116509614001319+0.*I,-0.134323959467371+0.*I,-0.15081677873665356+0.*I,-0.1604777268452225+0.*I,-0.16299018345772412+0.*I,-0.15838022470091045+0.*I,-0.14700281690647668+0.*I,-0.12950866474018824+0.*I,-0.10679513116827843+0.*I,-0.0799455950458208+0.*I,-0.05016212489366431+0.*I,-0.018696420049827432+0.*I,0.013216359459301205+0.*I,0.044416913925300484+0.*I,0.07387121367736335+0.*I,0.10070796677171878+0.*I,0.1242431756681904+0.*I,0.1439918142496277+0.*I,0.15966752199499304+0.*I,0.17117189178385742+0.*I,0.1785753946433935+0.*I,0.18209223426932566+0.*I,0.18205147113643205+0.*I,0.17886662987399818+0.*I,0.17300574314540218+0.*I,0.16496343361913748+0.*I,0.15523623548208432+0.*I,0.14430194702775131+0.*I,0.13260341824776858+0.*I,0.12053683610544426+0.*I,0.10844429085112449+0.*I,0.09661019690289399+0.*I,0.08526100206469617+0.*I,0.07456754428681092+0.*I,0.0646493970108371+0.*I,0.055580571302400246+0.*I,0.04739600350433112+0.*I,0.04009833936671777+0.*I,0.03366461899468367+0.*I,0.028052562660926556+0.*I,0.02320624868665031+0.*I,0.019061056341345188+0.*I,0.015547816064587681+0.*I,0.01259616491114233+0.*I,0.010137146908784133+0.*I,0.0081051269076985+0.*I,0.00643910404417262+0.*I
-9.123694964309805*^-11+0.*I,-6.496930762519348*^-10+0.*I,-3.2679553635659566*^-9+0.*I,-1.3406805328122688*^-8+0.*I,-4.757868359863711*^-8+0.*I,-1.5084499352573792*^-7+0.*I,-4.360364331867848*^-7+0.*I,-1.1654171154684984*^-6+0.*I,-2.9097694117295683*^-6+0.*I,-6.8398500667294015*^-6+0.*I,-0.00001523047386142512+0.*I,-0.000032285661144644904+0.*I,-0.00006541888355310065+0.*I,-0.00012713637927920217+0.*I,-0.000237661181055078+0.*I,-0.00042838602630000373+0.*I,-0.0007461402436429624+0.*I,-0.001258089148916317+0.*I,-0.0020568542623031747+0.*I,-0.003265163467763235+0.*I,-0.005039045387488247+0.*I,-0.007568324401696177+0.*I,-0.01107302020234334+0.*I,-0.01579428351123069+0.*I,-0.021978775456147955+0.*I,-0.029855965739209563+0.*I,-0.03960868638636493+0.*I,-0.05133838082307701+0.*I,-0.06502771885822263+0.*I,-0.08050443803449597+0.*I,-0.09741121429097883+0.*I,-0.11518684538640879+0.*I,-0.13306386359959846+0.*I,-0.15008676270729446+0.*I,-0.16515331283868315+0.*I,-0.1770790525681761+0.*I,-0.18468222154954012+0.*I,-0.186883464011997+0.*I,-0.18281199161664097+0.*I,-0.17190794863609896+0.*I,-0.15400982228271132+0.*I,-0.12941611987139554+0.*I,-0.0989122650531105+0.*I,-0.06375663664695208+0.*I,-0.02562359595941761+0.*I,0.013494213628290933+0.*I,0.05141758264792104+0.*I,0.08593587932155733+0.*I,0.11497219663725292+0.*I,0.1367436420840484+0.*I,0.1499020614893832+0.*I,0.15364221823435836+0.*I,0.14776755216007884+0.*I,0.13270775096315404+0.*I,0.10948700193476205+0.*I,0.07964642839848925+0.*I,0.04512834953556482+0.*I,0.008133213376691262+0.*I,-0.029037951626028388+0.*I,-0.06414207775999811+0.*I,-0.0951407892806703+0.*I,-0.12032436910363395+0.*I,-0.13840473717942947+0.*I,-0.14857248174957532+0.*I,-0.1505164124610234+0.*I,-0.14440734489097043+0.*I,-0.13085058714432687+0.*I,-0.11081367145799441+0.*I,-0.08553714299584544+0.*I,-0.05643666501029714+0.*I,-0.02500438903932006+0.*I,0.0072833991964210195+0.*I,0.03904674092521784+0.*I,0.06906661390764779+0.*I,0.09633146998529118+0.*I,0.12006513389562351+0.*I,0.13973693719907693+0.*I,0.15505610097471573+0.*I,0.16595317512375823+0.*I,0.17255178492962797+0.*I,0.17513405357315+0.*I,0.17410291283275828+0.*I,0.16994414773014707+0.*I,0.16319051435127443+0.*I,0.15438969130132113+0.*I,0.14407723421699453+0.*I,0.13275514785680642+0.*I,0.12087620654690583+0.*I,0.1088337626941777+0.*I,0.09695649387218737+0.*I,0.08550735052040132+0.*I,0.07468586965853594+0.*I,0.06463300110806335+0.*I,0.05543763469005835+0.*I,0.047144102230408595+0.*I,0.03976004040077479+0.*I,0.03326412498133584+0.*I,0.02761331229538565+0.*I,0.022749340547101954+0.*I,0.01860434669184881+0.*I
3.4304567649971163*^-10+0.*I,2.3971900773260936*^-9+0.*I,1.1827921591911997*^-8+0.*I,4.757868359863711*^-8+0.*I,1.654863050389763*^-7+0.*I,5.139739033839637*^-7+0.*I,1.4547252460971237*^-6+0.*I,3.8050792576704277*^-6+0.*I,9.292416729629344*^-6+0.*I,0.000021352788239656643+0.*I,0.00004645095209315512+0.*I,0.00009613534304665235+0.*I,0.0001900508293550153+0.*I,0.0003600898950360321+0.*I,0.0006557419679934244+0.*I,0.001150477890837462+0.*I,0.0019486722947332626+0.*I,0.0031921352309881262+0.*I,0.005064843470418796+0.*I,0.007794016668896104+0.*I,0.01164539299657296+0.*I,0.01691056044606566+0.*I,0.023884624262545028+0.*I,0.03283342676784522+0.*I,0.04395099454485047+0.*I,0.05730977319210569+0.*I,0.0728083038748881+0.*I,0.09012296955398004+0.*I,0.1086718897165754+0.*I,0.1275995593740509+0.*I,0.14579007255800938+0.*I,0.16191456153202816+0.*I,0.17451486634073213+0.*I,0.18212073435576348+0.*I,0.18339259871598393+0.*I,0.1772769524199626+0.*I,0.16315735983208782+0.*I,0.14098201380329753+0.*I,0.11134903945236398+0.*I,0.07553372616301662+0.*I,0.03544739707980323+0.*I,-0.006474855036566345+0.*I,-0.04745173710540903+0.*I,-0.0845842665206822+0.*I,-0.11511359645856649+0.*I,-0.1366816197267479+0.*I,-0.14756604487275568+0.*I,-0.14686336385818013+0.*I,-0.13459821997496704+0.*I,-0.11174553120546477+0.*I,-0.08016133562325514+0.*I,-0.042428470896174436+0.*I,-0.0016325905561966672+0.*I,0.0389085076572904+0.*I,0.07593459002671939+0.*I,0.10652268495706912+0.*I,0.128329651747455+0.*I,0.13977536974484106+0.*I,0.140151379723984+0.*I,0.12964814923064535+0.*I,0.10930268976684596+0.*I,0.08087603926102732+0.*I,0.04667632645648481+0.*I,0.009347203103338681+0.*I,-0.028356884092063467+0.*I,-0.06378775565286192+0.*I,-0.09459473567081449+0.*I,-0.11887608495304604+0.*I,-0.13528174043699095+0.*I,-0.14306382622652886+0.*I,-0.1420764453913036+0.*I,-0.13273052505780128+0.*I,-0.11591265148174609+0.*I,-0.09287874052714899+0.*I,-0.06513404063942592+0.*I,-0.03431048817438918+0.*I,-0.002051051396614578+0.*I,0.030091313476680856+0.*I,0.06073482079194575+0.*I,0.08872726792140836+0.*I,0.11318108567732621+0.*I,0.13348631507588885+0.*I,0.14930425597338318+0.*I,0.16054549889321929+0.*I,0.1673365364223131+0.*I,0.16997920782170328+0.*I,0.16890694117626065+0.*I,0.16464121706371376+0.*I,0.1577509839697277+0.*I,0.148816998470129+0.*I,0.1384023181155766+0.*I,0.12702949945130304+0.*I,0.11516448597683733+0.*I,0.10320673127137651+0.*I,0.09148479558054885+0.*I,0.08025647230163879+0.*I,0.0697124279550709+0.*I,0.0599823543874303+0.*I,0.05114271225875931+0.*I,0.04322526806089676+0.*I
-1.153660802162502*^-9+0.*I,-7.908322906061268*^-9+0.*I,-3.826112185280499*^-8+0.*I,-1.5084499352573792*^-7+0.*I,-5.139739033839637*^-7+0.*I,-1.563005223315948*^-6+0.*I,-4.329203134283259*^-6+0.*I,-0.000011075207366484452+0.*I,-0.00002643726163652847+0.*I,-0.000059342229027703786+0.*I,-0.0001260169043622701+0.*I,-0.0002544047558896508+0.*I,-0.000490207704481753+0.*I,-0.0009045326649667591+0.*I,-0.0016027111402249826+0.*I,-0.002733272678462579+0.*I,-0.004495337240952242+0.*I,-0.007141959787948041+0.*I,-0.010976391140962542+0.*I,-0.016338039442808858+0.*I,-0.02357536193658385+0.*I,-0.03300417192151181+0.*I,-0.04485197467241816+0.*I,-0.05919182915678658+0.*I,-0.07587252910173256+0.*I,-0.09445505373229826+0.*I,-0.11416755219645829+0.*I,-0.13389186262362368+0.*I,-0.1521931211299798+0.*I,-0.1674000780890324+0.*I,-0.17773743380500537+0.*I,-0.18150346397022157+0.*I,-0.17727753515144556+0.*I,-0.16413426051652172+0.*I,-0.14183557119353965+0.*I,-0.11097024821785605+0.*I,-0.07301336150367747+0.*I,-0.030285765814689253+0.*I,0.01419435743559479+0.*I,0.056961420099872005+0.*I,0.09443223034674646+0.*I,0.12328080107394844+0.*I,0.14081402906481497+0.*I,0.14530063328943074+0.*I,0.13620893446183463+0.*I,0.11431877743117785+0.*I,0.08168795205856887+0.*I,0.04147179227162851+0.*I,-0.0023863854910986656+0.*I,-0.04555944479328042+0.*I,-0.08378824771684992+0.*I,-0.11332805140391727+0.*I,-0.1313373138559804+0.*I,-0.13616443595160022+0.*I,-0.12750122213576215+0.*I,-0.10638868439080719+0.*I,-0.07507885281808166+0.*I,-0.036773058196984613+0.*I,0.004729403773631131+0.*I,0.045429756877538176+0.*I,0.08152999350639079+0.*I,0.10979218858371526+0.*I,0.12782168247165918+0.*I,0.13424992800387894+0.*I,0.12880562221795674+0.*I,0.11227568648248998+0.*I,0.08636917234407561+0.*I,0.05350605909055423+0.*I,0.016558440079603366+0.*I,-0.021426467408037508+0.*I,-0.057493485095464744+0.*I,-0.0890130126011111+0.*I,-0.11386329300049539+0.*I,-0.13055090452290816+0.*I,-0.13826621363731692+0.*I,-0.1368770637590267+0.*I,-0.12686923380486362+0.*I,-0.10924583553110022+0.*I,-0.08539971695716128+0.*I,-0.05697319656198452+0.*I,-0.025718322964652762+0.*I,0.00663130830931764+0.*I,0.03846894902639905+0.*I,0.0683981202703426+0.*I,0.09528883904437171+0.*I,0.11830703460766091+0.*I,0.13691962184702267+0.*I,0.15087916774393373+0.*I,0.1601929332026385+0.*I,0.16508134891930848+0.*I,0.16593078622419+0.*I,0.16324493116340763+0.*I,0.1575982881181244+0.*I,0.14959444613696468+0.*I,0.13983083784177103+0.*I,0.12887088542022154+0.*I,0.11722371430599957+0.*I,0.10533105248051808+0.*I,0.09356053120127225+0.*I,0.08220435448296831+0.*I
3.5417157322915722*^-9+0.*I,2.3807414084254426*^-8+0.*I,1.1289501124525812*^-7+0.*I,4.360364331867848*^-7+0.*I,1.4547252460971237*^-6+0.*I,4.329203134283259*^-6+0.*I,0.000011727562350997188+0.*I,0.00002932459265850365+0.*I,0.0000683733198441446+0.*I,0.0001498005630164043+0.*I,0.000310258903409574+0.*I,0.0006103898488793899+0.*I,0.001145145253200593+0.*I,0.002055331099342435+0.*I,0.0035385948761566823+0.*I,0.005856983978695347+0.*I,0.009337180386263001+0.*I,0.014358894483494533+0.*I,0.021327065415902676+0.*I,0.03062482516243503+0.*I,0.04254685006351551+0.*I,0.057216688234877924+0.*I,0.07449649302586252+0.*I,0.093902505383196+0.*I,0.11454349797417704+0.*I,0.13510098605958423+0.*I,0.15386824219825992+0.*I,0.1688594059496154+0.*I,0.17799037575727922+0.*I,0.1793207210755703+0.*I,0.17133243499774753+0.*I,0.15320945736515398+0.*I,0.12507421418996495+0.*I,0.08813624505831341+0.*I,0.04471469303406414+0.*I,-0.0018889933297383838+0.*I,-0.04767091617274644+0.*I,-0.08833573174712561+0.*I,-0.11979390108004495+0.*I,-0.13868177475877383+0.*I,-0.14283131593225537+0.*I,-0.13161766571798164+0.*I,-0.10612592931624495+0.*I,-0.06910201960311438+0.*I,-0.024682746466763904+0.*I,0.022067155197102017+0.*I,0.06575397235285556+0.*I,0.10131141954594847+0.*I,0.12462609819840664+0.*I,0.1330469253886309+0.*I,0.12570946652441367+0.*I,0.10363224438831652+0.*I,0.06957419324089385+0.*I,0.027675477405711506+0.*I,-0.017067090132765677+0.*I,-0.059417973865992714+0.*I,-0.09453221366624998+0.*I,-0.11851600806178268+0.*I,-0.12885125983084803+0.*I,-0.12463791714591033+0.*I,-0.10663395428066198+0.*I,-0.07709973389728639+0.*I,-0.03947751692156878+0.*I,0.0020449792677354663+0.*I,0.04302772877193744+0.*I,0.07926707815428634+0.*I,0.10722468273321527+0.*I,0.12435354890011235+0.*I,0.12929415407961212+0.*I,0.12193123137960771+0.*I,0.10331853762047016+0.*I,0.07549281916229267+0.*I,0.041207925626644167+0.*I,0.0036249850986614473+0.*I,-0.03400518139326724+0.*I,-0.06863502120995334+0.*I,-0.09766301411345939+0.*I,-0.1191092588442796+0.*I,-0.13171602799829346+0.*I,-0.13497399296237536+0.*I,-0.12908195921452448+0.*I,-0.11485313715991272+0.*I,-0.09358398659945849+0.*I,-0.0669025792502561+0.*I,-0.03661250993898451+0.*I,-0.0045460840509035875+0.*I,0.027562686499577226+0.*I,0.05817834078847805+0.*I,0.08603409986339608+0.*I,0.1101716713333808+0.*I,0.12995309949262332+0.*I,0.1450488770673469+0.*I,0.15540763125034943+0.*I,0.16121310450920473+0.*I,0.16283398304304558+0.*I,0.16077152605073644+0.*I,0.1556090687188297+0.*I,0.14796645351672902+0.*I,0.13846140936180376+0.*I,0.12767893996287913+0.*I
-1.0066439077029456*^-8+0.*I,-6.632796340386876*^-8+0.*I,-3.081501690895537*^-7+0.*I,-1.1654171154684984*^-6+0.*I,-3.8050792576704277*^-6+0.*I,-0.000011075207366484452+0.*I,-0.00002932459265850365+0.*I,-0.00007162024073892903+0.*I,-0.00016298471256703565+0.*I,-0.0003482424886466431+0.*I,-0.0007027872338355708+0.*I,-0.001345950005156344+0.*I,-0.002455600389257768+0.*I,-0.004281193461525237+0.*I,-0.007150891709993182+0.*I,-0.011467036143558863+0.*I,-0.01768366700761582+0.*I,-0.026260613174692887+0.*I,-0.03759138101361222+0.*I,-0.05190685703861991+0.*I,-0.06916335243124182+0.*I,-0.08893078633237277+0.*I,-0.11030325862306026+0.*I,-0.13185796944255343+0.*I,-0.15168752365262383+0.*I,-0.16752381943003486+0.*I,-0.17695876902880703+0.*I,-0.17774930044607057+0.*I,-0.1681742098139881+0.*I,-0.14739240980742865+0.*I,-0.11574033314762351+0.*I,-0.07490456367193925+0.*I,-0.027916499513800253+0.*I,0.021061029809874687+0.*I,0.06715251839143617+0.*I,0.10535408319495672+0.*I,0.13120879412902806+0.*I,0.14147348782433813+0.*I,0.13466810561228032+0.*I,0.11140816586243382+0.*I,0.07444935880690616+0.*I,0.02841651283104326+0.*I,-0.02075977335114486+0.*I,-0.06662569836956896+0.*I,-0.10309341276730036+0.*I,-0.12530254109673405+0.*I,-0.13032047608911398+0.*I,-0.11757102112139865+0.*I,-0.08892287017198372+0.*I,-0.04842286845742924+0.*I,-0.0017147786847636387+0.*I,0.0447671009884422+0.*I,0.08470668465434791+0.*I,0.11278133680466049+0.*I,0.12537646481961942+0.*I,0.12104062486158267+0.*I,0.10062470957070137+0.*I,0.06709782876793331+0.*I,0.025080061853402624+0.*I,-0.019828970587930397+0.*I,-0.06182217490861135+0.*I,-0.09564643772168215+0.*I,-0.11725120577683609+0.*I,-0.1242448916662527+0.*I,-0.11611209608857094+0.*I,-0.09418068029351041+0.*I,-0.061361956660328815+0.*I,-0.021715008099013482+0.*I,0.020095799165792457+0.*I,0.05937409481626723+0.*I,0.09192336736936697+0.*I,0.11447794278228943+0.*I,0.1249924573030203+0.*I,0.12277087385429596+0.*I,0.10843738306015914+0.*I,0.08376975719099233+0.*I,0.05142901157584241+0.*I,0.014626634406425554+0.*I,-0.023227856228740032+0.*I,-0.0588599475605051+0.*I,-0.08941226891158523+0.*I,-0.11265430298719054+0.*I,-0.12710891961432796+0.*I,-0.1320951829981388+0.*I,-0.12769545192567675+0.*I,-0.11466105425114388+0.*I,-0.09427449813870166+0.*I,-0.06818736005802209+0.*I,-0.03825201123306022+0.*I,-0.006362731216523813+0.*I,0.0256818938901407+0.*I,0.056287493655280456+0.*I,0.08413960353482416+0.*I,0.10824635791067243+0.*I,0.12795089230287507+0.*I,0.14291818910653795+0.*I,0.15310227380730568+0.*I,0.15870006394024702+0.*I,0.1600979293296171+0.*I,0.15781630861788334+0.*I
2.676344806047996*^-8+0.*I,1.7278585756997674*^-7+0.*I,7.861089490880144*^-7+0.*I,2.9097694117295683*^-6+0.*I,9.292416729629344*^-6+0.*I,0.00002643726163652847+0.*I,0.0000683733198441446+0.*I,0.00016298471256703565+0.*I,0.00036170408140332735+0.*I,0.0007529942168471575+0.*I,0.001479139969834842+0.*I,0.0027543603253022218+0.*I,0.004880212183372804+0.*I,0.008252038180425025+0.*I,0.013348451716302822+0.*I,0.020695426817085572+0.*I,0.0307983874942258+0.*I,0.04404043451146911+0.*I,0.060552562295610686+0.*I,0.08007155409194258+0.*I,0.10181132832604436+0.*I,0.12438113381343607+0.*I,0.1457861279829312+0.*I,0.1635399740176537+0.*I,0.17490400069125436+0.*I,0.1772441668103351+0.*I,0.16846901701663278+0.*I,0.14748463088340008+0.*I,0.1145830472077225+0.*I,0.07167521048580786+0.*I,0.02229242451811449+0.*I,-0.028687750140194774+0.*I,-0.07558806674332173+0.*I,-0.11269323362910066+0.*I,-0.1351186844861583+0.*I,-0.13964330615325957+0.*I,-0.12535253868145999+0.*I,-0.09395766119434078+0.*I,-0.049705185271694034+0.*I,0.001140377364473387+0.*I,0.051179153044850996+0.*I,0.09299146792594663+0.*I,0.12030402084771308+0.*I,0.12900690893874817+0.*I,0.11784136187265644+0.*I,0.08863196016431521+0.*I,0.04601560627253429+0.*I,-0.0032921597607760288+0.*I,-0.051571484780558174+0.*I,-0.09133192625023798+0.*I,-0.11649812201868477+0.*I,-0.1233510347600033+0.*I,-0.11107387336603618+0.*I,-0.08182239817694063+0.*I,-0.04032148858687045+0.*I,0.00693148165989123+0.*I,0.052714410957353915+0.*I,0.0902027670628952+0.*I,0.11398655473858664+0.*I,0.12082870457191447+0.*I,0.11006155556660495+0.*I,0.08358128511445734+0.*I,0.04546511311448978+0.*I,0.0012921248814956384+0.*I,-0.04271262392663081+0.*I,-0.08057403209165312+0.*I,-0.1073715544472715+0.*I,-0.11984572599269727+0.*I,-0.11673789873841087+0.*I,-0.09883871753327877+0.*I,-0.06876394873187407+0.*I,-0.030511969969094572+0.*I,0.011118784925545667+0.*I,0.05116383977311021+0.*I,0.08509264986580183+0.*I,0.10930327884124584+0.*I,0.12146240770293139+0.*I,0.12066676067883843+0.*I,0.10742710612708332+0.*I,0.08349740471325666+0.*I,0.051587183276545864+0.*I,0.015003732217117738+0.*I,-0.022727707871894258+0.*I,-0.05822204365293577+0.*I,-0.0885358709966491+0.*I,-0.11138910792916827+0.*I,-0.12529561128957759+0.*I,-0.1296030864258577+0.*I,-0.1244520018349515+0.*I,-0.110669899741662+0.*I,-0.08962120687025142+0.*I,-0.06303355468101982+0.*I,-0.0328201685018541+0.*I,-0.0009147106578243941+0.*I,0.030869243109942095+0.*I,0.06094649237457406+0.*I,0.08803305752829552+0.*I,0.11118416972221182+0.*I,0.12980093674744084+0.*I,0.14361120221387022+0.*I
