0.08824887569688931+0.*I,0.-0.19445191995151825*I,-0.30297046411232986+0.*I,0.+0.38542751885854165*I,0.4246349908276241+0.*I,0.-0.41844061370764885*I,-0.3764100926836826+0.*I,0.+0.31348393824628207*I,0.24421557340734185+0.*I,0.-0.17937220826180802*I,-0.12498509057046392+0.*I,0.+0.08303571337732987*I,0.0528174406000964+0.*I,0.-0.032278157090159174*I,-0.019008496513593647+0.*I,0.+0.010814468809797799*I,0.005957283327166282+0.*I,0.-0.0031836612344200727*I,-0.001653459840713967+0.*I,0.+0.0008358337533287468*I,0.000411820500259272+0.*I,0.-0.0001980164949639618*I,-0.00009302358721821141+0.*I,0.+0.0000427397738075228*I,0.000019223375663301734+0.*I,0.-8.471546580417405*^-6*I,-3.6608259693156848*^-6+0.*I,0.+1.5523879249641056*^-6*I,6.464341550117234*^-7+0.*I,0.-2.6450162850258874*^-7*I,-1.0640714170169474*^-7+0.*I,0.+4.211075083004671*^-8*I,1.6402915597694864*^-8+0.*I,0.-6.291687370875443*^-9*I,-2.377555867162965*^-9+0.*I,0.+8.85522831150071*^-10*I,3.252007713379952*^-10+0.*I,0.-1.178022971898882*^-10*I,-4.210803891167381*^-11+0.*I,0.+1.485715884170745*^-11*I,5.1761735038134785*^-12+0.*I,0.-1.781229796523243*^-12*I,-6.056174227198303*^-13+0.*I,0.+2.0350129973545832*^-13*I,6.759956535464063*^-14+0.*I,0.-2.2204484811952072*^-14*I,-7.213812329216546*^-15+0.*I,0.+2.3185633427255848*^-15*I,7.37397058754027*^-16+0.*I,0.-2.321167148978292*^-16*I,-7.233099972307712*^-17+0.*I,0.+2.2317340220195145*^-17*I,6.819363123974066*^-18+0.*I,0.-2.0639964046628984*^-18*I,-6.188923449965289*^-19+0.*I,0.+1.8388098466971601*^-19*I,5.414344205351367*^-20+0.*I,0.-1.5801979289972014*^-20*I,-4.5719402491609*^-21+0.*I,0.+1.3115280837920945*^-21*I,3.73082625056649*^-22+0.*I,0.-1.0525510305572689*^-22*I,-2.9454412895082886*^-23+0.*I,0.+8.176795763056242*^-24*I,2.2521443228338015*^-24+0.*I,0.-6.155206021782022*^-25*I,-1.6694510150486537*^-25+0.*I,0.+4.4940648352672105*^-26*I,1.2008477031607251*^-26+0.*I,0.-3.185418080736514*^-27*I,-8.389198591840411*^-28+0.*I,0.+2.1937864785724873*^-28*I,5.696802477292542*^-29+0.*I,0.-1.4691724844315297*^-29*I,-3.763223227239915*^-30+0.*I,0.+9.574859355584846*^-31*I,2.4200740881972673*^-31+0.*I,0.-6.076959661768246*^-32*I,-1.5161497779911868*^-32+0.*I,0.+3.7586476524379086*^-33*I,9.259545635485196*^-34+0.*I,0.-2.266993221009292*^-34*I,-5.516280601720924*^-35+0.*I,0.+1.334167502628725*^-35*I,3.20755247005713*^-36+0.*I,0.-7.665974336348624*^-37*I,-1.821466506910662*^-37+0.*I,0.+4.3029333385248307*^-38*I,1.0107094734286309*^-38+0.*I,0.-2.3606651436845195*^-39*I,-5.4829740097251344*^-40+0.*I,0.+1.266480611414326*^-40*I,2.9094284837934303*^-41+0.*I,0.-6.64766715620859*^-42*I,-1.5108049329311128*^-42+0.*I,0.+3.4154634800311307*^-43*I,7.680987952417444*^-44+0.*I,0.-1.7184395966768932*^-44*I,-3.824937013324467*^-45+0.*I,0.+8.470513618200914*^-46*I
0.-0.19445191995151825*I,-0.3402160636492386+0.*I,0.+0.3925835028732811*I,0.32450974461996934+0.*I,0.-0.16480661907994903*I,0.027500044006821094+0.*I,0.-0.195565450627992*I,-0.30514154410502886+0.*I,0.+0.34854984932262006*I,0.3374091604569249+0.*I,0.-0.29182642156928745*I,-0.23156366852057902+0.*I,0.+0.17126359835847368*I,0.11931270893086711+0.*I,0.-0.07888954730941732*I,-0.04979045712492482+0.*I,0.+0.030131303693492918*I,0.017547472404906745+0.*I,0.-0.009863815822794764*I,-0.005365547086659626+0.*I,0.+0.002830536603641526*I,0.001450879315649083+0.*I,0.-0.000723806934158594*I,-0.00035195052897487634+0.*I,0.+0.00016702354219871385*I,0.00007745025526310086+0.*I,0.-0.00003513013704657576*I,-0.00001560160170328859+0.*I,0.+6.7900799142673534*^-6*I,2.8983385438022186*^-6+0.*I,0.-1.2142723465136416*^-6*I,-4.996609887144142*^-7+0.*I,0.+2.020713875278375*^-7*I,8.03641623480999*^-8+0.*I,0.-3.144770267814048*^-8*I,-1.2114605570884643*^-8+0.*I,0.+4.596573587570722*^-9*I,1.718547682014151*^-9+0.*I,0.-6.333992031509108*^-10*I,-2.302276230473544*^-10+0.*I,0.+8.255948731485326*^-11*I,2.921883254034063*^-11+0.*I,0.-1.0209241172914148*^-11*I,-3.5228942301866153*^-12+0.*I,0.+1.2009226988096637*^-12*I,4.045452144941645*^-13+0.*I,0.-1.3470287365307356*^-13*I,-4.4346568996767823*^-14+0.*I,0.+1.4438661036385147*^-14*I,4.650322007336247*^-15+0.*I,0.-1.4819353434120485*^-15*I,-4.673715308683137*^-16+0.*I,0.+1.4590650835474918*^-16*I,4.5097801564570825*^-17+0.*I,0.-1.3803516186775985*^-17*I,-4.184656052828529*^-18+0.*I,0.+1.2567369617645624*^-18*I,3.739551636685319*^-19+0.*I,0.-1.102702505319565*^-19*I,-3.222785381714446*^-20+0.*I,0.+9.336984218691613*^-21*I,2.681944172374837*^-21+0.*I,0.-7.638782059094819*^-22*I,-2.15770000018739*^-22+0.*I,0.+6.045188036030111*^-23*I,1.680109960096245*^-23+0.*I,0.-4.632657950377012*^-24*I,-1.2674801109451057*^-24+0.*I,0.+3.4413001024079693*^-25*I,9.273099475160344*^-26+0.*I,0.-2.4802602415629656*^-26*I,-6.585474661643915*^-27+0.*I,0.+1.7359634024737484*^-27*I,4.543625467700039*^-28+0.*I,0.-1.1809092440509338*^-28*I,-3.048069747174755*^-29+0.*I,0.+7.813917819765463*^-30*I,1.9897036711106046*^-30+0.*I,0.-5.032949541895316*^-31*I,-1.2647635053287182*^-31+0.*I,0.+3.157807271837549*^-32*I,7.834070618150739*^-33+0.*I,0.-1.931301228016987*^-33*I,-4.731593762798758*^-34+0.*I,0.+1.1521079229068093*^-34*I,2.7883014048050186*^-35+0.*I,0.-6.707781236269872*^-36*I,-1.604137901390653*^-36+0.*I,0.+3.813804564651123*^-37*I,9.014853515649403*^-38+0.*I,0.-2.1187090437972695*^-38*I,-4.9513612714789*^-39+0.*I,0.+1.1506577475472342*^-39*I,2.6592732483418626*^-40+0.*I,0.-6.112254233071474*^-41*I,-1.397292492824675*^-41+0.*I,0.+3.177210432188239*^-42*I,7.186246366104171*^-43+0.*I,0.-1.6168878622580697*^-43*I,-3.619120806246282*^-44+0.*I
-0.30297046411232986+0.*I,0.+0.3925835028732811*I,0.2714580514637271+0.*I,0.-0.024795536375504763*I,0.20214518782869875+0.*I,0.-0.30342924609844746*I,-0.2570739537822105+0.*I,0.+0.10956362364822793*I,-0.06721666005709559+0.*I,0.+0.21367747467161366*I,0.2997826839866814+0.*I,0.-0.3236003119492841*I,-0.30037148572659483+0.*I,0.+0.25074019553846116*I,0.1927560102863569+0.*I,0.-0.13847071062339233*I,-0.09388188118917011+0.*I,0.+0.060506832162340846*I,0.037273863083212004+0.*I,0.-0.022042403237310354*I,-0.012557164440387595+0.*I,0.+0.006911409667890663*I,0.003684277602806395+0.*I,0.-0.0019061837973579844*I,-0.0009589573716534381+0.*I,0.+0.000469844174131186*I,0.00022451551650174066+0.*I,0.-0.00010476791689800206*I,-0.000047796401866425365+0.*I,0.+0.000021340028318213736*I,9.333290843544076*^-6+0.*I,0.-4.002086256183033*^-6*I,-1.6838017970718298*^-6+0.*I,0.+6.956045513571775*^-7*I,2.8235208465989296*^-7+0.*I,0.-1.1267972786047932*^-7*I,-4.4236117100293466*^-8+0.*I,0.+1.7092986242818523*^-8*I,6.504092899624033*^-9+0.*I,0.-2.438303493694773*^-9*I,-9.009754472795419*^-10+0.*I,0.+3.282788764266193*^-10*I,1.179907594753934*^-10+0.*I,0.-4.184937427925332*^-11*I,-1.4652712287041386*^-11+0.*I,0.+5.066165187089451*^-12*I,1.7302536586214534*^-12+0.*I,0.-5.839011749900563*^-13*I,-1.9475643064847357*^-13+0.*I,0.+6.422218049664369*^-14*I,2.0942645235048497*^-14+0.*I,0.-6.755207268908332*^-15*I,-2.1558034313633514*^-15+0.*I,0.+6.808340143699659*^-16*I,2.1282815235867977*^-16+0.*I,0.-6.586624612543988*^-17*I,-2.018502939866388*^-17+0.*I,0.+6.1264896557637445*^-18*I,1.8420009859282847*^-18+0.*I,0.-5.487073847644499*^-19*I,-1.619715136044982*^-19+0.*I,0.+4.738651349833471*^-20*I,1.374225447952085*^-20+0.*I,0.-3.9510701890317096*^-21*I,-1.1263909436435563*^-21+0.*I,0.+3.1845138691508794*^-22*I,8.929694568089714*^-23+0.*I,0.-2.4838618731903177*^-23*I,-6.854435562421052*^-24+0.*I,0.+1.8768243946745568*^-24*I,5.099596754797214*^-25+0.*I,0.-1.3751790296423558*^-25*I,-3.6808088675840477*^-26+0.*I,0.+9.779932368409039*^-27*I,2.5797850858017823*^-27+0.*I,0.-6.7566509048686215*^-28*I,-1.7572097678961824*^-28+0.*I,0.+4.53839796322816*^-29*I,1.1641524704040147*^-29+0.*I,0.-2.966100235891667*^-30*I,-7.507057042848903*^-31+0.*I,0.+1.887555631287419*^-31*I,4.7153417388310976*^-32+0.*I,0.-1.1704320564798322*^-32*I,-2.8869162965464547*^-33+0.*I,0.+7.076386773591713*^-34*I,1.7238993152354004*^-34+0.*I,0.-4.1741490318639085*^-35*I,-1.0046428121061204*^-35+0.*I,0.+2.4036668843273173*^-36*I,5.717237051090528*^-37+0.*I,0.-1.3520015157492447*^-37*I,-3.178895618779815*^-38+0.*I,0.+7.432105288054462*^-39*I,1.7278724490748534*^-39+0.*I,0.-3.994872018283409*^-40*I,-9.18569349288196*^-41+0.*I,0.+2.1007039968256854*^-41*I,4.7784493761777754*^-42+0.*I,0.-1.0811928694319004*^-42*I
0.+0.38542751885854165*I,0.32450974461996934+0.*I,0.-0.024795536375504763*I,0.2399141117203659+0.*I,0.-0.28579285050634723*I,-0.1250428485531009+0.*I,0.-0.1020740336738363*I,-0.2533042695780897+0.*I,0.+0.26442713051511435*I,0.15540969834241197+0.*I,0.+0.00874776365299828*I,0.162368108330546+0.*I,0.-0.2650794266437366*I,-0.30629095437428583+0.*I,0.+0.29644385378675175*I,0.2548583625708888+0.*I,0.-0.20035144421607168*I,-0.14650908434277152+0.*I,0.+0.10079247164511419*I,0.06576232336265836+0.*I,0.-0.04093849270126522*I,-0.024430701369128862+0.*I,0.+0.01402918780495047*I,0.007776328113132488+0.*I,0.-0.004171552806279624*I,-0.0021705535677672577+0.*I,0.+0.00109756368288002*I,0.0005402647842866684+0.*I,0.-0.00025926650571697445*I,-0.00012145707890829655+0.*I,0.+0.00005560963664729156*I,0.000024911030296469224+0.*I,0.-0.000010928690276709635*I,-4.699617088206631*^-6+0.*I,0.+1.9825562676717058*^-6*I,8.210690993920191*^-7+0.*I,0.-3.34058519007466*^-7*I,-1.3360708973704995*^-7+0.*I,0.+5.256012390389829*^-8*I,2.0348923342140163*^-8+0.*I,0.-7.757238754953404*^-9*I,-2.9131431099164938*^-9+0.*I,0.+1.07820371950775*^-9*I,3.934666211189297*^-10+0.*I,0.-1.4163027738919417*^-10*I,-5.0304727705799857*^-11+0.*I,0.+1.763682552999121*^-11*I,6.105724379307852*^-12+0.*I,0.-2.087842964945856*^-12*I,-7.05397724498347*^-13+0.*I,0.+2.355435160245694*^-13*I,7.775502023171706*^-14+0.*I,0.-2.538163932532545*^-14*I,-8.195084469841946*^-15+0.*I,0.+2.6177821974570596*^-15*I,8.274831684561068*^-16+0.*I,0.-2.5889608008861165*^-16*I,-8.019061584025453*^-17+0.*I,0.+2.4594659265239578*^-17*I,7.470698378212741*^-18+0.*I,0.-2.2478400155900938*^-18*I,-6.700866847597794*^-19+0.*I,0.+1.9793958608503696*^-19*I,5.794851992282919*^-20+0.*I,0.-1.6816259715036783*^-20*I,-4.837942745776362*^-21+0.*I,0.+1.3800692207634679*^-21*I,3.904021537943254*^-22+0.*I,0.-1.0953552600622*^-22*I,-3.0485093424021546*^-23+0.*I,0.+8.417171796937119*^-24*I,2.3059270921718962*^-24+0.*I,0.-6.268715329278919*^-25*I,-1.6912833126660586*^-25+0.*I,0.+4.5290665515527664*^-26*I,1.2039369959901731*^-26+0.*I,0.-3.1772274910744454*^-27*I,-8.325067664047561*^-28+0.*I,0.+2.166038921187538*^-28*I,5.596630484892228*^-29+0.*I,0.-1.436185646747611*^-29*I,-3.66065360481543*^-30+0.*I,0.+9.26851655492182*^-31*I,2.3313299984076175*^-31+0.*I,0.-5.82608176797346*^-32*I,-1.4466554393329886*^-32+0.*I,0.+3.56947881218274*^-33*I,8.752462535334202*^-34+0.*I,0.-2.1329229594375025*^-34*I,-5.166214231552019*^-35+0.*I,0.+1.2438100546842127*^-35*I,2.9768121409616957*^-36+0.*I,0.-7.082638340479952*^-37*I,-1.6753857528763893*^-37+0.*I,0.+3.9403956648778293*^-38*I,9.215068960875165*^-39+0.*I,0.-2.1429839710165542*^-39*I,-4.9559628376644196*^-40+0.*I,0.+1.139862723361414*^-40*I,2.607464928557785*^-41+0.*I
0.4246349908276241+0.*I,0.-0.16480661907994903*I,0.20214518782869875+0.*I,0.-0.28579285050634723*I,-0.07495091092453637+0.*I,0.-0.18176333447968157*I,-0.26560306451014876+0.*I,0.+0.14404029861473022*I,-0.0669004507637393+0.*I,0.+0.22542200327870246*I,0.2553619352998095+0.*I,0.-0.16437841927167843*I,-0.010814720234584279+0.*I,0.-0.1404304438610129*I,-0.2464184106690409+0.*I,0.+0.2932773190486162*I,0.28898460427778394+0.*I,0.-0.2516224165506239*I,-0.19974715254472666+0.*I,0.+0.1472201276729337*I,0.10194607964965326+0.*I,0.-0.06688596537989602*I,-0.041838771610983615+0.*I,0.+0.02507343834306176*I,0.014452133475214653+0.*I,0.-0.008037529688108785*I,-0.004324634555619008+0.*I,0.+0.0022563310750553355*I,0.0011437659661171424+0.*I,0.-0.000564284175737014*I,-0.00027135740304218254+0.*I,0.+0.0001273655809267536*I,0.000058418626538137813+0.*I,0.-0.00002621258906923948*I,-0.000011517389511169473+0.*I,0.+4.9598884768112745*^-6*I,2.0951667997323403*^-6+0.*I,0.-8.688010995900976*^-7*I,-3.5389792434453753*^-7+0.*I,0.+1.4170002423600264*^-7*I,5.58026046917503*^-8+0.*I,0.-2.162580022711487*^-8*I,-8.251778961802582*^-9+0.*I,0.+3.101635435877333*^-9*I,1.1489435847456563*^-9+0.*I,0.-4.1962043432376886*^-10*I,-1.5116070641446464*^-10+0.*I,0.+5.3729165104395506*^-11*I,1.8850621664694295*^-11+0.*I,0.-6.530296329879499*^-12*I,-2.234453478955379*^-12+0.*I,0.+7.55393959808309*^-13*I,2.523861351611266*^-13+0.*I,0.-8.336183531916522*^-14*I,-2.7226587900761503*^-14+0.*I,0.+8.795337598089645*^-15*I,2.8109263214921458*^-15+0.*I,0.-8.889632936926837*^-16*I,-2.7826022583633674*^-16+0.*I,0.+8.622692880686834*^-17*I,2.64573896925902*^-17+0.*I,0.-8.039844871406563*^-18*I,-2.4200589986789225*^-18+0.*I,0.+7.217050673897924*^-19*I,2.132671921691243*^-19+0.*I,0.-6.245842940814933*^-20*I,-1.813136008064567*^-20+0.*I,0.+5.218061042111444*^-21*I,1.4889913296386592*^-21+0.*I,0.-4.213490287896696*^-22*I,-1.1825488987671869*^-22+0.*I,0.+3.292167844001976*^-23*I,9.09258029474659*^-24+0.*I,0.-2.4916635143000375*^-24*I,-6.775506169801878*^-25+0.*I,0.+1.828502640323331*^-25*I,4.897796721525601*^-26+0.*I,0.-1.3022835832742793*^-26*I,-3.437612497217899*^-27+0.*I,0.+9.009492958150723*^-28*I,2.344661131723342*^-28+0.*I,0.-6.059532186321871*^-29*I,-1.5553178826712388*^-29+0.*I,0.+3.9651618544167215*^-30*I,1.0041622409272328*^-30+0.*I,0.-2.526309400636005*^-31*I,-6.314607046834458*^-32+0.*I,0.+1.5682660596262797*^-32*I,3.870279445346645*^-33+0.*I,0.-9.491802931159368*^-34*I,-2.313516960511992*^-34+0.*I,0.+5.604633125769931*^-35*I,1.3495977793688353*^-35+0.*I,0.-3.230543156134716*^-36*I,-7.687610671800832*^-37+0.*I,0.+1.818786624670652*^-37*I,4.278345557361163*^-38+0.*I,0.-1.000696156838856*^-38*I,-2.3274949670946198*^-39+0.*I,0.+5.3834746153387496*^-40*I
0.-0.41844061370764885*I,0.027500044006821094+0.*I,0.-0.30342924609844746*I,-0.1250428485531009+0.*I,0.-0.18176333447968157*I,-0.2540627666879751+0.*I,0.+0.06261681408641127*I,-0.17232667811068988+0.*I,0.+0.24812270559175154*I,0.13237727889242454+0.*I,0.+0.06715801975961111*I,0.21678241605941814+0.*I,0.-0.24399699198430908*I,-0.15582012246940444+0.*I,0.+0.007838696094222483*I,-0.13781008084346844+0.*I,0.+0.23986138561624717*I,0.2849094151824587+0.*I,0.-0.2805866337119322*I,-0.24430633422251125+0.*I,0.+0.19398131754013437*I,0.143017027665926+0.*I,0.-0.09907273748581615*I,-0.06502648938237461+0.*I,0.+0.04069183860368427*I,0.02439567091531047+0.*I,0.-0.014066838853262903*I,-0.00782612579731576+0.*I,0.+0.004212372620983897*I,0.0021985005499355645+0.*I,0.-0.0011148093326261202*I,-0.000550166853350789+0.*I,0.+0.0002646458221200642*I,0.00012424995691154297+0.*I,0.-0.0000570046902759455*I,-0.00002558461246132127+0.*I,0.+0.000011244173869940541*I,4.843342452973633*^-6+0.*I,0.-2.0463839159779933*^-6*I,-8.487501429108803*^-7+0.*I,0.+3.4579960979541163*^-7*I,1.3848400862467715*^-7+0.*I,0.-5.45461178453667*^-8*I,-2.114257590749686*^-8+0.*I,0.+8.068754279024713*^-9*I,3.033331547022575*^-9+0.*I,0.-1.123816150344508*^-9*I,-4.1050456086988787*^-10+0.*I,0.+1.4789809173278924*^-10*I,5.257674463061528*^-11+0.*I,0.-1.84487518841018*^-11*I,-6.391897508515631*^-12+0.*I,0.+2.1873678782132087*^-12*I,7.39563931285695*^-13+0.*I,0.-2.4712552669617325*^-13*I,-8.163334107151716*^-14+0.*I,0.+2.6664907712939007*^-14*I,8.614784084459603*^-15+0.*I,0.-2.7534987831912935*^-15*I,-8.708861749769019*^-16+0.*I,0.+2.726274017119914*^-16*I,8.448912597079361*^-17+0.*I,0.-2.5926458942243285*^-17*I,-7.879180098995641*^-18+0.*I,0.+2.3718943947474205*^-18*I,7.07398481758223*^-19+0.*I,0.-2.0905587483722387*^-19*I,-6.122973322982072*^-20+0.*I,0.+1.77759876845901*^-20*I,5.1161547052221684*^-21+0.*I,0.-1.4600138632623374*^-21*I,-4.131771371773316*^-22+0.*I,0.+1.1596904394352158*^-22*I,3.2287384234187504*^-23+0.*I,0.-8.917954105291776*^-24*I,-2.443959326081894*^-24+0.*I,0.+6.646180682851972*^-25*I,1.7937055765874922*^-25+0.*I,0.-4.804861401362782*^-26*I,-1.2776432753360951*^-26+0.*I,0.+3.372751352349586*^-27*I,8.839965158718762*^-28+0.*I,0.-2.300660542627146*^-28*I,-5.94611483303561*^-29+0.*I,0.+1.5262813329828618*^-29*I,3.891321306817396*^-30+0.*I,0.-9.855084094779285*^-31*I,-2.479492545157485*^-31+0.*I,0.+6.197863117024666*^-32*I,1.5393392774270597*^-32+0.*I,0.-3.799054085532198*^-33*I,-9.317513132606064*^-34+0.*I,0.+2.2711287279076577*^-34*I,5.502165400513463*^-35+0.*I,0.-1.324975459854595*^-35*I,-3.1717263021664514*^-36+0.*I,0.+7.547930188110207*^-37*I,1.785805897485449*^-37+0.*I,0.-4.2009164862952084*^-38*I,-9.826204492266868*^-39+0.*I
-0.3764100926836826+0.*I,0.-0.195565450627992*I,-0.2570739537822105+0.*I,0.-0.1020740336738363*I,-0.26560306451014876+0.*I,0.+0.06261681408641127*I,-0.1977355364390243+0.*I,0.+0.2226511097382063*I,0.02421416207168895+0.*I,0.+0.1848064482574688*I,0.23131062395515176+0.*I,0.-0.10407518628781898*I,0.08708806661593577+0.*I,0.-0.2189851717123801*I,-0.2309678351564185+0.*I,0.+0.13636173053036524*I,-0.009274556273024741+0.*I,0.+0.14745535844305677*I,0.2410746434009322+0.*I,0.-0.2795407376738028*I,-0.2715435541054399+0.*I,0.+0.23425421918312758*I,0.18473544198642333+0.*I,0.-0.1354786598018613*I,-0.0934484565493614+0.*I,0.+0.06111663476277887*I,0.03812975197859512+0.*I,0.-0.022800245580124723*I,-0.013117105688187853+0.*I,0.+0.007283164354221232*I,0.003913165044604145+0.*I,0.-0.00203909036228359*I,-0.001032492611386523+0.*I,0.+0.0005088798727291164*I,0.0002444952385621334+0.*I,0.-0.0001146646566233694*I,-0.00005255449978562131+0.*I,0.+0.000023565552915992524*I,0.000010347977567685744+0.*I,0.-4.453778839483799*^-6*I,-1.8803978872925998*^-6+0.*I,0.+7.793685937715932*^-7*I,3.1732704739744234*^-7+0.*I,0.-1.270045004943342*^-7*I,-4.999608284944035*^-8+0.*I,0.+1.9368546926394757*^-8*I,7.387980981469756*^-9+0.*I,0.-2.7760758785791205*^-9*I,-1.028039856515781*^-9+0.*I,0.+3.753583601354013*^-10*I,1.351803325070661*^-10+0.*I,0.-4.803703288836194*^-11*I,-1.6849580372980823*^-11+0.*I,0.+5.8357814993211316*^-12*I,1.9963889404509567*^-12+0.*I,0.-6.747760577514024*^-13*I,-2.254074415631304*^-13+0.*I,0.+7.443729837032711*^-14*I,2.4307530276163687*^-14+0.*I,0.-7.851052256141736*^-15*I,-2.5087407185474117*^-15+0.*I,0.+7.932756523654964*^-16*I,2.4827228125925223*^-16+0.*I,0.-7.692357773722498*^-17*I,-2.359964642050457*^-17+0.*I,0.+7.170516778843098*^-18*I,2.158118210460272*^-18+0.*I,0.-6.435134006066323*^-19*I,-1.9013952988057496*^-19+0.*I,0.+5.567904768102616*^-20*I,1.6161633239167493*^-20+0.*I,0.-4.650715790375841*^-21*I,-1.3269671251880235*^-21+0.*I,0.+3.7546445563560504*^-22*I,1.0536738215810964*^-22+0.*I,0.-2.933125476030655*^-23*I,-8.100254886136316*^-24+0.*I,0.+2.2195504078729164*^-24*I,6.035074010862175*^-25+0.*I,0.-1.6285563256611553*^-25*I,-4.361896285758847*^-26+0.*I,0.+1.1597076813685528*^-26*I,3.0610416135856558*^-27+0.*I,0.-8.022004944540586*^-28*I,-2.0875351408087002*^-28+0.*I,0.+5.394668721052721*^-29*I,1.3845786276926028*^-29+0.*I,0.-3.529660378866634*^-30*I,-8.938202004828791*^-31+0.*I,0.+2.24857719342781*^-31*I,5.620089806074209*^-32+0.*I,0.-1.395702903548364*^-32*I,-3.444232813448051*^-33+0.*I,0.+8.446493036971874*^-34*I,2.0586310564882264*^-34+0.*I,0.-4.986911889467362*^-35*I,-1.2007927832042963*^-35+0.*I,0.+2.874213237374794*^-36*I,6.8393533210331624*^-37+0.*I,0.-1.618028289194147*^-37*I
0.+0.31348393824628207*I,-0.30514154410502886+0.*I,0.+0.10956362364822793*I,-0.2533042695780897+0.*I,0.+0.14404029861473022*I,-0.17232667811068988+0.*I,0.+0.2226511097382063*I,-0.012306006008519952+0.*I,0.+0.21785787583348293*I,0.18136780886274131+0.*I,0.+0.02824455912288801*I,0.2032867394237448+0.*I,0.-0.20879557146770167*I,-0.06369541401817715+0.*I,0.-0.11733588803633108*I,-0.22453675906722004+0.*I,0.+0.21388364579928767*I,0.10835123628985806+0.*I,0.+0.035681493565170405*I,0.16436396524791733+0.*I,0.-0.2463616808763878*I,-0.2752343358728078+0.*I,0.+0.2614359503162777*I,0.22203133788617063+0.*I,0.-0.17303147149455828*I,-0.12570148889052019+0.*I,0.+0.0860314945261896*I,0.05589671947804366+0.*I,0.-0.03467623054808424*I,-0.020632964474047385+0.*I,0.+0.011818598864976828*I,0.0065367249963001256+0.*I,0.-0.003499872365387093*I,-0.0018179817160078025+0.*I,0.+0.0009178947375810554*I,0.0004512123191671211+0.*I,0.-0.00021626626948067587*I,-0.00010120038146196738+0.*I,0.+0.0000462880166949145*I,0.00002071601487081345+0.*I,0.-9.080524393569242*^-6*I,-3.9017734179553076*^-6+0.*I,0.+1.6447773070686104*^-6*I,6.807157668592474*^-7+0.*I,0.-2.767791193280491*^-7*I,-1.1063258589028606*^-7+0.*I,0.+4.3497979130603534*^-8*I,1.683170420194232*^-8+0.*I,0.-6.413295208899807*^-9*I,-2.4073297696831735*^-9+0.*I,0.+8.906057816656306*^-10*I,3.24873128220938*^-10+0.*I,0.-1.16894121410194*^-10*I,-4.1503503300345104*^-11+0.*I,0.+1.4546007734886003*^-11*I,5.034026356987613*^-12+0.*I,0.-1.7208298309057008*^-12*I,-5.81222448138883*^-13+0.*I,0.+1.9402321118683803*^-13*I,6.403107004820585*^-14+0.*I,0.-2.089618406785895*^-14*I,-6.745134608549469*^-15+0.*I,0.+2.15409639388601*^-15*I,6.807529237028951*^-16+0.*I,0.-2.1294064792600325*^-16*I,-6.594216228214833*^-17+0.*I,0.+2.0220437760860688*^-17*I,6.140792477723706*^-18+0.*I,0.-1.847333351903714*^-18*I,-5.505927914024664*^-19+0.*I,0.+1.6261278771098334*^-19*I,4.759809640974262*^-20+0.*I,0.-1.3810340824016034*^-20*I,-3.972518190280186*^-21+0.*I,0.+1.1330224729318778*^-21*I,3.2046789946426735*^-22+0.*I,0.-8.990090986108722*^-23*I,-2.5017007899243*^-23+0.*I,0.+6.906446732032594*^-24*I,1.891805540815308*^-24+0.*I,0.-5.142255368355585*^-25*I,-1.3871942304132342*^-25+0.*I,0.+3.714300234179523*^-26*I,9.87235954775439*^-27+0.*I,0.-2.60504877066327*^-27*I,-6.82506896267072*^-28+0.*I,0.+1.7755731870177985*^-28*I,4.587259158918658*^-29+0.*I,0.-1.1770441819354683*^-29*I,-2.9998361138724637*^-30+0.*I,0.+7.594635943564562*^-31*I,1.9101144945870106*^-31+0.*I,0.-4.773008213742334*^-32*I,-1.1850636292671119*^-32+0.*I,0.+2.923770609821556*^-33*I,7.16855462880578*^-34+0.*I,0.-1.74678821556037*^-34*I,-4.230601349780808*^-35+0.*I,0.+1.0184722379328359*^-35*I,2.437321407178097*^-36+0.*I
