0.22800298845250078+0.*I,0.-0.3920586194927384*I,-0.4767014528210515+0.*I,0.+0.473256203147206*I,0.40688978449710655+0.*I,0.-0.3128976138752844*I,-0.2196529766704934+0.*I,0.+0.14275737053877763*I,0.08678886594152407+0.*I,0.-0.04974543418534014*I,-0.027049777229314963+0.*I,0.+0.014024190976511109*I,0.006961417187296069+0.*I,0.-0.0033199875262539522*I,-0.0015257483224926573+0.*I,0.+0.0006774039716360302*I,0.0002912045887655637+0.*I,0.-0.0001214462811197364*I,-0.00004922190693864236+0.*I,0.+0.000019417445796129247*I,7.465992866680948*^-6+0.*I,0.-2.8014855728247216*^-6*I,-1.0270403748308101*^-6+0.*I,0.+3.6824263184592824*^-7*I,1.2925248809052047*^-7+0.*I,0.-4.4450778817162735*^-8*I,-1.4990052973159654*^-8+0.*I,0.+4.9605719422298894*^-9*I,1.6119931939358615*^-9+0.*I,0.-5.147243002287238*^-10*I,-1.61593732151271*^-10+0.*I,0.+4.990615734917198*^-11*I,1.517014072018561*^-11+0.*I,0.-4.540912217415709*^-12*I,-1.3391034066813672*^-12+0.*I,0.+3.8921588764978914*^-13*I,1.1154491485127107*^-13+0.*I,0.-3.153257092555912*^-14*I,-8.79585476799611*^-15+0.*I,0.+2.421900034582429*^-15*I,6.5847104844881245*^-16+0.*I,0.-1.768297053846814*^-16*I,-4.6918167906495375*^-17+0.*I,0.+1.230317734826591*^-17*I,3.1893443573903914*^-18+0.*I,0.-8.175336231714062*^-19*I,-2.0727034692682653*^-19+0.*I,0.+5.198747354105357*^-20*I,1.2902936520150985*^-20+0.*I,0.-3.1695746708203806*^-21*I,-7.707729279666468*^-22+0.*I,0.+1.855888289295022*^-22*I,4.4254824878362265*^-23+0.*I,0.-1.045281246439745*^-23*I,-2.445945330110926*^-24+0.*I,0.+5.671211813798974*^-25*I,1.3031437381886283*^-25+0.*I,0.-2.96801000548649*^-26*I,-6.701342745927972*^-27+0.*I,0.+1.5001900892131435*^-27*I,3.3302829492276097*^-28+0.*I,0.-7.332071363195044*^-29*I,-1.6011842353063904*^-29+0.*I,0.+3.468817869673619*^-30*I,7.45593267486544*^-31+0.*I,0.-1.590214709843189*^-31*I,-3.365846187349455*^-32+0.*I,0.+7.070780105521457*^-33*I,1.4744272266985377*^-33+0.*I,0.-3.052173824843706*^-34*I,-6.272933889681319*^-35+0.*I,0.+1.2801238917623203*^-35*I,2.5941567946462813*^-36+0.*I,0.-5.22089860497397*^-37*I,-1.0436139266841914*^-37+0.*I,0.+2.0721428960255744*^-38*I,4.0871763070421625*^-39+0.*I,0.-8.009187788359913*^-40*I,-1.5593788593761111*^-40+0.*I,0.+3.0168141992672093*^-41*I,5.799813613055164*^-42+0.*I,0.-1.1081077557032806*^-42*I,-2.1041928247375254*^-43+0.*I,0.+3.9715218490122304*^-44*I,7.45122675633626*^-45+0.*I,0.-1.3897247248959961*^-45*I,-2.576855261964878*^-46+0.*I,0.+4.750516887056675*^-47*I,8.707831108698845*^-48+0.*I,0.-1.5871773632410144*^-48*I,-2.876833140714213*^-49+0.*I,0.+5.185664838908432*^-50*I,9.296532614236828*^-51+0.*I,0.-1.6576391294627095*^-51*I,-2.9399268872960683*^-52+0.*I,0.+5.186629125205238*^-53*I,9.102486530076985*^-54+0.*I,0.-1.5892222792591225*^-54*I,-2.760463912107958*^-55+0.*I,0.+4.7706213078919*^-56*I
0.-0.3920586194927384*I,-0.44615467132998854+0.*I,0.+0.2652491719161957*I,-0.01189156733374642+0.*I,0.+0.2468520716717951*I,0.3717955041596037+0.*I,0.-0.38873899546173585*I,-0.335671168450231+0.*I,0.+0.25454251653330096*I,0.17482769157977782+0.*I,0.-0.11079589576230219*I,-0.06559890521017694+0.*I,0.+0.03661083735292297*I,0.019390919137479725+0.*I,0.-0.009798681550804333*I,-0.004744379488455709+0.*I,0.+0.002208880041648991*I,0.0009918364130694893+0.*I,0.-0.00043061424961091674*I,-0.00018116438301505098+0.*I,0.+0.0000739994378033287*I,0.000029396231089484304+0.*I,0.-0.000011374102459660763*I,-4.292307317714625*^-6+0.*I,0.+1.5817592050383566*^-6*I,5.698278678326723*^-7+0.*I,0.-2.00879500667481*^-7*I,-6.9360733860418*^-8+0.*I,0.+2.3477004252601282*^-8*I,7.795763694816817*^-9+0.*I,0.-2.541395376938824*^-9*I,-8.139005481301657*^-10+0.*I,0.+2.5622630357112323*^-10*I,7.93375761773216*^-11+0.*I,0.-2.4175208454280326*^-11*I,-7.2529731026397875*^-12+0.*I,0.+2.143490184988774*^-12*I,6.242799382027*^-13+0.*I,0.-1.792550608948411*^-13*I,-5.076555884758391*^-14+0.*I,0.+1.4185178176595257*^-14*I,3.912207449724066*^-15+0.*I,0.-1.0653101392591414*^-15*I,-2.865072845983214*^-16+0.*I,0.+7.612586372088606*^-17*I,1.998899647176632*^-17+0.*I,0.-5.1883746425034864*^-18*I,-1.3315797409566669*^-18+0.*I,0.+3.379927594252513*^-19*I,8.487036799985388*^-20+0.*I,0.-2.108690809320521*^-20*I,-5.185293619160987*^-21+0.*I,0.+1.2622024543243994*^-21*I,3.042060342528001*^-22+0.*I,0.-7.260628749698271*^-23*I,-1.7164432577882916*^-23+0.*I,0.+4.019866473575646*^-24*I,9.328160410107916*^-25+0.*I,0.-2.1451372905243405*^-25*I,-4.889436425779192*^-26+0.*I,0.+1.1047769383454557*^-26*I,2.474956759722794*^-27+0.*I,0.-5.49794988186546*^-28*I,-1.2112531255464242*^-28+0.*I,0.+2.646847087079967*^-29*I,5.737722460971517*^-30+0.*I,0.-1.2340197079022634*^-30*I,-2.6334794580723636*^-31+0.*I,0.+5.577182046843964*^-32*I,1.1722681081971443*^-32+0.*I,0.-2.4457666768782755*^-33*I,-5.06554654385421*^-34+0.*I,0.+1.041613764314039*^-34*I,2.1266734724343202*^-35+0.*I,0.-4.3117339598006144*^-36*I,-8.681649952780773*^-37+0.*I,0.+1.7361719584554323*^-37*I,3.448762042068609*^-38+0.*I,0.-6.805382816790871*^-39*I,-1.3341311372561805*^-39+0.*I,0.+2.5985909520058666*^-40*I,5.029289487420778*^-41+0.*I,0.-9.672519642314445*^-42*I,-1.848719275486051*^-42+0.*I,0.+3.511833610608057*^-43*I,6.630723907965543*^-44+0.*I,0.-1.2444678195406444*^-44*I,-2.321843882796998*^-45+0.*I,0.+4.306645841891223*^-46*I,7.942031082872633*^-47+0.*I,0.-1.4562605657981703*^-47*I,-2.6551547005249158*^-48+0.*I,0.+4.814058052231315*^-49*I,8.680214894911837*^-50+0.*I,0.-1.5565877563261483*^-50*I,-2.776300486367894*^-51+0.*I,0.+4.925317694285575*^-52*I,8.69163756254311*^-53+0.*I,0.-1.5257827079821424*^-53*I,-2.6645945144888366*^-54+0.*I
-0.4767014528210515+0.*I,0.+0.2652491719161957*I,-0.12363997754355756+0.*I,0.+0.33932144011938675*I,0.2833285668627831+0.*I,0.-0.06175627062770988*I,0.1713035590622124+0.*I,0.-0.3191237386539719*I,-0.3618457937734504+0.*I,0.+0.3273943979159919*I,0.2562106142176961+0.*I,0.-0.18007813777308623*I,-0.11616897321568562+0.*I,0.+0.06976239816928695*I,0.03938939837999296+0.*I,0.-0.021066135312762233*I,-0.010733369168584302+0.*I,0.+0.005233969372266481*I,0.002451928253639124+0.*I,0.-0.0011069656936550354*I,-0.0004829166598102905+0.*I,0.+0.0002040429033758537*I,0.00008366657367913361+0.*I,0.-0.00003335247031681579*I,-0.000012945738275509144+0.*I,0.+4.8995134077187645*^-6*I,1.8102955545521713*^-6+0.*I,0.-6.537431623084455*^-7*I,-2.309785697762256*^-7+0.*I,0.+7.991895186872805*^-8*I,2.71027973224756*^-8+0.*I,0.-9.015867372496819*^-9*I,-2.944058343997804*^-9+0.*I,0.+9.443301370882488*^-10*I,2.9772273241663276*^-10+0.*I,0.-9.23133112563529*^-11*I,-2.8165503410485167*^-11+0.*I,0.+8.460442088164272*^-12*I,2.503218133664498*^-12+0.*I,0.-7.298434125373172*^-13*I,-2.097828177427286*^-13+0.*I,0.+5.946929895311998*^-14*I,1.6632683300645658*^-14+0.*I,0.-4.591277614642844*^-15*I,-1.251277354519049*^-15+0.*I,0.+3.3679219021188917*^-16*I,8.955534937775484*^-17+0.*I,0.-2.353252034757715*^-17*I,-6.112418699111708*^-18+0.*I,0.+1.5697854925480151*^-18*I,3.9871240950660753*^-19+0.*I,0.-1.0017890238580036*^-19*I,-2.4905209826919838*^-20+0.*I,0.+6.127702734279956*^-21*I,1.4924194226064614*^-21+0.*I,0.-3.598804650456783*^-22*I,-8.593791123833*^-23+0.*I,0.+2.0326009666217144*^-23*I,4.762542307385928*^-24+0.*I,0.-1.1056574450935296*^-24*I,-2.5437255349780136*^-25+0.*I,0.+5.800401726916536*^-26*I,1.311148399796899*^-26+0.*I,0.-2.9384412608545166*^-27*I,-6.5300540237107095*^-28+0.*I,0.+1.4391704177557463*^-28*I,3.14602698174592*^-29+0.*I,0.-6.822202431074036*^-30*I,-1.4677566201783744*^-30+0.*I,0.+3.1333174269147157*^-31*I,6.637852521096741*^-32+0.*I,0.-1.3956420378312274*^-32*I,-2.9126788054822422*^-33+0.*I,0.+6.034352695562224*^-34*I,1.2411788864403588*^-34+0.*I,0.-2.534827426006092*^-35*I,-5.140628466738499*^-36+0.*I,0.+1.0353331029181358*^-36*I,2.0710050105341328*^-37+0.*I,0.-4.114900665955816*^-38*I,-8.12182524659622*^-39+0.*I,0.+1.5925823608736673*^-39*I,3.1027090220953857*^-40+0.*I,0.-6.006300360356748*^-41*I,-1.155406874905045*^-41+0.*I,0.+2.2088128836506236*^-42*I,4.196742430101409*^-43+0.*I,0.-7.925517543283671*^-44*I,-1.4877727774993056*^-44+0.*I,0.+2.7763244786181358*^-45*I,5.150610666165202*^-46+0.*I,0.-9.500176074524194*^-47*I,-1.7422797236930652*^-47+0.*I,0.+3.1772077685518477*^-48*I,5.7615910536427344*^-49+0.*I,0.-1.039047224108216*^-49*I,-1.8635907914142238*^-50+0.*I,0.+3.324405822016451*^-51*I,5.898627394967137*^-52+0.*I,0.-1.0410846624804249*^-52*I
0.+0.473256203147206*I,-0.01189156733374642+0.*I,0.+0.33932144011938675*I,0.21322909522099565+0.*I,0.+0.1105337745195327*I,0.30446566554606946+0.*I,0.-0.25740205762854773*I,-0.05514683678326493+0.*I,0.-0.16189624615394138*I,-0.30170706881612736+0.*I,0.+0.3433787452989814*I,0.31182931007918746+0.*I,0.-0.24482688675951156*I,-0.17256679519044277+0.*I,0.+0.11159928374603025*I,0.06716348768625686+0.*I,0.-0.03799435935304377*I,-0.02035438717097262+0.*I,0.+0.010386346783040793*I,0.005071585432662721+0.*I,0.-0.0023787466397361496*I,-0.0010751091554202015+0.*I,0.+0.0004694889015687471*I,0.0001985508294447839+0.*I,0.-0.00008148285577991577*I,-0.00003250702408519389+0.*I,0.+0.000012626564864661157*I,4.781868279096029*^-6+0.*I,0.-1.7679091253931158*^-6*I,-6.388002017159998*^-7+0.*I,0.+2.2581899800534265*^-7*I,7.817259673503597*^-8+0.*I,0.-2.652291869282879*^-8*I,-8.826831678875547*^-9+0.*I,0.+2.8835179508729296*^-9*I,9.252705888778295*^-10+0.*I,0.-2.9182074688348797*^-10*I,-9.051470103929246*^-11+0.*I,0.+2.7625807371408113*^-11*I,8.300912696795273*^-12+0.*I,0.-2.4567446757525592*^-12*I,-7.164951678705705*^-13+0.*I,0.+2.0600126729142159*^-13*I,5.841222745685916*^-14+0.*I,0.-1.6341020553600444*^-14*I,-4.5118182531120235*^-15+0.*I,0.+1.2298960277918997*^-15*I,3.311078402544959*^-16+0.*I,0.-8.806183878591062*^-17*I,-2.3144605838938647*^-17+0.*I,0.+6.012791629642408*^-18*I,1.5444784961388762*^-18+0.*I,0.-3.92352816746884*^-19*I,-9.859749939544254*^-20+0.*I,0.+2.4516007633179736*^-20*I,6.0328786840134636*^-21+0.*I,0.-1.4695445027599819*^-21*I,-3.5441556238196427*^-22+0.*I,0.+8.464470520541394*^-23*I,2.0022834889178907*^-23+0.*I,0.-4.692116279510448*^-24*I,-1.0894445673566779*^-24+0.*I,0.+2.5067305178234665*^-25*I,5.716716353872982*^-26+0.*I,0.-1.2923792867005302*^-26*I,-2.89669781494084*^-27+0.*I,0.+6.4379786286938455*^-28*I,1.419025381711318*^-28+0.*I,0.-3.1023031509567684*^-29*I,-6.72804625772891*^-30+0.*I,0.+1.447637320213105*^-30*I,3.0906534037911315*^-31+0.*I,0.-6.548058903330181*^-32*I,-1.3768829282508556*^-32+0.*I,0.+2.8737734844192826*^-33*I,5.954243677590929*^-34+0.*I,0.-1.2248004016066426*^-34*I,-2.501574566694913*^-35+0.*I,0.+5.0735799648440465*^-36*I,1.0219056176001048*^-36+0.*I,0.-2.044294300438642*^-37*I,-4.062116959229424*^-38+0.*I,0.+8.01819760990391*^-39*I,1.5723685060727946*^-39+0.*I,0.-3.0635297667607743*^-40*I,-5.930837814937039*^-41+0.*I,0.+1.1409621642769259*^-41*I,2.1813325869655532*^-42+0.*I,0.-4.14477856888734*^-43*I,-7.827843241758757*^-44+0.*I,0.+1.469521685723762*^-44*I,2.742420003094257*^-45+0.*I,0.-5.087990505573909*^-46*I,-9.385178432353553*^-47+0.*I,0.+1.72128020661733*^-47*I,3.139074619972932*^-48+0.*I,0.-5.69272649319019*^-49*I,-1.0266787867361064*^-49+0.*I,0.+1.8414962268294604*^-50*I,3.2851474135492726*^-51+0.*I
0.40688978449710655+0.*I,0.+0.2468520716717951*I,0.2833285668627831+0.*I,0.+0.1105337745195327*I,0.30826232118785085+0.*I,0.-0.13818883394196818*I,0.15158712062561727+0.*I,0.-0.29309751810391804*I,-0.2171823580647076+0.*I,0.+0.016553232734936987*I,-0.18181525236377366+0.*I,0.+0.3013288646211673*I,0.3296102760318234+0.*I,0.-0.293000813761838*I,-0.22689359696393252+0.*I,0.+0.15836617333285052*I,0.10166070161538573+0.*I,0.-0.06082736010801968*I,-0.03424834355012716+0.*I,0.+0.018276139234045682*I,0.009295243333911381+0.*I,0.-0.004526050534151675*I,-0.002117703677894834+0.*I,0.+0.0009550875041221688*I,0.0004162919981504429+0.*I,0.-0.00017575869220977998*I,-0.00007202107878647296+0.*I,0.+0.000028693488105743284*I,0.000011131645395376836+0.*I,0.-4.211022049097956*^-6*I,-1.5552748129627943*^-6+0.*I,0.+5.614433122955638*^-7*I,1.9830197855847277*^-7+0.*I,0.-6.85922706585414*^-8*I,-2.325526358888862*^-8+0.*I,0.+7.734044558687048*^-9*I,2.524914092135875*^-9+0.*I,0.-8.097166532270433*^-10*I,-2.552333041873677*^-10+0.*I,0.+7.912471000046375*^-11*I,2.413756424182859*^-11+0.*I,0.-7.2494022144567945*^-12*I,-2.144596728279211*^-12+0.*I,0.+6.251994522782332*^-13*I,1.7968198114536603*^-13+0.*I,0.-5.0930339409167756*^-14*I,-1.4242896821717865*^-14+0.*I,0.+3.931195782939059*^-15*I,1.0712785936461*^-15+0.*I,0.-2.8831748118981467*^-16*I,-7.665894243865458*^-17+0.*I,0.+2.014206981495213*^-17*I,5.231364640873322*^-18+0.*I,0.-1.3434149930305679*^-18*I,-3.4119230539827923*^-19+0.*I,0.+8.572092294051668*^-20*I,2.130950009719721*^-20+0.*I,0.-5.242694251550068*^-21*I,-1.2767995802342381*^-21+0.*I,0.+3.0786919796040423*^-22*I,7.351398212344692*^-23+0.*I,0.-1.7386631986389811*^-23*I,-4.07362728223286*^-24+0.*I,0.+9.45677426413965*^-25*I,2.175572112206873*^-25+0.*I,0.-4.960699112253923*^-26*I,-1.121292637339653*^-26+0.*I,0.+2.51285327555594*^-27*I,5.584065931448309*^-28+0.*I,0.-1.230637787739939*^-28*I,-2.6900806867802625*^-29+0.*I,0.+5.833280442021968*^-30*I,1.254955177430214*^-30+0.*I,0.-2.6789522211764845*^-31*I,-5.675120011933224*^-32+0.*I,0.+1.1931878342936281*^-32*I,2.4900904237513155*^-33+0.*I,0.-5.15871297563752*^-34*I,-1.061044482040484*^-34+0.*I,0.+2.1668882440413857*^-35*I,4.3943392989086984*^-36+0.*I,0.-8.85007718243869*^-37*I,-1.77026390775015*^-37+0.*I,0.+3.517275875669883*^-38*I,6.942105701977807*^-39+0.*I,0.-1.3612260929675133*^-39*I,-2.6519202688794786*^-40+0.*I,0.+5.133549648047391*^-41*I,9.87500260628629*^-42+0.*I,0.-1.887786974330955*^-42*I,-3.5867275339039127*^-43+0.*I,0.+6.773387657972345*^-44*I,1.2714735970358824*^-44+0.*I,0.-2.3726495643249796*^-45*I,-4.401644154927149*^-46+0.*I,0.+8.1185950016919105*^-47*I,1.4888820667651385*^-47+0.*I,0.-2.7150722938252895*^-48*I,-4.923475066305566*^-49+0.*I,0.+8.87888211765787*^-50*I
0.-0.3128976138752844*I,0.3717955041596037+0.*I,0.-0.06175627062770988*I,0.30446566554606946+0.*I,0.-0.13818883394196818*I,0.20199532198537462+0.*I,0.-0.2679485439946549*I,-0.046031237377399614+0.*I,0.-0.20372939663380993*I,-0.2786512993609398+0.*I,0.+0.16322545361237367*I,-0.03795416986376319+0.*I,0.+0.21334687816748105*I,0.3061634285408135+0.*I,0.-0.31580331269877787*I,-0.2712078959207024+0.*I,0.+0.20511710108986836*I,0.14067692593858144+0.*I,0.-0.08907487806960399*I,-0.052707989491320675+0.*I,0.+0.029404250745631376*I,0.015569054311584363+0.*I,0.-0.007865412847669251*I,-0.0038075075718172076+0.*I,0.+0.0017723639799884377*I,0.000795699044350962+0.*I,0.-0.0003454073852072997*I,-0.00014529661533165466+0.*I,0.+0.0000593409678930488*I,0.000023570282737671268+0.*I,0.-9.118851394351177*^-6*I,-3.440854016434241*^-6+0.*I,0.+1.267857800860551*^-6*I,4.566996572136534*^-7+0.*I,0.-1.6098349667220956*^-7*I,-5.558017584634327*^-8+0.*I,0.+1.8810964224134405*^-8*I,6.245838060434909*^-9+0.*I,0.-2.0359607492104833*^-9*I,-6.519810459665725*^-10+0.*I,0.+2.052367264978622*^-10*I,6.354468607230383*^-11+0.*I,0.-1.9361572173493202*^-11*I,-5.808414755106101*^-12+0.*I,0.+1.7164661277318646*^-12*I,4.99880591337903*^-13+0.*I,0.-1.4352660243611582*^-13*I,-4.0644811294132704*^-14+0.*I,0.+1.135655305964396*^-14*I,3.13191676518766*^-15+0.*I,0.-8.527893218365757*^-16*I,-2.293398081271544*^-16+0.*I,0.+6.093331206917893*^-17*I,1.5999005244052242*^-17+0.*I,0.-4.1525358204060645*^-18*I,-1.0656876014304213*^-18+0.*I,0.+2.704901060882697*^-19*I,6.791752951181365*^-20+0.*I,0.-1.6874116302585838*^-20*I,-4.149199654383461*^-21+0.*I,0.+1.0099580475496298*^-21*I,2.4340300758720247*^-22+0.*I,0.-5.809203597640582*^-23*I,-1.3732717929226203*^-23+0.*I,0.+3.2160572580351542*^-24*I,7.46265981087085*^-25+0.*I,0.-1.7160842607672064*^-25*I,-3.9113669707957706*^-26+0.*I,0.+8.837531190479563*^-27*I,1.9797525705881363*^-27+0.*I,0.-4.397758180906842*^-28*I,-9.688422389458484*^-29+0.*I,0.+2.1170684325648595*^-29*I,4.589165989258775*^-30+0.*I,0.-9.869719121780254*^-31*I,-2.106208569800513*^-31+0.*I,0.+4.460415006443668*^-32*I,9.375116221281272*^-33+0.*I,0.-1.955934212147231*^-33*I,-4.050935029593095*^-34+0.*I,0.+8.329628964903514*^-35*I,1.700630493523773*^-35+0.*I,0.-3.447875077713037*^-36*I,-6.942125542783933*^-37+0.*I,0.+1.3882694238387425*^-37*I,2.757625431694159*^-38+0.*I,0.-5.44146475127885*^-39*I,-1.0667267319735397*^-39+0.*I,0.+2.077706300310339*^-40*I,4.021097637917622*^-41+0.*I,0.-7.733383034252441*^-42*I,-1.4780630148549943*^-42+0.*I,0.+2.807683494582027*^-43*I,5.301119001565087*^-44+0.*I,0.-9.94907760983012*^-45*I,-1.8562003358954648*^-45+0.*I,0.+3.442895293881673*^-46*I,6.349056608703123*^-47+0.*I,0.-1.1641522974913534*^-47*I,-2.1225296343569623*^-48+0.*I
-0.2196529766704934+0.*I,0.-0.38873899546173585*I,0.1713035590622124+0.*I,0.-0.25740205762854773*I,0.15158712062561727+0.*I,0.-0.2679485439946549*I,0.013896427417231435+0.*I,0.-0.2571037459771311*I,-0.1961695833738532+0.*I,0.-0.05390434412059961*I,-0.245153611175985+0.*I,0.+0.24765199692053141*I,0.09609342376441637+0.*I,0.+0.09911249831335792*I,0.24597959552389198+0.*I,0.-0.3089419327181806*I,-0.2988891872522429+0.*I,0.+0.24650884347980365*I,0.18112934565986788+0.*I,0.-0.12150909204446986*I,-0.07558950656793065+0.*I,0.+0.04408089701097056*I,0.024290978325468605+0.*I,0.-0.012726756980846876*I,-0.006370822133894206+0.*I,0.+0.003059245015467679*I,0.0014139049295917036+0.*I,0.-0.0006307220223018884*I,-0.0002722194210818288+0.*I,0.+0.00011391393584126752*I,0.000046303354235799656+0.*I,0.-0.000018311958471686104*I,-7.056280447095601*^-6+0.*I,0.+2.652788621815656*^-6*I,9.741528145562657*^-7+0.*I,0.-3.497950038896775*^-7*I,-1.229378427847356*^-7+0.*I,0.+4.232828701325348*^-8*I,1.428911078087741*^-8+0.*I,0.-4.733013492934556*^-9*I,-1.539332393222743*^-9+0.*I,0.+4.918939092427705*^-10*I,1.5453168387418575*^-10+0.*I,0.-4.7754663949446715*^-11*I,-1.4524308590922314*^-11+0.*I,0.+4.349821746101289*^-12*I,1.2833515346753328*^-12+0.*I,0.-3.7317107710905447*^-13*I,-1.0698862817286295*^-13+0.*I,0.+3.0255459529461616*^-14*I,8.442409962935403*^-15+0.*I,0.-2.325291052358123*^-15*I,-6.323831527096772*^-16+0.*I,0.+1.6986819175621916*^-16*I,4.5081950825184404*^-17+0.*I,0.-1.1824317761705247*^-17*I,-3.0658463386563944*^-18+0.*I,0.+7.860286423436421*^-19*I,1.9931861298213355*^-19+0.*I,0.-5.000137767682513*^-20*I,-1.2411934531593745*^-20+0.*I,0.+3.049404504708221*^-21*I,7.416508037125031*^-22+0.*I,0.-1.7859939331276947*^-22*I,-4.259320855136073*^-23+0.*I,0.+1.0061464343943841*^-23*I,2.3546157677340986*^-24+0.*I,0.-5.459987214111215*^-25*I,-1.2547231899386732*^-25+0.*I,0.+2.857974734572937*^-26*I,6.453421362786863*^-27+0.*I,0.-1.4447993989327818*^-27*I,-3.207550537700554*^-28+0.*I,0.+7.062335541043314*^-29*I,1.5423770632034813*^-29+0.*I,0.-3.3416175910439455*^-30*I,-7.1829317417146125*^-31+0.*I,0.+1.5320701362723923*^-31*I,3.242940361021377*^-32+0.*I,0.-6.812909514983358*^-33*I,-1.4207186401439373*^-33+0.*I,0.+2.9411174700593044*^-34*I,6.044928625623092*^-35+0.*I,0.-1.233641239336172*^-35*I,-2.50004952761978*^-36+0.*I,0.+5.031671990976956*^-37*I,1.0058212557125377*^-37+0.*I,0.-1.997164220347004*^-38*I,-3.93939813923298*^-39+0.*I,0.+7.719812323611264*^-40*I,1.5030763534117203*^-40+0.*I,0.-2.9079605137997827*^-41*I,-5.5906713026765476*^-42+0.*I,0.+1.0681724363528058*^-42*I,2.0284011892457473*^-43+0.*I,0.-3.828544956343482*^-44*I,-7.183111357423174*^-45+0.*I,0.+1.3397420894405622*^-45*I,2.4842176154304996*^-46+0.*I,0.-4.579808185425468*^-47*I
0.+0.14275737053877763*I,-0.335671168450231+0.*I,0.-0.3191237386539719*I,-0.05514683678326493+0.*I,0.-0.29309751810391804*I,-0.046031237377399614+0.*I,0.-0.2571037459771311*I,-0.15320103371312563+0.*I,0.-0.147360476537974*I,-0.2574690355840947+0.*I,0.+0.09490278762571185*I,-0.1463617568319505+0.*I,0.+0.26179931749816854*I,0.19536868685178488+0.*I,0.-0.01970138822808409*I,0.1592890024920331+0.*I,0.-0.27282154740962755*I,-0.30557355924570273+0.*I,0.+0.27757355471726813*I,0.21944074656283175+0.*I,0.-0.15626054535201006*I,-0.10227570737356058+0.*I,0.+0.06235982918434551*I,0.035759734103623805+0.*I,0.-0.019424835381976847*I,-0.01005145055749678+0.*I,0.+0.004976996159303096*I,0.00236693384130724+0.*I,0.-0.0010845225689548195*I,-0.00048004046740386365+0.*I,0.+0.00020573066849949445*I,0.00008554022112131952+0.*I,0.-0.00003456657999831356*I,-0.000013596776029330905+0.*I,0.+5.2133377224199445*^-6*I,1.9509323360018336*^-6+0.*I,0.-7.133604587657093*^-7*I,-2.551323786556395*^-7+0.*I,0.+8.933511225331886*^-8*I,3.065174564728874*^-8+0.*I,0.-1.0313619801577599*^-8*I,-3.4057278182921564*^-9+0.*I,0.+1.104455495894172*^-9*I,3.519666801868681*^-10+0.*I,0.-1.1028760648448274*^-10*I,-3.399879739976193*^-11+0.*I,0.+1.0316601286238945*^-11*I,3.0828804308138116*^-12+0.*I,0.-9.076569650958004*^-13*I,-2.6340160503509896*^-13+0.*I,0.+7.53742062788139*^-14*I,2.1276547051589798*^-14+0.*I,0.-5.926675192018961*^-15*I,-1.6296788351466176*^-15+0.*I,0.+4.425023929887759*^-16*I,1.1868250498113706*^-16+0.*I,0.-3.1451659146726015*^-17*I,-8.237747111505442*^-18+0.*I,0.+2.133035284333053*^-18*I,5.4616482700385675*^-19+0.*I,0.-1.3832225117401236*^-19*I,-3.465811626796735*^-20+0.*I,0.+8.593302815446882*^-21*I,2.1088766804298003*^-21+0.*I,0.-5.123515279885775*^-22*I,-1.232528568521156*^-22+0.*I,0.+2.9364393903492813*^-23*I,6.929788868888652*^-24+0.*I,0.-1.6202078450978963*^-24*I,-3.753593701968843*^-25+0.*I,0.+8.618287402920742*^-26*I,1.9613753856781485*^-26+0.*I,0.-4.425200713794288*^-27*I,-9.899241825886475*^-28+0.*I,0.+2.1959864201909935*^-28*I,4.831434846993327*^-29+0.*I,0.-1.0543854963829726*^-29*I,-2.2827362916167853*^-30+0.*I,0.+4.903424892763139*^-31*I,1.0451618091392714*^-31+0.*I,0.-2.2108481110700807*^-32*I,-4.641680762308703*^-33+0.*I,0.+9.673436052014218*^-34*I,2.001345853095848*^-34+0.*I,0.-4.1109748126566384*^-35*I,-8.384803652796086*^-36+0.*I,0.+1.6982799403851354*^-36*I,3.4161401086488413*^-37+0.*I,0.-6.825157208576722*^-38*I,-1.3545022356910084*^-38+0.*I,0.+2.6703938784187654*^-39*I,5.230424020992933*^-40+0.*I,0.-1.0178901930416735*^-40*I,-1.968352951139115*^-41+0.*I,0.+3.782489203093292*^-42*I,7.223686630560785*^-43+0.*I,0.-1.371132905944714*^-43*I,-2.5868535552587976*^-44+0.*I,0.+4.851401039597013*^-45*I,9.044742807032007*^-46+0.*I
