0.0006553226433276911+0.*I,0.-0.0025091897292726824*I,-0.006793550845735358+0.*I,0.+0.015018084018572006*I,0.028751655811404476+0.*I,0.-0.04923298699464695*I,-0.07695890630097463+0.*I,0.+0.11137512229763491*I,0.15077228864998904+0.*I,0.-0.19243257856334695*I,-0.2330005392756847+0.*I,0.+0.2689917190830258*I,0.2973217047477416+0.*I,0.-0.31574266110526394*I,-0.3231078979471135+0.*I,0.+0.3194333611170128*I,0.30577262859093085+0.*I,0.-0.28395693044789017*I,-0.25626809888622964+0.*I,0.+0.2251106663147348*I,0.19273447379391515+0.*I,0.-0.16103789383598455*I,-0.1314604360029247+0.*I,0.+0.10495653319573912*I,0.08203178901946655+0.*I,0.-0.06281892578480101*I,-0.04717176849135331+0.*I,0.+0.03475990678976001*I,0.025152312161398814+0.*I,0.-0.01788369449381749*I,-0.012501868937588872+0.*I,0.+0.008597504693982882*I,0.005819367164988258+0.*I,0.-0.00387879758160775*I,-0.002547041284787834+0.*I,0.+0.001648467119631063*I,0.0010519797150652405+0.*I,0.-0.0006621933732768331*I,-0.0004113119797925491+0.*I,0.+0.00025218391476023014*I,0.00015267422121157057+0.*I,0.-0.00009129607606378758*I,-0.00005393936053060788+0.*I,0.+0.00003149560045540103*I,0.00001818033498202834+0.*I,0.-0.000010377050996062314*I,-5.858323661654447*^-6+0.*I,0.+3.271920628470316*^-6*I,1.808258303215356*^-6+0.*I,0.-9.891012592907155*^-7*I,-5.355919975425811*^-7+0.*I,0.+2.8716223064608584*^-7*I,1.524768717272837*^-7+0.*I,0.-8.019445961374667*^-8*I,-4.17855201022206*^-8+0.*I,0.+2.157360854997159*^-8*I,1.1038424907984408*^-8+0.*I,0.-5.59819480080162*^-9*I,-2.814571829704428*^-9+0.*I,0.+1.4030225705559297*^-9*I,6.935333649892161*^-10+0.*I,0.-3.400014495300058*^-10*I,-1.653344102757796*^-10+0.*I,0.+7.975745779813679*^-11*I,3.8173294478989756*^-11+0.*I,0.-1.8129310663459*^-11*I,-8.544519596423457*^-12+0.*I,0.+3.996948712945264*^-12*I,1.8558909162598*^-12+0.*I,0.-8.554728432845229*^-13*I,-3.9150339670568807*^-13+0.*I,0.+1.7790357969197338*^-13*I,8.027804090008498*^-14+0.*I,0.-3.59760652478875*^-14*I,-1.601312630420527*^-14+0.*I,0.+7.079846215842332*^-15*I,3.109534323586757*^-15+0.*I,0.-1.3568390034244769*^-15*I,-5.882464903334344*^-16+0.*I,0.+2.5341021997591807*^-16*I,1.0848194401586383*^-16+0.*I,0.-4.615229231104367*^-17*I,-1.9514825726507446*^-17+0.*I,0.+8.201701476337305*^-18*I,3.4264361367782515*^-18+0.*I,0.-1.42302164382664*^-18*I,-5.875442857887538*^-19+0.*I,0.+2.4119000547273547*^-19*I,9.844559725578339*^-20+0.*I,0.-3.9955780775446176*^-20*I,-1.6126372740284892*^-20+0.*I,0.+6.472831838921716*^-21*I,2.58391806093321*^-21+0.*I,0.-1.0259249460492712*^-21*I,-4.051631977382851*^-22+0.*I,0.+1.5916461178491447*^-22*I,6.219983385386519*^-23+0.*I,0.-2.418141354467591*^-23*I,-9.352914694846565*^-24+0.*I,0.+3.5992142765343206*^-24*I
0.-0.0025091897292726824*I,-0.008952209099382465+0.*I,0.+0.022463554406800194*I,0.04573653639419278+0.*I,0.-0.0800521376182496*I,-0.12421939474007189+0.*I,0.+0.1740751791889813*I,0.22283430363379003+0.*I,0.-0.2622813187614864*I,-0.28449553420871665+0.*I,0.+0.2836193596316109*I,0.2571772329042504+0.*I,0.-0.20661170593228625*I,-0.13695040130246874+0.*I,0.+0.055759227585079264*I,-0.02830099341353234+0.*I,0.+0.10694902710523078*I,0.1734793819577437+0.*I,0.-0.22349258092869045*I,-0.2551119754766674+0.*I,0.+0.26875716642037056*I,0.2666162143667215+0.*I,0.-0.2519808246993328*I,-0.22859005148058492+0.*I,0.+0.2000852740780862*I,0.1696291770692411+0.*I,0.-0.13969715452096823*I,-0.11201817337504755+0.*I,0.+0.08762549571333075*I,0.0669737899887212+0.*I,0.-0.05008414861352581*I,-0.036688148462858464+0.*I,0.+0.026352835262401703*I,0.018578044036698816+0.*I,0.-0.012864619108643342*I,-0.008756621161261845+0.*I,0.+0.0058628376790062775*I,0.00386344546561056+0.*I,0.-0.0025071460599950667*I,-0.0016030459324798316+0.*I,0.+0.0010103710023736093*I,0.0006280249972341908+0.*I,0.-0.0003851357319792599*I,-0.00023310934132290216+0.*I,0.+0.00013930680421549074*I,0.00008222431039930713+0.*I,0.-0.000047949426398293394*I,-0.00002763466254415051+0.*I,0.+0.000015744822252338307*I,8.870600788391338*^-6+0.*I,0.-4.943253559706524*^-6*I,-2.7253655586804927*^-6+0.*I,0.+1.4869318154425942*^-6*I,8.029887730866128*^-7+0.*I,0.-4.2931235566623566*^-7*I,-2.2728570277397394*^-7+0.*I,0.+1.1917665969829721*^-7*I,6.190314003626662*^-8+0.*I,0.-3.1857760553342526*^-8*I,-1.6247050096520274*^-8+0.*I,0.+8.212269889232866*^-9*I,4.114824290780927*^-9+0.*I,0.-2.0441188951649087*^-9*I,-1.006914842421782*^-9+0.*I,0.+4.918964870173106*^-10*I,2.383469338408152*^-10+0.*I,0.-1.145667808529762*^-10*I,-5.463583860817459*^-11+0.*I,0.+2.585359231319405*^-11*I,1.2140635349216937*^-11+0.*I,0.-5.658357109947426*^-12*I,-2.6176844921395676*^-12+0.*I,0.+1.202182294950926*^-12*I,5.48145761106064*^-13+0.*I,0.-2.4816454831261474*^-13*I,-1.1156944997853389*^-13+0.*I,0.+4.981445444685635*^-14*I,2.2090800617765758*^-14+0.*I,0.-9.730918309871105*^-15*I,-4.258157166783873*^-15+0.*I,0.+1.851199281437873*^-15*I,7.996232332856426*^-16+0.*I,0.-3.432057253482453*^-16*I,-1.463847176684953*^-16+0.*I,0.+6.205022437654242*^-17*I,2.6141518737488733*^-17+0.*I,0.-1.0946889230820649*^-17*I,-4.55674670232044*^-18+0.*I,0.+1.885620723610316*^-18*I,7.757457022766473*^-19+0.*I,0.-3.173069384690653*^-19*I,-1.2905171995562798*^-19+0.*I,0.+5.219156006971618*^-20*I,2.0990200429378015*^-20+0.*I,0.-8.395366654329145*^-21*I,-3.3396109443287367*^-21+0.*I,0.+1.3213290324769124*^-21*I,5.200081872578642*^-22+0.*I,0.-2.0357205105956576*^-22*I,-7.92791581342732*^-23+0.*I
-0.006793550845735358+0.*I,0.+0.022463554406800194*I,0.05186714515597499+0.*I,0.-0.09631808471369312*I,-0.15205736920303098+0.*I,0.+0.2097464904344985*I,0.2561486706518594+0.*I,0.-0.2776519017218863*I,-0.26444966482066184+0.*I,0.+0.21387985187020572*I,0.13173898069709067+0.*I,0.-0.03115276596313596*I,0.07055841613742388+0.*I,0.-0.15596973387812116*I,-0.2113703805654777+0.*I,0.+0.2293269671336606*I,0.20951376886556866+0.*I,0.-0.15788255557589514*I,-0.08466086057925269+0.*I,0.+0.0018571069944772148*I,-0.07908347862845835+0.*I,0.+0.14901789007205488*I,0.20203593183432852+0.*I,0.-0.2356083065188165*I,-0.25013469386307763+0.*I,0.+0.2481427053284391*I,0.2333811230874753+0.*I,0.-0.20999450314160029*I,-0.18189040205657867+0.*I,0.+0.15233855498087512*I,0.1237871446222534+0.*I,0.-0.09784950309383092*I,-0.07540313621743146+0.*I,0.+0.056746263525927834*I,0.04176869357947039+0.*I,0.-0.030108291423867433*I,-0.02127775193732108+0.*I,0.+0.01475686346382883*I,0.010052350681870771+0.*I,0.-0.006731061698045345*I,-0.004433492216123302+0.*I,0.+0.002874291709302759*I,0.0018352294261717403+0.*I,0.-0.0011546648463961555*I,-0.0007162110166053092+0.*I,0.+0.00043817050480248057*I,0.0002645124032014108+0.*I,0.-0.00015762350457147574*I,-0.00009275304280799226+0.*I,0.+0.000053916026491628454*I,0.000030969303216001015+0.*I,0.-0.000017583366887182663*I,-9.870871887825535*^-6+0.*I,0.+5.480383617545167*^-6*I,3.0101026026402884*^-6+0.*I,0.-1.6359642238677999*^-6*I,-8.800159022001884*^-7+0.*I,0.+4.6862849124729086*^-7*I,2.471047445873244*^-7+0.*I,0.-1.2904356202335505*^-7*I,-6.675430054618531*^-8+0.*I,0.+3.421298784126632*^-8*I,1.737598559118729*^-8+0.*I,0.-8.746399151671936*^-9*I,-4.364176517551801*^-9+0.*I,0.+2.1589247396349894*^-9*I,1.0590130024197094*^-9+0.*I,0.-5.15178401267668*^-10*I,-2.4858117332361457*^-10+0.*I,0.+1.18985089716136*^-10*I,5.650514665344458*^-11+0.*I,0.-2.6626256475191357*^-11*I,-1.2451236884100412*^-11+0.*I,0.+5.778924873139512*^-12*I,2.6623429286695596*^-12+0.*I,0.-1.217620575761941*^-12*I,-5.528892394351944*^-13+0.*I,0.+2.492804259618598*^-13*I,1.116108559088117*^-13+0.*I,0.-4.9629049071326695*^-14*I,-2.191888778640712*^-14+0.*I,0.+9.61600578754914*^-15*I,4.190868394208119*^-15+0.*I,0.-1.8146162887509592*^-15*I,-7.806824018176766*^-16+0.*I,0.+3.337406470895966*^-16*I,1.417830499887103*^-16+0.*I,0.-5.98624474038481*^-17*I,-2.5120780422487933*^-17+0.*I,0.+1.0478352474468197*^-17*I,4.344761995149757*^-18+0.*I,0.-1.790948917499188*^-18*I,-7.339643719558523*^-19+0.*I,0.+2.9906869410051377*^-19*I,1.2117137774679407*^-19+0.*I,0.-4.8819181932726707*^-20*I,-1.956004728694736*^-20+0.*I,0.+7.794086387206347*^-21*I,3.0888925011018194*^-21+0.*I,0.-1.2176105527578528*^-21*I
0.+0.015018084018572006*I,0.04573653639419278+0.*I,0.-0.09631808471369312*I,-0.1610573065166324+0.*I,0.+0.224925307179452*I,0.2673684155793954+0.*I,0.-0.2696257426958859*I,-0.2225143838626872+0.*I,0.+0.1311989132764682*I,0.014770746891792481+0.*I,0.+0.09926215556373831*I,0.1833934434512409+0.*I,0.-0.21828467241278077*I,-0.19791361898661244+0.*I,0.+0.13033033488507548*I,0.03432044839847531+0.*I,0.+0.06644877294303779*I,0.14972129654854707+0.*I,0.-0.19957715547760083*I,-0.2089531015686621+0.*I,0.+0.17962000018931976*I,0.12018944506438275+0.*I,0.-0.04308602460955392*I,0.03856740668621761+0.*I,0.-0.113443578558*I,-0.17352288400564603+0.*I,0.+0.2145910843350423*I,0.23592146775143677+0.*I,0.-0.23944990619724094*I,-0.22875479051605963+0.*I,0.+0.20808820030877076*I,0.18161013327529565+0.*I,0.-0.15288607440572852*I,-0.12463844459397129+0.*I,0.+0.09870091379920197*I,0.0761087052751696+0.*I,0.-0.05726076655889231*I,-0.04210292074777571+0.*I,0.+0.030297950081205616*I,0.021364322710074823+0.*I,0.-0.01477751427806551*I,-0.010035916282051019+0.*I,0.+0.00669758625900909*I,0.004395520081315838+0.*I,0.-0.0028387461586945324*I,-0.0018052368188101117+0.*I,0.+0.0011310380554404042*I,0.0006985216902097745+0.*I,0.-0.00042545058496222006*I,-0.0002556681239000581+0.*I,0.+0.00015164932713843576*I,0.00008881924318384806+0.*I,0.-0.000051384466087093353*I,-0.000029373840009605092+0.*I,0.+0.000016597050272051184*I,9.271964089638637*^-6+0.*I,0.-5.1227763842654205*^-6*I,-2.799932272689578*^-6+0.*I,0.+1.5142855614495215*^-6*I,8.105696218718591*^-7+0.*I,0.-4.2953073680551095*^-7*I,-2.2537927031668727*^-7+0.*I,0.+1.171222947767309*^-7*I,6.029164387460356*^-8+0.*I,0.-3.07502712701835*^-8*I,-1.5541534341639693*^-8+0.*I,0.+7.785159868892241*^-9*I,3.865827065343462*^-9+0.*I,0.-1.9032167127196937*^-9*I,-9.291204249624625*^-10+0.*I,0.+4.498401433679168*^-10*I,2.1602746496467826*^-10+0.*I,0.-1.0291630251354658*^-10*I,-4.8645380105528585*^-11+0.*I,0.+2.28158697435308*^-11*I,1.0619995905272215*^-11+0.*I,0.-4.906317679770436*^-12*I,-2.2499941049943503*^-12+0.*I,0.+1.0243545182127623*^-12*I,4.630305497884233*^-13+0.*I,0.-2.0782857350264867*^-13*I,-9.263637072597105*^-14+0.*I,0.+4.100922479155465*^-14*I,1.8032135582189203*^-14+0.*I,0.-7.876240395028238*^-15*I,-3.4177195382101254*^-15+0.*I,0.+1.4734584734068392*^-15*I,6.311908692121659*^-16+0.*I,0.-2.686835872696369*^-16*I,-1.1366179697100987*^-16+0.*I,0.+4.7787602678215317*^-17*I,1.9969942843147236*^-17+0.*I,0.-8.295296223543258*^-18*I,-3.425407949902251*^-18+0.*I,0.+1.406206372878843*^-18*I,5.739478757381704*^-19+0.*I,0.-2.3292280615194964*^-19*I,-9.39932307820866*^-20+0.*I,0.+3.7718489990524136*^-20*I,1.5052639900162915*^-20+0.*I
0.028751655811404476+0.*I,0.-0.0800521376182496*I,-0.15205736920303098+0.*I,0.+0.224925307179452*I,0.2695552141817927+0.*I,0.-0.26039439627620187*I,-0.1887320215948812+0.*I,0.+0.06931555170720437*I,-0.06350661138704337+0.*I,0.+0.16852023335713542*I,0.21338891797712348+0.*I,0.-0.18649339346683386*I,-0.10025246967768067+0.*I,0.-0.014618807634387674*I,-0.1207490954940898+0.*I,0.+0.18667817483325314*I,0.19585501055378982+0.*I,0.-0.14964912131285016*I,-0.0644774386381485+0.*I,0.-0.03493409737600095*I,-0.12335642283392034+0.*I,0.+0.18146216074861732*I,0.19938237658051064+0.*I,0.-0.17715276079287495*I,-0.12271374367720891+0.*I,0.+0.04859523026048376*I,-0.03157031404477049+0.*I,0.+0.10585966249945845*I,0.16577011782195836+0.*I,0.-0.20679465625293794*I,-0.2280923924303812+0.*I,0.+0.23160606858411673*I,0.22097538200536665+0.*I,0.-0.20051538171658434*I,-0.17442055076244506+0.*I,0.+0.14625348591139445*I,0.11870215516830981+0.*I,0.-0.09354708740922667*I,-0.0717654318892136+0.*I,0.+0.05370398595695339*I,0.03926882792211689+0.*I,0.-0.028097679634660335*I,-0.01969776449450695+0.*I,0.+0.013544418283714488*I,0.009143599439530173+0.*I,0.-0.006065374203174495*I,-0.003956518642733941+0.*I,0.+0.0025397050246678443*I,0.0016052381729642809+0.*I,0.-0.0009996083580708043*I,-0.000613595389900041+0.*I,0.+0.00037145472316691487*I,0.00022186836978959083+0.*I,0.-0.00013080697469053414*I,-0.00007615184200941384+0.*I,0.+0.00004379262203749235*I,0.000024885116508550345+0.*I,0.-0.000013977673326674298*I,-7.762771734306852*^-6+0.*I,0.+4.263913663268581*^-6*I,2.3169993800626994*^-6+0.*I,0.-1.2458895299263576*^-6*I,-6.630920757528739*^-7+0.*I,0.+3.4938821621689525*^-7*I,1.822961353960478*^-7+0.*I,0.-9.420452119398934*^-8*I,-4.8225563949812985*^-8+0.*I,0.+2.446113400414768*^-8*I,1.2295563985024502*^-8+0.*I,0.-6.125880460025246*^-9*I,-3.025584602002747*^-9+0.*I,0.+1.4816323331059528*^-9*I,7.194968449375316*^-10+0.*I,0.-3.4652856641952026*^-10*I,-1.6555141660289493*^-10+0.*I,0.+7.846396143642614*^-11*I,3.6898495987143217*^-11+0.*I,0.-1.7218837564559415*^-11*I,-7.97461000569605*^-12+0.*I,0.+3.665873436289257*^-12*I,1.6728542153508526*^-12+0.*I,0.-7.578791237049095*^-13*I,-3.4091811909893355*^-13+0.*I,0.+1.5228394530013216*^-13*I,6.755480842680537*^-14+0.*I,0.-2.976455624213447*^-14*I,-1.302642303810226*^-14+0.*I,0.+5.663357518274521*^-15*I,2.446161210388124*^-15+0.*I,0.-1.04977596325673*^-15*I,-4.476573596845569*^-16+0.*I,0.+1.897005018177774*^-16*I,7.989139420611211*^-17+0.*I,0.-3.3440632646810895*^-17*I,-1.3913142658785407*^-17+0.*I,0.+5.754196764091602*^-18*I,2.365835384723312*^-18+0.*I,0.-9.67064674764627*^-19*I,-3.9303187749727015*^-19+0.*I,0.+1.5882930646165052*^-19*I
0.-0.04923298699464695*I,-0.12421939474007189+0.*I,0.+0.2097464904344985*I,0.2673684155793954+0.*I,0.-0.26039439627620187*I,-0.17633193782912113+0.*I,0.+0.03792809310579495*I,-0.10461803954571618+0.*I,0.+0.19642375122467207*I,0.2033630841627168+0.*I,0.-0.12707357592194546*I,-0.0028356265320392073+0.*I,0.-0.11724669546964683*I,-0.18668481067826767+0.*I,0.+0.18230314417551702*I,0.11051538324711498+0.*I,0.-0.0014328636423652018*I,0.10488665841788743+0.*I,0.-0.1735311019023719*I,-0.18550917683827697+0.*I,0.+0.1413615584464069*I,0.05792185542807559+0.*I,0.+0.039225208730799606*I,0.12427947779316434+0.*I,0.-0.1779929932909919*I,-0.1911840793933685+0.*I,0.+0.16487369980198202*I,0.10790634105995583+0.*I,0.-0.03334729168300541*I,0.04512183946209224+0.*I,0.-0.11596667380491617*I,-0.17135410715700142+0.*I,0.+0.2075342766382318*I,0.2243428994735282+0.*I,0.-0.22421057248746076*I,-0.21103579068777134+0.*I,0.+0.1891792802058554*I,0.16271912733119925+0.*I,0.-0.1350037628351353*I,-0.10846975664642619+0.*I,0.+0.08465571131286032*I,0.06433566145043502+0.*I,0.-0.04770528413611592*I,-0.034572358054841636+0.*I,0.+0.024522166896868966*I,0.0170447359915606+0.*I,0.-0.011622233873666765*I,-0.007781584681166032+0.*I,0.+0.005120253648138777*I,0.0033135078727808734+0.*I,0.-0.0021103472108386753*I,-0.0013236048768839243+0.*I,0.+0.0008179884969199624*I,0.0004983633487746916+0.*I,0.-0.00029947674147157366*I,-0.00017757865488200617+0.*I,0.+0.00010394603883522982*I,0.000060087111500292475+0.*I,0.-0.00003431363366181402*I,-0.000019364670821185824+0.*I,0.+0.000010803109133698524*I,5.9595281119633715*^-6+0.*I,0.-3.2517819843265704*^-6*I,-1.755467378638883*^-6+0.*I,0.+9.37853930406604*^-7*I,4.959666594713654*^-7+0.*I,0.-2.59682828351823*^-7*I,-1.3464845104818617*^-7+0.*I,0.+6.915385784947613*^-8*I,3.518632255984065*^-8+0.*I,0.-1.774007669742304*^-8*I,-8.864198655897386*^-9+0.*I,0.+4.3903667393106355*^-9*I,2.1558143189607316*^-9+0.*I,0.-1.0496395310481692*^-9*I,-5.06819871742259*^-10+0.*I,0.+2.4272558420500605*^-10*I,1.1531542442698044*^-10+0.*I,0.-5.435361098799999*^-11*I,-2.542117808428363*^-11+0.*I,0.+1.1798976641566302*^-11*I,5.435351667702517*^-12+0.*I,0.-2.485404330270881*^-12*I,-1.1282421331460866*^-12+0.*I,0.+5.085007502608083*^-13*I,2.2756818047362255*^-13+0.*I,0.-1.0113635909711827*^-13*I,-4.46398508187362*^-14+0.*I,0.+1.9570426167310893*^-14*I,8.52277832635463*^-15+0.*I,0.-3.687274745920925*^-15*I,-1.5849373229510298*^-15+0.*I,0.+6.769222216933211*^-16*I,2.8729117542748433*^-16+0.*I,0.-1.211709150148261*^-16*I,-5.0792766162531186*^-17+0.*I,0.+2.1162481386058395*^-17*I,8.76446774612963*^-18+0.*I,0.-3.608368469403176*^-18*I,-1.4769095936768696*^-18+0.*I
-0.07695890630097463+0.*I,0.+0.1740751791889813*I,0.2561486706518594+0.*I,0.-0.2696257426958859*I,-0.1887320215948812+0.*I,0.+0.03792809310579495*I,-0.11704435968926766+0.*I,0.+0.20450148196363632*I,0.18623872711670694+0.*I,0.-0.0773195211738881*I,0.06390461642779414+0.*I,0.-0.1676259046648685*I,-0.1872852172336784+0.*I,0.+0.11923527425370857*I,-0.0001972559028074902+0.*I,0.+0.11549364465571609*I,0.17823107376446018+0.*I,0.-0.1663662216705381*I,-0.08958739885901423+0.*I,0.-0.018820822680003332*I,-0.11772150782060121+0.*I,0.+0.17392228468322893*I,0.1722270830211933+0.*I,0.-0.11746973649534893*I,-0.02967210308173106+0.*I,0.-0.06447587404536877*I,-0.14025785930643353+0.*I,0.+0.18107534157591668*I,0.18097727405700995+0.*I,0.-0.14384603384250624*I,-0.08037866013252584+0.*I,0.+0.004257673543863663*I,-0.07131662622391115+0.*I,0.+0.136027764964714*I,0.18356651195802642+0.*I,0.-0.21163782856680605*I,-0.22121301918577554+0.*I,0.+0.2154290293190335*I,0.19846869720474333+0.*I,0.-0.17463811139597468*I,-0.1477375086080794+0.*I,0.+0.1207287285275829*I,0.09564529430702769+0.*I,0.-0.0736680181045425*I,-0.05529038236200018+0.*I,0.+0.04051311521445027*I,0.02902735641210706+0.*I,0.-0.020364574492707368*I,-0.014005882976711724+0.*I,0.+0.00945280934949506*I,0.00626646852282932+0.*I,0.-0.00408366382012651*I,-0.0026179425066173516+0.*I,0.+0.0016521170687473449*I,0.0010269607717639337+0.*I,0.-0.0006291274798285835*I,-0.0003800277355347755+0.*I,0.+0.00022645759769443355*I,0.00013318081248913592+0.*I,0.-0.00007733116626863154*I,-0.00004434950630970008+0.*I,0.+0.000025130260914064962*I,0.00001407415564061667+0.*I,0.-7.792906159321615*^-6*I,-4.267319170234479*^-6+0.*I,0.+2.3115812493186365*^-6*I,1.2390101918717823*^-6+0.*I,0.-6.572940349622297*^-7*I,-3.451958697742997*^-7+0.*I,0.+1.7951038245725544*^-7*I,9.245364006145724*^-8+0.*I,0.-4.716903880731524*^-8*I,-2.3843650770116125*^-8+0.*I,0.+1.1944051091302794*^-8*I,5.930219308092854*^-9+0.*I,0.-2.9187969349690845*^-9*I,-1.4243668584103574*^-9+0.*I,0.+6.892752905386574*^-10*I,3.3081242820554564*^-10+0.*I,0.-1.5748967708054703*^-10*I,-7.438136057837589*^-11+0.*I,0.+3.485589838879014*^-11*I,1.620857727740395*^-11+0.*I,0.-7.480391382648291*^-12*I,-3.4266288178578613*^-12+0.*I,0.+1.5582024156782031*^-12*I,7.034671814652263*^-13+0.*I,0.-3.153366701666564*^-13*I,-1.4036595720907025*^-13+0.*I,0.+6.205122613953819*^-14*I,2.7244787839582092*^-14+0.*I,0.-1.1882365586226106*^-14*I,-5.1481299787615904*^-15+0.*I,0.+2.2159641346214725*^-15*I,9.477220234465778*^-16+0.*I,0.-4.0275557099224115*^-16*I,-1.7009077597572633*^-16+0.*I,0.+7.138942605445735*^-17*I,2.9780726933325243*^-17+0.*I,0.-1.2348619900579403*^-17*I
0.+0.11137512229763491*I,0.22283430363379003+0.*I,0.-0.2776519017218863*I,-0.2225143838626872+0.*I,0.+0.06931555170720437*I,-0.10461803954571618+0.*I,0.+0.20450148196363632*I,0.17891069812655655+0.*I,0.-0.05090387300783712*I,0.099277861999186+0.*I,0.-0.1848974250055008*I,-0.1624799536319486+0.*I,0.+0.05156580871181173*I,-0.08266914130354135+0.*I,0.+0.1689096112003512*I,0.16685393925785702+0.*I,0.-0.08332647900161042*I,0.036987454220287444+0.*I,0.-0.13712834968168644*I,-0.1748335825254698+0.*I,0.+0.13855386476396472*I,0.04780113409595169+0.*I,0.+0.059083789411621006*I,0.1421856022386501+0.*I,0.-0.1745701442941135*I,-0.1493846507177493+0.*I,0.+0.07872051221071699*I,-0.01340827865399776+0.*I,0.+0.1002399180434581*I,0.16018697957982306+0.*I,0.-0.18146538278490737*I,-0.16298851289002356+0.*I,0.+0.11231288936489543*I,0.042014168927093476+0.*I,0.+0.0341326760770363*I,0.10418440260481542+0.*I,0.-0.15980944564352134*I,-0.1968143715141262+0.*I,0.+0.21471005184593225*I,0.2157262946931228+0.*I,0.-0.203658840892951*I,-0.18282852644338785+0.*I,0.+0.15730567228124964*I,0.13044229324687465+0.*I,0.-0.10467911573201881*I,-0.0815560237059531+0.*I,0.+0.061846088557191696*I,0.04574384493168551+0.*I,0.-0.033057624789938664*I,-0.023375953839462556+0.*I,0.+0.016194846693536217*I,0.011004602365881664+0.*I,0.-0.007341498474062591*I,-0.00481264257895909+0.*I,0.+0.003102469362609747*I,0.0019681573343914827+0.*I,0.-0.0012294641364705928*I,-0.0007567054352566623+0.*I,0.+0.00045911670223504694*I,0.0002747367042237356+0.*I,0.-0.00016221975559877903*I,-0.00009455102861844547+0.*I,0.+0.000054421896443348195*I,0.00003094455357477011+0.*I,0.-0.00001738785834738236*I,-9.65824936019418*^-6+0.*I,0.+5.3048378581978766*^-6*I,2.8819781402126425*^-6+0.*I,0.-1.5490692145746166*^-6*I,-8.239920837825991*^-7+0.*I,0.+4.3386253233897313*^-7*I,2.261818386492602*^-7+0.*I,0.-1.167708794764909*^-7*I,-5.971355300467458*^-8+0.*I,0.+3.0252340982329805*^-8*I,1.5187108942842664*^-8+0.*I,0.-7.55614080965299*^-9*I,-3.7265695032248655*^-9+0.*I,0.+1.8221116478073313*^-9*I,8.834190003794572*^-10+0.*I,0.-4.247673909812325*^-10*I,-2.025780621686747*^-10+0.*I,0.+9.584118762858402*^-11*I,4.498730166371747*^-11+0.*I,0.-2.095381004747886*^-11*I,-9.685602829169178*^-12+0.*I,0.+4.443593211062726*^-12*I,2.0236597791979397*^-12+0.*I,0.-9.14926367498687*^-13*I,-4.107035659837566*^-13+0.*I,0.+1.8306747685697156*^-13*I,8.103629025412094*^-14+0.*I,0.-3.562684683599156*^-14*I,-1.5557765492037522*^-14+0.*I,0.+6.748858260946405*^-15*I,2.9084840822880973*^-15+0.*I,0.-1.2453610139102833*^-15*I,-5.298510780206396*^-16+0.*I,0.+2.24016030592985*^-16*I,9.412539698314708*^-17+0.*I
